"Output18","ZIH1","RJM2","FDT3","CJE4","JHD5","VMR6","BAW7","CBE8","MCU9","UTK10","XLS11"
"Class2",22.253,38.264,13.351,59.632,39.706,85,85.927,48,36.667,38.215,"U"
"Class1",15.246,39.138,70.158,36.719,52.925,46,68.442,68,24.681,70.508,"K"
"Class2",21.591,56.947,13.469,46.208,35.202,86,71.727,92,16.54,72.967,"U"
"Class1",12.166,22.461,75.981,35.099,83.102,19,68.07,33,16.547,63.991,"U"
"Class2",22.548,-5.943,17.877,27.556,25.244,87,79.581,67,35.293,47.893,"U"
"Class2",20.524,-8.915,19.971,57.96,36.974,86,75.946,89,19.218,64.835,"U"
"Class2",39.823,49.766,22.369,24.916,22.32,87,79.802,43,13.76,71.997,NA
"Class2",23.974,68.483,20.965,57.166,29.416,85,86.824,80,12.433,82.017,"N"
"Class1",13.132,51.386,82.695,35.79,69.809,24,73.119,44,21.845,70.161,"L"
"Class1",16.215,23.057,73.517,36.505,74.896,61,52.088,28,23.572,49.623,"W"
"Class1",15.818,43.023,70.394,35.514,85.273,31,46.16,31,39.09,51.985,"W"
"Class2",31.218,16.25,18.586,46.697,48.499,87,78.339,75,34.686,45.913,"Y"
"Class1",15.085,46.085,68.548,36.294,58.696,30,59.384,56,33.568,75.324,"L"
"Class2",42.552,44.77,21.492,58.462,45.29,87,87.025,94,25.543,73.764,"N"
"Class2",29.543,56.589,27.197,55.765,34.129,87,85.465,41,40.437,29.596,"N"
"Class1",14.105,32.557,80.66,35.055,32.823,50,73.419,20,19.41,44.92,"K"
"Class2",44.4,56.478,23.442,40.923,9.355,87,83.791,69,18.877,39.307,"N"
"Class2",23.031,22.556,23.044,34.806,49.741,87,75.951,69,18.431,30.88,"Y"
"Class2",31.526,61.002,17.885,24.524,43.022,87,82.107,47,15.379,47.893,"Q"
"Class2",15.445,8.927,27.55,45.486,19.398,NA,79.005,41,41.856,62.209,"N"
"Class2",22.703,36.558,20.686,56.612,28.124,87,80.321,80,41.034,57.901,"Y"
"Class1",16.362,38.296,86.27,36.417,58.258,60,61.008,14,28.645,93.783,"W"
"Class1",14.034,34.084,79.936,35.81,43.127,42,63.188,15,23.796,54.289,"K"
"Class1",13.383,44.653,73.722,36.787,66.858,47,68.759,82,18.511,41.319,"K"
"Class1",13.678,48.865,74.115,36.096,64.816,20,54.008,54,32.641,36.737,"U"
"Class2",28.322,42.534,18.816,28.37,50.868,85,83.409,52,33.572,86.956,"Y"
"Class2",15.466,42.735,14.732,60.625,18.91,87,79.385,54,32.667,21.944,"U"
"Class2",23.21,30.883,14.615,48.764,23.363,86,79.149,80,15.036,81.696,"U"
"Class1",15.265,29.4,85.316,35.135,74.349,31,63.078,54,35.707,57.254,"W"
"Class2",31.523,55.173,18.68,39.373,9.865,87,80.718,44,21.952,32.057,"Y"
"Class1",13.426,20.034,82.884,35.529,31.461,19,62.165,42,11.594,68.637,"E"
"Class2",30.331,29.734,22.671,38.809,14.944,85,73.095,75,37.262,58.093,"N"
"Class2",16.801,-4.32,26.225,53.674,8.581,87,83.689,82,24.639,65.35,NA
"Class2",35.42,77.337,27.28,34.864,50.023,87,86.489,71,25.663,62.562,"Y"
"Class1",12.277,38.066,67.556,35.286,85.053,20,42.661,68,48.51,50.909,"L"
"Class1",14.257,42.473,78.724,35.231,25.098,42,58.104,82,38.905,58.799,"W"
"Class1",12.513,32.271,71.55,35.475,59.23,24,63.56,16,35.383,65.164,"E"
"Class2",27.34,57.967,26.93,25.607,45.977,86,81.03,63,14.089,104.485,"Y"
"Class2",26.139,33.378,22.301,49.773,20.787,86,79.933,87,29.527,55.819,"N"
"Class2",29.545,26.274,15.67,36.617,7.889,85,76.416,96,39.337,91.973,"Q"
"Class1",11.351,29.57,76.226,36.393,32.184,21,77.493,82,19.433,56.097,"E"
"Class2",27.866,33.766,13.442,60.21,30.31,85,84.723,72,21.083,52.643,"L"
"Class1",14.097,24.818,88.76,36.971,59.963,55,80.505,53,10.096,67.878,"U"
"Class1",14.455,25.954,74.09,36.228,30.971,18,90.795,76,36.542,52.261,"E"
"Class1",14.709,21.96,70.555,35.003,29.412,52,72.178,11,25.928,64.61,"W"
"Class2",21.593,30.721,17.37,44.748,34.51,86,80.057,91,22.095,43.781,"Q"
"Class1",12.574,52.079,79.822,36.906,41.7,39,72.861,13,49.021,72.17,"K"
"Class2",24.391,52.171,23.92,56.258,29.676,85,82.695,86,37.415,90.209,"Y"
"Class1",16.652,27.087,75.347,35.687,22.985,35,68.112,26,46.377,37.833,"E"
"Class2",9.136,53.925,21.75,57.239,44.496,86,79.336,36,25.877,54.432,"Y"
"Class2",38.679,28.474,23.439,44.475,29.224,87,74.178,80,23.853,55.525,"Y"
"Class2",25.87,52.544,21.411,53.888,26.882,86,80.051,82,30.275,70.24,NA
"Class2",29.944,26.732,19.492,28.006,40.833,85,82.147,44,16.474,64.476,"U"
"Class1",15.343,48.538,84.86,36.685,66.704,63,61.411,42,50.967,39.539,"U"
"Class1",16.85,22.896,68.721,35.012,68.2,39,45.571,12,33.191,71.085,"U"
"Class2",15.92,-7.934,15.351,41.494,20.955,87,76.814,53,35.613,62.826,"Y"
"Class1",14.555,35.151,69.57,35.012,49.925,22,76.983,31,34.179,60.154,"U"
"Class2",23.129,35.383,26.475,33.521,19.511,87,77.342,70,29.701,48.757,"U"
"Class2",39.99,33.222,13.48,22.26,22.403,85,72.481,72,29.722,72.629,"N"
"Class1",13.327,13.203,73.31,35.968,72.524,24,66.777,18,16.777,48.788,"U"
"Class2",14.074,64.74,18.79,25.502,31.908,85,89.827,47,15.557,68.983,"L"
"Class1",15.444,25.94,75.46,35.9,28.658,53,81.077,38,36.643,41.415,"W"
"Class2",23.044,54.284,26.021,33.818,44.115,87,91.77,42,14.555,105.844,"Q"
"Class2",24.807,61.954,24.951,26.765,36.294,85,76.867,54,33.457,72.62,"N"
"Class1",13.764,40.313,85.131,36.141,41.391,23,61.812,27,42.86,77.205,"W"
"Class2",13.272,40.034,22.68,53.824,21.988,85,81.182,52,24.037,91.267,NA
"Class1",13.203,35.565,74.782,36.94,85.035,43,91.481,38,23.054,64.547,"L"
"Class2",21.811,55.692,20.093,35.782,8.6,87,74.914,63,14.366,53.611,"L"
"Class2",26.963,15.858,16.403,21.767,18.796,87,74.973,93,26.264,69.44,"L"
"Class2",29.309,7.224,20.352,25.265,32.827,87,83.161,67,15.625,69.596,"Q"
"Class2",43.98,18.728,19.427,46.446,15.552,86,94.014,64,27.753,67.819,"N"
"Class1",10.945,47.709,82.461,35.053,82.031,20,78.637,57,44.406,39.802,"L"
"Class1",13.198,54.197,71.613,35.654,75.047,33,72.379,79,40.715,58.831,"K"
"Class1",15.327,25.044,76.199,36.395,62.752,24,62.951,63,48.75,30.524,"K"
"Class2",19.048,77.32,25.547,36.265,39.929,85,75.963,46,29.096,59.279,"Q"
"Class1",15.053,40.603,88.479,35.44,30.525,29,68.899,66,44.942,65.112,"U"
"Class2",30.877,28.549,15.2,39.121,26.583,86,72.38,93,38.835,36.049,"N"
"Class2",31.628,23.156,22.618,61.781,42.191,85,83.555,95,33.015,52.677,"Q"
"Class2",10.975,25.903,21.614,29.098,28.771,85,74.651,76,32.634,52.936,"N"
"Class1",10.396,25.276,77.672,35.379,49.544,41,66.722,13,21.324,57.65,"U"
"Class1",11.351,33.228,69.645,36.697,66.85,21,59.023,49,42.691,67.709,"U"
"Class2",27.708,18.904,19.88,46.912,50.629,87,77.887,61,13.288,87.962,"N"
"Class2",18.369,41.41,22.82,23.258,31.626,87,83.064,77,19.159,92.295,"L"
"Class2",24.346,48.937,13.863,42.537,13.66,86,85.521,31,12.198,53.905,"Y"
"Class2",23.837,48.276,27.25,22.904,40.01,87,80.176,89,14.858,42.015,"N"
"Class1",12.782,42.644,74.612,36.315,50.167,50,71.778,59,17.076,52.806,NA
"Class2",27.437,6.989,20.38,47.752,15.748,86,78.498,91,33.227,33.965,"Q"
"Class1",14.28,30.584,79.003,35.55,35.18,59,64.99,29,23.903,44.798,"K"
"Class1",12.679,48.589,84.828,36.609,60.663,50,58.172,29,33.155,53.151,"K"
"Class2",25.398,24.149,19.837,27.493,8.109,85,77.809,68,34.9,39.924,"N"
"Class2",29.159,40.002,26.864,56.064,49.142,87,75.247,48,27.172,55.39,NA
"Class2",28.475,12.626,21.14,26.787,23.272,86,84.443,90,41.637,52.38,"N"
"Class2",23.821,11.55,26.151,57.599,21.096,86,95.515,71,22.13,28.048,"N"
"Class1",13.444,39.537,85.904,35.207,84.359,62,75.52,48,9.978,56.287,"E"
"Class1",12.612,33.707,87.297,35.013,90.662,50,70.294,21,18.11,55.658,"L"
"Class1",13.894,31.801,84.579,36.924,61.246,NA,53.325,16,17.032,44.448,NA
"Class1",12.022,36.226,89.445,36.94,71.743,62,62.908,63,41.088,42.142,"U"
"Class2",36.085,40.374,16.101,29.284,25.422,85,77.74,37,24.788,55.527,"U"
"Class2",23.898,4.292,20.992,23.57,11.404,85,76.229,40,34.576,82.294,"N"
"Class2",17.991,27.803,27.748,33.829,21.174,85,73.863,60,18.74,75.017,"L"
"Class2",26.711,29.132,22.881,29.638,47.445,86,70.081,35,18.728,76.167,"N"
"Class1",14.773,45.298,66.571,36.662,80.712,23,79.581,22,33.356,60.605,"E"
"Class1",13.705,37.391,67.693,36.25,68.702,35,66.033,67,30.821,73.544,"U"
"Class1",12.174,27.403,88.712,35.873,80.752,55,53.75,45,15.841,47.557,"U"
"Class1",13.036,45.807,89.959,35.107,35.869,39,59.542,13,18.136,50.503,"L"
"Class2",45.101,26.513,23.284,39.628,17.767,85,81.836,57,38.1,50.448,NA
"Class2",31.054,20.307,23.992,57.589,50.553,85,71.351,94,16.995,105.396,"N"
"Class1",15.241,31.17,81.437,35.299,48.43,21,69.27,41,41.271,63.958,"W"
"Class2",37.335,48.336,24.32,27,33.333,85,73.369,58,23.846,46.752,"L"
"Class1",14.039,31.809,80.637,36.93,84.922,20,61.746,75,30.963,67.217,"K"
"Class2",28.573,27.047,24.821,55.716,25.067,85,71.453,80,40.692,61.724,"L"
"Class1",14.157,32.223,83.842,36.041,85.957,29,68.751,16,30.838,46.799,"W"
"Class1",14.329,21.841,69.07,36.976,78.532,25,72.885,78,23.91,38.873,"U"
"Class1",15.722,20.935,66.94,36.543,41.872,39,57.832,46,38.6,58.991,"E"
"Class1",12.593,32.667,86.611,36.031,84.937,39,65.408,74,10.079,70.997,"E"
"Class2",26.656,14.258,17.887,32.843,44.979,85,86.581,39,24.792,102.707,"L"
"Class2",25.018,35.869,25.063,42.475,31.224,87,84.43,62,33.237,76.683,"Q"
"Class2",35.53,25.418,20.779,61.442,18.407,87,80.476,47,39.885,53.433,"N"
"Class2",44.727,33.515,14.772,54.064,31.258,87,79.84,60,20.412,22.544,"N"
"Class2",10.612,29.966,20.536,33.181,32.374,86,80.787,54,12.358,79.274,"N"
"Class1",14.627,-0.919,74.474,36.673,31.903,62,76.632,74,33.241,50.958,"L"
"Class1",13.359,7.55,74.749,35.773,92.635,19,54.152,23,14.122,62.134,NA
"Class2",34.909,51.69,17.03,45.553,45.122,86,74.531,70,17.308,78.408,"Y"
"Class1",14.647,26.237,70.501,35.193,55.991,21,52.711,67,30.123,71.206,"E"
"Class1",13.736,43.748,84.587,35.894,54.44,58,66.633,38,14.686,48.944,"K"
"Class1",12.363,43.035,78.862,35.945,67.251,35,76.294,79,14.58,60.602,"E"
"Class2",45.307,37.682,17.825,35.304,13.186,86,78.706,86,28.675,70.888,"U"
"Class1",14.349,30.165,73.007,35.45,64.783,18,74.079,45,9.216,60.661,"L"
"Class2",25.548,25.611,22.635,57.3,40.127,85,78.469,89,33.691,21.704,"U"
"Class2",29.27,54.822,23.628,37.805,40.636,86,77.899,53,20.221,42.547,"L"
"Class1",14.275,39.434,86.033,35.832,64.236,40,46.907,28,9.296,49.887,"W"
"Class2",19.349,63.406,19.953,29.935,16.499,86,79.723,66,21.775,72.29,"Y"
"Class1",13.745,26.039,84.829,36.046,27.402,26,67.617,66,27.296,62.234,"U"
"Class1",13.974,20.273,76.469,36.847,26.788,58,66.302,73,40.566,53.217,"E"
"Class1",13.852,30.402,84.846,36.306,67.01,47,54.923,73,49.763,60.127,NA
"Class1",15.236,39.44,78.368,35.315,38.043,58,71.975,41,32.067,35.861,NA
"Class2",20.203,60.16,15.064,54.772,36.044,85,71.767,31,35.712,51.243,"N"
"Class2",29.223,21.969,26.497,57.953,30.279,87,74.023,38,23.533,51.494,"N"
"Class1",10.727,34.793,85.994,36.821,62.134,50,69.681,43,10.426,82.65,"W"
"Class1",14.677,12.236,88.824,36.987,21.059,58,42.969,82,29.563,54.244,NA
"Class1",12.199,36.837,75.454,35.333,46.751,30,89.045,79,32.669,37.606,"U"
"Class1",13.936,32.466,75.69,35.738,85.009,32,69.537,48,30.425,77.173,"K"
"Class1",14.851,31.286,81.671,36.019,68.746,44,107.1,71,37.141,60.451,"K"
"Class1",14.4,15.329,80.654,36.196,51.305,42,63.484,83,24.65,88.378,"W"
"Class1",14.275,2.974,89.186,36.923,51.872,43,67.622,12,19.823,63.133,"W"
"Class1",16.9,25.691,85.048,36.978,87.864,23,54.929,79,28.258,69.751,"K"
"Class2",26.533,15.503,25.03,57.587,13.285,85,88.065,56,28.92,72.303,"Y"
"Class1",13.883,35.698,88.504,36.694,73.866,44,61.816,67,41.4,89.272,"E"
"Class2",25.149,10.414,22.998,55.661,15.688,85,79.233,44,29.175,76.076,NA
"Class1",13.495,27.733,74.913,35.33,49.304,22,69.643,40,36,40.487,"L"
"Class1",12.543,25.704,85.321,35.276,25.198,31,37.638,22,19.672,61.917,"E"
"Class1",12.32,35.347,73.073,36.111,25.403,30,57.11,72,45.448,76.646,"W"
"Class2",22.511,16.81,24.065,29.073,21.042,87,74.731,47,36.209,48.577,"U"
"Class1",15.241,45.242,73.028,36.603,74.082,40,38.289,55,40.92,58.383,"L"
"Class1",17.054,40.027,79.538,36.628,26.075,23,55.613,82,17.895,45.145,"W"
"Class2",29.688,39.111,27.25,43.853,28.597,87,82.36,38,20.01,45.673,"N"
"Class1",14.145,30.647,81.017,36.965,91.34,18,66.748,75,36.713,57.165,"K"
"Class2",32.978,28.841,20.246,42.875,9.259,86,81.523,62,39.051,118.952,NA
"Class2",38.903,7.79,21.314,58.009,33.674,87,77.774,34,39.309,75.238,"Q"
"Class2",26.267,-0.203,14.02,41.627,9.031,85,72.705,94,34.59,61.926,"U"
"Class1",11.233,27.891,68.997,35.121,57.798,42,57.355,9,29.366,31.424,"W"
"Class1",10.475,20.873,67.462,35.083,23.305,32,66.927,22,34.755,29.618,"L"
"Class1",13.639,36.836,75.315,36.557,57.314,16,47.719,54,10.254,46.267,"E"
"Class1",14.381,16.151,77.27,36.315,38.136,37,61.104,31,14.429,59.426,"L"
"Class1",13.547,32.168,84.383,36.749,30.074,22,54.943,85,10.889,88.749,"E"
"Class2",10.187,24.969,19.452,29.95,18.093,87,85.522,49,35.863,18.48,"N"
"Class2",23.037,20.522,19.061,58.627,27.027,87,79.859,92,25.832,77.953,"N"
"Class2",21.648,16.371,27.703,39.366,32.614,86,84.417,39,32.391,36.443,"L"
"Class2",16.976,43.299,22.533,37.492,25.82,85,85.005,40,37.278,81.851,"Q"
"Class2",38.391,38.528,25.712,23.052,12.641,87,76.057,41,14.564,25.178,"N"
"Class2",34.451,14.585,14.325,53.623,12.763,86,80.332,37,33.794,91.049,"L"
"Class1",12.877,37.008,85.858,35.031,48.536,30,68.774,66,17.655,48.265,"K"
"Class1",12.927,29.718,71.218,35.888,92.905,27,72.693,82,18.969,54.544,"L"
"Class2",20.004,34.73,23.949,44.853,9.757,87,82.325,96,39.623,78.795,"U"
"Class2",33.885,60.929,19.984,57.979,22.805,87,80.477,35,33.716,107.547,"U"
"Class2",14.492,13.774,18.949,49.141,16.314,87,86.834,60,17.262,40.251,"L"
"Class2",32.133,14.131,22.472,22.306,14.94,85,72.785,41,28.822,31.893,"U"
"Class2",13.172,3.875,22.746,26.93,8.176,87,77.049,49,18.007,50.348,NA
"Class2",36.925,41.454,13.458,49.22,40.274,87,82.874,71,28.487,57.733,"L"
"Class2",29.05,44.362,14.306,49.861,29.702,87,81.053,41,23.884,48.077,"U"
"Class2",30.218,36.863,14.273,40.447,21.488,85,77.126,46,33.727,75.925,"L"
"Class2",17.902,34.834,19.845,55.874,40.901,87,76.565,33,35.659,90.908,"L"
"Class1",11.389,38.971,74.609,35.269,37.122,41,36.218,10,14.69,67.084,"K"
"Class1",14.985,44.152,81.131,36.942,58.27,38,58.607,70,20.801,56.478,"E"
"Class2",34.949,32.711,19.246,34.025,49.781,85,70.03,52,41.223,31.941,"Q"
"Class1",14.162,29.435,88.352,36.513,75.269,NA,67.241,42,41.17,78.337,"L"
"Class2",30.383,30.026,27.994,46.923,29.777,87,79.271,45,19.454,100.696,"N"
"Class1",13.254,30.42,76.902,35.802,69.916,38,39.72,75,25.727,65.667,"W"
"Class2",39.48,36.053,13.589,41.748,25.792,87,77.267,39,32.098,94.56,"Y"
"Class1",15.084,36.099,87.593,35.821,22.364,60,75.712,16,13.388,67.319,"U"
"Class2",27.498,23.983,14.623,19.389,29.276,86,74.923,53,40.165,69.676,"Y"
"Class2",22.288,38.773,14.679,47.799,7.544,85,76.416,95,12.43,75.726,"N"
"Class1",13.995,22.477,82.523,35.915,64.911,53,86.804,54,25.725,48.277,"W"
"Class2",15.638,41.399,16.703,55.487,33.272,85,87.296,35,13.543,57.844,"U"
"Class2",25.77,32.9,13.638,33.497,24.586,85,83.118,82,36.717,71.726,"U"
"Class2",34.261,53.614,16.552,38.765,15.555,85,80.405,67,35.715,63.857,"U"
"Class1",12.452,27.463,79.652,36.862,73.602,49,67.535,81,32.881,52.427,"U"
"Class2",33.722,15.988,17.71,35.919,10.427,87,76.143,77,22.57,52.758,"Q"
"Class1",14.809,16.773,68.223,35.7,68.169,32,49.795,10,19.16,61.327,"W"
"Class2",31.669,67.662,25.01,23.714,16.648,85,73.952,93,16.934,74.514,NA
"Class2",23.541,73.118,19.003,27.928,7.315,85,74.599,46,16.405,84.464,"U"
"Class2",33.366,19.803,23.694,26.96,19.366,85,82.382,31,19.26,-4.211,"N"
"Class1",12.952,25.542,84.779,36.647,74.883,28,70.936,14,24.87,59.479,"W"
"Class1",12.446,44.697,70.111,36.201,61.923,47,45.228,20,21.728,40.311,"K"
"Class2",41.191,37.641,20.141,21.84,17.054,87,81.304,64,42.401,58.861,"Q"
"Class2",6.709,33.786,23.671,49.875,20.929,86,76.214,90,12.259,38.452,"Q"
"Class2",17.571,80.299,16.861,39.733,50.024,86,79.151,61,31.494,76.804,"Y"
"Class1",12.698,24.788,87.977,35.422,21.034,46,41.074,68,23.189,48.782,"L"
"Class2",30.582,78.903,19.354,52.66,48.429,85,85.077,60,22.398,94.943,"Q"
"Class2",25.157,29.938,18.113,22.813,24.352,85,80.071,80,26.384,11.944,"U"
"Class1",14.835,19.756,68.244,36.809,42.834,52,61.182,50,12.468,68.379,"U"
"Class2",24.492,13.581,26.371,48.953,51.315,86,84.966,46,18.563,48.769,"U"
"Class2",38.154,24.741,23.153,48.568,16.23,NA,74.041,42,12.483,54.781,"L"
"Class2",16.268,49.096,24.482,24.738,21.851,85,83.101,86,36.609,25.258,"Q"
"Class2",32.372,28.094,21.351,40.96,28.216,86,74.545,56,19.975,36.155,"Q"
"Class2",39.59,57.67,16.415,35.561,11.693,86,66.294,94,12.311,55.709,"Y"
"Class2",20.367,34.711,24.137,30.625,39.992,86,74.396,87,29.449,53.844,"Q"
"Class1",15.055,18.163,73.509,36.392,19.318,22,59.273,76,24.829,43.397,NA
"Class2",33.082,56.39,24.963,58.791,19.476,NA,77.476,52,16.197,117.998,"L"
"Class2",37.167,18.503,25.033,50.231,30.508,87,75.94,67,33.529,110.145,"Y"
"Class1",15.127,35.872,80.711,35.009,85.354,53,71.509,68,38.911,43.588,"U"
"Class1",12.665,32.197,86.372,35.824,32.038,32,59.587,17,35.14,69.21,"W"
"Class2",17.254,43.288,16.361,31.666,21.633,85,84.252,36,38.956,71.867,"Y"
"Class1",11.942,44.563,75.187,35.322,34.62,52,92.415,48,21.354,60.398,"K"
"Class1",12.976,16.077,78.593,35.692,49.57,35,52.778,76,31.757,60.807,"W"
"Class2",19.583,20.69,27.207,36.63,39.8,85,74.846,95,28.465,102.442,"Y"
"Class2",37.304,51.432,19.89,34.865,25.251,85,87.304,71,42.615,67.314,"U"
"Class1",15.04,34.074,84.665,36.023,34.524,19,56.653,20,14.389,63.683,"L"
"Class1",14.806,26.995,67.823,36.461,74.97,19,81.801,25,30.306,54.109,"K"
"Class2",38.218,73.691,13.061,47.284,10.107,86,80.404,53,36.29,68.381,"L"
"Class1",11.719,53.093,79.8,36.288,71.183,54,66.008,9,45.935,53.156,NA
"Class2",24.584,48.223,18.942,57.185,15.583,85,81.393,69,18.563,64.62,"U"
"Class1",13.915,25.456,68.019,35.158,64.745,31,66.675,52,39.824,61.873,"E"
"Class2",43.133,33.936,18.288,36.039,41.705,87,82.395,79,29.653,63.693,"U"
"Class2",13.319,14.792,15.988,26.773,29.616,85,75.197,38,13.498,45.228,"N"
"Class2",22.673,49.363,18.353,39.153,47.092,NA,81.772,50,37.043,82.062,"U"
"Class1",12.253,32.744,79.427,36.265,89.579,26,80.187,31,46.821,61.744,"W"
"Class1",14.046,29.372,83.1,35.574,92.155,30,63.28,29,12.21,48.874,"U"
"Class1",14.999,55.247,74.891,35.629,30.517,49,60.676,18,17.492,59.574,"E"
"Class1",15.251,6.142,71.451,36.964,28.017,42,77.056,23,20.07,71.129,"L"
"Class1",14.819,26.974,74.079,35.96,27.251,61,86.553,71,22.739,38.383,"E"
"Class2",15.918,1.854,18.89,35.322,7.353,87,82.711,90,33.535,57.445,"N"
"Class2",27.942,37.294,23.018,30.504,8.749,87,87.619,72,20.412,36.066,"Q"
"Class2",21.528,52.585,24.625,58.343,39.507,NA,77.979,83,18.445,63.721,"L"
"Class1",15.31,24.059,68.397,35.523,36.4,57,58.925,31,20.12,31.349,"W"
"Class2",45.235,30.868,25.88,44.479,32.174,87,72.202,82,19.461,58.976,NA
"Class2",19.812,10.679,23.284,29.997,51.579,87,77.604,49,38.569,64.967,"Y"
"Class2",24.195,-6.519,26.235,44.143,46.19,87,88.714,46,17.516,30.856,"L"
"Class1",14.685,21.473,86.846,36.877,77.912,47,64.252,54,15.473,73.557,"U"
"Class1",12.816,30.789,69.861,36.522,28.739,57,90.463,24,12.588,60.38,"W"
"Class1",12.387,33.912,77.992,36.648,49.866,20,51.67,85,21.574,88.676,"K"
"Class1",12.551,28.723,66.211,36.392,32.025,58,66.6,13,40.136,65.704,"L"
"Class1",14.627,31.465,74.242,35.884,27.669,63,51.712,20,46.5,76.209,"U"
"Class1",13.937,8.17,66.118,35.581,82.354,16,64.746,67,41.68,68.077,"U"
"Class2",20.507,50.399,24.654,34.514,22.531,85,75.219,42,15.841,25.976,"N"
"Class1",12.314,41.967,71.322,36.601,41.502,62,78.692,16,29.02,85.959,"L"
"Class1",13.023,33.094,74.786,35.982,26.163,35,80.903,16,50.549,48.421,"W"
"Class1",13.66,29.771,72.607,36.145,62.256,45,75.227,84,43.567,31.809,"K"
"Class1",14.277,26.172,86.853,36.004,30.361,35,39.898,65,36.632,49.763,"U"
"Class2",34.38,-16.026,20.223,46.502,18.855,87,76.177,56,32.836,63.943,"Q"
"Class2",54.868,37.72,15.204,19.841,15.388,85,80.287,37,16.317,61.229,"Q"
"Class2",22.893,33.459,16.794,47.388,13.158,87,77.704,42,24.036,36.429,"Y"
"Class1",14.297,27.685,80.354,35.428,41.655,21,76.319,85,23.933,71.104,"E"
"Class1",14.066,27.713,71.191,36.305,67.8,39,78.648,39,46.018,55.201,"E"
"Class2",44.266,25.226,25.102,35.739,35.922,85,76.83,64,42.098,85.568,"L"
"Class2",39.202,19.962,27.099,58.935,13.357,86,76.308,51,21.334,36.849,"Y"
"Class1",14.07,48.152,75.893,36.713,44.481,51,38.61,21,22.775,32.749,"K"
"Class2",28.271,-16.951,14.827,39.213,13.8,86,86.27,49,14.613,119.737,"L"
"Class2",17.893,26.542,16.574,53.009,34.67,85,78.433,39,39.616,60.568,"Q"
"Class2",25.954,41.246,24.501,30.842,37.838,87,83.991,73,36.251,44.843,"N"
"Class2",35.406,34.357,24.976,58.213,35.789,87,83.372,49,18.975,72.209,"N"
"Class1",14.049,49.43,67.82,35.821,48.391,25,93.986,17,49.888,33.578,"U"
"Class2",26.338,28.016,21.196,56.315,22.997,87,85.694,72,16.236,67.363,"L"
"Class1",13.889,21.229,84.365,36.6,88.629,28,43.764,46,21.092,61.557,"U"
"Class1",15.8,25.807,80.467,36.274,66.722,55,54.877,47,16.336,47.302,"W"
"Class1",14.277,27.509,89.774,35.779,46.569,28,53.936,47,30.479,88.967,"W"
"Class1",13.212,32.16,67.449,35.538,23.984,21,61.27,58,30.193,55.324,"L"
"Class2",25.28,23.182,15.792,24.032,32.817,85,83.858,58,29.803,62.469,"U"
"Class1",11.771,39.854,76.483,36.126,51.188,58,76.63,16,31.502,58.469,"K"
"Class1",16.031,27.242,79.394,35.711,72.922,38,61.362,61,42.09,43.618,"K"
"Class2",24.672,20.823,27.973,57.741,29.546,87,87.828,62,37.814,60.086,"N"
"Class1",14.58,44.322,70.59,36.722,71.435,20,75.805,68,20.722,63.864,"W"
"Class1",12.798,50.357,81.435,36.915,27.319,61,46.132,23,43.713,74.877,"L"
"Class1",13.251,25.889,87.622,35.548,79.679,NA,78.317,82,18.295,61.276,"L"
"Class2",34.429,34.91,18.996,24.502,25.998,NA,86.953,56,33.84,43.279,"Q"
"Class1",14.608,45.158,67.459,36.529,83.769,39,67.64,58,36.035,44.698,"L"
"Class2",24.415,36.486,16.79,20.48,7.402,85,74.916,90,42.795,52.312,"U"
"Class1",14.32,27.396,70.273,36.162,85.475,24,73.361,73,46.14,65.475,"U"
"Class2",26.666,68.645,17.198,28.312,14.169,85,82.246,54,41.823,67.639,NA
"Class1",14.848,18.349,67.24,35.85,84.406,48,68.803,24,32.079,31.411,"K"
"Class1",17.6,45.353,72.617,35.206,86.515,26,70.171,78,36.659,76.058,"W"
"Class1",12.175,26.557,73.269,36.203,69.849,61,41.853,16,41.2,35.002,"E"
"Class1",11.669,34.752,74.451,36.708,66.232,18,76.852,36,23.906,44.582,"U"
"Class1",12.521,21.724,87.936,36.833,82.495,63,90.178,49,22.677,68.66,"U"
"Class1",13.896,25.892,85.304,35.332,74.732,22,72.822,46,33.554,52.455,"K"
"Class1",13.636,23.994,68.888,36.657,48.657,52,76.28,23,31.656,52.85,"U"
"Class1",16.261,25.85,80.695,36.216,84.998,45,53.085,70,39.689,45.881,"W"
"Class1",11.866,18.717,81.246,35.721,57.05,NA,70.858,31,37.457,62.33,"U"
"Class2",25.925,9.282,15.166,58.626,23.137,86,76.94,66,37.272,84.247,"N"
"Class2",21.217,31.432,25.533,58.551,15.655,87,74.263,61,16.519,74.065,"Q"
"Class1",13.923,29.212,71.811,36.473,74.967,38,79.704,29,38.672,58.66,"K"
"Class2",9.715,45.126,24.158,39.966,38.968,87,81.465,91,38.34,72.468,"U"
"Class2",26.564,32.895,22.94,50.251,51.02,85,85.783,39,31.719,71.548,"L"
"Class1",12.858,22.941,82.094,35.452,79.64,52,55.641,13,32.819,60.98,"W"
"Class1",15.223,31.684,67.15,35.635,66.05,62,47.144,67,30.494,68.074,NA
"Class2",15.967,32.842,13.726,55.454,8.564,85,78.364,68,33.009,93.993,"Y"
"Class1",13.984,32.275,89.995,35.27,55.394,35,81.097,30,47.725,58.927,"E"
"Class1",15.239,29.627,67.34,36.594,38.516,59,59.828,17,49.221,56.08,"K"
