"GKP1","ACK2","PAD3","MZP4","Output2","IXG5","QHX6","ZFG7","HRQ8","SIZ9","CEP10"
39.784,59.983,66.502,37.287,"Class2","L",29.836,"U",69.598,41.567,2
42.266,69.892,37.472,51.334,"Class2","G",36.316,"T",92.498,51.495,7
36.017,53.554,42.675,-0.907,"Class2","R",24.081,NA,139.338,42.527,0
19.978,38.688,41.266,96.159,"Class1","S",84.928,"Y",55.5,24.195,35
19.925,61.827,33.987,85.032,"Class1","S",91.824,"A",59.567,29.102,41
25.723,53.907,92.311,86.326,"Class1","A",89.058,"G",93.844,22.681,36
35.681,63.716,100.211,76.229,"Class1","L",84.221,"Y",55.809,27.039,29
39.066,60.398,30.824,44.175,"Class2","G",24.651,"V",41.625,45.732,3
27.325,43.984,31.687,90.168,"Class1","A",90.395,"G",56.043,18.757,30
22.71,63.771,66.345,84.76,"Class1","Q",84.308,"M",64.812,6.096,37
39.446,17.557,46.805,84.649,"Class1","A",85.143,"A",76.15,27.763,31
19.38,54.463,130.599,69.69,"Class1","A",87.38,NA,54.85,11.183,36
36.774,29.701,59.365,86.472,"Class1","A",88.397,"Y",80.428,19.599,28
37.609,63.67,30.382,45.576,"Class2","L",30.83,"N",67.67,51.017,6
39.917,58.728,44.33,62.07,"Class2","T",30.009,"T",110.527,43.168,6
41.281,53.816,41.492,79.457,"Class2","S",25.231,"U",110.185,44.512,1
27.303,60.992,49.934,82.139,"Class1","S",84.875,"R",73.896,9.845,41
38.393,58.718,44.373,43.99,"Class2","R",28.041,NA,55.988,50.137,0
41.814,60.694,36.273,41.292,"Class2","R",36.126,"Y",96.545,46.346,0
27.09,49.738,85.338,78.126,"Class1","Q",89.17,"Y",29.293,14.96,26
26.984,31.584,25.296,82.851,"Class1","A",88.458,"G",68.238,7.115,26
36.521,76.245,60.009,19.247,"Class2","T",26.471,"V",72.725,41.402,0
38.984,48.481,52.705,NA,"Class2","L",32.465,"Y",63.732,48.248,7
22.048,39.61,88.429,82.808,"Class1","Q",93.088,"Y",65.136,8.442,38
42.28,54.415,58.467,59.939,"Class2","S",29.785,"T",67.693,51.655,0
37.431,65.828,45.184,58.963,"Class2","T",31.494,"T",72.532,50.571,7
41.136,67.754,42.532,32.504,"Class2","T",32.678,"U",32.809,41.612,3
26.775,26.808,72.86,77.383,"Class1","A",89.878,NA,65.448,8.794,42
34.989,49.483,51.661,64.719,"Class2","R",28.547,"Y",51.473,51.939,6
40.84,60.735,26.522,37.107,"Class2","T",31.1,"U",48.601,44.559,2
44.195,68.499,33.089,41.105,"Class2","S",33.996,"N",24.145,42.584,3
34.895,78.797,60.613,24.012,"Class2","G",26.821,"V",52.484,41.737,5
33.606,43.183,25.371,2.722,"Class2","R",27.01,"N",50.37,44.301,3
41.605,65.372,53.451,42.611,"Class2","G",31.102,"V",48.496,45.368,5
34.839,66.724,59.187,NA,"Class2","T",36.468,"N",74.205,44.905,0
30.232,39.896,20.57,80.298,"Class1","L",84.687,"R",68.125,10.778,30
40.558,56.044,41.406,51.223,"Class2","S",27.164,"U",45.082,41.971,4
34.781,77.906,46.861,33.569,"Class2","L",25.636,"Y",46.058,49.294,4
35.553,61.52,38.647,47.855,"Class2","R",31.557,"V",32.92,44.813,5
41.321,60.517,41.886,21.754,"Class2","R",30.094,"V",71.059,48.001,6
28.509,41.191,71.39,73.024,"Class1","S",85.37,"G",91.483,30.549,24
35.428,65.343,28.092,89.601,"Class1","S",87.373,"G",71.396,13.889,33
37.066,43.698,33.718,24.996,"Class2","L",26.017,"N",24.549,43.765,1
41.852,62.245,48.344,45.055,"Class2","S",30.863,"V",94.24,46.122,7
11.859,34.577,55.637,80.782,"Class1","N",86.454,"Y",49.608,31.753,39
37.782,78.135,37.018,51.342,"Class2","R",25.182,"Y",42.023,48.648,6
20.978,62.381,81.857,81.599,"Class1","L",89.203,"A",54.719,24.572,23
35.961,71.095,45.178,49.695,"Class2","T",36.071,"N",46.34,51.779,6
40.174,38.795,24.659,NA,"Class1","A",87.753,"G",51.872,6.218,29
31.664,68.823,42.603,53.633,"Class2","T",30.727,"T",117.143,50.803,3
36.246,31.201,41.811,67.23,"Class1","S",87.987,NA,60.29,15.074,42
39.726,51.973,57.541,61.744,"Class2","T",27.966,"Y",47.402,41.145,7
38.549,55.598,92.706,91.474,"Class1","Q",90.333,"M",60.419,24.47,37
35.763,24.888,66.029,76.141,"Class1","L",84.651,"G",72.26,11.273,24
5.568,43.753,63.161,64.404,"Class1","A",92.303,"Y",55.719,18.414,40
35.857,77.619,22.418,4.087,"Class2","T",30.159,"V",69.375,47.596,5
25.868,49.965,64.344,88.585,"Class1","A",92.394,"A",93.089,23.426,30
37.269,70.825,40.142,35.995,"Class2","S",23.208,"V",27.1,43.781,3
36.608,57.829,36.363,60.36,"Class2","L",25.279,"U",28.453,51.002,0
38.18,57.628,44.378,28.025,"Class2","L",25.594,"T",109.005,41.523,4
37.282,65.732,30.832,NA,"Class2","S",36.627,"U",77.409,50.302,3
40.059,55.814,22.721,71.523,"Class1","L",91.769,"A",83.876,20.943,38
38.562,62.596,42.561,83.911,"Class2","T",27.939,"Y",59.9,49.173,1
40.405,69.312,50.747,61.566,"Class2","G",35.754,"U",33.16,51.196,7
29.448,18.355,64.663,73.47,"Class1","Q",84.191,"M",76.355,29.745,39
35.732,29.422,73.773,90.231,"Class1","L",86.174,NA,46.298,7.931,24
2.793,40.111,37.038,75.201,"Class1","A",86.898,"A",67.787,30.331,26
43.506,50.415,33.278,NA,"Class1","N",85.671,NA,75.976,12.612,30
37.132,58.397,16.911,21.814,"Class2","G",31.492,"N",50.323,43.404,3
39.934,50.864,52.865,35.276,"Class2","T",27.937,"N",24.739,47.702,4
28.994,30.434,27.144,78.381,"Class1","N",93.159,"R",82.706,29.513,38
25.934,66.295,110.516,86.048,"Class1","L",88.711,"G",44.204,25.666,29
43.361,52.172,39.892,NA,"Class1","N",84.589,"A",79.322,29.828,39
35.215,69.792,55.118,44.945,"Class2","R",31.167,"Y",76.881,46.438,3
34.644,68.11,46.722,0.366,"Class2","L",35.224,"Y",93.118,46.359,4
42.881,61.612,24.196,15.594,"Class2","T",23.635,"U",70.046,41.796,6
38.442,72.836,37.963,29.234,"Class2","T",25.629,"Y",33.126,44.403,3
12.368,20.132,65.485,74.768,"Class1","N",85.536,"A",84.03,20.673,35
40.284,29.473,94.078,80.313,"Class1","N",84.324,"A",76.041,11.088,25
12.604,62.527,77.448,75.834,"Class1","L",89.165,"G",41.5,18.174,39
4.032,47.318,29.537,70.046,"Class1","N",85.695,"G",52.534,30.234,35
21.804,30.946,87.593,71.749,"Class1","Q",92.962,"A",66.93,13.844,23
37.885,75.896,43.706,NA,"Class2","R",25.427,"V",55.982,49.056,6
25.163,51.425,99.565,80.82,"Class1","N",93.054,"G",102.244,23.9,32
36.521,46.353,45.682,-4.942,"Class2","T",31.475,"U",93.295,41.293,3
40.749,68.559,35.071,49.389,"Class2","R",23.167,"U",63.011,43.555,6
33.039,44.382,70.67,90.16,"Class1","L",92.714,"R",49.331,14.783,24
29.317,48.547,63.534,83.039,"Class1","S",85.666,"G",63.524,29.393,27
42.443,55.485,37.411,11.711,"Class2","S",34.212,"Y",45.747,50.399,4
43.473,17.752,51.148,85.305,"Class1","S",86.604,"R",68.485,12.505,40
40.782,64.294,38.246,52.601,"Class2","R",33.836,"T",80.581,51.545,3
37.062,48.304,45.401,41.112,"Class2","R",23.572,"U",103.359,48.347,2
39.516,43.35,23.278,19.173,"Class2","R",26.108,"Y",49.991,49.4,1
28.47,52.057,13.36,81.899,"Class1","A",85.881,NA,88.54,29.279,37
35.974,72.404,25.255,14.978,"Class2","T",24.941,"N",58.87,41.983,1
37.415,54.46,26.917,-11.18,"Class2","S",34.115,"U",41.057,49.573,0
40.345,72.735,39.526,49.084,"Class2","S",29.835,"Y",51.933,42.092,4
38.458,42.904,14.475,19.09,"Class2","G",27.268,"U",78.168,47.653,2
26.139,59.534,78.26,84.862,"Class1","N",93.04,NA,85.881,30.673,38
29.731,51.93,74.445,73.643,"Class1","A",84.668,"G",52.825,9.467,31
36.486,22.531,126.13,79.527,"Class1","L",93.261,"A",62.406,21.228,32
24.407,48.959,70.46,86.493,"Class1","N",86.902,"R",40.041,19.845,33
19.925,45.861,84.605,68.075,"Class1","A",91.624,"A",42.35,13.444,31
38.333,67.933,40.626,65.167,"Class2","L",23.231,"Y",92.846,48.398,2
37.689,78.471,47.255,19.222,"Class2","T",24.096,"T",50.84,43.094,7
26.519,61.951,75.322,NA,"Class1","S",92.155,"A",89.271,31.981,26
45.242,59.027,47.802,79.137,"Class1","A",85.389,"M",61.332,26.763,34
40.158,48.991,31.739,52.053,"Class2","R",24.468,"T",67.078,41.777,7
38.219,59.004,73.745,83.623,"Class1","S",88.186,"M",84.594,28.319,23
49.276,62.59,40.774,84.445,"Class1","Q",87.055,"R",72.956,9.978,41
40.738,63.307,33.251,50.134,"Class2","R",28.516,"U",68.55,49.921,1
34.457,58.212,41.984,13.936,"Class2","G",36.137,"U",20.414,47.744,4
21.817,29.902,30.007,NA,"Class1","Q",93.462,"Y",50.639,22.736,32
24.325,58.704,66.213,86.781,"Class1","N",92.72,"G",57.414,8.461,32
38.625,45.197,17.274,29.756,"Class2","S",31.471,"U",106.73,48.039,7
29.435,47.867,70.272,85.266,"Class1","N",84.453,"G",70.95,18.379,34
38.039,56.711,40.945,69.249,"Class2","R",25.585,"U",26.881,51.797,1
35.849,52.893,34.358,NA,"Class2","T",23.25,"V",39.869,51.674,5
41.314,56.557,12.375,23.622,"Class2","G",33.68,"Y",76.519,47.101,0
35.986,69.721,26.168,33.426,"Class2","S",29.045,"N",107.088,42.352,0
39.088,72.517,49.874,NA,"Class2","T",23.809,"V",31.969,44.893,4
39.927,66.992,33.683,34.57,"Class2","R",36.639,"T",81.721,50.863,2
39.347,77.419,45.782,60.305,"Class2","R",35.542,"T",76.193,41.017,4
37.806,64.34,31.124,45.726,"Class2","L",32.155,"U",50.042,43.338,3
43.497,23.318,79.267,84.287,"Class1","A",90.792,"Y",56.479,9.053,31
38.163,49.979,29.727,16.834,"Class2","S",32.222,"U",53.707,46.242,4
46.881,58.644,73.581,NA,"Class1","Q",93.873,"G",83.457,30.527,39
17.819,51.286,81.688,81.402,"Class1","Q",93.373,"Y",87.864,23.834,28
37.716,18.461,34.005,86.711,"Class1","S",89.74,"R",44.126,29.172,24
39.813,59.126,42.072,48.824,"Class2","S",36.168,"U",102.438,42.083,4
21.453,54.207,34.072,77.716,"Class1","A",92.583,"Y",70.63,8.458,26
35.735,58.748,31.159,4.769,"Class2","L",30.532,"T",24.184,48.053,3
27.741,65.57,88.383,87.631,"Class1","A",89.729,"R",84.459,17.945,33
37.631,56.142,32.117,40.412,"Class2","T",33.763,"U",52.018,42.015,5
41.991,55.355,40.483,13.978,"Class2","R",35.765,"N",53.881,48.144,1
11.182,28.844,45.236,73.72,"Class1","Q",91.336,"G",49.83,11.033,35
40.614,67.151,23.149,31.018,"Class2","S",30.225,"T",50.071,43.738,2
51.669,25.676,35.304,72.635,"Class1","L",90.127,"R",58.268,7.102,38
38.722,28.773,40.815,75.939,"Class1","L",90.947,"M",61.956,9.367,38
50.969,59.867,58.11,90.174,"Class1","A",86.719,"R",53.558,6.021,36
24.183,57.317,75.847,88.233,"Class1","Q",89.305,"M",72.003,7.452,36
14.782,58.492,93.126,68.648,"Class1","Q",93.91,"M",73.633,12.529,27
38.274,49.094,41.111,48.524,"Class2","L",35.027,"V",81.162,44.715,6
34.496,76.101,27.195,49.551,"Class2","R",27.201,"Y",62.132,48.34,6
38.783,78.635,46.786,59.616,"Class2","S",31.688,"U",84.086,47.39,0
35.968,76.239,57.535,23.416,"Class2","L",31.461,"Y",63.67,47.652,5
16.744,52.227,67.816,83.801,"Class1","N",87.013,"Y",64.422,24.5,26
25.119,52.996,58.585,86.654,"Class1","Q",89.549,"A",96.948,25.217,38
36.741,60.941,24.67,48.919,"Class2","G",29.328,"Y",25.226,43.963,2
33.636,29.65,56.301,83.328,"Class1","N",90.256,"G",63.31,11.056,26
38.922,49.716,58.314,35.844,"Class2","R",31.618,"N",83.963,47.635,4
21.156,33.506,49.348,86.482,"Class1","S",90.385,"R",49.064,8.734,30
37.931,60.194,49.943,57.932,"Class2","T",36.536,"N",37.03,44.198,1
36.599,42.045,45.857,37.016,"Class2","R",31.472,NA,65.217,49.252,5
37.99,48.061,62.683,35.447,"Class2","S",35.67,"V",9.711,50.67,4
45.355,59.84,21.586,31.572,"Class2","L",23.46,"V",105.328,43.191,6
27.18,60.05,59.681,86.027,"Class1","L",92.21,"G",60.444,12.737,31
39.44,53.628,29.869,46.909,"Class2","L",23.68,"Y",35.412,46.183,0
39.629,66.479,18.68,78.634,"Class2","G",27.298,"U",31.06,50.824,3
36.725,62.193,53.633,NA,"Class2","S",36.597,"U",94.24,45.325,2
36.263,54.293,40.959,15.713,"Class2","S",30.689,"N",34.018,42.987,3
-0.642,46.843,67.71,76.423,"Class1","A",92.364,"A",45.612,29.768,32
36.778,37.784,46.964,69.052,"Class1","N",84.128,"Y",85.805,9.846,24
35.322,58.526,61.708,45.132,"Class2","S",34.871,NA,80.829,41.292,7
42.08,58.235,64.773,84.602,"Class1","S",93.163,"Y",65.441,19.988,25
38.292,67.13,50.973,75.736,"Class2","L",27.852,"V",63.874,48.562,3
33.823,21.315,70.556,64.161,"Class1","N",89.599,"R",71.46,9.141,23
36.165,42.621,47.383,44.66,"Class2","T",28.733,"N",137.861,45.905,5
24.327,66.084,88.506,80.574,"Class1","L",93.533,"G",70.361,8.564,41
36.034,75.082,29.489,41.305,"Class2","G",35.49,"T",59.074,50.878,2
40.697,62.024,36.952,-2.404,"Class2","T",30.686,"N",3.886,48.564,0
27.761,39.639,44.022,81.595,"Class1","S",86.541,"R",94.073,17.201,36
11.202,44.727,31.211,80.279,"Class1","L",92.063,"M",105.295,11.964,34
35.34,70.277,55.622,34.864,"Class2","G",29.267,"V",80.755,51.682,3
33.669,62.804,49.589,39.192,"Class2","L",29.357,"T",107.112,49.786,5
41.955,55.343,47.367,21.747,"Class2","R",29.325,"T",74.092,50.181,2
38.619,78.153,56.523,26.251,"Class2","R",30.189,"N",-0.973,45.038,5
22.005,54.751,70.224,85.057,"Class1","S",87.063,"R",83.751,26.796,42
34.849,73.277,17.945,NA,"Class2","S",27.605,NA,49.032,42.802,3
27.676,24.982,58.409,76.081,"Class1","N",89.233,"M",91.373,11.563,31
28.64,55.821,78.455,89.118,"Class1","S",86.734,"M",61.349,11.749,24
37.158,57.792,31.154,64.8,"Class2","R",25.822,"N",60.578,46.693,7
37.308,46.116,34.983,24.45,"Class2","G",32.239,"Y",13.816,43.232,3
40.308,77.369,56.819,19.779,"Class2","L",33.765,"V",36.351,41.352,3
39.291,54.423,35.618,13.913,"Class2","S",31.356,"N",59.748,42.848,7
38.869,42.377,43.955,45.594,"Class2","R",28.957,"U",92.015,47.081,1
33.862,75.614,24.12,-6.185,"Class2","R",28.952,"N",59.059,51.598,7
34.542,55.556,0.879,83.269,"Class1","S",89.447,"R",64.89,25.269,32
21.815,43.947,52.435,76.532,"Class1","A",88.757,"G",32.085,19.492,31
30.554,61.02,32.535,84.688,"Class1","Q",92.093,"Y",88.551,7.432,28
26.298,65.359,50.907,87.859,"Class1","N",91.184,"G",69.865,25.57,37
17.529,51.492,83.67,83.975,"Class1","L",89.813,"Y",81.414,11.452,23
42.294,73.272,45.852,46.327,"Class2","S",30.05,"U",83.996,46.796,6
36.89,19.678,41.034,81.524,"Class1","Q",88.894,"A",65.537,20.56,37
21.826,66.163,79.62,82.888,"Class1","L",92.885,"A",56.78,21.758,34
35.892,52.16,19.991,82.905,"Class1","S",89.664,"Y",35.126,12.585,32
33.466,52.717,91.134,78.349,"Class1","L",85.062,"Y",60.158,29.52,34
44.178,50.077,36.549,67.959,"Class1","L",90.1,"G",61.199,27.016,37
26.869,56.136,42.202,78.729,"Class1","N",84.114,"M",72.137,27.89,39
43.265,65.912,37.313,52.87,"Class2","R",24.948,"N",57.125,43.469,7
18.634,66.798,63.509,75.571,"Class1","N",91.504,"G",49.086,17.175,30
19.955,29.626,79.616,66.375,"Class1","N",90.688,"M",78.827,6.002,35
28.618,59.46,49.566,81.227,"Class1","L",91.715,"Y",63.404,6.755,41
46.938,41.437,33.428,59.179,"Class2","S",29.21,NA,41.497,42.144,4
37.582,73.254,23.627,52.573,"Class2","R",29.857,"T",86.054,41.358,4
39.265,67.985,45.212,28.828,"Class2","L",36.333,"U",45.009,46.323,5
39.362,65.123,66.434,35.273,"Class2","R",35.197,"T",64.3,44.55,2
35.346,64.531,31.086,81.165,"Class1","L",86.133,"R",66.638,8.902,30
41.074,48.286,43.282,68.118,"Class2","T",31.722,"V",60.837,49.946,1
34.698,55.984,38.721,45.688,"Class2","G",25.576,"N",68.604,51.016,7
32.38,23.22,25.45,64.737,"Class1","Q",86.795,"M",51.874,11.679,32
38.149,59.216,40.76,54.813,"Class2","R",29.447,"V",74.994,45.922,0
17.319,39.945,42.717,NA,"Class1","N",91.797,NA,84.848,13.55,28
35.761,68.208,33.129,28.326,"Class2","S",33.899,"T",107.113,49.54,4
20.064,29.448,69.015,84.187,"Class1","N",93.44,"Y",91.739,27.19,35
46.941,56.914,80.391,84.335,"Class1","A",92.717,"R",88.2,26.515,23
28.435,32.4,28.505,89.8,"Class1","L",84.501,"M",85.359,25.503,41
33.319,31.12,58.45,83.321,"Class1","N",89.76,"A",60.495,6.001,28
32.852,29.196,50.24,77.961,"Class1","L",89.578,"G",38.751,28.232,38
23.538,65.929,56.459,75.502,"Class1","A",84.71,"M",39.65,30.134,31
23.68,22.358,61.782,69.187,"Class1","N",91.073,"A",92.92,21.46,41
38.956,77.232,33.686,58.036,"Class2","L",33.654,"T",49.871,50.885,7
35.359,69.849,34.789,63.801,"Class2","S",27.824,"N",72.552,43.059,5
30.32,45.502,85.146,84.105,"Class1","A",87.448,"M",95.802,17.529,28
34.505,50.377,62.936,35.849,"Class2","L",30.23,"N",64.245,47.263,3
28.238,65.983,72.805,80.917,"Class1","Q",87.79,"M",29.814,9.905,29
25.483,62.825,75.482,69.279,"Class1","A",90.826,NA,74.66,20.127,32
28.075,49.719,85.353,76.274,"Class1","L",93.604,"M",58.294,18.219,31
37.946,60.592,26.628,43.556,"Class2","R",23.021,"T",45.249,42.419,1
42.472,29.99,32.541,79.303,"Class1","N",88.487,"G",55.679,6.073,40
35.015,44.386,34.319,22.732,"Class2","G",29.96,"V",55.244,44.622,6
30.209,46.908,89.492,86.484,"Class1","N",84.662,"M",83.058,8.736,24
30.341,21.248,65.616,92.763,"Class1","S",84.419,"R",92.501,27.77,39
36.451,64.934,36.548,70.738,"Class2","R",36.825,"T",38.898,41.132,3
18.188,46.245,89.862,82.245,"Class1","L",85.569,"G",74.197,20.991,29
21.196,63.976,64.203,90.441,"Class1","A",88.25,"A",38.192,29.057,23
36.982,64.33,41.2,47.029,"Class2","T",27.207,"Y",52.241,49.034,4
38.154,59.251,17.73,55.226,"Class2","S",35.825,"Y",44.574,50.171,0
23.872,50.623,54.121,76.564,"Class1","N",86.673,"A",85.677,30.675,29
40.71,47.784,37.511,33.591,"Class2","T",30.456,"U",77.191,50.649,2
44.769,43.993,46.524,46.738,"Class2","L",31.789,"U",96.675,47.67,0
40.54,47.092,30.691,35.82,"Class2","T",28.925,"U",80.228,44.217,3
29.729,47.253,91.025,88.23,"Class1","L",88.86,"Y",90.626,11.041,29
36.555,58.074,65.195,75.349,"Class1","L",85.463,"G",72.481,15.569,42
35.272,43.002,28.948,67.693,"Class1","L",89.934,"G",75.797,19.399,28
23.886,29.446,49.393,74.877,"Class1","S",92.64,"R",74.155,22.756,36
35.285,60.915,5.619,9.85,"Class2","L",31.648,"N",43.5,42.763,5
42.664,59.229,37.782,84.486,"Class1","N",84.331,"G",54.556,10.337,29
11.223,28.812,53.824,89.211,"Class1","A",84.603,"M",69.11,9.942,25
21.731,55.211,79.661,83.451,"Class1","S",85.284,"G",70.623,19.399,32
38.383,76.221,40.161,34.44,"Class2","T",32.899,"Y",34.308,47.323,5
37.943,53.803,49.839,-4.719,"Class2","T",28.865,"U",68.118,50.346,0
39.631,72.766,46.249,71.196,"Class2","R",24.507,"V",41.102,51.094,5
43.832,41.158,75.409,86.468,"Class1","N",92.628,NA,66.471,9.34,26
11.038,30.448,47.724,80.514,"Class1","L",91.877,"Y",65.84,7.189,34
39.005,56.713,26.298,59.137,"Class2","T",28.98,"V",112.283,49.01,7
51.977,48.639,73.254,90.325,"Class1","N",84.706,"G",64.717,7.921,30
36.129,45.354,36.517,46.317,"Class2","G",28.178,"U",17.072,48.622,5
24.17,59.897,34.219,88.924,"Class1","L",86.135,NA,50.33,10.661,29
36.853,78.527,40.923,NA,"Class2","G",24.188,NA,76.528,48.33,6
39.042,71.647,32.075,15.437,"Class2","L",27.419,"N",24.388,45.019,2
36.181,51.364,29.035,20.13,"Class2","G",30.151,"U",43.785,42.326,1
33.536,62.453,42.328,11.689,"Class2","L",30.244,"N",39.263,43.386,7
35.583,73.951,47.322,35.17,"Class2","L",24.179,NA,-2.313,51.863,3
39.115,78.493,55.552,33.627,"Class2","L",34.487,"T",100.377,42.323,4
31.678,46.02,61.753,85.288,"Class1","N",85.055,"M",85.691,21.115,29
40.987,25.97,78.613,84.189,"Class1","N",87.613,"M",69.19,27.265,42
36.096,60.47,49.15,24.452,"Class2","R",26.114,"Y",53.86,49.197,5
37.472,69.397,51.256,50.476,"Class2","T",27.001,"V",21.587,51.718,7
21.905,53.873,39.24,84.039,"Class1","Q",86.544,"G",67.149,16.752,37
21.948,43.552,20.096,69.87,"Class1","Q",84.616,"A",50.74,16.318,36
35.024,27.768,114.288,77.346,"Class1","Q",86.677,"R",80.038,19.514,42
37.571,47.041,28.878,9.711,"Class2","R",26.535,"U",42.344,43.8,3
38.232,47.626,44.475,54.679,"Class2","R",28.124,"T",83.052,45.507,7
37.636,66.496,58.865,40.785,"Class2","G",36.869,"N",66.804,41.833,5
35.342,17.855,20.344,83.673,"Class1","S",88.138,"M",36.479,25.666,26
41.007,45.284,37.391,41.877,"Class2","R",31.723,"V",23.223,49.91,4
58.386,31.397,49.212,80.571,"Class1","A",92.388,"Y",64.086,21.664,23
38.659,66.072,61.008,20.716,"Class2","G",32.947,NA,54.44,46.431,4
36.107,51.248,19.223,34.93,"Class2","S",31.886,"U",90.964,49.587,0
38.096,70.255,29.547,31.488,"Class2","S",33.739,"U",68.907,44.557,0
38.435,48.642,33.99,23.237,"Class2","S",30.326,"T",84.222,45.755,4
9.529,53.011,79.992,89.526,"Class1","Q",89.417,"R",52.402,20.812,37
42.882,45.862,28.343,34.151,"Class2","R",24.44,"N",62.407,50.977,0
40.974,54.008,52.103,40.855,"Class2","G",31.881,"U",31.801,51.935,6
36.987,69.126,21.196,29.375,"Class2","R",23.208,"T",84.872,44.446,4
44.056,71.62,29.449,NA,"Class2","L",32.151,"Y",42.345,44.962,6
33.817,41.419,77.004,81.778,"Class1","L",89.945,"R",33.683,30.527,37
27.826,18.355,44.937,95.403,"Class1","A",89.612,"Y",56.348,10.448,24
37.283,48.301,42.876,47.315,"Class2","L",36.436,"U",36.654,45.577,3
39.841,69.219,30.48,36.372,"Class2","S",25.441,"T",40.295,43.066,1
15.832,21.851,45.17,90.505,"Class1","Q",86.648,"Y",45.826,31.998,31
40.121,48.504,43.221,56.923,"Class2","G",30.366,"U",17.598,46.626,6
43.314,50.896,59.606,81.96,"Class1","S",93.081,"G",65.034,14.215,42
41.772,68.11,29.539,33.924,"Class2","R",26.743,"U",70.849,51.538,4
38.697,69.682,36.51,30.274,"Class2","R",28.455,"T",86.171,41.626,4
35.362,36.62,45.455,91.133,"Class1","Q",88.796,"Y",46.031,29.412,25
37.377,65.508,42.184,41.802,"Class2","R",35.041,"Y",90.716,44.811,6
42.499,32.669,48.441,86.773,"Class1","N",84.313,"M",74.029,26.422,42
38.444,44.632,29.813,27.987,"Class2","L",36.125,"U",86.236,41.564,4
38.017,68.386,59.295,53.65,"Class2","T",24.383,"Y",61.203,44.646,2
37.216,57.759,45.013,-1.517,"Class2","G",29.213,"Y",53.501,45.597,4
22.236,66.639,67.817,84.101,"Class1","N",85.801,"G",53.269,11.407,34
40.126,61.278,55.183,42.289,"Class2","L",30.168,"U",69.34,44.016,6
39.319,47.528,55.452,81.907,"Class1","Q",88.311,"G",58.776,31.549,28
40.044,71.977,22.497,43.943,"Class2","T",34.364,"V",19.685,43.504,0
36.631,23.645,70.041,82.685,"Class1","S",91.161,"Y",73.784,15.364,37
23.519,28.057,43.749,80.368,"Class1","Q",84.02,"A",57.353,23.027,27
41.41,73.241,42.35,35.182,"Class2","R",32.584,"U",31.954,47.571,0
37.762,59.763,20.987,55.673,"Class2","L",30.542,"T",55.135,51.642,4
36.893,43.904,77.525,75.5,"Class1","A",92.858,"A",73.51,23.441,40
42.003,77.052,11.642,25.808,"Class2","L",32.283,"Y",99.754,49.073,2
36.528,61.588,45.82,30.764,"Class2","L",35.655,"N",62.043,47.726,6
18.632,39.652,65.078,NA,"Class1","S",90.779,"A",73.992,26.007,31
35.255,45.996,26.189,36.663,"Class2","R",28.102,"Y",31.288,44.11,0
35.472,73.298,31.667,7.035,"Class2","R",33.513,"Y",63.947,50.773,0
11.947,24.746,70.196,85.583,"Class1","S",87.627,"Y",62.237,21.531,26
41.218,43.511,35.08,54.41,"Class2","S",24.144,"U",59.242,45.067,7
22.677,36.858,65.071,70.976,"Class1","L",86.559,"M",86.919,15.629,29
22.531,39.384,96.536,77.009,"Class1","Q",92.498,"G",60.83,31.068,36
32.319,56.886,34.848,30.427,"Class2","T",35.153,"V",73.85,46.908,7
32.741,63.05,94.424,75.445,"Class1","L",91.826,NA,43.525,30.458,24
33.917,76.373,28.599,18.776,"Class2","S",28.288,"V",54.458,43.687,6
29.182,65.435,69.924,80.064,"Class1","A",91.516,"M",45.737,11.138,25
40.715,78.665,35.949,60.242,"Class2","T",31.535,"V",-18.732,41.631,4
36.597,64.616,49.297,24.163,"Class2","T",36.452,"Y",40.141,42.612,3
40.654,48.618,49.283,16.944,"Class2","S",31.375,"N",56.903,51.341,5
32.471,54.093,43.135,16.094,"Class2","L",25.246,"U",40.935,50.437,4
32.68,39.545,31.78,85.765,"Class1","L",89.857,"A",67.762,10.913,35
33.386,18.526,41.402,77.818,"Class1","L",88.409,"Y",59.913,18.217,40
38.177,48.292,21.071,23.197,"Class2","L",32.155,"T",23.91,47.451,5
19.348,33.399,53.295,78.74,"Class1","L",88.754,"Y",76.89,23.522,41
32.63,53.917,56.654,46.362,"Class2","T",28.283,"T",18.439,44.789,3
19.286,49.363,43.482,84.452,"Class1","N",86.418,"M",74.162,22.675,26
36.809,61.611,39.41,39.858,"Class2","R",23.556,"T",62.193,42.95,4
7.779,57.43,67.59,80.075,"Class1","N",88.042,"G",44.05,30.685,32
34.533,42.755,59.872,79.257,"Class1","L",91.605,"A",36.449,6.422,34
19.522,65.895,26.66,83.741,"Class1","A",86.499,"Y",62.158,26.961,29
22.615,26.68,67.32,79.245,"Class1","L",88.422,"M",56.652,19.509,26
19.822,37.723,80.003,79.535,"Class1","N",87.833,"M",67.234,25.008,32
37.626,56.687,75.25,73.117,"Class1","S",90.718,"G",53.096,19.971,26
25.189,31.641,52.823,92.774,"Class1","S",89.396,"G",87.001,13.358,33
26.251,65.845,96.503,77.881,"Class1","N",91.118,"Y",105.078,12.154,34
14.279,26.084,103.239,78.48,"Class1","L",90.624,"G",69.121,6.623,39
39.219,32.303,51.776,84.932,"Class1","A",88.584,"Y",81.818,6.537,27
37.075,68.153,41.713,39.57,"Class2","S",26.09,"Y",96.295,42.359,3
