"ONE1","IKD2","BMI3","ZSL4","RJC5","VJC6","PKO7","EST8","CYT9","Output6"
51.99,58.189,76.311,53.189,59.268,48.943,"A",92,26.278,"Class4"
97.001,95.402,80.224,56.056,90.042,88.069,"F",96,111.514,"Class1"
34.784,41.252,63.663,13.891,15.335,65.998,"T",30,64.369,"Class5"
55.368,70.308,15.238,15.694,11.165,37.957,"T",3,58.705,"Class3"
16.934,81.433,12.788,18.003,14.477,53.267,"D",26,NA,"Class3"
77.824,23.792,28.898,35.819,69.278,7.152,"G",64,67.944,"Class2"
78.182,51.357,75.922,40.342,29.067,60.379,"I",78,20.177,"Class4"
42.444,52.275,7.902,28.679,20.418,48.866,"M",20,38.043,"Class5"
55.987,78.924,23.231,18.937,0.167,41.311,"N",28,55.312,"Class3"
96.979,10.319,72.265,56.825,36.668,76.864,"N",98,83.52,"Class1"
97.138,78.312,65.245,54.883,84.258,83.168,"N",99,93.366,"Class1"
85.826,21.899,17.487,90.232,71.393,28.23,"G",93,100.673,"Class2"
37.71,41.827,73.028,26.267,20.097,65.751,"M",27,72.039,"Class5"
17.219,75.68,31.19,19.453,0.331,42.322,"O",12,71.814,"Class3"
11.288,78.008,22.698,17.745,0.585,40.174,"T",24,65.607,"Class3"
47.562,67.875,20.256,19.78,12.692,54.973,"D",39,83.488,"Class3"
53.824,69.53,17.167,18.428,15.293,37.874,"F",22,72.408,"Class3"
40.672,73.54,22.946,18.784,8.813,27.586,"D",7,66.155,"Class3"
96.477,46.078,63.675,61.037,35.848,72.208,"M",99,59.539,"Class1"
92.225,27.637,59.414,67.821,69.687,74.058,"W",95,1.467,"Class1"
38.26,57.501,52.986,30.328,22.073,50.275,"F",26,50.942,"Class5"
97.962,74.686,68.112,62.993,75.71,79.708,"B",95,42.858,"Class1"
51.63,43.19,37.987,19.811,22.238,68.12,"F",28,52.874,"Class5"
70.082,24.818,56.229,43.263,70.91,7.952,"C",90,69.023,"Class2"
51.492,84.735,21.352,19.347,7.847,44.631,"F",15,79.135,"Class3"
27.552,84.073,21.197,15.859,13.314,27.523,"F",7,68.062,"Class3"
97.527,59.175,60.506,68.57,77.303,84.154,"N",100,79.089,"Class1"
34.711,48.598,23.437,9.002,16.717,54.993,"J",37,48.281,"Class5"
68.9,67.871,74.722,58.571,46.299,78.255,"W",66,24.301,"Class4"
49.669,77.551,21.208,18.809,14.481,40.321,"D",29,85.256,"Class3"
81.015,25.76,37.323,57.563,81.673,25.079,"G",92,49.149,"Class2"
87.163,44.902,79.725,57.933,65.702,32.832,"W",65,31.238,"Class4"
63.17,83.284,81.43,45.439,63.736,53.51,"C",74,41.499,"Class4"
97.227,54.174,71.584,67.771,NA,81.144,"F",99,21.264,"Class1"
4.939,77.852,20.68,18.122,0.871,43.27,"D",3,75.513,"Class3"
86.295,25.3,31.704,48.826,70.937,12.079,"C",71,64.176,"Class2"
80.819,24.928,45.79,40.782,70.59,14.621,"P",83,48.436,"Class2"
74.286,22.999,12.359,62.964,67.543,16.442,"T",90,73.448,"Class2"
95.992,55.671,63.08,66.894,58.662,85.656,"N",99,83.446,"Class1"
37.818,52.76,53.489,26.08,22.169,67.811,"V",39,67.592,"Class5"
49.624,64.952,79.193,59.319,48.096,51.425,"I",82,14.962,"Class4"
30.628,60.042,49.702,12.427,16.544,55.757,"T",23,76.837,"Class5"
79.494,25.593,57.571,31.666,76.181,26.779,"P",92,81.159,"Class2"
41.02,67.546,81.635,40.6,82.894,63.791,"W",80,51.778,"Class4"
65.18,72.328,34.818,17.332,14.631,50.262,"N",29,52.691,"Class3"
67.846,76.09,75.423,37.438,50.328,37.954,"A",71,14.501,"Class4"
37.025,77.604,26.95,16.542,13.445,36.119,"O",17,67.875,"Class3"
42.194,71.566,14.694,19.188,6.578,56.105,"O",20,65.825,"Class3"
83.978,25.2,35.515,35.184,62.539,27.048,"T",63,101.161,"Class2"
97.461,11.828,88.827,56.554,84.201,87.535,"W",99,NA,"Class1"
81.702,23.04,30.924,64.956,77.878,9.203,"P",87,37.212,"Class2"
95.759,80.93,78.104,60.622,72.756,79.31,"F",100,36.782,"Class1"
50.269,54.053,78.018,30.913,20.164,63.654,"M",35,63.782,"Class5"
98.539,72.046,47.516,59.621,NA,77.905,"N",95,24.856,"Class1"
42.951,57.253,80.02,14.136,16.792,51.669,"V",34,60.586,"Class5"
37.08,43.437,75.131,23.428,17.596,66.185,"M",21,70.405,"Class5"
40.501,54.697,4.925,13.65,22.888,64.198,"T",24,65.211,"Class5"
94.464,25.463,19.078,80.231,76.178,18.792,"C",84,75.982,"Class2"
41.88,52.461,36.132,15.418,15.071,56.916,"F",36,48.555,"Class5"
95.603,60.694,71.847,57.736,87.3,76.396,"W",98,18.463,"Class1"
96.813,27.721,73.838,54.123,66.009,69.496,"N",98,71.883,"Class1"
80.202,78.083,79.125,55.578,50.037,63.761,"C",66,-4.48,"Class4"
48.654,57.572,16.323,33.317,22.334,60.107,"M",37,54.295,"Class5"
4.961,83.258,19.425,19.863,2.473,39.389,"N",7,74.506,"Class3"
96.907,60.132,62.469,66.526,68.579,87.646,"W",99,50.747,"Class1"
97.087,21.561,63.335,58.462,45.146,76.584,"N",97,88.162,"Class1"
94.984,30.992,49.638,58.683,91.127,84.396,"W",100,72.55,"Class1"
96.27,85.681,62.667,64.85,33.011,85.486,"W",100,79.03,"Class1"
72.358,24.653,32.25,65.433,71.234,18.384,"P",83,82.283,"Class2"
96.693,34.552,63.463,67.569,46.298,86.417,"W",100,65.031,"Class1"
72.891,24.297,21.155,27.159,86.715,12.333,"P",92,72.967,"Class2"
96.867,64.069,60.539,68.852,86.064,69.993,"F",95,66.945,"Class1"
69.322,24.496,64.001,88.144,88.011,23.125,"C",64,61.272,"Class2"
63.886,50.321,79.565,39.9,49.16,70.451,"H",74,26.486,"Class4"
30.96,44.038,-1.302,13.43,21.405,55.111,"J",20,54.675,"Class5"
29.436,55.364,46.27,18.193,21.942,62.054,"J",35,56.824,"Class5"
17.503,74.787,13.036,16.464,9.417,25.729,"F",31,NA,"Class3"
51.462,66.968,62.867,29.594,22.74,63.622,"M",38,61.862,"Class5"
34.875,52.35,69.972,32.119,20.766,46.531,"M",25,NA,"Class5"
48.324,84.06,22.431,19.06,12.846,39.404,"T",26,60.019,"Class3"
10.143,76.822,17.923,17.191,8.301,32.407,"O",11,48.101,"Class3"
33.28,58.847,64.063,19.589,21.754,50.486,"V",38,51.247,"Class5"
46.307,64.97,73.817,40.019,34.922,45.464,"W",90,52.75,"Class4"
49.075,59.068,-10.096,25.068,20.617,57.256,"T",31,42.207,"Class5"
41.406,52.599,17.492,22.468,22.681,52.484,"T",20,48.016,"Class5"
95.712,25.372,59.81,59.171,88.247,87.608,"F",95,79.515,"Class1"
28.71,75.646,33.809,18.43,0.235,56.023,"N",13,58.209,"Class3"
97.371,58.255,52.132,66.481,45.812,84.675,"M",96,89.506,"Class1"
35.375,79.558,27.461,17.903,15.104,29.416,"O",5,47.986,"Class3"
97.167,31.262,68.022,69.292,NA,70.203,"B",97,NA,"Class1"
36.257,47.244,18.392,22.017,17.953,69.109,"F",22,45.029,"Class5"
54.708,86.473,74.913,55.534,59.83,54.414,"W",90,49.134,"Class4"
11.48,75.663,22.554,17.258,3.056,40.941,"F",23,83.427,"Class3"
33.769,54.917,79.415,54.437,34.955,77.839,"I",63,17.311,"Class4"
45.872,65.769,74.102,65.732,NA,47.344,"I",72,47.856,"Class4"
98.328,23.215,64.638,61.959,42.081,79.516,"W",96,40.432,"Class1"
59.863,73.618,26.706,15.669,NA,56.807,"N",13,70.575,"Class3"
98.13,51.929,66.811,61.372,66.996,71.336,"N",98,76.578,"Class1"
34.267,59.406,19.54,31.778,17.525,44.065,"J",23,75.396,"Class5"
75.175,26.547,31.756,67.871,75.139,14.971,"C",91,52.342,"Class2"
46.414,56.895,83.181,53.588,30.313,72.4,"A",59,19.34,"Class4"
28.544,78.325,17.106,15.16,7.754,35.42,"D",30,77.082,"Class3"
38.009,46.729,64.981,24.048,22.337,63.06,"M",33,72.869,"Class5"
35.479,73.579,22.091,19.093,13.392,40.032,"O",16,76.706,"Class3"
37.521,52.77,65.416,28.611,NA,56.457,"M",35,65.153,"Class5"
79.667,24.748,13.967,52.842,82.649,19.563,"F",65,35.249,"Class2"
36.52,74.937,16.288,19.736,8.831,32.696,"F",29,53.711,"Class3"
87.224,24.521,46.515,24.971,62.958,11.532,"C",91,85.166,"Class2"
71.017,23.689,45.887,41.363,62.284,27.351,"P",78,55.442,"Class2"
98.065,29.651,76.744,54.572,37.784,80.469,"F",100,99.156,"Class1"
83.38,23.795,31.778,88.696,93.643,24.869,"G",93,109.777,"Class2"
79.235,23.672,23.988,80.501,90.105,25.914,"F",71,62.152,"Class2"
30.571,51.07,32.781,13.733,15.166,60.267,"F",25,66.456,"Class5"
77.583,24.272,49.653,60.804,62.752,9.741,"F",82,118.462,"Class2"
50.79,47.237,60.492,9.937,19.334,53.544,"F",24,85.864,"Class5"
43.23,57.843,41.841,25.156,16.086,70.958,"F",25,59.686,"Class5"
29.613,57.141,37.166,19.169,18.509,61.624,"T",31,48.454,"Class5"
67.505,74.675,81.106,62.688,76.89,56.54,"I",89,19.649,"Class4"
24.148,82.617,22.985,19.967,11.927,33.919,"O",40,58.659,"Class3"
50.615,50.928,45.94,28.628,22.152,63.399,"T",34,81.562,"Class5"
52.742,55.694,21.587,30.118,17.511,56.01,"J",35,71.709,"Class5"
87.34,24.426,44.991,34.289,67.827,12.931,"P",64,72.611,"Class2"
16.026,72.842,25.762,16.99,1.652,38.804,"N",20,57.892,"Class3"
78.684,24.677,59.306,45.003,70.18,18.801,"P",89,79.728,"Class2"
75.888,74.487,74.857,54.294,74.115,44.638,"H",89,26.929,"Class4"
78.336,24.557,29.735,79.708,96.351,27.155,"F",79,78.634,"Class2"
25.416,79.629,25.662,16.005,9.243,34.692,"N",34,83.492,"Class3"
17.051,88.109,26.521,15.3,0.737,56.276,"D",23,56.025,"Class3"
83.171,24.301,42.934,31.368,85.031,23.686,"C",67,73.189,"Class2"
88.13,52.172,77.994,48.326,29.857,73.894,"I",67,30.868,"Class4"
98.064,11.784,68.289,56.608,36.291,78.66,"M",96,58.684,"Class1"
50.002,84.247,19.834,16.029,13.689,40.874,"D",22,81.126,"Class3"
82.475,24.647,37.713,76.125,95.604,17.48,"C",87,54.313,"Class2"
30.718,76.556,22.43,18.015,15.276,39.843,"T",2,65.093,"Class3"
67.764,24.719,40.663,65.162,90.818,13.331,"F",84,91.712,"Class2"
93.688,77.696,73.022,64.755,32.436,82.205,"F",99,71.786,"Class1"
97.801,63.382,61.569,54.824,61.195,84.318,"W",97,21.105,"Class1"
61.306,62.658,80.5,62.283,29.286,59.365,"W",64,32.695,"Class4"
29.225,59.782,22.909,10.337,21.257,71.623,"F",31,53.011,"Class5"
114.529,36.609,80.792,47.282,24.24,63.429,"I",76,12.736,"Class4"
73.088,22.425,23.47,89.82,84.495,12.415,"P",82,80.057,"Class2"
92.547,35.34,83.794,52.64,54.044,77.207,"H",78,24.301,"Class4"
44.6,90.536,18.678,15.157,14.643,48.608,"D",0,80.155,"Class3"
94.208,30.345,52.865,60.194,66.325,69.73,"F",100,9.659,"Class1"
81.602,27.55,48.005,36.092,64.448,23.193,"P",80,72.09,"Class2"
80.55,24.784,42.325,80.237,91.324,17.89,"F",72,74.523,"Class2"
72.053,26.607,43.107,68.254,96.73,18.835,"P",82,60.934,"Class2"
95.588,27.707,53.484,69.989,85.877,85.528,"M",100,102.997,"Class1"
69.956,24.241,19.834,40.935,NA,15.403,"T",74,NA,"Class2"
79.686,26.287,48.541,86.59,95.704,17.87,"G",71,77.442,"Class2"
43.424,75.216,22.03,16.447,15.552,30.517,"T",35,NA,"Class3"
31.947,62.521,32.706,29.603,15.985,59.693,"V",20,63.437,"Class5"
49.13,58.271,23.901,15.857,19.773,54.037,"T",31,61.437,"Class5"
82.755,25.637,42.754,69.046,77.294,24.692,"T",91,42.654,"Class2"
33.876,65.825,38.814,12.284,21.172,47.797,"T",26,65.874,"Class5"
65.28,24.499,19.847,56.563,97.22,24.155,"C",70,94.712,"Class2"
77.201,66.565,76.36,61.363,68.914,48.021,"H",67,29.866,"Class4"
66.389,63.405,75.955,39.984,40.355,32.65,"W",61,36.501,"Class4"
78.726,23.375,42.82,67.958,84.224,25.334,"F",73,83.626,"Class2"
45.226,53.386,-3.729,23.274,16.424,56.33,"J",25,39.431,"Class5"
37.511,90.058,81.87,38.183,42.682,42.987,"I",77,2.48,"Class4"
44.005,90.938,79.139,50.023,38.193,32.926,"I",83,23.055,"Class4"
97.329,54.245,57.898,65.069,67.701,82.66,"M",99,82.342,"Class1"
98.399,39.652,62.649,61.424,90.574,75.214,"F",96,37.88,"Class1"
50.369,50.444,76.408,64.346,77.872,47.102,"H",90,34.844,"Class4"
78.265,23.273,39.189,42.02,85.557,24.257,"C",75,85.609,"Class2"
62.863,80.131,76.847,62.458,38.105,58.472,"W",72,22.193,"Class4"
69.368,52.719,79.036,62.325,68.275,46.077,"W",79,31.178,"Class4"
43.503,77.702,26.072,19.108,0.222,39.693,"T",36,50.366,"Class3"
34.237,51.625,80.003,58.824,28.731,70.24,"I",65,26.069,"Class4"
96.446,37.569,63.043,63.175,68.741,79.481,"M",97,54.513,"Class1"
70.18,47.036,78.33,58.4,68.197,61.373,"I",84,46.059,"Class4"
82.467,44.392,79.318,63.538,NA,45.905,"H",80,12.607,"Class4"
83.27,21.27,30.978,80.414,87.549,26.274,"C",63,51.377,"Class2"
56.006,78.267,75.19,50.696,35.863,43.56,"H",67,26.152,"Class4"
95.673,41.512,55.043,66.537,66.59,88.192,"F",100,70.589,"Class1"
96.103,27.427,58.544,62.008,67.53,75.329,"W",98,64.177,"Class1"
36.336,61.114,82.276,17.001,22.767,70.678,"J",28,59.631,"Class5"
69.62,33.568,78.747,43.331,40.937,49.951,"W",82,18.604,"Class4"
52.298,53.15,44.792,31.932,18.998,60.257,"F",38,70.622,"Class5"
28.837,74.53,26.763,16.785,2.004,47.217,"F",1,48.675,"Class3"
39.48,77.943,19.422,17.087,3.122,41.447,"D",28,54.789,"Class3"
43.377,56.519,89.691,22.801,17.62,58.893,"V",38,52.733,"Class5"
77.452,24.046,22.46,36.901,NA,22.732,"P",73,66.874,"Class2"
97.805,45.659,58.988,62.421,33.156,74.569,"B",100,52.098,"Class1"
67.03,22.941,14.31,63.314,91.891,12.082,"G",87,81.267,"Class2"
31.826,82.863,27.612,19.439,0.333,32.784,"N",3,63.35,"Class3"
29.952,74.347,15.522,16.564,10.504,30.637,"O",28,54.562,"Class3"
18.257,81.68,22.363,15.454,5.688,38.822,"O",33,77.235,"Class3"
95.96,68.217,61.763,63.964,90.513,87.498,"N",100,58.207,"Class1"
40.463,68.499,29.29,19.726,3.767,36.142,"D",0,64.203,"Class3"
28.065,71.479,24.373,18.165,5.927,50.427,"F",33,43.984,"Class3"
33.08,80.7,22.562,19.522,6.729,53.262,"F",13,NA,"Class3"
3.472,76.078,32.325,16.782,15.288,37.239,"F",37,63.855,"Class3"
70.123,78.982,84.445,52.17,49.195,51.766,"A",66,NA,"Class4"
95.847,21.171,37.607,64.087,42.797,84.782,"F",96,89.242,"Class1"
96.589,28.693,71.756,67.991,49.064,81.991,"F",98,98.292,"Class1"
50.91,96.698,82.755,45.517,44.856,38.385,"I",61,24.798,"Class4"
58.556,60.447,83.034,65.658,55.026,75.966,"C",83,38.936,"Class4"
94.347,-6.843,68.835,66.921,53.724,79.759,"W",96,88.25,"Class1"
38.321,40.77,80.147,57.154,66.899,52.371,"A",70,19.981,"Class4"
75.773,23.019,28.409,37.587,87.478,17.28,"P",88,51.556,"Class2"
41.57,57.107,18.801,26.568,15.777,68.652,"T",36,56.798,"Class5"
74.305,25.189,50.841,28.306,76.758,6.388,"G",70,73.298,"Class2"
30.498,40.856,76.063,59.313,57.518,63.004,"C",77,24.965,"Class4"
33.265,69.457,75.795,10.597,20.315,45.191,"V",34,57.112,"Class5"
95.571,55.047,63.675,64.853,NA,70.907,"B",100,NA,"Class1"
82.319,24.435,32.689,62.419,75.984,26.337,"C",71,55.043,"Class2"
42.139,59.026,116.182,27.028,18.682,56.054,"V",26,57.582,"Class5"
66.112,23.532,67.39,36.297,68.66,20.509,"C",74,84.805,"Class2"
10.961,75.252,34.265,16.171,14.105,47.741,"N",19,74.117,"Class3"
26.04,77.743,36.158,15.051,NA,27.079,"T",20,78.57,"Class3"
45.283,61.484,36.237,21.329,19.906,60.069,"T",39,51.759,"Class5"
49.711,79.818,81.557,41.629,84.395,68.076,"H",68,30.843,"Class4"
96.635,35.79,55.219,58.56,50.985,85.52,"M",97,5.306,"Class1"
89.54,23.255,28.701,92.809,81.817,22.445,"P",62,71.725,"Class2"
80.671,24.645,46.512,30.919,87.506,25.444,"G",71,84.451,"Class2"
94.919,73.05,54.126,58.532,NA,79.984,"M",99,37.881,"Class1"
50.428,74.333,78.562,61.521,NA,37.759,"A",74,35.309,"Class4"
81.557,21.718,32.189,57.614,83.042,10.583,"T",87,92.569,"Class2"
52.481,62.458,49.08,29.772,20.253,50.551,"V",32,52.701,"Class5"
75.244,27.194,39.952,84.178,95.75,15.905,"F",92,67.688,"Class2"
39.903,49.281,76.92,52.507,38.496,69.137,"H",89,15.922,"Class4"
95.939,46.461,62.675,59.329,86.028,76.877,"B",100,83.654,"Class1"
42.571,52.447,79.831,60.954,72.128,69.885,"A",91,10.722,"Class4"
96.657,-21.127,59.612,59.076,46.118,71.458,"W",98,NA,"Class1"
96.284,29.791,56.991,66.866,36.414,83.855,"F",98,58.528,"Class1"
67.588,26.054,39.826,92.976,86.832,24.588,"F",62,58.647,"Class2"
99.232,35.175,65.082,69.306,90.694,71.609,"M",96,57.832,"Class1"
44.282,75.085,21.032,15.294,7.045,29.136,"T",15,52.203,"Class3"
95.768,41.27,62.46,64.39,NA,78.133,"N",100,78.888,"Class1"
97.309,46.339,75.942,55.99,50.862,78.084,"M",97,45.536,"Class1"
78.54,23.476,47.728,83.58,76.699,7.754,"T",78,59.67,"Class2"
5.567,68.141,15.66,18.781,5.781,50.032,"D",5,57.262,"Class3"
40.616,76.204,22.039,16.217,0.742,26.034,"N",21,69.121,"Class3"
55.259,42.272,49.882,26.65,16.09,55.229,"M",39,61.076,"Class5"
83.997,25.99,51.194,85.676,66.632,9.139,"C",71,89.816,"Class2"
59.164,59.013,77.655,51.83,48.808,61.975,"W",90,13.445,"Class4"
79.396,25.709,25.919,53.328,89.237,13.454,"P",67,68.062,"Class2"
71.112,24.973,37.721,30.224,63.254,16.759,"T",83,107.987,"Class2"
39.226,61.134,46.024,26.198,17.621,58.071,"V",20,51.586,"Class5"
97.146,49.238,79.821,64.207,70.236,85.393,"B",96,75.299,"Class1"
53.19,45.221,-7.156,16.744,16.058,45.536,"T",36,71.233,"Class5"
86.168,24.438,31.424,35.024,65.86,12.351,"P",76,94.5,"Class2"
79.654,19.344,61.224,43.354,86.412,16.109,"T",72,91.46,"Class2"
95.19,87.289,54.953,55.638,52.134,70.897,"F",100,56.236,"Class1"
10.312,73.906,24.693,16.302,13.526,35.62,"F",17,45.246,"Class3"
41.506,57.445,53.754,33.829,19.101,56.525,"J",31,57.636,"Class5"
89.934,52.456,78.69,38.961,81.827,76.031,"H",63,33.69,"Class4"
23.285,75.049,27.72,15.529,8.331,42.54,"D",13,58.267,"Class3"
55.409,72.78,80.09,65.282,25.774,60.652,"W",66,18.259,"Class4"
14.389,80.41,19.089,18.337,12.851,42.472,"N",21,54.702,"Class3"
21.939,82.892,17.522,17.064,7.859,36.975,"D",32,52.301,"Class3"
83.836,77.623,78.719,43.022,56.928,57.117,"H",76,23.395,"Class4"
94.107,47.147,80.78,41.649,68.767,67.192,"A",86,21.335,"Class4"
76.927,25.719,32.175,44.692,91.806,7.398,"F",76,61.525,"Class2"
79.722,27.97,36.029,42.571,83.814,18.465,"G",81,76.898,"Class2"
97.513,84.122,64.56,65.89,46.559,74.41,"M",96,104.427,"Class1"
96.187,52.753,62.134,66.496,50.164,82.55,"N",96,60.812,"Class1"
97.192,108.209,53.297,60.864,79.687,80.147,"N",100,40.025,"Class1"
42.464,55.995,21.221,13.412,22.711,53.543,"M",20,36.733,"Class5"
29.479,58.058,50.271,25.6,17.941,60.863,"T",24,73.131,"Class5"
84.84,68.302,82.855,46.077,47.013,60.742,"H",61,40.968,"Class4"
-6.219,77.694,23.438,18.263,4.393,32.81,"O",21,66.46,"Class3"
72.371,43.469,71.68,37.279,68.531,64.293,"C",71,0.375,"Class4"
23.724,84.493,24.118,19.235,6.594,34.649,"T",39,67.832,"Class3"
43.71,61.792,38.584,14.668,21.335,65.023,"M",33,54.734,"Class5"
48.38,79.147,28.875,17.107,6.557,49.288,"O",31,67.499,"Class3"
96.363,86.087,51.225,61.106,82.311,88.677,"F",99,NA,"Class1"
98.508,74.197,55.499,58.944,89.543,79.262,"W",100,110.938,"Class1"
96.331,99.144,61.216,68.435,72.094,76.225,"F",98,NA,"Class1"
34.451,69.645,22.363,13.621,19.502,70.183,"T",37,56.995,"Class5"
99.203,55.156,46.641,68.147,81.032,86.202,"B",99,95.547,"Class1"
36.554,81.178,16.761,16.629,3.453,37.955,"F",22,76.911,"Class3"
75.61,23.499,9.224,38.833,78.598,26.938,"P",65,52.539,"Class2"
96.607,47.805,61.346,69.526,68.778,80.91,"F",100,28.179,"Class1"
65.495,23.735,49.918,63.577,90.267,14.27,"T",90,54.357,"Class2"
51.83,82.758,24.455,16.837,3.112,39.713,"N",2,51.018,"Class3"
28.447,47.6,39.186,21.918,15.086,58.668,"F",32,53.075,"Class5"
68.878,55.27,77.145,54.112,33.67,46.724,"W",85,25.071,"Class4"
83.726,22.346,39.317,24.051,72.936,18.196,"C",86,53.16,"Class2"
71.465,72.679,78.557,48.57,77.406,36.126,"H",85,24.842,"Class4"
96.366,11.375,73.162,65.501,48.089,86.041,"N",97,21.107,"Class1"
98.204,43.352,80.271,68.427,74.267,69.433,"W",97,56.557,"Class1"
71.188,24.961,23.373,61.368,68.778,11.538,"C",62,79.56,"Class2"
52.493,67.89,42.107,23.931,17.565,53.425,"M",36,82.566,"Class5"
44.784,54.289,58.737,31.138,17.308,48.971,"M",26,55.345,"Class5"
49.039,54.72,74.764,38.636,64.436,42.34,"A",88,31.701,"Class4"
37.749,76.88,22.96,17.053,12.468,32.02,"T",12,65.169,"Class3"
45.82,66.62,79.653,62.41,64.522,47.844,"H",67,13.522,"Class4"
44.473,44.768,29.612,21.824,21.169,50.726,"T",28,66.424,"Class5"
95.156,40.553,49.276,55.677,32.129,74.039,"N",99,32.076,"Class1"
96.61,48.922,58.372,54.827,33.539,71.139,"N",99,NA,"Class1"
71.197,24.532,35.42,83.815,71.661,22.959,"C",89,78.411,"Class2"
39.799,75.505,26.04,15.361,2.467,30.407,"F",35,61.324,"Class3"
78.243,24.323,40.449,27.421,77.579,7.202,"F",76,96.975,"Class2"
48.398,60.577,5.187,27.963,18.645,71.168,"J",22,69.706,"Class5"
33.219,49.664,55.465,31.225,21.372,69.354,"J",32,52.428,"Class5"
78.635,28.349,59.935,53.975,74.592,9.102,"G",89,61.923,"Class2"
47.041,64.977,57.426,10.765,16.978,69.656,"F",38,65.718,"Class5"
10.989,74.767,28.627,16.8,3.447,54.471,"F",0,69.009,"Class3"
29.27,57.541,44.449,15.316,20.1,58.265,"V",32,79.492,"Class5"
3.92,75.521,10.888,17.519,12.203,45.597,"T",14,68.929,"Class3"
40.63,60.947,80.598,28.439,16.422,63.025,"T",23,58.33,"Class5"
41.501,58.439,8.422,9.041,18.009,56.241,"F",31,59.641,"Class5"
50.989,52.964,45.972,11.756,20.148,60.304,"V",28,47.22,"Class5"
76.562,24.98,45.634,56.761,88.481,9.318,"T",63,54.337,"Class2"
16.326,80.501,22.479,19.446,NA,31.631,"F",36,50.485,"Class3"
37.419,58.199,46.686,14.642,21.069,61.555,"M",29,78.05,"Class5"
97.049,1.275,66.806,62.953,75.299,84.933,"B",99,19.257,"Class1"
25.712,73.175,22.472,19.957,0.119,43.124,"T",26,73.796,"Class3"
83.289,25.971,43.424,49.92,63.969,23.491,"F",68,75.404,"Class2"
71.119,25.551,21.949,56.686,88.306,21.669,"C",77,52.683,"Class2"
81.637,22.759,57.994,90.419,67.372,18.561,"F",79,54.066,"Class2"
75.638,88.494,76.266,56.246,59.773,42.686,"I",71,43.453,"Class4"
16.392,76.866,20.246,15.874,1.559,29.125,"O",39,55.928,"Class3"
77.862,25.073,36.856,43.399,67.284,20.962,"C",64,47.669,"Class2"
41.724,55.435,96.909,31.248,15.111,62.326,"J",20,57.038,"Class5"
53.182,78.952,22.816,17.816,6.782,49.293,"O",27,76.036,"Class3"
28.669,76.852,15.969,15.931,1.46,50.992,"D",37,61.139,"Class3"
35.111,74.744,16.292,19.895,1.738,43.323,"N",15,54.488,"Class3"
63.987,22.834,40.311,80.64,66.155,26.282,"P",69,92.362,"Class2"
85.546,25.702,54.811,79.36,70.316,22.176,"T",79,96.191,"Class2"
97.24,37.342,47.775,60.841,62.641,80.859,"F",96,102.365,"Class1"
52.876,47.653,77.755,30.404,18.959,59.334,"M",36,57.106,"Class5"
41.809,50.345,22.223,29.229,21.672,51.996,"J",25,77.559,"Class5"
67.017,57.711,76.501,52.015,38.104,62.839,"H",73,43.374,"Class4"
98.535,22.683,61.824,69.322,32.352,75.73,"N",96,96.039,"Class1"
40.481,43.371,52.815,21.46,16.284,44.984,"J",38,75.581,"Class5"
31.56,37.615,72.51,54.157,59.586,76.66,"W",74,33.635,"Class4"
83.194,21.604,51.563,85.465,92.619,18.636,"F",78,71.592,"Class2"
98.726,40.887,71.292,60.169,83.746,78.377,"B",99,54.326,"Class1"
48.966,56.165,28.523,32.697,NA,56.156,"T",28,57.807,"Class5"
14.31,54.619,74.252,49.14,62.92,40.904,"H",85,43.524,"Class4"
62.015,41.985,81.341,41.105,65.485,62.174,"C",67,34.986,"Class4"
75.174,59.766,81.262,43.075,57.955,74.829,"W",74,34.425,"Class4"
36.419,78.409,14.623,15.881,11.799,36.422,"T",12,NA,"Class3"
39.325,56.291,45.769,13.828,15.532,56.228,"T",34,49.536,"Class5"
96.745,72.746,67.826,58.303,63.238,88.914,"F",96,37.785,"Class1"
12.716,74.86,19.052,16.898,4.147,53.399,"F",30,NA,"Class3"
83.397,47.732,72.452,58.336,70.605,53.934,"C",85,21.054,"Class4"
94.083,45.946,63.509,68.179,48.715,85.012,"M",99,93.253,"Class1"
69.906,26.6,28.688,33.187,NA,14.589,"F",63,80.881,"Class2"
97.258,58.524,52.471,68.03,52.914,75.728,"B",96,73.428,"Class1"
84.088,25.862,46.581,91.799,88.981,23.804,"G",76,63.106,"Class2"
67.041,25.152,37.228,51.972,91.125,22.543,"G",70,80.455,"Class2"
36.204,43.56,20.919,33.396,17.904,66.838,"M",27,54.098,"Class5"
50.18,47.554,21.777,14.547,16.249,53.323,"F",20,63.844,"Class5"
24.494,83.733,18.961,16.133,9.12,47.526,"O",35,57.03,"Class3"
69.971,23.723,47.629,53.6,86.524,8.933,"P",68,84.313,"Class2"
79.165,26.318,37.736,63.786,75.463,13.199,"F",92,74.742,"Class2"
98.011,30.124,57.143,55.885,53.341,86.295,"N",99,70.51,"Class1"
96.282,49.03,59.846,66.383,36.155,84.166,"M",99,46.199,"Class1"
82.954,25.808,35.505,60.449,62.531,15.242,"T",62,56.049,"Class2"
97.846,46.587,53.173,69.25,70.659,78.909,"N",98,65.34,"Class1"
87.939,23.63,73.602,51.632,82.207,19.131,"C",66,77.427,"Class2"
67.646,49.203,76.336,51.02,46.912,33.252,"C",92,15.233,"Class4"
31.06,73.016,20.296,16.182,12.974,55.556,"F",17,69.627,"Class3"
