"RDG1","WAL2","XUD3","FZO4","VMY5","EXQ6","BLU7","ITA8","ATD9","Output19","JXU10"
24.055,53.065,67.415,29.24,"Y",22,91.687,74.361,14.353,"Class1",43.085
47.465,31.62,19.001,1.95,"K",80,9.805,80.067,20.576,"Class3",11.206
39.454,49.633,46.535,29.4,"Z",20,96.857,79.196,13.92,"Class1",52.464
35.466,51.414,61.593,31.826,"D",12,94.569,61.506,15.842,"Class1",45.899
45.395,21.651,5.709,4.551,"V",89,10.314,81.112,18.779,"Class3",13.07
32.263,52.955,54.897,28.835,"J",19,92.427,73.731,13.825,"Class1",43.829
31.04,32.378,40.724,69.309,"G",9,46.838,21.849,37.718,"Class4",84.053
91.37,68.511,67.671,21.653,"Q",86,62.314,25.176,69.309,"Class2",26.589
50.26,52.551,34.34,29.408,"I",14,89.607,67.313,14.714,"Class1",41.553
65.273,25.961,22.169,12.37,"O",68,9.74,80.969,22.784,"Class3",16.074
45.619,31.288,48.987,48.09,"O",3,44.067,24.316,66.738,"Class4",54.56
70.314,18.527,19.819,9.869,"A",62,7.71,81.948,23.017,"Class3",12.779
40.582,32.623,48.25,56.822,"O",4,61.549,19.028,36.083,"Class4",88.534
53.566,32.923,47.585,60.644,"O",3,49.265,20.676,44.619,"Class4",52.7
26.629,33.474,57.559,52.263,"C",3,70.879,18.853,11.083,"Class4",86.638
39.296,52.457,-12.054,30.223,"Y",25,92.343,54.23,15.435,"Class1",49.314
52.495,32.577,4.477,58.208,"C",4,56.579,25.888,40.823,"Class4",78.563
75.027,74.305,69.201,20.248,"J",86,71.454,9.308,78.686,"Class2",63.3
33.866,31.507,66.119,59.906,"F",7,70.459,21.666,17.744,"Class4",73.527
42.078,50.254,65.568,28.798,"Z",26,88.564,68.874,15.355,"Class1",47.057
24.16,33.811,47.614,50.808,"O",4,74.558,24.505,56.399,"Class4",77.312
72.182,59.844,77.237,23.252,"Q",85,60.436,18.934,53.131,"Class2",48.082
33.06,32.482,11.695,57.161,"G",7,57.686,22.856,73.692,"Class4",66.807
47.252,55.472,103.011,28.094,"Z",29,96.049,64.922,14.88,"Class1",31.848
36.029,51.915,77.784,26.228,"Z",19,93.081,62.117,14.082,"Class1",40.966
45.901,31.55,29.001,47.788,"G",2,54.748,37.126,42.899,"Class4",62.47
24.205,33.162,15.357,57.866,"G",7,43.223,19.842,28.421,"Class4",71.765
83.281,24.124,17.174,16.57,"O",76,5.879,80.842,24.345,"Class3",13.418
79.001,47.513,76.752,19.395,"K",84,66.563,16.413,53.341,"Class2",53.241
35.476,34.29,63.781,60.525,"F",2,73.929,35.135,73.349,"Class4",54.494
46.679,31.208,26.253,64.093,"G",3,40.907,18.342,3.769,"Class4",61.687
38.339,49.727,15.907,29.996,"D",27,96.141,61.463,12.888,"Class1",47.163
50.022,32.361,42.826,39.87,"C",7,67.634,29.606,17.801,"Class4",77.311
35.526,50.166,83.613,26.729,"I",20,91.726,79.883,16.364,"Class1",47.334
56.673,31.159,63.745,54.184,"C",7,53.353,23.025,19.253,"Class4",88.937
34.098,50.152,73.775,28.293,"Z",21,89.784,64.257,13.51,"Class1",42.646
36.69,34.151,36.344,59.803,"B",8,41.421,28.213,70.295,"Class4",76.312
40.257,32.298,31.526,67.747,"F",3,70.998,19.813,67.402,"Class4",81.644
46.583,32.684,69.805,60.916,"F",2,55.438,37.977,74.466,"Class4",55.793
81.211,18.633,8.242,18.163,"K",78,9.877,80.618,22.018,"Class3",14.262
55.814,32.707,38.207,64.443,"O",8,49.919,22.554,50.765,"Class4",77.084
53.472,33.246,6.128,50.197,"O",6,45.583,37.678,20.903,"Class4",63.419
43.133,31.755,76.405,46.419,"G",9,48.973,21.64,56.34,"Class4",62.257
41.026,50.224,11.181,31.319,"Y",25,88.505,71.281,14.419,"Class1",38.739
31.662,52.332,65.161,30.596,"Z",20,96.859,73.763,13.12,"Class1",45.496
72.917,13.592,13.205,14.7,"K",84,10.141,81.901,19.426,"Class3",10.623
82.566,46.204,68.566,22.747,"H",85,62.878,27.092,76.637,"Class2",20.739
48.728,32.861,40.306,58.501,"O",7,52.669,31.619,55.07,"Class4",76.427
51.889,49.529,36.41,33.045,"J",15,91.449,55.597,13.162,"Class1",38.29
58.979,26.61,8.747,8.914,"A",78,4.7,81.211,20.097,"Class3",12.104
65.189,56.375,73.082,29.943,"N",84,72.079,23.89,50.608,"Class2",79.232
40.508,51.657,41.236,33.19,"D",17,92.83,60.954,14.833,"Class1",37.369
84.015,42.723,71.652,28.196,"Q",84,69.561,9.773,31.861,"Class2",49.798
83.626,8.137,18.476,4.804,"Z",72,2.196,80.705,25.433,"Class3",14.59
38.634,28.313,7.946,21.035,"Z",53,2.596,81.242,27.825,"Class3",16.376
25.314,30.959,43.188,66.856,"B",0,NA,32.15,71.169,"Class4",72.289
89.628,47.905,67.715,26.944,"Q",84,60.452,17.104,49.167,"Class2",68.599
55.916,33.811,39.321,62.632,"F",5,NA,29.307,48.396,"Class4",48.868
44.071,48.737,80.347,31.261,"D",27,89.948,58.935,15.249,"Class1",38.624
42.7,33.188,7.583,58.712,"B",7,50.312,37.012,36.904,"Class4",68.942
81.682,23.176,1.147,10.758,"V",74,2.256,80.309,27.721,"Class3",16.622
52.866,21.397,19.251,5.662,"Z",84,5.862,81.821,26.283,"Class3",14.387
34.404,32.359,50.624,66.147,"B",0,59.811,27.739,68.529,"Class4",63.459
35.642,52.005,38.784,34.699,"D",26,93.712,61.606,15.625,"Class1",47.95
38.042,50.023,50.978,25.266,"J",15,94.201,69.085,16.249,"Class1",35.377
35.326,51.047,84.943,32.395,"Z",30,96.454,79.227,14.667,"Class1",40.706
75.946,69.979,70.366,22.609,"H",87,67.127,27.317,81.475,"Class2",86.935
69.389,70.219,70.405,26.072,"H",84,66.656,10.285,53.342,"Class2",66.915
86.58,21.215,4.013,1.241,"A",65,7.016,80.544,21.149,"Class3",9.324
38.244,53.263,58.79,32.505,"D",17,94.816,77.941,16.121,"Class1",32.084
67.196,20.329,69.423,25.493,"J",84,62.241,28.084,65.633,"Class2",81.903
70.596,28.04,-2.357,21.87,"A",75,8.728,80.066,24.494,"Class3",11.001
37.321,55.327,35.327,32.487,"Y",21,93.268,69.446,13.321,"Class1",39.105
29.379,50.414,20.853,31.594,"Y",22,91.868,74.154,13.479,"Class1",43.355
95.174,29.122,13.524,13.2,"K",63,2.617,81.939,27.363,"Class3",15.363
88.779,6.864,7.028,18.444,"A",90,4.434,81.56,22.436,"Class3",11.351
48.358,51.276,70.507,30.831,"D",20,96.469,79.472,16.233,"Class1",40.394
88.617,16.205,15.142,6.405,"K",56,5.874,81.879,21.509,"Class3",16.498
41.201,51.646,79.559,28.495,"J",23,90.124,NA,11.614,"Class1",47.558
28.681,50.402,41.077,29.36,"I",27,92.671,64.63,14.183,"Class1",43.973
30.586,52.607,-3.466,29.901,"I",25,89.66,56.542,11.577,"Class1",38.581
37.423,31.583,66.054,55.674,"F",7,67.57,38.326,37.41,"Class4",80.82
30.378,51.39,77.773,30.117,"J",15,93.697,70.47,11.174,"Class1",43.061
89.868,55.487,71.69,23.047,"K",84,70.631,15.087,38.74,"Class2",67.22
27.938,32.905,40.441,53.937,"B",1,69.72,20.737,52.106,"Class4",63.491
40.97,17.588,8.582,9.714,"O",68,4.308,80.734,27.659,"Class3",11.602
84.262,42.242,76.606,19.906,"Q",86,68.282,26.818,60.609,"Class2",53.607
87.793,79.411,68.935,26.689,"K",84,67.901,15.948,76.411,"Class2",91.554
66.373,26.768,69.722,25.325,"N",87,61.03,12.128,59.498,"Class2",56.996
95.917,58.533,74.718,21.409,"N",86,61.497,NA,58.092,"Class2",79.352
34.212,32.677,46.308,51.196,"B",0,69.831,32.404,31.426,"Class4",72.211
42.951,51.737,43.382,30.384,"Z",26,90.065,53.932,14.417,"Class1",38.221
73.19,46.208,80.915,24.73,"K",86,72.509,24.754,43.335,"Class2",65.241
33.038,50.486,25.253,32.69,"J",17,94.995,75.644,16.706,"Class1",35.647
82.499,9.63,8.314,14.406,"V",90,2.86,81.841,27.787,"Class3",16.215
93.788,45.533,76.444,12.45,"Q",86,NA,23.039,29.457,"Class2",72.131
55.826,18.373,6.709,14.124,"Z",86,7.311,81.966,26.786,"Class3",12.752
38.314,21.142,9.179,12.405,"Z",76,8.54,80.467,17.418,"Class3",12.587
62.239,66.832,72.294,20.325,"J",85,71.35,19.782,43.395,"Class2",71.323
88.998,67.448,68.956,25.44,"N",85,69.216,14.363,55.033,"Class2",67.06
25.637,33.388,45.994,60.239,"O",10,68.451,34.988,23.713,"Class4",76.911
65.572,85.713,77.981,32.299,"Q",85,69.041,23.269,45.767,"Class2",64.069
78.553,38.824,76.095,14.754,"Q",86,62.716,16.258,61.509,"Class2",60.416
82.118,15.772,6.088,6.296,"Z",71,11.26,80.616,24.686,"Class3",11.563
46.643,50.862,56.679,30.845,"J",17,88.274,58.691,15.36,"Class1",37.597
88.987,48.402,70.23,38.544,"N",84,71.874,16.817,77.172,"Class2",47.126
93.081,28.947,-1.337,13.668,"O",56,4.68,80.499,22.299,"Class3",15.258
25.646,34.233,17.608,43.581,"F",2,66.682,22.641,61.975,"Class4",70.368
53.159,-3.91,8.189,14.834,"Z",73,10.152,80.521,21.342,"Class3",16.222
88.367,52.193,67.605,23.391,"J",84,68.509,13.299,44.477,"Class2",122.364
71.073,43.471,74.471,39.287,"H",86,63.803,28.537,46.434,"Class2",53.281
45.18,34.879,3.968,5.902,"A",85,5.394,81.673,17.269,"Class3",16.556
53.82,33.936,56.372,50.248,"F",3,NA,35.101,49.628,"Class4",77.377
45.59,17.099,0.274,11.849,"Z",60,11.983,80.491,23.392,"Class3",15.426
56.228,42.058,3.662,5.611,"O",59,9.898,81.839,18.866,"Class3",14.345
65.993,67.857,73.366,14.031,"K",85,71.307,27.128,58.934,"Class2",70.361
69.904,44.351,75.338,27.884,"J",84,60.875,8.436,54.978,"Class2",65.645
29.686,33.053,47.463,56.651,"B",8,46.515,21.801,54.77,"Class4",60.494
43.619,52.202,4.851,28.449,"Y",30,92.688,75.986,11.943,"Class1",37.977
37.479,31.415,57.967,55.066,"B",2,55.429,37.471,33.549,"Class4",90.896
80.945,43.389,74.943,22.937,"Q",87,62.461,29.681,39.753,"Class2",70.685
95.03,17.634,13.363,22.518,"A",58,4.561,80.312,18.827,"Class3",14.305
74.218,19.633,69.715,35.387,"J",84,67.626,NA,42.081,"Class2",11.386
46.17,31.671,17.465,9.169,"K",84,11.65,80.374,20.53,"Class3",12.147
23.219,31.149,30.901,53.931,"F",3,41.682,19.533,63.782,"Class4",72.356
52.843,53.376,55.226,28.606,"J",28,92.735,67.092,16.034,"Class1",37.021
77.453,68.541,70.405,19.13,"H",85,71.279,10.545,66.158,"Class2",75.156
91.382,21.217,7.45,7.565,"O",64,3.221,80.155,18.778,"Class3",8.103
49.694,51.849,51.94,27.638,"Z",25,92.991,59.836,16.038,"Class1",39.36
88.865,16.43,11.569,14.914,"A",53,8.556,81.395,23.417,"Class3",15.347
80.027,9.876,0.168,7.667,"O",61,11.651,80.193,19.382,"Class3",15.095
74.836,42.818,72.899,24.269,"K",85,NA,10.44,59.571,"Class2",41.018
60.18,41.98,71.721,36.665,"N",86,64.157,15.638,28.883,"Class2",73.97
95.986,72.798,74.591,28.657,"K",86,66.84,21.279,43.143,"Class2",74.046
93.734,50.335,68.799,24.287,"N",87,72.355,27.344,75.042,"Class2",59.671
90.027,26.566,9.74,15.14,"O",78,8.238,80.277,21.318,"Class3",16.461
48.089,54.311,20.728,25.831,"J",30,95.47,66.123,16.145,"Class1",38.433
36.596,52.1,1.442,30.534,"Z",29,94.28,75.97,13.382,"Class1",43.077
74.377,70.146,76.156,32.125,"Q",85,61.936,25.865,77.185,"Class2",73.365
53.919,32.827,38.177,73.099,"C",8,46.018,35.62,64.617,"Class4",61.923
21.598,31.18,9.781,55.842,"O",0,70.805,24.682,68.91,"Class4",73.403
33.865,51.31,24.731,31.303,"Z",27,95.761,53.026,15.348,"Class1",44.18
26.055,52.671,27.636,31.346,"Y",22,90.741,56.255,16.173,"Class1",39.977
43.808,33.115,55.642,66.855,"O",1,70.245,27.646,9.848,"Class4",75.344
72.677,78.349,71.705,30.766,"J",86,62.309,13.074,56.434,"Class2",58.069
46.242,32.135,45.307,57.8,"O",4,43.121,35.115,55.206,"Class4",50.496
85.036,24.506,4.758,11.741,"O",70,2.499,81.893,27.7,"Class3",15.885
80.003,29.515,73.461,22.917,"J",85,62.466,8.959,51.164,"Class2",51.235
81.011,15.856,15.474,20.436,"V",88,7.682,80.174,26.951,"Class3",14.057
90.677,21.16,12.545,10.69,"V",75,9.494,80.985,25.934,"Class3",10.77
40.235,53.668,62.008,31.144,"Y",29,91.528,56.315,12.938,"Class1",43.755
61.145,35.629,7.162,14.983,"O",55,5.201,NA,22.192,"Class3",14.181
64.577,59.434,73.875,22.929,"J",87,NA,18.411,82.183,"Class2",39.342
30.134,32.935,47.1,54.934,"G",2,45.006,23.267,30.247,"Class4",44.441
94.345,54.992,78.488,28.027,"J",84,66.588,NA,27.805,"Class2",62.185
32.899,51.933,5.891,28.982,"Z",32,96.497,56.853,14.644,"Class1",37.604
73.688,55.168,68.88,33.615,"H",85,68.796,11.06,49.29,"Class2",51.204
21.442,33.354,61.359,58.765,"C",0,61.83,27.695,7.945,"Class4",81.258
67.132,35.302,0.025,7.998,"O",61,3.113,80.974,25.235,"Class3",12.672
61.669,78.531,74.107,32.881,"Q",87,70.552,12.11,48.57,"Class2",90.18
49.427,19.937,14.949,11.977,"Z",70,8.817,81.347,22.405,"Class3",14.108
40.317,32.546,30.018,46.008,"F",3,45.921,31.774,22.415,"Class4",75.059
28.941,53.438,44.122,26.364,"Z",19,96.112,67.986,14.191,"Class1",48.577
69.05,17.426,7.058,9.905,"K",59,4.486,80.258,21.469,"Class3",15.538
28.494,31.825,57.531,51.519,"B",10,73.582,32.479,9.187,"Class4",56.07
49.367,31.587,65.423,61.666,"G",1,61.288,33.817,14.099,"Class4",59.924
45.269,34.043,39.861,55.823,"G",10,44.161,29.654,12.022,"Class4",69.852
25.589,52.408,67.452,28.424,"Y",24,91.807,80.161,14.253,"Class1",43.458
70.149,74.384,70.044,28.551,"K",85,60.887,16.317,55.263,"Class2",56.069
29.282,53.106,47.715,22.671,"Z",25,91.643,64.436,12.486,"Class1",42.304
66.197,57.06,71.287,33.203,"H",87,71.157,12.699,52.631,"Class2",60.76
71.976,15.521,2.903,6.317,"A",54,5.677,81.803,21.578,"Class3",12.873
49.672,32.488,40.877,52.976,"C",8,57.776,36.727,19.294,"Class4",104.687
32.106,32.09,37.062,61.25,"G",3,42.568,21.451,35.379,"Class4",74.69
26.583,51.117,51.218,26.353,"J",24,94.577,74.045,14.715,"Class1",39.302
48.184,51.548,38.333,29.742,"Y",15,95.144,73.407,16.371,"Class1",40.624
20.083,31.958,34.582,67.491,"O",0,44.859,21.267,11.008,"Class4",67.583
46.933,46.559,51.796,27.656,"I",13,89.529,71.767,15.301,"Class1",42.576
55.265,23.709,4.803,10.358,"A",59,2.351,80.382,17.736,"Class3",14.084
45.96,33.481,42.889,60.863,"B",3,50.638,30.738,72.546,"Class4",64.029
50.324,15.696,12.092,15.063,"K",79,9.734,81.17,24.146,"Class3",11.778
56.104,32.04,55.384,51.96,"C",8,50.466,22.258,54.465,"Class4",62.896
69.293,74.78,65.164,35.536,"N",86,71.665,8.418,81.184,"Class2",22.522
41.913,32.698,27.352,57.481,"O",4,62.166,36.876,28.006,"Class4",94.727
45.043,51.692,32.701,34.683,"Z",26,94.481,78.225,15.698,"Class1",38.734
24.685,55.868,23.141,30.299,"D",22,90.117,78.493,13.853,"Class1",38.577
39.661,8.83,6.41,6.712,"Z",67,10.19,80.553,20.613,"Class3",12.836
36.601,49.625,24.154,30.577,"Z",15,89.883,72.503,11.026,"Class1",44.427
73.976,26.298,15.906,11.516,"A",91,10.395,80.732,26.951,"Class3",14.436
43.361,17.288,4.098,14.936,"Z",90,9.65,80.925,20.009,"Class3",16.118
62.068,88.619,73.173,22.479,"H",87,61.775,21.249,74.297,"Class2",43.005
19.667,33.494,45.515,54.281,"B",2,58.324,NA,3.445,"Class4",52.583
68.277,46.179,75.244,24.427,"J",86,62.743,26.81,45.068,"Class2",65.13
50.342,32.321,54.26,63.072,"G",7,68.523,33.229,71.607,"Class4",77.024
27.729,33.996,60.243,54.431,"B",7,44.778,33.951,59.797,"Class4",56.429
64.126,17.875,13.197,17.463,"K",63,7.883,80.67,23.653,"Class3",15.999
38.622,51.464,61.495,31.507,"Z",20,90.806,59.896,14.259,"Class1",48.048
91.348,11.843,2.517,14.376,"O",61,4.557,NA,17.535,"Class3",14.785
51.583,51.495,20.72,25.92,"J",16,93.48,74.629,14.846,"Class1",37.26
30.816,33.073,33.427,44.121,"G",3,69.678,31.331,24.891,"Class4",64.042
72.211,51.546,79.905,21.276,"K",84,71.55,8.535,44.05,"Class2",40.128
31.963,33.471,44.092,56.726,"C",8,67.616,31.997,43.778,"Class4",85.984
72.348,22.375,12.639,15.577,"Z",53,6,81.328,25.968,"Class3",13.806
48.866,15.915,4.436,13.036,"Z",76,11.439,81.042,25.621,"Class3",12.037
27.624,55.471,54.761,29.104,"Z",21,92.431,66.333,14.87,"Class1",38.908
95.346,44.305,71.801,37.708,"H",86,71.901,29.969,44.212,"Class2",64.926
81.727,46.582,72.05,43.187,"H",86,64.233,10.115,82.406,"Class2",56.041
19.797,30.942,9.732,54.122,"G",5,43.811,37.084,11.946,"Class4",62.309
25.706,33.255,40.095,50.147,"C",7,67.922,20.207,67.255,"Class4",100.28
52.298,51.201,25.045,25.247,"I",10,94.704,53.027,12.553,"Class1",50.663
75.446,47.909,77.515,17.442,"K",86,71.218,12.501,34.867,"Class2",67.121
48.223,48.418,52.643,27.399,"Y",31,88.252,73.31,11.739,"Class1",41.645
32.769,52.146,57.56,26.945,"I",21,93.667,NA,12.832,"Class1",41.382
77.556,29.291,11.491,28.508,"K",89,4.375,81.747,23.787,"Class3",13.355
47.437,16.155,4.257,25.058,"K",71,5.292,80.531,26.94,"Class3",12.962
28.286,34.302,28.164,57.604,"F",10,48.771,19.821,2.81,"Class4",62.087
71.409,40.74,69.893,27.294,"J",85,67.841,27.757,77.158,"Class2",53.12
66.54,37.774,5.761,14.179,"A",54,6.945,80.814,17.082,"Class3",13.347
43.877,53.51,81.484,31.698,"Z",18,96.295,72.257,16.895,"Class1",39.91
28.548,54.834,28.692,23.117,"J",31,93.187,59.752,16.383,"Class1",39.084
84.363,29.178,70.818,22.605,"H",85,71.911,9.437,32.261,"Class2",70.553
22.173,33.946,22.44,77.564,"B",10,66.358,28.837,5.155,"Class4",73.024
76.229,49.715,73.705,37.157,"H",84,NA,17.497,39.471,"Class2",81.765
38.525,51.987,32.853,27.815,"Y",26,88.58,75.646,16.957,"Class1",38.341
34.3,51.578,9.54,33.599,"Z",33,90.562,75.373,13.019,"Class1",43.885
25.59,49.921,66.77,33.109,"D",19,88.492,73.045,13.604,"Class1",45.635
42.319,53.848,-14.17,26.56,"J",21,88.575,67.688,11.591,"Class1",41.686
32.939,49.78,-8.557,29.468,"J",27,96.396,71.283,11.121,"Class1",42.146
95.402,51.771,67.44,19.023,"N",84,62.077,12.403,35.872,"Class2",52.51
29.022,51.617,50.221,30.995,"Z",14,95.22,57.959,11.358,"Class1",52.036
28.808,33.539,33.419,57.385,"B",9,55.52,NA,71.865,"Class4",63.538
38.251,32.694,58.518,49.193,"B",8,65.615,26.022,50.277,"Class4",59.897
54.611,33.977,9.608,60.194,"O",0,41.564,34.303,54.213,"Class4",70.12
73.855,39.889,67.86,24.119,"N",85,72.872,18.986,69.68,"Class2",58.034
45.641,32.773,41.234,47.896,"F",4,42.305,25.485,71.269,"Class4",84.304
72.762,67.41,69.014,24.447,"K",87,64.724,19.273,50.194,"Class2",80.736
28.878,52.49,30.451,27.052,"Z",24,96.424,55.828,12.936,"Class1",39.118
73.275,60.68,75.241,28.742,"J",86,72.562,25.152,80.446,"Class2",113.228
38.121,32.409,43.534,58.927,"B",2,56.306,18.361,73.992,"Class4",71.875
80.009,24.559,17.442,10.983,"O",63,11.946,81.826,18.233,"Class3",11.728
84.193,6.233,8.443,17.977,"K",77,7.565,81.684,23.494,"Class3",15.849
82.436,48.593,71.902,18.295,"K",86,62.887,10.327,36.162,"Class2",65.782
78.668,90.234,72.718,26.111,"K",87,60.856,22.489,43.354,"Class2",50.517
23.522,30.775,48.684,51.112,"O",8,40.511,20.368,12.109,"Class4",85.701
31.674,33.363,40.614,55.697,"B",0,72.229,26.697,16.154,"Class4",74.134
27.057,31.346,32.984,61.634,"F",3,56.245,36.428,10.552,"Class4",65.603
75.388,53.369,74.71,27.798,"J",86,64.197,11.523,49.017,"Class2",116.815
79.964,53.593,72.816,34.353,"Q",84,61.464,NA,77.145,"Class2",49.257
43.371,29.107,-3.435,8.134,"A",57,4.04,80.144,20.046,"Class3",13.062
79.522,57.593,73.37,33.005,"K",87,65.607,9.079,50.964,"Class2",97.135
56.037,32.02,16.893,65.881,"O",3,66.152,26.705,57.463,"Class4",76.555
55.528,32.186,39.886,60.643,"C",2,59.668,23.144,38.27,"Class4",88.101
60.986,45.224,74.73,19.717,"H",84,61.169,21.943,65.873,"Class2",74.803
75.519,62.168,73.008,25.02,"K",87,66.496,28.995,80.186,"Class2",90.218
71.866,56.551,71.604,25.917,"Q",87,72.471,10.725,68.287,"Class2",87.925
96.937,21.729,10.466,-2.74,"A",65,6.463,81.319,22.881,"Class3",13.377
64.284,49.577,69.358,23.831,"N",87,63.827,21.868,60.696,"Class2",58.56
35.77,54.261,34.822,30.414,"J",19,95.462,57.658,11.33,"Class1",44.344
46.082,13.363,17.271,10.545,"K",73,9.228,80.191,19.271,"Class3",13.347
92.555,68.361,70.493,23.186,"H",86,62.727,22.873,35.384,"Class2",67.017
43.885,10.781,8.593,15.083,"K",77,10.145,80.734,27.806,"Class3",15.055
79.138,0.352,12.519,14.679,"V",89,5.377,81.469,21.66,"Class3",11.096
29.496,53.931,56.443,32.298,"I",33,90.633,74.795,15.912,"Class1",36.907
56.964,31.936,59.537,60.034,"B",10,74.839,28.755,10.037,"Class4",91.286
90.382,42.39,73.646,20.845,"Q",86,65.437,20.167,72.774,"Class2",87.483
71.265,47.152,70.935,28.022,"Q",86,65.905,26.113,30.619,"Class2",70.322
36.28,53.941,-0.571,26.829,"Z",10,95.405,79.132,15.771,"Class1",42.031
84.586,8.106,7.355,9.669,"A",87,11.946,80.136,24.093,"Class3",13.396
79.711,20.699,12.215,12.079,"A",86,9.335,81.706,19.058,"Class3",11.783
71.36,99.051,73.412,31.47,"N",87,63.132,21.563,44.043,"Class2",53.127
83.323,79.114,73.134,20.354,"N",85,70.956,28.096,83.773,"Class2",16.874
47.653,32.147,57.557,56.076,"O",4,40.088,18.928,51.382,"Class4",83.211
65.511,61.864,73.261,21.359,"N",84,61.783,29.565,63.235,"Class2",97.948
52.233,48.131,-3.574,24.395,"Y",16,96.128,74.254,11.087,"Class1",34.638
54.103,28.612,4.806,11.946,"V",58,2.376,80.004,18.377,"Class3",15.174
79.838,50.619,75.941,26.234,"K",87,60.625,12.219,78.674,"Class2",38.826
39.837,51.337,94.284,28.581,"I",11,96.626,64.277,12.958,"Class1",40.705
85.773,57.981,74.275,20.819,"N",87,68.125,30.47,41.038,"Class2",44.92
27.382,32.063,24.618,57.124,"F",6,NA,34.984,15.407,"Class4",86.287
35.653,54.277,11.272,34.045,"Z",12,95.156,75.428,16.145,"Class1",45.562
94.886,30.201,73.71,21.367,"K",85,68.371,18.26,72.35,"Class2",41.159
20.709,32.503,25.828,56.617,"G",2,61.48,25.636,67.388,"Class4",72.979
47.993,56.278,71.169,29.778,"J",12,95.353,70.944,15.446,"Class1",43.797
85.228,72.018,77.375,28.638,"Q",87,69.463,24.863,64.082,"Class2",49.093
35.423,31.956,30.807,48.439,"O",3,44.013,28.1,70.706,"Class4",58.421
90.248,22.079,73.066,25.335,"J",85,65.297,13.571,70.195,"Class2",75.351
57.845,32.365,18.802,59.833,"O",7,40.586,35.366,2.892,"Class4",72.673
59.231,22.902,14.359,11.888,"K",64,2.39,81.619,27.298,"Class3",14.041
24.203,33.034,66.03,49.874,"O",1,68.671,27.961,53.753,"Class4",70.407
53.88,32.663,44.762,55.118,"F",9,59.618,NA,2.103,"Class4",78.457
67.075,25.071,2.892,15.534,"Z",69,11.625,80.391,19.876,"Class3",13.58
32.864,54.437,32.212,27.47,"Z",17,94.887,60.824,14.441,"Class1",44.351
53.474,32.044,22.58,59.755,"B",3,53.755,36.247,16.197,"Class4",67.276
26.237,49.013,12.236,35.174,"J",22,94.352,63.104,14.859,"Class1",40.099
84.405,83.796,78.77,20.082,"Q",84,62.51,29.411,71.907,"Class2",62.142
40.08,51.408,88.848,28.642,"I",28,92.344,56.023,13.837,"Class1",45.863
44.022,51.542,5.703,27.629,"Y",20,89.394,72.114,11.484,"Class1",42.87
43.576,24.462,2.513,5.954,"V",59,9.255,80.027,24.711,"Class3",16.724
59.357,14.657,6.425,17.905,"A",56,11.31,80.276,22.204,"Class3",13.796
20.387,33.471,23.985,56.773,"C",1,64.711,36.485,54.191,"Class4",109.723
30.434,31.767,67.541,55.922,"C",8,69.493,38.746,21.605,"Class4",80.719
23.663,32.357,43.506,53.228,"F",4,44.27,34.947,52.761,"Class4",59.614
51.806,54.622,45.572,29.743,"D",33,89.418,55.088,16.371,"Class1",43.242
38.262,20.244,6.928,4.378,"Z",80,2.668,81.209,26.907,"Class3",12.607
96.744,22.731,10.658,8.74,"Z",86,5.726,80.969,26.692,"Class3",13.964
84.664,39.286,75.67,20.31,"H",85,61.751,20.817,63.18,"Class2",74.81
31.133,51.205,45.058,30.317,"Z",32,94.371,55.953,13.164,"Class1",40.704
41.602,52.861,70.729,27.679,"Z",16,93.492,79.173,14.622,"Class1",39.77
64.581,15.121,2.862,6.208,"Z",55,11.381,81.035,20.819,"Class3",18.65
88.351,19.066,6.612,10.641,"O",63,6.344,80.92,21.96,"Class3",15.125
89.164,62.158,76.595,39.793,"K",84,71.383,21.843,28.011,"Class2",64.988
45.151,50.28,78.309,26.897,"Z",24,90.363,NA,12.933,"Class1",45.473
23.739,49.864,42.401,31.299,"I",21,91.878,76.035,15.702,"Class1",40.903
27.367,52.273,73.852,31.068,"Z",12,92.051,76.988,16.725,"Class1",43.049
37.031,48.982,52.674,31.566,"Z",22,88.33,57.661,12.276,"Class1",44.792
29.26,33.528,41.62,53.882,"F",2,49.322,31.643,30.562,"Class4",119.512
85.59,40.569,70.757,30.394,"H",85,64.642,17.224,71.858,"Class2",58.512
81.807,18.287,20.928,18.602,"O",85,2.68,80.786,19.344,"Class3",18.418
40.284,53.361,34.321,28.084,"I",18,96.735,59.046,13.186,"Class1",42.697
25.588,49.897,90.462,30.5,"D",23,NA,64.18,16.617,"Class1",40.723
69.049,28.312,13.484,16.569,"O",56,NA,81.142,17.676,"Class3",15.952
44.091,44.154,-0.964,14.302,"V",65,3.826,81.903,23.442,"Class3",13.15
92.996,49.558,76.196,35.943,"K",87,62.928,19.235,49.127,"Class2",50.44
29.875,50.758,54.261,28.367,"J",10,93.615,60.934,15.046,"Class1",42.018
35.519,51.768,-3.196,30.167,"J",23,93.102,NA,11.338,"Class1",49.166
36.097,49.375,51.896,26.109,"Z",19,88.232,63.163,15.178,"Class1",43.452
38.064,2.868,5.486,4.794,"O",74,2.38,81.474,17.034,"Class3",13.618
40.921,53.532,17.875,31.126,"Z",17,96.733,69.915,14.32,"Class1",49.49
33.937,52.657,66.176,28.768,"D",27,96.084,75.668,13.193,"Class1",51.435
76.045,37.885,76.947,29.599,"Q",84,62.121,18.251,73.578,"Class2",88.334
