"GYS1","RIK2","KML3","NUR4","BSP5","QIE6","QVK7","Output22","MQC8","GYI9","NXZ10","IEF11","YXO12"
"T",50.687,32.805,78.28,39,"O",48.004,"Class2",47.121,64.974,37.294,82.613,24
"W",32.625,27.175,40.632,62,"O",18.239,"Class1",5.639,67.246,76.451,21.897,30
"S",85.788,75.502,16.794,52,"S",65.857,"Class4",66.422,32.272,67.555,72.267,74
"P",87.994,67.515,13.727,57,"N",50.915,"Class4",72.584,32.154,84.376,84.5,49
"N",4.421,48.389,40.726,79,"R",7.402,"Class3",53.9,20.267,48.795,48.977,40
"T",45.662,31.906,21.418,56,"U",81.171,"Class2",46.238,78.193,35.376,82.154,30
"C",3.549,52.802,29.846,85,"D",17.466,"Class3",4.766,21.347,54.81,26.326,28
"N",2.721,52.313,29.148,50,"Z",47.072,"Class3",14.726,21.343,76.833,42.878,56
"P",76.344,63.362,15.707,52,"D",48.043,"Class4",84.221,32.818,67.611,82.459,54
"T",37.06,55.035,40.739,62,"I",9.977,"Class1",14.592,67.681,75.027,24.202,33
"R",31.851,NA,38.94,62,"W",17.721,"Class1",9.472,NA,76.368,26.044,9
"K",50.479,NA,47.11,78,"H",65.539,"Class2",47.368,42.222,39.541,84.13,28
"S",77.839,81.279,10.474,50,"N",63.389,"Class4",79.465,32.199,62.79,85.231,61
"S",84.354,71.896,12.125,56,"Y",68.457,"Class4",90.708,32.151,69.84,83.191,58
"K",48.592,32.81,30.465,59,"U",61.521,"Class2",47.08,61.625,40.38,84.242,21
"U",80.956,73.311,12.406,45,"S",66.216,"Class4",60.477,32.12,65.495,87.013,70
"M",4.824,52.599,45.775,62,"R",29.351,"Class3",6.021,20.429,77.238,43.999,32
"R",53.852,37.039,65.255,50,"U",63.806,"Class2",47.973,55.795,39.001,84.714,29
"W",34.591,82.526,39.405,67,"N",17.748,"Class1",13.975,61.212,73.227,26.518,13
"E",50.881,34.235,50.481,61,"H",66.623,"Class2",47.475,NA,35.051,83.481,31
"U",49.87,36.696,60.945,57,"O",56.698,"Class2",47.432,84.803,39.112,84.289,20
"T",54.049,39.472,40.24,41,"O",56.616,"Class2",46.957,53.746,37.886,84.882,22
"T",46.945,36.073,27.667,13,"C",58.054,"Class2",47.267,84.368,37.785,82.676,34
"I",53.843,36.077,38.707,61,"O",17.983,"Class1",8.255,48.322,75.46,28.115,30
"U",85.11,66.228,16.95,49,"Y",63.529,"Class4",74.503,32.021,75.141,69.292,84
"O",6.21,60.343,31.72,56,"Z",32.832,"Class3",15.666,24.251,83.693,71.651,28
"E",52.185,39.099,94.816,48,"U",58.478,"Class2",46.839,47.956,38.247,84.984,21
"N",5.737,64.178,37.27,64,"Z",22.646,"Class3",7.097,NA,33.931,80.656,43
"M",68.578,74.153,10.302,62,"A",64.64,"Class4",65.813,32.287,87.027,79.301,54
"S",51.975,69.524,13.676,45,"N",46.906,"Class4",85.244,32.753,68.661,78.32,83
"R",56.01,36.972,49.414,17,"T",73.896,"Class2",46.326,40.121,38.507,83.382,37
"U",52.779,34.551,80.566,51,"T",82.575,"Class2",47.707,46.599,37.356,83.447,37
"I",37.953,55.42,39.105,66,"I",11.254,"Class1",11.852,50.383,76.179,17.093,32
"T",47.38,37.796,46.47,33,"O",55.111,"Class2",46.655,44.463,38.25,84.99,35
"T",47.951,34.803,78.269,71,"T",80.829,"Class2",46.159,75.943,38.689,84.695,22
"I",38.473,56.632,38.398,69,"Z",14.798,"Class1",12.052,50.855,74.864,30.425,2
"E",53.8,35.128,85.172,47,"T",64.214,"Class2",46.038,66.718,38.468,84.607,25
"O",5.129,60.206,48.13,36,"C",17.31,"Class3",15.073,24.791,76.411,59.364,55
"Z",93.057,75.42,15.265,58,"S",92.69,"Class4",75.106,32.805,49.148,82.971,73
"R",52.928,37.558,88.845,73,"H",49.634,"Class2",46.575,75.935,38.124,83.063,23
"N",4.266,73.92,45.89,89,"F",53.974,"Class3",67.541,23.584,54.443,28.819,60
"C",6.676,85.98,45.186,28,"D",21.415,"Class3",24.899,19.549,58.502,17.222,59
"T",49.454,38.776,9.105,38,"H",52.442,"Class2",46.093,51.65,37.143,83.304,36
"R",52.434,32.43,93.09,48,"T",62.255,"Class2",46.172,56.178,37.59,83.314,23
"U",48.42,75.091,7.219,39,"A",56.843,"Class4",59.207,32.699,72.112,70.348,56
"M",78.176,66.896,12.515,56,"N",71.518,"Class4",55.393,32.624,55.246,88.468,66
"N",3.292,57.808,32.943,65,"R",11.287,"Class3",40.443,22.133,46.924,60.908,53
"C",6.054,57.451,43.681,54,"C",43.122,"Class3",49.939,20.436,38.796,40.244,25
"K",51.865,38.186,64.024,60,"H",68.727,"Class2",46.318,64.423,39.996,82.069,38
"S",68.765,73.12,14.719,60,"A",31.081,"Class4",86.213,32.532,66.677,83.92,51
"W",32.822,NA,40.066,68,"Z",8.913,"Class1",5.027,56.971,76.548,23.23,40
"U",49.096,35.949,37.025,31,"C",64.898,"Class2",47.093,55.711,40.127,82.207,32
"T",10.124,39.753,38.864,66,"I",13.482,"Class1",14.895,50.303,75.211,25.915,21
"O",1.5,45.922,45.734,70,"Z",11.44,"Class3",13.476,19.138,64.258,57.115,28
"M",6.307,61.81,27.752,21,"D",6.068,"Class3",12.721,20.633,63.693,33.259,49
"U",63.068,73.559,13.616,57,"Y",82.221,"Class4",62.648,32.793,59.866,78.617,74
"R",41.437,52.923,38.867,68,"I",19.621,"Class1",13.051,72.201,74.991,27.571,29
"S",84.482,77.22,15.836,36,"Y",89.974,"Class4",63.996,32.429,74.276,70.435,83
"M",5.066,39.564,38.599,55,"F",41.497,"Class3",73.617,19.384,76.663,41.781,49
"C",7.21,73.326,39.562,21,"F",10.884,"Class3",58.321,20.576,105.687,24.495,37
"N",-0.614,21.774,32.606,23,"F",13.981,"Class3",4.52,21.193,54.949,65.645,62
"W",47.319,57.624,38.743,66,"O",10.336,"Class1",14.957,44.432,75.677,23.6,5
"E",51.196,36.914,53.341,55,"O",84.804,"Class2",46.614,38.838,39.385,84.592,29
"R",33.554,50.595,39.531,62,"N",16.826,"Class1",12.842,54.891,75.446,25.121,13
"T",29.195,37.027,38.642,68,"Z",13.782,"Class1",12.321,45.246,75.107,31.623,10
"U",72.321,67.265,16.999,62,"A",66.524,"Class4",69.061,32.873,77.086,89.335,64
"U",47.907,37.416,56.352,55,"C",71.971,"Class2",47.694,57.547,37.04,82.741,26
"T",25.915,31.058,38.36,60,"I",7.719,"Class1",10.674,51.787,75.495,28.316,26
"U",46.535,36.004,89.72,21,"O",92.409,"Class2",47.114,44.65,42.498,84.406,38
"U",51.151,38.714,80.295,20,"U",67.451,"Class2",46.039,84.039,37.619,82.75,21
"O",8.398,35.92,43.942,32,"C",21.014,"Class3",33.033,22.689,62.914,26.964,29
"E",47.236,37.291,86.078,49,"H",34.83,"Class2",46.165,54.032,36.612,83.632,36
"N",3.71,49.379,36.354,24,"D",16.531,"Class3",59.192,23.016,77.763,61.093,51
"N",5.466,58.997,30.251,35,"C",51.142,"Class3",75.761,24.358,80.464,34.924,26
"T",36.298,67.711,39.018,65,"I",15.455,"Class1",3.645,46.868,75.551,23.059,34
"I",62.977,38.345,39.948,65,"W",10.992,"Class1",14.766,54.319,74.788,29.621,17
"T",50.024,32.222,38.716,67,"W",13.085,"Class1",3.002,48.485,76.629,24.277,44
"O",4.774,25.346,47.896,87,"R",8.404,"Class3",23.891,19.7,75.579,47.036,35
"U",76.744,99.065,12.185,53,"A",120.376,"Class4",67.953,32.968,69.391,80.188,62
"H",50.934,37.284,38.494,61,"N",10.496,"Class1",6.35,63.685,74.693,28.42,33
"R",42.949,36.462,51.806,65,"H",45.347,"Class2",47.187,55.248,42.8,82.973,31
"R",51.635,36.302,33.098,51,"C",44.014,"Class2",46.946,79.146,37.601,83.196,30
"H",54.999,24.002,40.823,64,"W",12.442,"Class1",9.434,68.97,73.234,23.944,33
"C",2.388,84.558,31.562,54,"Z",3.079,"Class3",14.841,19.413,76.086,18.76,30
"M",6.586,52.407,43.948,63,"R",40.043,"Class3",52.924,19.348,72.762,31.959,33
"H",29.33,NA,40.523,60,"N",13.56,"Class1",10.236,62.543,74.137,21.258,21
"Z",69.269,81.329,11.446,38,"N",34.693,"Class4",90.014,32.706,63.783,71.922,79
"U",68.4,71.197,14.855,48,"S",39.841,"Class4",56.244,32.741,87.876,78.425,49
"M",97.206,81.414,14.528,72,"S",98.17,"Class4",74.956,32.285,76.363,78.181,85
"T",48.288,41.147,79.874,20,"U",90.323,"Class2",46.75,68.978,35.571,84.31,28
"K",57.516,33.517,82.428,35,"O",67.596,"Class2",47.467,65.224,36.181,83.61,31
"N",2.638,49.239,41.4,47,"C",39.279,"Class3",47.2,19.668,77.768,26.704,59
"F",5.065,53.956,43.618,49,"C",-10.324,"Class3",16.649,21.088,92.052,36.222,64
"R",42.409,31.091,38.19,59,"W",13.178,"Class1",7.241,45.015,73.906,23.572,34
"U",41.009,36.2,88.54,52,"O",67.095,"Class2",47.777,80.602,39.369,84.176,32
"N",4.381,54.929,30.875,62,"Z",23.016,"Class3",14.752,24.074,79.005,22.648,62
"Z",97.331,73.563,9.085,55,"Y",83.959,"Class4",58.405,32.899,66.136,79.925,48
"P",97.239,76.459,9.421,68,"Y",73.259,"Class4",68.815,32.837,70.044,74.893,52
"C",6.226,50.933,45.863,31,"D",18.416,"Class3",39.112,NA,73.873,58.064,61
"U",87.431,80.601,15.726,51,"A",28.261,"Class4",88.541,32.55,80.276,82.793,64
"C",5.42,66.573,46.015,56,"C",57.971,"Class3",55.309,19.51,71.423,41.205,68
"C",6.313,25.556,35.389,10,"R",29.932,"Class3",27.108,23.816,77.68,17.253,32
"T",55.755,42.408,39.414,65,"Z",17.135,"Class1",5.685,50.996,74.055,27.177,19
"Z",75.283,82.829,12.766,43,"N",53.434,"Class4",86.692,32.263,58.988,84.489,86
"K",45.008,NA,93.264,63,"U",70.246,"Class2",46.809,60.527,36.299,83.463,27
"H",38.521,9.431,38.605,64,"N",13.289,"Class1",13.207,NA,75.105,24.353,13
"O",7.382,55.309,35.848,72,"C",46.876,"Class3",70.54,24.98,42.416,51.515,57
"H",53.126,33.644,39.393,61,"W",16.423,"Class1",4.633,57.638,74.948,19.403,25
"K",50.968,33.416,78.422,37,"C",75.839,"Class2",46.149,63.511,37.744,84.869,32
"C",7.382,42.482,31.848,80,"C",25.082,"Class3",58.34,23.186,80.401,65.722,48
"C",6.204,47.646,46.981,80,"Z",10.661,"Class3",20.841,21.266,73.438,45.489,28
"O",6.124,74.231,27.253,51,"D",17.163,"Class3",28.353,24.079,68.898,69.665,47
"W",39.053,65.228,38.256,61,"O",9.365,"Class1",14.816,75.241,75.29,19.755,44
"U",72.934,70.443,17.449,42,"N",64.722,"Class4",64.721,32.35,53.861,76.303,86
"Z",81.202,74.2,15.036,76,"A",69.158,"Class4",76.916,32.151,75.834,87.763,60
"O",6.554,38.923,37.379,88,"D",16.603,"Class3",47.237,19.802,70.405,48.433,32
"M",3.391,35.571,36.371,72,"Z",24.909,"Class3",27.111,22.121,56.682,20.189,48
"I",36.286,23.407,38.888,62,"I",15.42,"Class1",13.222,56.925,75.12,20.058,39
"M",76.643,73.002,7.021,48,"D",75.424,"Class4",62.464,32.419,56.221,85.669,83
"T",47.212,NA,85.475,79,"H",74.366,"Class2",47.189,50.918,37.406,83.111,28
"F",6.631,69.108,33.503,39,"D",10.351,"Class3",37.263,NA,73.195,45.774,44
"P",69.377,70.402,8.238,66,"S",85.743,"Class4",75.348,NA,56.323,77.917,64
"R",48.275,38.361,23.147,69,"O",70.519,"Class2",47.639,53.745,36.457,82.784,38
"F",6.608,47.863,28.53,24,"Z",28.699,"Class3",57.21,20.952,101.653,70.666,69
"W",33.006,36.268,39.771,62,"Z",14.94,"Class1",7.644,46.629,76.22,19.808,36
"S",65.305,57.031,17.612,71,"D",57.205,"Class4",60.307,32.654,77.903,73.983,85
"Z",84.044,67.108,16.448,72,"Y",84.345,"Class4",93.717,32.389,50.498,73.68,71
"U",44.891,NA,29.511,67,"U",69.831,"Class2",46.371,51.82,39.53,83.745,33
"T",52.385,34.352,42.988,66,"H",78.152,"Class2",46.05,40.403,36.833,83.586,37
"Z",71.753,75.167,11.012,44,"Y",57.934,"Class4",82.684,32.892,55.486,73.165,77
"I",24.582,13.712,38.903,62,"I",11.591,"Class1",11.196,55.219,74.79,24.349,8
"C",5.353,NA,30.948,55,"D",6.78,"Class3",66.381,20.908,75.522,50.744,68
"W",20.366,47.602,40.504,61,"N",7.788,"Class1",12.622,60.446,74.601,20.396,3
"T",41.638,42.35,40.792,69,"W",11.355,"Class1",14.418,71.475,76.946,26.621,32
"Z",71.204,84.844,10.638,55,"N",100.611,"Class4",68.009,32.028,81.607,75.839,71
"R",45.949,40.487,62.964,18,"C",59.978,"Class2",46.739,53.915,36.965,83.775,29
"N",2.906,48.919,36.259,85,"C",20.095,"Class3",53.779,21.118,83.886,55.782,59
"S",47.871,78.306,10.051,73,"N",58.278,"Class4",57.55,32.914,75.62,75.462,68
"N",3.597,48.969,34.201,47,"D",32.447,"Class3",60.655,19.011,101.017,43.713,27
"O",11.982,34.222,48.993,87,"F",17.557,"Class3",5.539,22.39,57.688,19.634,66
"U",81.667,74.861,15.604,57,"N",75.485,"Class4",79.299,32.892,67.836,71.802,80
"S",50.915,63.585,14.914,41,"S",86.501,"Class4",70.665,32.522,69.574,85.478,60
"W",49.116,65.183,39.724,67,"W",16.527,"Class1",11.684,49.71,74.864,25.816,34
"U",46.239,77.452,7.248,56,"S",114.31,"Class4",81.124,32.591,61.382,79.664,71
"H",57.274,29.566,38.484,59,"O",13.282,"Class1",3.863,45.721,75.294,29.7,7
"W",21.534,73.405,38.729,62,"N",13.295,"Class1",3.468,60.139,76.348,26.927,38
"E",50.025,40.05,56.453,41,"H",103.248,"Class2",46.03,78.623,40.086,84.911,33
"M",79.777,NA,17.353,42,"A",107.309,"Class4",74.733,32.468,53.245,76.635,50
"K",52.874,NA,53.509,70,"U",53.824,"Class2",47.022,77.44,39.949,82.344,36
"O",6.144,42.115,44.215,85,"Z",19.829,"Class3",27.355,22.258,62.426,61.706,59
"R",56.978,40.014,56.611,77,"U",75.04,"Class2",46.2,82.3,39.353,82.356,33
"S",59.465,58.479,17.686,55,"D",90.716,"Class4",79.498,32.065,63.987,82.029,81
"K",52.77,36.681,12.084,29,"O",81.303,"Class2",46.771,75.903,39.314,83.045,20
"I",38.876,70.927,39.08,64,"O",21.734,"Class1",8.179,72.468,75.017,25.781,22
"T",48.289,40.618,93.334,29,"C",67.39,"Class2",47.112,70.652,35.777,83.883,27
"M",4.885,59.277,38.932,77,"R",38.025,"Class3",2.296,24.01,62.241,53.252,50
"W",32.448,56.542,39.081,65,"N",15.996,"Class1",14.1,51.668,73.988,23.949,32
"M",36.744,68.906,17.606,72,"A",64.723,"Class4",61.323,32.681,55.124,75.812,70
"Z",94.575,75.376,10.793,48,"D",54.516,"Class4",91.396,32.103,74.885,72.79,86
"K",49.087,38.241,54.812,40,"O",62.646,"Class2",46.097,53.287,36.023,84.377,28
"E",51.97,37.126,37.818,68,"T",44.848,"Class2",46.088,51.173,40.33,82.287,21
"R",34.108,12.901,39.899,66,"I",17.525,"Class1",6.325,48.641,75.28,28.967,28
"Z",80.881,91.471,16.729,72,"A",48.618,"Class4",56.357,32.491,91.325,87.265,56
"R",52.603,36.669,91.412,42,"C",79.419,"Class2",46.094,83.759,40.166,84.503,21
"W",57.355,29.936,40.267,60,"N",11.022,"Class1",5.846,52.133,75.42,18.746,36
"S",93.669,75.48,17.628,44,"S",82.801,"Class4",92.907,32.545,86.319,71.663,56
"U",44.43,34.856,23.555,49,"U",34.384,"Class2",46.916,44.42,37.713,82.577,30
"N",1.905,49.775,29.907,48,"Z",30.361,"Class3",25.514,20.767,18.946,16.838,61
"S",73.393,79.882,12.508,37,"N",43.937,"Class4",71.936,32.893,90.726,86.788,87
"Z",58.337,67.462,7.658,63,"N",46.51,"Class4",92.24,32.38,73.011,73.319,84
"R",43.529,33.339,34.453,76,"C",67.978,"Class2",47.139,45.402,39.463,83.514,27
"I",56.579,65.509,40.83,61,"Z",9.331,"Class1",11.703,60.608,74.696,24.217,10
"P",82.964,85.12,15.008,47,"D",33.984,"Class4",82.524,32.794,72.579,77.304,69
"T",53.426,38.113,39.411,64,"N",16.341,"Class1",12.639,45.143,76.25,29.803,28
"K",52.327,NA,85.835,51,"C",49.211,"Class2",46.378,72.813,39.309,84.516,25
"K",52.434,36.309,24.935,14,"T",71.606,"Class2",46.676,76.734,36.822,83.148,26
"T",34.587,53.402,38.231,61,"Z",8.832,"Class1",9.765,59.313,74.819,19.748,9
"K",51.856,37.254,53.848,78,"C",55.905,"Class2",46.514,63.84,36.16,84.551,22
"M",67.173,77.525,13.39,43,"D",72.771,"Class4",93.358,32.527,93.952,82.985,62
"E",50.489,36.208,19.748,22,"T",65.407,"Class2",46.592,52.844,39.572,82.657,23
"H",24.237,43.628,39.311,60,"I",19.167,"Class1",7.372,56.183,76.271,19.486,21
"C",8.104,58.959,31.924,37,"D",-17.2,"Class3",76.23,23.012,87.958,80.229,27
"S",49.265,71.297,11.465,61,"S",63.013,"Class4",59.042,32.912,71.651,80.947,68
"W",53.137,40.865,40.341,61,"I",13.662,"Class1",5.533,51.115,75.757,23.927,2
"I",19.997,35.009,38.674,66,"N",18.175,"Class1",14.25,44.804,74.584,20.646,35
"H",58.456,32.415,38.35,59,"Z",18.418,"Class1",7.317,45.818,75.394,26.558,38
"F",2.183,73.566,35.261,50,"R",-0.623,"Class3",18.542,20.971,69.071,35.786,36
"W",39.195,25.582,38.791,64,"N",10.603,"Class1",8.498,NA,74.891,27.782,42
"K",53.593,37.469,80.74,78,"U",72.53,"Class2",47.183,48.335,37.957,82.996,31
"T",42.288,37.789,63.463,27,"T",62.235,"Class2",47.836,50.302,36.492,82.092,35
"M",59.175,78.686,14.771,57,"N",67.888,"Class4",89.388,32.644,80.534,78.766,53
"W",52.358,71.216,40.533,60,"N",13.454,"Class1",13.812,75.9,76.742,25.096,9
"Z",81.648,72.172,16.901,52,"N",40.783,"Class4",55.352,32.992,58.571,70.003,65
"M",73.696,68.196,15.395,39,"Y",40.735,"Class4",92.359,32.426,69.96,71.735,72
"I",37.435,76.312,40.24,69,"Z",15.612,"Class1",3.315,75.304,76.218,29.264,8
"M",4.46,72.819,31.343,32,"C",33.139,"Class3",38.139,20.823,74.187,27.347,44
"F",6.548,66.862,46.641,53,"Z",10.689,"Class3",71.023,21.335,63.747,37.075,58
"R",24.341,52.391,38.883,63,"N",12.134,"Class1",10.585,51.765,74.477,29.336,13
"S",59.319,NA,15.819,37,"D",92.393,"Class4",83.385,32.522,51.652,82.965,58
"M",68.596,89.377,8.327,54,"N",64.577,"Class4",92.33,NA,55.71,79.072,82
"U",49.793,36.476,34.357,78,"U",41.939,"Class2",47.345,64.206,39.328,83.363,21
"M",5.278,70.558,37.126,85,"D",42.057,"Class3",5.154,22.663,45.737,73.214,67
"T",50.743,32.803,82.161,66,"O",37.43,"Class2",46.697,46.218,36.917,82.654,29
"U",77.51,91.555,9.084,41,"A",50.779,"Class4",84.826,32.072,76.056,76.712,69
"U",91.301,75.995,15.831,48,"D",58.998,"Class4",64.984,32.601,81.256,82.237,82
"T",54.303,37.994,65.05,38,"H",49.477,"Class2",47.542,56.973,38.073,84.853,24
"K",55.935,37.028,76.457,37,"T",55.881,"Class2",46.013,73.076,35.895,83.02,38
"S",83.255,81.256,8.389,70,"N",71.547,"Class4",62.073,32.182,59.313,85.876,84
"M",4.134,62.239,48.743,68,"F",17.838,"Class3",44.303,22.08,75.039,60.467,47
"N",6.497,61.243,34.589,15,"D",26.197,"Class3",37.079,22.533,57.369,44.603,45
"I",40.507,27.168,38.256,63,"N",11.349,"Class1",6.411,59.919,74.55,23.169,10
"T",72.505,29.708,40.42,64,"O",12.723,"Class1",12.82,45.366,76.663,27.085,4
"T",45.85,NA,38.465,59,"N",13.625,"Class1",7.705,55.104,75.893,30.263,6
"U",62.925,75.032,14.093,55,"N",47.984,"Class4",77.935,32.59,58.81,87.431,73
"T",49.669,42.992,38.492,69,"W",14.516,"Class1",14.713,45.663,75.02,19.922,26
"R",54.074,38.669,71.879,74,"H",60.911,"Class2",46.564,84.357,36.853,83.819,26
"E",48.345,32.992,56.656,24,"C",68.736,"Class2",46.951,53.585,37.558,82.749,30
"W",37.085,61.987,38.297,67,"O",14.84,"Class1",5.238,71.851,75.009,22.292,15
"R",51.719,42.993,40.747,67,"N",16.961,"Class1",8.292,67.97,75.82,28.141,44
"R",-0.092,52.211,39.554,61,"N",14.706,"Class1",11.17,46.739,75.617,25.556,24
"K",48.758,34.868,44.345,56,"U",41.794,"Class2",47.403,66.998,42.498,84.039,38
"U",100.536,68.495,10.352,39,"S",65.623,"Class4",69.854,32.776,46.197,73.98,61
"U",50.178,36.446,37.385,49,"U",64.663,"Class2",47.38,79.897,37.011,82.075,20
"T",25.385,39.807,38.687,66,"W",10.801,"Class1",4.792,63.713,75.758,27.214,14
"U",55.081,34.485,19.01,59,"T",79.225,"Class2",46.935,49.618,36.965,84.596,24
"U",57.5,69.39,7.639,49,"Y",82.168,"Class4",74.588,32.972,53.001,88.12,76
"R",49.212,56.5,38.937,66,"N",14.397,"Class1",9.261,60.431,74.534,25.326,23
"N",5.808,73.714,45.517,9,"F",21.275,"Class3",16.397,21.258,88.731,77.637,51
"I",41.42,67.687,40.567,65,"Z",11.176,"Class1",14.399,43.84,76.541,29.519,23
"R",29.517,33.455,39.435,61,"W",12.446,"Class1",10.875,60.239,75.787,18.9,26
"N",7.285,53.453,39.023,84,"Z",47.883,"Class3",22.939,24.055,69.695,28.835,43
"U",86.762,73.154,17.907,42,"N",48.056,"Class4",64.336,32.419,41.916,71.283,56
"R",51.933,36.804,78.679,17,"H",79.034,"Class2",47.522,62.749,41.704,84.265,29
"E",51.793,35.41,68.863,60,"U",59.413,"Class2",46.416,70.386,41.358,84.13,25
"W",35.313,22.052,40.406,64,"N",9.817,"Class1",8.632,45.169,75.929,19.855,5
"M",4.648,65.407,28.659,54,"F",31.533,"Class3",68.61,19.319,85.73,52.157,37
"U",53.925,37.006,37.532,44,"C",79.641,"Class2",47.491,63.25,40.43,84.342,20
"R",56.472,35.635,11.147,78,"O",76.362,"Class2",47.539,55.952,34.9,84.757,36
"N",4.894,60.628,48.127,37,"Z",34.103,"Class3",7.127,19.54,45.326,43.67,45
"T",59.705,36.127,46.76,51,"C",40.484,"Class2",47.891,81.636,39.79,82.932,21
"C",5.52,84.83,42.649,47,"F",9.783,"Class3",23.231,24.17,67.157,67.321,62
"M",94.309,76.747,14.262,57,"N",43.793,"Class4",61.869,NA,94.981,79.492,66
"P",97.777,66.27,14.933,40,"D",53.993,"Class4",55.103,32.262,59.032,85.833,74
"F",4.54,56.457,48.299,34,"R",10.698,"Class3",12.606,23.688,54.77,21.769,30
"T",50.717,35.307,28.259,54,"O",98.252,"Class2",47.752,61.623,39.478,82.864,21
"R",15.908,21.296,39.116,61,"O",14.874,"Class1",10.328,67.839,75.959,28.369,22
"U",48.275,36.209,68.071,51,"C",72.533,"Class2",47.812,62.227,35.973,82.22,20
"P",71.329,54.131,8.018,37,"A",48.006,"Class4",61.882,32.757,56.704,69.515,86
"O",4.427,58.992,42.524,88,"C",29.305,"Class3",20.218,21.347,73.2,38.24,53
"M",10.497,35.089,36.537,33,"R",35.491,"Class3",57.211,23.028,90.773,73.968,53
"T",56.079,38.069,46.208,66,"C",60.902,"Class2",47.153,49.205,38.536,84.173,25
"R",42.803,38.061,46.043,23,"H",59.153,"Class2",47.422,49.004,40.141,84.129,28
"C",4.939,57.843,27.877,39,"R",28.507,"Class3",75.964,21.082,82.043,45.861,66
"Z",62.349,81.379,14.127,45,"A",78.571,"Class4",76.514,32.719,70.941,87.636,80
"M",2.267,62.018,35.654,57,"F",25.799,"Class3",24.499,21.272,54.978,77.757,27
"U",70.306,64.625,9.504,72,"S",44.448,"Class4",59.407,32.118,44.565,79.35,62
"U",53.626,34.796,82.935,18,"T",46.019,"Class2",47.968,42.471,42.185,83.656,36
"S",90.43,67.158,12,36,"S",64.42,"Class4",69.619,32.163,95.185,89.924,86
"C",7.69,44.084,27.946,34,"Z",21.927,"Class3",64.3,23.924,94.946,47.998,67
"E",47.661,36.63,26.703,32,"O",73.783,"Class2",47.188,75.904,35.559,83.933,21
"Z",72.256,85.669,8.885,73,"S",74.571,"Class4",82.02,32.744,72.37,85.31,86
"O",4.598,49.564,27.781,88,"R",37.83,"Class3",30.654,20.631,59.969,49.833,27
"M",6.484,61.72,34.86,51,"Z",25.647,"Class3",24.334,19.755,91.405,58.05,64
"I",39.983,67.706,40.419,68,"W",13.516,"Class1",11.336,75.194,74.666,17.129,10
"U",64.146,84.179,14.954,43,"D",97.713,"Class4",83.427,32.761,76.203,79.189,79
"K",46.258,35.169,61.907,16,"C",53.473,"Class2",47.491,57.007,39.356,83.01,25
"Z",77.201,77.502,12.18,73,"D",73.246,"Class4",71.403,32.051,66.412,83.82,63
"F",3.902,51.927,44.76,47,"C",28.946,"Class3",53.274,22.241,53.733,32.181,52
"T",47.614,38.891,79.302,24,"O",56.917,"Class2",47.235,48.022,38.764,84.449,37
"C",3.93,50.329,37.781,79,"Z",-7.299,"Class3",4.235,22.103,104.503,65.04,46
"H",50.109,29.033,40.82,65,"N",13.173,"Class1",6.95,44.594,74.404,27.226,43
"W",43.127,54.135,39.127,64,"N",13.974,"Class1",6.342,69.31,75.223,21.711,31
"C",4.919,59.969,43.996,15,"Z",34.771,"Class3",21.138,23.939,38.355,35.922,54
"C",2.239,50.962,26.436,72,"Z",2.517,"Class3",9.093,23.698,94.052,80.464,57
"C",6.797,56.351,39.323,32,"R",41.12,"Class3",74.732,19.051,86.788,68.399,44
"M",110.036,86.985,9.097,62,"S",66.471,"Class4",66.016,NA,66.999,82.847,62
"I",48.615,36.61,39.982,67,"W",12.858,"Class1",11.662,51.081,75.938,27.906,17
"M",65.401,68.373,7.824,71,"S",38.88,"Class4",69.614,32.161,62.987,71.656,69
"R",43.32,34.954,36.962,38,"C",44.833,"Class2",47.277,70.305,38.958,84.134,29
"N",2.981,56.472,36.211,15,"R",8.097,"Class3",27.219,19.612,91.479,47.807,43
"C",3.18,52.553,33.477,56,"Z",33.158,"Class3",38.028,24.652,75.537,18.9,25
"R",34.247,15.903,40.284,69,"W",15.205,"Class1",8.742,68.104,76.931,22.2,10
"N",4.61,45.346,46.622,71,"C",34.505,"Class3",58.141,23.774,69.109,40.475,32
"T",46.169,40.209,82.717,51,"U",78.186,"Class2",46.977,45.503,38.532,84.166,23
"P",71.665,NA,10.751,52,"S",83.579,"Class4",83.499,32.906,86.586,69.341,87
"F",7.696,68.923,27.899,20,"F",49.503,"Class3",57.23,21.318,83.197,58.431,47
"N",8.596,18.801,35.91,68,"C",47.335,"Class3",32.963,23.32,60.297,64.57,50
"W",13.501,62.073,38.197,61,"N",7.868,"Class1",13.006,48.781,74.772,17.282,17
"I",25.227,38.916,38.645,68,"O",12.678,"Class1",13.95,NA,74.203,30.369,17
"R",43.468,49.249,40.554,65,"I",12.506,"Class1",11.737,53.026,76.94,30.98,2
"W",14.64,35.804,38.073,65,"O",14.952,"Class1",8.133,61.816,74.868,27.272,28
"R",46.069,36.529,42.806,46,"H",65.997,"Class2",46.522,53.781,37.716,83.635,23
"U",50.082,35.759,67.739,37,"U",68.387,"Class2",46.996,66.301,38.847,84.957,23
"C",-0.837,NA,38.487,74,"D",22.843,"Class3",74.359,23.13,77.471,41.058,28
"M",75.675,81.979,13.247,58,"D",74.769,"Class4",72.542,32.111,67.093,80.545,54
