"GXI1","EUH2","ETN3","AZS4","DTQ5","QGH6","IUQ7","IME8","QBO9","CTN10","Output20"
29.139,36.497,57.227,16.332,22.051,"J",85,15.298,29,10.582,"Class2"
43.447,65.901,42.821,46.916,30.502,"F",13,71.921,93,12.626,"Class3"
34.642,55.986,32.589,53.067,37.052,"D",68,17.986,36,48.413,"Class4"
59.049,65.963,38.842,70.122,46.943,"H",12,70.708,87,32.128,"Class3"
68.229,96.429,55.732,34.677,56.99,"R",40,57.944,60,86.229,"Class1"
17.551,56.237,52.026,16.52,46.024,"F",87,5.001,31,10.581,"Class2"
36.535,74.5,24.899,101.649,40.157,"I",74,33.281,36,47.524,"Class4"
44.727,67.745,38.68,61.847,55.14,"Q",11,65.448,93,22.091,"Class3"
42.513,84.382,19.825,37.804,43.495,"Q",69,16.044,41,42.755,"Class4"
90.244,81.56,58.97,36.667,50.475,"C",49,35.913,70,63.573,"Class1"
24.415,32.927,59.295,16.593,22.656,"C",92,3.851,42,10.802,"Class2"
23.424,93.459,61.024,36.309,52.853,"C",55,57.497,51,-8.686,"Class1"
21.614,48.74,55.952,16.318,49.158,"C",79,16.798,29,10.176,"Class2"
20.976,47.341,36.784,28.776,46.752,"D",66,19.01,33,41.119,"Class4"
85.06,77.151,63.295,36.975,44.076,"Y",62,45.473,56,34.832,"Class1"
56.116,65.715,28.553,68.482,37.108,"W",11,72.592,90,32.152,"Class3"
55.5,NA,15.952,46.216,67.936,"H",11,71.367,84,60.947,"Class3"
53.084,51.508,22.696,109.469,40.877,"J",71,24.918,37,42.699,"Class4"
64.226,71.49,60.158,37.064,53.304,"Y",35,39.839,70,36.347,"Class1"
5.437,30.967,56.655,16.613,26.809,"C",90,6.985,40,10.808,"Class2"
48.389,88.714,52.362,36.44,41.331,"Y",28,37.285,53,68.951,"Class1"
46.49,NA,59.973,36.774,61.803,"Y",29,63.736,62,28.731,"Class1"
16.126,62.183,NA,15.974,57.001,"C",66,7.271,32,10.462,"Class2"
26.821,77.54,30.127,43.726,44.222,"I",69,16.652,36,42.325,"Class4"
47.775,80.78,62.219,33.587,59.439,"Q",33,48.044,69,52.282,"Class1"
62.362,56.949,28.979,62.854,40.659,"J",69,22.54,41,47.458,"Class4"
88.055,86.956,65.939,35.538,42.118,"C",60,34.095,68,49.851,"Class1"
62.785,71.411,62.04,36.78,72.553,"R",57,40.402,51,59.373,"Class1"
22.145,NA,57.999,16.933,65.548,"C",67,8.266,47,9.884,"Class2"
80.469,75.72,58.571,38.069,53.376,"Q",49,46.745,50,111.731,"Class1"
65.749,78.568,57.246,35.425,66.125,"C",61,41.136,52,63.143,"Class1"
79.375,71.368,61.287,36.541,50.462,"A",42,43.033,70,36.579,"Class1"
12.849,58.969,56.51,16.988,12.041,"C",74,16.13,20,10.693,"Class2"
58.147,68.49,19.17,76.539,35.65,"W",12,72.564,93,-16.525,"Class3"
3.44,53.309,38.869,72.793,43.389,"J",77,37.154,37,45.088,"Class4"
57.353,23.247,4.455,66.63,35.702,"N",70,38.157,39,42.667,"Class4"
37.156,55.6,1.939,54.274,35.778,"Q",68,15.063,38,43.592,"Class4"
43.601,26.371,39.704,77.997,48.895,"I",67,31.693,38,42.847,"Class4"
6.368,26.237,57.053,16.648,36.416,"G",56,14.218,19,10.468,"Class2"
4.63,26.293,56.516,16.542,54.768,"J",85,12.287,46,10.708,"Class2"
66.005,94.615,59.582,36.832,38.282,"A",58,44.59,52,27.273,"Class1"
57.578,67.007,44.191,72.883,30.708,"Q",68,40.771,33,43.171,"Class4"
45.255,65.583,61.236,-5.023,80.886,"F",13,60.191,94,3.607,"Class3"
50.61,78.087,61.127,34.828,46.162,"R",54,52.666,62,71.979,"Class1"
76.728,73.15,56.434,36.769,62.601,"C",42,63.757,60,72.56,"Class1"
47.617,29.241,NA,54.44,44.101,"D",73,21.568,37,44.56,"Class4"
72.62,94.562,64.271,35.629,52.91,"C",44,34.22,59,7.687,"Class1"
4.976,57.271,55.491,16.383,25.306,"G",87,15.244,24,10.49,"Class2"
64.539,67.824,41.665,52.822,76.36,"W",13,67.234,91,33.053,"Class3"
7.804,30.34,36.064,68.283,40.82,"D",74,20.757,37,43.151,"Class4"
27.397,37.918,48.347,47.252,36.689,"Q",69,19.236,37,45.408,"Class4"
60.418,87.477,62.524,36.759,62.181,"A",28,63.463,54,-3.272,"Class1"
21.889,75.598,60.065,34.005,44.797,"A",44,54.05,59,31.755,"Class1"
5.176,46.842,58.729,16.165,33.071,"C",92,13.565,16,10.979,"Class2"
40.493,90.331,55.854,34.875,44.852,"A",40,34.519,60,17.941,"Class1"
57.182,86.537,NA,35.176,47.392,"Q",24,50.198,64,21.194,"Class1"
66.231,65.887,62.494,85.192,96.031,"H",12,67.842,87,32.144,"Class3"
77.21,70.627,67.634,35.178,48.081,"A",42,45.255,66,89.002,"Class1"
79.834,90.203,58.051,34.226,47.843,"R",40,44.874,62,62.941,"Class1"
77.143,83.471,66.832,35.412,39.653,"R",48,37.144,59,24.584,"Class1"
41.322,NA,63.993,35.138,55.109,"C",21,34.8,68,22.899,"Class1"
10.17,21.278,NA,16.482,46.329,"F",53,15.627,18,10.792,"Class2"
35.84,85.289,61.169,36.681,49.07,"R",32,63.731,67,60.91,"Class1"
54.771,65.424,40.583,41.144,86.427,"F",12,68.677,84,5.614,"Class3"
59.217,76.995,30.469,32.558,40.838,"N",77,23.472,35,45.453,"Class4"
22.505,46.046,55.345,16.76,39.863,"N",88,13.26,35,10.464,"Class2"
48.349,77.026,29.289,61.931,45.532,"N",71,41.196,35,44.442,"Class4"
20.239,NA,59.018,16.006,32.208,"J",52,10.009,39,10.648,"Class2"
19.469,44.587,22.015,81.201,38.592,"Q",74,39.149,40,45.578,"Class4"
27.396,36.858,23.981,15.109,44.897,"J",66,17.164,35,48.584,"Class4"
48.327,67.739,22.263,47.475,48.174,"H",11,74.813,84,-13.618,"Class3"
65.701,67.54,58.762,46.96,56.387,"F",12,66.211,83,36.498,"Class3"
56.478,66.064,32.64,63.614,25.808,"H",12,63.815,85,-1.109,"Class3"
66.106,65.635,33.557,14.64,71.522,"K",11,64.811,83,36.999,"Class3"
77.394,71.516,59.821,36.309,47.752,"A",46,62.592,54,22.105,"Class1"
86.246,NA,65.86,36.211,52.377,"R",55,51.159,52,33.32,"Class1"
38.688,84.656,4.298,52.871,38.374,"J",74,34.038,36,43.844,"Class4"
44.643,66.982,29.243,60.314,46.845,"Q",12,71.908,88,-5.347,"Class3"
53.383,69.385,63.407,36.151,47.051,"C",56,65.859,56,33.436,"Class1"
21.46,76.442,60.688,35.677,54.488,"A",28,67.99,68,104.381,"Class1"
40.503,74.29,34.762,52.102,41.001,"D",76,29.133,35,42.374,"Class4"
21.096,74.076,57.634,36.243,43.685,"R",58,66.531,68,29.746,"Class1"
16.187,NA,56.119,16.59,24.295,"C",64,5.591,42,10.521,"Class2"
56.96,77.921,68.64,37.676,50.153,"C",24,53.369,55,82.13,"Class1"
65.686,44.954,0.303,14.705,41.134,"D",69,25.882,40,45.75,"Class4"
88.31,95.491,54.866,37.425,54.937,"Y",63,58.909,60,38.125,"Class1"
53.782,65.721,29.043,74.594,78.38,"Q",13,74.632,91,46.163,"Class3"
2.395,61.05,29.572,50.247,42.29,"D",73,38.957,37,47.028,"Class4"
51.058,89.409,60.665,37.001,62.445,"Y",38,51.091,67,36.9,"Class1"
45.822,65.59,35.501,64.324,76.946,"F",11,61.146,94,19.774,"Class3"
80.737,89.293,55.276,33.845,36.208,"C",40,41.056,67,49.085,"Class1"
62.11,66.519,54.664,72.424,41.751,"F",11,71.514,92,26.127,"Class3"
66.215,68.182,46.053,44.694,44.165,"Q",13,68.527,88,30.287,"Class3"
40.056,80.63,NA,47.672,34.93,"N",76,24.988,39,42.391,"Class4"
28.422,84.578,56.356,51.849,33.803,"I",68,25.319,33,45.249,"Class4"
60.568,29.844,36.613,77,40.251,"Q",72,18.513,40,42.804,"Class4"
84.657,89.758,60.345,36.963,55.161,"Y",44,56.533,49,27.986,"Class1"
14.407,36.519,56.389,16.258,65.776,"J",60,13.889,38,10.426,"Class2"
6.014,69.733,40.206,59.147,44.534,"D",75,35.576,33,44.387,"Class4"
23.525,72.031,6.922,64.453,34.624,"Q",70,41.385,41,43.533,"Class4"
54.45,88.89,60.99,36.263,47.868,"A",46,51.312,52,53.806,"Class1"
19.775,36.177,55.982,16.488,28.56,"F",78,3.229,15,10.897,"Class2"
54.724,67.621,29.863,100.238,50.045,"Q",11,69.784,84,22.264,"Class3"
54.152,NA,29.173,53.813,64.12,"K",11,73.613,93,19.701,"Class3"
47.356,94.747,60.636,35.303,56.665,"Y",29,65.818,61,-43.352,"Class1"
23.365,61.113,52.86,17.005,38.767,"C",62,11.747,30,10.501,"Class2"
22.198,33.963,54.902,16.339,39.085,"G",53,10.154,48,10.532,"Class2"
56.648,68.693,30.913,50.255,30.223,"K",13,64.7,85,40.963,"Class3"
89.106,88.205,60.692,36.972,49.25,"Q",36,65.759,55,19.33,"Class1"
56.79,90.901,61.941,34.787,61.649,"Q",53,54.881,57,37.832,"Class1"
60.99,94.046,62.591,38.172,64.208,"Y",26,44.276,63,-30.755,"Class1"
32.864,61.281,56.202,16.838,38.696,"C",64,15.173,37,10.667,"Class2"
15.886,81.449,14.735,85.131,36.244,"N",69,28.284,37,46.709,"Class4"
51.303,65.745,35.497,68.895,93.708,"F",11,64.216,91,38.911,"Class3"
85.244,NA,56.598,38.637,42.659,"C",28,51.209,53,71.978,"Class1"
39.933,80.465,22.975,64.605,38.241,"J",75,25.437,35,44.334,"Class4"
26.214,49.839,59.544,16.54,48.847,"F",70,8.263,44,10.703,"Class2"
56.153,92.824,64.912,37.929,59.034,"R",37,36.846,63,66.103,"Class1"
44.697,78.584,31.123,79.943,46.479,"D",75,28.344,40,44.17,"Class4"
19.692,NA,27.902,50.916,37.478,"I",66,17.56,37,44.307,"Class4"
45.475,65.865,29.756,42.406,74.189,"F",11,71.041,93,17.458,"Class3"
43.586,68.252,37.707,57.019,77.953,"F",11,68.787,86,15.514,"Class3"
41.017,69.547,60.716,33.681,59.115,"A",37,62.068,61,67.032,"Class1"
65.56,65.158,47.866,83.714,82.107,"Q",13,65.988,89,10.858,"Class3"
35.378,76.634,64.956,38.201,50.862,"Q",37,51.894,69,39.058,"Class1"
52.514,66.253,31.257,52.124,43.234,"F",12,60.046,91,8.147,"Class3"
56.104,70.646,45.831,35.92,47.272,"I",70,28.363,35,44.845,"Class4"
47.303,87.894,63.215,35.707,62.405,"Q",29,59.409,55,53.878,"Class1"
21.831,48.452,54.339,16.577,40.962,"C",60,16.331,32,11.096,"Class2"
51.383,95.484,59.44,37.607,50.597,"Y",57,61.801,49,30.499,"Class1"
32.443,85.373,49.333,58.781,39.346,"D",77,17.246,34,45.372,"Class4"
45.53,67.502,40.668,59.894,67.871,"Q",12,62.28,92,17.684,"Class3"
24.849,27.6,61.23,16.051,24.803,"C",57,12.848,21,10.379,"Class2"
27.081,33.021,56.919,16.585,57.899,"N",52,10.248,44,10.425,"Class2"
47.869,85.307,56.067,37.096,56.533,"C",60,52.876,59,-31.383,"Class1"
34.914,34.45,57.242,16.904,26.146,"C",74,10.839,35,10.765,"Class2"
62.35,65.862,NA,41.348,82.194,"F",13,73.575,92,39.222,"Class3"
33.849,69.046,30.912,76.335,46.422,"I",74,31.876,35,46.526,"Class4"
14.618,55.047,30.588,49.097,28.003,"Q",77,19.099,35,44.46,"Class4"
61.698,29.411,14.949,54.83,45.38,"N",66,22.648,40,44.557,"Class4"
51.975,66.639,28.69,65.317,70.131,"Q",11,67.163,88,32.704,"Class3"
30.77,40.446,57.241,16.628,64.262,"G",52,7.921,44,10.794,"Class2"
23.416,45.558,55.376,16.617,45.457,"N",91,4.185,21,9.959,"Class2"
63.262,68.142,47.866,48.774,70.427,"K",12,70.106,90,13.537,"Class3"
33.947,28.519,56.422,16.467,79.322,"J",83,13.676,32,10.417,"Class2"
59.385,67.487,38.64,54.161,36.289,"Q",11,68.577,88,50.679,"Class3"
64.081,84.719,29.873,71.221,35.765,"D",67,23.239,33,45.682,"Class4"
26.752,55.459,33.616,65.169,37.194,"Q",77,16.363,36,43.867,"Class4"
33.952,59.844,59.963,16.808,42.875,"F",64,4.084,51,10.072,"Class2"
16.189,25.94,55.612,16.519,37.096,"J",92,7.616,44,10.41,"Class2"
27.71,61.52,20.399,81.881,43.425,"Q",67,36.96,35,40.703,"Class4"
87.613,88.263,54.277,33.152,36.373,"R",55,68.896,53,57.658,"Class1"
41.545,82.938,60.158,35.306,46.879,"Y",51,65.056,69,7.628,"Class1"
54.232,68.232,NA,76.784,51.04,"H",13,67.826,89,33.834,"Class3"
4.88,27.392,57.384,16.436,48.546,"N",77,10.512,37,10.46,"Class2"
33.601,45.473,55.732,16.743,26.869,"J",73,10.178,29,10.043,"Class2"
56.556,27.899,27.057,32.081,37.632,"N",66,32.897,34,47.526,"Class4"
54.553,67.023,37.084,66.275,63.777,"Q",12,66.231,84,35.894,"Class3"
24.767,70.078,71.957,34.695,50.419,"C",65,52.134,57,31.337,"Class1"
51.398,65.15,68.099,46.847,74.496,"F",12,74.042,83,55.727,"Class3"
11.551,NA,57.609,16.394,84.056,"C",89,3.485,30,10.653,"Class2"
59.524,65.192,NA,12.696,47.918,"W",13,74.853,83,-1.029,"Class3"
14.332,59.221,15.583,69.567,39.677,"N",69,28.384,41,44.964,"Class4"
33.874,30.201,57.893,16.709,32.798,"J",90,15.021,50,10.674,"Class2"
66.081,68.392,31.512,62.803,48.251,"H",11,62.415,95,6.098,"Class3"
20.829,81.965,35.478,68.86,37.933,"Q",69,38.888,41,43.942,"Class4"
9.699,17.869,56.464,16.335,15.496,"G",90,13.047,45,9.971,"Class2"
11.007,56.094,54.908,16.264,51.07,"G",52,10.628,39,10.697,"Class2"
41.817,38.808,19.5,53.111,36.795,"D",70,18.977,38,42.108,"Class4"
65.027,66.67,NA,73.754,83.813,"H",12,67.675,94,44.515,"Class3"
24.469,39.176,58.995,15.944,34.554,"F",64,11.925,34,10.331,"Class2"
71.569,94.22,64.439,35.105,46.886,"A",25,68.539,61,50.461,"Class1"
52.317,78.694,65.926,36.673,73.35,"C",31,51.353,64,40.785,"Class1"
12.692,41.152,64.133,16.239,67.416,"G",60,11.249,31,10.365,"Class2"
23.733,48.562,24.806,40.242,49.615,"I",75,33.086,35,48.403,"Class4"
33.569,57.414,NA,16.316,36.636,"J",71,6.515,29,11.082,"Class2"
55.836,88.798,37.167,41.564,53.315,"Q",70,22.069,35,43.612,"Class4"
43.675,65.98,67.634,38.162,75.577,"H",11,63.753,88,25.932,"Class3"
31.021,57.086,53.673,16.936,77.016,"F",61,3.164,17,10.914,"Class2"
47.789,66.012,42.784,50.319,45.491,"H",11,71.506,88,50.805,"Class3"
43.625,68.32,19.581,87.152,76.15,"Q",13,74.606,86,23.112,"Class3"
43.023,65.313,25.449,43.838,101.174,"F",11,72.778,91,25.093,"Class3"
50.828,68.818,60.349,59.037,45.146,"Q",13,72.214,88,-3.23,"Class3"
91,83.532,55.714,36.681,54.202,"Y",36,35.787,68,106.585,"Class1"
85.903,74.747,61.53,35.75,56.328,"C",57,58.461,59,27.837,"Class1"
49.256,65.269,46.672,29.105,78.535,"H",11,62.811,85,25.77,"Class3"
64.58,93.84,58.47,35.478,55.007,"A",43,37.013,61,50.296,"Class1"
37.079,93.467,58.403,36.371,48.062,"R",39,49.89,67,67.967,"Class1"
49.564,68.034,29.005,37.144,60.798,"Q",13,65.973,92,16.66,"Class3"
53.297,66.445,34.161,79.256,68.572,"K",13,60.494,86,61.886,"Class3"
55.357,67.494,53.679,73.615,74.179,"H",11,70.215,88,42.876,"Class3"
74.229,73.666,63.376,36.102,52.647,"Y",63,66.529,57,64.023,"Class1"
21.326,23.501,38.282,42.112,36.303,"I",67,23.18,38,43.688,"Class4"
15.817,36.178,53.875,16.923,56.176,"N",63,7.71,28,9.906,"Class2"
43.464,67.718,39.21,40.311,38.167,"Q",11,60.026,88,21.058,"Class3"
50.514,68.231,35.331,86.842,58.894,"W",11,70.593,86,26.574,"Class3"
10.97,33.266,55.131,16.221,54.233,"N",55,7.232,49,10.271,"Class2"
25.602,28.816,53.42,16.214,21.597,"C",91,4.785,16,10.565,"Class2"
27.348,78.897,59.555,35.569,46.952,"A",60,63.847,49,16.205,"Class1"
75.342,75.951,62.806,35.916,47.879,"Q",21,57.2,68,36.504,"Class1"
52.163,67.706,31.107,36.502,84.373,"F",11,73.852,86,15.81,"Class3"
24.666,83.447,51.264,55.274,37.09,"D",76,18.537,41,44.596,"Class4"
63.333,34.184,36.053,64.964,47.658,"N",72,29.138,38,46.468,"Class4"
49.656,69.637,41.526,72.477,38.586,"D",73,27.539,36,45.083,"Class4"
37.78,25.947,28.539,58.604,35.346,"D",70,22.299,34,44.445,"Class4"
13.832,49.095,4.259,52.704,45.791,"Q",72,17.596,40,44.826,"Class4"
31.235,83.901,33.818,71.358,44.35,"N",71,32.119,36,43.576,"Class4"
25.459,82.139,40.036,62.676,36.233,"D",71,30.719,33,46.044,"Class4"
89.687,70.707,62.479,36.711,35.122,"A",61,62.66,69,38.375,"Class1"
45.934,95.307,62.083,36.668,65.897,"R",27,49.78,62,38.628,"Class1"
47.655,65.701,60.421,75.075,71.96,"Q",12,63.351,84,29.29,"Class3"
48.809,68.856,59.161,29.282,87.738,"F",12,68.76,95,32.69,"Class3"
42.475,65.051,34.009,74.92,76.605,"Q",12,73.07,88,37.248,"Class3"
32.55,42.332,35.853,82.017,44.518,"Q",67,32.457,34,44.1,"Class4"
10.643,28.03,57.676,16.465,31.802,"C",77,7.084,28,10.203,"Class2"
72.336,69.653,62.426,36.861,45.64,"R",29,60.818,69,94.033,"Class1"
50.921,65.813,29.478,24.675,55.704,"F",12,67.134,94,28.75,"Class3"
66.525,68.043,36.625,47.118,47.503,"H",12,68.216,89,58.555,"Class3"
47.691,35.479,39.112,72.498,32.64,"J",66,34.705,39,44,"Class4"
17.637,41.487,NA,16.24,71.522,"F",75,4.502,42,10.648,"Class2"
6.308,48.479,NA,16.474,49.394,"N",53,12.352,51,10.529,"Class2"
27.973,28.255,57.485,16.052,44.983,"N",64,14.258,39,10.735,"Class2"
65.278,67.137,41.609,76.233,83.964,"H",12,67.426,89,9.079,"Class3"
14.158,62.954,55.439,16.582,54.189,"C",87,14.588,16,10.372,"Class2"
65.813,65.031,38.508,50.764,63.687,"W",11,66.626,93,51.484,"Class3"
12.496,53.26,41.242,83.866,28.739,"Q",66,41.088,35,45.072,"Class4"
64.939,NA,36.22,40.579,81.056,"Q",13,63.605,94,34.886,"Class3"
40.372,36.216,30.251,35.506,40.786,"I",74,37.159,36,46.143,"Class4"
58.84,66.61,45.425,72.328,131.464,"F",13,67.592,90,25.582,"Class3"
22.696,26.58,56.11,16.054,42.78,"G",62,3.431,15,10.463,"Class2"
31.373,57.579,19.715,57.856,40.757,"N",73,15.962,37,43.783,"Class4"
66.023,47.546,10.84,32.919,41.199,"N",74,36.282,36,44.039,"Class4"
5.266,28.167,NA,86.062,46.95,"N",75,23.942,39,44.226,"Class4"
23.229,71.49,29.845,90.471,47.157,"I",74,24.975,33,46.202,"Class4"
43.057,68.619,33.681,77.486,121.004,"K",11,60.14,93,19.39,"Class3"
23.251,94.614,57.786,32.327,61.879,"Q",52,38.415,70,48.853,"Class1"
8.254,52.926,56.983,16.739,13.064,"C",51,11.158,49,10.078,"Class2"
9.582,29.733,58.911,16.217,44.772,"F",82,6.279,35,10.339,"Class2"
58.679,66.079,33.026,89.212,33.908,"Q",12,64.405,88,18.425,"Class3"
8.055,22.272,57.421,16.825,29.132,"N",91,15.56,22,10.317,"Class2"
15.178,80.35,NA,58.518,34.962,"D",68,22.748,37,46.749,"Class4"
7.914,51.012,56.187,16.335,11.347,"C",76,11.957,18,11.02,"Class2"
13.798,84.007,26.46,80.05,42.366,"N",72,32.091,40,45.978,"Class4"
29.586,47.039,41.06,50.95,39.739,"D",71,19.69,37,46.923,"Class4"
64.677,25.167,25.765,48.573,43.805,"J",69,32.038,37,41.362,"Class4"
34.665,47.465,55.966,15.807,33.215,"C",63,9.883,31,11.282,"Class2"
76.097,84.178,61.764,35.118,33.607,"Q",51,34.876,51,10.939,"Class1"
28.462,84.73,NA,37.067,63,"R",26,48.699,63,-12.13,"Class1"
50.78,74.029,20.52,46.266,38.704,"D",71,38.657,39,43.263,"Class4"
67.639,42.683,NA,68.957,41.029,"Q",71,15.832,37,43.552,"Class4"
58.908,65.594,30.816,33.988,31.524,"K",13,63.293,90,50.135,"Class3"
51.248,66.198,56.239,68.147,86.561,"W",11,64.632,87,12.35,"Class3"
68.278,79.082,61.723,35.519,57.908,"C",30,55.268,70,43.427,"Class1"
20.646,75.849,26.054,56.351,43.14,"I",70,16.715,37,47.947,"Class4"
65.958,67.688,30.068,48.029,112.688,"H",12,67.668,86,28.276,"Class3"
31.965,73.023,23.615,71.274,27.625,"N",69,26.538,39,44.037,"Class4"
26.266,69.77,58.113,35.016,42.377,"Q",53,37.875,51,108.638,"Class1"
45.173,52.866,22.325,61.725,36.344,"N",68,35.211,33,44.634,"Class4"
55.473,NA,63.687,37.141,43.27,"Y",26,67.932,66,-2.695,"Class1"
64.284,66.261,27.52,54.207,44.865,"W",11,68.445,93,34.635,"Class3"
26.782,55.732,57.21,16.504,44.221,"C",71,15.963,32,10.628,"Class2"
54.022,46.619,24.589,46.742,38.871,"Q",75,19.823,37,43.726,"Class4"
0.685,68.747,35.889,51.659,43.829,"Q",72,37.694,41,45.713,"Class4"
29.339,24.432,33.798,52.397,42.656,"D",70,24.55,39,41.414,"Class4"
30.063,NA,57.123,16.711,52.361,"J",65,7.55,29,10.908,"Class2"
29.625,93.808,53.665,36.736,55.9,"Q",30,56.324,55,54.372,"Class1"
59.069,65.571,16.411,12.237,73.781,"F",12,66.411,86,32.225,"Class3"
64.239,84.841,67.607,37.9,54.083,"Y",34,46.949,69,58.847,"Class1"
21.121,81.359,62.268,36.372,48.014,"A",40,61.656,66,1.16,"Class1"
59.32,67.905,50.791,65.535,103.075,"Q",11,60.836,88,12.377,"Class3"
29.584,29.037,34.465,69.291,31.046,"J",77,16.579,35,41.155,"Class4"
36.732,77.313,62.116,37.613,39.071,"Q",66,45.677,64,52.87,"Class1"
22.025,90.606,55.895,33.794,47.283,"Q",29,67.409,70,75.618,"Class1"
15.482,51.826,NA,16.994,18.089,"G",64,3.869,48,10.533,"Class2"
55.452,67.432,41.442,26.993,69.032,"Q",11,61.926,91,23.31,"Class3"
15.072,54.241,56.762,16.485,57.873,"C",80,13.39,26,10.763,"Class2"
20.336,88.136,64.016,36.109,58.642,"Y",31,48.49,68,40.031,"Class1"
74.32,96.832,56.375,35.519,44.673,"Q",42,45.257,66,35.564,"Class1"
23.746,76.523,54.171,36.023,65.381,"Y",59,55.75,51,14.086,"Class1"
36.104,75.425,66.102,38.569,41.134,"R",58,41.642,67,40.654,"Class1"
24.929,77.285,28.936,75.687,44.497,"J",72,27.899,34,41.679,"Class4"
53.185,66.193,21.477,42.632,58.915,"F",12,69.301,86,34.652,"Class3"
44.254,63.706,32.501,96.556,37.928,"N",70,40.608,35,44.623,"Class4"
59.071,87.383,28.813,65.222,36.246,"N",75,36.861,40,44.578,"Class4"
45.558,41.217,24.121,75.107,43.286,"J",72,40.259,38,44.632,"Class4"
62.988,23.188,NA,48.868,39.753,"N",66,31.255,41,43.925,"Class4"
67.308,74.377,59.875,34.787,63.848,"A",54,45.269,61,37.085,"Class1"
42.848,65.227,33.28,49.239,64.359,"F",11,63.3,86,47.67,"Class3"
22.673,35.77,57.906,16.019,47.883,"J",63,16.611,22,9.894,"Class2"
20.599,82.312,53.006,33.881,43.538,"A",64,62.17,53,37.62,"Class1"
57.591,67.954,34.103,31.261,44.44,"K",13,64.96,93,35.689,"Class3"
65.176,68.015,40.326,65.804,75.05,"H",13,65.479,86,39.493,"Class3"
47.783,67.098,53.658,100.553,54.872,"K",12,72.569,87,33.833,"Class3"
22.74,47.12,56.887,16.72,31.857,"N",84,7.122,16,10.502,"Class2"
50.935,66.135,47.968,84.18,43.231,"K",12,65.668,86,35.633,"Class3"
47.505,67.847,40.285,59.187,107.413,"Q",11,71.851,86,34.776,"Class3"
61.087,69.669,61.12,36.879,69.191,"Y",66,60.228,54,68.85,"Class1"
10.384,27.975,55.341,16.446,79.143,"F",59,12.962,21,10.087,"Class2"
84.41,93.897,60.195,35.868,51.56,"R",30,66.405,62,41.389,"Class1"
25.65,58.198,53.955,16.438,32.473,"C",74,10.921,24,10.011,"Class2"
31.85,43.151,56.924,16.793,37.963,"G",76,6.92,49,10.357,"Class2"
26.512,52.962,59.086,16.527,79.52,"J",61,4.064,49,10.191,"Class2"
6.099,52.745,54.989,15.998,41.459,"C",61,12.983,21,10.811,"Class2"
25.252,43.597,57.041,16.788,-1.021,"C",89,16.708,44,10.996,"Class2"
32.845,38.91,1.893,49.375,25.835,"Q",72,26.483,34,43.629,"Class4"
42.844,66.76,40.954,56.597,65.625,"H",12,65.717,88,42.979,"Class3"
51.366,72.938,16.97,74.245,40.379,"D",76,26.32,36,45.165,"Class4"
14.331,36.713,25.691,71.218,36.374,"Q",72,30.647,40,46.34,"Class4"
43.262,67.537,37.173,71.796,45.625,"F",13,65.527,83,43.63,"Class3"
7.304,40.767,61.174,17,36.919,"J",63,15.248,38,10.591,"Class2"
47.123,68.871,30.01,50.765,51.744,"W",13,70.198,95,27.276,"Class3"
66.574,67.67,19.438,81.941,76.68,"W",11,71.815,88,41.39,"Class3"
29.097,34.099,47.677,43.014,35.278,"D",67,18.778,41,44.523,"Class4"
2.692,76.486,12.863,38.635,37.662,"D",70,28.646,36,47.428,"Class4"
34.744,31.439,55.335,15.965,48.666,"N",61,14.59,25,10.426,"Class2"
30.023,43.135,67.194,27.838,33.417,"Q",72,38.182,35,46.166,"Class4"
7.49,88.118,49.237,48.581,37.496,"I",69,35.512,33,46.096,"Class4"
30.27,73.194,60.137,35.429,48.047,"C",52,46.921,66,34.266,"Class1"
16.935,59.145,NA,16.788,65.321,"J",65,13.538,50,11.011,"Class2"
53.183,52.984,31.289,58.41,43.517,"J",68,25.433,40,45.543,"Class4"
51.582,84.335,63.433,33.882,56.605,"R",37,38.051,70,61.927,"Class1"
57.134,68.546,55.075,84.117,68.262,"H",11,70.414,89,-0.603,"Class3"
47.234,68.996,19.86,71.268,29.023,"W",12,72.085,87,45.182,"Class3"
11.55,56.25,54.561,16.563,37.72,"F",68,3.752,48,10.831,"Class2"
49.452,68.463,15.31,45.806,100.273,"K",11,61.732,92,26,"Class3"
25.504,35.934,57.903,15.769,21.683,"F",77,11.128,15,10.22,"Class2"
59.801,66.608,30.532,68.021,75.933,"F",11,61.13,90,29.544,"Class3"
41.994,80.591,14.343,22.412,38.774,"Q",75,20.149,38,45.114,"Class4"
64.757,68.91,43.4,18.012,89.501,"H",12,60.889,90,4.791,"Class3"
61.992,68.057,30.033,57.336,99.628,"K",12,73.28,95,20.284,"Class3"
77.914,69.397,56.721,33.189,38.541,"R",63,60.796,56,38.478,"Class1"
32.017,19.288,57.142,16.822,41.328,"G",78,7.962,48,10.09,"Class2"
24.41,20.094,59.971,16.689,63.157,"N",85,14.947,50,10.028,"Class2"
11.998,74.276,45.921,65.015,39.191,"I",72,29.507,34,43.633,"Class4"
5.667,48.81,55.722,16.624,24.578,"C",54,3.359,37,10.889,"Class2"
65.022,65.76,43.832,84.229,72.558,"W",11,69.435,92,10.4,"Class3"
50.67,67.488,47.836,43.223,80.838,"K",11,71.18,89,40.017,"Class3"
63.906,66.575,39.904,87.505,48.101,"F",13,72.166,91,37.691,"Class3"
