"WUE1","LMS2","ITH3","UVL4","PXI5","SYU6","YPD7","JDF8","VTO9","NOG10","Output8"
69.881,19,91.355,"R",16.376,29,75.537,74.462,32.09,13.181,"Class1"
63.151,24,55.972,"K",29.388,57,12.964,14.042,78.464,21.734,"Class2"
33.245,46,72.597,"A",53.035,78,16.57,10.133,106.337,37.237,"Class2"
76.933,93,60.748,"W",61.151,63,15.633,12.587,66.066,28.701,"Class2"
51.631,14,92.406,"U",33.847,31,76.295,74.208,49.38,64.972,"Class1"
47.434,39,53.797,"W",67.19,56,48.474,61.932,30.948,64.947,"Class3"
53.388,54,47.47,"N",67.816,89,28.654,63.209,34.022,51.027,"Class3"
3.155,65,71.653,"N",35.609,67,19.73,10.549,69.357,53.422,"Class2"
6.618,36,50.091,"N",28.768,69,12.265,13.605,66.128,19.217,"Class2"
71.104,21,91.112,"U",32.773,25,13.83,74.485,43.792,52.618,"Class1"
83.362,17,95.864,"S",28.038,22,19.946,74.391,45.249,75.803,"Class1"
36.906,7,96.169,"U",16.713,13,79.379,74.773,31.123,57.663,"Class1"
92.128,65,62.23,"W",61.31,74,8.833,14.409,52.891,12.928,"Class2"
91.139,15,91.665,"G",22.929,51,35.056,74.238,33.053,29.449,"Class1"
56.62,21,90.316,"U",23.518,35,77.264,74.185,33.672,64.988,"Class1"
106.233,7,96.494,"I",26.329,14,15.873,74.634,NA,78.67,"Class1"
52.508,43,48.528,"N",67.914,78,37.306,81.715,50.065,51.574,"Class3"
45.923,18,95.137,"S",33.344,28,32.215,74.69,38.062,75.215,"Class1"
50.824,19,46.007,"X",67.542,80,30.224,68.064,NA,54.06,"Class3"
88.991,21,90.506,"R",14.385,22,85.16,74.786,37.255,51.697,"Class1"
67.994,58,59.365,"A",58.685,67,11.22,12.134,60.527,58.971,"Class2"
47.737,12,91.61,"R",24.121,54,54.834,74.531,41.014,48.671,"Class1"
73.685,33,90.992,"W",55.376,71,20.931,12.472,68.639,69.851,"Class2"
40.171,38,68.41,"K",67.302,62,30.754,72.853,45.198,44.589,"Class3"
27.38,6,95.775,"U",34.303,33,77.44,74.229,47.255,93.187,"Class1"
46.927,10,90.315,"R",21.26,34,48.526,74.112,59.876,78.988,"Class1"
38.974,16,92.339,"G",33.595,9,0.249,74.826,45.736,48.305,"Class1"
48.565,59,40.85,"K",67.162,96,38.77,NA,36.165,49.171,"Class3"
44.598,6,51.765,"K",67.551,87,37.661,56.345,39.605,51.639,"Class3"
47.124,59,51.61,"N",67.147,73,44.295,57.694,51.376,62.734,"Class3"
51.831,9,60.57,"X",67.549,72,39.214,79.266,47.745,52.475,"Class3"
55.234,89,48.048,"A",61.323,55,14.905,10.501,84.027,13.134,"Class2"
62.249,11,74.87,"N",67.208,89,26.096,66.747,39.994,56.63,"Class3"
91.582,55,58.712,"W",33.948,77,20.597,NA,81.279,27.492,"Class2"
73.322,89,82.866,"X",44.284,74,19.105,13.173,80.871,33.553,"Class2"
40.25,18,64.172,"L",67.767,63,47.722,84.342,32.27,49.793,"Class3"
40.601,22,73.326,"W",67.563,74,52.803,63.824,30.559,51.939,"Class3"
49.973,18,51.533,"W",67.109,69,74.02,74.787,46.212,54.216,"Class3"
46.54,36,63.56,"X",26.907,60,14.009,14.994,83.246,28.083,"Class2"
40.717,94,51.591,"N",46.021,60,15.976,13.858,98.552,35.796,"Class2"
56.81,28,38.091,"L",67.268,72,38.846,74.509,46.871,65.848,"Class3"
82.694,38,77.33,"K",21.341,63,18.317,12.409,71.144,40.353,"Class2"
35.734,33,70.255,"K",67.006,74,52.262,75.366,57.865,54.435,"Class3"
51.305,13,75.001,"X",67.243,84,45.323,51.516,33.378,54.23,"Class3"
39.372,49,67.265,"L",67.988,96,33.262,69.772,41.861,56.291,"Class3"
43.817,15,96.967,"I",29.109,39,74.225,74.864,39.098,76.647,"Class1"
69.873,6,63.337,"N",67.872,75,56.192,59.976,56.261,66.648,"Class3"
40.197,13,72.198,"N",23.239,57,11.569,13.365,87.793,18.599,"Class2"
44.39,16,94.359,"S",26.885,46,46.921,74.638,NA,63.193,"Class1"
59.592,14,90.089,"G",29.856,29,40.022,74.926,37.28,68.425,"Class1"
46.243,37,49.384,"W",67.444,84,29.106,NA,53.053,56.663,"Class3"
58.299,50,43.198,"W",67.242,97,30.644,76.299,38.714,68.034,"Class3"
47.249,18,91.656,"S",21.868,35,84.344,74.069,49.247,49.025,"Class1"
30.351,35,71.048,"X",21.727,70,9.382,12.355,68.961,14.738,"Class2"
18.007,23,45.587,"N",24.253,56,25.218,11.34,93.052,56.132,"Class2"
39.401,20,93.287,"I",32.983,25,43.045,74.523,57.769,77.215,"Class1"
28.542,52,41.44,"X",67.55,70,19.462,69.538,54.324,55.526,"Class3"
94.444,21,93.749,"G",21.487,50,67.097,74.527,42.941,39.022,"Class1"
58.69,30,71.25,"X",67.561,95,30.655,70.567,5.269,46.438,"Class3"
54.617,19,64.922,"N",20.109,68,10.469,13.831,68.524,9.028,"Class2"
58.648,30,48.243,"L",67.807,98,40.684,80.861,NA,55.923,"Class3"
50.425,63,49.654,"N",67.768,69,57.987,62.097,NA,48.208,"Class3"
74.533,18,94.543,"R",27.147,3,29.048,74.722,33.261,42.813,"Class1"
73.342,6,96.567,"S",22.922,54,59.771,74.003,28.348,55.012,"Class1"
55.455,52,71.112,"X",67.851,78,33.08,84.91,49.62,56.481,"Class3"
48.825,10,93.184,"U",33.023,6,29.342,74.817,27.707,57.915,"Class1"
42.647,52,65.766,"N",67.135,82,43.667,84.706,47.612,48.01,"Class3"
51.432,20,56.232,"X",67.988,98,41.656,60.899,43.409,43.687,"Class3"
80.093,18,96.393,"S",26.69,27,53.476,74.177,38.15,72.672,"Class1"
85.189,13,73.714,"A",47.823,76,21.761,14.303,78.241,16.275,"Class2"
78.398,22,96.918,"U",24.974,17,85.219,74.066,42.266,78.619,"Class1"
64.549,14,92.497,"R",31.346,40,31.999,74.544,33.443,106.68,"Class1"
42.118,41,62.013,"N",67.958,91,20.358,55.762,47.789,52.635,"Class3"
45.054,8,61.216,"W",67.356,60,53.043,79.458,38.579,62.611,"Class3"
62.339,2,53.579,"X",26.111,54,6.617,11.127,60.595,36.982,"Class2"
58.214,10,91.964,"U",22.075,48,-24.414,74.425,NA,57.918,"Class1"
49.15,23,49.141,"K",67.868,79,44.049,80.693,26.226,53.028,"Class3"
68.475,21,95.652,"U",29.705,35,98.531,74.983,48.245,102.145,"Class1"
37.382,69,71.858,"N",67.208,93,29.178,81.705,48.698,56.897,"Class3"
78.036,40,62.869,"K",63.271,76,13.896,12.724,52.167,30.064,"Class2"
100.965,5,72.345,"W",32.245,72,17.866,13.959,75.544,40.659,"Class2"
89.965,15,91.093,"U",32.733,53,61.87,74.718,54.297,5.162,"Class1"
13.049,6,61.837,"X",40.506,60,9.983,14.931,88.112,40.947,"Class2"
66.765,83,55.738,"W",50.207,54,18.068,13.312,75.819,44.244,"Class2"
50.642,6,90.633,"R",22.959,21,17.498,74.643,45.392,100.536,"Class1"
79.621,9,94.773,"U",23.474,32,42.479,74.351,43.93,11.096,"Class1"
44.088,50,94.99,"X",53.856,70,2.904,14.441,70.018,20.139,"Class2"
50.167,54,49.629,"X",67.509,77,15.77,63.618,37.204,63.601,"Class3"
70.286,22,90.317,"G",18.055,10,48.746,74.599,47.037,46.821,"Class1"
41.63,31,67.793,"X",67.936,94,18.46,82.717,36.469,48.33,"Class3"
69.231,21,93.563,"R",24.521,51,55.398,74.242,55.267,93.894,"Class1"
48.83,28,69.257,"X",67.64,88,53.62,66.375,59.006,46.301,"Class3"
55.423,63,49.302,"L",67.062,65,66.517,51.046,13.078,57.698,"Class3"
79.673,18,95.411,"S",15.188,36,44.813,74.858,32.287,41.544,"Class1"
35.618,6,72.271,"N",46.451,73,7.797,14.194,59.757,15.099,"Class2"
52.897,43,51.255,"W",67.602,56,55.42,48.756,43.968,58.571,"Class3"
35.919,62,50.928,"L",67.835,73,48.403,52.714,28.645,43.031,"Class3"
92.656,9,84.273,"A",38.494,55,11.621,13.09,80.768,31.851,"Class2"
46.953,27,49.062,"N",67.407,67,54.805,73.487,32.605,57.261,"Class3"
59.287,82,85.005,"N",63.698,73,12.1,13.26,87.489,38.79,"Class2"
43.029,70,68.611,"N",56.693,60,24.419,13.408,66.028,35.255,"Class2"
48.357,32,75.538,"K",67.997,78,62.423,66.047,49.221,56.375,"Class3"
57.314,16,96.738,"U",13.583,43,43.575,74.68,37.371,18.999,"Class1"
59.369,29,44.045,"W",22.45,69,27.925,10.64,64.169,67.38,"Class2"
68.588,12,90.427,"S",15.173,45,97.721,74.025,43.159,11.144,"Class1"
50.396,63,38.062,"K",67.089,63,55.934,56.894,37.719,62.356,"Class3"
34.459,55,48.11,"N",54.682,64,11.631,10.324,91.017,28.055,"Class2"
32.206,22,96.224,"R",31.072,14,-9.731,74.462,NA,68.416,"Class1"
52.719,66,68.516,"L",67.428,56,14.03,62.05,53.299,44.13,"Class3"
57.692,26,90.132,"W",54.967,56,15.083,14.322,NA,39.909,"Class2"
57.072,83,69.923,"N",54.612,60,23.347,10.125,68.285,79.129,"Class2"
48.125,65,58.476,"L",67.697,79,40.31,60.887,55.66,58.808,"Class3"
77.66,8,93.789,"G",33.957,52,7.966,74.676,41.566,30.636,"Class1"
53.916,41,73.989,"A",20.582,57,25.777,13.672,89.751,34.399,"Class2"
61.406,49,83.326,"N",55.887,57,9.106,10.469,87.048,60.263,"Class2"
43.215,59,42.366,"X",67.547,96,49.2,73.162,53.504,59.688,"Class3"
85.42,11,91.019,"G",17.342,46,26.72,74.61,43.084,51.872,"Class1"
71.013,15,93.353,"S",17.373,26,62.568,NA,39.908,50.879,"Class1"
45.796,34,52.655,"L",67.504,75,53.243,63.127,36.221,55.163,"Class3"
58.495,46,62.587,"L",67.891,76,34.962,82.203,40.041,60.049,"Class3"
67.351,47,43.745,"X",67.497,60,34.577,79.061,52.479,44.564,"Class3"
49.971,36,37.469,"L",67.899,91,45.223,51.405,NA,54.339,"Class3"
33.243,21,95.63,"U",26.608,29,25.129,74.47,44.393,44.666,"Class1"
50.951,21,91.703,"I",15.617,52,47.484,74.768,36.297,108.341,"Class1"
93.462,49,91.255,"W",60.253,68,26.245,13.487,84.578,-7.135,"Class2"
30.053,63,44.111,"N",67.855,73,25.274,79.543,45.747,54.923,"Class3"
50.832,82,57.651,"K",48.121,76,11.832,10.044,100.296,-14.66,"Class2"
53.275,14,93.088,"G",31.843,32,49.238,74.721,47.525,40.417,"Class1"
84.652,14,91.309,"U",26.442,23,21.704,74.254,52.179,51.278,"Class1"
41.591,32,46.221,"W",67.055,88,29.503,61.653,44.869,61.454,"Class3"
74.079,45,46.582,"X",35.869,61,16.417,11.092,76.43,36.332,"Class2"
50.412,56,58.584,"W",67.297,75,26.363,72.382,29.325,55.452,"Class3"
56.651,20,73.25,"L",67.564,78,67.378,67.932,59.928,61.468,"Class3"
64.709,79,68.269,"W",34.863,65,16.473,13.171,93.15,22.533,"Class2"
51.232,11,63.917,"L",67.649,97,23.897,70.931,35.975,50.929,"Class3"
73.192,16,93.372,"U",18.064,46,13.814,74.826,31.518,33.67,"Class1"
45.481,21,93.147,"S",24.777,42,51.686,74.781,63.906,42.19,"Class1"
71.205,21,94.929,"U",22.878,49,28.532,74.42,46.616,40.449,"Class1"
60.997,10,71.27,"N",67.928,67,49.289,78.436,62.863,54.227,"Class3"
52.046,29,69.871,"K",67.66,94,54.333,57.596,42.686,55.115,"Class3"
68.347,16,92.904,"W",29.266,61,17.842,12.524,69.104,36.393,"Class2"
51.867,46,74.817,"X",24.742,55,17.842,12.552,67.076,41.678,"Class2"
75.643,17,92.697,"I",16.886,3,64.693,74.733,NA,20.923,"Class1"
76.735,17,96.607,"R",18.641,16,67.291,74.875,30.781,47.077,"Class1"
82.524,14,95.779,"S",27.222,36,67.664,74.869,42.534,39.767,"Class1"
41.711,69,49.323,"W",67.453,70,41.903,56.105,47.143,55.582,"Class3"
51.478,26,75.57,"N",67.444,66,65.033,77.945,27.303,63.581,"Class3"
50.206,21,74.36,"X",67,89,53.047,56.278,NA,51.484,"Class3"
82.644,31,80.816,"N",20.454,66,25.429,13.542,99.487,32.758,"Class2"
34.163,57,54.843,"K",67.427,68,38.147,75.097,38.326,56.787,"Class3"
75.354,5,95.617,"R",13.277,7,20.543,74.723,39.658,11.376,"Class1"
43.248,45,74.649,"X",67.462,59,40.992,76.457,34.221,56.192,"Class3"
76.754,9,90.958,"S",20.833,45,11.83,74.956,41.975,61.746,"Class1"
17.314,85,70.053,"K",43.737,64,9.008,13.424,75.752,76.381,"Class2"
60.727,95,70.928,"X",48.351,56,17.023,11.374,69.752,55.286,"Class2"
112.55,4,63.24,"N",45.531,60,15.755,14.768,60.302,32.06,"Class2"
49.851,11,95.469,"U",13.825,35,23.303,74.705,41.671,31.441,"Class1"
4.331,3,58.109,"N",52.687,55,15.162,11.906,78.086,67.991,"Class2"
42.617,9,91.827,"U",19.252,26,-22.533,74.08,44.903,71.868,"Class1"
22.183,40,74.727,"N",62.742,62,19.703,13.004,61.933,35.986,"Class2"
68.102,8,92.343,"S",23.239,25,18.416,74.844,50.722,27.34,"Class1"
78.374,18,95.975,"G",19.244,41,13.505,74.674,61.478,45.365,"Class1"
35.721,82,88.444,"A",22.724,65,29.802,11.568,70.623,31.899,"Class2"
57.356,56,63.765,"X",67.854,83,45.214,51.458,35.44,59.386,"Class3"
31.37,65,57.487,"K",67.691,55,43.971,64.351,56.035,48.922,"Class3"
80.627,14,96.345,"I",23.006,6,42.045,74.564,37.836,59.529,"Class1"
24.285,13,96.961,"G",27.899,53,36.316,74.949,NA,19.524,"Class1"
68.329,34,62.136,"K",67.093,58,38.077,64.926,44,40.847,"Class3"
60.466,31,55.532,"X",67.564,60,43.928,63.359,32.625,59.272,"Class3"
57.046,47,66.424,"K",67.824,78,30.193,71.905,26.057,56.003,"Class3"
41.57,40,61.08,"K",67.699,70,40.466,82.338,41.372,59.86,"Class3"
33.255,54,58.62,"N",67.549,55,61.12,61.812,40.078,51.226,"Class3"
39.212,65,45.795,"A",35.249,73,20.215,11.401,105.315,49.457,"Class2"
51.439,14,93.539,"G",26.769,23,38.344,74.715,47.145,69.925,"Class1"
63.757,9,90.918,"R",16.332,11,81.779,74.197,48.181,44.475,"Class1"
62.099,96,71.975,"X",26.193,75,21.764,12.81,57.57,28.334,"Class2"
53.353,29,51.686,"N",67.649,68,48.895,66.133,33.047,57.255,"Class3"
63.454,42,61.065,"K",37.759,62,25.622,13.224,61.443,38.552,"Class2"
70.565,12,96.049,"S",23.977,21,12.485,74.531,35.141,17.621,"Class1"
50.291,56,69.753,"A",49.876,54,26.226,10.86,64.698,39.709,"Class2"
57.232,49,41.937,"K",67.291,84,65.539,57.605,28.477,43.03,"Class3"
49.308,19,96.934,"U",21.223,44,31.475,74.944,33.246,32.66,"Class1"
27.221,93,88.508,"K",25.835,72,19.301,10.985,87.895,25.305,"Class2"
15.803,66,65.837,"N",46.703,62,18.307,NA,78.345,36.641,"Class2"
42.409,10,36.423,"X",67.69,91,36.966,79.872,49.804,54.042,"Class3"
56.736,18,91.591,"R",28.545,3,55.371,74.499,NA,19.167,"Class1"
28.282,7,93.198,"G",32.398,22,-6.118,74.645,36.172,99.757,"Class1"
34.022,63,65.468,"N",40.504,66,14.721,NA,78.654,61.177,"Class2"
63.634,39,55.305,"K",67.165,97,46.636,72.25,51.378,64.083,"Class3"
-11.851,24,74.199,"X",47.508,66,14.161,11.627,73.33,21.929,"Class2"
47.19,17,90.686,"G",26.5,42,15.078,74.524,31.503,75.487,"Class1"
71.531,18,94.289,"S",13.783,52,12.182,74.232,46.388,37.243,"Class1"
79.262,20,95.722,"I",22.349,22,5.384,74.259,44.16,66.154,"Class1"
58.688,49,56.028,"W",67.875,63,41.939,NA,24.084,51.487,"Class3"
59.453,24,71.818,"N",67.454,60,19.021,69.076,33.547,58.797,"Class3"
39.169,7,73.287,"W",67.96,90,54.551,66.878,NA,52.584,"Class3"
57.349,23,39.239,"L",67.106,98,28.811,76.326,32.966,64.044,"Class3"
67.047,89,79.176,"N",35.783,66,9.085,10.031,80.821,57.125,"Class2"
35.119,20,96.014,"U",26.052,14,51.806,74.67,49.356,20.299,"Class1"
13.668,19,92.702,"I",28.381,55,43.381,74.738,42.983,21.952,"Class1"
64.303,13,91.369,"S",33.507,27,26.333,74.883,50.558,34.281,"Class1"
62.217,67,64.281,"X",67.398,60,48.659,65.335,22.357,51.515,"Class3"
46.91,6,50.424,"L",67.153,81,21.825,61.182,36.29,50.358,"Class3"
74.614,5,94.34,"R",24.688,53,27.265,74.848,45.757,66.547,"Class1"
54.293,30,37.209,"N",67.351,98,42.699,82.726,54.585,56.524,"Class3"
61.537,16,93.832,"R",30.751,30,83.632,74.209,46.368,26.648,"Class1"
95.607,14,76.118,"A",32.624,63,14.391,10.154,62.683,48.684,"Class2"
40.986,18,75.242,"N",67.357,90,50.955,59.975,46.064,48.908,"Class3"
45.41,48,68.629,"L",67.774,94,34.684,62.292,36.848,56.415,"Class3"
70.839,17,90.309,"I",29.877,41,-2.944,74.892,NA,75.5,"Class1"
45.174,58,46.851,"K",67.949,95,20.321,61.321,48.201,55.319,"Class3"
53.265,45,49.718,"N",67.25,59,52.929,74.472,39.988,50.631,"Class3"
59.406,22,73.849,"K",67.747,71,43.07,59.759,53.531,43.759,"Class3"
61.137,26,72.055,"X",67.017,69,10.495,71.21,11.612,47.615,"Class3"
59.341,36,86.611,"W",27.084,76,27.767,13.623,96.217,43.835,"Class2"
47.536,40,61.524,"L",67.317,69,23.2,NA,34.8,43.719,"Class3"
52.303,19,96.975,"G",14.817,46,42.886,74.241,44.937,95.548,"Class1"
24.684,48,61.976,"K",63.978,76,13.886,12.338,64.763,19.728,"Class2"
76.497,85,63.832,"N",41.564,66,18.398,13.248,77.708,15.406,"Class2"
52.58,53,43.613,"X",67.894,85,22.74,69.794,36.576,49.228,"Class3"
93.111,71,59.889,"W",25.336,73,17.463,10.286,86.774,71.981,"Class2"
38.035,49,70.28,"K",67.902,71,42.521,81.504,51.011,48.708,"Class3"
60.345,64,65.546,"L",67.006,85,45.387,82.446,61.444,43.985,"Class3"
88.068,8,96.776,"S",28.348,55,19.437,74.587,42.533,48.164,"Class1"
57.009,13,94.091,"U",18.858,11,41.423,74.837,58.152,38.847,"Class1"
121.932,8,90.906,"U",30.89,28,52.353,74.297,36.381,44.735,"Class1"
30.845,62,50.121,"A",22.296,74,15.471,12.521,84.255,49.393,"Class2"
55.034,54,62.294,"N",67.186,59,53.37,NA,60.354,50.446,"Class3"
111.212,56,56.505,"W",63.43,55,8.281,10.355,84.257,9.142,"Class2"
79.768,22,96.787,"R",29.599,26,67.885,74.407,35.37,27.025,"Class1"
54.936,52,56.094,"N",67.84,71,44.761,NA,49.679,58.424,"Class3"
48.962,35,64.263,"X",67.422,95,39.099,51.674,32.11,60.419,"Class3"
31.153,50,69.501,"W",50.879,61,18.418,14.827,NA,73.753,"Class2"
71.749,21,93.016,"R",24.436,53,50.053,74.074,45.69,35.182,"Class1"
73.799,37,90.813,"N",22.018,75,16.058,13.462,76.751,20.461,"Class2"
83.095,78,47.216,"W",56.241,76,8.661,13.108,76.783,56.04,"Class2"
35.514,16,60.376,"L",67.895,58,44.829,50.046,32.098,60.894,"Class3"
49.791,9,91.528,"R",28.872,26,54.608,74.041,52.508,52.425,"Class1"
37.874,27,38.827,"L",67.063,88,30.049,63.691,58.998,51.25,"Class3"
16.943,6,96.487,"S",22.222,55,-2.551,74.518,51.246,43.009,"Class1"
59.405,20,94.652,"U",17.462,53,73.462,74.658,42.289,31.725,"Class1"
91.04,48,56.418,"A",32.683,62,16.551,12.054,95.611,20.542,"Class2"
61.375,17,92.863,"I",20.365,30,34.175,74.208,NA,42.155,"Class1"
53.588,7,58.676,"W",67.767,81,51.395,56.666,NA,57.193,"Class3"
40.258,20,93.631,"I",18.513,52,22.568,74.831,21.561,18.609,"Class1"
73.861,7,96.369,"U",31.046,14,39.838,74.519,40.777,56.41,"Class1"
50.124,59,69.845,"L",67.7,59,28.237,48.278,28.393,53.664,"Class3"
73.038,5,96.223,"S",21.216,39,14.156,NA,43.15,57.02,"Class1"
30.34,78,54.247,"K",60.306,60,24.005,12.036,85.669,68.835,"Class2"
48.764,6,70.979,"L",67.519,92,48.948,60.422,40.981,51.764,"Class3"
39.474,9,91.447,"S",29.612,21,53.228,74.176,40.357,18.739,"Class1"
59.271,46,41.51,"L",67.748,83,55.628,59.598,24.081,63.386,"Class3"
40.148,60,64.157,"L",67.83,61,28.42,62.123,40.615,63.209,"Class3"
44.701,15,75.154,"W",67.29,70,37.448,55.539,38.622,66.418,"Class3"
59.936,12,51.617,"A",63.781,67,10.171,11.704,78.561,41.092,"Class2"
56.148,20,50.067,"X",67.064,57,20.847,81.932,68.811,57.292,"Class3"
27.849,47,94.231,"A",24.735,61,17.194,NA,79.464,77.584,"Class2"
42.058,68,86.025,"A",52.554,70,20.442,12.138,79.514,63.868,"Class2"
61.712,15,90.196,"R",17.782,16,85.66,74.585,64.839,53.946,"Class1"
52.037,11,72.476,"X",67.976,70,54.525,82.937,17.71,65.518,"Class3"
40.083,22,46.837,"N",43.326,55,13.428,12.187,91.596,54.676,"Class2"
87.182,24,74.749,"A",36.578,76,16.895,11.285,70.5,52.03,"Class2"
43.624,24,55.508,"X",67.34,72,38.551,51.081,38.244,64.532,"Class3"
73.756,21,95.315,"R",20.743,20,26.303,74.2,19.096,56.019,"Class1"
27.989,15,92.531,"G",28.048,33,89.233,74.206,33.184,60.037,"Class1"
34.437,95,71.557,"W",38.135,60,24.122,10.212,56.171,11.083,"Class2"
87.727,11,93.95,"G",18.222,7,44.945,74.597,46.105,55.053,"Class1"
73.905,80,94.976,"N",41.987,78,29.044,13.067,72.504,46.726,"Class2"
52.441,34,72.418,"X",67.614,55,56.784,69.713,32.887,67.595,"Class3"
39.713,22,90.867,"R",13.716,7,37.726,74.964,34.397,-7.025,"Class1"
57.616,60,75.31,"X",67.831,72,64.906,63.3,55.643,60.36,"Class3"
42.948,45,36.042,"X",67.805,65,47.495,49.206,39.422,48.558,"Class3"
46.167,39,63.908,"L",67.267,55,50.472,52.73,24.422,56.692,"Class3"
69.101,10,91.964,"S",16.763,33,107.732,74.635,34.84,42.41,"Class1"
55.805,46,35.413,"N",67.421,75,44.668,81.671,22.657,55.159,"Class3"
18.324,66,93.686,"N",41.396,60,14.681,10.063,65.14,16.824,"Class2"
53.479,58,69.088,"K",67.713,81,37.823,70.274,47.126,49.516,"Class3"
98.768,20,96.36,"U",16.379,34,49.492,74.271,48.753,47.143,"Class1"
7.137,92,88.681,"X",59.933,74,5.881,11.723,67.975,26.239,"Class2"
63.978,21,93.586,"G",33.125,54,38.347,74.754,49.194,38.011,"Class1"
47.825,15,92.544,"S",30.673,22,4.473,74.543,48.225,-16.985,"Class1"
48.709,29,83.822,"N",46.399,74,23.513,13.222,79.6,14.066,"Class2"
90.824,74,91.483,"N",37.709,73,11.866,14.375,95.675,42.837,"Class2"
57.646,43,72.388,"W",67.059,79,36.84,49.699,51.296,51.108,"Class3"
102.983,10,93.54,"U",19.11,23,68.341,74.531,42.023,30.452,"Class1"
78.88,32,56.631,"X",62.665,59,14.233,13.225,71.77,33.947,"Class2"
32.725,62,60.928,"L",67.63,62,33.118,73.746,46.289,60.744,"Class3"
34.045,22,96.725,"R",34.214,51,25.064,74.097,40.135,69.903,"Class1"
49.637,22,95.966,"U",24.868,40,60.005,74.781,27.777,46.804,"Class1"
81.895,36,92.676,"W",37.091,58,7.475,NA,72.031,37.965,"Class2"
67.278,22,90.955,"R",17.445,54,32.867,74.49,39.548,81.316,"Class1"
59.772,22,95.912,"S",19.19,31,31.746,74.974,38.433,60.415,"Class1"
70.022,8,91.86,"I",24.835,18,53.834,74.14,53.226,5.825,"Class1"
57.072,27,51.44,"W",27.563,73,18.124,14.766,61.432,19.966,"Class2"
60.024,9,90.648,"G",33.633,33,22.803,74.904,61.684,60.762,"Class1"
62.264,15,92.351,"R",23.194,7,36.783,74.019,41.131,74.506,"Class1"
43.154,81,57.247,"N",58.997,61,12.695,NA,52.705,20.824,"Class2"
47.525,49,40.836,"K",67.002,71,46.049,51.592,28.129,61.647,"Class3"
49.076,32,63.856,"X",67.39,63,24.187,81.494,62.647,53.929,"Class3"
43.888,50,70.733,"X",67.923,70,40.354,64.481,36.692,56.397,"Class3"
29.992,28,75.158,"A",41.893,61,11.221,10.15,82.232,57.531,"Class2"
46.816,5,95.618,"U",29.466,16,86.256,74.206,37.589,34.489,"Class1"
73.619,7,96.425,"I",27.194,10,65.905,74.588,34.107,98.236,"Class1"
30.127,66,70.293,"X",67.258,81,40.159,73.409,18.225,55.512,"Class3"
44.973,10,90.702,"S",15.352,27,20.157,74.519,32.875,96.915,"Class1"
44.297,46,88.897,"A",54.266,64,19.369,11.352,99.946,53.883,"Class2"
41.252,7,94.242,"G",31.67,6,1.093,74.874,46.137,41.886,"Class1"
48.234,47,47.854,"L",67.682,69,50.689,73.89,42.245,52.135,"Class3"
53.852,13,91.326,"S",25.697,22,27.219,74.44,43.968,29.256,"Class1"
51.577,6,72.255,"L",67.519,62,65.151,79.244,31.224,58.084,"Class3"
64.713,8,94.173,"U",26.285,33,18.923,74.75,43.33,64.778,"Class1"
63.726,22,62.067,"X",67.587,93,54.04,63.145,55.847,44.698,"Class3"
56.436,38,60.894,"A",40.685,65,18.645,10.881,NA,41.9,"Class2"
50.165,47,55.152,"N",67.243,96,48.981,81.026,38.767,57.81,"Class3"
71.658,85,58.906,"N",61.537,69,30.329,10.506,83.213,39.445,"Class2"
42.218,69,52.384,"A",29.523,59,21.925,11.757,58.736,18.166,"Class2"
43.017,18,62.124,"X",67.874,86,39.161,68.799,57.457,44.656,"Class3"
74.298,77,90.846,"W",39.327,76,17.562,14.369,62.619,36.597,"Class2"
67.316,14,96.352,"G",34.532,42,37.457,74.975,33.014,-24.018,"Class1"
71.434,36,65.915,"N",21.34,72,22.654,10.266,77.009,20.619,"Class2"
55.391,43,38.542,"K",67.132,76,45.694,71.493,26.271,57.202,"Class3"
32.865,90,69.382,"X",46.353,68,13.215,11.387,93.355,57.682,"Class2"
51.756,17,81.091,"W",29.302,65,18.441,14.381,77.054,4.117,"Class2"
49.584,16,51.545,"N",67.272,72,31.243,58.025,38.962,59.756,"Class3"
87.938,20,90.802,"S",24.059,53,46.032,74.802,62.586,45.692,"Class1"
86.97,39,54.079,"N",33.668,59,15.373,14.978,72.132,59.152,"Class2"
82.811,91,43.311,"A",63.165,54,13.511,14.712,64.051,83.191,"Class2"
52.003,26,63.28,"W",67.567,78,41.986,NA,42.658,59.103,"Class3"
34.345,16,94.073,"R",13.7,19,46.806,74.107,39.7,51.238,"Class1"
45.535,56,38.975,"L",67.836,67,52.465,63.496,29.416,56.319,"Class3"
66.367,7,92.646,"U",19.015,54,22.618,74.935,50.27,53.72,"Class1"
81.502,74,83.735,"A",24.732,71,13.34,12.35,79.706,56.238,"Class2"
24.934,96,69.695,"A",50.173,68,22.136,10.921,57.837,48.09,"Class2"
46.307,35,49.982,"L",67.499,68,32.987,77.213,47.2,51.419,"Class3"
68.092,14,95.273,"U",33.096,38,66.195,74.398,59.242,51.465,"Class1"
64.247,58,65.307,"L",67.376,84,46.095,57.371,38.882,60.757,"Class3"
70.833,88,43.431,"W",51.287,55,27.496,10.479,90.128,44.696,"Class2"
30.975,61,60.325,"L",67.486,57,27.029,71.778,42.301,54.224,"Class3"
61.574,89,56.536,"N",37.391,78,19.071,13.671,98.783,25.373,"Class2"
44.897,56,41.499,"X",67.962,81,47.298,83.773,NA,60.28,"Class3"
