"Output11","EVC1","CXK2","FKO3","IWU4","ANT5","PZK6","EZW7","SFA8","CLB9","LQW10","TKH11"
"Class2",52.154,75.435,16.725,80.479,"X","Z",29.38,66.404,35,34.535,7.196
"Class1",31.405,20.4,68.726,59.614,"T","B",78.172,26.879,49,31.907,16.344
"Class5",81.284,20.726,15.427,39.432,"L","S",22.885,42.722,16,33.411,43.463
"Class1",24.608,30.924,39.066,56.408,"O","R",71.732,27,44,41.362,7.422
"Class2",36.412,81.245,19.41,82.015,"D","N",28.686,66.671,10,20.885,-2.828
"Class4",56.555,57.224,7.105,48.919,NA,"W",94.62,75.422,29,56.451,81.862
"Class4",14.748,58.007,6.07,49.577,NA,"M",96.369,75.104,34,35.63,79.537
"Class4",44.8,57.568,16.739,49.886,"Z","M",69.932,80.078,33,63.868,48.182
"Class5",87.64,23.319,16.202,44.115,"N","S",16.657,68.329,4,36.988,73.576
"Class5",87.688,41.547,15.552,46.125,"I","A",12.609,75.433,12,38.561,46.393
"Class5",87.219,32.487,16.361,48.773,"N","A",11.612,68.394,20,5.8,61.456
"Class1",43.169,35.066,50.8,59.982,"N","Q",78.223,24.908,49,29.077,15.193
"Class1",8.946,50.198,68.804,62.186,"T","R",72.814,26.748,35,15.493,3.47
"Class1",34.422,16.44,47.383,62.706,"O","B",70.861,22.84,51,34.056,33.76
"Class4",50.067,58.218,5.457,44.424,"K","W",37.415,79.826,33,61.075,48.917
"Class3",54.194,38.109,34.259,65.912,"J","U",16.594,33.842,61,69.068,36.561
"Class4",81.863,58.315,6.151,41.069,"Z","C",73.81,76.972,29,36.899,74.801
"Class2",20.463,53.397,22.738,57.84,"F","H",58.342,62.346,8,31.942,41.297
"Class5",84.655,76.319,16.102,49.397,"W","G",21.425,32.35,33,18.863,65.768
"Class3",23.534,35.118,31.498,NA,"C","T",18.771,27.979,62,74.298,43.564
"Class2",46.036,44.412,16.431,74.461,"D","W",42.582,69.031,34,24.034,41.529
"Class5",86.263,66.322,15.209,39.277,"N","S",14.397,53.06,32,30.025,45.457
"Class2",26.86,50.688,10.02,63.505,"R","N",17.524,63.589,42,11.112,22.541
"Class3",76.152,28.29,32.269,40.243,"Z","T",8.544,21.791,57,85.246,49.469
"Class4",110.022,57.797,14.773,46.908,"Z","M",77.391,78.035,30,22.9,63.117
"Class5",85.96,54.62,15.996,40.335,"L","B",23.988,13.972,20,42.313,50.998
"Class4",59.746,58.576,12.333,43.489,"K","M",70.952,76.557,31,19.842,61.802
"Class5",90.424,34.554,16.76,49.705,"I","A",13.609,67.033,18,27.257,65.787
"Class4",47.036,59.918,14.319,52.846,"Q","J",114.552,79.876,31,35.747,69.54
"Class1",41.362,34.1,59.122,46.957,"V","Q",72.803,31.786,53,36.503,39.191
"Class4",74.041,58.306,11.029,46.745,"W","C",79.105,79.311,32,45.053,76.686
"Class5",92.71,27.814,15.197,41.825,"N","S",12.98,51.018,12,21.365,60.205
"Class1",34.717,59.49,93.132,38.873,"O","Q",78.118,24.556,44,24.796,34.081
"Class1",35.716,31.028,95.194,NA,"O","W",75.781,23.68,32,27.039,25.237
"Class1",44.773,27.148,89.55,62.335,"N","B",71.334,27.644,44,35.995,22.338
"Class4",38.456,59.355,12.52,39.033,"Z","C",62.054,78.219,31,27.719,75.508
"Class1",59.05,34.989,60.216,61.115,"O","V",77.346,26.752,32,33.077,35.133
"Class2",11.753,56.898,11.381,72.118,"X","Z",34.588,64.033,35,32.385,38.594
"Class5",86.217,60.056,15.16,48.321,"N","A",17.86,37.661,13,0.49,75.312
"Class4",71.026,57.503,8.599,52.274,"K","J",83.087,78.272,30,44.569,81.425
"Class5",81.166,11.066,16.496,50.621,"L","G",20.536,63.715,19,10.651,52.969
"Class5",84.793,55.742,16.283,NA,"I","S",26.751,40.459,7,30.903,66.966
"Class5",83.273,80.189,15.75,43.305,"A","A",14.025,37.491,17,21.652,56.754
"Class1",55.196,58.881,77.291,46.755,"T","B",71.603,22.203,22,35.843,25.221
"Class4",108.489,57.426,6.137,51.339,"W","W",64.908,76.019,33,18.519,64.33
"Class3",29.892,33.216,33.875,63.378,"A","R",11.673,32.927,57,83.39,42.661
"Class3",85.154,39.695,34.545,40.995,"J","R",17.762,66.494,76,69.974,37.054
"Class2",12.082,70.974,12.574,71.158,"X","W",30.388,67.572,37,31.939,33.944
"Class5",91.615,46.774,16.595,47.439,"L","G",16.622,69.93,16,20.442,60.724
"Class1",26.109,57.658,81.376,69.454,"O","W",73.318,27.299,49,12.173,24.331
"Class3",48.409,39.063,31.166,43.345,"S","D",10.116,47.242,60,75.825,41.126
"Class2",27.764,39.153,34.639,76.037,"F","B",40.46,69.901,7,29.27,19.22
"Class4",46.459,57.275,14.663,37.272,"Q","M",90.231,79.745,29,58.849,40.544
"Class3",136.726,41.063,34.293,42.737,"A","U",14.349,76.74,79,80.981,40.705
"Class5",87.269,78.218,15.181,44.793,"N","A",23.894,3.029,19,8.565,70.65
"Class1",51.783,50.935,41.574,68.176,"T","B",72.108,28.345,39,11.403,39.583
"Class1",49.357,35.747,37.923,NA,"T","R",69.863,25.075,34,20.728,46.826
"Class3",98.814,27.215,28.65,48.684,"C","U",13.993,24.49,67,73.534,38.406
"Class4",96.192,59.281,5.322,42.734,"G","W",72.978,75.104,32,58.216,74.912
"Class3",1.915,27.614,27.218,35.519,"J","D",11.312,27.19,56,80.201,39.278
"Class1",64.475,24.002,75.999,50.719,"V","R",72.479,26.864,47,42.557,45.1
"Class1",26.176,41.704,51.352,63.912,"N","V",74.473,28.928,35,27.331,25.527
"Class3",68.402,28.762,33.027,57.499,"Z","D",20.14,52.187,68,77.255,45.262
"Class1",42.619,38.264,75.541,78.338,"T","B",70.423,25.761,26,46.896,29.942
"Class4",60.877,58.428,13.873,54.934,NA,"W",62.018,80.714,32,60.1,54.415
"Class5",85.906,27.1,16.884,43.748,"I","G",22.634,56.949,36,31.8,53.859
"Class4",68.918,57.451,11.398,43.395,NA,"C",62.553,78.639,33,53.581,65.536
"Class3",64.944,30.971,27.907,39.553,"A","U",14.254,57.228,76,71.464,35.205
"Class5",87.822,48.629,15.03,47.74,"I","X",24.575,3.123,22,37.729,65.139
"Class3",-27.166,41.905,34.478,63.482,"A","A",11.428,50.347,63,90.692,32.262
"Class4",48.679,57.192,10.585,NA,"W","M",52.879,79.016,29,40.416,83.91
"Class1",15.014,48.946,55.423,66.757,"N","W",72.1,29.082,25,18.816,60.572
"Class3",89.062,34.168,31.493,63.83,"S","R",15.864,37.308,59,84.241,34.961
"Class1",68.769,36.838,51.524,54.573,"O","B",74.919,28.383,36,46.994,33.923
"Class1",12.184,31.006,71.487,60.746,"O","B",74.185,31.862,51,40.376,33.667
"Class1",2.162,41.69,63.73,36.316,"T","Q",73.746,28.691,41,15.86,35.065
"Class1",-15.452,54.362,88.77,38.826,NA,"R",73.435,28.681,34,37.359,16.189
"Class2",-8.377,67.914,9.871,NA,"D","H",28.955,61.007,45,6.417,42.998
"Class1",20.579,19.011,43.135,66.222,"O","W",71.088,23.844,45,49.667,30.688
"Class3",-0.241,37.871,28.446,49.665,"Z","U",20.009,62.002,76,89.308,34.061
"Class1",26.677,47.551,66.241,47.089,"T","V",67.023,22.667,38,29.184,42.239
"Class1",8.936,34.425,39.867,47.116,"W","B",74.204,31.3,41,18.055,41.606
"Class1",39.1,41.452,61.28,65.228,"N","Q",70.203,26.495,54,36.131,38.208
"Class3",52.886,33.025,30.892,47.975,"A","R",17.542,67.566,78,80.668,46.342
"Class2",24.783,60.791,17.77,68.593,"F","Z",-14.631,65.642,38,29.449,26.76
"Class1",32.031,41.299,70.541,48.12,"T","Q",71.373,31.664,46,21.027,39.521
"Class2",31.551,76.491,13.444,67.999,"F","Z",39.809,62.07,20,24.207,34.869
"Class2",30.531,61.928,20.492,65.655,"D","H",26.645,64.341,28,27.372,29.282
"Class1",64.968,22.489,39.249,48.179,"V","V",70.574,29.588,33,12.2,35.797
"Class3",45.444,41.484,35.549,54.337,"Z","A",15.421,63.717,65,75.693,50.963
"Class3",42.246,35.721,27.473,42.982,"S","T",13.759,25.923,61,89.903,41.977
"Class4",74.333,57.375,17.37,61.192,"W","M",58.227,76.917,30,26.673,60.925
"Class5",85.068,52.788,15.829,46.606,"I","G",32.612,42.986,18,40.107,62.966
"Class1",38.343,55.186,86.088,66.224,"N","B",71.781,24.205,40,38.55,44.617
"Class2",29.258,49.455,20.38,57.807,NA,"N",18.066,69.62,16,16.287,32.353
"Class2",31.644,62.09,11.003,60.474,"K","W",38.427,63.909,41,20.1,21.483
"Class3",50.961,27.946,33.916,65.557,"A","A",11.073,67.223,76,86.18,42.986
"Class5",92.005,25.374,16.543,NA,"W","X",27.173,55.462,21,2.643,71.206
"Class5",88.866,52.553,16.578,48.957,"W","B",19.48,7.605,22,18.005,50.613
"Class4",50.341,58.745,18.613,41.569,"W","J",74.058,79.272,34,40.137,77.45
"Class5",89.463,41.99,16.038,51.054,"W","S",19.956,74.552,35,37.893,69.949
"Class1",47.396,48.044,69.157,46.732,"T","V",71.655,29.313,39,43.869,18.995
"Class1",84.148,44.213,64.081,68.543,"V","V",72.437,25.943,37,37.079,20.952
"Class3",52.964,37.897,33.484,67.05,"C","T",17.926,51.259,59,69.028,36.987
"Class5",84.652,82.954,15.605,40.643,"L","A",29.933,29.066,9,42.318,56.457
"Class1",44.979,21.029,75.97,45.201,"W","R",75.226,23.212,52,41.235,31.74
"Class3",12.689,32.137,34.165,77.559,"C","A",16.936,36.365,58,70.57,34.124
"Class3",7.091,35.222,35.644,34.962,NA,"D",18.041,44.328,78,77.603,44.836
"Class2",52.051,57.738,38.783,62.137,"F","B",21.715,62.952,34,20.789,47.136
"Class5",88.88,66.199,15.316,44.699,"A","B",17.902,62.165,25,40.401,61.002
"Class2",10.889,50.643,35.546,60.581,"K","B",33.514,67.826,4,7.705,42.472
"Class2",34.352,47.059,17.761,67.083,"K","Z",70.489,61.158,17,10.499,-16.171
"Class1",43.903,28.314,53.377,57.016,"O","B",69.404,24.165,30,35.784,28.919
"Class3",98.868,29.651,28.602,68.662,"S","D",17.691,62.719,71,78.585,34.276
"Class4",38.125,58.272,6.907,45.474,"W","W",61.721,78.799,30,21.286,60.303
"Class1",19.111,56.417,53.191,64.595,"N","B",71.515,23.763,23,27.125,30.46
"Class5",86.22,66.022,15.176,43.639,"I","A",21.008,15.597,12,15.15,63.986
"Class3",56.13,39.865,28.781,83.778,"Z","D",9.295,59.086,65,82.979,39.084
"Class2",45.53,61.889,38.471,60.41,"K","W",52.956,63.329,13,27.874,57.243
"Class2",20.472,77.869,17.881,99.876,"X","Z",32.579,63.446,30,21.374,40.761
"Class5",88.094,26.038,16.787,46.781,"W","G",21.12,5.714,16,13.272,58.534
"Class1",39.671,33.671,75.859,57.338,"N","B",71.005,23.275,22,48.959,40.995
"Class4",24.92,58.095,18.933,56.057,"W","Z",45.529,76.322,30,30.659,66.726
"Class5",87.134,71.416,15.869,44.189,"W","A",6.925,4.922,17,6.075,70.493
"Class4",53.156,57.183,16.567,40.321,"G","J",55.598,80.071,33,30.989,80.915
"Class5",86.67,50.257,15.551,50.237,"A","G",29.503,63.037,7,42.26,54.175
"Class3",43.642,38.444,29.475,59.869,"C","A",13.561,21.098,81,70.849,46.862
"Class4",47.649,58.786,18.374,43.635,NA,"Z",61.558,77.703,31,35.568,65.683
"Class5",89.046,79.383,15.24,40.087,"I","G",11.523,11.454,14,11.435,68.999
"Class4",40.524,59.038,9.464,48.672,NA,"Z",75.157,80.632,29,62.416,95.926
"Class3",27.515,32.871,35.283,58.539,"J","D",14.989,24.792,56,89.66,36.599
"Class4",49.001,59.051,8.936,44.181,"W","Z",77.685,79.47,32,41.345,71.72
"Class1",55.934,53.056,42.697,65.787,"O","R",71.538,23.845,37,35.535,25.355
"Class2",6.411,52.416,10.375,80.621,"F","Z",38.007,68.052,9,15.968,9.596
"Class5",82.598,60.215,15.896,44.364,"L","X",29.333,16.236,37,42.031,60.327
"Class1",43.181,49.284,78.207,44.096,"V","V",71.637,30.137,41,13.812,16.581
"Class1",61.778,16.879,90.903,49.436,"V","B",74.02,27.745,51,36.759,14.991
"Class2",44,75.287,28.59,63.23,"R","N",14.35,61.332,33,27.461,52.329
"Class1",8.801,43.395,92.304,75.867,"V","W",76.778,24.803,28,19.08,8.678
"Class1",7.458,23,65.945,72.066,"T","B",77.676,23.508,45,18.296,20.829
"Class5",84.79,33.511,15.107,41.729,"W","B",8.934,15.393,12,38.91,55.422
"Class5",80.444,28.413,15.07,45.814,"I","S",22.987,13.073,22,6.833,55.753
"Class4",46.594,59.411,15.065,41.581,"W","W",77.47,80.9,32,17.156,60.89
"Class3",59.929,39.689,31.733,65.282,"Z","R",15.428,48.894,66,73.69,33.748
"Class4",63.923,58.113,5.362,47.231,"W","W",84.37,79.374,31,51.499,68.776
"Class4",32.339,58.198,15.125,44.952,"Z","W",74.734,77.776,29,29.69,65.228
"Class5",89.327,14.611,16.783,46.593,"W","G",43.612,20.973,24,15.576,62.473
"Class3",23.147,40.83,34.015,24.489,"C","A",12.382,39.936,61,85.158,44.572
"Class5",85.526,70.532,16.114,45.273,"N","S",32.163,74.333,17,12.505,42.738
"Class1",45.402,55.782,93.542,61.01,"W","V",73.352,25.04,27,45.126,33.758
"Class2",6.727,65.861,27.332,75.405,"K","N",35.158,64.727,27,27.381,64.922
"Class4",60.57,59.597,18.818,35.373,"W","C",48.759,80.099,31,41.377,50.541
"Class4",49.166,58.767,16.699,51.436,"G","M",64.617,78.724,29,31.938,67.391
"Class4",76.742,58.806,5.101,52.578,"Z","Z",30.215,80.84,31,31.113,79.751
"Class1",32.08,16.858,69.473,65.159,"N","R",69.544,26.194,27,46.088,13.169
"Class5",82.267,78.012,15.073,43.452,"A","X",21.064,26.172,21,17.112,59.984
"Class2",4.463,79.719,31.516,NA,"F","B",22.742,67.132,35,4.495,41.582
"Class2",25.869,47.909,38.335,73.471,"F","Z",22.848,62.956,25,27.962,21.365
"Class5",92.134,11.938,15.799,38.474,"A","A",3.012,75.525,33,4.938,69.298
"Class2",1.266,49.293,11.511,55.138,"D","H",22.836,61.42,14,11.851,39.724
"Class2",36.241,46.266,39.563,86.035,"K","H",41.371,63.503,39,15.097,29.718
"Class2",40.604,57.356,15.942,80.708,"X","N",37.883,64.405,14,18.588,42.28
"Class2",15.197,39.168,25.261,75.308,"D","Z",5.692,63.64,22,14.61,26.974
"Class2",12.239,66.037,16.101,83.004,"K","H",15.692,62.095,35,5.305,39.833
"Class3",75.044,26.436,27.932,46.209,"Z","U",15.967,58.172,69,80.116,27.484
"Class5",86.027,7.235,16.181,48.564,"W","S",10.445,61.627,11,24.819,73.975
"Class3",89.314,37.232,27.262,55.769,"J","T",15.583,68.565,60,86.515,46.253
"Class5",84.02,14.554,15.076,43.98,"N","B",12.338,12.07,5,35.17,62.622
"Class1",-8.825,50.697,38.256,37.233,NA,"Q",77.474,26.384,53,41.638,33.128
"Class1",28.212,16.206,53.465,63.278,"T","R",69.186,25.974,44,38.033,51.242
"Class2",16.553,49.99,9.978,70.455,"R","Z",49.38,63.333,16,21.408,35.976
"Class3",47.608,34.917,30.883,52.706,"Z","R",13.232,29.106,60,74.758,35.728
"Class2",28.737,47.72,34.712,56.683,"K","Z",10.506,69.356,46,21.374,8.031
"Class1",63.171,45.929,48.963,69.35,"O","Q",69.199,26.162,35,21.179,16.752
"Class4",119.333,58.399,12.418,NA,"K","W",36.388,79.495,29,35.542,66.645
"Class2",50.062,66.374,34.231,65.989,"D","Z",49.88,67.687,28,4.493,31.298
"Class2",33.885,70.829,22.183,55.37,"K","H",26.466,62.376,10,29.006,57.207
"Class5",83.779,18.625,16.45,44.504,"L","S",33.84,19.276,39,29.424,71.729
"Class5",87.54,30.335,16.337,46.379,"I","G",20.184,37.648,26,21.455,62.852
"Class3",56.385,27.659,33.789,53.638,"Z","D",15.725,70.547,64,82.785,35.971
"Class1",20.777,45.798,52.653,NA,"W","W",76.293,28.534,30,22.063,2.914
"Class5",87.264,33.682,15.425,46.187,"A","X",16.828,34.241,31,14.695,61.362
"Class3",22.822,40.704,33.379,61.084,"C","D",5.9,48.763,64,87.663,37.628
"Class3",81.794,39.682,33.148,67.665,"C","D",17.161,30.515,75,72.171,44.223
"Class1",-5.976,50.24,98.229,43.351,"T","R",68.685,25.925,26,42.682,38.299
"Class4",36.946,59.21,14.651,50.738,"K","Z",65.71,75.213,32,39.126,49.042
"Class5",91.58,78.544,15.614,46.398,"N","G",18.122,19.53,16,5.388,60.815
"Class2",22.391,50.993,13.753,69.036,"R","Z",66.743,69.871,6,26.189,38.058
"Class1",29.326,55.317,86.33,40.767,"O","Q",67.696,28.053,41,17.091,16.977
"Class3",62.874,38.629,34.232,52.274,"C","R",12.114,68.274,78,73.163,30.987
"Class4",67.633,59.105,17.904,NA,"W","W",39.66,79.619,29,33.007,52
"Class4",66.129,58.414,9.462,41.798,"Z","W",70.889,80.216,32,27.42,57.709
"Class1",67.014,54.229,76.844,NA,NA,"B",71.669,28.035,25,49.707,43.66
"Class3",73.65,28.535,27.233,53.477,"C","A",7.512,55.305,83,84.303,43.502
"Class3",32.496,26.923,34.17,87.568,"J","A",13.574,56.345,62,83.282,44.492
"Class1",44.527,19.109,67.596,71.354,"T","Q",76.572,24.883,24,28.684,40.299
"Class5",86.995,66.528,16.239,46.078,"L","G",8.842,50.909,4,11.021,65.71
"Class3",65.963,31.144,34.661,30.163,"J","A",14.598,43.858,59,87.432,38.292
"Class5",94.997,52.53,15.063,42.222,"N","X",25.652,35.564,23,14.249,69.096
"Class1",43.944,28.803,96.883,73.62,"V","V",74.887,28.357,54,41.065,39.303
"Class2",1.988,45.552,34.016,48.86,"X","Z",20.105,68.25,22,16.843,33.708
"Class2",23.893,57.581,28.955,NA,"R","B",34.139,62.781,31,31.251,37.147
"Class4",57.749,58.204,9.393,NA,"Z","J",53.911,75.855,29,55.01,52.795
"Class3",47.799,26.091,32.352,53.594,"J","T",12.624,40.443,54,70.671,38.99
"Class1",-28.918,31.459,65.555,77.556,"T","V",71.829,29.523,39,40.772,62.12
"Class5",82.844,77.283,16.85,37.478,"L","S",21.462,73.771,24,3.184,69.943
"Class1",41.316,41.857,85.097,35.103,"T","W",72,23.663,41,33.683,41.111
"Class3",35.649,39.482,28.403,53.175,"Z","R",15.592,30.066,79,78.227,41.308
"Class3",-8.651,27.675,32.251,65.641,"S","U",16.331,53.873,56,81.184,36.345
"Class2",29.558,61.179,30.217,64.039,"F","H",-1.344,66.186,6,9.066,45.341
"Class2",25.982,54.629,30.776,58.79,"D","H",29.329,65.386,47,4.057,8.596
"Class5",88.472,70.604,16.838,NA,"L","S",22.595,42.741,36,10.864,71.089
"Class1",8.995,55.347,69.168,60.41,"O","W",73.216,26.201,47,20.393,-8.406
"Class3",75.921,26.52,28.944,41.496,"S","A",13.096,46.25,58,76.976,45.062
"Class1",18.455,28.462,53.66,59.942,"V","W",68.046,30.04,28,41.046,25.423
"Class4",59.45,57.732,12.091,39.117,"Z","Z",58.598,77.979,31,26.971,54.838
"Class5",90.819,49.759,16.5,42.616,"I","B",10.668,52.156,30,31.895,45.755
"Class3",64.957,26.263,34.709,61.748,NA,"D",14.477,77.69,77,90.395,36.596
"Class5",90.046,79.196,16.974,38.418,"A","A",23.373,54.001,9,27.914,50.676
"Class3",-23.213,31.007,29.891,68.506,"C","R",13.918,26.403,65,83.264,36.04
"Class4",56.157,59.065,11.932,54.973,"G","W",46.904,75.99,30,18.553,76.805
"Class5",86.077,77.063,16.863,44.931,"A","A",35.873,19.985,17,21.671,75.07
"Class3",74.072,26.452,28.948,44.032,"J","A",8.856,36.099,54,88.881,36.21
"Class1",10.466,55.016,67.149,63.583,"W","B",72.688,27.743,49,33.856,62.556
"Class2",28.45,67.766,30.239,64.878,"R","Z",38.604,68.191,46,26.694,-2.296
"Class3",68.375,40.638,27.377,59.046,"A","A",14.125,65.142,59,73.075,32.311
"Class1",36.167,39.955,45.173,59.145,"T","W",75.553,29.343,47,49.703,36.544
"Class4",12.472,58.986,6.714,47.195,"Q","C",82.441,80.579,31,39.125,68.096
"Class4",43.321,58.524,5.45,50.056,"Z","J",68.805,79.441,30,60.748,73.947
"Class1",22.087,55.034,45.857,27.283,"N","W",68.389,25.334,49,17.81,34.714
"Class5",83.813,68.285,15.456,42.556,"N","A",13.457,53.254,21,0.202,75.55
"Class5",85.313,74.713,16.555,41.671,"L","A",22.518,49.55,4,40.984,56.462
"Class5",81.3,32.765,15.886,41.408,"I","G",18.577,12.33,29,15.916,54.653
"Class2",5.917,75.152,39.098,77.31,"F","B",9.664,62.078,37,7.204,31.934
"Class3",41.497,31.283,35.068,46.99,"Z","U",22.962,55.216,79,74.534,36.914
"Class5",90.033,62.795,15.604,44.111,"N","G",21.377,13.077,6,3.251,76.571
"Class3",57.576,28.028,30.731,64.719,"S","T",13.892,76.221,73,84.456,30.486
"Class2",-7.805,76.872,31.636,56.07,"D","N",43.273,66.07,47,23.593,33.924
"Class2",37.141,50.312,19.781,70.204,NA,"N",38.714,68.684,47,30.651,72.043
"Class2",40.159,42.648,37.208,70.01,"D","Z",35.292,69.283,42,23.58,18.07
"Class3",54.175,40.902,32.253,56.854,"Z","T",11.909,40.275,81,83.648,46.665
"Class2",43.687,77.149,31.58,72.175,"D","W",29.163,64.947,47,24.182,40.261
"Class5",89.662,76.247,16.651,44.625,"N","B",13.491,34.346,24,15.158,75.831
"Class2",24.293,57.451,15.992,58.694,"K","W",24.858,69.42,20,14.343,62.617
"Class5",84.586,27.98,15.401,41.816,"I","G",16.034,47.09,12,39.296,74.733
"Class1",48.157,42.829,46.747,44.616,"O","W",74.859,27.166,47,33.702,32.439
"Class4",40.319,58.417,9.826,49.765,"Q","W",92.638,80.604,30,57.281,54.898
"Class3",25.438,29.691,27.809,61.607,"Z","R",11.516,62.122,62,80.625,41.299
"Class3",59,32.317,35.429,30.101,"J","D",10.848,56.828,58,86.646,35.241
"Class3",39.776,36.923,29.634,NA,"J","A",13.574,43.203,71,86.94,40.276
"Class2",4.435,69.712,29.119,52.481,"D","N",41.192,64.793,32,18.832,62.22
"Class2",30.26,77.337,17.013,48.65,"F","B",31.918,63.949,18,29.585,30.936
"Class5",88.728,48.102,16.884,34.721,"L","S",24.227,26.782,19,22.773,47.954
"Class3",89.423,36.429,34.076,63.236,NA,"U",14.6,64.512,65,82.855,37.56
"Class3",79.474,28.678,34.077,77.588,"C","R",11.193,52.972,69,83.222,46.039
"Class1",30.71,31.501,66.521,50.405,"O","R",70.182,22.647,48,41.741,14.854
"Class1",13.669,35.166,84.037,69.165,"W","V",74.482,25.555,23,33.229,24.177
"Class1",6.968,37.533,41.832,61.058,"N","V",69.04,26.089,25,37.526,33.236
"Class5",82.357,80.907,16.53,45.904,"L","G",16.553,37.18,4,43.649,61.212
"Class2",20.253,58.344,35.942,56.362,"R","H",58.507,64.807,21,7.963,61.786
"Class5",88.91,27.138,15.417,42.251,"I","B",27.316,15.47,10,24.066,65.982
"Class4",70.285,58.195,6.876,36.013,"G","J",73.661,79.838,33,41.284,75.607
"Class1",24.668,45.281,48.422,43.329,"N","B",76.944,24.321,46,17.835,25.892
"Class1",33.699,46.864,54.094,52.285,"W","Q",75.3,23.095,33,42.479,57.203
"Class2",56.171,56.183,12.724,59.285,"D","W",56.358,63.126,27,21.889,69.979
"Class4",50.744,57.736,16.581,44.231,"G","C",70.58,75.585,32,24.739,70.94
"Class4",49.184,58.371,10.444,39.09,"Q","J",50.876,76.867,30,42.313,81.557
"Class4",31.397,59.603,15.518,42.082,"Q","C",55.284,79.64,34,26.166,84.902
"Class1",27.135,20.114,43.332,51.241,"V","W",79.393,22.973,33,32.711,20.913
"Class3",38.541,26.502,35.737,48.224,"S","A",13.29,41.42,54,72.807,38.696
"Class4",79.149,58.063,5.482,41.839,"W","J",83.375,78.216,34,51.079,78.744
"Class2",20.999,49.168,16.104,NA,"D","Z",54.938,61.381,33,16.158,-5.951
"Class4",73.951,59.448,7.406,46.162,"W","C",58.091,76.136,32,21.063,47.876
"Class4",75.266,57.667,4.814,32.674,NA,"J",63.822,78.601,30,56.003,60.813
"Class1",12.388,31.584,88.629,48.746,"V","Q",74.6,23.774,34,36.846,44.047
"Class4",58.486,57.727,10.096,32.545,"Z","W",69.976,77.835,34,35.532,64.02
"Class2",35.751,51.438,21.494,34.179,NA,"Z",28.627,67.074,42,17.596,29.425
"Class2",30.954,69.058,37.812,93.313,"X","N",7.333,61.026,25,21.776,29.696
"Class2",12.975,71.186,9.906,55.748,"D","W",60.833,63.211,35,8.427,41.563
"Class3",70.132,31.862,35.065,68.217,"Z","T",20.974,76.669,63,81.191,34.356
"Class4",70.978,57.916,11.544,63.33,"Q","Z",79.891,76.475,29,25.753,65.595
"Class3",13.418,28.664,32.865,NA,"C","R",7.805,70.7,54,82.29,33.909
"Class3",36.85,32.933,31.7,63.645,"J","D",18.991,71.628,61,84.572,36.47
"Class5",85.006,40.364,16.821,48.686,"I","A",31.148,30.297,34,40.848,50.858
"Class4",19.676,59.767,4.484,46.431,"G","Z",67.122,80.217,31,18.037,77.655
"Class1",46.846,48.847,60.059,52.043,"T","Q",73.409,26.799,29,46.361,35.296
"Class4",55.776,57.164,11.126,44.425,"Q","Z",77.522,78.984,32,23.071,69.379
"Class5",83.379,66.524,16.554,39.499,"N","G",24.792,72.67,7,20.128,55.664
"Class4",47.072,59.594,6.266,55.628,"Z","C",55.485,77.256,34,43.476,53.316
"Class2",33.753,52.998,28.293,61.823,"X","Z",27.143,64.119,36,11.661,49.366
"Class4",76.861,57.483,13.311,37.345,"Q","M",59.08,77.219,34,24.115,52.074
"Class4",42.14,59.356,4.033,44.842,"Q","C",47.882,75.737,33,46.472,61.922
"Class2",13.706,80.318,17.557,51.18,"K","B",56.167,61.429,14,19.333,10.547
"Class1",19.218,52.39,42.371,51.161,"N","Q",75.759,27.958,53,20.981,34.775
"Class2",16.018,59.027,17.905,82.778,"F","W",44.276,69.92,23,18.95,27.627
"Class2",25.064,72.977,13.239,61.146,"D","W",64.651,66.774,6,19.077,52.25
"Class4",30.199,58.2,11.806,47.127,NA,"C",77.781,79.81,30,28.271,72.072
"Class5",83.391,43.826,16.463,43.655,"A","G",21.161,63.768,16,41.029,72.612
"Class3",79.228,29.825,31.768,55.579,"Z","T",9.045,46.986,62,79.133,37.035
"Class4",31.369,57.07,15.099,44.849,"W","M",69.969,80.008,29,39.64,72.58
"Class2",-1.782,70.954,16.392,82.008,"R","W",42.628,69.563,32,31.865,34.716
"Class4",51.155,59.063,16.141,40.593,"W","J",60.296,77.502,34,61.573,61.924
"Class2",29.163,79.394,38.204,68.311,"R","N",-1.006,61.291,24,8.684,55.058
"Class4",52.841,59.956,9.915,50.007,"G","J",93.646,75.619,34,18.939,65.155
"Class4",88.193,59.35,14.445,51.877,NA,"Z",127.571,76.822,33,41.607,78.524
"Class3",92.811,27.898,32.373,33.847,"J","A",11.55,28.421,62,86.451,40.249
"Class4",33.007,59.11,7.031,49.905,"G","Z",64.866,78.542,31,39.999,71.98
"Class1",32.605,16.086,98.893,58.995,"T","Q",74.138,28.276,25,20.91,18.174
"Class2",20.495,57.391,36.584,NA,"X","N",11.452,69.971,7,5.989,26.075
"Class3",63.262,27.79,33.72,45.796,"S","T",16.41,45.701,60,89.947,45.673
"Class2",10.678,80.225,25.883,77.058,"K","H",31.389,67.503,47,34.542,52.861
"Class1",39.541,26.872,58.561,51.483,"N","V",71.97,23.509,38,39.358,31.22
"Class5",86.143,30.079,16.612,51.247,"W","X",9.716,40.25,29,41.377,69.983
"Class2",17.683,65.681,9.204,83.881,"X","Z",71.173,65.867,36,4.447,36.451
