"WYI1","ECB2","Output5","RKH3","DKI4","JIA5","HTD6","CGX7","KHF8","LSH9","OZT10","ODQ11","LYB12"
80,43.101,"Class3",48.052,70.311,94.806,20,"J",28.634,23.658,"Z",52.832,76.939
73,53.746,"Class1",64.678,28.684,28.321,64,"S",30.046,55.978,"R",84.905,34.287
69,66.169,"Class1",84.554,20.744,25.855,71,"C",30.381,49.679,"D",69.118,52.059
73,45.922,"Class3",59.237,69.314,94.096,31,"K",18.148,26.786,"Z",49.334,80.701
73,51.755,"Class1",74.645,34.793,21.914,69,"R",30.448,27.808,"R",94.383,44.246
65,56.973,"Class1",92.15,16.986,36.637,64,"R",NA,27.979,"C",61.697,33.154
52,44.231,"Class3",45.395,70.279,95.27,9,"K",12.624,21.255,"Z",NA,76.075
91,42.152,"Class2",30.218,28.791,65.899,43,"X",58.056,42.914,"R",93.008,51.908
96,35.644,"Class2",44.472,30.005,86.98,82,"I",58.514,-22.36,"H",92.758,66.801
82,40.361,"Class3",47.692,69.267,73.976,17,"M",24.603,16.963,"Z",48.086,79.707
73,69.65,"Class1",64.671,40.296,47.185,66,"S",35.981,32.028,"R",NA,56.035
42,44.723,"Class3",61.828,69.994,81.073,12,"K",17.82,18.062,"I",55.578,90.451
72,64.416,"Class1",67.592,24.46,10.199,64,"C",29.75,57.46,"W",97.075,55.884
70,65.015,"Class1",90.708,10.523,27.084,71,"C",27.611,45.993,"W",95.457,37.414
90,60.309,"Class2",52.708,27.448,33.804,62,"D",59.438,51.668,"R",94.121,25.91
92,23.27,"Class2",49.718,28.804,47.352,49,"X",58.779,82.425,"R",94.742,65.851
57,39.561,"Class3",52.5,70.407,94.412,23,"M",16.586,23.004,"R",51.477,66.669
67,43.889,"Class1",80.805,27.034,42.188,70,"D",28.038,57.138,"C",104.616,32.471
93,70.365,"Class2",55.803,25.797,64.568,28,"C",57.09,26.573,"O",90.809,21.149
92,66.332,"Class2",45.36,29.21,40.667,57,"C",59.31,-8.365,"P",95.415,67.837
90,73.814,"Class2",36.233,30.291,76.914,33,"X",57.823,43.977,"C",92.704,39.574
92,22.165,"Class2",55.994,29.88,46.458,24,"C",58.991,58.802,"R",93.831,49.531
91,46.231,"Class3",55.072,69.859,79.416,30,"K",27.306,17.715,"G",42.363,73.367
75,40.479,"Class3",52.244,69.765,70.398,28,"K",13.662,26.714,"G",48.015,86.705
62,39.128,"Class3",47.507,69.557,72.48,22,"K",13.776,25.11,"G",49.096,90.237
64,30.166,"Class1",65.398,31.641,24.412,73,"D",27.107,43.144,"R",89.572,34.021
95,69.304,"Class2",31.535,28.213,60.964,46,"A",57.397,22.026,"P",94.012,49.175
94,86.542,"Class2",31.105,29.57,58.15,47,"C",57.891,62.326,"P",92.964,59.526
63,38.489,"Class1",87.659,26.62,34.323,65,"D",24.065,31.459,"X",90.671,38.324
70,35.047,"Class1",67.417,14.335,36.457,71,"V",28.049,36.707,"W",90.832,41.452
97,86.335,"Class2",32.53,28.202,62.103,76,"C",60.436,44.263,"P",91.649,11.275
67,40.85,"Class1",62.599,21.302,46.468,65,"R",29.963,48.025,"C",87.513,51.029
92,32.052,"Class2",27.205,27.569,79.938,37,"A",58.161,31.454,"O",95.706,46.428
65,51.368,"Class1",72.393,19.682,29.443,66,"S",33.859,46.098,"C",91.72,42.8
77,40.572,"Class3",57.323,68.898,90.786,9,"P",22.194,21.296,"R",42.495,69.46
72,41.08,"Class3",56.582,70.131,94.219,5,"M",20.011,20.27,"G",39.245,73.175
99,53.202,"Class2",51.019,27.237,38.065,66,"X",60.757,37.154,"P",95.069,64.3
63,69.272,"Class1",93.22,2.461,28.965,68,"V",31.028,32.025,"X",76.058,50.102
31,42.037,"Class3",62.779,69.548,86.662,31,"E",28.504,19.325,"G",41.484,83.606
91,45.611,"Class3",61.205,71.122,81.859,11,"J",27.867,21.769,"O",51.235,74.83
92,66.368,"Class2",39.459,29.344,69.575,33,"I",60.239,65.483,"O",90.042,30.342
93,51.182,"Class2",29.993,29.556,48.713,50,"A",59.806,68.973,"R",90.554,21.127
70,38.536,"Class1",90.286,20.534,26.615,66,"V",33.784,49.626,"R",89.334,56.363
96,79.005,"Class2",36.424,27.139,47.937,42,"C",58.311,36.806,"C",90.991,69.734
71,32.385,"Class1",69.791,24.823,51.061,67,"D",33.609,34.787,"R",98.121,46.021
38,42.97,"Class3",44.425,69.634,90.329,13,"M",15.051,23.646,"G",48.823,84.836
97,84.427,"Class2",43.353,28.853,54.173,70,"A",57.231,18.149,"H",91.315,43.014
75,45.335,"Class3",51.687,69.036,96.006,13,"E",12.722,20.684,"G",42.955,63.028
73,61.075,"Class1",77.089,37.766,9.116,72,"S",30.18,29.223,"R",90.145,43.512
68,43.823,"Class1",70.243,26.779,29.151,65,"D",NA,52.444,"C",82.161,53.981
65,36.714,"Class1",71.187,19.406,10.436,71,"R",27.95,9.964,"D",NA,34.12
94,26.417,"Class2",34.376,28.962,38.52,60,"X",60.282,57.483,"H",91.665,44.755
67,45.361,"Class1",64.44,28.748,33.465,66,"D",27.853,17.143,"W",85.298,31.55
73,45.274,"Class1",92.332,27.448,32.643,70,"V",34.683,35.279,"R",84.837,35.899
82,39.972,"Class3",59.91,70.715,75.977,10,"J",23.662,19.511,"G",49.275,62.423
95,82.645,"Class2",41.005,28.599,53.87,66,"D",57.935,73.716,"O",91.959,20.084
92,67.809,"Class2",43.033,28.947,61.168,31,"I",NA,16.099,"P",92.741,33.389
82,41.049,"Class3",54.005,70.772,69.043,12,"J",28.514,26,"I",45.462,73.813
67,48.038,"Class1",83.562,36.964,24.171,71,"C",28.876,66.118,"W",82.119,32.445
68,53.998,"Class1",72.977,24.651,17.534,70,"V",NA,50.031,"W",93.371,45.255
76,39.782,"Class3",63.385,70.015,96.433,29,"P",21.836,23.907,"G",48.636,88.882
93,80.741,"Class2",30.198,28.506,40.886,62,"D",NA,-0.216,"R",95.351,22.465
66,43.978,"Class3",59.577,71.701,67.465,5,"E",14.9,16.553,"Z",49.981,90.535
99,28.865,"Class2",51.556,29.829,58.986,38,"D",57.8,34.617,"O",96.205,68.76
53,44.841,"Class3",58.747,69.895,90.563,13,"P",13.793,17.335,"Z",49.864,90.083
97,45.682,"Class2",48.859,30.656,45.779,67,"C",60.951,58.935,"R",90.993,68.875
71,31.651,"Class1",90.257,24.278,25.146,71,"D",28.336,50.29,"D",90.408,34.352
97,56.849,"Class2",57.351,27.715,47.467,62,"I",59.642,72.625,"C",90.108,20.485
63,46.922,"Class3",50.07,69.524,97.549,16,"P",27.71,25.534,"Z",50.244,78.051
95,59.674,"Class2",31.997,27.759,40.937,56,"D",59.255,84.083,"H",94.793,55.028
60,39.013,"Class3",62.809,70.469,69.486,4,"K",26.01,28.758,"Z",46.103,73.121
53,47.565,"Class3",50.729,70.729,99.187,7,"J",14.663,20.975,"I",49.758,78.618
94,72.43,"Class2",44.244,26.735,58.683,24,"X",57.122,14.386,"H",91.117,44.882
73,42.972,"Class1",64.91,29.832,36.127,68,"D",30.466,26.33,"X",83.322,33.64
70,49.723,"Class1",72.504,37.787,22.642,72,"D",35.017,56.082,"R",88.053,47.881
64,35.416,"Class1",64.211,20.906,19.945,66,"R",30.847,28.964,"W",112.246,38.678
95,35.065,"Class2",43.068,25.944,45.088,25,"I",59.142,98.713,"H",94.229,14.324
63,69.223,"Class1",67.179,15.018,22.091,67,"S",34.61,34.188,"X",72.907,39.094
64,46.678,"Class3",52.109,71.092,74.721,20,"J",13.198,21.404,"Z",44.987,75.055
92,27.854,"Class2",31.244,26.989,59.156,32,"A",57.196,78.708,"R",92.007,20.733
69,51.311,"Class1",60.401,35.47,36.632,64,"R",30.166,70.607,"D",80.4,40.503
95,47.486,"Class2",36.267,28.948,47.977,60,"X",58.192,25.707,"H",92.595,19.203
92,74.622,"Class2",28.377,28.07,75.762,68,"D",57.618,39.219,"C",91.466,37.094
71,35.339,"Class1",62.174,30.325,30.997,68,"V",30.445,31.583,"X",78.067,38.658
97,54.3,"Class2",41.856,30.742,77.362,38,"I",60.153,55.818,"P",94.385,57.438
91,48.892,"Class2",45.07,25.562,34.02,79,"A",57.301,48.59,"P",90.219,15.974
48,42.872,"Class3",51.32,69.822,92.554,27,"E",26.433,30.71,"G",53.724,68.927
83,45.803,"Class3",63.185,69.329,84.098,5,"E",28.125,26.415,"I",47.558,79.281
66,30.619,"Class1",67.276,21.408,32.099,71,"D",27.926,51.897,"D",93.097,40.502
93,33.303,"Class2",47.034,30.732,68.845,40,"D",58.46,111.457,"O",95.773,53.367
54,47.918,"Class3",57.217,70.613,73.541,6,"P",19.13,21.282,"G",45.683,63.05
90,61.609,"Class2",31.05,26.631,64.959,79,"C",60.518,55.573,"O",95.383,63.993
51,46.101,"Class3",60.503,70.36,68.163,26,"E",27.285,24.667,"G",42.241,87.771
64,61.534,"Class1",91.099,36.114,7.363,73,"R",25.923,54.397,"C",86.862,33.591
67,61.462,"Class1",68.782,28.62,31.732,70,"V",32.423,25.924,"X",77.376,39.664
90,17.819,"Class2",44.443,26.994,42.278,57,"A",57.091,46.885,"R",95.104,12.911
98,55.522,"Class2",57.365,26.833,62.627,35,"I",60.468,77.705,"R",92.514,28.074
83,47.926,"Class3",53.175,69.722,71.925,20,"P",16.09,21.219,"O",48.385,77.265
70,34.55,"Class1",76.831,36.731,15.252,65,"D",35.126,20.696,"C",71.938,42.96
97,25.351,"Class2",43.513,32.112,70.923,61,"I",59.436,44.718,"H",90.288,53.758
68,40.455,"Class1",90.091,35.933,33.476,64,"D",27.714,58.451,"X",83.534,55.78
43,46.642,"Class3",52.854,70.146,87.874,6,"E",24.639,20.894,"G",NA,80.903
65,58.054,"Class1",89.203,28.925,27.363,67,"R",28.969,35.613,"C",83.622,37.756
62,42.46,"Class3",61.944,69.868,73.148,13,"J",22.321,22.196,"Z",40.251,81.934
69,45.465,"Class3",49.044,70.116,75.474,18,"M",27.357,19.792,"O",NA,69.622
83,47.392,"Class3",54.735,69.943,73.294,10,"P",15.691,19.019,"O",47.241,78.108
73,44.638,"Class1",92.531,27.464,29.34,64,"D",35.587,47.369,"D",98.802,50.669
91,31.722,"Class2",34.283,27.531,67.868,33,"C",57.239,29.361,"H",94.567,13.274
85,40.644,"Class3",53.51,70.186,93.656,29,"M",17.179,20.411,"O",55.552,77.194
73,64.445,"Class1",88.555,36.578,40.976,70,"C",33.145,41.391,"C",95.675,45.311
97,49.697,"Class2",54.225,29.49,49.518,24,"D",57.57,60.017,"H",91.328,38.889
63,52.715,"Class1",81.037,27.781,50.258,68,"S",NA,54.979,"X",86.971,56.11
47,43.028,"Class3",61.004,70.972,87.314,18,"J",23.998,17.871,"G",48.045,78.589
68,59.236,"Class1",71.893,31.116,22.905,66,"C",35.732,51.709,"X",80.385,45.185
96,39.984,"Class2",33.388,31.967,44.885,41,"A",58.924,35.607,"H",93.951,26.225
68,58.672,"Class1",87.832,38.766,16.778,67,"D",35.048,35.513,"D",77.979,31.169
64,36.254,"Class1",80.213,10.259,18.1,65,"R",32.478,39.428,"C",66.421,40.03
65,35.608,"Class1",93.776,22.731,25.381,69,"S",31.803,10.556,"X",104.387,41.367
78,46.498,"Class3",61.047,69.772,88.776,26,"K",13.214,17.557,"I",53.698,90.409
92,35.199,"Class2",54.292,28.84,73.398,25,"X",59.64,86.069,"O",91.234,21.576
69,54.53,"Class1",89.147,37.868,18.81,67,"R",33.15,35.162,"R",77.801,38.839
73,46.486,"Class3",50.458,69.704,63.104,27,"M",23.229,21.8,"O",46.434,72.855
99,79.193,"Class2",36.444,29.303,50.424,25,"D",59.666,18.348,"P",91.561,36.052
90,56.714,"Class2",40.067,28.116,85.211,26,"D",57.937,58.692,"C",92.263,61.025
45,46.89,"Class3",52.714,69.619,92.282,17,"M",26.407,23.38,"R",48.425,63.297
93,57.453,"Class2",46.745,29.052,48.686,64,"X",59.203,60.188,"O",89.357,53.319
31,47.251,"Class3",64.596,69.697,89.896,17,"K",18.025,19.283,"O",37.017,63.859
72,54.061,"Class1",65.137,28.628,29.746,70,"R",29.263,18.843,"X",97.09,38.569
65,29.268,"Class1",90.481,34.235,23.314,71,"C",28.956,44.703,"X",89.494,33.457
68,42.879,"Class1",71.739,0.297,18.797,70,"S",27.288,33.369,"D",71.265,42.146
65,29.775,"Class1",64.98,21.013,9.435,66,"D",33.732,37.393,"R",82.056,42.175
72,34.599,"Class1",78.709,38.654,24.545,68,"D",31.125,57.284,"C",77.92,45.671
66,54.258,"Class1",73.843,15.093,48.458,71,"R",32.602,44.191,"R",88.253,41.262
91,69.204,"Class2",42.44,29.147,43.379,58,"D",60.19,42.103,"P",93.834,15.297
93,83.83,"Class2",53.983,30.239,72.401,67,"I",57.558,100.204,"H",88.807,23.2
90,39.994,"Class2",38.418,28.019,67.02,47,"D",58.029,44.342,"H",92.536,52.049
70,42.041,"Class1",85.957,34.531,43.031,64,"C",31.219,21.655,"W",NA,35.507
90,47.196,"Class2",30.357,28.027,51.019,68,"I",57.964,73.187,"C",91.867,62.801
99,17.004,"Class2",48.568,27.781,47.511,23,"X",57.399,72.418,"O",94.313,68.126
90,40.055,"Class3",59.731,71.43,81.289,16,"M",25.405,24.417,"O",47.316,67.515
93,53.227,"Class2",50.646,28.4,77.455,51,"X",58.772,14.742,"H",89.961,16.209
72,54.57,"Class1",68.634,38.885,23.784,66,"S",34.315,47.27,"X",73.245,33.059
60,44.497,"Class3",58.797,69.637,88.484,22,"P",24,21.826,"Z",46.592,71.108
67,34.517,"Class1",64.757,32.502,22.622,73,"C",35.177,39.355,"C",86.186,44.311
79,43.637,"Class3",53.127,70.96,84.731,24,"J",23.607,18.737,"Z",46.167,77.218
71,32.9,"Class1",72.685,35.032,24.683,65,"R",30.062,48.778,"C",66.349,56.238
57,43.908,"Class3",57.977,70.115,86.435,17,"M",23.22,28.736,"Z",53.093,86.129
91,69.712,"Class2",51.959,27.674,46.916,82,"X",NA,17.143,"R",95.873,65.761
64,56.835,"Class1",80.814,20.062,36.818,65,"V",24.733,67.422,"R",85.471,36.296
92,55.577,"Class2",32.815,26.205,33.591,80,"A",58.959,63.048,"R",91.723,69.264
70,57.706,"Class1",84.089,40.568,1.685,68,"R",30.812,44.37,"D",87.89,53.663
67,42.047,"Class1",80.311,44.37,9.142,66,"C",24.985,31.583,"W",88.027,38.14
71,58.626,"Class1",68.727,21.444,7.029,72,"C",35.093,51.16,"R",93.544,36.033
90,18.527,"Class2",48.467,29.282,82.766,35,"A",57.877,43.03,"O",93.063,45.315
93,68.172,"Class2",48.889,26.935,62.122,50,"I",60.529,60.509,"H",91.596,43.952
48,39.989,"Class3",58.663,69.042,78.317,29,"M",16.374,24.51,"G",54.823,68.78
63,67.823,"Class1",63.089,39.201,28.604,71,"C",30.618,25.393,"R",75.388,43.867
67,46.44,"Class3",56.914,69.648,103.954,9,"P",22.332,25.302,"O",48.489,65.207
72,64.77,"Class1",71.109,32.724,42.49,68,"R",25.914,29.831,"C",67.088,34.023
67,50.372,"Class1",61.539,31.698,28.312,70,"D",NA,51.829,"C",85.387,42.379
98,42.688,"Class2",56.507,26.258,43.496,57,"D",57.266,20.385,"P",91.808,59.996
65,51.399,"Class1",71.863,32.041,13.508,70,"C",34.699,56.898,"C",76.879,33.697
63,69.965,"Class1",61.15,39.504,22.961,73,"S",NA,45.883,"D",86.238,49.755
91,56.503,"Class2",33.541,29.057,68.526,46,"A",NA,60.844,"C",NA,57.22
96,25.464,"Class2",52.959,26.999,64.758,29,"D",NA,37.371,"P",91.148,22.893
90,35.548,"Class2",45.295,27.74,77.423,76,"X",57.121,-0.633,"P",93.595,17.473
38,45.284,"Class3",44.11,69.582,83.237,23,"P",24.483,20.212,"I",53.487,76.869
63,47.942,"Class1",66.57,26.857,22.029,64,"C",27.402,43.084,"R",81.105,49.739
81,42.473,"Class3",60.644,70.277,91.218,25,"J",NA,21.886,"G",58.002,90.731
80,39.045,"Class3",44.967,70.204,75.791,4,"P",28.369,20.627,"Z",50.442,73.122
68,37.151,"Class1",89.017,40.921,44.329,71,"R",33.808,27.16,"R",87.97,33.217
94,36.545,"Class2",50.653,28.189,22.478,74,"A",57.682,2.4,"O",92.128,36.483
73,41.838,"Class1",72.662,31.266,6.526,71,"C",24.859,29.284,"D",79.736,41.84
96,25.155,"Class2",29.687,27.923,42.102,36,"C",57.014,89.221,"R",90.16,12.661
93,38.399,"Class2",44.266,27.085,75.465,23,"I",57.791,46.767,"H",92.966,11.092
32,47.24,"Class3",44.107,71.114,87.252,14,"K",18.483,24.54,"O",47.594,73.14
88,42.771,"Class3",47.773,69.616,99.337,13,"P",28.865,21.241,"G",49.555,85.468
66,32.933,"Class1",88.663,37.019,35.404,64,"V",33.535,35.426,"X",78.428,55.057
68,61.619,"Class1",61.923,26.331,34.497,71,"D",31.318,59.281,"X",76.401,56.056
72,62.116,"Class1",87.149,27.844,31.855,69,"V",30.134,55.39,"D",90.401,54.899
64,46.155,"Class1",90.292,21.474,39.397,70,"C",26.261,73.815,"X",89.928,34.692
98,85.835,"Class2",49.595,28.655,59.028,48,"A",60.917,36.196,"C",89.721,58.223
83,42.387,"Class3",53.635,68.672,70.658,7,"K",22.056,23,"O",46.965,87.514
64,64.967,"Class1",77.712,24.391,45.282,69,"S",31.538,52.482,"C",78.671,40.776
72,34.94,"Class1",89.582,37.728,16.201,72,"C",33.274,43.484,"W",92.156,52.957
73,66.96,"Class1",78.985,22.501,15.935,64,"C",27.611,48.215,"C",112.546,47.314
65,51.904,"Class1",83.684,8.554,14.1,65,"S",26.561,43.605,"X",81.56,31.305
99,55.714,"Class2",45.018,29.351,47.543,32,"C",57.778,60.611,"R",92.378,20.329
64,54.12,"Class1",73.387,28.872,13.909,68,"V",24.391,20.389,"D",84.918,46.337
62,40.334,"Class3",64.452,69.647,75.421,20,"K",14.23,25.055,"R",50.72,76.437
44,42.736,"Class3",52.214,70.432,90.211,5,"K",13.462,24.991,"O",45.988,77.837
79,42.441,"Class3",64.317,69.918,85.114,16,"P",27.822,16.979,"G",44.895,76.419
90,44.849,"Class3",52.869,70.225,97.536,27,"E",12.304,24.79,"O",50.4,72.7
63,39.699,"Class1",69.423,32.029,28.439,72,"D",26.871,41.647,"R",80.827,34.036
99,67.272,"Class2",57.978,28.812,61.407,44,"I",59.652,30.35,"O",92.058,35.508
90,38.332,"Class2",27.265,27.403,50.542,32,"X",58.198,67.799,"O",92.71,41.733
90,65.688,"Class2",32.695,26.679,57.328,66,"I",59.549,38.026,"R",88.92,45.275
78,42.093,"Class3",48.632,69.638,85.042,28,"M",17.883,23.022,"R",51.58,87.615
97,29.841,"Class2",42.019,31.083,73.215,66,"D",57.759,38.854,"O",93.446,35.396
35,45.115,"Class3",62.217,70.549,109.274,27,"M",17.605,21.752,"O",NA,84.343
72,50.154,"Class1",87.957,39.582,19.428,72,"C",30.687,53.303,"R",100.666,39.879
49,40.218,"Class3",49.345,69.674,91.968,21,"P",NA,16.626,"G",46.44,85.351
91,43.619,"Class3",61.645,69.864,63.453,12,"K",19.637,19.036,"O",53.062,86.339
66,69.81,"Class1",80.794,26.165,27.34,71,"S",29.581,61.698,"W",92.323,32.951
76,44.638,"Class3",58.428,69.416,87.531,31,"P",16.112,22.98,"G",53.621,77.969
93,51.496,"Class2",44.875,27.621,60.236,67,"A",58.476,33.496,"H",93.473,25.44
93,55.238,"Class2",36.792,26.56,56.691,40,"X",57.081,18.94,"C",95.288,11
64,60.815,"Class1",75.791,13.322,25.686,72,"R",31.163,59.946,"D",79.62,56.654
63,64.889,"Class1",70.306,12.818,14.074,66,"D",30.42,52.31,"X",83.12,45.476
65,68.357,"Class1",78.614,17.757,15.997,72,"V",29.905,44.187,"C",90.505,36.645
91,70.722,"Class2",31.011,29.067,64.242,62,"D",57.233,43.307,"O",91.85,61.591
68,52.176,"Class1",93.306,40.714,20.17,67,"R",34.855,42.189,"R",95.649,46.227
49,41.241,"Class3",58.315,69.472,90.713,6,"E",25.375,25.672,"G",52.531,66.286
72,69.038,"Class1",71.322,12.067,27.036,67,"D",34.103,29.274,"C",NA,43.704
93,42.05,"Class2",26.745,26.608,50.771,50,"D",57.781,4.806,"C",90.551,25.831
56,39.721,"Class3",53.683,70.193,89.952,16,"E",14.31,24.392,"O",42.114,75.109
93,58.669,"Class2",54.04,29.352,72.892,40,"I",58.369,82.629,"C",89.677,36.317
95,17.681,"Class2",45.562,28.038,75.32,74,"X",60.358,64.33,"O",93.095,44.255
94,76.356,"Class2",39.277,28.173,64.848,47,"C",58.078,53.661,"O",90.32,66.254
70,65.653,"Class1",90.481,20.818,4.178,73,"D",29.037,39.138,"C",58.128,39.319
96,35.752,"Class2",55.86,26.928,34.18,43,"A",59.596,14.364,"O",88.275,28.188
63,37.251,"Class1",79.94,25.905,24.016,68,"V",25.53,12.862,"X",83.315,35.315
94,79.167,"Class2",46.126,28.391,48.824,49,"C",59.491,41.494,"O",92.307,54.239
66,38.064,"Class1",60.423,17.445,32.16,72,"V",30.367,44.316,"C",81.938,47.679
42,42.718,"Class3",63.119,69.653,69.623,7,"P",22.962,17.47,"Z",44.149,62.664
93,49.72,"Class2",43.157,30.959,60.368,42,"X",59.836,26.465,"O",93.254,35.805
92,45.131,"Class2",30.394,32.49,67.907,69,"I",59.736,27.93,"H",95.035,57.062
97,78.023,"Class2",43.074,27.594,70.451,76,"C",60.481,18.646,"P",88.944,15.735
63,42.921,"Class3",56.787,68.886,83.26,13,"K",25.96,20.253,"I",46.752,67.049
90,39.54,"Class3",54.14,70.938,74.13,4,"K",27.24,26.464,"Z",56.764,80.601
85,45.032,"Class3",63.559,70.438,88.905,4,"J",18.39,27.13,"O",51.995,87.667
67,56.504,"Class1",71.663,21.967,10.036,65,"D",34.654,26.547,"C",86.672,37.206
68,42.845,"Class1",93.564,21.187,29.609,73,"V",24.512,61.709,"W",96.217,36.195
67,56.514,"Class1",60.919,7.817,34.575,67,"C",27.063,29.199,"X",84.584,56.879
70,52.201,"Class1",61.022,9.74,5.304,72,"R",27.591,39.569,"X",77.505,46.408
92,18.181,"Class2",56.488,28.631,75.613,33,"I",58.931,32.975,"P",92.506,69.223
85,40.065,"Class3",44.825,71.117,118.737,6,"M",17.252,32.27,"O",47.771,73.729
96,69.73,"Class2",35.183,30.452,62.78,71,"I",57.818,72.851,"P",94.349,52.999
99,49.909,"Class2",56.667,29.186,56.605,48,"I",57.979,60.606,"P",NA,20.191
97,40.55,"Class2",56.76,28.414,46.122,79,"D",58.812,82.983,"C",93.726,58.17
65,54.672,"Class1",75.153,8.91,18.729,68,"R",29.296,13.999,"X",70.468,49.473
97,18.03,"Class2",28.275,27.947,53.139,63,"D",58.172,38.743,"R",94.059,63.721
78,46.351,"Class3",59.914,70.04,75.299,26,"J",29.591,20.842,"I",54.007,63.056
66,64.795,"Class1",65.689,21.489,30.066,65,"C",30.915,59,"R",NA,55.557
71,41.312,"Class3",46.048,70.933,67.312,4,"M",27.005,29.23,"Z",45.832,79.729
65,47.033,"Class3",48.308,70.323,85.296,12,"E",23.677,30.182,"Z",46.162,89.59
73,57.352,"Class1",64.35,16.931,29.751,71,"R",31.505,44.861,"X",84.062,37.299
94,53.846,"Class2",33.05,28.472,60.992,37,"D",60.756,57.982,"R",95.072,23.069
76,41.039,"Class3",61.965,69.702,88.137,22,"P",27.124,17.23,"G",54.155,88.249
42,42.89,"Class3",46.789,71.343,91.335,12,"M",28.129,22.882,"O",53.856,66.722
98,63.249,"Class2",51.499,25.62,35.607,49,"X",58.013,-0.878,"C",89.735,21.221
73,48.155,"Class1",84.228,22.38,39.412,70,"D",29.437,47.06,"C",92.961,37.616
94,58.423,"Class2",54.836,28.262,55.001,56,"D",60.972,58.922,"O",95.067,59.297
97,31.322,"Class2",32.064,29.045,63.895,40,"I",57.631,54.517,"O",91.757,47.418
72,47.947,"Class3",54.542,70.597,63.737,7,"E",23.607,24.208,"G",50.5,74.14
83,42.844,"Class3",63.516,69.116,78.356,13,"K",13.596,20.846,"I",47.449,89.968
65,58.226,"Class1",88.085,32.994,25.506,72,"R",26.103,39.006,"C",52.105,45.535
56,45.676,"Class3",57.519,70.326,85.244,19,"M",22.912,18.529,"O",43.25,70.161
63,43.277,"Class1",69.468,33.614,24.219,66,"C",25.848,41.933,"W",99.602,36.772
68,58.501,"Class1",82.966,6.921,33.358,64,"S",35.616,42.47,"C",87.81,56.696
68,41.223,"Class3",63.139,70.375,90.089,29,"J",15.013,25.16,"R",53.041,78.357
47,45.521,"Class3",51.803,69.319,87.664,24,"P",19.434,25.416,"Z",50.657,74.872
63,64.021,"Class1",74.453,25.932,17.527,65,"C",32.026,42.789,"W",79.971,53.427
95,51.304,"Class2",49.858,28.744,50.779,29,"X",60.508,-4.56,"C",95.302,64.707
91,18.139,"Class2",57.834,27.518,77.69,39,"I",58.357,63.988,"R",92.759,22.082
68,39.936,"Class1",91.866,38.255,31.276,65,"S",30.69,42.712,"C",88.551,48.556
66,43.002,"Class3",55.425,70.91,61.748,23,"M",16.649,30.21,"R",46.937,87.742
71,57.019,"Class1",84.315,14.748,48.509,64,"V",28.738,78.619,"X",81.581,53.627
71,41.45,"Class1",67.897,34.485,22.258,64,"C",29.974,44.213,"C",77.368,48.704
37,47.062,"Class3",61.445,70.379,73.623,25,"K",12.436,17.88,"Z",48.055,90.123
66,57.014,"Class1",73.955,49.298,16.331,64,"V",31.88,25.046,"D",104.202,40.875
65,52.489,"Class1",93.285,13.988,17.973,66,"D",32.986,50.728,"C",86.498,47.586
97,51.861,"Class2",46.148,29.516,68.081,82,"D",57.25,57.674,"P",NA,19.524
73,29.99,"Class1",78.773,22.488,32.358,71,"D",24.809,45.591,"C",72.546,39.592
70,47.638,"Class1",69.791,27.593,37.582,69,"S",35.149,31.224,"C",82.471,51.779
41,45.917,"Class3",55.232,69.888,81.619,4,"P",20.292,27.584,"R",47.56,88.356
32,42.881,"Class3",63.571,69.778,79.259,29,"P",20.904,26.297,"R",NA,87.799
73,46.241,"Class1",70.88,32.213,40.843,69,"D",35.698,38.2,"C",79.509,49.514
90,33.689,"Class2",49.861,28.905,60.08,32,"X",NA,47.598,"H",91.378,24.591
90,42.367,"Class3",57.646,70.014,86.575,30,"J",19.394,27.515,"O",48.369,87.198
99,64.811,"Class2",36.476,27.428,68.415,28,"X",57.03,30.127,"P",91.743,43.53
92,31.173,"Class2",29.191,26.931,83.151,67,"I",60.005,54.341,"O",93.567,41.035
64,34.103,"Class1",78.244,20.38,41.585,72,"D",NA,47.717,"W",80.383,45.537
69,32.344,"Class1",69.906,20.437,30.557,66,"S",NA,50.516,"D",99.164,53.018
61,45.802,"Class3",63.985,69.866,84.078,32,"M",23.363,17.83,"Z",56.244,76.431
70,47.913,"Class3",52.729,70.643,76.329,7,"P",14.113,20.53,"Z",54.375,90.608
59,42.831,"Class3",50.782,70.986,78.264,21,"P",22.386,16.557,"G",46.331,76.959
68,63.946,"Class1",65.264,26.944,40.098,67,"R",24.612,28.6,"R",78.799,33.874
63,43.56,"Class3",46.142,70.489,88.704,9,"J",21.05,24.759,"O",51.968,66.975
80,43.064,"Class3",64.743,70.119,93.509,19,"M",24.069,22.592,"Z",48.249,73.802
94,66.406,"Class2",42.608,28.952,48.871,48,"A",59.145,80.421,"P",92.368,63.561
84,42.142,"Class3",58.85,69.796,119.516,27,"M",12.381,27.337,"O",48.264,64.991
97,54.122,"Class2",37.491,30.032,48.012,82,"I",58.47,7.429,"P",93.514,46.445
35,41.725,"Class3",61.454,69.861,95.981,9,"E",20.095,21.35,"G",42.895,75.975
67,39.375,"Class1",65.267,25.725,39.672,69,"R",32.364,22.219,"C",NA,42.688
73,45.374,"Class1",65.591,29.269,23.248,68,"C",34.013,51.236,"D",84.558,33.989
