"Output1","ONF1","UNV2","DLX3","GHE4","DZH5","QAK6","OEL7","CRB8","BSP9","ZJI10"
"Class2",64.907,22.746,28.943,NA,72.076,45.862,62,64.891,80.397,80.008
"Class2",72.022,24.038,24.407,"Z",79.267,44.327,65,41.744,59.488,75.201
"Class2",71.932,18.131,18.779,"D",76.941,44.362,37,54.889,71.488,75.468
"Class3",80.005,51.276,88.994,"G",79.204,86.9,46,94.098,47.392,73.508
"Class5",44.426,60.333,48.287,"D",16.331,92.518,35,102.977,27.225,55.84
"Class1",60.02,42.6,14.265,NA,67.389,27.814,59,83.221,73.046,-31.782
"Class2",56.342,13.086,26.813,"K",75.671,45.47,67,46.454,88.379,76.513
"Class3",20.791,34.29,91.754,"G",83.651,87.088,46,92.938,80.154,75.093
"Class3",76.271,8.576,NA,"T",68.489,80.331,50,96.223,92.574,86.937
"Class2",71.54,10.351,29.805,"D",78.227,46.258,84,32.921,74.025,57.638
"Class5",49.272,59.158,27.246,"M",43.667,58.273,56,85.72,43.543,62.276
"Class2",93.877,19.965,NA,"N",81.835,45.193,49,114.972,86.41,58.713
"Class4",44.378,21.2,33.02,"K",75.142,79.62,96,60.735,68.415,37.583
"Class1",66.444,72.493,NA,"K",66.595,29.808,50,79.882,96.959,67.737
"Class1",68.382,43.907,15.252,"X",63.013,25.102,56,81.508,93.669,9.805
"Class2",40.816,17.157,20.299,"E",74.037,43.786,37,43.628,68.011,69.948
"Class1",63.554,71.775,41.985,"X",67.816,34.639,49,85.975,94.45,37.214
"Class3",33.686,20.944,54.965,"G",78.312,79.53,47,93.742,83.354,61.601
"Class2",43.327,17.13,28.919,"Z",76.96,44.036,40,37.51,62.592,97.989
"Class1",60.284,35.695,41.935,"D",54.782,4.102,50,85.937,96.244,73.16
"Class3",50.801,22.669,70.927,"T",80.672,79.943,52,95.698,75.277,58.295
"Class1",60.667,36.319,38.233,"O",52.712,20.401,60,81.821,81.929,62.56
"Class5",44.05,66.23,28.884,"I",24.326,80.174,54,79.407,32.803,54.807
"Class1",64.683,48.942,17.81,"K",71.73,22.824,48,86.75,90.86,75.057
"Class2",75.816,19.769,25.024,"E",73.093,45.182,78,33.253,67.213,79.323
"Class1",67.818,56.726,17.11,"O",66.156,35.61,60,85.329,74.49,69.832
"Class1",62.077,67.755,47.361,"D",73.372,29.311,60,80.148,97.361,35.178
"Class3",53.959,37.305,75.843,"F",78.204,81.968,39,94.234,46.669,37.413
"Class5",13.3,66.579,48.324,"X",49.287,70.84,54,39.448,29.261,35.278
"Class5",59.163,71.951,44.992,"D",23.267,96.266,38,75.284,32.536,49.698
"Class5",24.377,74.912,87.548,"M",30.995,71.763,46,67.521,49.425,49.814
"Class1",65.942,39.424,7.717,"D",63.018,17.255,55,88.887,88.901,42.167
"Class1",61.238,41.613,61.725,"D",60.888,13.79,51,82.183,96.474,14.703
"Class5",59.951,27.114,48.301,"D",54.464,50.967,54,38.455,11.735,30.688
"Class1",64.784,39.881,61.106,"O",69.397,11.175,52,83.241,89.283,65.064
"Class4",57.563,8.825,31.527,"K",70.073,79.494,76,65.305,78.456,39.112
"Class4",68.033,32.568,38.884,"J",72.07,79.121,84,67.207,91.372,41.279
"Class5",21.783,60.637,78.278,"X",51.824,68.493,58,60.36,17.876,40.731
"Class5",33.84,20.442,NA,"M",49.742,67.044,50,95.479,23.358,62.458
"Class5",45.025,77.95,57.823,"M",122.089,55.867,47,66.033,19.609,37.543
"Class3",45.004,20.216,81.222,"X",79.416,84.475,45,94.164,88.151,72.406
"Class5",15.578,68.944,45.179,"M",93.236,89.645,56,77.689,23.109,43.802
"Class5",56.474,26.46,41.457,"N",21.592,81.405,30,42.775,37.321,48.64
"Class4",39.836,7.915,65.521,"I",74.37,79.789,69,67.174,95.389,49.315
"Class3",52.703,32.214,86.605,NA,88.681,82.747,45,92.696,67.193,58.063
"Class4",70.278,13.662,65.663,"J",72.387,79.453,72,63.133,68.116,26.901
"Class4",79.85,65.402,65.229,"I",72.752,79.14,63,64.405,76.126,50.607
"Class2",75.113,16.625,30.278,"N",77.123,44.107,83,91.956,94.817,72.031
"Class2",88.3,18.812,NA,"K",74.298,43.496,79,29.071,84.547,71.636
"Class1",60.161,47.634,NA,NA,66.921,24.619,54,80.048,94.65,77.581
"Class4",48.205,39.097,32.385,"I",76.964,79.31,95,65.509,85.706,22.12
"Class4",65.431,15.096,76.002,"K",68.566,79.409,94,67.577,86.886,36.057
"Class3",21.585,13.971,82.066,"X",84.477,81.02,49,92.727,93.733,32.444
"Class4",41.411,49.242,NA,"I",74.594,79.96,67,63.376,78.197,30.511
"Class3",45.086,43.091,70.884,"T",85.986,81.543,48,93.049,91.892,55.944
"Class5",38.044,40.337,73.153,"I",22.368,62.194,29,35.589,43.328,8.794
"Class2",87.192,10.601,20.274,"Z",82.204,41.81,79,73.971,86.26,72.223
"Class2",40.181,24.717,23.788,"D",74.222,44.726,41,41.595,74.7,91.388
"Class1",62.95,67.328,9.543,"O",68.781,23.473,57,90.627,83.359,75.003
"Class3",13.119,24.982,80.811,"H",77.168,83.177,46,95.14,49.839,73.612
"Class2",47.469,12.335,30.496,"Z",78.225,43.694,37,36.904,90.379,91.224
"Class3",55.267,15.186,64.256,"H",76.923,86.371,46,96.734,49.493,54.597
"Class1",61.481,38.136,26.369,NA,65.847,23.815,56,91.392,92.587,57.254
"Class5",52.373,60.769,30.557,"D",56.393,89.575,59,64.248,45.796,69.168
"Class3",29.034,13.138,80.993,"F",75.774,82.289,50,95.491,69.839,44.045
"Class5",38.294,59.219,40.11,"I",62.718,75.538,29,69.852,15.868,40.343
"Class3",52.667,57.73,91.644,"T",76.145,84.859,45,92.545,68.825,98.006
"Class3",16.523,36.174,51.122,"F",75.501,78.052,42,94.948,44.526,52.174
"Class1",68.491,53.851,46.967,"K",61.615,21.423,58,87.903,90.29,94.526
"Class2",59.055,12.894,30.26,"Z",69.732,44.062,79,24.239,95.577,59.638
"Class2",40.861,11.167,26.081,"E",75.394,43.387,54,19.38,79.457,97.848
"Class2",43.524,25.099,18.968,"N",69.166,43.595,63,35.98,82.404,87.391
"Class5",40.229,34.982,42.392,"I",14.136,79.529,57,86.722,13.393,34.387
"Class5",58.9,69.864,43.487,"N",-12.607,70.458,23,54.115,49.423,53.445
"Class5",54.828,68.546,75.052,"D",33.77,57.913,46,35.372,19.185,42.261
"Class3",15.552,51.395,73.799,"H",82.58,79.705,41,94.022,48.243,16.472
"Class5",30.574,61.969,37.3,"M",62.535,47.083,58,54.472,37.095,33.935
"Class2",45.473,14.325,28.151,"D",76.08,42.822,66,77.975,87.699,78.919
"Class2",48.869,10.021,23.25,"N",66.825,45.353,36,43.95,64.97,88.901
"Class1",62.84,54.766,19.279,"X",68.394,23.363,48,78.964,92.646,23.888
"Class2",51.7,23.301,27.835,"K",77.749,45.367,47,80.55,74.028,99.824
"Class2",56.101,18.832,22.741,"K",74.399,44.059,63,49.944,60.854,76.86
"Class3",23.542,15.602,NA,"F",94.922,81.039,47,93.052,71.222,72.914
"Class5",59.338,38.111,71.021,"I",57.809,77.955,52,52.54,30.619,53.569
"Class2",57.364,11.755,NA,"K",76.207,44.69,77,22.903,78.295,76.054
"Class3",74.489,57.858,62.96,"F",76.273,83.196,47,93.392,71.224,53.334
"Class4",76.233,35.318,68.73,"U",69.772,79.478,68,66.082,80.668,30.363
"Class3",26.925,37.895,63.008,"F",85.384,78.21,43,96.419,79.863,52.546
"Class4",63.007,33.439,44.155,"E",72.691,78.895,61,64.773,69.931,29.89
"Class1",64.207,34.852,32.467,"O",70.797,15.628,48,76.929,86.768,64.958
"Class4",52.984,26.438,55.923,"I",70.591,79.056,92,66.045,82.868,20.34
"Class5",25.244,26.64,42.853,"I",52.393,69.669,29,65.124,9.945,55.203
"Class3",43.209,36.733,49.717,"H",79.848,77.265,52,98.882,59.25,56.194
"Class4",31.022,41.648,58.56,"J",73.146,80.033,69,65.708,92.739,57.139
"Class2",82.512,16.653,27.432,"N",77.214,46.247,84,30.019,86.591,91.023
"Class4",44.041,36.764,59.228,"K",73.559,79.031,94,68.808,76.568,25.147
"Class1",64.163,49.593,22.585,"O",71.759,29.454,49,89.564,85.319,35
"Class5",27.364,39.652,34.751,"D",91.409,76.764,35,62.306,50.501,41.604
"Class2",46.07,16.255,21.202,"D",75.264,46.711,49,78.006,62.284,77.309
"Class5",44.356,61.946,78.968,NA,64.825,71.848,30,39.601,2.396,74.747
"Class4",73.967,23.759,36.579,"U",75.634,79.967,55,62.153,92.522,58.143
"Class1",61.706,45.57,40.677,"N",80.367,17.115,49,83.403,86.287,29.931
"Class5",36.668,43.333,NA,"N",22.783,56.225,53,90.876,39.218,23.358
"Class4",61.044,61.648,71.247,"J",76.888,80.119,88,65.354,77.561,40.014
"Class5",44.747,44.101,54.489,"I",97.908,90.502,34,68.404,37.211,41.021
"Class1",62.757,43.355,17.267,"O",63.088,23.155,49,92.371,78.267,62.116
"Class3",67.267,31.741,93.283,"F",82.614,80.674,46,94.316,91.235,67.929
"Class4",57.487,54.344,56.378,"E",73.591,79.66,74,60.964,75.162,6.006
"Class1",60.679,73.414,31.885,"D",50.226,11.744,54,83.469,82.151,11.686
"Class5",28.685,94.377,32.555,"I",94.196,67.085,62,58.626,26.548,47.355
"Class5",31.134,23.453,87.76,"I",43.006,88.276,29,68.814,23.394,62.891
"Class5",49.831,29.669,30.122,"X",16.462,75.52,45,97.463,50.201,54.586
"Class3",25.92,10.19,70.339,"G",84.768,80.719,48,97.939,59.634,45.83
"Class2",49.322,17.142,NA,"D",76.827,44.826,37,27.217,84.551,65.554
"Class1",66.908,50.31,7.349,"O",62.923,18.535,53,88.534,79.183,78.876
"Class2",90.453,12.929,26.889,"D",71.34,43.912,41,69.919,75.837,88.594
"Class3",15.398,14.475,55.916,"T",72.771,80.484,50,89.849,79.595,79.138
"Class4",57.947,30.082,41.894,"J",75.464,79.796,95,64.08,74.777,40.436
"Class2",87.631,15.115,28.813,"N",74.993,44.789,85,55.488,75.525,73.723
"Class1",68.191,31.595,11.382,"O",65.743,18.989,53,81.279,72.472,75.515
"Class5",16.25,39.542,33.439,"N",75.052,87.772,23,36.016,45.232,37.309
"Class5",42.956,49.531,38.855,"X",20.998,71.222,52,38.654,25.969,54.405
"Class1",62.843,46.529,54.871,"D",68.47,29.006,50,76.856,92.088,3.401
"Class2",81.68,18.642,26.527,"K",78.439,43.547,40,45.737,79.495,69.247
"Class1",60.273,72.167,NA,"K",72.951,24.379,52,77.63,87.096,40.91
"Class5",57.69,83.33,81.51,"N",15.521,99.093,34,87.046,13.35,52.162
"Class2",77.594,15.26,17.94,"Z",71.773,44.632,72,72.479,92.847,85.049
"Class1",61.768,55.828,12.998,"N",59.365,30.4,47,81.488,90.183,22.621
"Class3",64.649,24.813,72.151,"H",89.968,83.338,42,91.992,86.379,99.4
"Class1",63.085,61.23,60.254,NA,71.414,3.676,52,77.087,95.107,25.981
"Class5",57,85.088,76.862,"N",85.951,87.506,25,99.008,19.128,56.927
"Class4",41.969,75.582,33.177,"E",79.555,79.177,63,68.498,86.185,53.97
"Class1",66.696,67.157,57.745,NA,64.714,37.781,58,90.712,79.59,60.982
"Class1",68.012,72.477,45.12,"N",61.7,26.411,59,77.017,76.441,18.97
"Class4",72.228,15.087,42.255,"K",75.378,79.121,80,67.371,78.003,20.835
"Class5",32.387,67.351,NA,"N",-11.258,77.005,25,68.519,11.089,36.272
"Class2",64.888,19.488,27.803,"E",75.622,44.254,76,52.071,75.282,81.767
"Class1",64.314,59.763,46.348,"K",59.543,9.283,57,85.837,95.735,84.346
"Class2",88.216,16.173,18.013,NA,75.043,45.739,80,39.429,94.698,76.09
"Class2",49.887,17.433,29,NA,80.212,45.07,76,60.328,90.565,78.378
"Class3",26.798,20.785,66.294,"T",77.595,82.411,48,96.177,67.946,87.265
"Class5",40.704,79.703,88.41,"M",26.234,80.45,27,77.71,41.221,59.676
"Class5",47.55,94.379,37.699,"D",97.37,70.104,38,87.73,48.787,48.605
"Class2",52.243,20.052,25.278,"Z",70.945,44.549,71,19.501,64.01,97.673
"Class1",64.937,32.736,10.51,"N",62.428,32.229,50,88.548,93.931,77.062
"Class5",55.052,58.552,81.312,"X",14.508,65.944,58,74.382,46.449,62.075
"Class1",63.273,56.83,34.728,"X",71.374,21.317,60,86.773,82.582,49.727
"Class2",80.883,17.084,22.769,"Z",77.74,46.425,69,81.466,63.267,74.105
"Class2",38.678,23.408,31.655,"N",80.578,45.28,45,52.74,85.94,84.075
"Class1",66.179,51.476,11.018,"O",51.99,16.295,60,75.58,85.071,22.577
"Class5",58.517,21.369,60.558,"D",61.373,67.786,32,76.341,43.657,38.826
"Class4",62.708,71.019,36.74,"J",74.148,79.86,57,64.982,93.458,20.743
"Class3",35.727,34.607,NA,"X",75.855,82.89,48,93.483,75.101,66.972
"Class5",42.843,88.014,46.597,"M",75.974,54.989,28,95.234,33.417,52.393
"Class2",70.547,12.649,27.784,"K",75.94,44.799,55,55.209,72.058,69.756
"Class2",64.137,17.655,NA,"N",75.127,43.874,37,65.701,84.346,74.942
"Class2",45.71,13.72,23.488,"Z",77.834,46.052,65,55.443,74.995,88.561
"Class1",66.171,62.568,37.476,"K",48.218,17.209,59,87.171,81.2,67.441
"Class2",61.713,24.575,26.753,"D",75.298,45.506,40,64.086,76.114,75.747
"Class3",13.234,18.286,82.73,"F",67.243,79.269,49,93.696,59.543,90.232
"Class3",52.138,24.836,78.901,NA,77.078,83.038,52,94.238,80.484,82.753
"Class1",60.369,66.018,52.812,"O",51.408,10.22,57,85.621,91.22,65.375
"Class3",35.385,9.243,74.442,"H",70.712,80.542,40,95.019,76.55,31.568
"Class4",64.746,61.64,72.297,"E",70.277,79.054,93,65.904,87.666,34.11
"Class4",58.982,60.05,33.951,"I",74.392,79.63,65,66.708,73.997,60.909
"Class1",66.993,73.291,14.967,"D",67.212,17.74,47,81.575,96.573,46.915
"Class1",64.886,46.014,59.795,"K",62.291,35.629,49,87.427,96.167,38.562
"Class5",19.141,60.183,NA,"N",42.481,93.624,40,60.03,41.159,27.645
"Class4",61.698,61.059,74.007,"J",78.126,80.132,99,64.969,76.249,32.611
"Class1",67.521,71.693,48.786,"N",62.356,7.018,48,79.079,81.229,46.124
"Class2",82.482,18.609,30.553,"E",77.376,44.053,81,72.055,78.93,67.25
"Class5",28.48,65.435,62.858,"D",21.763,50.821,24,60.517,4.448,41.012
"Class4",58.152,8.219,57.139,"K",74.509,79.724,64,60.301,74.198,10.644
"Class5",47.21,85.27,72.001,"M",-14.647,74.195,58,59.367,12.445,53.326
"Class1",68.099,62.57,38.338,"O",63.303,29.494,53,84.235,81.079,79.085
"Class5",21.217,44.636,83.46,"X",50.185,79.651,23,92.494,29.83,28.124
"Class1",64.614,57.496,58.951,"K",65.881,28.159,53,82.912,82.597,42.366
"Class3",40.661,38.702,51.563,"G",76.293,81.136,51,96.096,79.446,77.968
"Class3",41.388,54.863,93.748,"T",87.741,83.444,39,96.986,54.679,55.546
"Class5",40.958,32.29,43.211,"I",58.017,71.273,34,47.383,12.05,52.741
"Class3",81.144,24.42,80.89,"G",92.35,82.279,40,97.558,53.443,83.851
"Class5",26.049,38.891,60.006,"N",41.816,79.009,53,72.607,51.358,62.815
"Class5",53.022,22.3,73.545,"N",44.188,70.342,40,65.799,16.14,35.516
"Class5",58.434,60.229,70.16,"D",89.694,63.173,52,75.057,22.503,28.245
"Class1",63.373,35.432,34.868,"K",67.973,26.257,60,88.11,97.764,11.629
"Class4",52.076,59.337,71.113,"U",72.921,79.222,66,65.216,73.686,54.965
"Class5",52.48,84.177,84.185,NA,92.561,76.674,52,64.923,34.972,15.095
"Class2",38.979,18.428,24.142,"E",76.623,42.977,76,43.712,99.332,93.697
"Class2",78.998,13.435,27.951,"E",76.688,46.788,64,90.377,83.804,84.615
"Class3",63.35,13.004,76.127,"G",89.768,83.636,51,93.381,61.561,75.917
"Class1",64.455,47.114,60.797,"D",70.29,28.665,53,84.962,86.032,45.057
"Class5",21.779,74.681,46.894,"D",93.287,68.29,40,73.487,25.224,53.193
"Class5",54.9,56.463,61.413,"X",60.233,68.531,37,38.101,19.792,41.17
"Class2",47.497,16.925,29.285,"N",77.633,44.112,76,33.58,62.011,85.103
"Class4",58.489,14.57,49.609,"E",75.97,79.432,82,65.243,96.07,35.432
"Class4",49.621,50.979,72.74,"I",73.437,79.405,63,65.074,83.463,52.757
"Class3",73.959,13.046,54.193,"F",84.637,81.936,44,94.152,63.975,40.975
"Class5",51.78,40.669,69.576,"M",71.32,84.732,35,98.49,42.016,29.119
"Class3",25.088,19.335,52.958,"G",86.628,81.21,44,90.4,74.634,68.833
"Class3",58.098,35.7,59.227,"G",84.244,83.124,51,97.665,68.125,64.849
"Class3",64.054,9.346,68.493,"X",77.097,84.712,45,89.936,70.372,91.034
"Class2",46.356,25.767,20.439,"Z",73.641,44.012,82,31.961,65.183,84.5
"Class3",56.502,48.761,63.704,"H",88.862,78.333,52,94.522,71.606,66.931
"Class3",44.508,56.227,71.171,"G",80.71,80.16,52,94.046,90.732,64.747
"Class5",36.683,25.933,57.507,"X",91.494,96.325,33,40.437,41.331,64.309
"Class5",26.117,32.966,66.437,"D",41.421,68.764,42,66.147,1.095,46.149
"Class2",85.385,19.694,26.783,"Z",75.289,46.495,43,19.928,70.731,89.592
"Class3",50.363,8.54,88.295,"F",81.543,84.953,43,90.356,84.088,74.478
"Class2",89.81,16.303,30.487,"D",76.489,46.658,62,77.451,77.326,85.012
"Class5",52.643,62.421,38.545,"D",14.544,67.714,26,97.052,41.463,73.247
"Class2",69.172,10.931,17.838,"K",77.894,45.831,65,6.879,75.391,83.783
"Class3",41.293,34.822,65.153,"F",88.608,82.422,52,91.941,71.357,47.923
"Class3",45.188,35.799,92.345,"H",85.91,86.228,52,93.257,86.808,54.462
"Class4",72.892,26.2,62.282,"U",73.716,79.606,61,65.398,85.512,37.841
"Class1",66.154,48.331,42.887,"X",70.52,26.833,56,81.368,76.944,86.272
"Class5",19.463,51.808,32.992,"M",51.15,74.911,31,24.96,46.813,37.087
"Class2",70.13,25.459,19.962,"K",78.36,46.399,37,68.899,78.567,78.155
"Class1",61.297,42.074,7.376,"D",60.119,41.982,58,83.765,92.852,26.503
"Class5",41.196,26.975,41.136,"X",61.552,77.258,31,54.002,37.672,60.72
"Class1",60.618,55.927,53.161,"K",58.936,15.58,55,84.204,77.985,49.441
"Class3",63.892,34.249,NA,"X",81.594,82.353,41,93.359,71.247,82.369
"Class5",25.251,81.874,32.651,"N",24.695,84.547,58,83.535,15.753,46.254
"Class1",61.191,52.644,39.471,"N",71.92,34.066,47,80.562,82.721,7.641
"Class1",63.238,61.331,NA,"O",54.58,8.595,47,83.906,81.242,36.137
"Class3",12.641,39.336,76.626,"H",80.204,81.112,44,93.972,85.845,83.903
"Class3",67.869,44.457,52.254,"F",74.598,83.744,40,96.546,50.19,61.668
"Class1",67.894,43.057,33.106,"D",67.413,22.416,47,82.145,90.745,77.94
"Class5",34.661,60.068,29.036,"N",78.767,66.99,32,63.194,37.855,38.154
"Class4",81.697,42.889,32.095,"E",74.238,79.623,83,64.11,96.149,42.068
"Class2",59.523,22.299,20.122,"K",82.315,43.918,37,47.626,83.479,79.258
"Class2",95.181,12.401,28.124,NA,78.542,43.677,85,50.475,73.308,78.087
"Class1",62.302,34.283,NA,"O",57.333,25.393,49,91.799,85.768,59.777
"Class1",60.369,55.546,11.285,"O",55.994,24.742,57,80.888,77.52,68.536
"Class3",55.289,8.909,55.88,"G",91.256,79.785,49,94.663,49.166,78.502
"Class4",57.876,27.656,43.262,"E",72.803,79.424,77,65.505,68.528,20.854
"Class1",63.174,49.608,9.504,"O",73.276,37.03,59,87.792,97.552,68.093
"Class4",37.586,14.269,73.605,"U",74.168,79.364,70,67.249,78.171,41.586
"Class1",68.993,38.765,16.429,"X",55.782,25.839,47,92.723,91.915,17.005
"Class3",29.56,19.412,50.362,"F",79.216,81.41,49,94.525,64.186,113.684
"Class5",35.484,22.885,38.462,NA,45.418,77.484,48,70.118,49.206,41.398
"Class2",71.167,19.793,NA,"N",74.232,44.88,66,52.24,82.913,94.619
"Class3",80.87,35.866,90.099,"G",81.905,81.025,43,90.71,63.581,56.338
"Class3",73.837,11.514,76.222,"F",92.747,87.679,43,94.578,53.231,54.218
"Class5",17.596,64.738,75.65,"I",117.531,78.999,24,107.76,1.102,57.69
"Class5",42.79,65.499,60.469,"D",31.365,79.77,45,82.152,32.77,54.136
"Class3",33.131,16.321,90.963,"G",79.948,82.436,51,97.005,86.679,75.106
"Class5",21.139,45.089,42.492,"D",32.441,82.174,31,64.969,50.065,55.856
"Class3",74.021,9.771,61.682,"G",69.573,83.218,39,94.473,68.937,69.529
"Class5",15.268,46.285,64.824,"D",44.782,62.965,37,56.956,37.237,65.636
"Class5",23.132,61.136,84.482,"M",26.936,75.478,42,82.099,44.777,42.526
"Class4",43.213,65.729,42.442,"J",72.49,79.41,73,64.658,95.616,31.153
"Class2",89.871,17.537,31.417,"Z",80.668,44.324,81,71.604,90.988,81.492
"Class3",8.713,51.543,68.514,"G",80.085,81.61,39,93.777,65.373,76.219
"Class2",48.931,12.052,NA,"K",79.324,44.829,46,56.815,91.88,95.143
"Class3",77.527,46.175,93.836,NA,85.577,80.758,49,97.969,54.601,86.883
"Class5",22.562,74.083,NA,"X",37.783,68.401,47,38,19.287,64.304
"Class1",61.751,54.266,55.434,"K",58.63,19.946,52,78.813,80.171,26.534
"Class2",58.611,22.054,26.157,"E",75.278,45.792,63,17.764,98.068,63.557
"Class5",12.9,34.43,73.77,"D",80,83.375,60,59.339,32.984,56.019
"Class2",70.184,11.523,24.95,"E",72.293,46.861,65,86.391,77.613,74.941
"Class2",48.954,12.644,19.702,"N",75.736,43.298,82,48.836,63.678,83.293
"Class1",60.282,68.881,23.032,"X",70.639,24.531,59,78.382,76.557,79.286
"Class2",88.054,18.038,21.544,"D",75.23,43.856,55,54.147,90.437,74.232
"Class4",52.455,66.25,36.817,"E",71.786,79.637,73,69.613,92.469,53.522
"Class2",73.284,25.016,27.37,"N",73.162,45.599,37,36.153,75.91,77.309
"Class5",17.535,30.916,61.124,"X",20.242,81.866,61,77.526,50.401,40.314
"Class2",89.022,24.004,29.992,"E",71.811,42.954,47,49.114,90.472,73.88
"Class5",42.296,41.903,68.832,"X",73.873,82.281,54,45.258,39.453,35.273
"Class1",66.584,58.894,10.413,"N",60.558,34.134,60,81.552,86.37,32.683
"Class2",95.777,25.693,30.456,"Z",77.105,45.655,45,69.911,99.115,84.626
"Class4",64.518,31.234,34.225,"K",76.418,79.303,87,66.043,89.342,44.358
"Class5",32.668,88.096,66.394,"N",71.318,62.731,61,46.269,40.579,59.335
"Class2",50.051,24.352,17.595,"D",77.301,44.853,39,7.854,60.567,82.742
"Class5",58.919,95.792,62.65,"N",21.923,82.294,31,34.938,7.977,29.354
"Class2",58.611,22.703,31.722,"N",71.545,46.103,41,29.724,94.276,86.238
"Class2",61.379,18.792,18.837,"Z",75.735,44.744,85,29.154,62.92,82.739
"Class2",89.56,21.647,26.333,"E",80.24,44.221,57,45.567,85.872,73.864
"Class4",75.752,56.086,43.688,"K",75.46,79.879,88,67.951,80.266,36.938
"Class5",26.316,65.538,54.213,"M",51.756,81.881,28,97.29,31.647,25.593
"Class4",71.055,32.062,62.36,"E",71.839,79.445,76,65.793,88.644,26.934
"Class4",61.08,10.512,42.037,"J",73.584,79.357,84,64.45,86.62,34.036
"Class4",30.709,20.741,65.946,"J",77.19,79.081,57,68.756,94.053,60.759
"Class4",64.833,4.996,48.226,"I",77.139,79.325,79,60.785,83.1,22.538
"Class4",50.461,9.754,33.476,NA,78.787,79.456,76,66.884,82.485,64.147
"Class3",60.715,45.532,57.67,"H",66.815,80.6,48,91.771,92.195,65.598
"Class5",46.815,40.582,77.236,"I",57.706,78.261,40,53.819,20.845,53.676
"Class4",74.722,78.895,45.983,"J",76.685,79.424,70,64.891,83.609,25.214
"Class5",17.554,27.803,54.973,"X",35.071,75.637,30,61.111,13.979,37.723
"Class4",42.998,27.505,70.625,"J",76.871,79.988,57,62.67,78.179,57.022
"Class1",64.77,35.517,NA,"O",59.607,16.971,50,88.677,87.984,37.198
"Class3",69.967,37.041,87.646,"X",73.868,87.865,49,92.611,56.693,55.821
"Class1",66.299,37.92,24.872,"N",73.674,19.922,47,77.647,75.503,29.63
"Class4",55.292,19.249,42.222,"J",76.043,79.514,71,61.183,82.795,30.107
"Class2",88.517,15.857,25.609,"Z",73.826,46.531,61,16.748,92.083,88.132
"Class2",75.923,14.043,28.772,"Z",78.824,44.06,68,37.531,91.064,68.368
"Class3",49.637,31.803,86.374,NA,68.495,82.787,52,92.773,74.744,83.803
"Class1",62.723,47.454,21.02,"D",65.74,12.707,57,88.12,85.587,34.713
"Class3",39.225,41.376,57.601,"G",64.345,80.225,48,95.041,79.273,95.079
"Class2",39.232,20.55,26.868,"N",80.077,44.46,72,59.035,69.259,78.633
"Class4",62.646,25.048,55.848,"J",70.816,79.925,75,65.095,87.271,50.568
"Class1",63.237,37.582,47.67,"K",61.591,10.947,55,81.352,79.838,44.487
"Class2",78.673,14.794,27.181,"N",77.84,44.367,62,64.147,83.182,66.322
"Class4",66.33,40.039,40.237,NA,77.826,79.811,59,57.216,92.334,68.957
"Class4",34.797,26.202,30.498,"E",73.79,79.762,80,68.629,82.227,55.815
"Class3",36.894,47.657,52.323,"T",87.589,82.091,44,93.102,59.689,98.314
"Class1",68.993,48.581,14.753,"N",58.485,9.161,53,81.053,76.838,-8.822
"Class4",49.809,58.735,76.171,"J",76.633,78.758,64,65.274,69.498,43.586
"Class5",40.136,76.628,29.731,"N",69.318,73.296,58,94.293,50.016,69.936
"Class5",45.377,68.54,37.687,"M",55.661,71.818,35,15.827,7.645,58.968
"Class5",22.644,32.87,87.924,"N",49.772,74.019,34,68.642,24.177,66.691
"Class4",42.365,53.622,58.608,"E",75.023,79.447,57,66.408,68.968,21.515
"Class5",24.46,48.506,65.192,"D",46.837,56.934,54,79.969,13.247,37.748
"Class2",68.289,19.218,30.319,"Z",76.428,44.886,53,49.939,74.823,92.57
"Class2",84.298,22.146,NA,"E",79.313,46.237,67,71.71,75.582,90.689
"Class1",65.88,57.603,NA,NA,60.888,32.688,59,81.337,97.372,103.06
"Class1",68.158,43.581,52.595,"O",68.716,17.118,50,77.331,93.942,31.571
"Class4",41.574,41.312,41.609,"K",70.879,79.032,54,68.185,73.93,42.404
"Class1",65.315,52.954,51.024,"N",56.127,39.61,48,87.667,78.861,31.553
"Class2",47.823,16.393,21.442,"Z",82.866,46.013,86,73.236,97.764,76.222
"Class3",50.917,19.084,75.666,"F",84.34,81.025,46,90.401,88.771,65.682
"Class5",56.323,76.066,85.788,"M",25.365,59.416,38,61.456,39.451,52.74
"Class5",45.433,50.884,79.616,"D",23.332,78.957,27,49.125,21.955,74.121
"Class4",68.753,35.007,40.824,"I",75.139,79.371,87,62.346,69.75,43.626
"Class3",12.563,10.193,91.699,"F",82.703,81.081,49,93.974,71.164,68.787
"Class3",13.465,25.832,64.545,"F",78.586,84.121,47,95.578,71.315,64.82
"Class2",63.718,25.772,27.199,"N",74.883,46.391,73,32.809,65.793,72.058
"Class2",61.706,22.79,26.406,NA,77.868,43.747,69,31.506,60.733,79.395
"Class4",55.453,53.823,62.149,"U",71.726,79.048,63,64.265,79.194,80.198
"Class3",43.742,13.866,67.436,"X",76.609,84.85,50,90.078,76.115,85.789
"Class1",66.173,44.52,48.57,"N",63.579,11.079,52,81.976,92.634,-21.749
"Class5",47.029,50.893,49.641,"M",92.819,66.487,26,72.154,22.199,50.127
"Class4",44.299,50.01,NA,"E",71.758,78.931,60,58.63,68.885,-2.548
