"JBT1","RNA2","XJB3","UAS4","YOU5","Output15","EZQ6","RPB7","WOI8","FZT9"
30,54.995,44.215,85.998,45.101,"Class3","Q",84.16,20.585,47.694
52,21.171,69.386,39.171,56.661,"Class2","X",46.367,32.448,51.11
69,14.856,19.154,77.091,72.192,"Class5","W",36.132,66.722,26.407
18,46.642,46.898,82.717,1.933,"Class3","I",73.778,24.318,46.857
3,68.916,46.273,80.588,54.49,"Class3","S",71.458,14.628,47.093
42,NA,27.576,87.563,77.931,"Class5","S",33.19,66.515,23.495
40,48.496,58.177,62.224,72.945,"Class4","C",44.547,86.003,12.048
22,40.024,48.857,57.573,75.906,"Class4","I",52.307,50.479,12.692
58,40.271,72.785,21.966,97.484,"Class1","U",38.271,49.664,63.696
58,8.677,2.885,94.061,93.448,"Class1","T",58.762,52.053,69.205
53,42.037,NA,24.529,88.496,"Class1","F",76.718,80.776,67.104
27,7.477,61.958,85.078,98.366,"Class2","T",51.602,42.782,51.294
47,17.278,74.831,35.414,53.033,"Class2","Y",54.385,15.324,51.386
57,12.86,26.663,70.049,90.351,"Class1","F",39.66,72.377,68.705
37,79.556,47.085,85.618,96.597,"Class3","T",63.988,2.375,46.787
60,19.859,-17.162,76.468,72.831,"Class5","Z",42.71,66.067,24.922
28,0.805,60.813,64.041,69.705,"Class4","C",26.395,65.524,12.579
48,NA,50.022,63.049,73.257,"Class4","C",49.299,23.267,12.053
15,NA,51.613,61.874,72.62,"Class4","I",53.231,91.83,12.788
67,33.106,15.636,65.661,62.121,"Class5","Z",55.563,66.936,42.47
69,25.139,71.714,62.946,87.273,"Class2","Y",47.339,48.415,51.513
55,14.057,69.433,58.46,53.089,"Class2","H",56.878,28.249,51.063
79,30.427,58.57,79.332,55.915,"Class5","Z",66.1,66.916,41.39
2,53.924,51.954,84.171,55.634,"Class3","I",76.032,19.548,47.082
13,60.971,48.316,79.717,59.615,"Class3","N",72.682,26.738,47.784
57,25.029,35.597,82.137,93.163,"Class1","X",30.285,15.418,69.185
69,40.816,53.538,59.31,73.046,"Class4","I",47.292,79.697,12.763
62,18.086,45.186,86.812,86.495,"Class1","K",69.744,66.006,68.999
50,7.895,78.389,76.829,59.233,"Class2","Y",57.004,11.059,51.895
37,NA,49.081,59.636,72.82,"Class4","S",59.22,45.404,12.649
44,64.919,49.852,82.735,50.457,"Class3","I",60.471,29.778,46.754
67,25.881,68.39,45.102,73.424,"Class2","Y",51.467,10.905,51.524
72,11.868,68.971,58.557,20.127,"Class2","X",50.177,36.163,51.172
83,90.015,47.915,63.539,74.219,"Class4","S",49.31,63.54,12.948
52,15.086,NA,90.145,19.443,"Class2","T",56.996,2.061,51.492
46,62.042,45.347,81.149,132.165,"Class3","I",76.256,6.995,46.626
31,52.696,40.719,63.566,75.644,"Class4","C",43.1,24.904,12.724
69,13.394,60.676,59.698,7.829,"Class2","Y",51.004,8.182,51.859
77,51.25,26.287,74.6,64.049,"Class5","W",86.877,66.628,31.283
57,11.906,67.822,55.094,94.705,"Class1","F",30.748,16.378,66.893
53,34.025,70.759,64.971,87.214,"Class1","X",62.279,55.855,64.309
64,9.156,74.505,28.687,56.624,"Class2","Y",53.508,10.2,51.592
40,13.715,NA,88.673,65.053,"Class5","P",56.259,66.134,36.118
23,24.29,53.513,64.298,71.82,"Class4","I",72.155,15.913,12.874
36,71.288,44.014,86.426,110.634,"Class3","S",70.432,20.278,46.7
40,16.499,29.302,66.815,58.877,"Class5","S",47.261,66.214,28.325
49,83.082,48.27,79.679,8.6,"Class3","I",68.622,4.989,46.962
55,23.265,20.573,38.262,87.277,"Class1","T",48.836,35.084,66.004
63,37.081,14.463,88.595,69.764,"Class1","X",39.378,44.865,69.491
61,NA,74.308,72.477,90.824,"Class1","X",67.048,40.256,67.666
54,14.824,52.293,60.728,87.848,"Class1","F",70.643,73.936,63.229
59,34.516,NA,18.296,88.605,"Class1","X",59.25,78.931,64.785
62,43.928,84.396,44.115,84.563,"Class1","U",49.095,14.286,66.965
60,20.892,23.893,61.527,91.237,"Class1","X",61.92,34.526,69.043
64,59.494,30.681,96.753,65.649,"Class5","P",35.534,66.652,30.264
45,36.76,16.774,84.402,72.861,"Class5","W",48.001,66.96,25.145
54,46.095,38.928,52.208,85.969,"Class1","U",48.786,48.421,63.424
47,27.565,25.06,75.779,70.308,"Class5","S",82.034,66.682,30.354
66,-15.206,59.027,60.733,73.165,"Class4","C",65.285,90.082,12.429
60,15.946,45.675,53.058,95.589,"Class1","F",82.461,85.965,63.845
79,NA,NA,93.269,56.224,"Class5","Q",63.246,66.097,32.849
50,22.78,59.764,58.215,75.382,"Class4","S",53.249,40.369,12.682
61,36.635,87.819,93.033,73.843,"Class1","T",53.366,35.318,65.395
56,18.238,54.094,47.601,84.696,"Class1","F",49.892,39.248,64.286
56,17.419,45.067,70.654,91.107,"Class1","T",26.561,75.337,64.197
33,59.021,40.342,64.97,71.28,"Class4","I",52.849,90.377,12.698
31,40.833,47.319,64.005,71.314,"Class4","C",49.586,64.917,12.682
53,56.613,NA,71.696,54.403,"Class5","Z",62.984,66.622,24.292
44,37.777,45.506,61.904,68.768,"Class4","I",64.231,63.496,12.886
32,31.062,55.773,60.415,73.241,"Class4","I",45.489,56.652,12.282
76,25.251,12.267,98.763,63.704,"Class5","P",56.062,66.775,39.982
41,20.865,67.403,92.455,88.083,"Class2","T",46.621,25.153,51.231
34,NA,44.257,79.502,42.282,"Class3","I",73.916,8.335,47.863
32,59.956,60.823,56.675,71.477,"Class4","S",59.83,62.33,12.937
47,12.617,44.955,58.031,73.714,"Class4","X",35.059,58.255,12.918
55,22.192,49.058,44.639,65.559,"Class1","K",50.165,43.806,63.793
50,14.303,76.94,21.102,60.19,"Class2","T",44.493,7.629,51.04
77,5.905,68.124,23.523,-1.641,"Class2","T",57.154,27.329,51.029
25,72.389,59.731,63.304,73.351,"Class4","I",41.507,42.547,12.874
71,9.277,75.309,67.427,9.067,"Class2","K",50.356,33.288,51.698
56,20.063,22.177,61.709,90.173,"Class1","F",69.662,20.14,63.069
38,-14.297,46.444,58.978,75.174,"Class4","X",42.623,25.213,12.332
50,89.691,47.412,88.497,106.343,"Class3","Q",72.218,0.744,47.841
34,40.602,15.113,97.392,67.859,"Class5","P",25.81,66.803,31.011
62,18.247,40.55,93.451,92.324,"Class1","T",57.505,63.665,63.694
33,54.604,52.123,60.786,73.948,"Class4","H",56.798,74.494,12.519
27,NA,79.243,61.376,60.936,"Class2","T",51.792,30.227,51.388
33,59.74,NA,83.263,93.563,"Class3","N",63.986,18.831,47.958
69,7.197,48.892,62.836,70.935,"Class4","C",41.258,58.201,12.731
25,60.081,46.824,57.476,76.018,"Class4","H",43.638,52.483,12.542
55,38.469,77.435,72.779,82.041,"Class1","T",71.358,29.866,67.081
17,NA,56.272,64.191,70.184,"Class4","X",60.4,28.752,12.336
63,36.638,32.896,72.685,104.156,"Class1","T",64.158,65.379,69.701
79,15.046,78.677,30.41,30.827,"Class2","H",50.859,22.744,51.96
34,70.134,47.739,84.199,36.725,"Class3","N",73.387,4.212,46.417
15,63.58,47.246,80.318,61.552,"Class3","S",70.152,10.572,47.502
29,57.054,50.916,85.31,29.756,"Class3","T",82.186,29.802,47.04
29,NA,23.145,65.656,65.802,"Class5","S",75.25,66.075,40.457
78,41.646,35.926,77.662,63.753,"Class5","Q",39.803,66.737,25.595
25,65.747,44.867,84.065,73.07,"Class3","Q",70.123,21.352,46.728
67,10.394,68.096,79.736,88.046,"Class2","X",56.682,22.42,51.157
52,13.512,72.938,79.609,38.645,"Class2","K",55.178,46.07,51.459
27,15.379,63.164,60.291,72.503,"Class4","S",60.113,85.572,12.021
31,NA,73.347,75.576,66.69,"Class2","H",53.886,22.756,51.966
73,12.127,72.553,65.021,-2.327,"Class2","H",52.385,41.732,51.359
60,17.059,39.325,61.09,83.994,"Class1","X",50.225,25.464,66.553
45,14.687,72.66,46.626,48.434,"Class2","Y",54.942,17.832,51.74
71,3.274,70.762,26.186,72.822,"Class2","H",52.321,34.927,51.532
76,20.101,66.987,57.577,-16.529,"Class2","H",59.492,42.573,51.059
80,41.303,44.384,94.998,77.347,"Class5","Z",58.975,66.517,37.654
76,85.288,44.115,63.271,71.568,"Class4","C",48.251,50.429,12.506
66,3.77,58.786,48.709,19.596,"Class2","T",53.206,17.856,51.96
33,49.194,48.096,88.036,63.85,"Class5","W",65.127,66.707,40.606
14,29.681,54.088,61.746,72.864,"Class4","H",33.205,55.478,12.186
38,8.869,73.856,76.932,24.254,"Class2","T",53.18,21.326,51.725
53,12.981,75.508,34.201,55.623,"Class2","T",48.732,40.493,51.884
41,NA,20.155,66.604,76.362,"Class5","P",81.304,66.481,40.089
39,4.874,61.748,32.893,100.957,"Class2","T",60.804,35.904,51.213
3,NA,44.723,89.445,46.722,"Class3","Q",71.776,15.797,46.332
65,63.255,45.878,61.644,75.975,"Class4","I",44.411,40.529,12.02
7,49.485,49.261,82.108,79.796,"Class3","I",69.318,19.709,47.264
57,19.386,52.311,47.269,90.982,"Class1","T",83.659,49.575,63.644
78,4.921,52.686,59.3,74.043,"Class4","X",41.871,44.963,12.302
60,13.243,20.137,28.663,86.833,"Class1","T",60.953,65.638,63.683
30,33.69,40.693,95.102,76.561,"Class5","S",59.464,66.228,27.341
42,49.985,15.761,88.878,65.333,"Class5","P",50.183,66.451,38.06
61,6.442,75.573,49.392,39.114,"Class2","Y",56.175,41.708,51.89
80,52.763,17.307,82.079,66.6,"Class5","S",59.398,66.266,30.189
59,28.877,55.385,23.216,81.834,"Class1","X",93.065,83.687,68.236
53,39.192,NA,70.975,74.504,"Class1","U",83.436,45.252,67.607
3,73.237,45.464,81.23,64.531,"Class3","S",66.367,22.623,47.945
48,66.02,52.223,59.649,73.152,"Class4","C",32.014,90.742,12.589
45,26.586,77.976,49.392,81.641,"Class2","Y",60.491,43.303,51.546
73,37.011,27.171,73.011,72.783,"Class5","Q",51.279,66.134,23.12
61,31.016,36.151,79.572,92.208,"Class1","X",26.048,31.837,64.538
9,88.489,48.996,90.008,11.662,"Class3","N",66.741,26.385,46.223
63,46.783,66.693,53.989,81.526,"Class1","T",39.932,72.861,63.094
33,55.524,48.389,85.23,6.214,"Class3","Q",63.481,26.859,47.2
54,NA,17.108,82.267,67.2,"Class5","W",57.518,66.748,27.925
61,9.849,46.372,42.067,86.41,"Class1","U",63.965,39.487,69.65
39,77.47,53.637,60.132,75.368,"Class4","S",71.598,58.967,12.508
21,5.175,49.337,62.604,67.183,"Class4","C",42.292,56.006,12.618
61,22.749,46.001,47.196,92.28,"Class1","K",60.45,36.147,67.313
8,80.157,45.845,90.413,55.288,"Class3","I",61.468,28.594,46.613
80,42.867,47.401,58.443,69.191,"Class4","X",23.658,73.822,12.902
53,34.126,52.656,78.733,86.604,"Class1","K",62.32,27.227,65.24
72,27.754,16.906,92.717,57.862,"Class5","P",55.315,66.071,41.228
64,45.592,44.745,90.373,75.172,"Class5","W",70.595,66.983,39.602
46,13.87,74.55,75.206,107.638,"Class2","H",47.12,13.998,51.945
81,18.774,73.288,23.612,16.399,"Class2","X",48.569,40.626,51.045
12,25.076,51.177,58.259,77.07,"Class4","X",52.801,63.263,12.243
39,23.776,68.778,52.931,19.001,"Class2","T",57.635,22.47,51.557
80,62.782,25.933,80.026,71.853,"Class5","Z",69.268,66.708,24.653
26,61.484,46.459,90.666,-6.801,"Class3","T",72.266,15.863,47.97
57,30.489,44.46,31.593,98,"Class1","T",52.567,38.773,68.47
28,79.092,50.781,79.814,28.846,"Class3","N",69.298,14.354,46.524
37,92.461,48.789,79.343,82.896,"Class3","S",71.747,19.131,46.911
34,19.039,73.392,58.645,32.4,"Class2","H",49.816,20.9,51.11
1,81.877,49.248,86.471,31.212,"Class3","T",71.078,7.254,46.751
64,8.266,78.678,40.069,42.099,"Class2","X",56.85,42.392,51.705
50,17.458,14.233,69.902,63.369,"Class5","S",68.682,66.725,26.242
26,90.165,61.077,59.56,71.048,"Class4","H",33.602,18.563,12.558
73,17.434,49.247,63.286,75.039,"Class4","H",23.93,19.13,12.723
43,30.162,47.601,80.517,73.823,"Class3","S",79.993,26.234,46.686
83,74.61,46.782,62.226,74.68,"Class4","S",66.223,87.447,12.792
23,75.607,44.771,88.34,58.681,"Class3","T",63.236,27.167,46.457
40,27.518,0.953,70.38,76.172,"Class5","W",54.271,66.357,40.105
51,20.926,69.694,34.57,54.074,"Class2","Y",53.642,43.596,51.68
39,64.841,43.592,89.2,-3.067,"Class3","S",73.066,18.253,47.593
32,46.712,54.427,81.828,41.636,"Class3","N",74.454,26.757,47.499
77,34.965,-9.252,79.5,59.348,"Class5","W",39.094,66.956,29.362
47,10.723,71.402,72.473,11.489,"Class2","Y",57.205,39.771,51.766
54,37.083,48.247,70.441,91.272,"Class1","T",45.261,40.8,66.721
60,15.595,75.684,29.443,60.746,"Class2","H",50.086,10.753,51.986
12,60.752,49.827,87.449,63.303,"Class3","T",77.25,10.423,46.984
32,68.074,44.972,80.081,44.194,"Class3","T",76.587,11.787,47.413
13,55.827,43.507,64.287,74.454,"Class4","I",30.517,74.482,12.035
53,3.125,24.783,19.905,95.931,"Class1","T",13.498,65.732,63.349
39,42.731,47.999,94.8,73.11,"Class5","S",63.133,66.478,35.134
60,17.098,29.789,71.745,84.268,"Class5","W",59.752,66.54,39.663
42,39.223,41.811,75.209,78.468,"Class5","Q",67.463,66.664,40.846
54,115.485,54.549,62.235,75.038,"Class4","S",42.42,41.406,12.737
83,15.991,71.004,31.734,35.437,"Class2","T",48.12,47.357,51.422
42,3.694,73.236,62.007,82.727,"Class2","K",45.243,8.813,51.617
49,57.522,44.661,88.251,60.549,"Class3","Q",63.41,18.761,47.814
81,16.644,40.736,85.772,61.966,"Class5","Z",54.493,66.998,25.497
43,14.468,68.712,74.565,65.102,"Class2","K",57.363,25.9,51.314
58,20.761,68.054,34.492,82.856,"Class1","X",31.146,22.594,66.647
89,51.005,50.73,60.48,72.37,"Class4","C",45.693,39.579,12.335
75,63.027,46.146,58.489,69.526,"Class4","X",21.543,79.496,12.035
63,-2.73,72.917,92.789,108.154,"Class2","Y",52.231,13.516,51.324
83,8.33,71.895,48.847,67.906,"Class2","H",43.337,24.006,51.004
53,33.834,15.591,76.931,69.737,"Class5","S",56.334,66.375,34.764
32,16.697,48.906,62.399,71.699,"Class4","H",20.428,59.026,12.121
57,30.228,58.541,57.954,92.285,"Class1","X",93.623,72.038,69.829
31,32.777,23.918,70.724,69.195,"Class5","S",70.072,66.211,28.465
53,25.75,69.669,33.599,82.09,"Class1","F",28.674,47.498,69.997
38,14.615,69.953,43.727,23.547,"Class2","Y",54.144,32.605,51.915
75,49.433,48.782,60.254,73.363,"Class4","H",59.388,65.791,12.033
15,74.524,51.261,85.258,54.252,"Class3","T",65.349,2.883,46.066
54,4.458,71.546,53.889,65.8,"Class2","T",52.242,4.105,51.716
58,48.243,42.757,62.017,71.596,"Class4","X",47.884,31.405,12.836
7,64.798,48.02,82.995,53.79,"Class3","S",69.081,3.498,47.221
7,50.811,45.779,88.54,25.274,"Class3","I",73.383,11.943,47.021
31,1.727,79.364,35.358,44.449,"Class2","Y",45.615,4.774,51.985
55,26.739,12.797,55.019,88.442,"Class1","T",53.171,43.008,69.881
41,11.074,NA,67.912,13.784,"Class2","H",52.539,14.296,51.18
57,39.169,62.591,61.286,75.396,"Class4","H",36.067,26.614,12.073
30,0.286,60.805,28.666,79.457,"Class2","K",53.611,33.83,51.871
53,33.669,96.797,38.849,86.907,"Class1","X",94.665,19.09,67.549
39,NA,47.361,87.166,9.267,"Class3","N",70.699,8.663,47.179
27,-7.136,NA,81.898,20.811,"Class2","Y",51.655,38.397,51.046
18,86.785,54.843,56.329,75.527,"Class4","I",38.083,66.151,12.22
10,73.991,47.683,84.899,117.894,"Class3","Q",63.861,17.992,46.472
33,77.479,45.629,88.882,87.239,"Class3","Q",73.039,12.012,46.192
49,75.833,48.089,89.498,53.494,"Class3","I",75.495,14.331,47.416
53,18.465,33.551,55.121,86.638,"Class1","F",70.915,27.329,64.328
54,30.833,70.677,33.496,84.822,"Class1","F",-4.65,44.168,65.109
59,23.337,9.997,87.399,66.759,"Class5","W",66.045,66.095,31.285
21,93.978,53.662,80.567,82.975,"Class3","Q",63.908,19.212,47.137
15,59.283,NA,84.676,50.773,"Class3","N",77.004,14.039,47.545
69,46.116,62.754,63.163,73.151,"Class4","H",33.05,35.019,12.041
58,25.838,62.531,37.207,98.093,"Class1","T",58.57,25.719,63.282
33,80.795,NA,80.741,55.333,"Class3","T",69.575,16.996,47.538
49,6.653,75.767,55.002,65.257,"Class2","Y",57.203,43.379,51.041
11,62.589,43.613,84.446,46.843,"Class3","I",65.098,16.281,46.169
37,47.702,26.431,80.478,53.557,"Class5","Z",81.458,66.267,33.468
54,38.289,63.976,65.131,92.218,"Class1","K",79.116,86.538,65.381
76,10.984,67.599,91.804,89.539,"Class2","H",54.991,3.224,51.381
24,83.754,NA,89.761,95.89,"Class3","I",72.734,8.166,47.113
68,5.452,70.821,70.088,46.228,"Class2","T",47.601,35.483,51.321
60,63.033,37.728,96.717,72.964,"Class5","Q",59.921,66.248,32.72
61,34.42,26.374,88.365,90.437,"Class1","U",51.78,18.727,64.659
57,43.236,56.301,95.022,75.723,"Class5","P",37.455,66.171,28.241
13,63.607,53.802,59.92,72.86,"Class4","H",57.14,48.457,12.882
55,19.089,68.349,65.38,69.136,"Class2","Y",47.978,31.513,51.954
58,28.827,32.689,89.783,90.753,"Class1","F",48.149,25.956,66.964
50,NA,62.779,63.063,74.373,"Class4","S",53.507,43.841,12.909
39,68.359,34.193,61.711,74.59,"Class4","I",39.546,24.028,12.346
78,28.866,33.716,79.28,62.688,"Class5","Q",66.128,66.056,36.707
62,36.713,82.825,73.747,85.715,"Class1","K",57.154,23.212,68.481
60,31.964,78.078,66.323,78.309,"Class1","U",49.579,21.347,64.842
58,29.604,27.229,89.966,68.571,"Class5","Z",20.289,66.548,34.324
54,6.477,44.556,60.166,72.591,"Class4","X",58.962,31.788,12.892
34,77.25,50.295,81.358,86.898,"Class3","N",72.783,30.449,46.623
76,33.98,9.674,98.032,66.543,"Class5","W",42.562,66.487,26.428
55,37.649,69.216,56.229,79.827,"Class1","X",29.486,32.827,66.767
58,14.031,59.298,85.554,91.879,"Class1","T",43.455,80.443,68.321
22,67.481,47.396,85.773,55.638,"Class3","S",70.855,8.743,47.725
55,14.172,45.994,57.061,84.425,"Class1","F",86.464,56.568,69.74
53,22.596,76.267,26.765,88.538,"Class1","T",43.551,73.711,63.693
69,84.095,58.314,58.946,70.938,"Class4","X",52.026,14.277,12.747
39,28.537,32.913,67.837,80.351,"Class5","Z",59.134,66.122,31.209
57,1.429,84.633,36.805,87.007,"Class2","K",53.251,47.1,51.808
70,24.217,78.281,74.825,26.91,"Class2","K",54.134,17.726,51.252
31,37.867,9.454,84.533,65.156,"Class5","S",60.986,66.513,24.885
52,64.606,44.958,57.594,75.429,"Class4","X",66.522,24.246,12.878
22,42.727,53.734,60.295,71.926,"Class4","H",40.042,21.333,12.794
80,41.778,43.956,89.799,78.726,"Class5","P",56.018,66.604,31.217
63,32.584,27.158,89.608,74.462,"Class1","T",39.065,65.937,68.937
48,11.96,69.602,69.776,46.174,"Class2","Y",46.379,33.695,51.818
41,37.819,28.854,86.62,79.028,"Class5","Z",60.914,66.316,28.167
53,48.264,66.867,63.124,87.217,"Class1","K",44.362,42.837,67.895
72,51.268,-18.691,73.874,63.089,"Class5","S",55.685,66.766,41.519
49,85.824,41.712,83.205,55.636,"Class3","N",70.565,10.656,46.011
56,55.012,33.53,63.527,72.258,"Class4","S",58.659,60.153,12.668
57,49.306,49.684,63.001,76.343,"Class4","C",72.324,81.827,12.071
73,-0.801,81.785,85.51,40.239,"Class2","X",52.679,33.831,51.501
90,67.002,56.774,63.388,74.885,"Class4","C",26.2,30.197,12.764
62,-4.755,48.446,61.878,72.449,"Class4","H",28.733,48.159,12.524
44,21.482,68.267,88.768,76.183,"Class2","Y",49.927,40.196,51.178
58,21.642,41.67,71.512,68.283,"Class5","Q",53.915,66.574,26.181
75,NA,41.85,81.7,64.941,"Class5","Q",46.767,66.774,22.585
81,-3.81,37.826,58.754,73.479,"Class4","I",30.247,62.101,12.566
47,103.197,51.666,59.176,72.504,"Class4","X",35.407,45.619,12.074
79,17.359,29.527,67.251,66.212,"Class5","P",37.828,66.438,37.627
43,94.935,47.005,82.512,44.205,"Class3","S",65.577,10.884,47.662
77,98.765,46.932,62.656,69.458,"Class4","X",44.42,76.141,12.619
68,19.205,77.26,31.642,86.075,"Class2","X",49.062,27.7,51.167
48,50.428,46.644,82.062,60.586,"Class3","N",75.224,8.788,47.628
2,61.686,42.869,80.335,52.426,"Class3","S",65.569,10.319,46.558
27,18.791,46.332,58.652,73.743,"Class4","X",62.275,18.075,12.524
33,59.067,37.235,59.864,73.268,"Class4","C",39.09,80.656,12.117
62,7.724,72.337,26.276,29.688,"Class2","K",53.034,29.899,51.56
44,-1.172,72.558,31.052,37.81,"Class2","Y",50.898,11.99,51.86
62,NA,36.529,49.354,97.591,"Class1","F",65.482,31.472,68.983
31,89.653,44.694,86.641,122.899,"Class3","Q",76.927,26.358,47.806
8,66.108,47.058,83.102,65.329,"Class3","I",86.104,7.878,47.609
73,36.98,21.682,84.438,53.066,"Class5","Q",45.809,66.787,26.355
16,-13.19,49.389,61.108,72.759,"Class4","S",64.578,81.004,12.591
21,9.658,55.629,62.41,73.821,"Class4","I",39.592,73.626,12.869
32,55.573,38.299,90.267,68.978,"Class5","Q",65.944,66.72,29.855
77,53.426,47.787,56.039,74.018,"Class4","I",63.094,51.399,12.052
61,7.877,18.482,64.42,86.513,"Class1","T",64.997,82.061,65.123
56,34.679,14.698,65.049,90.205,"Class1","K",67.494,16.363,68.677
61,44.697,21.712,92.396,91.113,"Class1","X",59.755,66.189,63.111
59,35.354,31.741,63.262,91.167,"Class1","K",79.079,35.793,63.983
73,4.451,63.434,54.558,79.591,"Class2","T",53.96,17.372,51.934
45,9.585,57.917,59.343,74.674,"Class4","I",46.777,91.198,12.137
62,16.298,78.381,18.022,89.322,"Class1","U",67.614,61.681,66.232
66,4.521,59.665,72.27,48.438,"Class2","X",53.056,6.323,51.895
57,22.911,37.182,46.275,79.665,"Class1","U",75.864,69.634,64.07
72,-5.297,64.725,68.675,52.283,"Class2","T",50.194,11.823,51.576
64,11.073,57.983,63.877,75.984,"Class4","S",29.457,66.293,12.017
29,27.827,73.544,32.607,96.221,"Class2","Y",52.286,25.471,51.007
88,81.931,65.756,63.63,77.903,"Class4","I",57.306,48.922,12.333
38,83.011,48.307,87.69,41.914,"Class3","T",67.844,1.976,46.874
34,12.388,73.212,40.715,31.308,"Class2","X",53.403,6.107,51.62
15,18.405,48.533,57.828,70.467,"Class4","I",67.152,48.303,12.708
60,32.726,NA,55.531,108.474,"Class1","F",82.938,80.928,68.42
59,44.781,50.475,63.908,73.721,"Class4","X",53.788,48.248,12.047
32,78.112,46.135,84.705,84.855,"Class3","Q",73.948,9.086,46.807
21,4.362,37.896,57.426,76.145,"Class4","X",59.237,15.181,12.861
47,-10.776,73.111,73.78,84.754,"Class2","X",54.704,14.826,51.652
57,34.012,49.383,64.135,86.348,"Class1","X",58.079,49.127,65.306
49,23.37,3.645,77.884,63.351,"Class5","Q",62.276,66.498,35.193
58,30.714,58.172,68.538,70.931,"Class1","K",21.9,78.486,66.581
53,33.8,91.096,29.101,94.593,"Class1","K",83.063,34.178,64.72
42,21.836,60.29,37.865,56.052,"Class2","K",48.277,41.061,51.89
8,NA,49.961,85.794,71.789,"Class3","T",69.475,10.659,46.292
34,52.158,-1.219,72.706,64.61,"Class5","Z",53.342,66.898,40.609
39,75.985,44.41,87.233,55.683,"Class3","N",75.173,10.825,47.144
24,57.064,NA,56.209,72.888,"Class4","C",51.919,61.325,12.738
30,54.687,50.377,79.461,93.09,"Class3","N",66.516,14.408,47.628
66,7.104,68.66,88.559,55.957,"Class2","T",49.01,18.196,51.84
50,5.469,41.105,58.254,74.17,"Class4","C",46.218,54.78,12.979
58,6.328,52.486,56.838,88.271,"Class1","F",57.981,14.178,68.098
22,80.461,45.614,90.137,52.706,"Class3","N",64.867,15.886,46.473
2,52.823,44.803,85.37,45.933,"Class3","T",71.061,2.121,46.932
53,43.964,71.274,62.629,80.589,"Class1","U",54.344,74.754,63.828
36,33.338,16.304,82.89,67.82,"Class5","P",52.146,66.952,22.544
69,25.897,-8.023,81.982,64.088,"Class5","W",38.04,66.776,30.846
80,44.186,19.109,70.977,62.539,"Class5","Q",46.419,66.2,28.85
17,79.252,50.883,80.631,65.687,"Class3","S",72.028,23.423,47.862
71,51.491,-4.346,78.492,67.44,"Class5","Q",58.164,66.986,24.46
79,29.748,24.666,74.319,72.593,"Class5","S",43.308,66.056,42.483
54,NA,68.387,83.173,87.95,"Class1","F",56.558,67.204,69.884
35,54.254,42.545,86.774,33.604,"Class3","S",70.568,28.61,46.632
32,46.051,50.263,60.464,74.403,"Class4","I",44.16,89.755,12.981
62,41.842,43.806,66.248,65.629,"Class5","P",52.878,66.604,42.969
57,13.742,78.911,79.786,79.183,"Class1","X",45.755,88.102,68.675
58,16.592,14.764,50.362,91.312,"Class1","F",35.705,33.99,66.01
63,13.413,13.895,82.7,76.426,"Class1","F",41.388,23.302,67.662
86,67.217,41.473,62.176,73.242,"Class4","S",59.286,26.789,12.874
33,78.989,54.099,83.513,79.405,"Class3","S",66.854,23.491,46.633
39,33.844,2.541,87.469,80.188,"Class5","Z",42.884,66.391,35.193
64,74.46,51.296,61.508,70.543,"Class4","S",46.965,91.534,12.222
52,-23.962,35.641,62.305,74.776,"Class4","H",50.955,21.565,12.33
56,6.061,39.664,62.449,72.205,"Class4","H",54.16,31.892,12.717
51,52.022,4.266,84.234,67.496,"Class5","W",42.044,66.892,41.558
78,27.092,4.785,98.589,60.23,"Class5","Q",36.231,66.842,30.805
52,19.925,10.56,67.294,76.726,"Class5","Z",44.114,66.584,27.599
79,12.373,67.291,56.78,68.677,"Class4","C",30.823,31.713,12.038
38,47.996,48.91,79.919,38.959,"Class3","S",77.434,20.246,46.638
43,49.836,59.128,62.276,73.594,"Class4","X",66.182,70.526,12.674
55,15.372,63.024,71.501,91.249,"Class1","K",48.841,73.918,63.72
24,68.625,43.889,81.552,29.205,"Class3","Q",62.799,17.718,46.402
56,24.285,50.55,26.048,80.159,"Class1","K",81.62,19.235,67.616
57,23.167,43.813,64.439,72.626,"Class4","H",53.78,34.633,12.144
59,26.962,31.023,63.54,89.906,"Class1","F",59.602,64.851,66.509
71,46.13,45.826,60.217,71.067,"Class4","X",36.608,60.113,12.468
33,37.558,NA,78.571,56.362,"Class5","Z",58.349,66.626,42.598
55,12.598,67.911,68.023,19.123,"Class2","T",54.918,31.469,51.741
37,56.804,49.203,88.891,87.911,"Class3","I",79.409,0.205,46.38
50,62.068,45.915,84.721,35.533,"Class3","Q",72.229,21.412,47.559
37,48.485,NA,83.136,101.124,"Class3","N",69.842,25.68,47.699
2,83.104,48.623,83.624,74.162,"Class3","T",70.305,10.268,46.268
58,36.903,48.585,79.937,89.854,"Class1","T",57.939,86.016,64.099
68,12.612,37.604,75.483,77.384,"Class5","P",42.354,66.527,23.532
75,2.342,72.098,28.145,70.355,"Class2","X",52.882,15.256,51.68
60,23.565,44.843,96.01,78.912,"Class1","T",48.405,68.715,63.958
39,67.681,43.982,81.976,81.789,"Class3","T",73.801,18.893,46.79
13,NA,39.871,79.356,96.914,"Class3","S",69.835,24.016,47.178
61,38.221,45.341,62.438,70.467,"Class4","S",53.354,14.265,12.944
51,19.353,41.29,74.132,73.03,"Class5","Z",61.56,66.299,34.237
