"EJS1","SLH2","ZUD3","JFS4","WML5","EHM6","IPF7","ZUS8","TKM9","OHJ10","Output21","RYQ11"
23.784,"K",30.644,10,12.842,18.061,26.005,87,29.227,55.012,"Class2",5.26
28.064,"K",39.424,12,10.122,28.095,34.236,86,26.618,42.38,"Class2",15.211
63.523,"I",94.694,90,60.59,30.924,33.469,27,61.559,45.196,"Class3",35.494
30.437,"G",65.56,65,34.692,50.094,7.507,NA,68.716,40.184,"Class1",58.465
26.545,"D",65.425,82,8.949,41.118,18.741,74,69.427,48.045,"Class1",63.694
25.501,"V",26.486,3,14.269,20.25,37.415,85,18.635,61.226,"Class2",13.951
28.621,"I",65.549,86,33.095,54.337,4.281,77,69.523,69.953,"Class1",70.589
75.534,"I",95.031,84,44.695,28.492,31.76,46,57.403,38.929,"Class3",39.246
13.471,"D",66.193,38,43.586,51.849,8.825,74,67.707,40.289,"Class1",65.718
35.208,"V",30.395,12,24.196,25.124,46.736,84,18.449,83.447,"Class2",14.855
11.489,"X",65.023,35,38.537,42.8,6.105,75,65.98,47.709,"Class1",63.527
20.118,"G",65.347,48,43.591,43.428,7.22,75,70.684,54.752,"Class1",66.793
22.354,"X",65.631,53,31.09,42.709,16.231,72,66.132,34.323,"Class1",65.781
34.661,"V",35.783,11,12.733,24.859,29.524,91,19.721,66.957,"Class2",21.83
36.961,"V",29.31,5,15.235,28.407,52.469,85,24.99,59.89,"Class2",12.553
35.193,"A",32.836,14,20.914,30.871,36.053,87,13.351,65.675,"Class2",20.789
16.93,"X",65.185,76,51.514,42.729,21.202,76,68.068,65.633,"Class1",70.162
87.392,"I",94.614,81,60.752,81.887,31.452,14,62.53,48.213,"Class3",40.966
29.504,"X",66.003,72,26.119,32.091,10.69,76,66.158,59.334,"Class1",66.818
23.469,"K",13.992,9,10.509,28.44,26.009,88,18.193,78.491,"Class2",20.998
23.898,"W",49.924,5,22.047,22.517,33.326,87,25.956,67.624,"Class2",17.667
23.135,"V",20.288,9,14.722,19.408,58.691,87,10.781,68.9,"Class2",18.219
25.933,"K",21.567,9,15.29,24.475,57.075,89,25.995,51.029,"Class2",24.899
78.781,"I",90.208,77,86.955,59.019,29.692,11,57.861,26.383,"Class3",37.906
28.772,"V",19.186,8,19.21,28.442,23.707,88,25.939,89.638,"Class2",17.681
28.116,"G",65.892,57,56.526,50.954,6.872,73,70.385,55.862,"Class1",66.97
14.815,"G",65.615,47,56.027,51.093,5.687,72,68.23,35.647,"Class1",66.919
14.149,"I",65.018,73,20.855,48.166,17.131,72,69.416,59.083,"Class1",66.192
31.736,"V",13.202,3,11.975,22.958,24.487,90,25.956,43.604,"Class2",20.972
88.95,"S",89.312,63,55.34,2.936,29.484,23,63.755,30.983,"Class3",44.948
26.29,"A",41.992,8,27.689,31.388,39.882,86,16.378,60.916,"Class2",17.156
92.176,"C",90.825,79,44.875,45.152,30.488,7,61.77,27.874,"Class3",43.241
26.974,"K",50.157,13,16.227,25.895,28.164,84,12.026,82.657,"Class2",19.962
64.082,"Z",86.718,74,57.563,15.728,33.934,39,63.282,18.3,"Class3",39.499
73.997,"C",90.067,87,60.304,42.534,33.287,40,59.898,77.482,"Class3",39.361
65.121,"S",84.287,90,69.264,72.222,33.18,4,61.035,14.42,"Class3",37.318
21.032,"K",18.636,13,29.103,29.684,27.52,87,31.451,51.946,"Class2",15.548
13.588,"L",65.16,69,-2.941,59.768,7.79,74,70.165,66.3,"Class1",66.997
27.962,"T",29.872,11,34.624,22.051,54.096,85,25.565,62.188,"Class2",15.979
69.863,"I",86.347,89,50.947,75.894,32.213,6,57.373,13.932,"Class3",41.096
11.235,"I",65.204,39,20.253,31.694,5.436,72,67.558,37.952,"Class1",68.053
85.728,"I",96.27,67,68.807,50.87,31.215,4,NA,81.649,"Class3",37.55
22.848,"W",15.516,3,-1.881,23.659,50.509,89,26.034,52.692,"Class2",12.629
79.525,"C",91.758,70,58.892,4.951,33.987,34,59.968,80.863,"Class3",45.503
31.505,"V",36.753,9,13.458,19.057,55.308,89,28.93,57.659,"Class2",10.679
66.382,"I",85.821,93,55.402,81.831,32.755,22,NA,92.056,"Class3",44.32
24.005,"V",25.168,10,16.999,22.394,27.283,84,19.703,85.811,"Class2",15.799
22.598,"T",47.607,12,14.543,25.503,23.749,84,19.009,80.805,"Class2",1.81
91.029,"C",89.9,86,55.576,78.192,30.981,38,59.413,61.668,"Class3",37.531
59.713,"Z",91.155,73,77.725,57.378,30.472,NA,62.44,41.307,"Class3",41.401
33.734,"W",49.706,14,27.737,20.851,30.207,86,18.947,48.76,"Class2",12.923
64.18,"Z",97.148,97,55.371,40.399,29.161,7,58.73,71.332,"Class3",40.55
25.828,"W",20.158,4,10.135,25.743,24.172,89,21.981,73.8,"Class2",13.96
90.17,"Z",89.443,87,58.991,58.461,32.998,17,60.785,52.083,"Class3",43.106
92.502,"Z",87.821,61,60.483,70.689,29.391,44,62.644,51.763,"Class3",35.507
34.195,"W",47.67,3,13.14,18.994,25.253,89,10.187,77.113,"Class2",16.697
65.145,"Z",88.627,96,64.006,49.908,32.727,13,58.897,47.824,"Class3",38.553
26.207,"K",41.063,5,21.333,26.906,27.884,87,17.228,74.753,"Class2",14.054
75.091,"Z",88.891,98,70.734,49.068,33.286,16,59.221,14.672,"Class3",42.486
29.89,"L",65.601,66,7.018,68.71,7.483,75,69.162,67.958,"Class1",66.989
25.623,"X",65.55,52,64.607,27.459,17.451,77,67.212,70.905,"Class1",67.264
24.89,"A",43.249,6,36.996,19.994,31.246,87,17.041,68.074,"Class2",16.228
30.915,"A",61.959,7,21.433,34.986,34.298,88,31.662,73.425,"Class2",17.407
88.916,"Z",93.192,70,55.183,111.167,33.436,25,63.019,10.036,"Class3",37.102
36.342,"W",37.958,6,8.592,30.554,49.858,88,31.788,56.186,"Class2",20.922
87.724,"C",97.046,55,62.15,77.654,29.699,31,63.464,51.868,"Class3",37.755
25.977,"K",36.32,3,35.076,19.099,40.497,88,12.318,65.137,"Class2",14.174
24.878,"X",65.165,76,25.748,33.71,21.807,NA,69.439,51.868,"Class1",64.049
25.782,"A",48.958,12,23.942,22.429,49.199,88,30.549,42.9,"Class2",17.068
77.749,"S",92.987,66,67.83,78.227,30.083,21,58.971,76.785,"Class3",39.584
32.907,"W",50.302,5,12.693,29.224,51.521,85,21.256,90.445,"Class2",19.695
82.064,"T",88.486,83,44.349,67.326,31.858,22,59.121,30.158,"Class3",34.766
28.689,"W",41.987,6,5.456,29.948,26.555,89,33.11,56.683,"Class2",18.631
80.074,"Z",91.869,91,67.523,50.078,31.118,39,61.303,63.079,"Class3",42.889
27.678,"W",30.433,3,6.092,27.807,26.015,88,13.428,83.871,"Class2",14.231
35.706,"T",24.279,11,26.78,24.195,46.625,86,25.442,49.247,"Class2",10.336
73.921,"T",89.629,76,56.74,133.754,29.297,38,60.893,16.371,"Class3",42.271
26.11,"D",65.493,38,63.297,20.417,16.047,74,67.365,63.043,"Class1",66.699
24.881,"K",54.039,9,18.679,18.673,34.073,86,24.462,44.701,"Class2",19.787
72.134,"Z",95.425,76,58.703,50.241,33.615,21,60.319,90.433,"Class3",42.829
25.613,"K",10.769,4,8.646,21.005,23.595,88,31.502,81.966,"Class2",23.81
12.732,"L",65.29,45,-17.528,74.608,21.587,75,69.67,72.192,"Class1",65.797
21.241,"T",17.326,8,11.788,22.408,31.768,NA,16.003,55.262,"Class2",24.141
29.972,"L",64.937,56,36.209,70.481,17.48,75,69.423,36.059,"Class1",64.064
11.296,"L",65.603,69,-13.257,40.241,14.298,74,70.491,46.938,"Class1",63.774
30.119,"V",25.465,5,10.199,24.709,39.42,91,15.468,54.302,"Class2",19.777
7.181,"G",65.442,71,45.6,58.161,3.17,73,68.322,65.416,"Class1",65.555
16.677,"L",65.941,42,40.677,54.962,21.001,73,66.487,44.325,"Class1",66.261
29.394,"T",32.773,6,-0.372,24.236,49.643,91,30.6,45.028,"Class2",15.27
9.124,"I",65.251,51,32.136,45.012,22.583,77,67.666,74.315,"Class1",66.206
28.862,"W",22.35,13,22.712,25.437,34.365,86,18.875,90.251,"Class2",17.657
25.986,"T",50.581,13,36.44,27.814,24.035,85,19.311,67.42,"Class2",19.557
28.45,"L",65.627,74,19.169,55.928,3.989,73,68.823,62.289,"Class1",67.471
70.292,"S",96.222,67,79.188,64.835,32.275,31,58.746,59.41,"Class3",31.863
62.884,"I",98.258,85,60.475,57.945,29.313,22,60.685,57.978,"Class3",42.661
9.701,"X",66.078,52,28.254,49.107,21.734,76,68.584,70.569,"Class1",63.969
33.252,"K",36.148,10,22.946,22.909,52.17,90,11.897,80.532,"Class2",18.152
85.408,"C",89.663,69,74.082,16.392,31.433,3,59.727,18.56,"Class3",39.234
15.695,"X",65.593,40,50.854,70.092,16.669,74,68.795,71.402,"Class1",65.389
30.051,"T",11.821,9,3.473,26.961,53.599,84,18.775,72.598,"Class2",11.579
17.527,"D",65.449,49,45.805,47.547,12.097,74,66.284,54.958,"Class1",64.541
29.054,"D",65.535,58,55.466,42.526,9.398,72,65.077,44.181,"Class1",65.572
23.623,"A",4.843,3,14.47,24.632,52.388,91,31.534,77.314,"Class2",18.695
60.66,"I",95.409,68,62.173,68.694,31.795,25,59.55,57.111,"Class3",39.217
12.351,"L",65.897,66,5.226,37.274,9.711,77,NA,73.333,"Class1",67.936
17.374,"I",65.632,55,0.162,59.919,21.688,NA,68.913,37.131,"Class1",68.157
7.085,"I",66.038,68,32.429,41.123,7.115,72,70.061,43.328,"Class1",62.683
12.991,"G",65.216,46,23.383,26.737,13.543,74,69.217,33.459,"Class1",68.175
77.032,"C",94.329,92,62.187,55.448,32.247,11,58.361,68.367,"Class3",41.829
20.915,"D",65.533,52,70.879,65.35,8.043,75,67.296,60.067,"Class1",66.334
26.998,"D",65.374,72,61.068,54.746,18.921,76,68.443,39.234,"Class1",63.541
61.425,"I",93.508,78,56.054,40.091,30.039,35,63.243,17.108,"Class3",43.03
22.724,"G",65.662,81,3.809,60.2,6.957,76,68.658,57.485,"Class1",67.986
27.563,"A",22.969,9,27.927,27.733,26.842,85,26.002,49.807,"Class2",14.525
25.635,"X",65.101,67,47.095,43.387,3.728,72,68.415,75.742,"Class1",68.572
31.002,"A",57.357,5,23.162,18.844,26.612,85,19.159,47.328,"Class2",13.935
26.032,"A",41.501,12,14.887,29.074,23.517,90,20.459,83.204,"Class2",14.725
30.353,"W",41.882,12,5.611,24.728,43.275,89,17.097,72.289,"Class2",16.247
70.888,"Z",94.752,80,67.874,56.057,31.253,21,57.048,86.019,"Class3",40.576
27.955,"I",65.838,56,32.577,70.769,9.353,77,69.996,52.798,"Class1",65.686
25.996,"K",41.781,5,20.553,24.636,34.984,NA,23.993,74.298,"Class2",14.129
75.388,"T",82.642,63,57.424,39.32,31.637,43,62.535,49.415,"Class3",39.46
28.478,"V",38.622,3,28.036,29.957,36.255,86,22.592,89.496,"Class2",23.342
16.996,"L",65.136,68,30.125,48.092,8.518,72,68.954,59.01,"Class1",60.9
22.519,"G",65.304,81,41.543,57.059,19.859,77,NA,72.015,"Class1",66.932
93.883,"Z",90.361,97,60.032,70.235,33.448,13,59.203,11.478,"Class3",43.87
21.278,"W",20.951,13,25.76,22.062,55.264,88,26.608,68.199,"Class2",5.226
73.502,"Z",97.137,83,64.69,50.369,33.206,15,60.204,93.16,"Class3",41.115
36.388,"K",53.414,10,19.075,24.186,41.183,86,33.277,50.285,"Class2",13.153
21.721,"T",36.059,13,19.523,22.966,25.407,87,25.073,62.747,"Class2",18.991
29.364,"D",65.938,77,42.695,47.174,16.401,73,65.023,46.477,"Class1",67.797
24.86,"K",35.463,6,21.212,22.36,26.647,86,28.18,42.059,"Class2",16.409
75.369,"Z",90.995,98,66.685,60.212,33.427,23,61.099,41.408,"Class3",39.305
90.936,"S",95.486,98,71.067,55.903,31.039,1,62.365,58.53,"Class3",38.562
20.718,"X",65.987,54,25.979,68.659,10.678,72,67.522,55.85,"Class1",67.466
9.85,"D",65.31,62,49.527,57.909,16.652,75,66.883,75.358,"Class1",58.312
21.469,"L",64.884,82,41.924,45.202,6.086,74,69.633,58.767,"Class1",70.971
27,"K",25.14,8,25.669,26.741,48.28,86,32.289,55.592,"Class2",10.788
67.302,"Z",92.499,57,74.176,60.259,29.763,12,NA,43.855,"Class3",41.265
80.423,"S",91.107,69,61.801,62.349,32.153,10,58.098,11.27,"Class3",41.401
26.776,"X",65.367,53,32.065,34.201,5.425,73,65.388,69.874,"Class1",64.149
93.287,"C",87.467,55,62.003,62.708,31.393,25,58.77,52.042,"Class3",41.124
26.578,"W",40.035,8,5.977,22.351,29.504,86,20.412,46.89,"Class2",19.412
68.573,"I",93.414,92,65.103,81.386,30.529,18,59.284,46.775,"Class3",41.234
26.265,"G",65.843,50,61.546,29.311,18.596,75,65.13,49.061,"Class1",68.719
13.516,"D",65.541,70,-5.109,62.747,4.247,72,69.046,55.87,"Class1",64.111
22.538,"A",57.503,9,19.016,20.672,48.422,87,9.155,59.782,"Class2",18.338
65.655,"T",91.276,62,49.409,27.941,31.457,11,63.024,21.823,"Class3",40.791
6.09,"D",65.743,69,42.069,69.549,4.719,NA,68.528,42.827,"Class1",64.192
62.099,"S",94.685,55,64.485,34.915,30.316,27,57.481,45.132,"Class3",38.023
68.267,"I",90.476,79,68.29,89.16,29.146,17,63.071,38.474,"Class3",38.683
17.825,"D",65.664,52,61.764,64.072,12.876,74,69.725,57.477,"Class1",61.549
87.532,"I",90.391,66,57.038,40.342,32.605,24,59.784,39.594,"Class3",36.244
86.148,"Z",95.445,83,61.509,74.633,29.38,17,62.044,76.04,"Class3",42.289
85.855,"T",82.778,80,45.472,114.216,30.746,16,62.36,59.922,"Class3",38.035
25.051,"W",54.651,4,38.628,30.476,30.216,91,NA,89.168,"Class2",19.89
23.138,"X",65.227,45,17.732,46.206,20.987,77,66.891,35.451,"Class1",68.869
34.823,"K",13.442,8,11.546,30.133,25.406,91,11.409,42.868,"Class2",14.39
75.582,"T",90.215,71,53.41,65.385,31.613,NA,62.402,84.485,"Class3",39.699
12.73,"X",65.481,44,56.97,44.679,6.338,77,68.744,34.684,"Class1",68.405
71.374,"Z",87.767,87,55.823,58.07,31.678,45,57.034,87.771,"Class3",42.057
63.92,"I",94.555,77,64.136,32.994,30.727,5,63.268,55.913,"Class3",41.759
8.493,"L",66.028,40,17.897,40.63,10.737,77,69.942,63.481,"Class1",70.182
19.427,"X",65.094,43,43.667,65.955,4.971,72,70.033,58.498,"Class1",65.204
73.519,"T",92.149,64,76.697,66.311,31.159,18,58.623,50.27,"Class3",44.957
18.971,"G",65.496,69,25.599,59.33,7.33,73,67.292,63.182,"Class1",67.89
24.879,"D",65.307,57,22.746,45.116,19.471,72,70.035,73.577,"Class1",64.28
30.177,"I",65.63,54,42.265,59.276,13.127,73,65.845,77.82,"Class1",70.275
78.301,"Z",89.88,77,68.383,14.189,31.324,5,60.548,91.279,"Class3",39.068
64.979,"S",88.775,98,54.532,57.557,33.277,40,59.549,21.774,"Class3",38.68
65.148,"I",93.453,80,62.109,36.845,30.684,31,61.878,57.637,"Class3",37.899
29.189,"K",48.036,11,14.706,19.515,31.188,84,25.031,41.702,"Class2",14.839
88.508,"Z",90.111,73,70.384,48.21,33.299,NA,61.517,43.335,"Class3",42.589
15.563,"I",65.722,59,44.106,26.219,20.01,76,67.323,52.506,"Class1",62.685
22.641,"D",65.283,43,29.344,65.408,12.047,75,67.886,52.393,"Class1",63.916
65.887,"S",86.758,68,62.427,95.675,30.273,29,58.512,91.198,"Class3",38.018
60.333,"Z",94.368,78,60.672,46.55,33.624,3,59.81,15.239,"Class3",37.59
80.975,"I",96.408,86,69.527,48.471,30.243,9,61.115,55.815,"Class3",42.585
71.461,"T",91.768,80,67.077,73.805,29.116,40,59.981,40.336,"Class3",40.605
67.028,"S",93.039,88,61.66,58.934,33.549,16,58.88,65.674,"Class3",38.732
22.836,"V",13.207,10,15.42,24.046,45.847,85,NA,43.952,"Class2",18.536
18.812,"X",65.846,73,0.739,34.246,7.298,75,69.109,49.76,"Class1",64.839
59.992,"T",92.856,97,63.823,61.463,33.229,17,59.972,93.623,"Class3",42.222
31.07,"W",42.704,12,17.439,32.999,51.958,87,19.063,52.997,"Class2",18.897
85.881,"S",88.114,76,63.595,108.279,31.911,40,63.737,21.772,"Class3",39.913
31.925,"K",33.88,11,17.975,23.502,57.541,88,15.364,49.874,"Class2",15.458
24.237,"G",65.901,36,42.847,48.214,11.666,73,68.108,52.44,"Class1",69.021
73.298,"C",99.664,94,55.087,17.584,32.114,24,61.075,66.405,"Class3",37.816
30.008,"W",15.108,14,19.836,31.406,23.941,87,11.019,72.043,"Class2",16.832
29.885,"T",32.232,3,21.603,24.145,25.797,91,15.372,61.393,"Class2",24.563
13.937,"G",66.113,69,49.342,37.894,3.956,74,70.808,56.966,"Class1",68.41
29.324,"T",14.12,12,33.811,19.872,52.025,87,26.852,82.763,"Class2",21.719
80.555,"I",90.155,71,53.65,88.267,33.505,6,58.831,83.045,"Class3",40.579
33.974,"K",36.961,14,8.835,23.957,39.315,90,24.764,54.294,"Class2",16.483
88.278,"T",90.672,97,73.489,45.486,29.898,13,59.764,46.133,"Class3",43.717
27.51,"T",33.298,3,25.385,23.005,54.273,87,9.241,42.707,"Class2",24.528
36.776,"K",22.436,9,13.544,30.092,36.249,85,18.22,81.29,"Class2",12.735
23.608,"A",29.551,8,15.435,22.298,24.309,84,16.984,89.264,"Class2",6.326
28.872,"V",36.882,10,14.694,20.897,23.933,89,32.383,44.722,"Class2",18.204
90.002,"I",86.372,64,44.515,32.378,33.264,31,62.595,87.312,"Class3",38.078
29.119,"A",42.829,7,15.767,26.686,36.484,90,28.729,64.737,"Class2",16.404
63.905,"Z",89.621,75,50.69,48.142,31.025,8,61.478,76.535,"Class3",37.108
19.418,"L",65.46,71,50.59,53.911,19.894,74,67.456,74.696,"Class1",68.702
93.896,"I",85.824,90,54.078,38.919,32.182,22,NA,82.278,"Class3",43.872
83.441,"Z",92.133,90,49.569,51.019,32.175,38,62.62,14.726,"Class3",42.723
34.743,"V",24.2,12,16.213,29.134,46.879,85,10.827,68.86,"Class2",18.164
27.67,"W",14.086,10,6.698,19.304,30.543,87,24.317,76.143,"Class2",20.182
9.405,"D",65.314,81,5.314,69.525,11.236,75,68.613,61.208,"Class1",66.49
88.091,"T",90.276,74,66.326,84.543,32.466,31,57.157,6.702,"Class3",39.642
24.74,"I",65.28,55,26.418,42.851,8.45,77,66.243,62.935,"Class1",66.223
8.684,"I",65.164,62,18.973,50.785,22.261,76,68.683,53.975,"Class1",69.342
33.295,"V",39.646,7,17.669,17.193,54.636,85,13.426,82.966,"Class2",13.173
23.614,"X",65.556,34,44.864,51.188,20.561,77,70.03,43.8,"Class1",66.741
24.433,"V",3.803,12,13.108,31.902,39.787,84,33.128,85.565,"Class2",21.294
28.197,"K",30.04,7,16.136,27.643,40.038,87,12.257,84.594,"Class2",18.452
34.113,"T",63.753,4,11.574,22.008,49.907,88,13.705,47.492,"Class2",10.998
58.152,"T",93.94,96,66.083,16.569,32.117,7,63.352,45.094,"Class3",40.63
29.911,"L",65.346,39,44.683,65.073,11.312,77,70.469,46.563,"Class1",65.913
34.12,"V",29.163,10,32.735,28.232,28.026,88,22.242,46.56,"Class2",15.636
15.409,"G",65.496,50,44.582,47.53,3.344,75,65.392,34.291,"Class1",65.753
18.412,"D",66.002,44,16.572,36.707,9.351,72,67.407,39.428,"Class1",65.999
29.052,"D",64.503,56,47.444,31.159,16.688,76,NA,53.532,"Class1",61.026
25.576,"V",33.946,6,20.559,29.209,28.321,86,29.152,45.723,"Class2",12.815
33.256,"V",37.874,5,22.243,26.667,57.326,91,25.906,53.848,"Class2",21.728
24.27,"A",37.503,8,5.657,22.636,37.554,84,33.014,46.1,"Class2",23.381
15.038,"X",65.794,57,28.062,51.884,13.461,75,NA,69.511,"Class1",65.69
23.921,"T",31.345,13,12.222,27.912,57.39,91,28.933,88.698,"Class2",13.309
25.455,"T",22.128,6,25.545,31.015,45.793,89,19.499,69.967,"Class2",18.351
21.759,"K",48.641,13,15.702,25.833,54.379,86,20.382,62.374,"Class2",11.743
18.786,"I",64.936,71,49.785,17.056,21.837,72,69.871,49.815,"Class1",64.699
34.367,"A",33.397,9,21.249,19.063,49.454,88,23.59,41.093,"Class2",20.277
24.916,"T",41.611,10,36.06,31.984,43.473,84,29.212,84.535,"Class2",23.719
36.358,"W",41.165,12,22.077,40.1,50.49,86,28.997,43.453,"Class2",4.83
19.201,"D",65.624,77,57.57,41.765,19.137,74,66.824,52.905,"Class1",68.992
21.85,"T",18.407,14,31.108,34.115,33.064,86,30.223,47.62,"Class2",10.08
36.165,"V",39.165,4,16.206,32.987,31.225,88,31.088,60.2,"Class2",13.489
80.475,"T",91.561,86,50.79,75.655,30.628,14,61.345,95.868,"Class3",40.737
26.551,"A",31.623,3,14.483,18.543,57.163,89,22.152,82.397,"Class2",23.559
23.202,"D",65.821,55,85.118,53.995,3.908,NA,68.172,44.896,"Class1",69.904
31.238,"K",42.893,13,19.846,28.942,57.977,85,14.321,88.307,"Class2",17.412
83.699,"S",92.909,79,67.759,87.806,32.094,NA,63.101,13.499,"Class3",46.741
33.517,"T",39.884,10,2.063,26.219,46.097,85,32.35,42.448,"Class2",16.714
72.276,"I",91.591,74,53.388,77.626,33.995,46,60.513,49.126,"Class3",34.965
18.971,"G",65.484,49,54.745,38.613,14.159,75,67.324,62.035,"Class1",64.97
23.28,"V",42.114,13,21.826,30.728,30.471,88,25.84,43.204,"Class2",24.121
24.815,"V",3.654,7,3.309,28.44,34.193,91,11.643,79.411,"Class2",13.078
21.692,"K",43.444,13,9.817,28.447,51.922,91,19.477,76.902,"Class2",23.317
7.853,"X",65.391,71,0.583,49.518,17.374,74,70.72,65.173,"Class1",68.026
80.701,"C",97.157,63,50.912,72.107,31.026,13,58.927,63.318,"Class3",43.873
24.468,"G",65.916,50,53.375,55.919,7.614,77,69.92,63.299,"Class1",69.412
67.834,"C",87.002,93,56.46,72.981,33.317,25,59.082,42.827,"Class3",40.48
74.842,"T",92.636,67,46.331,40.191,30.271,11,59.947,10.559,"Class3",37.469
59.778,"S",93.935,83,69.674,43.521,33.745,8,59.732,59.549,"Class3",37.359
76.093,"T",97.453,71,71.175,54.428,29.235,31,60.348,86.658,"Class3",37.127
36.231,"K",38.942,14,10.701,38.056,31.002,86,12.566,54.488,"Class2",23.941
84.55,"Z",90.836,63,59.891,82.489,29.219,34,60.355,40.468,"Class3",43.688
79.896,"C",88.922,69,80.247,51.357,30.864,18,62.555,14.007,"Class3",36.698
91.789,"I",92.748,90,59.819,75.706,30.917,18,62.397,73.111,"Class3",32.953
28.987,"A",28.975,6,11.793,21.739,33.35,90,22.784,88.763,"Class2",18.163
88.896,"C",91.018,81,54.119,61.161,31.483,9,61.138,22.564,"Class3",37.284
29.246,"L",65.39,60,29.686,60.103,7.6,76,67.942,68.603,"Class1",67.97
24.684,"K",45.742,7,21.26,24.581,50.68,91,33.946,58.183,"Class2",13.164
79.747,"Z",88.078,86,58.482,15.77,32.704,1,57.42,77.227,"Class3",44.377
31.081,"V",40.062,3,13.684,23.622,50.412,89,12.217,60.628,"Class2",12.439
22.903,"G",65.179,59,29.934,41.565,11.874,73,66.167,45.484,"Class1",66.795
13.868,"X",65.253,79,30.163,67.193,5.574,76,68.568,64.831,"Class1",68.739
81.664,"C",93.831,65,67.263,94.539,31.76,38,61.078,74.418,"Class3",39.443
22.257,"W",38.933,11,28.434,31.159,58.255,86,20.792,52.231,"Class2",12.946
6.945,"X",66.08,50,24.67,39.691,11.018,72,NA,73.551,"Class1",67.957
27.373,"V",46.484,14,19.929,23.069,25.077,84,28.889,43.31,"Class2",15.193
21.894,"A",26.733,9,17.522,25.979,49.533,85,14.863,90.847,"Class2",24.43
31.075,"A",17.09,14,6.589,26.746,39.917,90,17.153,68.685,"Class2",10.617
29.057,"K",15.38,4,8.343,25.837,53.998,84,13.136,84.308,"Class2",8.837
35.317,"V",46.758,7,22.248,33.855,24.289,88,17.337,51.86,"Class2",10.556
30.92,"T",12.934,11,22.023,35.817,45.564,84,9.859,87.849,"Class2",19.59
91.64,"T",92.246,56,70.133,51.604,30.992,2,58.386,74.71,"Class3",37.476
29.031,"V",29.248,12,8.519,35.7,32.589,86,19.93,69.476,"Class2",20.584
8.428,"X",65.246,72,33.032,47.212,9.97,74,66.775,67.108,"Class1",64.572
16.582,"L",65.423,41,53.451,65.868,21.07,73,66.957,62.49,"Class1",64.713
22.925,"V",-8.421,4,20.652,27.203,53.098,90,25.557,58.017,"Class2",16.382
22.997,"A",4.498,11,21.129,18.511,55.513,89,10.354,63.467,"Class2",23.118
22.105,"G",65.304,45,15.284,30.692,22.255,75,68.825,64.41,"Class1",64.486
8.403,"L",64.97,41,26.888,53.193,22.83,75,65.742,72.27,"Class1",68.722
6.765,"I",64.773,48,38.049,38.323,11.533,76,70.555,77.75,"Class1",63.61
74.231,"C",86.29,81,60.016,53.875,31.796,26,63.097,76.73,"Class3",39.438
32.261,"T",26.324,3,7.513,30.577,26.083,90,9.517,68.309,"Class2",18.866
22.581,"K",6.358,4,24.108,24.481,28,84,26.983,44.148,"Class2",13.957
25.733,"T",52.127,5,29.307,29.068,56.834,88,18.129,62.373,"Class2",10.086
31.127,"V",35.662,13,27.088,16.599,33.01,87,11.571,85.971,"Class2",19.912
92.011,"S",97.408,85,79.225,61.584,33.599,20,59.701,43.785,"Class3",39.277
30.639,"I",66.151,39,54.479,52.798,17.272,77,70.061,67.027,"Class1",69.029
26.124,"G",65.503,62,41.556,78.78,17.263,72,69.197,42.033,"Class1",68.693
32.705,"K",39.779,9,27.145,26.662,42.026,86,20.009,49.799,"Class2",6.677
17.46,"X",65.49,79,50.918,53.403,3.414,75,66.79,74.424,"Class1",60.068
27.133,"V",38.628,3,24.916,22.421,46.261,86,20.909,53.679,"Class2",12.366
71.678,"Z",90.624,71,57.474,79.194,31.209,17,58.24,24.681,"Class3",41.578
29.953,"T",44.211,14,23.698,23.867,35.55,91,12.661,67.995,"Class2",28.321
12.302,"D",65.644,60,39.995,57.942,20.327,72,65.841,45.09,"Class1",66.517
31.214,"K",39.71,14,18.002,20.815,30.771,90,14.34,64.848,"Class2",13.122
34.056,"V",19.772,9,33.338,32.743,50.407,87,32.117,40.068,"Class2",16.774
26.766,"W",45.313,12,28.256,25.51,39.134,85,16.695,63.99,"Class2",4.228
28.056,"X",65.458,42,37.284,52.333,12.962,74,67.029,45.283,"Class1",68.622
25.372,"L",65.606,37,33.327,42.449,13.359,74,65.185,69.022,"Class1",64.321
22.428,"I",65.238,81,42.81,70.932,6.626,73,65.387,76.925,"Class1",65.227
31.383,"A",49.375,9,19.194,27.328,49.241,85,11.746,63.493,"Class2",7.953
82.812,"I",90.336,94,58.693,6.686,31.48,20,62.036,23.358,"Class3",39.689
36.233,"W",34.453,11,13.39,17.278,30.378,NA,22.299,69.527,"Class2",16.057
91.924,"T",87.719,71,49.212,83.729,30.087,NA,59.762,48.331,"Class3",40.188
8.291,"D",65.618,86,49.838,64.933,3.998,75,66.892,77.756,"Class1",65.612
26.132,"G",65.129,57,24.073,46.517,5.406,74,66.906,53.817,"Class1",66.739
35.976,"K",38.746,6,5.653,24.212,53.988,88,12.913,49.229,"Class2",13.947
22.479,"A",34.285,14,9.621,22.831,26.7,87,9.848,54.67,"Class2",18.314
89.463,"C",92.472,58,62.669,25.283,31.994,40,60.238,68.397,"Class3",46.548
23.916,"I",65.701,60,11.433,56.543,3.583,73,68.412,49.974,"Class1",69.931
29.761,"I",64.836,60,62.015,51.075,3.54,72,67.149,36.301,"Class1",71.124
27.149,"W",42.086,10,4.376,23.178,58.146,90,19.559,76.226,"Class2",16.554
