"OJC1","TNS2","HZG3","FMR4","QPZ5","POJ6","Output4","NKG7","NRB8","CUJ9","WRT10","QNS11"
53.682,2.055,84.779,37.575,38,46.18,"Class3","I",6.98,82,78.928,3.981
91.404,2.105,99.551,41.455,45,54.208,"Class3","W",3.652,58,53.858,3.547
42.742,64.423,27.613,19.641,60,3.017,"Class2","X",10.949,40,76.577,42.613
91.597,64.248,73.865,45.324,11,93.898,"Class1","S",41.095,23,21.193,31.723
36.619,50.817,51.765,6.759,37,77.3,"Class2","X",27.033,35,79.568,51.093
63.998,1.261,71.183,41.964,50,53.453,"Class3","X",6.126,36,76.713,21.407
76.079,77.918,56.858,57.522,5,91.007,"Class1","Q",37.358,50,20.379,41.446
98.784,36.715,8.373,44.352,84,46.62,"Class5","D",77.982,69,60.956,27.735
31.529,55.702,67.181,40.946,12,38.169,"Class4","H",72.143,11,60.771,27.228
60.996,84.714,50.433,15.703,38,21.345,"Class2","A",38.862,58,76.284,51.061
52.941,33.484,49.786,13.054,47,71.592,"Class2","A",30.639,53,79.516,50.418
22.034,70.493,89.962,88.544,25,35.751,"Class4","F",66.419,14,75.796,30.336
37.647,85.439,81.182,71.635,57,105.288,"Class1","X",10.244,41,22.192,37.894
71.585,1.362,85.729,42.637,48,52.557,"Class3","W",2.701,46,72.151,12.896
59.924,2.21,68.047,40.305,19,45.506,"Class3","P",0.362,49,59.901,4.347
98.787,15.343,24.544,42.891,83,58.571,"Class5","U",71.251,70,57.295,67.494
24.839,51.562,72.313,71.076,28,37.392,"Class4","V",53.652,28,67.154,33.397
99.13,27.485,28.564,44.467,81,76.245,"Class5","C",77.498,55,64.206,59.347
21.247,57.177,64.779,27.784,45,38.135,"Class4","H",29.307,45,58.965,30.486
NA,2.999,37.937,42.412,11,47.319,"Class3","W",1.53,69,85.402,-0.829
20.451,58.634,53.048,64.688,41,36.978,"Class4","Y",46.743,17,65.491,52.46
92.277,1.714,48.236,40.611,76,52.275,"Class3","F",2.163,83,82.78,9.427
47.801,66.498,58.985,25.865,65,-1.207,"Class2","A",11.819,45,80.055,48.677
41.818,1.977,26.009,44.76,69,57.189,"Class3","I",1.978,74,66.564,14.135
73.673,1.249,79.63,37.011,61,58.49,"Class3","F",3.406,83,64.14,12.065
58.413,80.476,63.346,42.207,42,87.909,"Class1","S",25.288,37,31.982,41.393
54.075,88.644,31.09,21.966,60,34.869,"Class2","C",8.301,37,81.701,48.016
53.658,51.061,63.06,43.143,64,71.495,"Class1","P",52.269,28,31.08,19.96
16.436,62.958,54.127,52.368,24,86.402,"Class1","Q",48.082,67,8.736,63.386
69.013,77.329,55.435,39.175,33,96.623,"Class1","S",13.327,76,13.416,72.011
97.907,41.399,38.688,44.583,83,36.373,"Class5","U",78.733,83,59.652,91.462
39.7,72.058,64.312,70.22,64,77.29,"Class1","Q",31.308,55,27.882,29.184
29.994,69.406,82.146,14.412,41,37.182,"Class4","F",14.983,30,75.883,19.629
13.64,63.728,80.069,35.842,37,69.416,"Class1","H",46.47,90,18.07,13.518
31.444,83.995,43.327,61.719,16,NA,"Class1","Q",40.241,56,8.555,53.871
10.52,80.372,67.296,73.08,62,88.422,"Class1","X",43.96,79,21.31,33.32
81.857,1.042,41.459,45.815,53,49.398,"Class3","F",4.767,76,79.643,1.846
44.924,52.108,68.648,46.428,23,73.148,"Class1","P",48.083,77,21.893,52.626
35.522,1.504,72.43,46.208,58,50.387,"Class3","W",6.071,50,68.793,12.915
45.55,89.963,44.802,11.1,44,60.895,"Class2","C",25.048,38,77.377,47.491
98.087,35.151,43.934,43.915,84,23.461,"Class5","H",67.038,63,62.747,61.392
NA,58.083,41.264,26.627,49,-4.354,"Class2","C",43.49,48,77.66,49.544
99.101,46.112,23.278,44.079,85,66.796,"Class5","Z",75.933,57,62.437,68.423
80.242,51.73,49.936,38.639,32,NA,"Class1","X",33.054,54,9.361,4.221
77.046,1.859,39.672,41.963,31,54.7,"Class3","W",4.524,44,77.892,7.732
59.849,1.912,76.868,37.34,77,55.865,"Class3","F",8.184,71,59.694,17.023
42.041,52.319,29.596,17.378,51,16.453,"Class2","X",29.486,58,78.153,47.731
12.239,73.369,59.706,12.912,35,36.755,"Class4","H",75.282,15,59.022,37.116
98.423,36.159,26.148,44.002,77,46.131,"Class5","H",68.469,57,59.539,102.576
27.67,64.778,84.345,35.157,28,NA,"Class4","F",22.294,20,75.843,49.456
NA,40.745,41.945,43.758,86,76.87,"Class5","Z",74.424,61,59.8,118.616
98.305,44.546,29.75,42.306,78,61.355,"Class5","H",75.447,71,62.185,42.245
98.206,28.882,18.34,42.075,85,73.209,"Class5","Z",71.334,70,64.582,46.204
36.264,44.038,83.194,47.903,5,87.922,"Class1","X",19.896,54,6.922,29.294
28.712,55.449,78.201,27.81,21,37.267,"Class4","F",54.3,26,61.075,42.122
98.82,23.027,5.437,44.069,86,21.342,"Class5","C",78.928,72,64.959,115.674
17.644,55.835,85.806,16.83,32,38.257,"Class4","V",6.783,34,73.603,38.293
21.264,56.468,77.12,57.27,51,36.071,"Class4","D",74.199,11,72.894,42.322
24.034,66.599,83.663,49.126,51,38.315,"Class4","Y",49.51,43,61.139,28.023
9.326,1.581,42.89,34.401,26,40.77,"Class3","X",1.609,51,60.013,5.719
60.279,60.045,75.604,53.884,24,69.321,"Class1","H",35.353,73,29.021,58.11
56.277,61.753,74.875,38.257,58,90.375,"Class1","H",22.402,50,9.458,53.732
46.441,62.611,72.355,37.844,40,NA,"Class1","H",24.409,88,16.126,28.308
58.971,81.995,55.831,11.4,63,NA,"Class2","J",30.39,42,80.372,48.59
98.726,23.77,49.854,42.613,93,59.352,"Class5","H",75.657,56,63.63,54.267
98.45,25.635,28.279,44.958,84,51.346,"Class5","C",79.988,62,58.635,71.225
0.514,64.876,51.341,35.011,12,36.849,"Class4","F",40.14,25,62.928,29.33
98.037,22.05,55.755,42.807,85,72.732,"Class5","Z",77.006,57,61.474,65.979
58.942,61.817,61.691,45.757,46,95.067,"Class1","H",42.314,38,17.284,58.075
76.045,2.473,31.684,35.973,12,52.358,"Class3","F",8.639,32,86.61,8.392
53.271,51.809,66.601,43.218,50,79.425,"Class1","P",41.36,85,23.24,32.48
NA,75.327,65.331,34.926,55,86.208,"Class1","H",34.974,45,11.591,60.227
26.062,55.057,70.179,67.784,27,36.872,"Class4","Y",46.675,25,73.297,29.321
98.827,43.528,35.167,44.412,78,37.899,"Class5","U",73.651,73,62.103,112.352
67.092,2.28,49.379,32.712,36,54.619,"Class3","W",5.164,35,51.881,12.242
98.42,20.53,20.903,44.404,85,44.765,"Class5","D",76.981,75,64.151,72.043
24.817,73.6,72.95,26.034,39,39.053,"Class4","F",71.615,30,73.619,40.745
62.464,2.542,53.965,42.299,47,53.633,"Class3","P",5.969,48,74.703,7.776
98.116,15.037,54.336,43.162,86,40.995,"Class5","Z",70,80,55.481,43.434
9.781,51.259,73.72,45.936,14,37.664,"Class4","H",57.7,39,71.468,26.23
47.432,1.89,27.918,44.697,28,46.421,"Class3","W",3.39,85,70.336,11.707
98.475,33.617,7.641,44.289,95,68.516,"Class5","H",79.886,70,57.017,73.449
39.78,59.639,85.266,17.93,26,35.776,"Class4","D",75.557,36,62.434,44.901
NA,44.85,50.013,28.495,66,48.321,"Class2","W",32.458,56,81.379,48.044
54.27,1.206,82.663,38.208,56,42.742,"Class3","W",3.35,49,60.07,6.835
48.234,77.242,32.407,6.346,61,45.901,"Class2","W",8.054,37,78.876,47.034
35.112,60.24,56.004,20.992,37,36.708,"Class4","H",58.609,24,55.754,27.047
59.181,48.039,54.061,48.293,33,77.11,"Class1","P",52.618,86,29.863,33.51
50.039,52.07,61.245,8.541,46,47.229,"Class2","C",19.335,60,78.311,48.312
51.274,1.894,102.097,46.861,29,45.575,"Class3","W",4.598,80,82.326,5.135
29.391,59.141,62.879,62.451,29,91.712,"Class1","P",39.227,70,22.563,22.599
NA,55.216,78.069,31.094,15,36.146,"Class4","V",7.258,18,67.13,35.595
55.97,88.808,37.842,24.78,51,67.063,"Class2","X",39.371,49,81.097,51.375
18.282,60.326,85.198,60.828,22,NA,"Class4","H",67.409,40,67.01,41.658
49.598,29.088,62.608,5.03,67,9.035,"Class2","W",51.139,53,77.357,50.295
49.018,66.313,77.764,9.934,53,62.493,"Class2","A",34.302,38,78.835,47.64
49.583,2.215,49.927,35.359,51,50.299,"Class3","I",2.382,27,84.451,12.966
50.158,56.002,47.497,11.829,44,30.308,"Class2","W",27.939,48,76.155,47.476
98.906,16.686,22.444,43.671,95,63.959,"Class5","H",70.212,79,63.913,33.259
37.495,63.984,68.001,72.928,32,NA,"Class1","Q",17.48,56,9.405,29.714
35.004,70.417,74.572,18.232,35,36.436,"Class4","V",49.434,12,57.312,15.12
50.065,28.689,57.115,14.736,62,16.985,"Class2","X",37.116,44,81.702,49.66
NA,59.584,57.805,29.13,7,96.493,"Class1","X",16.556,54,9.596,56.393
82.314,83.175,52.12,68.932,55,68.73,"Class1","P",32.085,82,17.431,23.451
63.602,87.937,68.319,5.294,50,25.905,"Class2","J",31.721,43,77.172,47.073
65.068,1.274,32.823,40.521,62,53.745,"Class3","X",5.37,45,81.122,13.224
81.277,2.613,59.048,34.621,41,NA,"Class3","I",2.87,78,76.547,9.19
47.247,1.951,103.052,38.231,70,52.121,"Class3","F",8.098,42,84.985,14.943
91.566,1.642,73.103,37.604,16,50.648,"Class3","I",4.146,66,59.638,10.48
78.509,2.558,60.98,43.841,13,50.558,"Class3","W",4.868,52,80.069,8.206
41.634,50.037,29.968,15.2,41,81.159,"Class2","C",50.578,42,80.517,48.06
65.955,2.482,45.039,39.575,14,53.958,"Class3","W",3.688,44,85.163,12.454
43.949,32.409,55.216,13.3,37,44.391,"Class2","W",25.901,48,77.608,46.614
38.048,65.739,45.704,23.538,57,-10.096,"Class2","W",11.499,49,79.031,48.34
98.052,23.244,-13.666,43.466,87,60.155,"Class5","H",77.739,76,60.4,61.622
NA,55.323,76.743,78.009,39,39.46,"Class4","H",76.17,43,73.304,28.773
26.743,62.546,60.803,68.879,51,38.485,"Class4","D",35.886,38,66.466,16.851
25.545,69.987,79.143,55.138,17,39.517,"Class4","V",48.607,36,69.416,26.627
94.702,44.614,71.194,40.058,33,67.603,"Class1","H",17.295,67,18.347,25.674
98.312,41.166,21.063,44.34,85,60.564,"Class5","C",77.667,73,57.228,93.059
22.88,55.154,55.404,12.165,27,38.267,"Class4","F",61.603,38,61.123,27.856
65.867,30.396,20.886,6.402,40,49.969,"Class2","X",21.996,35,81.005,48.713
64.802,46.552,46.531,23.56,48,8.904,"Class2","J",39.338,56,81.649,42.736
72.678,2.995,28.967,32.856,12,45.907,"Class3","P",3.577,40,80.05,12.749
27.63,63.883,77.617,41.404,29,NA,"Class4","H",46.654,17,62.408,36.778
98.142,18.321,29.457,43.713,84,34.188,"Class5","U",76.477,76,57.502,88.648
53.882,28.118,36.012,28.258,39,0.923,"Class2","J",50.771,38,76.579,52.093
73.496,46.254,74.029,57.293,13,NA,"Class1","S",41.751,88,30,38.02
42.272,33.423,41.246,12.028,55,42.116,"Class2","A",44.826,54,77.557,47.831
48.676,2.596,89.599,44.097,24,55.753,"Class3","P",4.123,36,71.575,13.545
13.585,62.379,55.415,81.537,40,37.296,"Class4","V",3.507,42,56.303,17.645
45.741,2.752,49.24,38.484,77,64.215,"Class3","W",3.183,35,79.101,11.953
72.852,82.654,61.058,71.227,21,85.205,"Class1","H",23.479,33,15.291,43.327
9.605,69.356,77.632,63.448,24,36.773,"Class4","F",64.956,15,75.156,40.889
13.571,1.45,13.058,45.413,29,55.82,"Class3","I",3.628,61,51.93,9.912
98.828,22.389,34.583,42.359,87,43.999,"Class5","Z",71.178,69,55.944,39.69
48.688,90.028,61.289,29.644,49,10.098,"Class2","J",10.999,60,77.899,51.336
73.442,49.222,79.282,47.998,62,82.637,"Class1","H",40.361,75,12.786,32.737
46.762,46.665,51.593,63.13,34,89.711,"Class1","P",37.536,69,20.562,71.4
54.525,38.544,59.753,21.591,52,16.259,"Class2","C",16.356,45,77.893,48.893
43.138,78.468,54.686,41.372,49,65.593,"Class1","X",14.418,39,28.803,87.801
58.649,59.641,15.247,12.534,68,20.539,"Class2","X",36.157,56,77.224,48.578
41.527,54.758,42.845,14.403,40,26.48,"Class2","X",45.948,37,77.294,49.195
68.249,2.278,3.626,43.604,19,54.62,"Class3","I",0.986,36,55.934,12.815
51.735,85.157,36.801,18.581,43,31.463,"Class2","C",26.683,55,78.227,49.342
98.865,20.267,49.247,44.928,90,14.981,"Class5","Z",69.69,61,59.805,70.272
98.236,17.426,38.607,42.83,88,62.594,"Class5","D",72.479,83,64.16,84.489
34.817,57.017,70.257,29.945,51,37.617,"Class4","V",61.74,24,66.447,25.548
23.933,73.777,73.167,35.237,28,36.925,"Class4","Y",60.864,43,73.404,25.932
74.859,68.171,97.603,34.711,4,84.117,"Class1","H",47.863,59,6.737,35.298
31.495,63.643,47.489,42.414,19,36.083,"Class4","F",61.549,13,56.544,26.881
98.07,25.814,43.899,42.897,77,64.248,"Class5","C",73.801,75,61.433,89.439
98.688,43.574,24.838,43.868,78,45.145,"Class5","H",78.82,83,64.224,74.292
57.472,62.597,50.503,8.808,42,91.663,"Class2","C",51.482,50,79.307,47.231
98.131,31.868,23.298,42.67,95,28.134,"Class5","D",76.116,59,55.927,58.126
98.296,19.583,30.512,42.687,82,72.172,"Class5","H",72.679,73,56.941,78.591
14.145,55.032,63.956,84.857,32,37.975,"Class4","D",70.389,17,63.993,18.836
98.17,18.62,28.504,43.575,88,55.024,"Class5","Z",69.918,62,55.088,53.102
18.143,51.513,62.135,86.127,46,36.077,"Class4","Y",77.615,44,58.201,37.175
93.096,2.109,38.877,32.67,54,61.693,"Class3","X",6.388,53,51.377,4.21
98.251,45.692,48.236,43.92,77,77.149,"Class5","C",78.311,61,56.658,64.545
98.248,33.159,4.425,42.109,80,64.36,"Class5","Z",68.484,64,59.503,30.308
98.703,27.955,32.288,42.974,87,49.62,"Class5","U",70.821,65,57.381,103.203
73.696,2.803,11.624,36.788,8,49.329,"Class3","X",6.843,58,86.301,22.184
98.367,23.52,4.98,43.486,82,27.582,"Class5","H",77.988,68,59.739,24.403
50.62,81.498,44.689,13.214,57,102.354,"Class2","J",37.106,58,76.455,45.88
70.308,1.151,85.548,45.683,19,58.088,"Class3","F",6.841,75,57.905,12.312
54.102,67.673,40.997,20.849,66,-4.07,"Class2","W",25.296,38,80.745,50.048
98.61,21.98,26.537,42.638,85,70.484,"Class5","Z",69.961,78,61.225,95.737
98.719,26.949,24.982,43.477,84,35.152,"Class5","D",72.252,75,62.795,52.599
45.963,81.2,45.523,14.362,66,37.066,"Class2","W",20.145,62,78.868,50.572
73.833,2.014,70.701,43.588,21,49.695,"Class3","W",7.034,82,87.562,12.408
13.97,71.808,82.741,27.893,35,36.428,"Class4","D",41.095,45,59.832,30.365
36.922,82.167,43.193,7.712,46,46.775,"Class2","C",52.684,54,78.248,50.197
7.714,72.571,84.267,52.005,32,37.242,"Class4","F",47.156,30,66.251,35.705
98.469,40.105,25.915,44.07,89,67.342,"Class5","D",74.11,58,61.432,69.151
24.512,63.506,77.818,32.075,27,34.74,"Class4","Y",69.967,35,63.309,33.838
NA,2.948,89.444,33.861,23,53.922,"Class3","W",4.139,29,75.201,11.604
98.512,27.549,-23.387,43.991,81,32.695,"Class5","D",70.615,64,61.58,77.021
21.433,59.646,80.372,7.33,47,35.726,"Class4","Y",35.993,25,59.778,46.931
66.507,45.297,73.86,41.115,21,78.87,"Class1","P",20.761,49,21.234,37.42
98.358,34.793,23.467,44.923,84,19.253,"Class5","Z",74.655,59,57.571,38.365
47.689,81.053,70.364,72.282,6,80.214,"Class1","P",38.105,35,30.951,24.219
116.168,1.333,72.563,46.117,35,45.173,"Class3","W",0.703,75,53.274,5.806
56.201,47.937,56.549,11.117,37,71.919,"Class2","X",40.475,54,76.283,49.516
25.113,72.729,74.269,24.202,40,37.054,"Class4","Y",76.471,35,57.853,42.61
64.58,76.627,79.73,72.781,43,97.421,"Class1","Q",24.709,32,16.763,44.399
9.052,52.663,70.089,50.073,38,36.852,"Class4","D",52.068,32,70.126,23.877
52.616,60.631,86.084,54.713,40,87.225,"Class1","S",11.032,76,31.965,65.494
28.438,50.911,89.145,8.322,12,37.451,"Class4","H",55.474,42,61.345,49.305
73.104,2.266,65.266,38.544,31,54.443,"Class3","I",7.236,65,66.729,0.159
26.535,70.864,80.88,51.795,25,37.209,"Class4","H",18.756,12,71.54,38.822
35.733,49.113,66.312,75.953,51,78.173,"Class1","S",14.501,80,25.101,53.077
54.543,2.474,82.999,35.785,42,51.163,"Class3","W",7.614,55,84.448,7.313
64.985,1.05,48.063,46.995,52,50.579,"Class3","W",5.896,80,63.288,6.807
49.924,81.192,55.92,15.253,59,30.47,"Class2","X",14.601,40,79.752,47.564
17.593,65.663,70.502,84.748,30,37.978,"Class4","H",35.517,30,62.399,31.987
23.228,55.07,64.94,89.674,37,38.433,"Class4","H",57.948,33,75.22,37.338
60.392,81.517,72.126,5.639,62,NA,"Class2","C",39.457,50,76.334,51.285
81.844,68.949,61.899,34.791,26,70.455,"Class1","X",53.423,34,13.209,60.633
98.03,36.389,53.528,43.415,90,72.414,"Class5","U",70.679,80,64.403,68.791
19.451,55.973,64.678,19.18,41,35.696,"Class4","H",21.57,24,67.95,40.371
16.476,70.904,65.781,43.383,18,35.653,"Class4","Y",19.615,40,73.474,26.34
81.709,1.254,51.726,42.848,73,48.92,"Class3","X",1.791,75,87.021,12.533
42.547,67.291,61.229,58.003,43,38.547,"Class4","D",16.155,26,70.613,40.636
NA,69.721,94.297,74.481,20,38.198,"Class4","D",19.653,35,69.783,43.627
65.876,54.237,16.372,16.869,65,81.464,"Class2","J",21.495,45,76.983,51.221
53.092,31.707,59.453,30.455,39,24.799,"Class2","J",20.569,41,77.119,49.008
98.724,37.636,35.156,44.288,82,61.136,"Class5","D",71.641,83,58.274,74.543
29.583,2.152,54.665,42.52,71,51.522,"Class3","W",6.144,26,86.801,7.361
98.272,33.361,30.936,43.359,88,61.439,"Class5","Z",74.888,63,59.255,66.664
17.909,51.876,78.11,33.196,46,36.149,"Class4","D",46.944,20,65.319,27.711
NA,27.471,35.643,44.202,84,NA,"Class5","U",67.878,63,55.675,72.929
59.494,62.503,49.572,27.844,55,12.552,"Class2","X",8.253,47,76.055,53.276
98.083,16.536,26.698,42.062,80,62.705,"Class5","C",78.544,82,57.522,46.372
98.626,42.914,30.749,43.218,92,72.954,"Class5","U",73.19,71,64.717,69.117
66.419,61.433,59.245,13.632,65,29.957,"Class2","J",13.11,45,77.068,49.823
30.174,51.011,97.676,69.394,32,35.053,"Class4","V",66.311,16,58.285,32.713
99.093,16.463,5.5,43.236,80,81.525,"Class5","Z",75.192,70,63.05,69.561
56.965,48.817,90.764,56.029,28,74.26,"Class1","X",32.257,70,11.848,82.093
42.973,1.47,45.434,46.205,42,48.831,"Class3","X",2.325,58,87.484,5.813
17.084,55.67,72.234,65.106,38,37.273,"Class4","F",70.133,10,74.718,34.258
32.653,55.141,60.4,81.836,16,38.288,"Class4","D",7.251,19,75.265,25.848
NA,33.534,57.203,9.266,63,18.27,"Class2","X",12.858,48,80.6,49.273
28.48,51.882,83.021,11.506,28,38.168,"Class4","V",54.392,32,72.356,38.493
26.377,51.677,57.259,30.112,17,36.81,"Class4","D",41.634,27,57.245,34.055
36.066,84.05,76.248,30.134,68,45.816,"Class2","X",46.4,57,77.743,49.196
98.291,29.44,11.836,43.555,90,46.375,"Class5","C",69.706,71,56.458,75.497
71.998,1.389,80.074,46.192,62,NA,"Class3","F",8.473,39,75.3,-0.025
40.324,29.298,61.048,19.255,63,18.765,"Class2","W",23.227,50,79.163,45.413
47.193,83.087,63.095,12.816,56,49.273,"Class2","W",45.469,33,76.177,48.688
97.904,27.073,27.779,44.267,77,26.815,"Class5","D",79.446,82,58.678,47.039
71.033,2.521,72.594,41.784,18,48.507,"Class3","I",2.631,78,61.257,7.25
102.577,2.542,40.033,45.03,50,48.569,"Class3","P",5.799,38,66.747,18.621
61.155,28.269,56.563,7.856,64,67.392,"Class2","W",20.843,45,80.096,49.488
86.033,1.793,86.514,43.222,35,45.006,"Class3","W",4.032,54,56.487,-3.737
62.012,53.93,44.957,68.634,47,57.09,"Class1","H",10.036,27,14.651,41.989
66.582,1.96,29.028,34.743,37,55.036,"Class3","I",6.349,85,55.743,13.313
63.481,69.374,85.684,33.335,3,95.736,"Class1","S",49.32,64,9.8,27.421
98.178,16.527,37.546,42.684,78,71.922,"Class5","D",69.622,81,59.46,93.471
NA,54.519,41.922,12.15,62,56.664,"Class2","C",29.988,45,78.559,47.576
10.043,53.45,49.049,23.138,35,38.627,"Class4","F",73.167,11,74.919,24.606
47.909,92.559,56.572,10.419,65,22.912,"Class2","W",21.646,52,76.522,52.147
29.899,65.925,78.801,28.587,40,38.443,"Class4","F",62.443,35,57.676,28.304
NA,36.092,52.595,10.927,40,22.586,"Class2","A",48.917,62,78.062,48.224
98.252,33.985,36.292,44.509,78,73.931,"Class5","H",70.903,79,55.331,28.769
69.748,75.867,82.554,63.067,21,76.171,"Class1","Q",50.708,23,8.528,23.405
68.396,64.303,42.611,18.904,67,31.802,"Class2","A",28.783,54,76.016,45.368
98.455,40.241,28.348,44.423,91,62.065,"Class5","C",68.496,78,56.02,58.173
98.761,41.357,35.369,44.754,87,58.86,"Class5","H",75.087,74,62.915,103.138
NA,71.629,26.517,13.84,69,64.795,"Class2","J",15.393,44,79.042,50.279
98.301,15.119,42.277,43.232,85,48.19,"Class5","C",74.32,73,60.569,57.363
28.419,51.421,67.524,32.987,30,38.257,"Class4","H",1.857,24,65.326,22.967
40.845,2.239,55.452,39.403,34,49.177,"Class3","F",2.972,71,86.594,6.368
89.45,62.467,63.8,67.919,41,56.438,"Class1","S",29.426,76,25.226,67.595
53.066,2.252,104.427,41.718,56,53.889,"Class3","I",1.714,66,63.135,15.455
98.581,20.947,5.081,44.295,95,44.248,"Class5","U",70.356,60,63.894,31.279
9.111,67.992,57.052,40.811,18,NA,"Class4","F",64.227,11,62.834,33.35
98.636,17.377,29.397,42.502,80,53.118,"Class5","H",68.837,60,62.579,77.956
34.045,70.243,81.184,42.985,15,74.736,"Class1","S",35.761,30,12.685,39.222
54.273,75.412,69.445,43.026,22,84.12,"Class1","P",35.349,80,24.628,32.785
30.86,57.744,69.579,29.004,20,37.469,"Class4","Y",64.408,40,60.663,21.475
18.513,73.359,66.489,20.334,26,37.308,"Class4","D",41.662,41,61.006,30.693
14.797,52.961,85.349,89.566,22,37.261,"Class4","F",42.021,36,71.329,38.394
10.853,50.808,74.416,47.606,25,38.667,"Class4","Y",40.628,33,59.676,24.573
97.91,33.462,17.163,43.993,86,57.778,"Class5","U",69.85,75,62.089,37.092
97.984,45.045,20.217,42.132,77,50.973,"Class5","Z",70.76,57,58.464,63.183
22.303,65.244,76.082,59.186,54,77.16,"Class1","X",52.353,77,3.808,60.555
38.669,73.157,43.544,12.338,17,36.046,"Class4","F",38.932,12,68.206,21.338
41.857,68.078,35.185,11.026,64,25.746,"Class2","X",50.782,34,77.978,48.908
21.859,52.344,84.887,35.372,24,36.573,"Class4","H",34.117,11,62.05,18.931
NA,57.86,94.586,26.18,23,NA,"Class4","Y",34.914,19,70.285,10.5
37.228,2.326,47.577,35.404,55,48.045,"Class3","F",5.511,39,86.169,9.821
61.955,71.271,58.567,71.705,4,75.477,"Class1","S",26.529,51,20.502,41.761
34.6,59.216,92.522,83.231,28,36.67,"Class4","D",6.272,40,57.883,38.257
58.3,1.385,56.367,42.488,74,54.077,"Class3","P",2.641,76,62.479,10.255
98.673,16.505,23.551,43.194,96,48.947,"Class5","U",77.128,56,64.29,66.278
70.175,67.05,63.755,43.814,47,85.833,"Class1","H",20.518,54,24.057,60.063
50.99,2.151,85.761,36.146,14,43.989,"Class3","W",3.572,48,81.009,19.534
87.578,1.087,54.391,44.189,43,50.796,"Class3","F",5.773,80,87.493,18.257
98.341,32.741,50.104,42.359,92,58.875,"Class5","C",67.637,57,60.455,63.817
98.793,42.761,44.529,44.396,83,41.693,"Class5","U",74.676,74,55.354,88.205
57.63,1.931,67.324,34.855,72,50.43,"Class3","F",4.556,49,78.093,12.812
85.99,2.759,22.606,39.795,12,48.392,"Class3","F",1.2,70,72.479,15.482
22.989,57.455,74.961,53.13,44,36.094,"Class4","V",27.18,11,70.478,38.898
57.55,1.389,55.413,38.45,19,52.768,"Class3","P",3.566,38,53.01,12.93
37.706,51.708,59.228,51.95,51,86.436,"Class1","S",35.531,46,28.461,50.296
NA,51.505,47.684,9.234,49,77.43,"Class2","C",14.69,57,76.781,49.659
16.433,60.849,81.062,34.101,27,36.73,"Class4","V",66.325,14,71.256,36.727
18.896,68.196,73.311,55.409,43,37.516,"Class4","Y",39.955,44,70.978,43.75
60.703,81.627,66.382,33.586,23,75.804,"Class1","P",22.166,46,13.495,45.243
57.142,66.422,66.805,63.15,46,76.46,"Class1","P",15.542,45,5.374,50.024
64.144,68.743,48.117,70.338,63,82.484,"Class1","X",51.749,49,9.262,41.328
70.797,81.203,46.178,23.03,60,42.994,"Class2","A",40.389,32,76.042,49.936
58.958,50.276,41.213,30,57,25.812,"Class2","W",43.03,61,76.685,51.121
26.254,58.255,71.775,55.5,29,35.226,"Class4","Y",37.804,41,56.293,50.311
41.283,74.07,33.499,26.456,56,12.523,"Class2","A",26.232,37,81.563,47.176
81.922,48.008,66.969,62.15,31,81.46,"Class1","S",30.601,38,3.172,41.439
98.445,17.788,0.568,42.341,87,24.911,"Class5","D",76.929,79,59.728,61.455
53.523,80.731,81.177,34.23,58,NA,"Class1","H",43.823,66,29.586,56.045
NA,43.07,31.525,19.644,59,20.052,"Class2","A",31.142,54,78.112,47.574
25.254,62.244,69.635,59.549,20,90.249,"Class1","H",32.293,35,16.296,33.235
43.706,85.361,75.434,29.987,55,92.389,"Class2","W",48.886,37,79.518,49.981
72.23,79.675,61.075,54.669,30,71.859,"Class1","H",11.007,37,3.395,41.201
48.919,67.538,45.247,47.802,13,73.596,"Class1","X",13.872,52,27.19,47.586
24.805,53.668,34.413,65.463,26,75.727,"Class1","Q",53.595,46,16.165,58.933
NA,30.631,55.887,22.496,66,40.463,"Class2","X",29.651,59,78.088,47.858
98.268,16.912,7.019,43.515,93,63.609,"Class5","C",76.404,68,59.105,68.9
10.909,58.697,47.436,56.015,41,37.337,"Class4","H",19.68,31,70.356,44.762
98.398,17.49,24.393,44.034,80,59.887,"Class5","Z",71.734,61,64.04,85.081
98.441,38.016,-0.526,43.487,91,43.624,"Class5","C",68.552,81,59.812,46.856
65.664,2.509,27.34,44.632,17,NA,"Class3","P",0.946,31,64.263,7.424
21.52,67.998,57.773,66.652,37,36.853,"Class4","D",7.679,36,72.192,28.303
44.864,1.538,44.077,33.33,26,54.464,"Class3","P",2.92,32,81.847,15.72
57.305,1.465,67.531,38.108,33,44.396,"Class3","P",0.75,71,68.851,11.832
58.195,38.993,45.797,19.662,44,31.254,"Class2","W",15.065,48,79.168,49.311
21.24,54.23,54.024,43.741,15,38.123,"Class4","H",73.005,23,65.218,45.679
45.927,1.265,66.814,38.979,20,57.921,"Class3","X",6.37,48,89.262,11.645
54.092,60.147,69.811,61.485,42,84.829,"Class1","X",25.649,87,14.547,32.649
31.132,81.462,67.858,67.191,53,89.516,"Class1","P",12.52,50,12.58,31.424
43.384,38.073,34.488,19.992,38,41.296,"Class2","C",52.603,52,79.709,47.589
59.788,1.23,98.851,40.199,38,NA,"Class3","F",7.286,76,56.487,13.467
98.259,27.995,16.93,44.494,95,67.958,"Class5","H",71.034,79,58.642,44.081
45.526,1.919,93.984,32.327,16,48.806,"Class3","X",3.298,36,82.6,9.783
