"PVT1","EWU2","YVT3","XIU4","VWP5","TGF6","WGR7","OEX8","EBD9","JXG10","XGE11","Output7"
"X",18.635,17.653,83.414,71.592,32.898,23.803,7,"A",6.884,71.157,"Class1"
"V",28.764,17.04,83.494,48.549,30.902,22.631,NA,"E",6.095,45.086,"Class1"
"P",71.22,67.064,20.899,12.196,81.454,56.932,66,"Q",81.543,34.518,"Class2"
"O",32.009,32.75,19.046,81.209,21.88,75.547,2,"S",55.737,82.495,"Class3"
"C",80.531,65.566,9.898,28.502,57.183,58.294,67,"E",70.407,24.858,"Class2"
"V",24.624,17.018,84.683,60.483,31.573,24.955,NA,"E",33.672,43.481,"Class1"
"P",69.706,65.042,22.109,34.109,51.278,56.603,53,"E",89.778,75.568,"Class2"
"V",24.359,17.88,87.662,36.696,32.616,39.73,21,"U",26.312,64.904,"Class1"
"P",64.117,67.049,24.332,50.16,75.107,56.51,79,"Y",98.649,79.39,"Class2"
"G",20.93,29.417,18.288,26.082,22.456,65.723,4,"E",54.215,91.921,"Class3"
"G",28.463,48.851,11.037,67.401,16.643,64.83,4,"S",57.712,86.866,"Class3"
"F",22.945,29.692,15.595,75.544,20.207,69.298,3,"G",55.473,88.778,"Class3"
"C",75.977,72.602,20.136,13.19,61.158,65.779,NA,"Y",78.395,61.648,"Class2"
"J",68.003,64.134,11.171,45.741,72.564,60.562,61,"Q",72.608,72.65,"Class2"
"P",20.239,19.47,74.298,67.73,32.045,33.274,18,"S",21.871,70.307,"Class1"
"O",31.028,45.049,14.545,50.32,24.865,71.156,3,"E",57.527,91.003,"Class3"
"F",27.39,24.085,18.852,41.797,22.63,68.365,2,"E",59.397,84.082,"Class3"
"L",37.5,43.529,24.994,60.264,22.124,72.265,4,"O",62.376,85.584,"Class3"
NA,22.9,17.678,90.534,36.504,31.472,9.263,17,"E",5.415,71.028,"Class1"
"G",24.057,33.853,16.863,60.62,11.131,69.545,3,"E",57.959,83.798,"Class3"
"H",29.816,26.743,17.132,50.73,14.757,67.883,4,"O",60.546,91.578,"Class3"
"G",25.026,49.545,16.064,28.843,26.785,66.626,3,"E",62.388,92.459,"Class3"
"P",23.628,17.297,80.77,55.694,31.653,33.986,8,"U",34.942,71.64,"Class1"
"X",23.615,18.285,85.789,58.117,31.888,21.092,8,"E",36.611,72.767,"Class1"
"L",30.167,25.953,12.585,54.222,20.219,69.749,2,"O",63.531,83.694,"Class3"
"X",22.904,18.567,66.366,63.654,32.227,32.374,23,"T",20.586,58.732,"Class1"
"V",26.239,19.5,73.821,63.921,32.25,37.911,17,"S",16.874,58.848,"Class1"
NA,75.296,68.622,27.04,34.146,85.292,69.819,60,"T",84.306,84.855,"Class2"
"J",74.384,73.489,31.093,29.266,87.929,57.659,62,"T",99.604,54.867,"Class2"
"P",25.837,19.861,78.228,68.803,32.182,21.068,21,"E",8.46,63.287,"Class1"
"D",20.839,17.614,98.268,70.811,30.512,-0.153,6,"U",27.549,47.104,"Class1"
"L",19.78,25.186,17.128,44.841,15.581,71.293,NA,"O",56.939,85.064,"Class3"
"W",74.376,67.195,29.579,23.764,54.36,68.645,66,"T",75.172,84.422,"Class2"
"X",21.834,19.043,84.543,43.27,31.353,32.382,8,"T",11.798,56.226,"Class1"
NA,25.842,38.81,6.937,81.006,24.749,67.126,3,"E",55.4,91.59,"Class3"
"P",23.785,19.473,96.642,62.599,32.091,5.051,13,"E",3.484,66.084,"Class1"
"L",24.141,21.935,8.734,39.96,21.038,70.658,2,"D",57.151,83.521,"Class3"
"G",36.375,43.401,19.708,52.495,16.815,70.223,4,"G",57.311,85.713,"Class3"
"X",20.33,18.267,88.079,48.703,32.97,51.727,15,"S",19.602,75.514,"Class1"
"G",30.404,48.524,12.046,31.125,20.311,71.662,4,"E",62.191,83.368,"Class3"
NA,23.261,17.934,80.53,62.971,31.605,13.382,16,"U",29.893,67.698,"Class1"
"O",31.988,37.903,8.695,66.227,19.255,72.32,2,"E",61.655,89.793,"Class3"
"G",27.711,23.242,23.952,69.038,13.618,69.273,NA,"O",61.093,85.795,"Class3"
"P",79.252,72.786,20.352,36.037,66.285,67.803,68,"T",80.476,89.502,"Class2"
"F",40.815,24.549,32.829,27.932,15.301,72.828,2,"O",55.327,91.352,"Class3"
"D",20.03,18.747,65.696,56.014,32.7,8.904,12,"T",3.153,71.516,"Class1"
"Y",21.202,18.747,84.712,57.164,32.493,14.53,26,"U",35.051,67.662,"Class1"
NA,17.2,26.18,11.746,67.394,13.622,73.296,4,"G",61.873,87.625,"Class3"
"M",70.602,68.978,31.438,27.325,82.861,62.543,56,"E",79.852,30.637,"Class2"
"H",24.506,38.607,4.119,52.322,22.239,67.538,3,"E",63.166,82.768,"Class3"
"L",18.739,41.388,12.013,28.66,10.479,72.304,3,"E",56.224,91.672,"Class3"
"M",77.805,65.19,18.793,34.322,79.315,68.998,52,"W",75.828,13.809,"Class2"
"V",20.636,19.656,79.283,66.345,32.492,28.021,24,"T",34.517,66.629,"Class1"
"M",70.049,69.761,16.109,28.202,48.987,59.485,60,"Y",99.767,6.409,"Class2"
"Y",18.852,19.889,89.141,70.494,32.485,40.391,11,"A",10.23,72.357,"Class1"
"C",79,65.274,24.328,26.155,65.59,63.937,63,"W",76.154,16.29,"Class2"
"P",19.636,18.179,74.151,41.892,32.257,18.298,11,"T",33.285,79.294,"Class1"
"C",74.348,70.457,19.276,49.048,61.769,66.642,85,"E",75.041,18.823,"Class2"
"L",20.31,35.759,31.495,65.876,21.782,66.144,4,"G",56.959,82.257,"Class3"
"G",20.047,43.585,14.116,45.266,15.902,71.726,2,"D",56.283,91.967,"Class3"
"Y",21.175,17.689,86.883,65.493,31.008,39.229,8,"S",22.984,58.947,"Class1"
"F",19.937,29.656,11.796,32.444,23.709,68.208,2,"S",60.944,83.045,"Class3"
"P",21.537,19.976,75.463,63.17,31.591,36.519,24,"E",27.796,53.128,"Class1"
"F",29.119,47.362,18.011,57.233,23.289,67.469,4,"G",62.872,81.542,"Class3"
"D",21.99,18.37,73.576,36.871,30.972,35.845,24,"U",3.012,65.187,"Class1"
"L",18.505,44.895,16.971,34.276,30.049,68.849,NA,"S",58.219,83.529,"Class3"
NA,74.133,71.612,23.17,42.979,77.764,55.365,80,"E",68.049,71.295,"Class2"
"D",19.938,18.655,66.423,42.937,32.927,-6.044,10,"S",4.382,82.991,"Class1"
"O",24.785,40.79,21.812,40.651,11.303,68.666,3,"G",54.084,82.763,"Class3"
"F",26.821,33.412,20.529,41.208,21.382,74.763,4,"E",56.665,81.027,"Class3"
"P",20.361,17.333,81.892,45.958,33.149,44.092,22,"E",3.174,56.638,"Class1"
"V",22.085,19.263,87.67,61.206,30.875,14.406,21,"T",21.954,71.54,"Class1"
"P",73.541,66.524,-0.371,44.166,84.923,61.48,59,"E",92.545,81.391,"Class2"
"C",75.108,68.895,-4.587,14.22,90.321,69.336,85,"Y",84.561,69.699,"Class2"
"X",21.586,18.393,86.058,59.585,32.495,11.05,5,"T",31.353,53.951,"Class1"
"O",11.015,41.43,27.982,84.989,20.312,66.981,3,"S",56.677,86.538,"Class3"
"J",78.64,68.018,23.381,16.653,86.971,65.502,89,"T",91.434,89.667,"Class2"
"C",77.352,65.519,13.242,36.425,78.516,49.663,86,"T",79.574,71.764,"Class2"
"G",32.837,22.181,15.436,63.285,18.967,71.356,3,"D",55.068,83.431,"Class3"
"Y",27.05,18.274,86.989,41.181,31.741,16.881,6,"U",22.026,62.606,"Class1"
"F",23.764,21.215,19.301,59.402,17.472,69.889,3,"E",58.716,91.079,"Class3"
"W",77.119,63.235,6.022,39.288,74.851,48.442,90,"E",67.449,12.896,"Class2"
"J",68.964,63.025,23.095,28.292,77.731,62.433,NA,"Q",64.905,75.09,"Class2"
"J",77.717,70.554,20.178,47.202,55.76,54.42,68,"Y",68.816,31.203,"Class2"
"Y",20.76,17.322,95.3,56.631,32.734,15.719,18,"S",23.77,82.753,"Class1"
"Y",24.202,19.342,89.866,45.32,32.502,18.44,23,"A",12.669,44.23,"Class1"
NA,21.246,17.322,87.838,66.442,32.343,20.818,NA,"U",16.595,48.265,"Class1"
"Y",18.589,19.501,93.377,42.686,32.346,27.535,11,"S",5.713,52.717,"Class1"
"J",74.361,65.049,28.278,15.386,71.348,63.503,67,"E",71.616,99.376,"Class2"
"P",67.384,70.355,38.88,38.828,79.516,55.736,79,"T",88.564,6.12,"Class2"
"C",71.971,72.242,4.741,12.478,69.9,71.978,91,"E",95.44,7.646,"Class2"
"M",75.56,73.659,20.289,21.154,83.529,60.959,86,"W",88.924,62.109,"Class2"
"L",26.041,48.283,29.662,44.226,18.18,66.324,3,"O",63.541,84.546,"Class3"
"L",36.406,27.173,16.656,42.243,19.721,74.299,2,"G",54.349,92.422,"Class3"
"W",71.985,70.73,31.754,50.776,60.098,55.383,86,"Q",64.485,62.684,"Class2"
NA,21.56,30.505,12.47,84.695,26.377,70.98,4,"D",54.233,92.336,"Class3"
NA,82.788,72.912,23.193,50.053,79.207,62.594,55,"W",63.172,58.11,"Class2"
"M",75.695,63.454,24.007,26.232,87.964,72.156,78,"W",82.89,34.93,"Class2"
"G",23.195,44.605,17.715,33.775,14.233,73.797,4,"S",63.791,86.962,"Class3"
"V",23.016,18.827,85.344,64.507,32.698,15.607,8,"S",9.122,60.254,"Class1"
"P",23.48,18.25,82.81,47.351,31.223,0.355,15,"E",4.035,43.969,"Class1"
"L",24.746,21.792,26.646,31.093,19.449,78.189,4,"E",55.46,87.226,"Class3"
"M",73.806,70.387,31.1,49.19,82.444,64.252,59,"Q",69.89,49.311,"Class2"
"O",34.056,28.609,22.948,29.075,18.451,72.919,2,"G",59.052,81.808,"Class3"
"W",69.977,64.349,25.828,41.554,91.629,60.715,64,"Y",73.148,6.987,"Class2"
"D",22.869,17.122,83.831,68.371,31.248,20.143,10,"A",21.849,59.692,"Class1"
"V",21.92,19.281,74.368,62.522,32.241,23.528,26,"T",0.194,55.166,"Class1"
"L",42.221,42.367,8.92,63.989,24.077,73.038,3,"G",60.393,91.494,"Class3"
"X",22.513,19.495,84.497,62.154,32.471,5.57,16,"T",15.73,61.935,"Class1"
"C",72.528,72.264,14.897,18.35,53.397,56.642,64,"T",97.338,75.415,"Class2"
"J",73.715,72.459,18.79,43.05,75.553,66.667,73,"Q",71.161,3.182,"Class2"
"V",25.985,17.272,91.021,52.07,32.296,21.001,12,"S",13.619,77.656,"Class1"
"O",18.428,46.585,20.294,84.427,23.875,70.318,4,"E",61.842,88.127,"Class3"
"L",22.49,42.056,30.679,59.932,17.686,69.446,2,"O",57.414,86.971,"Class3"
"W",73.631,68.856,18.622,37.134,72,77.618,76,"T",73.341,15.092,"Class2"
"F",21.245,28.093,21.134,40.532,11.692,72.759,4,"O",62.615,89.644,"Class3"
"J",68.686,66.216,23.363,25.412,64.606,66.677,70,"T",79.119,51.599,"Class2"
"C",68.39,66.965,23.687,18.735,65.058,62.239,58,"T",91.68,27.582,"Class2"
"F",23.373,29.627,30.901,84.907,15.342,71.253,2,"D",62.718,89.758,"Class3"
"D",22.426,18.999,87.101,66.428,31.786,10.586,4,"U",12.943,52.157,"Class1"
"D",21.359,17.517,68.374,63.633,31.076,35.951,24,"A",26.749,69.065,"Class1"
NA,74.523,66.822,28.203,29.74,72.089,64.456,70,"Q",91.914,94.929,"Class2"
"M",73.04,63.178,36.565,17.692,57.663,66.372,62,"T",63.461,81.888,"Class2"
"F",31.311,41.647,10.731,31.04,20.007,71.301,4,"O",58.208,86.861,"Class3"
"O",31.069,38.509,21.383,68.734,21.035,73.719,4,"G",63.914,81.531,"Class3"
"Y",20.095,19.933,94.273,54.326,32.006,47.783,19,"T",36.007,48.163,"Class1"
"P",79.038,68.521,19.564,56.533,66.205,66.726,86,"W",64.742,91.193,"Class2"
"O",26.474,23.842,20.978,57.305,20.953,70.55,3,"G",60.265,89.235,"Class3"
"C",69.813,71.262,37.883,13.764,62.78,67.525,72,"W",69.285,72.955,"Class2"
"O",30.472,23.643,25.535,35.043,10.925,64.954,2,"S",60.606,88.863,"Class3"
"D",25.825,18.241,98.486,42.985,32.793,-12.357,5,"U",20.525,49.179,"Class1"
"D",22.821,18.07,71.93,43.006,32.11,22.877,25,"E",11.466,46.306,"Class1"
"G",28.332,23.166,23.458,52.937,16.291,65.45,4,"S",58.334,87.018,"Class3"
"Y",19.987,17.091,92.323,38.444,32.582,32.371,9,"T",1.951,63.13,"Class1"
"D",22.189,18.479,61.394,62.552,31.095,2.46,6,"A",31.456,69.141,"Class1"
NA,73.421,64.348,20.073,43.442,75.03,64.734,72,"W",97.196,21.512,"Class2"
"D",22.767,17.73,97.193,69.545,33.119,11.128,18,"S",34.702,57.219,"Class1"
"H",33.437,38.621,11.022,65.168,20.596,73.799,3,"E",53.659,83.997,"Class3"
"Y",22.582,18.394,88.972,36.671,31.977,15.352,23,"S",33.53,53.678,"Class1"
"O",21.754,24.403,17.156,54.4,17.87,73.02,2,"E",53.593,83.163,"Class3"
"V",17.182,17.504,96.649,64.616,32.247,3.996,5,"A",13.601,43.329,"Class1"
"M",72.23,63.417,24.883,39.865,73.292,64.846,52,"T",74.824,26.965,"Class2"
"P",76.274,67.43,14.16,37.692,87.64,57.042,90,"T",66.687,16.77,"Class2"
"C",70.262,67.848,33.663,16.654,73.4,63.217,72,"Q",70.371,15.228,"Class2"
"L",29.367,26.843,3.356,57.737,19.736,64.975,4,"O",61.542,86.988,"Class3"
"L",19.194,37.282,18.369,50,12.375,72.437,NA,"S",58.711,84.904,"Class3"
"C",73.155,69.084,15.832,51.411,76.603,49.716,61,"E",87.699,79.771,"Class2"
"Y",21.923,17.031,75.626,63.821,31.45,29.352,NA,"A",1.134,73.478,"Class1"
"C",76.78,70.409,-2.601,51.979,68.113,58.211,59,"Q",76.347,28.07,"Class2"
"G",23.387,34.593,22.761,26.14,23.394,75.928,2,"S",58.493,84.209,"Class3"
"F",28.33,45.611,17.147,30.564,27.28,70.736,4,"S",62.577,91.022,"Class3"
"F",25.92,40.471,18.16,33.602,16.74,70.916,4,"E",56.194,84.283,"Class3"
"D",25.174,17.477,99.945,39.176,32.085,25.02,8,"T",31.62,83.726,"Class1"
"G",32.978,41.455,7.393,26.093,26.947,66.837,2,"G",58.952,87.753,"Class3"
"P",68.823,63.255,37.627,27.345,70.482,73.761,88,"Q",68.196,99.739,"Class2"
NA,21.719,21.543,24.651,28.782,14.821,70.478,2,"S",60.359,83.238,"Class3"
"G",30.233,34.941,21.6,34.202,20.954,71.016,3,"S",53.748,82.494,"Class3"
"P",68.385,71.537,41.029,37.242,70.472,59.88,77,"Y",73.521,61.274,"Class2"
"C",76.652,65.944,43.824,27.809,53.79,70.991,61,"E",77.925,77.477,"Class2"
"O",24.341,48.659,11.278,55.513,13.95,75.022,4,"O",57.595,89.335,"Class3"
"Y",22.987,19.267,90.81,56.721,32.356,9.872,10,"A",31.295,62.59,"Class1"
"H",15.799,40.013,19.431,81.877,20.024,68.474,3,"E",54.046,90.654,"Class3"
"L",30.954,38.607,4.484,60.545,17.218,71.652,4,"D",59.949,85.107,"Class3"
"P",30.221,18.664,94.655,50.335,31.446,9.211,4,"A",0.963,63.478,"Class1"
"W",84.9,63.439,26.424,14.216,72.375,64.536,58,"W",85.78,68.268,"Class2"
"H",33.473,33.575,21.29,60.908,29.865,65.149,4,"D",57.967,85.142,"Class3"
"C",66.46,73.003,13.654,31.971,56.049,57.614,77,"W",79.295,91.139,"Class2"
"W",75.953,63.612,7.297,27.839,74.832,65.756,59,"T",88.125,84.893,"Class2"
"H",28.502,38.424,14.619,37.871,24.734,71.039,3,"E",62.264,88.916,"Class3"
"L",30.09,24.087,13.645,35.933,19.952,69.115,3,"D",55.726,81.771,"Class3"
"W",72.207,71.756,11.8,22.121,55.442,60.659,66,"E",77.675,51.585,"Class2"
"J",69.856,67.219,38.381,53.093,70.232,64.979,58,"T",94.381,38.756,"Class2"
"C",78.049,66.795,27.966,38.717,97.792,56.33,74,"T",73.688,75.518,"Class2"
"J",77.949,68.731,10.635,55.161,66.997,59.812,75,"W",67.923,81.387,"Class2"
"P",71.313,70.944,21.656,41.421,72.352,66.111,81,"E",97.685,56.872,"Class2"
"O",27.56,26.078,24.367,54.138,12.098,70.56,3,"G",59.897,86.745,"Class3"
"M",76.355,68.295,10.354,54.673,50.386,52.695,59,"Q",98.182,27.871,"Class2"
"Y",21.352,18.259,77.315,50.82,30.786,18.448,5,"A",27.249,59.257,"Class1"
"O",23.541,28.638,7.822,58.06,12.786,69.843,4,"E",58.43,92.493,"Class3"
"C",76.931,73.593,-4.976,53.506,69.985,60.379,90,"W",79.634,64.467,"Class2"
"X",23.94,19.884,81.352,36.042,31.036,14.133,24,"T",23.587,84.245,"Class1"
NA,16.669,39.486,16.15,38.561,26.364,63.893,4,"G",56.949,87.79,"Class3"
"X",19.381,18.349,55.317,68.629,31.515,18.051,3,"U",9.168,68.907,"Class1"
NA,29.046,17.403,74.564,49.671,31.635,7.411,20,"A",27.58,82.065,"Class1"
"Y",25.307,18.673,87.241,62.04,34.087,19.457,3,"T",20.946,76.325,"Class1"
"W",71.9,70.262,38.298,17.031,84.217,66.185,63,"W",67.61,57.057,"Class2"
"C",69.984,64.047,24.83,15.537,60.396,66.287,73,"W",70.471,83.902,"Class2"
"C",68.071,71.449,32.706,36.701,71.684,67.994,57,"E",63.144,29.976,"Class2"
"P",78.927,71.331,22.213,13.777,78.163,64.685,62,"W",72.033,65.115,"Class2"
"M",76.416,71.794,21.527,29.765,76.343,69.421,67,"Q",86.546,78.551,"Class2"
"W",70.453,68.1,40.366,21.11,75.253,68.252,NA,"Q",83.766,96.814,"Class2"
"L",28.277,23.205,6.27,66.096,14.882,68.715,4,"E",55.85,81.619,"Class3"
"D",20.672,18.954,66.875,46.484,32.487,28.206,21,"E",27.625,46.362,"Class1"
NA,69.512,68.39,40.702,49.573,65.359,70.785,59,"E",91.793,56.745,"Class2"
"H",15.213,24.703,10.855,55.701,23.535,73.304,2,"S",60.776,83.219,"Class3"
"C",72.987,72.806,36.184,35.286,60.183,69.238,72,"Q",86.04,27.315,"Class2"
"C",71.9,73.407,15.14,34.674,73.217,71.119,61,"Y",70.101,46.17,"Class2"
"O",36.892,30.182,21.042,52.338,23.077,76.653,3,"D",57.985,81.743,"Class3"
"J",72.918,72.521,23.04,42.684,89.092,64.958,53,"W",96.262,79.935,"Class2"
NA,18.1,18.063,75.281,57.471,32.46,21.696,24,"A",23.94,64.044,"Class1"
"X",25.092,18.561,99.231,46.098,32.611,14.403,7,"S",22.275,69.715,"Class1"
"M",70.76,68.691,9.366,57.883,70.7,67.721,69,"E",92.868,51.002,"Class2"
"C",75.177,67.068,-9.622,45.174,70.025,62.891,78,"Y",81.232,57.054,"Class2"
"X",23.209,17.421,90.689,60.175,31.911,18.255,10,"A",0.111,77.374,"Class1"
"Y",22.227,17.746,89.101,41.83,31.441,-4.18,17,"S",32.88,70.646,"Class1"
"C",73.999,71.146,25.155,33.99,76.161,56.492,85,"Q",64.72,89.364,"Class2"
"L",27.077,32.453,19.884,36.758,18.981,68.77,2,"G",58.263,89.763,"Class3"
"P",23.897,18.286,87.492,36.162,31.655,18.684,22,"U",19.423,52.68,"Class1"
"Y",21.255,19.765,108.884,60.57,33.115,0.323,10,"A",0.304,52.586,"Class1"
"D",25.893,18.708,78.345,53.92,32.842,14.672,21,"U",14.274,82.318,"Class1"
"F",20.27,22.224,22.982,36.536,18.552,68.498,NA,"D",58.302,86.328,"Class3"
"P",78.029,65.847,6.534,24.763,72.03,78.381,67,"E",79.161,43.03,"Class2"
"X",22.215,19.216,87.111,62.49,31.55,26.076,18,"U",16.429,71.401,"Class1"
"H",23.782,42.721,18.921,32.111,18.139,65.371,2,"D",60.376,91.682,"Class3"
"M",73.898,64.549,7.258,39.11,67.251,73.161,67,"E",68.183,39.865,"Class2"
"M",71.657,64.44,27.741,33.375,62.61,74.476,83,"Y",78.651,15.326,"Class2"
"M",70.855,66.543,14.359,25.407,66.425,67.339,60,"W",63.307,23.801,"Class2"
"H",19.819,29.472,34.584,57.672,23.059,74.156,2,"O",59.301,86.81,"Class3"
"O",17.719,49.965,11.809,38.859,15.891,74.188,3,"E",57.137,92.096,"Class3"
"D",20.616,18.38,79.408,62.253,32.637,13.925,6,"T",30.236,44.998,"Class1"
"X",22.278,19.602,110.804,40.99,32.448,20.516,17,"A",20.366,52.931,"Class1"
"W",74.004,65.805,1.946,53.878,61.751,69.214,59,"W",93.664,33.009,"Class2"
"F",24.672,28.194,23.47,77.929,14.801,65.139,3,"E",63.121,89.4,"Class3"
"F",18.71,24.322,18.34,75.144,21.998,65.653,2,"D",54.323,82.636,"Class3"
"D",24.387,19.846,86.952,61.483,33.317,34.246,10,"U",14.41,47.269,"Class1"
"J",81.544,68.133,10.664,20.338,80.239,78.092,79,"T",83.234,32.627,"Class2"
"X",23.637,19.007,70.75,36.869,32.798,8.843,14,"E",27.802,45.703,"Class1"
"P",19.547,18.367,78.317,40.476,31.768,24.806,9,"A",15.937,65.709,"Class1"
"H",20.301,38.39,24.551,46.543,15.471,69.622,2,"D",63.934,91.466,"Class3"
"P",69.223,63.53,38.593,44.031,69.973,70.415,68,"T",67.49,51.633,"Class2"
"C",70.514,65.326,18.141,52.428,36.202,68.598,61,"T",95.539,6.682,"Class2"
"X",23.395,18.831,84.436,54.098,32.293,36.763,4,"T",20.518,55.441,"Class1"
"X",23.495,19.096,70.7,66.536,31.627,4.448,7,"U",28.527,69.139,"Class1"
"L",19.547,45.198,22.953,68.285,21.15,69.282,2,"D",59.978,91.207,"Class3"
"P",22.27,17.959,91.966,46.698,32.069,26.751,24,"A",32.079,66.246,"Class1"
"D",22.028,18.711,82.729,68.917,31.797,20.711,24,"T",6.891,49.868,"Class1"
NA,21.137,18.795,116.493,64.62,31.697,12.984,13,"E",29.115,67.48,"Class1"
"C",69.424,71.107,49.065,25.885,57.986,75.819,83,"E",97.543,60.966,"Class2"
NA,22.112,17.894,78.485,71.268,31.785,44.335,25,"S",22.8,79.262,"Class1"
"O",14.56,28.176,18.6,29.323,11.592,64.099,4,"O",55.493,85.175,"Class3"
"X",23.917,19.976,80.196,45.311,32.251,27.53,18,"T",0.597,62.687,"Class1"
"M",70.707,70.816,25.856,38.172,76.739,62.653,77,"W",98.838,54.364,"Class2"
"L",36.654,34.732,7.563,59.367,13.034,64.184,4,"D",60.746,92.053,"Class3"
"P",75.737,73.936,8.455,53.143,57.33,65.422,69,"Y",98.745,69.762,"Class2"
"M",72.632,73.82,35.733,52.255,55.257,70.698,84,"T",94.33,77.748,"Class2"
"J",72.421,67.332,37.183,21.891,59.506,76.478,55,"Y",71.559,28.992,"Class2"
"O",29.128,42.686,13.413,84.231,22.529,69.655,4,"D",53.293,92.688,"Class3"
"L",27.026,46.926,10.738,50.93,23.667,67.483,2,"G",54.491,89.265,"Class3"
"F",22.162,28.454,11.432,46.797,18.707,69.494,3,"G",60.896,81.082,"Class3"
"G",41.451,32.194,17.017,60.036,12.356,72.193,3,"E",59.953,86.284,"Class3"
"M",69.33,69.853,17.212,17.648,82.329,55.206,78,"Q",87.5,34.487,"Class2"
"W",75.068,64.776,23.631,45.192,69.965,57.331,80,"Q",79.204,70.836,"Class2"
"D",24.195,18.372,74.342,65.724,32.694,-8.613,22,"S",16.046,67.507,"Class1"
"P",21.546,17.657,80.487,48.786,31.949,13.279,14,"U",18.934,66.107,"Class1"
"D",21.949,18.869,83.914,55.216,31.487,16.724,23,"A",7.268,62.865,"Class1"
"P",71.241,67.326,42.005,38.995,59.865,69.949,71,"W",64.273,84.418,"Class2"
"V",22.809,19.951,69.492,55.155,32.187,21.38,22,"U",33.756,73.024,"Class1"
"G",37.39,34.678,15.673,84.918,18.423,69.965,4,"S",58.138,86.135,"Class3"
"X",20.882,17.079,86.639,48.852,32.022,18.381,6,"S",0.085,43.743,"Class1"
"L",30.457,26.82,17.132,63.246,14.696,73.606,2,"E",58.358,91.503,"Class3"
"O",17.325,39.178,14.006,62.349,24.162,70.433,3,"E",54.649,88.363,"Class3"
"O",29.794,47.141,7.492,59.028,20.088,69.532,3,"G",59.057,85.708,"Class3"
"F",24.193,48.547,9.382,30.989,16.471,71.405,2,"O",53.507,91.311,"Class3"
"D",19.987,18.05,82.411,42.106,31.156,7.476,12,"U",36.691,52.698,"Class1"
"Y",22.29,19.232,74.259,48.578,31.808,31.833,7,"A",12.106,81.549,"Class1"
"L",24.769,46.346,19.628,33.606,22.359,72.33,3,"G",54.968,84.109,"Class3"
NA,24.661,19.887,45.72,38.203,32.382,21.324,21,"E",10.278,56.618,"Class1"
"J",72.262,64.653,8.185,15.514,71.639,65.117,91,"Y",84.098,66.598,"Class2"
"J",73.275,66.988,22.135,42.229,71.432,55.817,53,"Q",87.973,60.923,"Class2"
"W",70.686,71.518,15.407,27.221,75.145,53.015,72,"E",81.056,94.649,"Class2"
"Y",20.467,17.971,74.45,62.923,32.983,20.546,NA,"A",1.647,56.572,"Class1"
"C",74.391,65.964,13.59,41.434,72.665,59.923,90,"T",64.874,67.793,"Class2"
"Y",15.11,18.684,85.97,46.437,32.189,25.2,24,"E",28.991,75.367,"Class1"
"C",69.818,65.98,5.386,31.772,77.438,83.231,63,"T",96.225,40.048,"Class2"
"J",72.629,72.844,22.693,13.724,61.643,65.267,52,"W",92.573,65.341,"Class2"
"W",70.677,67.166,-1.123,18.412,84.383,64.695,NA,"T",95.792,48.708,"Class2"
"M",68.675,67.103,8.626,12.751,54.007,65.57,76,"Q",83.085,63.268,"Class2"
"P",72.41,63.029,36.401,38.887,75.03,64.803,80,"E",89.514,39.783,"Class2"
NA,73.999,71.837,18.777,40.69,75.327,76.223,58,"E",88.598,48.022,"Class2"
"L",30.683,30.895,7.245,73.889,18.632,69.313,3,"O",57.892,91.59,"Class3"
"O",17.961,40.312,20.39,84.633,17.384,68.802,3,"S",56.251,85.399,"Class3"
"G",25.782,49.342,22.135,44.736,24.38,69.531,2,"G",59.82,86.974,"Class3"
"V",19.326,19.565,87.616,43.587,30.937,39.841,5,"A",1.432,82.242,"Class1"
"C",73.134,71.166,32.448,25.011,53.382,64.492,86,"E",65.609,96.568,"Class2"
NA,26.428,17.163,83.567,53.458,32.747,6.277,6,"U",30.734,70.547,"Class1"
"F",25.22,41.007,27.755,44.742,15.142,71.539,4,"E",60.296,83.169,"Class3"
NA,69.706,71.892,10.704,32.05,68.927,62.344,68,"W",81.486,77.831,"Class2"
"P",75.009,63.609,25.021,41.308,66.778,63.059,80,"Y",99.2,15.079,"Class2"
"P",73.249,70.622,8.297,41.586,57.457,68.456,89,"Q",81.135,70.505,"Class2"
NA,21.915,18.064,92.725,37.239,32.357,49.563,10,"S",30.562,81.979,"Class1"
"J",72.379,73.772,22.093,28.129,59.935,59.597,78,"Y",79.52,61.467,"Class2"
"P",75.767,67.74,36.074,44.434,73.17,62.509,71,"T",99.794,88.225,"Class2"
"W",69.899,70.241,-0.533,31.134,71.494,75.832,59,"E",86.528,72.157,"Class2"
"Y",21.533,17.461,85.492,60.563,32.46,28.123,NA,"T",28.143,58.139,"Class1"
"D",26.31,19.851,83.976,65.569,31.918,25.608,NA,"E",7.579,80.052,"Class1"
"P",20.673,19.061,92.757,59.513,31.175,48.57,19,"T",16.032,80.937,"Class1"
"P",72.819,69.062,15.634,48.874,87.686,63.546,70,"E",90.916,32.296,"Class2"
"P",24.224,17.196,73.242,64.059,31.781,25.104,17,"E",6.109,81.603,"Class1"
"X",24.641,17.077,81.872,42.603,32.763,21.821,20,"E",23.044,46.711,"Class1"
"P",21.051,17.726,95.881,48.749,32.349,25.245,14,"A",25.894,55.578,"Class1"
"M",70.55,64.822,18.226,14.299,66.927,59.817,NA,"Y",73.762,74.344,"Class2"
