"YHS1","MVY2","ZDE3","XWB4","BPA5","UKA6","WYP7","JSM8","Output14","MGV9","QEF10"
63.744,61.378,74.58,"L",65.029,74.839,21.877,9.542,"Class4",17.453,93
63.625,46.381,55.448,"L",51.401,21.84,21.981,35.489,"Class4",20.397,94
35.388,54.846,67.36,"V",46.166,88.169,16.46,61.866,"Class1",61.906,19
62.986,NA,12.529,"F",27.141,15.09,21.466,26.641,"Class4",9.799,72
77.216,74.743,39.831,"I",51.583,26.591,21.108,5.683,"Class4",10.876,91
33.646,46.597,57.639,"B",39.798,36.5,84.098,51.349,"Class2",51.226,88
50.666,74.339,50.39,"K",43.49,97.63,38.245,86.198,"Class1",68.808,19
67.583,78.471,34.224,"L",53.333,16.246,20.857,23.615,"Class4",20.165,64
90.835,81.697,48.796,"O",41.498,30.177,21.213,12.972,"Class4",14.55,74
18.732,26.945,59.504,"K",45.351,90.008,6.664,85.643,"Class1",74.315,19
67.36,56.605,47.031,"C",91.365,21.012,21.523,28.411,"Class4",17.755,80
49.089,49.52,30.636,"F",17.45,20.514,80.392,43.831,"Class2",NA,87
18.16,60.797,47.98,"R",46.401,95.413,24.319,85.479,"Class1",67.481,19
60.894,13.122,24.674,"V",45.671,88.435,6.804,63.172,"Class1",56.903,20
76.939,82.691,56.95,"T",45.9,95.194,17.537,64.698,"Class1",45.266,19
57.066,66.849,58.151,"Y",47.905,88.765,4.7,66.87,"Class1",55.97,19
35.949,44.826,2.232,"R",22.194,32.602,67.646,53.191,"Class2",NA,87
89.69,71.78,21.138,"I",56.2,46.922,21.362,9.829,"Class4",12.964,62
74.196,34.325,51.373,"T",47.401,88.133,8.018,70.67,"Class1",25.484,20
12.608,66.517,47.057,"T",45.556,97.799,26.446,59.88,"Class1",59.393,20
52.909,47.135,73.343,"F",22.598,36.739,59.768,64.482,"Class2",33.095,87
62.168,30.747,20.823,"O",52.825,47.649,21.228,21.472,"Class4",15.051,80
52.129,67.487,39.527,"R",46.587,93.161,19.683,93.675,"Class1",64.868,20
49.725,83.039,67.533,"L",11.796,49.533,40.752,58.196,"Class3",92.721,51
39.273,64.861,48.075,"T",46.16,94.715,3.526,75.639,"Class1",58.45,19
52.897,44.757,83.913,"F",44.546,62.557,67.973,57.392,"Class2",44.017,87
50.494,83.98,64.406,"H",21.638,47.955,33.219,48.718,"Class3",83.186,66
68.021,72.626,65.589,"Y",45.776,89.445,9.054,69.842,"Class1",35.669,19
24.675,8.402,63.854,"K",47.889,97.887,22.062,54.449,"Class1",42.677,21
24.759,48.187,75.972,"A",40.422,45.63,79.509,46.366,"Class2",41.123,87
86.657,50.397,41.46,"L",56.423,64.149,21.398,34.51,"Class4",11.965,78
53.014,26.546,47.896,"T",45.576,90.264,12.07,41.17,"Class1",NA,19
53.379,86.692,66.546,"H",21.73,56.644,43.139,77.216,"Class3",93.629,63
51.026,79.862,66.819,"W",26.952,51.69,-1.498,58.855,"Class3",94.961,66
80.83,35.149,28.094,"I",74.363,25.92,22.074,20.855,"Class4",20.189,66
87.569,55.728,34.285,"O",95.346,53.914,22.21,18.89,"Class4",19.237,68
70.187,75.184,22.55,"I",39.316,61.558,21.466,20.961,"Class4",9.965,61
65.796,31.61,36.798,"Y",47.01,92.47,27.517,33.863,"Class1",71.948,19
69.492,11.326,41.238,"R",47.282,88.214,17.943,49.888,"Class1",80.848,19
45.812,86.986,66.06,"O",22.05,48.751,15.247,67.91,"Class3",NA,54
35.116,26.408,64.261,"K",45.837,89.121,30.624,99.7,"Class1",40.599,20
35.89,18.265,61.625,"Y",46.133,89.293,11.8,55.875,"Class1",47.019,19
39.565,8.907,52.772,"K",45.025,89.981,14.765,68.665,"Class1",57.822,19
45.332,82.401,66.685,"H",25.729,56.475,39.166,62.847,"Class3",86.87,63
67.826,76.731,57.637,"R",47.802,88.966,29.853,53.834,"Class1",65.255,19
39.096,NA,58.989,"B",43.877,78.827,73.026,61.478,"Class2",52.993,88
49.617,35.6,65.942,"V",47.472,91,16.985,32.097,"Class1",63.325,20
46.313,81.978,66.213,"H",29.33,57.038,11.28,68.606,"Class3",92.865,58
34.402,NA,68.213,"R",38.974,63.207,78.709,63.839,"Class2",47.119,88
48.632,72.959,59.73,"Y",48.044,95.206,8.495,55.136,"Class1",52.392,21
73.946,58.527,64.032,"I",58.063,68.683,21.232,18.438,"Class4",9.959,92
56.698,84.579,62.612,"W",17.098,52.701,22.174,69.068,"Class3",82.683,69
40.685,NA,65.769,"L",12.486,53.438,31.145,69.137,"Class3",85.237,64
73.952,51.472,41.052,"F",39.342,5.591,22.237,24.995,"Class4",20.508,63
89.342,49.674,49.439,"C",51.05,15.892,21.92,37.565,"Class4",7.207,92
52.825,NA,63.414,"T",46.988,89.126,17.462,94.709,"Class1",72.572,21
42.942,NA,64.438,"H",19.038,54.196,51.345,62.451,"Class3",93.725,60
82.079,53.193,31.334,"I",74.788,32.29,21.732,20.191,"Class4",14.693,93
38.872,44.312,31.822,"F",17.039,76.287,82.166,52.866,"Class2",33.724,87
75.472,10.938,57.439,"K",46.279,94.035,20.749,73.277,"Class1",80.334,20
79.578,33.691,45.782,"T",46.553,94.379,25.288,67.626,"Class1",78.378,19
48.528,79.444,64.881,"W",21.647,53.897,20.327,81.258,"Class3",89.338,61
80.809,67.748,43.57,"L",48.471,60.075,21.027,16.656,"Class4",18.525,64
59.712,27.93,39.336,"K",47.957,93.733,22.793,73.467,"Class1",48.528,19
26.339,NA,46.498,"M",21.036,67,67.342,52.302,"Class2",46.235,88
54.565,60.504,55.654,"T",44.664,94.744,9.457,55.061,"Class1",71.497,19
45.39,82.462,66.118,"T",16.415,51.9,29.938,81.558,"Class3",89.407,56
47.758,43.256,33.631,"M",15.468,71.663,71.434,60.184,"Class2",NA,88
73.034,57.434,47.707,"K",46.535,89.881,25.659,69.608,"Class1",35.871,20
12.691,32.345,54.525,"Y",47.244,90.182,25.179,66.942,"Class1",52.904,21
24.53,43.234,39.005,"B",31.26,79.698,53.958,52.871,"Class2",44.485,87
47.58,83.735,64.755,"O",17.559,56.861,44.779,46.963,"Class3",85.837,61
11.365,72.93,56.424,"R",45.738,93.114,9.013,52.967,"Class1",59.085,21
91.158,36.833,31.564,"C",73.154,20.063,21.683,29.303,"Class4",10.07,91
51.545,45.037,75.105,"B",20.357,58.73,74.485,60.739,"Class2",48.555,87
75.034,78.968,46.063,"F",27.963,7.813,21.183,29.953,"Class4",9.123,64
61.964,28.716,52.586,"R",47.641,89.451,28.539,45.922,"Class1",61.594,19
69.129,35.837,27.356,"C",63.59,84.065,22.013,25.754,"Class4",14.805,64
81.025,62.501,18.492,"I",83.349,35.568,21.76,23.25,"Class4",12.664,89
40.845,81.217,67.062,"T",17.632,50.979,24.702,50.206,"Class3",94.871,61
65.767,77.463,38.113,"O",93.408,74.255,21.929,31.681,"Class4",18.877,68
78.339,64.694,27.836,"F",69.409,38.539,21.175,20.07,"Class4",16.938,65
19.835,50.152,48.616,"K",48.774,94.038,17.467,89.813,"Class1",78.064,19
58.302,80.32,67.653,"T",8.845,54.992,25.156,66.245,"Class3",83.675,54
82.523,58.086,37.762,"I",85.883,4.758,21.769,32.919,"Class4",10.121,93
24.168,80.806,60.383,"T",46.628,96.235,18.339,54.566,"Class1",38.678,20
57.502,82.59,64.863,"O",16.273,50.082,22.181,47.394,"Class3",84.457,59
52.496,84.577,64.632,"L",22.636,49.214,31.116,73.727,"Class3",92.325,65
44.271,72.371,46.057,"R",47.573,89.488,9.616,58.843,"Class1",46.396,21
85.498,45.378,32.896,"C",69.868,72.533,21.331,28.006,"Class4",16.371,68
25.276,45.146,64.006,"R",25.152,67.443,64.113,65.954,"Class2",34.689,87
41.193,46.537,70.683,"F",32.793,45.555,65.559,47.741,"Class2",37.401,88
49.763,44.264,25.811,"F",27.513,67.922,61.316,56.664,"Class2",45.984,87
88.998,81.035,47.328,"C",70.582,79.004,20.583,15.002,"Class4",16.595,73
40.784,NA,66.246,"H",16.162,51.441,9.326,74.204,"Class3",86.016,53
49.181,84.508,67.935,"T",7.008,51.654,30.116,56.492,"Class3",89.171,57
63.299,76.455,39.607,"L",62.86,19.962,21.254,22.247,"Class4",7.313,97
61.63,NA,36.086,"Y",45.898,92.129,14.8,18.686,"Class1",59.351,21
44.708,79.097,66.423,"L",26.547,51.232,-11.212,63.1,"Class3",87.403,66
66.718,79.467,22.291,"L",64.095,24.717,21.439,16.146,"Class4",18.271,95
65.514,53.826,53.393,"F",48.603,67.487,21.547,18.47,"Class4",14.845,93
35.048,46.192,24.268,"A",27.346,20.066,100.904,46.288,"Class2",41.558,87
87.971,36.023,38.232,"C",67.912,28.414,22.006,24.929,"Class4",18.589,93
56.601,80.204,65.396,"T",20.415,47.658,41.557,62.255,"Class3",94.804,62
64.144,30.725,18.436,"F",77.423,15.711,21.918,20.888,"Class4",20.041,70
73.764,80.377,23.119,"L",58.823,68.978,21.66,22.431,"Class4",15.017,75
51.605,81.412,66.884,"W",14.892,50.137,46.676,64.794,"Class3",93.018,69
79.408,33.178,53.665,"Y",47.726,97.448,7.591,65.152,"Class1",80.726,20
55.7,19.226,35.969,"V",45.485,91.831,22.334,44.488,"Class1",79.345,19
52.781,74.998,47.803,"R",48.273,96.464,19.1,56.311,"Class1",69.694,19
22.602,43.463,-19.294,"A",9.191,75.796,77.37,54.024,"Class2",38.153,88
23.453,47.958,25.558,"R",24.56,81.075,91.574,49.939,"Class2",31.558,87
76.505,51.872,55.615,"F",60.858,38.454,21.112,13.788,"Class4",16.828,68
51.056,43.459,8.974,"M",11.19,71.297,101.82,43.87,"Class2",34.179,88
69.667,64.259,38.338,"V",47.598,92.148,19.483,33.267,"Class1",62.232,21
34.495,49.741,65.334,"A",20.482,16.4,94.157,55.702,"Class2",53.454,87
82.806,35.013,50.936,"C",62.324,78.069,21.071,18.189,"Class4",15.096,69
31.103,44.125,7.166,"M",29.269,29.185,71.355,53.739,"Class2",52.197,88
24.803,46.914,84.098,"B",9.101,29.934,62.952,40.208,"Class2",34.149,87
50.248,84.019,65.427,"T",22.391,53.939,32.291,54.023,"Class3",92.308,66
43.776,46.761,72.482,"F",12.484,72.414,74.665,52.003,"Class2",39.893,87
34.88,45.78,48.939,"M",25.734,45.576,37.729,24.279,"Class2",32.903,87
88.633,59.52,14.756,"O",62.551,25.889,21.621,21.769,"Class4",NA,86
48.694,24.146,56.038,"R",45.244,95.325,16.94,63.018,"Class1",22.764,21
60.011,22.385,47.475,"K",45.549,94.912,7.805,55.494,"Class1",80.125,19
41.41,NA,60.214,"T",46.06,95.715,15.802,63.93,"Class1",25.949,21
54.896,86.353,65.811,"T",10.458,48.176,7.885,67.761,"Class3",90.709,65
53.684,45.301,18.198,"F",11.656,52.408,67.867,58.883,"Class2",49.65,88
40.198,45.922,60.675,"B",19.165,50.866,67.029,61.02,"Class2",33.208,87
65.576,56.831,61.985,"Y",47.429,96.028,8,108.253,"Class1",42.599,21
69.889,75.311,61.203,"T",45.669,88.453,31.421,95.646,"Class1",53.22,21
80.872,72.306,56.63,"O",61.312,67.571,21.964,35.351,"Class4",19.311,70
48.202,79.596,67.233,"H",18.767,56.222,34.308,61.541,"Class3",91.37,59
47.144,79.674,65.458,"H",12.437,56.945,12.516,62.917,"Class3",84.792,55
73.28,65.737,37.023,"I",67.127,34.803,20.938,10.093,"Class4",10.162,77
43.502,NA,8.698,"F",13.195,46.197,65.126,45.026,"Class2",53.674,87
47.627,44.838,35.644,"M",17.616,42.675,77.946,48.764,"Class2",45.428,88
44.374,79.387,65.718,"H",11.963,57.631,36.296,77.902,"Class3",89.372,62
65.929,35.866,22.97,"F",39.25,16.938,21.678,17.378,"Class4",8.988,89
41.165,44.419,34.001,"R",20.645,83.021,84.272,49.999,"Class2",42.388,87
51.159,45.959,98.966,"A",8.276,69.541,85.901,42.511,"Class2",38.723,88
47.902,44.462,47.13,"B",14.051,71.713,61.464,53.544,"Class2",47.944,87
43.167,47.397,114.703,"R",9.436,22.881,86.453,54.583,"Class2",NA,87
38.772,46.861,5.914,"F",38.029,74.921,90.072,45.677,"Class2",32.403,87
51.491,82.83,66.374,"H",28.148,53.045,9.474,31.178,"Class3",89.128,69
86.367,72.798,18.301,"F",38.465,55.145,21.416,16.861,"Class4",11.264,72
76.777,52.721,48.498,"L",44.277,12.636,21.919,29.2,"Class4",16.622,89
56.345,82.363,64.757,"O",16.787,55.29,20.786,68.913,"Class3",86.635,56
59.684,71.237,41.154,"Y",46.791,91.537,21.124,84.928,"Class1",32.364,20
28.113,47.573,43.635,"M",39.957,33.944,90.819,49.919,"Class2",37.705,87
46.265,86.563,66.99,"H",16.174,47.469,44.896,74.887,"Class3",83.902,60
47.212,44.13,65.545,"R",21.02,67.906,54.395,59.021,"Class2",53.864,88
41.985,44.945,8.874,"R",21.77,37.574,62.546,41.851,"Class2",54.521,87
89.345,70.971,29.74,"I",83.527,23.214,21.645,11.506,"Class4",15.155,68
27.641,NA,59.34,"Y",44.103,96.222,12.202,71.458,"Class1",62.161,19
67.648,55.755,78.737,"O",49.875,61.17,21.521,15.822,"Class4",16.982,99
43.758,9.57,61.297,"K",46.766,96.074,18.497,75.987,"Class1",69.79,21
89.006,62.892,38.96,"F",85.934,36.104,21.404,27.014,"Class4",10.141,68
40.657,80.268,66.585,"L",16.337,48.936,16.533,52.731,"Class3",NA,65
23.017,43.416,21.609,"M",43.086,16.297,68.812,67.588,"Class2",46.455,87
25.329,NA,52.958,"R",47.219,95.676,35.132,73.607,"Class1",49.678,20
51.402,83.334,63.821,"H",14.748,53.588,28.937,74.515,"Class3",93.068,57
41.971,54.889,37.491,"R",46.174,90.54,14.804,65.324,"Class1",77.07,21
24.716,47.823,49.379,"A",23.724,79.825,67.97,50.739,"Class2",52.281,88
88.146,78.789,50.992,"F",58.621,53.394,21.339,29.049,"Class4",16.245,65
65.48,75.587,51.229,"T",47.77,89.413,19.682,70.599,"Class1",81.911,21
67.049,34.754,28.329,"C",48.401,65.303,21.316,23.305,"Class4",13.873,61
90.217,73.623,50.921,"L",62.569,66.726,21.143,24.448,"Class4",14.195,87
49.976,81.295,66.483,"O",23.222,57,5.813,66.437,"Class3",NA,66
63.948,11.048,39.788,"R",46.94,94.342,22.112,94.802,"Class1",73.659,20
58.924,82.613,65.262,"H",15.795,47.363,11.911,70.763,"Class3",93.514,65
43.879,48.882,62.629,"B",15.331,48.114,66.646,53.232,"Class2",53.825,87
67.663,65.741,18.284,"O",46.787,44.785,21.434,22.23,"Class4",16.484,64
46.39,80.996,67.845,"T",18.297,54.547,20.152,67.077,"Class3",83.379,54
83.535,49.926,52.173,"C",71.556,16.346,21.447,23.667,"Class4",15.419,96
41.273,79.919,64.627,"L",18.366,55.571,30.6,71.236,"Class3",91.007,69
85.837,81.977,58.332,"O",51.17,74.95,21.522,17.407,"Class4",8.538,99
64.726,62.887,24.229,"L",38.589,19.03,21.512,15.876,"Class4",11.163,65
87.776,66.647,31.276,"I",30.449,66.929,21.844,21.106,"Class4",20.671,85
61.949,69.483,53.896,"V",46.006,96.435,12.941,70.333,"Class1",38.633,19
37.583,75.42,58.747,"R",47.384,94.396,24.372,52.614,"Class1",67.914,20
61.67,49.799,26.25,"L",54.375,21.043,21.921,22.095,"Class4",13.602,76
43.555,46.479,100.561,"B",12.974,54.244,97.75,49.083,"Class2",NA,87
34.766,47.707,15.653,"M",33.857,80.217,90.42,57.459,"Class2",51.217,87
38.635,NA,79.624,"F",39.728,36.778,70.682,57.292,"Class2",31.884,88
57.795,79.92,66.791,"O",20.334,52.911,26.316,31.899,"Class3",85.719,54
52.982,81.51,66.324,"H",25.619,56.446,12.267,59.88,"Class3",86.883,58
89.467,34.274,25.982,"O",71.813,70.239,21.625,29.47,"Class4",19.842,90
53.445,54.093,50.145,"K",45.421,88.6,22.252,56.131,"Class1",23.937,20
46.401,75.541,53.373,"K",47.502,89.727,14.701,71.18,"Class1",81.976,19
51.657,81.761,65.516,"T",24.162,48.327,14.96,47.76,"Class3",93.614,58
74.142,19.123,38.324,"T",45.869,94.863,12.596,47.864,"Class1",69.503,21
45.071,79.249,67.345,"W",25.491,51.009,17.186,63.582,"Class3",86.286,54
11.497,27.801,69.807,"T",45.801,88.161,28.036,52.23,"Class1",48.602,19
44.004,79.528,66.032,"W",25.358,55.777,46.386,51.683,"Class3",94.798,56
21.759,26.824,64.872,"Y",45.803,91.487,23.32,57.961,"Class1",49.382,21
37.119,47.362,22.913,"M",42.749,71.21,76.081,64.984,"Class2",40.553,88
88.575,33.162,40.277,"C",55.278,58.627,20.841,34.466,"Class4",20.956,80
58.961,82.746,66.978,"O",21.532,56.541,6.524,58.786,"Class3",88.673,56
18.399,20.878,48.919,"K",47.619,88.257,18.376,80.003,"Class1",76.712,21
80.475,66.095,52.29,"O",60.661,48.217,21.452,38.122,"Class4",10.588,86
48.722,80.136,65.873,"L",18.235,53.31,27.52,62.633,"Class3",90.409,58
28.56,48.302,33.329,"A",11.974,71.615,73.973,52.97,"Class2",52.418,88
66.579,43.718,44.883,"L",18.739,40.014,20.947,16.087,"Class4",7.778,87
50.789,47.475,40.734,"A",14.941,63.778,82.375,41.004,"Class2",35.618,87
31.533,47.663,44.957,"T",45.791,96.033,19.572,40.644,"Class1",70.37,20
70.179,NA,43.586,"R",45.822,96.173,32.353,80.552,"Class1",45.192,19
87.677,75.745,60.007,"C",52.701,7.714,22.179,33.06,"Class4",12.569,90
13.636,20.696,43.535,"R",46.242,92.135,32.805,44.073,"Class1",76.817,19
64.888,80.01,5.635,"L",53.369,9.113,21.458,17.525,"Class4",9.309,65
48.844,20.113,47.066,"R",47.189,88.078,11.467,32.514,"Class1",37.879,21
32.668,45.706,-0.498,"A",29.562,57.84,81.716,63.39,"Class2",34.745,88
50.44,86.785,65.287,"W",19.691,55.752,16.581,62.529,"Class3",92.958,67
83.517,36.686,40.435,"I",76.514,40.108,21.665,17.918,"Class4",9.756,84
73.745,33.315,11.427,"L",73.883,79.658,21.611,13.563,"Class4",9.892,79
53.332,81.931,65.26,"H",25.56,52.433,34.869,66.908,"Class3",85.712,66
49.356,85.292,65.691,"W",9.774,56.742,2.592,53.079,"Class3",91.248,68
53.878,14.141,49.265,"R",46.514,89.534,14.426,30.64,"Class1",39.498,20
54.473,81.944,65.279,"W",10.127,53.482,38.777,44.985,"Class3",93.601,58
52.189,86.212,64.522,"W",18.802,54.557,35.086,45.204,"Class3",94.89,52
24.074,42.048,53.773,"V",46.401,97.133,19.569,56.355,"Class1",71.567,19
29.452,43.374,48.38,"B",32.869,45.609,93.851,48.051,"Class2",45.245,88
76.413,26.006,53.287,"R",47.839,95.859,13.718,60.951,"Class1",46.699,20
49.278,85.125,64.127,"H",32.072,50.218,21.768,54.209,"Class3",94.344,63
22.892,46.122,77.395,"B",42.364,56.221,66.838,33.228,"Class2",42.203,87
43.649,82.745,66.512,"L",22.562,56.972,26.642,59.335,"Class3",81.429,54
45.042,85.271,65.678,"W",9.029,47.789,56.474,69.918,"Class3",81.53,53
86.889,81.616,52.304,"F",41.852,31.495,21.807,24.718,"Class4",16.723,64
54.738,81.336,65.039,"T",20.172,55.507,14.117,41.513,"Class3",83.589,55
34.45,NA,50.63,"F",24.082,79.828,79.733,46.824,"Class2",51.141,88
31.636,65.457,47.277,"Y",46.968,96.722,17.677,62.208,"Class1",61.853,21
88.19,42.816,25.537,"F",48.153,43.421,22.057,14.609,"Class4",7.935,77
53.435,46.784,63.976,"B",30.16,18.046,47.08,58.486,"Class2",39.381,88
34.106,NA,72.74,"A",27.619,86.955,54.765,33.865,"Class2",31.306,88
80.227,80.896,58.881,"L",45.575,24.256,21.171,14.089,"Class4",8.945,65
58.463,83.385,65.406,"O",20.48,57.405,7.659,55.819,"Class3",83.423,68
58.639,80.431,64.8,"L",24.345,47.149,33.207,80.576,"Class3",91.185,51
50.359,NA,43.667,"T",47.847,97.247,16.8,94.617,"Class1",80.278,19
49.717,44.995,53.504,"T",45.228,96.346,18.461,62.02,"Class1",23.728,20
80.39,50.33,47.739,"F",51.627,34.975,21.774,23.937,"Class4",17.491,82
86.309,59.197,54.117,"I",66.955,75.381,21.354,10.78,"Class4",10.435,66
85.118,47.774,37.113,"L",55.612,38.121,21.515,27.519,"Class4",8.976,77
73.001,82.629,48.338,"O",53.244,10.249,21.154,27.931,"Class4",15.661,99
62.402,12.453,53.912,"V",47.46,90.341,3.118,89.986,"Class1",61.17,19
46.947,81.032,66.577,"H",21.813,55.058,30.118,51.843,"Class3",92.767,68
33.45,48.438,53.697,"M",33.385,38.136,82.062,52.653,"Class2",45.288,88
44.643,80.922,65.246,"W",22.898,52.866,29.008,59.58,"Class3",81.942,58
40.722,45.995,65.42,"A",28.759,35.394,72.461,44.671,"Class2",32.617,87
46.457,84.189,64.927,"W",30.101,47.601,9.917,61.113,"Class3",NA,62
24.123,43.241,-0.659,"R",6.718,74.8,82.871,44.209,"Class2",35.75,88
42.772,84.612,65.974,"L",9.241,55.145,15.116,61.349,"Class3",89.088,58
67.851,81.408,62.326,"F",44.231,34.182,21.743,8.063,"Class4",20.359,82
88.739,68.066,50.74,"C",83.997,74.18,21.311,28.471,"Class4",9.487,98
51.694,83.695,65.411,"L",12.775,49.473,17.522,54.924,"Class3",87.481,57
74.947,39.161,38.063,"O",60.707,7.176,21.412,38.114,"Class4",18.828,73
34.86,NA,13.256,"M",22.676,27.72,81.637,50.761,"Class2",34.066,88
44.066,83.959,65.149,"L",21.726,51.265,41.988,49.16,"Class3",89.416,55
29.205,43.661,44.062,"M",30.218,23.191,45.247,74.009,"Class2",31.964,88
19.113,27.633,49.52,"Y",44.673,92.012,24.312,48.543,"Class1",59.885,20
23.641,49.654,18.282,"B",26.905,30.061,45.316,35.793,"Class2",40.61,88
79.184,59.062,59.699,"K",46.266,89.997,23.087,56.707,"Class1",57.084,19
86.383,75.308,31.084,"L",59.009,49.652,21.925,24.553,"Class4",8.593,72
48.965,47.201,99.709,"M",1.478,50.61,72.753,40.722,"Class2",NA,88
50.984,86.303,67.365,"L",31.297,52.023,30.322,70.337,"Class3",85.519,52
40.968,82.053,65.233,"O",20.751,55.363,44.274,45.31,"Class3",81.607,69
29.786,47.333,-1.972,"M",26.629,75.888,74.856,56.313,"Class2",39.111,88
41.803,84.724,63.83,"O",14.518,48.456,52.36,64.809,"Class3",82.172,55
46.559,25.611,48.803,"Y",45.139,88.32,30.171,101.694,"Class1",76.833,21
60.074,47.085,47.984,"Y",45.546,91.129,17.479,65.569,"Class1",25.581,20
31.785,13.186,49.978,"T",45.594,96.838,20.415,66.998,"Class1",44.481,21
54.755,67.724,50.287,"R",47.729,96.171,11.77,76.965,"Class1",80.363,19
64.511,42.445,22.414,"L",47.995,79.971,21.176,31.505,"Class4",8.674,70
72.119,63.243,45.274,"O",61.432,19.046,21.876,20.46,"Class4",15.237,97
22.077,44.933,89.488,"R",21.136,41.538,77.289,59.501,"Class2",53.063,88
45.614,82.356,66.035,"O",33.328,48.909,30.881,57.149,"Class3",91.841,53
16.858,74.86,50.537,"V",47.288,92.695,13.169,65.392,"Class1",69.125,21
24.064,48.418,42.913,"B",27.48,62.428,80.219,26.611,"Class2",32.632,87
31.78,45.887,51.213,"B",29.392,52.313,101.39,40.703,"Class2",49.299,87
88.791,62.631,46.692,"C",67.996,55.021,20.968,24.189,"Class4",15.469,97
42.085,30.431,43.497,"K",45.066,91.263,26.948,43.928,"Class1",49.084,19
41.577,81.209,67.39,"O",29.066,53.237,5.758,62.096,"Class3",91.257,59
23.476,64.224,51.729,"K",46.834,88.986,12.125,49.641,"Class1",26.006,19
41.864,80.835,66.738,"L",21.491,50.394,11.375,53.431,"Class3",85.221,67
14.438,82.549,68.346,"Y",46.156,88.537,9.388,87.863,"Class1",49.242,20
44.639,82.543,65.767,"O",12.636,48.912,28.688,58.383,"Class3",NA,61
40.003,81.562,66.846,"T",17.937,55.323,30.054,46.863,"Class3",82.375,53
49.73,49.645,26.658,"A",7.241,49.927,84.014,59.673,"Class2",37.639,87
86.937,54.62,40.699,"I",52.682,8.012,21.651,10.798,"Class4",17.011,64
72.797,66.883,37.441,"C",64.115,5.218,21.233,31.429,"Class4",18.049,79
40.097,44.923,46.031,"B",2.626,30.492,56.903,60.472,"Class2",36.716,87
57.763,80.145,66.663,"H",15.688,54.085,21.583,62.782,"Class3",82.438,52
38.858,46.589,88.695,"B",26.677,53.949,38.68,60.517,"Class2",53.917,88
89.233,64.311,26.105,"C",39.957,25.341,21.376,23.782,"Class4",19.442,63
71.683,33.795,48.343,"O",46.962,67.369,21.575,12.192,"Class4",NA,96
22.333,46.059,45.173,"B",33.987,84.535,85.552,52.785,"Class2",34.18,88
23.832,57.174,49.784,"Y",48.236,95.25,23.813,65.15,"Class1",41.631,21
48.269,43.57,-28.228,"M",37.307,78.279,93.418,63.41,"Class2",52.141,88
23.763,9.452,46.098,"Y",47.404,92.4,15.898,55.676,"Class1",41.125,21
29.259,47.49,-5.897,"M",30.976,66.142,103.142,61.798,"Class2",54.302,88
58.889,85.723,65.162,"H",16.228,48.382,33.63,76.064,"Class3",94.459,55
51.18,49.474,64.182,"A",32.902,61.707,82.232,38.712,"Class2",40.529,87
62.304,61.175,64.991,"O",46.475,26.175,21.389,16.317,"Class4",15.23,62
50.886,86.175,65.405,"O",12.967,56.639,26.453,61.062,"Class3",92.558,61
45.386,81.427,67.994,"L",6.752,57.047,5.758,64.084,"Class3",86.249,63
88.412,51.403,41.012,"L",59.415,26.675,21.389,14.519,"Class4",20.546,64
28.036,49.271,95.147,"M",16.758,29.208,99.44,58.793,"Class2",NA,88
52.422,41.902,45.819,"T",45.817,95.058,15.51,84.944,"Class1",80.53,19
57.47,79.807,68.928,"H",23.14,54.679,4.023,46.628,"Class3",NA,68
69.733,81.089,52.902,"L",86.513,70.067,21.22,6.786,"Class4",NA,82
43.98,46.141,22.791,"F",23.452,17.991,85.615,53.161,"Class2",48.828,87
38.281,57.78,61.771,"R",47.589,95.534,20.127,57.687,"Class1",43.734,19
91.369,64.163,45.45,"I",39.966,28.655,21.891,30.11,"Class4",NA,81
50.386,49.882,52.177,"R",17.396,84.041,66.644,40.631,"Class2",33.544,87
66.718,13.409,59.362,"Y",46.799,91.563,21.123,62.443,"Class1",53.03,19
67.352,33.945,20.784,"F",46.072,17.044,21.156,25.294,"Class4",9.996,91
51.128,23.424,63.997,"T",45.803,97.977,18.218,77.423,"Class1",49.862,20
30.372,NA,65.366,"V",46.065,90.83,19.934,82.963,"Class1",NA,20
23.613,48.294,60.582,"R",7.058,20.932,67.924,42.085,"Class2",43.235,87
23.509,49.902,46.037,"R",16.994,69.93,68.19,64.626,"Class2",47.502,87
28.786,45.084,39.281,"F",37.278,51.798,59.51,44.351,"Class2",41.245,88
52.537,48.173,63.844,"F",34.36,74.938,74.513,43.993,"Class2",NA,88
51.147,49.215,56.201,"R",12.679,21.871,47.337,61.652,"Class2",39.084,88
74.776,51.596,40.276,"O",47.006,43.832,21.465,18.607,"Class4",13.201,84
75.217,70.166,50.691,"L",45.428,64.731,21.686,30.638,"Class4",16.655,73
54.038,NA,69.76,"H",17.048,50.021,24.841,54.722,"Class3",89.694,66
49.095,22.379,65.825,"R",47.34,96.45,13.965,55.121,"Class1",69.266,21
61.931,74.212,21.495,"F",94.056,21.713,21.015,17.818,"Class4",9.14,75
42.558,NA,65.454,"H",13.423,57.063,35.609,68.093,"Class3",93.683,60
16.845,40.114,55.029,"K",45.846,89.276,19.349,32.859,"Class1",47.999,20
57.683,85.408,63.663,"T",14.396,50.497,44.069,65.954,"Class3",87.69,58
30.815,46.698,111.379,"B",25.832,57.899,79.654,53.401,"Class2",31.377,88
44.828,43.307,50.393,"R",9.186,80.375,56.078,73.133,"Class2",38.593,87
