"LRK1","POA2","UYL3","SLN4","EXB5","HQG6","KLP7","ALR8","PHS9","RST10","Output13","VRU11"
34.92,"J","G",64.714,17,40.072,87.6,51.261,82.098,25.526,"Class4",48.418
31.648,"J","P",64.761,23,25.944,86.095,45.356,88.978,26.831,"Class4",47.344
66.386,"K","H",81.637,76,62.014,65.66,49.506,67.663,71.03,"Class2",74.264
48.142,"B","H",71.179,78,58.72,69.847,50.241,68.877,70.516,"Class2",74.98
33.147,"X","Z",38.999,60,14.641,13.633,48.937,84.775,81.016,"Class3",89.53
75.999,"Q","P",24.447,70,55.55,58.591,17.624,80.545,72.409,"Class1",87.728
40.059,"P","E",30.327,39,20.764,36.925,44.933,37.341,33.53,"Class5",26.216
69.391,"O","S",43.577,58,13.974,7.557,65.3,84.399,58.738,"Class3",69.559
29.247,"S","Z",83.452,77,70.199,71.375,53.328,67.888,69.737,"Class2",79.865
94.659,"O","S",28.123,64,40.441,57.287,45.971,83.186,47.471,"Class3",78.751
19.84,"P","H",32.255,39,21.792,108.737,57.549,33.073,30.328,"Class5",27.139
77.784,"X","G",55.855,55,20.393,42.543,63.191,86.625,69.339,"Class3",77.584
44.918,"Y","G",37.629,39,17.475,22.234,18.484,59.2,29.604,"Class5",26.063
35.137,"G","U",64.677,19,18.886,83.915,39.145,88.751,24.253,"Class4",42.491
93.995,"F","Z",22.418,60,45.014,24.801,38.06,84.04,66.569,"Class3",74.974
35.481,"A","U",64.414,11,9.525,85.756,50.548,80.5,24.864,"Class4",50.795
41.138,"S","M",80.416,82,45.55,55.061,55.429,68.57,69.948,"Class2",NA
58.592,"H","Z",80.462,76,66.152,59.317,49.04,67.316,70.421,"Class2",78.265
35.465,"K","Z",76.504,77,59.044,77.914,56.331,66.651,69.376,"Class2",67.474
49.34,"J","B",36.663,40,17.958,0.611,39.361,34.399,3.804,"Class5",22.504
65.769,"B","T",75.69,82,74.251,67.343,56.877,68.241,68.125,"Class2",83.362
35.807,"J","G",64.798,17,35.313,84.891,58.904,89.354,25.98,"Class4",52.495
77.585,"J","P",37.146,88,28.043,54.104,27.047,79.209,80.61,"Class1",91.107
35.371,"U","U",64.148,17,16.273,87.024,58.62,82.891,26.379,"Class4",53.4
57.992,"S","T",76.873,80,72.616,59.038,50.721,66.877,68.735,"Class2",80.177
77.559,"A","E",74.709,78,31.501,45.176,22.923,75.838,81.275,"Class1",88.344
39.608,"A","M",64.104,16,7.162,83.761,36.238,83.955,22.28,"Class4",46.489
49.034,"Y","H",32.348,41,20.996,14.988,26.002,19.347,25.171,"Class5",22.138
66.51,"F","S",40.652,55,34.434,47.145,64.311,84.483,66.415,"Class3",64.371
44.484,"B","D",83.349,87,61.718,71.49,51.97,67.295,71.027,"Class2",78.783
13.01,"K","D",71.348,81,52.348,63.707,51.772,65.357,72.019,"Class2",87.322
75.451,"F","U",52.853,64,55.287,1.381,45.89,83.901,73.588,"Class3",72.696
64.359,"H","H",34.896,33,21.92,36.104,15.228,38.311,34.519,"Class5",23.049
65.112,"G","Q",47.657,52,36.929,71.175,25.368,84.246,71.62,"Class3",81.512
36.031,"J","P",64.413,12,24.047,81.899,57.33,83.195,25.181,"Class4",53.469
90.589,"L","H",81.173,84,69.854,55.493,49.983,64.738,68.829,"Class2",85.68
78.884,"C","P",46.699,83,45.223,34.519,23.709,84.041,86.603,"Class1",91.565
43.835,"H","D",NA,82,40.038,65.879,52.216,69.267,69.245,"Class2",88.132
57.333,"X","Z",20.906,52,11.714,36.094,67.292,83.886,74.418,"Class3",95.608
75.678,"X","S",25.613,64,62.493,8.214,40.247,82.901,72.005,"Class3",66.748
34.058,"A","M",64.382,26,26.982,83.785,40.614,83.96,24.956,"Class4",53.813
76.118,"Q","J",15.717,84,43.806,46.717,26.704,78.423,67.163,"Class1",88.618
77.36,"C","K",60.277,41,50.422,25.503,28.901,79.129,78.853,"Class1",91.154
51.628,"V","L",36.549,36,21.99,50.337,13.872,30.271,58.429,"Class5",27.337
70.876,"X","U",31.687,60,13.378,65.057,70.34,83.06,55.087,"Class3",89.927
59.275,"L","H",69.114,77,44.232,66.57,50.712,66.269,71.183,"Class2",77.115
74.932,"J","A",63.314,64,52.422,41.424,17.745,76.493,81.771,"Class1",88.485
37.116,"A","Z",64.693,25,11.138,87.243,37.611,91.923,24.7,"Class4",49.502
44.227,"H","B",36.51,34,18.902,83.923,67.002,24.749,42.268,"Class5",25.994
76.354,"Q","J",49.631,86,86.298,52.029,16.208,78.556,77.144,"Class1",88.54
41.143,"J","G",34.801,42,18.259,-15.825,11.361,10.967,62.768,"Class5",24.108
75.64,"Q","K",70.728,77,79.471,40.431,23.113,71.703,87.806,"Class1",90.224
55.788,"Y","H",37.348,32,15.533,61.861,54.068,65.001,53.099,"Class5",24.961
84.332,"J","H",28.118,42,16.217,82.353,20.716,40.577,58.601,"Class5",23.947
39.079,"V","B",31.799,30,20.053,96.284,86.437,44.123,63.165,"Class5",25.928
75.304,"H","S",56.875,58,42.081,26.457,52.661,82.849,61.911,"Class3",75.061
57.998,"K","Z",85.565,82,40.68,58.764,53.92,66.524,69.829,"Class2",82.729
76.825,"J","E",24.226,79,52.199,39.77,19.312,83.497,93.501,"Class1",87.42
75.27,"Q","J",27.592,48,70.945,34.671,11.193,65.353,66.73,"Class1",88.278
62.674,"H","U",17.591,58,17.485,40.415,35.773,83.195,59.878,"Class3",96.669
71.063,"P","H",28.816,42,19.022,89.172,64.59,18.128,65.966,"Class5",NA
39.212,"G","U",64.85,12,9.524,89.211,45.235,80.473,26.93,"Class4",53.447
67.691,"G","G",57.961,52,37.974,79.703,68.72,85.338,47.9,"Class3",94.532
92.257,"F","S",29.897,62,62.877,57.975,59.368,84.023,67.168,"Class3",NA
79.064,"J","H",35.001,34,20.646,32.494,40.526,5.067,35.764,"Class5",25.365
59.112,"K","M",NA,80,75.075,78.272,54.898,66.536,69.307,"Class2",85.371
30.728,"G","Z",64.564,13,20.006,83.059,49.997,86.366,24.979,"Class4",46.334
33.603,"J","P",64.344,19,31.988,87.455,41.046,91.196,21.233,"Class4",48.497
34.622,"J","U",64.417,13,23.645,85.247,53.35,79.708,28.33,"Class4",NA
76.254,"U","P",13.564,58,52.019,46.674,20.995,86.201,64.844,"Class1",87.567
35.553,"A","M",64.251,26,22.393,83.69,43.225,83.887,22.001,"Class4",51.168
56.931,"Y","G",31.061,30,17.857,54.931,22.717,5.874,26.319,"Class5",27.154
38.587,"G","U",64.521,27,21.567,84.172,51.358,89.384,24.86,"Class4",53.942
58.949,"H","D",77.571,79,58.507,63.628,49.414,69.109,70.818,"Class2",79.433
36.94,"H","E",34.339,37,21.813,44.211,10.78,61.379,46.365,"Class5",22.546
21.864,"H","E",28.006,34,16.162,85.478,51.505,41.788,42.989,"Class5",24.437
32.851,"B","D",75.189,87,78.964,62.045,50.04,68.057,70.894,"Class2",82.37
76.185,"J","A",28.935,39,25.835,24.233,16.934,84.574,73.716,"Class1",92.613
78.691,"A","K",76.658,42,29.757,69.94,9.804,70.73,84.394,"Class1",92.647
55.964,"H","L",34.85,30,19.761,84.185,48.445,54.739,-11.11,"Class5",25.642
37.393,"G","G",64.968,21,13.865,89.132,51.529,90.582,25.633,"Class4",52.834
67.085,"H","G",12.841,59,41.416,92.475,61.472,83.889,53.454,"Class3",78.626
73.546,"X","G",45.769,64,38.55,40.422,29.203,82.145,58.801,"Class3",64.726
74.719,"A","A",73.16,41,25.18,61.177,26.068,84.473,82.979,"Class1",NA
44.612,"P","B",29.568,33,17.692,33.754,84.072,59.283,44.665,"Class5",22.641
86.845,"H","U",33.736,57,40.286,57.321,67.402,83.011,57.292,"Class3",83.023
72.734,"K","M",86.873,82,75.085,62.79,50.974,70.096,70.085,"Class2",83.32
36.935,"A","Z",64.318,17,39.974,85.954,56.355,92.321,23.887,"Class4",48.294
66.097,"K","M",86.58,83,54.101,65.585,54.33,67.357,67.234,"Class2",87.497
57.079,"H","D",87.904,85,60.223,78.47,50.202,67.974,69.879,"Class2",80.799
79.83,"A","K",53.406,66,33.318,38.106,25.156,75.746,86.138,"Class1",NA
67.492,"L","Z",72.199,87,73.986,60.613,50.852,66.263,69.088,"Class2",82.527
76.165,"Q","A",36.226,75,79.55,26.816,26.902,72.434,76.184,"Class1",92.122
38.193,"U","P",64.708,28,31.542,86.084,45.657,85.431,23.645,"Class4",43.641
76.752,"C","A",55.898,66,78.76,33.408,15.721,88.102,79.824,"Class1",88.632
34.817,"U","U",64.592,11,28.754,83.211,51.513,89.674,24.567,"Class4",NA
51.282,"H","U",11.856,53,19.836,-3.587,47.026,84.999,60.283,"Class3",NA
25.003,"J","L",29.353,40,18.886,68.204,24.798,39.845,61.266,"Class5",23.35
36.64,"J","Z",64.358,16,21.949,83.147,45.575,86.147,25.153,"Class4",50.509
59.133,"H","G",45.683,59,62.497,28.125,37.845,84.36,75.509,"Class3",86.732
33.611,"J","G",64.68,11,29.594,88.277,51.969,85.35,25.137,"Class4",48.75
58.751,"G","S",25.583,64,52.896,38.628,50.533,84.428,49.397,"Class3",70.706
79.143,"H","S",31.186,57,30.79,56.784,44.69,82.949,59.528,"Class3",85.362
34.139,"F","P",64.199,16,31.16,85.54,50.484,85.047,23.393,"Class4",55.581
28.164,"H","E",31.871,41,21.802,95.666,17.42,57.243,20.998,"Class5",25.216
47.033,"L","D",87.974,80,60.779,66.411,51.257,69.108,70.766,"Class2",77.074
31.905,"U","G",NA,16,28.201,83.357,35.304,87.074,26.471,"Class4",49.495
77.238,"Q","K",15.8,70,19.106,34.666,14.067,93.829,84.183,"Class1",90.709
71.761,"L","H",85.11,88,59.545,63.557,54.823,65.229,69.9,"Class2",NA
61.771,"O","U",48.141,64,31.793,17.819,55.972,82.754,66.969,"Class3",90.54
38.797,"G","M",NA,18,28.966,84.829,47.707,91.136,26.142,"Class4",46.283
67.697,"B","M",78.005,77,65.697,63.609,52.098,68.737,68.487,"Class2",69.931
79.533,"F","G",37.866,57,61.997,55.662,37.672,84.942,74.883,"Class3",67.283
47.2,"H","B",30.454,31,20.762,73.354,45.121,63.528,11.436,"Class5",23.603
65.321,"G","S",33.629,55,43.596,35.803,36.665,83.007,58.215,"Class3",71.629
76.288,"C","J",68.139,88,81.099,62.844,28.496,78.518,83.501,"Class1",89.417
33.105,"U","P",64.626,17,27.959,85.211,35.49,85.897,24.41,"Class4",41.586
45.76,"Y","H",28.551,42,21.249,42.227,56.965,29.19,17.326,"Class5",23.094
49.816,"J","E",35.511,31,17.307,49.206,60.608,37.383,5.775,"Class5",24.157
24.974,"B","H",75.227,82,64.818,68.924,55.388,67.483,69.102,"Class2",72.84
38.745,"U","G",64.319,24,32.822,84.801,53.514,91.145,24.012,"Class4",41.913
62.732,"S","D",74.523,86,44.213,66.693,51.252,66.985,70.331,"Class2",80.861
74.323,"C","A",11.733,70,66.327,6.805,28.21,74.907,83.395,"Class1",89.18
36.492,"V","E",30.758,32,19.356,57.494,45.399,36.633,52.567,"Class5",23.96
60.793,"G","U",21.256,53,23.751,27.547,57.651,85.381,65.646,"Class3",88.817
76.457,"Q","J",57.609,86,75.844,48,13.687,75.545,68.473,"Class1",90.87
77.561,"Q","K",59.384,65,40.196,52.686,11.811,75.768,84.354,"Class1",89.549
47.857,"H","G",56.694,57,28.709,106.54,58.116,85.226,51.372,"Class3",66.162
44.173,"L","Z",79.237,84,55.253,65.367,50.396,66.287,69.388,"Class2",76.589
19.745,"Y","B",36.29,31,17.253,55.396,58.565,41.256,20.372,"Class5",23.037
43.808,"J","H",34.152,41,20.588,97.68,27.766,60.658,49.491,"Class5",22.438
56.532,"O","S",47.852,60,49.202,40.371,61.794,84.84,90.309,"Class3",96.483
76.672,"U","J",13.202,77,21.004,19.146,12.29,87.232,79.797,"Class1",88.791
92.939,"S","H",NA,82,44.912,55.924,55.065,66.393,69.323,"Class2",77.199
31.234,"U","U",64.506,25,40.775,86.743,57.061,83.291,21.358,"Class4",45.995
42.605,"H","G",32.25,34,18.273,27.184,66.278,39.067,7.375,"Class5",22.908
76.512,"A","E",53.681,78,20.255,56.282,18.675,82.871,73.517,"Class1",92.733
57.061,"F","S",25.845,54,30.667,60.966,68.399,85.336,71.324,"Class3",83.424
38.083,"J","G",64.435,22,36.606,84.519,35.306,87.007,22.169,"Class4",48.444
30.883,"O","Z",NA,59,25.168,37.377,53.275,84.59,60.128,"Class3",94.621
75.362,"Q","A",27.875,40,78.672,27.8,17.103,76.574,79.658,"Class1",91.83
57.471,"J","B",29.718,42,16.547,52.668,77.494,39.973,43.225,"Class5",26.077
52.107,"S","Z",NA,85,67.703,62.041,56.725,67.636,70.779,"Class2",70.848
68.922,"X","S",25.468,56,41.744,44.928,52.457,83.486,58.212,"Class3",65.952
65.443,"H","H",28.941,32,21.636,37.096,26.233,-5.811,11.769,"Class5",27.691
78.522,"J","J",68.975,75,53.32,52.639,23.79,65.855,65.869,"Class1",90.06
47.659,"S","D",80.07,87,74.933,68.15,56.308,67.43,70.69,"Class2",87.69
23.859,"J","E",NA,31,18.976,109.525,18.177,59.616,67.271,"Class5",23.823
63.457,"H","B",30.709,37,16.275,21.853,80.005,46.94,2.608,"Class5",27.548
68.055,"S","D",81.309,76,72.733,68.961,52.461,67.549,69.368,"Class2",71.83
41.011,"F","P",64.17,21,16.709,85.326,44.52,86.277,24.454,"Class4",54.036
67.086,"F","Q",19.897,60,22.676,94.205,57.159,83.471,49.4,"Class3",88.446
40.079,"J","L",37.426,36,18.735,41.59,33.774,35.386,29.608,"Class5",23.076
30.932,"S","T",74.36,87,73.774,61.186,49.342,67.526,69.1,"Class2",84.464
78.217,"A","K",55.54,44,68.187,22.045,27.52,68.894,76.815,"Class1",87.157
34.704,"H","G",31.021,42,21.795,16.437,19.157,30.451,28.157,"Class5",24.988
76.972,"J","K",NA,79,33.163,60.584,14.269,88.051,85.261,"Class1",NA
58.752,"F","Q",20.997,63,46.753,73.835,56.777,83.88,53.129,"Class3",87.501
66.225,"H","H",84.953,79,69.496,70.429,56.298,67.631,70.041,"Class2",86.729
3.42,"Y","H",35.695,31,17.901,50.955,74.245,20.861,15.547,"Class5",27.925
56.274,"J","E",36.587,35,19.74,5.223,87.186,26.024,54.217,"Class5",27.928
66.117,"H","G",29.104,61,43.757,15.373,29.453,84.93,61.909,"Class3",63.209
38.705,"K","H",86.866,78,52.979,73.938,56.091,67.565,68.517,"Class2",NA
50.859,"H","H",34.291,30,18.166,12.741,11.688,20.325,13.029,"Class5",27.25
61.169,"O","G",21.718,52,24.6,13.946,31.926,82.844,64.925,"Class3",83.27
37.164,"J","Z",64.362,21,18.814,85.08,53.826,85.916,25.509,"Class4",53.708
79.051,"A","K",30.95,75,34.819,14.622,29.613,71.155,90.131,"Class1",89.559
52.805,"H","H",73.779,81,74.574,52.241,54.084,68.978,69.172,"Class2",73.951
79.818,"C","A",32.935,88,59.374,43.542,8.134,70.195,70.934,"Class1",91.953
37.06,"A","P",64.448,12,39.097,82.591,49.787,96.373,26.462,"Class4",45.796
65.555,"X","Q",34.198,61,48.5,50.419,60.501,84.65,70.371,"Class3",91.28
52.465,"F","Z",16.269,53,35.983,-3.374,47.395,82.365,70.556,"Class3",92.757
60.984,"H","S",18.754,61,21.8,35.001,49.816,84.322,61.812,"Class3",80.712
63.58,"B","D",84.335,77,41.475,57.12,55.238,67.108,68.119,"Class2",80.611
75.102,"C","A",36.86,57,27.692,53.731,20.628,69.66,86.446,"Class1",90.195
34.949,"F","G",64.779,16,32.455,85.66,47.315,91.623,22.457,"Class4",48.141
37.377,"F","G",64.61,17,23.441,86.611,40.064,87.384,22.767,"Class4",54.393
75.85,"A","P",45.63,52,40.584,17.374,13.573,71.28,84.223,"Class1",87.101
43.721,"Y","G",36.496,37,17.776,66.743,50.209,-2.848,53.929,"Class5",22.399
75.678,"U","J",11.339,45,82.362,36.346,14.851,84.842,80.132,"Class1",88.9
58.774,"K","M",70.742,79,54.573,75.538,54.589,69.747,68.722,"Class2",79.054
76.914,"U","E",34.132,67,51.447,63.165,13.198,83.222,73.22,"Class1",87.802
26.656,"H","L",NA,35,21.993,91.832,27.317,40.158,20.392,"Class5",26.358
66.386,"H","E",36.039,40,17.31,43.664,80.765,48.698,72.317,"Class5",27.092
79.622,"P","G",31.015,41,18.252,8.306,31.323,69.496,11.262,"Class5",22.371
78.487,"A","A",28.212,47,65.975,50.17,15.995,75.459,57.595,"Class1",92.618
34.922,"J","M",64.416,23,14.832,85.02,42.221,85.247,27.288,"Class4",42.099
90.377,"O","U",50.1,61,31.386,43.399,55.937,84.138,89.579,"Class3",80.389
29.594,"H","E",36.292,36,16.34,74.378,83.706,30.182,22.875,"Class5",27.898
77.113,"C","J",NA,86,24.086,43.516,14.38,73.261,78.349,"Class1",88.888
30.817,"Y","E",28.421,36,20.863,115.733,24.201,-16.949,-1.721,"Class5",26.056
35.883,"U","P",64.855,19,16.123,85.675,37.429,89.98,23.671,"Class4",52.349
66.653,"H","T",71.381,84,78.681,59.172,56.351,67.321,68.673,"Class2",85.922
62.262,"G","Z",38.739,60,51.848,39.967,70.826,84.68,71.239,"Class3",82.733
74.085,"G","S",25.203,52,23.159,23.398,38.472,85.32,65.865,"Class3",79.679
61.104,"F","Z",54.767,58,57.102,5.515,44.175,82.591,66.376,"Class3",89.253
66.532,"B","D",87.112,79,67.275,65.19,50.229,67.448,69.928,"Class2",87.07
41.22,"X","S",9.975,53,58.786,56.139,70.807,85.518,75.636,"Class3",95.712
45.641,"P","E",29.852,35,15.711,56.658,65.762,50.45,7.826,"Class5",22.888
55.412,"H","H",73.355,80,56.269,56.932,51.038,68.376,71.46,"Class2",87.913
51.447,"P","H",34.216,31,19.839,59.706,85.314,48.842,26.746,"Class5",25.238
40.219,"J","P",64.835,19,29.507,84.607,57,88.193,24.022,"Class4",47.124
77.455,"U","K",17.061,80,23.482,20.043,13.139,79.179,87.521,"Class1",88.919
52.325,"X","Z",52.915,54,55.943,32.39,40.293,82.888,70.99,"Class3",67.509
35.246,"G","P",64.855,15,37.138,86.852,44.115,88.053,25.674,"Class4",50.992
26.379,"J","G",37.804,39,18.648,55.73,72.367,30.601,51.693,"Class5",27.665
19.217,"P","E",31.281,42,18.775,46.271,84.822,44.207,37.983,"Class5",26.152
92.762,"O","G",31.48,58,27.65,47.698,58.856,82.097,55.322,"Class3",76.723
61.523,"S","M",86.255,88,41.584,77.587,53.212,66.506,66.915,"Class2",81.331
35.486,"B","M",76.118,81,49.169,55.528,54.805,66.982,69.403,"Class2",87.668
97.568,"L","D",87.516,84,68.743,68.354,51.531,68.064,68.869,"Class2",76.293
77.178,"C","A",28.812,46,41.182,23.637,19.623,84.563,75.615,"Class1",90.84
38.522,"A","U",64.254,27,8.208,85.274,51.331,86.142,24.229,"Class4",55.689
40.19,"P","E",29.686,37,18.324,67.005,81.674,72.132,41.294,"Class5",24.941
79.447,"L","M",84.267,85,42.146,58.837,49.206,67.372,70.305,"Class2",83.608
77.491,"A","E",17.795,49,48.077,38.877,7.526,68.358,71.896,"Class1",90.821
95.248,"V","H",32.71,35,16.973,41.56,34.169,57.469,-18.594,"Class5",23.668
74.704,"U","E",37.011,67,67.108,50.394,21.492,78.357,80.489,"Class1",87.254
82.383,"K","H",80.861,86,48.214,56.545,51.728,68.168,67.919,"Class2",75.657
91.33,"H","G",33.037,54,59.692,6.199,45.981,85.26,54.184,"Class3",74.34
77.675,"G","U",37.385,63,63.369,55.65,54.179,82.109,59.483,"Class3",71.852
60.783,"H","Z",24.347,62,39.096,60.019,61.94,83.85,69.001,"Class3",87.667
34.535,"A","G",64.823,11,12.602,85.17,44.414,84.174,24.57,"Class4",42.711
76.582,"U","K",43.175,67,43.799,54.163,16.934,69.108,77.222,"Class1",91.381
28.659,"H","L",31.535,34,16.889,-8.888,60.661,96.526,38.117,"Class5",25.254
77.122,"Q","A",15.016,78,43.154,65.501,20.808,76.813,84.997,"Class1",89.078
36.79,"G","G",64.595,19,27.398,84.417,41.519,88.758,24.483,"Class4",46.244
38.385,"Y","L",29.347,32,16.904,97.384,24.488,60.199,-29.682,"Class5",27.69
6.753,"L","Z",74.358,85,43.78,62.748,56.443,65.633,71.06,"Class2",72.627
77.427,"O","Z",30.684,57,35.023,62.405,51.178,83.688,63.67,"Class3",96.992
77.077,"J","E",60.271,78,64.612,52.167,17.146,92.136,75.841,"Class1",90.476
51.374,"B","T",71.051,86,40.1,79.555,49.536,67.917,69.657,"Class2",69.456
53.973,"H","Q",26.689,55,30.986,100.629,31.319,81.331,59.853,"Class3",70.655
52.119,"F","U",23.92,63,40.093,37.807,69.228,84.148,59.753,"Class3",66.153
36.738,"Y","B",34.47,33,16.916,49.72,62.813,43.636,22.648,"Class5",23.949
66.489,"K","Z",73.404,78,76.447,66.697,54.631,67.933,71.204,"Class2",72.556
42.717,"L","D",70.543,86,59.085,75.847,54.482,65.533,70.868,"Class2",73.439
45.738,"K","D",86.194,76,49.771,66.99,49.169,67.999,70.971,"Class2",79.165
63.395,"G","G",33.379,58,21.133,69.666,30.325,84.906,62.978,"Class3",80.52
34.4,"B","H",77.771,84,49.429,58.212,50.442,67.792,68.417,"Class2",86.179
76.367,"Q","P",NA,52,18.529,31.803,28.581,84.711,79.633,"Class1",91.105
11.43,"Y","G",34.926,34,17.232,82.071,62.722,38.348,26.103,"Class5",24.994
102.835,"H","S",11.627,54,53.009,66.393,46.19,84.838,53.673,"Class3",95.978
62.409,"P","E",30.648,42,18.513,23.116,47.856,32.598,51.145,"Class5",24.162
38.342,"J","U",64.565,24,23.213,85.404,54.232,85.701,24.208,"Class4",55.83
74.651,"A","J",61.523,83,73.792,27.967,16.942,64.525,79.05,"Class1",92.726
53.552,"X","U",41.626,52,14.753,7.875,43.676,82.706,48.262,"Class3",89.253
39.86,"J","G",64.267,24,40.253,82.148,38.748,85.151,25.307,"Class4",50.32
78.659,"Q","E",35.896,50,32.59,29.038,23.85,77.225,65.902,"Class1",88.922
75.972,"Q","P",39.699,69,30.094,70.732,27.537,78.765,81.156,"Class1",92.671
54.6,"B","T",81.865,86,58.312,73.421,54.155,67.15,70.768,"Class2",79.88
66.72,"L","Z",75.061,83,77.495,79.242,54.036,69.061,70.146,"Class2",84.895
77.556,"Q","J",50.648,71,59.315,38.929,20.281,70.76,91.026,"Class1",88.546
83.306,"O","G",21.185,54,30.051,25.319,68.954,81.597,83.21,"Class3",78.746
56.92,"O","Z",11.192,56,37.043,-0.723,28.176,85.236,80.786,"Class3",64.909
70.061,"K","H",76.793,86,59.205,64.251,50.194,70.221,70.301,"Class2",87.752
62.89,"Y","G",36.262,32,15.377,0.518,45.826,40.517,21.822,"Class5",23.496
37.2,"G","U",64.083,13,39.777,82.701,54.689,86.512,24.618,"Class4",48.777
36.779,"A","Z",NA,21,25.259,83.329,36.364,88.088,23.496,"Class4",46.928
35.464,"U","G",64.862,25,23.912,86.313,43.705,88.122,21.345,"Class4",50.717
77.015,"B","D",76.158,77,63.001,67.2,52.554,67.285,70.723,"Class2",76.308
32.19,"U","P",64.2,28,33.17,84.447,49.509,84.087,25.79,"Class4",47.594
39.321,"J","Z",64.246,11,20.615,85.135,52.291,89.719,23.831,"Class4",55.262
39.571,"A","M",64.406,21,22.567,83.988,50.273,87.628,24.401,"Class4",53.668
61.602,"H","M",79.581,84,71.786,54.947,52.279,66.36,68.097,"Class2",78.203
77.147,"J","K",15.477,83,37.843,43.11,11.045,73.618,67.598,"Class1",88.778
41.545,"J","G",28.709,30,16.492,64.147,53.667,-1.155,26.722,"Class5",22.888
51.889,"J","H",35.155,34,16.289,42.678,63.477,73.634,7.193,"Class5",22.861
34.418,"G","Z",27.809,53,29.81,61.646,30.764,83.888,64.209,"Class3",90.211
38.203,"A","U",64.447,25,7.647,85.413,53.629,89.033,26.302,"Class4",47.94
77.537,"C","K",64.461,87,63.188,52.858,27.117,67.225,76.962,"Class1",91.768
35.91,"F","M",64.575,18,36.66,88.182,53.731,89.288,27.552,"Class4",48.635
74.365,"A","A",36.163,62,67.834,84.844,23.85,83.376,56.133,"Class1",88.807
85.179,"Y","E",34.393,37,15.846,48.38,58.587,12.568,49.794,"Class5",22.296
75.821,"A","A",48.034,74,86.763,71.034,23.047,69.078,88.808,"Class1",91.821
41.36,"V","H",29.864,32,19.596,59.834,70.064,46.631,21.744,"Class5",27.204
50.653,"B","D",70.47,86,61.015,66.935,53.571,67.527,69.916,"Class2",68.246
32.694,"J","E",32.57,39,18.093,40.545,87.269,78.266,56.325,"Class5",22.481
78.691,"J","P",40.5,53,76.076,8.885,9.392,71.22,81.509,"Class1",89.657
38.848,"J","Z",64.701,28,33.019,86.216,52.496,84.231,23.383,"Class4",47.248
49.74,"K","T",85.598,87,68.771,67.733,54.57,67.252,70.517,"Class2",NA
54.506,"S","D",84.217,81,58.056,64.863,55.618,67.1,69.051,"Class2",83.078
69.541,"P","H",36.898,31,21.735,77.31,70.824,2.637,25.677,"Class5",23.968
34.657,"B","Z",77.032,83,50.173,62.429,55.729,67.085,70.518,"Class2",79.573
35.625,"U","G",64.957,20,16.24,88.416,42.557,84.177,24.747,"Class4",49.784
55.535,"J","E",33.664,34,21.784,64.821,62.419,56.668,84.71,"Class5",22.696
39.334,"A","M",64.429,13,31.655,83.363,46.233,86.519,29.876,"Class4",42.724
36.823,"J","U",64.318,17,33.722,87.035,40.208,82.533,26.168,"Class4",49.794
71.096,"H","M",74.079,84,72.679,61.543,49.861,67.262,69.222,"Class2",72.056
78.665,"A","K",16.642,74,63.094,51.621,28.57,68.406,84.565,"Class1",92.144
52.208,"B","Z",73.372,83,69.473,70.332,55.621,66.563,69.081,"Class2",81.929
39.579,"G","M",64.444,18,24.427,85.301,59.059,87.366,27.61,"Class4",43.044
46.878,"L","T",81.8,76,45.496,64.33,56.318,68.012,69.204,"Class2",83.165
62.173,"S","M",80.392,79,51.5,65.142,53.799,66.948,70.238,"Class2",69.454
39.397,"A","U",64.8,27,33.006,82.596,49.337,90.012,24.742,"Class4",49.129
34.563,"G","Z",64.447,13,24.93,87.131,46.555,88.89,23.835,"Class4",43.298
30.861,"Y","B",35.681,30,20.301,81.22,60.374,38.125,46.671,"Class5",26.62
79.064,"H","E",34.128,39,17.702,49.315,52.86,29.718,44.987,"Class5",23.13
81.516,"J","E",31.396,36,21.879,88.661,24.023,31.512,32.853,"Class5",26.62
40.693,"J","U",64.979,25,32.808,85.579,35.835,86.153,25.711,"Class4",47.086
42.186,"S","D",85.14,80,75.8,62.906,50.109,67.85,68.318,"Class2",78.679
33.935,"A","P",64.321,25,24.706,85.433,51.811,84.539,26.722,"Class4",52.552
57.963,"S","M",76.235,77,47.298,76.739,50.979,66.677,69.621,"Class2",79.861
65.104,"H","U",44.931,63,22.654,65.526,31.087,83.27,68.959,"Class3",86.898
80.058,"H","Z",22.535,64,54.427,44.108,31.516,85.481,63.651,"Class3",83.407
42.287,"H","E",31.792,30,20.458,42.833,80.33,9.184,66.524,"Class5",25.924
61.079,"O","Q",28.71,54,24.384,43.465,45.022,84.738,54.64,"Class3",89.415
27.954,"G","Q",9.401,56,25.939,37.61,38.911,85.957,72.49,"Class3",89.64
70.669,"O","Z",40.887,62,14.05,110.301,32.508,82.078,59.534,"Class3",90.221
67.302,"F","U",17.405,59,23.082,71.878,50.659,84.906,66.646,"Class3",89.562
81.615,"S","H",75.231,80,49.493,63.458,52.438,66.928,71.253,"Class2",73.259
76.238,"U","P",11.893,74,50.608,40.406,8.621,71.185,79.054,"Class1",88.445
36.063,"G","G",64.224,16,8.695,85.621,53.618,85.357,24.841,"Class4",42.256
36.763,"F","G",64.307,18,11.259,85.102,48.156,89.024,24.555,"Class4",49.42
50.465,"V","H",29.476,37,17.124,101.492,54.115,13.64,58.803,"Class5",27.59
