"DUW1","BSO2","YVC3","ATJ4","QCL5","Output24","IWX6","NQY7","CDB8","SOY9","AOF10","EXH11"
81.855,84.607,41.224,37.806,45,"Class3",82.106,80.875,58.723,88,"W",71.379
8.453,30.321,36.158,97.409,59,"Class4",86.917,64.432,38.047,67,"W",70.859
79.25,91.782,41.403,21.498,27,"Class3",47.658,77.928,51.663,83,"G",44.256
78.146,65.077,80.735,70.873,79,"Class2",26.585,80.214,10.72,80,"J",71.393
40.911,64.064,NA,45.137,79,"Class2",33.701,65.858,32.813,90,"J",76.154
48.536,27.591,57.784,35.691,40,"Class1",13.799,18.015,7.27,26,"A",-1.1
39.484,66.127,75.492,47.274,79,"Class2",22.14,48.78,9.222,90,"O",64.969
50.809,65.767,76.314,39.799,79,"Class2",18.58,56.776,7.131,88,"M",65.232
56.083,55.557,53.699,25.848,31,"Class1",12.101,1.59,7.371,23,"W",33.692
56.016,48.823,78.587,23.467,28,"Class1",10.053,39.511,6.023,34,"W",51.727
60.711,36.908,42.767,26.812,5,"Class1",12.902,94.037,8.051,23,"W",32.909
59.107,81.347,54.327,36.241,14,"Class1",13.284,87.085,6.487,25,"A",34.229
NA,67.405,77.354,50.97,79,"Class2",25.991,63.907,6.575,84,"O",63.082
83.781,82.156,NA,22.751,35,"Class3",60.522,75.453,86.596,91,"H",72.577
8.241,31.774,36.276,27.912,40,"Class4",73.425,42.742,75.467,65,"D",64.018
45.504,62.173,80.535,55.24,79,"Class2",15.747,23.61,13.199,82,"K",66.359
69.669,88.258,41.275,37.471,37,"Class3",59.049,94.217,45.291,90,"W",18.491
59.245,21.615,41.515,25.211,56,"Class1",16.789,55.81,6.703,4,"H",46.566
35.669,56.658,73.875,66.675,80,"Class2",18.471,19.363,15.481,80,"M",66.704
51.489,5.768,41.489,32.723,30,"Class1",15.793,83.173,7.072,4,"H",93.088
56.623,72.367,83.032,23.2,79,"Class2",23.313,63.547,8.358,85,"M",69.597
76.727,85.138,41.726,22.044,39,"Class3",68.489,65.061,41.466,79,"W",49.505
82.502,86.471,41.847,31.889,36,"Class3",45.735,86.091,29.669,80,"G",84.283
NA,81.22,42.12,14.958,25,"Class3",43.217,71.384,71.816,93,"R",40.763
47.491,68.683,80.456,26.877,80,"Class2",26.74,18.71,12.495,85,"M",78.987
60.484,64.587,78.365,55.52,80,"Class2",31.618,74.123,6.601,87,"J",62.512
48.335,65.413,75.101,63.887,80,"Class2",26.367,61.384,38.468,87,"Z",72.324
9.611,31.107,35.684,86.755,34,"Class4",70.915,14.502,4.138,86,"W",106.036
52.979,66.602,34.959,22.809,7,"Class1",15.349,77.895,8.692,24,"U",73.774
9.673,32.393,35.847,22.189,56,"Class4",67.51,43.165,13.932,82,"B",47.009
72.746,84.826,40.992,23.459,34,"Class3",44.497,113.833,64.61,94,"H",57.126
73.433,59.777,75.722,60.669,79,"Class2",21.593,20.673,33.977,83,"Z",72.176
72.406,63.315,79.65,23.456,79,"Class2",31.352,23.421,19.843,81,"Z",72.431
51.423,28.529,13.931,38.807,34,"Class1",15.789,48.493,6.867,30,"A",72.536
58.266,80.065,75.497,30.027,15,"Class1",12.687,92.903,8.815,10,"A",69.34
NA,68.917,73.04,50.327,79,"Class2",15.937,58.232,26.608,90,"M",73.382
46.371,83.604,NA,33.218,58,"Class1",11.451,11.679,6.417,31,"A",-17.272
44.197,63.849,73.034,54.396,79,"Class2",18.676,66.18,28.351,83,"M",78.21
NA,63.552,NA,66.539,79,"Class2",20.341,89.77,37.417,84,"K",68.317
73.516,79.657,42.14,21.932,33,"Class3",47.585,81.202,74.852,99,"H",77.722
51.244,80.932,39.638,26.428,54,"Class1",13.609,73.515,8.921,29,"U",35.527
72.992,79.146,41.05,24.53,42,"Class3",52.545,75.316,33.841,80,"Y",68.68
54.243,74.485,51.23,24.244,9,"Class1",13.682,74.66,8.704,32,"H",73.033
NA,70.767,75.519,53.722,79,"Class2",19.864,71.74,27.626,84,"O",68.719
85.998,88.749,41.448,25.423,41,"Class3",55.511,81.348,76.593,87,"Y",57.573
77.005,79.893,41.267,13.604,44,"Class3",40.408,92.316,77.23,92,"G",70.347
76.487,82.911,41.474,34.133,45,"Class3",89.049,85.461,72.211,86,"R",49.568
71.043,86.136,41.549,35.246,48,"Class3",82.907,57.478,51.175,89,"G",50.519
38.816,67.966,73.271,40.511,80,"Class2",19.72,37.911,11.54,80,"K",71.555
79.155,80.061,41.471,28.732,28,"Class3",42.648,63.966,77.884,77,"H",75.19
84.47,84.307,41.557,18.703,25,"Class3",79.204,72.807,77.955,99,"H",51.163
69.056,82.073,NA,33.412,46,"Class3",56.656,87.338,80.806,95,"R",48.531
60.68,19.739,60.697,20.436,57,"Class1",15.561,86.274,8.079,6,"W",47.306
79.078,89.602,41.857,25.916,44,"Class3",83.83,48.251,61.629,97,"Y",50.231
NA,80.847,41.654,23.008,26,"Class3",38.203,85.068,79.24,96,"Y",75.972
53.367,107.753,80.698,28.231,27,"Class1",14.651,42.082,8.408,6,"U",62.873
71.104,83.033,41.143,27.801,32,"Class3",65.747,82.175,28.671,89,"Y",60.135
75.498,81.787,NA,13.838,35,"Class3",70.489,89.478,12.792,92,"H",90.489
36.128,70.784,80.759,46.76,80,"Class2",26.279,58.05,20.161,89,"Z",65.358
9.32,27.835,36.114,25.531,38,"Class4",78.372,57.706,29.687,78,"K",43.341
9.904,32.845,34.482,80.997,80,"Class4",81.003,82.985,63.187,76,"W",32.638
78.285,84.889,41.357,15.839,34,"Class3",81.423,63.599,50.044,88,"Y",68.817
48.203,72.083,80.869,62.206,80,"Class2",18.097,66.669,13.869,84,"J",63.193
49.606,53.218,68.681,32.872,7,"Class1",13.231,17.258,7.985,34,"U",47.334
78.333,75.459,41.068,35.026,32,"Class3",45.603,75.489,25.586,98,"H",68.354
84.515,76.463,41.381,20.077,25,"Class3",70.412,84.763,38.054,86,"W",20.63
8.209,37.12,34.493,7.219,21,"Class4",80.038,-4.428,55.982,79,"D",60.7
85.815,83.371,41.638,14.194,31,"Class3",48.938,80.349,79.157,98,"Y",61.133
72.781,70.016,70.238,55.604,79,"Class2",26.023,76.063,33.403,88,"M",66.767
52.584,19.557,35.226,34.487,6,"Class1",12.001,55.903,7.929,25,"U",47.996
46.501,9.373,38.059,24.15,9,"Class1",12.949,26.387,7.985,4,"W",44.063
69.26,79.327,NA,36.275,28,"Class3",71.703,79.657,37.98,82,"H",51.79
76.934,82.697,41.299,35.4,29,"Class3",33.916,81.908,70.863,92,"H",90.163
51.343,39.595,70.119,29.686,10,"Class1",12.381,26.803,7.131,10,"U",26.265
8.406,31.783,34.863,75.853,84,"Class4",67.734,12.492,45.282,76,"H",48.648
78.547,77.641,40.691,17.116,32,"Class3",49.284,78.534,57.992,96,"W",31.474
74.596,73.571,41.764,32.77,39,"Class3",48.232,66.874,43.257,87,"W",100.529
49.562,69.063,88.64,51.303,79,"Class2",27.63,41.557,26.145,87,"J",75.959
39.507,63.589,79.027,30.488,80,"Class2",32.592,80.145,27.967,80,"O",75.67
47.641,55.617,68.782,38.114,17,"Class1",13.255,40.207,8.752,26,"N",17.664
51.63,66.888,71.469,68.88,79,"Class2",19.462,48.684,41.843,89,"O",79.145
NA,60.524,74.512,47.569,79,"Class2",27.719,37.419,8.559,91,"J",71.325
57.728,66.537,NA,48.474,79,"Class2",19.247,28.683,25.99,88,"Z",68.23
NA,32.092,35.633,89.195,17,"Class4",68.048,36.679,27.784,83,"B",57.238
69.177,69.182,77.077,41.162,79,"Class2",24.029,16.087,37.216,88,"O",77.747
8.821,33.485,38.21,69.53,84,"Class4",69.415,13.555,33.914,74,"W",69.075
9.83,26.398,37.047,48.348,73,"Class4",70.99,50.941,68.163,85,"K",36.859
10.83,29.103,36.52,72.089,96,"Class4",87.225,86.499,56.662,69,"K",55.549
47.629,21.786,118.486,38.757,27,"Class1",16.596,34.522,7.073,13,"H",47.473
81.576,73.278,41.535,36.398,26,"Class3",51.767,70.252,33.057,92,"W",67.403
81.307,60.954,82.2,56.652,80,"Class2",24.294,21.159,41.151,85,"J",70.336
83.636,89.696,41.207,26.163,48,"Class3",46.961,56.152,49.655,91,"G",65.749
55.087,62.736,77.273,41.454,80,"Class2",30.608,68.511,29.021,89,"O",78.302
79.473,81.182,41.451,26.54,42,"Class3",71.979,87.262,81.96,93,"H",74.797
46.282,36.549,82.276,27.64,35,"Class1",12.459,44.004,8.684,17,"N",68.679
54.365,52.898,20.983,35.467,58,"Class1",11.014,28.314,7.398,28,"U",31.539
55.825,29.123,NA,23.545,52,"Class1",13.083,28.921,8.868,11,"W",25.124
55.946,-2.802,19.907,37.746,39,"Class1",13.848,53.487,8.762,21,"A",27.987
9.681,33.034,37.391,94.211,41,"Class4",58.481,28.838,5.438,82,"B",69.679
84.426,86.536,41.994,15.939,40,"Class3",47.48,90.997,31.342,85,"H",44.48
58.921,25.283,29.111,34.047,41,"Class1",15.95,62.242,6.604,25,"U",92.306
57.08,22.067,NA,28.514,23,"Class1",12.844,55.443,7.055,27,"N",52.842
10.898,31.563,36.549,89.123,21,"Class4",60.968,24.921,50.232,74,"K",31.367
36.075,65.66,66.642,26.767,80,"Class2",20.03,64.162,42.532,84,"K",73.436
71.687,78.059,41.472,17.095,47,"Class3",74.318,82.235,26.385,92,"R",87.742
70.72,79.836,41.221,14.558,31,"Class3",43.115,84.417,51.063,85,"Y",67.471
NA,92.232,41.932,12.664,30,"Class3",38.156,62.662,53.422,93,"R",52.424
10.273,29.032,36.059,25.01,83,"Class4",86.483,44.74,62.699,72,"B",94.884
8.771,31.656,34.92,76.272,31,"Class4",76.772,64.754,49.611,85,"W",51.103
9.956,30.455,35.828,44.354,17,"Class4",58.131,0.846,40.878,67,"B",59.241
9.134,33.872,35.114,18.665,89,"Class4",59.353,97.596,74.791,75,"W",54.351
10.579,31.715,34.769,63.765,16,"Class4",74.212,56.184,22.608,84,"H",26.073
34.191,69.364,70.949,59.705,79,"Class2",31.387,38.708,21.871,84,"O",61.219
10.662,27.922,36.474,73.991,67,"Class4",58.524,64.564,34.477,68,"K",50.166
55.348,60.487,52.814,21.484,26,"Class1",10.672,96.162,6.697,17,"H",48.148
54.702,92.506,69.57,35.498,54,"Class1",12.427,29.789,8.491,8,"U",38.778
81.087,89.387,41.605,23.559,45,"Class3",63.557,86.85,29.661,92,"W",85.951
46.186,8.245,30.348,27.348,24,"Class1",14.44,2.398,6.235,32,"N",24.265
52.796,43.835,NA,26.08,38,"Class1",11.823,52.287,7.743,24,"U",80.342
55.52,82.935,51.603,37.676,8,"Class1",14.59,28.965,6.106,8,"A",36.2
37.267,67.75,87.509,65.397,80,"Class2",17.075,89.631,19.055,86,"J",75.353
9.178,34.153,37.063,36.379,84,"Class4",66.552,51.018,13.351,66,"W",57.355
49.979,59.611,76.681,48.728,79,"Class2",21.066,32.485,28.661,89,"J",63.324
49.462,-2.952,NA,30.245,6,"Class1",15.182,50.615,6.636,32,"U",64.224
78.647,70.231,67.692,66.653,80,"Class2",31.827,79.61,27.676,86,"J",68.289
61.079,75.272,73.128,49.763,80,"Class2",19.197,-1.748,27.433,90,"Z",77.024
46.334,34.54,18.312,29.804,50,"Class1",10.571,58.66,6.842,8,"A",34.87
48.426,45.76,35.588,33.794,14,"Class1",14.376,29.78,7.002,24,"H",44.269
NA,31.55,35.482,42.526,43,"Class4",81.63,62.182,37.136,82,"W",55.517
59.25,58.665,32.343,30.922,40,"Class1",12.217,37.435,8.741,32,"U",54.647
64.482,64.423,74.352,64.777,80,"Class2",21.215,67.569,10.991,85,"K",76.79
56.713,2.713,73.716,31.882,26,"Class1",13.394,82.061,7.973,7,"W",85.166
77.081,79.054,41.751,15.884,49,"Class3",35.47,77.648,21.41,79,"Y",60.249
69.475,78.309,NA,31.105,37,"Class3",42.901,83.239,20.652,88,"Y",47.791
10.686,32.54,36.363,57.225,96,"Class4",72.704,44.916,69.439,82,"B",83.314
72.485,58.638,69.585,66.579,80,"Class2",29.287,28.217,16.85,83,"Z",73.635
47.505,66.333,68.62,58.211,79,"Class2",23.01,85.55,39.4,87,"Z",74.667
44.009,70.17,69.574,72.479,80,"Class2",34.784,98.863,26.635,89,"K",59.579
60.875,66.053,71.878,29.94,79,"Class2",18.733,37.36,41.366,85,"J",69.696
69.239,86.404,41.345,29.352,42,"Class3",85.776,90.198,38.004,98,"G",54.357
77.052,78.496,41.577,14.493,37,"Class3",55.837,57.223,69.589,98,"W",65.722
76.702,82.716,41.572,17.746,38,"Class3",44.968,92.581,37.123,83,"G",57.507
58.202,55.863,53.725,37.3,26,"Class1",16.529,78.4,8.961,22,"U",48.513
75.823,66.306,70.021,71.329,80,"Class2",25.47,65.889,19.658,91,"Z",65.263
48.363,56.185,16.069,33.227,27,"Class1",10.928,18.236,7.624,4,"H",30.243
9.618,32.355,34.342,27.476,17,"Class4",71.578,44.01,43.281,66,"B",34.209
8.199,36.402,37.714,45.218,62,"Class4",78.325,0.177,31.76,73,"B",14.609
76.563,84.678,41.363,22.389,29,"Class3",37.359,70.366,8.453,94,"H",96.965
55.056,18.946,44.929,24.873,14,"Class1",16.989,20.97,7.542,4,"H",23.784
77.017,61.197,77.21,33.47,80,"Class2",29.55,91.157,9.542,87,"J",65.802
48.027,35.298,84.619,26.695,22,"Class1",10.193,91.562,7.658,12,"H",54.011
78.014,72.067,41.916,17.243,37,"Class3",81.521,76.909,60.502,93,"R",92.209
82.872,60.424,74.137,28.754,79,"Class2",26.321,47.094,36.698,81,"M",72.047
60.533,64.562,75.39,37.912,79,"Class2",23.282,70.563,39.191,82,"K",68.609
60.804,79.862,84.867,29.704,55,"Class1",11.448,37.285,8.396,29,"H",46.866
74.177,82.222,41.205,15.895,42,"Class3",34.847,79.813,35.132,95,"W",95.618
77.788,91.295,41.588,21.034,37,"Class3",55.854,68.589,24.013,88,"H",70.871
8.45,33.048,37.112,52.921,57,"Class4",87.577,33.15,39.72,78,"H",31.404
47.991,49.614,56.668,27.997,40,"Class1",12.637,30.374,7.888,13,"W",-17.024
43.85,62.76,82.827,32.568,79,"Class2",29.437,40.331,25.044,85,"M",89.033
71.697,83.127,NA,13.697,31,"Class3",80.877,58.97,61.27,80,"W",79.276
75.1,84.626,41.881,34.697,23,"Class3",52.224,94.083,34.151,91,"G",65.206
51.839,67.374,63.621,60.684,80,"Class2",26.861,53.776,34.886,80,"J",70.719
79.536,72.362,40.233,30.606,38,"Class3",44.925,84.119,24.461,84,"W",116.597
8.895,32.773,35.7,27.518,74,"Class4",66.263,93.128,37.918,75,"D",62.297
53.63,43.156,29.355,37.699,9,"Class1",14.948,48.287,6.932,21,"A",59.64
79.485,76.811,41.82,31.405,45,"Class3",35.464,79.099,52.588,89,"R",73.474
9.501,29.148,36.54,27.78,40,"Class4",82.985,27.402,63.846,70,"H",64.329
41.272,67.275,70.251,67.107,79,"Class2",15.701,39.937,16.975,85,"J",69.035
NA,64.801,67.747,37.821,30,"Class1",14.685,-2.165,6.776,9,"W",9.843
50.777,8.877,NA,23.676,42,"Class1",13.661,61.761,6.333,15,"W",36.193
70.859,74.581,42.296,29.631,28,"Class3",47.553,78.074,79.592,81,"W",97.325
53.79,40.119,10.7,27.566,43,"Class1",10.093,60.674,8.362,29,"N",50.646
8.442,34.552,34.79,83.434,46,"Class4",88.184,90.36,32.955,65,"W",81.429
8.554,37.647,34.922,85.791,77,"Class4",80.621,30.902,29.531,80,"B",71.235
34.015,72.986,61.122,46.011,79,"Class2",25.822,19.546,20.39,89,"O",68.932
10.418,30.421,36.37,95.141,65,"Class4",78.494,65.053,48.772,83,"K",74.296
74.257,71.831,41.581,21.06,28,"Class3",49.048,70.518,19.613,96,"G",47.514
56.723,23.771,90.041,38.338,51,"Class1",10.389,19.492,6.282,25,"H",56.641
60.248,51.021,23.997,21.81,50,"Class1",11.725,24.541,6.629,34,"H",45.805
74.093,80.752,41.067,22.329,50,"Class3",79.274,94.178,13.088,78,"R",46.84
58.241,43.309,83.486,38.178,49,"Class1",13.037,34.72,8.542,32,"H",29.869
8.395,32.159,34.673,96.072,91,"Class4",66.167,-8.383,19.463,86,"D",68.092
60.107,29.781,44.11,28.093,7,"Class1",16.287,12.246,8.951,6,"U",79.607
75.591,79.844,41.847,18.5,26,"Class3",41.509,70.636,57.163,92,"H",77.703
54.808,23.51,60.61,26.472,16,"Class1",12.632,51.751,6.886,18,"W",17.603
NA,71.599,75.13,36.968,80,"Class2",32.303,106.683,17.748,80,"M",66.18
77.981,64.902,76.201,55.348,80,"Class2",19.092,72.461,9.789,83,"M",72.224
10.324,30.484,35.874,63.066,48,"Class4",81.75,69.93,30.284,78,"H",42.055
47.915,56.369,55.605,35.724,21,"Class1",11.823,49.461,7.436,34,"A",50.146
80.505,65.457,77.258,29.49,79,"Class2",23.563,67.032,42.552,91,"J",75.766
82.74,62.344,71.137,44.058,80,"Class2",20.772,49.861,26.212,85,"Z",72.317
53.272,88.048,42.8,31.002,39,"Class1",14.448,30.961,8.229,30,"N",3.084
70.261,84.38,42.004,25.96,35,"Class3",60.857,67.985,45.006,96,"W",90.504
82.167,72.6,41.262,17.832,25,"Class3",58.267,76.376,12.792,94,"W",96.679
NA,85.552,41.736,37.184,32,"Class3",35.048,85.648,89.423,81,"Y",76.587
47.41,70.538,74.547,34.1,79,"Class2",26.482,53.96,7.963,91,"Z",66.939
75.955,72.973,41.107,13.688,30,"Class3",51.481,82.698,49.923,81,"G",67.933
8.043,31.149,35.911,95.792,42,"Class4",65.569,27.155,49.324,67,"K",45.041
47.923,18.34,63.556,32.685,58,"Class1",10.925,70.584,8.758,15,"U",31.264
48.021,10.208,29.346,26.753,58,"Class1",14.755,90.076,6.129,27,"A",78.9
9.166,32.329,35.729,82.311,94,"Class4",77.918,43.928,54.407,85,"K",98.961
82.477,80.597,41.255,31.956,40,"Class3",82.745,72.335,11.324,89,"G",31.185
45.116,68.719,75.737,28.698,80,"Class2",24.278,5.278,42.752,81,"M",73.585
59.516,68.512,88.101,38.844,80,"Class2",21.381,29.268,15.791,86,"Z",75.259
67.798,68.61,84.13,46.727,79,"Class2",32.204,0.57,39.805,88,"Z",63.325
49.544,26.944,NA,36.947,52,"Class1",15.586,102.477,7.307,20,"H",15.368
55.635,37.026,114.514,21.783,20,"Class1",14.125,39.67,6.298,4,"U",17.539
49.639,45.13,-1.063,21.113,33,"Class1",14.361,0.102,7.307,34,"U",36.821
82.642,77.704,41.74,23.289,34,"Class3",36.303,89.833,75.955,90,"G",60.047
81.795,87.674,41.414,25.399,36,"Class3",47.221,76.964,16.682,99,"G",74.011
8.487,33.918,36.183,88.814,94,"Class4",60.119,88.605,38.18,82,"W",88.351
35.942,70.414,77.915,44.874,80,"Class2",20.187,62.464,21.456,85,"J",60.647
71.058,73.251,72.761,46.956,80,"Class2",24.725,82.622,9.865,89,"J",75.012
9.565,29.186,32.398,31.455,67,"Class4",88.921,53.355,43.227,84,"D",81.978
NA,60.288,82.275,25.552,79,"Class2",24.143,52.966,28.199,83,"K",76.543
62.175,61.92,76.625,49.28,79,"Class2",19.313,67.757,40.53,81,"J",70.98
47.977,66.278,25.005,37.553,17,"Class1",10.22,77.023,7.787,22,"H",29.611
83.597,63.974,NA,28.357,79,"Class2",23.094,35.659,29.132,81,"J",72.933
35.523,71.185,69.838,24.236,80,"Class2",31.566,54.157,20.506,89,"K",65.046
8.172,33.485,35.75,39.989,81,"Class4",64.637,46.466,25.532,79,"D",46.639
70.927,91.964,41.568,36.849,50,"Class3",89.506,64.584,49.928,90,"R",24.328
8.353,37.727,36.216,22.106,64,"Class4",86.266,63.223,48.398,78,"H",47.561
58,63.819,63.46,61.541,79,"Class2",15.822,63.318,24.246,81,"M",73.785
60.598,58.496,52.578,24.572,56,"Class1",10.489,28.228,8.281,8,"N",59.438
47.175,70.628,72.878,32.685,80,"Class2",29.519,82.365,35.408,87,"Z",75.161
10.849,28.625,36.347,36.258,70,"Class4",70.353,82.679,37.993,86,"H",69.4
78.524,66.078,70.4,62.735,80,"Class2",33.072,53.255,31.042,84,"J",69.553
74.961,84.816,41.398,34.651,48,"Class3",35.637,63.144,40.719,99,"W",101.179
NA,38.45,36.3,23.581,73,"Class4",68.032,27.361,41.326,86,"D",57.279
10.718,32.798,35.227,92.571,49,"Class4",76.651,81.838,56.091,74,"H",61.929
74.426,80.405,41.826,23.468,34,"Class3",75.749,73.444,81.107,79,"W",73.668
71.556,85.883,41.507,12.253,50,"Class3",70.513,103.322,27.729,87,"G",87.52
80.558,87.693,40.965,31.883,24,"Class3",63.407,91.161,8.808,78,"W",25.082
55.384,55.61,63.999,31.121,19,"Class1",15.572,-1.132,6.732,35,"N",67.453
9.337,34.895,34.685,58.638,39,"Class4",69.635,55.298,19.555,74,"H",75.509
58.385,-1.095,64.957,25.755,49,"Class1",13.665,33.973,8.484,7,"N",62.394
59.454,70.955,78.294,30.33,79,"Class2",17.639,33.784,24.803,89,"J",64.493
56.854,60.586,71.787,69.416,80,"Class2",19.568,57.615,10.658,88,"K",70.071
9.453,31.93,36.385,7.169,75,"Class4",80.673,56.293,27.162,83,"H",66.872
83.523,72.038,76.237,56.834,79,"Class2",34.778,82.264,37.61,84,"J",76.196
9.755,30.396,36.421,80.729,37,"Class4",69.375,44.701,42.536,75,"D",69.307
74.557,89.493,41.954,21.547,27,"Class3",82.006,79.817,94.612,94,"R",70.109
10.452,31.971,36.507,92.889,95,"Class4",88.968,77.544,32.021,81,"D",61.784
10.976,34.153,34.161,87.986,77,"Class4",62.665,48.209,15.132,83,"D",87.214
9.053,28.083,35.533,31.114,80,"Class4",69.959,106.516,55.524,67,"W",56.068
10.752,29.739,37.049,73.522,18,"Class4",84.365,55.674,19.067,72,"D",88.558
8.367,35.517,36.53,99.656,66,"Class4",77.792,69.402,24.789,73,"W",67.236
NA,81.68,40.797,17.211,46,"Class3",34.311,57.187,62.925,86,"Y",79.02
60.953,23.139,36.726,35.034,47,"Class1",16.425,6.413,6.865,18,"N",36.606
8.089,35.712,34.614,34.147,95,"Class4",87.001,53.087,53.61,80,"W",58.668
51.685,70.144,76.122,63.231,79,"Class2",14.84,63.482,19.177,87,"K",61.243
65.242,64.234,69.464,46.482,79,"Class2",22.088,86.064,32.419,88,"O",83.691
68.518,70.596,81.476,43.849,79,"Class2",14.357,36.202,23.497,83,"M",73.514
42.982,64.244,70.212,40,79,"Class2",16.596,39.602,30.325,87,"M",78.061
9.86,29.682,37.544,53.301,37,"Class4",84.736,50.595,71.647,79,"B",63.61
73.437,83.649,41.717,16.844,28,"Class3",61.391,53.654,57.481,86,"Y",89.098
85.515,82.107,41.05,26.645,26,"Class3",37.895,75.53,90.781,93,"G",103.374
57.293,64.017,6.804,38.151,50,"Class1",13.832,70.993,6.518,24,"A",76.274
8.562,30.958,35.399,81.242,68,"Class4",58.254,53.693,63.193,79,"B",74.738
35.395,69.212,69.298,27.871,79,"Class2",23.038,75.634,35.035,84,"M",73.521
64.255,69.78,67.751,67.733,79,"Class2",31.459,57.012,18.478,91,"M",73.473
10.231,35.166,34.973,59.873,37,"Class4",73.024,54.278,4.15,79,"K",38.796
69.741,84.503,41.909,24.032,30,"Class3",47.092,70.874,68.876,100,"W",82.697
53.927,64.817,50.124,33.474,49,"Class1",14.367,57.84,6.067,30,"A",71.843
46.965,67.083,80.048,55.458,79,"Class2",30.25,67.178,23.17,91,"K",71.59
8.536,33.279,34.64,74.186,26,"Class4",84.102,66.326,59.001,79,"W",72.802
84.147,81.674,41.092,16.308,46,"Class3",83.74,92.045,63.063,87,"Y",62.504
55.462,63.376,75.741,37.204,80,"Class2",33.199,89.211,7.444,89,"K",65.502
60.337,47.053,126.424,38.836,7,"Class1",13.472,44.289,6.329,29,"N",-18.152
84.564,64.455,75.646,69.281,79,"Class2",20.035,11.297,12.491,85,"M",66.768
9.587,34.887,37.007,51.343,85,"Class4",83.702,37.447,37.912,69,"D",63.045
56.026,56.651,42.717,34.56,35,"Class1",10.627,54.486,8.2,10,"H",59.42
57.637,68.507,73.993,42.375,79,"Class2",31.919,65.017,14.695,84,"K",67.192
9.102,28.866,38.132,19.05,48,"Class4",71.062,48.101,36.62,81,"B",40.752
48.565,83.15,74.972,28.816,24,"Class1",16.563,35.048,6.549,33,"H",71.092
80.087,64.269,82.183,55.89,80,"Class2",28.761,43.561,42.168,80,"M",71.538
10.305,36.266,35.7,59.393,77,"Class4",75.414,68.51,22.583,65,"B",72.939
58.552,23.954,65.616,20.114,33,"Class1",11.726,75.282,8.119,20,"A",19.219
75.218,85.823,41.346,31.412,25,"Class3",47.654,72.239,60.597,98,"H",56.346
70.468,67.233,69.412,24.936,80,"Class2",30.797,34.385,37.124,90,"J",74.818
79.008,80.319,41.388,20.413,48,"Class3",62.545,74.914,20,82,"Y",91.008
8.859,31.865,35.468,33.029,28,"Class4",63.399,63.809,37.982,69,"W",51.758
9.385,30.775,36.087,8.425,31,"Class4",78.701,89.734,20.024,79,"K",75.901
53.357,35.266,38.949,35.687,22,"Class1",14.443,40.38,7.64,32,"H",-6.099
48.253,56.68,5.522,32.81,58,"Class1",13.29,44.562,8.127,27,"W",83.754
41.021,67.955,75.432,51.831,80,"Class2",30.356,29.993,9.79,80,"J",70.513
8.383,34.223,35.105,38.168,61,"Class4",62.992,56.059,54.948,78,"W",61.049
34.951,63.306,73.61,58.201,79,"Class2",17.568,46.394,20.406,81,"J",72.682
10.587,32.608,34.504,53.481,66,"Class4",59.197,28.267,26.388,86,"D",56.946
51.234,64.161,67.011,50.479,79,"Class2",25.95,56.539,15.569,81,"K",67.11
52.761,44.831,NA,21.776,51,"Class1",11.318,5.033,6.656,11,"U",102.687
54.851,59.402,76.645,49.158,79,"Class2",34.61,57.557,15.345,85,"O",73.184
71.161,64.712,79.761,27.131,79,"Class2",31.786,92.308,11.857,83,"K",72.784
10.85,27.622,36.67,34.887,82,"Class4",77.484,14.65,10.282,70,"H",73.53
9.512,36.396,35.653,48.268,27,"Class4",67.596,58.91,15.596,79,"B",52.283
10.806,29.392,35.869,96.121,94,"Class4",77.754,22.433,25.135,68,"D",44.027
37.007,69.615,62.049,30.909,80,"Class2",22.582,99.282,22.933,82,"O",61.76
82.93,79.748,41.327,27.216,38,"Class3",58.465,66.232,88.539,77,"W",77.378
79.668,80.567,42.339,14.209,24,"Class3",66.106,75.502,56.597,83,"Y",32.326
48.574,22.855,33.528,30.694,32,"Class1",15.837,63.894,8.561,9,"W",60.638
8.147,29.844,36.38,42.145,73,"Class4",71.351,13.318,64.218,77,"D",32.94
69.354,86.666,NA,16.474,30,"Class3",85.043,70.416,43.685,88,"H",35.457
73.548,68.358,NA,29.842,79,"Class2",17.728,8.719,20.138,82,"J",68.439
46.884,40.395,-10.808,20.97,39,"Class1",13.698,74.698,6.564,27,"N",97.759
56.046,16.944,33.907,21.721,55,"Class1",13.022,40.477,7.249,22,"A",54.669
56.536,66.486,87.41,53.307,79,"Class2",17.451,24.113,10.917,84,"O",70.836
47.456,61.095,57.553,28.939,11,"Class1",11.789,18.744,8.835,9,"A",42.612
50.11,42.871,73.649,24.587,56,"Class1",14.43,32.382,8.6,9,"N",91.922
75.291,68.357,71.692,33.233,79,"Class2",20.586,60.198,11.093,83,"K",62.924
8.98,29.527,36.501,97.942,35,"Class4",85.807,60.572,7.178,85,"H",66.037
49.169,28.862,59.896,21.58,18,"Class1",13.879,69.436,8.484,10,"H",23.457
78.661,87.511,41.6,35.042,35,"Class3",58.293,83.076,79.851,93,"H",44.756
71.667,83.977,41.239,18.255,25,"Class3",56.089,72.314,25.159,93,"G",77.873
80.937,83.892,NA,24.958,24,"Class3",59.676,65.233,16.536,100,"R",55.818
9.281,32.137,35.608,38.186,55,"Class4",72.019,41.154,32.243,68,"H",32.427
