"AMD1","XIO2","NBE3","ASH4","MJG5","FRB6","NGE7","EAX8","Output21","EHW9","XLQ10"
50.327,49.633,65.809,11.641,63,29.521,"V",73.395,"Class5",18.597,12.548
24.586,65.171,96.081,56.615,42,51.686,"X",33.769,"Class4",86.559,22.437
39.343,43.367,66.361,16.077,93,25.469,"R",74.025,"Class5",9.819,19.795
49.516,26.401,36.8,59.471,87,91.533,"E",64.843,"Class2",22.843,31.586
25.179,59.941,55.765,51.486,52,43.608,"J",41.043,"Class1",84.496,83.523
66.133,89.212,80.607,56.739,34,24.493,"G",52.46,"Class3",59.072,42.301
53.949,19.814,66.77,19.041,59,30.789,"R",82.279,"Class5",27.351,13.272
11.99,53.033,92.476,63.66,40,40.645,"I",31.327,"Class4",92.604,40.308
40.457,35.213,79.316,8.667,53,33.659,"D",77.628,"Class5",-13.367,13.328
10.442,50.35,94.538,57.774,20,51.25,"L",35.769,"Class4",62.699,25.703
34.68,25.689,21.083,72.877,88,90.6,"Z",42.803,"Class2",29.006,24.984
32.821,24.689,45.804,79.703,94,91.474,"O",56.073,"Class2",36.249,32.684
48.036,53.018,72.762,17.565,79,31.373,"S",65.542,"Class5",45.661,18.233
NA,42.004,80.558,12.728,91,29.58,"X",62.895,"Class5",10.363,NA
53.778,50.651,70.245,16.716,70,37.631,"V",92.699,"Class5",78.329,16.272
27.747,53.101,94.086,75.93,62,38.529,"E",31.974,"Class4",70.97,17.798
50.208,47.601,29.932,-7.837,49,63.092,"A",44.503,"Class1",82.772,84.386
14.986,52.849,96.586,42.281,68,42.99,"L",36.667,"Class4",60.374,17.623
46.916,51.164,80.561,10.394,91,27.845,"X",57.253,"Class5",36.646,13.706
2.221,94.473,79.567,17.644,18,25.358,"J",51.296,"Class3",49.367,41.557
53.607,90.755,65.551,29.52,56,6.443,"B",41.153,"Class1",85.535,65.429
17.174,49.326,98.692,30.364,6,51.505,"E",38.815,"Class4",60.315,44.775
47.612,50.836,26.82,63.716,47,25.763,"J",44.392,"Class1",83.875,80.319
9.194,50.479,96.376,72.148,18,57.243,"I",41.844,"Class4",45.28,23.768
49.362,75.469,74.069,60.593,37,50.425,"Z",40.846,"Class1",81.959,89.519
28.189,47.607,56.793,52.297,43,32.765,"Z",40.729,"Class1",82.015,67.446
49.484,24.015,26.278,41.052,81,91.61,"E",42.286,"Class2",27.075,53.499
41.903,53.892,70.683,10.208,85,27.233,"V",79.973,"Class5",55.653,22.912
17.364,59.047,65.437,61.527,49,67.467,"I",43.055,"Class1",84.986,67.471
27.288,91.809,25.333,48.697,52,30.874,"Z",42.297,"Class1",82.14,59.066
32.123,27.422,53.824,68.266,94,91.982,"Z",42.102,"Class2",42.616,61.377
39.446,60.589,69.979,10.468,69,24.505,"V",66.532,"Class5",28.303,20.735
33.837,48.653,27.666,13.722,57,7.001,"A",44.462,"Class1",83.551,68.531
21.952,53.433,87.128,59.373,5,46.741,"K",40.302,"Class4",49.032,11.289
7.765,75.142,57.135,26.895,40,18.462,"T",24.891,"Class3",59.041,41.04
36.82,27.21,50.742,15.664,92,91.726,"X",38.329,"Class2",30.114,30.198
43.314,31.655,78.583,15.755,63,26.672,"V",77.977,"Class5",63.852,NA
44.32,56.8,78.847,9.835,93,26.44,"X",56.552,"Class5",73.983,13.962
39.694,26.461,26.523,98.438,86,91.296,"R",53.853,"Class2",25.553,30.349
83.485,84.463,75.911,35.807,18,2.131,"T",10.923,"Class3",44.564,17.76
41.846,25.689,18.903,68.192,83,92.261,"E",58.376,"Class2",40.004,NA
23.812,53.014,94.924,73.179,42,47.822,"K",38.473,"Class4",57.745,14.272
64.934,91.286,50.823,73.447,32,38.11,"T",22.237,"Class3",51.5,36.386
46.937,23.333,62.186,10.466,79,36.447,"S",82.966,"Class5",3.353,17.427
19.673,65.225,88.966,68.421,55,56.536,"E",28.928,"Class4",53.557,31.579
36.949,59.088,96.775,35.8,9,57.978,"E",28.282,"Class4",76.84,19.051
38.445,53.693,74.524,15.558,78,26.126,"S",65.605,"Class5",18.38,6.665
32.072,49.048,92.078,53.317,72,42.212,"I",36.514,"Class4",75.197,22.887
40.391,87.587,82.306,63.758,18,41.565,"J",28.862,"Class3",40.682,49.034
55.406,80.603,77.147,53.305,20,33.41,"G",50.363,"Class3",64.526,10.189
46.062,25.019,41.017,57.249,91,91.589,"E",53.345,"Class2",32.446,38.138
17.877,57.256,96.127,50.468,40,52.481,"X",35.649,"Class4",59.91,32.43
45.003,35.85,76.867,9.896,64,34.456,"V",61.023,"Class5",41.694,9.63
23.29,52.713,91.055,68.309,7,50.706,"X",41.121,"Class4",67.188,24.691
37.072,24.61,29.171,16.501,80,91.773,"R",50.288,"Class2",27.735,36.968
53.153,82.636,56.312,16.532,41,26.716,"T",33.246,"Class3",52.817,48.456
28.748,62.422,91.401,71.511,38,48.623,"K",41.832,"Class4",80.552,36.752
27.135,26.101,36.975,52.436,94,91.03,"Z",67.177,"Class2",27.372,38.513
NA,85.224,51.912,89.841,58,1.967,"B",42.233,"Class1",85.653,80.41
33.185,84.581,55.447,46.683,47,41.839,"A",27.574,"Class3",48.186,48.211
44.666,64.893,19.266,34.289,61,39.565,"J",43.294,"Class1",81.856,74.311
49.321,84.209,77.998,50.251,39,46.7,"J",43.741,"Class1",83.363,NA
1.016,78.439,54.981,36.575,40,23.514,"A",11.797,"Class3",56.167,40.806
10.208,51.981,90.212,68.734,49,47.186,"L",31.302,"Class4",53.515,19.078
7.626,60.687,95.994,66.622,52,41.059,"E",32.342,"Class4",90.135,32.197
44.109,28.102,79.104,14.052,83,20.027,"V",66.688,"Class5",67.024,NA
39.3,55.139,72.436,10.227,60,19.556,"X",61.085,"Class5",11.977,19.633
43.514,75.766,21.722,43.457,52,70.694,"J",43.293,"Class1",83.99,70.328
49.184,64.445,78.638,27.076,43,36.102,"J",39.011,"Class1",85.775,49.184
NA,52.74,63.279,12.641,65,23.965,"V",89.336,"Class5",24.92,14.679
68.099,89.981,86.452,56.398,23,43.63,"A",18.184,"Class3",54.282,64.197
15.722,75.239,51.59,65.46,46,40.148,"G",37.477,"Class3",56.189,62.442
34.733,27.082,47.081,42.457,81,91.257,"E",33.846,"Class2",45.053,27.812
37.223,23.563,50.999,61.19,83,91.424,"R",35.003,"Class2",28.903,30.063
74.387,90.744,52.569,30.723,38,40.195,"T",30.406,"Class3",41.174,43.66
77.607,75.953,61.975,23.401,25,24.799,"J",27.841,"Class3",39.035,62.158
29.645,57.833,96.167,40.281,40,47.694,"I",37.76,"Class4",75.184,35.204
17.341,66.588,97.036,57.177,52,49.737,"E",31.772,"Class4",75.027,40.26
NA,72.575,50.045,31.62,47,32.936,"J",22.078,"Class3",44.823,53.19
42.017,62.145,26.554,43.527,39,54.816,"Z",43.866,"Class1",84.297,72.683
19.782,78.396,18.735,71.051,46,60.06,"B",41.237,"Class1",85.669,NA
30.302,25.053,58.042,50.229,95,91.5,"R",47.808,"Class2",38.812,36.791
13.415,86.974,69.403,51.158,20,4.707,"J",19.197,"Class3",56.008,36.483
15.137,54.183,97.182,89.819,71,56.973,"X",31.531,"Class4",73.203,20.696
35.645,76.962,46.63,16.887,43,6.069,"B",40.887,"Class1",82.398,58.134
36.611,55.988,90.14,76.747,56,53.752,"E",32.562,"Class4",75.384,29.333
41.689,68.17,77.5,51.835,42,46.934,"Z",43.117,"Class1",85.901,69.632
52.534,44.258,67.455,8.848,96,33.962,"X",60.463,"Class5",59.255,10.631
26.125,63.024,92.654,54.157,15,43.154,"E",42.514,"Class4",70.056,37.823
49.87,83.696,19.498,80.515,36,47.246,"B",44.508,"Class1",84.103,73.761
48.229,78.908,23.34,41.572,59,-2.442,"J",43.773,"Class1",82.5,62.312
53.592,70.75,76.509,23.593,55,33.73,"Z",40.793,"Class1",82.503,63.026
25.703,88.843,75.274,66.518,36,37.057,"D",47.108,"Class3",53.716,23.872
37.085,21.498,79.361,15.136,73,33.167,"X",60.532,"Class5",47.115,17.799
33.321,23.827,13.41,41.791,94,92.331,"Z",56.298,"Class2",39.516,40.101
18.457,89.322,78.182,9.761,55,49.035,"Z",41.769,"Class1",85.425,77.097
30.333,25.124,52.105,46.617,78,91.659,"O",34.004,"Class2",19.944,34.096
15.609,64.408,99.721,50.193,78,42.706,"X",31.818,"Class4",64.072,30.768
7.319,50.551,92.178,25.874,32,53.928,"L",42.75,"Class4",66.341,20.247
46.962,29.687,77.02,13.098,85,32.366,"D",91.424,"Class5",34.481,12.599
49.374,23.376,60.262,11.675,91,29.654,"R",70.173,"Class5",30.567,12.895
28.784,94.062,67.293,81.242,26,15.314,"D",40.62,"Class3",48.521,39.634
28.002,23.234,16.719,48.629,94,90.803,"O",55.685,"Class2",29.589,43.795
NA,82.182,74.15,35.409,34,20.626,"D",43.902,"Class3",59.061,43.478
22.043,62.756,99.463,52.899,4,51.329,"E",40.305,"Class4",49.022,19.879
NA,51.572,52.621,104.274,63,63.919,"J",39.887,"Class1",84.883,66.441
NA,50.685,47.22,4.698,40,49.269,"I",41.619,"Class1",84.486,71.288
26.284,79.147,76.738,59.646,37,38.973,"I",39.402,"Class1",81.955,67.452
42.477,35.163,81.171,17.242,94,21.355,"R",61.351,"Class5",21.733,12.07
47.498,47.984,67.858,10.452,84,30.307,"V",85.745,"Class5",44.247,20.132
48.691,24.237,47.044,33.478,83,91.009,"O",60.432,"Class2",23.67,40.092
31.151,56.422,63.369,65.474,50,73.88,"Z",41.549,"Class1",83.937,59.1
41.076,77.277,67.297,54.617,23,28.155,"D",52.474,"Class3",50.944,47.33
36.77,65.744,37.305,31.083,49,25.66,"B",41.618,"Class1",83.365,60.225
24.628,63.888,14.725,75.428,47,64.561,"Z",39.643,"Class1",83.152,63.705
45.325,49.192,75.837,10.012,86,37.667,"S",74.554,"Class5",34.984,14.736
35.861,61.403,99.574,44.885,21,40.269,"L",30.511,"Class4",73.395,18.352
46.995,51.719,45.428,68.587,38,52.302,"B",42.403,"Class1",84.918,70.622
53.496,62.145,68.582,4.858,69,17.48,"V",73.477,"Class5",74.414,8.835
43.52,28.145,81.545,10.953,95,25.657,"R",91.388,"Class5",24.687,24.783
23.483,82.563,60.594,89.397,40,15.52,"Z",44.752,"Class1",84.402,75.858
45.04,23.56,58.412,60.412,95,90.752,"X",56.05,"Class2",18.787,45.086
51.15,36.255,81.776,7.637,78,25.773,"R",81.286,"Class5",30.451,18.67
15.248,62.214,99.527,38.671,47,54.255,"K",39.624,"Class4",64.663,19.659
43.554,25.913,34.457,71.123,90,91.684,"X",42.182,"Class2",39.27,48.015
8.999,89.718,53.69,43.902,47,32.033,"A",15.66,"Class3",40.951,27.156
35.963,24.413,15.098,41.93,88,91.22,"O",56.622,"Class2",24.041,56.639
16.483,61.146,99.103,46.132,64,49.838,"X",24.904,"Class4",57.936,21.272
49.813,79.756,80.392,43.821,27,14.755,"T",14.344,"Class3",50.762,36.361
44.123,26.228,55.01,80.534,79,91.885,"X",37.895,"Class2",44.077,52.84
44.486,24.121,80.19,10.653,92,23.263,"X",55.059,"Class5",64.128,11.112
49.086,25.381,33.074,58.765,88,91.052,"R",61.444,"Class2",31.179,42.236
33.373,59.317,46.804,56.612,52,34.348,"Z",42.563,"Class1",84.446,63.449
29.808,25.143,17.879,64.439,95,91.196,"Z",52.001,"Class2",26.266,35.97
27.912,61.134,46.75,45.104,43,43.786,"Z",40.043,"Class1",82.449,78.16
29.356,62.82,94.642,48.599,34,51.284,"K",25.468,"Class4",82.363,16.376
31.211,56.859,90.698,60.167,18,56.193,"K",25.231,"Class4",67.126,35.767
49.119,23.875,17.457,33.546,82,91.338,"R",51.527,"Class2",32.595,64.656
43.58,71.957,32.831,41.04,49,63.949,"A",43.037,"Class1",86.721,64.002
27.654,84.766,72.751,8.616,39,46.043,"A",42.261,"Class1",83.434,70.751
24.319,44.752,35.098,36.832,56,65.09,"I",43.075,"Class1",83.945,86.746
42.594,34.619,72.894,10.368,73,30.419,"V",87.32,"Class5",100.274,12.631
37.784,27.051,50.715,70.328,87,92.092,"E",45.959,"Class2",22.728,57.169
46.151,60.376,53.335,59.222,42,52.233,"A",42.342,"Class1",85.989,57.379
36.205,26.178,19.095,61.278,86,91.491,"X",57.965,"Class2",29.375,46.746
75.855,74.519,70.685,53.231,36,29.131,"A",14.711,"Class3",49.837,30.671
9.109,72.705,55.421,39.927,23,28.809,"D",25.552,"Class3",52.866,43.67
46.396,31.152,70.663,10.375,73,27.154,"X",57.875,"Class5",33.107,12.345
42.542,23.915,33.492,62.392,87,90.769,"Z",29.833,"Class2",31.677,39.724
50.673,90.697,73.858,36.524,22,50.076,"D",42.814,"Class3",51.997,24.001
41.363,63.318,78.786,11.605,66,36.317,"V",85.099,"Class5",72.011,10.146
37.302,73.892,56.692,39.408,16,20.095,"D",16.602,"Class3",50.255,29.248
53.974,41.116,67.528,9.261,63,29.906,"D",76.837,"Class5",19.765,20.969
24.948,86.629,69.681,21.6,29,29.328,"T",44.583,"Class3",62.288,22.815
42.756,20.004,83.332,9.524,63,29.354,"R",61.594,"Class5",48.49,18.339
10.289,56.487,88.402,44.066,70,55.579,"I",35.931,"Class4",64.109,30.816
32.9,24.299,18.722,40.686,90,91.705,"Z",54.562,"Class2",32.209,47.905
53.709,60.608,80.693,58.245,41,82.897,"B",43.348,"Class1",83.563,80.514
27.777,58.984,95.723,59.796,40,46.567,"E",23.035,"Class4",88.386,23.565
51.123,31.497,82.8,13.496,68,32.767,"D",65.172,"Class5",20.55,4.152
51.242,68.047,34.491,72.908,47,67.134,"B",39.987,"Class1",86.407,NA
NA,63.692,90.397,32.828,67,47.105,"X",32.116,"Class4",46.941,45.817
41.653,26.802,30.478,65.049,95,91.659,"R",28.948,"Class2",32.403,33.97
NA,49.761,78.997,14.513,60,31.458,"S",89.728,"Class5",-3.324,18.262
50.293,51.308,78.758,8.547,92,30.929,"S",59.567,"Class5",68.987,15.516
36.402,55.536,88.445,57.471,49,50.506,"K",33.985,"Class4",72.381,32.442
38.15,25.656,49.632,62.264,91,91.173,"E",32.307,"Class2",31.575,41.652
53.143,30.679,68.699,15.428,82,27.513,"X",64.699,"Class5",39.313,10.81
18.288,51.293,99.179,55.03,62,47.125,"I",27.598,"Class4",67.172,31.4
42.847,19.756,70.079,4.31,96,30.885,"S",59.639,"Class5",94.486,NA
23.471,52.56,93.667,40.288,4,50.031,"E",25.675,"Class4",89.759,26.234
42.718,49.441,15.917,43.612,59,39.874,"A",43.572,"Class1",85.492,69
38.794,22.479,83.11,18.56,93,29.725,"D",81.96,"Class5",13.187,11.671
37.855,24.566,44.647,72.627,78,91.968,"X",35.164,"Class2",21.593,83.731
49.485,24.59,36.345,57.308,92,91.721,"Z",52.792,"Class2",17.991,NA
38.607,50.952,63.75,14.677,68,23.196,"R",78.364,"Class5",45.212,12.269
38.942,24.926,78.814,14.644,54,35.4,"R",73.305,"Class5",53.386,16.966
28.54,27.399,36.806,43.783,88,91.523,"E",55.425,"Class2",32.784,42.832
14.039,54.525,95.157,49.078,82,51.87,"K",25.046,"Class4",73.533,20.461
15.48,54.286,88.441,47.476,8,51.375,"L",25.35,"Class4",55.394,29.41
36.631,58.73,92.997,56.741,8,49.687,"X",31.104,"Class4",66.109,29.823
88.039,76.096,56.573,46.949,33,13.679,"A",16.968,"Class3",41.837,42.191
29.912,54.954,47.424,25.047,44,64.33,"Z",44.887,"Class1",85.933,73.361
47.533,63.38,81.783,5.614,81,25.189,"S",55.447,"Class5",52.416,11.029
8.987,58.218,89.81,48.424,44,48.742,"I",34.858,"Class4",49.192,32.641
29.155,78.924,50.508,21.634,52,38.387,"J",44.844,"Class1",83.263,66.14
34.956,49.25,91.974,41.099,63,44.491,"E",28.935,"Class4",74.665,21.389
72.532,84.226,65.005,50.004,44,6.302,"T",42.304,"Class3",50.509,27.488
21.734,66.77,54.765,45.697,39,63.258,"B",42.335,"Class1",84.468,74.425
NA,78.078,65.393,63.153,48,26.345,"B",39.573,"Class1",83.338,55.753
43.291,21.751,71.776,12.463,74,27.08,"V",70.072,"Class5",34.662,15.323
41.076,66.017,62.874,48.533,55,32.184,"Z",40.835,"Class1",84.445,NA
38.456,26.464,10.214,44.248,86,90.775,"X",56.352,"Class2",29.169,49.919
52.524,30.155,67.38,14.334,69,23.731,"V",88.146,"Class5",54.359,13.416
26.533,93.333,51.469,74.673,59,47.539,"A",41.642,"Class1",82.766,69.917
NA,69.978,20.244,40.158,55,32.184,"B",39.217,"Class1",84.585,60.352
25.593,77.196,20.262,86.599,39,42.455,"J",44.123,"Class1",86.031,62.901
74.789,85.389,65.349,56.016,31,17.998,"T",24.147,"Class3",52.818,39.524
48.097,25.133,50.573,78.067,79,91.255,"R",53.527,"Class2",23.517,42.817
35.763,52.138,96.593,45.599,64,48.103,"E",36.898,"Class4",77.535,19.681
9.418,52.131,96.053,33.653,81,47.416,"X",26.202,"Class4",46.793,42.129
31.888,24.104,47.783,68.119,90,91.215,"R",38.839,"Class2",28.244,40.356
33.969,27.091,46.6,49.9,81,90.982,"Z",53.17,"Class2",38.089,39.212
20.578,65.273,89.007,58.38,22,49.881,"I",24.47,"Class4",70.054,11.247
47.525,32.613,77.229,11.644,94,25.931,"R",59.279,"Class5",17.208,15.832
45.402,24.564,81.721,8.052,77,26.032,"R",78.755,"Class5",59.43,17.348
38.635,44.638,79.336,49.916,54,61.136,"I",40.783,"Class1",84.237,75.03
34.123,66.183,43.182,55.636,57,37.568,"I",39.636,"Class1",84.142,68.295
50.032,77.435,55.393,93.127,41,90.971,"Z",40.799,"Class1",86.165,62.96
24.159,87.746,20.47,56.954,40,18.111,"I",41.336,"Class1",84.632,67.045
13.745,74.066,66.213,67.008,35,22.678,"G",30.902,"Class3",63.828,24.339
40.31,26.162,21.584,66.093,82,91.454,"R",36.041,"Class2",28.476,34.881
30.942,76.267,68.344,71.955,41,50.99,"J",39.073,"Class1",83.814,62.593
NA,52.234,89.688,44.91,7,44.917,"I",32.199,"Class4",63.531,36.88
31.043,77.729,85.127,60.008,17,26.431,"D",17.275,"Class3",46.355,7.662
50.522,57.793,76.492,12.201,94,27.455,"R",90.387,"Class5",70.925,16.154
53.868,77.129,57.554,73.342,39,28.148,"J",39.98,"Class1",84.677,80.288
44.397,25.858,53.397,93.832,79,91.623,"E",52.611,"Class2",20.657,45.864
33.321,61.836,60.581,-7.23,45,40.324,"I",44.297,"Class1",86.677,54.58
30.943,89.697,65.151,43.986,40,31.801,"J",46.672,"Class3",51.922,45.002
49.433,20.989,80.319,10.312,81,28.481,"S",90.855,"Class5",49.796,16.108
25.973,65.919,88.924,47.99,44,45.677,"K",41.697,"Class4",76.54,16.372
30.788,27.825,51.12,66.891,92,91.383,"Z",45.185,"Class2",39.799,NA
51.667,25.161,71.723,15.647,84,31.318,"S",56.681,"Class5",23.851,20.517
43.479,24.327,34.538,40.798,85,91.427,"X",50.449,"Class2",31.959,52.346
37.585,51.915,90.528,69.377,7,44.646,"I",40.638,"Class4",67.195,18.134
48.53,23.566,28.619,57.642,78,91.485,"Z",47.743,"Class2",24.053,33.593
42.948,72.82,62.195,41.962,50,34.591,"J",42.887,"Class1",82.991,61.155
44.983,41.906,72.172,7.612,87,25.823,"D",59.109,"Class5",65.906,13.373
49.213,24.291,31.202,57.862,78,90.779,"Z",31.544,"Class2",36.971,33.639
30.708,51.213,88.716,33.244,24,54.007,"L",24.864,"Class4",75.654,13.536
30.13,53.23,87.169,53.135,8,38.732,"I",42.971,"Class4",72.091,NA
10.177,55.955,95.777,51.555,73,56.543,"K",31.321,"Class4",72.787,35.164
27.004,81.2,64.427,62.872,27,59.984,"D",48.379,"Class3",47.867,NA
30.205,27.456,59.752,78.095,90,91.776,"X",35.845,"Class2",24.049,46.073
36.982,73.427,19.056,40.741,46,21.767,"B",42.457,"Class1",84.229,54.66
46.382,24.891,26.831,64.892,90,91.411,"R",50.598,"Class2",28.085,51.485
89.96,93.709,70.796,45.533,30,34.941,"T",37.91,"Class3",56.026,41.808
29.857,26.856,47.124,67.664,88,91.233,"R",66.059,"Class2",25.511,39.785
11.617,86.491,60.903,38.635,46,35.31,"T",53.102,"Class3",54.086,53.721
32.539,52.213,94.349,60.711,16,46.802,"E",38.789,"Class4",63.027,21.098
33.841,26.825,14.419,49.589,90,91.396,"Z",29.258,"Class2",38.772,33.379
31.386,50.248,96.332,48.937,27,39.524,"X",28.802,"Class4",66.068,23.95
15.149,65.5,94.557,32.207,35,58.191,"K",40.033,"Class4",60.777,34.164
17.311,65.407,90.003,74.645,68,49.157,"K",32.978,"Class4",53.702,31.863
52.109,54.823,73.979,10.425,96,25.031,"R",78.374,"Class5",27.141,22.07
43.624,56.416,74.001,12.869,77,29.845,"X",55.406,"Class5",-12.124,19.203
48.855,56.906,78.307,30.744,62,55.044,"J",39.176,"Class1",83.344,62.837
31.837,90.919,74.791,61.875,45,43.36,"J",44.683,"Class1",85.757,66.56
49.997,25.426,9.84,32.857,78,91.833,"Z",30.959,"Class2",35.595,54.457
29.204,48.786,40.702,37.906,62,12.514,"Z",43.301,"Class1",84.087,75.485
23.564,62.344,94.969,52.374,30,53.875,"E",24.707,"Class4",55.122,13.229
38.957,44.223,67.317,66.794,52,68.805,"Z",43.533,"Class1",83.56,56.728
40.221,91.601,65.284,32.639,38,35.632,"A",41.552,"Class3",57.522,23.736
37.675,25.985,39.848,51.857,90,91.91,"E",50.402,"Class2",27.893,40.76
43.405,25.896,31.031,45.57,94,91.462,"Z",66.255,"Class2",23.558,57.63
37.455,26.296,54.403,39.467,90,91.805,"R",40.372,"Class2",20.972,27.811
52.001,47.643,16.282,46.617,51,57.173,"B",43.383,"Class1",83.123,75.219
83.818,80.741,58.353,40.372,25,-0.417,"T",29.276,"Class3",58.185,52.747
49.581,31.123,78.591,12.808,84,33.188,"S",71.877,"Class5",74.041,NA
23.116,92.829,71.519,21.629,40,36.851,"D",15.447,"Class3",57.299,61.671
47.384,63.767,80.721,6.83,87,26.152,"S",60.471,"Class5",-21.44,16.324
48.168,72.04,83.333,78.815,30,37.309,"J",47.831,"Class3",54.584,24.82
18.806,63.356,19.752,97.084,43,51.645,"J",44.781,"Class1",83.508,73.705
34.131,76.553,23.074,18.256,45,29.524,"A",43.442,"Class1",80.4,74.046
36.815,67.975,73.178,30.593,62,99.811,"Z",39.763,"Class1",83.381,73.577
71.623,72.728,79.39,64.338,22,1.126,"J",17.004,"Class3",53.822,24.801
33.942,24.733,31.702,29.304,87,92.182,"Z",39.623,"Class2",36.611,45.894
48.123,23.22,30.938,71.921,81,90.984,"E",67.594,"Class2",20.167,NA
NA,58.616,26.006,24.501,55,37.772,"J",43.488,"Class1",82.072,65.118
50.475,56.483,35.55,67.167,61,43.271,"A",41.47,"Class1",83.227,71.674
41.681,27.398,36.389,74.999,86,91.706,"E",43.668,"Class2",38.885,55.424
51.556,28.019,72.292,8.618,86,31.526,"V",64.643,"Class5",42.061,10.001
22.99,53.174,95.02,65.219,16,48.373,"X",37.489,"Class4",48.002,39.572
22.245,64.778,88.727,43.05,57,59.268,"K",41.428,"Class4",79.437,36.927
73.115,92.006,61.125,43.224,45,34.351,"G",25.528,"Class3",51.603,38.351
52.323,85.354,73.004,53.921,26,20.833,"T",28.945,"Class3",58.374,40.848
44.882,90.847,16.184,68.727,41,34.769,"J",44.247,"Class1",82.881,77.232
52.878,78.862,14.781,65.742,52,25.393,"I",43.237,"Class1",86.683,74.195
19.913,50.492,43.94,24.434,46,34.343,"B",42.911,"Class1",82.084,85.814
8.287,66.709,92.528,43.758,9,58.028,"I",30.008,"Class4",77.083,47.596
54.068,72.176,82.037,78.272,24,32.389,"G",32.527,"Class3",50.764,60.798
50.554,41.518,64.955,8.11,64,37.321,"V",56.309,"Class5",31.413,18.272
36.766,55.808,97.385,56.884,46,38.517,"K",36.796,"Class4",87.929,10.526
39.892,26.949,29.583,48.884,88,90.993,"X",31.411,"Class2",30.65,NA
36.573,25.262,44.58,59.55,82,91.796,"R",64.921,"Class2",39.743,39.604
NA,53.987,73.158,11.548,92,26.322,"X",68.946,"Class5",14.175,19.487
30.267,87.63,80.116,62.087,41,27.56,"J",20.707,"Class3",52.334,NA
33.478,94.845,24.722,57.393,40,23.95,"A",40.078,"Class1",84.404,74.298
NA,84.425,28.354,28.113,60,61.005,"Z",39.593,"Class1",84.494,58.552
42.018,55.121,35.319,94.243,38,49.09,"B",42.474,"Class1",84.96,62.787
49.66,58.019,76.129,10.076,94,31.059,"V",72.771,"Class5",68.821,17.01
52.533,61.848,82.866,9.792,77,24.022,"D",77.59,"Class5",38.638,16.551
37.59,64.213,65.489,10.211,73,32.058,"S",62.072,"Class5",63.699,18.842
75.625,77.416,56.397,59.544,47,6.563,"J",55.251,"Class3",55.466,30.919
46.489,62.328,70.578,16.767,68,26.071,"D",75.504,"Class5",29.246,21.252
62.946,77.397,79.896,54.003,43,-4.206,"J",49.725,"Class3",50.167,61.449
27.783,73.028,40.492,66.758,62,39.516,"J",41.941,"Class1",84.813,68.808
45.228,23.611,26.679,33.197,84,91.472,"X",66.17,"Class2",30.446,45.741
33.106,44.132,14.134,62.189,56,81.869,"I",42.348,"Class1",81.227,64.466
37.807,23.57,56.439,55.463,79,91.735,"E",52.998,"Class2",37.434,28.118
31.019,69.514,18.574,79.007,58,63.553,"Z",42.059,"Class1",84.099,62.262
22.1,55.622,96.776,52.934,6,47.469,"I",35.724,"Class4",82.997,32.4
40.682,41.361,69.899,10.264,79,34.265,"D",93.717,"Class5",57.428,12.95
30.021,25.266,27.021,60.898,94,91.249,"R",54.454,"Class2",29.026,53.205
33.065,82.991,34.395,30.856,47,60.843,"I",41.295,"Class1",84.59,56.938
28.852,26.842,28.866,74.141,90,91.84,"O",40.974,"Class2",38.546,58.164
50.237,54.075,69.015,13.32,76,24.275,"S",60.837,"Class5",74.577,15.029
40.808,53.164,83.625,12.803,94,26.814,"V",63.801,"Class5",22.867,11.046
37.199,27.262,30.498,34.285,92,91.362,"R",60.84,"Class2",37.758,24.444
20.581,64.062,90.82,31.214,22,58.306,"L",36.476,"Class4",52.048,23.658
19.159,66.363,55.468,65.107,59,42.215,"A",43.027,"Class1",81.062,62.146
52.88,63.444,80.305,47.292,53,74.447,"I",40.004,"Class1",84.617,69.839
20.596,61.552,94.799,56.077,55,43.724,"I",24.624,"Class4",47.843,14.972
43.218,48.248,80.188,7.302,85,27.645,"S",84.372,"Class5",64.659,18.198
37.117,52.37,93.404,25.992,38,47.856,"K",32.27,"Class4",62.061,11.833
85.759,74.264,85.912,66.513,34,13.745,"D",46.055,"Class3",53.065,34.057
61.203,72.634,59.995,32.678,46,12.227,"D",30.119,"Class3",59.978,NA
36.229,49.801,88.055,30.599,36,52.313,"K",34.308,"Class4",74.387,22.624
44.757,25.17,37.103,57.775,82,91.285,"X",58.513,"Class2",40.894,44.063
14.888,65.969,97.206,65.366,21,38.293,"L",27.157,"Class4",65.741,20.66
NA,94.036,63.051,28.287,39,32.809,"A",40.139,"Class3",63.765,42.235
21.204,84.621,54.49,70.783,49,72.664,"I",44.187,"Class1",84.84,78.406
30.914,27.091,56.532,42.52,87,91.511,"X",59.314,"Class2",29.176,63.406
17.253,93.764,51.115,49.69,51,53.753,"A",43.366,"Class1",84.879,57.894
19.196,72.404,55.481,73.795,36,31.642,"J",45.632,"Class3",54.887,40.056
50.842,39.198,69.479,4.274,60,27.45,"V",69.523,"Class5",67.934,15.565
48.312,84.065,50.841,84.835,34,18.895,"A",54.875,"Class3",35.669,48.938
18.507,65.916,15.027,85.06,54,38.362,"J",41.979,"Class1",84.098,75.034
37.597,73.545,71.479,43.413,37,31.528,"G",34.688,"Class3",53.535,27.777
22.48,49.373,93.634,60.53,37,47.31,"I",23.627,"Class4",65.824,NA
