"CAI1","LOM2","CNL3","ZIY4","GCO5","UQO6","HAI7","CWY8","SUO9","Output20","UNL10"
"N",50.193,35,106.798,26.32,31.387,54.836,29.709,44.028,"Class5",62.612
"B",70.745,32,98.583,42.15,96.814,72.892,42.472,16.389,"Class3",96.505
"C",35.062,28,45.698,84.758,36.334,51.18,44.387,53.836,"Class4",18.5
"Z",61.847,84,24.853,15.354,29.603,66.688,89.476,65.929,"Class1",26.886
"Y",71.614,16,21.052,53.506,90.699,48.381,57.278,7.261,"Class2",39.296
"Q",51.522,70,57.611,26.338,32.325,63.756,38.089,79.639,"Class5",48.691
"Z",47.635,55,20.887,22.813,16.707,65.196,84.122,98.637,"Class1",13.024
"L",22.803,53,32.58,79.384,64.196,46.816,31.424,61.022,"Class4",24.194
"K",23.767,35,49.926,68.115,74.474,41.801,60.613,70.864,"Class4",20.174
"A",25.02,41,15.175,81.322,39.324,45.698,75.198,48.616,"Class4",20.64
"A",23.89,34,96.722,83.369,95.831,50.55,59.587,14.249,"Class3",86.761
"Y",48.858,35,93.452,84.207,95.417,50.882,48.2,10.033,"Class3",87.565
"B",50.121,34,92.932,67.335,95.877,66.144,51.135,8.843,"Class3",90.42
"W",47.081,59,57.856,26.318,11.264,43.127,32.343,73.496,"Class5",76.153
"W",51.398,70,115.209,34.008,38.567,52.671,36.498,45.193,"Class5",46.93
"B",35.626,33,93.658,52.476,95.016,51.379,37.913,13.493,"Class3",83.848
"Q",46.03,58,39.827,32.997,49.276,53.162,39.832,79.696,"Class5",43.462
"A",51.668,61,63.595,71.283,57.848,48.865,46.826,70.767,"Class4",25.161
"K",23.617,68,91.764,76.331,45.99,46.652,75.059,62.499,"Class4",23.247
NA,54.341,26,25.056,91.456,52.137,17.202,52.75,1.56,"Class2",22.168
"S",58.752,9,34.096,80.758,71.325,62.233,52.754,8.824,"Class2",32.968
"Y",44.221,34,94.378,89.95,92.564,68.081,58.557,11.357,"Class3",85.155
"D",55.294,35,91.919,42.967,95.477,53.354,18.619,16.494,"Class3",91.792
"D",50.263,70,18.695,14.77,15.207,69.252,86.68,69.484,"Class1",44.338
"T",42.1,76,21.595,8.654,36.359,67.846,76.149,84.931,"Class1",47.632
"N",46.871,42,68.635,34.01,75.872,57.779,44.704,39.998,"Class5",50.777
"B",67.355,49,20.184,9.039,8.501,66.445,49.011,54.31,"Class1",34.971
"C",44.247,15,89.542,76.841,28.475,55.103,78.296,46.357,"Class4",22.11
"U",62.718,14,33.551,57.328,88.535,29.678,73.681,4.843,"Class2",33.564
"D",63.989,7,39.019,59.056,96.513,28.261,57.038,5.398,"Class2",27.654
"G",60.356,71,24.876,16.135,5.255,60.254,61.209,60.829,"Class1",45.708
"D",28.843,34,96.65,53.307,91.385,55.145,54.091,12.942,"Class3",72.81
"B",67.471,60,22.795,17.636,15.003,59.254,62.069,61.776,"Class1",18.73
"T",59.326,85,20.957,18.42,22.693,62.991,51.383,82.894,"Class1",25.94
"Y",46.275,34,93.968,31.419,92.8,83.261,10.172,11.98,"Class3",77.142
"U",38.613,10,22.432,60.528,52.317,42.335,52.226,11.135,"Class2",34.808
"D",55.384,80,18.3,12.975,14.61,62.743,84.612,66.708,"Class1",22.555
"T",60.876,85,19.129,16.178,34.553,67.99,64.331,66.002,"Class1",28.438
"T",42.21,81,15.842,9.069,27.785,74.542,62.031,46.076,"Class1",22.896
"A",47.992,56,80.189,89.761,58.101,56.454,23.555,NA,"Class4",19.653
"Z",49.173,51,19.665,11.92,32.142,67.368,54.856,80.841,"Class1",32.738
"L",56.047,34,96.383,77.574,93.076,56.796,58.18,11.517,"Class3",94.98
"K",29.615,37,24.388,75.86,58.02,48.264,66.796,50.631,"Class4",27.344
"D",57.516,5,40.152,90.328,68.583,55.466,70.456,7.099,"Class2",43.834
"D",68.708,58,22.405,8.689,16.606,59.153,47.935,55.952,"Class1",18.657
"N",50.104,46,11.502,34.251,12.931,46.823,39.57,41.959,"Class5",56.468
"P",46.9,39,74.29,34.145,34.955,44.877,38.084,62.156,"Class5",26.523
"T",41.154,51,21.361,11.782,14.33,63.468,88.843,62.148,"Class1",26.014
"P",47.196,51,77.007,26.447,19.355,44.546,39.844,59.077,"Class5",47.013
NA,50.857,68,45.692,28.568,2.258,37.173,26.481,51.495,"Class5",53.11
"Z",49.116,87,19.652,13.105,31.437,68.327,69.399,94.149,"Class1",35.37
"Y",76.588,32,99.07,37.626,101.226,83.879,49.791,5.634,"Class3",81.525
"W",46.083,39,68.874,31.003,47.424,46.07,51.456,59.114,"Class5",47.936
"K",49.838,25,83.112,77.377,67.822,45.181,54.419,50.461,"Class4",26.661
"K",44.2,61,64.007,76.89,17.085,51.027,45.15,48.006,"Class4",27.112
"Z",44.686,4,23.794,65.744,79.073,19.318,54.393,7.904,"Class2",31.953
"N",47.254,52,58.471,25.383,13.871,38.361,37.193,61.577,"Class5",47.521
"B",56.471,65,23.351,20.176,19.405,74.456,54.155,67.9,"Class1",30.318
"A",69.331,32,94.816,42.709,97.595,52.042,58.864,9.301,"Class3",91.703
"N",44.325,51,81.096,68.38,44.313,53.577,52.681,49.198,"Class4",19.814
"C",27.855,37,79.188,83.225,30.203,47.238,79.703,66.339,"Class4",24.109
"C",26.049,36,58.465,67.306,59.389,46.503,75.798,79.854,"Class4",17.759
"L",53.697,35,96.536,77.791,97.938,64.698,16.447,15.544,"Class3",82.122
"A",78.87,33,99.728,74.347,96.462,74.932,50.139,18.698,"Class3",83.531
"D",53.119,63,20.352,14.684,24.769,72.865,85.728,74.561,"Class1",54.355
"D",54.118,56,22.281,19.269,27.999,57.014,85.57,53.349,"Class1",32.744
"Z",54.574,51,22.108,10.192,20.368,71.986,55.25,96.82,"Class1",44.169
"D",34.034,35,95.99,40.87,98.405,72.513,27.213,5.865,"Class3",81.199
"A",31.65,31,86.1,68.16,54.873,54.827,60.193,74.879,"Class4",23.909
"N",50.796,50,72.437,26.105,29.992,38.336,41.254,75.013,"Class5",66.957
"C",25.563,53,82.082,78.428,49.48,61.403,44.089,68.656,"Class4",22.697
"Y",25.733,34,96.892,40.382,93.694,61.603,12.708,6.209,"Class3",97.019
"Y",57.153,7,6.941,56.764,88.258,41.276,55.279,6.09,"Class2",17.334
"D",46.424,7,30.01,83.728,68.944,44.733,59.25,8.251,"Class2",29.934
"G",46.758,78,23.1,11.487,17.869,74.432,71.645,87.908,"Class1",30.79
"D",66.651,68,21.231,17.934,15.841,65.52,81.976,50.796,"Class1",16.646
"C",11.785,22,84.936,80.199,81.299,52.259,47.493,50.606,"Class4",18.929
"T",61.748,62,20.9,17.365,17.775,74.641,64.26,98.36,"Class1",18.912
NA,52.198,23,22.485,92.434,47.385,33.891,54.977,2.339,"Class2",24.405
"Z",49.557,69,44.795,26.963,39.012,46.553,38.38,62.17,"Class5",86.807
"Z",48.651,71,25.482,21.793,1.732,61.839,93.93,55.627,"Class1",41.888
"L",16.565,11,50.728,76.405,68.577,48.171,32.91,81.996,"Class4",21.894
"N",18.012,9,69.915,91.961,49.418,55.363,42.676,53.521,"Class4",22.969
"G",45.955,58,22.3,7.702,19.347,64.874,54.928,53.106,"Class1",16.269
"A",37.693,34,93.767,37.67,96.346,79.076,41.472,5.501,"Class3",100.798
"S",74.533,5,39.274,86.844,69.925,22.169,67.202,2.479,"Class2",42.996
"G",67.555,67,22.975,11.407,25.823,62.623,59.723,77.847,"Class1",21.366
"Y",54.229,21,23.644,69.752,75.007,33.73,73.791,10.017,"Class2",41.081
"K",15.239,30,66.992,75.836,50.947,38.136,34.181,65.429,"Class4",19.78
"S",59.848,3,28.521,49.96,30.383,11.218,75.928,11.024,"Class2",28.711
"L",52.481,50,70.236,82.01,69.103,41.333,19.407,59.342,"Class4",20.242
"Q",44.746,40,42.135,34.523,60.944,46.605,30.009,87.101,"Class5",51.588
"L",38.605,9,80.665,74.19,43.43,44.826,68.706,60.434,"Class4",17.962
"K",47.179,15,77.225,74.487,71.17,55.174,58.495,66.7,"Class4",22.636
"N",47.117,52,49.883,31.948,56.587,48.188,50.473,65.206,"Class5",58.294
"B",49.244,32,93.474,51.866,96.872,55.153,37.271,9.678,"Class3",90.868
"D",24.171,34,94.645,87.935,95.15,47.167,31.148,19.724,"Class3",93.984
"D",72.301,23,46.217,61.044,41.435,40.153,53.36,7.958,"Class2",19.699
"L",24.236,33,95.281,46.695,95.164,70.154,23.807,14.469,"Class3",89.38
"T",48.019,73,23.473,16.398,17.759,63.822,47.83,74.193,"Class1",49.5
"U",40.062,23,19.289,82.994,70.326,24.375,75.383,4.357,"Class2",23.488
"Z",72.423,23,23.423,83.615,65.73,32.574,50.024,8.943,"Class2",36.086
"N",39.243,65,57.134,82.217,81.964,41.26,75.147,59.738,"Class4",20.397
"D",76.139,6,40.759,80.929,54.991,39.201,51.569,8.258,"Class2",51.153
"S",49.962,12,27.079,83.122,58.294,25.384,63.158,9.412,"Class2",50.298
"S",38.18,18,30.96,77.684,101.508,21.142,52.683,3.421,"Class2",16.261
"P",49.437,52,32.977,28.22,45.643,52.167,26.16,49.246,"Class5",46.473
NA,70.623,62,23.997,8.779,7.409,59.459,56.594,89.501,"Class1",22.307
"B",33.206,32,97.42,51.25,89.694,52.334,13.605,19.229,"Class3",84.934
"L",39.205,9,38.812,66.354,6.564,45.587,40.351,59.636,"Class4",20.039
NA,57.659,80,23.078,19.55,29.254,69.785,64.649,NA,"Class1",41.693
"A",71.206,34,95.957,74.619,93.43,75.943,38.483,10.649,"Class3",70.567
"U",42.95,21,29.085,63.805,54.168,31.364,66.945,3.584,"Class2",26.422
"D",55.58,68,20.859,21.356,19.524,63.667,44.734,98.012,"Class1",36.374
"D",56.778,33,96.67,98.338,92.397,60.05,51.455,16.024,"Class3",90.492
"Y",35.116,15,33.712,62.386,54.377,15.751,74.681,10.305,"Class2",34.071
"P",49.496,49,26.337,33.899,65.339,40.621,47.174,63.482,"Class5",47.867
"N",35.185,18,70.516,80.747,64.202,41.257,22.996,45.637,"Class4",24.828
"N",51.139,48,64.799,88.518,36.849,54.332,78.894,57.683,"Class4",21.245
"T",43.969,51,25.209,7.324,15.742,61.507,51.686,85.282,"Class1",43.372
"Q",48.952,53,27.326,27.789,33.047,56.206,36.905,64.967,"Class5",74.657
"N",46.673,42,83.39,31.404,56.679,50.243,35.253,39.343,"Class5",64.992
"N",44.438,57,39.535,32.701,9.751,50.506,37.185,47.227,"Class5",68.939
"G",68.54,53,21.51,12.873,34.776,56.622,85.519,51.385,"Class1",21.851
"Y",39.822,26,31.139,67.617,93.183,14.3,62.641,4.251,"Class2",43.764
"Z",47.456,47,31.575,34.067,25.718,46.697,38.609,79.352,"Class5",38.45
"B",74.543,33,95.551,66.39,102.363,48.921,42.139,17.592,"Class3",90.789
"L",21.207,5,61.056,80.726,5.722,47.212,39.726,63.546,"Class4",16.413
"A",28.66,55,99.168,91.838,53.03,48.497,24.485,67.849,"Class4",25.77
"D",70.924,35,93.258,37.644,92.152,57.774,21.805,NA,"Class3",95.947
"A",16.786,49,61.023,67.051,62.769,54.508,46.971,69.49,"Class4",21.797
"C",22.275,45,65.154,74.68,58.445,34.97,79.298,64.46,"Class4",19.063
"D",71.993,33,96.407,70.794,98.184,71.819,10.322,17.052,"Class3",93.444
"T",65.213,54,21.474,16.467,33.518,57.313,49.818,84.438,"Class1",46.715
"K",53.613,19,88.815,71.759,38.332,47.655,37.255,80.36,"Class4",18.754
"B",24.798,32,94.311,35.08,97.602,50.052,22.59,5.776,"Class3",82.511
"A",68.939,32,95.989,61.63,89.759,63.882,14.878,13.457,"Class3",74.887
"Y",39.946,35,93.125,79.436,88.646,72.618,29.955,16.356,"Class3",85.644
"D",74.423,24,20.853,53.122,51.584,46.199,72.846,3.621,"Class2",36.916
"Y",64.519,3,37.273,61.159,74.362,16.299,61.469,1.534,"Class2",20.106
"S",75.526,6,23.247,76.029,86.248,30.388,62.992,4.46,"Class2",51.191
"Z",45.38,35,57.202,33.158,40.176,33.725,50.089,49.279,"Class5",73.023
"U",79.386,12,20.645,42.062,75.285,32.305,75.369,3.136,"Class2",27.476
"Y",39.746,18,9.119,49.088,43.142,43.531,75.124,7.091,"Class2",36.312
"A",63.092,34,92.602,68.664,94.906,49.45,25.36,16.363,"Class3",84.556
"A",38.528,33,96.226,97.384,86.795,77.608,16.981,6.136,"Class3",101.964
"W",50.288,57,30.472,32.425,19.645,47.115,38.636,82.013,"Class5",35.741
"Q",47.411,62,44.766,31.685,13.446,50.706,39.575,69.569,"Class5",64.517
"K",33.956,27,86.408,69.822,55.559,51.752,71.083,57.455,"Class4",21.522
"Z",47.625,79,25.341,22.227,20.872,67.935,90.182,NA,"Class1",31.257
NA,49.541,66,33.03,26.882,25.009,36.052,38.694,42.921,"Class5",32.147
"B",69.349,78,19.606,10.056,6.268,62.441,83.999,75.044,"Class1",16.795
"C",12.247,17,54.286,81.809,26.007,32.302,54.275,56.867,"Class4",21.603
"Y",47.936,34,97.146,63.742,91.397,57.027,13.914,12.398,"Class3",94.4
"A",27.459,33,95.851,97.182,94.852,51.657,60.712,5.119,"Class3",93.278
"P",44.594,44,64.524,25.956,55.068,43.546,44.086,50.665,"Class5",44.318
"A",71.165,35,90.324,72.157,90.911,55.384,33.556,14.036,"Class3",96.564
"S",57.539,9,28.744,77.981,116.251,50.9,65.81,9.586,"Class2",35.473
"L",71.521,34,95.46,80.811,90.618,50.412,55.858,16.305,"Class3",110.509
"W",47.338,61,58.55,30.546,15.637,51.633,49.538,51.991,"Class5",54.432
"G",50.644,59,18.22,9.663,14.839,59.368,54.111,54.967,"Class1",23.665
"N",52.083,19,64.198,73.481,42.143,50.511,26.552,51.793,"Class4",22.061
NA,46.123,58,60.532,34.153,11.828,29.296,37.651,62.99,"Class5",50.657
"U",44.885,12,16.855,45.827,94.097,24.488,60.767,2.538,"Class2",46.252
"U",51.681,3,29.508,88.238,84.212,45.727,60.246,3.451,"Class2",38.051
NA,47.726,65,51.098,28.74,45.196,40.043,27.287,NA,"Class5",53.514
"N",50.727,56,26.748,33.319,-7.526,42.563,50.019,69.62,"Class5",41.216
"W",44.109,47,63.08,30.151,-6.759,44.107,53.965,47.665,"Class5",14.662
"Z",56.541,4,31.704,88.977,58.839,18.378,58.628,4.241,"Class2",35.506
"B",56.375,61,22.441,11.294,18.19,66.925,85.245,65.526,"Class1",30.729
"Y",36.99,33,94.777,67.619,99.479,64.699,28.799,12.734,"Class3",79.498
"C",13.165,71,58.849,77.337,13.27,46.799,60.861,62.155,"Class4",20.668
"Z",79.807,6,43.307,55.642,87.944,33.569,71.616,2.73,"Class2",45.043
"P",49.619,49,51.547,33.099,34.639,48.55,27.689,71.878,"Class5",13.772
"D",63.979,33,97.599,31.83,93.508,64.729,23.762,8.39,"Class3",87.567
"L",75.547,33,95.514,80.315,97.36,75.416,49.555,10.557,"Class3",72.633
"Q",48.58,34,66.881,30.41,6.776,47.95,44.643,60.604,"Class5",63.282
"N",37.102,9,38.801,71.35,29.437,44.78,44.674,50.732,"Class4",23.14
"L",38.031,33,93.479,73.348,94.802,65.418,10.338,13.464,"Class3",92.385
"G",60.899,80,22.571,7.169,16.513,61.624,82.475,71.351,"Class1",34.185
"G",46.546,78,19.5,22.735,22.259,63.969,70.883,54.848,"Class1",43.512
"D",61.801,57,22.572,7.914,22.15,64.455,58.866,47.881,"Class1",47.535
"S",44.871,24,42.809,76.257,53.808,0.455,68.187,8.745,"Class2",34.916
"B",37.211,33,96.012,83.027,92.28,43.71,41.603,13.081,"Class3",90.862
"L",44.956,33,95.461,60.753,95.123,42.461,17.852,19.606,"Class3",88.178
"U",51.514,9,30.673,65.223,35.445,40.557,64.133,4.036,"Class2",30.483
"A",27.855,8,78.077,69.304,82.176,42.595,45.7,65.199,"Class4",19.954
"Z",45.711,84,18.541,16.896,25.433,60.141,76.88,48.033,"Class1",27.231
"S",71.54,21,25.778,61.009,80.199,39.42,70.019,5.341,"Class2",44.452
"K",54.142,32,92.172,69.281,77.808,54.744,32.631,75.522,"Class4",19.899
"B",55.102,67,23.856,22.737,19.663,57.346,69.1,64.291,"Class1",45.349
"P",49.532,53,85.51,33.499,42.195,41.328,27.631,NA,"Class5",55.179
"K",34.597,54,91.213,66.083,24.134,49.908,76.253,50.632,"Class4",20.446
"A",28.747,33,90.621,66.444,51.476,44.622,78.936,53.029,"Class4",26.928
"W",51.781,38,34.699,27.459,30.2,37.524,37.333,75.525,"Class5",73.17
NA,45.995,35,84.931,32.444,24.374,51.2,51.671,50.225,"Class5",36.678
"U",55.343,24,36.414,71.706,75.555,45.591,62.01,6.993,"Class2",33.603
"D",33.236,18,15.106,68.632,59.71,46.316,50.946,6.934,"Class2",25.761
"T",42.096,67,22.232,8.322,21.497,70.66,92.573,91.356,"Class1",30.997
"W",51.907,38,72.389,28.64,32.191,39.32,33.518,44.244,"Class5",37.078
"Z",61.1,14,21.308,54.637,40.108,47.484,59.124,4.743,"Class2",34.811
"W",49.883,51,25.51,30.64,29.626,41.775,43.314,40.964,"Class5",63.983
"Z",34.493,20,11.177,51.178,89.634,14.198,55.397,5.869,"Class2",22.557
"A",21.372,62,49.247,76.007,60.873,51.514,58.107,71.304,"Class4",25.526
"K",43.289,31,40.839,73.373,71.654,43.346,57.532,51.171,"Class4",20.776
"T",61.69,69,19.945,14.847,21.197,68.932,63.23,86.643,"Class1",35.59
"D",41.42,35,95.638,97.205,90.363,61.614,42.03,18.268,"Class3",84.218
"B",43.44,56,23.016,15.489,18.421,66.806,74.802,65.1,"Class1",30.127
"Z",46.559,70,81.483,31.743,40.519,47.749,42.158,43.063,"Class5",45.089
"N",49.439,54,38.126,29.798,12.38,54.345,41.865,54.983,"Class5",39.383
"Y",71.073,2,25.795,75.387,54.888,70.61,52.237,10.835,"Class2",16.056
"A",52.965,70,74.663,90.9,31.84,45.153,23.166,79.786,"Class4",18.89
"D",60.152,63,21.666,9.752,4.631,67.839,66.985,83.133,"Class1",40.146
"D",44.807,34,96.899,45.734,93.904,90.134,34.913,14.766,"Class3",90.804
"L",33.929,67,51.789,75.359,59.633,49.286,52.044,52.368,"Class4",17.134
"G",46.668,67,19.754,7.51,9.678,63.836,91.894,46.154,"Class1",51.221
"Y",70.788,34,97.605,34.904,96.228,46.889,29.196,NA,"Class3",86.847
"A",29.114,35,99.758,34.276,83.002,62.809,34.421,6.975,"Class3",86.582
"Z",49.618,43,39.452,27.004,21.163,47.455,44.401,76.306,"Class5",65.481
NA,20.08,71,72.645,74.269,64.141,54.047,31.082,51.075,"Class4",22.691
"D",57.169,66,16.758,17.801,23.151,69.977,65.042,74.078,"Class1",13.016
"L",54.662,35,93.361,59.543,97.936,71.884,30.058,5.558,"Class3",95.055
"Y",56.609,2,18.558,71.415,72.315,31.302,54.862,5.233,"Class2",30.349
"S",77.591,25,32.931,46.681,56.129,8.872,53.951,7.487,"Class2",25.585
"N",44.889,30,41.062,91.842,33.992,49.289,52.096,NA,"Class4",15.929
"T",66.551,56,20.906,8.717,30.417,59.844,67.32,48.486,"Class1",13.663
"T",47.283,79,23.765,19.3,30.465,61.076,78.963,76.859,"Class1",33.203
"D",67.709,33,95.115,54.655,94.036,56.443,37.345,15.702,"Class3",79.601
"Z",69.228,24,20.798,68.616,53.242,39.908,65.953,6.887,"Class2",40.762
"W",51.121,61,23.578,33.264,24.752,56.508,39.053,53.406,"Class5",60.679
"S",37.414,24,28.461,93.657,75.788,57.727,65.075,8.656,"Class2",36.921
"N",44.754,62,84.894,27.306,2.261,33.767,30.87,54.155,"Class5",38.646
"K",18.629,23,65.535,80.127,50.974,52.456,30.228,50.094,"Class4",24.88
"D",47.84,51,21.222,21.491,38.124,59.464,77.64,68.909,"Class1",15.235
"Q",50.087,42,110.211,29.235,56.213,41.805,46.847,88.045,"Class5",40.576
"K",47.459,29,81.298,91.873,39.135,47.426,58.454,72.034,"Class4",24.942
"C",14.162,69,76.77,83.857,69.015,49.197,75.128,72.548,"Class4",14.25
"N",51.611,62,59.752,30.804,15.611,41.61,27.666,44.111,"Class5",46.421
"S",69.267,7,23.909,85.744,32.052,19.74,74.295,9.284,"Class2",4.586
"B",51.018,87,22.76,21.13,8.592,70.267,77.137,94.45,"Class1",25.949
NA,50.412,3,29.892,58.716,91.77,37.368,59.741,8.568,"Class2",29.306
"S",62.718,3,38.296,48.438,72.906,7.649,67.041,9.117,"Class2",38.079
"K",41.649,36,66.412,86.341,-4.791,49.094,52.777,80.021,"Class4",17.128
"S",41.678,17,34.006,54.117,89.288,28.185,74.76,3.188,"Class2",45.134
"P",45.054,40,23.188,26.012,19.717,48.778,26.151,60.57,"Class5",50.316
"D",60.016,52,22.826,8.103,32.77,60.678,50.718,47.394,"Class1",21.093
"Z",64.231,73,22.93,22.464,21.23,66.607,80.463,65.091,"Class1",25.775
"P",49.127,44,85.048,27.417,-8.912,44.374,29.385,55.273,"Class5",67.789
"Q",47.817,48,58.122,33.401,68.634,51.889,31.611,82.902,"Class5",53.48
"P",48.692,49,71.769,28.432,13.691,56.917,42.455,47.34,"Class5",15.28
"D",58.72,8,31.778,87.026,66.384,10.037,59.075,2.555,"Class2",23.377
"U",79.129,21,25.785,42.73,47.814,22.044,61.122,3.008,"Class2",36.691
"A",31.583,34,96.763,89.262,94.991,53.404,38.359,NA,"Class3",89.622
"B",28.819,34,93.015,46.011,97.15,73.112,15.895,17.857,"Class3",95.968
"Z",52.5,12,49.369,67.357,115.159,53.324,75.178,2.256,"Class2",23.761
"K",30.241,66,57.538,78.097,68.183,57.9,53.035,49.16,"Class4",16.497
"A",15.848,43,74.026,89.849,82.345,62.082,43.145,51.278,"Class4",18.318
"Y",71.772,32,95.503,35.761,103.003,61.941,24.206,8.513,"Class3",98.265
"L",23.759,60,38.291,72.08,76.827,47.645,59.874,52.955,"Class4",21.947
"Z",47.487,51,60.247,26.136,17.137,44.571,38.59,58.781,"Class5",14.651
"Y",64.101,26,2.682,84.276,58.406,42.491,50.624,2.022,"Class2",33.859
"A",50.813,45,57.455,90.328,98.229,48.184,75.453,71.698,"Class4",19.979
"P",51.438,69,22.084,26.325,20.808,41.683,39.206,89.442,"Class5",43.908
"K",48.399,59,33.423,77.912,34.413,50.968,58.027,70.26,"Class4",23.865
"D",70.096,59,22.16,7.69,27.86,55.707,44.865,72.198,"Class1",30.242
"B",71.654,35,93.312,35.2,91.662,75.241,57.022,14.1,"Class3",82.504
"C",50.119,22,63.077,81.583,99.198,53.842,28.907,45.592,"Class4",19.015
"D",64.731,15,33.317,69.132,70.507,19.139,71.707,11.976,"Class2",23.25
"C",16.331,29,61.524,83.588,44.866,50.334,60.503,69.039,"Class4",16.725
"A",68.506,33,90.665,71.818,93.589,69.883,24.024,5.159,"Class3",91.083
"Z",50.885,45,40.474,31.288,64.128,54.288,45.897,59.579,"Class5",29.337
"B",56.623,35,92.035,39.01,95.948,65.582,28.534,11.59,"Class3",88.88
"L",11.67,9,40.515,69.913,43.422,38.65,49.128,67.178,"Class4",19.705
"L",45.552,17,56.397,74.651,55.811,34.853,38.974,51.479,"Class4",28.846
"Q",47.89,67,49.895,31.26,30.251,48.769,52.369,48.632,"Class5",41.887
"B",27.73,32,93.845,69.22,96.676,54.921,11.533,7.52,"Class3",79.829
"L",64.211,34,93.19,61.348,88.025,58.794,33.95,19.67,"Class3",87.019
"B",43.773,33,99.64,80.826,94.073,57.597,57.542,8.363,"Class3",87.048
"T",42.027,74,23.854,7.767,39.85,59.125,45.193,81.814,"Class1",24.012
"A",69.771,33,95.144,32.465,91.768,61.186,49.391,14.114,"Class3",87.002
"P",46.423,66,57.487,32.735,-7.333,52.276,28.661,76.861,"Class5",32.826
"P",46.513,43,50.148,25.53,6.924,45.854,48.728,77.202,"Class5",54.07
"P",45.151,50,26.754,27.848,48.475,55.831,46.464,62.921,"Class5",73.633
"N",44.593,46,53.058,25.811,23.571,40.765,46.436,64.518,"Class5",66.723
"B",41.235,86,23.443,9.754,25.159,68.345,86.939,NA,"Class1",44.087
"Q",51.297,38,74.311,33.276,47.822,55.95,36.965,91.773,"Class5",48.392
"L",30.227,52,75.795,75.953,59.179,49.772,62.58,78.789,"Class4",21.383
"Z",47.595,38,30.022,34.492,13.657,25.039,35.479,61.251,"Class5",58.952
"A",37.77,24,69.64,88.14,78.642,53.915,56.495,75.642,"Class4",18.487
"W",46.684,61,64.118,25.061,55.16,43.781,53.476,53.512,"Class5",55.413
"D",58.797,58,21.219,11.931,3.893,66.78,47.966,86.456,"Class1",48.608
"Y",32.016,33,95.7,50.447,95.959,68.871,10.614,13.49,"Class3",94.101
"C",27.326,37,34.064,81.397,38.218,46.847,66.135,54.745,"Class4",25.264
"P",47.583,40,68.404,31.918,39.804,41.639,47.842,38.829,"Class5",66.383
"D",34.207,32,96.707,57.539,88.749,53.557,49.134,10.968,"Class3",90.561
"Z",52.55,77,20.552,10.092,22.347,58.21,53.436,69.449,"Class1",36.268
"Z",45.425,74,19.993,8.061,-1.676,66.042,67.717,78.666,"Class1",34.687
"A",62.966,33,93.292,79.98,96.186,53.723,56.853,13.958,"Class3",98.239
"T",44.249,63,21.551,22.126,-1.436,52.427,69.584,93.964,"Class1",37.177
"Y",62.552,17,26.59,89.942,59.285,34.013,75.061,9.575,"Class2",33.386
"A",21.118,15,112.164,76.874,65.628,50.225,74.52,60.293,"Class4",18.568
"L",51.119,32,26.388,72.234,69.927,46.052,46.264,61.254,"Class4",20.265
"N",47.623,61,76.301,25.966,-5.592,49.044,46.261,NA,"Class5",59.458
"Y",52.035,2,22.788,42.039,54.257,20.813,61.151,5.993,"Class2",28.607
"A",25.985,33,97.343,94.828,93.531,57.869,51.851,9.121,"Class3",86.033
"B",53.72,34,90.565,69.627,90.021,82.217,16.711,15.374,"Class3",103.144
"Q",45.727,55,47.993,31.358,20.162,45.877,27.019,50.248,"Class5",65.594
"D",59.17,82,18.761,19.44,32.424,72.351,57.712,77.637,"Class1",47.389
"A",41.112,39,48.237,90.723,25.17,34.126,53.765,65.576,"Class4",19.073
"A",49.819,35,95.561,79.806,94.696,49.146,15.649,19.818,"Class3",85.57
"K",16.621,66,91.244,66.924,74.806,49.753,55.978,78.8,"Class4",14.844
"L",34.649,20,91.959,68.309,53.081,48.611,41.359,79.295,"Class4",22.465
"Q",51.598,34,79.874,27.233,20.08,61.639,47.482,72.665,"Class5",48.392
"Z",67.503,49,16.654,14.204,6.59,63.696,42.902,NA,"Class1",46.287
"C",32.78,14,65.905,74.173,44.522,54.585,65.988,73.757,"Class4",21.542
NA,48.938,84,21.729,11.581,35.143,71.035,41.577,82.939,"Class1",47.614
"Z",63.448,15,23.921,73.313,44.495,31.462,75.911,4.826,"Class2",37.523
"Q",51.817,43,38.397,28.478,13.629,40.042,43.124,53.001,"Class5",65.893
"U",62.457,14,34.826,91.097,85.282,40.787,73.922,3.336,"Class2",28.096
"G",49.667,49,19.614,7.235,23.961,63.988,83.484,52.094,"Class1",44.524
"Y",73.642,32,94.887,64.562,92.446,46.158,9.686,16.01,"Class3",82.009
"Y",61.995,26,42.344,87.876,64.125,10.036,53.198,5.499,"Class2",32.535
"B",26.803,33,95.656,42.247,91.323,51.181,49.952,10.387,"Class3",84.402
"N",45.801,41,32.026,28.869,43.705,44.286,44.127,81.065,"Class5",57.967
"A",46.125,61,50.58,76.756,66.936,48.138,55.027,49.342,"Class4",18.225
"B",59.804,82,18.762,22.815,2.719,72.71,88.827,63.275,"Class1",39.111
"B",48.036,62,21.489,10.551,18.584,66.095,56.047,61.725,"Class1",48.362
"K",11.656,51,64.441,73.782,19.16,50.502,30.25,66.15,"Class4",18.563
"A",20.944,29,81.477,80.945,75.313,44.796,40.085,59.831,"Class4",20.437
"Z",38.183,10,30.369,59.292,100.957,8.689,58.804,5.285,"Class2",29.248
