"GKT1","EVL2","TVU3","KAM4","OMD5","Output5","UVT6","KTN7","JQW8","FJI9","XOR10","GDI11"
"M",37.865,48.858,43.098,84.112,"Class2",51,79.235,33.974,90.894,36.198,"B"
"X",8.263,56.86,46.95,91.347,"Class1",42,19.903,48.626,39.1,75.57,"B"
"E",12.316,29.341,21.088,55.285,"Class1",70,24.495,44.382,26.825,92.976,"B"
"J",20.043,18.244,51.49,57.726,"Class3",87,81.932,45.402,30.6,40.358,"P"
"M",19.124,53.384,33.769,58.793,"Class2",33,61.422,26.44,87.464,4.908,"M"
"F",40.263,10.821,NA,49.825,"Class3",63,84.284,26.984,79.833,41.903,"N"
"X",7.869,44.764,35.316,77.526,"Class1",41,47.127,49.865,25.062,92.453,"B"
"X",10.896,31.574,46.497,NA,"Class1",48,35.744,49.356,47.749,50.036,"N"
"F",18.861,5.283,53.134,19.829,"Class3",81,81.649,29.5,34.677,47.948,"V"
"F",37.738,32.698,47.925,30.941,"Class3",65,81.212,56.33,70.482,48.351,"U"
"X",5.013,23.59,28.479,84.045,"Class1",55,37.784,48.391,42.007,64.502,"M"
"J",4.613,50.304,45.768,75.626,"Class1",51,31.264,49.819,49.691,59.042,"D"
"M",13.841,55.417,40.009,62.384,"Class2",32,87.051,72.945,90.932,30.372,"E"
"V",24.935,16.401,32.418,68.691,"Class3",70,84.275,52.761,82.855,46.556,"U"
"X",33.246,49.86,34.745,61.717,"Class2",45,95.204,33.47,87.294,2.29,"H"
"P",7.558,24.887,44.075,51.003,"Class1",54,26.431,49.1,46.709,64.712,"D"
"V",37.612,41.583,55.038,64.419,"Class3",71,81.247,23.334,49.093,40.414,"E"
"X",11.587,52.13,38.358,86.32,"Class2",36,85.821,34.667,91.025,64.644,"B"
"J",27.825,33.677,47.499,54.142,"Class3",72,80.794,41.584,8.537,48.75,"E"
"M",30.824,54.747,26.791,43.167,"Class2",28,80.674,77.914,92.031,74.094,"M"
"F",11.323,48.154,52.54,3.052,"Class1",59,32.754,44.53,42.229,70.29,"D"
"G",34.515,49.713,29.888,56.106,"Class2",46,84.342,24.703,92.879,43.546,"E"
"E",38.052,43.394,NA,52.247,"Class3",87,83.642,24.187,42.291,54.027,"V"
"J",3.557,58.415,26.221,50.883,"Class1",63,39.211,45.413,29.75,79.587,"M"
"J",5.205,47.583,25.08,19.871,"Class1",62,30.342,48.234,22.206,69.957,"N"
"M",26.516,54.898,38.735,62.975,"Class2",48,90.741,50.371,92.77,11.211,"B"
"I",19.924,50.129,38.011,51.609,"Class2",53,84.443,62.146,90.765,53.545,"E"
"P",12.875,46.698,35.268,92.596,"Class1",43,47.302,47.93,42.694,64.237,"B"
"M",35.271,52.387,35.001,81.877,"Class2",52,85.324,54.484,85.472,14.726,"E"
"G",50.85,48.735,39.012,50.902,"Class2",44,81.686,73.331,87.809,63.91,"Y"
"M",26.332,50.091,28.102,86.295,"Class2",30,102.964,59.028,91.927,22.212,"M"
"V",37.172,22.304,48.944,40.404,"Class3",62,79.062,37.64,7.81,42.615,"U"
"M",29.997,50.013,41.38,80.236,"Class2",43,91.353,56.205,90.224,10.998,"B"
"X",9.909,22.463,33.63,49.574,"Class1",48,47.26,46.663,33.027,73.218,"M"
"V",17.045,27.522,32.415,42.113,"Class3",85,80.253,74.981,58.839,52.193,"U"
"W",27.463,43.306,46.107,66.351,"Class3",63,78.875,59.6,37.263,43.374,"U"
"V",22.759,25.707,47.728,53.855,"Class3",48,81.032,33.405,-19.901,51.256,"P"
"G",43.336,48.672,32.649,44.733,"Class2",39,73.074,19.453,90.936,77.757,"H"
"J",6.016,43.727,39.641,73.317,"Class1",68,48.192,46.712,35.353,70.135,"E"
"X",7.757,26.37,31.241,35.597,"Class1",62,53.837,46.281,34.807,49.66,"E"
"I",23.033,55.012,32.854,65.748,"Class2",52,81.164,71.313,86.657,60.735,"M"
"F",33.448,23.594,65.368,56.757,"Class3",66,80.548,33.807,40.529,44.802,"E"
"V",23.939,7.082,64.695,71.733,"Class3",61,83.543,71.976,36.997,50.307,"E"
"W",13.763,10.357,46.781,58.088,"Class3",61,80.814,38.044,36.534,49.42,"E"
"W",25.079,42.132,33.377,67.716,"Class3",83,79.896,55.611,57.806,46.977,"P"
"E",13.061,53.289,31.746,22.783,"Class1",64,37.201,47.533,30.351,52.873,"D"
"X",11.88,52.393,33.119,53.093,"Class2",42,91.407,50.142,91.927,27.371,"B"
"F",4.741,59.16,24.897,38.041,"Class1",66,38.974,45.193,44.341,72.151,"N"
"X",14.894,54.372,35.318,66.396,"Class2",37,71.737,16.12,95.685,54.729,"H"
"J",15.359,25.447,32.482,40.001,"Class1",45,39.634,45.69,51.166,90.123,"B"
"H",27.154,52.958,35.229,50.268,"Class2",39,78.544,50.807,85.444,4.131,"Y"
"M",31.839,55.233,43.05,68.235,"Class2",45,84.024,43.704,88.74,24.117,"Y"
"X",4.928,44.192,41.307,60.531,"Class1",59,36.55,49.311,44.19,63.519,"E"
"E",17.528,24.539,63.668,25.659,"Class3",77,84.442,31.998,33.862,49.612,"U"
"W",26.939,40.228,43.056,68.54,"Class3",76,81.928,24.359,37.538,51.614,"P"
"J",2.951,58.769,30.657,65.85,"Class1",42,32.305,45.161,34.819,56.442,"B"
"E",24.223,25.256,44.857,56.422,"Class3",60,83.918,24.674,49.686,46.976,"V"
"X",38.242,51.577,31.366,64.724,"Class2",43,76.012,26.789,85.703,24.427,"Y"
"F",34.35,45.159,33.654,17.859,"Class3",61,79.661,42.146,31.294,40.888,"E"
"P",8.583,51.892,20.637,13.465,"Class1",57,33.192,45.937,26.917,62.151,"M"
"F",23.483,27.235,36.844,53.973,"Class3",62,80.838,60.52,9.802,43.47,"E"
"E",40.411,15.566,52.166,26.247,"Class3",55,79.383,58.411,28.936,53.486,"E"
"F",9.34,28.679,38.465,7.079,"Class1",42,24.718,46.784,28.186,68.166,"E"
"H",28.161,50.242,32.137,46.666,"Class2",33,62.585,76.752,88.163,74.324,"M"
"F",7.012,43.795,18.971,93.207,"Class1",55,42.988,47.961,36.689,68.167,"M"
"X",2.789,50.51,23.766,67.61,"Class1",55,29.131,47.427,32.451,61.963,"N"
"W",28.533,6.749,55.619,19.506,"Class3",69,81.689,74.002,25.837,46.038,"P"
"J",33.429,24.079,53.627,59.417,"Class3",72,82.059,34.264,18.661,46.909,"V"
"F",35.908,4.166,48.751,27.95,"Class3",48,80.539,54.742,28.696,41.918,"U"
"X",33.606,48.424,39.413,46.611,"Class2",51,68.132,32.513,93.409,6.451,"B"
"I",53.411,48.892,34.283,52.746,"Class2",36,66.11,56.292,90.888,60.193,"M"
"X",24.279,51.302,19.526,44.062,"Class2",38,80.402,39.92,82.268,77.61,"E"
"G",26.109,54.282,38.067,67.965,"Class2",39,89.505,36.736,94.144,71.687,"E"
"H",25.941,51.82,35.873,50.503,"Class2",32,80.937,40.75,88.324,62.35,"H"
"G",24.704,49.963,39.651,62.829,"Class2",48,72.857,57.78,95.829,75.027,"H"
"J",14.531,30.266,42.795,56.308,"Class1",52,20.28,48.201,41.221,84.231,"N"
"E",30.078,12.273,NA,56.936,"Class3",44,83.649,46.261,50.661,51.48,"N"
"P",8.144,48.395,41.674,36.045,"Class1",53,25.699,44.513,47.947,70.145,"B"
"G",27.017,50.991,22.28,39.647,"Class2",44,90.691,67.884,88.369,29.658,"M"
"W",18.436,27.57,30.025,20.411,"Class3",49,82.915,37.414,30.422,56.258,"U"
"W",37.715,40.337,50.688,35.276,"Class3",75,82.889,54.096,37.186,42.343,"P"
"V",30.328,14.676,56.205,NA,"Class3",57,81.768,24.416,44.796,54.175,"E"
"H",28.427,55.997,37.798,44.769,"Class2",34,70.554,62.679,91.436,61.924,"Y"
"V",32.161,14.69,35.751,31.096,"Class3",83,83.654,65.907,22.756,56.435,"U"
"J",6.603,59.245,41.491,35.693,"Class1",52,31.132,44.34,32.964,62.75,"B"
"X",6.25,35.52,29.6,6.638,"Class1",50,41.699,49.627,34.111,78.467,"E"
"F",7.339,57.854,42.947,NA,"Class1",48,48.767,45.118,56.112,90.583,"D"
"J",9.545,29.144,23.225,61.101,"Class1",39,49.678,44.846,36.202,57.43,"M"
"G",39.603,51.541,56.428,75.502,"Class2",28,81.34,28.983,89.347,70.927,"B"
"J",11.169,26.876,58.681,56.331,"Class1",59,40.894,49.618,33.515,55.483,"B"
"J",24.903,10.417,NA,72.397,"Class3",69,82.572,56.957,21.014,48.617,"U"
"M",30.206,54.533,26.705,68.394,"Class2",42,69.136,59.165,91.185,49.039,"B"
"E",30.289,33.818,45.33,29.75,"Class3",65,79.803,38.644,48.819,42.779,"P"
"J",14.808,32.188,25.229,84.449,"Class1",48,39.808,47.253,34.297,78.16,"E"
"E",28.917,39.225,45.665,59.767,"Class3",67,78.365,68.05,26.452,54.224,"P"
"E",31.243,5.546,53.505,27.321,"Class3",47,77.272,52.8,10.494,54.802,"N"
"J",8.944,54.713,30.77,65.796,"Class1",55,29.348,47.137,36.085,51.031,"M"
"F",14.927,36.17,34.284,32.642,"Class1",45,28.349,44.325,41.289,70.669,"N"
"J",11.206,24.389,25.718,10.249,"Class1",71,29.749,45.66,59.581,56.112,"N"
"F",25.456,25.45,36.347,64.215,"Class3",76,81.725,52.263,16.084,47.911,"P"
"F",27.075,14.359,45.122,36.869,"Class3",46,79.686,43.311,-0.148,54.923,"E"
"M",24.616,54.32,33.587,63.972,"Class2",47,82.287,81.573,90.743,48.247,"B"
"X",43.282,55.114,37.22,85.349,"Class2",45,64.448,36.77,88.587,23.462,"M"
"I",35.365,50.94,44.503,74.742,"Class2",34,70.026,22.265,90.862,76.586,"H"
"F",5.141,56.421,30.067,59.478,"Class1",57,20.817,45.411,42.68,83.119,"D"
"F",26.968,16.564,59.684,47.339,"Class3",70,81.393,57.214,62.397,56.662,"P"
"G",64.596,54.429,33.706,55.106,"Class2",31,80.474,71.902,87.157,73.861,"Y"
"P",0.436,25.74,32.059,11.121,"Class1",71,43.13,44.238,24.7,87.185,"D"
"G",22.842,49.619,43.758,48.355,"Class2",38,85.028,30.073,89.48,30.355,"M"
"H",31.664,49.851,43.786,44.635,"Class2",47,65.328,22.74,92.211,9.844,"M"
"E",9.062,39.03,50.923,31.419,"Class1",49,28.783,45.723,44.526,84.429,"B"
"J",10.002,51.91,39.162,NA,"Class1",44,41.733,49.466,38.542,77.283,"N"
"F",36.004,14.036,NA,67.986,"Class3",69,80.005,55.607,16.264,51.026,"U"
"H",21.866,49.081,34.962,72.796,"Class2",36,74.6,75.504,93.485,18.32,"M"
"W",28.633,32.008,46.212,65.319,"Class3",57,80.446,62.683,39.129,49.978,"V"
"E",13.143,48.114,19.809,46.173,"Class1",60,35.447,45.897,37.629,62.194,"E"
"X",15.39,54.264,35.939,67.614,"Class2",31,75.677,69.533,90.914,64.346,"B"
"E",34.632,42.275,53.027,17.643,"Class3",52,78.589,46.394,4.695,46.2,"U"
"E",43.995,39.478,54.663,72.167,"Class3",57,79.607,59.306,5.546,47.834,"U"
"P",9.555,28.112,28.367,47.084,"Class1",53,35.223,49.878,25.711,50.436,"B"
"V",30.868,39.911,58.77,31.383,"Class3",56,81.538,69.192,44.58,42.101,"U"
"E",2.79,60.379,NA,47.428,"Class1",55,28.304,48.775,35.391,80.913,"N"
"G",42.153,50.129,34.776,48.321,"Class2",35,71.489,74.744,94.173,62.302,"M"
"V",25.158,35.773,51.784,57.86,"Class3",83,81.036,56.117,40.18,47.713,"V"
"M",32.255,51.039,40.025,50.275,"Class2",32,68.976,64.613,90.766,57.842,"E"
"E",26.793,42.726,42.5,60.665,"Class3",52,81.569,50.466,44.006,49.112,"U"
"J",22.625,10.974,39.628,55.665,"Class3",85,81.813,65.662,10.098,50.702,"U"
"P",12.709,48.936,42.785,71.81,"Class1",67,52.571,44.268,50.731,88.797,"B"
"F",3.974,56.076,12.933,53.934,"Class1",67,51.078,45.488,28.294,83.517,"E"
"F",1.975,26.713,38.519,20.181,"Class1",69,41.939,46.003,34.005,59.402,"B"
"E",5.697,49.142,34.699,NA,"Class1",56,13.129,47.801,43.635,66.56,"D"
"M",24.65,54.441,47.146,72.705,"Class2",42,82.642,81.362,96.459,60.439,"E"
"M",34.464,54.939,42.631,77.438,"Class2",42,85.599,20.913,89.474,67.421,"M"
"F",10.449,35.425,34.113,22.541,"Class1",42,12.393,47.499,31.206,77.059,"B"
"V",38.821,8.171,26.809,65.514,"Class3",51,81.433,54.918,55.741,50.481,"E"
"P",5.271,54.441,42.35,NA,"Class1",39,43.237,47.766,40.113,62.518,"B"
"F",37.721,24.956,49.243,23.433,"Class3",72,79.793,41.627,47.455,50.792,"V"
"P",3.027,46.735,29.527,23.638,"Class1",49,40.666,45.584,38.651,82.486,"E"
"F",32.895,8.31,49.687,30.051,"Class3",85,81.445,58.503,55.005,48.374,"P"
"H",26.689,48.251,33.233,NA,"Class2",49,80.422,58.872,91.074,11.998,"B"
"M",32.069,50.998,40.322,NA,"Class2",48,78.538,39.739,91.647,50.223,"M"
"W",21.948,35.842,41.459,65.361,"Class3",55,78.936,42.678,68.503,41.842,"U"
"X",3.684,60.976,44.089,53.188,"Class1",51,43.73,49.955,24.184,84.74,"D"
"E",30.882,19.932,61.236,36.87,"Class3",80,79.689,36.296,27.022,44.399,"U"
"F",3.801,48.291,NA,11.785,"Class1",53,29.555,44.528,44.5,80.905,"N"
"E",30.311,24.736,49.975,42.257,"Class3",79,82.111,29.399,6.459,40.071,"U"
"V",23.86,27.169,40.033,28.332,"Class3",49,81.244,27.099,28.194,48.227,"V"
"I",18.085,55.627,38.195,NA,"Class2",48,94.318,82.407,88.102,17.481,"H"
"I",19.664,50.923,45,NA,"Class2",31,62.947,38.829,89.485,20.917,"H"
"G",15.308,55.639,22.241,47.568,"Class2",36,87.705,19.121,86.269,10.539,"M"
"J",10.101,53.415,34.174,37.927,"Class1",70,37.088,46.965,45.975,82.066,"B"
"E",7.744,36.21,33.939,87.578,"Class1",67,35.494,49.092,42.942,57.869,"M"
"E",10.997,22.331,45.786,87.633,"Class1",65,64.298,44.555,32.229,71.273,"D"
"P",3.464,60.864,36.385,58.617,"Class1",48,58.623,44.075,31.119,92.114,"E"
"V",32.715,36.435,31.333,17.556,"Class3",51,80.914,62.939,43.651,43.52,"N"
"G",31.71,51.344,24.568,85.01,"Class2",40,74.308,48.547,82.222,50.595,"Y"
"H",19.797,48.84,NA,48.614,"Class2",51,83.468,42.313,92.983,7.314,"E"
"V",31.526,6.076,56.12,19.07,"Class3",45,81.58,27.962,36.156,56.779,"N"
"E",13.907,25.966,48.294,89.176,"Class1",66,47.972,44.415,38.843,72.882,"M"
"M",27.695,55.277,39.846,77.645,"Class2",35,87.705,80.846,88.736,68.531,"B"
"X",31.35,52.789,34.371,63.594,"Class2",29,72.384,55.019,89.672,25.509,"Y"
"P",7.215,29.345,23.927,85.974,"Class1",60,22.46,47.631,39.881,55.03,"B"
"G",26.259,55.957,43.811,39.678,"Class2",49,76.384,81.053,85.982,40.57,"H"
"P",6.528,48.902,25.547,66.742,"Class1",38,36.879,49.789,42.564,49.524,"D"
"M",37.933,53.345,31.953,82.046,"Class2",40,75.716,58.511,93.786,5.004,"E"
"M",34.88,49.368,NA,61.814,"Class2",50,70.052,50.085,90.209,8.552,"B"
"P",6.942,43.382,35.693,39.65,"Class1",52,28.426,44.509,47.146,69.549,"B"
"W",35.392,26.897,40.148,55.327,"Class3",45,82.773,68.256,45.912,42.202,"V"
"X",9.806,32.169,37.744,64.695,"Class1",65,51.684,44.708,25.962,86.54,"D"
"E",17.352,28.982,39.205,41.877,"Class3",48,82.603,62.155,32.456,49.014,"N"
"W",30.241,36.784,42.964,45.021,"Class3",45,83.488,30.291,29.663,51.821,"U"
"X",-1.857,50.897,46.911,76.5,"Class1",48,28.289,46.371,31.276,61.865,"E"
"G",29.575,50.447,35.262,80.504,"Class2",34,75.348,59.598,89.447,23.556,"Y"
"X",41.765,48.645,36.415,68.572,"Class2",41,79.625,27.421,84.939,21.747,"H"
"V",20.878,37.212,45.292,20.085,"Class3",73,82.132,47.279,61.746,43.628,"N"
"V",33.21,4.565,NA,58.866,"Class3",63,81.595,58.999,-12.674,52.98,"N"
"M",27.122,53.317,37.488,63.181,"Class2",51,66.697,53.31,90.093,19.088,"Y"
"I",29.322,52.236,46.621,61.873,"Class2",46,77.959,82.441,87.28,43.836,"H"
"J",3.064,40.679,32.506,87.763,"Class1",51,39.619,44.806,26.508,49.78,"N"
"E",25.83,36.536,41.614,37.862,"Class3",62,83.189,37.364,47.124,45.02,"P"
"X",36.257,51.135,39.398,79.91,"Class2",39,91.571,17.222,89.292,32.908,"M"
"J",2.574,33.106,32,NA,"Class1",66,40.716,44.789,35.382,68.943,"E"
"X",5.574,26.56,29.587,4.25,"Class1",43,33.817,44.451,52.678,56.994,"M"
"W",29.053,33.013,48.731,64.842,"Class3",86,80.518,34.872,58.847,40.179,"P"
"X",0.025,57.176,40.52,51.705,"Class1",48,58.516,48.542,35.742,81.874,"N"
"E",31.642,43.59,61.404,59.769,"Class3",65,80.66,55.133,55.919,40.531,"V"
"E",27.872,38.012,58.034,47.656,"Class3",66,79.459,50.922,30.054,48.029,"V"
"X",2.982,25.922,36.323,9.629,"Class1",62,46.158,48.494,32.711,80.226,"B"
"J",27.393,36.7,44.098,50.169,"Class3",72,83.499,34.535,44.218,47.474,"P"
"X",30.354,48.219,34.75,68.962,"Class2",48,75.106,58.715,86.316,58.862,"M"
"F",6.207,58.43,27.459,41.317,"Class1",66,56.827,47.461,34.706,54.311,"D"
"G",18.965,54.327,35.603,69.54,"Class2",34,73.3,24.878,84.714,67.332,"Y"
"G",35.277,48.578,45.014,77.508,"Class2",52,85.721,44.489,91.663,37.47,"M"
"H",35.525,53.782,35.321,76.365,"Class2",40,75.846,61.684,85.942,58.006,"Y"
"M",30.221,53.205,38.54,51.55,"Class2",52,82.735,65.452,92.04,15.745,"H"
"E",30.211,6.799,53.258,53.035,"Class3",69,84.236,74.261,100.371,56.342,"E"
"F",27.222,26.577,45.62,49.648,"Class3",58,81.547,39.519,53.916,45.061,"N"
"I",32.882,49.832,38.446,57.12,"Class2",47,90.083,27.014,86.23,57.497,"E"
"V",31.395,21.531,NA,70.473,"Class3",69,78.513,74.785,-3.729,51.426,"N"
"M",25.197,52.001,28.098,NA,"Class2",33,65.181,42.824,86.175,21.257,"B"
"G",30.882,53.692,29.122,66.885,"Class2",31,55.633,18.974,92.016,35.918,"H"
"M",28.062,54.669,44.079,74.076,"Class2",39,91.952,36.072,91.432,25.292,"Y"
"M",30.166,49.89,33.777,75.656,"Class2",40,65.423,35.618,88.086,78.487,"M"
"E",37.774,41.023,43.662,37.168,"Class3",46,81.245,58.679,6.156,45.412,"V"
"F",14.143,26.578,39.115,54.196,"Class1",60,36.209,47.839,33.521,56.798,"B"
"J",3.296,55.361,26.319,61.577,"Class1",70,40.536,44.861,30.866,54.9,"N"
"F",19.205,13.34,42.042,45.343,"Class3",82,82.213,70.93,38.487,44.974,"U"
"G",38.809,48.615,41.986,75.395,"Class2",53,60.159,64.171,95.591,44.125,"E"
"X",5.678,36.022,39.946,63.966,"Class1",62,54.216,46.205,37.274,50.503,"E"
"W",39.229,35.765,NA,61.877,"Class3",85,77.486,41.38,43.066,46.839,"P"
"P",19.749,35.805,49.459,29.154,"Class1",44,36.3,49.329,38.215,81.075,"E"
"M",24.119,48.461,36.78,49.021,"Class2",35,55.392,67.884,87.422,37.875,"H"
"M",47.842,51.016,39.708,68.782,"Class2",39,60.838,30.639,91.502,14.293,"H"
"J",32.817,24.894,NA,58.532,"Class3",80,80.216,55.019,4.673,42.686,"U"
"X",24.743,55.293,40.617,78.262,"Class2",40,80.154,53.379,89.633,59.145,"Y"
"I",23.344,50.26,30.79,60.482,"Class2",48,66.298,79.68,96.474,15.045,"E"
"I",30.098,55.524,37.254,67.097,"Class2",29,83.549,80.263,89.211,19.317,"Y"
"E",9.095,46.043,NA,83.72,"Class1",41,31.349,46.641,33.573,74.151,"N"
"J",24.011,45.881,51.383,67.404,"Class3",57,78.484,32.936,35.629,56.842,"V"
"X",27.718,55.984,36.031,77.286,"Class2",30,61.915,70.819,88.409,56.098,"H"
"E",22.624,19.928,35.9,56.395,"Class3",86,82.67,45.294,-0.96,53.193,"P"
"V",20.885,13.408,51.821,60.639,"Class3",82,78.666,33.066,33.347,44.172,"N"
"X",4.64,43.469,48.88,20.061,"Class1",46,51.708,49.437,36.542,70.584,"N"
"X",34.877,55.382,44.659,41.725,"Class2",35,93.092,46.891,84.548,33.588,"B"
"E",23.304,44.672,46.397,21.237,"Class3",76,83.665,48.81,42.561,51.905,"N"
"J",40.77,13.545,51.296,32.658,"Class3",82,80.813,41.322,15.328,43.788,"P"
"X",34.811,50.668,NA,62.242,"Class2",35,83.432,18.803,93.519,43.489,"E"
"I",41.204,54.002,34.12,66.212,"Class2",37,75.038,15.371,88.434,20.711,"M"
"J",44.429,6.204,NA,58.887,"Class3",85,84.943,72.808,15.809,52.673,"E"
"H",24.109,50.599,NA,65.94,"Class2",33,99.6,38.803,88.765,44.554,"H"
"J",11.45,53.308,36.619,37.129,"Class1",51,26.053,47.583,35.005,53.869,"D"
"X",41.581,52.17,33.621,NA,"Class2",44,87.379,46.502,93.036,66.365,"E"
"J",4.624,42.07,21.972,79.558,"Class1",62,62.009,47.551,46.381,79.798,"M"
"V",33.86,43.504,27.966,26.739,"Class3",65,86.082,50.626,44.192,52.431,"P"
"H",21.378,54.706,25.79,NA,"Class2",49,64.215,23.884,95.348,72.528,"B"
"V",21.939,9.366,NA,19.036,"Class3",54,81.963,69.997,0.222,46.922,"V"
"H",36.534,55.807,33.977,87.062,"Class2",47,83.748,55.888,90.606,55.843,"E"
"P",9.012,50.151,40.45,74.775,"Class1",56,41.258,48.985,33.971,74.252,"M"
"G",25.214,55.949,34.935,74.896,"Class2",36,82.014,39.225,89.137,72.661,"M"
"G",26.04,53.269,NA,78.069,"Class2",52,86.518,41.198,88.824,71.157,"E"
"V",41.788,9.919,NA,34.362,"Class3",63,86.917,68.708,30.885,46.419,"U"
"W",33.462,27.772,55.219,61.767,"Class3",52,83.05,62.871,34.962,41.737,"U"
"E",5.584,54.343,26.672,9.374,"Class1",40,41.804,44.905,26.737,87.541,"N"
"I",21.723,51.672,30.41,79.33,"Class2",42,77.875,54.678,86.679,18.371,"M"
"G",47.832,55.561,31.138,82.956,"Class2",42,83.876,65.521,88.549,5.334,"E"
"M",6.052,55.588,38.827,74.326,"Class2",43,81.672,25.052,87.355,46.254,"B"
"G",22.408,55.657,NA,52.604,"Class2",32,98.154,69.262,89.206,22.31,"B"
"P",3.325,29.232,28.791,64.444,"Class1",57,57.229,49.071,29.382,61.014,"N"
"X",3.205,53.557,39.248,47.574,"Class1",56,24.707,44.786,43.065,82.476,"M"
"V",40.351,20.885,52.098,27.558,"Class3",45,80.012,71.089,48.02,54.949,"E"
"X",6.131,52.738,44.397,70.498,"Class1",45,35.477,49.761,50,83.547,"B"
"F",23.578,36.195,53.441,NA,"Class3",49,78.693,73.488,51.807,41.215,"E"
"J",35.279,37.098,35.892,68.597,"Class3",57,82.394,54.127,22.703,49.108,"U"
"G",25.894,55.353,33.331,76.914,"Class2",53,84.537,45.504,99.666,24.58,"M"
"X",10.255,49.159,39.634,78.28,"Class2",31,79.768,40.713,89.796,65.655,"H"
"E",27.621,6.158,44.065,72.285,"Class3",72,83.341,51.473,-3.396,49.872,"N"
"P",10.523,48.436,22.374,85.897,"Class1",59,44.192,45.979,34.901,77.879,"B"
"W",29.582,7.658,33.537,61.657,"Class3",74,84.492,55.079,30.338,56.132,"P"
"G",30.494,48.03,54.492,74.829,"Class2",48,69.023,80.895,94.298,9.351,"E"
"G",23.412,54.872,47.197,50.291,"Class2",32,89.703,51.422,87.529,72.487,"B"
"X",13.967,44.155,24.669,4.363,"Class1",69,32.979,49.473,62.974,83.766,"N"
"E",6.405,43.521,38.519,34.086,"Class1",62,26.829,46.112,18.042,73.04,"M"
"M",34.655,54.337,44.875,57.867,"Class2",41,84.126,17.32,88.34,64.192,"B"
"I",27.956,50.031,25.931,59.681,"Class2",34,73.568,40.329,92.746,6.357,"Y"
"F",4.53,39.423,43.447,37.772,"Class1",70,38.053,47.985,40.893,59.776,"E"
"I",30.692,52.667,38.517,58.996,"Class2",34,68.355,50.594,88.89,72.039,"Y"
"J",32.275,36.712,54.464,28.597,"Class3",86,79.986,29.724,61.392,50.633,"P"
"H",28.208,53.785,42.526,76.805,"Class2",44,77.756,61.588,92.562,51.33,"B"
"G",32.649,55.936,37.212,74.521,"Class2",36,79.501,69.235,85.141,19.327,"E"
"I",32.405,54.556,21.543,85.277,"Class2",31,88.285,27.472,84.056,14.852,"M"
"X",35.71,51.821,37.022,81.508,"Class2",41,80.171,18.783,85.652,48.142,"H"
"H",30.161,51.891,32.287,51.814,"Class2",48,88.773,22.717,87.675,76.195,"Y"
"H",37.325,51.806,37.643,42.477,"Class2",46,99.653,37.8,86.249,68.304,"B"
"G",28.625,50.355,31.101,77.814,"Class2",32,66.962,65.314,87.708,32.791,"E"
"F",10.116,36.242,33.223,63.967,"Class1",55,58.123,49.857,37.288,78.307,"N"
"F",8.215,34.749,43.39,59.997,"Class1",43,56.406,45.853,29.031,51.912,"N"
"E",39.073,8.551,40.211,44.061,"Class3",64,81.795,29.482,18.65,48.548,"U"
"E",6.285,21.439,36.793,60.213,"Class1",38,37.47,45.169,42.453,82.3,"D"
"V",10.439,34.002,43.171,73.487,"Class3",73,79.019,28.415,62.394,56.719,"N"
"J",35.2,8.434,47.42,60.829,"Class3",82,81.246,39.824,31.197,54.562,"V"
"W",29.639,37.031,58.858,54.485,"Class3",73,82.801,42.723,40.53,44.433,"N"
"W",33.208,16.903,43.667,60.299,"Class3",49,81.399,55.739,34.884,51.412,"U"
"V",22.594,43.686,47.558,35.888,"Class3",57,85.25,49.947,63.259,42.037,"U"
"J",28.66,42.646,52.509,64.213,"Class3",69,82.362,39.05,5.266,42.494,"V"
"G",27.067,53.252,41.237,70.795,"Class2",38,86.21,16.778,93.105,46.988,"M"
"P",3.769,26.672,41.541,NA,"Class1",60,38.186,45.848,37.094,73.381,"B"
"X",7.548,25.73,30.015,36.9,"Class1",54,47.802,49.597,25.681,55.311,"E"
"X",33.491,50.99,49.488,60.711,"Class2",50,68.606,67.577,89.676,25.863,"H"
"X",-3.656,22.92,40.058,65.971,"Class1",69,33.944,46.229,44.968,70.553,"B"
"F",4.632,45.918,38.523,90.685,"Class1",68,42.34,48.199,33.179,55.047,"N"
"P",11.004,33.792,43.352,58.933,"Class1",54,37.163,48.147,35.703,54.992,"N"
"F",6.956,41.127,24.833,31.974,"Class1",72,35.864,46.985,43.902,51.816,"M"
"V",21.552,36.804,35.95,17.034,"Class3",70,82.656,30.809,14.039,50.134,"P"
"X",-1.938,28.36,NA,26.016,"Class1",41,34.54,45.049,43.824,80.876,"M"
"X",38.675,55.643,33.841,71.009,"Class2",51,86.642,44.935,88.307,65.654,"B"
"X",10.559,25.478,35.703,57.994,"Class1",37,36.17,46.237,35.194,73.706,"N"
"W",33.07,38.356,55.552,48.385,"Class3",73,76.886,47.408,49.53,56.578,"U"
"E",5.929,32.161,37.905,39.758,"Class1",46,28.348,47.708,38.863,52.505,"N"
"E",34.268,45.315,48.431,37.832,"Class3",77,83.428,31.85,40.311,44.902,"N"
"H",17.467,51.01,36.646,56.609,"Class2",35,81.362,17.206,89.622,73.259,"E"
"I",34.799,51.669,29.449,57.365,"Class2",43,73.274,81.827,89.598,28.966,"Y"
"W",44.002,42.725,40.877,73.551,"Class3",85,81.642,58.798,16.336,52.065,"U"
"E",1.77,43.574,44.471,NA,"Class1",70,32.262,45.887,39.141,75.989,"E"
