"IGA1","DKY2","UXZ3","MBD4","HKC5","VHG6","IQM7","Output23","XVE8","UBW9","SZQ10","EUN11"
49.141,91.792,51.449,19,"P",67.048,32.36,"Class2","G",30.691,30.843,82.975
74.021,85.715,46.075,49,"V",12.35,84.04,"Class3","W",28.542,42.645,13.561
77.916,79.472,80.484,79,"O",62.993,26.478,"Class1","N",25.542,80.759,70.438
34.867,91.132,53.609,23,"H",59.587,0.029,"Class2","F",90.749,30.741,57.845
44.979,81.699,33.19,42,"I",NA,87.31,"Class3","W",34.735,38.854,3.768
40.479,98.171,69.725,32,"P",47.667,20.367,"Class2","G",71.43,30.296,93.121
23.742,38.889,40.826,43,"B",41.773,22.729,"Class4","J",71.26,28.466,34.004
64.139,84.632,58.212,45,"I",7.241,87.178,"Class3","W",31.366,41.926,16.901
76.66,81.779,18.179,58,"O",90.986,26.933,"Class1","V",39.326,79.847,71.923
38.099,95.261,42.163,23,"H",54.829,53.477,"Class2","G",102.895,30.427,87.72
47.693,92.58,69.6,25,"D",77.836,21.779,"Class2","R",76.128,30.686,63.935
76.626,84.739,30.669,82,"E",88.215,24.56,"Class1","N",20.088,80.073,72.101
NA,49.791,54.862,34,"G",36.347,52.73,"Class4","N",65.747,56.431,45.514
70.323,83.325,30.242,42,"P",8.134,91.46,"Class3","H",33.756,32.963,10.199
75.794,87.479,51.464,24,"T",67.859,24.892,"Class1","C",19.312,80.306,72.242
25.422,23.642,54.342,77,"G",39.312,36.476,"Class4","E",61.178,43.563,31.406
25.727,37.581,58.13,48,"W",49.148,29.408,"Class4","N",42.36,41.636,52.383
20.457,26.914,56.782,30,"U",28.022,23.127,"Class4","N",47.289,28.561,44.298
20.028,41.562,55.21,34,"W",52.051,16.967,"Class4","M",44.475,56.108,33.558
74.279,87.486,36.486,44,"T",13.355,90.372,"Class3","F",29.91,37.599,17.304
76.626,82.771,82.778,50,"O",NA,21.723,"Class1","N",32.735,80.156,70.967
18.855,39.966,69.616,63,"G",41.732,23.458,"Class4","J",60.61,50.498,41.752
77.671,73.86,55.412,32,"E",62.72,24.875,"Class1","Q",61.797,80.503,72.344
76.169,81.652,37.178,37,"T",70.008,24.848,"Class1","N",49.369,79.076,71.525
25.641,32.544,59.551,33,"J",46.509,28.891,"Class4","J",56.186,39.103,31.898
41.995,97.789,46.216,34,"P",58.511,32.618,"Class2","R",61.243,30.198,57.046
63.561,85.553,80.262,44,"P",9.978,90.146,"Class3","Y",40.28,33.062,15.626
28.079,95.03,67.863,19,"S",61.627,38.682,"Class2","W",-5.679,30.346,51.771
76.341,76.816,68.232,29,"U",70.137,23.548,"Class1","Q",39.082,79.108,70.484
75.508,76.864,55.468,53,"H",68.15,26.688,"Class1","V",11.201,80.394,71.861
24.512,86.916,42.26,48,"I",10.119,84.338,"Class3","Y",37.078,35.451,14.21
49.782,82.755,44.542,44,"I",10.16,82.159,"Class3","Y",29.87,31.194,13.957
35.288,80.311,80.866,45,"V",11.291,84.757,"Class3","N",29.224,40.554,9.831
34.331,82.63,81.346,47,"P",12.134,82.886,"Class3","W",35.625,35.654,5.242
77.439,83.6,27.934,61,"T",47.202,24.94,"Class1","O",42.081,80.977,72.732
71.57,87.133,52.149,48,"Q",8.051,86.569,"Class3","H",31.483,42.869,7.971
76.117,79.781,75.21,82,"O",78.994,23.25,"Class1","O",60.326,80.163,71.186
24.766,37.103,61.778,73,"B",34.512,19.169,"Class4","Y",43.008,32.905,30.956
50.131,92.937,40.258,21,"S",75.2,20.587,"Class2","R",75.117,30.383,84.686
23.546,30.507,55.281,33,"B",28.634,53.082,"Class4","E",16.203,32.991,15.673
NA,46.869,74.02,48,"G",NA,40.399,"Class4","J",69.368,33.621,51.42
30.627,91.937,71.836,27,"S",94.658,23.196,"Class2","W",81.214,30.956,69.15
79.976,72.99,48.111,44,"Q",8.857,89.278,"Class3","F",32.038,42.717,10.179
24.308,45.805,55.886,73,"B",40.975,43.663,"Class4","Y",40.472,43.852,25.481
19.559,52.232,49.593,42,"U",44.124,72.897,"Class4","J",70.212,55.997,37.294
75.011,78.087,30.747,44,"U",59.112,22.209,"Class1","O",56.376,79.132,71.235
44.969,89.534,60.242,45,"T",9.426,78.881,"Class3","F",33.819,35.858,6.788
29.058,81.268,50.587,46,"P",10.616,84.615,"Class3","N",34.968,35.824,6.891
34.641,96.736,88.578,23,"S",93.345,45.911,"Class2","F",53.234,30.997,83.187
20.2,35.418,57.501,59,"G",40.226,73.656,"Class4","N",60.441,55.474,20.879
77.159,84.013,78.409,93,"E",64.654,25.848,"Class1","V",52.23,80.942,71.666
32.702,88.5,60.4,50,"Q",10.568,87.256,"Class3","W",33.036,41.093,6.598
24.714,39.815,49.001,46,"W",49.173,86.161,"Class4","M",49.306,57.907,52.097
38.062,98.096,32.823,10,"H",96.93,46.584,"Class2","G",57.233,30.213,65.842
30.224,90.016,33.733,33,"S",65.141,-0.871,"Class2","D",30.475,30.097,64.373
77.354,82.463,51.262,48,"T",39.51,23.906,"Class1","O",18.087,80.144,71.415
37.589,85.776,44.466,23,"H",51.74,28.712,"Class2","F",21.068,30.4,94.178
21.103,37.672,63.493,28,"B",48.532,6.285,"Class4","M",61.746,46.081,19.664
NA,93.249,21.922,15,"D",69.918,11.428,"Class2","G",3.029,30.578,77.931
24.503,37.932,52.966,76,"B",53.307,13.427,"Class4","J",64.95,33.545,39.785
NA,84.683,53.419,42,"I",10.323,81.698,"Class3","W",35.053,31.381,9.232
22.743,26.077,56.476,71,"W",36.375,59.198,"Class4","N",53.859,37.734,36.384
76.255,79.386,56.89,59,"T",55.163,22.255,"Class1","V",71.009,80.338,72.336
NA,39.032,77.134,52,"W",40.58,11.027,"Class4","Y",73.073,31.423,18.246
36.097,95.754,32.061,11,"P",66.375,31.81,"Class2","R",6.302,30.431,91.689
77.91,78.825,36.891,45,"U",66.547,18.38,"Class1","O",50.04,80.93,72.216
76.855,77.634,41.489,88,"O",NA,22.983,"Class1","N",59.243,79.73,72.356
42.379,91.359,14.757,26,"D",81.909,-8.355,"Class2","D",34.448,30.885,91.469
77.552,85.873,71.471,38,"U",65.298,23.767,"Class1","C",37.856,80.872,71.422
76.723,79.587,81.077,59,"O",46.777,28.186,"Class1","O",67.86,79.158,70.73
73.535,85.991,48.846,48,"P",11.716,86.222,"Class3","N",36.868,38.679,13.885
64.306,88.208,43.372,43,"T",8.317,83.524,"Class3","N",29.563,33.854,9.219
19.117,37.222,52.056,34,"J",30.337,39.324,"Class4","E",42.783,36.991,45.468
NA,92.891,47.533,20,"S",66.504,56.116,"Class2","D",13.801,30.024,85.253
28.435,91.537,40.151,9,"U",68.313,23.861,"Class2","F",42.425,30.162,77.373
43.069,91.43,75.781,27,"H",90.931,25.649,"Class2","F",56.422,30.516,96.937
77.609,71.345,90.989,87,"O",48.804,26.301,"Class1","V",49.857,79.797,71.146
23.263,34.599,48.583,50,"U",42.821,42.494,"Class4","J",58.34,58.418,25.924
75.002,84.902,38.26,85,"U",55,22.411,"Class1","Q",50.745,80.512,72.684
22.997,80.786,72.926,43,"Q",9.114,82.721,"Class3","W",33.242,34.342,7.469
47.693,72.306,76.42,49,"Q",10.098,87.769,"Class3","F",32.867,31.059,11.063
43.595,91.095,61.925,9,"H",53.41,59.897,"Class2","D",58.092,30.135,72.337
77.403,77.26,68.2,39,"E",86.79,23.23,"Class1","V",48.154,79.148,72.798
75.515,81.135,81.935,26,"T",50.458,22.998,"Class1","C",3.6,79.735,72.012
31.454,96.811,64.056,11,"D",71.757,17.854,"Class2","G",35.491,30.174,48.193
NA,85.194,81.667,85,"U",42.173,24.71,"Class1","O",57.393,79.889,71.382
34.046,96.1,48.981,17,"U",61.229,35.705,"Class2","G",74.088,30.687,56.749
75.404,76.315,73.656,47,"U",NA,26.054,"Class1","O",70.418,80.966,71.38
77.015,86.898,55.253,95,"U",47.172,24.993,"Class1","N",34.971,80.034,70.141
75.959,78.502,19.379,49,"P",12.945,91.63,"Class3","W",37.249,34.765,18.536
75.274,76.36,53.371,80,"E",90.082,27.628,"Class1","O",81.428,79.557,72.247
41.359,95.1,79.045,30,"D",47.704,-4.542,"Class2","F",53.268,30.086,61.034
76.408,82.771,51.966,33,"U",62.922,23.615,"Class1","C",48.977,80.206,71.415
32.018,91.278,27.863,19,"S",92.972,-1.286,"Class2","W",66.998,30.441,71.37
76.476,83.646,71.919,40,"H",54.068,23.276,"Class1","C",46.942,79.975,72.582
77.18,87.763,8.366,43,"T",11.457,83.395,"Class3","H",29.578,31.961,11.699
18.438,34.618,69.072,39,"W",46.825,19.724,"Class4","N",53.142,55.517,27.217
36.976,88.301,51.939,47,"Q",7.358,89.291,"Class3","N",32.73,31.221,10.967
42.213,94.637,80.493,20,"S",50.891,13.761,"Class2","W",43.775,30.82,91.155
75.636,75.498,36.538,59,"H",51.756,24.402,"Class1","Q",55.687,79.176,70.161
24.752,27.733,58.418,50,"W",52.011,42.824,"Class4","J",61.418,35.045,31.947
26.347,87.218,96.229,11,"P",92.337,40.527,"Class2","W",11.763,30.748,86.764
81.114,85.677,36.778,46,"V",8.758,81.645,"Class3","H",26.16,38.719,20.336
45.425,95.136,25.341,32,"D",79.401,58.25,"Class2","D",73.031,30.709,58.246
20.345,40.554,46.125,32,"G",45.161,45.413,"Class4","Y",65.36,59.27,25.222
35.239,91.219,64.231,14,"H",69.141,29.772,"Class2","D",2.54,30.195,72.959
77.874,78.038,45.663,28,"T",84.359,24.031,"Class1","Q",51.864,79.95,72.585
19.167,16.44,48.971,57,"J",38.085,77.564,"Class4","N",66.94,35.018,17.239
65.943,82.788,46.521,44,"T",9.408,82.969,"Class3","H",29.911,35.859,14.52
66.89,83.828,43.079,47,"Q",12.978,85.774,"Class3","H",27.316,30.717,20.138
24.415,35.081,58.462,68,"W",50.245,42.373,"Class4","E",38.901,59.411,35.297
40.274,93.203,49.17,26,"H",96.038,45.227,"Class2","W",92.849,30.418,82.21
23.329,35.696,45.611,80,"W",42.043,12.981,"Class4","N",67.745,54.83,48.356
75.476,86.176,43.133,51,"H",54.934,23.973,"Class1","N",35.188,80.993,70.929
21.859,39.343,47.029,38,"W",29.734,54.15,"Class4","J",93.132,41.835,41.189
41.49,89.055,53.021,10,"U",62.612,-24.361,"Class2","R",107.608,30.564,67.116
43.19,93.704,102.339,16,"S",82.401,8.079,"Class2","W",60.468,30.498,74.424
27.189,88.879,30.033,30,"S",NA,35.455,"Class2","D",65.349,30.433,89.372
18.553,34.837,55.694,72,"W",53.18,20.466,"Class4","J",61.77,39.888,23.119
21.362,45.603,55.626,37,"J",30.003,41.494,"Class4","E",38.164,55.863,18.393
22.409,34.155,67.605,71,"U",35.968,75.423,"Class4","J",35.121,42.736,31.779
44.376,96.351,62.282,12,"P",71.331,45.53,"Class2","W",39.559,30.838,91.959
76.61,82.575,75.815,95,"O",77.034,24.444,"Class1","O",30.579,79.435,71.172
70.859,88.15,63.946,42,"T",12.723,90.469,"Class3","H",32.984,30.254,5.441
46.676,94.845,67.017,14,"U",73.039,33.431,"Class2","R",-25.744,30.173,96.114
22.03,84.696,71.966,45,"Q",9.564,94.536,"Class3","N",34.603,41.459,16.134
75.105,78.622,55.887,54,"H",NA,27.892,"Class1","Q",22.855,80.259,70.9
77.35,78.805,49.658,49,"Q",7.593,81.14,"Class3","Y",35.724,33.344,11.108
33.189,97.07,65.768,12,"U",59.46,19.543,"Class2","R",-18.246,30.081,91.023
24.711,40.701,54.19,40,"G",50.461,53.533,"Class4","N",47.941,45.459,17.613
76.951,80.124,69.103,68,"H",54.923,20.999,"Class1","C",42.359,79.498,71.784
76.074,79.036,60.093,47,"E",47.854,24.927,"Class1","C",36.016,80.603,71.329
38.962,93.373,44.701,25,"P",66.516,15.338,"Class2","R",42.099,30.713,62.542
77.095,88.379,41.138,66,"U",81.648,23.046,"Class1","C",64.549,79.412,71.892
22.179,34.504,55.59,28,"W",52.453,66.253,"Class4","Y",50.721,31.689,32.502
34.24,95.179,15.625,13,"U",62.399,41.147,"Class2","G",45.637,30.099,81.303
25.196,50.228,65.32,60,"U",45.988,59.616,"Class4","J",40.106,44.674,31.428
44.147,81.975,52,50,"V",8.111,87.676,"Class3","H",35.531,36.304,20.399
26.823,83.149,33.544,47,"T",12.439,80.791,"Class3","N",30.677,39.141,10.586
75.88,76.641,56.382,80,"E",54.07,22.355,"Class1","N",31.932,79.574,70.074
NA,95.274,69.887,32,"S",87.33,33.439,"Class2","G",111.399,30.982,94.233
30.797,97.757,55.098,26,"S",47.161,18.051,"Class2","D",47.664,30.331,50.569
19.095,37.528,59.743,49,"G",49.065,36.821,"Class4","N",41.928,43.796,46.795
72.171,87.06,72.489,42,"P",13.371,91.107,"Class3","N",28.244,34.645,5.525
21.868,31.522,52.808,35,"U",44.848,33.475,"Class4","Y",52.471,28.935,42.721
31.555,90.978,39.637,28,"H",89.622,67.747,"Class2","D",34.995,30.609,76.151
47.285,91.903,51.517,30,"U",63.399,37.22,"Class2","D",93.416,30.3,64.46
50.046,76.98,55.808,50,"Q",7.361,90.038,"Class3","F",35.769,32.558,18.893
24.454,77.843,7.461,45,"P",12.867,85.723,"Class3","W",29.005,33.96,20.323
34.708,92.322,44.714,27,"P",97.211,68.23,"Class2","R",9.307,30.165,93.117
31.376,85.781,69.398,27,"D",90.706,-0.583,"Class2","F",54.793,30.521,57.977
75.084,80.074,46.205,83,"O",82.741,25.854,"Class1","V",71.464,80.664,71.235
NA,92.218,9.054,12,"P",84.152,18.749,"Class2","W",51.216,30.733,53.623
77.784,76.006,65.267,80,"E",58.092,22.903,"Class1","V",44.555,79.184,70.064
76.402,77.488,25.502,26,"T",66.862,24.57,"Class1","O",27.766,80.372,72.988
75.201,82.479,47.367,27,"U",69.902,23.713,"Class1","N",20.893,79.05,72.432
45.383,78.943,29.479,42,"Q",7.669,85.452,"Class3","W",38.551,41.789,20.772
77.579,71.111,55.917,65,"H",65.141,24.288,"Class1","V",24.609,79.509,71.64
19.093,35.785,57.05,39,"J",41.973,71.487,"Class4","N",68.582,33.942,50.421
77.815,89.773,50.133,50,"T",12.736,89.257,"Class3","N",27.467,32.074,12.67
48.558,91.271,92.45,22,"D",87.951,67.719,"Class2","G",27.425,30.819,94.475
27.766,90.003,48.972,33,"H",57.753,31.856,"Class2","R",30.926,30.993,96.96
76.824,74.504,28.515,83,"H",63.551,22.181,"Class1","N",81.61,79.341,70.322
NA,77.8,66.826,53,"T",63.176,23.455,"Class1","O",49.188,80.851,71.811
49.359,96.044,53.6,29,"P",62.696,52.346,"Class2","D",39.612,30.856,91.77
50.153,89.306,70.604,14,"H",57.161,53.574,"Class2","D",33.901,30.1,74.641
18.76,35.332,76.017,56,"J",47.809,45.219,"Class4","N",62.545,47.632,13.525
24.727,39.266,63.25,32,"W",36.249,37.278,"Class4","Y",90.421,47.989,17.258
67.815,76.024,65.839,43,"Q",9.831,85.905,"Class3","F",30.333,31.238,6.128
18.279,32.405,50.557,51,"J",33.559,56.509,"Class4","M",78.545,46.828,30.629
70.586,86.885,52.591,44,"Q",7.182,87.793,"Class3","W",30.3,35.89,11.375
75.303,81.855,63.759,47,"T",43.598,25.728,"Class1","O",48.132,79.745,71.075
33.469,92.349,59.331,30,"P",48.939,72.033,"Class2","G",16.31,30.066,85.502
36.579,94.984,63.631,21,"S",57.329,12.872,"Class2","W",77.871,30.058,95.373
75.141,78.882,41.141,76,"H",NA,20.726,"Class1","N",37.317,79.593,71.733
58.197,86.025,62.924,50,"V",13.065,94.802,"Class3","F",30.383,40.214,16.599
19.335,28.467,51.174,32,"B",47.509,45.337,"Class4","J",68.249,33.832,49.902
23.057,28.382,64.027,79,"B",47.39,48.667,"Class4","M",73.604,41.132,24.253
41.087,91.759,18.938,29,"D",51.01,52.553,"Class2","D",12.671,30.082,96.23
27.695,91.615,92.769,29,"P",84.71,52.473,"Class2","W",59.219,30.4,73.908
26.809,89.757,42.995,27,"D",58.976,32.777,"Class2","W",24.363,30.102,71.184
70.447,88.633,66.613,47,"I",11.746,83.827,"Class3","N",28.851,36.241,18.988
77.869,76.606,51.026,42,"V",10.905,82.663,"Class3","Y",32.915,39.964,9.491
73.492,78.196,49.941,45,"V",7.855,85.422,"Class3","H",35.886,38.008,6.7
29.745,98.68,47.163,10,"P",47.884,43.307,"Class2","R",74.63,30.616,88.122
20.206,37.059,49.892,80,"W",31.524,42.772,"Class4","N",56.218,57.921,17.855
30.28,85.229,44.034,49,"V",11.45,80.944,"Class3","Y",30.475,38.714,15.668
50.211,96.41,42.984,32,"P",80.958,24.623,"Class2","D",17.545,30.414,49.116
34.386,78.426,78.483,48,"I",8.802,89.903,"Class3","N",32.282,37.55,20.386
25.854,31.286,47.957,30,"J",53.048,73.128,"Class4","E",60.576,54.893,14.837
46.323,93.522,37.384,24,"D",47.998,16.157,"Class2","W",56.44,30.933,64.046
28.931,91.618,53.457,16,"P",85.072,12.742,"Class2","R",-10.542,30.237,50.883
50.874,97.174,70.213,21,"U",79.904,49.953,"Class2","D",77.885,30.831,75.705
76.595,78.538,65.411,72,"O",52.748,27.114,"Class1","O",56.431,79.87,70.053
39.569,91.107,70.284,11,"D",86.081,53.272,"Class2","F",31.348,30.704,62.897
76.099,80.133,72.342,63,"U",74.751,25.347,"Class1","Q",71.606,80.202,71.315
54.891,78.461,56.192,42,"P",11.728,81.493,"Class3","F",29.581,36.231,19.11
19.608,39.427,63.335,50,"U",31.828,57.692,"Class4","E",54.014,45.345,53.987
18.668,39.885,73.783,79,"W",32.419,54.008,"Class4","N",79.154,47.015,46.096
75.43,74.975,56.743,81,"T",87.289,23.664,"Class1","N",43.79,80.462,72.902
27.331,72.77,40.91,42,"I",12.814,82.528,"Class3","N",34.803,37.981,9.736
44.566,88.282,103.819,24,"H",65.602,63.137,"Class2","F",24.161,30.306,88.878
33.121,79.076,40.084,45,"V",13.189,91.839,"Class3","F",32.647,35.412,14.834
38.736,83.996,54.471,44,"T",NA,87.37,"Class3","W",31.132,30.144,12.293
24.72,28.477,48.871,37,"W",48.748,29.766,"Class4","J",73.425,46.511,28.402
50.396,85.724,55.591,44,"I",13.345,83.535,"Class3","W",36.111,30.447,12.921
75.539,83.949,47.048,33,"O",55.046,26.859,"Class1","V",60.424,79.64,72.538
39.416,81.048,35.254,42,"I",NA,78.871,"Class3","H",29.953,42.417,12.949
75.121,77.226,39.766,63,"U",78.28,23.288,"Class1","Q",69.149,80.232,72.473
77.558,79.876,73.474,78,"E",79.317,20.15,"Class1","O",49.324,80.291,70.375
76.351,74.106,59.537,49,"O",77.328,22.69,"Class1","O",50.304,79.269,71.678
75.882,81.724,77.371,50,"U",42.724,24.94,"Class1","C",46.003,80.529,72.876
68.662,74.499,5.018,50,"P",8.814,83.365,"Class3","Y",37.47,42.814,10.164
NA,79.649,29.009,48,"T",54.774,24.173,"Class1","V",56.223,80.74,71.601
77.382,82.166,48.997,30,"E",91.819,20.876,"Class1","V",59.961,79.402,71.276
67.357,76.519,28.566,43,"V",11.833,84.234,"Class3","Y",26.767,38.419,11.435
76.796,83.04,68.216,62,"U",78.33,24.592,"Class1","O",42.556,80.937,71.064
24.542,21.544,49.315,47,"B",31.428,66.236,"Class4","M",62.417,58.512,24.144
74.283,82.6,31.528,50,"V",8.685,78.444,"Class3","N",34.448,36.072,21.912
39.836,85.019,34.926,28,"U",53.521,-0.908,"Class2","F",78.608,30.513,63.274
47.302,91.939,40.936,22,"U",NA,34.717,"Class2","W",37.849,30.076,88.834
19.769,43.549,46.489,72,"J",48.801,32.374,"Class4","E",62.731,44.252,46.105
20.593,45.53,42.368,75,"J",41.633,28.972,"Class4","N",58.822,57.072,41.218
37.794,81.851,35.941,42,"P",13.348,83.271,"Class3","H",32.65,37.797,6.182
82.473,87.826,82.27,49,"Q",7.509,83.545,"Class3","F",30.491,31.704,3.575
78.967,78.639,33.193,50,"I",11.696,83.739,"Class3","N",30.284,42.899,13.014
23.428,37.279,66.839,47,"J",42.223,30.344,"Class4","N",57.976,59.138,36.296
51.338,90.595,60.315,45,"V",7.52,76.322,"Class3","W",31.158,33.784,17.436
39.572,90.942,71.091,12,"H",91.259,46.642,"Class2","F",65.817,30.667,73.323
24.238,42.596,40.316,77,"B",52.623,48.174,"Class4","E",44.258,49.713,15.467
43.427,86.58,97.472,23,"P",65.426,65.088,"Class2","D",18.458,30.257,49.643
25.453,86.055,23.403,42,"V",13.439,88.805,"Class3","N",34.4,34.797,6.811
75.779,71.193,79.37,60,"U",71.965,20.781,"Class1","O",26.91,79.873,71.574
NA,89.466,24.995,19,"H",54.656,-24.927,"Class2","F",33.142,30.164,89.309
28.948,87.645,61.574,18,"S",91.087,31.6,"Class2","W",4.776,30.173,88.87
76.372,82.816,39.244,65,"E",86.846,25.21,"Class1","O",56.273,79.425,72.963
46.771,89.727,78.967,34,"P",90.158,53.136,"Class2","G",39.343,30.564,70.359
34.169,93.709,64.978,13,"P",52.874,65.811,"Class2","G",37.981,30.28,71.991
27.217,87.007,33.431,23,"U",70.525,30.413,"Class2","G",52.241,30.352,57.313
77.506,71.913,64.02,63,"E",84.553,23.752,"Class1","O",68.776,80.905,72.714
49.517,87.075,77.806,10,"D",84.076,40.665,"Class2","R",67.426,30.876,79.682
54.631,86.499,54.857,42,"V",12.746,89.839,"Class3","Y",34.053,42.738,18.141
42.629,108.473,9.352,9,"D",90.03,54.66,"Class2","R",33.056,30.787,90.751
37.253,94.746,70.003,33,"S",80.254,58.286,"Class2","D",77.988,30.152,67.786
50.96,74.026,46.574,45,"V",12.553,84.05,"Class3","N",35.276,37.402,5.603
29.153,93.799,83.699,23,"H",75.379,35.363,"Class2","G",103.477,30.026,53.604
48.466,93.674,28.929,24,"P",94.428,72.91,"Class2","W",56.184,30.382,94.111
18.779,35.035,51.734,42,"W",44.168,7.613,"Class4","M",79.51,30.154,21.263
30.812,93.216,25.418,31,"P",68.976,34.238,"Class2","G",56.917,30.945,68.02
29.48,93.912,75.659,13,"P",63.752,41.438,"Class2","G",75.122,30.985,87.212
79.257,81.881,79.126,49,"V",9.671,83.053,"Class3","H",26.668,37.896,7.165
18.373,43.375,54.362,66,"J",51.644,30.943,"Class4","J",50.67,47.12,43.605
70.471,77.793,75.822,44,"V",7.641,87.815,"Class3","H",30.237,32.573,19.925
28.834,94.143,55.795,9,"S",73.893,74.032,"Class2","G",35.625,30.044,74.486
38.515,92.159,56.897,29,"P",90.82,47.953,"Class2","F",73.06,30.483,74.412
38.12,86.633,69.23,14,"S",55.955,2.15,"Class2","W",31.12,30.253,65.938
58.933,77.485,59.509,46,"T",10.297,91.76,"Class3","F",32.115,33.643,15.245
36.82,99.755,45.619,23,"S",87.078,69.786,"Class2","D",50.829,30.446,89.971
33.965,90.806,50.248,18,"H",NA,43.693,"Class2","G",56.496,30.863,90.142
77.435,81.21,58.207,39,"H",41.439,21.352,"Class1","C",56.363,80.408,70.962
75.325,74.331,50.144,53,"E",41.662,23.751,"Class1","N",35.43,79.382,71.937
72.411,84.257,50.614,45,"I",13.055,84.833,"Class3","N",32.003,35.654,20.199
56.943,83.357,61.627,44,"T",NA,90.223,"Class3","H",30.047,31.706,5.312
77.298,76.195,74.733,83,"O",40.742,24.906,"Class1","V",35.612,80.195,72.784
78.602,83.903,34.536,42,"V",13.733,86.696,"Class3","N",30.869,39.825,16.039
35.693,78.918,61.405,45,"I",7.229,80.313,"Class3","Y",38.017,32.35,3.382
76.005,85.831,27.063,54,"U",69.819,24.898,"Class1","V",44.683,80.811,71.704
62.152,84.134,40.397,43,"V",7.292,83.821,"Class3","W",27.375,38.888,13.643
75.133,84.608,94.781,36,"O",45.176,22.494,"Class1","Q",26.926,80.148,70.401
50.438,89.669,41.301,9,"D",77.097,45.428,"Class2","W",20.161,30.103,59.046
48.362,96.281,28.04,14,"S",88.04,50.552,"Class2","G",30.246,30.036,58.584
21.752,39.461,56.939,68,"G",32.548,16.632,"Class4","N",63.059,35.421,43.768
74.046,86.782,24.986,46,"Q",8.369,86.711,"Class3","H",37.489,30.856,15.099
43.058,86.224,42.144,27,"P",56.387,12.161,"Class2","G",-0.83,30.882,71.674
66.913,79.656,72.801,43,"P",12.82,89.632,"Class3","F",31.947,34.711,18.192
24.347,24.367,53.826,61,"B",54.262,20.306,"Class4","M",81.462,38.138,42.479
77.693,81.235,93.547,39,"T",82.154,23.376,"Class1","C",34.444,79.345,71.943
23.67,32.259,55.978,36,"U",41.387,45.105,"Class4","Y",75.77,36.191,22.244
35.989,88.492,33.282,25,"S",80.519,15.829,"Class2","D",56.475,30.613,90.5
36.585,82.712,49.901,44,"V",12.626,84.835,"Class3","H",25.336,40.555,5.41
19.749,39.127,69.216,54,"J",46.323,48.561,"Class4","M",50.279,57.524,34.61
76.013,83.17,39.379,57,"H",85.015,22.494,"Class1","O",49.386,79.836,70.937
40.802,82.454,51.547,9,"H",73.11,72.738,"Class2","R",-11.522,30.753,92.759
77.024,78.757,87.014,82,"H",76.092,25.866,"Class1","N",55.903,80.176,71.551
76.678,89.656,36.229,64,"O",41.329,25.06,"Class1","N",31.863,80.042,70.141
59.969,84.925,37.914,42,"V",8.485,86.829,"Class3","Y",37.7,35.53,16.783
39.547,90.668,77.893,18,"D",50.273,72.003,"Class2","F",80.002,30.527,51.328
45.406,90.157,80.619,23,"S",52.477,0.115,"Class2","D",61.192,30.111,62.538
21.63,41.269,51.925,50,"W",50.123,45.445,"Class4","M",61.532,46.23,44.162
21.389,47.931,47.54,41,"J",51.595,51.005,"Class4","M",69.63,52.103,31.589
75.536,78.41,82.829,54,"U",71.666,24.553,"Class1","V",37.496,79.726,72.623
49.792,84.082,2.039,50,"V",12.176,82.214,"Class3","Y",34.457,42.673,8.353
77.924,77.109,59.736,88,"H",89.489,23.284,"Class1","N",77.272,79.457,72.631
19.814,32.563,35.716,80,"U",31.663,50.339,"Class4","Y",62.75,49.534,37.388
77.138,86.475,70.224,75,"O",64.881,25.147,"Class1","C",36.372,79.564,71.317
28.97,90.591,46.237,12,"H",63.391,83.407,"Class2","W",99.505,30.364,71.1
34.813,81.935,20.017,49,"P",9.948,85.257,"Class3","W",33.812,30.31,9.816
75.629,77.97,56.592,84,"U",90.21,25.014,"Class1","Q",40.235,80.516,71.697
21.432,44.04,64.615,61,"W",48.816,36.591,"Class4","M",76.691,47.173,39.427
76.397,81.624,105.527,50,"U",53.75,22.36,"Class1","O",47.407,79.013,71.856
72.101,76.83,51.339,50,"P",9.459,83.246,"Class3","H",35.25,37.897,18.838
24.274,74.625,36.951,49,"Q",8.123,89.105,"Class3","N",31.893,35.525,10.278
46.441,98.611,51.81,30,"P",64.384,8.054,"Class2","F",77.983,30.138,51.087
77.022,77.691,12.655,49,"V",7.168,85.745,"Class3","F",35.234,42.216,10.512
77.13,84.743,87.307,27,"O",59.561,22.421,"Class1","Q",44.894,80.625,71.022
80.8,87.963,88.784,48,"Q",11.22,83.84,"Class3","N",33.186,39.689,12.978
77.884,85.647,91.159,45,"Q",13.949,91.972,"Class3","H",25.563,31.323,19.995
23.595,41.791,63.325,49,"U",NA,30.414,"Class4","Y",29.805,55.768,38.69
19.203,30.042,62.796,58,"J",35.056,51.386,"Class4","N",71.217,38.325,23.384
75.552,77.254,72.36,54,"H",85.687,25.945,"Class1","O",62.22,80.501,72.04
76.161,83.868,72.1,85,"T",91.055,28.143,"Class1","V",40.467,80.657,72.713
49.128,95.982,42.428,14,"U",93.958,29.252,"Class2","W",74.127,30.427,86.281
24.17,41.881,60.574,36,"W",54.14,39.212,"Class4","Y",56.903,45.187,27.386
77.229,78.97,77.209,89,"O",93.275,22.934,"Class1","O",24.185,79.914,72.103
48.744,91.303,62.918,30,"S",50.322,-2.772,"Class2","W",64.651,30.185,79.543
