"VZB1","RDU2","QGJ3","QKH4","WKR5","MVA6","Output1","YEX7","RZG8","QIG9","BJL10","NLD11"
"D",66.668,83.238,54,43.603,50.65,"Class2",83.794,55.584,63,18.995,34.306
"E",64.975,38.304,64,48.51,NA,"Class2",81.308,55.307,74,83.551,26.3
"V",54.045,67.381,54,45.222,78.69,"Class1",77.399,80.052,30,58.291,66.003
"N",11.987,76.466,58,41.927,82.092,"Class1",75.069,59.148,34,64.316,65.53
"Y",43.68,61.221,60,58.36,36.643,"Class3",66.693,36.968,80,96.23,27.037
"S",67.043,60.832,50,34.679,27.205,"Class2",81.614,56.964,79,45.543,25.391
"N",35.93,75.193,66,42.559,83.881,"Class1",52.596,54.765,35,30.837,60.614
"G",39.454,34.931,57,43.171,35.269,"Class3",89.746,48.347,76,93.242,55.157
"V",21.865,75.911,63,40.611,79.938,"Class1",96.881,72.814,26,52.235,62.164
"Y",74.937,16.396,71,59.998,NA,"Class3",92.723,16.549,72,93.929,26.877
NA,53.463,58.563,52,46.674,33.287,"Class3",72.114,21.119,73,98.689,33.258
"Q",64.835,46.209,57,24.193,64.821,"Class2",67.927,56.556,74,49.482,41.619
"E",65.557,100.441,62,35.587,59.938,"Class2",66.5,56.547,76,35.876,44.561
"S",61.846,28.373,55,50.015,NA,"Class2",79.436,54.826,58,6.094,36.44
"Q",64.316,23.123,54,33.316,65.412,"Class2",75.095,49.612,75,41.048,47.684
"B",40.239,82.237,60,38.219,78.563,"Class1",51.727,44.216,22,74.036,59.013
"N",61.029,78.233,41,39.595,82.543,"Class1",32.288,52.063,39,23.256,75.826
"B",22.379,81.194,38,36.853,81.894,"Class1",51.217,33.935,17,54.757,61.339
"J",86.384,28.418,51,36.355,35.079,"Class3",80.53,27.832,85,93.585,41.583
"S",67.869,66.395,56,42.06,45.128,"Class2",76.104,59.179,67,41.02,36.685
"V",68.505,77.108,46,42.571,83.801,"Class1",53.665,39.825,17,43.129,68.288
NA,82.447,44.775,54,28.706,36.06,"Class3",75.185,29.282,77,94.508,41.909
"F",88.771,40.212,58,46.246,34.171,"Class3",78.247,81.746,75,96.295,33.394
"E",63.149,43.772,63,36.315,33.365,"Class2",65.824,48.323,66,77.123,68.213
"C",38.952,80.741,50,29.504,80.184,"Class1",24.677,64.207,19,38.746,71.881
"G",66.055,17.459,59,45.309,36.594,"Class3",76.835,53.096,86,97.614,38.431
"M",62.05,80.412,34,49.325,82.826,"Class1",20.439,64.403,27,52.23,70.618
NA,66.762,48.877,58,60.948,32.314,"Class2",69.872,50.88,75,9.093,59.466
"G",82.575,59.893,63,62.986,35.08,"Class3",98.589,28.764,71,95.676,42.023
"L",63.087,38.069,60,28.741,34.544,"Class3",77.534,18.406,84,95.439,51.765
"Y",46.565,25.444,52,59.122,33.117,"Class3",84.512,34.963,85,98.679,26.186
"M",14.307,78.086,33,31.815,81.387,"Class1",45.566,83.717,17,34.502,65.579
"S",63.325,65.803,51,45.679,59.127,"Class2",62.091,58.696,74,91.79,72.818
"J",36.216,20.864,67,39.261,36.167,"Class3",90.506,27.803,78,94.806,37.844
NA,37.409,82.099,32,36.61,83.108,"Class1",15.84,67.674,40,63.989,73.488
"L",37.482,19.874,55,4.809,36.151,"Class3",90.582,18.31,71,93.268,62.051
"V",52.828,72.732,55,46.124,79.082,"Class1",-8,49.625,22,77.93,68.972
"E",62.081,76.319,58,53.667,24.966,"Class2",74.019,60.839,57,37.774,54.516
"N",11.132,77.926,57,42.021,81.413,"Class1",47.919,95.542,33,22.614,74.816
"E",67.371,79.324,62,26.39,67.411,"Class2",65.686,61.855,65,94.447,73.173
"O",64.564,63.347,63,42.999,58.212,"Class2",71.214,49.851,58,37.099,55.793
"J",52.949,30.81,55,30.673,36.117,"Class3",84.5,56.077,71,95.036,44.356
"O",62.04,28.705,66,32.053,35.992,"Class2",90.727,58.554,68,9.708,67.962
"G",52.802,26.982,59,38.518,35.605,"Class3",62.861,37.854,77,96.2,38.285
"N",24.686,83.227,33,42.574,83.108,"Class1",32.393,51.793,7,48.875,67.009
"G",45.759,49.546,61,42.039,33.036,"Class3",70.65,7.073,79,94.399,44.47
"S",62.784,53.009,53,51.834,29.017,"Class2",66.155,44.77,59,83.46,33.182
"V",28.702,77.161,56,49.79,78.323,"Class1",35.15,30.776,29,61.088,62.211
"Y",73.641,52.61,70,41.965,36.298,"Class3",100.067,39.569,79,95.042,56.189
"O",66.258,63.284,52,45.653,42.882,"Class2",72.081,55.107,68,99.999,65.524
"Y",72.742,31.252,66,45.271,36.091,"Class3",64.405,-6.377,73,93.312,61.012
"S",61.709,62.368,66,32.461,60.792,"Class2",73.814,51.266,61,54.384,31.835
"B",21.831,77.63,66,38.26,82.759,"Class1",47.118,45.105,9,33.642,69.12
"S",66.246,53.4,62,51.465,34.034,"Class2",66.538,58.762,58,54.567,23.635
NA,89.762,55.985,53,43.267,34.715,"Class3",92.47,27.358,78,93.545,48.457
NA,67.448,41.349,65,58.017,75.022,"Class2",75.178,45.84,56,51.497,30.317
"B",37.73,79.042,50,45.626,83.105,"Class1",33.285,58.787,32,53.742,73.452
"S",64.512,90.549,52,36.845,53.524,"Class2",63.878,52.848,61,57.826,27.331
"E",62.566,52.813,56,41.89,38.227,"Class2",70.112,46.247,82,97.603,59.052
"O",63.885,2.604,57,26.562,29.075,"Class2",56.275,54.857,55,21.793,77.265
"V",48.04,77.309,53,41.015,78.841,"Class1",82.323,23.86,25,39.657,62.563
"M",67.487,80.176,61,29.623,81.168,"Class1",28.699,70.282,22,47.77,62.947
"G",49.045,57.901,71,82.011,36.939,"Class3",81.898,25.154,80,97.21,67.882
"Q",62.244,18.59,67,22.513,37.15,"Class2",60.901,53.398,74,33.042,82.976
"M",54.6,73.411,56,44.429,82.652,"Class1",39.83,36.988,11,73.313,59.473
"V",33.304,70.079,41,44.861,81.526,"Class1",82.478,39.666,22,41.943,62.479
"G",74.07,54.144,71,57.113,35.027,"Class3",86.336,36.457,83,95.92,29.642
"S",65.754,71.486,64,41.58,75.056,"Class2",83.516,58.656,65,83.903,29.727
"O",61.576,79.972,58,35.031,NA,"Class2",86.386,53.746,55,93.449,75.162
NA,76.826,29.733,58,51.095,33.755,"Class3",74.833,45.616,86,93.047,69.002
"L",33.715,45.386,66,74.429,33.884,"Class3",84.894,38.791,73,98.856,37.043
"S",66.593,89.238,51,42.66,48.872,"Class2",79.044,54.299,65,98.459,55.116
"S",63.702,79.154,51,50.932,72.996,"Class2",80.251,50.879,60,65.744,27.906
"B",60.079,67.327,54,37.403,78.82,"Class1",39.16,31.518,32,60.319,68.878
"S",65.707,65.05,53,27.187,72.291,"Class2",70.925,55.438,80,29.473,26.442
"V",54.338,76.2,61,44.533,80.905,"Class1",16.637,69.101,29,31.012,65.452
"S",64.342,22.821,56,51.589,41.498,"Class2",68.96,51.097,73,78.256,36.491
"J",48.968,41.69,51,71.37,35.708,"Class3",72.424,56.604,83,94.155,27.262
"V",36.054,73.003,40,37.783,81.049,"Class1",136.418,75.317,13,60.949,60.754
"G",66.354,62.85,69,65.659,34.057,"Class3",81.485,47.112,79,98.075,31.223
"O",64.118,54.632,67,38.444,35.113,"Class2",81.09,56.663,76,65.706,84.175
"N",38.862,84.776,63,43.085,80.733,"Class1",-6.074,40.617,14,80.057,65.313
"D",67.676,109.119,61,23.52,39.623,"Class2",66.709,54.668,58,70.721,64.165
"J",76.879,35.413,55,82.806,34.543,"Class3",71.557,52.923,76,93.898,46.12
"B",42.246,70.14,34,39.986,81.403,"Class1",31.604,69.145,18,33.954,75.594
"J",52.294,54.06,62,38.655,35.048,"Class3",89.64,44.766,81,98.565,63.084
"E",61.823,37.601,67,38.85,31.43,"Class2",78.013,50.243,68,46.621,52.446
"S",62.933,78.501,57,48.268,37.127,"Class2",72.521,49.741,71,78.829,24.637
"G",57.656,55.938,56,61.66,35.322,"Class3",89.885,9.152,82,94.646,60.656
"O",66.19,51.076,53,43.79,62.037,"Class2",49.718,52.125,81,40.453,57.339
"Y",32.608,51.796,52,69.881,34.082,"Class3",82.842,0.21,82,94.54,47.976
"C",26.697,71.796,40,42.478,79.751,"Class1",-17.126,46.907,41,44.318,61.256
"L",48.891,50.858,53,71.052,36.065,"Class3",85.158,59.214,86,94.023,63.428
NA,24.774,78.494,62,33.883,80.749,"Class1",19.77,52.776,13,76.902,75.709
"E",62.107,61.494,55,44.914,42.893,"Class2",73.671,51.939,75,88.523,39.913
"S",66.883,66.922,61,27.328,76.657,"Class2",62.42,55.509,57,39.989,60.663
"D",62.173,39.166,61,32.437,61.583,"Class2",89.406,55.19,60,18.413,81.115
"J",54.423,42.449,54,64.169,36.893,"Class3",81.181,33.356,77,97.991,54.867
"Q",67.979,71.334,50,37.214,34.96,"Class2",67.169,56.366,60,22.948,62.67
"Q",67.219,69.661,62,39.463,67.823,"Class2",66.509,50.162,67,89.237,62.153
"F",64.596,74.603,70,48.672,35.03,"Class3",96.325,30.221,74,93.367,45.27
"F",61.884,45.589,63,26.705,33.658,"Class3",66.746,32.908,78,94.817,31.923
"G",50.938,36.551,60,64.718,35.079,"Class3",76.21,35.484,83,96.353,40.941
"Y",61.043,53.082,58,81.452,36.555,"Class3",97.918,63.043,71,93.817,58.451
"F",62.868,41.166,63,1.244,34.104,"Class3",84.919,21.652,80,95.79,36.227
"M",52,75.956,65,49.135,NA,"Class1",14.418,49.164,14,26.267,71.336
"O",65.564,24.963,66,58.843,27.541,"Class2",102.323,59.989,67,82.053,53.69
"G",83.211,10.27,51,-12.813,33.013,"Class3",84.164,17.388,85,97.518,53.492
NA,62.328,25.536,62,26.711,20.716,"Class2",66.782,49.758,82,91.362,28.637
"J",60.478,57.521,68,82.537,36.561,"Class3",92.934,56.382,72,96.691,37.889
"N",46.499,78.703,42,37.573,81.446,"Class1",20.454,26.629,5,45.977,66.137
"B",63.718,72.42,55,39.688,83.137,"Class1",11.202,33.545,24,36.002,75.334
"B",11.361,76.967,44,28.974,81.673,"Class1",20.571,40.672,34,50.166,67.239
"J",86.576,33.514,56,46.472,34.351,"Class3",93.139,59.076,72,98.739,49.967
"Q",66.444,18.303,59,54.134,NA,"Class2",76.959,54.023,78,13.791,71.907
NA,64.54,82.455,50,37.04,59.93,"Class2",71.248,49.681,74,85.733,81.352
"S",64.242,72.285,54,38.078,43.623,"Class2",66.119,61.682,55,69.197,69.888
"O",63.601,50.775,62,50.532,79.586,"Class2",68.902,58.361,56,87.414,41.564
"Y",76.351,80.041,66,61.929,35.538,"Class3",85.124,11.31,73,95.563,53.101
"V",29.98,81.239,51,40.925,79.671,"Class1",64.67,47.95,13,23.573,59.382
"C",52.401,75.014,34,27.568,80.808,"Class1",24.698,74.677,41,43.382,68.592
"Q",62.351,47.486,57,41.574,73.744,"Class2",64.633,58.747,63,43.574,28.318
"V",39.437,80.708,32,42.998,NA,"Class1",7.012,59.911,32,38.216,73.82
"C",22.833,77.5,55,33.45,78.495,"Class1",58.707,51.673,21,51.02,74.633
"J",33.353,51.798,66,66.844,35.191,"Class3",89.178,32.858,84,97.168,58.619
"L",77.24,47.561,52,21.18,NA,"Class3",101.189,50.914,77,98.329,62.826
"O",65.525,8.529,55,50.941,66.486,"Class2",78.522,53.293,61,10.998,31.309
"Y",46.063,32.019,58,26.371,36.567,"Class3",82.737,66.605,81,98.661,44.4
"V",20.408,75.655,48,37.1,83.212,"Class1",51.676,90.085,21,74.137,75.651
"D",63.215,42.726,56,51.171,76.215,"Class2",71.042,62.025,77,75.192,38.363
"Y",60.07,61.282,67,47.994,36.475,"Class3",83.749,48.037,74,93.208,43.409
"O",67.648,58.726,59,47.563,34.729,"Class2",71.426,56.904,58,45.344,84.316
"D",66.006,69.785,62,57.62,42.333,"Class2",65.233,53.76,64,37.686,35.162
"C",27.299,71.578,50,39.597,82.409,"Class1",57.863,35.479,26,33.643,66.936
"E",61.922,18.395,59,40.566,NA,"Class2",68.46,63.409,71,51.637,29.296
"Y",59.055,30.548,68,48.329,35.319,"Class3",92.778,46.343,75,93.802,38.497
"E",61.071,83.97,54,53.073,78.957,"Class2",76.622,55.759,58,30.381,74.967
"M",13.032,73.116,36,43.538,78.352,"Class1",23.972,55.503,23,35.57,63.59
"Y",64.424,68.635,66,105.146,36.96,"Class3",83.422,40.503,76,93.403,33.306
"D",65.589,19.071,57,47.821,NA,"Class2",62.911,60.343,57,99.467,78.002
"G",55.725,58.976,66,51.245,34.17,"Class3",83.819,21.154,83,94.621,36.747
"S",65.868,67.491,54,49.173,71.082,"Class2",83.741,48.219,68,65.48,84.154
"Y",69.689,31.147,69,66.33,33.032,"Class3",82.771,36.494,73,93.505,35.988
"M",36.324,74.339,42,40.917,81.9,"Class1",63.817,80.527,12,60.944,61.296
"E",66.948,1.883,61,57.942,75.173,"Class2",74.724,43.074,69,5.64,52.266
"O",63.142,5.607,62,45.934,35.425,"Class2",94.942,61.12,75,42.304,32.411
"O",63.532,59.167,65,35.566,NA,"Class2",73.683,56.242,60,99.85,74.629
"D",63.769,54.306,61,38.096,57.877,"Class2",62.309,56.652,60,65.164,49.028
"C",14.845,71.283,43,34.502,78.011,"Class1",66.938,45.567,36,36.687,69.184
"Q",64.681,4.759,51,32.682,64.849,"Class2",66.222,53.835,80,76.352,56.521
"E",66.392,48.629,61,32.409,29.781,"Class2",63.797,63.522,55,91.698,65.124
"S",62.05,35.559,59,38.553,48.684,"Class2",62.794,51.569,81,37.343,30.172
"L",49.232,64.003,58,-0.591,34.803,"Class3",84.831,27.758,79,98.34,65.714
"G",41.357,58.244,51,52.07,34.458,"Class3",83.951,39.624,71,93.194,67.027
"F",81.933,48.158,56,79.942,34.19,"Class3",78.583,69.353,82,93.257,26.083
"F",83.461,37.579,61,25.971,34.981,"Class3",89.925,36.578,78,94.681,58.622
"L",52.264,32.789,68,73.552,33.769,"Class3",87.529,52.931,77,96.004,55.084
NA,76.05,46.522,52,32.506,33.069,"Class3",81.453,50.642,79,96.789,61.517
"M",61.011,81.15,65,37.381,78.919,"Class1",23.364,36.808,35,63.001,77.725
"Y",35.809,34.052,58,65.946,34.24,"Class3",76.513,38.635,76,97.663,53.996
"V",67.284,72.91,49,45.301,78.927,"Class1",2.646,73.447,10,55.58,74.018
"S",61.07,82.505,50,41.531,28.542,"Class2",84.741,55.768,57,44.6,84.569
"C",16.799,81.248,52,44.064,80.92,"Class1",65.445,51.654,21,42.645,65.354
"L",86.136,46.682,70,49,34.046,"Class3",82.036,11.24,78,95.855,27.202
"E",67.098,52.279,57,39.014,41.998,"Class2",93.107,54.037,76,36.47,31.714
"E",62.042,57.603,64,38.005,66.967,"Class2",68.709,54.507,60,15.058,29.809
"O",67.913,49.694,56,57.08,29.045,"Class2",81.771,54.446,78,86.005,25.904
"N",30.272,71.577,50,44.81,79.768,"Class1",31.945,43.404,38,61.3,60.064
"G",47.051,75.656,59,3.46,33.218,"Class3",86.126,11.948,80,95.377,35.998
"N",62.434,73.318,50,32.665,83.401,"Class1",37.326,62.7,7,47.419,60.533
"G",36.864,15.186,66,-1.657,36.322,"Class3",90.37,19.09,72,95.437,59.888
"V",31.61,82.871,63,43.802,81.654,"Class1",27.651,52.65,17,34.254,73.418
"C",20.178,77.05,66,41.337,78.598,"Class1",30.602,53.054,19,36.649,61.808
"M",39.713,72.7,58,37.102,83.645,"Class1",73.67,71.225,16,66.117,64.283
"S",67.219,34.355,66,47.886,77.817,"Class2",69.846,55.59,75,56.831,43.881
"V",13.422,75.765,49,31.787,NA,"Class1",28.59,78.407,20,56.001,66.772
"Q",66.562,101.065,50,44.808,41.422,"Class2",55.632,57.975,59,22.122,60.738
"E",63.046,58.017,51,35.458,78.827,"Class2",72.188,51.795,56,55.982,39.605
NA,62.247,35.078,57,42.233,27.59,"Class2",69.293,56.776,75,32.476,46.126
"Y",83.087,40.006,60,51.083,35.412,"Class3",86.529,22.73,74,95.531,46.095
"M",61.08,78.021,54,37.031,83.226,"Class1",15.204,77.893,34,77.213,77.137
"J",38.796,33.468,66,54.388,36.75,"Class3",68.218,23.828,83,97.367,59.974
"S",67.372,48.77,67,44.406,60.857,"Class2",64.366,68.857,73,98.204,56.162
"D",64.251,30.037,59,39.951,24.15,"Class2",60.437,52.437,57,25.795,55.347
"N",50.242,75.997,52,49.563,83.742,"Class1",65.991,19.339,9,31.532,76.277
"Y",81.331,42.403,70,32.929,33.9,"Class3",80.303,51.925,80,98.108,52.719
"B",32.306,68.96,32,34.754,78.968,"Class1",31.795,49.12,16,70.486,73.532
"M",44.762,72.855,45,49.251,78.593,"Class1",61.99,45.875,11,46.557,62.895
"E",66.05,39.162,67,58.867,66.503,"Class2",58.5,60.588,67,94.303,42.1
"B",13.016,71.067,65,39.18,81.909,"Class1",53.954,49.813,35,73.944,63.119
"J",65.489,38.359,68,73.012,35.394,"Class3",77.325,9.895,77,98.935,61.492
"Y",87.286,46.325,56,53.06,33.98,"Class3",73.535,45.607,72,96.15,45.876
"O",62.05,73.602,54,38.087,38.957,"Class2",73.84,57.133,80,78.73,40.518
"L",52.063,65.024,55,34.402,35.455,"Class3",80.775,51.435,71,95.606,29.161
"F",49.507,26.717,63,57.663,33.405,"Class3",89.405,23.919,83,96.848,54.727
"G",36.458,45.565,52,16.108,35.521,"Class3",81.028,24.763,78,94.169,36.03
"D",65.079,77.094,50,33.386,33.893,"Class2",68.309,50.159,71,52.945,24.876
"V",29.128,69.24,60,47.767,82.944,"Class1",68.095,50.666,12,58.293,70.106
"O",65.371,23.524,53,47.909,56.485,"Class2",78.677,53.512,80,31.875,39.569
"N",29.457,73.571,59,38.347,NA,"Class1",62.86,31.471,27,22.585,70.942
"N",36.733,76.34,64,38.244,82.419,"Class1",31.338,59.88,13,36.086,68.098
"M",40.392,81.807,44,46.328,82.033,"Class1",42.052,34.319,37,74.097,63.615
"J",49.523,51.551,60,59.269,33.514,"Class3",80.29,43.961,86,96.002,50.035
"F",54.758,34.028,63,26.836,NA,"Class3",96.52,13.969,81,97.9,46.085
"O",66.052,59.634,58,27.122,29.745,"Class2",69.395,58.336,57,6.277,26.151
"Q",67.45,51.903,64,45.928,56.841,"Class2",50.355,52.799,73,48.557,66.731
"V",15.918,78.869,67,30.226,78.295,"Class1",21.557,50.004,10,49.988,74.782
"C",59.832,78.775,35,30.661,80.978,"Class1",50.227,62.356,18,61.017,60.759
"N",54.395,79.792,41,31.301,81.861,"Class1",51.894,34.309,20,76.856,66.478
"B",40.675,79.578,45,37.39,80.439,"Class1",62.169,37.856,28,53.807,61.947
"N",43.428,82.778,54,34.979,83.089,"Class1",65.957,44.577,28,71.581,59.067
"V",13.684,74.436,34,41.474,82.787,"Class1",40.819,84.714,34,41.625,61.037
"S",62.237,60.893,57,44.304,27.436,"Class2",69.337,44.93,70,8.636,67.465
"D",62.948,82.54,57,40.9,68.006,"Class2",76.752,51.886,76,36.912,49.967
"Y",82.642,58.944,71,26.66,36.781,"Class3",83.448,45.534,71,97.03,40.201
"O",66.106,78.934,53,28.276,77.397,"Class2",72.561,57.031,55,38.612,36.508
"F",37.115,27.313,58,46.736,33.002,"Class3",84.49,58.387,82,95.743,60.234
"Q",62.624,1.256,51,48.214,75.436,"Class2",50.153,64,81,80.643,34.081
"O",65.977,49.71,60,47.978,60.246,"Class2",68.372,65.643,70,79.616,24.243
"Y",40.185,33.383,71,49.884,36.854,"Class3",88.618,45.204,71,93.209,44.236
"F",86.991,43.837,53,53.752,35.781,"Class3",84.61,42.71,81,98.643,35.072
NA,65.541,82.069,59,41.374,49.428,"Class2",53.053,61.098,70,4.67,24.86
"V",55.302,80.321,44,35.505,83.081,"Class1",63.194,68.171,20,60.319,60.873
"M",56.144,79.903,36,38.32,83.472,"Class1",82.354,18.71,7,20.244,70.78
"Y",73.048,40.859,64,66.181,36.2,"Class3",73.652,13.376,82,97.297,30.358
"D",62.322,63.606,60,40.838,48.105,"Class2",81.082,43.336,78,70.349,48.019
"Y",64.666,27.321,53,20.426,33.016,"Class3",81.798,37.884,83,94.59,49.331
"V",52.761,73.95,51,40.128,79.244,"Class1",36.202,68.482,36,69.479,71.435
"G",46.256,51.416,66,78.868,33.265,"Class3",75.502,38.233,86,95.518,44.842
"F",50.486,41.324,59,37.617,33.131,"Class3",88.804,25.887,83,98.693,32.219
"M",62.519,76.954,56,43.256,82.172,"Class1",32.39,53.939,36,26.642,62.103
"B",43.282,81.897,57,37.926,78.865,"Class1",35.323,21.141,24,48.974,76.176
"E",61.862,12.397,55,51.814,24.326,"Class2",66.702,58.331,74,10.334,52.406
"M",28.691,80.566,48,44.948,81.005,"Class1",22.172,22.274,36,37.682,70.86
"F",71.863,45.987,69,45.754,NA,"Class3",80.975,24.926,76,95.89,41.524
"D",65.255,46.432,64,46.42,56.138,"Class2",82.122,58.441,80,31.901,84.501
NA,65.86,79.464,66,30.614,50.199,"Class2",74.1,59.306,77,37.274,45.26
"M",42.34,72.835,56,41.082,82.206,"Class1",7.069,82.621,13,35.293,73.599
"O",65.503,69.632,53,38.473,68.609,"Class2",62.46,54.807,69,98.248,41.853
"M",47.133,78.861,49,39.883,82.811,"Class1",50.119,65.889,19,52.055,68.788
"J",59.631,43.998,65,46.445,33.155,"Class3",79.566,71.945,71,98.208,55.885
"B",40.674,78.636,45,45.452,82.417,"Class1",47.362,15.02,34,31.236,68.515
"G",35.367,14.519,66,43.277,33.213,"Class3",82.609,26.167,76,97.689,30.615
"G",47.456,62.111,61,44.697,35.067,"Class3",74.322,38.995,76,95.573,53.876
NA,71.312,24.244,67,17.601,35.086,"Class3",72.86,38.224,76,94.743,67.541
"S",67.42,55.526,61,35.481,64.645,"Class2",52.509,54.68,61,56.541,55.108
"M",39.718,77.501,53,39.898,79.676,"Class1",-9.61,81.503,7,37.727,61.995
"D",66.081,33.76,66,39.348,37.39,"Class2",69.537,44.45,62,15.318,37.469
"V",20.719,78.634,52,33.599,81.536,"Class1",-18.255,72.279,7,57.815,66.542
"Y",79.096,45.956,56,76.801,33.422,"Class3",79.619,37.621,72,95.163,66.064
"M",66.112,74.261,58,41.409,79.724,"Class1",62.637,53.578,20,50.172,73.653
"Y",44.39,63.99,54,82.224,34.8,"Class3",85.235,18.813,73,97.746,69.595
"F",47.522,75.292,64,46.714,34.463,"Class3",66.797,14.409,71,93.929,26.527
"J",78.732,28.404,71,56.087,35.142,"Class3",71.685,38.601,82,93.963,45.914
"C",62.984,79.045,39,44.432,79.948,"Class1",40.152,57.499,19,68.594,68.874
"G",41.352,25.532,65,66.976,34.427,"Class3",79.587,9.014,72,95.74,50.178
"O",63.235,71.118,53,25.611,54.779,"Class2",50.01,44.779,79,30.594,83.399
"V",48.266,79.728,43,36.278,79.022,"Class1",17.308,36.034,13,25.969,73.773
"J",67.711,28.799,62,53.348,35.281,"Class3",86.096,38.757,78,95.705,45.988
"Y",32.275,27.276,53,93.289,34.491,"Class3",89.589,47.314,72,95.532,68.764
"F",89.657,38.236,55,45.125,36.492,"Class3",79.544,54.201,76,98.9,45.208
"J",89.133,101.629,64,76.09,34.417,"Class3",93.833,4.062,74,93.316,49.5
"S",63.522,52.741,62,46.466,25.475,"Class2",88.991,58.501,56,31.085,35.081
"V",53.575,81.311,41,39.588,79.876,"Class1",66.117,65.743,28,53.445,68.4
"B",44.395,82.859,40,33.384,80.614,"Class1",-1.731,81.594,20,53.415,59.375
"Y",69.877,73.424,59,32.411,34.985,"Class3",90.649,62.659,76,94.954,29.676
"N",21.545,76.095,58,40.068,80.926,"Class1",78.791,42.315,32,73.673,59.128
"M",40.379,75.654,46,43.9,83.323,"Class1",41.806,43.39,13,30.382,63.757
"Y",88.585,58.121,62,71.209,35.644,"Class3",108.006,8.972,72,97.996,60.538
"E",61.464,65.928,53,37.866,54.699,"Class2",80.003,58.012,60,84.361,75.017
"S",66.336,57.949,65,35.017,45.135,"Class2",74.772,55.632,79,17.52,27.466
"C",25.059,74.971,38,42.133,79.381,"Class1",32.215,64.568,18,62.909,74.996
"Y",82.502,41.098,52,69.454,35.745,"Class3",92.044,36.943,82,96.556,28.32
"S",67.873,87.623,64,31.869,77.472,"Class2",86.42,54.619,60,94.647,39.558
"Y",39.377,22.815,64,17.515,35.915,"Class3",92.579,66.306,79,94.945,59.281
"N",61.653,76.164,55,45.603,80.153,"Class1",-12.269,51.131,39,76.779,62.368
"M",51.771,82.931,36,40.588,78.443,"Class1",73.968,52.012,38,46.842,72.352
NA,37.352,79.707,41,40.262,80.443,"Class1",57.054,50.709,12,25.118,64.831
"O",65.539,73.869,60,34.609,69.397,"Class2",78.674,52.595,72,73.737,29.1
"Y",64.52,16.998,52,18.941,33.123,"Class3",89.587,30.511,78,93.694,70.505
"L",58.735,32.132,52,31.082,34.254,"Class3",83.727,6.532,83,98.815,38.868
"F",62.845,59.219,65,52.154,NA,"Class3",68.266,43.714,72,94.412,40.375
"B",40.592,72.178,63,40.802,78.825,"Class1",29.929,58.165,28,61.802,75.34
"S",66.737,20.266,56,45.618,26.327,"Class2",67.782,54.107,69,87.057,68.145
"B",37.144,78.587,62,32.993,83.963,"Class1",86.183,58.628,16,40.951,60.933
"D",61.302,120.697,60,28.853,63.679,"Class2",77.055,56.904,77,31.463,52.484
"Q",67.984,13.91,66,42.131,73.816,"Class2",69.924,51.629,63,44.461,70.369
"B",16.765,71.267,51,33.694,81.785,"Class1",51.393,68.993,16,34.855,64.707
"O",63.844,69.962,55,31.817,NA,"Class2",76.79,52.184,65,54.365,34.045
"C",17.17,78.818,37,54.478,83.796,"Class1",26.043,58.867,36,55.32,61.582
"Y",43.237,68.469,53,58.387,34.742,"Class3",79.323,68.882,77,96.736,32.607
"B",50.414,70.895,67,38.37,81.286,"Class1",25.525,71.333,25,77.376,65.884
"Y",80.013,63.912,67,111.608,33.376,"Class3",77.925,58.424,86,96.46,30.488
"F",50.857,33.603,71,67.714,36.762,"Class3",82.467,46.998,74,98.794,57.186
"L",64.83,80.516,64,29.805,33.301,"Class3",81.154,51.538,75,96.564,53.106
"Y",45.628,23.54,54,68.989,35.995,"Class3",83.104,44.81,73,95.418,57.01
"G",56.629,29.976,69,105.212,33.409,"Class3",96.642,29.43,72,95.206,66.448
"L",33.359,67.326,63,26.895,33.185,"Class3",76.891,61.236,82,97.852,52.229
"S",67.964,61.808,55,34.794,54.943,"Class2",80.842,45.106,70,51.969,25.753
"J",32.686,46.569,52,67.12,NA,"Class3",81.119,47.214,86,98.257,49.38
"Q",66.25,32.448,59,48.235,44.73,"Class2",62.197,59.576,59,24.921,61.429
"F",45.773,43.095,57,51.136,34.142,"Class3",80.554,8.773,78,98.929,60.409
"O",67.539,75.576,59,45.81,65.174,"Class2",57.444,57.093,61,47.421,84.201
"B",48.894,71.332,54,36.398,79.245,"Class1",55.941,52.637,28,66.622,63.259
"M",40.969,74.971,53,32.354,79.371,"Class1",70.393,36.679,36,80.291,67.173
"N",13.277,74.167,43,30.13,NA,"Class1",-15.855,33.691,26,73.537,73.508
"E",63.504,0.605,52,34.166,60.552,"Class2",76.885,52.655,72,88.235,66.769
"C",57.364,83.107,42,34.887,81.73,"Class1",36.177,73.59,33,25.768,74.142
NA,73.463,47.393,70,66.773,36.782,"Class3",98.688,32.383,72,93.538,70.572
"L",73.312,74.473,61,42.561,33.986,"Class3",89.93,29.111,73,96.479,67.822
"B",61.181,81.022,34,38.273,82.291,"Class1",29.692,58.508,14,49.163,72.325
"D",61.363,83.347,55,41.621,51.531,"Class2",85.967,50.619,74,23.647,38.43
"L",53.073,43.874,52,27.994,36.641,"Class3",82.002,10.474,78,96.839,67.208
NA,42.484,67.47,60,84.677,35.282,"Class3",76.688,56.169,72,94.452,51.101
"D",65.905,48.526,50,29.729,24.565,"Class2",68.178,63.655,66,17.895,56.998
"F",57.55,37.433,65,32.329,35.925,"Class3",87.24,58.575,77,97.803,32.157
