"GEF1","ZJQ2","PNA3","HJS4","KWG5","Output7","CWN6","FKT7","HTK8","OWZ9","XEK10","YQP11"
"G",43.593,52.248,57,60.767,"Class1",18.842,"X",6.646,78.382,79.481,59.936
"N",42.086,52.426,55,48.124,"Class1",44.825,"P",26.013,13.537,70.153,94.1
"B",36.15,21.748,70,24.309,"Class3",51.287,"X",52.948,63.509,21.951,75.311
"G",68.244,51.504,57,68.275,"Class1",9.837,"P",26.018,7.995,79.828,52.115
"H",47.783,40.573,41,52.647,"Class2",97.664,"L",12.733,84.385,12.871,17.31
"O",34.421,18.341,71,25.662,"Class3",49.182,"E",50.861,51.569,28.638,83.947
"U",54.514,66.358,36,57.185,"Class2",63.272,"C",22.091,79.844,14.586,23.487
"U",48.218,33.512,37,22.762,"Class2",43.716,"L",45.051,85.538,5.436,24.203
"D",44.275,42.899,33,40.903,"Class2",51.816,"A",34.31,86.589,13.28,26.722
"O",35.005,20.54,61,18.713,"Class3",56.545,"L",54.204,59.219,14.549,68.999
"U",50.63,67.396,35,-6.893,"Class2",96.874,"L",46.725,73.159,4.132,24.7
"Z",47.792,57.743,39,-8.023,"Class2",56.74,"L",33.484,86.655,6.963,20.304
"D",55.279,50.479,53,49.327,"Class1",29.644,"X",51.746,94.779,77.054,41.109
"O",34.791,16.355,70,32.727,"Class3",40.47,"E",48.304,43.245,58.739,83.476
"G",62.677,51.117,52,75.523,"Class1",13.001,"P",29.427,18.688,89.631,44.186
"O",34.675,23.455,70,15.545,"Class3",42.773,"R",52.291,83.279,77.377,66.176
"N",56.95,51.897,52,61.6,"Class1",17.192,"P",50.809,92.434,82.089,61.859
"D",66.755,52.714,54,74.035,"Class1",22.957,"D",36.699,87.268,77.803,66.254
"U",45.957,40.098,35,51.915,"Class2",52.932,"C",21.573,75.456,13.289,19.892
"D",43.707,44.56,35,67.521,"Class2",52.041,"A",43.504,72.324,5.296,NA
"G",56.212,51.427,54,64.724,"Class1",28.075,"D",14.047,95.738,82.932,57.501
"D",44.897,39.841,40,60.057,"Class2",88.616,"X",16.965,73.02,16.299,NA
"D",47.954,33.139,27,44.637,"Class2",49.361,"A",16.125,78.764,5.811,21.286
"N",49.715,29.808,29,31.87,"Class2",84.039,"A",27.246,71.055,8.119,22.444
"H",49.02,34.924,44,85.982,"Class2",52.589,"L",29.854,76.692,7.762,24.208
"S",35.543,18.457,66,12.264,"Class3",52.419,"G",51.521,91.102,82.016,85.722
"D",50.488,49.777,34,42.96,"Class2",82.09,"X",21.566,71.858,4.588,21.224
"T",82.852,50.293,53,65.583,"Class1",31.402,"P",79.514,24.223,69.95,41.458
"Z",46.993,34.314,36,102.707,"Class2",91.175,"A",30.056,83.124,9.807,18.636
"N",48.943,50.243,51,72.295,"Class1",49.889,"D",16.97,43.855,85.193,58.329
"G",30.492,51.29,52,58.35,"Class1",35.969,"D",10.578,42.561,91.459,54.106
"N",50.16,24.175,41,137.725,"Class2",53.127,"A",41.73,77.569,13.82,21.247
"G",35.772,52.693,53,80.774,"Class1",14.808,"D",24.856,32.238,73.914,85.383
"D",48.367,52.242,34,88.007,"Class2",43.824,"X",25.003,88.548,11.279,25.261
"H",45.44,71.636,44,33.831,"Class2",51.216,"C",21.261,81.042,3.986,15.63
"H",45.878,45.79,43,-6.259,"Class2",87.632,"C",43.335,76.22,9.903,19.335
"B",36.013,5.588,69,30.302,"Class3",46.992,"R",52.518,32.869,42.204,87.527
"G",35.015,22.81,62,34.35,"Class3",46.265,"L",48.6,94.171,69.843,74.093
"G",23.695,51.462,51,70.856,"Class1",32.846,"X",44.172,43.598,89.716,73.417
"N",49.771,51.828,55,80.79,"Class1",19.52,"X",19.76,83.238,74.22,68.437
"G",35.651,22.851,67,26.59,"Class3",51.454,"E",54.021,53.779,25.167,81.125
"C",44.255,51.365,53,81.568,"Class1",10.322,"I",51.567,18.547,91.506,56.702
"D",63.34,52.471,52,56.845,"Class1",25.409,"I",12.74,17.012,89.649,26.36
"Z",46.895,36.46,32,19.128,"Class2",96.738,"A",38.888,87.122,4.429,24.62
"Z",49.05,66.156,32,34.89,"Class2",70.125,"C",44.331,88.779,16.579,21.008
"N",49.894,50.347,29,41.245,"Class2",67.349,"X",21.356,77.557,13.632,24.19
"C",42.266,51.818,54,39.108,"Class1",43.327,"P",NA,5.441,85.559,70.789
"A",35.24,6.991,66,14.311,"Class3",45.108,"L",59.202,85.449,19.568,90.146
"D",45.146,39.923,34,20.322,"Class2",64.7,"Q",43.231,74.873,9.452,19.713
"G",38.909,51.316,55,58.716,"Class1",34.643,"I",76.613,69.715,83.662,34.811
"D",48.354,36.453,37,63.114,"Class2",72.444,"C",31.03,88.285,12.098,23.483
"C",35.341,51.149,52,69.165,"Class1",33.325,"X",46.492,18.524,91.362,39.286
"G",31.303,50.976,57,72.607,"Class1",41.563,"X",8.523,12.1,80.088,37.695
"G",54.073,51.004,56,63.047,"Class1",10.812,"I",27.111,26.063,74.787,57.1
"A",35.044,11.844,66,34.014,"Class3",53.516,"G",52.392,45.631,43.118,50.522
"C",52.832,52.327,57,72.832,"Class1",15.224,"P",63.505,18.556,87.189,77.885
"B",35.419,15.499,68,20.851,"Class3",46.058,"X",59.365,24.316,85.763,87.394
"D",49.752,67.067,44,24.444,"Class2",23.84,"A",39.583,70.47,11.71,18.364
"B",36.312,7.204,61,20.342,"Class3",38.498,"X",50.249,41.795,60.823,53.742
"O",35.485,6.29,65,12.484,"Class3",52.009,"L",57.281,31.94,63.944,74.972
"H",50.121,39.84,30,26.105,"Class2",51.706,"X",21.285,88.097,9.032,19.803
"B",36.458,7.087,68,31.581,"Class3",56.006,"G",53.146,76.948,15.792,90.006
"C",26.03,50.987,55,64.858,"Class1",24.956,"X",64.374,83.069,80.869,40.797
"S",34.892,12.81,67,10.459,"Class3",46.305,"X",53.984,66.402,79.626,84.065
"N",47.292,54.821,32,68.79,"Class2",38.275,"Q",31.625,78.3,11.659,20.854
"H",46.042,35.513,32,73.322,"Class2",45.327,"A",32.226,75.406,8.822,NA
"B",34.796,14.724,66,19.87,"Class3",41.903,"X",47.348,29.712,23.775,82.744
"O",34.489,8.338,70,30.744,"Class3",54.421,"E",54.569,83.948,79.948,NA
"H",43.578,25.041,37,78.058,"Class2",64.852,"C",33.462,74.038,7.675,16.094
"N",50.345,63.256,33,48.905,"Class2",76.112,"X",16.696,81.902,2.15,22.126
"H",42.37,36.373,36,13.681,"Class2",71.71,"A",43.654,73.251,4.95,23.251
"U",47.643,63.419,29,86.778,"Class2",79.863,"L",14.849,72.636,8.372,NA
"O",35.482,5.785,60,11.355,"Class3",33.437,"R",52.454,41.643,2.933,62.263
"A",34.923,19.814,66,29.178,"Class3",55.304,"X",54.601,83.314,75.305,71.173
"O",35.059,5.36,60,23.085,"Class3",37.331,"X",57.08,51.014,37.204,82.189
"T",40.851,52.996,52,85.425,"Class1",7.554,"C",26.951,57.789,75.917,81.541
"G",55.182,52.117,54,72.449,"Class1",34.821,"X",24.806,5.403,81.351,27.602
"C",44.16,52.792,57,56.323,"Class1",14.057,"I",3.944,6.567,90.02,57.482
"C",61.076,51.106,56,82.191,"Class1",28.724,"P",48.108,6.877,81.128,NA
"U",44.258,54.847,43,25.145,"Class2",75.495,"L",37.841,86.97,9.585,21.117
"G",33.733,8.371,67,26.177,"Class3",45.441,"R",49.338,81.929,77.799,91.801
"O",35.456,12.221,63,34.358,"Class3",46.951,"G",48.637,89.554,73.145,97.425
"Z",43.979,29.947,40,57.519,"Class2",82.124,"Q",NA,72.636,3.582,18.65
"U",51.47,57.303,37,57.892,"Class2",61.846,"C",15.923,80.641,11.368,20.701
"T",59.316,51.115,54,77.815,"Class1",13.952,"C",18.473,40.845,86.055,40.362
"O",34.999,19.866,69,33.509,"Class3",52.007,"L",50.734,40.601,29.121,82.668
"G",63.495,50.109,53,67.076,"Class1",19.011,"D",77.231,11.001,77.941,45.308
"C",33.799,52.555,53,69.342,"Class1",18.097,"I",51.749,6.658,68.29,74.937
"U",47.893,55.768,28,45.309,"Class2",66.325,"X",44.72,83.865,2.494,23.426
"U",50.927,59.403,39,93.475,"Class2",55.789,"Q",17.608,73.238,6.075,25.956
"A",34.55,16.178,63,26.402,"Class3",40.499,"L",59.624,86.832,17.787,78.265
"H",43.74,36.458,41,14.182,"Class2",37.642,"C",NA,76.567,11.57,18.464
"U",44.633,58.307,32,8.299,"Class2",51.239,"Q",41.683,72.645,8.695,22.925
"U",46.721,42.21,36,34.973,"Class2",64.216,"X",36.563,85.433,10.458,29.382
"D",34.475,52.819,56,75.36,"Class1",15.015,"D",44.383,68.331,91.789,0.041
"G",35.207,14.946,71,24.988,"Class3",51.813,"R",55.169,48.27,26.443,80.394
"A",34.992,15.422,70,30.762,"Class3",46.849,"G",54.867,41.787,51.893,NA
"Z",50.838,49.471,33,72.702,"Class2",27.323,"X",44.98,81.595,6.277,NA
"C",51.113,50.044,56,58.489,"Class1",18.597,"X",44.671,5.661,74.825,18.422
"A",34.849,8.681,59,39.663,"Class3",62.53,"R",53.612,37.452,58.168,50.876
"B",35.726,13.834,65,19.241,"Class3",47.833,"G",57.799,31.29,50.318,89.934
"G",50.798,50.436,51,59.896,"Class1",43.836,"D",51.192,37.51,73.226,43.587
"O",36.111,22.425,71,20.104,"Class3",54.581,"X",59.477,93.392,53.974,82.989
"N",47.37,62.506,27,-30.327,"Class2",44.44,"X",NA,70.367,15.407,21.351
"T",55.67,51.075,52,49.657,"Class1",11.55,"I",78.195,74.433,66.375,86.756
"Z",47.992,51.446,28,60.845,"Class2",97.436,"C",26.612,70.144,13.558,17.344
"D",24.049,51.644,56,50.07,"Class1",16.848,"I",17.197,80.502,82.438,54.579
"U",46.229,36.554,39,65.41,"Class2",72.62,"Q",12.794,84.95,8.896,18.417
"N",44.378,37.258,36,15.212,"Class2",57.722,"A",26.069,71.59,2.469,21.176
"D",49.996,70.526,43,86.494,"Class2",52.808,"Q",24.172,83.05,7.006,23.239
"C",49.722,52.109,53,81.286,"Class1",25.163,"D",NA,95.084,76.421,43.792
"U",41.318,65.704,30,84.462,"Class2",100.757,"X",22.964,76.022,7.511,19.274
"D",41.566,51.659,55,96.438,"Class1",19.484,"C",23.081,75.515,88.795,81.056
"U",45.756,50.492,33,-7.676,"Class2",76.619,"C",34.657,85.917,13.06,18.979
"A",35.447,15.949,70,17.158,"Class3",55.082,"R",46.173,35.304,70.005,82.622
"H",49.074,28.891,39,73.81,"Class2",76.444,"L",31.257,75.765,8.489,23.14
"N",61.458,52.974,55,34.649,"Class1",26.671,"I",42.869,37.829,80.551,44.555
"Z",45.544,28.565,33,38.065,"Class2",75.315,"C",34.635,81.239,14.441,20.912
"G",73.414,52.842,56,57.365,"Class1",15.817,"X",78.551,12.144,68.209,16.841
"A",34.112,22.814,62,24.22,"Class3",38.928,"L",47.298,93.748,23.516,78.558
"S",35.181,18.413,66,26.924,"Class3",56.848,"L",60.953,43.522,77.874,82.518
"G",51.456,50.876,57,72.995,"Class1",5.49,"D",20.571,72.861,69.537,NA
"U",48.478,62.783,44,38.739,"Class2",62.328,"L",16.596,81.382,3.367,21.857
"N",44.641,70.023,40,-6.202,"Class2",69.548,"L",18.759,72.67,4.839,23.005
"U",49.311,60.947,30,47.146,"Class2",82.52,"X",21.601,74.189,4.068,26.25
"C",41.757,51.076,56,52.001,"Class1",17.346,"P",3.139,58.791,79.151,63.905
"O",35.64,17.435,69,14.096,"Class3",48.638,"R",57.59,86.371,70.173,66.686
"D",47.795,64.277,29,41.336,"Class2",104.353,"L",25.859,83.262,10.878,23.618
"O",34.467,15.109,65,31.512,"Class3",45.879,"X",46.113,23.938,78.903,82.925
"O",34.101,22.434,60,26.038,"Class3",39.313,"X",52.954,35.015,35.031,60.907
"A",35.35,17.537,64,18.266,"Class3",46.787,"X",55.381,94.741,57.916,82.121
"D",38.03,52.4,53,83.453,"Class1",13.444,"X",NA,28.193,79.224,58.658
"N",48.693,52.698,55,56.963,"Class1",29.816,"C",55.025,76.061,81.086,32.602
"D",38.968,52.412,52,76.915,"Class1",42.673,"X",44.233,70.274,67.878,60.166
"H",47.038,25.754,32,77.389,"Class2",55.44,"C",39.891,85.145,4.184,17.462
"O",33.87,14.948,71,26.052,"Class3",52.145,"G",57.745,42.619,34.578,69.269
"G",32.839,51.663,55,55.102,"Class1",29.476,"I",7.205,85.972,86.913,NA
"N",59.863,50.856,51,65.959,"Class1",21.295,"X",2.091,70.596,91.972,64.72
"G",34.658,5.325,69,20.685,"Class3",44.389,"G",46.947,79.568,57.055,79.386
"G",74.426,51.485,54,68.233,"Class1",12.364,"D",19.953,6.468,76.039,90.123
"B",34.486,23.697,71,9.224,"Class3",45.626,"R",46.713,93.281,35.631,57.103
"N",45.605,69.121,38,50.231,"Class2",62.42,"A",38.264,82.95,4.018,12.889
"T",44.829,50.078,56,73.176,"Class1",28.518,"X",69.887,73.085,78.686,74.503
"B",35.195,12.087,67,24.214,"Class3",57.383,"R",53.667,28.592,26.284,92.833
"G",42.643,50.73,53,55.179,"Class1",29.368,"P",23.025,95.266,92.701,49.237
"D",61.245,52.326,56,76.847,"Class1",10.941,"P",24.333,68.678,91.728,41.085
"B",34.675,8.368,59,2.496,"Class3",51.5,"E",52.991,35.37,66.325,93.32
"A",35.137,13.502,67,26.639,"Class3",44.616,"X",46.352,41.39,2.433,90.507
"T",43.504,52.791,54,48.448,"Class1",22.638,"C",29.069,96.795,83.79,55.476
"T",38.452,50.147,57,69.825,"Class1",-9.721,"X",3.993,84.536,82.969,72.775
"T",51.936,51.616,53,65.94,"Class1",36.792,"D",7.519,32.548,73.914,81.086
"T",65.866,52.954,56,61.374,"Class1",16.137,"C",74.224,28.531,92.595,52.421
"B",34.467,7.319,67,34.649,"Class3",63.305,"X",55.437,63.739,78.829,67.144
"B",35.713,18.551,67,23.392,"Class3",50.513,"R",52.471,84.729,44.044,77.842
"D",58.807,52.417,52,61.268,"Class1",27.766,"I",21.891,91.379,87.516,41.86
"G",49.034,51.237,56,38.688,"Class1",28.475,"C",41.3,78.816,74.549,NA
"S",35.479,15.403,69,27.112,"Class3",55.545,"L",58.84,90.643,5.515,67.858
"O",35.171,8.974,59,28.157,"Class3",55.386,"R",54.014,43.142,85.893,63.717
"H",43.653,62.652,39,56.756,"Class2",103.415,"L",38.652,77.229,15.53,25.388
"U",48.676,44.488,40,33.57,"Class2",46.654,"Q",28.88,83.601,16.557,23.721
"O",35.368,17.867,66,8.355,"Class3",46.68,"X",52.2,41.613,7.066,95.168
"C",41.515,51.329,57,63.037,"Class1",4.978,"P",17.677,45.097,88.858,25.141
"S",34.69,13.544,64,10.34,"Class3",56.352,"G",56.967,91.869,38.144,71.937
"D",47.176,51.66,28,42.151,"Class2",28.063,"Q",22.496,81.888,15.882,21.279
"H",46.137,28.605,41,53.741,"Class2",53.012,"L",30.226,72.805,5.155,22.596
"B",35.062,22.213,60,35.389,"Class3",53.459,"G",46.391,58.454,29.225,73.908
"N",49.012,41.409,41,90.417,"Class2",36.271,"Q",46.107,78.35,2.773,16.878
"B",35.432,15.265,59,36.949,"Class3",37.564,"G",52.03,84.146,35.612,NA
"U",44.267,26.77,37,68.34,"Class2",95.04,"L",40.567,86.393,6.115,22.471
"C",55.105,52.479,57,77.61,"Class1",34.593,"I",28.99,5.263,83.261,55.724
"D",64.112,51.546,57,65.446,"Class1",40.563,"I",5.611,95.338,76.096,70.837
"T",62.175,51.403,56,64.372,"Class1",30.236,"I",44.697,36.715,66.547,59.062
"U",46.354,31.848,44,36.298,"Class2",79.022,"Q",25.086,88.429,2.943,22.422
"T",47.494,51.087,54,64.394,"Class1",39.765,"I",16.2,28.677,75.308,72.542
"S",35.214,17.827,65,30.794,"Class3",58.033,"R",54.383,71.588,69.538,85.971
"C",32.232,50.113,53,65.496,"Class1",20.982,"C",46.061,49.501,89.536,NA
"O",34.736,15.009,65,21.291,"Class3",57.407,"G",59.147,92.856,38.198,53.485
"S",34.79,19.567,65,20.473,"Class3",47.491,"R",56.863,43.612,62.208,91.126
"U",46.988,24.732,39,56.136,"Class2",48.3,"A",22.361,72.041,14.309,17.974
"T",49.248,50.289,52,44.318,"Class1",34.774,"P",NA,92.818,66.671,71.019
"N",47.384,66.431,35,17.381,"Class2",66.866,"X",NA,85.799,12.585,20.185
"S",35.79,22.725,69,25.084,"Class3",39.252,"X",55.939,68.832,49.532,58.476
"T",74.21,52.336,54,51.48,"Class1",27.18,"D",38.048,59.952,71.789,65.732
"N",49.69,36.515,36,89.099,"Class2",46.598,"A",30.19,76.076,13.76,21.411
"C",38.535,52.616,52,60.162,"Class1",38.3,"I",20.483,40.953,71.104,38.974
"C",59.886,50.63,51,72.978,"Class1",19.121,"I",22.694,50.471,78.477,39.894
"U",48.427,65.689,43,68.198,"Class2",75.438,"X",24.668,77.462,12.308,18.466
"D",44.857,51.44,39,48.228,"Class2",47.991,"Q",35.296,71.723,15.585,19.288
"N",57.095,51.07,56,64.022,"Class1",13.792,"D",7.648,26.06,91.975,65.723
"T",69.107,50.97,55,66.088,"Class1",32.7,"D",4.524,81.876,68.734,54.061
"S",34.498,11.057,61,29.592,"Class3",59.277,"X",56.917,83.299,41.666,100.97
"A",36.538,21.959,64,44.604,"Class3",47.238,"L",58.546,61.474,46.68,74.322
"D",48.216,46.599,37,75.997,"Class2",99.322,"A",45.923,70.479,16.107,18.542
"B",35.146,14.938,62,12.428,"Class3",49.154,"G",53.01,22.357,79.397,50.322
"D",36.643,52.119,57,40.062,"Class1",7.973,"I",21.307,66.891,71.55,62.473
"U",50.481,68.595,44,94.172,"Class2",52.831,"A",40.852,79.595,9.302,22.105
"A",35.236,16.625,69,29.501,"Class3",54.052,"G",50.292,46.333,32.799,82.118
"O",34.879,6.214,66,16.215,"Class3",40.574,"R",59.813,37.101,17.433,66.791
"U",53.461,40.921,34,44.303,"Class2",43.651,"C",33.182,71.173,14.114,21.795
"Z",47.575,63.884,29,9.075,"Class2",67.153,"C",35.179,88.078,3.527,21.154
"T",64.553,52.855,54,65.852,"Class1",40.484,"P",NA,85.363,91.381,50.699
"G",23.73,51.383,57,63.782,"Class1",10.703,"C",75.218,78.232,86.158,42.862
"U",47.229,64.676,41,43.696,"Class2",52.116,"X",28.406,70.053,11.904,16.109
"D",37.327,52.191,52,64.927,"Class1",2.697,"I",13.017,19.414,66.179,44.782
"B",35.322,9.447,68,24.44,"Class3",40.048,"R",55.863,36.767,37.627,71.953
"N",45.767,24.672,34,43.545,"Class2",55.602,"C",25.724,83.608,3.958,19.083
"A",36.645,8.33,70,29.965,"Class3",36.597,"G",56.556,41.313,50.79,59.438
"H",46.66,63.955,42,40.992,"Class2",69.835,"C",22.748,88.946,12.438,27.086
"G",33.684,11.275,69,31.267,"Class3",45.835,"G",59.213,46.574,52.237,78.438
"S",35.381,23.519,67,18.85,"Class3",47.825,"X",58.559,67.799,53.121,60.535
"T",44.159,52.461,56,62.777,"Class1",38.94,"X",2.904,36.049,83.353,39.071
"N",64.975,52.859,55,76.168,"Class1",18.142,"I",39.516,67.988,81.761,76.627
"B",35.597,14.099,69,15.642,"Class3",47.943,"X",53.786,78.32,9.191,74.431
"C",57.43,50.205,52,81.894,"Class1",20.257,"I",59.07,17.629,85.135,49.436
"O",35.532,14.097,59,12.127,"Class3",55,"X",51.601,78.068,87.471,80.951
"T",40.453,50.212,54,64.016,"Class1",-7.198,"I",29.064,19.295,86.189,25.513
"N",51.949,51.316,53,61.479,"Class1",29.026,"C",NA,54.443,73.829,56.023
"D",46.02,32.208,31,0.046,"Class2",98.986,"C",36.288,88.481,4.901,23.066
"H",44.936,34.248,27,130.009,"Class2",70.232,"X",25.35,82.547,7.76,14.496
"A",34.875,12.528,68,10.179,"Class3",47.303,"R",57.721,37.958,69.642,97.117
"D",66.163,51.93,51,66.408,"Class1",32.36,"X",70.225,30.982,74.064,48.318
"C",45.491,50.765,51,69.285,"Class1",28.239,"X",4.583,78.946,75.12,77.1
"N",42.926,51.71,56,45.747,"Class1",14.37,"P",69.515,82.357,92.043,62.893
"O",36.154,20.362,68,30.961,"Class3",49.998,"X",49.66,75.398,15.322,80.671
"T",61.256,50.355,55,59.552,"Class1",32.117,"P",31.69,44.646,72.444,99.859
"G",35.915,6.205,65,34.871,"Class3",44.127,"L",59.493,93.509,40.484,71.69
"N",46.641,50.388,55,71.124,"Class1",32.24,"X",62.559,35.137,66.335,26.328
"G",45.854,52.712,57,69.16,"Class1",20.551,"X",67.438,79.281,84.113,68.362
"C",42.347,51.87,51,46.011,"Class1",32.609,"X",68.17,23.687,76.546,71.685
"D",41.695,70.3,34,42.532,"Class2",72.382,"L",38.99,86.965,11.452,NA
"T",37.852,51.897,57,60.318,"Class1",25.512,"D",32.776,25.636,72.572,86.221
"D",45.52,44.261,42,26.128,"Class2",46.301,"L",44.076,70.555,6.777,16.936
"G",35.699,12.33,66,32.965,"Class3",35.875,"R",50.993,59.812,63.167,70.811
"T",26.116,52.92,52,86.777,"Class1",-0.596,"C",73.917,65.719,80.643,56.843
"S",34.682,19.373,64,30.942,"Class3",56.048,"L",47.482,52.431,11.918,75.936
"O",36.035,13.972,64,26.054,"Class3",52.32,"L",51.377,29.65,59.165,91.07
"A",34.714,9.258,63,22.652,"Class3",50.894,"R",58.656,78.182,79.973,71.903
"G",35.831,9.666,61,12.484,"Class3",41.521,"E",57.233,68.359,38.537,79.213
"O",35.054,20.952,71,20.349,"Class3",41.94,"L",60.783,79.342,44.589,78.322
"U",49.615,31.768,38,52.111,"Class2",28.649,"X",34.036,77.61,2.67,23.068
"U",47.292,46.619,31,54.333,"Class2",74.286,"A",35.558,83.376,10.105,17.399
"B",33.836,13.747,71,13.097,"Class3",48.349,"E",55.295,59.067,28.419,81.621
"N",47.932,31.848,28,23.983,"Class2",60.055,"X",23.926,85.583,2.712,26.459
"A",35.751,23.713,66,19.89,"Class3",49.744,"R",57.311,71.133,36.916,79.81
"D",49.954,46.08,32,39.89,"Class2",36.867,"X",29.668,74.141,12.299,20.49
"H",45.204,44.822,27,69.058,"Class2",91.033,"L",37.706,73.521,16.794,16.701
"S",34.584,20.306,63,13.943,"Class3",42.381,"X",NA,73.655,66.795,91.514
"N",39.646,50.78,51,67.872,"Class1",38.946,"P",20.905,43.63,91.308,31.764
"B",34.474,6.878,59,25.275,"Class3",51.666,"R",53.216,90.274,39.958,74.177
"G",62.27,51.874,54,74.934,"Class1",44.511,"D",6.619,97.792,74.94,NA
"C",49.692,50.124,51,55.993,"Class1",15.766,"P",48.517,30.493,78.026,44.568
"O",35.49,6.788,68,16.142,"Class3",47.871,"L",59.624,60.21,70.129,60.457
"H",49.177,52.018,36,-22.257,"Class2",85.371,"L",26.848,75.968,14.959,20.347
"G",34.573,19.376,64,16.661,"Class3",56.471,"R",46.083,63.684,25.221,63.06
"O",35.653,12.807,61,35.173,"Class3",33.065,"L",50.155,27.717,49.771,81.178
"Z",46.652,54.748,40,56.694,"Class2",93.824,"Q",35.223,82.755,3.173,22.159
"U",47.47,51.508,41,50.885,"Class2",74.73,"X",46.331,81.564,4.645,20.574
"S",34.871,7.656,69,16.766,"Class3",57.279,"R",54.331,34.925,16.741,75.605
"G",35.336,11.845,59,11.432,"Class3",42.651,"E",48.127,46.785,5.337,96.673
"S",34.807,14.097,64,19.96,"Class3",37.424,"R",51.226,40.713,73.676,73.969
"H",47.528,27.466,28,88.544,"Class2",87.255,"A",30.41,77.746,5.009,23.318
"T",77.898,50.51,53,57.565,"Class1",9.607,"I",8.587,11.789,74.741,62.604
"G",56.834,51.323,52,77.73,"Class1",36.223,"X",53.211,93.189,67.674,46.778
"O",35.825,19.277,65,18.267,"Class3",42.683,"L",53.319,35.904,49.554,94.295
"G",53.77,51.417,52,73.364,"Class1",27.878,"I",27.135,13.255,91.768,66.551
"B",34.786,20.869,64,23.968,"Class3",52.625,"X",57.226,92.468,12.279,39.465
"T",61.429,51.987,56,78.618,"Class1",21.823,"P",46.257,84.911,82.586,38.067
"A",35.193,5.557,65,26.796,"Class3",52.447,"G",46.129,36.458,14.437,70.854
"T",49.616,52.198,54,62.023,"Class1",11.581,"X",7.213,90.968,90.292,70.763
"H",50.111,67.711,29,113.943,"Class2",58.664,"A",32.959,84.102,8.261,20.939
"H",42.68,49.834,28,66.731,"Class2",26.017,"X",33.686,84.905,5.32,22.68
"G",34.756,9.652,65,32.439,"Class3",44.582,"G",54.673,28.751,45.937,94.473
"S",35.227,18.417,68,29.016,"Class3",40.827,"E",55.362,39.352,23.416,71.577
"G",49.234,52.485,51,57.779,"Class1",14.905,"D",13.291,92.973,71.086,NA
"N",47.057,50.164,41,58.529,"Class2",93.304,"Q",15.597,77.569,15.579,21.389
"H",39.988,32.059,29,30.345,"Class2",51.906,"L",32.158,78.435,11.976,17.038
"B",34.337,12.577,61,12.43,"Class3",48.834,"R",46.464,65.771,40.878,78.158
"D",49.798,45.881,38,96.458,"Class2",69.421,"X",15.631,72.039,11.52,27.058
"H",48.817,24.434,40,-24.579,"Class2",58.529,"C",30.203,74.119,12.865,18.678
"B",35.41,7.132,64,30.551,"Class3",54.832,"R",46.23,88.12,21.106,57.298
"D",45.796,47.835,35,33.938,"Class2",58.534,"L",38.472,82.206,4.512,24.439
"D",44.518,51.145,52,63.303,"Class1",16.514,"X",75.55,94.565,78.987,26.372
"S",35.03,11.218,59,37.621,"Class3",51.738,"R",NA,23.16,50.268,85.17
"C",38.201,50.333,55,45.479,"Class1",-5.263,"C",78,77.289,76.303,34.697
"N",48.035,44.464,32,78.529,"Class2",62.883,"A",13.936,83.989,4.038,21.012
"H",52.252,50.16,29,127.232,"Class2",90.756,"Q",39.997,77.096,14.135,26.16
"T",48.326,52.202,51,85.118,"Class1",-2.264,"D",72.101,45.84,89.238,73.235
"U",45.496,30.626,27,30.895,"Class2",86.599,"A",23,84.852,7.328,22.21
"A",34.594,10.832,70,17.13,"Class3",55.068,"E",54.421,94.25,30.806,50.553
"G",36.297,51.744,55,62.151,"Class1",24.58,"C",36.183,9.985,91.833,58.974
"G",34.79,9.912,62,20.547,"Class3",45.074,"E",46.926,25.277,54.504,NA
"G",35.081,20.249,62,10.92,"Class3",52.798,"G",47.377,27.444,35.556,99.801
"C",52.509,52.58,54,83.131,"Class1",38.84,"I",61.368,12.043,82.876,66.641
"T",39.07,50.755,53,94.294,"Class1",6.298,"I",28.374,71.108,92.397,45.959
"N",52.372,70.059,40,10.001,"Class2",62.505,"C",14.089,79.954,12.843,21.89
"B",35.116,11.643,64,20.243,"Class3",49.656,"G",NA,87.371,3.829,NA
"D",46.479,34.893,43,17.501,"Class2",66.823,"Q",14.227,78.967,14.047,21.87
"Z",43.024,27.483,37,66.755,"Class2",78.591,"X",20.632,72.984,9.919,22.945
"B",34.825,6.23,68,7.706,"Class3",49.867,"G",56.163,79.96,33.285,79.062
"N",24.009,50.184,57,62.909,"Class1",13.471,"X",3.756,51.15,72.61,60.165
"S",33.607,6.465,59,27.312,"Class3",36.365,"R",53.027,84.256,18.883,80.25
"A",34.942,14.397,62,1.779,"Class3",43.817,"R",58.655,59.969,12.252,81.727
"C",51.709,50.341,57,52.43,"Class1",36.539,"P",64.103,5.776,72.753,57.728
"Z",50.449,37.683,42,25.719,"Class2",76.727,"Q",NA,78.983,15.512,25.072
"Z",44.821,36.39,30,49.779,"Class2",81.599,"Q",NA,75.702,2.647,21.074
"U",50.208,54.329,31,63.351,"Class2",43.374,"C",38.003,75.733,10.132,24.943
"H",50.089,71.073,41,29.39,"Class2",53.639,"A",46.314,88.227,8.552,20.207
"T",48.635,51.525,54,75.991,"Class1",15.094,"X",47.742,28.666,92.581,82.862
"D",46.644,54.412,42,50.293,"Class2",73.481,"A",NA,74.961,8.91,16.808
