"RWC1","UKL2","GOX3","MNK4","QJY5","YOF6","TKP7","Output3","LKO8","RGK9"
13.683,51.973,73.817,-3.503,"Q",22,84.79,"Class2",16.727,84.813
15.155,16.274,28.101,52.841,"K",40,86.931,"Class2",20.507,81.311
44.898,62.217,32.189,16.029,"E",35,51.252,"Class3",11.559,48.313
41.107,10.232,24.083,42.833,"G",36,51.676,"Class3",14.207,57.846
31.253,23.249,49.231,63.749,"W",24,87.681,"Class2",17.204,47.425
20.046,13.375,33.196,5.408,"X",34,56.634,"Class3",13.976,56.266
34.73,25.28,46.387,2.019,"L",16,87.819,"Class2",32.757,75.972
28.872,0.399,32.876,68.413,"G",37,60.959,"Class3",17.827,50.345
35.611,-6.276,25.912,59.007,"K",34,49.144,"Class3",14.96,48.071
30.396,29.511,65.686,95.426,"K",18,85.154,"Class2",22.243,69.86
28.573,NA,97.569,27.735,"P",35,85.371,"Class2",33.257,30.545
21.075,21.676,22.087,39.685,"G",35,54.469,"Class3",15.451,59.262
53.681,68.198,41.535,39.96,"U",52,56.093,"Class1",52.556,82.567
25.65,23.09,47.44,75.433,"P",22,88.449,"Class2",31.784,68.687
43.14,7.459,32.092,21.184,"G",37,51.816,"Class3",19.193,44.379
17.945,30.829,52.707,63.172,"Q",32,87.984,"Class2",26.664,43.122
50.641,31.393,24.868,69.656,"X",36,50.92,"Class3",15.854,56.565
22.576,28.991,31.718,74.006,"R",37,49.327,"Class3",11.066,52.861
7.712,35.577,78.001,70.362,"P",15,87.676,"Class2",14.12,38.11
19.251,10.606,29.05,46.31,"R",34,44.694,"Class3",19.909,53.716
53.274,79.253,44.837,52.601,"U",51,52.675,"Class1",30.611,88.535
33.844,15.247,37.61,19.229,"X",36,58.99,"Class3",18.411,49.514
25.551,37.005,45.773,8.725,"K",35,50.001,"Class3",14.709,55.976
53.68,53.551,46.501,58.973,"J",53,14.327,"Class1",26.383,86.206
53.394,63.762,56.453,62.35,"J",55,34.196,"Class1",57.718,82.033
26.481,32.261,60.827,38.31,"L",33,85.992,"Class2",13.259,27.422
23.611,30.099,10.341,64.199,"E",35,55.705,"Class3",19.185,51.995
19.423,NA,71.568,25.021,"K",40,88.743,"Class2",21.809,30.373
48.456,21.078,18.212,22.725,"K",36,58.016,"Class3",13.226,47.227
53.514,40.711,24.519,64.761,"I",55,18.922,"Class1",33.791,87.087
53.097,74.98,42.775,57.967,"I",54,29.929,"Class1",47.129,83.408
19.916,28.672,57.442,-8.957,"L",21,84.31,"Class2",13.856,37.749
32.069,34.595,26.467,36.09,"K",34,50.702,"Class3",13.033,58.389
53.955,72.013,41.322,12.996,"U",54,27.365,"Class1",59.108,84.951
53.471,51.479,7.951,53.205,"F",51,27.336,"Class1",32.157,79.844
33.348,1.643,24.03,33.987,"K",35,54.267,"Class3",13.336,59.545
29.14,35.559,38.117,60.919,"G",36,60.463,"Class3",14.012,57.448
45.898,34.34,31.616,28.771,"X",37,51.59,"Class3",13.386,48.518
8.76,21.335,62.489,11.456,"P",28,89.46,"Class2",20.972,58.093
39.904,6.45,16.359,7.348,"K",NA,57.416,"Class3",13.042,58.02
22.108,33.924,42.378,11.16,"K",37,59.734,"Class3",13.564,47.185
53.186,64.163,46.821,64.902,"I",57,58.166,"Class1",42.438,82.275
53.199,51.797,19.969,38.991,"I",51,44.6,"Class1",51.889,72.421
53.641,62.703,52.962,34.753,"I",54,36.385,"Class1",42.415,84.024
53.985,65.386,43.472,31.62,"F",56,51.268,"Class1",54.616,90.821
33.204,19.854,29.433,48.373,"X",36,59.196,"Class3",15.461,47.249
29.554,16.448,26.097,29.035,"R",36,60.928,"Class3",12.653,58.055
53.212,74.863,55.027,26.121,"T",53,21.363,"Class1",55.866,73.269
44.24,30.651,25.497,41.934,"K",34,54.901,"Class3",14.685,57.241
24.469,48.333,68.706,-19.676,"K",14,86.704,"Class2",28.143,77.279
53.453,76.223,40.541,50.054,"J",55,18.748,"Class1",47.585,86.321
53.738,44.425,46.33,49.111,"F",56,22.744,"Class1",15.639,82.37
47.605,24.985,21.606,55.61,"G",35,50.153,"Class3",16.141,52.823
18.473,NA,65.529,41.794,"K",15,86.397,"Class2",21.317,57.298
33.825,9.805,20.913,33.663,"E",35,54.637,"Class3",13.449,55.555
26.225,16.687,89.426,88.14,"Q",31,87.689,"Class2",20.951,50.45
53.445,69.661,53.238,31.864,"I",NA,25.457,"Class1",40.418,86.031
53.592,64.369,15.804,24.297,"F",52,31.463,"Class1",21.377,83.71
28.66,17.734,63.714,-20.552,"W",33,85.798,"Class2",11.145,42.765
53.11,54.8,40.6,47.327,"T",NA,44.92,"Class1",36.086,74.215
51.284,16.645,23.996,23.319,"X",37,54.761,"Class3",13.983,54.736
50.474,10.046,38.581,53.344,"E",37,49.396,"Class3",14.743,53.515
25.122,NA,30.077,38.305,"K",36,55.395,"Class3",12.977,48.419
42.804,41.137,32.143,32.02,"R",36,54.949,"Class3",17.468,44.345
38.446,40.465,27.19,53.312,"X",36,55.449,"Class3",13.588,50.004
30.304,30.349,29.301,43.626,"K",36,52.474,"Class3",17.647,56.343
26.206,9.963,28.191,78.6,"R",37,59.158,"Class3",14.641,46.411
14.46,8.862,62.582,36.355,"K",21,87.922,"Class2",10.463,61.903
21.816,35.182,75.405,50.557,"Q",29,89.147,"Class2",29.17,32.734
23.973,30.104,84.177,53.83,"Q",30,89.516,"Class2",24.36,24.528
53.91,65.812,22.406,61.29,"T",52,31.744,"Class1",48.252,85.58
13.268,32.726,89.407,94.816,"W",32,86.137,"Class2",15.566,60.506
49.355,44.473,13.706,24.189,"X",34,50.37,"Class3",17.349,59.502
50.45,24.265,28.025,30.339,"E",37,55.883,"Class3",19.418,44.631
53.158,86.269,46.855,52.346,"J",57,39.854,"Class1",47.008,88.61
15.554,20.789,56.488,60.913,"L",19,86.709,"Class2",12.307,42.283
53.901,63.072,64.875,37.29,"I",51,28.253,"Class1",51.844,89.042
53.359,75.29,40.064,52.953,"T",55,34.505,"Class1",50.117,85.819
43.971,36.738,23.047,47.058,"K",34,58.654,"Class3",17.569,58.232
53.002,64.439,26.16,38.21,"F",NA,24.743,"Class1",54.268,90.058
52.453,30.817,32.119,38.9,"G",36,46.638,"Class3",15.765,55.953
53.098,76.07,22.422,39.606,"T",54,55.227,"Class1",28.653,75.231
53.923,46.336,35.001,66.289,"T",57,17.459,"Class1",27.453,91.597
25.851,21.96,33.922,20.882,"W",40,87.244,"Class2",9.402,86.85
53.966,56.089,74.676,58.22,"I",56,45.119,"Class1",50.211,79.656
53.688,45.427,65.208,52.595,"I",50,24.437,"Class1",42.308,79.068
53.184,61.507,44.128,39.735,"U",56,44.455,"Class1",51.599,85.036
38.114,49.257,29.162,28.592,"R",NA,56.904,"Class3",13.906,47.402
22.771,45.892,82.09,35.835,"Q",12,87.214,"Class2",13.721,86.384
36.347,-0.35,23.956,51.861,"E",35,54.727,"Class3",15.434,57.644
42.004,19.079,24.776,30.32,"R",37,57.342,"Class3",16.156,47.119
53.634,68.022,49.826,55.565,"F",55,44.953,"Class1",49.251,76.452
20.908,59.216,30.226,30.139,"K",36,54.526,"Class3",12.62,56.981
25.691,8.39,26.958,34.537,"G",36,53.769,"Class3",17.078,50.65
53.733,54.474,53.032,50.208,"T",51,20.532,"Class1",43.903,85.529
53.308,63,45.897,51.564,"U",55,17.016,"Class1",25.214,82.73
21.67,27.76,64.597,50.645,"P",40,88.073,"Class2",20.321,64.58
4.475,23.872,77.892,71.107,"W",NA,87.919,"Class2",34.486,47.432
53.863,NA,31.852,38.621,"F",57,27.748,"Class1",52.055,88.712
32.711,35.301,33.327,8.017,"K",35,59.386,"Class3",11.895,45.253
53.226,85.451,1.145,62.951,"U",54,14.291,"Class1",18.192,73.98
17.346,NA,63.885,87.578,"L",15,86.118,"Class2",13.044,69.206
25.77,43.841,27.389,18.518,"E",34,54.323,"Class3",14.417,49.042
52.434,13.271,31.713,44.863,"G",34,39.746,"Class3",12.019,57.877
53.854,69.995,12.607,61.782,"I",NA,3.821,"Class1",24.054,82.489
24.848,3.906,38.847,17.38,"G",36,53.418,"Class3",13.984,54.997
53.462,63.469,42.706,32.412,"J",51,44.609,"Class1",19.562,74.783
53.008,60.98,31.544,68.081,"F",51,21.32,"Class1",22.556,82.122
27.925,32.049,80.694,36.98,"P",13,88.978,"Class2",29.293,25.555
53.9,64.827,43.041,64.001,"J",54,44.583,"Class1",45.832,83.984
42.236,43.146,22.703,61.771,"K",36,47.846,"Class3",13.366,56.43
41.632,52.908,31.408,46.637,"R",37,52.204,"Class3",19.823,43.641
18.584,30.081,31.579,23.728,"G",35,53.949,"Class3",13.202,52.349
53.721,61.328,54.058,49.312,"T",55,11.757,"Class1",47.479,85.154
23.059,38.458,62.324,49.058,"W",29,87.352,"Class2",29.808,61.177
53.776,78.088,46.335,32.115,"F",54,23.73,"Class1",18.818,88.273
53.137,NA,23.512,48.989,"U",57,61.285,"Class1",26.785,91.14
53.161,62.349,16.905,49.806,"F",55,38.163,"Class1",39.807,81.836
16.705,33.603,55.344,48.435,"Q",32,86.38,"Class2",15.217,80.754
27.1,42.064,19.748,38.856,"K",35,59.742,"Class3",14.991,59.073
53.981,71.479,24.635,39.212,"J",52,24.481,"Class1",18.413,72.627
20.208,13.331,32.787,33.292,"E",34,61.007,"Class3",12.042,56.381
53.649,58.826,63.79,67.073,"T",57,16.263,"Class1",48.547,77.561
53.51,60.809,65.567,36.961,"J",NA,28.841,"Class1",39.773,81.209
53.082,58.849,42.99,58.319,"I",56,13.016,"Class1",48.198,79.923
34.296,18.971,82.133,42.263,"P",23,87.206,"Class2",18.218,82.384
22.883,20.507,39.243,19.86,"K",NA,52.4,"Class3",11.36,45.087
53.282,NA,47.331,40.686,"I",52,11.301,"Class1",24.383,91.509
52.798,45.91,25.289,66.463,"E",37,53.103,"Class3",12.699,58.882
53.051,57.469,49.619,40.441,"J",57,29.635,"Class1",16.709,86.807
21.66,4.625,21.977,44.18,"G",35,56.725,"Class3",13.08,59.127
53.937,73.641,40.639,53.52,"I",50,69.016,"Class1",58.16,89.018
31.46,25.454,38.157,37.753,"Q",22,89.065,"Class2",17.218,69.643
27.788,29.329,23.626,46.958,"E",37,49.241,"Class3",16.516,44.345
53.068,57.793,28.232,50.251,"T",50,34.973,"Class1",49.185,81.37
53.759,66.497,68.778,44.188,"T",50,7.6,"Class1",49.852,75.676
53.205,66.811,35.765,50.993,"U",57,29.596,"Class1",28.736,72.78
49.543,24.703,28.527,56.168,"G",35,67.332,"Class3",14.172,50.496
53.575,70.864,34.229,49.209,"J",53,15.177,"Class1",16.131,75.484
32.318,36.511,72.244,28.871,"K",40,86.906,"Class2",7.086,45.007
35.952,0.63,17.233,22.919,"K",37,59.078,"Class3",15.197,52.254
35.074,45.717,70.257,1.599,"Q",11,87.097,"Class2",7.208,30.141
28.221,42.501,80.523,-13.624,"L",18,88.561,"Class2",31.485,32.049
53.699,NA,62.144,42.796,"I",51,34.931,"Class1",19.486,75.738
15.572,18.831,58.356,6.502,"K",NA,86.904,"Class2",22.17,66.966
53.782,63.619,44.019,58.365,"T",52,20.461,"Class1",34.933,82.029
53.816,51.013,56.067,49.421,"J",53,46.151,"Class1",31.521,84.207
7.745,41.021,41.576,74.463,"Q",40,86.867,"Class2",20.73,32.334
13.747,48.428,64.859,110.955,"K",33,86.289,"Class2",8.858,42.364
29.41,7.765,37.117,52.782,"G",35,48.351,"Class3",14.921,58.225
53.006,56.06,48.963,52.233,"F",54,39.066,"Class1",45.66,86.8
33.775,12.954,61.759,32.834,"W",30,85.628,"Class2",27.775,67.243
39.819,5.002,15.291,44.11,"K",37,63.108,"Class3",12.034,53.368
12.443,31.347,59.199,57.593,"P",15,84.527,"Class2",13.611,36.824
32.167,26.394,19.967,40.88,"G",37,50.464,"Class3",15.408,52.993
49.103,15.653,27.202,15.53,"K",36,58.423,"Class3",11.627,55.559
30.574,28.711,25.858,23.006,"E",36,55.942,"Class3",19.861,55.543
5.568,29.907,56.035,32.217,"K",NA,87.954,"Class2",11.095,78.396
53.245,62.087,54.669,37.397,"T",56,31.568,"Class1",56.215,79.897
6.792,28.789,70.638,18.867,"L",26,85.84,"Class2",31.149,56.452
43.025,39.877,33.249,59.266,"K",34,53.7,"Class3",14.851,46.507
47.116,12.337,33.028,41.112,"E",35,49.912,"Class3",18.053,43.419
53.64,81.395,51.847,52.013,"U",NA,44.646,"Class1",24.563,87.941
43.36,NA,29.896,54.996,"G",36,59.913,"Class3",13.463,47.515
36.811,42.341,28.522,33.49,"E",35,50.086,"Class3",12.216,46.674
30.561,-12.807,11.61,67.976,"G",35,63.054,"Class3",17.787,59.959
53.084,57.523,26.286,43.044,"T",NA,76.982,"Class1",28.81,91.172
33.04,26.021,78.775,2.732,"L",30,84.94,"Class2",29.918,42.137
48.998,29.558,21.489,47.228,"X",35,48.681,"Class3",19.191,54.948
53.359,58.6,36.051,34.882,"U",55,31.533,"Class1",57.03,86.314
26.342,-29.052,34.079,66.175,"G",36,60.415,"Class3",18.052,56.212
33.083,46.138,28.488,46.329,"G",37,56.538,"Class3",11.285,53.327
28.33,49.574,63.425,11.372,"L",17,87.429,"Class2",24.321,79.821
53.957,62.446,35.369,38.264,"U",56,22.665,"Class1",49.506,80.4
53.713,69.713,29.804,46.461,"J",56,50.718,"Class1",36.737,72.106
53.968,43.517,50.875,55.438,"U",52,37.788,"Class1",49.978,76.636
9.293,44.709,48.429,63.276,"Q",24,86.805,"Class2",20.635,77.637
28.327,7.362,30.409,14.714,"G",35,49.743,"Class3",13.307,51.981
53.386,84.401,33.056,44.759,"T",50,46.949,"Class1",28.188,89.802
53.477,55.243,56.089,50.689,"F",57,40.356,"Class1",27.928,73.996
15.386,43.717,91.309,58.956,"P",18,88.025,"Class2",20.175,54.425
20.519,33.903,63.042,31.641,"W",39,86.167,"Class2",29.073,63.283
18.547,12.601,36.505,55.413,"G",NA,50.784,"Class3",13.379,54.632
53.951,65.59,46.451,35.848,"I",NA,48.411,"Class1",17.12,85.97
16.967,39.616,45.318,61.046,"Q",15,86.923,"Class2",28.427,44.521
21.642,41.321,47.305,53.709,"Q",22,87.632,"Class2",15.436,31.213
53.753,54.912,47.3,32.799,"U",56,34.952,"Class1",50.825,91.61
30.21,37.535,25.832,10.521,"X",36,58.555,"Class3",11.289,52.109
30.33,37.932,58.989,16.084,"Q",13,86.503,"Class2",11.395,65.033
53.222,66.442,31.975,53.803,"T",54,74.685,"Class1",33.011,86.654
30.487,44.996,28.001,38.507,"E",34,54.392,"Class3",17.417,43.547
11.395,24.414,56.676,55.101,"Q",17,85.6,"Class2",28.772,25.932
4.269,30.643,47.129,13.758,"L",31,86.523,"Class2",26.357,30.971
36.298,8.804,21.723,7.647,"E",37,62.104,"Class3",15.894,49.678
12.643,16.87,76.241,32.82,"Q",NA,85.83,"Class2",28.383,41.948
53.365,66.004,16.38,44.74,"F",50,15.03,"Class1",56.454,76.751
24.069,28.823,29.814,12.852,"G",35,54.461,"Class3",12.658,49.341
11.501,54.86,75.77,36.138,"W",34,86.928,"Class2",26.771,21.348
42.15,6.886,22.539,48.666,"R",37,61.189,"Class3",16.174,57.465
53.62,73.254,36.116,57.267,"I",NA,71.106,"Class1",29.795,79.25
10.616,39.665,78.966,-13.175,"P",13,87.04,"Class2",18.179,53.284
44.478,11.968,18.116,40.425,"G",36,56.01,"Class3",18.754,46.224
20.84,44.456,30.841,27.613,"E",36,53.325,"Class3",16.179,50.451
48.211,12.414,32.873,17.93,"E",34,53.323,"Class3",17.487,43.171
14.976,15.429,74.596,32.165,"L",36,84.792,"Class2",15.077,31.096
51.412,51.86,22.62,25.615,"E",35,58.988,"Class3",11.147,51.091
34.867,-6.495,28.333,22.589,"G",34,58.526,"Class3",13.243,54.31
53.274,72.813,65.192,52.152,"F",57,7.38,"Class1",37.685,79.874
48.177,-18.962,27.564,66.626,"E",36,48.112,"Class3",19.759,52.195
20.12,30.173,46.447,39.257,"P",32,86.621,"Class2",19.967,71.847
45.525,19.357,20.429,39.747,"E",35,46.173,"Class3",15.866,47.737
53.551,46.139,42.898,40.28,"U",51,39.394,"Class1",38.213,86.768
53.236,42.6,33.948,54.525,"T",56,15.693,"Class1",50.873,86.582
53.355,52.517,40.656,42.93,"T",52,24.311,"Class1",39.889,75.021
19.697,19.037,30.098,76.357,"K",37,60.776,"Class3",18.745,47.047
47.447,NA,25.514,75.993,"X",35,49.164,"Class3",15.591,44.717
5.723,16.425,38.117,35.67,"P",NA,87.308,"Class2",14.234,66.433
36.67,NA,33.53,32.716,"K",34,54.103,"Class3",16.215,49.432
47.959,NA,26.64,48.767,"X",36,52.588,"Class3",14.095,44.775
52.303,7.914,12.658,25.906,"E",37,63.15,"Class3",16.54,43.881
43.995,27.391,31.02,45.624,"E",34,54.94,"Class3",12.95,52.697
53.094,63.641,66.27,32.429,"I",50,10.158,"Class1",54.475,87.374
20.334,38.965,73.465,47.896,"W",16,87.592,"Class2",9.13,81.134
17.65,34.296,55.802,15.748,"K",12,87.367,"Class2",18.296,69.278
26.225,20.886,22.027,51.629,"E",37,51.694,"Class3",12.375,52.817
25.293,11.339,30.394,-6.275,"K",34,59.312,"Class3",18.831,49.569
53.508,76.964,58.544,71.752,"I",56,63.468,"Class1",16.964,73.422
53.497,60.692,38.748,44.615,"I",57,34.152,"Class1",15.547,86.899
32.958,10.038,37.861,44.039,"G",36,56.772,"Class3",18.586,48.019
53.248,59.508,54.273,53.965,"T",50,32.328,"Class1",30.58,79.617
26.091,28.993,20.827,42.057,"K",34,55.007,"Class3",15.482,56.952
35.04,47.255,47.633,13.66,"P",37,87.768,"Class2",32.26,85.511
38.711,9.419,26.368,44.939,"X",35,47.897,"Class3",19.346,49.049
20.888,27.432,27.152,52.246,"X",36,61.819,"Class3",15.555,50.982
35.282,-8.469,18.302,29.34,"X",36,48.55,"Class3",16.43,45.237
37.245,30.342,17.223,31.579,"X",35,57.015,"Class3",14.278,57.412
39.281,37.778,12.895,-2.488,"G",34,50.718,"Class3",18.064,58.214
46.972,44.086,33.12,15.453,"G",37,55.729,"Class3",18.495,43.325
28.755,NA,60.974,51.018,"L",41,87.505,"Class2",9.647,51.062
53.435,70.769,63.102,31.013,"U",NA,32.784,"Class1",15.087,78.882
35.185,27.719,87.579,37.311,"W",17,88.859,"Class2",19.076,39.552
40.113,35.773,30.535,42.935,"G",37,56.41,"Class3",13.843,46.332
33.099,NA,76.051,8,"W",10,87.894,"Class2",16.148,37.12
53.676,53.403,64.542,54.39,"F",53,38.933,"Class1",42.74,84.46
53.915,65.664,34.94,53.103,"J",57,46.473,"Class1",52.759,84.836
31.921,16.097,108.814,45.008,"Q",41,89.449,"Class2",18.628,63.451
47.959,32.488,12.964,47.227,"K",35,61.346,"Class3",11.294,48.502
53.677,73.965,45.844,64.075,"U",56,2.938,"Class1",45.286,79.873
53.696,56.7,33.046,70.675,"F",54,31.037,"Class1",45.554,75.151
33.747,40.719,88.23,102.995,"P",20,87.679,"Class2",28.887,86.036
36.311,21.937,63.32,56.473,"K",34,86.433,"Class2",25.415,76.895
53.515,53.395,14.318,44.828,"U",57,48.89,"Class1",46.325,85.141
53.065,46.198,37.318,57.28,"T",50,49.326,"Class1",16.019,89.733
53.006,69.75,43.447,70.276,"T",56,7.602,"Class1",42.858,79.699
53.388,65.051,28.808,30.112,"T",53,11.757,"Class1",47.664,87.273
53.923,NA,52.145,47.773,"I",56,42.457,"Class1",20.904,76.94
27.164,47.018,21.567,19.611,"R",36,57.444,"Class3",19.59,48.775
7.388,38.337,40.052,29.299,"P",29,88.067,"Class2",11.555,47.642
27.163,13.94,25.941,12.557,"R",35,56.507,"Class3",15.043,56.078
42.974,42.587,39.497,46.471,"X",35,55.921,"Class3",15.091,50.814
53.867,63.807,66.357,59.194,"I",55,22.07,"Class1",32.784,90.08
53.193,67.732,39.198,59.997,"I",56,25.289,"Class1",49.896,90.344
53.36,NA,28.022,45.546,"T",53,26.803,"Class1",44.83,73.573
53.791,60.006,42.804,58.583,"J",51,23.711,"Class1",38.015,91.497
24.759,12.518,27.138,38.496,"G",35,57.032,"Class3",11.287,49.892
39.392,23.103,30.289,42.389,"G",37,50.24,"Class3",18.145,43.622
35.866,33.241,67.087,-2.877,"Q",26,86.572,"Class2",24.807,33.207
48.003,36.804,28.175,51.131,"K",35,50.337,"Class3",19.36,48.021
26.321,34.977,40.615,52.413,"L",20,86.099,"Class2",22.186,66.352
33.455,30.892,48.208,30.264,"K",24,86.666,"Class2",13.662,34.818
53.614,NA,40.081,47.093,"T",53,57.242,"Class1",20.711,75.636
53.744,47.656,35.787,48.531,"T",52,52.7,"Class1",49.605,91.036
51.123,20.408,32.285,40.938,"K",36,55.783,"Class3",12.168,50.317
21.1,26.46,19.298,67.508,"G",36,51.701,"Class3",18.83,46.707
43.712,13.38,25.321,26.043,"X",34,59.743,"Class3",12.945,54.671
26.333,32.997,61.465,44.287,"K",32,85.926,"Class2",28.829,75.83
29.675,35.535,49.303,87.105,"W",36,85.481,"Class2",34.27,69.541
21.725,28.382,10.417,-0.174,"G",34,56.964,"Class3",16.373,54.072
53.739,86.875,65.492,46.893,"T",55,29.588,"Class1",26.155,75.701
53.737,73.791,67.039,41.402,"I",54,56.428,"Class1",35.326,83.066
53.624,36.819,53.041,39.284,"F",50,28.71,"Class1",37.795,80.141
53.658,57.193,34.083,42.947,"T",57,13.264,"Class1",26.01,82.018
34.027,4.248,22.036,25.004,"G",35,58.308,"Class3",15.596,50.398
19.987,60.336,44.596,63.629,"P",39,86.679,"Class2",14.334,84.694
20.349,22.076,26.986,58.091,"X",35,59.356,"Class3",19.894,51.878
53.594,63.95,31.349,42.208,"T",50,49.881,"Class1",16.264,90.469
5.845,35.988,64.524,10.178,"P",39,85.656,"Class2",8.857,63.595
23.09,33.259,60.934,43.141,"K",30,88.812,"Class2",10.776,45.366
10.346,47.46,61.353,36.538,"W",30,86.076,"Class2",9.876,61.833
44.981,50.886,26.121,25.417,"R",35,55.894,"Class3",16.589,46.554
21.699,55.186,72.482,49.152,"Q",26,86.094,"Class2",19.992,72.319
35.025,41.802,62.89,57.737,"Q",19,87.395,"Class2",22.911,76.833
53.615,68.011,11.665,51.463,"I",57,36.245,"Class1",14.878,88.799
53.175,57.085,45.692,38.48,"F",51,17.879,"Class1",56.198,74.095
53.39,71.399,82.029,47.315,"I",57,31.383,"Class1",59.621,83.209
26.066,28.98,40.585,37.176,"R",34,55.603,"Class3",19.392,46.283
35.373,32.352,73.647,6.136,"W",21,86.477,"Class2",29.975,70.872
32.342,27.385,34.6,47.068,"G",36,59.384,"Class3",15.065,45.324
40.691,34.982,22.494,38.024,"K",34,52.027,"Class3",14.071,43.876
52.766,42.607,24.244,19.153,"R",34,51.679,"Class3",15.214,54.994
19.441,39.478,102.037,0.678,"W",17,87.942,"Class2",14.81,60.249
49.327,35.99,30.26,35.677,"G",37,55.849,"Class3",17.37,45.528
34.525,17.845,24.356,-2.912,"E",NA,56.629,"Class3",13.987,58.409
53.882,73.515,58.056,35.98,"T",54,50.756,"Class1",42.599,73.123
8.153,16.348,48.795,34.597,"P",10,88.198,"Class2",25.948,59.193
53.418,62.884,38.621,48.878,"U",52,18.664,"Class1",16.1,73.662
6.904,12.41,89.578,10.832,"L",33,87.431,"Class2",19.344,61.196
53.758,53.174,47.43,47.259,"F",54,61.994,"Class1",59.389,73.157
53.094,63.867,32.891,35.936,"U",54,41.654,"Class1",31.717,82.488
4.776,25.969,66.215,18.015,"L",39,87.102,"Class2",27.279,82.203
25.784,35.192,19.234,18.747,"G",35,58.483,"Class3",12.694,58.032
53.571,61.475,29.071,52.452,"J",57,51.27,"Class1",41.178,91.501
53.636,61.455,46.038,42.209,"J",53,33.775,"Class1",43.414,89.062
22.981,32.83,86.441,-0.809,"P",16,86.954,"Class2",29.077,38.95
53.899,46.968,97.872,33.858,"I",54,34.066,"Class1",56.247,72.336
11.538,27.046,58.339,42.267,"K",30,84.391,"Class2",7.266,60.038
53.59,85.168,66.653,25.146,"U",50,26.193,"Class1",38.15,75.627
42.539,NA,35.883,60.8,"G",35,60.136,"Class3",15.481,46.907
53.334,75.433,72.633,57.651,"I",57,56.177,"Class1",47.427,80.655
21.338,20.65,29.647,44.49,"K",NA,53.632,"Class3",19.343,57.06
53.575,55.062,37.922,49.379,"I",54,26.596,"Class1",29.51,84.493
53.444,95.165,32.583,29.543,"T",57,20.072,"Class1",18.099,76.47
53.381,56.301,53.322,36.735,"F",53,-3.035,"Class1",25.133,80.449
23.802,52.096,32.108,7.537,"E",34,51.625,"Class3",15.625,51.725
53.733,46.362,65.349,46.601,"T",51,20.978,"Class1",22.918,79.702
35.173,30.352,68.09,41.454,"W",34,85.225,"Class2",29.513,41.5
48.779,34.056,33.043,14.753,"G",37,58.354,"Class3",17.743,56.839
41.013,19.684,25.401,25.953,"E",36,56.961,"Class3",17.622,43.524
53.928,66.767,45.539,35.448,"U",57,39.912,"Class1",14.47,78.261
13.8,30.345,61.944,47.783,"P",26,88.49,"Class2",7.157,85.462
48.532,6.308,16.019,78.141,"R",36,58.206,"Class3",15.593,46.984
28.921,11.71,20.956,22.023,"K",36,62.119,"Class3",13.096,51.713
53.369,61.709,22.097,40.058,"I",53,20.84,"Class1",31.333,75.849
38.508,12.657,24.337,-3.146,"G",34,59.369,"Class3",14.196,44.871
9.676,27.862,52.524,54.039,"Q",38,86.573,"Class2",16.697,64.349
20.681,35.05,65.581,-10.681,"P",38,88.532,"Class2",24.909,54.553
25.243,24.616,70.62,-14.695,"W",17,85.494,"Class2",13.697,38.499
24.536,40.172,47.565,42.063,"L",16,89.131,"Class2",31.349,70.049
53.256,NA,56.082,60.212,"T",53,36.253,"Class1",22.857,74.45
53.344,81.875,26.402,56.778,"I",55,14.141,"Class1",14.241,78.717
18.655,23.813,86.746,-15.593,"Q",27,83.425,"Class2",20.976,68.546
14.242,8.72,69.006,7.084,"L",33,86.602,"Class2",25.385,38.661
46.158,26.219,29.607,74.297,"R",34,57.062,"Class3",13.286,59.157
45.57,44.003,24.277,43.814,"X",36,47.315,"Class3",11.692,52.893
24.008,35.112,26.37,57.88,"K",37,60.163,"Class3",15.396,57.946
53.849,74.061,66.762,49.643,"I",50,31.466,"Class1",14.859,87.564
30.924,16.599,48.117,14.97,"L",32,86.342,"Class2",33.683,79.481
53.411,62.017,8.446,57.675,"I",54,55.365,"Class1",30.237,80.991
53.509,51.367,51.441,54.559,"F",51,17.791,"Class1",47.697,80.203
38.602,48.148,24.634,49.233,"K",34,62.121,"Class3",19.926,51.232
22.679,25.606,69.498,28.762,"K",19,88.112,"Class2",20.042,32.393
18.358,35.414,52.156,-39.919,"K",25,88.599,"Class2",33.797,68.046
20.88,32.624,59.234,13.205,"W",29,83.254,"Class2",8.052,57.659
17.528,36.44,44.154,29.935,"W",25,87.433,"Class2",21.535,24.674
53.646,54.028,59.627,49.227,"J",53,23.268,"Class1",58.021,90.654
53.942,50.287,51.622,53.932,"T",51,84.962,"Class1",39.923,78.012
43.267,28.896,21.443,41.56,"X",35,54.092,"Class3",16.582,59.378
41.844,7.345,28.063,43.16,"G",36,59.878,"Class3",15.409,51.438
26.876,32.611,64.39,37.749,"K",NA,88.61,"Class2",8.624,35.472
35.869,5.75,38.015,31.262,"R",37,56.889,"Class3",18.372,46.98
53.751,53.889,30.496,53.193,"T",53,16.146,"Class1",20.801,80.919
41.188,NA,28.347,40.631,"K",35,55.594,"Class3",15.37,50.814
23.884,20.541,10.044,42.927,"X",36,54.522,"Class3",17.825,49.993
28.366,18.384,59.598,28.624,"Q",NA,86.626,"Class2",14.34,55.485
7.647,15.351,51.479,101.393,"Q",NA,88.472,"Class2",33.417,31.168
