"QWE1","UFS2","XRO3","RPX4","QFI5","IBH6","RUJ7","GBR8","GWJ9","Output10","AZU10","GOC11"
30.349,"A","U",82.723,46.571,65.64,42.826,35.15,68,"Class3",75.029,53
50.011,"B","F",60.101,46.724,76.821,45.031,34.443,85,"Class3",56.251,NA
75.811,"L","Q",28.64,59.466,55.175,56.733,58.675,36,"Class2",53.359,89
93.539,"A","F",62.107,60.289,78.621,43.375,25.808,54,"Class3",62.371,18
43.008,"V","K",32.295,38.554,40.114,97.397,28.856,42,"Class1",30.653,65
39.63,"L","Z",29.176,20.778,43.033,77.207,81.647,29,"Class1",31.973,74
40.237,"L","S",63.625,58.105,53.544,66.573,16.89,40,"Class2",76.515,NA
88.595,"L","Q",56.987,59.58,57.042,73.817,18.106,44,"Class2",45.913,79
63.063,"A","J",64.216,49.807,43.009,45.86,26.149,9,"Class3",47.372,NA
30.593,"F","P",26.482,18.069,28.803,49.108,36.579,29,"Class1",37.865,NA
57.134,"R","R",59.09,49.413,35.343,50.214,6.609,15,"Class3",56.206,19
92.99,"T","Y",31.363,62.111,26.555,36.325,83.377,36,"Class2",65.213,79
33.804,"B","Z",34.275,15.545,29.195,24.609,67.348,51,"Class1",31.527,91
69.742,"B","F",81.419,63.215,21.418,40.439,20.078,15,"Class3",66.957,25
40.673,"B","K",26.479,17.449,19.162,66.42,59.822,37,"Class1",38.756,81
50.813,"V","S",30.901,20.299,23.048,61.53,29.491,32,"Class1",39.696,74
40.45,"B","K",32.148,16.74,40.646,4.883,27.301,31,"Class1",46.119,85
40.646,"Z","N",32.406,52.693,55.737,41.25,39.025,44,"Class2",66.365,90
84.424,"R","J",56.417,58.894,55.188,45.949,10.415,39,"Class3",62.826,20
85.353,"L","U",84.727,54.487,70.229,41.174,20.59,12,"Class3",73.674,57
89.921,"B","F",50.034,56.579,-2.306,39.928,24.684,39,"Class3",74.088,33
56.609,"F","Z",30.089,21.357,38.98,24.324,63.867,53,"Class1",46.123,81
59.084,"B","F",84.904,65.548,25.461,45.521,36.609,39,"Class3",70.986,18
NA,"L","Q",76.451,54.039,61.347,76.638,37.792,44,"Class2",30.226,91
62.388,"R","R",77.531,60.293,48.436,45.893,21.669,68,"Class3",69.891,15
91.166,"R","U",71.375,58.812,84.352,44.406,15.542,45,"Class3",65.195,47
39.591,"L","P",26.009,29.088,33.91,47.094,73.074,31,"Class1",43.444,91
55.079,"Q","K",30.045,18.916,27.989,46.312,77.694,55,"Class1",45.716,72
19.041,"F","C",29.505,16.318,30.135,78.615,70.193,35,"Class1",50.104,93
14.404,"F","Y",70.989,56.245,51.704,35.219,14.118,35,"Class2",50.975,82
17.856,"I","O",56.088,60.373,44.449,67.657,81.738,35,"Class2",69.699,93
69.768,"L","J",85.64,52.97,91.311,47.385,40.65,28,"Class3",56.188,19
32.294,"Z","Y",35.967,60.644,52.71,37.459,32.248,43,"Class2",47.555,82
69.552,"I","S",71.101,62.575,37.734,87.914,44.144,36,"Class2",46.684,83
61.546,"Q","P",27.81,18.325,26.905,29.249,59.478,38,"Class1",50.118,85
62.834,"A","J",64.007,54.357,27.017,41.709,6.876,43,"Class3",76.679,56
30.356,"I","N",51.099,63.193,52.109,59.481,88.062,41,"Class2",78.672,94
61.496,"B","C",33.461,18.339,28.8,39.727,34.262,38,"Class1",44.09,70
91.941,"L","F",65.011,49.543,32.138,45.877,7.687,88,"Class3",57.624,22
41.456,"L","K",36.264,21.306,25.763,52.432,32.046,51,"Class1",44.967,84
50.784,"V","P",29.783,16.962,29.975,39.405,68.139,45,"Class1",53.454,70
33.226,"B","Z",31.044,10.613,28.575,103.354,43.586,45,"Class1",44.667,85
77.843,"L","S",64.005,64.401,50.847,48.836,88.667,41,"Class2",48.618,80
87.767,"R","U",51.997,56.249,49.836,42.441,13.671,62,"Class3",58.882,44
47.55,"L","Y",44.802,60.927,64.024,14.696,18.935,35,"Class2",62.157,89
67.904,"I","Y",24.751,56.509,53.87,42.369,73.436,42,"Class2",54.244,87
87.204,"M","R",48.883,63.31,62.867,43.697,24.005,68,"Class3",44.828,12
48.521,"F","S",34.703,61.112,59.672,55.55,79.462,40,"Class2",81.049,91
37.928,"B","C",28.741,22.707,30.024,47.456,46.288,35,"Class1",50.312,NA
34.163,"V","S",30.983,31.548,32.988,54.94,69.639,48,"Class1",50.896,90
12.066,"F","Y",27.366,61.956,40.564,94.343,60.279,41,"Class2",51.125,82
55.877,"L","S",54.596,60.925,45.922,49.36,41.045,34,"Class2",74.453,85
67.689,"T","N",73.606,59.64,54.381,76.462,20.372,40,"Class2",25.323,90
48.585,"V","Z",28.059,10.814,31.515,27.737,55.68,52,"Class1",30.661,66
30.706,"L","S",72.674,59.808,50.937,75.156,81.217,34,"Class2",56.578,81
76.763,"L","Y",26.273,62.663,43.186,71.947,25.808,34,"Class2",4.11,93
39.42,"F","C",32.991,35.013,26.48,35.725,58.676,34,"Class1",41.517,70
45.805,"L","O",74.821,61.852,35.489,80.306,48.296,42,"Class2",63.095,NA
89.916,"L","U",55.748,47.051,60.102,45.049,9.533,23,"Class3",57.42,53
62.372,"R","J",49.872,47.031,14.189,46.314,31.943,69,"Class3",61.222,19
50.357,"L","Z",29.532,22.258,25.04,48.319,75.307,36,"Class1",42.32,86
21.386,"L","Y",57.034,60.673,39.178,73.321,87.271,41,"Class2",35.579,80
37.441,"B","Z",29.126,20.797,37.806,113.219,68.243,44,"Class1",53.059,81
12.851,"F","Y",66.135,63.699,42.503,66.373,10.612,36,"Class2",61.895,79
NA,"F","O",44.701,63.418,56.965,88.312,79.036,37,"Class2",75.6,78
46.056,"F","Z",35.378,19.264,28.143,102.035,26.333,42,"Class1",40.106,77
70.379,"M","U",68.867,46.997,13.451,41.748,9.468,38,"Class3",79.181,15
63.699,"F","K",31.417,33.278,29.315,76.766,43.661,45,"Class1",43.075,76
34.304,"R","U",47.752,50.077,65.431,44.814,20.234,47,"Class3",67.056,14
19.999,"I","Y",33.574,55.494,53.634,24.207,8.399,42,"Class2",63.249,86
32.365,"L","S",26.343,36.586,46.035,73.345,72.506,47,"Class1",45.715,71
37.369,"L","Y",49.396,57.999,47.635,88.66,11.713,35,"Class2",50.97,94
34.077,"F","N",72.21,64.104,38.818,75.21,23.429,33,"Class2",30.215,83
32.108,"R","U",83.469,41.042,3.149,49.509,17.885,10,"Class3",65.376,23
54.487,"Q","C",31.955,36.297,38.322,-3.173,38.804,55,"Class1",50.332,70
31.961,"T","S",76.504,58.051,55.582,59.119,48.708,36,"Class2",19.163,78
78.744,"T","N",61.963,58.576,66.836,20.072,43.025,37,"Class2",29.133,79
56.756,"Q","Z",30.6,20.192,15.899,81.946,56.485,48,"Class1",38.302,78
61.6,"F","C",29.172,1.891,12.506,9.379,53.759,37,"Class1",45.521,95
75.162,"R","P",65.926,44.464,59.533,44.984,19.179,28,"Class3",71.517,13
37.148,"Q","K",30.67,21.927,35.844,-11.824,41.113,45,"Class1",44.47,68
NA,"A","P",65.059,56.369,18.885,43.973,17.423,21,"Class3",54.665,15
46.295,"R","U",82.119,51.001,30.601,50.931,8.109,89,"Class3",43.013,62
38.13,"L","P",53.18,55.06,87.15,46.971,41.474,53,"Class3",59.336,27
74.422,"L","N",31.334,57.552,62.696,17.841,15.638,40,"Class2",65.458,80
39.941,"Z","S",49.89,59.57,46.27,52.239,86.029,40,"Class2",47.417,84
21.309,"V","K",35.494,18.266,47.357,51.058,35.496,53,"Class1",54.749,74
86.777,"A","J",77.536,52.455,36.754,44.349,26.599,73,"Class3",52.415,57
22.3,"L","C",29.061,5.906,32.004,6.988,48.969,36,"Class1",45.171,86
46.164,"B","C",30.661,29.825,32.346,28.3,31.942,53,"Class1",42.072,82
24.409,"B","C",35.359,39.716,23.157,51.78,36.309,42,"Class1",30.663,75
40.858,"B","F",73.495,46.953,27.107,45.995,38.453,18,"Class3",56.011,24
73.342,"F","Q",72.69,63.25,43.039,18.329,70.362,40,"Class2",71.406,87
13.787,"I","N",69.103,61.55,59.997,31.944,11.488,40,"Class2",38.597,NA
43.738,"Q","K",34.045,50.381,17.36,73.813,61.727,29,"Class1",45.925,80
75.35,"L","J",74.692,51.623,61.208,39.539,22.67,90,"Class3",75.114,8
36.499,"L","K",35.245,21.096,32.17,46.46,85.116,50,"Class1",32.589,96
38.97,"R","R",59.316,53.815,90.055,38.927,11.669,57,"Class3",70.553,19
53.13,"F","S",71.682,61.725,55.326,41.769,64.656,39,"Class2",43.196,90
38.041,"B","C",27.734,-2.78,28.266,18.655,27.536,44,"Class1",40.913,83
52.323,"Z","O",53.719,62.63,57.727,44.116,68.97,33,"Class2",91.62,91
69.799,"R","P",77.792,61.046,62.278,44.29,8.479,22,"Class3",75.757,39
41.993,"L","Y",47.952,55.177,46.374,37.824,74.191,44,"Class2",38.819,NA
82.411,"B","F",70.809,52.387,57.464,43.887,15.127,64,"Class3",71.721,28
51.859,"L","Z",29.444,20.247,40.966,46.78,40.175,46,"Class1",54.934,72
75.661,"R","J",72.32,59.079,61.223,49.511,28.852,40,"Class3",59.708,47
62.397,"Q","S",36.565,15.32,15.746,65.899,79.062,37,"Class1",31.081,93
40.232,"A","F",77.828,58.02,58.316,40.762,32.067,74,"Class3",65.44,50
23.94,"L","K",27.446,32.84,33.067,29.27,80.899,38,"Class1",51.715,74
76.232,"R","U",79.526,55.618,59.005,46.262,20.537,27,"Class3",72.864,14
61,"T","N",58.039,61.663,47.891,77.473,3.321,41,"Class2",98.609,79
26.306,"I","N",50.813,57.393,71.195,104.272,15.939,38,"Class2",63.917,82
86.529,"A","P",72.252,44.806,51.431,43.564,5.291,67,"Class3",51.493,43
92.287,"A","F",64.976,53.595,56.051,45.406,13.521,14,"Class3",58.183,49
39.869,"Z","S",44.327,63.57,59.796,40.674,88.407,37,"Class2",73.957,94
58.149,"Q","S",35.411,16.952,17.907,20.491,25.312,49,"Class1",40.302,84
19.263,"Q","C",31.299,21.332,29.998,66.168,67.539,44,"Class1",43.384,88
45.053,"F","Z",30.923,27.475,45.216,15.211,48.933,53,"Class1",30.328,74
57.043,"L","R",50.263,60.147,87.076,45.208,31.613,87,"Class3",61.221,16
76.354,"Z","Q",30.926,66.878,54.193,145.427,20.328,39,"Class2",63.947,85
64.978,"F","Y",46.124,60.242,50.337,102.304,26.236,44,"Class2",43.874,83
21.146,"T","O",77.528,65.688,61.197,38.486,87.397,35,"Class2",73.501,94
45.168,"B","U",54.415,50.14,48.937,43.212,23.099,34,"Class3",67.775,NA
49.698,"Q","P",29.385,29.29,42.964,18.77,44.536,33,"Class1",46.808,88
61.822,"R","J",57.986,46.951,56.109,43.768,24.802,81,"Class3",75.737,61
46.94,"B","R",61.506,54.284,76.096,41.708,37.442,48,"Class3",39.033,10
45.95,"Q","C",34.218,5.924,32.588,33.481,51.878,30,"Class1",44.336,80
58.904,"R","P",83.467,53.042,61.299,44.755,22.803,30,"Class3",62.675,10
60.415,"M","U",52.232,63.87,42.999,44.617,30.502,40,"Class3",69.575,24
54.543,"L","S",33.348,40.883,35.446,91.095,83.897,44,"Class1",37.594,87
35.275,"L","U",85.592,62.571,48.735,42.015,26.481,58,"Class3",62.593,16
50.445,"F","K",29.351,20.577,24.276,17.756,29.109,55,"Class1",51.514,73
81.653,"M","P",77.066,45.374,45.154,43.25,9.76,18,"Class3",68.562,11
62.098,"M","R",67.413,51.126,52.691,48.721,14.577,46,"Class3",68.288,18
20.859,"T","Y",28.217,59.795,58.081,45.951,88.816,40,"Class2",49.228,88
35.095,"M","R",68.186,47.59,73.47,47.093,14.623,38,"Class3",64.822,10
61.309,"I","Y",72.868,64.018,54.627,55.13,32.083,34,"Class2",34.274,85
20.488,"Z","Y",75.721,57.599,56.477,29.53,37.223,44,"Class2",13.45,94
30.046,"L","P",82.133,55.603,57.807,48.109,31.252,83,"Class3",63.321,59
84.992,"L","S",57.749,59.307,53.829,30.525,18.865,36,"Class2",46.875,83
22.018,"I","S",29.069,59.944,52.876,49.005,25.358,34,"Class2",43.59,79
80.457,"F","O",32.289,60.725,44.572,54.801,31.561,43,"Class2",42.55,90
46.736,"I","Y",58.941,63.088,62.985,59.759,87.291,37,"Class2",37.689,88
30.885,"B","C",34.748,40.181,28.498,24.209,57.149,46,"Class1",47.453,89
56.62,"V","S",27.532,21.202,19.99,54.891,27.67,34,"Class1",43.962,95
63.524,"V","C",26.519,18.164,35.198,39.879,27.705,34,"Class1",35.225,67
31.704,"F","S",27.113,42.196,25.691,-25.814,76.38,28,"Class1",38.257,96
20.92,"Q","K",27.276,21.23,40.34,69.064,81.197,30,"Class1",38.243,88
79.793,"I","Y",25.419,59.24,71.323,31.003,54.215,40,"Class2",44.624,87
22.249,"L","N",59.204,63.01,54.723,70.542,15.818,42,"Class2",75.517,93
28.145,"F","O",53.493,63.061,67.784,53.392,13.86,38,"Class2",38.42,85
35.839,"Q","C",35.591,17.146,37.711,21.783,61.335,55,"Class1",34.803,81
37.145,"L","O",29.756,59.685,43.276,11.979,64.519,40,"Class2",39.316,93
62.752,"F","N",61.012,57.996,58.769,61.725,62.887,44,"Class2",60.227,90
58.611,"M","F",65.06,52.174,65.752,43.893,9.711,48,"Class3",74.629,30
36.48,"R","F",84.086,55.489,56.954,47.487,21.323,49,"Class3",65.549,15
75.217,"I","Y",75.236,60.743,48.364,119.428,79.65,40,"Class2",57.291,91
23.487,"Q","K",28.246,15.788,36.86,7.638,78.008,47,"Class1",49.014,77
21.103,"Q","K",36.953,24.838,37.516,80.72,51.827,30,"Class1",52.302,69
10.329,"I","O",69.09,63.231,55.933,24.526,68.623,33,"Class2",48.979,82
69.776,"Z","Y",47.295,59.507,45.1,58.108,48.521,44,"Class2",61.607,93
44.167,"L","C",34.601,21.896,23.075,51.537,70.094,45,"Class1",59.178,82
17.472,"I","S",32.468,61.456,54.672,52.588,49.342,42,"Class2",66.493,84
57.855,"L","O",37.013,65.257,45.83,69.712,36.248,34,"Class2",43.108,81
73.666,"L","N",33.662,61.6,45.274,56.343,63.253,38,"Class2",60.061,NA
56.908,"R","F",55.942,53.787,60.021,43.848,36.383,24,"Class3",49.243,43
50.095,"B","K",30.64,20.832,27.471,88.47,83.804,43,"Class1",33.744,95
73.073,"R","J",80.311,57.757,24.14,44.993,36.94,17,"Class3",55.872,23
52.892,"L","S",33.915,15.1,19.368,64.644,48.913,29,"Class1",41.973,81
40.041,"L","R",77.306,48.61,24.488,44.129,6.755,34,"Class3",52.906,47
46.374,"T","Y",38.454,65.102,49.635,84.141,51.165,33,"Class2",55.399,85
74.027,"A","F",48.788,59.416,67.972,38.553,17.812,34,"Class3",78.078,60
17.789,"I","O",68.707,59.255,41.073,82.358,8.81,41,"Class2",45.592,91
67.45,"R","R",61.899,56.5,12.563,50.925,6.702,55,"Class3",67.772,53
92.003,"A","F",56.996,49.467,17.613,45.04,41.965,58,"Class3",59.912,43
54.616,"I","O",37.514,60.206,38.869,86.974,63.542,37,"Class2",80.048,93
93.698,"L","O",51.989,64.536,47.208,-4.457,74.532,41,"Class2",45.221,80
34.037,"Q","S",31.791,17.027,23.149,18.296,83.967,49,"Class1",32.308,80
45.29,"R","U",67.449,53.687,32.519,47.516,34.804,17,"Class3",66.39,16
56.189,"L","Q",38.641,62.056,42.325,42.576,24.575,33,"Class2",26.87,81
NA,"F","C",36.922,16.708,35.959,27.172,75.103,37,"Class1",42.026,NA
93.357,"R","P",49.334,48.033,75.661,44.622,9.574,47,"Class3",61.642,43
24.108,"B","C",32.846,15.573,24.906,8.196,53.344,29,"Class1",48.075,71
63.999,"Z","O",49.759,58.564,58.634,4.246,82.377,34,"Class2",32.559,81
52.43,"V","K",26.55,18.697,29.618,79.386,28.483,41,"Class1",43.075,76
20.596,"L","O",72.487,58.405,60.61,117.93,72.156,35,"Class2",32.281,79
73.156,"A","U",83.55,56.429,29.606,47.182,8.227,26,"Class3",63.553,38
47.514,"A","J",53.152,59.588,38.976,44.358,17.403,90,"Class3",61.298,NA
35.253,"L","P",31.35,38.173,11.17,47.031,77.812,29,"Class1",37.569,89
55.389,"L","J",54.878,59.897,117.774,44.25,21.304,91,"Class3",68.415,32
32.473,"M","P",73.169,60.686,34.785,46.289,20.635,37,"Class3",63.027,45
38.825,"R","F",63.049,49.124,16.473,40.785,13.704,12,"Class3",66.308,31
82.128,"L","O",41.93,53.79,47.731,56.489,89.245,40,"Class2",56.628,89
42.538,"F","K",27.012,31.594,40.99,4.795,31.922,42,"Class1",36.276,85
22.859,"L","K",28.198,40.483,20.865,67.137,63.408,41,"Class1",46.262,79
54.374,"Q","P",32.923,4.702,27.688,85.485,47.129,35,"Class1",28.781,85
44.994,"R","P",49.755,59.751,52.518,45.477,37.802,68,"Class3",51.722,46
36.995,"L","C",33.728,8.772,37.103,35.247,26.731,51,"Class1",40.908,82
53.78,"R","J",67.581,49.834,30.391,41.048,27.979,44,"Class3",63.992,32
43.325,"M","J",72.681,45.214,42.575,48.543,35.039,52,"Class3",60.064,59
34.318,"B","K",30.399,36.106,22.12,12.656,34.289,31,"Class1",40.998,84
81.477,"R","F",79.348,52.962,51.864,44.156,18.764,17,"Class3",45.078,58
39.828,"M","P",67.552,50.428,63.145,41.931,29.466,63,"Class3",55.637,28
78.435,"R","U",57.386,56.887,79.085,45.338,35.332,88,"Class3",68.389,51
42.663,"Z","S",54.744,60.249,51.014,68.437,30.916,33,"Class2",76.127,94
63.151,"Q","Z",27.482,35.271,15.784,51.124,74.745,40,"Class1",36.424,78
39.369,"B","J",80.572,42.715,52.585,46.862,21.661,30,"Class3",55.333,37
27.915,"F","K",30.458,5.969,30.274,54.151,47.51,43,"Class1",33.145,80
60.774,"B","C",36.466,33.964,32.921,78.11,26.657,48,"Class1",45.653,69
54.287,"R","F",66.85,56.967,37.807,45.045,28.63,33,"Class3",48.119,NA
24.266,"B","K",29.323,20.17,36.689,73.212,84.789,49,"Class1",46.596,88
59.814,"M","U",66.162,53.591,66.633,46.048,19.675,64,"Class3",64.745,9
29.949,"F","K",35.355,10.995,39.083,6.321,60.539,54,"Class1",51.041,82
68.126,"Z","N",53.72,61.711,57.958,51.033,30.031,39,"Class2",38.711,88
32.949,"B","J",55.471,48.131,63.167,43.817,23.61,36,"Class3",65.386,34
55.172,"B","U",58.445,57.028,74.226,44.988,20.241,54,"Class3",64.048,21
36.967,"L","N",35.019,57.413,51.95,82.431,89.265,43,"Class2",41.137,87
61.131,"F","C",31.744,22.224,16.044,29.166,69.605,49,"Class1",41.485,79
9.373,"Z","N",71.631,62.489,44.075,90.421,36.403,44,"Class2",70.583,86
45.876,"B","C",29.945,24.785,36.267,48.463,86.256,49,"Class1",42.154,90
44.266,"M","U",74.457,47.411,46.472,45.487,8.903,68,"Class3",72.42,13
32.343,"Z","S",50.761,68.153,51.565,90.735,66.766,34,"Class2",52.837,91
80.145,"Z","S",48.852,59.541,53.45,50.232,21.039,38,"Class2",62.031,94
37.455,"V","Z",34.069,22.113,33.411,-0.59,45.575,36,"Class1",37.199,88
23.329,"B","S",36.261,20.95,19.796,47.379,72.455,38,"Class1",45.573,91
35.416,"F","Q",27.342,62.722,62.612,82.299,16.358,40,"Class2",65.775,92
22.947,"T","Y",77.634,63.091,60.592,49.365,90.57,42,"Class2",61.056,94
12.531,"Z","Q",74.651,61.269,47.705,42.541,66.442,34,"Class2",54.519,79
38.915,"F","Q",58.133,59.684,51.767,104.009,16.07,40,"Class2",26.086,78
60.625,"T","S",39.094,61.952,52.777,70.604,88.258,37,"Class2",48.785,89
58.163,"F","P",27.602,35.612,34.686,37.137,46.394,55,"Class1",46.478,90
48.042,"I","Q",42.038,61.585,61.298,100.467,51.763,37,"Class2",61.779,78
87.434,"L","P",61.629,51.735,31.44,47.753,40.159,63,"Class3",62.698,44
26.269,"L","Q",43.064,58.889,55.314,62.084,72.366,38,"Class2",47.556,91
93.107,"B","J",73.05,53.833,114.66,45.334,16.639,60,"Class3",57.831,28
35.445,"F","C",31.809,20.094,27.918,-18.811,45.228,49,"Class1",47.587,79
74.629,"M","P",54.009,51.292,66.11,40.073,28.29,80,"Class3",56.879,59
NA,"B","P",67.839,56.364,58.525,47.201,6.176,66,"Class3",52.265,32
76.811,"R","R",75.657,61.958,65.434,49.632,18.766,49,"Class3",57.036,33
86.825,"I","O",74.014,61.489,46.344,59.078,67.847,44,"Class2",14.249,85
58.83,"T","S",38.761,55.768,60.942,63.336,60.201,44,"Class2",63.954,94
62.073,"B","F",70.8,61.81,78.01,40.208,14.722,75,"Class3",56.219,63
40.486,"F","Y",65.739,61.849,55.705,61.241,86.748,40,"Class2",47.543,81
39.515,"A","U",69.878,55.001,62.47,46.687,14.214,33,"Class3",65.824,37
75.204,"F","S",72.128,58.736,48.44,57.422,3.396,37,"Class2",40.421,83
43.112,"B","F",85.066,57.363,44.039,43.694,38.359,34,"Class3",62.108,57
10.535,"T","Y",77.795,62.871,68.016,41.394,79.202,40,"Class2",57.546,80
27.529,"B","S",26.683,28.422,22.58,33.05,71.517,30,"Class1",51.976,87
92.708,"I","N",27.295,55.237,43.897,58.653,12.785,39,"Class2",75.691,NA
46.575,"R","J",51.84,38.459,24.86,44.71,39.902,69,"Class3",52.56,31
19.61,"Q","C",36.18,42.855,31.532,49.845,84.451,45,"Class1",35.631,69
22.15,"V","P",29.698,23.894,51.362,31.841,81.189,37,"Class1",45.735,91
72.108,"A","U",70.306,44.69,34.422,46.422,25.574,80,"Class3",55.089,30
60.118,"B","C",34.655,26.074,19.369,56.604,69.284,37,"Class1",54.231,84
89.062,"L","U",64.84,47.876,81.116,50.026,20.805,80,"Class3",76.055,43
44.56,"I","N",45.328,64.551,43.406,51.578,32.688,37,"Class2",22.322,90
NA,"Z","O",76.028,63.279,49.134,64.317,87.967,33,"Class2",52.2,88
38.212,"F","C",26.021,22.843,32.812,61.6,32.034,31,"Class1",46.268,86
81.201,"M","P",78.885,53.774,41.392,50.853,16.067,9,"Class3",62.381,10
64.89,"I","Y",39.988,66.4,57.45,85.663,7.597,44,"Class2",27.552,88
64.284,"F","Q",25.352,62.721,36.571,39.783,34.244,38,"Class2",64.191,93
44.658,"B","R",47.458,46.494,10.501,44.893,37.494,24,"Class3",58.463,16
40.248,"A","F",83.819,54.282,12.094,46.16,6.449,52,"Class3",58.448,53
40.516,"I","N",22.882,57.19,48.404,53.468,45.67,38,"Class2",30.93,84
33.434,"B","R",54.591,52.867,48.864,45.039,12.309,21,"Class3",50.691,62
28.69,"L","P",29.135,30.996,34.603,59.44,78.859,41,"Class1",31.547,81
45.379,"Z","S",54.364,57.439,63.377,62.967,69.762,39,"Class2",51.435,86
38.937,"Q","Z",32.038,7.485,25.916,29.002,50.406,40,"Class1",37.847,83
20.108,"L","O",41.143,61.993,53.186,8.913,57.857,40,"Class2",32.402,80
46.908,"L","S",31.053,33.397,30.532,23.809,43.665,40,"Class1",52.539,75
33.133,"F","P",32.695,12.33,24.556,56.55,39.231,56,"Class1",46.585,NA
62.994,"R","R",51.336,41.985,40.956,44.79,16.999,62,"Class3",81.238,49
33.119,"R","J",60.023,50.896,72.318,45.739,8.904,51,"Class3",60.221,15
38.603,"R","F",70.582,52.543,42.301,43.48,10.922,76,"Class3",64.091,47
NA,"V","C",35.253,35.464,36.314,49.938,54.771,47,"Class1",32.385,78
12.434,"Z","O",55.496,57.627,52.311,96.154,46.802,42,"Class2",55.785,80
39.433,"V","P",34.866,43.628,23.081,40.869,29.071,34,"Class1",42.631,74
71.82,"A","P",64.772,50.386,39.915,48.138,35.181,72,"Class3",63.659,NA
69.919,"A","P",55.693,56.233,49.733,43.964,28.322,57,"Class3",61.446,24
56.33,"L","C",31.051,12.143,31.024,38.163,54.02,34,"Class1",54.902,74
35.908,"B","R",48.115,56.743,48.15,35.653,20.333,86,"Class3",54.116,40
50.024,"L","F",74.278,47.8,109.12,50.522,14.038,34,"Class3",64.316,41
23.846,"Z","O",53.863,61.665,53.787,80.302,72.016,44,"Class2",44.606,79
80.879,"B","P",73.888,51.265,79.802,45.176,19.08,67,"Class3",51.88,35
13.687,"I","Y",48.966,59.744,55.745,66.714,81.225,36,"Class2",49.224,92
40.718,"F","P",34.641,23.13,24.339,96.932,58.533,47,"Class1",45.298,68
56.794,"A","J",60.289,39.16,50.417,45.463,37.648,86,"Class3",69.254,57
92.79,"Z","Y",30.713,59.037,56.681,34.657,62.467,33,"Class2",54.201,92
NA,"Z","S",51.373,56.778,43.851,41.034,88.743,41,"Class2",39.104,88
NA,"T","O",60.348,56.485,55.56,73.088,50.854,34,"Class2",49.825,90
39.185,"M","R",53.529,55.802,28.489,43.991,38.502,12,"Class3",59.87,54
25.227,"B","C",31.398,30.005,26.566,55.738,42.491,34,"Class1",49.051,72
39.469,"B","S",26.242,20.517,39.488,35.355,57.004,38,"Class1",62.18,89
55.772,"L","P",56.315,48.237,65.214,42.615,27.755,57,"Class3",73.834,24
28.325,"I","S",41.825,58.319,42.278,113.358,84.766,36,"Class2",50,84
33.201,"Q","P",36.111,43.275,10.882,61.937,35.448,31,"Class1",44.033,NA
NA,"L","P",53.052,40.47,72.986,42.343,38.463,78,"Class3",59.261,37
51.184,"B","J",64.414,50.023,44.776,46.108,40.069,34,"Class3",57.197,43
55.981,"R","F",73.653,47.397,18.317,41.095,13.68,64,"Class3",65.258,9
24.106,"B","P",32.213,28.414,32.465,77.494,60.253,52,"Class1",34.169,84
80.583,"T","Q",27.061,64.502,61.266,54.62,5.722,37,"Class2",67.559,88
70.549,"F","Q",54.164,63.929,46.454,60.707,19.743,34,"Class2",62.386,85
46.914,"A","J",53.35,54.881,59.957,44.365,7.415,83,"Class3",74.611,7
93.132,"M","F",61.358,56.098,59.429,46.451,35.339,38,"Class3",66.135,35
39.923,"Z","Y",26.216,62.261,52.773,-7.614,88.87,40,"Class2",48.956,91
62.48,"F","C",28.426,46.242,32.553,69.581,60.847,28,"Class1",42.467,90
80.201,"T","N",39.211,61.083,55.248,74.783,35.651,39,"Class2",53.061,83
37.189,"Z","Y",47.534,58.439,54.108,88.255,77.927,38,"Class2",74.989,83
43.47,"Z","S",76.226,59.507,42.383,68.898,60.235,41,"Class2",62.693,79
32.276,"T","Q",65.141,59.154,49.96,61.818,84.609,33,"Class2",37.015,79
69.992,"A","R",64.459,54.474,21.801,44.922,24.555,85,"Class3",72.68,12
45.126,"Q","S",32.929,28.569,32.74,39.449,77.142,48,"Class1",35.271,68
59.999,"Z","Q",32.793,59.315,54.241,51.454,59.266,39,"Class2",54.296,94
20.823,"I","S",52.953,56.709,56.512,53.018,72.97,41,"Class2",69.9,81
55.81,"L","P",72.14,60.361,72.933,45.755,37.53,71,"Class3",63.726,57
22.62,"F","K",28.788,22.153,30.584,73.741,85.572,31,"Class1",58.956,95
62.659,"V","C",34.401,25.637,29.911,94.217,45.773,28,"Class1",60.159,80
38.513,"A","R",54.696,53.647,35.446,44.495,30.137,63,"Class3",60.77,36
NA,"T","Q",43.075,57.827,46.28,26.839,48.891,41,"Class2",69.233,89
67.162,"F","S",77.655,54.624,49.691,10.205,37.716,34,"Class2",33.715,NA
59.079,"M","J",82.635,55.569,52.585,43.347,18.371,31,"Class3",73.465,56
24.05,"B","C",36.971,12.687,18.461,49.461,29.69,38,"Class1",43.444,71
45.247,"B","Z",36.339,14.442,39.28,73.266,32.565,53,"Class1",48.915,71
39.302,"F","Z",31.521,38.559,25.076,84.743,65.352,44,"Class1",34.329,66
79.25,"L","N",53.238,57.256,59.541,69.7,36.465,38,"Class2",71.538,80
71.28,"T","S",67.518,57.768,39.544,76.482,58.081,34,"Class2",68.19,84
54.821,"B","C",26.463,3.624,31.243,65.279,43.353,35,"Class1",40.74,65
11.039,"F","S",45.443,60.485,55.48,81.204,15.688,43,"Class2",46.443,86
