"BIG1","FSM2","CKE3","PFE4","Output8","GSF5","AQD6","EMF7","REC8","CHK9"
53,50.169,18.72,75.114,"Class3",65.322,20.857,"H",51.906,32.788
57,49.572,49.764,62.321,"Class3",61.641,38.475,"N",56.703,26.522
48,62.066,26.858,15.979,"Class2",27.989,74.905,"U",53.998,50.305
62,62.568,20.585,33.483,"Class2",38.134,73.512,"A",36.568,66.43
46,62.409,4.444,11.415,"Class2",40.141,73.032,"A",67.604,61.924
27,58.208,61.044,45.699,"Class1",68.573,31.187,"T",63.001,46.867
67,59.415,17.169,39.145,"Class2",26.913,74.355,"M",36.118,56.334
73,62.244,18.856,56.859,"Class2",38.367,74.595,"Y",63.672,51.677
52,62.692,11.639,51.149,"Class2",24.355,74.784,"K",56.343,70.342
61,61.625,3.52,46.361,"Class2",26.495,74.899,"Y",60.626,54.847
59,63.78,16.341,46.228,"Class2",33.031,74.2,"K",52.13,77.166
52,50.243,32.872,84.304,"Class3",57.319,47.018,"M",56.053,38.288
51,61.173,14.01,44.776,"Class2",32,73.872,"U",70.093,66.747
57,49.839,21.564,87.837,"Class3",64.75,47.435,"M",63.641,41.597
57,61.54,17.652,73.564,"Class2",31.629,74.129,"A",68.794,52.777
23,55.229,54.229,78.017,"Class1",32.772,25.072,"V",94.055,40.629
53,62.818,3.598,60.44,"Class2",17.893,73.32,"K",37.336,81.207
72,63.102,20.47,17.875,"Class2",38.822,73.419,"A",37.242,83.835
23,83.347,91.583,64.036,"Class1",11.394,30.141,"A",93.223,41.241
63,62.672,30.187,45.739,"Class2",31.863,73.338,"U",36.581,75.597
61,61.911,7.084,-4.018,"Class2",39.785,73.498,"K",52.616,67.873
66,63.091,4.414,NA,"Class2",34.917,74.225,"Y",60.606,56.624
55,49.847,30.975,89.437,"Class3",59.727,23.73,"H",63.929,36.272
23,30.908,74.375,110.008,"Class1",47.192,37.007,"A",84.65,51.328
51,62.446,20.372,38.344,"Class2",15.425,74.878,"Y",58.959,62.743
53,50.445,56.271,77.307,"Class3",59.841,38.451,"N",59.467,28.408
25,75.071,90.147,77.633,"Class1",37.247,31.308,"T",91.246,37.769
52,50.426,17.051,80.252,"Class3",71.287,19.275,"A",41.15,29.03
55,50.292,37.735,78.75,"Class3",49.493,46.589,"A",56.854,39.098
67,61.562,18.983,43.73,"Class2",22.854,73.809,"U",41.528,41.07
71,63.246,2.011,4.769,"Class2",29.678,73.614,"K",67.677,66.815
56,63.728,28.42,27.042,"Class2",37.674,74.472,"K",54.069,82.704
27,44.453,69.889,81.183,"Class1",-3.637,19.43,"V",91.061,52.289
56,51.211,31.683,85.301,"Class3",62.436,30.737,"I",44.424,51.887
26,69.878,74.086,49.988,"Class1",49.72,36.423,"H",79.155,46.275
61,61.99,11.581,84.445,"Class2",27.954,73.125,"M",44.691,75.223
24,45.661,NA,56.656,"Class1",18.623,28.402,"V",63.226,56.507
54,50.613,28.799,76.133,"Class3",71.877,17.911,"H",38.591,32.266
63,62.219,17.226,-21.54,"Class2",22.496,74.534,"U",46.522,73.09
59,49.475,47.006,92.326,"Class3",62.34,37.599,"M",45.827,33.157
25,58.827,67.765,59.41,"Class1",31.143,22.681,"H",94.206,49.351
73,61.805,27.546,37.246,"Class2",40.164,73.535,"M",57.353,61.602
61,49.323,57.669,77.697,"Class3",69.46,49.129,"M",58.716,40.052
23,64.766,85.188,77.92,"Class1",40.937,35.16,"Y",64.318,45.313
54,50.413,48.64,90.71,"Class3",60.209,13.898,"H",52.966,29.995
54,49.989,45.521,86.324,"Class3",51.815,6.838,"I",39.716,35.922
24,60.51,55.228,80.885,"Class1",30.28,21.981,"V",79.643,57.088
73,62.256,4.07,27.37,"Class2",11.268,73.528,"A",53.151,46.877
26,40.825,82.506,70.128,"Class1",36.597,36.382,"V",70.848,47.884
24,54.013,79.355,46.006,"Class1",77.394,34.242,"A",69.373,48.83
73,60.893,20.69,NA,"Class2",17.102,73.915,"M",70.386,83.544
54,50.21,16.273,99.217,"Class3",68.22,12.175,"M",60.407,17.981
56,64.327,22.365,7.229,"Class2",5.422,73.686,"M",52.38,69.426
58,61.747,21.173,49.49,"Class2",17.143,74.484,"Y",44.979,59.731
29,5.065,89.699,55.825,"Class1",32.47,24.815,"A",71.704,48.736
23,72.425,81.682,62.324,"Class1",65.636,31.308,"A",84.028,43.66
25,34.665,62.45,49.542,"Class1",49.536,26.273,"H",78.734,53.011
53,49.249,10.948,80.399,"Class3",73.736,30.547,"A",53.346,19.522
53,63.02,36.139,38.577,"Class2",43.534,73.356,"K",70.81,53.582
60,49.424,58.092,76.311,"Class3",63.753,30.131,"N",59.47,38.847
24,53.385,54.155,76,"Class1",48.993,32.928,"Y",71.16,57.965
60,49.28,54.157,75.074,"Class3",72.904,22.632,"N",44.296,41.379
54,49.686,21.292,76.488,"Class3",70.182,49.187,"I",39.881,32.053
27,41.375,79.489,70.098,"Class1",39.068,36.83,"Y",63.886,43.84
23,25.182,91.833,57.794,"Class1",42.768,25.678,"V",82.171,47.621
57,50.757,23.761,70.526,"Class3",66.15,48.078,"A",63.033,36.941
28,25.931,91.013,43.01,"Class1",34.841,37.672,"V",93.687,54.406
25,57.482,65.728,NA,"Class1",19.215,33.518,"Y",80.178,50.202
57,62.864,31.084,11.437,"Class2",18.804,74.069,"U",66.78,61.029
26,66.776,55.667,39.527,"Class1",21.199,21.102,"V",94.544,44.8
46,61.918,4.455,52.936,"Class2",25.322,74.804,"U",45.482,30.936
73,63.096,19.245,36.448,"Class2",17.534,74.292,"A",37.796,52.446
69,62.629,32.419,33.982,"Class2",36.183,73.374,"U",40.72,61.4
52,50.972,18.118,93.847,"Class3",65.401,36.217,"N",64.497,33.562
70,62.148,NA,36.869,"Class2",23.004,74.372,"Y",43.131,40.39
28,36.829,70.657,85.346,"Class1",39.962,23.374,"Y",90.998,45.343
53,50.756,43.361,101.026,"Class3",64.82,20.962,"I",65.666,36.028
28,21.599,72.905,94.377,"Class1",14.763,24.173,"T",80.053,49.424
26,74.037,NA,NA,"Class1",41.404,28.434,"Y",93.425,46.505
29,49.256,92.262,72.597,"Class1",16.586,39.391,"Y",73.064,58.711
55,60.611,9.635,50.61,"Class2",35.58,73.209,"U",60.593,63.31
58,61.522,19.386,46.677,"Class2",16.047,73.494,"U",35.894,78.979
54,60.892,14.877,38.732,"Class2",19.814,73.49,"A",66.802,68.033
24,63.263,85.289,90.166,"Class1",28.927,24.574,"Y",65.423,43.667
45,62.388,35.171,40.804,"Class2",24.869,74.177,"M",42.094,52.398
58,49.988,50.025,85.378,"Class3",60.352,49.665,"I",44.84,61.647
61,50.291,14.319,83.189,"Class3",71.724,22.696,"N",43.942,39.75
53,49.91,28.61,80.745,"Class3",65.776,28.019,"H",48.955,32.627
58,49.336,NA,81.647,"Class3",68.806,31.6,"I",54.308,39.439
55,62.578,30.19,40.554,"Class2",37.16,73.562,"K",60.035,30.275
61,50.409,33.942,93.999,"Class3",69.791,41.886,"N",43.271,19.809
46,61.847,34.265,21.344,"Class2",28.299,74.902,"Y",58.567,59.505
59,50.412,54.266,96.646,"Class3",69.042,52.964,"A",60.421,37.591
56,61.422,21.239,NA,"Class2",25.188,74.043,"A",69.319,62.691
28,34.353,75.015,101.489,"Class1",32.019,22.619,"T",72.647,48.53
26,37.363,52.748,53.051,"Class1",28.606,21.806,"T",66.554,43.236
26,40.249,86.67,62.298,"Class1",5.78,37.159,"Y",93.159,53.45
28,80.897,77.177,86.154,"Class1",53.451,24.295,"Y",87.283,59.228
71,62.872,7.38,51.361,"Class2",30.544,73.399,"K",57.418,84.578
58,61.363,19.209,79.545,"Class2",31.463,74.177,"K",45.064,71.59
54,50.95,29.322,82.519,"Class3",55.929,37.637,"N",58.82,42.04
58,50.124,NA,76.642,"Class3",68.014,47.908,"N",59.904,41.791
27,49.843,56.897,35.814,"Class1",39.455,26.021,"V",60.142,51.067
48,61.832,32.732,50.565,"Class2",24.642,74.795,"A",36.308,65.907
29,69.624,55.149,49.31,"Class1",10.803,19.4,"Y",68.422,59.197
61,49.673,44.759,85.262,"Class3",68.57,15.706,"N",41.627,46.917
23,67.658,82.182,61.049,"Class1",13.986,36.033,"A",68.842,51.312
59,62.435,2.153,78.511,"Class2",23.283,73.086,"U",67.727,65.282
25,52.402,91.722,61.954,"Class1",41.088,23.056,"V",64.921,53.691
71,61.86,24.754,28.83,"Class2",28.904,74.574,"Y",67.784,69.372
57,49.68,20.682,87.539,"Class3",60.318,15.101,"N",52.724,26.778
61,49.987,47.736,92.814,"Class3",69.783,22.246,"M",42.169,39.106
64,62.595,11.272,18.545,"Class2",31.708,73.191,"U",38.491,48.421
54,62.907,36.252,15.777,"Class2",38.241,74.732,"A",41.926,60.067
50,61.215,9.65,8.69,"Class2",35.333,73.861,"Y",51.083,56.8
24,18.651,77.559,31.436,"Class1",31.523,25.22,"H",85.115,52.227
27,13.496,56.076,68.833,"Class1",39.379,37.682,"Y",73.234,38.954
54,51.256,7.897,81.91,"Class3",63.902,9.832,"H",55.864,41.765
67,62.228,28.839,65.166,"Class2",26.27,74.712,"K",57.983,62.425
45,63.347,32.335,33.424,"Class2",38.477,74.116,"K",66.159,74.6
24,45.858,89.327,62.9,"Class1",55.564,21.642,"V",87.988,45.836
55,50.208,48.729,85.809,"Class3",68.505,24.854,"M",59.563,34.056
23,74.703,72.837,59.397,"Class1",34.763,22.976,"H",65.118,51.504
23,51.859,91.352,72.314,"Class1",50.38,27.71,"V",64.504,51.249
52,50.957,35.88,82.226,"Class3",64.366,9.73,"M",59.339,46.498
28,91.816,68.013,62.66,"Class1",63.494,32.433,"A",61.602,44.763
51,62.573,34.259,28.793,"Class2",22.352,74.448,"U",61.313,56.442
52,62.595,14.982,53.886,"Class2",31.192,73.806,"M",49.198,66.437
26,54.685,63.905,39.087,"Class1",44.644,25.903,"H",70.701,64.146
61,50.149,13.643,85.455,"Class3",78.641,37.74,"A",55.57,54.268
70,61.233,27.229,3.482,"Class2",28.074,74.582,"U",68.805,45.927
24,85.703,71.375,69.294,"Class1",51.309,30.41,"V",82.628,45.776
59,62.302,16.019,30.919,"Class2",31.533,73.023,"M",58.105,49.786
25,62.964,54.033,59.472,"Class1",11.656,20.333,"Y",86.211,52.885
56,49.914,18.595,89.611,"Class3",73.374,20.568,"M",38.097,22.428
60,49.35,11.221,82.868,"Class3",75.758,50.874,"A",56.963,38.335
50,61.719,26.152,25.335,"Class2",13.473,74.839,"U",54.466,54.644
68,62.252,4.078,50.98,"Class2",27.114,73.501,"Y",63.963,59.238
54,50.434,23.342,75.736,"Class3",60.167,51.768,"A",49.345,21.814
68,61.39,5.098,72.504,"Class2",32.847,74.935,"U",39.444,67.822
64,61.867,29.783,46.537,"Class2",18.446,74.509,"U",60.498,52.954
53,49.54,34.847,76.755,"Class3",71.747,43.291,"N",56.794,40.403
55,50.11,3.9,88.179,"Class3",64.468,10.391,"N",43.096,43.553
48,61.263,28.951,34.572,"Class2",29.11,74.038,"M",60.216,65.473
47,62.869,26.01,48.415,"Class2",29.663,74.585,"K",58.166,68.218
27,18.65,84.102,73.743,"Class1",45.019,30.968,"A",94.527,48.501
61,62.993,14.022,31.521,"Class2",24.436,73.222,"K",66.212,59.011
59,50.304,57.218,89.166,"Class3",69.45,52.921,"I",39.273,33.632
58,50.477,29.349,89.62,"Class3",65.05,30.345,"H",57.014,30.922
58,49.255,44.682,71.487,"Class3",66.634,38.451,"I",44.767,34.148
26,60.014,66.678,37.16,"Class1",44.435,39.565,"Y",80.137,42.134
60,50.843,10.055,75.739,"Class3",70.578,19.35,"M",63.227,52.302
28,69.189,81.393,91.246,"Class1",44.945,21.23,"T",93.04,61.081
29,68.553,80.628,77.424,"Class1",65.467,21.198,"V",66.749,43.92
57,49.693,25.888,77.95,"Class3",59.516,17.764,"M",65.685,26.839
61,50.875,30.23,68.295,"Class3",67.48,37.936,"A",45.906,28.825
66,61.074,3.268,27.584,"Class2",32.345,73.886,"U",49.082,64.476
51,61.91,20.821,51.49,"Class2",31.816,74.779,"Y",62.256,49.874
51,63.017,22.844,40.076,"Class2",25.728,73.478,"A",52.56,66.335
52,61.883,8.58,-7.513,"Class2",18.602,74.463,"M",66.272,45.868
27,67.793,55.313,80.609,"Class1",-12.572,26.744,"Y",61.879,55.564
56,48.655,28.95,92.051,"Class3",72.578,49.531,"A",57.698,34.986
24,39.554,59.414,83.626,"Class1",58.567,31.836,"A",65.692,46.047
57,59.935,24.156,53.206,"Class2",8.996,74.995,"Y",56.295,45.118
28,71.344,76.941,67.243,"Class1",32.719,29.513,"V",85.577,47.44
58,60.977,22.361,62.805,"Class2",27.371,74.935,"U",63.158,77.578
54,62.505,30.189,49.616,"Class2",32.883,74.83,"Y",61.29,71.976
59,48.956,12.96,75.588,"Class3",71.052,45.077,"N",65.444,32.054
57,63.267,32.39,-2.846,"Class2",35.396,73.438,"A",44.062,54.117
61,48.807,55.788,92.736,"Class3",68.738,50.455,"I",43.674,29.848
73,61.85,33.041,36.927,"Class2",24.262,73.425,"Y",60.098,76.521
61,63.116,28.13,20.533,"Class2",36.672,74.97,"Y",69.63,71.13
58,50.272,35.105,92.052,"Class3",75.01,19.143,"H",51.838,39.441
27,74.477,92.753,NA,"Class1",37.528,38.136,"T",89.105,46.015
25,67.938,NA,81.834,"Class1",16.347,37.038,"A",76.623,64.922
60,51.371,20.703,88.167,"Class3",70.102,7.994,"H",51.356,28.383
60,49.062,20.815,73.864,"Class3",66.92,14.791,"M",51.764,30.417
29,72.963,92.267,115.663,"Class1",9.548,31.876,"Y",92.58,47.961
25,41.549,73.3,69.717,"Class1",25.495,19.512,"Y",93.743,42.469
71,63.496,4.664,46.225,"Class2",32.17,74.363,"Y",68.5,49.572
24,66.129,76.685,64.467,"Class1",37.257,32.156,"Y",73.968,40.556
25,67.33,89.626,75.825,"Class1",50.276,33.969,"H",64.538,50.029
59,49.971,5.829,87.55,"Class3",58.402,40.566,"N",56.356,33.146
29,64.681,54.545,71.442,"Class1",30.246,22.707,"H",93.336,57.557
59,61.499,25.46,14.144,"Class2",34.234,73.969,"A",38.024,43.046
61,63.286,8.261,83.526,"Class2",28.252,73.728,"U",55.172,70.81
29,48.085,82.909,56.805,"Class1",50.725,21.029,"T",84.316,55.14
59,62.185,12.503,44.693,"Class2",38.148,74.814,"M",43.532,55.492
58,49.342,60.741,73.078,"Class3",62.433,38.588,"A",56.649,33.257
55,48.861,3.676,66.133,"Class3",66.323,49.839,"M",40.635,30.246
27,40.219,74.048,58.982,"Class1",81.452,34.719,"V",75.676,45.111
47,63.03,34.962,24.126,"Class2",22.972,73.364,"Y",43.426,56.51
24,27.323,78.323,64.718,"Class1",20.345,28.039,"H",78.558,60.247
27,50.358,96.84,74.512,"Class1",36.639,31.371,"A",64.244,62.929
58,49.954,24.56,78.009,"Class3",81.218,14.245,"A",61.095,10.046
72,64.08,27.55,42.01,"Class2",21.481,73.574,"K",56.405,55.235
29,38.452,52.284,98.196,"Class1",33.305,26.581,"T",91.241,49.536
55,49.863,56.165,100.456,"Class3",68.423,48.779,"N",40.676,30.882
27,45.855,52.826,63.317,"Class1",43.914,31.224,"Y",85.834,48.192
49,62.255,33.568,NA,"Class2",25.148,73.378,"M",39.371,77.226
61,63.673,7.297,76.946,"Class2",8.813,73.42,"K",56.247,49.748
60,63.516,12.011,46.535,"Class2",34.081,73.987,"A",39.164,58.03
25,58.558,82.515,88.187,"Class1",48.459,37.862,"Y",62.464,42.709
60,50.154,52.993,78.001,"Class3",69.981,39.806,"M",41.605,24.745
29,63.659,58.381,62.832,"Class1",64.679,30.41,"H",92.422,52.693
58,49.627,55.556,86.919,"Class3",66.645,15.009,"M",65.743,17.812
60,50.102,36.289,87.073,"Class3",59.402,50.987,"M",63.125,45.987
28,56.999,79.263,63.703,"Class1",47.862,30.81,"Y",84.962,58.739
53,50.896,55.337,68.722,"Class3",68.45,27.884,"A",58.097,8.403
28,41.398,67.422,76.791,"Class1",14.53,25.991,"Y",83.14,52.722
70,62.99,33.526,40.486,"Class2",38.536,74.632,"Y",48.213,93.36
46,61.924,21.189,47.624,"Class2",34.047,74.646,"U",54.22,60.869
59,50.384,52.961,94.932,"Class3",59.657,6.532,"N",41.882,32.309
28,68.578,56.875,85.993,"Class1",73.107,37.397,"Y",85.832,52.774
26,85.148,93.149,91.9,"Class1",13.859,25.799,"H",78.265,54.197
52,62.71,8.075,18.226,"Class2",21.744,74.23,"A",44.023,53.897
27,57.008,59.099,79.594,"Class1",30.2,26.141,"H",85.966,51.877
29,97.526,54.73,102.74,"Class1",6.191,37.868,"V",93.844,43.157
25,65.789,79.723,66.919,"Class1",37.518,22.723,"T",86.809,55.791
56,50.834,49.703,90.501,"Class3",84.56,35.688,"M",45.746,37.762
54,63.061,11.076,59.032,"Class2",25.657,73.62,"M",48.199,56.098
28,84.712,71.883,NA,"Class1",19.024,39.608,"A",92.005,42.281
28,53.655,86.094,NA,"Class1",24.446,36.235,"A",91.517,50.541
24,30.638,93.326,58.746,"Class1",32.169,31.412,"T",86.291,59.94
25,26.772,66.376,76.801,"Class1",45.79,39.777,"Y",89.265,49.053
61,49.858,16.779,88.288,"Class3",69.304,48.988,"I",52.378,37.551
56,63.098,7.728,65.084,"Class2",26.057,74.802,"Y",43.556,68.476
71,62.023,4.998,57.687,"Class2",18.33,74.785,"Y",44.952,58.64
52,50.219,7.211,NA,"Class3",68.302,18.087,"N",56.46,22.642
52,48.775,57.127,86.214,"Class3",59.452,15.28,"N",55.337,45.911
58,48.913,44.87,89.178,"Class3",70.592,32.248,"I",59.685,46.832
26,70.026,61.717,76.352,"Class1",41.944,29.338,"A",67.569,51.463
53,48.877,9.19,77.327,"Class3",65.55,19.295,"N",39.326,16.364
52,51.266,6.349,102.965,"Class3",74.308,18.508,"M",63.145,34.526
23,45.928,73.238,34.221,"Class1",25.741,36.099,"V",77.395,60.344
24,62.314,91.937,47.534,"Class1",51.994,29.474,"T",83.311,54.94
54,50.489,28.237,89.196,"Class3",61.555,28.805,"N",58.558,40.421
27,46.851,91.518,73.188,"Class1",63.514,36.227,"Y",68.578,37.984
54,49.895,45.897,94.83,"Class3",69.141,16.906,"A",56.066,37.666
24,41.784,67.612,63.968,"Class1",26.885,18.504,"A",69.292,49.065
72,62.03,11.893,73.854,"Class2",17.845,74.563,"M",51.063,51.752
53,51.071,38.537,74.835,"Class3",69.978,40.406,"N",51.144,40.3
27,34.328,68.513,89.563,"Class1",37.57,24.8,"T",90.201,50.663
50,62.547,18.183,18.819,"Class2",39.236,74.155,"Y",48.151,93.816
59,49.227,59.525,90.377,"Class3",70.416,49.375,"M",60.368,35.865
26,60.275,70.954,70.084,"Class1",46.026,19.554,"H",90.96,58.522
56,61.4,13.812,32.852,"Class2",31.256,74.778,"U",35.674,72.706
57,50.494,42.381,86.411,"Class3",65.655,47.407,"N",52.345,35.222
67,63.529,27.396,66.427,"Class2",28.969,74.796,"Y",55.233,83.01
55,62.963,29.868,60.149,"Class2",23.167,73.928,"A",67.828,58.908
25,50.139,77.608,60.265,"Class1",29.905,18.493,"Y",73.563,42.477
59,62.267,20.974,29.037,"Class2",37.202,74.386,"K",38.315,38.935
55,61.202,34.079,40.694,"Class2",30.316,73.843,"U",39.985,56.151
28,83.966,94.357,49.314,"Class1",41.472,20.659,"V",61.132,43.352
29,51.867,78.24,64.259,"Class1",16.93,21.052,"Y",91.385,51.501
70,61.674,2.549,-19.68,"Class2",30.55,73.471,"Y",65.783,61.815
55,62.544,13.84,NA,"Class2",34.038,73.631,"K",60.404,84.297
23,60.7,96.104,91.397,"Class1",76.484,35.497,"A",86.48,65.165
23,60.601,90.306,57.827,"Class1",26.035,33.966,"V",64.67,47.154
55,50.915,55.826,92.271,"Class3",75.778,53.5,"H",55.206,29.287
70,62.35,NA,39.807,"Class2",28.82,74.56,"K",54.92,87.04
53,50.37,55.962,86.118,"Class3",59.746,46.483,"M",39.349,52.012
54,49.655,33.907,86.62,"Class3",73.39,39.089,"M",52.209,19.946
62,62.791,16.071,8.965,"Class2",19.479,74.525,"K",49.175,85.956
41,61.385,18.231,43.487,"Class2",25.316,73.218,"A",36.8,81.681
57,49.387,35.164,77.1,"Class3",62.187,15.504,"M",53.021,21.971
29,59.394,NA,45.683,"Class1",30.256,24.174,"H",68.711,47.445
28,70.201,66.177,80.701,"Class1",48.088,37.496,"V",61.585,45.299
53,49.657,52.238,84.867,"Class3",72.99,33.993,"M",62.867,26.84
53,50.12,NA,75.61,"Class3",70.169,33.251,"N",42.366,42.654
58,50.842,7.944,86.899,"Class3",62.424,18.945,"M",37.593,47.928
53,49.533,17.825,80.788,"Class3",70.71,46.298,"I",60.713,32.823
59,50.59,26.231,81.809,"Class3",59.986,33.52,"H",40.718,23.489
65,62.486,6.209,10.204,"Class2",14.271,74.291,"A",47.616,63.993
70,61.162,11.744,3.863,"Class2",35.439,74.742,"A",48.202,88.869
25,63.056,65.189,72.761,"Class1",39.461,32.128,"T",65.458,38.394
29,76.568,80.413,64.851,"Class1",37.642,39.633,"Y",67.327,49.129
23,52.389,76.376,72.156,"Class1",34.082,27.527,"A",85.21,64.027
28,43.979,91.602,93.459,"Class1",64.977,28.831,"T",62.865,49.174
52,50.048,39.866,96.29,"Class3",76.774,53.869,"I",56.458,44.745
54,49.846,NA,69.415,"Class3",68.865,23.591,"A",56.157,36.194
69,62.989,24.392,-0.155,"Class2",18.77,73.693,"M",55.196,44.561
46,63.216,16.571,25.321,"Class2",25.477,74.388,"A",63.765,74.702
42,63.234,10.655,26.572,"Class2",30.333,74.593,"Y",35.369,55.718
56,61.217,19.856,56.376,"Class2",25.862,73.032,"U",58.929,80.583
52,64.491,8.114,59.622,"Class2",20.15,74.267,"U",47.971,74.005
65,62.55,13.126,29.661,"Class2",44.326,74.872,"U",59.302,42.192
60,50.291,19.288,94.105,"Class3",57.879,16.336,"M",59.615,59.25
60,60.763,34.174,58.433,"Class2",29.567,73.538,"U",68.889,57.851
23,61.385,62.847,79.059,"Class1",-24.24,32.327,"A",83.714,42.339
55,50.21,31.132,72.719,"Class3",73.586,49.215,"I",61.616,25.87
24,36.516,76.709,59.33,"Class1",43.428,24.905,"T",63.781,46.054
27,19.409,65.352,63.763,"Class1",31.769,31.213,"Y",92.958,52.254
24,28.242,89.216,82.032,"Class1",33.051,36.853,"A",71.957,59.595
58,49.621,11.145,84.224,"Class3",69.49,19.243,"A",47.32,54.41
27,7.67,56.548,68.065,"Class1",49.344,25.723,"T",91.681,41.613
28,39.97,83.586,70.537,"Class1",38.831,25.7,"H",68.355,40.728
50,61.891,32.933,47.062,"Class2",23.44,73.103,"A",50.301,56.653
59,61.973,35.308,85.124,"Class2",38.984,74.022,"M",65.951,66.844
29,54.974,58.75,59.163,"Class1",45.071,18.739,"H",63.02,47.517
61,61.715,12.453,24.567,"Class2",21.353,74.862,"K",41.882,71.01
27,49.197,80.616,44.284,"Class1",29.36,23.319,"V",92.881,50.922
50,64.031,28.528,30.987,"Class2",24.485,74.902,"A",68.897,60.778
58,50.278,44.047,89.12,"Class3",73.903,39.956,"N",45.745,54.206
42,62.422,23.409,19.703,"Class2",30.849,73.061,"M",50.209,55.742
63,62.196,NA,70.711,"Class2",33.801,73.761,"M",39.339,61.074
27,102.43,71.962,91.043,"Class1",-17.148,27.654,"V",84.409,50.805
68,62.239,32.733,8.689,"Class2",19.324,74.244,"U",46.024,57.245
60,50.634,55.669,72.466,"Class3",71.776,53.071,"N",55.253,27.629
61,49.768,6.886,80.976,"Class3",64.475,41.591,"I",57.263,29.941
56,49.654,36.681,98.377,"Class3",63.317,38.236,"A",57.332,52.905
69,63.433,6.65,39.71,"Class2",24.651,73.952,"M",52.359,54.971
53,49.423,37.306,73.633,"Class3",66.573,34.322,"N",46.453,27.91
58,50.719,42.184,86.106,"Class3",64.422,36.669,"I",65.624,27.571
42,63.382,24.702,11.163,"Class2",39.013,74.208,"M",35.903,62.665
72,60.791,5.676,46.963,"Class2",22.386,73.07,"A",63.737,39.713
51,63.641,36.502,20.37,"Class2",22.882,73.62,"K",53.352,72.318
54,61.681,27.523,39.367,"Class2",37.436,74.542,"K",38.479,57.635
66,63.013,19.781,23.087,"Class2",26.66,73.432,"K",69.778,59.86
71,65.385,6.049,60.421,"Class2",33.213,73.544,"U",48.227,37.825
58,51.954,37.945,90.54,"Class3",74.864,13.69,"I",38.3,51.226
65,63.091,21.439,38.91,"Class2",20.766,74.236,"U",61.943,38.585
70,63.887,24.209,15.237,"Class2",32.527,73.046,"U",70.477,60.538
52,61.681,29.874,34.794,"Class2",28.896,74.08,"K",47.538,65.952
26,33.582,79.33,98.075,"Class1",69.095,36.368,"H",88.188,55.936
69,61.365,19.358,9.519,"Class2",21.782,74.542,"U",70.219,78.06
23,47.891,85.329,64.31,"Class1",-4.573,39.202,"H",84.775,56.486
71,63.602,3.267,24.315,"Class2",24.036,74.191,"M",47.706,49.457
60,62.304,7.438,44.573,"Class2",23.21,73.829,"U",42.98,41.263
29,24.105,87.382,51.718,"Class1",16.573,26.87,"H",67.985,43.696
53,61.98,13.54,38.339,"Class2",29.246,74.85,"Y",39.588,50.45
52,49.015,35.556,87.306,"Class3",75.36,48.332,"M",63.622,36.771
28,66.261,79.649,34.249,"Class1",40.057,35.256,"T",86.665,55.103
50,63.016,20.727,31.341,"Class2",37.693,73.547,"A",60.713,71.882
63,63.036,11.467,49.856,"Class2",17.977,73.653,"K",56.198,57.77
54,48.871,15.527,83.997,"Class3",64.478,41.052,"H",60.375,21.733
28,66.282,81.235,71.055,"Class1",33.987,24.832,"H",65.818,48.846
55,61.379,6.074,27.85,"Class2",26.236,74.495,"Y",36.44,50.008
59,49.385,6.508,86.711,"Class3",64.457,52.971,"H",55.612,22.816
27,68.029,56.412,77.032,"Class1",36.156,20.109,"T",70.561,40.924
43,62.249,17.415,NA,"Class2",33.479,73.001,"Y",44.499,70.089
54,50.541,45.375,87.823,"Class3",64.018,47.998,"N",49.547,27.153
28,32.591,93.401,80.414,"Class1",34.298,28.462,"Y",82.739,57.807
26,62.886,89.086,58.068,"Class1",53.447,29.467,"V",73.707,58.187
67,63.316,23.842,64.479,"Class2",25.247,73.586,"M",62.054,74.428
61,50.106,24.667,85.671,"Class3",62.707,8.343,"H",42.49,60.129
62,62.152,NA,51.637,"Class2",31.308,74.292,"M",37.817,63.546
42,63.266,NA,33.448,"Class2",22.758,73.169,"K",44.408,63.447
55,62.338,23.282,58.657,"Class2",29.841,74.759,"A",61.423,62.338
50,61.929,11.826,51.201,"Class2",48.501,74.148,"M",39.785,70.824
65,63.38,NA,49.981,"Class2",27.871,73.744,"K",36.812,48.454
24,27.85,66.808,66.986,"Class1",29.007,22.679,"Y",80.612,49.362
56,50.069,43.983,85.451,"Class3",68.902,44.482,"M",42.408,42.26
29,34.603,NA,71.464,"Class1",27.122,22.819,"A",81.443,62.841
54,50.129,24.37,78.474,"Class3",64.025,11.942,"A",58.509,31.89
61,49.854,12.425,NA,"Class3",68.946,41.443,"A",46.207,35.96
27,59.828,94.243,44.589,"Class1",44.409,35.092,"V",67.558,46.217
58,51.109,24.088,89.812,"Class3",62.666,32.569,"N",54.152,55.123
69,62.265,25.24,77.251,"Class2",42.786,73.149,"M",60.189,85.108
60,49.279,44.701,90.442,"Class3",71.216,12.777,"M",53.603,38.383
25,49.282,74.073,84.551,"Class1",31.647,32.255,"T",64.996,56.199
23,59.623,77.856,62.007,"Class1",46.137,26.844,"H",77.884,53.885
61,50.522,13.933,74.48,"Class3",69.992,40.328,"I",38.865,35.673
53,48.764,NA,70.686,"Class3",66.775,35.412,"N",37.304,43.774
26,48.919,90.02,56.701,"Class1",33.998,25.292,"A",66.335,60.494
46,63,14.085,23.824,"Class2",20.871,74.526,"M",39.037,76.703
