"YLU1","CRS2","GMA3","OLA4","Output13","OWP5","GVZ6","FHC7","AOQ8","QMC9","TKA10","UJR11","IBX12"
55.344,58.837,81.682,65,"Class3","P","M",81.294,66,39.344,18.348,34.694,67.203
22.07,59.729,39.124,56,"Class2","R","F",43.978,9,48.282,72.434,64.663,81.05
25.505,26.305,57.904,55,"Class2","R","O",49.59,10,45.027,68.651,49.413,-19.06
35.76,61.433,64.529,44,"Class2","J","Y",31.118,10,44.995,43.317,51.745,23.59
31.431,32.636,15.783,52,"Class2","J","X",32.126,9,48.242,137.026,45.903,13.358
9.548,81.184,63.942,94,"Class1","H","H",65.494,58,42.007,2.96,73.153,69.408
22.096,53.193,56.593,59,"Class2","J","Y",28.724,11,32.055,47.108,63.485,25.238
12.72,72.116,12.58,44,"Class1","R","I",57.12,54,29.439,4.951,61.232,69.372
34.107,41.389,43.726,59,"Class2","S","E",53.356,11,45.055,28.165,69.397,46.797
23.391,52.514,80.826,82,"Class3","Y","F",88.481,74,38.386,22.397,40.1,16.423
51.957,42.747,87.7,86,"Class3","G","M",82.341,78,41.439,25.863,29.275,58.212
23.69,71.104,19.591,62,"Class1","K","P",55.311,53,23.93,2.507,25.853,66.352
88.623,31.231,70.002,73,"Class3","G","F",76.114,73,38.876,29.065,35.361,38.697
24.881,42.617,43.389,45,"Class2","Z","O",37.101,8,47.789,13.115,45.7,29.484
30.364,42.72,39.16,57,"Class2","Z","X",51.314,8,42.336,68.839,46.155,29.418
35.852,25.523,70.808,55,"Class2","Z","Y",35.161,10,36.314,52.002,26.614,-17.931
54.134,51.339,76.117,75,"Class3","G","M",82.562,80,37.458,19.401,19.32,78.749
30.52,61.754,47.966,56,"Class2","Z","E",39.957,NA,39.282,54.685,38.815,64.85
20.824,38.381,28.135,79,"Class1","I","H",55.425,55,21.543,2.43,51.02,67.337
32.655,60.061,54.223,59,"Class2","R","X",49.45,10,38.371,45.975,60.286,36.544
29.693,41.606,50.104,54,"Class2","Z","E",46.622,11,46.132,60.706,18.078,32.536
17.203,25.485,27.885,56,"Class1","I","D",62.168,54,11.052,0.774,27.291,73.19
63.137,32.179,67.987,67,"Class3","G","M",82.458,64,40.306,26.459,35.814,65.342
9.5,63,23.157,86,"Class1","H","P",60.702,57,27.911,2.693,45.52,67.443
38.147,35.143,84.474,69,"Class3","Y","M",89.884,NA,40.65,28.212,36.796,65.476
13.114,22.587,33.167,97,"Class1","I","D",60.917,57,36.138,2.014,68.21,70.739
22.083,28.491,45.873,54,"Class2","J","X",33.887,11,42.707,16.257,23.808,26.966
93.56,33.89,75.621,70,"Class3","G","J",76.103,70,40.977,24.397,35.451,104.856
34.754,43.982,57.076,45,"Class2","T","X",30.19,11,36.305,33.668,54.442,19.009
14.512,48.505,40.819,60,"Class1","Z","C",65.212,58,33.421,0.173,46.946,70.138
64.83,47.971,72.571,74,"Class3","A","L",75.488,72,39.564,20.48,22.9,66.141
28.263,25.605,73.003,60,"Class2","T","F",30.604,8,46.381,55.069,41.763,56.827
25.43,60.515,87.725,65,"Class3","Y","L",84.519,69,41.082,29.228,30.518,103.29
23.947,65.828,31.021,83,"Class1","K","H",53.434,52,15.07,4.097,67.01,77.55
23.805,56.084,24.844,80,"Class1","K","C",56.511,53,59.146,3.346,49.126,65.552
29.618,53.605,40.864,48,"Class2","T","Y",57.302,11,46.226,44.129,63.286,17.515
17.061,75.594,26.309,65,"Class1","H","P",51.898,53,30.297,1.769,63.316,71.199
27.413,62.653,45.965,50,"Class2","T","E",45.818,8,37.167,27.168,23.881,29.2
5.045,46.542,33.728,97,"Class1","Z","P",64.805,57,34.375,1.865,40.598,67.69
21.071,26.75,32.462,98,"Class1","H","C",62.8,56,11.671,1.457,61.881,73.066
28.638,59.223,71.264,52,"Class2","R","F",39.702,8,54.012,56.941,42.433,2.245
9.325,37.243,4.684,83,"Class1","R","P",58.387,52,15.701,3.918,44.188,73.606
11.369,26.748,39.701,82,"Class1","R","H",67.482,53,49.747,2.179,47.259,70.025
14.659,88.354,34.673,63,"Class1","Z","D",60.992,54,24.616,2.279,64.41,69.944
15.685,20.611,16.927,88,"Class1","I","D",66.257,57,16.905,2.552,63.535,70.061
24.537,31.614,47.818,51,"Class2","S","O",49.78,9,44.14,56.617,65.013,9.66
20.874,59.783,2.043,98,"Class1","H","I",57.625,53,18.393,4.742,41.679,66.884
15.744,20.112,32.624,84,"Class1","K","C",59.422,54,4.399,2.979,34.249,72.434
9.132,67.026,43.015,97,"Class1","Z","P",62.21,58,57.308,3.353,32.199,75.728
64.141,41.171,93.727,86,"Class3","A","J",84.876,70,37.647,23.394,26.434,99.142
10.165,27.825,15.502,88,"Class1","I","P",57.464,52,39.813,2.096,23.372,70.847
28.293,57.898,58.62,49,"Class2","J","E",47.947,10,54.135,13.282,24.356,72.236
48.666,47.629,91.071,78,"Class3","G","K",86.993,76,34.577,24.551,31.215,21.145
32.961,53.303,60.83,60,"Class2","S","X",35.157,9,50.838,69.953,20.05,24.125
68.381,28.326,78.043,87,"Class3","G","F",85.196,75,38.488,29.358,39.308,38.468
35.208,51.154,49.778,46,"Class2","R","Y",38.921,11,40.619,46.378,64.971,60.251
26.098,50.397,73.975,67,"Class3","P","M",82.355,75,40.322,23.356,21.079,24.29
16.252,54.928,30.085,45,"Class1","I","I",61.967,55,19.263,2.457,35.661,71.297
26.604,24.928,76.775,44,"Class2","R","O",47.581,11,48.066,57.869,61.646,69.927
46.005,35.31,67.385,88,"Class3","A","F",76.509,NA,42.265,22.209,39.146,57.74
90.204,48.89,86.529,81,"Class3","Y","M",74.646,73,40.737,27.106,23.518,99.411
69.781,31.49,76.198,84,"Class3","Y","M",90.066,71,40.715,26.179,20.037,101.9
14.368,84.049,-2.374,77,"Class1","H","H",59.417,55,11.792,2.69,63.182,68.469
24.965,39.162,40.65,42,"Class1","Z","P",53.894,58,40.358,1.881,36.552,67.754
9.955,42.629,75.632,67,"Class3","G","F",75.36,74,39.877,25.45,41.498,91.026
22.103,37.244,54.95,48,"Class2","J","O",47.943,8,49.03,21.134,39.782,62.312
31.54,63.914,57.902,50,"Class2","S","Y",28.979,8,49.435,38.654,39.705,98.119
53.306,55.879,83.157,72,"Class3","A","F",80.778,73,38.746,27.873,36.753,58.698
20.546,51.029,88.61,77,"Class3","P","K",84.281,81,40.967,17.204,23.747,59.728
12.37,49.539,86.195,85,"Class3","Y","K",74.526,80,39.836,20.185,32.914,42.591
17.583,27.56,41.111,77,"Class1","Z","P",56.239,53,13.874,1.29,42.626,73.963
25.636,42.142,31.203,45,"Class2","Z","Y",55.072,10,45.131,23.877,30.039,53.967
20.233,63.109,41.518,95,"Class1","Z","I",56.519,57,9.05,2.831,32.505,74.276
31.579,55.728,81.509,51,"Class2","J","F",44.756,10,59.409,59.03,40.441,55.019
22.796,55.185,25.306,88,"Class1","I","P",67.164,55,45.326,1.763,43.229,69.254
13.57,54.2,71.985,89,"Class3","T","F",77.237,68,39.558,30.081,42.711,37.021
20.691,53.77,28.486,71,"Class1","I","D",52.094,52,27.236,4.187,64.717,63.868
26.559,26.052,41.699,56,"Class2","J","F",36.858,9,44.182,67.153,25.742,72.425
42.826,43.159,72.298,84,"Class3","T","K",81.942,76,39.425,25.703,26.355,58.359
5.726,97.946,16.397,57,"Class1","H","H",59.611,NA,44.742,2.203,43.927,71.273
8.462,28.882,28.805,46,"Class1","K","H",67.023,NA,52.529,1.678,36.807,69.185
61.618,31.68,83.498,81,"Class3","A","M",82.643,70,36.959,21.785,22.723,85.718
82.745,43.224,93.815,64,"Class3","A","M",88.42,70,41.514,28.334,39.545,147.096
22.433,40.823,43.257,92,"Class1","I","C",53.645,57,31.55,1.927,59.416,64.581
64.989,46.812,81.872,80,"Class3","A","K",80.717,75,39.11,24.568,29.003,57.843
55.913,45.255,77.091,69,"Class3","P","M",77.47,70,39.108,29.354,29.645,77.206
26.555,75.255,37.917,55,"Class1","Z","I",52.647,54,21.349,3.299,73.314,65.016
85.7,47.616,86.18,85,"Class3","Y","K",82.587,74,37.962,27.293,38.147,7.225
39.442,43.437,71.261,65,"Class3","P","M",74.785,69,37.323,29.811,39.269,110.298
23.034,30.859,74.392,52,"Class2","S","Y",55.248,11,44.489,51.919,24.922,71.969
33.065,41.313,35.203,56,"Class2","J","O",51.654,9,41.409,49.813,41.952,3.748
24.216,63.731,77.591,61,"Class2","S","E",28.853,9,43.551,62.683,24.993,16.452
12.56,59.342,50.675,61,"Class1","Z","D",54.959,53,26.802,4.399,24.176,68.332
80.046,34.174,81.34,78,"Class3","T","L",79.365,76,40.262,27.987,39.861,51.297
32.384,25.525,45.571,60,"Class2","T","F",33.989,8,39.992,53.25,23.864,42.25
24.065,35.698,13.586,57,"Class1","R","H",55.179,57,26.711,2.038,26.71,70.18
33.998,56.61,47.345,59,"Class2","S","O",47.209,9,42.093,58.809,49.93,56.802
7.183,29.5,31.642,62,"Class1","Z","D",59.789,58,8.182,3.013,72.715,71.211
25.193,66.309,58.407,54,"Class2","R","F",27.706,10,35.557,71.732,16.133,20.436
33.13,27.56,53.098,58,"Class2","T","X",50.273,NA,54.353,41.037,29.702,24.846
NA,58.676,79.973,85,"Class3","G","J",75.934,67,38.247,25.032,39.489,33.554
NA,30.785,60.926,53,"Class2","J","X",55.935,NA,39.574,69.743,37.824,10.307
42.374,28.389,60.806,77,"Class3","P","M",80.024,64,35.986,33.794,26.588,41.142
13.753,46.027,74.695,71,"Class3","P","M",83.41,77,39.328,23.551,37.361,30.931
68.233,51.166,65.315,71,"Class3","P","F",79.451,76,39.542,24.058,28.607,52.65
20.42,49.191,-6.8,86,"Class1","Z","I",61.395,58,37.43,2.921,37.214,69.242
41.486,63.768,74.301,75,"Class3","Y","K",89.724,70,40.471,30.699,33.619,35.243
23.289,29.617,39.013,88,"Class1","R","I",65.554,54,36.663,1.824,24.873,68.093
7.308,96.408,38.285,58,"Class1","R","D",60.189,57,14.795,3.041,25.282,67.705
19.88,54.538,65.137,86,"Class3","G","J",90.574,65,41.82,23.585,26.994,116.224
14.532,61.287,77.371,81,"Class3","G","F",81.87,66,42.666,31.029,39.718,54.75
54.654,50.15,82.143,70,"Class3","P","L",90.734,65,38.858,20.093,37.975,81.671
28.782,33.575,23.772,60,"Class2","J","E",49.917,8,49.353,61.014,39.223,11.783
61.021,42.921,75.507,90,"Class3","G","K",75.329,77,37.173,24.976,36.051,76.662
10.532,50.664,26.531,54,"Class1","Z","C",55.281,55,33.24,1.809,49.978,71.249
22.064,95.665,37.741,81,"Class1","I","H",57.919,56,37.973,3.8,68.465,72.44
72.395,50.963,83.113,76,"Class3","T","L",77.724,73,38.725,20.656,39.075,18.305
22.151,32.702,57.015,48,"Class2","Z","F",37.328,11,41.721,53.86,36.935,63.954
35.42,51.513,85.715,65,"Class3","Y","L",85.552,68,39.195,31.324,21.016,29.881
24.535,28.018,89.134,78,"Class3","A","K",75.879,64,43.376,26.127,25.913,88.322
10.636,90.901,14.633,90,"Class1","R","I",65.04,NA,3.362,2.21,35.624,70.479
28.093,52.973,45.854,48,"Class2","T","E",27.568,11,33.049,74.991,47.503,20.149
35.496,60.498,89.698,76,"Class3","P","M",74.357,NA,43.164,30.106,20.194,85.846
26.647,36.028,59.744,59,"Class2","R","Y",28.593,8,37.021,30.224,63.377,8.756
7.74,31.39,82.924,81,"Class3","P","F",77.412,73,38.028,27.9,34.099,24.997
41.32,59.357,63.639,66,"Class3","P","M",81.672,75,40.959,27.292,32.884,22.506
8.454,64.403,29.6,94,"Class1","H","H",53.296,52,24.376,2.12,26.641,72.493
5.49,47.442,34.587,56,"Class1","K","I",58.249,55,46.319,2.573,31.551,71.038
28.183,54.394,64.218,45,"Class2","T","E",44.315,9,40.954,23.413,46.5,28.045
34.847,59.919,41.29,59,"Class2","S","Y",32.672,9,44.64,58.221,58.552,38.958
12.895,68.515,62.816,58,"Class1","K","C",61.05,54,24.797,3.596,42.088,63.835
41.166,47.096,61.034,70,"Class3","G","K",74.794,68,40.231,25.94,42.124,46.679
35.598,26.63,76.024,56,"Class2","R","E",30.102,11,49.941,21.857,52.402,38.566
25.701,37.972,49.519,46,"Class2","J","F",26.5,9,46.217,69.679,61.45,58.171
26.593,22.634,32.402,45,"Class1","K","H",59.584,57,30.548,2.629,68.282,72.947
21.29,95.752,52.809,81,"Class1","I","D",59.669,57,29.684,1.921,73.543,71.855
23.262,38.037,41.543,44,"Class2","T","E",43.281,8,49.715,92.05,43.939,15.92
11.813,91.573,6.612,47,"Class1","R","P",58.51,57,10.112,2.831,70.583,67.83
23.949,42.174,58.362,88,"Class1","R","D",67.414,57,33.671,2.665,48.471,74.981
24.322,24.107,57.183,53,"Class2","S","Y",53.131,11,50.188,49.331,68.121,56.941
22.331,31.28,55.456,55,"Class2","S","X",53.711,8,49.199,78.507,49.825,47.542
64.365,36.799,74.888,80,"Class3","G","J",90.215,81,38.151,25.194,42.651,49.994
32.112,64.343,60.698,47,"Class2","Z","F",48.001,9,48.945,60.019,56.871,47.488
25.163,34.159,50.69,47,"Class2","S","X",33.977,NA,51.393,43.066,44.401,59.85
26.652,46.817,53.068,45,"Class1","H","C",56.588,54,43.292,1.559,56.291,68.024
25.441,47.165,29.636,49,"Class2","Z","O",40.594,8,45.101,23.802,67.509,32.38
32.724,65.726,84.452,67,"Class3","G","L",74.26,80,40.944,24.078,26.84,82.592
6.004,91.34,50.937,78,"Class1","H","D",63.438,57,-2.537,1.599,43.375,71.662
19.301,29.034,6.66,92,"Class1","H","H",63.522,58,30.172,4.045,43.03,71.048
69.539,55.852,56.382,84,"Class3","Y","F",76.562,66,38.872,28.79,29.199,25.642
32.173,41.194,65.127,46,"Class2","S","X",27.536,10,29.872,59.404,36.483,45.254
79.642,57.796,78.389,78,"Class3","Y","K",72.332,80,41.753,25.129,39.193,19.222
NA,64.782,89.759,82,"Class3","P","J",79.57,80,38.691,22.749,37.778,100.904
25.901,36.369,66.464,74,"Class3","Y","M",84.566,66,37.662,26.024,33.075,57.571
35.454,49.59,47.529,44,"Class2","J","E",28.922,9,46.639,61.032,56.845,34.812
34.281,52.851,69.805,47,"Class2","Z","O",36.122,10,39.207,34.27,18.989,59.851
9.861,88.596,28.53,75,"Class1","R","P",52.241,53,39.931,3.251,32.52,72.357
21.5,36.905,21.535,66,"Class1","K","C",67.075,56,16.705,4.006,60.538,69.188
33.426,66.229,65.843,46,"Class2","R","O",47.024,10,50.109,28.215,23.865,36.744
28.301,62.571,40.493,51,"Class2","J","E",52.702,8,40.614,68.929,55.792,46.736
28.087,27.134,62.718,59,"Class2","T","X",48.537,8,50.352,6.752,36.331,69.017
24.465,34.761,49.499,55,"Class2","S","F",47.785,11,31.81,26.104,22.221,47.188
34.548,50.167,17.798,59,"Class2","R","X",46.215,8,52.608,77.844,27.377,62.99
36.489,57.969,84.497,83,"Class3","G","J",85.841,76,40.639,27.374,33.243,49.074
58.497,32.17,71.889,74,"Class3","A","K",75.818,67,38.97,28.779,39.223,47.78
33.423,36.552,40.191,50,"Class2","R","Y",33.219,9,41.549,74.73,68.122,36.785
28.829,39.415,68.51,82,"Class3","Y","K",82.625,78,40.17,31.741,40.901,80.06
48.633,41.257,76.624,88,"Class3","G","J",74.426,NA,37.686,19.78,32.608,45.811
65.596,65.259,85.689,74,"Class3","T","J",72.916,64,40.533,28.262,35.436,116.633
9.848,34.733,77.569,69,"Class3","G","M",72.705,71,37.046,26.286,30.846,36.67
25.332,71.807,14.058,55,"Class1","R","D",63.431,52,33.646,1.968,30.81,69.381
9.961,60.44,51.596,87,"Class1","I","P",67.904,54,20.322,1.812,53.762,69.17
39.568,33.602,97.465,70,"Class3","T","L",74.292,72,42.315,23.597,31.713,73.781
27.199,37.924,61.76,54,"Class2","Z","O",32.511,9,45.92,63.082,39.484,45.288
24.869,40.911,75.824,61,"Class2","R","O",42.107,10,42.516,31.274,58.739,28.089
24.214,61.998,16.282,98,"Class1","Z","I",64.066,55,15.572,2.787,28.412,70.205
66.194,56.458,82.925,84,"Class3","A","K",72.609,79,43.322,20.811,22.051,78.779
15.992,77.383,46.329,66,"Class1","H","I",64.306,55,7.645,2.769,26.921,63.186
24.02,27.239,59.745,45,"Class2","T","F",43.932,9,61.765,24.135,41.385,38.447
18.916,71.495,35.588,71,"Class1","R","C",67.431,57,26.114,2.592,33.151,66.53
25.503,36.018,32.553,53,"Class1","K","D",52.649,58,34.536,2.503,61.691,68.6
17.274,53.456,31.965,90,"Class1","R","H",56.071,57,25.612,2.625,42.987,66.611
20.756,68.046,7.038,95,"Class1","R","D",59.878,55,43.541,1.266,52.075,70.025
26.683,66.728,29.123,50,"Class1","Z","D",54.498,57,25.165,1.118,40.021,69.309
30.163,28.908,52.322,54,"Class2","S","O",57.531,9,40.955,44.444,50.572,49.161
14.787,34.355,9.346,45,"Class1","H","D",54.787,58,36.677,2.461,28.342,68.154
57.66,38.298,78.818,90,"Class3","G","L",83.903,79,39.137,26.811,41.523,32.79
24.853,50.76,59.164,56,"Class2","T","E",35.957,10,45.053,61.102,48.897,-24.846
75.019,57.463,92.081,81,"Class3","A","L",84.423,81,42.419,28.257,31.204,45.507
51.967,51.603,80.7,65,"Class3","T","J",87.89,76,41.287,22.569,42.404,81.084
25.806,32.926,12.126,74,"Class1","H","P",62.822,55,10.593,2.555,73.493,73.673
25.775,61.677,19.009,57,"Class1","H","C",56.484,53,21.518,1.618,52.499,73.096
24.902,35.316,70.966,75,"Class3","Y","F",73.556,75,40.939,22.072,32.448,15.881
26.789,42.383,33.949,52,"Class2","T","Y",40.917,10,55.966,42.521,51.332,56.505
22.556,57.147,32.133,57,"Class2","R","E",48.251,8,41.086,48.296,58.771,32.729
35.886,50.699,60.378,46,"Class2","J","E",33.485,NA,38.711,-13.682,31.535,8.712
31.367,46.622,43.738,58,"Class2","R","F",43.394,9,34.38,57.362,45.273,51.639
8.657,92.026,41.383,48,"Class1","H","H",61.34,56,27.383,2.454,68.383,67.616
44.781,40.639,71.781,79,"Class3","G","J",81.857,64,39.24,23.54,19.449,108.117
33.14,62.705,50.101,61,"Class2","Z","E",31.341,9,41.127,32.31,41.605,75.848
26.686,28.426,54.897,59,"Class2","R","Y",56.229,10,38.195,6.628,66.645,5.328
35.366,61.886,32.951,49,"Class2","Z","O",29.378,11,33.152,33.27,23.265,48.233
22.652,81.958,19.202,84,"Class1","I","I",60.451,55,26.319,1.24,35.492,66.757
23.622,28.993,48.371,44,"Class2","J","E",43.657,8,47.512,44.456,40.393,76.963
25.406,28.581,50.099,57,"Class2","T","Y",41.922,8,58.065,68.362,62.057,54.773
30.472,62.69,55.225,59,"Class2","J","O",54.008,9,58.58,49.454,43.446,59.602
24.493,51.81,35.014,53,"Class2","R","E",56.345,8,40.604,44.728,45.335,44.478
7.529,61.997,22.235,88,"Class1","H","P",66.69,56,27.417,1.207,44.133,76.4
26.608,57.844,47.247,58,"Class2","Z","O",39.295,11,41.018,30.914,50.389,14.586
19.571,75.235,31.883,88,"Class1","K","D",51.348,54,36.565,2.008,27.827,69.027
24.925,39.797,90.158,76,"Class3","T","M",90.116,71,40.937,15.521,29.606,15.783
50.927,38.962,76.082,73,"Class3","A","J",80.884,81,39.603,26.314,34.089,53.017
89.516,46.816,52.692,76,"Class3","Y","J",78.859,64,38.829,25.76,21.092,18.121
73.538,42.088,91.77,64,"Class3","G","J",85.979,74,40.909,21.132,26.214,76.823
31.963,68.459,63.169,58,"Class2","Z","Y",26.111,11,39.437,42.789,69.123,57.329
24.432,80.317,22.474,70,"Class1","K","H",53.148,55,6.083,1.501,50.834,68.25
57.54,53.336,75.908,88,"Class3","P","L",82.488,74,38.961,22.545,25.778,35.924
63.239,34.872,83.188,84,"Class3","Y","L",87.831,70,39.471,18.728,33.456,0.064
22.442,54.591,27.064,76,"Class1","H","P",57.775,55,39.71,3.526,62.819,69.513
26.78,39.737,42.942,48,"Class2","T","E",32.074,8,48.598,36.813,20.075,7.5
60.151,50.687,83.885,78,"Class3","A","F",79.335,71,41.211,22.296,42.924,63.636
7.019,23.243,50.207,64,"Class1","K","C",65.343,NA,65.536,2.734,40.366,70.35
46.514,29.218,81.133,88,"Class3","T","L",74.725,65,39.16,17.641,25.412,20.945
27.919,47.965,58.064,58,"Class2","S","O",57.406,8,52.021,40.625,47.339,19.941
17.638,48.498,75.232,82,"Class3","G","J",73.621,64,37.279,27.823,40.884,127.727
9.096,97.256,20.81,49,"Class1","R","I",61.687,53,38.051,2.803,62.458,70.441
16.311,51.392,25.349,67,"Class1","K","D",55.265,53,11.194,1.65,52.632,65.189
34.44,30.387,44.04,59,"Class2","Z","E",43.506,10,58.503,16.52,16.789,66.465
10.947,31.177,36.743,52,"Class1","R","D",60.669,54,19.576,4.816,45.301,73.133
51.755,65.097,86.234,73,"Class3","P","F",80.024,79,41.203,24.943,39.484,18.726
14.716,44.603,6.607,77,"Class1","R","D",61.114,52,27.146,1.908,71.273,70.222
26.963,50.248,42.256,47,"Class2","T","X",50.041,10,37.368,46.759,23.274,26.867
23.114,68.6,37.653,47,"Class2","R","E",49.664,8,36.994,35.211,65.08,39.737
26.153,52.123,46.52,50,"Class2","J","O",45.354,9,48.769,24.077,62.798,53.109
49.456,52.139,98.307,71,"Class3","Y","F",83.937,68,40.768,12.223,35.625,64.318
33.594,27.654,56.377,51,"Class2","J","E",48.942,11,38.682,76.796,22.802,9.68
29.851,30.942,69.329,46,"Class2","R","E",50.406,10,46.044,41.899,27.18,50.065
6.611,44.233,31.95,64,"Class1","H","H",51.614,56,42.097,2.11,70.792,70.691
33.738,46.937,70.682,70,"Class3","A","K",81.142,65,36.986,29.814,24.63,40.6
33.803,39.101,54.82,50,"Class2","T","X",40.691,10,56.193,38.974,19.511,20.33
33.042,53.089,56.519,45,"Class2","S","O",33.392,8,58.155,31.734,42.142,22.324
51.907,51.687,80.803,84,"Class3","T","K",90.834,71,38.469,15.234,39.16,41.069
84.54,49.073,58.854,73,"Class3","G","K",88.204,80,41.343,27.484,20.946,70.264
15.733,90.564,36.323,65,"Class1","K","D",60.715,52,41.015,2.454,73.859,73.585
21.594,45.716,12.138,97,"Class1","H","I",60.672,58,19.614,2.819,26.923,68.054
13.371,27.746,30.227,71,"Class1","H","D",55.139,53,54.435,1.679,30.95,68.321
26.799,34.282,47.577,52,"Class2","J","X",45.203,8,37.985,49.704,41.997,37.15
23.278,56.057,59.955,57,"Class2","S","O",52.291,10,47.41,10.433,36.649,42.316
33.031,28.013,65.451,49,"Class2","T","X",44.899,10,46.795,55.398,51.76,30.277
88.496,35.362,83.698,79,"Class3","T","L",73.388,76,39.35,23.423,33.196,27.242
12.711,93.202,12.943,49,"Class1","R","H",60.209,58,34.538,4.251,33.817,70.329
7.236,53.023,86.116,83,"Class3","G","F",84.144,81,41.039,26.376,22.579,61.296
35.842,48.593,34.44,58,"Class2","Z","E",52.062,11,37.059,30.411,35.81,78.71
16.299,31.458,26.858,94,"Class1","I","C",64.02,55,41.281,1.232,28.303,67.81
45.417,53.266,72.52,67,"Class3","Y","J",89.961,76,40.942,32.869,32.443,47.748
66.273,28.691,80.041,86,"Class3","Y","F",72.934,79,38.303,23.407,40.175,6.919
26.254,42.646,46.401,79,"Class1","R","I",66.294,55,21.052,3.137,58.877,60.235
34.108,57.905,73.334,52,"Class2","Z","O",53.322,10,53.654,41.956,61.553,66.777
14.445,48.694,46.466,98,"Class1","K","I",52.334,55,17.475,3.175,25.815,74.631
26.381,58.684,57.169,48,"Class2","S","F",29.303,9,42.352,32.057,67.149,41.979
21.516,20.815,29.605,94,"Class1","H","I",55.849,56,28.308,3.079,26.27,71.411
7.179,30.203,71.613,85,"Class3","G","J",81.102,65,39.814,28.616,24.518,70.446
11.386,37.972,83.342,88,"Class3","P","L",84.203,76,39.333,18.749,28.292,88.63
26.071,29.408,47.052,55,"Class2","R","F",45.883,9,47.579,0.403,37.865,50.174
NA,62.843,47.446,51,"Class2","J","O",51.408,10,41.678,47.528,37.872,34.789
19.254,35.277,19.814,54,"Class1","K","C",53.617,52,33.878,2.364,68.576,69.895
34.788,67.178,51.441,58,"Class2","S","F",49.152,9,48.043,51.588,63.101,18.542
11.554,26.878,59,56,"Class1","K","H",67.878,55,18.846,1.78,41.287,69.794
35.475,40.726,50.216,44,"Class2","Z","Y",43.554,10,52.218,26.358,22.898,58.282
25.668,28.121,47.756,58,"Class2","R","Y",44.399,10,39.735,46.453,28.434,16.725
8.666,84.981,40.267,53,"Class1","H","I",60.387,54,49.04,1.807,38.476,71.152
9.799,44.145,56.957,93,"Class1","I","D",67.959,54,26.179,2.981,71.464,70.645
40.133,52.593,82.436,70,"Class3","G","L",74.541,81,40.234,29.805,23.488,-12.237
8.848,51.782,25.131,73,"Class1","I","P",66.937,53,33.812,3.479,72.479,71.135
28.516,62.147,36.671,56,"Class2","S","F",45.322,9,43.062,25.167,36.507,64.084
NA,59.732,80.505,84,"Class3","G","K",90.742,68,40.095,27.681,19.913,37.023
28.945,37.943,42.403,49,"Class2","S","E",48.713,11,47.867,50.285,18.364,30.096
8.62,68.807,34.595,76,"Class1","H","C",60.942,57,34.307,2.484,48.589,66.836
10.933,83.883,16.546,93,"Class1","K","I",63.178,54,15.353,3.915,67.701,66.157
26.739,28.265,34.628,93,"Class1","H","D",67.878,58,39.445,1.754,60.208,64.018
12.704,58.964,73.606,75,"Class3","P","L",82.192,71,38.36,24.521,42.045,92.138
25.981,24.283,33.135,84,"Class1","H","I",61.225,58,27.992,1.391,33.96,68.352
12.504,77.509,14.114,66,"Class1","Z","I",60.222,58,36.529,2.938,71.294,75.202
33.151,49.745,35.141,54,"Class2","S","X",34.908,10,42.321,42.852,17.225,24.252
NA,70.151,18.401,59,"Class1","R","I",53.725,58,-7.436,3.248,53.395,75.229
NA,20.095,27.255,64,"Class1","Z","P",57.889,58,30.382,2.393,31.899,70.508
22.722,26.91,49.3,49,"Class2","S","Y",56.719,8,57.761,14.656,23.785,67.618
15.053,56.059,84.768,80,"Class3","P","J",82.516,78,38.012,26.556,32.173,40.33
46.55,45.299,80.87,78,"Class3","P","L",80.405,68,41.194,19.359,37.993,63.229
29.44,61.118,33.838,60,"Class2","T","Y",56.983,10,55.679,20.304,24.515,69.114
20.792,36.866,24.975,78,"Class1","H","I",63.262,53,64.664,1.977,57.85,68.622
5.376,95.7,37.925,79,"Class1","H","I",61.922,54,24.118,3.287,28.85,67.611
9.823,79.688,37.553,94,"Class1","R","I",63.862,52,36.695,2.233,56.892,72.845
24.473,21.041,16.423,73,"Class1","Z","I",67.086,53,35.876,1.627,64.46,75.255
34.201,56.253,57.134,46,"Class2","T","O",40.135,10,35.106,63.731,48.376,42.525
72.753,46.563,83.447,66,"Class3","A","K",87.639,NA,35.812,24.818,29.619,88.92
88.901,54.615,71.465,71,"Class3","A","K",72.265,73,38.8,24.509,30.753,90.646
5.9,97.376,12.668,73,"Class1","Z","P",65.322,58,22.88,2.17,57.998,73.447
85.986,50.457,79.664,72,"Class3","G","M",81.326,NA,40.477,24.342,20.434,50.889
20.329,64.229,19.336,49,"Class1","Z","C",67.435,57,45.36,3.665,73.743,73.859
22.762,54.529,45.445,61,"Class2","S","F",28.181,NA,48.605,32.077,50.083,80.154
19.403,79.798,12.676,84,"Class1","Z","P",65.797,55,47.876,2.003,60.523,63.78
25.461,86.915,16.97,43,"Class1","K","P",64.342,52,34.552,1.304,71.397,73.791
33.381,35.324,85.805,73,"Class3","P","L",73.156,NA,37.87,13.809,34.679,-8.579
24.763,31.08,74.01,58,"Class2","S","X",46.664,9,38.508,62.268,57.248,4.695
33.791,61.94,53.664,53,"Class2","T","X",57.584,9,52.385,38.329,49.627,43.52
19.219,84.668,15.046,73,"Class1","I","P",51.602,58,36.599,1.744,58.028,78.21
