"BXE1","PFV2","EVF3","DCN4","LUK5","Output25","YVS6","WGI7","HFI8","JAO9","PKG10"
75.173,"Y",93.898,24.733,25,"Class3",73.708,75.778,"W",81.982,70.863
8.467,"K",19.896,4.631,70,"Class1",66.868,52.465,"O",58.106,29.455
8.465,"F",8.872,5.084,69,"Class1",73.247,65.896,"F",48.674,34.439
71.543,"A",92.856,57.989,30,"Class3",78.718,74.619,"Z",86.917,63.702
33.21,"P",81.074,33.047,48,"Class5",61.966,9.828,"K",91.91,97.127
31.582,"O",53.451,39.241,78,"Class4",5.835,76.509,"V",86.731,58.603
77.229,"A",91.868,31.218,20,"Class3",81.201,79.947,"W",81.624,93.508
7.784,"L",28.701,5.951,73,"Class1",70.345,11.55,"X",51.103,28.644
6.609,"K",51.854,5.137,69,"Class1",73.826,28.317,"O",51.536,36.277
8.016,"F",15.413,4.977,74,"Class1",68.196,49.42,"F",NA,31.486
66.57,"U",81.175,21.363,67,"Class2",38.114,57.154,"B",26.278,23.157
8.58,"K",15.788,5.404,72,"Class1",64.753,49.661,"V",55.1,30.16
66.369,"O",84.185,12.853,63,"Class2",32.172,56.365,"B",62.167,49.361
24.504,"P",84.994,31.175,36,"Class5",63.689,13.901,"E",86.511,97.953
9.365,"K",18.196,5.623,73,"Class1",72.613,55.347,"O",48.863,36.072
32.685,"P",83.738,31.732,44,"Class5",63.61,14.865,"K",87.31,97.38
41.462,"U",85.083,32.267,54,"Class5",61.562,8.61,"G",88.772,97.232
8.357,"K",NA,5.463,74,"Class1",71.168,54.165,"M",49.918,36.153
36.035,"U",30.934,33.282,90,"Class4",23.646,72.587,"V",88.493,18.007
75.807,"G",94.149,51.56,29,"Class3",74.572,83.212,"D",89.147,68.561
25.838,"N",84.343,31.264,31,"Class5",63.707,12.203,"G",88.421,97.676
7.721,"F",18.326,4.323,74,"Class1",72.524,47.827,"V",53.321,31.051
7.453,"K",3.111,5.036,71,"Class1",72.663,69.156,"X",52.655,28.653
69.176,"F",85.428,17.126,47,"Class2",27.499,65.306,"Q",NA,58.158
68.361,"F",82.664,10.545,38,"Class2",81.652,50.706,"B",NA,40.77
82.006,"Y",93.07,21.017,38,"Class3",68.159,76.911,"U",89.594,81.753
7.875,"F",49.139,5.677,74,"Class1",77.329,26.992,"V",56.415,38.501
9.793,"T",25.305,5.794,73,"Class1",75.421,18.393,"V",49.063,29.457
68.142,"F",78.742,21.354,39,"Class2",59.223,77.952,"Q",76.757,58.299
69.914,"F",78.359,11.124,47,"Class2",41.998,76.392,"N",36.677,50.405
66.609,"I",81.514,23.976,37,"Class2",76.361,55.076,"G",68.249,37.448
31.404,"M",31.397,38.049,57,"Class4",14.339,67.002,"I",86.504,32.466
66.983,"F",79.753,10.115,63,"Class2",24.07,68.102,"N",27.992,60.658
67.513,"O",90.215,43.669,39,"Class3",76.29,82.469,"Z",87.282,34.197
66.606,"Q",72.501,8.289,48,"Class2",25.746,64.857,"G",39.814,59.626
8.991,"F",23.05,5.69,71,"Class1",71.338,68.201,"O",58.136,37.882
70.716,"O",87.268,15.505,66,"Class2",73.625,70.161,"O",19.684,70.968
75.402,"H",93.072,16.715,31,"Class3",65.899,79.586,"D",79.055,11.309
69.783,"G",NA,46.059,26,"Class3",77.404,79.585,"W",88.43,55.274
30.818,"M",50.328,36.049,40,"Class4",24.134,6.324,"O",88.182,22.349
66.802,"Q",75.253,24.847,64,"Class2",57.45,64.12,"G",70.953,62.968
8.803,"T",23.794,5.939,74,"Class1",80.286,47.215,"F",54.201,29.289
28.174,"H",83.197,32.118,38,"Class5",62.464,9.046,"K",84.309,97.769
29.286,"Q",55.026,35.248,94,"Class4",21.491,34.193,"H",87.299,47.835
66.929,"F",79.581,23.803,59,"Class2",11.08,54.73,"B",37.955,13.927
66.642,"U",69.523,20.019,55,"Class2",71.358,72.692,"B",78.892,57.245
68.293,"U",76.518,10.404,48,"Class2",56.991,62.148,"O",64.294,104.919
28.522,"O",54.149,30.922,44,"Class4",2.083,80.819,"O",88.869,14.248
69.038,"U",71.383,8.884,40,"Class2",1.292,67.648,"O",23.728,81.662
66.655,"I",81.01,22.547,46,"Class2",49.708,69.645,"N",24.711,55.221
8.275,"F",37.29,5.082,72,"Class1",75.744,65.434,"M",56.514,36.346
8.833,"J",50.151,4.175,69,"Class1",73.153,68.429,"X",60.733,27.496
29.062,"R",83.335,32.697,45,"Class5",61.775,9.635,"G",87.171,97.044
51.69,"U",84.261,32.099,53,"Class5",61.96,12.38,"E",92.209,97.165
66.797,"U",79.142,18.22,62,"Class2",58.185,80.763,"B",68.091,62.113
28.2,"U",36.638,33.449,50,"Class4",1.467,78.308,"V",88.277,26.466
34.144,"Q",43.784,35.441,50,"Class4",21.209,14.445,"H",86.446,8.218
29.497,"O",29.765,30.843,56,"Class4",5.591,23.43,"I",88.713,25.567
7.766,"K",16.784,4.065,70,"Class1",67.415,15.383,"M",55.306,37.364
25.578,"U",83.554,31.006,50,"Class5",62.877,9.769,"R",87.069,98.001
34.804,"U",62.837,25.963,80,"Class4",10.231,50.134,"H",88.635,33.254
50.717,"U",83.275,31.768,53,"Class5",64.162,10.44,"E",92.045,97.89
9.068,"J",32.556,4.924,69,"Class1",66.499,17.635,"O",58.932,28.245
67.572,"U",84.252,21.12,48,"Class2",30.345,50.165,"B",NA,84.475
39.35,"R",85.349,31.921,51,"Class5",63.44,9.914,"R",87.887,97.397
70.122,"G",94.9,41.211,31,"Class3",75.268,75.246,"B",87.037,49.316
85.592,"G",95.063,9.027,32,"Class3",67.534,71.142,"W",80.365,57.487
69.411,"U",81.47,16.671,52,"Class2",83.32,56.643,"Q",50.046,52.007
68.3,"Q",82.8,12.422,62,"Class2",27.499,54.631,"G",61.743,80.984
59.379,"H",82.291,32.26,32,"Class5",63.117,9.915,"R",90.307,97.499
86.867,"H",89.656,32.526,34,"Class3",64.292,78.662,"Z",82.418,73.294
44.798,"M",50.112,38.065,96,"Class4",16.622,43.877,"O",87.163,46.467
50.601,"P",81.457,31.309,48,"Class5",62.535,18.973,"R",87.692,97.873
34.128,"R",84.097,32.503,39,"Class5",63.917,8.185,"B",89.526,97.139
36.954,"O",42.779,31.572,53,"Class4",14.786,75.81,"V",86.118,12.042
7.502,"F",39.425,4.197,73,"Class1",74.996,61.779,"O",48.892,30.251
75.805,"O",91.467,31.282,36,"Class3",68.822,72.02,"W",80.702,96.343
66.221,"O",76.508,8.488,45,"Class2",52.371,71.369,"N",22.073,85.458
67.737,"O",84.08,20.008,60,"Class2",62.081,83.363,"B",89.881,83.624
74.506,"A",92.107,28.573,35,"Class3",76.285,77.602,"W",83.43,74.903
34.602,"Q",63.37,31.328,53,"Class4",5.398,16.341,"O",88.024,55.548
8.175,"T",5.008,5.487,71,"Class1",70.735,34.038,"V",NA,27.233
8.578,"L",29.296,4.183,69,"Class1",75.41,18.39,"V",48.732,29.367
66.014,"F",81.075,12.664,54,"Class2",64.713,51.247,"G",76.252,89.618
66.146,"U",76.241,9.78,34,"Class2",50.374,53.254,"O",71.266,69.24
40.574,"M",25.165,34.475,91,"Class4",26.398,8.016,"O",86.897,26.585
23.311,"O",26.114,34.009,91,"Class4",3.719,20.746,"I",88.604,21.744
74.212,"Y",92.048,19.683,20,"Class3",80.439,80.479,"D",87.328,51.058
39.582,"H",82.954,33.458,44,"Class5",62.273,14.935,"B",92.279,97.533
65.731,"G",94.954,10.46,22,"Class3",81.789,72.441,"D",89.125,102.282
68.865,"O",85.996,16.856,52,"Class2",106.311,59.292,"N",93.477,62.831
33.863,"Q",33.443,34.356,65,"Class4",10.161,62.361,"I",86.767,31.005
68.687,"F",88.486,22.824,40,"Class2",22.513,66.695,"Q",22.548,47.93
65.717,"U",74.726,15.613,42,"Class2",15.509,53.729,"O",20.79,70.953
7.832,"F",39.691,5.72,72,"Class1",72.836,40.354,"X",50.111,29.229
23.45,"K",77.158,29.369,71,"Class4",20.396,4.672,"V",88.271,42.603
72.113,"Y",95.584,34.03,26,"Class3",76.068,83.987,"D",85.984,43.341
27.996,"U",82.98,32.163,53,"Class5",61.941,6.14,"R",89.489,97.805
74.311,"O",90.379,5.353,21,"Class3",71.48,82.53,"D",86.117,33.638
64.9,"U",83.892,12.464,56,"Class2",62.68,67.055,"O",78.617,74.398
8.317,"L",53.842,4.11,70,"Class1",72.914,38.9,"M",57.572,33.769
83.219,"O",99.348,61.672,40,"Class3",73.461,80.283,"W",89.474,72.508
66.053,"O",92.373,16.844,57,"Class2",36.912,83.745,"B",50.66,59.936
37.402,"M",41.875,30.567,73,"Class4",15.066,25.926,"H",86.913,30.892
66.208,"F",82.634,18.91,47,"Class2",62.822,70.833,"O",NA,70.423
38.614,"Q",81.409,30.715,67,"Class4",13.966,26.708,"H",86.797,25.552
64.854,"U",71.995,16.868,61,"Class2",53.536,51.931,"O",88.321,92.294
75.298,"G",91.996,27.238,35,"Class3",79.353,73.182,"Z",90.343,53.161
30.132,"M",66.992,26.331,56,"Class4",19.655,60.609,"P",88.334,28.641
75.967,"Y",88.926,31.333,24,"Class3",69.634,75.135,"D",85.296,69.552
53.959,"U",NA,33.499,49,"Class5",61.58,12.597,"E",88.964,98.046
66.02,"A",94.254,13.509,22,"Class3",77.801,82.644,"W",85.178,77.015
27.808,"N",83.994,32.186,47,"Class5",63.588,11.371,"E",90.697,97.769
83.554,"O",NA,23.325,24,"Class3",80.947,73.097,"U",86.663,76.747
32.798,"M",9.972,29.841,88,"Class4",16.903,4.892,"P",87.081,6.35
81.314,"Y",92.514,5.618,36,"Class3",84.069,81.274,"Z",87.172,53.35
24.555,"R",83.615,31.847,46,"Class5",61.601,9.971,"R",87.906,98.011
35.52,"M",NA,30.737,79,"Class4",-1.386,36.931,"H",88.503,48.013
38.593,"P",82.89,31.711,54,"Class5",64.489,13.227,"R",86.959,96.99
66.799,"I",NA,11.919,62,"Class2",60.898,57.782,"G",NA,78.658
8.389,"L",53.87,5.529,70,"Class1",67.895,33.421,"O",56.864,30.963
25.25,"H",84.721,33.689,44,"Class5",64.223,12.66,"K",85.382,97.87
35.023,"Q",37.889,27.187,87,"Class4",14.974,52.528,"P",88.412,8.353
33.253,"Q",69.575,33.798,77,"Class4",19.823,31.391,"H",88.484,34.127
75.979,"Y",91.382,48.064,41,"Class3",51.209,79.304,"B",88.218,62.284
76.293,"A",98.187,32.531,29,"Class3",67.524,79.016,"U",89.207,71.089
65.987,"I",NA,15.741,45,"Class2",76.738,62.21,"N",49.227,52.281
74.441,"O",86.312,8.674,34,"Class3",76.017,81.91,"U",90.748,79.354
67.053,"F",88.455,22.419,35,"Class2",64.491,55.08,"B",17.186,53.07
31.323,"P",NA,33.537,29,"Class5",61.26,17.071,"R",86.197,97.916
68.17,"O",74.039,15.369,43,"Class2",27.224,80.576,"O",20.037,77.829
66.509,"I",86.347,24.452,43,"Class2",17.782,76.648,"O",43.64,72.275
74.736,"A",NA,55.148,34,"Class3",73.678,77.019,"Z",89.659,69.724
35.763,"K",81.068,38.769,94,"Class4",19.355,13.962,"I",88.991,13.928
9.837,"L",38.396,5.918,74,"Class1",71.711,20.186,"F",55.227,29.579
10.185,"F",59.385,4.06,69,"Class1",72.353,32.869,"V",50.966,33.952
10.139,"L",21.925,5.661,73,"Class1",70.571,40.645,"O",56.874,29.621
9.162,"F",52.994,4.585,74,"Class1",68.013,51.129,"X",52.427,31.26
66.272,"I",90.479,19.543,50,"Class2",33.59,65.914,"N",55.373,59.892
74.352,"A",86.01,27.325,31,"Class3",75.506,78.972,"W",87.047,54.601
10.431,"K",68.982,5.828,70,"Class1",71.279,18.434,"X",59.371,33.992
36.719,"K",47.751,33.493,54,"Class4",24.199,25.146,"V",88.304,10.578
69.262,"O",89.875,3.292,20,"Class3",60.214,79.021,"W",80.23,67.398
9.749,"T",29.241,5.849,70,"Class1",71.762,48.196,"F",49.955,31.544
66.729,"U",NA,12.198,36,"Class2",46.178,60.998,"O",70.967,50.35
7.84,"L",30.006,4.371,72,"Class1",72.999,18.902,"F",52.349,27.459
67.317,"F",NA,13.366,32,"Class2",86.674,62.04,"N",60.015,45.582
70.48,"G",90.67,29.46,21,"Class3",67.823,76.026,"U",79.524,27.561
70.241,"H",88.635,22.456,24,"Class3",79.678,83.319,"D",87.17,78.18
68.861,"F",91.033,8.504,36,"Class2",9.092,83.839,"N",92.032,68.116
37.378,"K",34.849,38.788,76,"Class4",9.495,43.585,"H",86.367,47.998
75.195,"Y",95.769,17.131,41,"Class3",66.952,79.56,"Z",86.192,37.721
7.597,"K",47.125,5.289,74,"Class1",71.374,55.863,"M",52.43,28.53
35.92,"M",15.764,26.075,79,"Class4",6.093,45.286,"H",88.276,40.928
47.353,"R",82.324,31.974,52,"Class5",63.604,8.674,"B",85.136,97.323
25.615,"P",82.232,32.424,46,"Class5",60.81,14.281,"B",92.686,97.69
67.803,"O",84.374,8.753,34,"Class2",26.386,67.456,"O",86.815,88.929
8.748,"L",25.845,5.931,71,"Class1",71.36,15.722,"X",56.114,30.661
76.926,"O",87.121,45.706,25,"Class3",82.858,76.102,"Z",80.848,76.029
45.161,"H",82.461,33.296,43,"Class5",62.336,13.008,"G",91.258,97.304
68.488,"U",81.875,22.983,58,"Class2",90.426,74.612,"O",49.208,71.382
8.483,"K",30.33,4.142,71,"Class1",70.437,60.166,"O",57.336,29.265
8.759,"J",3.407,5.175,73,"Class1",70.258,67.042,"V",56.149,34.015
39.325,"N",84.865,33.383,48,"Class5",61.627,12.844,"B",90.365,97.721
55.357,"R",83.129,33.318,33,"Class5",61.796,12.095,"K",90.023,97.725
9.378,"T",10.015,5.984,72,"Class1",73.025,45.516,"V",51.461,34.228
67.964,"I",77.592,24.378,64,"Class2",21.378,56.063,"N",84.62,48.321
31.812,"P",NA,32.623,32,"Class5",61.473,9.682,"E",90.984,97.285
46.395,"R",84.575,32.103,32,"Class5",63.67,17.021,"R",92.543,97.237
9.94,"J",27.766,4.192,69,"Class1",75.17,38.382,"F",59.419,33.728
31.733,"H",84.331,32.203,31,"Class5",62.807,16.614,"R",90.099,97.088
38.843,"H",83.817,33.555,55,"Class5",63.349,15.893,"R",88.959,97.456
77.895,"H",93.756,61.328,35,"Class3",78.13,78.103,"Z",89.476,41.394
67.235,"U",76.29,11.289,42,"Class2",0.129,71.386,"O",78.784,48.375
74.45,"G",94.212,16.067,37,"Class3",70.459,77.621,"U",85.748,53.8
31.591,"Q",72.768,26.546,50,"Class4",10.638,38.181,"V",86.153,27.43
79.345,"H",91.648,5.955,27,"Class3",72.058,72.821,"Z",80.735,59.092
79.19,"A",94.364,55.161,41,"Class3",76.385,73.812,"D",79.751,41.783
75.714,"H",90.014,11.125,33,"Class3",69.893,74.789,"U",89.076,47.742
9.6,"K",47.864,4.248,72,"Class1",77.302,32.705,"M",51.168,32.784
83.41,"O",91.226,29.467,37,"Class3",83.452,71.666,"D",89.211,74.872
75.69,"Y",91.832,48.282,21,"Class3",72.649,74.921,"U",83.251,58.844
44.397,"H",84.807,32.77,41,"Class5",60.334,12.919,"G",87.654,97.34
68.249,"U",75.249,15.569,56,"Class2",3.86,61.25,"O",29.049,85.309
65.616,"G",91.215,12.564,32,"Class3",65.9,72.714,"B",85.152,54.182
32.104,"O",36.287,33.681,99,"Class4",30.239,22.561,"I",87.658,1.239
34.112,"M",53.704,36.931,94,"Class4",0.551,57.391,"V",88.121,17.281
68.037,"Q",84.36,16.273,44,"Class2",41.82,84.988,"N",88.65,83.417
7.776,"T",9.296,4.6,70,"Class1",70.124,23.263,"X",57.072,32.879
87.016,"O",87.211,52.172,41,"Class3",77.267,77.7,"B",90.858,81.113
31.971,"M",61.522,36.811,93,"Class4",16.405,57.669,"V",86.456,10.741
67.164,"U",73.511,18.901,45,"Class2",15.632,55.979,"Q",81.291,76.937
68.937,"Q",80.13,11.717,32,"Class2",64.909,53.153,"Q",55.921,95.042
76.909,"G",89.64,63.115,29,"Class3",68.636,74.381,"D",84.437,46.009
24.081,"H",83.571,33.827,40,"Class5",62.183,15.05,"R",87.148,97.993
66.477,"U",80.036,8.948,65,"Class2",44.158,75.133,"B",90.331,74.311
36.157,"Q",61.26,30.613,66,"Class4",26.557,55.16,"V",86.339,34.738
68.689,"Q",84.274,11.573,40,"Class2",73.657,78.081,"O",75.546,94.778
9.504,"F",NA,4.198,73,"Class1",74.022,41.535,"X",47.371,29.425
6.439,"T",22.053,5.195,73,"Class1",75.519,50.845,"X",49.432,34.4
50.294,"U",83.228,31.328,30,"Class5",62.832,6.734,"B",88.678,97.837
35.664,"O",44.952,25.206,97,"Class4",22.659,13.629,"V",87.404,32.415
68.122,"G",95.214,63.152,41,"Class3",78.631,80.866,"W",86.005,44.69
68.474,"H",90.628,7.871,21,"Class3",76.257,82.685,"U",82.558,29.134
5.995,"J",19.447,5.75,69,"Class1",73.119,26.672,"F",52.026,35.279
18.093,"P",83.693,31.643,53,"Class5",62.432,10.92,"B",87.521,97.615
8.124,"T",71.62,4.574,73,"Class1",73.769,45.664,"O",56.838,35.663
7.496,"L",9.357,4.087,74,"Class1",73.201,50.825,"V",58.912,37.38
79.626,"O",NA,29.927,34,"Class3",75.025,71.895,"B",82.022,63.936
67.556,"O",74.301,15.521,34,"Class2",-11.392,77.375,"G",27.53,44.128
66.64,"U",83.379,17.323,33,"Class2",18.04,64.505,"Q",73.073,72.412
76.275,"G",90.2,29.321,28,"Class3",72.301,82.685,"Z",NA,64.798
7.639,"L",12.702,4.354,69,"Class1",77.155,13.112,"X",53.017,33.112
7.295,"T",NA,4.394,73,"Class1",76.273,22.078,"F",59.679,30.57
8.792,"K",26.204,4.009,74,"Class1",68.014,35.979,"M",51.716,31.326
28.507,"U",43.167,34.153,74,"Class4",20.384,62.885,"H",88.769,38.711
7.75,"L",3.167,5.478,70,"Class1",74.83,54.342,"X",47.238,32.67
36.138,"R",84.357,32.054,42,"Class5",62.276,13.393,"E",91.344,97.377
43.975,"M",43.421,38.244,68,"Class4",5.675,66.606,"P",87.027,25.753
64.553,"F",86.226,21.041,60,"Class2",50.447,56.529,"N",28.183,90.2
67.225,"G",97.266,12.007,35,"Class3",75.777,81.842,"B",89.854,99.152
70.514,"O",NA,33.08,38,"Class3",67.489,83.654,"D",82.367,74.506
72.364,"O",94.799,18.074,42,"Class3",59.086,78.626,"B",NA,67.482
82.204,"O",97.294,26.669,31,"Class3",63.016,72.104,"Z",79.926,5.584
67.782,"I",78.563,12.421,53,"Class2",9.05,69.597,"G",51.226,59.411
37.501,"R",84.608,33.033,35,"Class5",63.511,17.291,"R",85.442,97.526
7.239,"T",NA,5.849,71,"Class1",72.7,16.908,"X",56.818,32.65
9.622,"T",13.67,5.285,71,"Class1",72.756,63.404,"X",49.096,25.774
8.269,"L",52.793,5.29,72,"Class1",74.621,22.183,"M",49.601,35.705
36.301,"H",82.812,31.449,37,"Class5",64.408,5.238,"G",92.144,97.746
69,"O",86.116,16.733,45,"Class2",55.408,56.29,"G",94.235,43.849
67.712,"O",81.258,9.938,63,"Class2",19.23,75.616,"N",64.909,96.919
69.507,"F",79.259,13.145,37,"Class2",-7.198,82.033,"G",87.499,103.674
71.546,"A",93.872,56.571,42,"Class3",81.115,77.883,"B",79.092,74.909
66.635,"F",68.081,13.375,60,"Class2",81.868,78.599,"G",NA,66.421
41.609,"H",NA,31.339,40,"Class5",63.298,6.811,"K",88.217,97.395
9.96,"F",14.776,5.829,71,"Class1",67.704,29.979,"V",50.479,30.187
31.451,"K",33.776,28.5,87,"Class4",10.048,57.795,"I",88.315,20.322
31.698,"Q",71.353,33.465,77,"Class4",13.292,36.521,"I",88.275,52.173
8.583,"L",54.27,5.427,69,"Class1",70.369,32.723,"X",51.68,29.778
68.187,"O",76.328,13.85,60,"Class2",94.922,69.979,"B",26.603,48.696
31.188,"U",71.485,31.613,50,"Class4",11.733,76.411,"V",86.983,-13.875
69.46,"U",81.176,21.787,54,"Class2",23.5,80.817,"G",81.809,39.658
65.75,"I",87.423,19.358,62,"Class2",9.524,67.297,"N",33.093,87.609
68.922,"O",NA,21.152,34,"Class2",81.736,54.379,"G",78.359,82.062
68.589,"Q",79.331,13.606,58,"Class2",84.466,84.293,"N",33.103,114.179
9.46,"L",18.291,5.124,69,"Class1",69.461,17.109,"O",55.824,31.022
76.508,"G",95.757,32.793,29,"Class3",88.359,78.782,"W",87.567,78.016
37.209,"U",52.083,38.607,62,"Class4",3.697,11.392,"I",88.056,19.308
62.832,"A",88.967,10.392,22,"Class3",67.961,79.155,"Z",89.527,74.632
24.239,"P",NA,33.884,43,"Class5",62.931,9.025,"E",90.954,97.465
32.71,"K",36.427,34.452,87,"Class4",22.636,14.634,"H",86.545,5.761
35.054,"O",44.63,39.232,65,"Class4",29.598,59.527,"H",88.08,46.716
35.981,"Q",57.316,31.898,70,"Class4",23.473,34.287,"V",87.359,22.342
8.219,"L",26.37,5.157,71,"Class1",72.869,31.27,"X",52.045,35.786
30.757,"U",83.335,31.102,54,"Class5",62.415,12.85,"G",92.037,98.176
66.705,"F",78.042,14.647,36,"Class2",48.716,79.118,"Q",61.411,79.226
68.775,"O",NA,10.762,62,"Class2",56.71,75.403,"B",77.3,99.818
35.606,"M",67.264,37.242,49,"Class4",9.468,45.518,"O",88.781,15.24
66.78,"O",78.614,24.496,45,"Class2",42.345,67.939,"B",NA,65.45
69.027,"I",86.033,19.873,64,"Class2",68.761,65.893,"B",94.6,53.416
90.494,"H",90.24,56.319,26,"Class3",65.983,72.356,"B",79.102,79.049
8.454,"J",20.196,4.623,74,"Class1",72.543,45.791,"M",49.053,27.038
26.601,"U",74.609,37.477,100,"Class4",11.177,30.688,"O",87.168,19.326
41.432,"U",83.648,31.174,49,"Class5",62.392,14.87,"E",91.281,97.601
6.772,"J",29.496,5.952,74,"Class1",69.482,42.095,"O",56.909,29.658
69.268,"F",75.105,15.438,32,"Class2",25.529,50.773,"O",29.176,85.315
56.627,"R",81.129,32.921,43,"Class5",61.385,13.095,"K",84.274,97.573
7.853,"K",49.197,5.135,69,"Class1",70.651,37.528,"V",53.655,30.922
38.148,"K",74.789,34.392,88,"Class4",23.45,30.174,"P",NA,29.317
40.718,"N",82.798,33.063,50,"Class5",63.365,15.483,"G",86.479,97.41
83.277,"G",89.149,11.764,21,"Class3",75.593,73.007,"B",83.215,83.622
25.416,"P",82.382,31.302,54,"Class5",62.846,9.97,"K",90.602,97.937
59.389,"H",82.334,31.624,35,"Class5",64.2,15.37,"R",91.893,96.907
53.661,"R",84.226,33.122,32,"Class5",61.509,9.202,"E",84.455,97.522
67.042,"Q",77.689,20.598,49,"Class2",51.925,74.783,"G",62.671,103.341
74.817,"H",94.957,6.259,30,"Class3",75.122,83.28,"D",86.217,56.998
8.842,"T",12.006,4.456,69,"Class1",76.125,31.152,"V",55.067,30.649
77.336,"G",90.711,6.474,25,"Class3",74.328,75.95,"B",84.526,61.025
73.934,"A",88.62,42.02,41,"Class3",78.06,83.726,"U",79.022,60.253
68.69,"H",88.343,55.019,23,"Class3",68.351,71.639,"D",85.061,70.236
35.608,"P",82.147,31.383,42,"Class5",63.226,10.063,"R",90.962,97.692
75.058,"G",88.346,2.216,34,"Class3",73.987,78.548,"Z",90.405,70.498
7.163,"J",36.981,5.848,69,"Class1",70.741,44.295,"F",55.909,34.305
65.963,"O",76.846,9.574,51,"Class2",59.507,62.571,"G",77.904,66.766
65.598,"Q",91.488,14.908,35,"Class2",68.429,58.536,"G",23.565,88.182
29.453,"H",82.474,31.276,54,"Class5",60.678,15.889,"K",88.083,97.612
65.298,"O",76.677,23.885,64,"Class2",49.898,51.164,"B",59.188,88.243
73.133,"G",86.578,59.808,34,"Class3",73.929,74.937,"U",83.933,46.392
65.761,"U",87.383,16.975,53,"Class2",32.975,74.806,"G",19.275,62.525
68.545,"U",79.749,21.099,53,"Class2",37.165,78.132,"O",77.296,41.348
33.859,"M",38.929,38.294,56,"Class4",11.238,13.464,"I",86.482,28.802
8.587,"T",36.533,4.701,69,"Class1",69.332,27.748,"M",48.005,30.03
40.853,"P",85.239,32.975,30,"Class5",61.95,12.099,"K",88.079,97.602
34.443,"Q",53.694,27.411,74,"Class4",9.283,73.524,"P",88.763,22.239
14.185,"H",83.395,33.052,53,"Class5",62.253,15.013,"E",85.036,97.698
68.08,"I",81.444,22.326,33,"Class2",46.578,58.01,"Q",49.154,73.292
39.248,"M",88.469,37.161,39,"Class4",17.369,53.577,"V",88.296,37.725
9,"K",28.836,4.053,74,"Class1",73.767,53.001,"M",60.601,32.157
41.635,"H",83.371,31.826,50,"Class5",62.759,13.28,"E",86.792,97.528
32.985,"N",85.357,32.319,48,"Class5",63.415,18.187,"E",85.956,96.408
31.256,"U",31.354,32.543,49,"Class4",5.982,64.4,"H",NA,26.139
66.809,"U",83.961,9.943,40,"Class2",8.575,57.937,"Q",81.749,41.487
34.983,"Q",33.292,37.538,38,"Class4",14.685,61.65,"H",88.61,24.958
82.956,"G",97.747,59.418,40,"Class3",66.847,71.943,"B",81.53,48.727
24.397,"U",76.355,31.668,85,"Class4",7.887,32.369,"O",87.419,28.758
8.64,"F",NA,4.578,70,"Class1",68.755,61.24,"O",60.589,32.208
40.844,"R",83.345,31.51,47,"Class5",62.011,14.242,"B",86.916,97.981
63.903,"G",89.635,13.084,32,"Class3",75.898,80.462,"D",87.511,69.509
48.182,"H",83.803,33.347,51,"Class5",61.439,5.069,"E",84.729,96.714
66.74,"I",75.169,21.938,35,"Class2",36.409,57.062,"N",51.94,69.924
7.817,"K",47.838,5.319,73,"Class1",68.101,48.424,"M",56.381,32.964
42.567,"K",75.554,29.762,48,"Class4",24.84,59.001,"H",88.795,46.418
68.247,"U",73.196,15.862,39,"Class2",46.166,69.584,"G",20.44,110.985
66.629,"U",83.301,19.11,35,"Class2",45.377,69.72,"G",88.884,92.128
50.869,"R",82.897,33.998,51,"Class5",61.971,17.632,"R",92.333,97.642
42.218,"U",NA,33.515,29,"Class5",61.794,13.407,"G",91.076,97.299
24.726,"K",59.742,29.572,53,"Class4",6.831,13.232,"O",86.133,3.855
30.178,"K",NA,27.113,65,"Class4",26.695,23.017,"H",86.095,20.904
59.224,"N",80.537,32.513,34,"Class5",62.414,5.056,"G",86.391,97.73
79.685,"O",89.172,27.018,41,"Class3",80.243,74.982,"Z",80.529,71.723
37.329,"H",82.455,32.961,38,"Class5",61.723,16.635,"R",92.826,97.775
7.63,"T",23.765,5.329,71,"Class1",72.429,62.948,"M",57.896,31.121
42.555,"Q",16.983,32.851,99,"Class4",19.475,5.313,"V",87.785,32.771
6.899,"J",17.519,4.332,74,"Class1",70.549,66.551,"O",47.712,29.323
43.154,"K",NA,28.877,72,"Class4",9.143,34.176,"H",86.017,32.685
34.511,"O",37.726,31.071,53,"Class4",10.436,67.435,"O",88.143,-7.084
73.172,"A",93.648,55.378,20,"Class3",91.869,76.151,"W",80.712,33.349
79.897,"H",93.511,19.668,31,"Class3",62.308,75.281,"B",87.317,71.916
67.235,"F",81.52,16.054,50,"Class2",38.284,73.039,"N",30.24,74.189
7.917,"L",28.038,5.085,69,"Class1",71.866,50.645,"F",60.791,31.901
33.221,"U",54.712,36.551,66,"Class4",16.203,67.037,"O",87.2,28.453
7.131,"L",40.855,5.485,70,"Class1",73.838,10.789,"M",57.203,39.047
32.968,"K",38.974,33.177,41,"Class4",-7.311,47.043,"H",88.088,36.552
50.674,"N",83.189,33.528,49,"Class5",61.681,9.336,"E",85.052,96.992
53.545,"N",83.882,31.339,29,"Class5",62.782,17.071,"E",90.116,97.657
64.857,"F",79.869,24.614,49,"Class2",41.666,83.728,"O",37.987,87.818
66.969,"F",80.977,19.96,48,"Class2",63.881,56.509,"O",65.24,45.126
68.111,"I",76.569,16.064,57,"Class2",59.441,83.902,"B",33.741,79.616
