"KZN1","IHU2","POK3","FXI4","GDY5","FHT6","Output14","WZI7","VCX8","OYE9","PGS10","JZR11","CQD12"
29.304,48,57,81.534,NA,44.722,"Class5","U",22.048,69.811,"V",22.868,60.211
27.083,48,70,92.19,59.696,42.651,"Class5","U",34.439,73.253,"V",22.577,62.738
76.656,44,78,36.581,72.995,59.165,"Class1","Q",43.245,41.629,"H",66.054,12.103
54.893,55,69,40.235,72.399,74.928,"Class1","G",41.519,62.496,"J",62.57,47.091
76.406,82,44,34.876,59.063,68.026,"Class4","I",52.017,75.594,"C",9.103,59.194
26.214,47,79,69.492,59.965,1.66,"Class5","U",NA,77.28,"B",26.571,61.353
86.573,80,80,43.829,9.493,59.517,"Class1","G",43.145,74.062,"G",66.866,59.4
22.117,46,57,81.691,58.563,37.991,"Class5","G",45.327,73.319,"K",29.864,65.853
92.701,85,71,37.214,55.977,49.488,"Class4","I",57.515,13.577,"C",8.502,58.775
38.786,79,40,36.641,47.205,64.382,"Class4","I",50.802,93.302,"J",5.769,60.51
101.308,77,87,37.258,34.513,58.134,"Class1","L",40.14,54.923,"N",64.985,19.53
33.172,55,72,94.246,62.801,13.02,"Class5","O",41.914,78.827,"V",21.335,38.563
73.702,71,88,38.016,82.036,33.168,"Class1","B",42.599,54.83,"N",61.907,59.789
22.156,44,86,91.283,57.556,21.871,"Class5","R",19.074,87.477,"Y",26.43,54.894
69.913,47,73,29.483,65.448,16.242,"Class3","E",53.922,58.57,"W",12.111,79.926
79.206,86,91,34.043,-3.554,58.24,"Class1","B",42.727,55.083,"N",66.468,34.906
69.393,48,84,26.593,45.107,42.089,"Class3","V",63.754,64.655,"K",14.303,75.094
37.736,62,89,73.843,60.364,9.412,"Class2","X",95.548,60.218,"V",54.493,75.295
27.868,42,41,74.47,56.587,4.615,"Class5","G",34.391,88.79,"X",25.489,52.85
101.696,80,75,36.338,62.101,64.529,"Class4","N",56.735,68.007,"M",8.305,61.496
8.442,54,66,98.954,60.818,28.626,"Class2","P",99.538,66.335,"M",49.318,65.472
24.534,56,35,86.622,57.017,7.729,"Class5","O",22.329,89.915,"V",24.077,64.011
74.819,56,63,39.185,5.483,62.085,"Class1","B",NA,81.018,"Y",63.149,19.976
40.006,88,37,35.898,67.913,43.582,"Class4","N",51.269,37.795,"J",9.51,56.578
24.275,93,36,33.961,60.943,39.017,"Class4","S",55.367,80.814,"J",3.976,54.872
53.523,39,68,107.181,68.509,7.717,"Class2","A",98.509,61.616,"Z",52.645,83.518
65.618,49,85,39.103,NA,60.483,"Class1","Q",42.094,75.772,"J",64.379,48.458
29.892,38,73,78.91,59.187,35.111,"Class5","O",31.519,83.903,"Y",30.726,44.131
70.747,54,24,25.786,44.666,22.828,"Class3","H",79.146,54.283,"W",6.171,29.652
74.435,81,35,34.099,59.821,53.881,"Class4","N",49.528,38.742,"K",14.154,62.23
75.443,56,76,38.388,55.837,50.964,"Class1","B",41.961,89.434,"N",62.415,76.867
41.796,79,52,36.407,77.892,68.349,"Class4","S",49.389,16.422,"T",12.299,63.124
82.557,74,75,39.636,38.85,63.087,"Class1","B",41.595,66.147,"J",63.412,61.008
75.993,65,92,64.015,52.227,1.739,"Class2","A",99.398,68.6,"W",75.287,64.352
67.633,51,52,22.077,69.311,30.908,"Class3","Q",81.979,56.657,"K",11.863,75.722
69.131,50,86,23.428,68.969,56.725,"Class3","W",82.989,63.083,"J",9.035,75.929
34.829,85,74,37.631,55.84,50.04,"Class4","O",57.2,21.758,"T",3.907,60.998
64.889,48,37,27.804,52.819,54.452,"Class3","W",76.359,59.696,"Y",10.782,93.753
63.46,90,36,35.343,63.986,59.059,"Class4","S",50.023,21.65,"K",6.706,61.662
70.568,46,89,28.368,101.385,46.762,"Class3","E",82.994,62.257,"G",19.852,66.071
86.46,79,84,39.498,26.535,58.645,"Class1","G",40.553,53.217,"G",64.527,47.784
24.972,53,89,80.55,62.073,23.809,"Class5","R",21.333,73.016,"Y",19.443,59.576
47.084,87,46,35.622,68.982,64.265,"Class4","N",51.671,30.283,"M",11.593,55.701
21.484,42,79,71.026,65.469,10.169,"Class2","X",96.76,70.824,"Z",59.426,89.443
43.737,55,78,82.821,60.254,6.556,"Class2","A",94.398,72.739,"W",58.692,73.596
27.217,52,58,80.272,60.575,15.991,"Class5","R",NA,93.836,"X",31.054,49.894
75.851,55,64,23.903,82.257,40.5,"Class3","E",75.163,59.912,"W",29.09,73.09
68.028,49,49,11.973,43.146,25.532,"Class3","W",72.911,62.182,"Y",19.31,52.875
71.216,52,27,20.986,69.659,30.509,"Class3","Q",60.622,54.185,"K",4.737,61.849
71.22,47,56,79.682,62.946,17.358,"Class2","A",99.295,71.208,"O",62.146,76.703
80.998,54,94,40.743,29.377,73.454,"Class1","W",39.579,58.668,"Y",61.421,28.299
75.552,53,76,34.862,35.909,40.109,"Class1","Q",42.201,42.607,"H",66.464,73.037
59.728,33,57,38.967,57.124,1.654,"Class2","P",93.949,61.704,"V",57.901,74.043
67.255,53,45,20.004,97.834,15.311,"Class3","W",75.633,68.94,"W",22.35,36.257
46.541,92,57,35.906,71.977,50.566,"Class4","S",57.629,57.101,"C",14.214,53.792
84.693,83,76,43.795,72.835,63.944,"Class1","L",NA,53.854,"J",66.776,92.143
30.816,77,51,36.027,50.718,68.876,"Class4","I",53.532,54.33,"M",10.461,56.352
81.02,81,60,36.8,59.158,38.208,"Class4","S",53.179,73.591,"M",6.151,56.093
26.905,56,76,44.513,66.803,1.665,"Class2","A",96.624,74.36,"Z",50.386,57.481
83.67,56,62,34.856,52.371,58.533,"Class1","Q",41.935,40.038,"G",64.518,84.107
66.359,46,88,37.674,49.158,48.836,"Class3","E",83.814,63.704,"J",16.413,83.617
69.893,47,81,20.199,80.971,60.043,"Class3","H",63.065,65.47,"W",10.215,68.166
84.946,77,87,39.404,20.807,52.107,"Class1","Q",42.222,70.817,"J",64.989,47.918
83.829,89,65,40.321,72.728,69.448,"Class1","B",43.775,75.728,"H",65.098,73.261
104.513,91,47,35.699,57.037,38.063,"Class4","O",51.544,87.771,"T",5.69,60.816
51.087,90,74,36.429,36.841,66.089,"Class4","O",59.232,63.916,"K",2.475,58.343
71.546,49,73,30.374,69.083,31.457,"Class3","W",71.891,63.131,"G",26.399,71.021
47.199,87,58,34.779,39.949,62.261,"Class4","B",56.548,98.456,"J",10.734,59.083
8.958,52,64,29.91,63.713,16.137,"Class2","U",93.368,70.711,"W",51.828,70.948
67.771,69,56,41.597,92.629,70.263,"Class1","L",40.718,52.928,"H",62.227,79.682
62.323,51,86,17.433,48.443,42.64,"Class3","H",NA,66.807,"J",13.517,46.055
33.116,38,71,80.844,61.581,14.34,"Class2","U",93.115,68.224,"V",70.602,70.516
41.665,54,88,42.863,NA,21.736,"Class2","A",94.004,64.551,"Z",63.536,61.165
69.413,53,35,25.986,49.198,14.68,"Class3","Q",62.855,68.801,"K",22.315,88.249
67.553,51,89,20.408,51.641,36.952,"Class3","W",61.76,62.555,"W",15.857,101.355
55.712,58,85,59.406,61.592,9.435,"Class2","P",97.439,62.473,"O",74.925,77.004
44.954,77,44,34.459,56.144,49.806,"Class4","N",58.606,31.652,"K",1.398,55.898
69.088,53,47,26.568,66.307,43.328,"Class3","H",87.776,66.226,"K",14.538,71.918
79.83,82,62,37.477,6.437,64.723,"Class1","Q",40.033,57.687,"H",66.047,50.234
30.226,52,89,85.459,59.041,12.531,"Class5","O",41.351,95.562,"B",25.086,64.308
73.678,75,94,35.095,44.174,32.968,"Class1","Q",42.904,78.223,"G",61.51,85.818
24.948,36,37,66.455,61.593,3.821,"Class5","G",46.217,77.237,"B",18.784,56.747
33.967,49,85,47.993,51.579,8.213,"Class2","X",99.009,62.228,"V",57.664,71.779
70.664,81,59,40.831,29.505,60.325,"Class1","Q",43.326,78.892,"Y",67.193,85.267
23.878,65,66,66.494,57.194,1.291,"Class2","T",99.69,65.19,"W",70.621,69.994
91.017,42,69,38.544,39.622,59.445,"Class1","B",41.594,40.466,"G",62.261,26.833
62.372,54,84,28.913,59.571,59.123,"Class3","W",63.062,58.966,"K",1.814,100.978
67.059,48,76,31.426,67.984,61.193,"Class3","H",66.527,58.141,"W",21.915,84.44
68.851,46,49,17.131,53.47,55.1,"Class3","Q",55.264,61.478,"W",28.531,84.541
73.11,89,64,34.692,45.961,68.256,"Class4","B",59.19,26.296,"M",14.852,56.248
75.292,69,82,43.179,49.263,46.965,"Class1","L",40.015,71.977,"G",67.862,42.247
25.982,46,85,81.094,62.975,55.003,"Class5","U",31.735,92.876,"X",30.606,68.433
66.414,80,39,36.04,58.449,63.371,"Class4","S",51.983,70.345,"T",10.969,56.011
31.652,85,35,35.88,76.649,61.056,"Class4","B",50.593,67.907,"M",0.343,57.723
78.339,62,71,40.047,85.591,62.565,"Class1","Q",43.642,64.246,"H",64.967,64.984
64.455,53,64,37.084,26.258,51.877,"Class1","G",43.118,88.171,"J",63.59,68.802
64.662,64,62,37.885,NA,71.895,"Class1","W",40.617,88.166,"J",63.421,56.374
69.719,50,70,40.584,49.684,38.457,"Class1","Q",40.666,48.554,"J",65.173,70.349
83.63,57,70,37.48,27.062,46.923,"Class1","W",39.17,74.669,"H",67.429,54.225
73.96,83,75,34.564,69.494,43.225,"Class4","N",57.518,49.916,"K",5.86,58.05
39.587,60,74,45.48,61.553,21.678,"Class2","X",94.347,68.02,"O",58.436,77.754
31.125,43,67,78.102,54.069,47.659,"Class5","G",34.979,92.942,"Y",17.999,64.532
63.385,52,37,10.187,55.103,18.261,"Class3","E",83.861,54.252,"J",20.598,85.694
85.874,63,62,40.019,50.47,73.832,"Class1","Q",43.516,73.444,"Y",65.071,1.558
27.202,43,88,80.496,62.432,2.289,"Class5","R",44.863,77.689,"X",29.049,31.652
66.673,77,67,36.836,NA,57.451,"Class4","I",59.185,47.655,"K",12.658,59.379
67.608,46,74,35.131,98.151,54.248,"Class1","G",39.45,42.205,"N",62.558,58.467
30.424,57,93,65.375,59.816,25.12,"Class5","O",19.996,87.177,"X",29.852,56.527
65.851,53,51,25.702,59.478,27.318,"Class3","H",71.603,65.272,"W",20.026,51.243
47.075,48,66,58.324,66.181,15.941,"Class2","X",NA,62.693,"W",58.921,69.909
23.473,49,89,75.915,60.385,48.111,"Class5","R",21.556,96.741,"K",29.989,44.521
63.407,84,73,36.202,71.373,47.251,"Class4","S",51.892,78.89,"K",13.329,55.333
69.836,44,59,76.887,65.992,24.336,"Class2","P",96.38,64.934,"M",55.566,80.345
29.001,53,93,92.951,55.725,31.121,"Class5","F",31.624,94.038,"K",23.471,40.171
33.609,57,69,94.284,65.099,32.609,"Class5","R",36.936,69.293,"Y",25.501,34.468
57.168,92,68,35.768,47.087,52.028,"Class4","I",56.91,96.596,"J",14.748,54.858
91.834,53,70,42.654,22.825,46.391,"Class1","L",40.034,79.581,"Y",63.968,89.56
58.134,81,48,35.306,59.865,59.097,"Class4","N",58.189,29.421,"C",14.786,58.355
49.685,84,66,34.995,61.253,56.707,"Class4","B",52.116,65.758,"K",2.554,59.663
23.118,56,43,94.287,62.017,47.533,"Class5","R",35.934,79.477,"V",23.708,53.518
21.44,55,83,91.666,58.519,36.168,"Class5","R",37.688,89.822,"K",25.774,50.434
50.274,78,65,36.823,63.655,66.14,"Class4","I",57.7,73.082,"C",6.529,58.416
72.479,50,58,32.213,84.041,59.906,"Class3","Q",59.092,57.83,"J",13.212,82.803
72.585,80,93,43.788,48.788,43.785,"Class1","L",42.658,58.065,"H",64.828,74.996
56.567,79,78,38.479,55.26,31.684,"Class1","Q",NA,40.195,"N",62.839,69.571
69.559,91,70,35.291,62.289,67.908,"Class4","S",59.515,45.19,"M",10.039,57.27
76.42,45,57,39.419,71.479,51.661,"Class1","B",43.294,59.032,"J",66.729,41.784
83.842,77,88,37.151,32.753,59.337,"Class1","L",41.939,65.832,"N",63.333,75.245
73.221,53,30,19.221,51.823,26.977,"Class3","E",70.999,56.987,"G",22.084,63.641
32.069,44,92,46.931,59.55,15.08,"Class2","T",95.747,66.176,"O",69.951,62.31
75.875,76,78,40.301,47.047,72.164,"Class1","L",40.22,65.819,"J",62.173,31.343
25.442,53,63,73.252,NA,29.169,"Class5","G",33.295,69.265,"V",17.204,48.109
68.393,51,43,23.371,86.767,58.931,"Class3","H",84.885,65.182,"G",18.556,67.474
68.348,51,33,29.77,53.323,59.332,"Class3","V",75.735,62.502,"Y",23.529,71.754
90.363,83,46,34.665,65.89,39.627,"Class4","S",50.832,29.764,"C",7.359,57.075
57.236,85,58,36.647,47.695,59.735,"Class4","O",50.987,97.617,"J",4.834,58.076
63.748,56,86,29.834,76.618,7.384,"Class2","T",99.223,74.377,"V",57.484,67.151
89.763,61,77,37.498,31.241,37.885,"Class1","G",40.174,55.062,"Y",64.849,101.575
36.241,44,83,91.056,60.598,3.193,"Class2","T",99.898,62.779,"V",71.903,77.715
69.139,49,36,22.607,45.33,44.884,"Class3","V",52.614,56.428,"G",18.939,94.048
88.26,73,61,40.154,75.213,67.305,"Class1","L",39.359,48.082,"J",61.935,47.748
65.008,58,81,38.3,22.343,63.097,"Class1","W",40.38,75.213,"Y",67.849,34.461
77.355,89,89,37.947,34.228,58.65,"Class1","W",41.193,73.356,"J",63.733,60.731
59.664,92,49,34.964,65.685,43.924,"Class4","S",56.023,64.218,"J",6.406,58.962
28.687,38,66,95.103,57.426,48.037,"Class5","O",36.989,86.623,"B",30.697,33.858
30.02,50,59,79.385,59.011,44.135,"Class5","R",36.869,76.156,"B",29.058,44.132
66.936,54,58,27.304,104.057,34.725,"Class3","E",63.515,54.826,"G",3.247,82.449
44.6,49,79,21.819,54.851,22.411,"Class2","P",93.489,62.09,"V",57.625,75.278
23.145,37,37,76.255,62.146,2.028,"Class5","F",29.264,90.089,"V",20.701,38.832
70.229,48,59,11.427,55.276,32.56,"Class3","H",66.205,53.553,"Y",9.542,54.225
99.023,58,65,39.127,27.554,43.91,"Class1","W",42.031,40.309,"H",61.156,38.185
75.315,86,46,34.606,NA,66.758,"Class4","B",52.756,87.863,"J",5.977,58.905
95.2,76,94,41.738,12.295,58.684,"Class1","L",39.283,64.148,"G",63.073,84.11
62.08,38,59,50.267,72.22,17.739,"Class2","T",96.802,70.046,"O",49.303,69.905
67.233,54,51,30.705,28.329,44.323,"Class3","E",80.287,60.352,"W",20.263,79.879
67.453,91,62,34.436,57.085,54.285,"Class4","B",59.924,23.314,"M",12.502,57.695
82.886,65,91,35.915,60.718,50.138,"Class1","L",39.774,48.844,"N",66.651,70.65
70.303,55,91,14.238,36.885,56.964,"Class3","Q",55.078,60.251,"K",25.949,51.119
73.179,48,82,39.396,57.527,27.957,"Class2","U",96.629,73.414,"W",68.728,68.345
87.563,53,77,33.658,20.838,49.733,"Class1","L",42.861,74.862,"H",64.599,57.635
21.643,52,67,68.806,58.632,33.678,"Class5","G",44.403,79.264,"K",17.127,67.942
28.781,51,49,86.219,61.555,50.49,"Class5","U",19.165,77.91,"K",26.502,35.724
26.793,43,40,78.867,57.76,23.269,"Class5","O",48.525,79.182,"V",20.625,47.526
24.772,39,48,88.69,62.063,6.275,"Class5","U",24.656,79.858,"V",23.436,31.378
65.686,53,43,12.177,NA,20.545,"Class3","V",75.739,61.381,"Y",27.591,74.721
25.668,50,65,96.186,57.199,31.822,"Class5","R",37.879,72.305,"X",22.463,74.434
72.9,80,82,37.472,36.56,73.897,"Class1","Q",42.557,76.558,"H",64.401,31.37
56.03,53,67,-2.278,69.79,25.854,"Class2","U",96.348,64.605,"Z",70.696,69.676
26.517,59,49,88.849,58.391,40.074,"Class5","F",20.43,94.683,"V",19.769,28.259
30.562,72,64,77.628,63.58,2.681,"Class2","T",98.46,74.504,"W",63.459,75.305
27.193,41,69,73.333,57.71,43.226,"Class5","G",37.911,82.412,"X",23.363,43.296
31.096,52,77,67.093,56.92,32.018,"Class5","O",31.058,70.307,"V",27.388,37.465
86.58,51,77,34.396,88.824,40.444,"Class1","B",40.034,76.978,"J",61.814,15.035
87.096,70,62,37.405,36.296,43.31,"Class1","G",42.767,89.966,"J",65.876,92.047
72.532,84,57,35.59,63.921,59.57,"Class4","N",55.043,58.483,"C",11.14,53.798
81.805,79,89,39.22,55.544,44.96,"Class1","B",39.768,51.867,"J",65.146,59.175
71.851,51,77,31.607,49.618,28.063,"Class3","H",84.781,62.323,"G",2.479,102.108
102.515,69,67,-12.731,63.625,2.801,"Class2","P",97.455,65.228,"O",62.671,66.6
-9.339,41,81,37.69,65.504,1.082,"Class2","T",99.573,64.159,"V",50.932,77.271
81.576,82,67,39.955,16.599,74.689,"Class1","L",43.563,43.202,"N",65.896,68.103
106.928,89,59,37.257,39.339,40.201,"Class4","S",49.815,43.078,"M",5.254,53.884
59.752,84,90,40.374,39.095,63.209,"Class1","W",39.605,45.595,"J",62.27,34.848
57.95,38,91,62.509,55.302,12.706,"Class2","U",NA,65.902,"W",65.556,78.035
57.171,49,92,38.971,60.565,13.924,"Class2","A",98.83,70.161,"M",65.882,69.217
25.13,57,76,84.2,55.383,7.932,"Class5","R",30.921,89.792,"Y",28.542,53.969
79.909,46,89,42.945,93.53,54.402,"Class1","Q",39.494,77.029,"Y",66.397,7.823
70.989,46,41,20.83,46.417,20.522,"Class3","Q",60.27,57.445,"Y",28.303,55.017
39.368,69,68,72.413,60.648,15.032,"Class2","A",96.084,62.261,"O",54.118,69.322
66.643,46,81,17.035,45.096,32.311,"Class3","V",80.993,64.826,"Y",28.306,40.226
67.405,54,88,16.603,NA,29.437,"Class3","E",69.766,53.434,"J",10.873,71.188
63.912,71,75,42.601,1.463,59.177,"Class1","G",42.04,77.542,"J",64.576,71.636
69.197,55,57,17.073,71.824,30.219,"Class3","H",70.106,54.961,"W",10.293,61.848
22.093,57,78,52.711,67.257,5.636,"Class2","T",97.919,65.762,"O",71.743,61.376
30.274,49,47,72.332,62.423,7.744,"Class5","G",44.302,94.162,"Y",30.746,44.615
71.303,85,61,34.855,63.805,52.148,"Class4","I",52.996,79.002,"T",8.037,56.368
31.479,37,67,74.868,60.757,3.898,"Class5","R",46.278,78.423,"B",24.307,40.987
69.585,57,62,47.488,NA,14.721,"Class2","T",NA,74.145,"M",49.076,63.481
71.077,46,78,16.128,73.276,26.049,"Class3","H",68.317,61.09,"J",22.2,83.812
23.891,37,34,63.957,56.252,32.995,"Class5","U",NA,76.73,"B",17.742,64.588
24.667,43,69,77.07,59.183,11.917,"Class5","F",45.032,87.721,"Y",31.341,46.807
60.812,47,60,23.099,57.228,57.158,"Class3","E",74.608,57.835,"J",1.489,31.031
67.744,51,29,18.802,72.069,35.179,"Class3","W",66.367,59.567,"J",13.422,39.706
26.309,53,59,80.185,60.914,7.927,"Class5","F",40.097,91.392,"Y",29.694,63.091
64.181,51,39,30.128,85.307,27.804,"Class3","E",76.808,68.22,"W",20.36,53.149
27.272,57,46,77.652,60.723,55.99,"Class5","G",44.301,90.744,"X",31.301,34.7
25.411,40,35,81.038,60.45,37.598,"Class5","U",23.107,82.631,"V",31.622,64.357
69.75,31,81,12.451,48.337,2.051,"Class2","P",98.027,68.432,"V",67.895,70.021
28.538,59,37,63.604,62.094,54.182,"Class5","O",31.055,92.808,"Y",19.046,36.612
68.864,46,38,17.868,85.766,56.487,"Class3","V",70.972,64.205,"J",29.737,82.622
24.898,38,67,84.984,55.616,56.305,"Class5","U",36.509,84.809,"X",28.242,60.302
65.537,46,33,26.96,65.906,16.574,"Class3","V",59.942,62.797,"W",5.354,58.887
61.779,77,40,34.326,72.159,46.107,"Class4","I",49.871,89.314,"K",14.781,57.218
24.509,38,90,91.807,54.199,2.483,"Class5","G",33.097,77.611,"V",17.949,59.61
29.134,42,64,68.711,62.193,35.326,"Class5","U",27.547,70.443,"Y",24.145,39.212
31.945,88,59,35.397,37.854,52.34,"Class4","S",55.645,40.406,"J",14.88,62.323
64.205,82,58,37.309,48.407,42.295,"Class4","I",59.166,51.792,"C",0.608,54.598
28.528,47,55,87.873,61.342,2.26,"Class5","O",26.902,71.475,"B",25.193,47.823
30.793,48,72,87.441,59.399,3.503,"Class5","U",25.51,76.067,"B",26.035,72.383
60.25,56,82,38.91,-8.47,58.154,"Class1","G",43.907,58.328,"G",63.523,91.382
29.693,56,60,87.514,58.286,41.058,"Class5","O",24.33,78.029,"X",28.909,29.62
41.254,32,60,85.034,62.289,12.064,"Class2","P",96.32,65.79,"O",60.901,73.636
29.57,54,43,96.641,61.307,43.2,"Class5","F",20.041,83.941,"Y",26.64,68.4
66.161,88,47,35.762,61.471,50.48,"Class4","N",58.192,99.754,"J",2.213,59.077
67.179,52,32,20.969,78.067,49.978,"Class3","W",58.428,60.39,"Y",8.05,40.725
68.647,55,36,5.679,NA,15.281,"Class3","H",65.785,66.022,"K",6.514,32.87
69.532,53,66,9.446,63.991,53.401,"Class3","E",76.352,67.036,"J",29.628,50.269
84.197,80,88,36.753,58.929,69.318,"Class1","W",39.996,44.166,"N",66.292,23.437
72.467,46,73,27.638,54.334,31.276,"Class3","H",69.575,55.331,"G",8.082,94.506
79.687,77,72,35.098,NA,56.662,"Class4","B",52.341,79.843,"K",7.966,54.328
-10.406,51,68,8.106,70.943,9.005,"Class2","U",NA,63.904,"O",74.145,67.51
66.817,54,53,9.662,69.942,41.944,"Class3","E",73.222,68.707,"J",30.494,74.302
29.771,36,47,67.849,57.213,11.44,"Class5","F",28.33,71.861,"V",24.197,41.205
25.857,38,76,79.697,62.462,35.871,"Class5","G",24.058,79.035,"B",26.455,52.8
16.616,64,73,85.518,61.606,11.219,"Class2","P",99.22,72.806,"O",53.312,69.954
106.812,81,43,34.241,49.068,52.036,"Class4","N",55.967,87.198,"K",3.502,57.223
87.111,89,82,40.764,NA,40.16,"Class1","Q",43.344,84.432,"Y",66.282,75.853
27.094,47,51,65.953,63.043,3.966,"Class5","R",28.25,87.055,"V",29.74,47.645
67.774,46,36,12.289,68.169,38.686,"Class3","V",77.042,58.508,"W",9.444,52.595
68.095,79,72,34.093,62.461,68.672,"Class4","I",55.968,18.434,"C",8.827,55.12
23.764,52,71,89.594,61.656,6.154,"Class5","G",46.435,77.821,"V",26.148,68.933
74.139,85,71,33.956,58.3,47.873,"Class4","O",53.905,97.331,"C",9.826,60.47
56.803,70,69,39.408,87.052,43.6,"Class1","B",43.553,65.739,"N",62.749,21.4
71.479,47,57,12.085,74.104,29.202,"Class3","Q",70.87,64.282,"K",29.824,53.533
57.339,89,41,35.474,50.126,41.99,"Class4","B",50.892,92.012,"T",3.786,55.621
22.982,55,72,88.985,62.024,33.195,"Class5","F",44.373,86.435,"V",25.32,50.773
70.783,81,62,36.462,62.393,48.446,"Class4","S",53.283,58.719,"C",9.971,58.011
65.511,49,75,18.239,40.799,23.038,"Class3","V",64.227,67.312,"Y",21.679,88.618
74.33,93,71,36.908,46.235,59.227,"Class4","B",53.018,70.149,"K",5.042,57.386
69.401,49,87,19.506,49.791,15.026,"Class3","H",67.012,60.633,"W",5.122,71.47
68.335,87,40,34.757,53.443,53.036,"Class4","I",50.152,86.528,"K",4.207,63.55
14.183,48,68,99.094,57.697,12.617,"Class2","P",93.251,61.479,"O",55.429,72.653
21.625,40,78,75.121,61.83,37.415,"Class5","R",35.038,69.619,"V",17.259,57.324
22.289,52,43,80.465,58.565,29.562,"Class5","R",NA,89.142,"V",22.231,50.72
25.487,57,68,101.627,62.312,1.794,"Class5","U",37.084,91.997,"K",19.217,55.18
99.695,85,56,35.07,63.542,50.148,"Class4","O",56.146,36.393,"T",7.395,54.757
72.421,74,93,35.296,24.061,60.266,"Class1","L",43.034,76.475,"G",62.306,73.533
66.514,52,88,22.808,72.123,24.42,"Class3","E",64.215,62.518,"K",19.811,70.225
74.423,43,90,39.337,33.92,52.172,"Class1","W",42.301,82.249,"G",62.758,13.681
75.136,63,83,36.508,36.373,35.033,"Class1","Q",40.45,47.966,"G",64.9,64.648
22.066,43,47,104.077,55.711,54.926,"Class5","G",30.987,72.358,"X",29.15,70.276
75.759,83,51,35.259,NA,53.194,"Class4","N",52.086,64.02,"T",5.204,62.409
88.213,80,63,34.714,22.165,52.403,"Class1","Q",40.004,52.239,"N",67.328,22.837
44.614,53,79,65.829,62.98,3.023,"Class2","A",NA,73.576,"O",61.195,70.663
24.7,40,51,79.042,58.695,39.052,"Class5","U",37.032,90.678,"Y",29.552,55.012
34.779,65,88,90.215,64.428,6.924,"Class2","T",93.298,63.083,"O",65.516,71.228
24.067,56,45,90.808,60.642,34.527,"Class5","G",47.612,69.209,"X",25.015,41.868
38.314,67,66,62.734,55.444,7.82,"Class2","A",93.839,69.354,"Z",62.192,74.779
86.48,72,89,34.96,23.382,71.069,"Class1","L",41.462,51.319,"N",66.088,76.914
72.561,78,41,35.278,37.749,64.078,"Class4","B",58.798,99.328,"C",8.615,61.619
69.996,80,89,40.056,26.937,62.644,"Class1","B",39.555,45.33,"J",62.566,54.72
29.83,36,91,89.628,55.517,2.599,"Class2","A",99.679,70.669,"V",65.171,77.937
60.735,78,53,33.839,56.64,64.4,"Class4","B",55.314,37.57,"K",5.03,54.736
67.569,46,74,23.868,74.183,42.682,"Class3","Q",58.425,60.52,"K",7.988,81.944
36.456,46,89,54.534,52.165,10.407,"Class2","P",99.31,73.482,"W",74.503,72.795
40.254,80,40,36.735,71.741,60.958,"Class4","S",55.867,95.535,"J",1.636,53.586
67.48,55,33,23.083,65.483,20.849,"Class3","H",65.059,60.288,"Y",14.866,56.679
83.238,79,76,36.895,60.037,45.651,"Class4","B",53.695,40.301,"K",0.982,59.011
25.136,49,82,94.8,65.527,3.253,"Class5","F",44.725,83.513,"K",18.137,68.799
65.965,49,62,26.398,49.079,39.498,"Class3","E",66.7,56.511,"W",17.653,85.213
48.162,80,74,34.659,53.591,53.772,"Class4","B",49.938,98.001,"J",9.711,55.797
59.03,43,71,21.843,65.422,27.927,"Class2","U",97.903,60.842,"O",66.762,70.003
47.851,48,86,10.568,55.021,18.06,"Class2","P",94.016,63.801,"M",52.049,82.941
82.617,87,59,35.411,55.334,50.866,"Class4","B",52.712,11.312,"K",12.004,52.174
63.221,55,63,26.646,54.355,60.739,"Class3","W",75.157,64.261,"Y",18.285,65.508
71.111,48,34,30.97,88.346,39.15,"Class3","W",65.998,65.016,"K",6.171,79.629
65.382,44,83,69.562,49.996,0.814,"Class2","X",93.664,60.7,"W",64.273,76.998
64.058,74,90,40.461,38.098,45.95,"Class1","W",40.26,46.816,"H",66.8,82.53
11.867,72,90,52.173,62.041,26.097,"Class2","A",94.656,64.649,"Z",71.266,77.714
68.085,46,26,18.563,45.68,42.244,"Class3","Q",84.295,64.65,"Y",17.655,102.592
63.271,92,34,35.806,66.596,58.429,"Class4","B",51.592,65.346,"T",11.182,58.094
67.802,50,65,15.627,36.621,35.378,"Class3","V",78.365,61.606,"J",18.167,65.128
69.001,74,90,39.234,30.602,42.996,"Class1","B",41.484,59.917,"N",67.98,81.837
64.724,83,57,35.676,45.82,42.264,"Class4","I",58.129,40.607,"J",3.468,59.115
76.364,85,69,35.365,15.663,46.717,"Class1","L",41.372,77.491,"Y",63.002,69.002
69.872,55,51,20.842,46.405,54.909,"Class3","W",56.731,58.341,"G",29.21,57.652
21.434,43,67,76.473,57.01,47.126,"Class5","U",21.295,72.068,"B",28.034,51.512
61.452,63,69,41.377,54.173,5.581,"Class2","A",98.525,66.3,"M",70.601,67.56
66.755,51,28,16.453,61.009,55.003,"Class3","W",NA,55.032,"J",15.871,93.201
64.065,47,58,29.859,50.023,20.718,"Class3","V",86.225,61.132,"J",1.394,78.315
105.105,93,65,37.682,70.39,63.96,"Class4","N",58.346,23.435,"M",1.925,59.656
91.171,69,93,38.176,54.32,66.356,"Class1","W",42.141,74.127,"N",61.651,57.317
