"MTH1","Output15","LTM2","RWU3","CRM4","BRK5","APS6","WRZ7","PTG8","XFR9","TLJ10"
13,"Class2",46.221,83.797,"I",75.539,91.798,63.349,"X",29.523,33.508
21,"Class2",46.528,67.591,"I",68.471,96.08,87.21,"X",38.946,32.996
68,"Class1",52.592,55.939,"O",36.074,38.118,70.141,"S",31.185,23.233
52,"Class3",31.407,13.613,"W",26.407,77.813,67.91,"X",61.081,73.437
52,"Class3",37.107,27.36,"J",26.346,53.299,77.393,"R",12.162,66.813
68,"Class1",58.265,80.012,"Y",41.742,21.147,78.757,"W",36.388,35.574
60,"Class2",44.283,84.445,"K",69.512,92.599,76.417,"W",30.86,36.783
16,"Class2",47.673,86.078,"E",72.344,76.113,91.575,"X",33.795,31.656
56,"Class3",33.611,15.973,"J",26.641,80.383,72.236,"W",NA,43.974
69,"Class1",NA,21.204,"O",51.843,60.665,66.819,"I",35.28,43.432
82,"Class1",72.751,49.776,"N",34.072,59.284,71.634,"S",35.264,25.758
83,"Class1",75.551,42.321,"O",40.193,17.256,78.618,"I",35.747,28.715
16,"Class2",44.079,81.164,"O",70.555,95.66,62.817,"V",45.238,35.238
78,"Class1",46.657,45.863,"O",35.253,43.091,67.424,"W",38.24,43.96
51,"Class3",36.989,20.037,"P",26.24,87.451,50.699,"N",56.254,32.673
36,"Class2",47.434,92.419,"O",68.697,88.993,71.698,"X",47.622,32.981
61,"Class3",34.261,17.114,"P",26.054,49.772,45.135,"W",32.265,70.264
34,"Class2",NA,82.487,"E",70.267,76.651,54.063,"V",29.78,29.583
68,"Class1",78.403,82.716,"N",41.394,21.443,88.39,"L",37.126,33.02
85,"Class1",62.797,19.087,"V",46.823,29.269,74.349,"L",31.371,33.107
82,"Class1",74.089,52.529,"U",39.92,69.684,70.6,"S",37.579,30.922
69,"Class2",45.112,85.929,"I",71.78,93.518,61.653,"W",40.919,30.099
64,"Class3",30.595,20.613,"W",26.474,60.228,70.578,"X",31.458,44.668
68,"Class2",48.45,84.998,"I",77.979,73.856,51.426,"V",37.699,35.614
48,"Class2",45.348,94.305,"O",73.046,78.007,51.875,"P",36.143,31.749
13,"Class2",46.437,80.87,"E",85.25,97.058,91.547,"I",44.168,38.913
83,"Class1",55.807,56.316,"N",45.239,43.786,84.547,"W",33.73,28.953
50,"Class2",46.808,77.21,"I",72.731,94.253,92.716,"I",26.864,28.331
66,"Class3",33.75,26.01,"P",26.904,35.787,55.262,"W",31.378,56.972
60,"Class3",35.071,18.822,"J",26.739,78.844,50.227,"X",NA,54.176
70,"Class1",72.102,84.538,"V",36.179,23.383,70.648,"I",34.505,22.331
52,"Class3",32.293,20.335,"C",26.778,62.266,77.445,"N",39.993,51.011
69,"Class1",88.087,24.632,"U",40.43,42.09,81.262,"W",32.148,37.994
32,"Class2",45.571,81.602,"E",68.658,89.638,59.605,"X",34.345,34.333
72,"Class3",34.258,23.912,"P",25.794,76.143,76.242,"R",62.419,53.341
85,"Class1",NA,70.937,"O",34.744,51.093,77.723,"S",32.87,33.118
70,"Class1",50.283,52.226,"V",47.827,35.304,87.117,"I",32.831,35.202
81,"Class1",60.412,51.729,"Y",37.581,22.259,87.169,"S",31.45,31.246
52,"Class3",32.106,8.795,"J",26.321,60.466,58.971,"R",9.612,48.542
23,"Class2",NA,81.895,"K",72.676,94.88,81.571,"V",NA,28.261
51,"Class2",45.457,91.743,"K",77.233,80.765,77.896,"I",50.237,23.66
72,"Class1",91.368,43.308,"V",41.141,65.708,82.666,"L",36.785,31.943
65,"Class3",31.376,17.009,"P",26.846,57.07,47.295,"W",74.023,24.814
74,"Class1",56.937,50.105,"N",36.887,51.957,88.498,"V",31.048,35.789
76,"Class1",73.151,88.043,"V",48.262,53.723,85.152,"L",34.272,32.237
15,"Class2",47.779,84.091,"I",66.356,87.379,51.938,"I",46.148,36.407
59,"Class3",38.067,17.805,"P",26.618,60.917,70.422,"X",12.841,30.279
13,"Class2",43.39,85.006,"I",70.969,70.342,51.097,"W",39.75,37.627
60,"Class3",33.557,21.771,"P",26.153,25.102,74.259,"R",57.602,57.562
72,"Class3",37.019,19.345,"W",26.173,54.684,70.68,"W",25.215,49.515
53,"Class3",30.587,15.187,"P",26.459,56.207,45.184,"R",6.583,77.355
28,"Class2",45.327,78.799,"O",74.037,73.089,88.827,"P",34.074,33.083
84,"Class1",69.906,21.049,"O",43.84,41,87.093,"W",38.298,30.693
60,"Class3",29.458,24.244,"I",26.58,19.37,52.302,"Y",33.001,44.37
77,"Class1",NA,57.194,"U",40.545,20.353,86.685,"W",31.21,30.803
19,"Class2",47.678,78.315,"I",67.145,89.829,90.647,"I",36.357,34.145
76,"Class1",56.415,29.679,"U",30.518,37.467,82.441,"W",31.517,39.969
28,"Class2",44.805,73.272,"E",64.717,74.579,63.539,"V",41.747,36.931
79,"Class1",63.457,96.396,"V",43.04,53.727,82.949,"L",35.222,27.815
64,"Class3",29.582,24.893,"C",26.124,18.772,53.658,"R",49.754,45.085
55,"Class2",46.129,80.751,"I",77.273,77.786,95.296,"V",51.459,29.711
74,"Class1",77.931,62.922,"N",44.8,45.436,70.592,"I",36.054,21.203
74,"Class1",73.985,50.489,"O",42.516,57.027,81.907,"W",32.753,20.639
71,"Class3",32.841,23.56,"C",26.439,79.234,77.111,"X",32.02,63.967
35,"Class2",45.037,80.994,"K",66.424,77.898,48.702,"X",46.098,31.608
73,"Class1",59.974,65.714,"N",45.98,29.045,76.896,"W",33.655,22.817
78,"Class1",53.182,79.126,"O",45.017,50.902,78.811,"V",36.504,32.58
29,"Class2",48.444,69.235,"O",67.582,73.056,54.411,"I",51.139,28.081
75,"Class1",84.423,8.265,"O",43.836,65.946,85.879,"W",32.548,29.702
51,"Class3",35.272,14.333,"W",26.009,87.001,60.559,"X",30.406,45.887
74,"Class1",60.435,48.643,"Y",42.257,30.704,67.112,"I",35.594,22.839
74,"Class1",61.158,49.108,"U",47.911,65.636,78.413,"S",31.939,33.002
84,"Class1",76.019,64.831,"O",38.162,54.084,78.868,"S",31.438,26.618
62,"Class3",36.054,12.559,"I",26.709,63.257,73.464,"Y",16.984,61.132
60,"Class2",45.604,98.382,"K",74.691,70.977,91.656,"X",29.373,28.552
81,"Class1",81.007,17.827,"O",35.59,56.031,73.47,"L",38.657,19.779
73,"Class1",89.398,53.048,"V",37.369,30.226,86.497,"S",38.464,30.668
70,"Class3",32.048,21.955,"P",26.196,53.315,56.553,"X",13.964,36.653
79,"Class1",72.477,74.459,"V",48.42,48,68.83,"L",32.064,29.423
68,"Class3",35.029,26.282,"W",26.174,85.011,50.737,"X",3.937,21.943
83,"Class1",79.809,58.68,"V",46.229,43.028,65.282,"I",32.526,47.661
66,"Class3",32.451,23.111,"P",26.38,77.148,59.347,"Y",62.987,69.672
81,"Class1",58.784,87.336,"Y",35.896,21.87,72.853,"L",36.393,41.579
66,"Class2",49.648,83.19,"K",74.438,82.218,59.657,"V",43.305,38.508
15,"Class2",43.575,81.162,"C",73.638,94.882,91.937,"I",NA,32.252
73,"Class3",33.689,18.167,"C",26.046,20.129,51.057,"N",30.323,68.513
51,"Class2",46.582,90.938,"K",72.736,80.348,83.417,"V",43.006,35.251
81,"Class1",83.765,21.233,"V",44.829,25.868,89.069,"S",37.066,33.735
81,"Class1",53.397,67.831,"V",42.919,27.335,73.226,"L",32.933,38.049
64,"Class2",46.282,72.831,"I",73.236,76.89,96.686,"P",51.909,34.094
54,"Class3",33.574,19.245,"I",26.778,47.053,75.612,"Y",5.538,48.977
26,"Class2",45.966,88.134,"I",78.702,71.347,75.48,"X",45.809,33.409
63,"Class3",34.77,22.427,"W",26.349,28.113,48.849,"N",26.454,77.814
68,"Class3",38.192,18.81,"P",26.531,75.948,52.241,"R",41.933,41.102
48,"Class3",30.285,20.785,"P",26.8,16.566,63.125,"Y",27.058,35.756
52,"Class3",29.476,21.53,"P",26.578,64.436,64.354,"R",23.275,93.464
81,"Class1",71.251,38.705,"N",41.788,22.747,62.854,"L",36.384,21.959
58,"Class3",34.953,12.343,"J",26.049,79.992,74.362,"X",48.206,75.656
60,"Class3",34.925,22.34,"P",26.496,45.2,72.436,"X",35.57,40.247
66,"Class3",35.072,19.639,"W",26.309,88.307,52.984,"R",35.866,51.594
48,"Class2",44.903,81.489,"K",73.48,94.892,92.204,"X",25.329,28.588
70,"Class1",51.283,60.377,"O",45.572,59.184,72.865,"L",37.462,28.952
48,"Class3",33.552,24.967,"I",26.755,83.615,64.85,"Y",21.503,33.941
69,"Class3",34.084,20.908,"I",26.601,19.911,64.426,"W",NA,50.554
53,"Class3",30.49,28.78,"C",26.424,73.392,64.617,"X",52.461,44.792
58,"Class3",32.62,17.526,"I",26.462,82.472,78.516,"X",11.104,80.24
36,"Class2",46.86,87.811,"K",70.976,72.267,76.029,"W",48.205,28.524
65,"Class3",29.505,25.83,"C",26.597,80.668,48.173,"X",17.1,69.158
83,"Class1",72.483,27.826,"Y",38.135,63.326,87.695,"W",35.64,28.04
39,"Class2",48.064,96,"C",74.519,79.52,54.757,"P",NA,28.653
52,"Class3",31.791,17.909,"J",26.471,15.625,47.519,"N",63.058,49.801
81,"Class1",72.205,61.083,"O",37.906,48.767,69.198,"L",32.818,32.895
46,"Class2",43.956,83.038,"E",73.436,80.224,53.446,"W",45.703,29.166
70,"Class3",32.591,20.948,"P",26.834,48.617,69.435,"N",16.754,63.044
68,"Class1",NA,45.275,"N",36.714,21.381,63.818,"V",NA,24.429
56,"Class3",33.152,25.894,"I",26.326,27.416,72.428,"R",56.211,37.027
14,"Class2",46.878,79.354,"O",73.609,80.051,89.765,"V",34.246,33.435
16,"Class2",45.981,82.168,"K",70.212,81.659,61.671,"P",26.17,30.217
29,"Class2",46.859,86.166,"O",73.07,82.747,64.436,"P",NA,38.91
13,"Class2",45.783,91.706,"I",72.644,73.8,55.068,"I",25.168,31.633
64,"Class2",45.234,82.178,"K",79.421,90.257,82.651,"X",45.895,30.366
58,"Class3",31.405,22.16,"W",26.733,45.161,60.8,"N",71.561,29.815
82,"Class1",73.292,53.36,"U",36.479,21.738,78.902,"L",32.278,43.68
52,"Class3",36.791,15.393,"P",26.206,66.987,58.793,"R",55.383,21.624
22,"Class2",42.664,91.071,"I",71.055,82.909,81.438,"V",25.654,33.773
31,"Class2",46.439,84.152,"K",72.928,90.7,53.696,"W",46.629,33.185
29,"Class2",47.442,88.948,"C",73.579,97.191,74.242,"X",42.601,33.551
49,"Class2",46.657,92.073,"I",80.99,75.936,71.629,"P",55.227,35.342
61,"Class3",36.939,14.278,"P",26.458,73.747,46.496,"X",50.738,50.336
61,"Class2",46.414,89.859,"K",74.427,95.989,55.551,"P",26.987,31.49
58,"Class2",46.588,86.65,"E",67.046,84.295,53.426,"X",49.921,37.437
85,"Class1",86.981,32.572,"Y",43.414,69.899,82.921,"V",35.389,21.775
55,"Class3",36.381,17.751,"C",26.085,25.141,78.671,"R",23.403,59.288
61,"Class2",47.286,85.979,"K",74.019,70.42,72.653,"V",56.149,31.496
41,"Class2",43.69,101.863,"O",68.225,94.682,56.494,"X",33.106,31.547
14,"Class2",48.472,93.215,"K",78.76,74.169,73.984,"W",46.223,31.48
57,"Class3",30.467,20.248,"I",26.834,83.75,63.396,"N",44.644,78.737
37,"Class2",46.964,83.543,"E",65.602,91.42,62.02,"W",53.564,24.349
84,"Class1",79.181,73.466,"U",41.561,18.673,80.024,"W",34.964,35.979
13,"Class2",43.23,83.12,"K",72.359,81.809,89.472,"W",37.551,32.577
70,"Class2",44.975,83.614,"I",73.329,78.298,80.32,"V",31.115,33.694
19,"Class2",47.028,77.025,"C",76.442,97.324,79.962,"P",36.717,34.869
21,"Class2",48.949,82.419,"O",68.521,71.946,87.778,"W",30.832,39.609
85,"Class1",66.912,38.784,"N",42.919,50.392,83.133,"L",38.305,31.171
81,"Class1",55.95,15.611,"N",29.37,31.15,69.48,"V",31.946,38.426
60,"Class3",33.075,14.119,"W",26.487,66.526,72.606,"X",65.076,41.043
56,"Class3",30.133,14.009,"P",26.583,17.986,71.839,"N",23.251,73.24
61,"Class3",33.716,19.783,"C",26.56,59.002,52.324,"X",43.704,82.006
22,"Class2",46.294,88.217,"I",72.421,97.868,97.619,"V",43.497,34.035
62,"Class3",36.504,16.183,"J",26.526,92.73,64.627,"N",24.084,61.657
53,"Class3",35.425,25.069,"P",26.949,75.393,72.86,"N",49.806,58.277
85,"Class1",50.694,80.263,"Y",39.464,54.041,79.928,"W",33.172,32.689
55,"Class2",48.629,81.937,"K",69.586,77.745,63.019,"P",34.437,30.324
43,"Class2",44.694,80.608,"I",74.305,79.976,51.941,"W",26.888,37.597
37,"Class2",46.828,77.049,"E",74.804,71.403,72.585,"P",38.644,36.623
70,"Class1",77.018,0.302,"Y",48.498,53.673,65.601,"L",31.451,34.614
69,"Class3",32.23,19.728,"W",25.901,76.98,70.986,"Y",67.133,56.137
69,"Class1",112.027,64.091,"V",35.327,64.943,89.026,"V",31.614,40.634
75,"Class1",73.713,37.174,"N",39.296,51.851,79.909,"L",NA,39.31
35,"Class2",45.599,99.977,"C",74.482,94.428,62.051,"W",27.352,29.312
67,"Class1",56.425,58.205,"U",37.574,26.649,74.388,"W",35.706,36.581
55,"Class3",NA,27.474,"C",26.935,56.255,61.581,"W",33.934,39.079
16,"Class2",46.092,87.834,"C",79.932,81.698,78.046,"W",50.549,33.786
79,"Class1",63.902,41.608,"N",42.567,52.769,82.252,"L",38.106,24.151
74,"Class1",75.12,43.694,"O",41.168,23.868,74.766,"V",34.817,27.286
58,"Class2",44.35,75.161,"I",73.847,85.387,49.808,"I",41.202,28.953
52,"Class3",36.182,21.219,"W",26.411,47.335,55.379,"N",33.414,78.026
51,"Class3",NA,12.824,"C",26.301,36.628,48.682,"N",37.921,46.444
47,"Class2",46.318,88.855,"C",70.188,75.081,93.588,"X",57.366,36.321
81,"Class1",74.738,31.4,"N",42.449,22.016,74.62,"S",32.587,16.599
81,"Class1",89.212,56.103,"V",43.979,41.928,80.018,"I",35.382,26.957
68,"Class1",75.261,61.366,"V",42.43,68.574,70.316,"L",31.508,29.018
78,"Class1",57.737,124.665,"V",35.154,54.958,63.246,"W",34.566,33.494
71,"Class2",46.788,73.999,"O",71.018,79.353,89.296,"V",46.445,31.197
68,"Class1",68.483,52.915,"N",40.344,41.798,81.312,"W",36.884,29.634
85,"Class1",100.224,53.011,"N",39.897,23.172,68.871,"S",35.435,27.941
69,"Class1",50.691,49.675,"U",33.994,22.543,69.309,"S",34.808,23.298
74,"Class1",58.584,51.198,"U",49.501,45.265,73.728,"V",38.37,22.468
25,"Class2",45.374,81.242,"E",63.401,71.41,75.356,"V",45.15,34.48
36,"Class2",45.152,79.876,"O",76.83,91.992,97.546,"I",34.091,31.657
65,"Class3",31.83,17.906,"P",26.094,44.548,63.141,"R",22.485,73.517
60,"Class3",33.32,26.038,"W",26.788,60.951,51.668,"W",12.36,79.324
75,"Class1",73.921,12.083,"Y",32.869,54.667,87.329,"W",33.071,27.413
40,"Class2",44.867,86.39,"K",82.259,95.011,86.42,"V",42.788,27.072
59,"Class3",36.323,23.838,"J",26.336,53.577,51.144,"Y",34.459,18.465
73,"Class3",34.446,25.406,"C",26.552,51.692,63.584,"N",NA,59.992
30,"Class2",45.525,90.752,"O",74.714,70.184,95.447,"I",56.918,31.338
55,"Class3",31.328,18.343,"C",26.699,42.098,69.871,"Y",31.502,59.723
78,"Class1",54.167,66.975,"N",32.408,43.65,83.003,"S",31.881,21.132
79,"Class1",65.636,1.025,"U",40.055,63.951,71.179,"S",32.907,31.882
63,"Class3",34.842,25.314,"W",26.998,77.15,64.06,"X",46.352,70.402
49,"Class3",32.291,21.976,"J",26.189,40.535,75.872,"N",51.961,55.119
81,"Class1",73.779,20.21,"Y",35.711,58.06,82.803,"L",35.051,33.744
63,"Class3",34.982,23.136,"P",26.338,52.732,75.556,"R",11.487,56.082
35,"Class2",45.496,79.134,"K",71.513,72.341,86.984,"P",47.228,33.09
33,"Class2",48.041,83.522,"E",83.702,80.805,70.045,"P",45.183,33.403
61,"Class3",37.87,15.242,"P",26.824,79.127,54.144,"Y",19.163,62.982
48,"Class3",35.988,24.99,"C",25.548,85.652,76.137,"W",59.299,40.747
75,"Class1",63.75,74.773,"N",47.408,59.749,62.578,"S",38.636,31.533
78,"Class1",63.583,32.145,"N",43.6,46.55,64.268,"I",32.585,36.92
81,"Class1",77.244,33.302,"Y",38.062,28.352,77.884,"L",33.395,24.8
49,"Class3",30.298,17.391,"C",26.224,46.921,72.442,"N",43.921,45.732
73,"Class1",59.685,60.684,"U",36.296,31.234,69.77,"L",33.723,22.445
48,"Class3",35.525,16.461,"I",26.314,69.722,48.016,"R",71.738,37.647
65,"Class2",42.532,76.854,"E",73.686,73.992,92.085,"W",37.62,33.281
80,"Class1",63.833,57.972,"U",45.553,67.393,73.232,"L",38.945,27.073
61,"Class3",36.609,20.834,"J",27.462,41.081,76.205,"N",11.705,19.15
77,"Class1",53.413,46.051,"N",40.716,28.085,87.298,"S",38.245,27.755
34,"Class2",46.848,96.887,"I",67.128,75.141,92.362,"P",46.955,24.836
53,"Class2",45.593,81.086,"C",70.112,71.375,65.711,"I",37.902,32.303
43,"Class2",46.276,83.188,"O",72.381,88.847,95.669,"W",36.756,31.407
82,"Class1",61.296,83.521,"O",29.42,31.374,74.757,"V",38.779,34.167
36,"Class2",46.929,92.225,"K",73.983,93.181,64.337,"V",47.026,39.938
70,"Class1",79.254,35.622,"N",49.704,44.801,86.924,"I",35.72,31.821
68,"Class3",30.723,27.527,"J",26.364,69.497,51.826,"N",17.865,53.22
51,"Class3",31.506,21.35,"W",26.36,89.466,58.317,"Y",11.868,64.158
78,"Class1",67.805,37.333,"O",39.797,49.324,66.413,"V",36.844,31.759
13,"Class2",45.548,96.551,"C",74.529,93.065,53.461,"W",50.411,32.949
62,"Class3",31.508,18.257,"C",26.475,83.302,56.504,"Y",27.216,24.972
45,"Class2",45.871,88.366,"K",71.601,75.375,85.209,"I",25.288,31.785
67,"Class1",67.308,66.236,"O",33.191,51.785,85.854,"S",34.105,25.671
70,"Class1",91.333,26.768,"U",43.142,39.707,62.182,"I",31.261,24.828
68,"Class3",32.669,23.935,"J",27.169,47.527,59.102,"N",6.882,60.736
56,"Class3",32.054,23.491,"W",25.783,71.372,72.451,"Y",19.448,84.497
73,"Class1",85.134,23.777,"U",41.29,55.061,76.96,"S",32.204,35.043
70,"Class1",92.574,77.78,"U",47.318,21.871,62.198,"L",37.566,12.717
17,"Class2",45.594,94.209,"K",75.977,84.294,52.89,"X",44.658,33.789
38,"Class2",46.967,78.7,"K",67.642,84.996,67.913,"P",57.484,34.669
23,"Class2",45.152,83.635,"C",71.935,74.214,76.654,"I",35.309,35.943
70,"Class3",32.726,9.421,"P",26.709,88.33,77.996,"N",66.602,32.385
73,"Class3",34.231,18.521,"I",26.113,21.478,62.926,"X",15.289,36.348
48,"Class3",35.013,26.463,"W",26.604,31.611,64.88,"R",28.234,56.239
49,"Class3",26.643,19.672,"P",26.819,84.61,50.914,"X",8.861,46.625
23,"Class2",45.389,83.399,"K",65.827,80.409,94.045,"W",35.984,27.938
59,"Class2",46.119,82.585,"E",71.268,95.425,60.438,"P",26.968,37.69
54,"Class2",47.227,79.192,"E",70.951,71.477,77.694,"I",52.409,33.689
75,"Class1",48.061,62.963,"N",36.353,36.364,65.923,"I",34.879,21.292
75,"Class1",83.469,63.187,"Y",38.158,43.646,81.82,"W",34.351,24.813
67,"Class1",NA,37.189,"U",29.858,17.267,68.072,"W",33.709,28.559
62,"Class3",32.894,23.286,"P",26.359,23.52,72.412,"N",61.8,58.05
38,"Class2",46.158,74.745,"I",73.148,82.344,52.894,"W",54.615,27.271
60,"Class3",33.059,26.231,"I",26.407,43.91,63.68,"N",55.836,50.954
85,"Class1",60.858,75.228,"U",36.426,35.205,77.172,"V",33.511,34.02
60,"Class3",35.697,30.825,"W",26.868,54.152,56.911,"Y",67.398,52.723
55,"Class2",44.371,82.133,"K",72.658,74.563,50.242,"X",56.536,27.966
83,"Class1",NA,44.632,"U",26.96,67.032,74.528,"W",37.928,20.895
77,"Class1",108.28,20.721,"N",41.852,66.564,70.631,"V",35.219,40.098
80,"Class1",49.851,18.06,"Y",45.264,53.804,84.349,"L",37.512,34.479
68,"Class1",NA,9.564,"Y",44.952,50.582,89.367,"S",31.125,22.233
49,"Class2",48.033,89.709,"E",72.351,85.719,64.833,"X",34.336,35.798
35,"Class2",NA,101.219,"E",72.746,74.746,65.665,"I",46.636,21.839
80,"Class1",NA,79.433,"V",43.542,51.189,83.171,"S",NA,32.268
85,"Class1",70.274,76.667,"U",46.128,61.372,86.395,"L",34.213,39.295
58,"Class3",31.919,15.786,"C",26.253,32.714,71.235,"N",68.864,77.641
67,"Class3",37.682,21.644,"W",26.351,53.541,51.784,"Y",75.502,30.989
54,"Class3",38.537,25.101,"I",26.271,35.908,71.654,"X",50.395,46.68
49,"Class3",34.158,22.5,"C",26.232,31.16,65.157,"W",40.996,91.441
69,"Class3",30.246,24.376,"W",26.652,58.36,65.628,"N",65.752,53.69
79,"Class1",87.522,75.705,"U",49.678,63.783,86.536,"V",37.432,13.215
59,"Class3",28.866,27.849,"P",26.528,51.613,70.844,"W",27.59,85.413
63,"Class2",46.465,84.592,"O",78.249,77.851,62.922,"I",30.096,28.301
68,"Class2",44.67,80.865,"O",68.294,83.169,58.133,"P",56.645,39.301
45,"Class2",44.232,85.424,"E",65.682,88.333,60.545,"X",NA,30.837
53,"Class3",NA,20.016,"C",26.394,39.96,49.826,"N",71.21,34.865
63,"Class3",30.163,22.681,"I",26.253,52.735,55.615,"W",72.21,46.295
80,"Class1",58.488,22.572,"N",36.669,18.742,63.125,"W",37.928,26.855
72,"Class1",76.875,22.632,"U",49.646,62.768,68.703,"I",38.049,23.917
72,"Class1",66.085,-6.5,"U",29.701,53.281,67.175,"L",34.196,25.009
81,"Class1",64.581,90.517,"Y",40.602,60.488,82.451,"L",34.725,28.333
54,"Class3",NA,25.881,"J",26.762,39.012,48.532,"N",37.634,44.947
71,"Class1",25.298,37.97,"U",52.169,37.32,74.141,"I",38.747,34.533
71,"Class1",77.604,61.078,"N",37.32,44.484,63.454,"V",36.317,28.092
81,"Class1",69.899,63.177,"O",36.965,32.133,65.136,"V",33.074,31.724
40,"Class2",46.036,81.577,"I",64.183,70.717,68.224,"I",29.116,29.385
73,"Class1",83.525,70.25,"V",48.75,64.017,71.54,"W",36.999,28.712
48,"Class3",35.771,23.959,"C",26.35,81.614,54.803,"R",48.405,62.701
66,"Class3",NA,21.441,"P",26.549,59.266,56.387,"X",38.532,24.015
50,"Class2",46.464,83.344,"E",71.047,73.688,54.997,"W",27.492,28.698
54,"Class3",33.978,17.575,"I",26.622,39.872,72.712,"W",17.704,52.047
83,"Class1",63.285,85.546,"N",52.19,52.665,63.544,"L",36.83,14.323
59,"Class3",32.462,21.358,"C",26.354,65.45,66.289,"N",75.135,32.093
82,"Class1",66.825,-1.369,"Y",46.97,29.8,76.608,"W",36.625,23.747
71,"Class3",29.002,19.964,"J",26.131,57.159,47.218,"X",28.637,56.868
63,"Class3",38.883,23.586,"C",26.586,57.947,46.612,"R",14.369,64.238
85,"Class1",73.566,41.488,"Y",41.572,40.486,86.7,"I",38.189,32.636
63,"Class2",45.658,71.953,"K",68.977,96.904,61.998,"W",48.52,29.863
65,"Class3",35.055,21.344,"P",26.389,96.352,66.364,"R",13.098,51.618
52,"Class3",35.753,17.446,"I",26.353,81.273,56.321,"Y",3.432,44.746
55,"Class3",30.808,15.918,"C",26.024,16.851,52.556,"X",33.829,57.059
68,"Class3",29.546,20.972,"P",27.295,34.001,70.343,"X",61.078,70.15
45,"Class2",45.851,83.39,"O",73.981,89.42,54.553,"X",27.927,36.097
62,"Class3",32.537,29.577,"J",26.469,36.024,52.391,"N",55.815,27.643
71,"Class2",46.137,90.972,"C",62.348,90.064,95.941,"X",56.355,39.002
38,"Class2",47.32,89.367,"C",72.838,82.848,86.55,"X",34.911,26.779
70,"Class1",73.001,70.29,"O",45.606,25.118,63.08,"V",31.772,18.67
77,"Class1",77.899,65.732,"U",41.449,33.001,66.916,"S",36.813,24.951
64,"Class3",NA,23.816,"W",26.48,87.162,46.23,"W",31.321,67.714
70,"Class3",35.782,25.264,"I",25.953,93.116,72.979,"Y",27.444,59.124
81,"Class1",88.862,69.184,"N",41.339,39.374,62.501,"I",NA,36.908
50,"Class3",32.933,24.489,"C",26.76,61.962,50.301,"Y",9.397,54.572
75,"Class1",71.487,63.813,"Y",40.827,32.08,87.975,"S",31.548,34.923
17,"Class2",46.635,99.801,"I",80.52,94.331,64.134,"I",48.087,33.482
59,"Class2",43.03,86.587,"O",70.449,78.893,76.056,"I",52.662,33.076
29,"Class2",43.991,85.236,"K",66.755,97.362,86.175,"P",56.456,32.62
79,"Class1",79.472,42.341,"O",42.623,60.436,81.449,"V",38.218,32.28
61,"Class2",46.28,76.909,"K",62.696,83.801,72.859,"W",38.473,34.102
30,"Class2",47.193,89.332,"E",67.908,77.143,61.139,"I",52.022,34.146
58,"Class3",32.013,31.564,"W",26.627,79.604,46.501,"X",77.522,47.577
52,"Class3",32.131,28.232,"C",25.958,90.719,58.385,"W",NA,48.486
74,"Class1",57.783,72.451,"U",38.931,58.95,64.261,"V",34.481,36.935
85,"Class1",70.975,36.296,"O",51.63,42.259,63.863,"L",35.484,23.243
85,"Class1",50.441,80.314,"O",29.135,63.002,71.167,"S",33.067,25.532
69,"Class1",57.56,32.908,"O",35.643,49.234,89.151,"W",38.489,31.216
75,"Class1",61.15,75.698,"U",35.012,69.028,77.948,"S",31.938,24.575
28,"Class2",44.723,84.711,"K",70.567,76.621,49.388,"X",26.485,33.767
19,"Class2",NA,65.734,"C",74.85,76.087,68.171,"V",42.955,31.351
46,"Class2",44.245,79.316,"E",73.753,74.041,85.327,"I",33.931,41.251
22,"Class2",46.799,81.076,"I",71.409,94.941,89.927,"X",55.699,30.363
57,"Class3",33.375,20.654,"W",25.699,30.657,61.02,"W",57.811,74.919
84,"Class1",77.728,127.805,"O",38.705,47.146,63.492,"S",37.792,21.803
78,"Class1",38.672,41.195,"N",34.054,52.677,65.513,"W",35.56,37.513
56,"Class3",35.821,21.707,"P",26.279,61.072,54.421,"N",18.237,45.17
80,"Class1",50.122,54.863,"N",41.934,18.356,69.395,"W",33.081,25.526
56,"Class3",29.956,31.177,"J",27.02,76.837,53.934,"N",51.425,80.628
78,"Class1",87.361,37.227,"V",39.567,26.276,78.729,"S",35.181,33.333
38,"Class2",46.702,91.04,"O",70.093,79.601,64.679,"X",51.182,30.816
67,"Class3",NA,21.019,"J",26.462,86.569,52.476,"Y",16.84,50.785
58,"Class2",44.579,92.479,"O",69.352,85.305,94.786,"I",53.1,28.404
66,"Class3",32.363,18.441,"I",25.918,70.878,52.181,"R",27.426,66.727
66,"Class3",33.363,20.51,"P",26.381,83.281,67.298,"Y",57.067,53.499
19,"Class2",45.982,83.204,"O",68.236,76.388,60.424,"X",30.155,37.754
71,"Class1",89.867,44.374,"Y",30.24,52.598,82.53,"W",33.449,33.201
68,"Class1",93.167,3.891,"Y",47.216,45.506,72.973,"V",37.478,32.499
73,"Class3",30.612,25.639,"C",26.511,20.084,57.455,"W",36.876,20.251
32,"Class2",47.229,89.36,"O",67.294,87.385,66.954,"I",46.13,40.788
24,"Class2",45.909,86.706,"K",65.537,80.053,95.451,"I",43.754,33.257
55,"Class2",45.085,79.458,"K",71.27,87.674,53.1,"I",29.811,27.891
38,"Class2",46.378,99.136,"C",74.56,76.846,51.421,"X",54.599,33.361
80,"Class1",NA,38.871,"Y",56.497,46.925,62.913,"W",37.938,16.229
33,"Class2",46.339,87.499,"I",65.666,79.937,59.743,"V",27.779,40.256
