"MBI1","RQZ2","HOT3","DTB4","WTS5","FQA6","FXN7","VEQ8","VLC9","Output17","SQM10","LOZ11","OCN12"
49.403,52.549,80.931,61.393,"X",1.915,23,67.276,"G","Class1",17.724,92,77.222
77.843,87.915,61.013,26.17,"E",29.066,85,45.475,"M","Class2",52.533,24,46.67
15.372,NA,57.165,36.481,"K",35.546,19,67.344,"G","Class1",25.55,87,76.616
60.41,87.582,62.641,36.48,"U",43.03,83,42.867,"X","Class2",43.201,34,46.378
59.704,55.188,49.779,53.434,"S",32.955,20,72.818,"O","Class1",21.457,86,77.473
63.841,87.054,61.809,65.44,"U",43.375,81,48.766,"P","Class2",60.667,33,9.9
62.599,11.089,16.947,46.238,"S",83.246,25,98.506,"O","Class3",46.047,81,38.309
35.308,64.371,47.722,63.275,"J",12.46,39,64.147,"O","Class1",23.614,91,74.774
22.996,57.696,60.779,54.161,"J",30.155,20,63.38,"O","Class1",24.915,65,79.211
59.99,7.138,21.229,84.262,"S",59.885,8,98.377,"T","Class3",37.855,77,51.199
39.659,NA,51.942,80.898,"J",34.673,36,96.792,"G","Class1",19.871,68,80.185
74.135,19.644,23.38,69.279,"Z",63.392,14,98.054,"L","Class3",30.165,87,43.686
20.692,87.636,63.233,20.23,"T",38.317,79,43.202,"Q","Class2",50.446,15,55.759
72.351,12.986,29.55,68.369,"D",66.798,26,99.561,"T","Class3",51.419,79,12.825
43.287,50.803,45.347,39.841,"S",23.477,40,61.185,"E","Class1",24.243,84,74.168
25.189,60.676,50.899,36.39,"I",35.272,23,78.148,"E","Class1",27.679,77,78.309
58.413,4.222,35.353,57.5,"F",67.072,20,99.678,"R","Class3",10.273,77,87.576
62.458,12.291,18.771,44.563,"Z",59.627,8,98.659,"C","Class3",40.343,69,43.644
70.904,87.358,60.619,32.077,"U",34.499,77,40.465,"X","Class2",55.696,54,26.502
71.591,26.631,17.209,54.997,"F",64.618,27,98.012,"O","Class3",28.289,78,73.857
61.342,33.723,24.793,45.986,"J",71.974,25,98.695,"T","Class3",9.024,73,57.705
84.261,43.389,41.414,78.194,"G",67.121,90,60.749,"L","Class4",53.319,83,32.255
73.457,56.45,42.007,68.303,"E",49.373,95,37.891,"L","Class4",63.604,44,20.632
85.057,75.069,38.765,81.592,"W",60.21,55,40.848,"D","Class4",55.998,68,24.623
67.567,89.024,42.036,74.382,"O",66.809,57,47.323,"H","Class4",58.453,95,25.765
12.065,65.692,115.652,51.409,"S",18.404,32,62.646,"O","Class1",17.06,66,74.04
3.217,48.762,40.262,71.944,NA,15.87,28,71.194,"E","Class1",26.423,85,72.219
58.226,54.369,47.731,63.504,"I",24.99,24,61.735,"E","Class1",24.497,71,81.76
23.782,NA,61.446,33.459,"T",48.001,85,43.661,"P","Class2",55.139,50,19.177
39.252,64.417,42.38,79.072,"K",26.739,27,56.715,"H","Class1",25.057,76,72.919
62.6,11.705,13.992,84.373,"S",78.067,14,98.278,"R","Class3",41.88,85,51.201
58.708,9.755,27.577,52.143,"J",72.49,22,98.772,"C","Class3",8.35,62,49.515
73.479,18.941,24.437,40.302,"D",69.912,23,99.292,"R","Class3",27.346,77,53.074
51.261,61.631,6.773,50.215,"X",26.964,41,74.232,"G","Class1",19.071,72,72.213
56.48,25.622,24.171,43.263,"S",55.595,19,99.124,"R","Class3",34.29,72,24.486
49.313,67.692,65.982,75.961,"S",50.51,25,83.535,"H","Class1",17.129,91,74.449
77.914,64.253,41.039,79.085,"G",65.644,90,52.248,"D","Class4",49.027,30,36.401
71.613,12.203,27.132,50.659,"D",79.228,17,97.323,"O","Class3",13.563,74,36.006
28.904,87.81,62.503,18.142,"U",49.594,79,37.823,"P","Class2",45.895,29,65.415
64.204,NA,40.432,81.137,"O",66.655,79,59.32,"L","Class4",51.562,76,25.52
42.029,49.519,77.559,62.53,"J",22.982,22,77.45,"E","Class1",27.762,83,70.336
56.429,7.291,14.626,70.823,"Z",59.267,18,98.309,"L","Class3",32.748,87,35.514
45.695,59.197,89.785,53.155,"X",3.522,40,76.15,"G","Class1",20.274,76,69.345
41.723,59.601,52.592,63.463,"I",32.506,40,63.446,"S","Class1",26.04,73,71.207
63.23,30.728,15.151,39.876,"J",84.917,13,97.823,"T","Class3",11.211,64,18.921
56.667,19.744,22.903,76.178,"J",59.558,14,97.941,"O","Class3",-3.973,58,60.032
81.027,88.031,41.819,80.799,"W",64.849,67,39.83,"G","Class4",58.702,92,35.888
56.964,59.48,40.649,77.224,"I",19.259,19,67.857,"H","Class1",14.534,90,84.438
62.258,83.545,40.281,77.374,"W",70.425,92,43.852,"J","Class4",46.584,26,10.221
38.804,50.694,66.073,73.12,"K",72.629,26,66.401,"H","Class1",20.564,79,75.351
76.172,41.555,40.04,67.827,"W",48.742,71,36.296,"H","Class4",64.764,63,35.994
52.612,97.087,40.704,69.332,"W",68.666,90,52.289,"D","Class4",82.434,79,13.679
48.058,53.459,39.879,73.051,"O",61.071,85,43.804,"H","Class4",49.966,71,37.29
44.941,87.828,62.003,36.666,"T",35.514,80,47.747,"M","Class2",43.845,13,36.489
52.568,82.351,42.309,71.146,"W",56.523,56,44.849,"L","Class4",54.839,64,17.451
49.313,89.513,41.776,67.46,"W",61.921,80,46.025,"D","Class4",38.241,86,32.931
73.747,35.994,7.843,69.916,"D",75.867,26,99.118,"R","Class3",26.275,71,11.149
69.287,87.37,60.585,19.425,"U",34.029,85,44.575,"P","Class2",38.726,52,7.883
63.319,87.596,61.043,45.188,"T",39.539,86,36.815,"P","Class2",48.974,20,13.343
74.748,8.5,21.993,72.788,"F",78.494,14,98.879,"R","Class3",39.502,70,60.134
77.72,87.429,60.972,59.696,"R",46.809,79,38.783,"P","Class2",54.005,17,18.636
65.587,17.41,23.85,30.762,"S",59.926,18,98.446,"O","Class3",8.091,57,82.251
82.062,47.968,41.267,78.298,"P",60.671,84,40.865,"H","Class4",47.103,81,29.311
3.962,60.82,2.69,73.836,"K",9.51,41,58.778,"H","Class1",18.659,80,72.289
74.623,45.867,40.624,87.955,"P",54.674,62,62.145,"D","Class4",69.208,90,28.662
46.471,47.482,52.748,60.31,"I",22.777,40,79.758,"S","Class1",31.053,77,73.909
57.739,80.096,39.663,70.067,"E",69.181,80,43.012,"G","Class4",68.966,88,44.912
68.345,20.835,26.532,82.352,"S",67.066,23,99.267,"R","Class3",24.349,58,65.105
18.194,87.698,62.745,15.485,"R",25.81,84,43.19,"P","Class2",54.976,39,-0.342
57.274,72.798,41.292,73.533,"P",64.96,94,38.497,"H","Class4",61.276,36,27.091
81.709,51.82,40.703,70.17,"W",68.144,66,50.546,"H","Class4",50.297,83,36.901
65.153,82.831,39.527,80.101,"P",65.038,57,48.371,"H","Class4",73.989,63,42.193
29.871,87.758,60.935,34.653,"U",42.514,85,45.418,"Q","Class2",51.49,14,41.995
76.631,87.952,62.107,19.698,"T",46.181,79,39.773,"X","Class2",54.842,15,33.311
66.586,78.376,41.287,74.599,"O",51.065,91,60.861,"D","Class4",39.826,66,45.179
60.527,32.707,16.993,84.078,"Z",63.01,19,98.137,"T","Class3",46.718,54,39.424
41.233,64.541,59.372,72.765,"S",32.011,32,57.004,"H","Class1",17.663,69,70.301
58.064,11.33,12.061,69.647,"Z",78.082,9,97.202,"R","Class3",38.498,89,54.61
41.295,49.165,53.267,40.196,"K",14.202,42,84.542,"O","Class1",19.671,93,74.082
76.492,87.049,62.728,65.489,"U",42.083,75,36.447,"M","Class2",48.47,20,23.876
69.157,87.141,61.754,47.944,"U",39.743,82,47.663,"Q","Class2",47.567,15,18.201
40.347,87.744,60.375,77.142,"T",32.796,86,38.63,"X","Class2",53.916,27,27.232
46.658,48.458,29.162,32.096,"X",39.264,27,84.981,"G","Class1",18.993,71,73.306
10.147,87.421,63.006,44.177,"E",47.37,87,45.506,"M","Class2",50.013,55,-0.195
85.466,84.524,41.978,78.25,"P",64.048,91,55.309,"D","Class4",56.867,26,23.115
62.03,25.332,23.619,77.749,"J",77.439,14,98.207,"T","Class3",53.915,77,45.864
68.889,2.616,11.229,60.578,"S",79.523,11,99.242,"L","Class3",39.314,55,46.601
74.957,87.198,60.466,42.315,"E",40.092,83,36.143,"B","Class2",44.347,50,7.395
57.048,71.675,40.713,76.903,"O",60.429,92,45.346,"G","Class4",44.673,60,42.749
86.331,87.707,60.706,78.233,"X",37.988,78,37.684,"P","Class2",60.09,38,63.122
21.816,56.961,47.193,82.076,"I",15.263,44,60.723,"E","Class1",17.836,77,74.909
56.471,47.504,78.832,43.029,"S",31.299,24,95.229,"E","Class1",23.927,88,77.665
64.976,11.016,17.39,60.01,"J",61.449,9,98.495,"L","Class3",37.726,60,30.88
38.099,48.078,50.581,73.185,"S",27.573,27,62.118,"H","Class1",21.823,82,64.47
60.748,8.615,20.934,48.494,"S",67.004,27,98.635,"C","Class3",27.525,88,58.934
69.655,18.744,39.4,40.386,"D",61.108,22,99.789,"L","Class3",27.904,62,42.533
49.446,87.619,60.134,12.901,"U",65.014,78,40.923,"B","Class2",43.089,15,36.095
67.15,17.038,22.01,60.61,"Z",64.919,24,98.339,"C","Class3",35.821,62,55.771
20.244,52.042,81.371,58.102,"J",39.116,29,62.027,"E","Class1",20.797,74,70.762
58.958,21.895,16.576,64.855,"Z",60.013,12,97.074,"C","Class3",28.822,67,35.406
43.401,53.107,65.123,41.85,"J",14.611,31,78.635,"E","Class1",17.642,82,71.106
52.164,61.302,40.365,83.74,"O",67.54,62,54.267,"D","Class4",52.524,50,29.544
61.388,15.304,36.294,46.206,"J",51.934,24,98.647,"L","Class3",33.961,81,58.925
76.076,87.647,62.139,39.491,"X",46.764,83,39.863,"M","Class2",43.225,55,69.781
62.831,13.476,20.101,83.657,"S",78.417,18,98.364,"O","Class3",17.608,67,5.898
74.835,NA,29.939,65.241,"J",66.375,14,99.615,"O","Class3",58.108,75,45.643
38.832,55.9,54.916,48.38,"X",29.954,27,82.382,"S","Class1",24.613,76,74.85
85.833,54.137,39.142,81.631,"W",66.812,57,55.929,"J","Class4",63.595,57,30.735
46.147,64.883,40.368,75.97,"E",62.588,69,44.16,"D","Class4",31.807,63,33.072
25.599,58.261,73.53,50.558,"J",-1.173,28,82.583,"H","Class1",25.548,78,73.483
53.18,55.445,98.241,39.384,NA,16.154,33,82.088,"H","Class1",20.874,87,77.488
50.087,87.655,62.231,21.025,"E",38.075,82,41.807,"B","Class2",44.537,54,20.559
56.54,35.623,15.539,64.971,"D",66.225,22,99.204,"T","Class3",21.786,75,68.167
67.255,24.935,24.724,41.739,"S",71.443,8,97.242,"C","Class3",21.249,86,34.581
71.126,87.097,62.376,27.709,"R",47.181,83,44.885,"M","Class2",56.008,29,36.009
67.949,12.191,9.69,49.723,"S",72.259,27,99.771,"T","Class3",17.023,89,55.217
6.234,87.945,61.241,15.077,"U",49.753,80,47.751,"M","Class2",55.476,10,30.86
58.569,87.86,62.304,40.882,"T",37.008,82,41.724,"P","Class2",47.322,10,32.374
14.52,64.336,17.134,65.63,"S",2.555,40,82.241,"H","Class1",18.455,78,72.666
47.971,87.318,62.579,28.926,"X",53.851,87,45.618,"B","Class2",42.114,17,9.542
41.079,87.256,60.9,25.69,"E",41.318,81,44.602,"X","Class2",46.005,49,39.932
57.036,87.115,62.218,16.232,NA,58.889,80,44.983,"M","Class2",49.152,26,38.725
78.081,75.5,39.959,78.836,"E",71.014,53,38.514,"G","Class4",50.18,76,7.765
66.069,28.885,17.116,32.993,"J",67.273,13,99.848,"R","Class3",54.292,76,77.903
47.484,87.78,61.982,34.125,"R",31.525,84,43.656,"P","Class2",48.132,56,22.526
71.587,42.727,40.567,84.864,"P",62.652,71,60.718,"L","Class4",43.07,86,28.102
59.667,2.13,27.256,72.981,"S",61.897,11,98.184,"C","Class3",25.149,73,26.754
65.874,58.912,41.671,74.114,"E",57.991,70,41.125,"H","Class4",63.822,40,16.398
53.05,97.157,40.629,86.541,"P",55.971,84,38.441,"D","Class4",71.146,49,33.719
86.289,87.017,60.21,19.27,"X",50.039,81,40.674,"X","Class2",47.904,49,-0.672
34.88,87.624,62.546,14.77,"E",52.363,78,45.663,"P","Class2",44.657,17,35.84
69.744,80.991,40.851,87.828,NA,62.724,88,61.145,"J","Class4",40.616,83,25.003
55.251,51.402,35.654,46.14,"S",41.472,40,84.125,"S","Class1",21.764,79,72.633
49.707,41.262,41.109,78.797,"W",66.152,84,58.594,"H","Class4",61.084,70,17.254
59.111,17.429,10.332,45.678,"S",68.478,24,97.094,"O","Class3",16.149,70,49.3
69.57,32.557,25.946,79.662,"F",79.64,26,97.796,"T","Class3",44.328,77,65.489
49.58,70.782,40.359,77.073,"O",63.321,61,49.951,"L","Class4",79.335,66,15.981
76.817,46.436,40.286,84.302,"G",54.655,76,56.019,"J","Class4",56.669,37,29.842
63.99,9.077,24.817,86.595,"D",67.588,12,99.476,"C","Class3",41.056,78,40.418
52.841,60.798,40.622,74.01,"E",66.871,70,48.317,"D","Class4",38.487,68,38.501
72.076,52.157,40.212,87.656,"E",58.494,57,62.925,"D","Class4",47.259,62,29.005
68.198,18.483,16.547,57.38,"F",62.051,19,97.489,"T","Class3",39.178,61,51.409
7.415,55.614,80.238,31.549,"S",17.377,31,63.232,"S","Class1",15.615,74,74.745
63.111,90.219,40.255,80.941,NA,63.961,70,60.568,"G","Class4",51.063,91,49.801
54.528,58.141,77.43,60.646,"X",24.753,33,88.745,"E","Class1",17.815,82,85.796
64.849,21.023,25.276,31.941,"Z",65.26,19,97.164,"C","Class3",38.471,81,55.441
58.779,53.412,67.407,37.91,"K",56.678,32,73.366,"S","Class1",20.425,93,80.04
37.72,48.167,75.204,66.899,"X",26.587,36,89.117,"S","Class1",29.078,92,72.615
52.363,55.961,41.288,68.564,"O",69.218,66,45.925,"J","Class4",64.545,88,39.902
21.893,87.907,63.206,27.794,"T",41.466,76,43.811,"Q","Class2",33.2,38,39.222
63.646,90.227,41.62,71.489,"W",67.489,73,56.954,"J","Class4",61.346,39,41.587
74.846,18.148,4.722,75.983,"D",67.784,9,99.294,"T","Class3",29.854,68,37.219
60.317,29.983,31.992,63.775,"D",63.784,8,99.989,"T","Class3",46.43,87,59.792
80.984,46.345,39.74,77.074,"O",59.381,84,37.422,"J","Class4",63.2,46,42.17
4.286,87.555,61.067,61.987,"R",38.561,76,37.823,"B","Class2",50.955,28,32.441
63.695,30.07,23.121,68.852,"S",66.228,15,98.823,"C","Class3",24.369,87,63.283
37.457,60.564,56.724,60.861,"S",11.069,36,70.333,"E","Class1",23.097,65,81.42
55.552,44.045,40.367,80.142,"G",69.101,82,55.877,"L","Class4",83.469,81,10.295
76.159,87.183,62.75,76.664,"T",43.026,77,41.564,"X","Class2",55.302,19,5.346
43.141,87.447,60.223,17.237,"T",36.046,76,44.511,"Q","Class2",49.801,12,52.172
78.263,95.461,40.727,72.689,"P",68.484,70,60.137,"D","Class4",78.376,52,30.512
57.239,20.41,21.032,67.335,"Z",77.156,8,99.627,"T","Class3",38.555,60,-4.688
76.478,87.696,62.723,63.82,"T",34.094,87,44.246,"P","Class2",56.327,32,28.494
32.59,87.021,61.263,62.627,"X",43.872,83,46.29,"M","Class2",46.707,42,63.625
71.67,87.591,62.442,60.16,"R",47.265,78,45.369,"P","Class2",45.083,51,1.99
76.202,92.622,40.296,83.299,"W",66.073,84,62.928,"G","Class4",59.188,82,44.234
43.603,87.284,60.957,69.443,"X",39.137,86,40.577,"X","Class2",57.832,45,35.832
69.596,3.044,24.018,58.787,"J",70.026,23,97.785,"C","Class3",21.032,71,52.283
24.621,53.141,79.506,35.477,"J",28.611,42,89.709,"E","Class1",26.594,85,79.262
33.991,52.844,32.573,80.86,"J",52.502,23,58.657,"O","Class1",22.57,70,76.604
10.924,59.299,19.056,44.851,"I",20.86,21,58.313,"G","Class1",17.652,70,69.465
51.216,62.841,37.156,32.144,"X",50.661,34,92.119,"H","Class1",24.373,85,71.634
71.248,6.939,13.297,66.199,"S",58.133,11,99.294,"O","Class3",7.791,54,43.559
72.85,26.1,12.372,43.317,"J",71.191,13,98.068,"O","Class3",23.278,87,30.452
79.096,53.861,40.797,82.096,"W",73.875,96,63.272,"G","Class4",63.392,32,18.48
56.344,85.653,40.458,79.209,"G",66.851,55,59.226,"J","Class4",65.439,37,49.957
6.906,87.269,61.219,19.81,"X",40.152,86,47.181,"B","Class2",49.686,42,49.728
49.28,76.097,40.985,68.216,"E",54.313,87,42.851,"J","Class4",73.062,91,22.395
57.212,66.707,39.614,71.67,"O",74.842,75,36.193,"H","Class4",55.814,40,43.469
73.541,11.598,23.811,65.352,"D",65.045,10,97.525,"C","Class3",50.587,86,20.209
56.477,13.688,30.275,43.489,"D",58.669,22,99.875,"L","Class3",11.734,73,75.099
53.201,63.579,50.654,45.047,"S",14.098,27,75.22,"H","Class1",27.097,63,69.939
64.876,41.473,40.41,74.079,"P",71.312,62,62.159,"L","Class4",56.209,26,40.203
22.146,56.594,13.106,87.28,"K",38.782,35,60.037,"H","Class1",20.026,69,78.987
64.066,20.043,20.385,72.446,"D",64.433,18,99.929,"T","Class3",35.132,58,66.072
70.536,91.871,39.884,69.345,"G",68.814,73,51.94,"J","Class4",63.223,37,20.464
73.766,29.385,30.441,33.238,"S",73.785,13,97.19,"C","Class3",28.266,62,43.359
41.128,65.307,14.702,70.627,"S",65.185,27,71.822,"H","Class1",23.97,92,71.634
68.298,47.034,39.902,80.207,"W",60.197,65,61.657,"D","Class4",17.669,59,34.345
75.722,87.798,62.192,43.918,"E",50.223,85,45.915,"Q","Class2",50.063,7,35.308
72.601,NA,9.755,49.022,"F",71.743,26,97.126,"T","Class3",24.008,59,4.098
49.22,79.463,39.335,72.378,"E",54.111,88,39.466,"L","Class4",51.921,61,27.404
62.348,80.769,39.652,75.079,"E",59.269,89,43.743,"H","Class4",38.781,63,30.799
82.884,87.673,60.214,63.655,"T",48.1,87,48.056,"Q","Class2",56.592,55,42.311
71.139,93.711,40.728,71.344,"P",48.163,72,49.103,"G","Class4",63.675,66,32.885
14.506,47.085,107.385,83.776,"K",14.051,39,83.955,"E","Class1",21.39,91,73.263
48.401,91.216,40.798,73.35,"P",50.467,56,50.166,"J","Class4",41.865,44,28.474
77.984,87.751,60.523,53.717,"R",49.282,79,47.299,"X","Class2",43.473,9,20.661
74.805,17.328,35.504,50.528,"S",70.339,14,98.781,"T","Class3",31.059,78,46.675
79,87.86,62.772,37.684,"X",32.26,77,39.689,"M","Class2",45.427,37,43.571
30.973,87.068,61.28,20.782,"T",50.384,81,41.935,"X","Class2",46.095,15,38.247
66.023,25.72,25.155,65.158,"J",65.873,22,97.599,"L","Class3",26.054,71,49.219
71.539,23.19,9.226,30.838,"F",74.655,17,99.004,"R","Class3",16.102,61,50.168
39.5,58.635,40.637,41.182,"S",19.215,19,81.044,"G","Class1",14.521,83,78.973
82.227,87.206,61.415,32.938,"R",29.153,84,47.717,"Q","Class2",36.234,34,48.989
60.194,26.214,17.53,43.322,"D",72.738,25,97.62,"R","Class3",25.032,71,46.506
41.453,60.028,20.261,43.702,"I",31.779,36,69.783,"O","Class1",28.267,84,70.025
18.27,66.328,52.666,53.875,"X",4.147,27,63.262,"O","Class1",12.375,84,75.864
59.71,9.796,26.102,30.789,"Z",55.541,16,99.114,"T","Class3",12.044,85,47.045
23.687,87.528,61.868,12.444,"U",59.413,77,42.726,"B","Class2",57.162,36,34.83
69.792,87.522,63.45,22.542,"R",43.633,83,46.459,"Q","Class2",40.842,46,64.757
83.006,75.408,40.775,68.664,"P",55.452,60,62.039,"H","Class4",100.494,42,25.004
62.969,87.094,62.8,26.287,"E",45.083,86,43.416,"P","Class2",53.298,24,26.838
54.582,65.387,74.954,35.273,"I",4.515,32,84.879,"S","Class1",20.945,71,69.606
67.811,89.228,40.458,72.269,"W",63.471,63,37.02,"G","Class4",67.849,88,0.038
76.846,87.388,60.132,49.4,"R",41.946,80,44.876,"Q","Class2",39.169,26,43.814
60.761,37.922,24.538,40.724,"F",71.454,26,98.519,"O","Class3",26.372,80,48.125
71.592,20.483,38.501,70.869,"F",71.366,21,98.249,"C","Class3",30.122,61,70.505
78.495,NA,39.425,82.026,"E",60.296,57,58.465,"H","Class4",68.522,60,26.126
48.438,52.438,46.835,34.623,"K",22.769,29,77.944,"E","Class1",30.001,90,68.359
49.356,93.463,40.936,86.972,"O",53.655,68,41.347,"L","Class4",58.574,88,50.949
70.145,86.362,41.273,78.81,"E",67.522,60,59.587,"L","Class4",45.878,32,22.891
46.113,47.631,75.63,64.611,"S",11.005,39,73.427,"E","Class1",31.526,65,78.88
78.629,NA,40.227,70.026,"G",59.192,77,57.161,"D","Class4",91.656,26,21.317
76.007,78.852,41.095,87.862,"P",70.967,66,60.03,"H","Class4",69.869,26,27.092
60.565,28.191,21.076,75.75,"Z",50.112,14,98.597,"L","Class3",34.978,75,28.494
73.749,17.033,33.746,33.034,"J",73.715,20,99.951,"R","Class3",27.072,55,70.178
78.254,58.664,41.451,72.885,"G",55.794,84,49.635,"H","Class4",80.13,38,30.088
59.961,47.261,40.832,75.856,"O",66.187,69,37.661,"H","Class4",74.631,55,28.267
51.705,65.937,50.487,55.033,"K",26.731,23,92.15,"G","Class1",31.581,63,72.254
58.82,87.963,60.947,61.228,"T",45.627,77,38.129,"M","Class2",44.881,18,10.026
67.503,8.825,22.155,69.534,"S",72.237,9,98.822,"T","Class3",11.701,87,57.827
52.936,87.593,62.243,12.136,NA,28.153,85,48.236,"P","Class2",42.122,44,50.158
64.419,16.027,25.798,80.827,"Z",53.368,21,98.991,"T","Class3",36.466,67,50.79
28.56,62.187,-5.418,59.891,"K",19.933,20,64.766,"E","Class1",24.995,93,72.943
56.868,66.894,35.376,71.372,"I",38.633,19,90.615,"H","Class1",21.66,72,77.144
84.825,87.199,60.741,28.631,"U",58.098,81,41.277,"B","Class2",56.929,6,46.274
56.764,5.115,25.152,73.685,"D",69.851,22,97.946,"C","Class3",48.1,59,26.532
58.499,NA,41.594,80.651,"S",57.732,9,99.254,"O","Class3",35.94,68,58.748
4.349,67.19,67.896,53.459,"S",54.351,44,69.835,"S","Class1",24.327,78,77.019
63.222,65.436,42.504,84.316,"W",60.08,81,57.988,"D","Class4",47.1,25,33.742
34.309,59.103,72.652,66.667,"I",25.949,23,85.392,"G","Class1",31.017,84,69.998
17.742,65.497,74.994,52.117,"S",10.526,33,57.18,"H","Class1",23.114,63,78.009
38.08,49.284,22.635,49.153,"I",23.364,34,87.791,"H","Class1",20.666,83,72.222
82.206,57.671,39.365,80.451,"G",56.929,64,60.43,"J","Class4",59.839,34,4.207
62.906,47.688,39.498,80.83,"E",62.41,75,45.864,"H","Class4",74.058,29,21.122
75.343,74.601,37.387,85.507,"P",56.289,85,41.875,"G","Class4",61.559,33,42.279
61.036,NA,10.277,39.476,"Z",77.641,19,98.502,"C","Class3",25.215,58,44.917
69.758,34.278,14.117,72.229,NA,61.957,21,99.358,"C","Class3",20.243,74,43.767
59.425,6.485,9.341,77.222,"D",71.912,15,99.763,"R","Class3",30.019,76,32.876
85.618,87.49,62.268,34.513,"R",29.813,86,48.56,"P","Class2",35.948,44,68.087
60.804,15.517,38.389,69.857,"Z",67.079,17,98.825,"O","Class3",10.471,55,49.183
58.472,60.195,36.214,86.162,"O",69.374,78,57.1,"G","Class4",73.213,66,18.51
61.888,5.219,22.16,82.318,"Z",72.061,21,97.743,"L","Class3",33.475,87,22.05
11.551,87.502,60.938,18.353,"X",35.194,82,44.429,"Q","Class2",53.625,17,65.727
59.561,NA,41.008,86.384,"E",67.153,85,36.66,"H","Class4",42.501,80,20.403
55.266,47.246,15.913,33.127,"S",-7.644,21,81.568,"G","Class1",30.803,71,69.088
24.93,56.416,43.354,50.616,"S",8.197,44,71.962,"G","Class1",22.158,68,81.211
35.622,87.601,61.279,39.764,"E",17.707,81,43.001,"Q","Class2",55.325,24,-1.543
54.978,91.396,41.832,72.568,"G",60.413,86,44.189,"J","Class4",76.027,37,32.819
13.289,52.02,56.045,47.522,NA,2.88,43,67.774,"G","Class1",25.761,77,70.771
67.907,19.182,24.096,44.695,"D",80.605,23,97.592,"L","Class3",47.318,73,56.735
80.864,82.987,41.262,70.227,"P",70.669,80,48.746,"D","Class4",68.542,74,13.44
8.005,NA,52.808,48.827,"K",41.341,25,88.332,"G","Class1",17.735,89,72.409
88.317,87.281,59.923,14.741,"X",32.634,83,47.91,"X","Class2",62.277,40,9.417
3.768,57.855,34.314,76.164,"S",23.037,43,82.079,"E","Class1",23.014,82,68.837
31.147,58.783,77.497,44.802,"I",36.254,25,64.69,"E","Class1",23.757,78,74.514
57.734,87.903,41.258,85.805,"W",68.373,92,61.597,"G","Class4",57.703,65,39.693
24.526,62.746,63.43,46.996,"K",8.068,43,78.461,"H","Class1",19.983,91,74.757
73.686,24.445,26.247,77.954,"F",63.263,26,97.133,"T","Class3",11.44,72,45.121
55.02,50.759,51.566,75.466,"X",0.319,40,87.706,"O","Class1",15.419,80,71.037
71.782,93.609,39.639,87.67,"W",55.882,65,55.281,"L","Class4",54.63,85,0.641
41.763,87.065,60.829,65.722,"U",54.028,85,40.954,"X","Class2",51.854,9,18.773
68.591,21.329,32.726,47.173,"J",86.333,18,97.577,"R","Class3",44.159,55,14.143
61.68,64.726,41.028,80.402,"E",67.869,82,49.883,"G","Class4",50.414,95,31.214
26.248,64.082,46.604,51.199,NA,46.459,40,56.105,"O","Class1",23.945,68,77.953
32.688,55.028,48.214,70.798,"J",13.418,41,84.897,"O","Class1",24.314,85,78.48
73.956,27.903,22.4,58.916,"S",61.756,16,98.532,"T","Class3",33.335,65,50.72
14.622,56.923,41.61,43.868,"I",24.653,44,66.496,"S","Class1",14.759,65,74.636
82.51,64.143,40.703,70.32,NA,58.476,66,39.019,"H","Class4",56.944,47,45.426
64.068,26.876,20.038,74.142,"S",69.271,25,98.965,"T","Class3",26.65,81,56.594
80.754,62.525,39.232,75.586,"G",70.529,74,42.832,"J","Class4",59.614,77,38.328
80.663,57.57,41.29,69.618,"E",66.426,62,55.014,"G","Class4",51.135,57,39.588
47.247,59.767,59.397,82.076,"X",36.49,41,59.087,"S","Class1",24.744,63,71.789
28.66,64.474,62.081,71.262,"K",12.242,25,63.783,"G","Class1",17.473,67,74.635
71.892,55.661,38.184,80.957,"G",74.58,79,59.257,"L","Class4",33.961,79,30.542
17.219,87.256,61.233,84.24,NA,40.281,83,47.39,"X","Class2",50.294,33,-3.631
41.446,49.645,59.996,69.834,"I",38.172,24,56.015,"H","Class1",24.71,77,74.338
73.01,63.197,42.06,77.314,"O",62.781,87,43.166,"J","Class4",68.67,33,48.557
4.639,52.517,69.768,32.488,"J",3.973,35,63.546,"E","Class1",24.008,77,78.04
10.35,87.135,60.922,57.113,"U",35.734,75,41.197,"X","Class2",47.731,42,57.164
32.598,87.465,63.675,63.147,"R",41.513,83,41.892,"P","Class2",51.741,8,13.4
37.441,63.368,49.016,60.497,"J",17.21,40,68.828,"H","Class1",29.777,70,69.177
56.9,64.692,24.874,54.437,"J",34.561,19,76.244,"H","Class1",22.702,80,71.325
15.742,87.58,61.2,43.215,"R",51.562,77,40.607,"X","Class2",52.916,18,47.119
39.085,87.274,60.047,28.246,"R",41.613,83,41.789,"M","Class2",42.83,7,44.38
60.409,35.429,27.508,30.989,"F",60.607,9,99.85,"C","Class3",5.141,75,54.082
76.075,87.593,62.476,24.215,"T",50.855,83,42.818,"X","Class2",61.186,35,16.193
6.789,87.998,60.378,47.195,"X",25.783,85,46.607,"B","Class2",49.121,7,72.742
13.202,66.645,25.837,78.257,"I",13.912,19,72.994,"H","Class1",27.075,88,74.028
60.298,8.048,18.055,67.605,"S",69.451,13,97.631,"L","Class3",10.533,75,84.856
39.752,NA,47.661,66.735,"K",8.21,32,67.959,"E","Class1",28.963,68,75.915
