"IGZ1","YFS2","KQE3","FYH4","ZUQ5","WZC6","AQT7","YWK8","BWF9","Output9","UOC10"
17.872,76.744,75.916,0.082,NA,66.843,73,41,"V","Class2",47.218
32.88,84.959,51.002,0.512,62.099,80.225,49,27,"W","Class2",-9.13
85.549,3.859,19.018,46.676,68.1,-8.642,31,45,"M","Class3",53.309
81.189,4.391,33.678,57.271,36.471,46.227,21,37,"M","Class3",51.507
37.625,77.776,86.926,0.725,65.751,57.876,45,36,"C","Class2",34.014
76.335,8.81,41.147,50.146,49.746,28.17,32,38,"M","Class3",48.769
86.567,26.358,50.052,59.059,53.899,51.411,10,83,"C","Class1",71.648
52.557,72.061,65.196,0.455,60.073,59.885,66,58,"V","Class2",37.432
90.051,15.477,18.4,46.96,50.644,-7.827,5,34,"X","Class3",53.319
90.734,5.274,33.571,52.131,83.477,104.85,13,39,"D","Class3",52.511
64.957,78.679,84.291,0.65,72.024,60.489,39,42,"C","Class2",64.097
83.383,25.624,57.331,57.13,51.221,95.474,10,81,"A","Class1",71.059
32.28,78.098,73.745,0.803,65.096,68.942,23,45,"V","Class2",18.881
82.741,29.336,56.838,59.973,55.263,75.301,11,54,"C","Class1",71.776
80.924,18.319,18.129,41.824,60.026,52.035,14,36,"M","Class3",50.004
90.858,18.092,31.392,59.073,NA,44.26,11,46,"M","Class3",53.425
85.418,33.685,49.423,58.719,49.107,80.201,11,70,"K","Class1",70.634
86.233,4.036,28.766,53.144,73.044,77.437,6,38,"M","Class3",50.98
86.984,32.315,60.159,60.791,61.563,71.991,10,71,"K","Class1",69.582
39.66,73.665,68.713,-0.034,74.638,75.564,33,37,"D","Class2",7.586
83.654,26.387,53.795,58.634,41.934,40.694,11,88,"O","Class1",69.713
85.29,16.993,19.111,61.431,69.875,27.401,30,39,"C","Class3",52.261
86.9,20.979,39.842,48.185,94.523,34.729,27,36,"T","Class3",51.399
77.116,12.047,26.289,60.37,22.713,102.519,14,46,"M","Class3",48.314
84.562,22.58,43.717,47.54,NA,37.247,11,41,"C","Class3",54.111
85.955,27.742,52.102,59.213,53.678,59.959,11,57,"K","Class1",71.515
53.093,85.789,87.823,0.616,65.302,71.315,20,39,"F","Class2",58.127
83.814,27.678,46.972,64.292,43.741,51.192,11,79,"K","Class1",71.089
57.914,84.658,91.004,0.884,65.352,67.345,64,61,"F","Class2",20.232
49.147,79.371,86.31,0.537,61.633,70.223,54,29,"V","Class2",11.217
11.01,81.318,71.421,0.207,69.813,70.678,46,59,"C","Class2",33.225
29.516,86.06,84.226,0.222,74.143,77.665,72,35,"W","Class2",36.109
65.712,78.145,78.895,0.601,71.362,74.023,16,43,"V","Class2",8.125
75.507,21.341,32.558,36.664,77.278,70.515,23,36,"T","Class3",49.844
81.942,10.222,22.753,41.611,69.313,35.651,28,35,"X","Class3",51.283
72.79,83.492,63.518,0.637,72.63,76.357,48,23,"C","Class2",31.641
46.555,81.409,75.636,1.017,70.674,73.138,60,52,"F","Class2",34.993
69.891,84.036,89.3,0.53,60.96,60.86,22,36,"V","Class2",38.414
77.221,16.107,17.147,43.813,36.147,26.877,12,34,"M","Class3",51.75
74.734,14.206,32.033,38.083,26.73,30.727,24,44,"T","Class3",55.14
73.795,10.219,22.156,43.974,44.58,28.301,27,38,"T","Class3",54.019
87.679,14.696,27.944,55.482,67.825,83.02,21,42,"C","Class3",50.969
84.643,76.776,66.002,0.754,74.691,71.263,16,50,"C","Class2",26.141
54.147,78.575,68.638,0.409,70.732,76.986,54,29,"C","Class2",58.845
77.81,31.558,19.82,48.405,17.128,62.867,22,34,"M","Class3",50.914
85.691,23.586,60.578,62.936,64.68,58.819,10,85,"A","Class1",70.461
79.454,9.862,33.291,57.207,NA,-0.75,24,38,"X","Class3",49.315
85.831,34.099,54.214,62.993,50.327,73.861,11,85,"A","Class1",71.147
50.921,78.045,85.948,0.599,70.316,77.514,45,30,"F","Class2",51.737
77.632,7.355,43.634,50.554,74.514,45.704,12,45,"D","Class3",53.033
85.97,29.065,58.794,61.269,44.48,82.156,11,54,"O","Class1",71.262
43.227,71.613,63.071,1.036,65.571,71.468,39,21,"W","Class2",63.692
85.206,28.764,50.029,56.474,63.662,60.931,10,91,"Z","Class1",71.11
73.344,78.716,65.688,0.332,60.999,70.472,52,27,"V","Class2",12.919
77.245,19.7,37.403,52.049,NA,13.047,9,37,"M","Class3",49.463
65.165,82.518,89.503,0.029,63.388,74.523,29,41,"C","Class2",46.146
84.542,26.746,52.587,61.719,49.243,57.701,10,71,"O","Class1",70.006
39.166,80.335,91.314,0.792,72.431,75.248,23,31,NA,"Class2",31.307
88.144,11.664,32.052,47.614,44.532,95.397,22,39,NA,"Class3",51.642
86.333,28.022,47.005,62.496,56.781,45.646,11,68,"C","Class1",70.558
63.353,75.139,64.929,0.59,66.883,72.875,77,42,"D","Class2",80.759
86.916,28.375,58.924,62.027,58.533,62.433,10,53,"A","Class1",71.433
57.136,82.47,63.781,0.224,66.148,64.816,56,42,"D","Class2",60.308
84.044,25.648,59.409,59.969,NA,60.604,11,90,"O","Class1",71.439
44.476,83.282,79.468,0.298,70.12,77.857,18,42,"V","Class2",48.525
82.257,5.071,40.497,76.519,80.085,47.068,12,44,"D","Class3",51.547
18.509,82.956,70.466,0.336,74.699,61.69,61,42,"V","Class2",62.837
56.874,88.163,79.06,0.849,62.23,60.32,62,21,"V","Class2",80.395
82.227,32.924,48.352,59.709,51.142,63.48,10,55,"O","Class1",70.38
73.581,81.919,64.804,0.689,68.654,69.426,41,26,"D","Class2",33.49
36.082,83.481,70.519,0.094,70.436,54.374,77,61,"C","Class2",16.808
45.246,76.657,92.723,0.036,69.524,57.543,54,31,"D","Class2",-3.9
41.376,83.926,76.847,0.788,69.582,77.324,60,55,"D","Class2",19.634
83.96,26.825,60.824,57.928,62.287,57.289,11,77,"O","Class1",69.279
29.699,75.104,65.18,0.321,70.513,65.431,55,40,"C","Class2",78.405
82.286,26.804,58.132,62.086,41.112,53.212,10,60,"A","Class1",69
84.357,27.633,60.743,58.338,60.857,54.339,10,58,"A","Class1",71.37
84.09,34.853,54.934,61.41,63.607,66.466,11,83,NA,"Class1",70.85
81.437,16.371,25.049,49.871,82.77,85.271,15,40,"D","Class3",51.106
83.538,32.374,58.619,61.091,58.507,66.726,11,88,"A","Class1",70.796
16.785,73.602,60.206,0.677,69.291,70.948,19,61,"V","Class2",34.44
88.887,14.868,36.77,43.62,79.779,48.517,2,46,"M","Class3",51.021
30.09,76.22,81.028,1.195,61.619,61.399,35,31,"C","Class2",59.067
85.276,20.955,50.712,60.726,65.431,74.903,10,80,"O","Class1",71.864
32.944,88.98,52.965,0.761,74.437,79.582,54,51,"F","Class2",48.04
87.974,25.063,22.209,81.152,78.813,60.254,29,38,"X","Class3",50.851
87.12,7.743,22.865,44.179,44.392,53.316,1,46,"C","Class3",54.673
64.225,69.492,92.586,0.671,74.892,60.738,72,43,"V","Class2",66.656
83.593,26.255,57.319,61.378,40.94,72.702,11,83,"A","Class1",70.267
81.657,16.912,30.027,53.661,78.614,23.986,33,46,"T","Class3",53.038
26.122,78.795,51.956,0.804,62.874,68.605,52,45,"C","Class2",51.478
86.821,26.718,58.698,57.679,52.244,68.382,11,56,"A","Class1",70.196
73.463,12.481,42.248,61.298,88.566,23.425,21,40,NA,"Class3",53.075
82.952,73.257,90.668,0.257,NA,78.965,23,63,"C","Class2",35.224
65.377,75.11,71.189,0.131,60.617,58.518,24,39,"F","Class2",63.213
7.934,86.938,78.394,1.217,63.008,61.89,60,37,"D","Class2",51.658
84.152,9.955,33.532,62.209,87.135,75.986,12,46,"T","Class3",51.394
80.552,15.616,16.084,43.223,80.682,40.196,29,44,"T","Class3",50.712
86.043,27.296,46.488,55.505,43.619,64.932,11,88,"Z","Class1",70.159
84.823,32.57,47.091,65.2,43.289,50.022,10,73,"O","Class1",70.98
83.767,14.607,28.319,36.917,NA,81.103,28,35,"T","Class3",51.701
85.928,29.85,48.84,55.88,45.168,77.543,11,73,"K","Class1",70.851
74.62,85.927,71.309,0.699,70.676,70.453,24,46,"V","Class2",51.051
69.087,74.395,59.635,1.021,63.52,69.438,25,24,"V","Class2",40.792
26.053,79.528,84.788,0.398,73.94,76.538,63,31,"D","Class2",23.478
28.906,79.753,62.416,0.548,72.85,51.728,45,58,"W","Class2",-4.13
58.941,83.153,63.6,0.721,67.445,62.181,18,35,"D","Class2",56.734
86.236,32.828,59.173,62.14,51.267,69.429,11,56,"Z","Class1",71.292
86.952,23.965,18.888,44.701,74.26,57.324,21,42,"D","Class3",50.606
85.025,22.39,48.75,58.755,46.889,80.207,10,81,"C","Class1",70.229
67.525,77.299,58.672,0.734,74.922,64.847,70,49,"F","Class2",16.916
86.629,32.754,55.057,61.046,48.34,77.807,10,89,"O","Class1",70.961
25.38,77.652,78.759,0.584,61.427,65.909,35,33,"W","Class2",-1.952
41.548,82.498,90.874,0.248,74.197,67.388,38,58,"D","Class2",11.561
82.118,27.345,48.798,64.918,62.039,71.905,11,59,"A","Class1",70.566
82.658,35.277,56.548,56.167,60.84,55.647,11,77,"C","Class1",70.37
83.851,27.043,52.036,61.897,59.285,74.016,10,89,"K","Class1",69.837
84.343,30.761,50.617,54.699,54.77,70.825,10,79,"K","Class1",69.766
85.56,26.57,50.31,61.647,56.742,53.44,10,70,"A","Class1",69.959
86.64,31.072,46.514,59.565,64.946,71.809,10,73,"C","Class1",70.441
88.158,27.338,19.734,67.553,35.937,53.441,22,44,"D","Class3",52.734
35.423,72.962,73.917,0.943,70.515,70.831,32,28,"V","Class2",35.768
84.169,38.956,53.739,59.719,62.053,78.029,11,78,"A","Class1",71.261
81.721,19.399,22.421,49.365,53.494,27.31,21,37,"C","Class3",51.571
44.558,89.885,65.415,0.573,64.346,72.816,55,51,"V","Class2",41.916
90.128,9.342,34.965,31.476,73.427,24.79,27,35,"M","Class3",50.105
44.107,72.95,81.06,0.6,72.079,65.309,71,63,"D","Class2",16.729
86.161,24.551,47.217,59.029,47.421,46.933,10,75,"Z","Class1",71.951
11.77,86.27,88.888,-0.147,74.056,75.848,45,43,"F","Class2",27.052
90.417,13.126,29.74,39.958,67.4,46.009,32,38,"C","Class3",52.167
86.746,34.19,46.803,55.763,42.087,66.568,11,65,"O","Class1",70.63
84.411,30.219,55.92,62.44,59.566,55.693,11,83,"A","Class1",70.729
78.43,15.069,24.189,66.642,17.015,79.999,16,41,"X","Class3",51.637
58.477,82.333,64.685,0.653,72.461,66.147,68,37,"V","Class2",39.239
80.78,7.001,32.319,65.764,33.06,91.942,17,39,"X","Class3",51.723
85.535,31.853,59.025,59.746,63.222,83.196,11,68,"C","Class1",70.303
86.652,14.9,20.492,50.757,40.046,53.345,22,39,"D","Class3",54.62
78.333,19.372,22.379,63.927,59.398,41.379,20,45,"T","Class3",51.448
82.859,27.57,56.711,61.781,46.559,63.341,11,77,"A","Class1",71.061
90.114,2.937,37.482,53.892,27.367,41.554,32,44,"X","Class3",53.448
81.533,15.186,23.537,51.921,79.596,54.433,20,37,"T","Class3",50.103
85.512,33.378,47.488,63.102,59.48,75.545,10,62,"K","Class1",70.988
79.018,33.163,36.944,36.137,30.625,45.447,23,38,"D","Class3",52.274
88.194,19.242,22.711,41.522,82.589,49.808,7,36,"C","Class3",52.256
81.702,29.838,32.586,66.885,85.655,46.544,17,36,NA,"Class3",51.886
74.464,16.385,42.359,9.995,69.879,70.045,9,43,NA,"Class3",52.103
40.171,71.272,59.261,0.535,67.442,70.463,37,21,"W","Class2",4.977
92.074,25.559,30.565,53.616,81.705,53.868,14,44,"D","Class3",53.82
72.013,82.313,62.088,0.404,66.262,87.039,24,49,"W","Class2",16.803
45.788,76.053,75.536,0.216,67.125,82.06,45,26,"F","Class2",36.811
85.696,34.487,47.862,59.799,41.512,49.561,10,83,NA,"Class1",71.58
79.22,38.673,21.979,43.894,75.606,59.016,7,45,"M","Class3",48.293
77.279,18.551,36.972,52.054,72.131,33.862,24,38,NA,"Class3",53.438
84.539,29.454,49.513,57.195,49.23,52.731,11,52,"Z","Class1",71.082
20.041,86.414,79.074,0.938,65.78,63.189,23,47,"V","Class2",28.53
85.895,10.786,28.464,52.851,57.536,37.799,6,42,"D","Class3",50.189
79.482,26.057,23.384,59.128,85.688,60.786,17,41,"T","Class3",47.56
85.837,7.919,38.777,71.771,74.34,69.261,7,39,"T","Class3",54.78
70.496,83.361,83.524,0.706,66.207,70.689,38,35,"W","Class2",33.908
84.851,30.517,55.227,60.918,52.978,82.066,10,63,"O","Class1",70.286
56.089,77.953,53.485,0.502,61.942,70.461,55,51,"D","Class2",27.506
92.076,11.958,29.996,49.047,19.852,86.71,3,41,"T","Class3",50.732
81.396,7.42,42.283,37.54,NA,28.789,10,39,"T","Class3",52.473
84.086,30.62,55.471,54.256,55.429,64.695,11,65,"O","Class1",70.311
57.493,81.795,57.102,0.422,69.745,76.345,33,51,"W","Class2",62.385
84.38,30.972,46.474,60.036,62.184,49.849,10,59,"Z","Class1",70.593
73.711,-7.022,41.768,57.039,46.885,80.007,30,47,"X","Class3",52.983
42.536,76.432,76.196,0.82,72.57,75.644,74,60,"F","Class2",60.526
91.161,12.709,16.892,88.789,27.616,77.346,26,40,"T","Class3",52.602
84.558,27.646,36.285,58.364,71.557,87.586,19,45,"C","Class3",52.238
86.204,29.747,52.933,61.66,50.791,71.011,11,79,"K","Class1",71.221
79.833,85.298,72.069,0.1,62.095,70.196,70,61,"F","Class2",82.547
76.898,9.274,30.71,32.275,40.071,76.472,23,38,"M","Class3",51.067
82.989,31.812,47.392,57.81,53.934,62.426,11,90,"K","Class1",71.249
83.78,26.905,54.541,58.827,66.83,71.851,11,84,"K","Class1",70.679
85.413,0.546,40.19,61.409,45.916,39.424,13,37,"C","Class3",51.889
90.291,7.959,39.028,74.02,27.899,65.106,15,37,"T","Class3",51.064
91.699,10.674,21.383,23.975,NA,50.371,32,38,"X","Class3",52.638
83.394,32.019,52.074,60.281,39.797,74.29,10,53,"Z","Class1",71.037
71.117,76.951,84.754,0.307,68.479,64.596,21,62,"F","Class2",10.145
84.148,25.636,49.371,61.274,50.011,60.982,11,53,"O","Class1",70.969
84.14,5.746,33.515,53.182,26.922,77.336,4,34,"X","Class3",52.406
93.378,25.932,20.704,53.388,64.151,34.763,24,41,"C","Class3",52.379
93.077,11.259,23.956,56.068,82.419,23.62,29,41,"X","Class3",53.433
85.547,31.488,53.459,62.063,49.199,51.029,11,86,"Z","Class1",70.504
82.213,28.723,54.65,57.713,NA,84.884,11,66,"C","Class1",71.425
83.039,24.482,50.774,58.552,46.32,75.659,10,90,"A","Class1",71.924
79.243,88.584,58.989,0.359,74.955,63.721,51,45,"C","Class2",17.211
14.497,76.857,59.865,0.45,71.49,58.203,39,51,"V","Class2",12.781
66.79,79.739,76.551,0.544,69.003,70.609,52,62,"C","Class2",40.193
83.941,26.837,48.298,60.69,55.279,81.047,10,76,"K","Class1",71.693
82.931,26.591,54.072,63.587,38.632,70.536,11,63,"A","Class1",70.456
18.963,73.417,71.612,1.124,73.153,62.208,40,24,"D","Class2",44.723
32.139,77.768,89.101,0.325,66.322,67.124,54,34,"V","Class2",34.491
90.322,21.02,22.897,80.109,78.559,72.561,6,37,"D","Class3",51.436
78.944,79.504,88.452,1.3,64.423,64.532,22,60,"F","Class2",2.306
76.599,83.204,65.19,0.766,60.592,68.823,49,28,"W","Class2",18.097
84.973,28.423,57.266,59.071,60.644,73.056,10,56,"C","Class1",70.34
45.078,74.938,51.706,0.766,63.403,84.948,26,34,"F","Class2",45.707
44.153,75.294,80.298,0.761,73.631,68.745,79,22,"V","Class2",47.636
48.898,85.726,53.841,0.397,66.916,77.017,65,48,"D","Class2",25.533
61.583,79.417,78.712,0.069,71.951,62.138,23,23,"V","Class2",31.277
91.517,11.432,35.662,64.067,64.995,81.929,30,42,"C","Class3",49.957
83.187,4.863,22.277,56.668,89.669,25.345,8,41,"C","Class3",53.922
86.596,30.72,53.3,56.928,66.579,78.837,10,75,"C","Class1",71.113
59.138,76.194,67.111,0.199,72.065,79.126,77,21,"W","Class2",-15.237
83.332,30.868,57.326,62.856,41.449,80.727,11,56,"O","Class1",71.128
93.856,26.345,39.599,63.463,33.719,72.98,10,44,NA,"Class3",54.302
81.134,16.624,23.071,58.518,63.068,79.459,24,46,"X","Class3",50.65
84.029,26.239,51.047,60.279,43.884,50.664,11,91,"A","Class1",70.975
86.948,27.586,56.965,59.94,38.841,67.602,10,91,"K","Class1",70.809
85.383,29.977,54.08,58.881,60.009,39.229,10,74,NA,"Class1",69.665
84.553,27.598,55.379,62.089,59.247,53.359,10,53,"Z","Class1",71.568
86.508,24.051,57.13,62.874,60.586,58.357,11,54,"K","Class1",70.073
89.491,23.867,30.193,68.927,NA,55.837,13,34,"C","Class3",52.736
82.467,34.55,48.043,59.05,61.567,82.904,11,55,"A","Class1",69.01
23.357,81.791,82.854,-0.206,62.992,75.674,48,47,"W","Class2",46.908
84.626,31.344,56.935,57.099,59.063,67.979,11,51,"O","Class1",72.07
84.466,8.759,37.166,66.385,43.807,67.474,15,47,"D","Class3",50.336
79.611,20.749,42.239,57.25,22.404,81.213,12,34,"M","Class3",50.013
69.399,72.779,83.984,0.217,74.277,78.306,25,54,"F","Class2",98.479
65.462,75.941,80.583,0.553,70.157,74.876,32,48,"W","Class2",50.584
38.472,81.785,90.865,0.244,69.234,81.428,17,48,"C","Class2",2.493
72.79,72.882,70.182,0.953,62.961,72.308,30,28,"F","Class2",44.077
18.74,71.264,64.746,0.297,73.943,71.924,76,33,"V","Class2",85.066
27.675,85.185,63.473,0.563,73.003,76.173,16,22,NA,"Class2",48.345
66.699,81.035,68.188,0.826,69.139,63.773,61,32,"C","Class2",51.913
82.375,22.529,59.703,62.945,58.026,70.656,11,54,"O","Class1",70.399
72.64,2.669,18.501,46.476,53.904,66.071,11,36,"D","Class3",49.927
84.053,27.663,57.668,57.841,47.56,55.705,11,74,"O","Class1",71.325
75.772,1.144,27.527,74.449,42.702,50.402,4,45,"D","Class3",51.555
88.225,8.819,38.727,43.648,30.698,41.858,19,47,NA,"Class3",51.756
8.524,87.771,54.656,0.42,63.232,70.226,51,28,"W","Class2",15.727
13.747,80.771,60.401,0.472,60.872,75.445,50,51,"V","Class2",56.558
43.888,78.307,68.861,0.984,73.662,77.086,28,36,"V","Class2",37.408
78.781,8.297,26.302,56.484,66.961,5.691,4,34,"X","Class3",52.053
82.626,31.699,49.556,62.25,NA,58.387,11,87,"O","Class1",73.243
84.753,33.483,52.911,58.017,40.503,75.581,10,70,"C","Class1",70.798
83.172,29.066,47.676,60.343,56.686,64.873,11,63,"A","Class1",70.017
86.382,36.964,56.167,61.31,43.637,69.289,10,81,"Z","Class1",70.563
85.109,24.723,57.967,63.181,60.175,75.154,11,60,"A","Class1",71.752
49.454,88.513,78.708,0.167,67.979,47.44,39,59,NA,"Class2",62.501
70.131,75.092,75.889,0.55,66.654,72.471,51,37,"D","Class2",53.219
77.102,12.007,30.3,35.305,43.484,80.59,2,34,"T","Class3",51.047
92.752,23.396,27.977,53.01,77.887,47.966,1,36,"C","Class3",52.838
23.829,81.72,63.329,1.076,68.207,54.49,49,42,"C","Class2",38.533
82.346,31.896,51.271,56.493,43.103,46.802,11,51,"K","Class1",70.512
73.699,75.759,90.527,0.269,61.385,63.849,51,38,"F","Class2",-12.283
71.692,84.136,79.07,0.352,67.63,76.873,55,55,"C","Class2",36.866
39.58,71.806,56.389,0.267,61.62,75.121,67,40,"W","Class2",50.038
85.185,29.395,51.504,62.939,52.831,59.941,10,76,"K","Class1",71.346
85.604,29.81,60.089,61.991,40.614,54.477,11,87,NA,"Class1",71.62
76.058,7.67,41.757,61.591,85.029,51.789,17,39,"C","Class3",54.443
83.515,27.217,57.669,63.813,50.646,76.481,10,70,"K","Class1",70.618
85.199,6.492,34.804,51.492,18.837,22.832,15,46,"M","Class3",53.718
82.193,28.307,50.838,60.913,42.721,69.162,10,84,"O","Class1",71.992
87.733,30.11,17.292,42.704,16.869,60.942,2,40,"M","Class3",52.815
83.121,28.849,46.122,60.635,44.974,79.015,11,80,"A","Class1",72.031
22.425,84.024,68.435,-0.344,60.42,60.291,60,24,"V","Class2",16.448
86.744,6.294,40.578,50.731,91.605,49.244,34,44,"X","Class3",50.724
82.465,28.862,54.619,60.733,54.986,60.21,10,76,"Z","Class1",70.348
43.367,69.226,58.945,0.309,72.237,59.67,68,59,"D","Class2",28.17
82.063,29.98,47.877,57.377,54.352,60.959,11,68,"K","Class1",71.492
80.825,15.992,42.817,75.735,40.354,102.363,31,45,"C","Class3",53.839
85.92,29.632,54.999,57.283,46.995,71.746,11,74,"C","Class1",72.095
84.242,31.844,52.945,62.147,46.782,65.744,10,83,"Z","Class1",70.74
84.657,3.846,40.515,45.863,84.535,57.217,25,42,"T","Class3",49.538
10.586,92.697,63.764,1.147,63.996,70.188,21,33,"C","Class2",-0.381
42.477,77.984,75.305,0.746,67.165,77.9,24,47,"D","Class2",55.822
83.405,40.497,48.902,60.729,40.083,76.39,10,79,"O","Class1",71.995
73.85,17.439,36.415,67.247,20.381,31.503,6,36,"X","Class3",53.358
81.393,6.743,36.01,58.197,87.521,37.547,30,36,"T","Class3",53.001
33.291,79.492,86.273,0.346,66.319,62.659,54,49,"V","Class2",24.248
76.339,17.078,32.036,49.402,85.14,68.72,14,42,NA,"Class3",52.871
68.575,79.193,74.58,0.501,65.821,74.241,22,36,"C","Class2",23.013
53.147,81.826,85.648,0.019,60.703,69.922,38,54,"D","Class2",40.627
84.251,30.698,54.266,61.316,66.813,52.747,11,73,"C","Class1",71.048
54.037,70.572,76.37,0.57,61.123,69.375,35,41,"D","Class2",59.595
92.873,22.933,19.976,46.359,33.047,51.274,18,34,"X","Class3",52.928
40.179,82.674,62.097,0.629,71.974,75.254,53,38,"D","Class2",10.445
83.902,26.833,51.482,61.389,48.428,71.772,11,90,NA,"Class1",72.447
83.396,29.843,51.707,60.795,39.093,61.194,11,75,"K","Class1",69.975
86.826,32.672,52.261,57.212,64.186,46.485,11,78,"A","Class1",71.026
44.408,82.878,73.253,-0.041,69.794,68.497,40,55,"D","Class2",84.849
82.687,29.392,48.641,56.192,41.036,72.705,10,63,"C","Class1",72.207
83.065,31.174,53.068,57.285,42.554,81.889,10,77,"A","Class1",70.545
91.369,6.651,42.89,57.536,54.59,79.226,31,43,NA,"Class3",52.468
73.849,22.791,17.637,49.497,68.569,21.737,31,37,"C","Class3",53.052
90.808,2.516,29.18,50.557,80.765,14.73,24,40,"X","Class3",53.216
27.654,78.047,83.513,0.022,61.073,70.498,43,35,"V","Class2",8.415
78.134,4.105,28.818,44.612,31.538,4.194,9,47,"T","Class3",51.021
83.879,29.674,48.64,58.78,42.132,62.835,10,82,"O","Class1",71.019
57.511,89.685,72.949,0.373,NA,51.339,70,53,"W","Class2",2.011
76.993,5.179,33.549,57.188,95.239,20.305,25,46,"C","Class3",52.029
44.783,87.135,52.533,1.035,70.199,85.553,46,43,"F","Class2",37.328
84.558,32.22,56.802,60.736,53.997,57.158,10,51,"C","Class1",70.512
91.172,21.549,24.703,47.973,25.104,57.777,11,35,"X","Class3",52.411
85.957,35.217,57.605,57.884,38.304,70.592,11,55,"Z","Class1",71.11
77.94,79.397,88.882,0.732,61.173,77.657,64,25,"W","Class2",24.461
82.182,-4.433,18.029,50.089,79.474,32.108,1,40,"D","Class3",52.707
82.155,35.265,56.433,63.578,63.815,82.333,11,52,"A","Class1",70.89
83.445,28.806,46.063,65.184,NA,78.991,10,82,"A","Class1",70.733
84.051,38.737,58.57,57.231,44.142,91.581,10,80,"K","Class1",71.296
84.07,27.517,55.522,59.502,62.671,52.661,11,53,"A","Class1",70.782
84.284,12.554,26.727,40.941,52.53,68.079,4,45,"X","Class3",52.657
84.294,-2.324,23.589,52.696,30.482,22.407,34,42,"M","Class3",52.933
93.295,-14.388,40.865,52.022,70.274,37.537,30,36,"X","Class3",51.178
75.754,77.714,54.895,0.386,61.241,68.676,68,21,"C","Class2",22.869
85.881,31.102,50.616,55.604,63.546,49.716,10,65,"Z","Class1",70.911
78.689,4.981,37.816,41.13,62.121,29.52,29,42,"X","Class3",50.475
51.53,72.721,78.501,0.356,70.361,67.37,51,41,"V","Class2",48.165
84.998,34.426,55.871,60.564,64.696,59.525,10,73,"Z","Class1",70.908
19.549,81.166,90.057,0.893,64.901,63.716,32,38,"D","Class2",18.724
72.463,28.592,34.785,43.204,57.853,42.343,34,36,"M","Class3",51.781
46.435,93.574,71.043,0.976,60.227,67.953,76,26,"D","Class2",59.207
83.476,22.07,23.189,45.923,18.609,102.523,22,36,"C","Class3",51.781
85.475,29.325,58.647,58.852,62.677,63.565,11,53,NA,"Class1",71.745
39.091,77.535,83.304,-0.078,70.093,86.287,34,63,"W","Class2",57.676
82.165,82.623,53.905,0.366,68.425,67.15,24,58,"F","Class2",37.858
54.189,75.952,65.331,0.76,71.256,70.933,77,63,NA,"Class2",46.234
27.052,70.036,88.16,0.494,61.175,67.171,47,58,"V","Class2",34.177
23.744,87.715,59.356,0.282,63.493,64.647,66,62,"V","Class2",47.849
83.407,29.791,52.346,58.847,50.273,73.179,11,57,"Z","Class1",70.247
47.92,77.006,74.493,0.981,63.551,67.023,75,39,"W","Class2",-16.719
84.614,26.407,54.662,59.783,61.997,71.974,11,86,"A","Class1",70.705
76.91,77.748,68.29,0.477,64.268,77.832,63,28,"V","Class2",32.907
81.428,26.096,37.367,44.717,70.615,56.442,31,41,"D","Class3",51.466
85.701,29.063,46.309,59.867,60.998,60.053,11,61,"C","Class1",71.059
83.424,25.77,59.941,58.718,54.661,74.841,10,58,"C","Class1",71.447
91.358,10.676,40.911,37.826,NA,66.497,12,41,"C","Class3",53.125
85.483,11.807,18.904,56.006,42.989,44.099,20,43,"X","Class3",49.86
92.245,18.116,30.508,36.614,54.134,21.568,15,38,"D","Class3",54.792
87.087,2.35,38.115,78.407,61.139,96.565,22,47,"M","Class3",52.15
86.797,28.513,57.561,52.124,40.399,64.906,10,53,"K","Class1",70.969
85.5,29.052,42.113,72.756,49.102,40.378,32,42,"D","Class3",53.702
85.699,30.665,51.17,55.053,60.8,67.012,11,81,NA,"Class1",71.091
85.599,30.354,49.63,58.441,60.45,54.219,11,58,NA,"Class1",71.054
62.089,71.642,63.967,-0.34,73.837,86.532,61,37,"V","Class2",75.529
76.57,18.558,20.143,63.46,51.965,73.667,34,42,"X","Class3",53.733
62.825,81.168,53.231,0.322,66.404,73.827,49,32,NA,"Class2",27.719
19.282,77.568,70.935,0.711,62.822,58.076,42,55,"F","Class2",78.85
6.268,77.104,61.731,0.425,63.836,80.016,71,55,NA,"Class2",3.675
79.175,11.585,28.338,59.673,15.321,7.608,3,36,"D","Class3",50.415
83.681,29.982,49.997,58.028,57.472,81.482,10,83,"O","Class1",71.031
91.95,17.089,33.772,50.729,60.658,3.893,23,40,"C","Class3",52.053
73.039,16.13,40.867,46.223,31.821,81.871,33,35,"M","Class3",49.687
28.954,81.458,68.915,0.845,NA,65.794,40,27,"C","Class2",53.108
35.644,87.578,90.231,-0.15,72.883,65.21,24,59,"V","Class2",42.93
88.963,15.712,38.964,63.097,34.294,47.538,31,45,"X","Class3",51.187
85.766,31.329,53.948,62.598,57.103,76.508,11,59,"K","Class1",71.756
86.082,29.636,60.931,58.345,49.318,62.615,11,83,"Z","Class1",71.045
84.177,28.864,54.039,61.484,49.56,70.609,11,59,"O","Class1",70.526
60.878,75.277,59.95,0.471,74.681,75.854,20,32,"V","Class2",7.881
22.161,84.85,82.814,-0.192,64.818,65.335,26,43,"C","Class2",-10.975
83.63,32.109,56.223,56.4,57.495,62.103,11,62,"A","Class1",71.562
75.897,84.332,55.043,0.067,66.406,61.23,19,36,"F","Class2",72.719
