"OWE1","HKA2","PXA3","KWV4","IDA5","KEC6","YGR7","UVD8","ZFL9","ESN10","Output18"
"E",38.233,57.042,50,59,91.183,40.476,76.68,32.782,59.406,"Class2"
"H",6.246,24.795,87,10,76.671,83.272,61.547,61.46,62.729,"Class1"
"P",45.992,54.564,65,41,84.324,42.471,80.79,46.496,15.325,"Class2"
"T",58.192,54.26,57,65,41.022,44.556,80.414,35.745,67.471,"Class2"
"H",30.601,11.054,90,13,93.729,83.535,31.997,72.687,41.251,"Class1"
"H",60.029,58.52,40,55,47.723,18.295,35.389,75.391,75.23,"Class4"
"H",14.571,54.224,44,10,15.554,41.848,11.401,85.646,69.985,"Class4"
"S",37.622,22.845,59,13,81.579,84.446,36.91,79.518,6.771,"Class1"
"X",76.116,71.123,26,29,39.929,37.194,39.592,12.277,78.132,"Class3"
"E",45.311,49.973,65,61,55.872,45.75,81.199,45.859,NA,"Class2"
"H",50.535,19.797,67,14,70.266,86.521,33.662,60.367,68.426,"Class1"
"O",37.036,2.695,42,11,84.416,86.189,49.649,62.783,72.91,"Class1"
"E",44.269,48.234,62,45,63.826,40.085,80.69,48.628,34.534,"Class2"
"E",45.711,55.024,54,40,52.179,38.244,84.8,32.625,32.517,"Class2"
"S",28.282,54.261,57,62,68.667,38.943,83.63,39.454,20.299,"Class2"
"F",34.536,66.041,34,24,39.416,49.369,18.54,71.742,75.467,"Class4"
"H",37.582,13.488,47,7,78.509,86.226,50.713,63.553,61.639,"Class1"
"U",44.458,39.931,50,49,73.207,44.726,22.082,81.302,64.047,"Class4"
"S",34.438,46.825,68,54,63.459,41.141,86.357,32.148,29.002,"Class2"
"U",28.958,52.552,48,47,59.534,29.918,11.713,72.006,65.862,"Class4"
"J",68.144,71.532,25,34,30.173,49.546,53.735,14.892,67.389,"Class3"
"Y",40.599,50.883,46,42,86.678,38.05,88.59,34.241,45.141,"Class2"
"X",71.358,63.442,72,1,37.406,39.657,39.265,84.736,76.672,"Class4"
"H",22.111,16.617,70,7,84.392,82.651,80.668,81.085,8.605,"Class1"
"H",21.463,15.721,59,8,81.453,84.553,44.554,69.334,56.709,"Class1"
"U",57.815,54.258,37,13,53.2,37.262,28.973,77.659,65.014,"Class4"
"V",22.978,49.81,45,46,37.508,29.825,55.147,91.2,67.682,"Class4"
"Z",51.861,73.356,25,36,45.531,NA,57.094,15.987,57.251,"Class3"
"O",26.57,5.951,79,15,73.616,83.074,81.629,58.721,51.676,"Class1"
"H",83.018,18.684,64,16,77.475,88.997,73.228,73.696,52.79,"Class1"
"S",42.924,49.472,67,41,51.982,43.545,83.245,40.111,15.808,"Class2"
"F",35.688,44.316,72,2,54.568,39.918,58.953,74.643,64.014,"Class4"
"J",85.687,76.965,36,40,22.4,39.826,67.507,15.257,82.821,"Class3"
"V",48.652,53.71,48,54,52.736,43.766,60.212,95.099,71.637,"Class4"
"X",39.971,45.989,37,45,44.786,34.311,44.314,82.501,76.637,"Class4"
"T",41.31,52.601,47,65,68.228,38.677,77.654,35.924,6.996,"Class2"
"T",49.074,53.562,52,55,46.574,39.881,84.735,47.964,54.171,"Class2"
"O",64.298,24.971,36,12,75.684,82.599,44.532,65.76,9.471,"Class1"
"E",41.915,51.721,64,64,71.116,42.809,85.512,48.252,9.981,"Class2"
"Z",74.562,82.378,42,18,40.919,37.733,75.88,12.627,74.292,"Class3"
"V",41.878,15.212,62,16,103.002,88.008,45.961,75.122,74.841,"Class1"
"U",65.478,56.076,50,28,40.185,49.528,27.141,86.248,64.34,"Class4"
"H",22.511,22.979,86,8,85.839,79.305,71.776,62.695,60.8,"Class1"
"F",83.513,10.627,65,6,83.557,82.873,34.225,61.232,74.412,"Class1"
"O",25.405,12.651,73,8,94.036,81.664,56.743,73.8,52.705,"Class1"
"T",45.454,53.834,49,45,66.977,45.538,77.231,32.256,20.851,"Class2"
"Q",59.493,43.934,26,19,26.775,44.158,91.579,14.531,69.127,"Class3"
"V",93.662,63.6,37,9,54.588,17.592,20.369,95.699,65.247,"Class4"
"E",43.317,50.186,68,47,69.478,39.496,82.221,49.957,22.365,"Class2"
"K",65.425,80.394,40,48,19.455,40.885,49.394,13.493,58.46,"Class3"
"P",57.282,58.877,63,62,76.032,40.598,87.971,42.053,53.45,"Class2"
"K",80.153,73.615,27,22,31.838,49.972,67.624,14.005,NA,"Class3"
"K",59.543,43.228,24,32,21.962,37.459,93.105,14.59,85.483,"Class3"
"S",55.061,28.117,49,14,82.248,83.759,32.037,59.426,50.269,"Class1"
"P",53.598,52.39,66,40,76.843,43.124,78.667,34.477,33.291,"Class2"
"U",94.679,54.028,65,6,32.253,35.219,56.197,86.541,66.613,"Class4"
"F",7.924,16.076,74,6,97.832,85.237,86.325,69.467,14.168,"Class1"
"Q",49.521,41.763,23,20,13.705,47.708,92.764,15.877,69.465,"Class3"
"H",63.233,19.331,79,12,100.645,87.964,77.098,61.939,38.575,"Class1"
"J",33.888,63.254,19,17,25.507,40.819,38.38,14.415,51.835,"Class3"
"F",81.309,19.517,49,12,69.674,84.813,68.808,63.072,52.172,"Class1"
"O",51.791,11.605,82,14,94.02,83.574,54.374,56.156,39.597,"Class1"
"X",66.765,48.769,32,22,35.49,44.878,60.09,12.337,85.465,"Class3"
"H",25.278,35.621,73,48,46.15,13.078,31.525,87.604,74.353,"Class4"
"S",42.815,58.255,67,60,76.451,40.394,86.433,35.762,29.427,"Class2"
"P",48.539,53.155,63,42,86.217,41.14,82.983,32.995,5.692,"Class2"
"S",48.132,14.354,58,15,78.626,80.991,45.004,58.394,0.282,"Class1"
"J",53.305,55.831,31,26,32.742,40.928,46.111,10.406,53.598,"Class3"
"T",57.885,51.077,51,49,40.945,40.456,82.876,38.201,19.858,"Class2"
"V",24.865,52.652,34,27,41.177,36.394,44.486,60.83,76.252,"Class4"
"X",77.723,89.119,33,23,23.662,32.483,77.687,13.968,79.707,"Class3"
"F",28.673,39.514,55,26,67.072,33.541,58.754,80.517,70.869,"Class4"
"S",49.522,17.12,67,12,80.74,83.079,79.772,74.318,8.604,"Class1"
"Q",85.513,50.454,23,21,24.343,52.834,62.31,13.133,NA,"Class3"
"U",37.58,31.331,49,31,44.404,22.796,60.563,72.753,73.02,"Class4"
"K",52.847,69.613,15,43,29.603,42.952,60.608,13.737,73.862,"Class3"
"E",35.871,53.605,60,52,73.494,43.116,86.652,38.635,34.522,"Class2"
"F",15.558,40.774,58,4,77.816,23.033,22.931,96.717,67.679,"Class4"
"F",74.741,19.244,68,6,88.706,NA,53.688,83.428,36.511,"Class1"
"X",50.372,75.647,26,36,25.191,40.584,68.605,10.608,70.835,"Class3"
"K",58.761,67.493,23,46,31.728,51.878,49.908,10.945,55.786,"Class3"
"E",42.058,49.721,49,49,62,43.152,84.14,32.303,12.587,"Class2"
"P",38.314,54.815,62,56,47.073,40.841,85.856,36.004,44.218,"Class2"
"F",17.241,7.191,39,9,86.687,88.578,41.835,61.736,38.302,"Class1"
"E",42.813,52.3,53,65,54.62,40.647,87.163,38.552,56.025,"Class2"
"V",45.991,23,89,15,73.453,83.622,67.653,66.726,52.539,"Class1"
"K",55.483,75.712,42,18,25.522,41.7,76.394,10.436,NA,"Class3"
"Z",54.951,46.693,27,38,29.498,37.694,81.988,10.955,81.727,"Class3"
"H",5.427,56.063,41,35,19.352,38.708,51.107,61.633,69.735,"Class4"
"H",56.862,44.845,65,50,29.324,34.576,53.197,95.108,64.913,"Class4"
"V",19.819,30.146,59,15,77.027,81.992,79.389,57.433,16.249,"Class1"
"X",57.262,84.859,17,19,17.29,35.534,77.065,10.663,72.489,"Class3"
"V",21.657,44.979,46,0,46.663,36.522,30.805,60.686,75.501,"Class4"
"K",60.014,88.885,20,27,6.167,NA,68.274,14.867,66.122,"Class3"
"Q",63.303,66.873,15,36,22.175,39.456,45.133,11.133,74.215,"Class3"
"U",16.986,54.764,57,24,36.211,59.196,52.466,80.6,71.498,"Class4"
"Y",49.363,49.485,54,57,83.801,42.282,82.603,33.45,4.392,"Class2"
"V",65.788,36.339,63,31,71.514,31.413,18.707,71.16,69.624,"Class4"
"H",56.274,27.234,50,10,100.143,85.851,30.542,78.847,49.676,"Class1"
"Z",37.522,54.823,38,32,34.246,48.046,83.283,10.058,66.65,"Class3"
"T",44.711,52.823,60,51,41.236,40.47,75.907,35.932,35.588,"Class2"
"H",61.404,60.379,44,12,44.99,39.448,53.96,82.62,76.171,"Class4"
"P",54.319,52.88,66,61,67.674,NA,80.61,44.013,45.823,"Class2"
"Y",58.94,52.946,58,51,23.174,NA,76.771,41.327,54.159,"Class2"
"H",85.187,21.525,37,7,80.686,NA,54.606,81.844,14.139,"Class1"
"H",40.413,68.72,43,31,67.606,37.882,35.751,85.865,65.674,"Class4"
"H",25.815,59.42,35,5,54.066,31.661,43.79,85.813,68.14,"Class4"
"Q",59.68,100.418,19,34,31.389,41.602,87.422,15.659,65.943,"Class3"
"S",39.254,50.755,71,40,52.036,40.961,80.905,43.448,19.958,"Class2"
"T",46.328,51.702,60,41,42.025,41.228,78.119,45.934,68.858,"Class2"
"X",22.122,52.054,70,43,40.69,32.222,27.787,79.286,NA,"Class4"
"H",37.113,61.775,56,54,10.867,NA,14.266,95.713,67.894,"Class4"
"S",25.678,9.836,46,14,94.426,86.216,49.77,73.852,39.526,"Class1"
"Z",83.139,67.157,28,30,38.055,43.79,80.733,13.807,72.071,"Class3"
"H",34.474,16.691,44,13,99.495,87.195,37.174,65.235,48.601,"Class1"
"Z",78.21,71.608,43,47,36.497,45.505,48.258,15.111,87.078,"Class3"
"T",47.08,51.579,67,45,45.622,40.201,81.029,40.927,41.16,"Class2"
"X",92.032,56.553,22,42,21.394,36.983,41.708,14.729,56.992,"Class3"
"Y",55.749,53.741,67,57,73.362,43.077,79.968,42.082,67.054,"Class2"
"K",88.625,68.921,31,20,32.812,39.408,72.463,11.982,60.232,"Class3"
"S",47.558,16.818,36,13,82.986,86.055,48.662,62.64,23.411,"Class1"
"H",38.882,40.168,53,13,55.167,55.608,38.09,81.292,71,"Class4"
"S",57.557,12.149,67,9,55.435,81.736,37.632,66.099,23.373,"Class1"
"X",45.193,53.148,58,40,75.297,17.495,55.874,71.687,69.111,"Class4"
"Z",59.047,87.877,24,30,22.425,41.417,75.179,13.919,58.744,"Class3"
"E",35.125,53.972,57,60,59.149,38.6,79.551,43.242,59.401,"Class2"
"X",88.841,70.834,42,46,30.924,35.752,92.296,16.265,76.889,"Class3"
"F",37.502,26.044,73,12,76.817,84.291,84.948,77.235,4.071,"Class1"
"F",4.848,11.315,78,5,84.938,85.05,64.869,70.575,57.942,"Class1"
"U",37.627,54.843,68,4,38.929,26.294,55.239,93.15,69.403,"Class4"
"V",15.535,41.31,56,19,36.284,33.794,58.332,58.593,63.561,"Class4"
"S",51.595,55.253,54,64,40.067,40.311,81.401,49.922,65.727,"Class2"
"S",44.306,47.974,60,43,91.651,44.778,78.999,33.577,45.411,"Class2"
"H",1.302,16.381,58,16,79.679,84.085,76.34,62.433,68.171,"Class1"
"E",56.717,56.057,69,43,65.347,44.266,81.383,43.329,5.256,"Class2"
"X",66.074,81.141,38,41,18.309,49.057,86.531,15.583,74.011,"Class3"
"F",41.09,26.827,76,11,74.301,81.909,76.794,66.878,44.474,"Class1"
"F",53.684,6.082,91,5,96.73,87.441,30.346,68.1,62.075,"Class1"
"V",47.945,68.148,36,4,36.557,35.844,17.009,81.055,68.81,"Class4"
"X",84.72,84.871,34,46,14.742,40.594,82.233,12.068,50.921,"Class3"
"E",45.72,51.146,47,55,71.449,41.169,87.054,41.656,NA,"Class2"
"V",48.912,60.278,71,37,50.246,58.766,45.383,60.074,64.091,"Class4"
"X",53.378,35.664,35,41,41.979,37.361,23.267,82.756,63.662,"Class4"
"S",49.634,51.504,56,54,52.327,40.227,85.235,35.201,10.171,"Class2"
"O",74.3,20.873,55,8,60.107,83.691,41.093,69.044,NA,"Class1"
"T",54.087,58.209,70,64,33.485,42.182,76.529,43.767,62.401,"Class2"
"F",25.649,22.226,52,10,90.41,84.608,71.928,62.152,NA,"Class1"
"T",50.909,48.46,46,56,63.29,42.91,86.438,35.784,44.162,"Class2"
"V",40.368,48.091,56,26,62.3,36.374,23.921,80.72,68.581,"Class4"
"Y",39.939,52.799,47,62,73.431,40.376,76.241,38.512,54.77,"Class2"
"V",30.087,21.786,40,16,83.1,88.106,63.985,68.964,50.079,"Class1"
"O",21.074,15.523,72,11,95.231,89.27,68.155,82.281,37.58,"Class1"
"K",51.71,92.728,16,26,24.851,46.873,89.705,11.751,NA,"Class3"
"V",32.066,52.811,33,13,53.557,40.569,53.026,82.721,64.691,"Class4"
"X",-7.76,63.724,68,30,50.027,32.405,35.315,88.28,71.713,"Class4"
"E",53.276,56.553,54,45,68.141,41.356,88.03,48.076,34.005,"Class2"
"X",32.87,51.889,35,6,23.142,48.844,33.305,68.926,68.408,"Class4"
"X",26.611,49.147,60,42,57.85,51.557,59.42,96.144,76.477,"Class4"
"X",32.412,63.62,63,14,64.265,27.975,54.324,74.08,69.831,"Class4"
"X",24.151,50.16,51,24,36.76,31.437,29.482,85.479,68.937,"Class4"
"F",39.552,14.395,85,14,68.318,87.045,34.091,57.712,65.218,"Class1"
"V",31.677,58.045,53,13,41.775,38.615,33.09,62.156,72.971,"Class4"
"F",61.346,48.781,72,48,87.77,50.208,40.054,88.231,66.95,"Class4"
"P",39.214,48.857,65,53,67.66,41.759,84.962,47.314,20.889,"Class2"
"Y",46.162,55.524,63,42,62.248,40.947,84.792,40.091,16.404,"Class2"
"J",72.074,72.192,18,44,17.232,48.304,81.795,14.446,73.619,"Class3"
"P",43.049,52.271,52,62,69.077,41.659,77.683,35.138,37.55,"Class2"
"F",45.777,14.234,71,10,87.604,85.995,45.476,76.654,57.265,"Class1"
"H",43.162,14.503,63,12,66.245,87.659,82.868,80.158,43.972,"Class1"
"S",38.597,51.228,66,44,79.7,40.089,81.914,40.148,21.528,"Class2"
"E",58.095,57.455,65,45,80.864,42.44,80.451,50.04,19.53,"Class2"
"U",27.809,51.062,48,0,35.498,41.663,12.965,67.428,69.045,"Class4"
"S",30.901,22.036,35,5,77.628,87.789,59.382,82.128,52.318,"Class1"
"K",76.26,86.483,36,30,28.192,49.276,56.853,13.233,61.687,"Class3"
"X",87.559,96.824,20,35,25.617,41.893,54.793,11.461,68.798,"Class3"
"Z",75.086,66.638,43,37,18.388,46.314,49.914,16.432,57.198,"Class3"
"O",29.076,30.225,82,6,82.275,84.218,34.683,73.364,64.843,"Class1"
"O",66.66,28.046,39,10,63.264,82.294,69.73,67.585,4.546,"Class1"
"F",63.725,23.397,48,15,63.272,NA,40.581,76.378,32.738,"Class1"
"V",19.59,28.059,49,10,72.383,82.38,53.474,72.964,42.555,"Class1"
"O",10.094,19.531,42,6,64.436,86.883,45.43,65.417,7.383,"Class1"
"F",28.64,20.354,76,14,71.249,84.128,44.006,62.66,42.566,"Class1"
"H",15.5,60.054,71,36,60.723,21.958,36.035,75.261,73.791,"Class4"
"F",69.906,48.981,43,41,48.8,23.279,35.553,63.873,76.001,"Class4"
"T",34.705,52.771,49,59,75.379,43.493,85.88,48.111,30.732,"Class2"
"F",16.984,16.29,72,7,71.545,84.836,66.397,66.592,26.188,"Class1"
"Q",91.72,76.599,35,32,13.905,NA,78.923,10.864,63.203,"Class3"
"O",55.362,26.313,62,7,82.764,85.046,41.409,81.871,14.24,"Class1"
"U",23.221,62.142,52,55,70.193,31.347,38.591,77.6,65.787,"Class4"
"J",73.976,51.598,30,35,12.74,52.388,66.382,13.439,82.153,"Class3"
"F",60.715,17.083,56,16,80.583,88.407,80.959,81.233,34.148,"Class1"
"F",-8.382,22.414,76,5,62.768,88.028,44.617,63.719,30.018,"Class1"
"S",53.188,53.405,55,48,75.553,40.654,85.723,43.619,7.804,"Class2"
"Y",47.558,52.634,58,45,51.886,39.186,77.724,41.473,60.138,"Class2"
"Z",48.073,81.787,26,24,38.909,46.495,78.249,15.466,68.43,"Class3"
"H",47.071,24.201,79,15,74.014,85.311,81.524,64.212,6.743,"Class1"
"U",22.595,54.887,56,52,69.276,31.555,57.044,77.778,76.972,"Class4"
"X",49.263,100.742,38,38,33.652,43.177,73.899,14.174,69.513,"Class3"
"H",24.126,19.228,65,13,93.491,82.332,62.765,71.231,41.796,"Class1"
"E",56.2,52.674,62,40,67.707,39.41,86.467,33.603,13.595,"Class2"
"U",37.884,48.033,71,9,59.578,39.636,41.608,77.656,69.77,"Class4"
"V",42.196,21.422,75,5,90.883,91.469,73.404,57.33,27.592,"Class1"
"J",57.485,89.273,33,40,32.508,41.642,52.864,11.116,65.667,"Class3"
"U",18.442,57.672,74,53,61.797,35.161,22.298,94.653,65.682,"Class4"
"V",48.246,46.83,49,0,56.759,36.333,52.297,86.717,64.634,"Class4"
"O",33.654,19.338,93,16,102.594,86.942,30.523,57.583,29.711,"Class1"
"O",65.804,16.087,60,6,90.706,85.727,70.683,76.336,9.443,"Class1"
"H",28.977,12.024,60,15,74.744,93.21,63.83,71.711,43.386,"Class1"
"Z",37.546,55.225,44,44,30.764,NA,77.143,16.081,88.594,"Class3"
"S",47.516,49.714,46,62,59.737,41.562,88.749,47.182,20.38,"Class2"
"H",20.813,22.23,40,5,90.758,89.579,67.789,81.226,4.926,"Class1"
"V",33.023,77.247,75,5,40.885,46.675,28.727,67.793,66.5,"Class4"
"V",62.528,65.122,64,13,36.044,24.783,45.781,57.689,69.936,"Class4"
"X",8.691,55.89,39,3,74.892,57.526,35.716,95.375,72.595,"Class4"
"H",72.053,14.32,82,11,92.616,83.191,76.288,58.924,21.26,"Class1"
"P",52.146,54.435,56,46,76.923,46.012,87.714,38.672,68.93,"Class2"
"Z",53.885,57.132,39,24,28.335,50.461,72.698,12.71,85.712,"Class3"
"O",19.209,14.391,78,16,57.538,NA,48.499,84.317,45.726,"Class1"
"H",25.308,48.338,73,26,78.588,40.98,34.976,66.895,68.036,"Class4"
"T",54.465,49.763,69,46,70.63,41.105,78.887,49.991,68.435,"Class2"
"J",79.681,84.915,23,34,30.345,50.534,91.166,14.571,75.812,"Class3"
"H",44.658,56.504,41,35,59.942,32.826,13.308,60.802,75.504,"Class4"
"V",-0.797,49.291,59,1,39.787,34.282,19.578,63.457,71.836,"Class4"
"Y",45.388,56.469,67,60,73.472,40.994,76.732,40.357,64.897,"Class2"
"J",78.721,86.645,42,42,17.272,47.14,78.684,10.702,62.668,"Class3"
"X",83.326,97.111,22,29,21.074,34.789,84.02,11.243,63.989,"Class3"
"P",45.901,51.588,66,59,62.172,41.244,81.353,47.303,67.315,"Class2"
"T",50.115,49.19,54,49,56.572,39.063,82.775,39.635,23.351,"Class2"
"Z",37.667,71.48,24,43,30.179,42.829,84.809,11.628,54.382,"Class3"
"S",11.992,20.913,45,9,77.025,88.471,36.748,74.05,14.66,"Class1"
"S",65.149,9.135,87,15,76.333,87.037,45.114,69.766,68.493,"Class1"
"S",43.846,12.384,43,9,65.302,85.279,83.406,83.614,35.728,"Class1"
"P",41.374,55.846,61,45,85.958,40.674,82.659,42.868,35.809,"Class2"
"J",77.582,44.393,16,22,13.762,40.723,59.669,16.235,77.049,"Class3"
"J",102.474,91.654,37,27,40.649,41.944,89.646,16.209,72.419,"Class3"
"J",65.515,56.839,42,33,24.631,37.045,83.128,16.254,56.067,"Class3"
"H",46.596,21.45,36,12,71.991,87.471,84.424,57.704,52.276,"Class1"
"K",67.727,70.016,19,25,25.228,46.782,48.927,13.036,64.169,"Class3"
"X",65.889,70.698,36,30,7.746,49.658,47.873,13.596,57.916,"Class3"
"H",51.575,22.318,61,16,91.06,81.278,49.524,61.455,48.512,"Class1"
"V",56.787,12.698,80,16,84.9,84.1,55.292,83.222,70.089,"Class1"
"K",45.348,53.206,38,44,43.03,49.905,86.084,10.488,58.379,"Class3"
"X",28.429,84.089,39,42,26.349,44.163,83.322,11.414,68.108,"Class3"
"H",54.162,10.877,81,6,92.77,85.763,43.149,66.698,46.805,"Class1"
"V",34.394,17.966,45,5,76.036,88.508,67.913,77.684,NA,"Class1"
"O",22.524,14.63,41,9,78.278,88.1,41.991,66.459,51.911,"Class1"
"V",14.74,18.495,41,10,86.336,88.817,73.446,70.3,9.624,"Class1"
"U",13.015,53.51,69,51,29.101,43.508,18.861,72.01,76.193,"Class4"
"H",39.407,33.326,65,5,49.601,34.68,47.913,60.482,64.832,"Class4"
"Z",39.123,84.832,31,32,6.156,40.245,85.668,16.799,82.399,"Class3"
"Z",54.078,39.139,25,47,25.526,39.609,64.251,14.832,75.529,"Class3"
"V",56.588,5.765,46,11,100.188,84.994,81.606,70.432,23.54,"Class1"
"F",54.655,40.865,50,42,55.376,39.863,11.551,94.771,66.058,"Class4"
"S",53.913,49.061,63,46,78.005,43.281,85.936,49.005,52.353,"Class2"
"X",48.586,61.677,19,37,37.505,38.048,52.215,13.099,68.846,"Class3"
"S",55.86,22.71,63,10,66.776,85.733,44.206,63.268,51.606,"Class1"
"E",50.812,55.056,50,62,23.36,40.9,88.876,43.679,12.807,"Class2"
"Y",54.732,50.687,54,57,55.677,41.453,76.025,32.88,54.888,"Class2"
"O",47.006,18.56,93,16,87.605,88.342,39.506,85.177,NA,"Class1"
"H",29.152,42.132,75,18,33.479,51.38,60.433,70.031,71.181,"Class4"
"H",44.315,36.872,71,53,67.491,61.05,58.389,92.869,72.634,"Class4"
"X",85.683,104.122,43,19,33.215,43.61,74.32,13.786,88.222,"Class3"
"O",34.854,19.892,58,12,86.483,88.676,56.886,74.892,25.983,"Class1"
"V",36.643,21.298,58,15,53.848,87.386,61.967,64.668,22.843,"Class1"
"Y",44.853,44.979,56,51,58.046,39.784,79.34,39.155,7.789,"Class2"
"U",19.21,58.497,65,45,57.175,22.341,34.305,87.556,75.366,"Class4"
"H",31.329,41.111,46,20,80.7,36.177,31.94,78.907,63.278,"Class4"
"H",59.079,44.049,56,49,56.854,30.739,16.695,62.779,68.417,"Class4"
"Q",65.955,72.309,33,46,20.356,40.992,91.428,16.245,50.344,"Class3"
"E",47.979,52.408,57,50,45.395,43.045,87.162,46.282,60.011,"Class2"
"X",66.499,64.01,16,47,28.325,34.661,56.882,16.106,62.022,"Class3"
"J",66.602,75.608,41,26,21.685,43.332,49.299,16.074,78.072,"Class3"
"F",37.901,41.009,61,30,36.095,32.961,57.996,90.548,66.724,"Class4"
"H",0.236,4.794,93,15,92.255,89.152,85.315,67.105,34.871,"Class1"
"V",61.004,25.112,75,9,81.298,85.691,44.244,62.888,69.416,"Class1"
"Z",37.589,76.388,21,41,35.69,NA,51.957,10.665,75.982,"Class3"
"J",83.045,73.207,24,17,32.725,40.105,40.141,12.262,85.702,"Class3"
"V",4.063,26.152,74,7,71.222,NA,42.03,85.208,15.623,"Class1"
"H",64.249,36.507,66,25,50.186,17.381,37.423,93.759,65.687,"Class4"
"V",52.748,57.242,55,8,59.038,37.866,20.705,70.768,68.877,"Class4"
"S",48.014,53.673,46,57,62.715,40.575,78.161,37.708,65.343,"Class2"
"X",46.165,54.134,61,2,21.183,50.553,41.991,93.195,67.275,"Class4"
"X",40.979,78.872,18,17,31.899,36.259,91.685,15.326,53.903,"Class3"
"V",52.728,30.613,65,48,51.745,52.667,42.515,67.266,69.295,"Class4"
"Q",42.21,85.664,36,32,20.84,41.65,84.781,13.379,87.506,"Class3"
"S",35.712,51.813,61,47,73.566,43.208,76.923,34.923,30.04,"Class2"
"T",40.706,52.462,53,64,66.007,41.759,78.439,37.477,NA,"Class2"
"Q",37.205,81.174,42,37,27.249,39.296,54.176,14.063,53.261,"Class3"
"V",14.781,24.262,66,39,48.432,39.322,30.111,83.325,68.947,"Class4"
"Q",95.69,78.961,30,32,31.315,41.139,65.366,13.81,NA,"Class3"
"P",41.163,52.521,48,66,40.562,39.486,88.995,44.167,54.244,"Class2"
"Z",12.268,84.612,40,25,35.858,40.121,65.34,16.244,73.44,"Class3"
"H",34.049,72.821,37,36,51.212,49.656,46.988,66.738,64.514,"Class4"
"T",57.4,51.66,70,59,86.08,41.276,85.563,45.89,NA,"Class2"
"V",49.189,24.22,43,14,92.04,86.874,85.661,69.353,36.391,"Class1"
"S",0.021,9.329,58,5,84.557,84.42,62.862,63.884,60.244,"Class1"
"J",89.668,84.299,42,28,30.427,41.908,41.384,16.098,83.276,"Class3"
"S",55.608,43.861,50,51,65.062,41.634,78.235,38.203,14.856,"Class2"
"Q",61.924,68.29,42,30,26.799,50.589,73.31,11.554,56.179,"Class3"
"S",63.431,52.392,56,63,16.698,40.682,82.065,41.854,59.237,"Class2"
"H",21.035,9.874,60,10,83.387,90.415,86.025,70.253,69.751,"Class1"
"S",53.541,51.566,63,40,59.345,42.099,79.358,43.308,48.816,"Class2"
"V",18.709,24.304,88,16,73.936,84.126,74.385,76.008,55.286,"Class1"
"X",47.675,45.003,63,10,75.513,46.306,48.581,91.063,64.961,"Class4"
"F",57.088,51.297,40,20,33.296,39.784,13.344,66.467,74.189,"Class4"
"S",55.515,54.328,58,53,50.302,42.235,80.534,48.358,58.297,"Class2"
"X",70.556,59.444,37,36,21.34,45.343,86.439,12.556,79.829,"Class3"
"O",53.083,12.571,57,12,95.84,85.812,44.118,72.756,13.547,"Class1"
"E",46.809,50.491,65,44,89.867,40.137,83.799,45.965,32.102,"Class2"
"P",44.506,54.17,47,54,91.381,39.83,78.336,40.616,36.419,"Class2"
"H",32.178,5.359,63,13,98.466,76.02,53.647,83.77,55.126,"Class1"
"H",40.299,20.133,82,14,95.235,85.65,72.607,73.461,60.918,"Class1"
"J",52.554,75.118,31,33,12.289,NA,69.517,16.452,58.916,"Class3"
"S",41.438,16.511,80,5,83.994,88.22,84.709,82.318,NA,"Class1"
"U",36.953,66.869,40,35,71.431,32.057,26.526,69.869,72.17,"Class4"
"X",80.114,63.804,54,30,44.615,35.342,27.172,86.002,65.519,"Class4"
"O",-2.279,14.134,78,10,89.206,85.744,62.938,62.326,42.173,"Class1"
"F",20.908,41.824,35,43,37.252,35.815,19.343,86.971,63.145,"Class4"
"V",43.436,15.602,54,16,87.253,81.44,62.944,81.518,57.132,"Class1"
"E",57.177,54.573,45,57,81.011,42.867,77.596,33.64,47.874,"Class2"
"H",20.451,41.87,39,54,75.452,28.216,15.77,62.547,66.264,"Class4"
"Q",54.719,65.035,22,45,21.155,32.84,65.535,14.147,71.545,"Class3"
"F",41.827,35.982,67,39,42.777,47.753,13.02,62.138,69.014,"Class4"
"Y",56.288,51.525,59,48,56.678,41.53,77.664,48.1,43.135,"Class2"
"Y",48.894,51.521,71,44,66.382,39.697,83.529,49.706,55.644,"Class2"
"T",46.697,52.468,57,55,81.381,45.244,84.284,40.458,18.414,"Class2"
"S",20.41,21.351,50,5,91.994,84.813,49.686,67.567,61.097,"Class1"
"H",46.288,52.43,46,37,66.371,28.32,28.49,69.485,74.362,"Class4"
"Q",76.672,74.86,43,48,27.479,43.886,51.576,11.823,62.073,"Class3"
"P",54.929,51.252,69,52,54.466,41.507,81.892,37.596,63.988,"Class2"
"V",59.723,15.896,63,15,84.933,82.605,84.709,74.939,67.616,"Class1"
"Y",48.421,55.551,46,52,41.995,43.729,78.449,41.765,60.514,"Class2"
"H",12.042,58.842,74,7,33.872,37.059,14.349,93.168,76.908,"Class4"
"U",35.827,65.025,72,29,57.639,33.413,19.564,87.207,65.887,"Class4"
"F",8.001,25.693,64,16,64.84,84.657,75.482,70.838,26.819,"Class1"
"J",75.141,61.2,28,39,29.108,46.166,41.772,10.705,78.244,"Class3"
"F",21.644,15.146,40,15,76.499,84.748,31.656,61.104,73.341,"Class1"
"E",53.62,57.712,47,63,64.836,40.311,76.312,41.171,43.616,"Class2"
"T",45.708,44.819,68,40,72.352,42.316,86.198,45.35,NA,"Class2"
