"XTR1","VCD2","EUD3","Output22","NTM4","LKT5","UOF6","RGX7","VHR8","SQO9","JXU10","EVP11"
26.226,68.984,42,"Class1","W",25.435,64.386,"U",91.069,99.217,69.655,11.838
14.978,78.883,43,"Class1","J",14.153,68.18,"U",93.138,98.549,76.877,18.328
20.395,75.257,38,"Class1","W",30.177,74.079,"U",89.833,94.753,73.109,17.932
9.691,50.452,46,"Class2","J",77.842,82.409,"T",67.099,51.001,46.523,39.383
9.012,50.481,46,"Class2","G",83.344,77.002,"E",68.893,29.766,33.889,26.703
7.106,45.43,46,"Class2","X",81.903,83.349,"A",72.232,53.755,33.632,5.919
7.954,47.449,45,"Class2","J",84.419,82.882,"J",69.239,66.127,56.092,5.765
25.898,80.875,32,"Class1","U",29.264,70.133,"U",93.239,95.25,69.433,18.85
9.331,42.558,45,"Class2","G",79.315,84.76,"A",69.422,32.128,108.321,7.276
8.641,51.901,46,"Class2","X",81.219,79.595,"A",64.396,56.151,32.418,28.199
8.893,48.96,45,"Class2","J",84.617,84.873,"J",68.235,23.111,63.734,30.874
28.633,63.779,40,"Class1","V",23.443,71.05,"Z",89.54,93.482,75.639,14.837
17.179,82.437,52,"Class1","V",32.778,67.939,"Z",96.663,97.517,86.527,NA
35.68,70.241,35,"Class1","U",31.407,69.386,"P",97.82,98.527,88.551,19.536
9.478,46.768,45,"Class2","G",80.855,79.096,"A",68.13,47.93,58.419,23.264
24.525,79.59,31,"Class1","W",18.997,65.823,"K",92.649,94.103,80.234,25.535
21.807,86.957,28,"Class1","O",24.41,67.159,"Z",93.055,91.4,90.672,21.544
27.307,78.901,46,"Class1","W",15.641,69.364,"U",90.722,93.371,77.277,23.142
18.584,76.282,28,"Class1","U",17.568,68.135,"V",88.011,93.917,72.739,15.47
8.992,52.81,45,"Class2","J",86.705,82.741,"E",67.535,34.152,48.838,15.319
8.558,49.316,46,"Class2","G",82.064,79.587,"T",72.325,15.214,50.082,8.758
9.708,51.557,45,"Class2","X",78.518,85.81,"A",72.01,38.527,64.804,15.436
42.121,90.448,50,"Class1","O",23.673,66.722,"U",91.597,95.477,65.425,23.071
27.587,76.529,48,"Class1","O",25.72,68.438,"U",93.281,92.764,72.691,19.583
9.566,48.336,46,"Class2","G",78.654,80.987,"J",66.827,36.928,47.812,23.721
7.836,46.762,46,"Class2","J",85.448,80.322,"J",68.414,27.255,38.732,34.252
7.105,39.82,46,"Class2","X",82.494,83.246,"J",69.546,48.615,13.78,6.698
21.516,74.457,44,"Class1","O",24.632,69.922,"K",97.379,99.823,74.241,17.109
15.444,70.055,43,"Class1","J",20.314,68.397,"U",95.279,91.109,81.082,9.316
27.183,74.872,48,"Class1","O",28.067,70.557,"U",96.04,95.005,95.966,25.062
37.876,72.949,31,"Class1","J",22.969,64.968,"Z",90.758,98.317,70.475,21.95
9.568,46.386,45,"Class2","H",80.556,84.136,"E",66.168,21.435,31.024,35.779
28.259,71.999,49,"Class1","U",10.477,69.879,"U",90.498,98.138,84.534,10.54
14.694,81.296,41,"Class1","U",25.122,62.546,"Z",94.303,96.04,71.233,21.442
7.407,49.541,45,"Class2","V",82.894,88.832,"J",69.388,52.248,50.286,3.722
23.971,71.294,31,"Class1","V",17.932,66.127,"K",91.081,91.262,72.912,NA
41.744,70.575,45,"Class1","W",18.762,70.661,"U",94.608,97.449,85.126,19.824
7.599,45.575,45,"Class2","G",77.764,82.539,"E",64.512,30.662,10.691,35.408
27.972,69.171,30,"Class1","J",31.981,65.812,"K",96.403,90.718,87.754,24.276
16.511,69.183,41,"Class1","O",36.215,70.335,"U",96.447,99.855,88.584,21.245
9.785,49.511,46,"Class2","V",81.472,81.265,"T",72.932,23.146,54.586,36.145
7.114,54.781,46,"Class2","J",81.72,78.726,"V",71.6,55.449,71.541,3.316
26.15,73.775,37,"Class1","V",23.5,65.501,"V",90.308,93.456,87.111,15.202
39.268,69.064,54,"Class1","U",22.718,70.887,"P",94.52,93.115,NA,23.193
18.136,91.862,32,"Class1","J",25.308,73.023,"Z",96.459,91.036,78.318,25.081
15.82,72.4,43,"Class1","U",19.741,67.635,"Z",95.382,90.732,83.348,16.993
8.106,49.377,46,"Class2","G",81.774,81.688,"V",71.973,53.293,9.897,25.031
18.218,84.998,48,"Class1","V",22.597,71.242,"P",95.477,96.812,72.694,18.513
7.19,56.28,45,"Class2","V",81.675,83.063,"J",72.362,48.193,NA,30.705
26.707,63.29,49,"Class1","U",14.405,70.486,"U",88.959,90.025,74.898,15.547
8.516,49.194,45,"Class2","X",79.666,84.06,"E",72.748,54.691,36.976,19.994
8.224,51.175,45,"Class2","H",81.763,81.277,"T",73.267,47.397,38.162,31.26
15.784,61.994,39,"Class1","J",18.332,69.227,"U",96.032,92.123,NA,22.597
8.658,55.518,46,"Class2","H",81.77,78.493,"T",67.639,63.289,48.033,37.405
8.303,54.771,46,"Class2","G",81.151,81.633,"V",70.079,63.079,12.786,NA
9.336,50.295,46,"Class2","J",84.325,87.381,"V",73.456,35.043,58.953,43.755
9.725,47.969,46,"Class2","X",80.284,82.221,"A",70.434,68.546,44.94,41.072
14.205,71.408,37,"Class1","V",30.749,70.98,"U",93.86,99.219,86.675,16.181
7.05,46.44,46,"Class2","J",80.161,81.429,"T",73.88,67.957,32.711,26.622
14.402,79.583,29,"Class1","W",22.743,68.808,"Z",94.867,91.097,85.091,24.44
7.196,57.148,45,"Class2","H",82.141,80.422,"T",71.096,57.227,57.575,9.872
30.531,74.623,50,"Class1","J",23.302,73.799,"V",95.328,98.208,66.786,12.894
13.615,67.919,27,"Class1","J",18.134,63.878,"K",97.759,94.363,81.163,13.677
32.8,91.384,35,"Class1","W",27.559,69.801,"Z",96.885,91.51,75.791,25.071
25.349,78.799,32,"Class1","J",24.374,70.064,"K",88.358,93.484,73.949,16.461
8.348,51.61,45,"Class2","H",79.295,78.767,"J",71.377,53.222,56.31,46
23.666,78.957,33,"Class1","J",20.596,68.622,"U",96.584,93.446,86.943,21.16
23.146,91.614,48,"Class1","J",16.957,66.182,"Z",88.039,97.225,72.814,13.84
8.346,52.265,45,"Class2","X",79.081,80.758,"E",74.845,59.635,44.614,32.285
8.154,53.44,45,"Class2","X",75.006,80.728,"J",73.01,44.031,29.706,39.25
7.768,51.685,46,"Class2","V",82.372,80.317,"A",74.171,25.592,48.151,25.621
17.636,87.339,36,"Class1","O",26.243,68.746,"K",92.169,95.212,75.669,22.292
8.65,43.909,46,"Class2","G",80.96,82.414,"T",66.787,57.449,73.296,22.144
9.184,42.828,45,"Class2","J",77.975,88.295,"T",70.971,54.095,28.618,28.921
27.882,80.965,36,"Class1","V",18.395,71.239,"V",94.931,98.773,63.542,23.891
9.594,53.253,45,"Class2","X",81.317,79.988,"A",74.813,28.919,65.839,6.776
40.499,76.61,45,"Class1","J",33.321,65.373,"V",93.437,92.717,76.627,19.524
14.919,78.886,28,"Class1","J",10.626,74.421,"V",89.677,98.072,86.126,18.796
41.663,70.582,28,"Class1","O",32.143,64.954,"V",94.388,97.568,79.239,9.954
14.404,75.734,29,"Class1","U",18.578,67.56,"K",97.842,96.424,84.665,17.887
8.444,50.613,45,"Class2","V",81.54,87.985,"J",64.076,21.985,59.972,25.281
27.745,92.832,32,"Class1","O",13.346,65.33,"U",97.096,96.65,NA,18.895
23.416,72.188,43,"Class1","W",30.746,68.676,"V",88.023,99.483,70.254,15.071
29.564,77.94,35,"Class1","V",27.668,66.835,"V",92.535,91.014,75.064,11.248
19.748,62.493,43,"Class1","W",17.469,69.853,"V",89.336,90.638,87.935,11.196
8.18,45.794,46,"Class2","X",81.761,82.414,"E",74.278,31.911,NA,38.136
7.932,51.012,45,"Class2","H",83.756,73.11,"T",65.55,41.539,55.382,45.158
33.693,75.155,40,"Class1","V",23.365,66.296,"P",89.919,96.026,77.716,13.311
9.451,47.558,45,"Class2","V",81.046,79.204,"T",65.398,24.563,50.059,16.954
9.327,40.777,46,"Class2","V",78.219,84.396,"T",66.697,58.992,53.412,7.871
8.619,48.753,45,"Class2","V",80.696,82.675,"J",64.052,66.423,24.192,32.818
27.683,79.64,34,"Class1","J",27.222,68.832,"Z",94.09,95.858,83.411,17.505
21.66,80.258,36,"Class1","U",27.947,64.733,"P",89.548,98.944,78.08,23.704
39.85,80.43,32,"Class1","W",26.371,69.167,"P",88.528,92.716,76.4,17.378
36.956,67.229,28,"Class1","U",4.007,68.534,"U",95.842,93.432,59.622,17.525
13.335,82.573,37,"Class1","U",30.827,74.031,"V",91.903,97.73,71.111,17.756
30.578,80.763,44,"Class1","J",27.02,72.933,"U",96.308,96.543,76.788,11.917
33.001,75.621,49,"Class1","O",13.355,66.136,"Z",95.763,96.673,79.821,23.816
42.434,62.177,28,"Class1","O",22.064,62.855,"U",92.655,90.107,67.207,17.628
9.028,54.954,45,"Class2","J",78.359,88.483,"A",70.182,33.481,39.577,22.146
9.724,57.291,46,"Class2","J",82.921,82.851,"J",74.153,42.475,55.914,43.442
41.849,67.981,33,"Class1","W",23.969,69.021,"K",93.919,98.355,70.881,22.193
8.665,52.453,45,"Class2","H",81.295,73.491,"A",66.854,67.01,74.667,9.041
7.083,45.568,45,"Class2","X",83.214,84.207,"E",67.852,67.557,14.771,13.255
36.646,67.446,52,"Class1","V",29.691,73.445,"P",88.066,93.207,88.575,11.213
9.271,43.327,45,"Class2","X",77.568,79.181,"E",73.469,31.455,53.871,38.553
9.242,46.458,45,"Class2","J",84.661,85.156,"J",73.221,44.178,25.933,43.282
13.943,85.345,29,"Class1","O",23.952,69.449,"V",91.599,97.448,76.613,10.346
7.635,53.748,46,"Class2","G",84.063,83.089,"V",64.601,40.437,40.596,24.468
8.799,42.868,45,"Class2","X",80.303,79.302,"E",68.997,53.44,25.99,8.913
27.528,68.297,31,"Class1","J",20.437,69.311,"P",91.619,96.61,80.186,13.595
9.748,52.592,45,"Class2","V",80.937,80.302,"V",72.854,27.61,65.569,10.369
7.274,44.783,45,"Class2","J",81.137,81.776,"V",73.174,67.227,28.525,16.575
35.528,87.949,37,"Class1","O",31.694,72.966,"V",95.896,96.923,90.669,20.565
9.377,50.646,46,"Class2","V",84.991,87.103,"J",74.851,31.919,54.013,28.616
19.272,72.411,46,"Class1","V",30.604,68.534,"Z",93.44,94.013,71.843,13.352
12.749,81.832,52,"Class1","O",22.76,66.733,"U",95.444,94.671,71.8,16.854
25.139,70.087,34,"Class1","V",38.366,68.207,"K",89.157,91.48,80.73,19.616
7.769,42.611,46,"Class2","V",82.618,80.029,"J",73.55,25.619,62.874,11.718
9.042,49.175,45,"Class2","V",80.545,82.591,"A",73.921,52.286,55.291,NA
40.663,72.447,53,"Class1","O",28.578,71.917,"U",96.064,99.404,67.863,9.715
35.83,76.622,52,"Class1","J",30.752,74.498,"K",88.897,94.127,75.066,11.26
9.632,52.31,45,"Class2","V",81.115,80.419,"J",69.943,22.827,61.341,31.849
32.644,70.245,52,"Class1","V",25.304,68.557,"Z",91.723,91.576,89.881,17.946
23.286,85.227,46,"Class1","W",22.44,69.091,"K",93.223,91.812,73.137,13.89
42.954,81.33,41,"Class1","V",24.438,71.947,"K",94.628,96.257,75.959,22.967
8.512,43.411,45,"Class2","H",80.823,83.356,"T",66.588,37.232,34.024,NA
13.384,76.684,38,"Class1","U",20.096,64.141,"U",89.501,92.961,90.331,12.661
42.207,76.248,32,"Class1","J",25.39,73.332,"U",94.072,94.248,82.479,11.788
9.781,48.107,46,"Class2","X",76.374,80.312,"T",64.319,17.485,66.831,14.666
8.022,56.642,46,"Class2","H",80.501,83.119,"J",69.944,41.148,64.765,9.428
9.089,47.673,46,"Class2","G",78.657,84.994,"T",67.765,15.411,44.01,17.62
8.891,41.296,45,"Class2","G",84.201,81.777,"T",66.025,34.51,44.061,26.062
20.247,74.99,30,"Class1","W",22.208,62.931,"P",88.169,95.804,73.297,17.662
31.776,81.883,51,"Class1","U",18.512,72.204,"P",97.437,94.377,86.789,21.183
7.869,50.528,46,"Class2","X",83.501,84.954,"T",66.656,17.104,47.968,13.201
7.023,47.931,46,"Class2","H",82.339,86.552,"T",70.221,41.834,58.661,37.669
19.586,75.218,49,"Class1","J",32.125,70.04,"U",93.236,94.559,83.67,22.357
32.125,71.599,29,"Class1","U",37.96,65.466,"V",90.483,99.177,75.074,18.777
8.152,46.213,46,"Class2","G",86.333,78.56,"V",69.858,23.117,25.74,15.551
38.181,81.346,33,"Class1","O",19.097,63.344,"V",95.621,98.118,71.002,24.267
8.643,53.179,45,"Class2","J",81.14,82.904,"T",71.594,42.548,87.608,48.686
35.703,79.076,52,"Class1","V",31.791,70.162,"K",94.449,93.392,NA,25.55
9.344,51.26,45,"Class2","V",80.753,82.197,"V",71.038,21.773,1.273,7.834
29.39,85.257,44,"Class1","W",22.768,63.767,"U",95.986,92.401,73.998,20.611
9.791,42.872,45,"Class2","X",84.528,83.392,"T",74.381,42.416,65.07,42.212
9.487,49.977,46,"Class2","X",80.937,84.624,"A",66.595,29.788,40.847,45.201
8.712,49.444,46,"Class2","V",79.755,83.983,"V",69.613,58.939,33.213,NA
8.337,44.769,45,"Class2","H",80.791,80.562,"V",73.778,26.37,80.053,20.996
25.102,78.455,35,"Class1","O",29.377,64.242,"P",89.313,90.796,79.702,21.647
7.122,49.288,45,"Class2","X",86.687,81.09,"V",66.273,31.957,70.689,38.182
15.418,77.532,29,"Class1","V",18.249,68.344,"U",94.279,96.791,85.912,17.344
26.057,55.234,47,"Class1","J",28.522,68.052,"V",88.981,98.796,69.933,24.212
9.306,54.361,46,"Class2","G",81.256,81.567,"J",66.984,37.827,37.508,41.578
39.342,90.48,34,"Class1","J",18.712,66.433,"Z",90.007,93.684,70.326,18.107
7.613,44.861,46,"Class2","V",81.189,77.359,"E",67.584,64.365,67.131,11.982
7.248,46.218,46,"Class2","V",82.047,82.38,"E",67.289,36.2,32.878,21.318
8.553,55.046,45,"Class2","J",77.451,81.895,"A",66.962,40.026,36.389,48.846
7.863,47.942,46,"Class2","G",80.622,79.541,"A",72.821,29.137,108.324,45.584
9.189,49.729,45,"Class2","J",85.179,84.96,"A",74.138,26.634,35.749,12.205
29.62,84.979,29,"Class1","U",31.041,68.568,"P",89.809,96.9,75.656,14.436
38.627,69.417,47,"Class1","W",18.923,66.203,"K",95.472,97.925,80.831,22.261
7.281,40.347,45,"Class2","J",82.668,81.606,"V",69.554,29.241,32.153,11.917
15.232,58.663,39,"Class1","V",21.672,72.171,"P",91.143,97.545,84.064,10.772
28.003,74.435,34,"Class1","U",29.716,72.511,"P",96.094,92.731,76.427,20.574
7.597,50.229,45,"Class2","J",83.432,80.625,"V",70.309,30.855,42.716,43.126
7.742,44.564,45,"Class2","J",83.253,84.601,"T",64.031,53.829,34.223,34.873
9.657,46.24,46,"Class2","V",81.855,80.372,"V",67.532,29.778,74.357,5.883
7.296,46.998,46,"Class2","H",83.512,81.222,"A",71.985,41.45,48.444,17.674
28.099,73.447,40,"Class1","U",24.834,69.705,"V",94.099,91.444,79.805,10.072
8.53,46.349,45,"Class2","H",78.357,79.245,"E",67.651,63.121,28.674,22.001
9.381,55.264,46,"Class2","J",82.489,81.601,"E",71.458,69.101,78.152,19.703
8.658,49.973,45,"Class2","V",79.271,83.962,"T",74.332,62.033,65.836,46.692
29.588,79.367,35,"Class1","U",26.943,68.616,"U",88.693,94.498,85.377,24.534
7.616,53.854,45,"Class2","X",82.156,79.824,"T",65.236,67.816,25.592,15.629
26.086,84.195,45,"Class1","U",19.181,64.629,"V",94.217,94.263,72.562,14.187
8.346,44.269,45,"Class2","V",79.436,77.065,"A",72.341,55.516,27.631,12.149
20.504,85.277,47,"Class1","W",15.884,61.117,"U",88.411,97.003,85.522,25.621
8.359,48.936,45,"Class2","G",81.002,80.623,"V",67.422,56.245,NA,NA
23.542,88.656,28,"Class1","W",27.567,66.752,"Z",93.841,94.585,78.959,25.291
9.54,49.259,45,"Class2","H",80.078,83.521,"A",65.527,48.24,49.798,33.77
22.528,78.486,29,"Class1","O",31.106,69.051,"Z",89.825,97.938,86.5,9.879
43.192,67.756,37,"Class1","J",15.197,67.241,"Z",92.463,92.174,76.55,20.704
9.349,39.385,46,"Class2","J",84.392,80.688,"V",74.911,56.285,91.899,22.964
42.403,76.21,52,"Class1","W",18.608,72.131,"V",94.674,94.659,83.193,20.447
7.079,50.621,45,"Class2","H",81.527,83.39,"A",70.553,44.286,8.378,48.244
28.31,77.851,40,"Class1","U",11.141,72.535,"Z",96.103,99.632,85.806,NA
7.712,48.042,46,"Class2","H",80.987,78.969,"E",68.281,43.953,70.695,45.034
36.109,70.984,38,"Class1","O",25.265,67.648,"P",89.604,99.867,91.732,23.107
7.887,43.019,45,"Class2","G",81.78,82.57,"J",73.806,46.741,30.017,7.566
20.384,75.667,53,"Class1","V",28.197,67.016,"P",91.008,93.341,62.209,14.969
23.417,70.778,38,"Class1","W",22.058,69.387,"P",92.7,92.808,83.414,21.399
40.071,68.123,31,"Class1","J",20.696,67.736,"U",91.268,95.366,87.796,14.527
36.102,66.478,52,"Class1","V",31.421,68.508,"U",93.456,95.622,78.627,12.753
7.004,50.947,46,"Class2","V",79.021,83.319,"E",69.583,56.447,65.61,10.388
9.121,46.622,46,"Class2","H",85.827,82.977,"T",66.537,25.068,34.449,18.773
7.881,48.87,46,"Class2","J",82.259,83.639,"J",73.612,38.318,32.019,8.067
7.154,49.459,46,"Class2","H",85.316,81.293,"J",68.23,52.889,40.632,33.436
43.624,72.227,46,"Class1","O",42.33,71.144,"Z",88.064,92.556,80.066,12.42
7.932,45.761,46,"Class2","V",80.775,81.135,"V",66.604,50.899,61.998,30.852
13.389,83.562,39,"Class1","V",33.005,69.943,"K",97.902,99.776,79.38,16.034
7.313,53.502,46,"Class2","V",81.954,87.062,"V",71.393,43.339,58.019,22.377
28.986,86.767,53,"Class1","U",20.684,71.754,"Z",89.826,96.569,76.72,25.619
26.759,88.158,27,"Class1","O",22.313,71.042,"U",94.574,94.125,72.423,16.786
8.823,47.47,46,"Class2","J",79.454,82.619,"J",68.81,16.984,61.517,28.587
9.279,45.425,46,"Class2","H",83.292,81.107,"J",71.627,63.571,50.896,11.742
7.913,48.383,46,"Class2","V",83.1,83.895,"T",72.756,60.387,36.183,27.411
8.45,50.817,46,"Class2","H",84.551,83.869,"V",73.378,35.918,17.876,29.082
23.017,73.723,53,"Class1","V",28.253,69.81,"V",92.963,96.629,67.142,15.739
28.74,83.117,42,"Class1","J",32.304,68.842,"K",92.606,91.514,77.677,13.109
13.622,84.326,28,"Class1","U",25.284,69.489,"K",89.715,92.697,82.899,25.302
27.236,81.487,47,"Class1","V",30.105,72.522,"P",89.513,90.147,89.656,22.209
16.776,77.718,28,"Class1","W",13.017,67.276,"U",91.4,94.01,84.869,23.726
7.019,51.072,46,"Class2","V",82.41,88.577,"T",69.939,27.837,42.777,NA
31.689,75.476,31,"Class1","O",16.082,68.852,"V",92.823,95.092,75.807,11.695
7.026,48.75,45,"Class2","H",76.824,81.757,"T",71.06,56.25,48.684,35.47
15.439,78.06,47,"Class1","V",26.419,72.114,"K",90.128,92.343,87.149,25.096
7.394,53.819,45,"Class2","X",78.713,82.83,"V",64.426,21.918,42.915,5.778
7.443,41.99,46,"Class2","G",81.443,77.548,"A",74.198,64.772,NA,21.049
7.237,50.214,46,"Class2","J",80.308,89.116,"J",67.254,31.961,65.735,13.281
7.539,46.792,46,"Class2","G",80.99,77.723,"A",65.801,16.953,43.479,13.775
39.336,80.063,42,"Class1","J",21.115,68.062,"P",96.124,92.056,NA,11.838
28.437,72.576,28,"Class1","U",21.612,66.496,"Z",93.666,95.212,68.404,10.173
30.638,71.751,31,"Class1","J",10.587,67.669,"Z",92.082,97.461,93.685,9.79
37.829,74.023,46,"Class1","V",23.042,68.119,"Z",91.515,91.277,77.917,22.083
8.787,51.638,45,"Class2","J",80.136,84.62,"J",71.648,27.944,28.695,9.596
9.954,56.047,46,"Class2","V",75.151,80.294,"A",68.404,62.871,39.222,14.456
33.831,65.752,29,"Class1","U",27.114,66.067,"V",89.89,92.616,84.691,19.609
41.226,82.117,43,"Class1","J",20.554,66.731,"K",90.675,97.006,85.523,21.385
38.131,66.452,28,"Class1","U",19.947,70.768,"P",93.775,96.865,80.468,12.028
9.323,51.629,45,"Class2","X",81.636,82.013,"E",64.902,59.544,67.147,13.804
40.887,70.65,41,"Class1","W",28.816,72.882,"Z",90.187,97.771,78.563,15.713
41.387,71.104,52,"Class1","J",28.822,65.315,"Z",95.724,91.815,87.747,16.686
42.996,80.83,29,"Class1","J",20.238,68.708,"P",88.832,93.017,71.075,19.71
7.085,52.341,45,"Class2","H",82.507,75.364,"J",67.943,64.058,17.138,20.468
8.879,53.317,46,"Class2","X",84.685,78.047,"J",64.12,42.167,36.19,16.275
9.986,46.852,45,"Class2","V",81.267,78.025,"J",73.423,31.238,45.941,29.889
28.655,74.642,37,"Class1","U",23.744,64.254,"V",92.897,96.077,78.849,15.676
7.778,47.507,46,"Class2","X",77.7,81.891,"V",74.953,26.337,61.344,21.32
31.923,70.972,43,"Class1","V",21.032,72.24,"V",96.463,92.159,79.296,22.781
23.597,84.324,48,"Class1","J",33.691,65.887,"P",94.018,91.28,88.303,13.536
7.897,48.59,45,"Class2","J",80.548,83.117,"T",73.206,57.571,7.887,26.629
40.376,82.528,30,"Class1","J",22.556,72.652,"Z",91.422,97.597,66.972,22.345
9.868,43.875,46,"Class2","J",81.216,87.693,"V",65.437,65.717,62.763,41.713
7.377,54.71,45,"Class2","J",82.053,87.784,"E",68.975,52.245,31.527,18.796
8.142,47.977,45,"Class2","V",80.924,84.05,"A",70.65,35.069,41.337,18.078
36.046,73.518,34,"Class1","W",25.574,64.995,"U",97.119,91.529,71.578,23.877
8.23,49.35,45,"Class2","G",83.559,84.142,"V",68.142,36.759,NA,4.076
12.783,76.482,41,"Class1","V",24.606,71.378,"Z",88.16,91.499,70.01,15.37
34.538,71.684,38,"Class1","V",19.21,69.756,"P",95.001,93.609,65.4,22.798
7.455,47.398,45,"Class2","H",77.934,86.621,"E",67.524,32.513,54.928,11.684
27.322,68.731,39,"Class1","W",22.638,63.763,"K",89.662,98.596,85.326,22.19
8.186,50.348,46,"Class2","V",81.189,81.657,"T",65.557,61.397,18.808,44.254
14.962,74.879,30,"Class1","O",18.875,65.689,"K",96.935,94.874,80.787,17.755
23.666,74.846,52,"Class1","W",30.11,65.838,"V",89.085,97.888,85.575,17.74
35.297,70.003,29,"Class1","V",18.139,70.009,"K",93.883,94.118,NA,22.712
7.247,42.937,46,"Class2","V",79.951,82.306,"E",69.921,52.962,44.195,34.458
7.674,54.961,45,"Class2","H",80.75,77.216,"J",73.34,18.052,56.377,16.427
8.542,44.375,46,"Class2","J",79.902,83.583,"V",69.916,69.364,13.852,15.451
7.974,51.694,46,"Class2","X",79.836,83.063,"J",64.074,16.135,18.041,29.7
27.494,69.447,54,"Class1","U",18.108,70.23,"P",89.801,95.739,80.141,14.031
20.205,80.538,41,"Class1","U",20.651,61.093,"U",94.27,99.374,83.921,14.883
12.962,75.654,51,"Class1","W",11.325,64.902,"K",92.871,92.567,82.651,9.058
38.708,79.832,38,"Class1","O",29.577,66.51,"Z",89.312,99.677,NA,25.478
7.191,49.118,46,"Class2","V",83.981,86.88,"A",71.751,48.347,13.909,24.533
9.262,51.122,46,"Class2","V",82.524,75.821,"J",70.555,44.295,40.3,47.933
7.889,47.392,45,"Class2","X",80.987,82.136,"E",71.165,29.511,74.025,29.386
8.016,51.316,45,"Class2","J",83.692,89.433,"E",71.866,64.537,9.291,NA
9.129,48.601,45,"Class2","G",85.91,81.363,"V",72.174,38.175,27.349,37.415
9.949,45.769,45,"Class2","G",82.566,80.719,"T",73.969,43.967,39.787,43.318
24.256,73.276,31,"Class1","U",24.222,68.099,"K",93.952,99.337,82.633,25.253
25.353,75.426,53,"Class1","U",19.788,69.012,"Z",93.353,98.815,94.225,9.549
23.705,82.246,51,"Class1","U",32.685,63.761,"V",89.806,98.103,85.853,23.31
28.934,62.589,29,"Class1","U",25.842,66.126,"K",96.763,91.2,73.449,24.603
9.02,47.288,46,"Class2","X",82,79.97,"V",71.01,32.745,23.939,44.532
39.908,70.718,51,"Class1","J",14.763,64.687,"U",91.074,98.375,77.999,15.304
19.815,81.82,38,"Class1","O",30.379,71.967,"P",91.218,95.671,82.534,10.753
27.539,91.869,31,"Class1","U",28.568,71.393,"U",89.062,92.563,82.487,22.394
17.784,77.553,51,"Class1","W",23.783,67.969,"U",95.434,98.127,85.927,16.676
8.813,48.088,46,"Class2","G",77.795,83.234,"A",72.647,21.086,50.894,46.337
9.563,52.172,45,"Class2","X",81.583,83.689,"A",72.44,49.196,54.966,26.425
7.583,51.229,45,"Class2","G",85.932,82.482,"V",67.736,60.042,50.674,37.816
7.279,42.268,45,"Class2","H",79.631,80.77,"A",69.419,44.044,45.264,16.522
8.728,42.852,46,"Class2","H",83.144,83.394,"A",72.459,15.052,56.757,7.493
42.378,77.94,51,"Class1","U",17.369,68.876,"P",88.136,96.223,73.806,10.139
8.676,49.584,46,"Class2","G",82.267,89.911,"A",74.921,49.777,44.985,4.784
25.064,73.279,33,"Class1","J",20.355,72.024,"V",92.901,92.365,79.566,25.994
9.21,51.764,46,"Class2","H",83.394,83.043,"A",70.92,24.815,62.003,44.813
9.929,49.404,46,"Class2","G",78.395,83.558,"V",67.918,67.019,44.52,28.253
9.027,50.523,45,"Class2","V",80.597,82.999,"A",71.493,69.087,78.124,47.36
16.124,81.343,50,"Class1","U",25.16,71.399,"U",97.456,96.699,73.077,23.885
12.985,65.506,52,"Class1","V",30.528,60.487,"K",91.797,93.147,80.862,12.462
40.801,78.334,41,"Class1","V",23.083,77.173,"U",89.262,94.339,71.808,11.135
8.635,50.716,46,"Class2","V",82.28,83.518,"A",69.86,23.903,36.174,30.644
22.998,63.648,29,"Class1","U",23.707,67.426,"U",90.22,91.084,80.433,13.035
18.763,77.251,46,"Class1","W",29.716,68.821,"V",94.006,99.655,81.765,19.736
26.858,76.233,49,"Class1","V",32.68,68.69,"U",92.045,99.103,85.672,12.362
9.984,49.148,45,"Class2","V",85.217,79.223,"E",69.656,23.003,26.684,NA
23.214,76.481,46,"Class1","U",27.985,64.739,"K",90.579,92.891,75.82,10.079
7.593,51.183,46,"Class2","H",82.321,82.181,"E",74.728,23.281,105.768,15.129
7.938,51.581,45,"Class2","J",85.881,86.64,"V",66.684,40.852,25.102,10.614
7.594,50.792,45,"Class2","J",83.423,81.811,"J",67.16,16.939,NA,16.021
8.719,44.345,46,"Class2","J",81.761,80.453,"J",66.505,50.646,23.359,29.369
13.548,85.008,47,"Class1","U",36.806,69.779,"Z",97.582,95.178,68.038,14.466
33.869,77.386,54,"Class1","W",24.132,63.385,"U",93.225,99.825,73.512,20.159
37.931,83.398,35,"Class1","W",28.333,68.563,"Z",94.793,97.155,80.914,17.237
7.935,47.79,46,"Class2","V",79.708,81.938,"E",73.45,41.72,31.52,27.747
7.25,46.266,46,"Class2","G",85.816,90.057,"J",72.371,63.989,22.599,32.296
29.484,81.227,38,"Class1","W",21.435,67.261,"K",93.928,94.127,66.826,NA
18.781,57.739,46,"Class1","U",23.899,67.916,"V",90.951,93.418,NA,12.403
44,68.936,35,"Class1","J",30.395,72.405,"Z",91.997,96.479,82.368,14.276
8.04,48.806,45,"Class2","H",80.756,79.77,"A",65.191,30.078,67.801,8.177
8.29,41.997,46,"Class2","G",84.241,81.481,"V",70.906,59.753,14.428,36.455
16.48,79.131,33,"Class1","O",17.216,65.379,"V",94.941,93.083,80.58,25.597
9.964,41.795,45,"Class2","J",81.54,84.216,"A",67.919,27.82,36.037,21.169
7.631,46.108,45,"Class2","J",78.604,84.676,"E",66.168,23.57,35.101,44.496
