"LCX1","OQP2","DAL3","ETB4","QGN5","EAD6","Output2","NER7","FKB8","YZR9","UAL10","XEO11"
55.202,35.468,33.931,18.74,49.907,36,"Class2",49.294,36.792,"K",23.508,65
52.805,75.635,72.767,73.941,72.66,33,"Class1",53.711,61.637,"C",57.337,70
62.933,98.731,37.821,100.255,78.494,29,"Class5",55.918,17.481,"O",94.753,93
34.55,60.544,45.87,56.69,58.064,15,"Class4",20.257,86.097,"C",56.689,17
50.821,76.594,46.627,66.095,71.133,19,"Class1",65.507,58.38,"E",58.907,65
63.785,35.894,56.019,86.596,70.319,30,"Class4",22.351,88.936,"Y",47.642,46
74.875,82.765,45.524,97.752,76.418,45,"Class5",64.115,14.841,"E",59.546,68
44.582,72.426,58.702,23.491,70.378,41,"Class3",19.195,48.754,"U",62.761,66
48.455,70.029,37.077,49.729,59.505,53,"Class1",66.654,37.905,"E",66.78,55
3.738,69.478,41.958,96.598,76.619,56,"Class5",54.626,17.274,"E",55.128,90
61.558,88.885,38.749,96.23,77.43,83,"Class5",59.142,32.139,"W",67.145,69
29.349,43.621,28.123,27.017,66.652,35,"Class2",8.995,51.079,"T",23.503,17
53.957,47.992,31.361,15.692,54.924,40,"Class2",15.351,43.602,"A",27.918,13
51.91,16.063,32.647,17.832,52.302,40,"Class2",36.867,35.725,"F",22.641,92
61.228,73.012,37.355,20.964,69.294,30,"Class3",46.186,46.717,"D",54.012,61
64.19,28.6,29.674,18.811,61.327,37,"Class2",50.625,65.076,"M",27.639,60
38.601,61.651,76.16,75.657,70.49,8,"Class1",70.847,61.63,"J",23.151,32
45.446,24.963,53.9,48.845,59.334,22,"Class4",21.296,85.545,"C",59.178,12
38.56,39.131,51.477,59.112,61.722,27,"Class4",40.002,83.216,"Y",54.588,7
37.585,83.336,29.852,75.188,52.267,7,"Class1",71.67,50.954,"J",55.815,35
71.8,80.392,46.34,20.964,69.293,34,"Class3",23.141,49.823,"L",45.321,58
52.792,87.234,45.298,95.919,79.637,65,"Class5",74.603,40.003,"E",56.845,67
73.188,72.481,20.354,25.11,69.006,15,"Class3",23.717,47.886,"U",18.745,58
42.515,83.004,43.113,95.259,79.42,40,"Class5",45.975,29.793,"W",67.17,72
57.221,48.795,49.12,51.158,56.288,19,"Class4",24.475,97.383,"U",51.729,9
83.414,73.31,32.374,22.85,69.889,50,"Class3",62.209,49.334,"R",53.576,84
31.622,92.099,62.735,46.413,88.91,16,"Class4",23.456,95.025,"Y",50.714,18
62.101,82.854,23.622,74.524,69.617,22,"Class1",60.81,64.971,"L",31.946,37
52.499,44.845,34.529,64.18,42.928,52,"Class1",57.022,63.886,"P",23.173,47
55.017,67.097,67.131,80.793,59.626,19,"Class4",33.662,89.049,"N",43.85,3
57.913,22.453,33.115,23.987,54.389,NA,"Class2",8.594,64.108,"K",26.684,47
26.334,74.665,54.451,59.293,56.643,63,"Class1",55.808,48.209,"E",39.445,48
43.446,43.116,56.443,40.589,51.65,22,"Class4",24.068,97.607,"N",59.36,33
60.168,74.732,25.674,27.055,69.396,30,"Class3",40.323,46.077,"D",24.383,71
51.705,29.005,50.175,94.775,83.312,16,"Class4",22.071,82.495,"T",58.61,44
49.801,116.059,44.935,97.265,79.352,60,"Class5",57.459,36.245,"N",87.642,67
74.41,15.865,32.619,19.756,54.258,37,"Class2",85.945,54.282,"K",26.687,26
45.051,51.108,62.28,37.932,76.84,17,"Class4",19.478,92.874,"N",56.489,22
21.173,18.911,28.292,16.13,68.754,39,"Class2",53.08,64.507,"F",25.811,94
65.682,71.298,35.689,21.734,69.754,32,"Class3",39.88,46.077,"U",35.336,82
40.982,21.534,30.374,24.001,73.74,36,"Class2",82.722,34.884,"K",29.248,93
59.345,67.55,80.475,78.652,54.31,25,"Class1",48.697,63.592,"C",25.641,46
60.384,28.027,60.579,39.465,68.899,26,"Class4",31.083,82.532,"T",51.777,65
57.471,74.629,55.914,21.37,70.518,56,"Class3",21.67,46.258,"U",56.27,81
40.505,48.8,42.4,60.769,44.937,8,"Class1",52.404,37.63,"L",40.256,42
55.634,50.165,58.459,26.924,80.737,28,"Class4",32.095,85.682,"U",56.014,24
53.365,90.178,65.847,83.18,62.395,15,"Class4",36.939,82.025,"Y",52.253,63
68.179,82.208,48.37,83.987,71.937,24,"Class4",18.113,83.607,"Y",42.89,49
36.666,74.331,35.109,74.959,54.651,15,"Class1",55.441,63.129,"L",60.837,48
55.791,24.95,28.052,26.427,45.079,36,"Class2",25.553,49.91,"T",24.512,37
66.537,13.007,28.601,21.952,86.839,36,"Class2",42.524,40.702,"F",21.144,29
83.678,73.321,25.454,20.438,70.236,43,"Class3",17.621,47.852,"D",32.808,63
43.26,71.315,44.877,81.313,44.371,13,"Class1",63.699,36.588,"P",20.462,38
46.667,74.11,51.692,22.317,70.515,23,"Class3",27.037,46.677,"B",44.425,82
54.46,93.746,39.528,95.86,76.246,59,"Class5",32.432,26.211,"Y",97.898,82
64.346,68.96,58.796,70.711,73.829,26,"Class4",21.173,92.937,"U",53.06,16
54.14,82.501,47.789,94.135,77.719,49,"Class5",53.416,23.275,"E",77.145,90
NA,20.57,28.799,30.776,77.116,35,"Class2",76.438,50.553,"K",22.979,94
49.097,52.548,78.359,64.965,55.68,6,"Class1",70.18,36.202,"L",46.972,44
68.346,69.715,34.922,75.968,52.784,44,"Class1",27.965,57.091,"E",61.212,37
52.329,40.848,31.328,13.758,90.949,38,"Class2",44.435,40.111,"A",30.572,56
57.151,74.312,8.638,23.164,70.886,57,"Class3",20.477,46.393,"D",63.42,64
45.839,4.316,32.673,32.383,80.755,37,"Class2",48.978,62.614,"F",24.061,88
58.754,72.689,40.116,20.324,70.744,22,"Class3",53.118,49.883,"B",61.101,65
42.957,9.944,31.867,22.62,83.593,NA,"Class2",77.036,36.623,"T",30.25,73
35.847,75.372,50.929,94.605,78.122,45,"Class5",44.928,12.259,"E",61.319,65
26.889,25.582,33.169,26.99,74.034,36,"Class2",1.172,63.112,"K",25.437,33
38.113,31.276,65.077,74.063,58.885,23,"Class4",25.532,87.135,"T",54.249,76
44.634,43.544,69.693,82.475,52.528,17,"Class4",19.522,80.543,"T",48.588,40
87.897,92.143,45.326,91.782,79.371,29,"Class5",35.144,45.219,"Y",83.283,79
61.982,72.203,36.083,20.671,69.537,NA,"Class3",33.532,47.989,"U",63.011,75
32.376,64.821,38.486,62.77,69.793,38,"Class1",64.98,48.705,"J",15.323,32
38.059,77.543,14.278,24.291,70.611,53,"Class3",36.187,47.354,"L",55.095,64
66.537,75.043,18.309,20.298,70.186,41,"Class3",43.17,49.328,"B",27.849,62
42.816,60.025,27.445,57.329,66.484,27,"Class1",52.874,51.729,"P",48.09,51
12.603,21.591,31.61,22.602,97.38,39,"Class2",91.318,63.366,"T",24.004,76
38.734,74.411,10.619,23.042,69.13,53,"Class3",22.18,46.444,"D",22.886,59
49.799,72.548,29.966,23.913,70.237,23,"Class3",47.014,46.899,"L",43.578,80
57.283,78.661,44.259,25.876,70.983,14,"Class3",23.457,48.086,"B",47.822,76
46.05,65.998,37.162,68.877,50.991,27,"Class1",51.753,48.847,"C",19.233,54
51.673,19.609,28.837,22.893,67.351,37,"Class2",65.098,54.317,"F",29.707,77
35.03,55.718,45.468,59.158,57.505,62,"Class1",48.906,47.495,"C",62.917,74
58.714,67.04,60.69,74.847,49.901,43,"Class1",67.694,46.248,"L",66.829,57
33.706,72.148,41.907,21.693,70.74,24,"Class3",18.594,49.058,"R",62.883,84
35.672,71.201,18.176,22.687,70.046,28,"Class3",51.929,46.898,"L",34.359,85
49.87,70.791,46.399,60.763,66.797,9,"Class1",40.217,63.734,"C",32.122,31
127.855,83.86,40.263,91.007,76.754,42,"Class5",41.769,27.379,"E",59.538,86
23.956,69.236,48.82,93.486,78.637,44,"Class5",33.768,15.022,"Y",75.414,83
66.019,75.48,41.645,100.304,76.346,54,"Class5",67.618,28.4,"Y",80.95,88
75.292,73.648,40.962,98.732,78.34,80,"Class5",66.365,13.358,"Y",59.348,92
60.038,19.095,32.247,23.722,95.458,NA,"Class2",49.524,63.241,"M",21.154,75
42.288,81.423,68.463,62.219,84.692,30,"Class4",19.455,90.254,"N",57.73,50
54.434,69.515,62.669,68.663,52.266,26,"Class1",63.538,50.193,"P",63.458,45
57.236,11.184,30.408,12.593,86.572,36,"Class2",78.402,57.854,"A",26.799,41
97.606,87.962,47.057,97.781,78.408,53,"Class5",79.004,40.52,"O",61.069,78
50.646,67.279,68.521,48.557,50.822,36,"Class1",57.425,50.896,"C",32.998,43
52.755,90.892,46.385,71.643,45.879,61,"Class1",48.25,54.597,"J",14.195,54
45.801,72.617,15.273,21.25,69.812,21,"Class3",36.908,49.324,"D",14.297,70
61.523,83.385,62.198,66.049,88.658,19,"Class4",16.923,80.514,"C",42.183,38
41.996,97.237,70.56,80.78,71.966,27,"Class1",55.414,59.565,"J",61.457,44
44.546,34.782,48.46,74.456,91.375,18,"Class4",28.285,83.515,"T",58.881,12
57.495,89.158,49.708,80.195,86.434,30,"Class4",32.748,82.596,"Y",56.126,50
52.355,52.272,49.022,22.924,63.551,20,"Class4",33.91,89.586,"Y",48.266,12
74.4,75.636,52.249,23.076,69.973,56,"Class3",54.698,47.598,"R",64.48,71
49.672,73.281,51.946,22.844,70.2,30,"Class3",34.698,49.771,"B",57.088,63
35.49,89.584,49.35,99.837,78.272,38,"Class5",71.469,46.525,"Y",72.989,78
6.56,16.009,30.965,15.808,97.525,NA,"Class2",87.224,42.02,"K",26.865,50
63.845,74.154,41.631,24.366,69.661,NA,"Class3",39.406,46.19,"R",51.812,84
43.515,17.096,32.511,18.519,65.901,36,"Class2",44.119,60.797,"F",26.138,32
37.807,67.847,29.237,61.796,57.354,12,"Class1",62.234,62.19,"C",9.737,27
53.33,73.767,69.302,69.665,78.784,19,"Class4",15.896,89.751,"C",53.188,1
70.024,83.591,42.735,97.33,77.132,43,"Class5",59.957,23.035,"W",86.405,76
39.378,90.664,25.511,71.702,56.732,NA,"Class1",59.07,51.915,"E",41.715,40
40.179,74.254,82.735,53.541,53.3,64,"Class1",69.336,41.905,"C",68.084,58
NA,17.668,28.308,18.684,88.917,35,"Class2",100.62,57.497,"M",21.986,66
45.382,69.805,39.647,25.026,69.091,NA,"Class3",28.781,49.537,"U",51.787,60
67.273,74.353,27.824,22.365,70.188,24,"Class3",54.508,49.307,"B",44.546,63
36.891,81.808,46.649,96.635,78.01,41,"Class5",65.439,27.293,"W",78.689,69
53.6,62.048,61.776,51.047,79.592,30,"Class4",31.007,81.986,"N",60.408,1
55.44,48.79,58.52,48.544,65.017,16,"Class4",18.262,84.667,"C",56.452,41
45.662,87.81,41.804,97.872,78.457,62,"Class5",34.903,20.792,"Y",87.338,64
41.754,58.91,27.364,60.323,70.392,69,"Class1",66.912,46.951,"E",43.802,41
69.817,69.727,22.045,24.216,69.738,31,"Class3",63.091,49.739,"D",20.079,81
60.616,24.851,30.961,17.753,94.428,38,"Class2",67.297,60.355,"K",26.826,41
25.088,22.228,29.932,26.007,90.631,38,"Class2",12.063,50.035,"K",22.541,92
21.984,87.467,38.54,93.171,78.492,64,"Class5",58.355,36.122,"W",80.535,80
56.394,27.138,29.093,23.821,58.705,35,"Class2",44.617,51.662,"T",24.314,53
67.368,20.934,29.721,19.528,84.499,38,"Class2",22.287,39.109,"K",22.788,20
61.912,72.587,36.381,20.494,70.03,22,"Class3",37.138,46.577,"U",13.2,75
29.305,64.213,57.517,48.9,47.681,46,"Class1",68.85,43.03,"L",34.261,34
46.687,58.226,53.048,54.605,56.301,44,"Class1",80.715,33.33,"C",41.619,44
49.73,75.937,30.843,66.094,48.195,53,"Class1",56.827,34.076,"L",16.669,74
76.303,71.107,40.954,22.159,70.911,25,"Class3",37.488,48.591,"D",55.474,71
80.782,74.097,30.647,22.832,70.319,57,"Class3",25.605,47.853,"D",59.799,73
46.841,32.806,47.871,45.213,77.767,23,"Class4",25.762,87.845,"C",45.249,70
66.273,76.697,20.645,20.371,69.48,21,"Class3",-3.284,49.34,"U",58.618,86
47.358,5.222,50.215,64.459,77.978,27,"Class4",24.666,82.489,"N",60.006,46
68.646,82.162,51.958,94.841,76.575,75,"Class5",70.878,11.685,"E",80.975,83
49.459,64.911,62.453,90.219,72.131,19,"Class4",21.169,82.13,"Y",59.103,19
0.458,88.818,42.553,96.577,76.348,82,"Class5",50.133,34.989,"Y",91.372,87
74.041,78.123,44.523,96.521,79.91,31,"Class5",40.28,29.319,"W",82.787,79
NA,75.078,56.536,28.459,65.898,17,"Class4",32.595,88.433,"N",56.474,41
76.889,71.44,57.748,23.111,69.715,27,"Class3",20.309,49.502,"R",45.482,86
50.755,78.678,74.384,49.169,47.086,61,"Class1",52.867,42.398,"P",57.928,65
54.275,63.128,48.973,72.72,50.704,14,"Class4",26.429,95.148,"Y",58.026,23
46.094,73.483,10.595,24.178,69.076,53,"Class3",65.019,46.254,"L",25.448,87
NA,35.294,34,20.385,90.066,39,"Class2",60.082,64.885,"F",21.105,19
32.933,79.368,43.271,94.596,76.372,51,"Class5",42.782,30.312,"N",89.571,79
54.184,30.781,69.388,68.056,55.303,19,"Class4",18.542,80.427,"Y",63.556,19
51.615,64.761,70.02,50.001,86.366,30,"Class4",29.621,93.57,"N",56.548,43
66.987,83.861,45.174,91.932,77.825,75,"Class5",65.529,11.287,"N",91.364,93
NA,26.345,31.529,17.973,74.778,39,"Class2",59.9,59.669,"F",27.56,18
36.224,73.883,47.454,23.184,69.499,27,"Class3",-1.557,48.388,"D",40.176,60
62.955,78.753,49.554,70.046,70.954,55,"Class1",52.839,41.698,"L",33.303,52
37.683,8.342,33.012,20.133,56.044,38,"Class2",62.65,42.592,"T",21.739,54
38.778,30.208,47.675,72.138,88.799,15,"Class4",13.279,90.145,"N",48.495,70
61.259,75.688,24.597,26.708,70.788,11,"Class3",30.445,47.92,"D",14.147,74
68.843,26.743,31.189,29.587,45.299,39,"Class2",31.121,48.623,"K",26.019,64
55.487,74.555,20.299,25.119,70.587,46,"Class3",33.411,46.387,"U",65.782,73
54.205,33.725,31.792,22.494,80.051,NA,"Class2",44.403,39.397,"K",24.592,89
46.628,81.881,78.736,69.81,53.478,25,"Class1",51.946,61.779,"P",41.043,25
47.212,57.89,46.412,62.229,71.534,64,"Class1",50.488,37.612,"E",67.832,44
36.117,73.621,24.695,69.591,51.345,NA,"Class1",78.348,56.298,"P",12.721,47
NA,93.232,46.956,96.815,77.556,75,"Class5",42.981,11.027,"O",92.409,88
72.381,83.689,49.33,93.851,76.934,45,"Class5",77.818,16.853,"W",52.941,67
71.569,79.346,49.323,98.073,78.61,31,"Class5",40.408,41.503,"Y",65.565,81
46.419,85.757,62.367,56.974,58.878,18,"Class4",10.735,90.762,"T",43.313,22
74.309,99.2,44.142,96.979,79.107,40,"Class5",65.536,27.719,"E",86.179,92
NA,20.138,33.173,19.786,57.289,40,"Class2",35.775,42.007,"F",21.222,64
68.527,67.171,5.488,20.364,70.177,28,"Class3",42.823,48.678,"B",54.911,63
49.6,73.494,51.432,54.169,58.563,65,"Class1",67.273,58.742,"J",55.347,66
50.41,75.23,40.542,23.092,70.281,54,"Class3",50.59,48.35,"L",17.659,62
45.455,26.755,30.813,25.41,74.783,36,"Class2",75.98,39.075,"T",23.175,15
50.994,91.927,47.956,83.524,65.636,68,"Class1",76.012,44.758,"L",17.247,25
64.314,83.182,54.771,87.4,47.144,32,"Class1",53.255,52.567,"P",13.973,30
47.725,48.73,51.617,42.038,65.395,14,"Class4",17.411,94.897,"Y",63.519,23
30.203,34.882,30.27,27.675,47.055,35,"Class2",61.909,35.569,"M",22.687,21
57.514,88.494,46.477,46.208,82.265,15,"Class4",28.565,82.042,"U",54.659,9
41.163,70.917,55.646,20.658,70.262,51,"Class3",22.971,49.429,"L",17.033,68
54.675,32.691,32.262,26.445,54.058,NA,"Class2",69.941,55.094,"T",28.947,19
41.699,67.853,57.723,43.436,68.49,10,"Class1",49.904,38.958,"L",34.226,33
54.847,61.286,70.907,42.41,75.774,25,"Class4",27.643,81.518,"Y",61.955,78
44.436,44.805,70.978,96.584,56.844,18,"Class4",12.479,82.219,"U",60.143,58
58.52,80.734,48.875,92.351,79.303,60,"Class5",68.4,36.905,"N",62.534,72
43.363,75.486,62.443,79.55,74.7,NA,"Class4",12.062,94.931,"Y",50.017,23
56.844,77.551,51.957,109.761,85.263,15,"Class4",15.313,90.149,"C",47.98,15
52.692,57.431,63.326,19.973,84.456,27,"Class4",33.919,95.479,"N",49.424,61
63.6,84.689,42.486,92.856,79.169,40,"Class5",84.288,20.726,"N",79.965,79
15.885,66.718,70.813,63.973,57.562,68,"Class1",61.876,47.224,"E",18.35,31
53.153,98.707,68.212,55.889,67.914,29,"Class4",18.594,87.743,"C",55.086,17
64.892,51.721,34.221,79.912,54.358,27,"Class1",59.222,62.595,"P",40.003,27
95.033,75.367,38.193,94.519,77.908,37,"Class5",63.446,21.767,"W",83.476,78
NA,49.823,55.14,76.05,87.041,26,"Class4",23.164,79.585,"N",56.299,37
54.925,59.112,62.586,67.347,61.463,24,"Class4",22.702,83.102,"N",54.494,38
45.258,56.669,65.946,50.146,86.938,19,"Class4",30.994,93.21,"C",51.58,39
25.14,69.435,45.854,18.586,70.678,14,"Class3",30.242,46.657,"R",42.581,72
63.718,77.09,32.787,23.948,69.883,57,"Class3",46.009,46.639,"R",20.133,69
33.779,17.739,33.345,24.33,57.151,38,"Class2",61.694,55.872,"T",26.491,71
40.386,37.904,58.846,63.428,43.864,10,"Class1",56.949,39.127,"E",22.287,74
77.215,70.977,24.708,20.935,70.434,47,"Class3",25.25,47.981,"L",41.908,83
63.105,86.654,54.109,100.901,51.113,28,"Class4",26.603,96.189,"Y",59.426,70
62.288,98.507,65.16,24.667,68.542,21,"Class4",27.962,97.954,"U",44.674,10
65.034,103.745,49.661,96.993,78.606,44,"Class5",86.547,24.626,"O",98.563,66
44.201,26.084,29.319,25.173,64.38,35,"Class2",58.533,57.593,"K",26.265,47
80.073,85.834,50.908,100.971,78.938,50,"Class5",50.434,37.988,"O",88.847,67
56.385,63.983,53.577,53.914,84.899,22,"Class4",28.634,92.061,"N",52.472,33
62.807,78.277,8.018,21.56,69.779,47,"Class3",30.075,48.745,"L",24.429,60
43.036,66.656,77.584,61.301,55.338,18,"Class1",60.659,33.377,"E",55.647,76
56.452,73.598,35.503,22.662,70.896,42,"Class3",46.853,47.213,"U",54.561,68
50.039,61.9,52.29,68.145,61.771,64,"Class1",69.209,60.203,"C",22.856,28
56.333,71.88,53.091,22.49,69.936,40,"Class3",44.511,49.941,"L",54.081,78
62.969,19.913,31.163,22.579,49.024,40,"Class2",62.037,37.664,"K",22.288,33
43.636,72.122,22.205,21.741,70.464,40,"Class3",24.563,47.68,"U",15.306,79
49.869,70.214,49.741,23.165,70.357,13,"Class3",27.357,47.581,"R",28.108,71
40.59,23.493,33.5,27.322,45.669,35,"Class2",70.672,55.728,"A",22.467,48
58.236,74.912,24.119,64.529,47.607,22,"Class1",59.483,33.219,"J",10.777,61
68.288,68.816,14.404,21.982,69.519,16,"Class3",52.529,47.849,"L",40.558,67
71.792,84.95,39.835,94.588,77.737,78,"Class5",38.951,17.912,"N",87.705,90
80.306,62.347,50.513,99.499,77.67,58,"Class5",54.941,44.937,"W",79.875,68
54.305,93.779,65.936,27.647,86.9,26,"Class4",18.304,90.867,"N",52.053,25
51.842,93.106,26.152,91.165,44.943,24,"Class1",68.423,54.674,"C",24.966,63
59.786,82.353,38.045,94.973,76.192,63,"Class5",66.468,18.672,"E",71.431,82
98.95,76.442,19.743,24.243,69.987,35,"Class3",39.973,49.161,"L",58.649,79
80.116,73.758,40.442,21.405,70.266,36,"Class3",-11.985,47.958,"L",26.194,69
41.024,59.981,57.884,95.196,43.017,14,"Class4",29.81,85.656,"Y",43.306,54
54.537,101.793,47.381,48.544,69.179,NA,"Class4",25.056,85.786,"Y",42.625,40
71.541,72.523,44.025,96.603,76.671,36,"Class5",18.575,41.252,"Y",74.556,81
60.448,62.676,63.393,75.555,75.284,30,"Class4",16.132,83.395,"T",42.387,74
58.73,98.53,64.161,107.943,54.296,14,"Class4",33.286,95.587,"Y",54.563,63
85.138,72.893,55.739,21.554,70.677,34,"Class3",57.791,47.037,"L",33.304,73
50.803,73.171,74.629,49.575,72.736,41,"Class1",69.417,64.934,"E",60.941,42
38.026,72.074,39.216,20.863,69.225,36,"Class3",30.601,47.361,"D",52.654,76
46.06,71.969,38.483,97.599,76.719,41,"Class5",68.205,22.958,"E",94.555,83
37.598,71.576,30.41,21.885,70.846,46,"Class3",37.161,47.761,"L",49.606,77
59.837,78.468,49.522,22.204,69.358,9,"Class3",38.924,47.466,"D",14.868,62
42.466,30.356,33.424,20.063,78.467,36,"Class2",69.248,51.957,"A",29.377,46
64.052,73.821,18.328,21.465,70.651,22,"Class3",29.175,49.991,"D",35.992,66
91.771,73.759,29.618,24.158,70.062,14,"Class3",49.651,48.215,"D",24.84,82
101.494,102.57,39.29,94.351,78.041,68,"Class5",84.111,19.598,"O",52.311,76
53.446,22.286,29.936,19.394,69.157,38,"Class2",74.291,65.716,"K",22.142,50
51.078,44.484,64.148,34.994,64.887,17,"Class4",22.98,81.74,"T",47.854,19
34.936,72.486,9.061,22.809,70.899,NA,"Class3",23.435,48.95,"R",58.689,57
52.35,64.78,68.825,73.402,52.445,30,"Class4",19.152,91.093,"C",60.262,36
56.202,77.475,49.317,97.542,78.175,73,"Class5",61.258,45.342,"Y",67.332,82
34.032,16.511,30.996,17.516,76.572,NA,"Class2",80.091,46.218,"A",21.367,86
39.178,26.163,29.286,16.266,44.632,38,"Class2",82.747,50.705,"K",24.4,23
39.324,90.811,49.251,98.327,76.103,76,"Class5",44.016,19.35,"Y",88.989,67
53.465,74.442,35.194,89.02,55.776,67,"Class1",65.802,59.96,"C",67.42,31
40.109,74.47,33.975,22.408,70.292,10,"Class3",77.419,47.966,"B",14.246,66
NA,83.642,44.459,80.741,52.541,29,"Class1",42.161,51.041,"L",67.735,27
47.822,31.362,33.799,21.703,66.058,38,"Class2",32.865,34.184,"T",22.683,82
50.288,71.992,6.462,23.754,69.814,NA,"Class3",32.628,49.505,"L",39.976,80
NA,76.098,39.307,59.465,57.004,16,"Class1",64.695,59.257,"J",52.747,48
60.993,10.949,70.81,53.962,55.838,21,"Class4",22.52,94.353,"U",43.648,46
NA,64.886,48.56,58.719,90.645,25,"Class4",4.062,86.731,"T",59.316,25
45.399,89.409,47.634,89.124,79.016,NA,"Class5",82.131,18.388,"N",62.527,86
82.89,77.288,55.531,23.252,69.995,16,"Class3",30.837,47.696,"D",24.15,76
21.309,71.921,44.771,22.084,69.456,29,"Class3",53.579,49.306,"D",19.306,65
39.606,60.669,42.504,55.036,49.711,70,"Class1",50.838,33.815,"P",13.626,52
50.933,74.609,24.75,20.725,69.368,9,"Class3",38.185,48.069,"U",20.542,77
74.088,74.041,24.469,21.201,70.139,30,"Class3",28.665,48.097,"B",39.371,58
42.418,25.044,30.698,20.06,81.282,40,"Class2",64.815,61.242,"F",22.136,74
80.021,95.788,40.882,95.995,78.139,47,"Class5",58.894,14.83,"E",71.481,63
72.654,14.031,29.136,26.971,75.467,35,"Class2",39.228,44.287,"F",23.424,24
NA,33.571,31.019,21.656,68.841,36,"Class2",55.728,61.093,"M",29.378,76
96.551,99.33,49.059,101.051,79.141,81,"Class5",48.447,42.183,"E",65.84,93
56.053,77.27,43.089,25.016,70.413,40,"Class3",22.334,49.595,"D",15.308,80
52.732,79.117,49.019,73.121,43.162,23,"Class1",70.568,64.478,"E",59.198,44
NA,33.278,30.453,22.643,94.509,NA,"Class2",45.15,34.242,"M",28.363,84
22.698,79.426,61.672,79.093,65.066,37,"Class1",51.285,43.778,"L",54.589,29
61.312,80.12,24.653,23.973,69.719,47,"Class3",19.435,46.592,"U",30.234,82
67.167,70.72,78.811,77.069,64.155,17,"Class1",57.29,40.686,"C",28.266,71
69.618,106.866,37.044,91.161,79.167,33,"Class5",79.077,34.012,"O",70.712,75
66.415,68.005,49.235,81.11,56.097,8,"Class1",53.503,63.31,"C",22.524,30
103.01,14.413,31.683,18.437,44.16,36,"Class2",48.075,55.406,"T",27.163,22
56.856,32.469,58.213,38.762,73.375,14,"Class4",26.523,91.461,"N",58.491,21
63.186,72.575,11.051,21.419,69.857,46,"Class3",21.866,49.986,"L",18.022,80
53.932,58.365,72.348,77.821,66.835,49,"Class1",57.627,44.352,"L",49.299,42
49.181,73.862,57.033,21.043,69.409,55,"Class3",34.812,47.48,"L",34.76,74
54.307,59.086,69.959,69.143,47.424,37,"Class1",70.973,59.605,"P",54.058,51
54.376,87.336,38.345,95.115,76.769,55,"Class5",72.694,35.215,"Y",82.986,69
78.662,76.266,16.36,22.095,70.437,52,"Class3",43.026,49.671,"U",26.692,61
NA,76.383,66.764,70.016,63.897,37,"Class1",31.452,56.815,"P",63.369,27
115.889,103.857,49.427,97.051,78.854,33,"Class5",61.885,32.063,"O",66.268,92
74.185,96.692,47.174,96.748,76.09,83,"Class5",65.175,18.926,"N",72.728,92
NA,85.28,41.535,100.289,79.624,NA,"Class5",63.54,35.969,"Y",82.815,64
39.74,69.57,7.561,22.881,69.344,14,"Class3",8.424,49.869,"B",55.618,69
81.881,72.437,55.049,23.094,69.66,34,"Class3",49.61,47.388,"L",17.614,76
NA,81.567,50.641,98.867,77.749,78,"Class5",70.275,19.15,"E",97.986,67
81.153,78.747,45.86,97.091,76.616,53,"Class5",47.743,42.757,"O",68.144,78
51.356,81.279,49.447,92.203,78.686,NA,"Class5",45.496,21.88,"W",54.808,74
56.649,69.119,49.239,76.457,88.857,25,"Class4",27.629,92.525,"U",46.521,43
48.971,13.829,33.733,16.225,84.398,NA,"Class2",78,51.782,"K",29.241,72
43.66,77.542,30.264,25.987,70.027,16,"Class3",33.326,48.426,"D",20.626,72
46.631,72.831,31.322,67.576,61.396,38,"Class1",63.521,54.483,"C",52.389,43
38.978,94.275,72.06,75.124,73.947,37,"Class1",70.032,49.889,"J",23.443,32
49.693,63.767,58.945,60.449,75.129,25,"Class4",13.247,84.327,"C",45.61,72
58.691,74.086,49.664,65.854,55.813,17,"Class4",23.529,88.855,"N",54.408,43
48.148,51.676,45.707,63.901,92.706,30,"Class4",27.471,80.885,"C",44.981,26
67.539,17.175,32.104,19.037,71.786,40,"Class2",62.916,50.657,"A",30.041,75
44.798,71.548,26.7,21.389,69.079,41,"Class3",51.24,49.236,"R",43.136,87
53.12,70.735,37.505,20.28,69.765,44,"Class3",41.022,49.45,"U",19.035,80
2.698,61.17,47.113,100.384,77.985,48,"Class5",46.165,36.586,"Y",57.746,84
44.435,73.789,23.581,23.547,70.466,12,"Class3",47.712,48.387,"D",48.369,87
53.581,25.163,30.493,19.43,90.134,36,"Class2",80.145,53.729,"F",22.257,60
83.192,11.18,31.738,23.883,96.892,40,"Class2",65.562,44.482,"T",30.079,84
6.525,34.108,32.212,24.086,84.544,37,"Class2",44.712,62.897,"T",21.588,43
46.789,50.099,61.741,62.949,71.542,26,"Class4",30.522,95.462,"T",52.101,28
50.198,72.878,41.257,23.01,69.741,36,"Class3",23.457,48.027,"D",39.462,84
56.348,76.161,52.371,72.933,43.013,13,"Class1",59.585,34.394,"E",63.509,69
45.217,54.291,60.567,72.315,78.457,16,"Class4",28.749,88.324,"N",49.702,79
91.472,33.977,32.823,21.153,53.815,37,"Class2",42.856,49.675,"M",24.51,77
46.383,76.905,47.554,94.371,76.827,83,"Class5",53.387,30.546,"O",72.679,73
55.976,89.573,48.849,62.257,81.568,25,"Class4",24.811,97.432,"C",42.126,47
46.282,80.802,24.529,77.13,59.767,44,"Class1",47.649,56.42,"P",64.309,35
59.24,71.234,56.624,66.312,44.131,44,"Class1",65.749,50.504,"J",57.539,68
