"WMN1","YDZ2","JZW3","NDS4","NKL5","Output12","KBS6","GZQ7","ZFT8","PYC9"
25.097,20.62,25.979,99.448,3.55,"Class1",22.483,"O",43,66.603
32.903,18.663,27.119,51.636,67.955,"Class3",51.202,"X",34,20.904
82.196,41.235,40.292,89.917,38.89,"Class2",60.915,"S",66,100.008
62.502,12.364,14.648,52.095,64.302,"Class3",52.067,"F",27,21.558
47.439,77.473,19.686,33.084,50.91,"Class3",11.045,"F",31,10.85
NA,56.421,25.617,44.008,71.558,"Class3",84.474,"X",34,16.362
13.505,78.277,33.702,30.312,57.036,"Class3",48.823,"H",35,17.795
47.442,37.758,27.295,39.674,59.242,"Class3",40.46,"T",25,16.591
17.634,30.26,53.994,62.221,1.075,"Class1",37.517,"Q",37,63.823
33.999,50.896,29.022,60.646,61.208,"Class3",17.639,"H",30,18.611
16.102,19.129,38.557,42.33,2.325,"Class1",25.478,"O",57,61.204
46.657,77.151,15.964,1.237,62.222,"Class3",54.099,"X",33,11.845
83.92,69.297,51.726,48.743,54.778,"Class2",33.553,"L",54,98.833
50.433,61.928,18.998,39.603,65.616,"Class3",82.709,"H",33,23.952
79.019,63.505,46.982,71.664,37.232,"Class2",54.562,"J",46,99.807
12.925,41.692,26.179,57.701,71.865,"Class3",70.112,"H",23,23.838
74.951,75.053,34.415,76.56,37.589,"Class2",29.478,"S",66,97.808
78.554,54.302,39.008,64.762,40.547,"Class2",49.267,"N",48,98.626
33.802,15.466,30.413,73.98,2.921,"Class1",22.964,"W",46,64.846
74.545,58.857,33.908,60.866,45.559,"Class2",0.181,"N",63,98.593
66.462,52.337,44.375,79.569,47.645,"Class2",39.114,"H",58,98.095
52.915,14.351,22.588,64.042,62.803,"Class3",57.804,"H",33,13.295
NA,22.548,56.138,104.684,2.702,"Class1",17.016,"O",51,66.897
62.28,49.681,46.456,70.766,71.541,"Class2",14.007,"N",49,99.479
15.852,23.197,81.652,77.557,1.004,"Class1",19.434,"U",41,61.129
28.126,8.25,24.243,43.737,2.887,"Class1",13.604,"U",48,68.476
65.243,42.125,39.974,51.938,54.927,"Class3",67.913,"X",24,12.363
20.677,25.802,26.358,23.922,53.526,"Class3",71.06,"F",25,11.174
65.168,55.788,50.726,49.336,70.14,"Class2",34.958,"J",42,98.568
23.049,17.619,40.089,50.738,1.645,"Class1",40.682,"S",48,70.074
61.497,71.598,49.614,51.88,70.94,"Class2",7.106,"H",46,98.591
40.941,11.933,20.198,45.693,72.704,"Class3",53.524,"F",24,17.147
76.801,46.152,36.036,58.991,37.887,"Class2",39.915,"S",66,99.735
24.843,53.264,15.833,40.244,49.009,"Class3",43.994,"X",30,14.941
23.759,13.862,62.355,87.418,1.73,"Class1",49.059,"O",46,65.088
73.548,59.447,40.709,71.238,63.288,"Class2",83.017,"H",46,99.008
24.001,9.587,42.03,82.392,1.871,"Class1",32.461,"Q",53,63.417
25.269,8.324,8.334,48.157,1.806,"Class1",35.549,"O",37,69.287
NA,11.99,41.773,44.381,3.422,"Class1",13.138,"Q",42,65.849
43.579,26.496,35.874,40.537,59.06,"Class3",39.557,NA,26,17.471
35.434,81.377,24.926,40.403,49.69,"Class3",59.767,"H",31,17.06
75.252,50.034,43.158,53.081,53.768,"Class2",7.115,"L",45,99.356
12.153,69.275,26.231,34.231,71.427,"Class3",42.346,"T",33,10.444
32.193,31.933,41.079,27.164,1.417,"Class1",20.428,"Q",39,58.362
15.314,47.416,27.89,31.221,69.67,"Class3",53.239,"X",29,15.68
38.442,40.17,26.306,30.682,61.961,"Class3",49.61,"P",30,14.219
63.639,55.197,49.675,70.203,51.607,"Class2",28.554,NA,57,99.156
25.621,4.286,41.077,39.03,1.953,"Class1",28.187,"U",52,56.374
71.425,59.886,35.282,55.968,57.363,"Class2",59.404,"N",59,98.364
84.918,54.723,36.822,93.965,66.854,"Class2",27.989,"J",58,98.441
24.795,11.595,42.881,97.321,3.008,"Class1",25.169,"W",55,61.44
29.413,8.646,55.744,22.646,2.33,"Class1",40.846,"Q",41,59.014
NA,32.983,72.724,49.56,1.296,"Class1",41.691,"S",40,65.596
56.452,17.855,20.21,32.673,68.013,"Class3",73.634,"F",27,14.489
71.565,56.697,34.353,47.527,48.4,"Class2",17.402,"L",56,99.272
68.105,40.376,40.807,50.393,46.637,"Class2",52.312,"J",48,98.648
14.657,10.437,52.838,32.593,3.463,"Class1",11.606,"S",47,68.514
68.042,48.485,46.471,64.964,55.559,"Class2",61.124,"H",44,99.617
33.261,30.172,27.893,45.206,55.94,"Class3",75.791,"H",26,11.054
85.996,50.768,39.246,65.383,63.734,"Class2",34.574,"N",66,98.554
63.463,60.484,38.865,77.891,71.422,"Class2",21.028,"S",65,98.923
76.107,73.866,46.096,46.543,33.479,"Class2",47.098,"L",49,98.879
82.79,76.465,52.073,62.161,33.508,"Class2",24.745,"L",63,100.035
65.521,78.5,42.55,78.323,70.367,"Class2",98.175,"J",50,99.299
63.432,40.755,51.41,68.267,53.491,"Class2",9.682,"H",47,99.226
61.157,49.298,43.792,63.269,57.861,"Class2",65.362,"H",54,98.405
66.571,9.623,17.224,48.629,71.716,"Class3",32.926,"T",31,24.479
33.011,15.034,26.3,54.2,1.478,"Class1",20.975,"Q",55,63.607
17.812,14.203,88.696,16.717,3.946,"Class1",27.912,"Q",35,62.479
80.299,57.111,42.652,79.171,32.605,"Class2",74.657,"N",55,98.129
44.284,27.549,18.01,66.854,68.599,"Class3",53.78,"T",27,14.539
61.659,41.805,60.642,81.018,48.585,"Class2",75.542,NA,56,99.41
18.872,23.921,60.416,34.896,2.437,"Class1",24.524,"S",44,66.308
53.283,40.012,32.208,54.397,68.401,"Class3",67.865,"H",32,15.945
34.131,32.685,36.336,48.377,53.152,"Class3",49.603,"F",30,19.328
74.604,68.238,45.092,63.25,55.531,"Class2",40.131,"S",61,98.439
70.043,69.518,41.316,65.544,67.489,"Class2",32.102,"H",48,98.127
70.781,44.648,47.446,50.048,57.326,"Class2",60.173,"L",63,98.364
28.928,18.47,49.759,66.442,1.371,"Class1",34.257,"W",44,59.15
67.979,39.985,12.246,45.26,49.929,"Class3",73.974,"X",25,14.524
66.547,48.426,35.694,82.758,48.19,"Class2",46.227,"N",58,98.625
18.091,30.315,38.883,43.799,3.25,"Class1",20.887,"U",52,62.603
69.798,54.263,18.806,25.054,65.487,"Class3",29.057,"T",24,19.384
22.701,6.088,20.543,44.693,3.59,"Class1",9.626,"W",34,64.687
23.227,14.901,25.104,8.198,2.637,"Class1",26.63,"U",50,63.724
33.777,81.087,24.623,27.44,65.053,"Class3",36.86,"X",28,20.529
18.39,17.261,61.249,34.552,2.698,"Class1",13.827,"O",48,65.562
63.967,62.164,29.575,58.888,56.585,"Class2",24.012,NA,54,99.224
27.332,29.573,71.683,43.218,2.101,"Class1",34.736,NA,44,58.092
NA,42.738,41.888,61.379,35.625,"Class2",33.575,"J",62,99.527
24.325,75.993,15.497,40.466,66.886,"Class3",53.097,"X",23,19.725
7.378,27.941,38.598,37.985,68.804,"Class3",32.934,"H",23,14.56
40.582,35.925,25.688,37.791,67.797,"Class3",86.045,"T",23,12.261
70.612,45.031,43.031,47.912,51.699,"Class2",56.269,"L",42,98.111
8.544,57.413,29.861,39.747,54.767,"Class3",75.641,"P",35,24.758
74.738,47.443,37.107,62.713,62.182,"Class2",46.029,"N",59,99.504
NA,48.607,33.134,32.079,66.142,"Class3",54.056,"H",28,16.226
74.292,61.809,45.51,86.434,59.788,"Class2",24.7,"N",57,99.272
68.901,59.053,48.465,68.883,60.792,"Class2",44.292,"L",60,98.834
24.895,20.882,31.437,54.193,1.648,"Class1",33.229,"S",41,63.869
20.579,25.987,40,54.722,3.384,"Class1",16.174,"U",52,62.315
79.9,47.017,42.529,65.202,59.111,"Class2",54.916,"L",57,99.85
28.588,11.819,53.163,88.667,3.016,"Class1",15.494,"S",57,62.595
19.832,4.231,45.331,63.222,3.084,"Class1",9.054,"W",34,66.375
7.469,40.87,24.161,31.756,50.793,"Class3",48.89,NA,31,16.117
64.461,75.838,37.366,77.122,62.053,"Class2",68.994,NA,51,98.37
71.798,46.926,47.531,61.944,63.316,"Class2",54.823,"J",46,99.088
83.263,58.345,51.031,56.619,51.3,"Class2",39.451,"J",63,98.707
42.43,34.355,30.042,50.632,54.411,"Class3",82.468,"P",24,19.258
62.137,55.026,39.905,44.93,57.459,"Class2",47.346,"N",51,98.989
80.891,46.196,50.498,67.306,39.855,"Class2",56.028,"J",61,99.805
16.914,71.106,23.844,31.177,55.104,"Class3",21.271,"T",34,11.292
NA,53.403,32.347,60.494,47.606,"Class2",57.284,NA,62,98.192
61.903,58.071,42.287,37.496,68.357,"Class3",92.995,"X",29,9.103
64.98,76.6,39.943,65.07,71.59,"Class2",21.114,"S",64,99.081
49.667,81.729,41.306,54.523,57.446,"Class3",58.066,"T",34,14.361
75.25,45.22,43.633,50.434,58.68,"Class2",32.666,"J",57,98.549
83.485,40.844,21.994,72.589,43.741,"Class2",21.705,"L",46,98.434
66.371,70.91,34.473,49.884,48.38,"Class2",48.245,"S",64,99.76
22.435,81.987,34.297,57.551,71.303,"Class3",39.319,"H",29,25.244
83.868,70.149,44.418,65.87,71.822,"Class2",74.825,"S",47,99.211
76.568,73.941,31.907,54.345,45.988,"Class2",59.545,"N",56,99.074
23.786,6.66,52.123,89.051,1.364,"Class1",34.094,"Q",54,62.656
15.78,20.847,39.543,43.526,1.565,"Class1",2.286,"S",35,62.668
78.363,68.81,40.904,71.795,47.845,"Class2",49.606,"L",61,98.935
72.246,49.041,29.912,54.994,68.215,"Class2",9.368,"L",43,97.784
30.367,16.404,31.096,27.546,56.081,"Class3",75.51,"F",34,16.024
26.405,6.65,79.689,38.574,2.405,"Class1",32.967,"Q",45,59.58
14.888,10.649,61.281,48.666,3.66,"Class1",34.459,"W",35,59.45
62.929,76.866,35.059,49.139,57.176,"Class2",75.557,"N",52,100.057
26.464,20.958,50.192,60.43,2.696,"Class1",35.099,"O",43,61.239
85.666,77.986,50.438,65.904,46.774,"Class2",81.131,"L",56,98.485
82.437,72.595,48.047,74.711,61.876,"Class2",51.719,"L",44,99.311
68.275,68.952,47.773,22.417,65.622,"Class3",35.611,"H",27,8.627
36.164,35.598,29.4,34.031,67.261,"Class3",60.195,"T",32,14.052
83.662,45.227,49.557,65.431,32.999,"Class2",28.955,"J",64,99.138
25.066,14.809,25.49,82.463,3.445,"Class1",30.266,"W",41,65.008
65.879,72.125,60.695,62.674,63.66,"Class2",14.576,"N",52,99.562
28.757,5.728,18.774,72.298,1.972,"Class1",14.543,"Q",42,58.996
9.472,22.689,24.794,29.344,71.439,"Class3",72.814,"X",26,19.938
28.195,22.666,30.124,12.455,2.723,"Class1",32.343,"Q",36,64.228
73.124,69.453,63.424,46.943,44.156,"Class2",71.922,"H",60,100.127
30.008,22.686,63.424,74.688,2.585,"Class1",26.615,"W",40,59.832
81.984,45.614,36.294,56.118,65.116,"Class2",67.447,NA,61,99.017
26.268,10.625,51.47,37.178,2.639,"Class1",22.526,"U",51,70.593
62.498,50.969,43.416,73.578,56.912,"Class2",19.555,"H",48,99.789
60.233,11.063,18.905,29.729,61.316,"Class3",18.976,"P",28,10.223
29.657,4.568,57.006,52.771,3.333,"Class1",30.81,"S",50,63.773
77.64,42.076,45.019,66.202,34.355,"Class2",8.103,"L",65,99.281
30.534,73.417,24.064,46.109,63.639,"Class3",37.224,"P",27,15.905
24.691,66.826,17.875,38.319,69.629,"Class3",47.414,"T",29,18.446
25.318,58.702,20.644,25.799,70.308,"Class3",68.07,"T",23,16.854
72.494,44.574,48.893,59.379,64.949,"Class2",27.454,"N",63,97.835
18.898,15.899,47.764,34.231,1.936,"Class1",17.155,"U",43,66.768
35.72,44.436,24.853,72.092,53.967,"Class3",78.184,"X",30,12.597
59.887,59.093,21.43,40.252,69.437,"Class3",73.461,"H",25,19.203
51.606,47.317,24.374,42.431,51.104,"Class3",48.831,"F",25,19.49
74.446,40.672,37.115,93.701,67.078,"Class2",18.002,"N",45,98.868
14.978,59.221,27.368,45.069,67.771,"Class3",35.844,"T",25,5.15
9.099,40.818,31.1,42.445,53.49,"Class3",35.296,"P",25,19.033
63.377,59.17,47.516,83.996,60.555,"Class2",42.925,"H",57,99.014
71.544,57.384,59.156,55.69,60.086,"Class2",38.445,"L",45,99.653
24.828,24.028,57.733,78.955,2.973,"Class1",16.241,"U",42,66.917
25.785,63.419,27.297,26.649,50.059,"Class3",68.887,NA,30,17.778
50.99,10.915,22.411,47.331,56.435,"Class3",69.308,"P",29,19.774
10.08,76.652,30.129,56.27,50.693,"Class3",58.313,"P",29,19.853
29.589,10.48,47.278,79.119,3.654,"Class1",9.899,"W",55,59.258
NA,33.337,18.303,21.449,3.386,"Class1",-5.781,"W",41,64.648
26.547,32.119,12.948,50.265,1.334,"Class1",33.972,"U",57,64.289
21.733,47.069,17.251,32.395,50.516,"Class3",68.603,"H",27,15.127
81.702,69.636,45.324,77.106,55.999,"Class2",29.533,"L",54,99.269
74.337,66.842,39.665,61.686,68.691,"Class2",-0.725,"L",51,98.776
31.713,17.942,33.544,28.38,1.008,"Class1",15.882,"S",54,58.111
31.553,16.888,64.391,56.104,1.988,"Class1",22.028,"W",57,65.56
23.214,31.085,40.916,30.159,2.768,"Class1",27.128,"O",36,71.678
29.122,16.157,107.297,25.25,1.393,"Class1",24.345,"W",46,54.222
NA,29.856,36.953,37.341,53.132,"Class3",24.211,"X",26,7.197
71.536,47.374,50.544,57.359,68.393,"Class2",54.617,"L",60,98.722
22.278,24.13,61.646,54.022,1.414,"Class1",35.899,"U",57,61.148
NA,33.47,60.24,40.808,1.551,"Class1",30.76,"Q",35,66.56
33.46,12.758,28.309,81.544,2.645,"Class1",16.011,"Q",37,62.084
68.131,67.447,40.216,101.794,64.092,"Class2",20.712,"S",60,98.829
15.688,9.202,41.101,41.905,1.502,"Class1",15.62,"W",44,66.173
63.916,68.518,49.182,66.848,61.315,"Class2",80.129,"J",49,98.415
8.977,11.005,16.186,20.653,65.526,"Class3",46.07,"P",29,21.096
22.809,10.855,75.163,53.951,1.993,"Class1",37.261,"O",54,62.153
20.061,23.53,34.005,16.313,2.608,"Class1",34.142,"Q",54,56.061
72.071,42.295,49.469,81.007,35.75,"Class2",80.494,"H",49,99.122
49.668,67.571,28.686,61.244,57.457,"Class3",46.212,"H",33,24.499
78.588,56.548,48.524,74.939,31.471,"Class2",23.23,"J",62,98.973
28.612,33.482,53.972,44.987,3.358,"Class1",21.846,"W",40,70.635
63.145,64.701,39.892,72.63,33.206,"Class2",44.951,"H",56,99.125
24.977,32.609,29.713,20.28,69.556,"Class3",30.185,"F",35,15.124
20.103,32.225,17.693,51.7,3.121,"Class1",25.748,"Q",52,61.223
32.439,25.971,57.835,72.254,2.379,"Class1",26.542,"W",56,63.856
43.975,58.439,30.49,56.089,72.927,"Class3",41.845,"P",30,19.697
19.606,28.831,17.357,30.416,2.33,"Class1",16.643,"U",34,70.06
NA,38.455,37.853,29.044,68.779,"Class3",50.476,"T",30,18.051
79.253,70.219,40.295,70.51,65.108,"Class2",36.982,"H",43,98.375
69.677,52.963,45.014,55.353,61.537,"Class2",40.867,"N",59,98.327
NA,19.26,52.555,65.649,3.511,"Class1",19.606,"O",50,66.216
27.018,10.997,60.006,2.428,3.127,"Class1",9.669,"S",52,60.837
65.096,69.907,55.321,63.72,37.24,"Class2",29.846,NA,52,100.09
27.965,14.215,28.523,48.8,72.011,"Class3",102.322,"P",26,17.66
21.048,27.485,32.449,55.759,3.081,"Class1",28.003,NA,49,68.163
20.991,79.525,36.912,45.365,55.847,"Class3",51.795,"P",23,7.069
16.308,22.683,26.728,80.282,2.043,"Class1",18.818,"Q",44,54.944
28.174,29.441,66.28,79.554,1.855,"Class1",34.776,"S",38,67.346
18.644,34.991,70.155,52.953,3.673,"Class1",19.143,"W",54,63.179
6.659,76.492,26.691,68.116,56.386,"Class3",52.284,NA,25,10.658
44.069,15.437,38.49,42.376,71.599,"Class3",52.347,"H",35,14.642
24.249,20.717,30.763,95.334,1.13,"Class1",26.252,"U",36,65.14
56.379,46.155,26.078,34.102,49.691,"Class3",37.005,"H",24,24.331
68.401,40.124,46.795,59.465,63.647,"Class2",35.476,"H",57,98.145
22.389,13.918,26.925,60.653,3.373,"Class1",27.422,"O",37,62.881
79.849,73.762,37.462,67.175,61.817,"Class2",81.292,"H",48,99.327
69.935,42.763,39.15,43.782,53.266,"Class3",50.12,"H",32,18.094
22.147,65.178,10.108,45.758,59.774,"Class3",31.473,"T",26,19.55
72.823,76.424,56.032,51.125,65.139,"Class2",36.499,"N",56,98.795
54.239,47.43,7.87,39.035,65.568,"Class3",71.764,"X",29,18.474
19.101,16.423,26.921,14.74,3.878,"Class1",27.637,"O",48,65.711
58.426,20.825,35.934,34.678,67.646,"Class3",74.605,"P",35,10.359
75.663,70.309,51.693,89.041,32.76,"Class2",28.654,"S",54,99.104
NA,11.168,33.311,-2.825,71.791,"Class3",92.141,"T",29,16.308
15.823,34.758,64.395,27.408,1.217,"Class1",26.57,"Q",42,56.248
15.486,9.12,43.31,41.439,1.969,"Class1",30.58,"U",36,70.558
7.362,75.878,25.235,36.954,65.658,"Class3",53.609,"H",30,13.152
61.392,55.971,40.74,67.047,44.731,"Class2",64.327,"H",59,98.33
63.828,57.685,34.409,64.939,32.433,"Class2",21.942,"J",48,100.852
61.249,61.134,32.616,75.889,50.609,"Class2",58.065,"N",66,99.698
60.613,52.731,16.78,62.082,64.542,"Class3",68.865,"T",26,19.388
20.229,32.618,73.347,45.031,3.25,"Class1",14.316,NA,37,62.3
84.825,65.887,44.275,78.498,32.706,"Class2",44.755,"J",52,99.015
46.085,42.505,27.45,7.136,49.486,"Class3",25.862,"X",27,8.98
62.874,34.233,22.489,44.166,67.927,"Class3",52.378,"T",34,12.795
22.615,11.391,68.446,57.591,2.1,"Class1",25.171,"U",45,59.195
69.505,77.82,23.752,48.923,68.494,"Class3",71.743,"T",27,12.889
83.741,74.455,48.829,53.606,42.684,"Class2",43.842,"J",66,98.863
11.893,45.244,31.056,45.029,57.406,"Class3",37.442,"X",31,15.344
19.632,27.627,33.59,46.196,3.966,"Class1",19.445,"O",43,64.041
25.637,14.688,30.49,65.03,1.702,"Class1",38.026,"S",57,63.254
64.84,78.496,49.604,74.907,44.473,"Class2",44.67,"L",58,97.829
27.303,22.04,36.662,31.155,2.521,"Class1",4.93,"W",48,66.608
64.931,70.25,32.241,11.729,68.19,"Class3",63.414,"F",35,16.626
73.983,43.129,42.896,48.816,70.512,"Class2",11.675,"S",66,99.731
22.248,26.993,30.836,19.108,3.265,"Class1",23.876,"U",50,64.042
84.525,60.232,35.903,45.534,70.441,"Class2",65.386,"N",45,97.904
79.653,76.705,31.486,62.769,47.047,"Class2",51.713,"L",61,97.939
80.839,58.053,35.19,67.223,32.068,"Class2",36.236,"N",58,99.307
19.098,13.558,22.688,15.707,50.203,"Class3",65.74,"T",32,9.298
65.903,64.88,52.378,59.07,42.597,"Class2",56.05,"H",52,99.489
30.262,4.159,51.287,46.139,3.538,"Class1",28.958,"U",36,60.002
17.308,8.757,52.352,48.242,3.226,"Class1",15.338,"Q",53,60.457
85.455,52.202,51.587,41.826,34.962,"Class2",68.939,"S",57,98.28
7.589,81.227,5.906,39.678,55.876,"Class3",47.055,"F",27,12.55
76.847,54.746,44.297,70.248,68.256,"Class2",53.21,"S",48,98.958
53.785,8.863,22.713,38.671,52.885,"Class3",51.542,"P",28,19.326
10.751,45.008,38.137,67.731,58.348,"Class3",24.83,"H",24,10.051
78.101,66.499,50.787,79.356,50.103,"Class2",23.487,NA,64,98.348
84.921,58.654,46.819,40.613,68.725,"Class2",15.135,"J",43,98.639
57.784,55.733,28.058,25.076,50.529,"Class3",71.351,"H",27,22.521
74.083,54.417,48.36,56.531,63.453,"Class2",6.708,"N",51,99.387
72.213,59.324,48.011,59.267,60.692,"Class2",14.161,"N",65,98.465
71.245,59.273,48.091,62.604,32.134,"Class2",54.926,"N",45,100.14
19.087,71.966,25.209,58.2,57.5,"Class3",86.002,"F",33,9.238
24.301,7.388,69.432,55.36,3.774,"Class1",16.416,"Q",44,59.472
41.251,40.794,33.087,47.284,55.246,"Class3",48.341,"T",33,12.736
60.08,42.124,27.867,32.878,49.065,"Class3",85.652,"F",34,14.736
32.445,7.297,28.108,47.602,3.501,"Class1",32.496,"O",36,68.38
70.893,64.077,43.827,54.43,61.959,"Class2",80.327,"S",61,99.35
14.665,5.876,68.545,54.919,3.644,"Class1",9.608,"O",48,64.035
69.379,53.805,53.516,53.898,57.929,"Class2",49.414,"H",56,97.962
74.446,61.648,39.662,39.771,56.466,"Class2",48.505,NA,53,98.85
24.974,22.685,17.395,49.404,50.918,"Class3",42.755,"H",31,15.871
27.425,33.377,27.93,89.892,1.558,"Class1",31.565,"U",57,63.206
62.751,46.806,54.213,55.664,59.374,"Class2",32.483,"N",46,99.182
27.018,28.178,49.267,67.8,3.562,"Class1",13.637,"W",53,57.651
NA,25.994,44.047,39.975,2.088,"Class1",26.992,"O",52,62.278
28.608,7.774,96.483,29.81,2.197,"Class1",30.921,"Q",39,62.878
17.592,31.265,26.396,37.337,3.119,"Class1",24.849,"S",57,60.278
45.394,57.627,34.432,48.223,64.11,"Class3",69.124,"F",32,11.528
63.537,61.037,28.771,31.711,61.698,"Class3",10.75,"P",23,20.216
61.815,42.084,40.218,69.332,33.766,"Class2",22.627,"J",44,97.648
23.55,24.895,29.153,87.83,1.79,"Class1",40.464,"S",43,61.241
21.628,8.371,46.512,39.35,1.982,"Class1",24.937,NA,49,67.336
61.274,77.976,29.679,28.218,54.194,"Class3",52.182,"F",30,12.978
NA,23.56,52.011,56.303,2.8,"Class1",34.629,"W",49,69.526
29.047,83.554,34.871,20.361,61.78,"Class3",35.974,"X",32,22.857
18.709,18.892,44.737,35.169,2.442,"Class1",25.097,"S",48,63.122
31.266,23.124,26.28,35.66,67.519,"Class3",51.696,"X",28,8.709
28.872,33.507,49.547,69.454,1.775,"Class1",20.619,"S",40,65.041
33.674,9.66,36.226,58.934,2.128,"Class1",20.477,"O",57,61.406
27.266,16.58,34.862,43.208,50.887,"Class3",50.76,"H",25,9.541
24.838,20.875,44.456,92.673,3,"Class1",8.309,"O",37,63.173
17.025,31.841,30.789,46.431,60.386,"Class3",80.897,"H",31,14.647
27.676,65.903,23.717,34.133,57.583,"Class3",50.339,"X",30,11.209
30.681,16.747,28.35,35.313,3.396,"Class1",16.362,"Q",54,70.558
15.027,32.414,55.024,44.915,1.867,"Class1",19.681,"S",39,63.541
65.204,66.677,33.223,31.381,54.966,"Class3",22.545,"T",32,14.615
55.255,39.763,21.928,57.948,61.802,"Class3",28.395,"X",27,16.518
31.9,25.61,42.112,64.999,2.371,"Class1",17.112,"U",40,64.914
62.993,54.569,40.426,72.852,65.587,"Class2",66.853,"N",44,98.942
22.683,32.319,52.867,47.428,2.769,"Class1",15.094,"O",36,59.842
67.326,39.18,29.105,41.341,55.289,"Class3",87.683,"P",24,9.787
15.439,48.21,23.494,44.006,64.927,"Class3",66.944,"X",25,16.319
69.51,64.213,38.126,64.683,66.946,"Class2",89.497,"J",61,99.953
74.003,44.547,44.288,63.275,40.167,"Class2",22.486,"S",61,99.79
25.83,32.81,26.946,58.67,3.631,"Class1",25.823,"W",34,69.34
62.493,57.834,50.143,59.148,56.964,"Class2",23.915,"H",59,97.978
83.863,48.547,31.519,65.813,35.635,"Class2",6.467,"J",53,98.472
41.757,31.303,29.035,51.12,54.468,"Class3",71.132,"X",33,20.335
51.214,52.249,33.357,35.254,53.793,"Class3",-5.298,"H",26,10.086
22.313,24.795,34.146,52.66,3.354,"Class1",14.253,"U",50,61.942
61.201,62.709,20.154,20.584,64.33,"Class3",17.978,"H",31,8.002
64.852,69.751,34.51,70.039,48.889,"Class2",54.551,"N",42,99.165
52.168,72.888,34.469,59.953,49.613,"Class3",38.182,"F",24,5.325
26.416,42.337,38.211,49.9,69.889,"Class3",27.508,"H",30,15.842
16.664,22.9,29.103,35.132,1.296,"Class1",15.695,"Q",45,66.254
15.582,26,46.789,15.591,51.188,"Class3",27.46,"H",30,18.023
62.9,47.213,54.186,70.823,33.628,"Class2",37.827,"L",62,98.436
64.402,59.025,37.553,71.551,51.868,"Class2",18.116,"H",54,99.439
30.718,33.463,82.913,47.782,1.979,"Class1",32.58,"W",38,64.766
22.672,10.268,61.632,21.064,3.454,"Class1",29.778,"U",39,66.977
21.786,18.568,15.191,20.997,61.183,"Class3",22.888,"F",23,12.086
39.737,31.553,28.86,63.909,63.232,"Class3",31.643,"T",24,12.569
27.297,6.194,79.902,56.546,3.374,"Class1",23.965,"S",49,69.111
83.482,68.667,37.483,45.014,59.912,"Class2",86.386,"H",43,99.062
47.124,63.942,34.692,43.884,65.292,"Class3",54.277,"T",28,17.395
16.557,32.231,59.284,7.225,2.822,"Class1",31.773,"S",35,58.304
62.935,67.949,54.52,34.813,49.778,"Class2",39.431,"H",46,99.699
75.746,73.577,52.457,63.009,54.276,"Class2",27.449,"J",45,98.615
23.494,74.124,36.772,51.479,54.078,"Class3",44.576,"T",30,9.812
NA,23.111,14.137,34.617,1.773,"Class1",38.228,"S",47,63.798
49.978,33.367,26.88,56.841,52.886,"Class3",20.587,"F",31,17.56
30.772,34.32,43.987,79.343,2.355,"Class1",16.178,"S",38,62.233
5.544,22.994,25.244,35.944,56.389,"Class3",50.701,"F",27,18.747
66.594,52.74,49.215,63.621,61.705,"Class2",25.67,"H",48,100.282
84.348,57.977,41.63,59.615,50.969,"Class2",16.673,"J",64,98.552
8.744,9.155,32.067,33.387,55.58,"Class3",96.68,"X",32,23.72
6.087,36.52,22.603,32.162,61.459,"Class3",53.912,"F",30,14.792
20.024,25.517,19.026,74.943,2.816,"Class1",34.375,"S",39,59.246
NA,10.831,47.878,41.056,2.342,"Class1",24.766,"Q",50,67.836
11.778,19.004,26.089,24.698,50.508,"Class3",76.761,"P",23,18.332
40.706,46.804,17.264,21.986,54.177,"Class3",82.39,"X",25,27.378
20.607,72.433,29.726,33.498,66.145,"Class3",43.16,"X",23,8.991
70.671,49.879,45.136,45.874,41.415,"Class2",94.786,"S",50,99.113
27.862,60.671,34.346,30.742,61.738,"Class3",43.363,"X",31,19.264
37.191,12.159,32.908,29.01,66.52,"Class3",45.244,"H",32,10.579
65.605,50.184,59.175,47.935,56.352,"Class2",47.4,"H",53,100.094
22.156,14.906,86.409,33.729,2.789,"Class1",34.956,"U",42,65.074
70.596,40.841,46.405,74.112,68.965,"Class2",40.072,"J",47,99.206
83.909,52.791,40.139,52.739,38.372,"Class2",41.51,"S",49,99.252
61.696,43.73,15.044,5.807,66.906,"Class3",38.879,NA,24,23.112
85.245,64.787,36.448,48.668,38.967,"Class2",25.228,"J",44,99.133
28.066,27.233,67.195,41.884,2.021,"Class1",19.529,"Q",38,66.263
62.77,67.207,18.252,19.997,66.554,"Class3",86.101,"X",29,21.658
79.383,46.191,41.75,59.407,47.384,"Class2",68.039,"S",53,98.615
83.608,67.842,30.164,73.984,40.471,"Class2",44.849,"J",42,99.745
18.258,22.764,34.134,46.559,1.221,"Class1",21.963,"S",45,63.034
63.47,36.75,29.194,41.152,64.115,"Class3",55.536,"H",24,14.67
20.584,25.112,65.591,58.046,1.642,"Class1",38.966,"S",40,63.985
73.728,49.747,48.888,63.774,67.846,"Class2",23.309,"H",43,98.644
31.239,23.958,58.746,44.385,2.438,"Class1",28.031,"S",55,64.542
71.818,75.113,42.323,49.728,47.077,"Class2",67.151,"N",53,99.834
63.985,54.45,35.659,60.07,36.769,"Class2",8.897,"L",53,97.662
85.142,55.892,57.827,59.612,38.331,"Class2",38.245,"S",59,99.15
