"ZMX1","DEG2","RQT3","FKX4","XYN5","Output27","DGT6","HIA7","MIP8","WYH9","GBC10"
36.611,68.732,54.887,41,42.869,"Class4","C",42.348,39.826,32.522,8.012
13.225,92.465,52.05,71,84.649,"Class1","G",10.836,21.623,69.528,46.788
50.439,71.673,41.747,34,44.455,"Class3","S",43.893,22.582,26.39,76.108
21.773,50.394,52.896,84,59.173,"Class4","C",36.294,44.57,28.951,4.499
30.999,42.191,32.436,32,28.354,"Class4","D",40.485,28.976,23.923,9.487
77.683,42.829,38.074,81,35.099,"Class2","M",79.237,53.066,92.913,90.987
77.308,44.281,25.246,34,46.322,"Class2","Y",72.815,22.501,92.795,71.427
43.117,86.818,42.136,36,43.57,"Class3","H",35.875,22.825,24.553,67.37
77.125,44.376,30.639,39,43.948,"Class2","L",64.911,14.199,94.759,76.113
23.338,67.941,25.388,37,17.676,"Class4","N",37.071,38.123,28.238,14.728
60.395,61.427,39.402,10,41.554,"Class3","D",60.511,21.715,22.668,78.053
77.151,45.237,35.598,58,39.246,"Class2","L",67.634,12.861,76.892,82.572
77.381,42.957,33.926,53,NA,"Class2","N",77.634,31.508,86.708,78.398
77.955,44.354,36.281,90,31.368,"Class2","M",92.333,16.994,83.702,73.034
27.243,54.278,-13.989,44,57.007,"Class4","D",25.633,32.705,28.915,12.379
35.342,89.508,61.727,69,87.11,"Class1","B",46.78,16.3,85.483,35.75
77.236,41.055,34.361,69,44.068,"Class2","R",69.78,23.167,85.753,82.497
25.825,28.691,40.615,76,46.678,"Class4","O",27.142,45.045,32.8,12.665
-1.555,89.47,115.382,69,83.634,"Class1","M",38.601,77.878,79.227,57.472
28.071,39.869,43.412,75,49.72,"Class3","R",44.401,21.36,23.646,86.018
63.57,60.528,43.913,13,NA,"Class3","H",51.285,17.497,24.757,67.544
49.185,64.392,42.538,45,NA,"Class3","N",60.336,16.824,26.992,91.824
19.592,90.202,58.323,70,84.388,"Class1","B",56.088,6.511,55.575,56.413
56.087,80.3,40.547,27,40.135,"Class3","N",43.01,19.48,25.866,88.621
77.721,45.063,35.112,81,NA,"Class2","L",91.828,18.19,91.367,83.036
77.659,46.493,37.893,71,28.708,"Class2","M",55.062,38.929,90.708,80.305
31.742,53.005,16.652,64,70.917,"Class4","O",18.603,54.635,30.314,9.846
6.923,88.333,54.911,69,86.764,"Class1","G",70.716,40.507,59.491,46.415
77.608,42.531,29,51,51.601,"Class2","Y",56.611,25.694,87.308,90.222
46.194,85.407,39.636,81,38.034,"Class3","N",50.789,17.89,24.438,85.461
76.084,74.306,41.53,52,46.722,"Class3","N",34.334,19.912,22.744,78.474
99.075,44.237,44.758,30,39.95,"Class3","D",55.324,19.744,24.163,82.17
41.187,89.18,87.098,71,88.518,"Class1","D",59.335,71.621,84.632,70.888
45.88,42.971,42.524,53,38.411,"Class3","D",58.989,22.955,25.18,61.257
77.639,42.112,36.138,74,44.297,"Class2","M",61.865,10.385,97.058,77.484
24.231,34.071,23.236,42,46.642,"Class4","O",21.001,43.724,33.763,7.721
51.26,42.816,39.815,83,40.195,"Class3","N",39.964,19.448,26.169,70.032
77.431,41.018,31.891,78,3.505,"Class2","M",72.767,49.239,93.329,81.071
76.981,43.437,32.623,52,46.319,"Class2","Y",57.377,35.321,83.669,74.118
44.352,27.623,45.123,25,38.497,"Class3","R",34.606,17.352,25.591,115.189
41.329,43.794,36.781,22,34.064,"Class4","N",15.831,48.997,34.818,-1.409
34.243,19.183,49.532,84,25.56,"Class4","Z",16.675,37.406,19.097,10.205
16.844,61.733,42.787,77,23.436,"Class4","Z",38.835,39.657,22.45,17.528
21.446,12.11,49.348,54,43.418,"Class4","C",28.006,33.487,21.487,5.887
36.113,91.916,56.816,69,81.482,"Class1","O",57.106,70.354,82.737,35.849
41.954,73.258,41.455,41,34.556,"Class3","R",43.709,22.582,NA,64.558
32.766,70.223,33.62,92,64.379,"Class4","N",14.989,43.843,18.34,14.227
77.513,41.005,36.907,74,60.816,"Class2","R",84.657,51.072,82.822,85.073
76.641,42.077,25.765,74,40.018,"Class2","M",64.376,34.816,87.141,86.696
9.734,89.867,99.543,71,84.394,"Class1","B",45.076,65.974,82.445,39.736
78.007,41.818,34.082,72,NA,"Class2","M",68.692,26.819,85.053,83.552
77.621,41.746,34.3,31,41.823,"Class2","M",73.363,16.805,84.245,90.823
8.476,88.495,58.808,71,84.724,"Class1","B",45.18,58.625,86.02,52.248
77.566,43.576,35.648,81,61.117,"Class2","L",86.291,20.363,84.137,80.894
77.453,43.676,32.939,78,40.293,"Class2","Y",88.745,33.973,85.934,81.897
53.154,48.115,47.13,50,59.985,"Class4","O",43.44,32.385,34.73,8.643
15.299,89.263,35.938,70,86.493,"Class1","G",74.232,66.109,75.095,45.38
24.234,89.132,78.992,70,83.472,"Class1","D",81.329,15.897,89.23,35.339
77.511,44.513,35.714,73,42.079,"Class2","R",92.015,42.408,92.469,87.029
13.741,91.328,76.345,71,85.797,"Class1","O",13.492,24.565,54.806,54.29
40.408,25.093,-3.955,60,61.989,"Class4","N",22.606,31.433,18.741,5.586
18.708,34.736,34.796,30,26.533,"Class4","Z",33.306,30.866,28.405,15.422
30.237,89.602,41.455,69,85.073,"Class1","M",86.792,32.104,54.157,52.911
30.925,19.014,2.18,86,49.615,"Class4","D",38.832,45.357,35.89,14.173
43.366,21.915,35.912,46,47.068,"Class4","N",24.38,35.222,33.351,15.466
39.992,59.008,41.535,35,35.813,"Class3","D",49.151,19.736,22.277,85.633
77.026,45.094,36.829,91,23.294,"Class2","R",87.424,48.351,77.834,93.132
77.325,41.275,31.588,33,39.489,"Class2","L",80.964,31.586,78.238,80.831
49.873,50.882,45.437,28,35.376,"Class3","R",37.872,16.826,23.123,103.166
77.383,41.835,33.175,36,10.613,"Class2","N",62.421,23.007,77.734,94.455
25.28,90.818,65.177,69,85.272,"Class1","G",50.258,20.418,71.849,57.582
77.23,46.74,36.439,42,42.26,"Class2","R",71.987,41.756,76.942,80.655
23.729,29.727,39.624,38,32.694,"Class3","D",39.313,18.489,24.247,60.541
77.268,46.735,32.641,68,32.563,"Class2","M",90.108,26.517,82.326,84.712
77.25,42.881,35.642,44,24.792,"Class2","N",84.689,53.679,76.874,74.003
32.189,82.085,65.561,81,58.169,"Class4","C",19.288,39.455,20.293,9.48
47.703,74.572,41.209,94,NA,"Class4","N",32.54,51.257,10.171,3.87
77.07,42.781,34.851,70,14.862,"Class2","L",87.077,45.049,90.53,86.72
55.808,71.049,40.085,53,35.079,"Class3","H",45.252,16.261,23.355,69.989
45.848,75.824,50.01,32,40.23,"Class4","C",44.025,29.799,35.38,13.43
35.786,49.485,19.076,67,48.44,"Class4","O",19.338,32.116,19.775,5.409
20.423,90.184,74.653,70,86.022,"Class1","G",20.816,21.967,70.885,49.316
50.24,72.649,41.766,32,41.005,"Class3","D",42.916,21.938,25.136,85.646
9.363,91.484,39.821,69,86.296,"Class1","D",77.409,12.85,88.101,63.086
53.316,34.953,43.876,20,41,"Class3","R",51.509,22.802,22.856,91.077
77.744,44.041,39.414,60,35.337,"Class2","L",57.104,13.935,92.426,89.085
34.327,36.79,41.872,83,31.691,"Class4","N",16.806,44.048,19.461,5.368
34.005,12.599,43.014,50,58.325,"Class4","D",37.79,36.452,25.19,10.019
10.994,90.41,42.226,70,85.813,"Class1","O",28.003,55.359,86.441,61.616
77.441,41.391,39.403,82,46.105,"Class2","L",74.367,10.61,76.984,83.021
17.188,92.716,78.458,71,86.36,"Class1","O",46.536,26.414,86.527,61.59
9.582,90.714,66.07,70,86.7,"Class1","G",42.59,66.761,60.47,45.784
26.392,91.467,79.033,70,84.402,"Class1","G",26.334,18.072,85.949,39.452
25.211,51.014,8.253,78,61.007,"Class4","O",47.96,54.868,26.077,5.319
77.109,45.006,28.825,82,31.785,"Class2","L",84.627,37.055,88.388,79.718
1.707,90.042,34.042,70,88.045,"Class1","G",60.672,11.854,94.467,59.561
77.591,46.596,32.754,55,40.359,"Class2","M",71.399,41.472,82.218,69.875
77.533,44.124,30.504,70,36.031,"Class2","L",61.293,18.14,86.161,75.172
69.902,24.309,45.061,70,46.299,"Class3","R",40.423,18.942,24.783,66.246
77.391,43.018,32.336,52,69.21,"Class2","R",62.803,17.78,97.761,87.624
77.661,45.008,33.314,63,38.144,"Class2","L",80.823,29.432,86.834,85.191
17.408,92.652,40.956,70,86.88,"Class1","M",73.791,51.289,84.144,69.227
21.413,91.714,100.157,71,80.844,"Class1","D",19.97,16.647,78.576,75.35
34.128,10.877,14.886,96,52.926,"Class4","O",35.397,37.891,15.507,6.441
46.369,20.758,43.99,79,34.906,"Class3","R",59.554,19.419,23.083,78.684
77.39,45.138,31.243,78,42.196,"Class2","Y",55.509,37.379,89.945,88.837
38.655,32.435,44.464,70,40.378,"Class3","R",34.814,18.42,25.342,80.239
77.148,44.691,34.815,83,36.124,"Class2","R",89.169,34.21,92.002,82.403
77.429,46.257,36.226,49,NA,"Class2","Y",92.617,21.485,78.813,73.179
22.849,63.986,53.183,73,45.595,"Class4","Z",43.091,30.424,21.597,8.372
14.792,90.771,96.36,71,86.767,"Class1","G",46.414,35.165,87.119,44.496
23.137,90.641,64.959,71,85.233,"Class1","G",20.073,41.394,75.798,51.09
71.55,80.573,39.098,41,50.929,"Class3","N",47.448,19.98,24.709,29.499
36.102,90.495,91.028,71,NA,"Class1","D",58.228,32.662,80.382,58.162
28.818,89.08,44.952,71,87.898,"Class1","G",72.549,6.171,NA,45.43
15.768,91.306,81.736,69,87.691,"Class1","D",42.149,33.598,57.507,61.426
36.044,47.829,29.749,55,60.317,"Class4","O",25.792,54.948,16.968,14.407
77.773,44.581,29.645,56,44.62,"Class2","R",70.418,17.17,89.102,87.33
65.75,40.587,39.48,75,50.878,"Class3","D",43.427,21.091,NA,96.55
77.742,43.109,31.815,41,31.718,"Class2","L",76.275,50.806,95.042,98.621
53.946,30.17,42.391,75,34.403,"Class3","R",42.922,17.789,26.6,65.815
72.435,76.482,46.145,38,40.734,"Class3","N",38.501,19.914,24.354,87.159
63.275,83.131,41.439,31,40.202,"Class3","N",42.967,16.385,25.565,98.308
16.374,89.607,65.936,70,92.643,"Class1","G",64.845,50.433,94.923,44.612
77.629,45.359,28.582,71,31.956,"Class2","M",80.039,51.416,91.936,86.014
3.004,88.377,46.484,69,84.425,"Class1","D",57.671,35.039,54.221,57.136
66.767,85.579,38.884,77,32.671,"Class3","S",54.836,19.747,23.79,85.922
28.371,89.488,73.426,69,82.959,"Class1","M",49.249,49.07,84.397,58.205
72.976,80.631,41.289,23,32.356,"Class3","R",50.053,20.447,23.96,37.859
43.139,74.928,61.524,66,36.165,"Class4","C",27.689,42.239,NA,7.388
77.178,45.705,34.047,87,42.245,"Class2","L",69.117,44.886,NA,78.509
45.161,21.97,62.479,90,30.038,"Class4","O",36.507,36.391,15.104,14.919
77.046,45.506,40.88,46,37.562,"Class2","R",70.088,28.303,79.803,106.969
77.216,46.863,39.216,71,54.233,"Class2","Y",64.07,16.012,77.704,84.726
58.557,60.381,-5.472,46,52.182,"Class4","C",28.829,40.725,30.081,1.666
77.989,45.629,30.806,87,55.878,"Class2","N",74.482,15.007,83.705,75.979
29.513,67.669,43.26,80,38.149,"Class3","H",39.589,20.448,25.28,58.516
77.695,44.265,38.434,72,59.012,"Class2","M",92.679,28.277,76.668,80.582
25.985,90.769,86.884,69,85.84,"Class1","G",40.634,46.422,85.512,37.039
17.833,89.377,56.507,70,86.056,"Class1","B",15.004,79.54,55.75,66.489
77.211,45.987,34.698,90,16.714,"Class2","Y",59.115,26.556,78.738,90.142
78.119,43.91,36.151,54,35.619,"Class2","Y",76.821,54.266,82.077,86.465
57.922,84.969,44.754,45,39.017,"Class3","R",44.427,22.816,25.221,69.479
77.706,42.002,36.712,57,30.564,"Class2","Y",89.028,33.089,NA,86.941
30.893,35.64,11.253,45,45.276,"Class4","C",44.996,32.549,36.554,2.019
54.899,76.943,42.564,10,33.795,"Class3","N",45.348,16.898,23.624,69.908
77.273,44.297,37.339,64,25.552,"Class2","R",69.963,30.732,85.401,93.503
49.99,75.446,36.151,68,43.046,"Class3","H",59.674,22.577,25.512,57.243
36.841,21.527,40.035,49,44.335,"Class3","H",41.344,17.415,22.175,68.332
77.77,43.674,28.141,63,31.357,"Class2","M",71.335,46.205,94.24,89.018
7.019,90.925,57.57,69,84.048,"Class1","M",27.7,29.723,NA,52.563
50.989,26.429,40.714,46,38.568,"Class3","S",55.515,16.616,22.247,90.846
28.595,89.211,37.79,71,81.632,"Class1","B",73.382,8.362,65.513,34.911
53.519,79.232,51.452,89,41.587,"Class4","C",29.926,27.808,36.047,12.422
38.224,32.333,42.436,52,37.596,"Class3","D",57.41,22.15,23.894,74.609
77.93,46.184,33.838,33,73.153,"Class2","N",80.046,27.133,85.132,87.74
61.067,79.99,44.372,22,48.727,"Class3","D",59.669,18.004,25.559,73.114
38.732,45.913,6.895,44,63.172,"Class4","O",24.001,54.904,13.158,8.872
34.775,88.138,104.186,69,84.223,"Class1","G",59.539,68.042,81.742,44.408
8.753,88.651,77.93,71,84.936,"Class1","G",28.58,63.858,80.765,65.798
77.55,44.791,30.994,65,43.711,"Class2","N",78.834,43.76,94.939,104.639
27.123,92.848,94.91,69,84.623,"Class1","D",30.423,53.284,71.823,44.008
77.203,41.067,41.424,47,49.17,"Class2","N",62.222,49.976,87.853,88.663
25.604,91.702,57.038,70,81.27,"Class1","B",41.668,39.689,70.341,49.417
77.135,45.708,35.922,73,NA,"Class2","L",70.404,30.064,88.078,83.73
17.584,90.993,53.175,69,87.137,"Class1","D",33.845,35.455,70.998,45.163
7.639,91.4,40.055,69,84.82,"Class1","G",50.333,28.702,65.551,67.633
33.075,44.729,3.556,92,32.074,"Class4","D",44.719,28.141,23.046,10.281
32.855,66.376,15.889,95,36.471,"Class4","C",48.351,29.022,20.057,21.875
42.778,62.603,41.456,37,43.959,"Class3","H",34.683,20.078,24.826,78.041
60.609,20.309,41.158,44,35.071,"Class3","N",41.688,16.016,25.445,69.142
77.633,44.32,39.849,65,59.34,"Class2","R",65.722,35.512,91.154,89.43
62.721,72.979,42.835,70,37.922,"Class4","D",39.863,49.386,12.053,8.074
23.21,92.997,87.692,70,82.88,"Class1","O",58.812,30.257,91.282,46.221
77.951,43.182,35.419,64,39.646,"Class2","Y",82.175,48.913,83.383,89.023
23.034,90.412,57.99,71,85.729,"Class1","G",29.136,74.709,56.313,57.37
59.796,41.991,45.467,80,42.354,"Class3","N",55.392,21.873,23.201,109.53
35.599,51.481,39.83,69,19.878,"Class4","N",33.352,38.381,32.296,7.178
55.027,60.392,41.562,81,38.751,"Class3","S",55.055,21.355,26.545,57.169
10.87,92.714,75.284,71,83.727,"Class1","O",82.132,57.726,89.986,64.146
32.043,49.992,48.965,87,23.123,"Class4","Z",25.705,52.197,26.977,10.104
59.939,56.392,40.531,31,34.857,"Class3","S",46.338,21.093,NA,84.862
12.906,88.036,63.451,69,87.969,"Class1","M",46.611,48.813,60.479,35.722
77.533,45.129,37.096,65,34.11,"Class2","R",86.175,54.81,79.552,104.25
31.619,33.427,40.337,42,38.119,"Class3","S",59.069,20.733,22.741,76.762
11.031,88.536,80.443,70,84.733,"Class1","M",45.672,53.919,60.819,40.272
77.463,41.325,36.671,43,66.51,"Class2","Y",72.441,25.105,85.83,90.061
49.226,19.125,42.82,24,40.534,"Class3","H",47.631,18.429,22.507,35.877
24.313,88.129,43.66,70,82.793,"Class1","G",58.252,31.522,81.088,64.703
77.415,41.965,35.567,45,36.229,"Class2","N",80.251,20.801,97.665,90.24
42.16,40.914,47.154,21,22.901,"Class3","N",51.928,19.317,24.015,69.647
56.216,49.578,39.717,10,45.144,"Class3","S",54.299,21.953,24.474,86.822
28.058,64.186,29.261,58,38.378,"Class4","Z",50.314,26.449,15.449,13.057
56.513,63.48,43.178,54,38.514,"Class3","R",57.299,21.967,26.317,83.02
43.054,44.823,41.657,51,45.506,"Class3","N",50.798,20.273,26.735,72.568
77.906,43.516,26.717,86,34.64,"Class2","R",85.709,16.142,92.927,85.874
77.535,42.301,34.46,65,29.453,"Class2","N",60.203,47.465,78.411,89.516
35.554,91.243,73.135,70,82.684,"Class1","O",41.762,31.838,88.22,47.652
22.172,92.063,68.44,70,85.364,"Class1","B",37.439,45.602,54.236,56.467
-0.424,90.652,59.008,71,84.538,"Class1","O",67.957,59.147,94.404,59.881
77.423,44.752,31.64,45,49.344,"Class2","Y",63.372,31.195,81.858,85.801
43.665,27.121,8.016,70,50.017,"Class4","N",47.433,47.453,24.772,8.513
47.39,8.643,54.286,78,18.961,"Class4","D",50.124,55.361,29.078,13.443
77.509,46.225,39.241,67,48.919,"Class2","Y",66.152,38.25,89.885,90.004
37.808,68.338,10.21,27,58.923,"Class4","D",25.004,29.448,18.547,7.534
60.53,67.433,44.909,34,27.751,"Class3","H",59.387,16.684,22.608,117.546
43.779,61.987,31.673,44,36.631,"Class4","Z",50.331,44.781,13.585,10.63
20.168,18.73,19.731,42,53.551,"Class4","Z",42.708,34.929,15.305,16.429
70.278,82.559,40.804,15,45.644,"Class3","D",42.691,17.776,26.026,82.806
23.182,55.959,56.746,90,10.449,"Class4","D",42.289,36.28,25.77,8.755
78.012,44.846,35.249,42,26.916,"Class2","N",69.872,19.273,94.821,92.569
45.556,71.383,41.082,31,34.551,"Class3","S",35.546,17.338,26.1,94.692
43.54,56.266,40.234,19,39.206,"Class3","D",34.142,17.759,23.156,43.344
77.912,46.468,28.492,53,27.484,"Class2","R",57.776,32.741,97.916,89.303
7.362,91.966,50.195,70,85.591,"Class1","G",44.529,50.388,82.176,63.349
48.74,31.966,44.345,68,30.59,"Class3","S",43.317,19.178,26.139,68.651
23.921,63.234,-0.162,71,38.756,"Class4","Z",34.664,40.647,19.423,12.689
59.933,73.352,41.185,22,29.293,"Class3","N",49.518,18.883,NA,64.805
63.71,39.288,43.979,57,40.637,"Class3","H",52.163,21.208,23.119,52.156
41.591,22.876,41.943,62,31.473,"Class3","N",50.593,20.506,26.65,84.375
48.501,81.023,42.002,33,37.554,"Class3","D",37.786,22.877,25.691,56.68
64.281,59.36,42.438,53,34.845,"Class3","N",45.506,16.79,26.708,74.552
0.002,90.718,33.919,71,82.808,"Class1","O",58.012,20.602,61.378,49.488
48.876,67.385,41.799,43,30.279,"Class3","S",59.713,17.977,25.545,68.873
77.794,44.501,39.256,58,21.447,"Class2","L",65.226,35.588,91.497,81.667
25.875,92.258,83.669,69,85.742,"Class1","D",15.186,38.236,91.029,64.629
43.5,56.36,19.257,40,24.11,"Class4","C",38.117,39.165,23.614,6.473
38.19,64.423,44.426,64,31.449,"Class3","D",38.184,18.653,25.984,80.454
79.138,88.881,47.059,39,33.974,"Class3","S",43.041,21.598,23.55,48.444
23.581,16.682,23.22,22,52.921,"Class4","D",36.85,48.809,25.93,16.789
77.288,44.196,38.703,66,41.649,"Class2","N",55.208,34.127,83.528,78.216
43.354,42.073,43.29,84,31.955,"Class3","D",38.297,18.005,24.088,73.039
49.954,33.36,43.824,75,42.666,"Class3","N",43.912,16.806,22.596,32.642
77.803,46.833,36.794,60,53.245,"Class2","L",55.219,39.212,80.314,77.491
77.268,43.76,43.281,38,NA,"Class2","R",68.447,49.203,81.963,95.82
12.374,89.865,55.126,69,85.196,"Class1","D",30.224,65.201,85.01,56.724
70.32,36.779,36.814,75,54.658,"Class4","D",15.732,43.652,26.661,8.256
31.288,69.19,28.133,71,NA,"Class4","Z",41.248,26.966,22.63,14.224
77.326,45.963,28.696,31,34.797,"Class2","N",65.297,39.932,NA,84.245
15.702,88.9,71.743,70,85.559,"Class1","B",83.249,79.585,90.512,26.496
77.881,41.648,36.345,43,39.031,"Class2","M",58.461,25.254,89.092,104.82
30.945,36.637,42.075,47,44.249,"Class3","R",44.556,18.58,NA,83.256
77.456,44.746,37.085,40,31.794,"Class2","N",90.031,13.734,90.39,78.355
23.043,89.452,61.37,70,84.006,"Class1","D",27.986,24.744,71.753,61.13
15.251,89.772,73.34,71,NA,"Class1","B",53.764,17.724,65.914,65.371
55.088,11.96,27.692,34,21.148,"Class4","N",43.671,37.649,20.809,6.454
31.381,28.398,86.488,80,35.206,"Class4","Z",38.622,44.24,23.664,5.497
77.23,43.045,35.286,73,70.86,"Class2","N",76.706,13.02,84.486,68.831
40.695,8.194,2.569,81,49.297,"Class4","N",20.706,53.14,NA,15.379
55.494,80.781,42.287,67,39.701,"Class3","S",56.781,19.672,26.148,95.747
70.6,73.655,40.253,59,36.389,"Class3","R",53.824,18.197,24.668,72.851
32.551,29.589,1.098,28,45.296,"Class4","C",30.889,51.356,31.866,7.831
23.02,63.631,31.164,31,22.928,"Class4","O",42.453,39.201,27.974,6.351
14.141,91.966,97.378,71,88.454,"Class1","M",26.172,78.205,90.91,59.03
77.661,46.751,33.897,32,47.168,"Class2","M",67.376,42.99,83.769,88.58
28.789,31.64,-22.75,43,NA,"Class4","D",29.573,43.647,31.752,11.039
21.8,90.295,89.651,71,87.25,"Class1","B",60.71,63.613,90.211,46.794
2.309,91.25,90.499,71,86.772,"Class1","M",26.647,18.786,77.134,62.982
-15.314,89.497,84.096,69,86.288,"Class1","B",44.062,71.241,62.744,56.456
77.344,44.088,34.871,45,40.531,"Class2","L",82.499,52.405,92.149,73.932
63.855,43.275,43.438,48,37.666,"Class3","H",55.651,20.323,26.247,64.373
39.417,53.094,13.075,71,24.208,"Class4","C",24.759,27.927,30.8,8.859
15.484,91.254,25.202,69,84.426,"Class1","M",78.295,54.914,73.254,55.659
73.938,35.132,44.21,26,39.111,"Class3","H",57.81,16.757,25.073,68.443
17.748,91.158,36.292,69,83.786,"Class1","B",80.243,35.307,66.293,31.364
77.906,41.075,40.657,84,34.325,"Class2","M",62.583,26.602,77.387,88.977
77.672,45.869,37.284,82,36.454,"Class2","L",87.788,34.389,84.501,80.056
37.933,69.328,29.705,83,22.026,"Class4","C",22.026,52.438,31.279,9.579
61.413,28.731,43.016,71,33.552,"Class3","D",43.904,20.118,23.522,50.347
33.665,92.253,49.096,70,81.71,"Class1","O",85.534,14.869,75.176,50.629
4.15,89.683,86.986,69,85.709,"Class1","D",14.398,62.152,88.597,52.366
21.924,92.927,52.65,69,87.192,"Class1","D",22.553,77.163,65.028,45.014
23.817,92.457,95.552,69,85.843,"Class1","M",86.745,68.653,78.989,52.201
77.715,44.731,36.077,73,39.91,"Class2","R",73.409,47.155,81.271,87.236
15.741,89.261,52.381,70,87.141,"Class1","D",73.201,77.33,58.98,54.567
58.052,15.056,20.914,41,47.813,"Class4","N",37.097,44.512,18.156,10.195
77.953,41.753,39.61,89,49.835,"Class2","L",67.437,36.347,85.243,90.035
42.905,42.064,40.798,51,38.916,"Class3","R",54.437,19.271,25.308,77.787
6.34,92.592,70.905,69,81.419,"Class1","B",84.611,61.366,91.201,61.547
47.808,14.704,27.805,31,48.794,"Class4","C",16.295,54.652,31.296,11.483
77.402,44.478,36.381,33,29.973,"Class2","Y",68.585,52.324,93.247,88.113
40.939,72.684,14.126,30,NA,"Class4","C",26.346,39.768,15.649,8.562
77.413,41.166,38.913,37,55.314,"Class2","R",64.274,43.329,89.94,86.694
17.718,72.244,26.907,79,20.368,"Class4","D",20.861,52.553,20.498,11.342
6.876,88.82,82.928,71,85.143,"Class1","D",80.443,62.425,80.907,43.062
77.743,45.238,31.568,59,20.166,"Class2","R",83.612,42.239,89.061,100.895
72.667,55.747,43.909,78,41.842,"Class3","S",55.293,19.574,26.403,72.044
61.445,81.773,41.931,61,33.346,"Class3","R",43.786,17.84,25.876,68.256
77.572,45.015,30.157,68,28.009,"Class2","Y",61.901,32.66,93.878,83.634
4.455,91.999,72.66,69,84.761,"Class1","G",78.686,29.544,NA,45.311
19.766,88.159,75.993,71,86.788,"Class1","D",16.642,19.333,86.054,62.837
32.408,12.271,19.913,96,35.405,"Class4","C",16.787,36.571,15.601,4.281
77.776,46.584,31.246,84,15.922,"Class2","Y",86.92,31.288,82.434,73.019
26.878,73.363,33.434,49,37.078,"Class4","Z",35.39,41.149,24.01,12.03
26.799,89.774,64.986,69,81.497,"Class1","B",59.507,50.718,82.756,48.223
81.122,89.242,40.916,75,46.952,"Class3","R",45.018,22.605,25.543,76.583
77.261,45.265,32.063,76,37.562,"Class2","R",59.54,24.785,79.999,80.397
77.792,41.524,38.797,35,30.554,"Class2","Y",69.464,21.792,76.72,90.022
35.024,62.963,46.832,86,47.42,"Class4","O",40.552,39.138,NA,7.196
77.606,41.334,35.292,42,57.047,"Class2","L",64.437,54.725,NA,80.833
77.425,43.554,28.75,91,14.045,"Class2","M",63.809,21.565,88.074,82.747
76.811,45.816,35.548,39,27.838,"Class2","N",73.552,43.125,84.437,77.778
64.306,30.969,41.825,54,29.063,"Class3","R",35.041,19.3,22.792,56.982
27.665,88.724,49.562,70,84.059,"Class1","G",41.62,45.973,82.764,52.413
43.591,49.591,40.268,32,35.322,"Class3","S",44.378,20.885,26.766,73.523
39.496,43.215,45.17,36,78.573,"Class4","D",45.101,41.724,29.886,15.953
77.01,42.255,32.469,50,58.924,"Class2","L",82.563,52.468,83.457,82.441
55.007,52.934,39.8,61,35.8,"Class3","D",44.83,16.949,26.019,62.89
23.248,53.654,79.257,42,43.01,"Class4","O",30.724,45.671,28.854,14.608
39.229,32.357,17.414,63,37.164,"Class4","C",22.221,50.466,29.175,15.895
77.751,42.505,34.455,73,33.648,"Class2","R",69.406,15.718,80.933,85.835
22.031,91.419,29.909,71,88.051,"Class1","M",85.32,23.87,61.925,62.807
-15.261,36.865,27.664,37,27.65,"Class4","C",42.283,32.889,35.898,16.592
54.475,75.732,41.233,66,39.321,"Class3","N",43.952,21.278,26.673,80.49
12.701,92.32,63.672,70,84.296,"Class1","M",17.125,46.402,90.623,42.094
66.245,28.213,40.255,47,38.524,"Class3","S",34.597,16.622,23.231,29.342
20.833,89.309,77.979,70,84.855,"Class1","O",51.719,59.018,81.563,41.724
2.56,15.138,16.704,74,37.842,"Class4","Z",31.314,28.111,21.284,9.231
77.365,42.785,39.822,51,20.35,"Class2","Y",63.275,41.909,84.496,69.652
44.827,42.825,31.311,96,55.357,"Class4","C",12.242,37.379,11.141,5.49
16.791,89.005,54.894,69,86.113,"Class1","M",61.549,50.612,61.175,49.026
23.16,30.322,25.335,65,39.039,"Class4","Z",27.408,38.195,NA,6.564
60.814,36.458,41.096,28,42.502,"Class3","D",54.573,20.037,25.093,62.151
77.361,42.78,33.602,85,46.636,"Class2","N",69.371,23.082,NA,89.152
40.533,59.912,42.095,84,29.125,"Class3","H",56.095,17.203,23.543,60.117
6.781,90.761,69.081,71,85.544,"Class1","D",12.083,73.705,59.234,38.677
-0.822,92.428,17.249,71,81.14,"Class1","B",63.2,77.018,56.844,42.536
77.539,45.889,29.406,80,38.5,"Class2","Y",67.833,53.95,84.285,79.703
1.789,92.18,50.47,70,89.784,"Class1","B",14.055,14.836,84.063,45.655
63.134,82.068,42.042,78,35.702,"Class3","N",45.564,20.927,23.796,76.732
73.829,33.185,41.017,57,33.546,"Class3","D",36.854,21.256,26.421,75.188
77.557,42.526,35.413,59,37.405,"Class2","L",59.976,34.687,88.629,85.455
55.354,62.91,37.447,68,32.315,"Class3","S",46.627,16.051,24.883,96.586
40.383,52.578,45.625,27,32.974,"Class3","N",46.096,16.778,22.413,94.045
-1.058,90.635,77.41,69,84.314,"Class1","D",36.436,52.833,93.861,47.027
25.151,92.29,37.914,70,82.396,"Class1","G",33.86,47.941,89.411,43.931
56.303,67.863,48,96,45.105,"Class4","O",45.514,52.093,20.552,10.698
22.418,92.196,58.581,70,87.75,"Class1","B",14.782,9.182,81.612,49.955
13.271,88.948,84.172,69,86.895,"Class1","O",9.26,8.048,91.069,50.995
