"RVM1","WRJ2","XBE3","Output19","QPJ4","QET5","BQX6","EZA7","WEP8","RMF9","GZF10","LAG11"
32.118,55,15.27,"Class1",34.918,103.243,"Q",82.572,2.458,99.075,55.803,"U"
70.158,80,17.701,"Class1",25.311,71.381,"S",82.566,31.325,97.874,31.051,"L"
45.425,70,24.211,"Class1",13.862,75.384,"P",82.718,30.471,97.812,64.651,"B"
17.82,59,24.76,"Class1",24.837,73.766,"T",81.213,28.975,99.392,60.41,"U"
18.902,85,26.069,"Class1",17.468,69.824,"P",82.466,15.633,99.365,40.357,"H"
31.641,68,24.36,"Class1",36.239,54.929,"Q",82.881,37.62,97.698,64.763,"U"
24.844,83,17.261,"Class1",52.762,107.497,"P",82.383,12.46,96.899,NA,"B"
90.992,75,15.196,"Class1",29.412,71.722,"S",81.209,16.205,98.012,42.238,"H"
62.193,56,28.62,"Class1",45.46,96.126,"Q",81.697,3.154,96.024,38.874,"X"
22.369,25,89.097,"Class2",76.612,51.14,"C",33.956,59.914,46.45,62.199,"K"
48.243,61,89.101,"Class2",83.045,30.451,"T",33.968,37.21,44.766,55.615,"G"
64.945,59,89.719,"Class2",69.938,21.969,"I",29.433,62.037,38.168,68.565,"G"
50.85,87,20.011,"Class1",31.653,111.281,"P",82.451,25.177,96.964,34.88,"H"
38.387,70,28.303,"Class1",30.052,95.243,"G",81.111,1.014,97.516,43.915,"H"
40.325,75,20.884,"Class1",53.21,71.261,"Q",81.686,5.65,99.272,29.455,"X"
18.109,79,23.34,"Class1",36.267,90.119,"S",NA,17.88,97.282,NA,"L"
33.27,67,89.167,"Class2",79.622,23.184,"C",27.187,84.102,55.61,52.932,"G"
40.08,79,89.96,"Class2",58.58,78.068,"C",18.193,56.371,42.249,90.58,"L"
51.673,57,20.17,"Class1",45.672,51.268,"Q",81.194,18.53,98.373,13.996,"B"
71.293,24,89.783,"Class2",63.232,57.983,"I",37.295,84.56,42.951,88.911,"I"
64.451,74,27.913,"Class1",41.83,94.713,"T",81.615,6.222,97.114,60.303,"L"
85.491,30,89.08,"Class2",64.052,25.923,"K",39.352,22.463,44.49,56.272,"K"
46.1,43,89.419,"Class2",65.484,28.106,"K",41.124,66.18,46.188,69.889,"L"
22.647,70,22.963,"Class1",27.394,68.24,"Q",81.162,1.062,98.192,35.013,"H"
12.829,82,89.181,"Class2",75.041,46.98,"K",20.615,45.018,47.239,86.619,"I"
58.293,61,89.416,"Class2",80.869,32.703,"R",34.759,75.354,48.374,108.369,"H"
27.192,90,18.271,"Class1",23.901,83.147,"S",82.404,19.42,99.028,50.307,"X"
51.636,62,89.177,"Class2",59.942,22.164,"K",18.71,31.117,50.352,75.782,"H"
91.728,80,89.21,"Class2",55.488,25.907,"I",43.986,38.971,48.689,71.757,"I"
45.846,62,27.873,"Class1",28.538,64.656,"P",81.448,8.78,98.041,73.79,"L"
75.633,82,26.663,"Class1",53.578,68.382,"G",81.65,2.397,99.007,49.672,"X"
70.628,53,89.025,"Class2",60.204,32.84,"R",NA,33.247,50.53,65.609,"I"
38.59,44,89.297,"Class2",67.817,19.744,"R",22.907,50.297,44.729,67.994,"H"
68.608,57,19.26,"Class1",13.121,74.293,"T",82.001,22.489,98.08,34.311,"L"
34.549,51,21.635,"Class1",28.22,73.061,"T",82.853,8.582,97.081,38.179,"H"
71.606,88,20.988,"Class1",36.579,72.696,"T",82.826,30.187,96.831,67.099,"U"
67.494,58,16.995,"Class1",27.299,83.311,"G",82.616,1.869,96.972,20.571,"X"
12.327,66,89.117,"Class2",77.795,69.742,"T",31.167,29.624,47.505,89.467,"G"
46.5,49,89.731,"Class2",66.6,46.817,"I",25.469,72.591,45.277,93.888,"K"
64.857,65,89.765,"Class2",70.909,56.97,"I",32.682,22.243,40.629,86.523,"K"
41.745,92,23.672,"Class1",30.612,72.746,"P",81.36,33.755,96.764,38.881,"X"
100.66,19,89.733,"Class2",60.852,32.586,"C",35.911,72.133,61.921,74.23,"H"
56.668,79,89.948,"Class2",65.72,25.81,"R",31.33,86.041,49.015,49.973,"H"
28.593,52,18.317,"Class1",46.211,61.825,"G",81.816,36.855,96.783,70.152,"H"
24.404,79,15.549,"Class1",35.411,93.482,"P",82.864,35.439,98.331,14.077,"B"
48.226,45,89.301,"Class2",85.986,33.784,"C",29.133,53.995,47.291,83.623,"H"
57.564,79,16.296,"Class1",40.6,76.344,"S",81.995,1.33,98.599,26.178,"X"
70.552,64,89.858,"Class2",70.258,33.045,"R",45.651,31.771,50.155,65.747,"G"
69.439,75,15.569,"Class1",24.961,62.549,"P",81.778,29.536,96.629,51.647,"U"
1.415,90,16.081,"Class1",47.547,99.647,"G",82.048,3.521,100.616,64.501,"H"
63.085,56,89.675,"Class2",62.09,79.854,"C",29.644,55.289,60.94,66.528,"I"
66.823,91,17.983,"Class1",38.516,62.076,"G",81.757,14.524,99.763,69.211,"L"
53.667,59,89.918,"Class2",58.723,43.062,"C",47.698,47.676,42.03,72.482,"G"
28.409,57,15.924,"Class1",14.606,82.379,"T",82.968,2.041,97.507,47.212,"H"
78.867,56,19.125,"Class1",19.756,76.718,"T",82.027,9.143,95.839,77.683,"X"
27.287,86,89.123,"Class2",79.837,17.726,"R",47.704,65.574,50.193,80.336,"K"
106.723,51,18.659,"Class1",34.742,78.641,"P",81.941,31.361,101.547,44.121,"L"
69.904,66,22.596,"Class1",17.244,75.017,"T",82.817,16.466,97.102,59.022,"B"
27.679,67,27.808,"Class1",17.755,37.265,"S",81.84,1.586,97.362,52.64,"H"
74.387,90,25.864,"Class1",42.29,78.35,"G",82.764,15.618,98.193,25.395,"L"
14.093,92,20.603,"Class1",22.453,76.852,"T",NA,2.334,96.334,70.493,"X"
29.753,81,23.479,"Class1",23.238,80.813,"G",81.54,22.076,99.704,26.922,"H"
23.495,58,89.331,"Class2",80.315,58.909,"C",21.416,83.996,50.746,77.836,"H"
44.939,53,89.51,"Class2",64.665,55.939,"R",28.438,29.169,37.854,77.853,"I"
105.573,20,89.774,"Class2",68.639,64.54,"R",37.423,35.574,49.994,71.304,"I"
36.593,78,89.099,"Class2",82.501,49.439,"K",38.491,41.092,48.552,59.138,"K"
65.956,21,89.008,"Class2",71.565,66.104,"I",39.992,30.238,54.252,92.077,"H"
46.104,87,20.929,"Class1",48.086,90.439,"G",82.776,7.731,99.625,41.323,"B"
49.507,73,21.213,"Class1",27.56,80.895,"G",81.77,32.582,97.275,21.176,"H"
42.681,58,89.109,"Class2",64.676,34.007,"I",25.997,86.857,44.534,84.74,"I"
43.717,72,89.756,"Class2",81.54,33.576,"T",49.8,56.139,50.528,41.785,"G"
97.661,76,89.21,"Class2",56.802,58.592,"T",29.592,76.632,38.567,52.752,"L"
15.345,74,20.586,"Class1",54.152,41.689,"Q",82.815,24.942,96.831,58.072,"L"
71.596,90,89.559,"Class2",56.317,39.539,"I",37.182,88.317,46.324,66.829,"H"
13.1,61,22.893,"Class1",19.833,68.014,"P",81.171,6.145,96.23,65.507,"L"
12.397,87,21.682,"Class1",36.978,61.281,"G",81.968,12.875,99.369,59.249,"B"
3.657,58,28.473,"Class1",24.236,88.315,"P",82.71,19.896,96.322,57.63,"L"
11.841,75,20.295,"Class1",40.776,68.62,"S",NA,19.664,96.816,33.217,"L"
43.377,28,89.071,"Class2",59.214,6.863,"T",23.735,89.696,41.567,86.59,"K"
38.798,64,89.785,"Class2",57.409,13.742,"R",28.35,48.415,56.986,49.154,"K"
52.539,56,18.632,"Class1",45.694,73.814,"S",82.932,14.342,100.365,56.727,"B"
56.547,80,23.986,"Class1",14.179,88.408,"P",NA,28.298,97.199,71.765,"X"
33.017,69,19.535,"Class1",29.616,82.758,"T",81.905,34.925,98.32,59.188,"U"
2.681,92,27.591,"Class1",38.996,108.814,"G",82.224,29.049,98.875,52.059,"X"
56.039,89,89.408,"Class2",62.965,53.363,"I",20.473,91.191,52.37,78.768,"G"
48.026,79,26.841,"Class1",51.327,42.464,"Q",82.907,34.172,98.77,67.858,"L"
82.041,80,89.974,"Class2",58.119,36.599,"K",35.47,42.127,45.292,41.526,"H"
10.032,60,89.44,"Class2",77.345,33.712,"I",20.952,21.145,54.67,48.203,"L"
33.988,85,21.584,"Class1",25.5,40.938,"S",NA,17.269,96.031,50.034,"H"
50.348,26,89.64,"Class2",77.69,27.416,"I",25.44,93.153,46.257,64.461,"I"
49.742,49,20.222,"Class1",29.029,89.762,"P",82.796,9.901,98.097,79.862,"H"
46.179,81,20.066,"Class1",44.174,108.122,"S",82.134,7.02,98.374,9.481,"X"
41.829,82,89.174,"Class2",60.002,14.459,"T",41.928,22.992,46.402,NA,"H"
36.413,80,89.334,"Class2",72.723,43.651,"R",33.727,61.306,43.771,83.414,"G"
63.199,55,89.881,"Class2",76.365,47.992,"R",40.791,92.162,53.42,70.583,"I"
34.992,64,26.497,"Class1",39.445,103.703,"S",82.569,2.624,98.08,28.073,"L"
50.301,69,89.059,"Class2",59.072,68.577,"K",36.048,81.615,50.806,85.153,"H"
54.096,71,89.025,"Class2",80.349,4.504,"T",40.298,25.986,38.687,60.746,"K"
68.002,91,19.167,"Class1",25.53,89.566,"T",81.367,8.395,95.792,42.605,"H"
16.994,30,89.583,"Class2",80.072,31.533,"I",50.971,51.878,51.749,73.475,"I"
49.723,53,16.745,"Class1",27.584,59.398,"T",81.283,3.616,99.104,66.049,"B"
-13.52,61,20.891,"Class1",34.774,77.369,"S",81.166,19.753,98.25,34.871,"U"
12.79,74,89.954,"Class2",62.458,13.322,"R",39.877,33.176,47.193,43.991,"I"
13.287,48,21.796,"Class1",49.435,52.082,"G",81.654,34.6,100,47.896,"B"
10.097,31,89.107,"Class2",72.715,37.172,"R",28.078,24.311,47.146,74.105,"H"
29.236,82,24.921,"Class1",10.83,111.812,"G",81.184,7.069,95.015,46.616,"H"
60.738,53,89.944,"Class2",79.3,13.48,"C",42.99,59.6,40.415,91.881,"I"
20.488,45,89.69,"Class2",77.342,32.069,"T",34.817,28.952,41.235,73.158,"K"
18.443,77,89.098,"Class2",85.871,50.574,"R",50.209,78.11,34.909,84.95,"G"
6.232,30,89.184,"Class2",68.785,10.34,"T",NA,66.653,45.673,94.9,"G"
24.987,82,23.006,"Class1",44.056,80.417,"G",82.135,33.211,97.188,43.146,"H"
34.829,79,27.897,"Class1",52.905,78.884,"G",81.816,11.948,98.003,63.096,"U"
49.202,83,19.483,"Class1",50.288,83.756,"T",82.692,16.166,96.953,44.45,"H"
8.877,81,23.788,"Class1",37.919,57.262,"G",81.139,4.13,97.763,83.23,"L"
33.899,56,89.02,"Class2",77.919,60.589,"R",21.208,41.405,35.029,51.425,"K"
58.278,83,89.155,"Class2",84.476,39.346,"R",45.336,26.018,43,NA,"H"
69.308,59,19.397,"Class1",10.039,92.402,"Q",81.34,21.032,97.639,52.805,"B"
42.743,78,24.767,"Class1",10.703,82.066,"Q",81.562,23.606,98.16,47.304,"X"
44.185,42,89.096,"Class2",68.354,27.044,"R",49.768,31.598,47.183,91.179,"H"
44.634,70,24.848,"Class1",35.314,95.928,"P",81.14,35.832,98.044,50.457,"L"
44.955,44,89.399,"Class2",68.302,22.92,"I",41.151,23.975,50.404,78.996,"H"
28.084,62,89.704,"Class2",78.703,20.682,"T",20.203,57.274,49.191,74.107,"H"
69.454,64,27.788,"Class1",20.725,83.472,"P",NA,4.657,98.075,55.366,"H"
58.795,51,15.489,"Class1",27.125,74.437,"Q",82.617,31.54,96.46,40.821,"X"
32.427,70,23.248,"Class1",10.122,76.297,"G",82.541,16.734,100.504,19.801,"U"
35.654,46,89.212,"Class2",72.267,19.928,"I",28.743,87.825,44.676,61.332,"L"
67.63,53,89.529,"Class2",81.963,29.936,"R",35.769,49.28,48.059,76.228,"L"
2.217,33,89.838,"Class2",67.643,0.616,"C",21.789,69.96,48.767,69.854,"L"
33.154,81,15.253,"Class1",31.539,90.003,"P",82.355,1.252,99.614,51.981,"B"
29.831,58,21.465,"Class1",29.365,67.154,"P",82.334,21.652,100.555,43.583,"U"
6.424,58,89.008,"Class2",63.704,72.257,"C",49.881,90.562,44.465,72.379,"H"
29.217,43,89.949,"Class2",57.923,29.001,"I",49.535,75.231,47.094,92.725,"H"
61.028,45,89.675,"Class2",61.264,29.135,"C",38.592,47.707,48.942,70.716,"H"
36.102,71,89.228,"Class2",71.678,26.269,"R",36.484,36.153,54.857,54.193,"L"
31.696,74,89.707,"Class2",66.634,33.29,"K",43.124,33.023,45.365,66.643,"H"
38.371,30,89.589,"Class2",83.765,42.756,"I",34.007,83.19,54.603,79.42,"K"
28.591,69,22.872,"Class1",47.471,97.431,"T",82.185,29.172,99.169,83.077,"X"
39.47,65,17.02,"Class1",36.706,92.354,"T",82.56,8.277,97.181,60.916,"H"
78.681,32,89.393,"Class2",70.59,43.616,"T",48.839,70.918,51.86,57.952,"I"
32.818,85,89.065,"Class2",74.679,65.813,"K",27.663,87.826,46.311,53.755,"H"
47.824,49,89.071,"Class2",71.475,36.94,"I",22.125,34.614,54.066,91.228,"L"
34.295,60,89.524,"Class2",70.613,15.921,"K",18.36,64.168,47.979,73.859,"I"
26.019,80,20.059,"Class1",17.873,67.114,"T",81.801,3.119,96.935,34.11,"B"
34.751,76,19.252,"Class1",46.508,67.724,"P",81.536,20.889,97.43,35.84,"B"
50.825,89,89.365,"Class2",81.881,36.874,"C",40.193,55.31,41.338,63.203,"G"
67.134,69,89.462,"Class2",63.424,44.352,"K",34.915,59.459,42.181,93.259,"G"
43.898,63,28.748,"Class1",21.262,84.844,"T",81.767,32.706,96.917,35.107,"H"
32.706,77,21.975,"Class1",26.481,88.215,"T",82.55,31.242,99.371,44.868,"X"
39.073,92,25.52,"Class1",38.575,55.999,"P",82.985,31.284,96.112,43.736,"B"
54.324,25,89.92,"Class2",85.565,20.945,"K",29.437,39.301,49.035,60.111,"L"
53.091,24,89.057,"Class2",72.713,24.656,"C",44.228,50.027,42.543,NA,"H"
48.525,35,89.505,"Class2",78.913,19.906,"T",33.439,48.552,44.374,96.841,"K"
56.798,79,20.993,"Class1",38.315,107.082,"P",81.752,28.886,97.595,45.891,"X"
60.965,36,89.767,"Class2",66.995,62.48,"I",27.342,87.18,45.771,82.821,"L"
29.498,55,89.233,"Class2",56.693,25.178,"C",36.986,40.223,52.301,94.185,"H"
35.205,76,19.547,"Class1",34.319,66.602,"T",81.932,22.493,97.102,59.724,"X"
51.81,86,89.824,"Class2",69.004,90.028,"R",41.269,48.751,47.779,69.802,"H"
32.34,59,89.427,"Class2",77.177,4.179,"T",50.893,30.801,48.905,79.73,"H"
63.693,56,22.422,"Class1",53.734,63.944,"G",82.483,35.963,97.203,68.962,"B"
13.12,49,22.851,"Class1",22.745,104.999,"T",81.071,9.546,98.331,33.994,"B"
49.663,91,17.46,"Class1",49.46,71.508,"Q",81.832,21.663,98.239,37.804,"U"
41.201,77,20.052,"Class1",12.159,77.429,"P",82.736,2.429,99.701,54.318,"B"
66.371,69,26.805,"Class1",13.392,61.653,"G",82.445,20.181,95.932,65.144,"U"
56.087,35,89.702,"Class2",56.7,37.695,"R",28.738,45.168,46.061,NA,"L"
42.671,87,15.609,"Class1",36.867,62.757,"P",81.794,18.795,100.17,52.717,"L"
64.79,87,22.197,"Class1",49.886,60.253,"S",82.76,26.891,100.474,63.523,"B"
30.731,75,89.195,"Class2",76.014,62.484,"T",35.372,36.544,41.561,69.931,"K"
25.542,73,16.269,"Class1",16.772,89.054,"T",81.881,19.565,97.577,59.665,"L"
71.847,73,15.134,"Class1",35.864,108.393,"T",82.88,25.841,99.481,36.759,"B"
49.865,21,89.939,"Class2",59.403,16.14,"C",44.804,24.868,39.654,77.778,"L"
70.574,30,89.558,"Class2",65.188,49.235,"I",29.62,62.103,42.26,82.983,"K"
50.419,46,89.956,"Class2",75.208,45.874,"K",40.485,60.176,45.215,70.564,"I"
37.595,48,23.591,"Class1",31.947,36.144,"G",82.715,27.185,97.478,30.662,"U"
63.506,75,89.146,"Class2",81.43,46.667,"K",37.739,68.303,50.295,78.068,"K"
40.225,61,22.987,"Class1",28.849,83.802,"G",81.719,2.709,100.948,75.269,"B"
36.091,61,89.862,"Class2",59.321,44.323,"I",43.859,68.975,46.821,83.247,"H"
47.136,85,26.084,"Class1",18.086,63.811,"Q",81.086,18.93,98.234,30.947,"U"
78.651,84,20.867,"Class1",10.545,78.635,"Q",82.137,8.754,96.14,29.86,"U"
8.928,24,89.052,"Class2",81.281,28.462,"K",48.991,49.769,48.879,81.992,"K"
44.58,85,26.052,"Class1",10.99,80.947,"Q",81.455,32.714,97.139,38.34,"L"
20.658,54,18.945,"Class1",37.041,62.983,"S",81.119,8.957,98.173,59.493,"B"
54.675,36,89.238,"Class2",65.601,-3.475,"R",30.416,37.163,50.116,66.311,"H"
65.979,74,28.842,"Class1",43.777,90.555,"S",82.393,19.289,98.003,29.918,"U"
60.168,80,27.519,"Class1",17.141,79.602,"T",82.355,2.237,96.33,71.499,"U"
50.628,68,89.018,"Class2",57.458,68.221,"C",37.696,93.751,39.319,67.775,"K"
38.851,50,15.317,"Class1",50.369,70.206,"T",82.141,1.051,98.641,76.256,"L"
69.499,74,89.343,"Class2",70.576,35.184,"R",22.445,61.699,50.185,94.943,"G"
55.01,63,89.849,"Class2",64.017,44.19,"I",37.534,75.764,46.43,90.178,"K"
73.345,56,89.365,"Class2",80.687,47.498,"I",34.214,37.021,51.127,71.932,"L"
18.894,73,22.197,"Class1",54.552,49.796,"P",82.577,21.892,97.9,50.291,"X"
50.195,57,89.219,"Class2",69.336,4.814,"I",26.018,76.225,42.902,94.528,"L"
47.261,74,23.618,"Class1",34.449,103.323,"T",82.43,20.475,99.67,54.312,"U"
70.826,87,22.946,"Class1",28.694,81.815,"P",81.518,12.858,100.127,NA,"H"
52.763,59,89.641,"Class2",64.998,13.368,"R",44.592,56.696,35.957,89.371,"I"
56.095,68,89.406,"Class2",73.942,30.797,"C",42.528,60.082,47.358,79.047,"I"
75.042,63,27.929,"Class1",49.146,87.751,"G",81.582,16.974,98.341,39.72,"B"
53.452,86,28.361,"Class1",48.707,67.71,"Q",82.631,17.253,96.238,30.386,"H"
33.191,39,89.845,"Class2",55.012,54.2,"I",22.182,58.15,53.016,73.75,"K"
57.344,83,89.284,"Class2",82.021,34.016,"T",NA,68.644,50.61,88.237,"K"
20.629,72,89.483,"Class2",65.452,28.825,"K",32.168,82.134,55.481,64.259,"G"
45.919,63,25.514,"Class1",35.74,108.415,"T",82.384,29.474,99.469,49.803,"B"
48.569,59,27.139,"Class1",25.546,65.032,"P",82,18.579,98.394,57.789,"B"
52.12,24,89.399,"Class2",62.322,22.646,"T",28.778,67.004,44.348,59.537,"L"
49.306,77,89.838,"Class2",72.396,53.252,"R",46.797,37.1,43.309,78.005,"G"
61.294,92,21.652,"Class1",14.02,86.199,"P",82.885,20.74,97.006,69.832,"L"
57.834,83,89.497,"Class2",72.436,23.19,"R",39.825,74.848,46.165,74.524,"I"
48.502,64,22.374,"Class1",30.396,86.287,"S",82.082,11.61,100.007,59.005,"U"
55.708,73,89.362,"Class2",84.962,-2.566,"I",42.634,80.702,51.043,54.956,"I"
63.59,83,17.388,"Class1",30.958,58.177,"G",81.529,27.83,97.652,49.474,"X"
41.291,89,16.35,"Class1",41.279,67.691,"Q",82.339,22.5,98.008,58.874,"B"
66.929,32,89.926,"Class2",60.257,46.785,"T",48.296,77.953,43.168,92.871,"G"
5.05,86,89.073,"Class2",80.034,36.038,"R",24.793,43.105,58.877,78.686,"G"
26.482,61,23.683,"Class1",17.347,75.299,"Q",82.554,18.938,100.343,43.521,"H"
79.76,91,22.923,"Class1",42.367,58.005,"Q",81.623,28.024,98.656,67.458,"U"
25.377,57,89.126,"Class2",72.967,10.088,"I",40.607,36.576,48.163,65.512,"I"
93.592,65,15.947,"Class1",10.259,76.958,"T",82.09,27.919,98.863,32.302,"B"
41.816,78,89.973,"Class2",60.215,57.87,"T",46.376,86.498,45.512,69.146,"G"
13.482,28,89.06,"Class2",57.485,22.548,"K",50.403,75.225,52.879,62.087,"K"
57.748,61,89.818,"Class2",85.527,46.194,"I",18.284,22.642,46.54,86.482,"G"
43.397,67,89.591,"Class2",69.753,18.02,"R",22.091,74.674,51.946,78.912,"G"
43.679,81,89.462,"Class2",77.707,25.768,"R",46.665,39.01,44.418,NA,"L"
40.721,57,89.751,"Class2",85.501,32.447,"C",41.75,25.068,51.643,68.977,"G"
45.336,64,17.677,"Class1",12.095,73.647,"P",81.496,13.125,98.949,34.987,"L"
52.834,83,18.459,"Class1",41.462,56.709,"S",82.968,30.958,97.417,61.639,"X"
85.839,87,20.945,"Class1",20.967,49.114,"G",81.84,35.496,98.398,62.073,"L"
63.133,55,89.008,"Class2",76.58,37.193,"T",39.804,26.594,39.564,64.171,"L"
52.13,55,89.737,"Class2",66.459,-2.026,"T",49.729,85.522,50.163,92.852,"K"
33.317,82,19.486,"Class1",21.458,86.986,"G",NA,1.829,95.798,55.423,"B"
80.493,64,18.175,"Class1",29.363,71.756,"G",82.523,21.497,98.651,58.666,"X"
6.44,53,27.628,"Class1",43.886,75.75,"T",82.881,2.527,98.054,47.865,"U"
32.989,62,89.324,"Class2",64.253,36.911,"I",45.55,45.048,36.846,91.305,"K"
65.674,91,19.264,"Class1",14.369,47.634,"T",81.026,8.375,100.627,77.67,"H"
21.672,61,21.378,"Class1",49.506,60.707,"S",82.045,27.335,97.591,43.073,"H"
56.502,20,89.062,"Class2",83.981,26.488,"R",NA,68.161,40.718,73.102,"I"
70.289,92,24.592,"Class1",37.744,56.864,"P",82.305,19.653,97.215,49.928,"L"
57.639,87,24.189,"Class1",25.433,71.12,"P",82.933,17.285,96.839,48.306,"H"
96.424,55,20.488,"Class1",11.821,76.286,"Q",82.313,11.938,97.802,28.934,"H"
47.515,49,28.802,"Class1",36.781,91.289,"Q",81.901,30.96,97.127,68.106,"X"
54.076,67,89.198,"Class2",70.456,40.101,"I",28.407,87.756,47.203,49.623,"I"
20.737,40,89.735,"Class2",83.512,54.7,"K",49.551,44.68,42.41,68.738,"L"
49.708,68,18.687,"Class1",51.023,78.046,"S",82.779,29.086,97.236,49.857,"U"
-3.893,34,89.45,"Class2",81.575,55.99,"I",40.471,91.38,45.329,64.556,"H"
33.022,80,15.443,"Class1",40.067,75.208,"G",81.778,24.635,98.914,42.442,"U"
27.729,20,89.459,"Class2",78.606,64.138,"I",41.47,61.604,42.845,79.342,"L"
72.712,60,89.318,"Class2",77.411,20.48,"C",19.882,59.076,54.564,44.099,"H"
66.564,67,89.432,"Class2",57.511,46.075,"R",37.93,48.202,46.46,72.667,"H"
24.348,91,89.031,"Class2",66.311,22.099,"R",41.932,24.615,50.055,66.695,"G"
32.661,70,89.318,"Class2",57.837,45.417,"K",49.465,57.019,51.983,65.049,"K"
36.252,87,89.896,"Class2",65.986,17.469,"C",28.335,46.447,49.904,77.589,"L"
81.213,74,16.109,"Class1",50.368,81.819,"P",82.011,28.89,96.691,42.003,"X"
31.629,49,20.158,"Class1",35.112,56.114,"G",82.031,21.494,99.053,54.484,"L"
66.769,84,89.707,"Class2",61.976,61.885,"T",45.448,31.82,53.782,86.736,"K"
25.984,81,18.219,"Class1",22.734,52.861,"T",81.694,9.237,97.523,59.737,"L"
86.285,82,89.779,"Class2",61.253,29.134,"C",19.798,46.868,35.672,29.405,"I"
70.664,66,22.567,"Class1",45.489,77.866,"P",81.817,22.091,98.943,51.666,"B"
15.355,89,26.627,"Class1",47.09,78.645,"S",81.114,29.74,95.932,37.944,"L"
40.854,76,89.195,"Class2",67.209,34.716,"C",21.714,55.605,55.819,59.496,"I"
46.078,39,89.192,"Class2",76.472,32.131,"C",31.595,89.407,52.071,75.095,"G"
27.282,18,89.308,"Class2",66.984,51.611,"I",31.792,86.31,46.215,80.771,"G"
33.723,40,89.961,"Class2",56.492,46.69,"K",19.301,56.635,46.271,77.691,"G"
24.45,85,27.091,"Class1",16.949,94.067,"T",82.609,21.573,96.659,25.646,"L"
19.568,27,89.403,"Class2",75.772,39.392,"K",26.305,70.637,48.034,97.611,"I"
49.461,21,89.493,"Class2",78.673,33.553,"T",49.4,73.646,53.872,75.734,"L"
49.56,31,89.042,"Class2",66.769,38.649,"K",38.826,80.064,42.193,73.396,"K"
15.23,82,23.445,"Class1",29.658,72.549,"T",82.822,5.916,98.082,43.933,"U"
44.098,36,89.093,"Class2",85.11,43.427,"R",32.114,56.658,38.697,84.8,"I"
35.896,65,17.332,"Class1",10.695,111.323,"T",82.644,11.177,97.667,32.363,"X"
90.198,88,19.641,"Class1",31.503,61.554,"P",81.2,25.208,95.999,39.099,"B"
23.5,62,89.672,"Class2",82.573,27.68,"I",50.22,36.137,45.675,70.757,"L"
31.093,60,27.038,"Class1",29.159,78.487,"G",81.038,3.875,96.321,56.987,"L"
44.512,73,89.174,"Class2",81.481,23.447,"C",45.361,26.397,40.71,69.315,"H"
20.995,39,89.878,"Class2",79.161,73.687,"R",21.285,86.594,32.08,74.92,"G"
41.082,64,27.025,"Class1",47.51,87.478,"P",82.384,3.92,101.163,53.282,"L"
40.682,82,16.481,"Class1",45.975,79.677,"P",82.823,1.779,98.333,70.864,"B"
25.22,50,89.638,"Class2",71.174,37.279,"C",20.145,67.559,47.236,69.328,"I"
57.589,83,16.63,"Class1",25.468,57.76,"G",81.504,31.573,100.58,27.849,"X"
83.707,54,89.356,"Class2",73.417,41.6,"I",35.855,59.388,46.608,64.103,"G"
55.071,52,16.593,"Class1",21.465,46.164,"S",81.133,14.288,97.948,60.155,"L"
51,54,25.939,"Class1",48.992,84.875,"Q",81.498,37.81,99.047,59.135,"U"
40.522,85,26.52,"Class1",27.118,81.558,"T",81.996,16.111,99.775,29.844,"H"
-4.426,79,16.195,"Class1",54.54,88.173,"T",81.072,14.566,98.213,34.695,"U"
79.412,71,89.892,"Class2",74.134,30.983,"R",23.04,60.162,41.484,74.454,"K"
41.016,23,89.509,"Class2",83.763,40.786,"T",27.074,46.049,49.308,78.459,"L"
82.312,65,19.193,"Class1",39.984,94.341,"T",82.954,13.208,94.756,51.879,"X"
37.859,82,21.811,"Class1",52.379,80.36,"P",81.472,32.609,97.708,48.131,"L"
18.678,68,89.062,"Class2",84.067,33.095,"T",28.38,54.806,40.845,66.767,"I"
30.225,44,89.399,"Class2",85.444,6.393,"R",47.176,36.68,40.266,101.173,"G"
61.328,68,28.392,"Class1",29.101,84.373,"S",81.645,31.14,97.11,20.022,"U"
12.708,54,89.088,"Class2",84.405,3.241,"K",25.345,25.11,48.801,68.997,"L"
18.947,59,19.498,"Class1",20.757,45.376,"T",81.888,27.608,99.141,41.088,"L"
53.898,90,20.395,"Class1",54.469,69.068,"T",82.072,18.622,97.519,51.484,"X"
72.236,21,89.666,"Class2",61.219,50.197,"K",NA,51.764,54.441,79.353,"G"
52.811,48,89.495,"Class2",82.926,52.992,"I",44.527,57.318,38.521,79.75,"L"
38.419,31,89.517,"Class2",85.89,11.723,"C",20.774,77.401,45.33,87.596,"L"
38.31,61,24.947,"Class1",33.85,77.528,"P",81.467,11.204,97.443,41.994,"H"
30.067,70,89.35,"Class2",77.57,46.721,"T",22.393,70.853,50.78,94,"I"
12.631,48,24.779,"Class1",43.163,84.93,"T",81.763,4.07,100.235,50.628,"H"
-4.378,87,89.397,"Class2",63.926,-1.98,"C",47.396,45.5,60.46,57.718,"H"
37.843,88,89.663,"Class2",62.227,54.608,"K",33.377,73.53,46.922,97.915,"K"
76.847,89,26.092,"Class1",36.386,46.157,"P",82.186,15.006,99.472,22.452,"B"
58.475,82,89.843,"Class2",66.935,2.388,"C",40.513,39.367,55.92,85.089,"H"
37.189,69,27.341,"Class1",44.807,74.791,"P",81.805,7.877,96.14,48.741,"H"
62.659,53,27.857,"Class1",52.213,69.774,"P",81.299,4.401,100.854,54.29,"B"
