"BVS1","XTI2","XHW3","Output11","WVJ4","XOA5","YHF6","RJF7","MQK8","XUZ9","ZRW10"
62.266,NA,12,"Class2",39.733,74.997,45.088,18.098,48.403,"Z",7
62.345,88.516,23,"Class2",24.488,82.548,9.104,53.82,61.679,"F",45
62.142,93.124,16,"Class2",54.222,65.929,18.135,30.635,57.241,"F",23
36.906,40.66,23,"Class1",45.312,36.645,21.368,86.858,26.489,"N",23
62.552,56.583,21,"Class2",35.097,74.21,54.784,35.97,50.535,"F",39
62.627,57.077,26,"Class2",55.955,86.881,55.221,45.803,49.085,"Z",57
38.091,37.384,8,"Class1",NA,26.974,9.863,92.947,19.468,"A",16
62.393,92.641,21,"Class2",42.783,91.276,8.231,19.12,60.714,"K",39
63.336,95.651,23,"Class2",54.083,61.506,45.819,9.38,63.415,"K",50
39.086,45.407,5,"Class1",51.405,40.465,3.032,76.495,20.059,"J",21
63.34,53.014,18,"Class2",54.795,70.82,33.471,54.691,50.241,"J",17
45.54,37.032,25,"Class1",44.532,40.66,23.757,95.023,28.216,"O",19
62.945,94.924,18,"Class2",51.791,74.154,46.622,45.801,58.159,"J",44
39.337,47.202,15,"Class1",30.322,16.944,31.182,89.213,27.437,"O",24
62.909,99.28,18,"Class2",34.531,86.631,48.239,31.014,44.366,"Z",45
27.509,57.088,23,"Class1",23.498,29.307,15.974,82.488,24.084,"O",18
63.655,79.095,14,"Class2",47.559,73.284,57.918,15.102,49.53,"F",9
34.089,55.994,10,"Class1",70.513,30.847,24.08,92.261,22.939,"O",19
29.548,47.945,24,"Class1",60.282,22.628,32.633,76.37,16.741,"J",14
19.564,42.007,17,"Class1",83.364,27.13,38.872,91.883,34.263,"J",9
21.565,49.17,26,"Class1",63.986,35.281,2.474,87.433,24.768,"J",23
37.727,49.712,7,"Class1",23.523,50.386,11.751,86.588,22.972,"D",9
21.707,50.715,30,"Class1",42.832,48.919,42.956,86.17,34.847,"O",15
36.666,49.528,25,"Class1",72.116,24.416,22.515,83.011,20.006,"D",17
62.142,64.622,15,"Class2",51.529,111.344,70.102,46.948,52.531,"K",19
28.305,51.38,22,"Class1",63.146,35.853,15.587,71.68,25.79,"O",17
63.026,55.959,11,"Class2",47.538,60.72,62.148,38.384,54.983,"J",25
22.868,47.665,19,"Class1",59.119,36.434,34.132,78.117,28.153,"O",19
29.266,48.769,31,"Class1",34.928,30.245,4.233,73.714,23.83,"D",24
61.85,79.481,21,"Class2",44.038,40.214,31.648,42.286,55.681,"J",39
33.933,66.882,30,"Class1",32.791,30.826,24.945,82.793,33.606,"A",17
62.618,46.88,18,"Class2",48.527,69.915,66.267,35.799,58.531,"K",52
50.96,49.152,5,"Class1",24.222,22.467,37.54,68.556,16.318,"A",22
40.45,55.218,10,"Class1",58.592,22.419,24.883,62.448,22.294,"A",16
62.984,53.116,27,"Class2",51.934,58.708,71.174,30.581,50.224,"J",10
46.24,66.876,23,"Class1",63.122,31.539,21.79,65.03,32.091,"N",11
62.441,55.155,12,"Class2",62.055,75.842,51.895,12.837,57.361,"V",48
62.773,NA,28,"Class2",84.339,68.747,58.928,13.861,55.399,"V",30
62.327,86.202,18,"Class2",41.974,56.237,43.343,27.426,42.701,"F",14
28.223,60.141,13,"Class1",11.006,47.365,15.111,84.393,33.636,"A",18
30.101,39.72,7,"Class1",47.398,23.359,31.389,81.311,18.461,"O",16
32.837,45.988,5,"Class1",26.421,34.175,20.69,89.385,33.471,"O",19
38.565,43.727,6,"Class1",86.658,29.188,29.433,83.568,31.528,"J",17
63.388,54.959,27,"Class2",53.983,71.924,29.67,46.086,53.518,"V",25
38.86,50.823,21,"Class1",58.013,38.548,18.265,79.959,17.569,"A",10
63.513,NA,20,"Class2",47.13,69.421,40.001,32.212,48.776,"F",14
32.094,38.17,7,"Class1",70.876,27.382,5.162,78.849,29.752,"A",25
34.452,45.519,20,"Class1",63.344,52.849,42.7,77.534,32.793,"D",15
62.752,61.623,13,"Class2",45.152,83.01,24.661,60.653,57.552,"K",43
62.035,47.197,16,"Class2",32.117,82.318,31.318,57.044,51.468,"Z",9
63.494,90.87,12,"Class2",52.384,74.158,68.28,38.76,61.739,"J",34
42.273,NA,6,"Class1",42.853,25.951,5.436,90.092,22.922,"O",14
43.36,37.514,18,"Class1",42.099,42.298,31.304,86.703,25.124,"J",23
63.213,74.508,20,"Class2",21.462,73.752,10.355,8.207,64.584,"F",31
63.11,84.221,21,"Class2",45.626,74.162,39.609,17.864,45.805,"K",8
63.066,70.489,11,"Class2",NA,75.363,37.561,27.072,57.17,"V",46
18.45,38.91,12,"Class1",22.456,30.482,36.555,77.869,33.029,"A",19
37.025,63.227,29,"Class1",64.369,41.805,30.36,81.153,31.612,"O",20
30.249,46.913,26,"Class1",61.402,45.027,35.415,89.621,33.751,"O",9
63.106,61.856,16,"Class2",NA,52.016,23.236,37.251,49.201,"K",8
62.971,61.353,12,"Class2",40.96,80.007,42.264,32.813,63.939,"V",36
62.791,87.673,23,"Class2",47.442,72.911,64.668,52.718,54.509,"J",41
15.451,50.027,31,"Class1",40.182,34.169,41.269,68.331,29.368,"D",22
30.295,48.088,11,"Class1",47.292,20.103,43.691,62.339,30.765,"A",9
64.148,88.251,21,"Class2",25.484,79.976,64.868,25.66,51.48,"J",49
27.17,49.42,5,"Class1",46.278,19.574,38.52,92.58,15.922,"J",22
35.962,62.491,9,"Class1",88.678,33.249,36.711,79.069,34.122,"N",18
31.809,48.741,31,"Class1",29.594,37.117,6.508,84.167,20.913,"D",18
63.283,NA,20,"Class2",56.439,81.502,39.696,38.985,51.703,"K",36
63.07,85.548,16,"Class2",NA,92.179,57.485,23.827,52.575,"Z",53
23.779,57.898,23,"Class1",79.136,54.008,26.186,71.624,24.472,"N",20
38.934,42.047,5,"Class1",25.817,26.892,17.575,72.337,26.044,"N",11
63.474,83.44,18,"Class2",47.403,66.126,29.255,42.053,48.96,"K",57
62.973,92.227,13,"Class2",24.643,75.118,12.44,31.325,58.917,"K",39
32.729,52.499,7,"Class1",33.879,11.168,30.246,83.23,34.116,"J",20
26.556,54.203,29,"Class1",17.678,27.611,12.842,80.282,34.723,"J",9
63.679,58.912,25,"Class2",39.165,64.611,17.359,16.389,53.22,"J",57
63.402,75.9,25,"Class2",39.305,68.714,62.957,41.027,53.813,"V",32
29.931,49.438,16,"Class1",51.392,39.335,7.166,76.198,23.491,"A",12
63.18,88.793,27,"Class2",46.241,65.527,19.965,17.847,49.387,"F",12
64.778,84.951,24,"Class2",46.707,55.829,36.785,48.428,60.905,"K",33
34.555,53.697,21,"Class1",37.315,17.842,36.926,78.086,30.112,"O",10
39.868,63.985,31,"Class1",63.902,23.086,16.728,83.013,20.528,"D",23
62.226,64.393,26,"Class2",NA,77.776,61.405,31.299,59.645,"K",55
62.049,48.296,23,"Class2",41.221,80.161,55.983,47.686,51.344,"Z",50
32.518,42.706,22,"Class1",85.146,24.058,34,89.186,26.445,"A",22
37.339,38.928,8,"Class1",91.516,38.824,5.072,68.334,23.703,"D",11
63.304,91.155,18,"Class2",44.442,67.875,35.215,15.851,51.496,"V",45
61.559,49.684,25,"Class2",44.511,72.839,62.637,27.161,45.994,"F",23
22.686,52.729,17,"Class1",34.001,34.68,28.855,65.534,32.077,"O",22
45.955,52.38,11,"Class1",117.935,37.745,45.36,72.776,17.148,"D",16
21.385,51.091,28,"Class1",34.202,24.602,44.117,87.702,23.873,"O",12
63.257,65.07,11,"Class2",36.497,54.915,64.891,39.695,61.386,"V",17
42.733,41.053,6,"Class1",42.41,10.515,42.233,78.457,17.338,"D",15
64.531,59.323,12,"Class2",30.145,70.407,71.771,40.972,52.61,"K",46
63.011,62.454,11,"Class2",53.005,74.641,34.194,34.469,43.905,"F",29
30.038,62.397,7,"Class1",41.343,38.983,13.079,70.546,19.523,"N",25
8.384,38.58,17,"Class1",32.284,29.174,31.898,101.902,31.07,"O",24
40.648,50.697,23,"Class1",39.421,34.919,6.906,75.948,26.279,"A",11
41.918,55.711,8,"Class1",49.295,2.407,16.277,61.065,20.313,"O",23
17.079,42.923,22,"Class1",25.932,35.097,17.435,87.292,25.138,"D",16
64.268,85.731,14,"Class2",51.086,85.047,45.731,43.989,55.313,"F",26
63.644,87.41,24,"Class2",56.12,97.974,59.853,38.578,51.121,"V",17
37.981,55.052,29,"Class1",38.137,50.637,29.621,72.397,15.495,"J",13
63.959,86.607,22,"Class2",40.643,33.071,44.45,46.363,48.241,"K",16
24.757,56.456,15,"Class1",60.867,40.65,15.12,82.944,31.903,"O",13
26.765,51.923,15,"Class1",102.073,27.695,44.952,78.662,24.022,"N",21
64.051,92.642,25,"Class2",49.64,73.408,39.239,41.681,58.649,"Z",48
63.347,48.98,14,"Class2",67.026,108.078,19.137,39.527,48.993,"V",16
24.685,52.289,30,"Class1",52.888,32.635,38.062,80.042,26.764,"D",19
62.878,92.507,24,"Class2",57.409,60.952,25.535,20.246,49.816,"K",49
21.458,49.602,31,"Class1",60.364,29.506,36.948,76.654,21.79,"A",18
61.834,46.982,12,"Class2",28.019,69.676,10.38,41.49,42.494,"J",52
27.622,41.888,6,"Class1",6.055,30.511,7.432,76.377,29.006,"N",14
31.92,42.516,9,"Class1",27.046,20.312,5.507,66.414,33.678,"D",21
62.459,52.552,28,"Class2",NA,75.591,19.816,42.566,46.611,"Z",24
63.809,NA,19,"Class2",36.304,60.501,33.962,53.66,58.787,"J",48
62.963,48.002,15,"Class2",49.697,95.669,7.441,18.929,45.716,"V",53
62.786,64.389,25,"Class2",23.368,54.304,7.951,42.841,54.305,"J",24
63.564,63.45,24,"Class2",36.966,78.526,57.701,28.035,55.73,"F",53
41.522,40.241,25,"Class1",41.791,42.505,25.394,70.236,26.911,"A",24
39.893,45.738,9,"Class1",61.837,44.132,39.927,79.959,32.824,"N",13
63.538,56.836,26,"Class2",34.849,69.157,62.426,19.269,53.434,"V",54
28.422,48.317,24,"Class1",65.425,23.413,8.873,96.428,25.741,"J",18
41.701,53.308,9,"Class1",NA,32.241,34.388,77.763,17.826,"O",21
63.437,47.107,12,"Class2",NA,81.441,6.679,16.707,47.947,"K",17
63.011,63.455,26,"Class2",41.665,51.897,64.598,53.794,48.065,"F",36
62.62,97.847,11,"Class2",36.278,110.27,50.626,30.36,58.574,"J",34
62.506,98.456,14,"Class2",42.123,73.482,23.775,10.738,42.851,"Z",29
30.854,67.351,17,"Class1",32.334,29.576,10.113,63.077,23.435,"N",17
62.036,97.915,18,"Class2",17.288,77.728,31.059,36.135,54.492,"K",49
30.822,43.553,26,"Class1",50.529,29.196,15.616,96.779,16.934,"N",15
63.009,58.925,20,"Class2",NA,91.287,13.54,26.918,64.454,"J",23
63.722,48.812,26,"Class2",45.752,68.537,24.071,42.023,61.34,"Z",9
14.719,47.737,25,"Class1",71.112,32.381,42.159,99.172,17.878,"N",16
62.896,64.101,27,"Class2",31.932,75.923,10.165,16.292,53.663,"F",55
61.716,99.613,19,"Class2",40.345,70.865,10.6,41.635,56.08,"V",43
64.409,59.142,21,"Class2",NA,85.269,10.221,24.005,61.79,"J",44
62.515,86.211,28,"Class2",52.523,76.062,46.215,36.384,62.34,"K",54
62.103,61.394,17,"Class2",36.893,67.094,5.36,7.73,45.148,"V",38
42.486,64.169,31,"Class1",57.042,22.184,35.249,73.228,27.242,"J",15
35.367,54.115,5,"Class1",44.735,41.831,39.363,86.705,33.504,"O",15
63.638,88.783,16,"Class2",49.979,88.586,39.648,70.351,55.145,"V",27
63.675,98.098,24,"Class2",42.56,59.783,55.802,62.577,54.542,"F",52
62.918,76.11,12,"Class2",36.107,53.09,16.067,47.218,49.267,"K",36
63.263,70.529,23,"Class2",36.79,104.756,14.878,29.98,43.226,"F",20
62.827,84.039,18,"Class2",33.662,67.224,29.711,48.445,63.933,"Z",10
32.017,48.931,20,"Class1",31.961,42.751,9.276,59.446,25.297,"J",10
63.367,64.23,12,"Class2",42.645,70.043,6.334,36.622,48.351,"K",17
63.027,98.624,18,"Class2",49.686,64.273,7.668,22.069,60.664,"Z",13
62.965,76.382,23,"Class2",42.531,71.465,31.475,41.249,58.972,"F",7
62.8,86.276,24,"Class2",41.491,82.738,69.288,26.686,57.507,"Z",27
63.832,70.831,16,"Class2",43.849,64.674,52.482,52.308,61.135,"J",32
42.806,50.17,19,"Class1",36.867,37.362,41.953,66.228,16.748,"A",24
33.329,37.619,30,"Class1",NA,18.501,2.978,85.577,25.07,"J",12
64.101,73.974,12,"Class2",32.277,70.58,18.083,58.304,42.482,"Z",32
26.38,41.586,11,"Class1",58.476,29.135,40.541,90.308,29.363,"O",25
29.165,55.326,7,"Class1",32.247,45.167,11.585,82.515,19.249,"O",12
40.331,51.5,10,"Class1",42.805,31.585,16.95,78.994,15.812,"O",17
22.086,NA,7,"Class1",43.801,6.529,15.173,81.163,24.115,"J",17
32.063,66.711,19,"Class1",85.801,36.068,18.327,89.747,32.312,"D",22
51.145,43.275,28,"Class1",76.471,15.14,43.651,64.381,27.063,"A",12
63.082,51.023,27,"Class2",52.773,84.638,44.324,24.006,60.272,"Z",35
29.236,54.428,30,"Class1",61.805,28.4,8.796,79.353,34.839,"N",10
31.761,52.779,24,"Class1",NA,28.831,35.373,78.919,21.096,"N",20
34.98,42.965,31,"Class1",34.997,24.211,23.762,74.923,24.954,"O",9
21.106,NA,19,"Class1",88.828,19.601,2.902,83.366,23.281,"O",21
24.032,53.942,14,"Class1",39.884,42.932,11.662,87.875,26.121,"A",10
63.912,58.006,14,"Class2",27.155,91.923,38.421,50.209,49.682,"F",30
32.114,57.004,11,"Class1",85.889,4.859,19.308,74.588,34.192,"J",17
34.125,60.724,19,"Class1",43.095,35.128,32.716,73.813,20.213,"D",23
63.207,48.334,18,"Class2",69.928,92.278,25.89,30.508,46.613,"J",43
23.592,45.587,13,"Class1",44.087,16.001,25.904,72.315,22.861,"O",18
63.079,NA,18,"Class2",39.097,98.986,26.521,26.839,60.257,"K",28
62.584,57.724,12,"Class2",24.394,76.159,57.714,55.56,60.672,"Z",36
62.931,64.212,19,"Class2",45.005,74.554,24.787,23.84,58.192,"K",56
63.807,52.959,28,"Class2",46.51,72.945,13.753,45.406,50.476,"J",44
44.091,NA,9,"Class1",62.278,43.993,45.529,85.181,28.08,"J",24
62.905,71.463,25,"Class2",59.571,60.993,61.711,16.678,55.901,"F",15
63.132,74.938,19,"Class2",44.224,96.026,26.224,28.265,46.676,"Z",37
64.091,46.899,14,"Class2",59.272,77.768,13.661,56.423,53.597,"J",23
30.957,41.208,15,"Class1",69.027,38.691,8.099,98.742,32.085,"J",21
62.067,90.851,28,"Class2",50.626,91.432,53.988,37.488,51.36,"V",16
35.154,59.939,10,"Class1",51.978,32.915,8.829,80.56,24.188,"A",10
22.865,40.368,8,"Class1",59.534,42.204,32.593,75.219,32.148,"A",12
20.826,66.007,5,"Class1",44.154,27.006,9.101,85.888,17.525,"J",12
64.173,81.932,26,"Class2",41.915,61.405,71.574,40.865,47.189,"Z",41
63.188,93.486,17,"Class2",41.974,44.021,8.184,49.825,49.528,"J",15
63.54,89.882,14,"Class2",40.665,87.918,18.211,31.358,46.954,"Z",21
63.578,96.57,14,"Class2",27.119,79.909,37.266,55.241,43.513,"Z",31
62.579,51.972,13,"Class2",38.752,66.975,50.484,33.498,46.247,"Z",33
62.791,66.821,13,"Class2",74.793,73.991,19.745,25.39,46.158,"V",54
22.785,57.566,30,"Class1",58.228,29.909,24.52,74.898,30.959,"N",19
61.624,98.428,21,"Class2",36.041,87.688,19.475,48.461,51.909,"F",35
16.679,50.637,28,"Class1",63.148,28.533,27.207,86.751,24.969,"N",24
35.736,55.756,28,"Class1",NA,20.173,9.429,81.981,18.26,"N",15
63.649,84.808,28,"Class2",37.622,82.533,69.637,25.364,48.803,"Z",18
63.743,49.092,23,"Class2",51.912,92.872,9.586,49.945,56.902,"V",26
41.97,57.267,26,"Class1",44.848,37.686,41.776,82.965,34.135,"N",23
62.818,50.784,24,"Class2",34.464,86.789,53.931,51.308,55.614,"J",18
63.026,83.961,20,"Class2",42.01,62.769,17.976,12.993,48.228,"J",49
30.662,42.835,30,"Class1",32.794,36.798,5.077,73.513,17.598,"N",24
30.064,46.569,21,"Class1",NA,38.381,2.289,86.297,24.635,"J",24
19.858,47.272,27,"Class1",15.528,41.933,28.437,67.296,32.09,"A",24
33.991,59.1,18,"Class1",9.171,25.646,27.736,77.765,19.313,"D",9
31.727,63.393,28,"Class1",NA,4.868,38.109,88.422,29.591,"N",24
39.649,54.401,11,"Class1",54.359,25.371,5.692,74.109,34.322,"D",19
62.899,46.704,23,"Class2",65.628,31.554,60.241,65.657,42.406,"K",38
62.352,99.121,11,"Class2",42.379,67.462,65.128,30.868,42.956,"J",30
64.039,95.221,16,"Class2",40.688,66.484,16.742,27.605,42.064,"J",48
61.802,89.945,20,"Class2",37.254,68.224,7.082,23.805,44.522,"F",53
62.444,47.909,24,"Class2",43.454,85.586,5.264,33.565,42.752,"J",56
62.978,71.91,25,"Class2",28.334,70.02,65.006,28.864,61.753,"Z",41
24.804,NA,5,"Class1",34.192,24.373,20.696,82.155,23.696,"A",18
64.127,67.163,20,"Class2",34.003,54.273,55.79,38.838,51.401,"Z",32
63.075,NA,21,"Class2",47.972,69.385,10.24,28.152,47.078,"K",36
29.784,38.177,24,"Class1",73.401,26.45,37.31,80.315,28.229,"N",9
28.877,61.85,29,"Class1",89.176,45.723,8.558,73.69,27.495,"A",19
62.887,99.308,21,"Class2",31.928,76.577,35.575,35.225,55.541,"F",39
27.438,46.537,25,"Class1",25.714,30.233,7.499,92.007,17.039,"J",17
63.101,77.319,18,"Class2",53.543,104.056,60.348,45.099,62,"K",9
63.008,81.645,16,"Class2",32.378,73.469,43.681,24.961,48.418,"V",29
25.024,54.785,22,"Class1",51.151,25.027,25.198,73.917,18.738,"O",23
18.955,44.448,11,"Class1",59.608,46.33,22.006,85.346,17.499,"O",10
62.509,98.574,17,"Class2",59.257,75.671,47.298,43.542,55.422,"F",9
31.807,62.119,18,"Class1",56.642,12.501,9.424,92.459,16.535,"J",10
62.944,83.098,21,"Class2",48.778,59.71,51.128,49.427,53.565,"K",21
30.045,58.568,13,"Class1",75.752,30.099,25.323,81.586,16.713,"J",11
43.029,42.362,10,"Class1",45.829,21.865,7.743,70.641,25.411,"D",24
31.665,39.493,9,"Class1",24.648,25.516,34.472,72.003,33.991,"N",9
32.33,38.142,12,"Class1",60.171,37.796,6.59,68.243,28.855,"O",23
34.943,44.86,21,"Class1",103.097,26.948,7.068,76.4,25.665,"D",12
61.993,70.576,15,"Class2",52.527,58.756,24.584,46.236,44.438,"F",46
62.799,66.462,16,"Class2",55.478,71.047,68.785,35.502,54.033,"V",52
34.632,62.051,16,"Class1",22.191,25.028,20.179,96.868,31.066,"A",10
58.693,66.341,30,"Class1",36.773,15.284,41.681,78.002,19.94,"N",16
29.932,65.244,11,"Class1",43.721,32.392,2.761,67.756,31.251,"O",10
32.408,55.58,27,"Class1",NA,46.361,29.133,74.66,34.745,"N",24
33.858,59.754,16,"Class1",23.698,51.026,2.376,88.455,18.181,"D",20
27.749,54.029,13,"Class1",56.216,24.327,14.034,77.82,33.761,"J",10
21.921,NA,7,"Class1",69.25,31.718,30.941,83.3,34.352,"J",10
63.156,73.021,28,"Class2",35.148,57.603,53.174,47.425,56.75,"J",47
62.837,NA,28,"Class2",38.786,92.135,12.121,31.306,46.623,"Z",27
62.599,64.404,22,"Class2",37.886,67.219,58.421,6.318,48.376,"V",21
16.691,56.763,15,"Class1",29.473,14.08,6.429,61.03,15.692,"A",17
63.072,68.103,18,"Class2",58.777,46.676,18.736,50.268,64.061,"F",7
62.784,97.702,13,"Class2",56.382,66.657,20.026,25.072,50.845,"F",26
62.59,84.007,26,"Class2",44.971,52.256,32.924,54.164,60.744,"K",25
63.836,69.655,16,"Class2",NA,72.438,28.856,37.612,60.293,"V",33
63.328,98.993,25,"Class2",43.381,72.504,5.545,29.824,60.03,"K",20
63.933,91.91,16,"Class2",42.966,48.095,44.256,16.7,48.248,"Z",44
35.196,46.974,9,"Class1",54.665,23.557,6.256,85.257,34.524,"O",14
41.14,61.823,31,"Class1",36.079,29.077,40.515,77.208,28.812,"N",17
63.48,46.438,19,"Class2",47.34,65.69,63.614,20.059,48.534,"Z",21
63.177,NA,15,"Class2",58.417,57.299,57.735,24.833,50.609,"J",25
64.143,89.877,14,"Class2",58.607,81.792,29.083,32.908,45.287,"K",17
63.929,81.526,20,"Class2",33.919,80.93,53.24,40.627,55.937,"K",37
32.87,54.7,9,"Class1",65.358,23.541,22.647,73.486,26.799,"O",22
62.747,88.968,21,"Class2",38.519,69.83,32.98,30.449,62.493,"Z",20
46.942,37.522,19,"Class1",92.496,22.87,35.775,76.299,34.903,"J",17
30.287,45.153,8,"Class1",68.789,15.493,27.621,87.313,23.753,"O",24
63.903,48.13,14,"Class2",34.73,106.33,68.463,34.73,52.949,"J",48
33.309,58.362,30,"Class1",67.922,17.018,44.367,79.156,24.444,"O",25
63.771,58.553,28,"Class2",39.033,61.491,25.289,32.331,52.093,"V",48
36.73,42.684,19,"Class1",61.286,23.878,20.165,87.944,29.869,"N",18
63.957,94.563,22,"Class2",56.713,81.265,26.248,32.872,47.518,"Z",35
31.493,40.114,18,"Class1",54.284,38.237,44.43,85.302,24.218,"N",18
49.828,43.645,18,"Class1",41.555,30.763,34.348,89.78,17.422,"O",19
36.782,50.719,20,"Class1",62.991,19.104,7.761,92.235,23.137,"O",19
23.754,66.435,29,"Class1",66.502,18.28,37.44,87.47,25.492,"O",17
29.554,56.034,25,"Class1",38.423,25.277,12.351,64.65,23.676,"O",25
62.323,64.482,18,"Class2",31.412,49.141,70.42,-2.248,55.774,"J",21
62.918,55.466,25,"Class2",NA,46.227,63.927,51.662,62.837,"Z",40
41.328,55.8,24,"Class1",49.164,24.901,38.75,100.838,33.125,"O",16
62.393,62.604,11,"Class2",39.861,75.48,27.821,21.534,50.219,"V",47
63.046,82.431,22,"Class2",34.504,79.715,27.858,27.445,42.902,"K",13
62.519,98.233,27,"Class2",34.583,83.621,59.387,51.96,45.52,"V",46
35.62,39.575,21,"Class1",90.179,14.878,39.223,73.887,17.327,"O",22
23.742,52.502,7,"Class1",53.621,25.403,35.743,80.355,29.042,"J",21
62.079,NA,23,"Class2",14.794,58.184,23.644,40.136,43.766,"Z",40
63.955,89.966,26,"Class2",40.789,65.198,22.605,17.939,62.158,"F",26
63.261,69.582,20,"Class2",43.435,82.459,31.144,44.936,63.005,"J",44
15.927,63.326,13,"Class1",95.309,24.498,36.082,67.322,19.002,"O",24
44.655,49.846,8,"Class1",85.58,18.482,21.198,76.839,33.647,"N",13
22.808,64.293,14,"Class1",58.877,31.214,7.565,81.931,24.19,"N",12
63.452,77.838,27,"Class2",41.499,92.495,17.849,38.101,52.814,"F",27
44.653,42.189,29,"Class1",62.68,8.688,32.61,73.953,20.095,"O",23
31.998,55.936,19,"Class1",75.052,41.963,14.885,61.809,25.895,"N",15
62.936,94.478,27,"Class2",43.768,92.503,58.777,40.021,48.279,"Z",21
61.742,NA,14,"Class2",38.905,68.154,44.338,29.757,56.075,"J",25
63.014,57.124,21,"Class2",40.77,71.227,62.223,64.341,50.672,"F",56
63.048,59.919,19,"Class2",32.627,82.047,39.779,37.036,63.38,"K",27
40.163,NA,29,"Class1",58.361,19.111,25.957,80.741,30.134,"O",25
45.566,39.576,24,"Class1",59.11,21.759,25.761,83.858,17.707,"A",22
42.575,50.822,9,"Class1",35.742,26.579,39.629,82.783,26.564,"J",11
62.664,81.801,15,"Class2",49.919,50.67,60.085,63.191,49.184,"F",50
63.358,54.75,21,"Class2",42.718,95.008,38.6,42.414,60.961,"Z",48
63.44,85.191,28,"Class2",40.099,56.979,65.42,40.043,53.628,"V",36
43.766,51.946,27,"Class1",60.764,15.743,24.654,84.006,17.132,"D",25
62.474,NA,14,"Class2",57.3,82.72,15.964,60.552,48.662,"Z",19
23.407,46.242,22,"Class1",48.362,57.986,11.761,86.692,31.463,"N",10
27.316,48.953,21,"Class1",78.65,39.533,27.646,71.677,16.019,"N",9
62.125,78.492,24,"Class2",40.207,77.241,43.472,32.14,57.616,"K",45
30.462,65.68,22,"Class1",46.314,19.814,44.334,77.703,16.927,"D",11
63.696,94.888,15,"Class2",43.218,56.46,8.324,37.57,60.265,"J",17
62.908,96.574,21,"Class2",35.631,60.096,32.599,24.189,57.646,"K",10
63.402,99.057,26,"Class2",41.689,91.007,45.933,40.848,42.988,"K",9
62.627,47.789,17,"Class2",32.575,56.849,8.775,37.376,61.332,"V",34
35.435,63.574,20,"Class1",NA,30.457,34.059,83.749,33.825,"O",21
63.193,94.992,24,"Class2",39.737,61.956,43.756,38.041,49.215,"J",16
63.368,89.269,18,"Class2",41.586,106.653,21.692,30.4,46.04,"J",13
63.506,62.503,11,"Class2",39.878,56.55,30.891,72.499,42.619,"F",21
64.472,48,26,"Class2",61.487,73.819,25.189,20.653,56.372,"F",38
63.117,88.569,23,"Class2",43.74,62.544,40.601,37.498,57.094,"V",10
62.075,66.252,24,"Class2",64.94,79.058,12.37,51.597,56.957,"Z",38
25.124,NA,26,"Class1",23.209,39.326,25.327,81.955,19.895,"O",22
63.572,79.878,20,"Class2",35.848,80.786,15.751,42.428,62.002,"F",37
37.631,39.433,21,"Class1",37.375,18.759,31.44,75.978,16.216,"D",21
30.183,65.851,7,"Class1",40.303,24.163,24.366,99.462,24.672,"N",24
63.358,46.222,13,"Class2",43.651,80.691,13.089,36.323,57.656,"V",8
42.08,46.044,26,"Class1",62.082,28.49,33.155,77.773,33.704,"N",12
62.911,95.278,15,"Class2",56.973,87.524,17.977,42.343,49.093,"J",8
27.788,54.893,29,"Class1",NA,28.796,42.591,81.659,30.817,"N",21
62.679,91.438,14,"Class2",35.311,81.891,33.311,-4.129,49.53,"F",56
62.088,98.644,18,"Class2",NA,67.759,62.281,26.578,44.339,"J",50
33.231,NA,12,"Class1",20.089,29.796,5.093,80.698,28.927,"N",13
23.356,64.128,6,"Class1",87.796,29.907,39.868,110.639,17.906,"J",21
43.352,53.126,18,"Class1",29.555,32.719,27.233,71.945,16.168,"A",14
37.477,57.235,29,"Class1",30.846,47.127,5.521,64.937,17.958,"D",24
63.368,98.226,20,"Class2",39.084,96.85,21.753,6.156,46.49,"K",9
63.075,77.483,17,"Class2",42.565,94.036,28.437,51.786,56.057,"J",35
30.89,50.106,21,"Class1",25.796,27.047,13.905,81.882,20.025,"J",15
62.958,56.921,27,"Class2",18.55,88.442,28.824,46.317,47.377,"K",37
63.735,87.839,23,"Class2",50.55,72.317,43.511,30.014,63.769,"J",8
23.937,54.168,15,"Class1",25.024,31.107,30.626,86.94,19.903,"D",15
37.983,50.355,30,"Class1",46.292,32.403,35.56,77.375,29.496,"J",13
62.289,94.872,24,"Class2",24.862,78.128,19.956,26.282,45.612,"K",38
63.659,69.36,20,"Class2",37.634,75.624,51.664,12.119,54.141,"V",19
63.202,77.21,28,"Class2",45.106,79.184,53.795,37.877,61.652,"Z",40
61.947,64.904,17,"Class2",46.184,60.378,46.889,48.221,47.388,"V",10
63.703,78.31,21,"Class2",NA,70.342,6.187,42.082,61.821,"K",13
62.327,65.781,19,"Class2",40.072,61.61,24.628,18.741,56.28,"F",23
62.547,93.69,28,"Class2",39.778,40.959,58.326,51.5,45.75,"F",20
28.322,39.486,24,"Class1",73.609,31.943,31.66,61.468,25.754,"D",10
62.816,99.03,16,"Class2",46.533,75.868,53.594,35.691,60.723,"F",25
63.625,88.844,16,"Class2",53.085,88.184,13.166,50.422,64.569,"F",39
28.671,NA,8,"Class1",54.484,27.379,30.725,81.996,24.984,"D",14
28.973,NA,11,"Class1",76.895,12.715,44.723,70.202,29.078,"N",25
