"PJZ1","LTA2","XEO3","NMU4","RJK5","OXN6","JIO7","WTC8","Output3","QOA9","PBY10"
18.783,8.16,"S",86.151,30.023,"Y",23,45.955,"Class4",96.647,7.115
17.26,55.035,"W",17.431,84.558,"Y",90,57.813,"Class1",39.133,95.884
19.082,10.214,"B",89.658,35.12,"N",15,56.701,"Class4",99.64,5.832
30.475,55.891,"J",71.632,84.123,"R",86,85.806,"Class2",49.859,61.833
17.902,10.395,"L",84.303,36.801,"P",16,49.7,"Class4",94.655,8.732
15.846,9.365,"B",82.518,35.427,"Y",16,59.968,"Class4",99.907,3.154
26.46,5.55,"S",91.856,32.34,"R",19,74.657,"Class4",93.704,5.007
20.856,11.461,"D",82.715,35.592,"R",17,64.224,"Class4",94.485,10.443
7.078,57.686,"W",16.224,73.25,"K",79,30.706,"Class1",38.994,96.551
22.591,55.051,"G",22.22,81.952,"H",87,58.569,"Class1",39.127,93.318
12.496,11.335,"S",83.288,33.701,"Y",21,66.841,"Class4",96.318,7.98
33.936,54.136,"N",95.343,89.148,"R",58,43.705,"Class3",18.647,10.955
11.507,15.884,"B",82.736,30.897,"O",18,49.284,"Class4",92.719,9.704
18.475,70.991,"Z",80.733,26.519,"R",80,85.641,"Class2",56.832,53.29
43.035,52.492,"T",92.58,91.915,"E",72,41.893,"Class3",19.897,12.958
12.675,51.741,"D",24.341,74.246,"C",79,64.337,"Class1",39.018,92.729
51.782,58.891,"Z",95.103,86.454,"E",61,36.125,"Class3",30.968,15.128
15.008,33.014,"D",21.308,83.195,"C",77,47.669,"Class1",39.305,91.709
12.251,49.282,"W",8.636,80.901,"H",93,83.383,"Class1",39.925,96.874
40.339,54.938,"N",95.107,85.41,"J",59,46.087,"Class3",25.56,16.507
8.007,62.497,"P",49.58,62.558,"O",74,85.343,"Class2",48.349,51.093
18.515,16.421,"B",86.93,35.302,"N",22,44.618,"Class4",96.944,4.662
14.924,16.181,"L",83.313,32.902,"Y",19,49.36,"Class4",94.064,5.424
20.084,62.341,"S",18.082,84.335,"H",78,28.258,"Class1",39.592,94.198
11.666,6.094,"B",93.257,36.582,"O",17,47.637,"Class4",98.233,7.792
14.728,61.682,"J",39.191,27.037,"K",77,85.387,"Class2",58.036,51.55
8.756,16.394,"D",80.575,31.393,"P",13,75.569,"Class4",93.129,7.278
-1.013,18.163,"L",81.014,34.449,"N",17,66.117,"Class4",98.793,7.98
19.744,82.331,"Z",30.218,63.182,"G",86,85.186,"Class2",46.922,9.59
21.288,52.64,"G",13.9,82.113,"W",80,33.882,"Class1",39.249,95.967
9.381,70.37,"W",8.176,77.212,"H",79,49.145,"Class1",39.173,97.796
12.443,44.276,"Q",6.319,76.806,"C",79,82.415,"Class1",39.096,90.737
10.105,21.057,"J",87.17,29.545,"N",18,45.255,"Class4",92.778,8.988
5.569,56.1,"J",71.241,39.275,"G",78,85.579,"Class2",62.185,44.109
25.747,51.873,"N",95.502,94.124,"J",62,40.745,"Class3",20.888,13.561
21.433,4.402,"L",87.152,34.358,"O",17,36.477,"Class4",95.217,3.056
27.823,55.109,"Z",95.067,92.243,"T",83,41.084,"Class3",29.995,11.483
2.116,85.619,"J",94.547,71.677,"R",74,85.669,"Class2",55.197,54.328
29.434,57.773,"I",NA,84.685,"P",71,52.22,"Class3",18.934,15.215
4.505,53.341,"M",73.238,80.952,"P",82,85.03,"Class2",59.023,65.917
4.91,52.58,"S",11.388,74.337,"C",77,69.55,"Class1",39.239,90.166
12.864,59.834,"G",16.477,79.026,"K",89,68.072,"Class1",39.851,96.514
15.678,10.734,"D",86.805,NA,"R",11,53.813,"Class4",96.004,8.618
12.893,45.598,"G",16.814,77.181,"Y",93,56.855,"Class1",39.79,97.336
18.783,52.548,"X",95.481,95.517,"T",81,31.624,"Class3",20.616,10.254
25.599,90.496,"J",93.001,77.187,"K",82,85.084,"Class2",54.28,56.11
59.116,61.191,"I",93.843,93.753,"R",83,38.394,"Class3",26.115,15.968
6.843,71.5,"P",49.257,26.94,"P",88,85.139,"Class2",57.858,6.562
19.3,68.788,"G",13.186,82.617,"H",86,58.165,"Class1",39.661,92.19
17.698,58.052,"K",48.955,61.046,"R",79,85.6,"Class2",70.71,35.651
10.224,36.805,"D",17.934,74.69,"K",84,96.292,"Class1",39.578,94.792
53.613,56.709,"T",93.85,95.537,"E",80,35.49,"Class3",31.251,15.786
12.545,59.018,"X",94.881,93.962,"T",60,46.964,"Class3",22.276,16.84
12.549,59.566,"G",23.458,77.822,"H",92,43.761,"Class1",39.681,90.211
1.351,94.558,"P",83.128,44.912,"G",79,85.339,"Class2",53.851,53.641
10.871,2.853,"D",83.461,30.476,"O",20,48.598,"Class4",90.721,4.461
33.4,54.587,"X",92.868,88.157,"R",78,33.121,"Class3",17.313,11.246
45.465,52.758,"Z",92.814,88.752,"E",70,38.07,"Class3",32.304,16.41
9.602,50.144,"D",12.138,78.334,"Y",81,59.311,"Class1",39.33,96.105
10.065,49.074,"D",9.833,80.253,"Y",93,61.241,"Class1",39.256,95.359
24.932,52.063,"I",95.825,89.725,"R",78,28.245,"Class3",24.561,14.365
8.067,20.317,"D",81.021,32.333,"Y",22,47.635,"Class4",100.187,10.344
45.578,55.553,"I",93.282,92.225,"R",65,44.021,"Class3",28.356,13.748
15.648,10.604,"B",88.899,29.835,"P",14,50.963,"Class4",96.826,3.988
27.697,8.699,"J",83.078,29.463,"P",15,86.937,"Class4",98.425,2.107
20.604,72.827,"Q",7.405,82.346,"Y",81,7.973,"Class1",39.28,92.178
17.664,55.484,"P",50.655,78.422,"O",86,85.807,"Class2",50.193,22.608
6.73,87.507,"Z",50.181,34.371,"O",79,85.416,"Class2",44.772,21.096
10.749,38.182,"G",12.554,83.027,"K",81,7.379,"Class1",39.123,90.939
17.785,19.835,"J",87.343,34.661,"N",21,48.27,"Class4",97.446,6.273
27.933,61.743,"T",94.393,NA,"J",68,40.141,"Class3",33.541,16.716
8.129,80.546,"J",89.849,65.677,"K",73,85.684,"Class2",48.572,60.379
25.677,8.449,"S",85.399,36.309,"O",16,50.97,"Class4",96.321,6.811
22.043,7.286,"D",NA,31.754,"N",21,61.495,"Class4",94.036,8.599
30.506,58.413,"N",95.731,85.381,"E",67,44.885,"Class3",23.225,12.688
13.505,13.067,"S",11.431,73.52,"W",77,13.031,"Class1",38.943,96.821
16.944,109.166,"P",75.329,56.353,"K",84,85.405,"Class2",55.989,15.288
23.985,5.541,"L",85.285,32.654,"O",15,53.196,"Class4",95.266,9.483
9.936,86.239,"Z",84.119,36,"R",76,85.257,"Class2",52.901,14.289
18.478,72.642,"K",48.312,32.748,"O",73,85.334,"Class2",49.929,69.571
16.837,5.856,"L",NA,33.701,"N",21,54.53,"Class4",90.171,6.023
48.53,64.972,"T",94.115,90.996,"E",68,40.336,"Class3",25.548,14.641
7.844,71.384,"K",12.58,NA,"G",86,85.886,"Class2",56.569,50.354
3.319,84.827,"J",61.227,34.835,"O",73,85.481,"Class2",62.406,54.729
22.415,52.017,"X",91.424,84.627,"R",69,38.21,"Class3",26.682,17.631
39.394,60.035,"Z",94.039,86.925,"J",81,46.428,"Class3",27.286,17.32
6.824,63.921,"K",36.793,64.609,"G",76,85.153,"Class2",46.329,67.891
13.861,89.39,"M",9.289,68.133,"P",83,84.878,"Class2",50.477,60.718
17.186,82.847,"P",84.027,30.953,"G",78,85.865,"Class2",49.079,58.97
32.927,60.136,"I",91.641,89.159,"E",58,43.453,"Class3",26.759,11.719
26.682,71.552,"Z",NA,44.426,"O",80,85.647,"Class2",47.903,16.925
61.329,54.705,"Z",92.32,88.827,"E",59,41.591,"Class3",26.717,12.31
19.457,15.922,"J",82.644,33.053,"O",11,53.428,"Class4",99.342,6.694
7.247,38.72,"G",18.248,82.128,"C",91,39.391,"Class1",39.558,97.558
9.343,44.697,"W",24.502,82.678,"H",91,70.4,"Class1",39.075,95.225
54.848,49.225,"I",92.289,86.19,"R",61,37.934,"Class3",16.465,12.961
29.718,54.873,"I",95.74,92.421,"P",76,45.393,"Class3",31.786,10.669
22.447,9.207,"J",90.281,35.614,"Y",20,31.108,"Class4",92.05,9.81
24.803,57.984,"Z",91.944,93.567,"J",64,43.78,"Class3",26.636,15.437
17.768,68.286,"P",55.931,27.07,"K",80,85.013,"Class2",47.834,16.946
20.402,11.4,"L",92.474,34.01,"O",19,76.987,"Class4",96.115,7.839
10.942,53.221,"W",17.521,82.723,"K",83,33.513,"Class1",39.302,95.59
44.741,53.657,"I",94.159,95.638,"P",61,44.647,"Class3",23.126,17.695
28.216,9.733,"S",92.699,34.828,"N",18,36.55,"Class4",96.264,10.115
18.804,-0.844,"J",91.956,34.267,"O",15,39.173,"Class4",96.499,5.791
16.68,65.925,"M",84.201,52.307,"K",83,85.855,"Class2",49.997,49.931
19.725,14.668,"D",82.647,29.79,"R",13,51.394,"Class4",96.896,7.742
43.765,50.179,"I",95.515,94.185,"R",82,36.361,"Class3",29.155,14.778
15.859,6.665,"B",90.457,35.961,"O",12,51.084,"Class4",95.191,10.436
13.667,36.855,"Q",16.674,73.951,"H",80,36.55,"Class1",39.474,96.332
5.437,87.354,"P",9.15,56.598,"P",82,85.252,"Class2",59.553,49.604
41.733,52.313,"Z",91.674,92.412,"E",61,28.641,"Class3",20.007,17.178
15.495,79.919,"Z",68.805,25.772,"K",77,85.674,"Class2",53.365,26.161
18.011,62.228,"I",94.45,91.062,"P",69,41.447,"Class3",29.377,11.419
19.62,82.251,"M",60.994,69.85,"O",86,85.709,"Class2",60.535,35.615
16.999,42.19,"D",18.269,74.148,"H",83,48.837,"Class1",39.364,97.712
14.89,69.405,"K",48.437,65.56,"K",78,85.593,"Class2",59.504,64.271
8.267,69.111,"K",6.626,47.261,"R",80,84.997,"Class2",58.404,27.529
12.508,58.61,"G",20.896,75.285,"Y",85,32.372,"Class1",39.064,92.781
12.631,87.552,"M",12.78,83.222,"R",82,85.753,"Class2",58.371,56.277
18.078,72.507,"M",74.852,66.967,"G",84,85.534,"Class2",49.873,57.315
42.198,47.51,"X",91.512,89.404,"E",66,30.196,"Class3",28.361,11.079
28.317,54.878,"Z",93.645,94.361,"R",71,40.014,"Class3",21.633,15.181
41.224,56.524,"T",93.676,93.936,"E",59,40.051,"Class3",20.404,14.68
16.299,65.202,"J",69.386,46.285,"R",80,85.596,"Class2",52.46,55.028
17.703,0.045,"S",80.1,30.164,"O",23,52.952,"Class4",96.703,8.248
25.579,55.456,"T",95.223,84.014,"E",84,21.012,"Class3",30.003,11.078
10.066,71.118,"Q",24.963,85.529,"K",79,13.215,"Class1",39.911,95.438
55.356,63.134,"T",94.812,85.108,"P",73,35.01,"Class3",28.9,17.052
15.689,-0.738,"J",82.573,35.543,"N",15,45.976,"Class4",95.714,4.286
9.764,44.172,"Q",8.603,84.281,"K",81,55.606,"Class1",39.561,94.386
12.154,64.209,"J",89.345,42.662,"G",82,85.296,"Class2",43.634,38.011
21.02,12.582,"L",90.091,31.97,"N",13,61.307,"Class4",95.545,3.397
42.674,53.678,"T",93.502,88.477,"R",84,33.854,"Class3",22.319,14.576
16.178,66.022,"K",70.569,43.023,"P",85,85.991,"Class2",54.189,26.922
24.185,8.404,"D",84.694,36.476,"P",12,61.455,"Class4",94.633,3.371
24.506,15.273,"B",80.374,31.493,"N",15,52.08,"Class4",93.726,9.878
36.511,55.815,"Z",93.201,85.766,"T",68,45.677,"Class3",21.363,15.918
16.371,10.988,"D",93.334,35.129,"P",22,47.187,"Class4",96.428,2.122
26.28,48.126,"I",93.293,84.561,"R",76,36.379,"Class3",26.946,17.228
22.764,11.256,"J",NA,30.825,"O",12,60.071,"Class4",96.351,10.305
34.549,53.653,"Z",93.214,91.059,"E",81,33.63,"Class3",28.954,13.754
45.019,59.309,"I",91.688,NA,"J",74,38.275,"Class3",31.524,16.269
3.582,43.704,"M",81.433,76.339,"O",72,85.181,"Class2",50.477,66.263
2.57,4.876,"B",81.049,33.362,"R",14,23.049,"Class4",96.092,2.77
10.345,42.613,"D",23.749,85.632,"K",78,67.392,"Class1",39.201,96.563
26.661,55.522,"Z",91.099,88.839,"E",69,48.256,"Class3",25.2,13.682
45.296,53.602,"X",95.197,95.781,"T",78,53.67,"Class3",26.118,13.74
26.265,56.464,"I",NA,92.923,"J",63,35.026,"Class3",19.017,12.682
44.821,58.691,"I",93.184,89.554,"P",59,35.783,"Class3",25.207,12.13
41.678,49.9,"I",91.172,94.059,"T",75,40.017,"Class3",18.871,12.419
20.058,68.221,"G",20.359,76.189,"W",89,52.659,"Class1",39.355,94.688
48.132,54.575,"Z",95.332,85.29,"P",75,34.918,"Class3",21.389,16.853
19.394,9.231,"L",81.333,36.813,"O",14,59.595,"Class4",95.844,9.548
15.074,53.14,"W",10.028,76.052,"W",88,11.119,"Class1",39.059,92.948
33.169,59.138,"X",93.486,88.239,"P",67,37.782,"Class3",27.9,15.668
24.412,6.281,"S",91.052,36.317,"R",23,48.658,"Class4",95.453,3.649
42.586,51.643,"Z",91.346,85.64,"T",80,32.961,"Class3",22.825,16.327
12.776,81.84,"S",10.027,75.425,"C",77,37.636,"Class1",39.751,94.69
19.466,51.196,"S",NA,NA,"K",82,85.955,"Class1",39.875,90.864
19.283,67.028,"Z",NA,60.255,"K",80,85.763,"Class2",47.599,55.162
9.549,59.795,"S",13.046,73.711,"W",80,76.673,"Class1",39.487,92.206
12.609,74.555,"S",NA,80.815,"W",83,29.017,"Class1",39.174,93.211
14.269,20.043,"J",90.723,30.004,"Y",12,60.008,"Class4",96.959,2.102
16.977,11.161,"B",90.563,36.85,"P",18,24.226,"Class4",98.508,4.441
44.061,49.994,"Z",94.581,88.78,"J",68,36.707,"Class3",21.46,13.298
16.196,15.69,"B",83.223,32.097,"O",21,56.738,"Class4",94.655,9.812
11.456,53.524,"D",16.639,80.875,"K",78,52.529,"Class1",39.852,95.169
37.576,57.752,"T",91.582,92.408,"T",58,39.175,"Class3",26.578,14.664
30.837,51.364,"Z",92.852,91.606,"J",70,43.276,"Class3",26.04,14.608
8.866,69.085,"Q",23.522,NA,"K",90,70.338,"Class1",39.754,96.113
13.103,32.839,"W",23.016,81.213,"Y",84,38.618,"Class1",38.757,92.233
13.557,7.416,"S",91.301,32.817,"N",19,45.401,"Class4",96.205,3.531
34.396,59.445,"N",94.472,91.256,"E",65,36.062,"Class3",23.862,10.564
25.341,63.947,"Z",14.023,49.314,"R",75,85.42,"Class2",52.259,6.845
16.767,84.411,"G",12.131,75.717,"K",88,-11.543,"Class1",39.458,93.884
44.172,53.067,"I",94.351,90.418,"J",70,36.756,"Class3",28.859,10.311
38.906,56.219,"Z",91.403,93.565,"T",66,37.19,"Class3",23.633,16.241
11.098,38.663,"W",16.357,77.215,"C",93,29.027,"Class1",39.853,91.602
3.968,76.876,"G",14.485,79.569,"Y",79,57.546,"Class1",39.796,93.032
15.669,10.913,"S",89.187,32.618,"P",23,52.111,"Class4",93.387,6.717
-0.955,79.055,"K",74.272,29.791,"G",88,85.079,"Class2",49.071,22.198
24.869,56.257,"M",80.298,42.943,"R",85,85.006,"Class2",55.05,69.621
10.494,66.864,"W",NA,83.474,"Y",92,18.582,"Class1",38.984,96.468
17.148,80.29,"P",18.435,74.562,"R",73,84.807,"Class2",55.232,63.841
18.803,18.476,"L",93.817,30.03,"P",18,76.884,"Class4",93.828,5.611
51.541,54.044,"T",91.836,88.697,"E",76,37.437,"Class3",27.141,13.433
0.823,55.517,"P",63.221,28.13,"O",76,85.56,"Class2",61.476,8.557
15.346,9.566,"B",93.514,31.66,"P",20,63.537,"Class4",92.979,5.06
14.855,17.499,"B",81.195,32.649,"P",19,60.726,"Class4",95.166,10.58
47.17,48.695,"T",91.874,88.151,"E",59,50.739,"Class3",15.361,15.98
22.744,58.887,"I",NA,84.691,"J",72,35.567,"Class3",31.546,17.01
19.096,41.08,"Q",18.225,83.474,"W",77,8.706,"Class1",39.147,92.919
17.57,56.927,"S",20.982,80.178,"K",77,92.182,"Class1",39.275,92.604
2.185,16.14,"J",90.937,34.974,"P",19,66.393,"Class4",95.434,4.707
16.929,70.295,"P",10.368,31.774,"G",73,85.239,"Class2",61.787,68.824
11.515,70.828,"K",71.367,82.729,"O",76,85.173,"Class2",50.331,20.99
16.875,81.566,"Z",39.162,82.217,"O",77,85.293,"Class2",55.69,22.822
19.6,8.483,"J",91.325,31.107,"R",17,46.336,"Class4",92.779,10.897
40.541,51.823,"I",91.78,NA,"T",82,32.807,"Class3",25.08,10.872
7.726,27.206,"Q",NA,78.51,"H",86,52.092,"Class1",39.462,94.73
34.321,52.178,"T",94.179,90.202,"T",79,30.144,"Class3",21.495,17.98
6.177,78.776,"J",44.515,57.143,"G",78,85.023,"Class2",60.284,21.192
26.329,52.551,"T",94.573,NA,"R",76,38.338,"Class3",25.442,16.866
15.897,49.146,"G",9.016,81.458,"H",78,26.165,"Class1",39.592,91.228
10.902,10.762,"D",93.33,36.423,"P",17,40.976,"Class4",95.144,10.802
42.622,54.673,"T",94.321,91.625,"R",69,43.571,"Class3",26.436,10.513
22.636,19.495,"S",92.872,31.703,"R",20,42.809,"Class4",96.805,3.484
31.331,52.933,"Z",NA,90.97,"T",76,48.339,"Class3",29.907,17.392
19.854,5.288,"J",83.367,30.287,"N",23,50.288,"Class4",97.597,7.398
5.631,73.057,"K",43.776,47.741,"O",81,85.777,"Class2",50.722,25.973
26.964,93.267,"P",31.616,32.876,"P",79,85.566,"Class2",52.954,35.199
27.979,56.965,"I",92.998,NA,"E",67,37.478,"Class3",23.908,17.374
14.139,89.369,"P",56.716,39.736,"O",77,85.446,"Class2",52.524,6.133
37.924,61.965,"X",94.974,85.681,"T",73,46.991,"Class3",25.52,16.204
16.612,90.425,"M",50.654,47.976,"P",81,85.222,"Class2",41.872,49.451
13.758,54.487,"S",11.845,86.025,"C",89,21.042,"Class1",39.319,96.728
3.11,89.246,"J",9.856,45.844,"P",80,85.562,"Class2",60.227,18.853
18.221,68.651,"M",58.752,58.958,"K",88,85.239,"Class2",55.195,61.363
59.008,57.696,"N",94.058,92.666,"P",84,32.959,"Class3",27.278,13.516
18.54,87.048,"M",50.134,26.299,"O",82,85.703,"Class2",51.028,18.12
7.047,30.3,"Q",22.609,76.714,"K",92,21.332,"Class1",39.826,91.897
16.644,18.541,"J",81.872,35.327,"O",13,56.069,"Class4",97.969,4.464
14.882,66.388,"Z",64.812,51.137,"O",81,85.558,"Class2",53.001,49.018
9.924,82.088,"Z",12.417,48.138,"P",76,85.706,"Class2",39.537,16.526
43.845,51.237,"X",91.909,94.95,"T",70,47.988,"Class3",22.527,12.95
14.658,52.661,"G",19.27,80.863,"Y",86,43.724,"Class1",38.887,94.59
27.297,58.196,"X",92.53,91.664,"J",58,34.164,"Class3",20.585,15.653
49.016,55.943,"X",94.492,90.227,"R",61,43.232,"Class3",13.695,14.108
3.688,61.527,"D",8.111,86.094,"H",82,4.909,"Class1",40.149,91.041
5.889,41.693,"G",NA,76.52,"K",93,65.932,"Class1",39.487,94.564
9.588,44.324,"I",95.975,85.904,"P",84,30.68,"Class3",18.527,14.95
20.941,15.736,"L",92.8,35.254,"O",11,55.659,"Class4",93.138,3.202
17.369,54.039,"D",7.604,NA,"C",91,44.896,"Class1",39.06,93.766
11.772,41.629,"Q",24.06,84.747,"Y",82,27.049,"Class1",39.231,93.466
12.737,7.445,"L",91.814,29.542,"R",12,56.278,"Class4",92.976,9.387
25.667,-0.889,"J",87.137,30.229,"O",16,64.933,"Class4",98.725,8.719
9.229,75.439,"J",25.232,64.506,"P",81,84.917,"Class2",60.554,46.006
7.462,82.242,"P",10.709,48.004,"P",87,85.24,"Class2",60.615,29.373
13.302,72.403,"J",85.989,52.435,"P",85,85.344,"Class2",42.235,12.223
11.038,50.875,"Q",24.431,81.101,"Y",91,104.78,"Class1",39.452,95.699
-3.906,69.358,"P",NA,NA,"G",75,85.69,"Class2",57.744,58.576
-2.171,97.15,"P",28.123,78.418,"R",72,84.988,"Class2",50.558,52.332
8.882,22.722,"D",13.925,74.611,"Y",91,29.627,"Class1",39.35,91.819
16.638,61.267,"G",12.917,86.626,"Y",83,80.64,"Class1",39.573,96.655
15.683,77.879,"K",65.908,80.6,"P",81,85.057,"Class2",55.403,34.949
12.342,65.34,"P",81.826,47.256,"O",88,85.472,"Class2",63.922,38.596
41.169,57.026,"I",94.836,95.022,"R",77,49.376,"Class3",24.176,10.282
11.874,89.643,"M",26.714,69.433,"R",74,85.873,"Class2",52.746,61.173
6.086,16.611,"J",88.51,31.119,"N",16,34.118,"Class4",94.396,9.426
54.741,51.767,"N",94.83,90.274,"T",59,38.094,"Class3",15.963,11.854
21.071,68.985,"Z",37.502,57.547,"R",80,85.626,"Class2",48.145,16.756
18.566,2.335,"B",93.162,32.842,"O",16,58.415,"Class4",93.54,6.742
15.265,80.024,"G",8.754,80.439,"H",88,41.188,"Class1",39.184,96.759
12.989,35.882,"W",6.444,86.315,"K",88,74.406,"Class1",39.609,95.137
18.014,77.226,"P",34.001,68.918,"K",79,85.307,"Class2",37.267,45.023
22.208,81.526,"P",27.228,84.208,"K",80,85.765,"Class2",38.191,16.418
6.685,84.984,"K",57.096,39.858,"K",85,85.342,"Class2",38.541,32.039
15.209,22.147,"J",NA,NA,"N",16,48.04,"Class4",93.468,4.046
39.283,42.508,"T",95.549,92.382,"J",83,36.361,"Class3",24.998,17.718
17.548,10.354,"B",90.808,32.372,"P",13,36.583,"Class4",94.395,5.692
15.235,71.5,"M",12.627,54.821,"K",87,85.104,"Class2",50.075,33.969
17.081,57.604,"Q",24.446,84.789,"W",77,31.862,"Class1",39.667,96.407
-4.39,84.609,"M",33.352,82.808,"K",87,85.576,"Class2",57.614,7.832
16.153,39.915,"G",20.554,86.119,"C",92,45.709,"Class1",39.355,92.179
21.853,20.218,"J",92.136,30.774,"Y",19,43.492,"Class4",87.873,6.451
43.034,51.594,"N",94.624,84.469,"R",59,34.337,"Class3",30.004,16.726
23.621,9.508,"L",89.962,32.836,"P",19,64.724,"Class4",96.254,9.021
14.244,8.732,"B",90.21,30.609,"O",20,49.127,"Class4",99.252,7.658
25.409,7.767,"D",93.048,32.627,"P",21,59.211,"Class4",97.377,4.76
38.637,54.645,"I",93.511,86.592,"E",76,38.681,"Class3",21.164,13.637
16,31.774,"G",7.431,81.248,"K",88,-11.004,"Class1",39.842,90.212
17.807,79.614,"G",NA,73.938,"K",84,36.627,"Class1",38.923,92.417
13.559,71.151,"M",55.864,81.844,"R",86,85.27,"Class2",55.546,26.343
12.08,39.109,"W",NA,82.664,"W",78,27.972,"Class1",39.772,91.513
20.03,21.281,"S",89.875,35.94,"Y",20,63.141,"Class4",95.075,4.77
10.529,37.729,"S",12.971,79.36,"W",93,66.676,"Class1",39.372,90.638
14.456,13.234,"B",90.177,29.819,"O",20,51.358,"Class4",99.018,2.012
13.056,42.846,"W",23.508,84.732,"W",92,53.481,"Class1",39.217,94.525
22.757,14.946,"L",91.033,30.737,"Y",18,55.202,"Class4",96.646,3.506
19.241,66.743,"J",47.007,53.831,"O",74,85.588,"Class2",49.709,47.392
10.228,43.762,"G",19.843,73.503,"C",84,55.453,"Class1",39.653,91.562
8.356,22.12,"S",92.296,32.392,"R",18,37.547,"Class4",95.5,9.161
8.291,58.177,"Q",11.083,77.942,"W",77,51.647,"Class1",39.605,92.453
20.309,72.77,"M",19.987,27.257,"G",84,85.953,"Class2",48.835,43.302
36.289,59.423,"T",92.138,88.635,"P",66,42.116,"Class3",24.602,13.99
15.822,66.491,"J",38.876,38.577,"R",80,85.628,"Class2",56.413,40.146
-12.309,68.365,"K",42.479,72.63,"O",80,85.516,"Class2",69.1,41.045
2.109,62.941,"D",NA,80.59,"C",77,38.009,"Class1",39.753,92.378
14.658,54.14,"G",24.559,80.832,"H",90,23.508,"Class1",39.993,97.618
24.631,4.045,"B",89.366,30.167,"Y",23,53.512,"Class4",94.466,8.185
14.684,49.463,"D",23.945,82.926,"W",83,-3.541,"Class1",39.042,94.927
16.141,1.537,"B",90.292,35.281,"Y",20,51.248,"Class4",97.176,2.605
15.663,39.291,"G",9.072,84.043,"W",78,93.751,"Class1",39.51,92.099
22.384,58.666,"S",14.806,85.965,"Y",81,56.058,"Class1",39.321,90.551
12.799,1.018,"J",88.967,35.779,"Y",18,58.758,"Class4",96.589,6.476
9.597,53.864,"W",23.285,84.122,"W",88,53.451,"Class1",39.532,93.271
16.405,87.942,"P",13.13,65.882,"K",86,84.924,"Class2",62.578,36.529
17.226,51.689,"I",91.157,93.788,"J",60,42.053,"Class3",24.928,15.6
26.052,13.347,"S",85.335,33.931,"N",23,57.989,"Class4",96.912,5.818
14.383,56.659,"W",12.277,74.782,"Y",89,59.367,"Class1",39.001,97.449
11.67,42.946,"D",20.842,83.505,"Y",83,38.306,"Class1",39.353,92.556
23.391,67.947,"M",54.89,56.698,"G",76,84.97,"Class2",52.317,6.147
30.316,61.618,"I",92.081,90.916,"J",65,28.216,"Class3",21.869,16.827
24.63,49.311,"T",95.45,90.415,"P",59,34.106,"Class3",26.228,14.031
45.125,49.894,"N",94.977,93.665,"J",84,36.322,"Class3",23.265,12.43
16.421,48.413,"T",91.85,92.24,"T",62,39.429,"Class3",25.902,16.831
36.553,56.126,"T",91.609,85.011,"T",76,42.282,"Class3",23.312,14.105
0.82,45.382,"W",7.044,76.868,"Y",81,38.342,"Class1",40.01,94.557
7.76,77.919,"K",46.287,52.379,"G",88,85.266,"Class2",56.6,50.091
17.125,73.398,"J",58.379,62.631,"G",75,85.163,"Class2",51.738,36.307
50.986,52.951,"N",93.771,89.213,"J",70,36.491,"Class3",28.886,11.362
22.763,76.727,"M",38.599,46.112,"O",73,84.998,"Class2",47.985,8.882
8.844,60.769,"Z",85.093,62.327,"G",76,84.811,"Class2",59.211,51.529
45.005,53.594,"I",91.164,91.214,"R",58,39.418,"Class3",19.361,12.678
10.249,64.726,"S",16.154,81.365,"H",84,24.305,"Class1",39.49,93.728
39.195,57.752,"N",93.056,92.631,"T",80,43.703,"Class3",16.545,10.634
23.443,60.82,"K",96.079,25.299,"P",79,85.189,"Class2",55.144,52.021
30.533,69.265,"K",41.609,54.354,"G",87,85.514,"Class2",39.594,51.907
8.473,15.521,"S",83.147,29.022,"P",22,49.78,"Class4",96.093,10.683
43.07,60.582,"Z",92.473,85.969,"T",74,29.325,"Class3",21.19,17.79
5.57,12.45,"L",87.089,34.331,"N",18,56.699,"Class4",97.863,3.156
11.013,77.7,"M",81.862,64.566,"P",78,85.81,"Class2",56.538,61.578
41.183,48.021,"Z",95.272,88.617,"E",72,28.937,"Class3",24.524,12.816
21.779,57.854,"I",94.179,91.14,"J",71,46.538,"Class3",22.977,14.649
27.005,66.075,"Q",23.623,73.438,"Y",77,39.575,"Class1",39.601,95.303
35.775,53.114,"X",94.255,95.022,"T",57,37.778,"Class3",21.208,11.665
38.456,57.376,"N",95.372,91.653,"P",76,45.592,"Class3",25.618,16.247
48.862,60.695,"X",92.132,93.312,"J",82,46.826,"Class3",26.762,12.355
11.946,9.159,"L",91.712,32.613,"P",15,51.131,"Class4",94.641,7.246
9.905,73.775,"Z",35.105,65.834,"G",78,85.297,"Class2",51.626,53.887
23.357,18.471,"J",84.417,32.596,"P",13,44.982,"Class4",98.187,9.997
18.713,21.691,"L",81.829,32.756,"P",14,50.177,"Class4",96.917,2.708
3.011,52.204,"Q",22.047,86.529,"Y",91,71.559,"Class1",39.796,97.305
13.749,81.393,"J",30.843,67.237,"O",84,85.96,"Class2",57.097,21.08
20.478,23.541,"J",80.791,30.637,"Y",13,62.532,"Class4",94.49,8.297
64.644,61.232,"T",92.227,85.851,"T",82,39.695,"Class3",24.968,11.143
10.735,24.365,"Q",17.535,83.214,"C",84,37.047,"Class1",39.434,91.956
