"MRQ1","QJV2","LID3","AHN4","YXE5","PNH6","WVM7","UKR8","AYF9","UBT10","Output13","BEP11","CZN12"
55.099,57.717,1,13.554,42.403,64.229,"Y",45.402,83.378,4.544,"Class2","L",66
47.997,57.998,20,33.044,41.223,47.969,"O",43.73,74.223,2.032,"Class2","L",47
34.873,7.112,28,7.731,42.959,71.875,"O",71.126,77.675,49.142,"Class4","A",71
29.166,6.205,33,7.132,68.632,31.207,"U",72.652,70.009,51.651,"Class4","R",45
91.993,7.459,17,44.112,91.183,31.195,"G",11.096,30.977,87.801,"Class3","P",27
61.689,46.158,72,55.359,42.605,62.887,"L",86.874,83.026,49.11,"Class1","A",75
55.823,43.81,32,47.651,43.084,55.549,"V",88.89,82.565,34.844,"Class1","Y",31
35.081,15.993,64,47.384,22.691,54.755,"W",85.9,82.326,54.741,"Class1","A",89
60.646,NA,38,56.077,44.155,3.685,"L",86.833,82.406,45.7,"Class1","O",70
34.584,47.742,18,46.504,50.827,45.03,"V",87.376,82.678,33.675,"Class1","Y",90
37.146,7.308,28,7.345,46.748,54.058,"C",72.772,87.779,35.101,"Class4","E",55
37.145,5.46,42,8.129,60.908,65.643,"U",71.608,81.486,12.559,"Class4","E",58
40.221,NA,61,7.563,35.004,83.38,"U",72.33,77.547,30.51,"Class4","E",16
6.494,76.362,67,91.118,58.804,24.509,"M",29.219,32.365,73.296,"Class5","B",47
50.317,23.236,16,55.428,35.293,50.661,"U",85.305,83.37,43.1,"Class1","O",93
7.356,64.027,71,6.515,61.235,32.314,"W",43.058,16.418,52.123,"Class5","B",57
42.51,2.17,10,8.921,58.328,12.254,"O",71.097,82.836,43.146,"Class4","V",31
77.615,7.871,8,44.651,52.852,35.107,"U",89.058,82.35,39.071,"Class1","S",80
70.702,5.946,17,52.579,48.622,60.446,"U",86.476,83.33,34.884,"Class1","O",NA
38.212,92.028,66,21.753,64.56,16.568,"M",39.655,44.361,62.715,"Class5","X",54
84.243,18.685,27,51.66,39.813,81.431,"U",85.703,82.205,40.374,"Class1","A",21
84.649,30.07,43,55.567,87.561,13.093,"Q",89.861,16.08,75.694,"Class3","F",34
60.974,68.531,15,42.443,42.305,50.073,"Q",43.443,31.332,7.77,"Class2","L",47
20.342,4.466,30,7.245,43.607,-6.127,"O",71.454,67.796,49.7,"Class4","E",40
41.116,0.325,18,8.298,55.283,19.11,"S",71.583,66.564,64.833,"Class4","V",NA
20.11,NA,72,29.515,74.428,48.571,"F",33.072,32.488,73.851,"Class5","X",58
28.185,55.364,37,55.367,32.314,44.507,"U",88.281,82.521,53.692,"Class1","A",12
42.644,50.721,58,47.606,52.556,68.759,"L",85.8,82.453,43.854,"Class1","M",75
92.876,29.923,28,46.64,85.786,5.259,"O",48.633,22.989,35.864,"Class3","F",31
88.678,39.409,34,55.214,84.892,0.853,"G",18.484,16.414,53.685,"Class3","I",78
85.35,8.749,40,57.253,93.355,25.964,"G",4.006,25.874,16.548,"Class3","I",25
41.596,7.56,56,8.083,28.965,21.789,"U",72.216,84.159,40.452,"Class4","V",58
0.544,2.27,9,7.99,51.332,34.966,"O",72.302,60.555,80.116,"Class4","A",29
19.659,27.109,67,60.043,71.669,18.376,"M",42.958,0.652,65.865,"Class5","X",50
87.954,4.569,29,71.036,88.148,47.702,"Q",17.736,21.77,60.516,"Class3","P",39
49.997,79.45,23,75.667,39.342,26.783,"Q",42.728,21.611,0.895,"Class2","I",NA
34.378,44.822,15,42.698,26.709,46.162,"V",86.046,83.6,53.84,"Class1","M",15
52.494,61.174,12,28.173,40.595,71.232,"O",47.265,14.622,4.253,"Class2","P",48
86.617,40.975,12,67.763,88.428,9.474,"H",16.129,27.544,53.855,"Class3","Z",85
84.876,52.204,28,53.309,86.142,44.79,"P",24.184,22.148,35.148,"Class3","K",49
26.021,2.801,28,7.559,64.518,21.193,"C",71.315,86.878,46.217,"Class4","N",33
61.809,85.48,20,74.467,43.135,91.741,"Q",41.698,19.346,7.72,"Class2","I",72
35.04,1.213,24,8.257,40.935,38.783,"O",71.629,83.322,20.862,"Class4","A",46
46.279,48.293,19,29.901,40.473,58.049,"X",45.378,50.626,1.559,"Class2","U",63
38.697,60.424,72,27.539,66.817,9.654,"F",37.097,63.42,72.731,"Class5","X",53
27.823,85.635,66,31.393,70.795,17.377,"M",40.482,-2.842,64.859,"Class5","Y",59
7.221,43.57,69,62.572,80.585,5.004,"M",37.529,41.816,56.056,"Class5","D",60
88.067,43.907,44,57.766,93.303,46.294,"Q",50.172,9.082,38.555,"Class3","K",91
53.658,NA,17,8.965,47.911,36.517,"U",71.478,91.517,67.382,"Class4","E",66
36.174,2.701,30,8.512,63.065,22.229,"M",72.17,69.403,31.296,"Class4","N",78
49.651,69.868,11,78.362,41.267,35.238,"X",47.521,63.952,9.653,"Class2","L",69
3.699,42.58,19,52.855,40.404,23.887,"C",86.551,83.671,55.406,"Class1","S",45
24.083,88.574,70,82.635,65.482,30.817,"S",42.006,35.681,27.267,"Class5","D",57
19.659,68.728,69,55.217,81.933,-0.798,"W",32.668,52.865,47.93,"Class5","Y",50
85.219,55.317,44,54.91,90.381,72.791,"O",30.922,9.706,55.794,"Class3","P",55
53.49,34.832,77,52.009,46.206,34.408,"W",88.645,82.549,45.706,"Class1","A",14
38.622,57.313,36,47.265,56.656,67.627,"C",89.324,82.951,39.028,"Class1","M",57
49.677,10.128,66,56.974,43.839,55.852,"V",85.44,82.802,39.659,"Class1","Y",53
50.335,38.241,55,55.14,47.701,61.377,"L",88.807,83.159,34.039,"Class1","A",40
59.756,51.234,18,79.065,44.713,70.716,"O",41.413,60.53,0.423,"Class2","V",66
57.734,39.497,4,46.212,41.755,24.112,"Y",38.413,-4.707,9.558,"Class2","V",65
56.353,64.29,3,24.616,42.461,35.28,"X",43.196,24.728,8.882,"Class2","U",58
85.778,2.3,43,62.532,92.197,43.54,"G",21.523,31.162,32.633,"Class3","P",67
62.828,82.42,5,52.229,42.214,60.404,"X",43.227,49.36,10.844,"Class2","U",69
60.082,NA,12,8.652,35.881,-3.094,"M",71.021,83.999,28.751,"Class4","R",74
84.186,46.463,33,69.638,90.702,76.538,"P",30.725,7.697,44.213,"Class3","Z",65
49.894,66.519,15,77.698,44.063,50,"Q",43.546,78.69,9.034,"Class2","L",60
69.49,14.455,64,57.166,43.907,57.948,"L",87.22,81.89,50.504,"Class1","M",NA
24.798,29.604,70,18.7,80.364,27.264,"S",39.198,59.344,28.494,"Class5","Y",52
35.255,43.065,13,53.22,38.369,55.244,"W",88.654,82.973,52.152,"Class1","O",49
28.935,61.507,66,14.661,67.348,24.501,"S",43.55,55.3,57.471,"Class5","D",50
74.663,2.621,46,8.251,64.514,49.199,"U",71.206,84.707,45.354,"Class4","A",16
49.898,15.976,34,48.882,38.852,74.267,"W",89.631,84.52,33.957,"Class1","Y",79
5.125,4.154,21,7.506,50.369,10.864,"S",71.392,77.161,83.539,"Class4","V",70
38.67,6.518,34,8.149,25.339,42.681,"S",72.619,38.286,19.639,"Class4","E",31
57.11,46.042,50,53.92,32.877,2.102,"U",89.427,83.604,53.679,"Class1","M",76
28.668,8.561,6,8.296,50.286,25.466,"M",71.505,56.535,64.723,"Class4","E",58
53.379,7.682,8,8.97,39.168,45.927,"S",71.895,107.03,37.349,"Class4","R",77
50.827,81.674,17,12.673,42.311,59.684,"Y",45.537,46.365,5.844,"Class2","I",77
23.7,80.491,73,87.529,63.344,27.978,"M",37.314,31.887,57.479,"Class5","Y",54
26.309,4.765,30,7.847,37.326,62.691,"M",72.394,80.304,56.331,"Class4","A",52
36.822,95.984,70,39.905,64.857,4.8,"N",30.761,49.589,27.709,"Class5","Y",51
82.015,53.775,44,75.055,88.843,30.847,"P",72.696,30.036,72.742,"Class3","Z",92
83.803,4.836,22,69.794,87.84,48.959,"O",60.156,18.673,66.494,"Class3","K",60
28.439,49.367,68,84.616,77.158,48.744,"N",30.397,57.487,58.812,"Class5","Y",49
86.602,19.601,42,50.609,92.366,57.1,"H",40.254,22.875,70.095,"Class3","Z",78
44.319,9.4,74,54.386,37.801,54.862,"U",87.262,82.539,41.157,"Class1","O",60
87.204,22.512,43,73.663,95.796,16.464,"H",88.283,5.046,83.05,"Class3","Z",83
60.188,13.768,60,56.955,43.544,40.174,"L",88.21,82.464,52.686,"Class1","A",30
57.445,7.82,22,54.275,44.201,64.263,"U",88.347,82.714,33.873,"Class1","O",31
23.979,NA,65,65.702,55.274,23.769,"S",41.161,71.249,52.522,"Class5","D",60
52.907,61.916,14,54.302,41.68,34.028,"Y",40.374,69.314,3.813,"Class2","U",51
33.549,54.44,22,55.708,46.843,77.856,"U",86.693,83.089,54.117,"Class1","S",23
81.728,45.727,35,60.166,96.07,10.895,"O",2.533,27.133,73.683,"Class3","P",41
40.121,69.638,19,13.911,43.697,30.841,"N",44.039,22.828,0.738,"Class2","U",60
59.154,52.339,1,64.726,41.217,23.689,"X",43.557,62.264,10.796,"Class2","V",72
47.244,67.137,13,30.564,40.625,39.457,"Y",47.685,21.755,12.956,"Class2","U",66
28.321,47.33,72,19.239,74.185,36.701,"N",34.279,49.281,43.913,"Class5","D",53
49.827,9.402,15,50.408,41.675,58.728,"L",88.258,83.465,35.561,"Class1","M",91
56.664,20.301,61,44.93,41.626,47.195,"W",89.663,83.226,32.867,"Class1","A",15
88.259,46.124,13,54.173,86.911,38.865,"P",70.047,15.878,71.621,"Class3","I",32
72.459,13.201,32,55.107,51.143,44.675,"V",89.161,83.254,41.873,"Class1","Y",41
28.975,46.689,11,56.188,40.733,39.205,"L",85.308,83.634,56.607,"Class1","M",93
44.272,79.376,69,49.338,68.863,27.881,"N",39.743,57.614,54.103,"Class5","Y",46
59.619,NA,7,77.825,43.709,9.669,"Y",47.627,19.487,2.922,"Class2","L",50
27.829,7.285,61,7.791,53.565,70.391,"O",71.708,57.968,49.322,"Class4","V",41
31.062,85.785,68,67.261,75.956,39.338,"W",33.369,50.757,35.486,"Class5","B",50
26.652,58.636,72,4.101,68.445,13.281,"F",40.216,38.702,58.469,"Class5","D",50
50.43,45.834,8,62.155,38.752,42.992,"X",39.242,92.012,2.527,"Class2","L",48
46.157,89.864,9,55.822,41.765,66.898,"N",38.709,59.745,10.987,"Class2","L",44
20.603,95.444,69,54.682,62.19,15.534,"S",29.105,-10.377,39.02,"Class5","Y",49
42.259,51.668,8,74.55,41.526,111.245,"Q",45.512,26.24,6.953,"Class2","L",59
53.96,56.157,79,42.056,50.641,41.195,"V",89.292,83.038,38.115,"Class1","A",74
90.009,39.727,38,48.947,90.294,15.448,"Q",59.338,10.209,51.872,"Class3","P",57
2.731,29.668,73,62.896,53.17,37.947,"F",34.535,45.654,68.199,"Class5","X",46
85.379,51.115,12,44.248,91.176,-8.618,"Q",62.59,3.185,72.212,"Class3","K",91
56.003,45.963,5,63.808,40.185,52.497,"O",47.99,53.468,4.616,"Class2","I",NA
34.183,94.987,73,74.26,64.558,36.263,"S",32.416,67.443,38.776,"Class5","Y",56
84.734,24.948,18,46.276,90.94,45.68,"Q",38.897,10.426,40.434,"Class3","Z",26
8.565,33.462,73,88.063,70.836,38.209,"S",34.428,47.715,34.912,"Class5","X",61
29.3,32.971,67,71.32,75.146,41.614,"N",31.712,62.108,24.736,"Class5","D",50
48.761,82.584,5,68.045,40.649,62.341,"N",47.748,81.526,5.574,"Class2","V",70
57.864,70.5,1,85.665,42.517,97.56,"O",38.945,35.991,6.06,"Class2","L",61
76.648,22.202,64,56.169,22.783,38.946,"C",89.017,84.062,33.885,"Class1","Y",16
50.729,84.067,1,46.034,42.444,42.309,"Q",46.609,37.203,4.286,"Class2","V",56
92.416,44.403,19,67.006,89.205,-21.614,"G",17.118,24.66,26.648,"Class3","I",65
87.032,16.91,38,64.799,88.365,39.825,"Q",27.082,28.003,87.387,"Class3","Z",73
54.967,74.381,20,26.795,40.11,54.442,"N",38.768,-3.299,0.61,"Class2","I",NA
8.892,80.431,63,81.239,61.638,7.868,"M",34.18,50.969,60.879,"Class5","Y",47
31.867,7.875,36,7.119,58.786,1.327,"M",71.603,75.804,50.698,"Class4","A",NA
17.911,82.951,63,63.872,71.35,-3.114,"F",42.169,46.031,33.496,"Class5","D",48
50.598,64.78,18,35.653,43.52,33.065,"O",42.498,6.02,7.263,"Class2","P",74
85.578,52.548,41,76.536,89.459,0.563,"G",27.022,22.825,72.806,"Class3","Z",79
30.596,NA,11,8.815,63.313,47.304,"O",71.135,86.874,63.523,"Class4","V",13
86.687,40.211,35,45.999,92.024,45.089,"Q",48.839,24.732,24.126,"Class3","Z",55
4.237,80.698,72,38.915,57.595,39.213,"N",39.465,22.856,71.373,"Class5","Y",53
43.294,6.677,29,46.755,48.097,26.063,"C",85.309,82.946,41.541,"Class1","S",77
88.232,14.407,38,53.574,89.625,10.72,"G",62.876,10.077,23.401,"Class3","K",76
85.858,41.656,41,44.955,88.396,-19.744,"P",47.266,16.787,78.216,"Class3","F",27
88.044,45.04,23,50.489,90.906,23.193,"O",59.416,24.987,75.383,"Class3","Z",NA
30.134,24.907,65,54.044,32.457,55.941,"W",87.106,83.958,54.651,"Class1","A",86
83.91,18.393,48,69.933,90.064,33.137,"G",2.568,17.721,65.09,"Class3","Z",84
32.624,42.48,66,60.626,51.254,26.519,"N",31.246,62.159,63.032,"Class5","X",56
57.465,7.204,43,46.915,37.877,67.549,"V",88.602,82.921,44.192,"Class1","Y",66
26.401,57.797,73,44.577,63.908,23.271,"F",37.375,27.045,55.83,"Class5","Y",57
75.926,3.053,34,7.007,60.39,7.525,"O",72.409,71.16,16.056,"Class4","V",59
62.483,51.97,6,19.7,40.531,30.059,"Y",39.716,7.615,11.272,"Class2","L",64
25.427,65.69,65,83.611,71.335,41.076,"N",35.245,60.328,41.621,"Class5","T",59
36.989,7.736,10,8.426,69.775,64.059,"C",71.175,88.254,39.927,"Class4","N",13
59.754,35.594,76,57.529,33.721,53.883,"L",85.297,84.272,45.589,"Class1","M",75
23.133,69.383,63,32.704,64.725,39.959,"S",42.442,33.596,23.449,"Class5","D",59
19.516,17.364,9,43.229,49.797,89.772,"U",88.975,83.893,47.499,"Class1","S",10
15.6,51.193,67,50.148,75.828,18.568,"S",34.113,66.032,28.215,"Class5","B",50
86.59,5.327,23,76.001,87.841,43.129,"G",47.782,26.037,78.844,"Class3","I",59
42.581,5.501,7,8.027,43.495,24.594,"C",72.444,59.143,48.676,"Class4","V",42
7.216,34.307,17,54.433,56.264,42.077,"L",89.913,81.097,34.23,"Class1","M",79
35.708,35.234,14,58.841,41.273,54.271,"V",89.532,82.583,54.954,"Class1","M",88
11.926,NA,43,8.16,61.834,74.659,"S",71.194,65.354,59.1,"Class4","A",59
34.917,39.897,52,50.637,42.137,50.48,"W",88.079,82.777,48.306,"Class1","M",22
32.108,NA,67,6.664,56.47,23.708,"N",36.903,18.165,42.483,"Class5","X",55
7.895,36.369,69,36.937,58.078,22.157,"W",43.613,27.74,55.566,"Class5","T",54
54.477,4.415,40,8.857,43.822,34.891,"O",71.418,107.698,16.852,"Class4","A",58
62.223,32.7,65,44.862,60.084,73.32,"V",86.415,83.415,38.384,"Class1","S",48
59.211,18.462,71,48.831,58.763,70.616,"W",85.965,82.298,54.896,"Class1","A",70
5.847,70.864,73,82.018,58.903,49.769,"W",42.092,45.539,74.409,"Class5","B",57
88.962,44.18,33,55.869,39.375,79.156,"W",85.247,82.652,32.858,"Class1","M",40
29.083,33.349,63,55.157,56.509,29.012,"M",29.031,86.96,31.914,"Class5","B",51
44.779,46.37,21,46.206,40.548,59.633,"Q",47.095,65.399,5.735,"Class2","L",NA
15.646,NA,65,49.931,81.189,2.068,"W",32.882,-1.176,49.651,"Class5","D",57
26.817,58.926,64,38.052,77.481,43.183,"S",31.21,15.93,53.029,"Class5","X",55
86.449,20.984,12,71.003,88.882,60.026,"P",2.003,22.147,57.723,"Class3","K",92
50.718,76.549,10,80.095,39.718,60.249,"O",44.104,33.326,0.884,"Class2","V",60
15.032,53.029,70,37.796,75.473,14.767,"F",40.496,57.667,29.308,"Class5","Y",NA
16.328,93.15,63,72.282,64.541,32.047,"S",35.101,37.353,53.024,"Class5","Y",52
62.277,56.663,6,53.084,43.423,90.837,"O",43.605,22.61,1.602,"Class2","V",44
46.322,2.477,45,8.796,47.536,48.277,"M",72.419,81.419,82.727,"Class4","V",41
25.519,31.143,72,88.016,53.24,19.725,"N",29.976,35.983,44.959,"Class5","T",59
16.189,32.493,63,5.99,67.154,26.205,"F",30.696,86.133,71.698,"Class5","D",47
13.399,8.716,63,7.362,22.489,39.58,"O",71.946,91.283,29.534,"Class4","N",NA
32.971,61.214,60,45.662,33.39,68.777,"V",85.959,83.669,42.14,"Class1","M",NA
84.142,51.976,40,52.3,91.184,15.205,"Q",21.399,13.187,46.734,"Class3","I",51
60.712,45.81,12,29.139,40.856,71.093,"O",40.524,8.906,6.296,"Class2","I",69
59.747,79.857,16,50.831,41.777,21.413,"O",42.84,46.949,12.442,"Class2","P",46
63.24,63.764,20,79.139,41.521,58.431,"Y",42.326,45.833,9.268,"Class2","I",52
37.826,3.675,45,7.92,18.159,37.985,"O",72.717,57.329,13.387,"Class4","V",54
30.118,4.706,62,8.362,70.936,87.248,"O",71.792,100.953,13.113,"Class4","E",36
41.159,49.707,72,42.133,38.335,64.61,"U",87.816,83.435,55.001,"Class1","A",72
24.975,59.969,72,52.188,51.265,7.54,"S",35.912,-1.578,28.05,"Class5","Y",60
56.058,13.098,12,48.991,49.328,18.712,"L",88.444,83.282,45.156,"Class1","O",56
54.809,84.903,7,32.346,39.85,93.366,"X",38.172,28.396,1.472,"Class2","V",67
36.257,NA,42,8.932,48.279,35.633,"O",71.551,87.863,12.568,"Class4","E",22
89.134,6.529,36,52.7,86.805,27.167,"Q",27.156,19.183,49.369,"Class3","Z",29
84.447,52.294,43,72.071,91.304,35.186,"G",40.08,2.262,35.57,"Class3","Z",46
54.442,47.728,1,34.811,42.9,56.018,"O",40.171,29.486,9.387,"Class2","P",76
60.805,86.733,5,17.341,42.334,60.537,"X",44.094,46.3,8.771,"Class2","P",54
13.321,28.627,71,4.636,71.49,31.111,"S",36.048,67.989,51.916,"Class5","B",56
16.064,67.175,63,62.519,47.666,34.506,"W",33.29,67.822,69.911,"Class5","Y",61
24.927,2.551,50,7.04,45.202,37.347,"U",72.181,88.009,53.487,"Class4","V",66
22.406,37.201,64,26.716,57.778,21.642,"M",37.25,63.124,33.719,"Class5","D",52
48.688,17.828,49,51.838,44.855,47.848,"C",85.468,82.132,52.872,"Class1","A",93
54.271,72.647,4,63.19,43.371,26.099,"Y",47.573,42.583,5.683,"Class2","L",66
70.328,30.801,54,48.23,32.629,32.386,"U",85.316,83.188,42.281,"Class1","Y",16
19.27,82.307,67,17.588,82.747,32.204,"S",31.609,59.96,54.316,"Class5","T",53
45.277,NA,49,47.559,48.282,61.708,"L",86.943,82.229,57.733,"Class1","M",79
87.649,34.893,44,50.216,85.324,45.804,"H",19.641,11.838,39.767,"Class3","P",86
86.832,53.318,40,71.151,90.148,10.341,"G",61.965,21.618,24.77,"Class3","Z",31
13.563,58.384,71,91.796,64.045,-12.27,"N",38.134,63.89,58.489,"Class5","D",49
83.709,32.885,32,72.116,87.701,71.507,"P",77.56,28.068,84.102,"Class3","F",30
55.27,49.544,3,9.657,41.15,97.901,"X",40.177,37.268,9.508,"Class2","I",55
85.056,49.841,19,53.929,93.026,51.302,"G",87.661,9.217,22.798,"Class3","F",51
34.993,32.016,65,33.707,57.496,14.845,"S",33.34,90.069,64.715,"Class5","B",49
49.372,6.502,55,7.449,45.839,50.066,"U",71.546,71.361,15.734,"Class4","R",45
17.152,68.481,71,42.949,65.592,32.864,"N",37.474,55.647,36.512,"Class5","D",46
44.066,2.995,55,8.472,62.758,50.818,"C",71.401,68.518,22.458,"Class4","R",47
84.303,7.94,40,52.981,88.501,-8.238,"H",30.836,13.156,35.548,"Class3","Z",31
55.483,25.043,69,45.768,43.646,60.835,"V",87.369,84.085,34.9,"Class1","A",27
89.366,NA,18,66.745,90.703,22.055,"G",83.171,28.092,49.132,"Class3","P",82
51.335,28.517,21,47.134,53.072,54.484,"L",85.232,84.209,36.327,"Class1","S",47
60.095,71.76,4,49.885,42.656,35.461,"Q",39.91,11.962,4.349,"Class2","V",66
61.097,61.944,17,16.069,41.759,114.048,"X",44.749,21.011,9.714,"Class2","U",48
4.548,88.097,66,3.15,74.156,22.619,"W",43.912,33.598,40.217,"Class5","X",58
45.569,13.944,16,42.247,50.333,79.068,"L",88.045,83.213,51.999,"Class1","A",81
40.165,49.974,23,49.449,38.718,76.152,"C",85.776,82.591,31.715,"Class1","Y",72
41.139,6.574,43,56.411,39.386,-5.349,"U",88.323,83.712,31.517,"Class1","A",59
8.156,64.348,66,65.556,57.486,33.236,"M",43.918,35.476,51.526,"Class5","D",46
49.78,40.18,21,59.216,41.006,30.168,"Q",43.965,29.634,12.623,"Class2","P",49
86.284,4.388,33,71.901,88.918,86.883,"H",20.513,34.949,51.522,"Class3","F",90
104.183,38.427,64,51.458,31.351,16.606,"C",86.271,83.282,42.598,"Class1","A",18
66.543,28.546,35,50.951,19.928,16.369,"C",88.885,83.206,53.143,"Class1","Y",66
46.912,44.477,79,47.503,44.132,31.063,"W",86.127,81.887,36.05,"Class1","Y",22
87.757,52.7,33,51.34,89.938,52.319,"P",12.117,29.223,26.809,"Class3","I",29
54.161,87.015,3,62.326,42.91,59.653,"X",45.697,59.89,4.356,"Class2","L",70
61.219,75.446,12,30.537,40.358,58.017,"Y",43.426,50.233,7.739,"Class2","P",77
51.442,58.096,19,26.212,40.908,52.183,"Y",45.384,60.206,11.734,"Class2","I",65
25.556,48.721,67,49.571,76.023,29.676,"W",33.865,47.513,32.884,"Class5","X",48
49.139,34.092,23,57.777,40.459,47.011,"U",89.944,84.281,34.037,"Class1","M",31
90.595,5.864,33,59.625,92.642,44.652,"P",15.052,23.549,78.395,"Class3","I",43
64.823,80.465,5,71.775,42.584,28.859,"X",44.291,59.155,4.83,"Class2","L",65
84.792,13.408,19,52.401,86.513,49.762,"P",62.229,21.044,24.671,"Class3","I",55
86.916,6.504,42,73.941,90.005,48.131,"H",33.256,32.222,23.967,"Class3","K",89
89.033,25.941,48,68.07,89.118,26.536,"G",7.582,12.01,79.92,"Class3","F",83
30.507,51.778,66,29.857,68.398,16.01,"F",33.072,43.676,33.754,"Class5","D",59
63.457,24.416,25,51.97,17.221,21.636,"W",87.204,83.69,59.131,"Class1","A",42
59.805,7.415,68,7.738,53.462,5.321,"O",71.332,71.24,17.852,"Class4","A",18
23.989,32.865,63,50.884,78.273,28.464,"S",43.367,28.659,65.896,"Class5","Y",55
56.705,2.227,55,7.918,53.1,24.838,"C",71.691,96.07,41.093,"Class4","V",13
24.773,15.846,59,59.828,37.342,44.325,"V",86.132,83.062,50.577,"Class1","A",NA
36.481,51.023,58,57.998,43.673,14.572,"L",85.771,82.96,47.521,"Class1","A",48
25.533,28.582,64,21.261,76.162,9.272,"W",42.105,66.392,43.426,"Class5","X",50
86.298,53.625,21,76.856,89.961,45.376,"G",55.554,19.147,21.616,"Class3","F",83
49.059,45.704,34,56.991,41.866,101.627,"U",85.181,83.011,56.481,"Class1","Y",15
85.587,20.68,15,50.305,88.206,66,"H",24.661,15.702,57.266,"Class3","K",39
58.445,7.257,25,8.326,58.282,37.27,"U",71.669,74.862,37.863,"Class4","R",77
88.351,35.475,34,76.178,89.908,28.425,"P",85.355,12.286,19.621,"Class3","P",38
36.715,3.565,32,8.02,54.606,28.704,"M",72.929,81.693,31.466,"Class4","N",62
58.613,43.371,36,53.504,38.251,42.891,"W",88.863,82.248,59.128,"Class1","Y",24
59.916,11.231,49,46.71,34.533,24.035,"V",86.042,82.986,32.585,"Class1","O",NA
86.953,19.086,30,75.631,89.503,48.033,"P",69.602,27.136,72.835,"Class3","Z",28
31.554,66.313,73,61.292,38.29,3.037,"N",31.427,55.165,33.507,"Class5","T",61
-0.432,NA,67,58.455,69.847,14.545,"F",36.835,2.431,31.071,"Class5","T",53
30.232,2.898,57,8.681,46.89,65.952,"S",71.882,83.544,52.894,"Class4","V",29
23.252,62.994,64,58.623,63.561,22.522,"W",41.889,33.403,52.729,"Class5","T",59
43.2,0.163,42,7.834,49.245,6.566,"O",72.215,72.256,19.866,"Class4","E",56
21.926,80.295,70,90.981,78.268,23.759,"F",32.453,9.596,72.656,"Class5","Y",49
32.224,1.175,23,8.242,61.625,53.748,"O",71.711,75.476,52.26,"Class4","V",29
24.254,49.463,16,48.726,40.718,25.854,"U",89.693,83.015,43.025,"Class1","O",90
31.148,1.202,40,8.691,58.871,21.469,"U",72.285,82.363,72.387,"Class4","R",72
39.627,58.169,24,52.539,36.481,42.249,"U",85.851,83.113,36.601,"Class1","S",NA
48.689,1.959,62,7.426,45.981,32.701,"M",72.882,68.5,68.539,"Class4","E",49
88.894,9.708,16,73.519,89.452,28.017,"P",85.638,18.03,78.713,"Class3","I",92
86.095,NA,28,59.869,94.913,33.767,"Q",88.66,0.845,49.354,"Class3","K",86
88.167,10.704,42,71.826,88.604,25.437,"H",63.097,28.899,56.797,"Class3","K",77
54.682,89.128,5,60.693,44.661,46.157,"X",46.146,47.411,2.85,"Class2","L",71
63.94,7.248,59,8.664,47.704,50.056,"U",71.444,55.808,26.111,"Class4","R",26
30.468,8.91,31,8.579,55.374,49.021,"M",72.788,62.44,83.734,"Class4","N",27
52.634,42.919,10,11.131,41.194,50.119,"O",38.291,38.493,10.022,"Class2","I",68
73.285,29.402,50,57.64,37.764,34.453,"W",88.748,82.419,49.449,"Class1","A",75
90.203,15.45,29,47.293,91.701,54.968,"H",67.696,19.104,65.163,"Class3","F",73
37.364,44.449,22,48.953,45.215,31.814,"W",86.309,81.927,31.324,"Class1","S",81
27.12,2.33,11,7.859,29.75,55.955,"O",72.083,95.641,58.563,"Class4","V",36
38.218,58.175,48,51.03,28.996,36.56,"U",85.563,83.188,42.16,"Class1","Y",82
48.149,50.916,43,57.733,41.779,10.499,"U",88.02,82.932,50.042,"Class1","S",28
91.042,44.429,20,65.07,90.822,12.616,"P",30.322,19.387,63.606,"Class3","F",85
48.196,3.788,61,8.649,46.884,40.922,"U",71.453,69.517,66.567,"Class4","N",13
0.784,0.325,31,7.602,41.081,76.536,"S",72.445,53.592,82.593,"Class4","A",55
63.175,1.799,28,8.138,56.078,63.189,"S",72.596,97.871,18.624,"Class4","N",53
34.166,3.331,21,8.926,33.074,50.204,"M",72.981,79.459,37.539,"Class4","E",52
48.313,72.745,1,70.15,39.309,5.08,"Q",38.169,31.648,8.995,"Class2","U",48
61.787,49.764,2,61.718,43.177,78.205,"Q",39.903,31.55,5.677,"Class2","U",48
12.049,76.72,70,76.423,74.029,21.081,"N",42.755,60.825,65.507,"Class5","D",51
14.062,1.973,35,7.218,46.584,49.615,"M",71.21,86.409,72.155,"Class4","E",48
56.272,58.809,20,18.227,43.328,34.005,"N",41.507,23.328,9.559,"Class2","P",77
26.355,62.111,70,8.077,70.907,30.05,"S",35.903,78.785,23.67,"Class5","Y",61
40.315,55.746,5,56.742,41.539,73.365,"N",43.17,58.813,3.106,"Class2","P",57
41.4,22.392,18,43.116,38.654,64.848,"W",86.922,83.351,38.07,"Class1","Y",16
24.966,84.556,64,54.295,78.535,27.831,"F",41.989,59.459,34.209,"Class5","T",56
51.203,85.534,13,11.568,41.857,39.404,"Q",46.646,87.708,12.258,"Class2","U",56
23.483,52.158,63,36.281,63.445,32.297,"S",33.183,34.621,52.718,"Class5","X",NA
35.974,55.452,26,43.409,30.774,35.663,"L",85.73,81.799,53.294,"Class1","S",62
45.733,30.549,29,43.56,40.102,1.408,"W",86.163,82.875,51.408,"Class1","M",16
