"LKQ1","Output19","WVR2","KLZ3","VEO4","EWA5","AWO6","HJY7","WUI8","LGQ9","UIV10"
73,"Class1",70.8,75.228,76.986,41.415,36.093,"W",36.226,29.376,55
65,"Class1",27.147,76.956,74.637,36.73,36.45,"B",57.275,50.096,62
68,"Class1",37.306,79.969,75.412,49.066,31.429,"W",50.199,99.7,63
26,"Class2",86.387,16.072,94.067,65.689,15.206,"K",12.867,83.444,61
69,"Class1",56.502,80.385,76.539,25.426,28.558,"Q",57.094,33.859,63
79,"Class3",86.235,17.574,73.949,71.726,43.589,"A",87.156,33.136,30
32,"Class2",88.66,13.945,81.259,67.047,27.187,"P",21.443,68.951,62
56,"Class1",63.193,80.019,76.934,21.272,26.497,"B",36.168,29.14,56
78,"Class3",53.839,17.141,69.433,70.225,43.937,"T",89.767,40.271,17
77,"Class3",48.521,15.171,85.696,67.463,39.53,"E",85.393,41.726,34
78,"Class3",31.134,16.242,67.368,65.556,49.034,"U",94.817,29.292,34
58,"Class1",62.037,74.419,75.601,12.15,25.946,"C",6.53,78.185,63
63,"Class1",17.758,79.513,76.359,57.061,24.534,"B",29.024,44.03,55
70,"Class1",36.027,74.557,76.216,53.445,35.883,"Q",33.486,18.165,58
73,"Class3",40.651,16.731,71.959,67.126,26.023,"R",93.434,31.738,51
47,"Class1",50.909,78.496,74.827,42.96,37.807,"X",47.42,87.38,56
78,"Class3",84.758,17.492,84.241,64.84,36.522,"U",84.276,34.94,39
73,"Class1",49.714,73.483,74.33,54.061,24.453,"C",21.822,19.993,55
55,"Class1",15.778,80.922,76.851,39.899,36.309,"X",15.028,3.651,62
49,"Class1",72.986,73.529,76.555,45.634,32.955,"Q",52.214,28.804,60
55,"Class2",86.122,11.716,67.056,66.109,9.521,"P",16.535,76.05,61
63,"Class2",90.182,15.403,49.63,66.42,4.326,"F",18.312,62.522,60
38,"Class2",87.649,9.584,81.355,66.822,3.591,"K",34.705,79.943,61
52,"Class2",87.473,34.368,47.487,68.669,20.023,"P",42.085,74.377,61
51,"Class2",88.769,31.693,97.04,65.798,20.992,"K",17.653,73.919,61
76,"Class3",46.349,16.797,69.974,68.192,26.806,"U",88.355,24.033,46
76,"Class3",73.64,15.649,75.936,70.934,39.407,"E",88.598,28.55,24
62,"Class2",88.803,16.341,61.499,66.603,13.259,"F",26.795,74.215,64
75,"Class3",47.557,17.409,91.231,65.998,47.443,"R",91.704,28.461,30
59,"Class1",68.743,80.3,75.757,22.236,28.817,"Q",68.978,56.449,55
72,"Class1",64.292,76.162,75.152,60.653,30.607,"W",71.286,64.538,60
74,"Class1",47.497,75.172,74.905,29.538,15.504,"B",55.269,15.714,61
55,"Class2",90.102,9.32,84.445,66.681,2.508,"R",28.678,88.108,60
69,"Class1",25.383,76.597,76.546,33.381,29.003,"X",62.908,32.16,62
61,"Class2",87.62,13.313,27.645,67.427,30.03,NA,20.701,81.627,60
79,"Class3",74.635,17.564,68.09,67.189,43.439,"U",94.581,36.943,28
59,"Class1",38.459,75.448,74.208,23.665,26.023,"B",37.594,28.857,63
30,"Class2",86.429,10.587,90.333,67.972,14.493,"R",27.118,68.149,62
30,"Class2",89.963,31.252,25.192,66.501,22.38,"N",28.162,80.914,63
61,"Class1",32.955,79.19,74.202,53.846,28.476,"W",102.109,49.432,60
78,"Class3",26.096,NA,68.764,75.69,34.953,"A",83.214,23.922,35
46,"Class1",31.127,78.913,76.175,45.737,30.109,"C",19.337,39.5,59
59,"Class1",57.67,73.23,76.185,24.831,29.384,"X",25.444,73.481,62
76,"Class3",42.279,15.825,72.465,66.305,39.168,"T",87.974,38.153,21
75,"Class3",38.371,15.99,75.132,68.348,38.434,"U",79.955,38.071,28
53,"Class1",42.802,79.36,75.964,35.149,23.614,"Q",53.7,25.17,64
50,"Class1",55.255,74.126,74.49,23.663,28.907,"C",54.445,39.716,58
62,"Class2",90.854,35.251,63.032,66.205,24.81,"N",22.964,80.481,61
48,"Class1",20.588,80.085,76.551,41.486,26.821,"W",47.103,31.068,62
63,"Class1",61.534,79.33,76.84,12.376,35.58,"X",50.138,29.624,60
76,"Class3",80.559,17.17,89.34,64.773,51.238,"U",91.23,29.921,27
78,"Class3",25.179,16.82,86.677,66.551,46.377,"A",90.113,28.91,47
49,"Class1",34.581,78.676,74.946,44.78,40.766,"B",42.418,66.544,60
78,"Class3",54.115,16.481,82.216,68.652,38.102,"R",85.858,37.775,26
44,"Class2",86.639,36.595,28.469,66.327,32.606,"K",19.873,74.037,61
79,"Class3",24.178,15.284,79.721,65.455,44.126,"T",87.926,24.596,20
63,"Class1",50.011,76.894,76.81,15.109,31.051,"B",34.583,67.299,59
46,"Class2",88.296,39.335,72.108,67.528,10.069,"R",31.682,64.089,59
78,"Class3",68.333,15.887,73.236,69.319,52.033,"R",92.075,44.542,13
74,"Class3",42.105,15.783,93.792,63.883,38.389,"A",92.475,32.345,13
73,"Class3",83.97,16.766,70.013,64.446,40.707,"R",84.078,32.878,23
54,"Class1",62.913,79.084,75.538,37.504,23.874,"B",9.726,30.614,57
28,"Class2",88.254,9.315,99.473,66.963,28.767,"P",34.087,72.323,61
47,"Class1",27.776,77.772,76.14,34.899,32.73,"Q",65.949,55.267,57
74,"Class3",60.045,16.814,83.378,75.165,55.552,"U",92.438,36.067,34
56,"Class1",61.569,73.32,76.313,26.783,27.114,NA,28.171,82.3,58
46,"Class1",57.541,75.209,76.461,49.216,27.427,"Q",19.871,50.272,60
35,"Class2",87.653,19.187,52.815,65.871,19.657,"K",19.485,73.514,61
46,"Class2",90.118,21.979,67.184,65.738,8.428,"P",24.833,82.759,58
75,"Class3",24.063,16.093,67.38,72.163,40.468,"R",88.298,32.844,25
49,"Class1",67.225,74.768,76.884,33.069,30.058,"Q",59.706,26.537,61
63,"Class2",87.086,12.61,46.793,68.693,37.62,"N",30.327,55.814,61
78,"Class3",40.463,16.547,68.414,66.73,45.925,"R",82.375,37.742,42
74,"Class3",47.917,NA,67.281,71.878,44.09,"T",82.883,38.807,43
38,"Class2",89.269,28.97,52.89,66.3,11.986,"R",16.954,85.677,58
78,"Class3",69.805,16.65,70.876,72.633,43.574,"U",84.891,27.579,35
75,"Class3",86.85,16.489,79.128,67.003,35.736,"R",89.371,39.622,39
48,"Class1",53.005,73.617,76.774,50.835,26.042,"C",98.835,32.581,62
45,"Class2",90.696,26.484,37.869,65.779,27.625,"N",21.538,73.702,58
73,"Class3",39.325,16.348,74.68,69.3,38.759,"A",78.922,25.745,33
45,"Class2",87.261,24.261,60.553,68.074,21.245,"N",27.824,74.892,58
48,"Class1",15.657,79.084,76.496,34.198,30.946,"W",51.522,10.311,63
60,"Class1",61.304,74.968,76.903,17.607,28.292,"X",19.419,51.094,61
28,"Class2",87.95,16.63,62.837,65.498,41.075,"R",25.62,78.966,60
66,"Class2",89.331,39.299,46.661,67.675,8.648,"K",9.364,80.298,63
67,"Class2",88.987,15.484,94.498,66.332,4.819,"K",26.088,82.498,58
36,"Class2",86.108,15.877,62.127,66.541,34.02,"K",24.199,83.292,61
78,"Class3",21.343,16.845,93.139,66.872,41.122,"T",88.165,36.446,47
73,"Class3",64.641,16.516,69.019,70.508,45.334,"R",84.452,28.842,50
42,"Class2",89.474,21.762,63.006,63.865,28.278,"F",44.934,67.143,64
38,"Class2",88.725,23.783,48.886,66.102,15.912,"R",19.322,55.233,62
71,"Class1",63.834,79.147,74.057,47.379,27.68,"W",23.102,6.494,64
61,"Class2",90.036,16.676,53.849,65.674,35.155,"F",17.814,55.072,63
53,"Class1",33.322,79.051,74.005,45.962,30.101,"W",38.965,50.757,62
47,"Class2",88.635,39.022,82,65.596,-1.87,"P",29.307,63.113,64
74,"Class1",17.475,NA,76.027,49.92,31.373,"C",-4.025,13.022,59
63,"Class2",86.859,40.853,35.294,65.925,22.968,"P",13.337,80.523,60
65,"Class2",86.074,34.729,30.367,67.605,22.82,"R",2.078,58.396,58
51,"Class1",32.732,75.425,75.657,5.866,31.761,"B",52.444,36.988,64
58,"Class1",63.574,73.189,76.192,32.361,25.16,"Q",73.087,27.965,56
54,"Class1",14.56,76.699,76.574,38.154,36.446,NA,66.24,82.002,59
49,"Class2",88.743,40.309,96.305,67.403,24.262,"R",26.693,69.976,60
65,"Class1",29.536,80.961,75.395,21.973,21.171,"Q",11.03,29.143,63
79,"Class3",45.511,16.196,86.278,72.863,48.586,"T",86.517,35.322,30
48,"Class1",49.855,75.134,76.414,25.447,25.767,"Q",36.444,44.483,57
74,"Class3",64.865,16.566,80.323,67.768,46.574,"R",85.588,42.167,30
47,"Class1",38.612,79.847,76.522,53.467,30.309,"B",58.947,35.881,62
69,"Class1",18.801,NA,76.95,47.315,32.006,"C",57.246,67.026,58
74,"Class3",52.8,17.768,91.979,63.967,34.864,"T",87.357,40.865,48
70,"Class1",40.547,79.778,74.781,13.338,32.149,"W",45.45,18.008,64
50,"Class1",48.228,76.668,74.313,25.206,26.59,"C",49.401,42.989,55
60,"Class1",44.38,79.723,76.176,10.319,38.032,"Q",90.212,51.771,56
36,"Class2",86.972,6.822,49.982,66.529,4.647,"R",18.91,74.619,62
67,"Class1",27.462,77.986,74.014,37.462,23.325,"B",53.835,-10.499,61
69,"Class1",70.349,74.808,75.832,30.293,30.818,"X",6.969,31.267,60
80,"Class3",31.483,16.068,73.02,62.059,46.586,NA,83.552,30.381,28
57,"Class2",89.698,5.768,60.816,67.256,16.738,"K",17.061,85.148,60
74,"Class3",71.517,16.495,72.622,64.665,45.436,"R",90.072,43.177,15
43,"Class2",89.928,5.056,42.648,66.186,5.706,"N",24.848,88.468,58
73,"Class3",83.831,16.265,79.133,70.584,33.885,"E",89.874,32.394,50
74,"Class3",82.418,17.432,87.513,71.022,37.921,"T",88.78,29.973,31
52,"Class2",86.756,21.138,56.846,66.663,4.884,"K",21.556,88.425,60
74,"Class3",62.297,16.935,73.312,70.521,37.345,"T",85.897,31.396,44
67,"Class1",17.459,80.445,76.34,46.066,27.618,"X",42.212,1.697,64
78,"Class3",32.725,15.437,70.667,69.608,52.227,"T",94.218,40.351,49
78,"Class3",46.117,17.037,80.745,69.447,52.856,"T",85.932,34.168,31
80,"Class3",65.615,17.094,90.657,68.954,43.531,"R",81.781,29.733,23
54,"Class1",12.49,73.313,75.787,22.831,33.578,"W",39.243,36.354,58
51,"Class2",90.953,15.316,31.309,66.705,9.635,"P",24.253,93.487,63
47,"Class1",21.259,79.152,75.039,31.162,28.876,"Q",19.522,13.931,61
51,"Class1",56.494,73.215,75.159,30.55,31.004,"X",78.69,24.971,57
64,"Class1",62.699,74.297,76.494,18.175,20.373,"B",63.452,31.534,55
70,"Class1",47.31,80.319,75.541,38.559,22.021,NA,79.202,38.384,62
65,"Class2",89.197,20.138,87.34,68.452,24.602,"P",18.299,80.532,58
73,"Class3",50.399,17.867,89.622,65.277,51.904,"A",88.205,40.811,15
47,"Class2",87.8,13.45,54.821,65.201,-4.254,"P",15.54,74.338,59
65,"Class1",39.975,80.378,76.13,13.966,29.445,"Q",82.08,42.482,60
64,"Class2",90.619,32.673,64.124,66.098,26.819,NA,24.159,73.175,60
30,"Class2",88.685,7.786,45.83,67.668,28.56,"N",36.71,52.366,62
51,"Class1",16.235,NA,76.341,43.773,31.65,"W",47.711,21.066,64
68,"Class1",20.217,78.203,74.619,46.525,34.332,"C",54.909,77.632,55
69,"Class1",41.244,74.45,74.016,4.664,31.468,"C",68.301,24.257,58
26,"Class2",88.265,30.912,56.436,65.302,21.486,"P",40.767,73.252,61
38,"Class2",89.324,32.152,57.182,66.689,20.316,"K",27.749,61.135,64
27,"Class2",87.405,NA,50.314,66.396,17.251,"R",16.391,95.009,62
53,"Class1",58.114,79.354,74.7,2.739,23.629,"Q",93.28,81.16,64
58,"Class1",23.657,79.366,76.131,29.924,32.108,"W",75.012,61.715,62
75,"Class3",41.344,16.634,67.553,60.98,40.579,"T",87.761,38.795,51
35,"Class2",89.791,22.211,67.975,65.779,16.036,"P",26.846,70.396,62
68,"Class1",56.642,75.936,75.785,76.112,22.519,"B",30.902,28.197,60
36,"Class2",89.981,18.173,87.986,65.85,6.403,"F",15.254,73.426,59
63,"Class2",87.749,38.541,51.948,66.822,17.422,"P",18.875,77.083,64
66,"Class1",22.491,73.54,75.648,24.914,30.508,"B",15.426,37.17,57
55,"Class1",32.3,74.664,75.97,53.658,19.451,"Q",46.519,31.171,57
36,"Class2",89.026,39.236,72.642,67.272,18.429,"R",16.928,79.011,58
76,"Class3",36.767,15.522,85.362,74.014,36.08,"A",86.698,24.508,48
69,"Class2",89.29,38.288,36.624,66.688,25.695,NA,13.349,69.759,62
70,"Class1",57.829,73.253,76.551,53.682,24.706,"Q",41.855,11.441,56
49,"Class2",88.02,5.637,39.878,67.989,4.83,"K",20.016,71.593,59
74,"Class3",74.281,17.61,78.904,63.164,49.797,"T",83.769,36.202,31
80,"Class3",69.942,17.065,81.226,72.65,43.435,"A",79.015,29.83,27
38,"Class2",89.025,28.481,29.811,64.572,20.863,"N",35.113,64.055,59
79,"Class3",35.952,17.334,78.594,72.939,53.651,"R",90.643,34.496,51
52,"Class1",57.479,73.681,76.758,14.613,25.155,"Q",35.267,60.772,57
77,"Class3",83.358,16.561,68.143,62.994,41.681,"T",83.455,29.9,38
69,"Class2",89.347,4.812,25.743,68.298,15.121,"F",28.417,78.006,61
61,"Class1",41.583,80.044,74.538,26.938,38.309,"X",18.084,31.042,64
69,"Class1",22.499,75.03,76.874,33.172,28.533,"W",68.476,-37.825,55
79,"Class3",44.805,NA,79.45,66.667,48.645,"U",91.109,28.343,41
53,"Class2",88.719,12.333,50.134,66.326,7.836,"N",23.167,59.435,61
79,"Class3",24.878,16.795,67.664,73.765,33.84,"A",95.249,36.254,36
73,"Class3",33.544,NA,88.449,66.789,32.749,NA,91.832,37.657,15
43,"Class2",90.056,35.713,51.271,66.413,16.614,"N",24.943,77.736,60
78,"Class3",42.687,17.462,85.409,70.217,49.534,"U",80.317,29.596,29
52,"Class1",57.754,78.397,76.74,22.593,31.06,"W",47.401,2.022,58
60,"Class2",89.013,25.281,79.458,64.304,29.891,"F",19.255,57.083,64
34,"Class2",86.452,33.136,25.382,66.117,8.869,"R",17.984,70.983,59
63,"Class1",39.051,74.499,75.382,68.78,26.537,"Q",97.4,79.517,56
64,"Class2",87.563,34.474,74.002,67.338,10.112,"N",27.422,69.417,60
60,"Class2",89.859,16.522,29.727,65.407,3.37,"R",22.706,80.075,63
77,"Class3",45.978,17.049,86.316,74.487,52.955,"U",83.649,32.606,30
57,"Class1",46.951,74.224,76.409,41.722,29.553,"X",5.857,9.347,60
77,"Class3",79.618,15.15,79.52,70.518,43.779,"R",98.515,28.753,51
50,"Class1",48.556,76.156,74.17,24.95,29.386,"Q",68.733,53.451,59
51,"Class2",88.606,15.596,59.432,67.072,21.545,"P",29.541,68.904,61
57,"Class2",87.135,9.143,89.238,68.082,10.657,"K",28.146,55.531,63
75,"Class3",27.552,15.649,69.942,75.881,35.777,"R",83.226,25.114,49
49,"Class1",12.907,74.225,74.676,29.871,29.958,"Q",46.42,31.686,60
55,"Class1",55.191,76.948,76.122,15.938,27.103,"C",29.129,43.051,60
51,"Class2",87.986,31.125,47.322,69.43,24.569,"R",24.476,60.534,58
69,"Class2",87.754,35.065,62.517,67.369,6.274,"K",21.279,70.446,63
64,"Class1",34.471,74.375,76.245,56.22,23.481,"C",49.767,25.771,56
47,"Class2",89.367,9.263,87.441,67.437,12.37,"F",30.872,74.95,63
73,"Class3",60.233,15.691,73.52,69.276,57.998,"E",88.384,29.467,30
74,"Class1",25.681,80.076,75.285,53.813,24.063,"C",6.153,13.866,55
79,"Class3",29.819,15.807,90.143,72.789,45.26,"U",87.653,34.797,22
30,"Class2",89.758,34.502,75.071,67.448,11.963,"N",25.621,75.163,58
58,"Class1",42.442,79.796,75.959,20.597,32.25,"W",55.057,63.732,57
46,"Class1",34.387,77.32,75.676,22.941,27.634,"C",67.365,73.693,55
45,"Class2",89.392,10.507,43.471,65.544,-10.544,"K",19.145,75.455,64
63,"Class2",89.822,24.534,80.799,66.249,21.479,"P",26.248,74.495,62
69,"Class1",60.183,75.696,75.953,7.894,28.267,"Q",29.252,27.132,57
53,"Class1",61.584,80.287,75.089,18.057,36.308,"C",-21.564,-6.491,59
74,"Class3",23.144,15.47,88.707,65.829,40.469,"T",84.062,41.994,36
27,"Class2",87.384,40.69,38.18,67.507,17.423,"R",34.115,73.327,58
67,"Class2",90.306,35.778,85.833,65.372,26.7,"K",15.166,69.261,62
76,"Class3",27.846,15.6,71.693,66.171,44.148,"E",94.626,33.641,21
59,"Class1",13.749,77.688,75.843,35.676,26.308,"C",60.745,65.469,60
78,"Class3",63.018,15.558,75.673,67.46,47.105,"U",88.97,24.654,33
63,"Class1",33.191,73.384,74.983,25.334,22.858,"Q",7.349,33.403,63
75,"Class3",73.877,NA,78.464,69.591,50.87,"R",82.463,30.9,23
66,"Class1",33.327,NA,74.404,8.049,35.047,"Q",100.399,19.281,60
74,"Class3",64.16,17.808,93.208,67.443,40.951,NA,82.82,31.003,19
26,"Class2",89.578,9.612,57.351,67.235,23.69,"K",20.708,77.714,64
73,"Class3",66.095,17.483,85.502,59.665,54.433,"U",85.554,37.602,42
72,"Class1",59.641,76.009,75.155,27.306,32.886,"W",39.762,31.084,60
77,"Class3",83.546,15.849,72.147,67.903,47.379,"E",79.93,35.324,23
26,"Class2",88.071,31.27,98.63,66.527,6.966,"N",22.824,61.86,59
45,"Class2",88.799,NA,27.671,66.256,10.754,"K",20.995,66.741,64
76,"Class3",26.718,15.484,83.501,66.657,41.352,"U",82.238,25.878,37
36,"Class2",87.243,38.333,88.713,68.166,23.693,"R",18.873,80.894,62
68,"Class1",50.637,74.787,76.38,44.559,35.903,"B",16.103,59.335,64
32,"Class2",88.605,40.46,70.058,66.739,14.079,"K",6.302,81.103,63
32,"Class2",86.915,12.333,54.325,66.189,19.491,"N",18.623,82.112,63
52,"Class2",86.169,9.077,82.913,64.93,7.717,"R",34.674,67.75,61
78,"Class3",65.945,17.627,71.65,66.826,50.415,"R",79.107,33.472,46
46,"Class1",27.896,NA,75.588,32.595,29.023,"B",38.542,64.478,55
64,"Class2",88.453,25.497,33.726,66.272,19.697,"K",25.498,75.114,63
79,"Class3",40.379,16.852,83.977,69.817,42.422,"R",85.339,28.018,32
79,"Class3",52.184,15.065,74.983,62.646,45.841,"E",83.433,29.295,38
80,"Class3",39.654,17.857,85.133,67.856,37.078,"R",90.789,31.552,37
67,"Class2",87.086,13.04,88.13,66.535,27.014,"R",35.194,79.623,58
76,"Class3",86.412,15.117,68.365,69.645,36.983,"R",81.423,39.882,25
51,"Class2",87.972,39.328,51.381,65.823,4.628,"R",19.767,79.608,61
68,"Class2",86.676,20.593,78.177,66.47,27.874,"P",11.837,71.228,61
38,"Class2",89.672,12.201,79.032,67.497,-2.208,"P",22.649,68.151,59
38,"Class2",90.547,29.563,59.608,66.407,19.752,"R",26.931,78.134,60
77,"Class3",60.744,16.131,82.774,63.117,37.972,"E",86.121,30.911,29
66,"Class2",90.511,28.776,82.112,66.646,15.216,"R",29.906,64.463,60
76,"Class3",28.759,17.249,82.873,65.778,45.761,"A",83.439,16.327,40
31,"Class2",89.364,5.806,44.525,65.948,14.125,"P",9.526,79.991,60
46,"Class1",50.434,78.075,75.097,26.63,30.941,"B",69.321,24.468,57
63,"Class2",89.338,6.431,37.645,66.608,4.094,"P",21.135,73.806,62
60,"Class2",87.469,13.21,78.145,66.768,41.381,"R",33.685,77.845,59
74,"Class3",41.089,16.733,76.873,67.735,46.543,"A",81.742,47.242,14
79,"Class3",43.391,16.42,70.675,63.571,19.341,"A",85.717,23.699,30
39,"Class2",88.754,18.574,49.672,65.368,11.985,"K",17.818,74.434,64
76,"Class3",84.474,16.072,71.888,75.9,35.904,"A",84.354,33.828,30
46,"Class2",87.387,13.287,44.689,65.824,31.11,"F",15.35,61.141,58
27,"Class2",90.857,38.684,69.217,68.491,28.157,"R",28.156,75.471,59
73,"Class3",62.592,15.057,74.576,67.71,39.94,"E",86.944,45.986,45
74,"Class3",36.143,15.979,84.246,61.504,42.534,"A",84.898,31.088,24
61,"Class2",90.442,16.059,79.156,64.677,12.168,"P",17.369,72.468,61
56,"Class2",87.229,29.153,92.733,64.469,22.764,"N",21.496,79.182,60
72,"Class1",14.722,73.633,76.656,56.727,25.939,"Q",59.99,52.737,55
52,"Class1",17.273,78.32,76.468,42.185,34.211,"Q",22.92,45.169,60
38,"Class2",89.991,20.841,85.213,65.195,18.959,"N",19.887,59.767,64
75,"Class3",43.17,17.886,92.74,69.306,36.853,"U",86.077,26.439,14
38,"Class2",86.187,12.207,72.957,67.923,1.226,"K",23.658,82.315,62
79,"Class3",81.502,15.45,89.83,64.414,52.844,"E",89.747,37.084,20
67,"Class2",89.77,25.61,84.118,66.518,22.912,"K",24.73,74.44,60
31,"Class2",86.973,10.245,26.202,65.356,17.719,NA,20.763,68.262,60
64,"Class2",88.826,19.126,45.965,65.682,20.822,"N",18.2,72.397,59
49,"Class2",90.557,NA,39.98,65.965,23.841,"R",25.489,67.957,60
78,"Class3",35.58,16.029,80.932,65.371,47.512,"E",96.012,30.073,47
76,"Class3",26.851,15.516,78.082,77.022,47.744,"R",91.051,40.108,35
58,"Class1",27.33,76.282,76.239,36.716,21.309,"W",46.03,4.912,61
45,"Class2",86.582,17.391,99.105,65.905,11.021,"F",3.178,81.953,61
42,"Class2",87.142,16.158,28.59,67.962,30.404,"K",18.397,69.461,62
79,"Class3",36.574,17.765,77.737,68.588,48.522,"R",81.204,33.637,13
73,"Class3",69.355,15.44,78.378,68.146,32.666,"T",87.442,37.285,25
60,"Class1",17.468,74.853,75.362,33.872,29.107,"B",16.594,64.264,58
64,"Class2",86.61,35.533,78.045,66.664,17.657,"K",13.17,72.249,63
71,"Class1",30.005,76.362,74.348,42.435,22.723,"W",3.309,50.307,58
58,"Class1",50.297,80.445,75.898,28.817,36.451,"Q",26.109,33.079,60
72,"Class1",15.443,77.432,74.239,5.466,25.405,"W",96.005,46.46,64
64,"Class1",46.82,78.93,76.328,46.518,39.481,"W",34.818,57.708,62
32,"Class2",90.854,21.56,70.882,67.42,-4.199,"P",24.61,73.304,61
47,"Class2",88.621,39.072,55.383,67.013,11.02,NA,19.892,79.034,59
62,"Class1",50.353,76.235,75.731,44.518,29.371,"C",14.173,22.254,57
55,"Class1",32.276,75.381,76.496,22.171,35.328,NA,12.829,81.783,64
58,"Class1",39.853,75.424,75.389,42.471,35.794,"Q",41.949,-17.704,63
77,"Class3",43.648,15.228,75.548,72.335,40.46,"R",84.897,37.162,20
80,"Class3",59.456,15.607,71.246,66.461,47.649,"U",85.99,38.59,46
74,"Class3",28.382,17.586,92.461,58.96,39.526,"A",85.67,35.946,33
55,"Class2",89.492,13.911,97.238,68.645,17.483,"K",21.697,70.179,58
73,"Class3",44.109,16.268,79.105,64.121,44.166,"A",81.492,29.84,19
53,"Class1",36.552,74.856,74.541,48.834,28.447,"Q",58.251,45.891,58
73,"Class1",68.134,77.348,74.977,37.998,27.387,"B",86.013,33.705,58
58,"Class2",89.758,34.903,64.702,64.831,22.769,"K",22.551,83.329,61
31,"Class2",89.147,31.95,90.925,66.39,10.548,"P",20.752,71.802,61
76,"Class3",28.638,16.778,72.175,72.352,31.639,"R",86.027,36.072,29
63,"Class2",88.48,28.957,67.894,65.698,7.624,"F",18.14,72.885,60
38,"Class2",89.375,31.331,55.607,66.201,17.725,"R",13.264,66.516,59
77,"Class3",64.993,16.28,76.731,64.119,50.32,"T",87.5,42.4,35
80,"Class3",60.939,15.566,69.477,60.495,47.512,"A",93.943,35.582,20
40,"Class2",86.397,21.193,36.326,67.285,7.141,"K",23.319,71.361,60
73,"Class3",40.19,15.2,87.919,68.289,45.628,"U",87.714,35.645,29
73,"Class1",22.585,78.53,74.934,29.988,30.173,"X",72.053,31.427,58
65,"Class1",71.528,76.664,75.899,22.778,31.781,"X",74.646,26.586,64
67,"Class1",68.395,79.531,75.098,39.13,31.238,"B",14.716,18.642,57
76,"Class3",65.89,16.272,79.466,69.185,49.698,"T",84.968,34.88,14
46,"Class2",87.754,NA,38.711,66.887,17.147,"K",21.433,68.258,62
44,"Class2",88.906,20.686,27.353,65.232,21.221,"P",16.883,60.084,59
41,"Class2",90.785,14.955,95.022,65.702,15.809,"N",20.722,67.239,60
74,"Class3",71.099,17.058,65.336,76.092,41.972,"E",85.681,26.221,17
75,"Class3",64.725,15.459,77.741,71.144,53.194,"A",89.835,32.612,43
68,"Class2",86.854,32.031,36.109,64.652,19.42,"F",23.425,82.944,63
80,"Class3",74.667,NA,74.026,68.491,52.1,"T",83.429,29.528,21
73,"Class1",72.588,74.452,74.001,12.959,31.351,"X",101.143,5.731,62
78,"Class3",42.895,17.571,66.151,71.808,56.32,"T",88.799,26.395,44
53,"Class2",90.011,8.467,84.746,67.595,15.763,"R",22.572,77.726,63
57,"Class1",57.457,80.867,76.576,27.603,33.408,"C",75.192,26.606,61
54,"Class1",53.082,75.547,74.352,9.639,34.778,"W",1.689,9.495,58
73,"Class3",67.83,16.541,82.148,69.516,45.064,"U",80.63,37.164,33
66,"Class1",58.983,75.626,76.79,33.443,33.87,"B",27.517,42.364,59
78,"Class3",56.962,15.088,71.857,66.194,46.093,"E",92.106,37.495,21
46,"Class1",37.676,80.806,75.633,38.391,25.073,"X",70.466,79.392,62
33,"Class2",87.317,36.823,30.301,67.051,29.909,"N",21.968,75.698,61
75,"Class3",56.496,15.814,90.45,69.456,48.111,"T",85.831,33.587,17
56,"Class1",20.244,77.085,74.394,40.251,27.715,"X",42.942,24.141,62
59,"Class2",86.595,32.887,31.399,66.895,14.353,"F",10.745,76.414,63
74,"Class3",39.761,16.423,87.385,66.786,48.832,"A",96.217,32.2,45
53,"Class2",90.662,16.892,89.064,67.462,20.929,"P",25.358,76.223,64
50,"Class2",89.159,10.522,50.958,65.775,18.622,"P",25.708,83.562,62
74,"Class3",52.331,17.661,75.988,67.261,48.971,"A",83.005,24.567,30
74,"Class3",86.139,15.21,88.419,71.286,40.915,"E",90.239,27.382,27
66,"Class2",88.532,8.419,31.021,66.821,41.658,"R",27.787,79.787,59
80,"Class3",70.706,17.579,75.232,63.143,53.138,"R",84.488,23.62,44
49,"Class1",25.037,75.866,76.802,20.287,24.072,"B",29.79,32.141,64
44,"Class2",89.62,20.672,74.418,66.248,16.623,"R",24.128,71.452,61
69,"Class1",21.398,73.777,76.191,30.268,28.227,"B",53.848,52.611,62
76,"Class3",44.099,15.518,66.354,68.654,41.316,"A",91.647,40.073,45
72,"Class1",71.616,76.61,75.327,45.882,22.647,"B",67.172,47.455,59
50,"Class2",87.21,NA,32.47,67.193,14.882,"K",35.684,87.775,61
60,"Class1",38.378,78.09,75.152,40.048,30.653,"B",20.505,45.847,60
78,"Class3",42.835,16.343,65.532,74.476,42.39,"R",87.947,27.304,25
75,"Class3",28.597,15.953,69.395,66.428,47.096,"A",92.365,38.768,45
79,"Class3",71.175,15.594,91.274,73.959,38.108,"A",88.518,35.859,24
68,"Class2",87.549,29.768,56.375,66.729,24.286,"F",14.288,73.957,59
56,"Class1",42.453,78.663,76.079,17.727,39.019,"B",17.359,34.523,63
73,"Class3",28.102,16.169,68.98,71.891,40.163,"U",84.896,25.335,38
73,"Class3",84.559,16.124,72.788,68.384,34.898,"R",93.763,38.178,43
73,"Class3",65.545,16.922,83.241,62.885,32.574,"A",87.74,25.76,48
64,"Class2",86.592,36.928,63.212,66.55,11.71,"P",20.306,81.194,62
47,"Class2",88.518,30.641,83.88,68.468,16.788,"N",19.404,76.97,60
79,"Class3",68.077,17.328,74.524,64.774,42.078,"E",90.859,33.051,13
