"UAZ1","IMG2","POB3","GLF4","HMU5","LVK6","RYA7","NVU8","Output21","PWB9","JCR10","OTJ11"
"O",81,58.508,38.454,38.844,19,18.514,NA,"Class3",83.215,52.092,30.906
"T",13,82.048,92.99,72.381,39,84.873,13.903,"Class4",88.991,38.845,31.959
"I",44,65.302,14.308,92.617,52,77.189,80.147,"Class5",31.834,27.697,34.014
"Z",13,88.52,66.34,NA,38,87.463,16.967,"Class4",87.636,56.428,39.286
"O",80,52.21,6.638,38.41,13,18.999,68.188,"Class3",77.599,47.508,30.218
"B",79,26.894,24.293,94.316,74,87.73,45.945,"Class1",35.613,61.384,95.487
"W",43,104.276,24.202,91.112,58,71.373,80.919,"Class5",31.315,32.695,25.224
"T",12,83.394,90.529,76.497,38,87.115,-5.68,"Class4",69.091,50.358,39.882
"I",21,25.599,19.78,86.553,58,71.724,54.32,"Class1",34.571,60.321,42.525
"T",26,84.757,69.503,NA,41,82.657,32.552,"Class4",93.448,65.055,34.412
"J",56,26.507,12.48,63.614,80,19.385,45.041,"Class1",42.639,61.144,75.907
"M",25,59.726,24.705,89.261,63,77.205,79.936,"Class5",28.654,48.13,29.407
"D",84,45.022,10.303,36.019,18,18.366,21.895,"Class3",71.01,76.7,30.335
"F",9,84.471,88.994,65.06,43,85.49,24.493,"Class4",85.771,57.186,27.543
"I",30,67.285,32.527,87.862,65,39.426,81.7,"Class5",30.051,79.143,28.511
"S",63,74.49,30.057,86.466,65,53.137,80.378,"Class5",27.563,46.383,36.879
"I",74,25.51,20.389,71.651,71,42.346,64.858,"Class1",32.286,58.855,22.14
"M",31,37.343,39.247,91.397,60,46.473,80.811,"Class5",27.374,52.395,36.73
"O",76,35.685,40.894,47.75,17,18.753,19.627,"Class3",80.048,19.998,29.354
"Z",71,84.185,90.379,76.488,28,88.031,39.209,"Class4",92.866,35.636,28.782
"F",37,84.107,92.004,66.186,38,85.956,20.339,"Class4",97.55,38.12,43.914
"T",54,84.332,92.647,79.222,44,85.523,27.523,"Class4",83.286,62.23,27.752
"B",66,25.385,15.2,66.379,58,47.829,56.9,"Class1",37.745,59.891,72.916
"M",74,28.923,17.473,29.079,11,17.684,32.565,"Class3",69.388,52.409,29.806
"O",61,72.415,50.707,58.952,29,8.015,5.194,"Class2",78.416,48.312,77.085
"T",54,26.887,25.486,93.567,63,83.827,53.189,"Class1",34.99,62.671,51.164
"D",51,56.134,33.26,91.591,54,67.863,80.766,"Class5",28.232,42.872,27.113
"Z",59,40.829,44.614,61.145,24,29.248,4.423,"Class2",77.94,26.767,55.684
"O",64,28.163,53.031,60.935,28,19.733,25.579,"Class2",86.788,21.458,34.579
"M",36,80.548,95.422,67.87,46,86.153,10.936,"Class4",101.008,43.612,40.347
"Z",20,83.98,76.69,65.909,35,78.88,-3.627,"Class4",85.523,62.973,32.218
"S",44,74.108,39.317,94.308,63,71.245,82.466,"Class5",32.792,70.77,27.061
"Z",60,50.617,49.729,57.175,23,62.494,5.116,"Class2",87.42,24.889,63.288
"D",38,74.023,50.341,87.883,58,59.735,82.022,"Class5",30.454,38.169,26.252
"D",43,90.516,39.228,86.551,63,40.969,81.094,"Class5",27.777,68.377,25.576
"M",88,40.381,10.329,44.159,26,17.281,NA,"Class3",51.178,33.228,30.912
"D",54,62.958,18.638,88.266,58,65.499,80.677,"Class5",26.223,46.536,35.915
"F",83,83.045,78.604,63.768,41,81.048,37.83,"Class4",85.502,47.952,38.781
"W",67,70.138,45.61,86.552,54,51.196,80.73,"Class5",30.782,66.582,28.933
"Z",62,48.166,51.139,62.474,23,35.589,NA,"Class2",71.771,50.29,84.131
"Z",82,83.413,94.595,72.952,34,80.274,NA,"Class4",83.145,60.05,36.57
"X",61,40.318,59.403,54.578,30,8.8,-0.025,"Class2",87.583,40.258,78.34
"T",6,25.823,13.86,88.654,46,81.37,63.618,"Class1",38.718,58.704,30.25
"S",20,49.304,12.485,89.187,56,40.509,80.786,"Class5",30.448,99.456,29.489
"J",52,25.149,26.814,86.544,59,44.282,61.229,"Class1",40.557,60.073,28.922
"W",48,82.23,47.757,91.092,55,48.521,81.092,"Class5",32.906,61.716,26.574
"J",24,26.377,13.209,60.583,77,72.551,57.853,"Class1",32.952,58.524,51.44
"U",32,86.774,65.646,64.488,47,87.66,42.779,"Class4",77.359,53.312,41.535
"I",32,26.085,26.02,61.959,54,29.113,56.737,"Class1",37.106,61.355,62.378
"D",50,78.7,39.518,88.572,62,77.088,81.475,"Class5",29.645,34.901,25.378
"U",55,86.059,66.893,74.396,39,88.979,21.208,"Class4",88.901,61.066,31.874
"W",31,45.986,21.945,84.599,51,61.643,80.905,"Class5",33.483,82.433,28.646
"S",37,71.948,23.576,91.152,60,71.37,82.43,"Class5",34.422,47.612,26.805
"T",39,26.156,23.071,49.896,70,3.638,48.59,"Class1",43.327,61.55,87.779
"D",75,65.549,31.035,36.527,15,17.759,18.482,"Class3",58.277,66.845,30.471
"G",13,25.409,17.835,59.65,72,65.41,62.206,"Class1",38.458,59.575,80.1
"I",48,65.394,33.22,87.26,52,35.503,78.99,"Class5",34.529,31.717,36.639
"D",78,69.349,16.159,44.773,16,17.224,42.613,"Class3",87.263,98.002,30.552
"M",81,45.372,16.062,39.381,21,18.277,40.315,"Class3",91.801,63.686,30.702
"F",71,81.872,69.078,78.3,28,86.428,22.314,"Class4",87.406,61.633,38.906
"S",57,71.911,33.469,92.595,65,65.088,81.418,"Class5",28.786,72.861,31.946
"G",76,26.787,21.338,79.813,51,64.26,55.24,"Class1",36.649,60.659,31.598
"L",61,51.225,39.539,52.128,25,77.447,21.394,"Class2",79.684,45.088,35.215
"G",83,50.177,19.22,36.208,23,18.81,46.418,"Class3",61.11,83.616,28.92
"S",35,51.862,30.434,89.991,51,69.735,80.814,"Class5",31.112,40.806,29.938
"Z",63,62.282,51.284,51.946,34,15.249,19.604,"Class2",80.951,44.206,38.087
"G",43,26.759,24.523,72.068,63,77.519,55.057,"Class1",39.625,59.033,54.84
"U",51,79.96,84.943,70.236,28,84.656,21.413,"Class4",69.861,43.842,33.57
"W",43,52.771,12.007,88.231,54,53.955,81.727,"Class5",28.464,63.495,31.862
"Y",59,47.367,56.767,NA,33,5.631,25.017,"Class2",81.176,53.971,47.58
"W",21,80.744,38.883,85.825,58,41.121,78.184,"Class5",36.255,62.919,33.438
"Z",52,83.057,81.455,75.036,30,86.932,26.452,"Class4",80.562,46.146,43.097
"I",75,25.937,27.572,73.529,30,6.048,45.612,"Class1",34.344,59.336,68.74
"Z",61,39.874,51.322,62.986,30,10.056,25.532,"Class2",84.574,27.866,52.881
"B",72,26.305,16.956,75.87,41,26.003,64.136,"Class1",43.071,58.619,53.188
"O",74,48.961,7.326,20.828,9,18.863,50.293,"Class3",99.542,92.099,29.583
"Y",62,41.405,51.282,64.67,23,29.72,16.018,"Class2",84.238,28.488,47.39
"M",85,54.995,25.559,60.159,13,17.997,NA,"Class3",76.376,82.248,28.562
"M",77,65.176,14.656,36.331,9,17.471,NA,"Class3",69.486,32.978,30.737
"O",61,37.126,57.153,57.722,15,56.894,22.863,"Class2",72.625,40.829,59.769
"M",31,85.308,89.451,59.702,27,87.565,21.254,"Class4",89.649,58.201,34.264
"O",77,35.115,7.292,43.761,22,17.072,53.97,"Class3",84.086,94.33,30.736
"T",6,26.859,13.984,71.132,42,20.201,50.329,"Class1",31.573,59.615,65.611
"O",73,63.547,22.792,34.64,17,17.541,24.566,"Class3",64.913,34.106,30.892
"I",42,79.557,47.86,89.919,59,71.798,82.168,"Class5",34.151,53.746,25.752
"G",30,26.579,20.204,74.27,77,17.03,59.505,"Class1",36.217,58.581,66.019
"W",64,81.491,28.371,85.718,65,46.803,82.084,"Class5",28.938,94.566,25.725
"T",75,86.047,94.84,69.056,43,88.532,24.892,"Class4",95.131,69.201,35.603
"Y",60,32.514,76.942,63.394,18,33.359,13.518,"Class2",71.387,52.039,70.963
"M",60,72.615,28.455,87.815,52,51.594,NA,"Class5",35.197,44.473,31.335
"G",27,25.917,19.437,66.713,80,7.708,58.711,"Class1",34.267,58.689,85.572
"X",72,31.661,32.438,33.121,19,17.617,36.408,"Class3",69.782,50.644,30.575
"T",16,84.926,74.58,64.523,47,79.924,31.058,"Class4",81.134,48.936,33.677
"J",78,26.942,13.843,53.651,31,61.31,64.644,"Class1",36.125,58.814,42.601
"O",71,49.755,22.592,45.665,14,17.296,19.798,"Class3",68.412,68.189,28.035
"M",59,63.895,41.788,85.142,57,67.588,83.811,"Class5",27.139,66.877,34.955
"Y",66,39.791,44.327,60.091,32,10.818,20.312,"Class2",89.794,24.015,74.062
"D",79,57.7,10.299,23.781,14,17.506,NA,"Class3",68.159,98.184,29.314
"Z",64,34.345,43.36,54.82,36,6.519,13.352,"Class2",91.063,16.523,50.713
"Y",62,44.352,70.758,58.63,32,23.155,14.675,"Class2",78.691,33.645,75.345
"D",73,47.592,3.643,35.909,17,17.684,21.757,"Class3",60.025,82.132,28.278
"S",51,66.685,34.103,88.717,60,75.593,80.822,"Class5",28.38,80.355,32.759
"O",73,61.401,2.746,33.334,15,17.458,46.04,"Class3",78.295,94.475,30.31
"O",60,29.581,78.885,60.127,34,40.092,22.866,"Class2",83.203,58.835,75.61
"O",63,36.26,72.625,58.27,23,25.08,16.09,"Class2",82.29,47.477,45.307
"D",29,58.338,26.96,89.024,51,73.858,80.013,"Class5",27.042,76.753,30.116
"O",65,31.589,39.883,52.228,36,8.196,21.004,"Class2",82.115,30.25,52.517
"O",77,36.841,11.885,45.965,23,17.759,42.068,"Class3",75.19,42.7,29.484
"O",59,57.101,48.373,58.324,25,47.867,NA,"Class2",81.008,54.557,41.802
"F",43,87.988,66.621,69.844,45,84.295,NA,"Class4",95.79,54.448,28.386
"D",87,59.928,18.496,33.055,21,18.329,42.008,"Class3",72.867,88.052,28.51
"O",84,59.533,29.307,36.092,16,17.414,26.171,"Class3",73.989,11.635,28.488
"Y",65,41.291,67.2,60.215,24,77.525,29.615,"Class2",76.981,33.773,62.059
"S",58,66.571,12.917,88.079,65,75.568,78.957,"Class5",27.915,35.794,31.123
"O",66,70.103,63.724,59.019,21,48.493,17.534,"Class2",87.604,44.689,53.384
"M",49,74.146,44.068,92.311,58,54.747,82.858,"Class5",34.875,46.588,35.286
"I",65,67.909,28.26,88.321,52,43.087,80.845,"Class5",26.658,31.949,31.356
"O",75,46.798,8.382,48.063,19,17.147,14.923,"Class3",72.928,45.704,28.737
"M",85,49.236,13.002,39.703,24,18.815,13.267,"Class3",74.973,33.187,28.948
"G",74,25.53,19.255,52.554,48,26.26,49.479,"Class1",40.221,60.987,21.805
"T",36,85.391,91.487,69.889,44,78.119,27.403,"Class4",87.091,65.347,41.153
"L",65,35.811,78.791,60.595,23,22.185,12.686,"Class2",77.043,42.994,72.78
"Y",63,53.638,74.635,54.926,18,67.248,NA,"Class2",78.494,53.931,41.172
"D",83,47.411,37.943,44.623,10,18.081,36.459,"Class3",92.017,60.716,28.357
"O",66,46.071,48.576,56.504,36,2.37,9.509,"Class2",75.673,54.909,52.428
"X",62,42.833,68.137,61.777,29,4.822,6.505,"Class2",76.092,27.027,78.733
"G",46,26.078,12.488,67.672,59,54.917,55.733,"Class1",39.821,58.903,76.74
"I",20,26.438,25.663,54.551,36,39.516,50.87,"Class1",39.494,61.182,50.791
"G",80,27.066,23.979,80.964,50,85.422,47.331,"Class1",36.342,59.507,25.301
"F",54,87.309,97.199,NA,36,80.672,32.642,"Class4",81.076,36.438,39.986
"I",69,88.371,31.144,84.874,58,56.477,NA,"Class5",27.018,27.787,27.381
"M",25,97.211,16.379,88.892,65,74.946,77.285,"Class5",26.951,27.916,27.35
"Z",85,83.363,94.11,67.812,33,88.378,10.297,"Class4",95.987,38.5,39.511
"M",33,83.765,82.589,67.44,30,81.516,8.859,"Class4",97.67,52.716,34.285
"U",37,84.529,70.722,64.35,42,83.012,24.238,"Class4",89.309,40.775,29.429
"Z",66,29.727,46.277,59.928,32,73.952,15.584,"Class2",81.827,18.04,80.849
"M",76,50.939,34.295,30.692,24,18.276,37.627,"Class3",91.068,8.018,30.214
"B",54,25.729,17.416,81.011,70,55.508,51.736,"Class1",45.776,61.54,20.931
"M",85,52.207,3.496,38.565,20,17.486,38.872,"Class3",68.087,30.592,30.718
"T",17,24.617,21.004,78.627,72,7.615,49.603,"Class1",44.413,60.265,38.09
"O",81,39.234,37.77,41.05,17,17.896,14.053,"Class3",70.048,15.339,29.679
"T",35,26.557,13.097,65.913,30,81.297,69.942,"Class1",24.684,58.845,69.908
"W",23,60.305,36.029,90.023,55,78.92,80.136,"Class5",28.179,62.561,29.531
"T",32,25.421,23.944,64.454,83,10.969,54.508,"Class1",43.395,60.733,22.258
"G",80,57.676,21.109,30.285,27,17.304,49.801,"Class3",86.934,90.59,30.785
"Z",60,22.499,41.572,58.144,28,83.956,NA,"Class2",74.134,41.13,70.255
"Z",73,80.848,78.52,71.365,37,80.335,10.633,"Class4",83.25,53.366,29.651
"F",48,83.045,80.406,65.165,40,78.285,NA,"Class4",93.566,51.974,27.887
"U",31,84.032,68.653,64.861,29,88.507,20.401,"Class4",89.472,54.781,41.13
"G",78,39.98,5.446,28.22,17,17.974,43.011,"Class3",77.406,72.134,29.127
"M",84,64.305,36.458,37.755,14,18.972,38.856,"Class3",68.026,69.291,28.351
"M",48,83.723,66.959,62.409,26,87.732,7.062,"Class4",84.92,60.741,35.293
"D",69,58.445,15.972,92.089,54,46.419,79.728,"Class5",29.539,59.588,26.459
"W",32,67.68,18.087,86.143,59,38.922,81.062,"Class5",34.456,95.732,27.232
"X",60,31.955,50.054,58.067,24,55.644,13.85,"Class2",82.574,40.265,70.412
"D",86,52.947,22.332,65.772,10,18.789,10.726,"Class3",68.294,63,29.917
"O",63,32.878,67.453,NA,23,10.401,11.817,"Class2",85.711,19.344,84.264
"J",27,25.675,19.403,82.297,73,84.663,45.635,"Class1",39.553,61.425,74.14
"G",84,48.351,28.475,28.782,22,18.064,36.334,"Class3",80.539,92.944,28.882
"T",15,84.354,77.599,67.019,44,85.784,-6.96,"Class4",77.723,60.951,33.018
"Z",32,84.978,76.416,70.444,33,81.873,20.084,"Class4",98.169,59.318,35.562
"W",23,68.143,43.541,NA,55,35.562,81.912,"Class5",30.523,40.948,35.991
"Y",64,23.039,68.1,56.462,17,33.992,25.949,"Class2",83.904,58.81,81.612
"M",75,55.005,37.025,35.671,15,18.382,41.788,"Class3",67.697,85.261,30.665
"F",82,82.64,95.658,65.647,41,84.545,42.676,"Class4",75.26,63.682,40.492
"O",82,60.607,23.993,31.75,19,17.767,35.88,"Class3",86.809,63.121,30.012
"D",69,79.237,12.592,86.993,62,58.172,81.975,"Class5",32.832,84.064,26.699
"S",49,55.852,38.348,90.079,63,38.049,81.465,"Class5",34.796,44.976,35.922
"U",12,86.28,69.346,69.671,35,84.56,18.601,"Class4",88.113,43.389,36.545
"U",28,83.349,92.525,70.615,34,78.862,9.817,"Class4",98.601,37.851,41.444
"G",68,24.246,17.619,58.556,38,5.393,58.842,"Class1",34.199,58.759,54.951
"I",66,26.774,26.566,58.705,27,48.707,50.551,"Class1",38.466,58.423,44.727
"D",81,53.621,1.296,46.593,27,18.382,30.226,"Class3",74.665,93.16,28.331
"Y",61,51.299,78.47,56.847,26,18.219,14.946,"Class2",80.193,49.861,44.772
"W",37,65.591,18.611,86.861,53,53.974,NA,"Class5",25.978,68.078,34.733
"J",2,25.93,23.998,50.567,76,45.625,61.7,"Class1",37.704,59.5,59.352
"L",62,70.719,76.822,56.675,28,31.208,17.925,"Class2",85.792,56.12,73.282
"U",18,83.075,86.64,71.34,38,81.314,14.022,"Class4",91.035,59.963,40.386
"D",64,64.76,46.709,91.251,63,50.158,78.453,"Class5",41.24,29.624,26.427
"G",1,25.971,23.3,85.591,62,20.007,57.056,"Class1",34.121,62.162,28.431
"L",62,38.875,66.004,54.251,20,15.291,NA,"Class2",79.135,34.737,83.73
"T",76,25.973,14.795,70.328,32,47.727,54.09,"Class1",34.434,59.408,26.898
"M",74,51.486,12.615,48.868,12,18.852,20.801,"Class3",85.91,70.928,29.271
"I",21,53.815,14.789,84.393,52,44.778,81.717,"Class5",27.817,86.796,26.669
"T",44,86.328,86.503,65.483,46,79.093,11.333,"Class4",89.118,60.714,31.293
"O",61,45.997,77.194,60.271,24,89.65,NA,"Class2",76.92,48.991,84.354
"I",35,87.45,52.46,90.006,58,70.689,80.873,"Class5",28.519,93.347,32.084
"L",59,42.667,57.96,59.486,16,85.396,-8.199,"Class2",81.808,49.513,59.969
"D",35,73.256,45.142,87.476,57,43.883,78.137,"Class5",35.835,46.016,25.908
"D",61,61.337,33.389,86.21,63,67.017,81.692,"Class5",29.446,38.293,35.505
"L",65,34.098,44.974,60.53,34,68.286,33.079,"Class2",78.508,22.508,50.796
"T",16,25.344,13.565,62.618,28,79.436,53.279,"Class1",37.128,58.482,55.316
"Z",66,40.994,61.322,57.088,26,89.34,7.795,"Class2",85.868,15.893,39.219
"M",71,50.958,40.244,37.652,13,18.782,28.84,"Class3",94.35,20.5,30.031
"I",55,26.641,21.454,76.469,68,14.905,39.817,"Class1",34.418,58.975,32.651
"D",68,67.8,29.131,88.489,61,50.331,81.431,"Class5",25.445,38.851,31.755
"O",66,36.902,39.583,66.177,24,24.569,17.956,"Class2",82.237,33.304,84.879
"T",39,85.721,88.462,71.673,30,80.599,27.605,"Class4",93.613,49.569,36.451
"U",48,84.262,87.388,66.833,45,77.156,NA,"Class4",81.272,51.829,39.873
"O",61,36.563,58.943,61.998,15,82.419,17.396,"Class2",85.586,21.005,68.175
"I",37,26.248,16.053,70.101,68,27.746,44.556,"Class1",39.772,59.478,56.659
"T",57,26.274,23.706,75.514,32,55.072,NA,"Class1",36.085,59.654,84.377
"Z",61,43.336,56.905,58.173,25,83.137,21.357,"Class2",80.91,19.456,34.265
"G",75,65.934,37.581,57.846,16,18.356,19.417,"Class3",79.578,37.364,29.332
"M",16,83.911,79.586,71.603,45,83.461,17.309,"Class4",82.366,45.669,28.45
"T",72,87.528,91.152,63.43,26,85.286,27.151,"Class4",81.301,43.394,37.443
"Z",65,59.94,73.511,56.264,16,7.506,12.471,"Class2",75.644,34.613,30.392
"O",85,43.912,39.408,43.523,18,18.49,29.966,"Class3",97.034,78.546,30.031
"F",34,86.985,72.403,70.77,32,77.43,31.674,"Class4",81.13,54.94,43.115
"Y",63,55.25,71.907,59.453,18,27.662,8.862,"Class2",85.749,37.976,58.478
"S",32,64.369,54.462,87.294,51,62.104,82.086,"Class5",30.93,76.505,27.385
"X",63,48.062,70.48,NA,26,51.332,13.592,"Class2",77.395,30.185,68.202
"M",11,86.005,76.051,75.961,40,80.926,25.802,"Class4",86.977,56.672,41.338
"D",78,56.586,2.193,42.136,18,17.559,NA,"Class3",76.073,26.226,30.812
"X",83,58.944,37.355,37.338,27,17.207,33.001,"Class3",84.855,98.983,30.446
"F",48,83.696,67.007,69.219,45,87.961,25.998,"Class4",76.97,56.28,38.237
"L",64,47.63,79.346,56.286,25,53.113,18.178,"Class2",84.853,29.892,80.107
"M",73,55.6,6.865,23.997,22,18.103,47.337,"Class3",78.597,18.55,28.758
"X",63,45.775,54.316,51.772,21,54.579,NA,"Class2",78.803,47.054,81.581
"X",61,33.608,57.008,NA,18,84.953,23.22,"Class2",85.486,15.766,63.923
"T",68,26.615,22.075,74.37,29,18.118,42.525,"Class1",36.26,62.788,94.669
"O",59,50.22,48.481,55.126,33,53.911,10.003,"Class2",80.262,53.775,84.491
"F",28,87.285,81.206,73.799,41,86.115,7.282,"Class4",90.68,54.841,28.624
"M",77,82.006,96.797,69.413,38,87.185,8.739,"Class4",76.485,57.949,27.016
"U",9,83.02,75.404,60.672,38,77.86,27.762,"Class4",94.321,68.896,40.024
"O",62,47.706,46.054,55.203,32,50.629,12.039,"Class2",79.119,48.756,77.673
"S",33,54.397,13.794,87.022,65,66.744,79.632,"Class5",30.875,28.91,27.509
"D",66,46.664,24.744,NA,62,67.341,82.731,"Class5",25.212,78.772,27.899
"S",51,46.906,13.337,90.911,53,61.54,NA,"Class5",32.287,66.01,28.926
"Y",64,40.828,64.978,64.052,25,10.242,21.983,"Class2",85.375,50.715,70.215
"Z",57,85.327,98.464,70.095,32,77.037,24.456,"Class4",81.386,63.537,42.234
"O",65,49.337,80.675,56.189,15,66.174,16.658,"Class2",86.059,24.703,41.927
"B",5,25.29,23.079,66.165,40,13.09,40.547,"Class1",38.001,59.086,76.919
"D",54,22.657,36.732,88.938,52,57.523,81.153,"Class5",35.101,71.837,25.919
"O",88,35.24,32.157,43.281,23,18.839,22.184,"Class3",74.045,86.111,29.143
"I",46,66.943,46.461,88.182,54,52.749,78.596,"Class5",34.289,82.544,30.435
"Y",65,50.741,42.33,54.135,28,79.175,16.656,"Class2",75.12,25.869,68.265
"G",55,24.665,27.573,71.993,74,77.42,56.203,"Class1",39.411,58.131,80.994
"X",66,48.896,71.444,57.928,28,60.328,21.63,"Class2",76.306,21.441,64.231
"M",77,63.313,28.665,38.11,10,17.867,48.054,"Class3",84.323,23.563,30.12
"T",73,26.471,16.378,74.02,77,22.753,45.712,"Class1",40.198,62.403,79.044
"O",61,10.488,53.46,57.851,15,34.82,5.498,"Class2",71.192,37.278,50.34
"G",12,24.791,26.706,70.187,57,57.549,59.577,"Class1",33.726,60.947,81.525
"G",77,45.548,33.203,42.062,27,18.922,30.431,"Class3",66.937,46.151,28.692
"L",63,52.449,65.437,63.411,16,63.042,13.183,"Class2",78.276,23.746,58.956
"Y",59,53.807,64.35,59.768,31,8.545,NA,"Class2",82.914,45.775,71.119
"S",67,65.327,37.856,84.55,52,62.095,80.76,"Class5",35.483,38.227,26.868
"M",88,41.802,6.876,38.051,11,18.466,27.991,"Class3",77.084,89.182,29.144
"J",80,26.204,25.616,70.746,82,46.708,NA,"Class1",39.274,61.96,67.669
"M",74,49.116,2.028,49.559,10,18.281,20.149,"Class3",78.185,65.05,28.786
"O",64,41.04,65.161,58.756,30,33,5.675,"Class2",81.249,37.133,61.78
"I",66,61.456,27.822,90.452,55,43.47,79.763,"Class5",29.999,28.633,36.433
"X",60,44.745,40.256,63.276,30,24.618,NA,"Class2",90.184,16.161,42.76
"Z",8,86.347,70.013,75.802,42,77.046,NA,"Class4",83.434,37.413,40.878
"Y",64,59.231,50.873,60.169,36,37.656,27.033,"Class2",76.159,41.484,32.939
"D",88,45.249,4.037,40.601,15,18.876,58.043,"Class3",73.718,65.831,30.651
"O",64,31.712,46.792,54.933,16,25.921,13.747,"Class2",88.385,25.256,64.309
"M",73,45.179,8.071,53.169,12,18.821,28.256,"Class3",71.256,30.695,28.437
"Z",41,81.344,92.679,76.957,35,80.522,37.232,"Class4",91.604,69.974,40.131
"Y",63,40.974,56.857,62.028,25,54.521,16.759,"Class2",83.729,21.103,47.583
"M",86,45.847,29.858,38.934,12,18.205,31.642,"Class3",64.434,75.497,30.1
"M",45,82.219,65.026,61.645,40,78.874,12.266,"Class4",94.94,37.926,40.674
"D",55,92.417,30.403,90.443,52,35.69,80.576,"Class5",30.723,84.004,30.967
"Z",12,83.41,67.214,67.022,44,87.344,30.771,"Class4",87.702,43,42.512
"B",2,26.858,13.737,NA,28,0.331,56.023,"Class1",33.049,59.887,26.646
"M",59,76.564,9.426,83.793,65,71.464,84.112,"Class5",30.565,30.389,33.387
"U",30,83.678,65.302,72.627,27,81.177,16.062,"Class4",68.59,56.957,27.807
"O",66,32.434,69.427,57.567,26,18.496,17.568,"Class2",81.233,36.829,80.174
"G",67,26.355,20.814,98.483,38,54.615,65.587,"Class1",41.756,62.272,58.007
"U",87,81.568,76.391,65.447,39,77.322,-4.516,"Class4",86.457,57.792,38.558
"W",49,47.725,52.108,90.381,58,42.332,81.249,"Class5",25.755,90.887,29.586
"I",14,25.823,26.527,91.685,83,73.76,45.335,"Class1",37.723,59.411,86.779
"S",62,66.185,51.655,85.519,58,62.995,82.986,"Class5",23.67,62.703,31.732
"I",61,71.54,44.198,87.822,56,75.892,81.641,"Class5",36.486,62.401,25.708
"X",73,51.469,40.328,53.956,14,18.226,28.024,"Class3",84.253,52.387,28.193
"D",82,65.656,27.977,30.295,17,18.595,32.241,"Class3",68.945,38.336,29.655
"M",53,80.436,54.344,93.994,55,64.942,80.572,"Class5",27.897,57.93,36.536
"X",80,50.225,2.222,42.04,23,18.753,16.967,"Class3",70.854,77.475,29.564
"J",46,25.524,14.611,90.454,70,84.022,69.909,"Class1",33.634,60.55,18.57
"L",61,51.54,46.553,56.438,25,45.733,-6.271,"Class2",89.405,54.933,62.222
"S",60,82.42,13.461,NA,54,36.879,81.776,"Class5",34.153,37.104,28.554
"F",30,85.745,66.665,55.952,47,77.363,24.646,"Class4",84.041,57.928,37.056
"O",61,41.318,63.84,60.843,35,64.463,30.312,"Class2",71.98,43.725,58.804
"W",25,93.315,11.923,88.44,63,72.421,79.227,"Class5",34.962,97.972,28.776
"G",81,44.554,15.406,55.03,12,18.381,32.334,"Class3",68.322,59.311,29.244
"I",39,100.128,21.219,90.121,58,68.104,82.586,"Class5",36.451,69.581,34.751
"L",65,27.278,51.355,65.911,32,40.128,NA,"Class2",80.858,24.478,51.223
"X",66,50.775,66.18,56.342,24,58.495,23.232,"Class2",85.258,46.92,50.545
"M",88,65.754,14.472,36.58,27,18.985,5.283,"Class3",92.935,47.901,28.007
"Z",11,85.956,96.931,72.943,35,82.876,23.616,"Class4",90.591,50.785,32.475
"G",53,24.999,13.759,81.265,46,53.571,61.618,"Class1",40.775,59.104,93.499
"S",37,104.36,35.605,89.299,52,60.093,81.868,"Class5",27.012,94.833,35.09
"M",24,64.633,51.733,91.505,56,61.715,79.859,"Class5",27.361,69.435,30.742
"M",85,84.041,95.121,69.249,35,87.228,12.432,"Class4",96.522,41.867,34.526
"L",63,40.184,68.771,60.052,27,88.086,22.929,"Class2",76.652,25.48,38.287
"X",80,41.478,23.22,50.412,19,17.094,19.517,"Class3",77.485,72.218,30.988
"M",35,45.136,27.433,89.92,61,68.58,81.898,"Class5",31.932,90.882,28.144
"X",71,60.19,27.864,55.892,22,18.897,30.658,"Class3",71.02,49.037,28.889
"Z",66,30.96,76.142,52.346,23,59.202,11.587,"Class2",81.214,33.688,53.952
"M",69,83.111,19.981,86.384,59,41.575,79.199,"Class5",39.588,57.127,25.101
"S",27,54.945,44.036,86.246,62,78.828,81.651,"Class5",37.502,33.402,27.227
"T",77,27.331,26.038,71.27,82,32.386,58.497,"Class1",40.56,62.776,85.466
"G",79,38.115,25.904,40.104,27,17.331,9.243,"Class3",90.427,98.055,30.659
"Z",61,37.656,48.675,60.658,26,31.482,14.846,"Class2",87.002,21.161,83.217
"F",11,86.247,97.236,68.125,28,79.578,41.037,"Class4",81.429,46.706,29.672
"B",35,26.806,23.546,64.465,40,62.308,51.709,"Class1",40.233,58.244,60.809
"I",36,62.098,19.653,86.147,54,73.369,82.3,"Class5",34.818,47.444,36.732
"M",66,38.729,25.389,85.529,62,53.821,80.246,"Class5",28.135,34.843,25.897
"M",73,53.574,30.164,53.823,11,18.285,50.984,"Class3",48.676,65.864,29.169
"D",57,54.231,43.536,83.979,61,56.596,80.2,"Class5",24.531,40.152,27.192
"J",9,27.038,13.096,75.328,28,55.685,64.062,"Class1",40.29,62.072,33.135
"M",84,54.885,11.453,41.838,13,17.046,37.781,"Class3",84.047,68.446,28.123
"D",42,54.207,53.689,87.208,65,60.838,82.854,"Class5",22.171,29.455,28.14
"M",42,63.075,28.23,90.38,52,36.842,81.484,"Class5",28.656,29.703,33.218
"U",83,83.93,76.488,74.139,47,77.418,35.107,"Class4",88.439,46.218,31.631
"D",21,83.505,34.546,NA,59,57.188,80.429,"Class5",34.069,42.13,33.128
