"KGE1","ZCT2","XFI3","XCR4","Output20","RPT5","VDN6","SFI7","VGU8","GPL9"
73.014,69.768,"G",48.164,"Class2",33.046,29.756,47.502,91.402,15
77.909,67.349,"X",47.074,"Class2",59.559,18.546,63.163,92.292,36
98.297,70.73,"I",46.767,"Class2",26.953,15.823,56.838,91.299,41
29.888,36.669,"J",59.575,"Class1",9.57,12.651,49.654,40.127,32
54.711,12.912,"N",74.004,"Class1",13.263,10.108,51.188,74.266,14
83.461,71.477,"X",46.842,"Class2",57.674,16.165,66.216,92.067,17
76.672,71.102,"G",48.969,"Class2",43.433,26.052,45.775,93.383,51
97.207,72.472,"G",46.687,"Class2",23.607,7.824,71.137,91.522,55
41.842,27.715,"D",80.099,"Class1",23.588,11.367,50.217,52.37,17
92.779,70.394,"I",47.325,"Class2",55.806,NA,49.348,93.75,15
86.532,73.318,"E",48.315,"Class2",14.763,35.656,49.504,91.992,23
82.947,73.014,"U",48.381,"Class2",39.844,22.068,52.522,93.401,69
47.357,17.361,"S",59.573,"Class1",34.319,17.67,49.836,61.925,42
97.693,72.371,"U",47.278,"Class2",43.254,15.5,66.339,90.768,58
84.433,71.12,"X",47.598,"Class2",30.698,5.884,47.47,91.595,68
33.86,44.004,"S",68.052,"Class1",25.106,10.819,50.337,78.432,39
74.893,71.855,"U",46.504,"Class2",26.176,22.164,48.349,92.386,60
75.157,71.827,"U",47.666,"Class2",52.855,29.469,60.422,92.961,67
70.01,71.016,"G",48.022,"Class2",14.081,19.333,54.16,91.731,65
69.38,73.266,"E",46.908,"Class2",18.368,18.227,59.197,92.195,64
43.713,11.093,"S",62.48,"Class1",17.163,-1.351,50.861,65.5,13
32.271,14.646,"S",70.209,"Class1",14.154,5.461,51.768,61.414,NA
36.748,34.029,"N",60.088,"Class1",31.329,6.147,50.444,58.579,21
35.722,16.304,"S",44.862,"Class1",12.491,9.637,51.472,96.551,41
97.078,71.621,"I",45.887,"Class2",55.811,13.084,49.751,93.963,55
51.606,25.328,"N",57.073,"Class1",24.229,17.622,50.983,59.736,42
85.359,69.806,"X",48.353,"Class2",62.89,4.829,65.602,93.34,69
45.681,24.553,"J",62.037,"Class1",23.838,8.84,50.313,91.308,43
77.464,68.657,"X",46.864,"Class2",23.047,NA,67.008,92.039,46
51.303,9.851,"D",58.906,"Class1",22.592,13.53,49.674,108.527,10
30.729,18.965,"D",71.976,"Class1",7.321,15.16,51.123,66.919,27
44.239,20.148,"S",68.165,"Class1",5.367,19.74,50.119,56.233,31
79.915,71.86,"G",48.642,"Class2",23.483,NA,55.642,93.62,20
80.064,70.018,"G",46.903,"Class2",27.272,12.179,53.54,93.613,41
44.404,34.005,"T",59.815,"Class1",19.867,3.536,49.255,63.727,17
73.095,70.925,"X",47.486,"Class2",30.751,16.679,72.862,93.791,55
79.337,71.244,"G",47.828,"Class2",38.469,16.256,55.23,92.962,62
40.428,32.104,"N",70.153,"Class1",15.989,19.869,50.587,84.745,10
81.626,71.068,"U",47.917,"Class2",14.942,6.745,72.513,94.304,27
73.152,70.405,"U",48.211,"Class2",58.491,3.818,48.294,93.091,9
94.752,68.446,"U",47.851,"Class2",19.982,8.849,59.081,91.497,33
88.137,73.085,"G",47.096,"Class2",14.14,23.047,69.409,93.285,43
93.329,71.688,"X",46.574,"Class2",59.522,NA,52.995,93.184,70
98.374,74.798,"E",46.062,"Class2",19.899,18.664,58.494,90.642,9
79.81,72.177,"U",46.778,"Class2",13.006,26.573,45.025,91.547,71
51.791,28.401,"J",56.458,"Class1",18.916,14.866,49.146,59.047,17
50.825,17.253,"S",69.636,"Class1",18.417,11.778,49.377,55.523,11
83.253,69.646,"I",47.331,"Class2",23.268,14.81,56.824,91.772,50
89.411,72.309,"E",46.291,"Class2",47.666,3.116,58.115,91.634,6
42.896,19.062,"J",58.698,"Class1",14.667,9.592,51.777,40.855,15
68.77,70.129,"U",47.96,"Class2",26.214,-6.387,51.805,92.767,8
32.038,7.59,"D",60.067,"Class1",14.636,12.36,51.027,42.683,20
87.207,72.581,"E",47.92,"Class2",58.52,19.603,54.269,92.592,54
43.987,30.154,"T",77.189,"Class1",32.878,1.382,50.481,67.208,32
37.462,27.329,"D",54.416,"Class1",28.908,1.213,49.858,65.104,41
39.979,27.939,"N",66.581,"Class1",25.444,7.191,51.321,72.65,15
36.567,14.038,"T",65.485,"Class1",7.9,4.828,50.946,57.978,35
83.787,71.305,"E",48.756,"Class2",57.826,20.191,58.133,94.704,NA
89.512,70.772,"X",46.187,"Class2",23.139,12.333,51.905,93.112,27
44.48,20.683,"S",70.204,"Class1",19.228,9.892,49.339,83.733,25
88.316,69.767,"G",48.517,"Class2",57.561,13.222,54.46,92.3,22
34.96,24.513,"D",58.529,"Class1",35.079,10.441,50.465,77.518,18
39.85,15.671,"D",73.211,"Class1",16.737,23.209,49.61,65.829,43
48.449,17.015,"N",68.066,"Class1",8.425,13.788,51.893,91.513,28
31.644,17.776,"S",63.964,"Class1",21.388,7.121,49.792,53.681,41
46.356,20.87,"T",72.034,"Class1",27.918,11.858,50.838,39.207,35
53.486,9.099,"T",55.533,"Class1",15.689,15.19,49.218,82.03,NA
85.44,72.09,"G",48.215,"Class2",22.065,10.972,44.035,93.383,30
86.848,71.314,"X",47.89,"Class2",59.655,25.751,57.934,92.743,NA
84.821,70.341,"E",47.751,"Class2",57.378,33.553,70.196,92.389,4
96.515,68.634,"G",47.818,"Class2",15.657,8.02,45.65,93.15,74
85.149,71.905,"I",46.848,"Class2",56.805,12.302,60.37,92.013,59
96.041,72.498,"E",46.947,"Class2",43.061,53.593,70.672,92.701,53
83.634,70.995,"X",48.58,"Class2",62.05,7.225,67.438,92.433,6
98.614,70.304,"X",48.509,"Class2",16.991,17.522,69.853,92.012,68
82.671,71.223,"I",47.565,"Class2",46.129,20.883,57.437,93.712,73
31.4,23.391,"J",56.908,"Class1",25.478,1.744,51.469,48.205,30
78.861,71.308,"E",48.035,"Class2",29.401,5.271,49.146,91.764,26
40.57,17.989,"D",71.299,"Class1",27.721,4.758,49.947,87.51,39
28.127,20.511,"J",55.88,"Class1",22.895,19.595,49.111,68.897,26
29.476,20.301,"S",75.695,"Class1",16.154,13.268,49.579,83.453,35
90.246,69.939,"E",47.076,"Class2",14.51,11.131,52.865,92.716,66
36.538,29.209,"T",66.912,"Class1",29.239,-0.797,50.172,75.039,41
54.881,23.829,"D",60.59,"Class1",28.398,3.534,49.651,68.369,16
74.901,70.654,"U",44.99,"Class2",35.958,14.417,66.706,93.015,16
92.567,73.211,"X",45.499,"Class2",64.887,18.045,57.997,91.741,3
80.646,70.041,"E",47.416,"Class2",32.228,1.256,53.318,93.321,45
34.256,19.953,"D",66.002,"Class1",13.413,8.715,51.493,45.406,23
55.696,16.375,"J",70.596,"Class1",18.947,12.32,51.667,84.307,NA
84.503,71.144,"E",48.407,"Class2",22.808,16.942,50.873,91.858,47
92.784,71.608,"U",48.277,"Class2",20.937,19.36,62.736,93.362,59
28.564,21.802,"J",67.127,"Class1",8.029,-0.141,50.307,73.875,37
93.824,72.589,"G",48.217,"Class2",34.563,1.309,66.86,92.302,53
92.615,72.555,"I",47.475,"Class2",57.526,10.096,58.075,92.672,27
34.872,22.024,"T",61.263,"Class1",9.97,0.844,50.397,74.828,10
89.71,70.19,"X",48.284,"Class2",13.716,25.245,57.727,91.724,10
35.429,22.377,"S",57.303,"Class1",31.226,13.393,51.722,83.718,42
35.606,14.969,"J",54.57,"Class1",23.582,4.021,50.506,79.208,41
69.924,72.044,"I",47.13,"Class2",13.198,7.785,50.528,94.44,49
47.102,21.954,"T",69.64,"Class1",15.039,8.637,49.876,97.197,16
80.54,72.278,"X",47.575,"Class2",54.697,24.49,54.063,92.16,57
29.947,28.984,"D",63.777,"Class1",18.548,11.387,49.527,62.617,23
38.602,8.744,"T",74.125,"Class1",20.959,9.599,51.06,67.998,36
46.496,14.623,"J",54.875,"Class1",21.737,11.246,51.053,81.148,28
41.159,28.995,"T",53.443,"Class1",31.495,7.015,50.564,84.108,39
75.201,71,"E",47.503,"Class2",22.545,24.093,45.623,91.426,38
68.529,70.82,"X",49.377,"Class2",43.739,16.668,59.36,92.242,31
82.869,71.395,"I",46.737,"Class2",26.045,10.413,53.881,93.42,21
78.467,72.654,"E",46.281,"Class2",44.647,17.577,56.705,91.356,NA
96.961,70.882,"I",48.074,"Class2",58.736,13.809,43.577,91.203,48
70.015,71.193,"X",46.589,"Class2",58.828,3.381,65.837,93.24,44
68.66,70.165,"E",47.017,"Class2",61.553,12.452,70.689,93.291,59
78.677,73.512,"U",47.405,"Class2",51.735,26.024,53.273,92.552,29
31.551,32.431,"S",66.442,"Class1",19.503,1.048,50.016,45.578,37
30.648,23.231,"T",67.618,"Class1",13.286,6.357,49.655,86.026,27
39.282,27.544,"T",70.416,"Class1",5.695,4.168,51.03,60.745,10
44.829,24.09,"T",65.281,"Class1",6.821,8.064,51.789,65.514,30
34.451,32.783,"T",76.17,"Class1",20.765,15.92,51.23,49.134,38
97.541,71.103,"E",46.281,"Class2",59.688,1.455,71.919,92.23,9
47.515,31.375,"T",63.129,"Class1",20.336,8.277,49.186,62.919,23
44.506,26.04,"D",63.332,"Class1",32.601,6.504,50.629,50.158,17
79.96,70.658,"E",48.087,"Class2",30.127,10.331,46.989,91.969,36
41.512,8.546,"D",57.849,"Class1",12.198,4.253,50.154,44.041,22
51.988,45.067,"T",79.096,"Class1",33.472,0.849,50.741,66.71,20
53.525,12.299,"D",69.131,"Class1",25.669,-0.851,49.687,88.605,37
95.584,70.889,"I",48.475,"Class2",18.087,2.911,60.709,92.967,55
87.295,71.955,"I",48.166,"Class2",26.179,11.196,57.914,93.203,58
95.11,71.79,"G",46.402,"Class2",38.039,20.817,48.507,93.634,73
45.322,15.707,"J",57.086,"Class1",13.938,13.021,51.791,63.325,37
46.075,22.282,"T",69.558,"Class1",6.95,8.185,49.764,62.671,36
51.751,21.019,"J",74.903,"Class1",20.025,1.907,49.896,63.212,10
40.387,17.67,"J",57.472,"Class1",20.897,3.984,50.772,65.507,NA
31.443,40.926,"J",54.593,"Class1",27.331,17.108,51.3,90.062,22
48.777,30.363,"T",54.586,"Class1",25.085,10.93,50.718,71.179,35
82.934,73.119,"I",47.379,"Class2",45.373,6.382,70.578,92.805,75
96.187,71.811,"U",48.233,"Class2",34.752,21.995,46.099,91.81,20
52.975,22.759,"S",73.662,"Class1",6.489,24.037,49.629,101.101,26
73.542,71.733,"I",46.829,"Class2",36.95,30.658,71.237,94.372,60
35.294,29.67,"D",60.518,"Class1",13.684,15.18,50.714,60.114,33
74.223,70.218,"U",47.422,"Class2",21.013,11.418,63.902,91.671,19
87.824,71.231,"U",45.765,"Class2",63.349,3.107,56.134,92.459,5
34.788,12.39,"N",62.576,"Class1",27.899,6.292,49.625,60.924,20
92.32,73.444,"U",49.195,"Class2",29.665,7.834,45.261,92.236,59
70.509,72.06,"X",48.978,"Class2",54.223,23.596,51.361,92.418,20
43.712,27.03,"T",66.182,"Class1",6.258,9.076,50.615,53.051,40
90.437,69.969,"E",48.277,"Class2",50.637,17.676,58.812,95.106,69
72.506,72.865,"I",47.045,"Class2",62.195,26.403,57.322,92.003,9
55.529,28.239,"N",67.125,"Class1",35.347,4.143,49.926,63.549,16
33.576,22.226,"T",64.994,"Class1",23.447,21.229,49.237,77.678,22
28.79,5.754,"S",89.152,"Class1",35.708,7.869,51.438,86.235,35
48.982,14.829,"S",73.721,"Class1",24.361,11.805,49.962,59.718,31
44.161,30.126,"D",71.152,"Class1",23.676,18.224,50.403,79.345,11
76.315,70.086,"I",47.021,"Class2",39.683,25.713,55.344,92.684,62
84.609,69.612,"X",47.151,"Class2",31.082,18.023,44.472,93.11,30
91.73,70.868,"G",45.41,"Class2",41.772,7.91,72.956,91.442,28
79.145,68.349,"U",45.241,"Class2",31.506,NA,69.946,93.446,62
83.741,69.885,"G",46.175,"Class2",53.026,24.356,46.403,91.937,15
44.756,27.421,"N",62.772,"Class1",28.241,16.007,51.508,93.725,26
90.039,69.255,"U",49.452,"Class2",23.333,26.052,72.835,91.328,8
55.802,16.295,"D",68.154,"Class1",20.883,7.996,51.887,74.15,24
92.393,71.031,"X",48.773,"Class2",18.934,12.141,46.446,93.194,73
93.133,70.676,"I",47.035,"Class2",52.625,7.535,59.162,90.889,26
29.589,25.861,"N",62.814,"Class1",10.4,12.106,50.491,74.356,20
89.604,68.232,"E",46.132,"Class2",30.275,15.376,67.953,91.748,38
95.71,71.612,"G",46.51,"Class2",27.819,19.37,68.782,93.337,NA
51.964,28.987,"T",68.299,"Class1",28.12,NA,51.475,74.918,18
92.619,70.829,"I",50.509,"Class2",54.332,2.181,53.311,91.523,49
42.433,21.058,"J",67.049,"Class1",34.692,4.282,50.048,87.86,17
47.868,29.875,"T",64.241,"Class1",20.294,21.007,51.541,64.027,43
30.924,12.994,"D",76.919,"Class1",7.034,8.952,49.084,104.948,42
76.724,72.952,"X",45.792,"Class2",58.143,2.748,69.85,90.151,22
29.956,27.578,"S",70.072,"Class1",34.54,9.192,51.466,80.138,36
40.038,26.758,"J",63.072,"Class1",34.311,8.603,50.758,89.985,24
34.933,21.427,"N",76.783,"Class1",27.809,11.218,49.307,91.175,42
98.196,73.148,"G",47.573,"Class2",64.542,1.829,61.202,94.864,51
47.206,14.761,"T",59.194,"Class1",27.794,9.981,49.726,72.489,27
42.428,20.759,"J",59.17,"Class1",20.22,15.038,50.104,76.383,15
34.569,25.371,"T",61.689,"Class1",35.407,18.551,50.435,71.25,NA
90.053,70.105,"E",45.839,"Class2",18.041,32.067,67.636,92.019,16
87.991,70.379,"E",45.806,"Class2",50.202,23.033,66.873,91.701,53
86.91,70.089,"X",47.183,"Class2",28.969,13.555,51.682,92.171,15
70.875,71.91,"E",46.469,"Class2",43.539,26.944,55.176,93.682,NA
47.082,28.125,"T",56.637,"Class1",21.999,9.709,49.526,88.733,29
34.067,31.208,"J",71.901,"Class1",29.584,NA,51.089,49.167,20
92.841,72.301,"I",46.997,"Class2",56.411,10.812,55.538,91.65,48
92.901,69.508,"I",46.397,"Class2",57.218,23.26,45.447,92.637,43
53.831,20.733,"S",68.123,"Class1",11.8,15.578,49.296,73.589,30
40.024,14.647,"J",77.451,"Class1",24.866,12.294,50.685,84.231,12
86.55,70.851,"U",46.047,"Class2",16.834,11.396,66.058,92.795,73
92.447,68.751,"E",46.903,"Class2",47.96,12.842,43.308,93.214,12
45.745,15.855,"J",68.878,"Class1",11.997,15.308,51.427,59.562,15
71.521,69.148,"U",46.533,"Class2",48.824,16.125,54.206,92.796,36
34.933,20.552,"N",65.957,"Class1",5.653,-1.775,49.916,70.266,18
47.717,22.203,"N",50.917,"Class1",10.883,5.03,50.455,64.887,30
46.476,16.608,"T",67.212,"Class1",10.97,NA,51.031,64.455,20
73.608,70.957,"G",46.682,"Class2",26.925,30.394,46.447,91.859,44
41.134,24.325,"N",68.015,"Class1",5.256,2.101,49.692,61.342,40
52.654,27.841,"T",54.106,"Class1",27.442,14.199,49.708,74.36,41
93.336,72.253,"G",47.76,"Class2",41.333,24.241,53.57,91.524,68
96.171,70.558,"X",46.123,"Class2",52.137,28.026,53.717,90.871,20
73.309,72.612,"E",46.962,"Class2",57.12,4.267,64.012,92.673,40
39.697,25.77,"J",49.614,"Class1",20.253,NA,50.568,80.538,36
84.906,67.998,"E",46.442,"Class2",53.843,24.241,43.487,93.26,6
73.323,68.681,"I",46.623,"Class2",23.625,11.29,49.729,92.176,12
53.794,16.814,"D",56.371,"Class1",29.718,6.538,49.52,72.111,28
40.04,21.714,"D",59.352,"Class1",28.737,24.804,50.247,54.587,24
93.213,71.709,"U",46.113,"Class2",58.38,24.008,54.997,92.318,16
44.22,33.821,"T",73.282,"Class1",17.363,0.514,49.257,52.198,37
42.052,34.179,"S",61.482,"Class1",27.318,9.782,50.091,83.14,15
34.774,31.2,"S",58.488,"Class1",35.378,10.332,51.912,65.092,13
50.009,10.503,"D",70.58,"Class1",7.275,-2.221,49.391,55.492,21
84.04,71.927,"I",48.706,"Class2",34.29,17.67,68.696,90.589,26
92.155,70.291,"X",47.342,"Class2",40.407,5.617,46.093,92.696,52
81.05,70.323,"E",46.962,"Class2",35.537,24.733,69.895,93.112,25
44.566,18.928,"D",70.972,"Class1",29.003,6.806,49.295,37.366,18
73.076,72.141,"X",48.475,"Class2",44.201,25.458,43.489,91.318,25
31.574,23.429,"N",70.371,"Class1",35.57,12.052,50.49,41.551,36
52.895,35.38,"T",51.626,"Class1",5.102,15.855,50.57,77.762,14
81.388,70.327,"U",47.724,"Class2",36.693,19.909,69.242,92.363,NA
78.876,70.764,"I",49.137,"Class2",56.398,31.052,57.134,91.69,53
40.151,25.124,"D",62.298,"Class1",20.509,15.121,49.498,88.181,19
69.597,69.073,"I",46.798,"Class2",44.89,NA,68.13,92.651,25
31.411,24.758,"D",75.851,"Class1",8.944,7.614,49.38,70.601,14
45.575,27.705,"S",78.734,"Class1",25.547,8.348,50.973,65.731,17
78.406,70.491,"X",47.636,"Class2",24.362,4.315,51.27,92.176,72
74.553,71.891,"X",48.567,"Class2",59.287,18.071,65.394,92.747,44
69.832,68.972,"I",47.015,"Class2",27.518,21.136,59.029,92.495,6
68.514,73.017,"E",48.627,"Class2",36.433,14.5,49.94,92.033,69
79.345,72.197,"I",47.399,"Class2",55.163,15.658,58.88,91.442,18
87.93,70.39,"X",48.415,"Class2",16.895,12.025,58.284,92.571,10
87.893,71.544,"G",47.252,"Class2",21.939,20.454,67.281,93.501,75
71.082,70.618,"U",46.595,"Class2",14.741,20.071,68.701,92.073,41
47.274,27.378,"J",56.229,"Class1",26.795,8.86,50.029,77.539,12
33.864,15.92,"N",68.805,"Class1",33.059,22.778,50.727,85.909,13
68.087,71.548,"X",46.721,"Class2",30.448,-7.893,51.061,92.56,59
35.992,46.593,"D",61.189,"Class1",15.488,16.802,49.954,68.761,37
44.597,28.222,"S",60.974,"Class1",27.564,14.608,50.484,78.635,29
52.719,26.601,"T",56.57,"Class1",35.949,11.937,50.774,62.359,41
92.087,70.516,"I",47.445,"Class2",64.78,29.92,46.489,92.602,51
45.917,26.907,"N",53.525,"Class1",9.871,19.128,51.794,39.8,27
87.046,70.029,"E",46.443,"Class2",25.119,NA,45.242,93.765,64
70.51,71.054,"U",49.898,"Class2",56.624,25.646,58.165,93.948,72
48.293,17.421,"T",58.928,"Class1",33.118,9.218,50.992,72.304,12
90.172,72.065,"E",46.97,"Class2",48.783,10.914,68.61,92.391,3
89.317,69.695,"E",47.131,"Class2",36.527,23.874,50.567,92.085,31
32.643,22.811,"D",66.655,"Class1",34.8,6.579,51.823,80.664,26
82.226,68.864,"G",47.697,"Class2",20.337,37.716,43.716,90.154,63
43.426,21.26,"T",60.072,"Class1",23.525,8.704,51.109,84.133,13
37.922,21.177,"S",70.604,"Class1",27.889,6.766,50.895,55.876,28
32.387,27.392,"D",63.785,"Class1",17.138,19.913,51.547,99.348,34
52.839,33.566,"D",66.358,"Class1",23.918,9.526,51.882,84.56,35
54.24,22.387,"J",76.346,"Class1",22.684,8.141,49.816,60.663,36
50.267,22.527,"J",62.363,"Class1",27.176,5.761,50.321,58.763,26
85.783,70.35,"I",45.083,"Class2",42.835,31.319,61.149,94,46
45.266,17.925,"N",64.398,"Class1",33.706,NA,50.478,85.7,29
41.917,8.326,"S",66.965,"Class1",20.913,13.044,50.175,70.031,17
48.835,27.815,"D",60.789,"Class1",32.523,11.458,49.85,68.902,39
81.17,70.77,"U",48.661,"Class2",16.126,13.828,52.659,94.779,18
54.856,8.526,"S",41.704,"Class1",29.658,13.726,51.847,79.86,24
38.157,21.218,"S",52.484,"Class1",28.551,13.324,51.655,77.359,34
82.161,67.665,"X",49.28,"Class2",20.467,31.3,49.555,91.796,2
74.925,71.619,"U",46.977,"Class2",64.3,34.411,44.06,92.041,74
41.224,33.903,"T",69.432,"Class1",21.43,15.606,50.152,56.855,36
52.806,29.686,"S",63.924,"Class1",26.084,19.653,49.003,70.834,31
32.463,34.975,"N",69.384,"Class1",22.883,14.596,51.975,80.855,27
53.527,16.718,"D",64.398,"Class1",29.097,10.134,50.857,67.713,11
44.082,23.743,"N",76.243,"Class1",26.799,13.814,50.513,66.557,22
33.682,17.742,"J",76.928,"Class1",35.306,16.694,49.252,46.197,23
81.653,71.266,"I",46.238,"Class2",59.277,38.319,64.615,92.635,50
34.72,16.096,"D",58.932,"Class1",32.226,19.124,51.135,55.476,26
43.07,20.354,"N",65.925,"Class1",24.384,13.786,49.904,68.297,NA
91.339,72.179,"I",46.129,"Class2",35.093,5.406,49.085,93.051,40
44.406,20.18,"S",70.373,"Class1",12.642,10.271,49.658,98.521,12
93.875,70.933,"G",46.893,"Class2",53.695,13.36,48.257,91.774,44
71.119,70.233,"U",46.311,"Class2",26.167,2.593,65.124,92.857,44
31.845,29.524,"D",63.934,"Class1",34.999,6.051,49.115,40.77,26
42.205,13.695,"T",65.929,"Class1",6.741,11.419,50.547,72.234,42
32.615,20.476,"T",71.554,"Class1",14.067,-0.791,49.681,43.633,33
92.077,70.015,"X",48.418,"Class2",32.516,26.264,72.456,91.198,14
39.758,20.267,"S",65.278,"Class1",32.539,15.466,50.595,52.522,36
83.187,67.342,"E",46.722,"Class2",57.786,18.697,50.462,92.826,2
46.617,10.507,"S",54.353,"Class1",10.099,10.333,49.688,70.878,15
33.486,32.311,"S",64.79,"Class1",7.027,0.361,49.727,68.406,42
40.428,31.834,"N",71.109,"Class1",26.091,17.649,50.074,71.735,42
33.235,24.957,"D",56.932,"Class1",15.888,14.633,51.94,45.675,20
89.178,70.609,"X",48.517,"Class2",49.938,9.184,51.278,92.509,31
55.247,27.865,"T",54.303,"Class1",14.628,11.434,50.12,58.109,33
68.266,71.125,"X",47.186,"Class2",29.593,6.636,51.003,92.007,69
33.761,17.473,"T",62.658,"Class1",23.862,5.096,51.128,52.507,17
85.914,69.874,"G",48.019,"Class2",15.225,16.459,72.298,94.216,50
89.476,69.823,"U",47.54,"Class2",32.977,25.459,55.538,92.828,NA
92.205,71.27,"U",46.871,"Class2",14.047,8.069,43.947,91.291,43
48.151,16.958,"N",65.794,"Class1",25.586,15.241,50.219,67.418,43
94.915,71.768,"X",47.081,"Class2",16.038,12.233,49.976,91.61,11
86.665,72.166,"I",46.07,"Class2",51.852,18.32,47.657,92.1,46
97.735,71.253,"X",47.056,"Class2",46.941,23.956,52.554,92.464,11
52.539,19.332,"S",61.852,"Class1",31.512,NA,50.629,90.793,43
53.269,11.811,"T",66.729,"Class1",25.347,12.094,49.49,58.971,22
92.989,73.19,"X",49.278,"Class2",32.08,29.891,60.729,92.591,58
84.342,73.372,"X",46.914,"Class2",27.093,7.718,51.891,92.531,6
46.747,27.881,"J",62.826,"Class1",25.429,5.716,50.546,99.538,NA
39.468,15.902,"N",67.139,"Class1",31.322,19.503,51.215,59.292,30
80.858,73.529,"G",49.607,"Class2",25.82,5.7,71.185,91.771,49
49.548,7.308,"S",56.048,"Class1",32.172,3.389,51.762,75.41,24
93.889,71.802,"X",47.028,"Class2",30.609,30.506,61.896,92.143,38
46.883,20.852,"N",72.057,"Class1",22.606,10.445,50.635,51.356,20
71.483,68.283,"X",48.484,"Class2",41.413,20.484,57.648,91.521,65
86.103,74.152,"I",46.934,"Class2",60.112,22.168,43.825,93.454,16
29.488,18.117,"D",62.812,"Class1",28.162,11.125,51.761,71.478,30
34.441,18.766,"S",57.464,"Class1",26.981,17.62,49.715,51.291,NA
31.186,14.704,"N",70.444,"Class1",26.558,2.435,51.974,51.522,13
34.104,21.882,"S",66.22,"Class1",23.113,7.634,49.481,65.089,11
43.163,17.755,"D",59.861,"Class1",35.111,12.238,50.029,59.371,17
69.78,72.156,"I",48.237,"Class2",35.765,2.304,48.991,92.968,19
76.784,71.137,"I",48.469,"Class2",38.061,13.053,68.437,91.652,35
97.91,74.257,"G",47.996,"Class2",18.982,19.072,62.287,93.11,11
33.683,34.839,"N",53.883,"Class1",15.277,4.2,50.962,52.932,37
52.114,35.245,"J",71.597,"Class1",33.187,11.4,49.368,62.395,28
40.775,20.911,"S",65.548,"Class1",13.923,3.991,49.538,61.48,15
78.862,73.088,"U",47.067,"Class2",42.998,12.601,49.814,91.818,19
90.819,71.769,"E",47.264,"Class2",28.682,23.337,46.42,92.765,28
94.74,72.033,"X",49.27,"Class2",59.137,21.532,44.464,92.285,14
40.882,25.042,"J",67.403,"Class1",24.743,5.381,50.591,49.709,38
37.317,30.06,"D",62.258,"Class1",18.932,14.44,50.655,61.779,28
84.993,71.822,"U",46.617,"Class2",26.642,15.312,56.823,93.313,27
35.149,21.371,"N",74.866,"Class1",17.291,NA,50.926,62.289,22
54.778,29.349,"T",67.47,"Class1",6.376,NA,50.885,84.448,19
54.014,23.278,"S",65.969,"Class1",14.711,17.134,51.253,88.637,29
50.137,32.38,"N",58.92,"Class1",6.458,13.141,50.732,45.223,21
47.194,17.572,"T",59.091,"Class1",21.105,16.265,49.026,69.181,31
48.829,13.213,"J",65.743,"Class1",7.787,13.649,49.251,106.4,36
75.011,70.535,"I",47.109,"Class2",63.799,13.742,65.524,93.287,NA
96.748,71.509,"E",48.684,"Class2",26.805,19.72,71.665,94.604,32
40.389,32.273,"J",58.478,"Class1",6.338,10.295,49.579,53.323,14
51.635,13.763,"N",57.948,"Class1",13.917,12.424,51.451,66.819,38
93.983,69.237,"E",47.824,"Class2",37.965,19.528,55.383,94.996,75
73.178,69.358,"X",48.018,"Class2",16.895,24.072,64.41,93.091,39
51.942,3.786,"T",68.081,"Class1",6.588,13.038,51.735,87.765,25
46.413,24.452,"S",71.84,"Class1",8.753,NA,50.115,59.415,12
80.673,70.087,"G",45.121,"Class2",31.078,4.334,66.126,92.067,27
79.835,70.484,"U",48.112,"Class2",51.391,10.367,45.501,93.024,59
82.416,72.479,"G",48.298,"Class2",23.92,28.411,65.089,90.395,31
34.121,16.93,"J",56.592,"Class1",20.921,11.585,49.241,47.364,40
34.193,10.582,"T",61.048,"Class1",30.378,11.603,51.294,73.365,17
43.846,16.723,"D",77.992,"Class1",23.678,-3.145,50.691,52.616,38
96.927,70.327,"G",47.384,"Class2",62.418,25.238,72.138,91.987,73
89.722,73.23,"X",51.041,"Class2",36.064,25.981,47.975,92.128,44
69.01,70.106,"U",45.871,"Class2",28.411,-0.306,48.378,91.536,26
92.093,69.995,"G",47.031,"Class2",37.884,28.503,71.394,91.814,NA
38.305,34.24,"J",57.202,"Class1",24.994,17.943,49.709,83.143,27
70.244,71.407,"G",48.044,"Class2",47.867,32.056,56.959,91.803,69
80.817,71.5,"U",48.607,"Class2",37.882,22.864,48.617,92.658,9
77.32,69.641,"U",46.572,"Class2",25.705,32.549,50.626,92.758,56
84.09,72.604,"G",48.949,"Class2",37.574,26.409,54.441,94.111,27
77.838,70.18,"I",47.825,"Class2",64.922,-1.946,45.479,92.876,49
85.637,72.982,"E",47.305,"Class2",23.13,17.271,71.751,91.588,69
91.532,69.384,"X",47.228,"Class2",20.05,19.363,46.511,93.172,31
45.254,24.414,"J",55.402,"Class1",10.794,2.79,50.498,75.113,30
35.846,10.679,"D",70.446,"Class1",10.626,18,50.048,57.976,35
41.748,27.914,"N",61.987,"Class1",17.114,18.397,50.126,86.658,20
49.73,12.257,"D",56.767,"Class1",22.333,NA,51.862,66.116,26
34.812,32.363,"T",63.628,"Class1",32.475,22.721,51.071,51.945,9
42.216,24.544,"J",63.74,"Class1",6.691,10.146,50.713,70.013,25
89.412,69.41,"I",47.438,"Class2",46.039,15.179,70.448,91.537,74
84.504,71.579,"X",47.56,"Class2",17.945,7.738,50.634,93.148,23
53.62,22.948,"D",77.558,"Class1",26.643,3.464,51.723,74.925,37
