"NIR1","BCV2","DTG3","RYA4","WVT5","OFL6","YPK7","Output9","YAD8","JVN9","IWF10","BUI11","PRQ12"
69.758,21.987,60.99,"O",54,43.063,10,"Class5",56.479,68.111,69.693,41.304,"Z"
60.797,-9.37,48.141,"O",58,18.49,12,"Class5",56.043,37.29,61.544,45.401,"Z"
15.907,9.472,20.179,"T",13,110.736,49,"Class1",76.669,47.709,33.058,23.203,"P"
55.739,43.221,86.667,"C",19,32.133,52,"Class3",15.612,66.943,80.698,53.578,"R"
55.928,35.783,61.048,"O",41,78.007,16,"Class5",55.655,86.105,60.841,49.077,"H"
15.517,78.962,13.606,"J",21,84.021,57,"Class1",81.934,-2.606,35.298,31.908,"I"
69.289,30.609,67.563,"H",24,28.842,45,"Class3",8.952,69.999,84.595,54.416,"E"
6.595,28.644,16.811,"J",19,55.02,36,"Class1",73.911,75.75,32.879,28.535,"P"
47.184,16.366,45.902,"J",20,45.66,8,"Class5",56.836,64.203,62.002,40.967,"H"
6.596,51.303,9.405,"V",NA,47.315,27,"Class1",74.881,41.744,27.688,27.184,"W"
81.999,50.443,20.572,"Y",92,47.121,42,"Class4",69.944,62.533,9.323,18.884,"T"
7.198,61.445,12.565,"C",16,43.006,45,"Class1",82.294,124.974,31.052,24.82,"W"
64.462,86.072,44.264,"T",26,89.166,14,"Class2",38.853,70.576,67.191,84.654,"Q"
57.673,16.726,87.699,"C",6,25.615,51,"Class3",10.774,66.531,86.563,62.989,"B"
81.633,51.398,30.825,"Y",92,49.189,48,"Class4",9.767,54.931,39.567,26.629,"Y"
12.118,40.006,12.014,"T",21,27.064,32,"Class1",79.323,50.522,30.182,24.197,"K"
81.433,52.194,16.098,"Y",92,38.223,43,"Class4",56.611,23.305,80.623,31.965,"V"
64.745,45.584,73.941,"C",50,23.986,49,"Class3",5.536,86.865,77.543,54.971,"B"
63.061,61.024,59.058,"H",12,36.174,47,"Class3",8.773,66.824,89.181,63.458,"R"
84.381,29.68,54.415,"V",53,89.535,NA,"Class5",55.328,70.097,74.551,43.604,"Z"
79.927,49.624,27.424,"U",91,55.234,50,"Class4",20.553,39.698,26.041,34.754,"Q"
77.994,38.766,50.539,"O",49,96.872,16,"Class5",56.08,86.773,63.928,52.249,"G"
5.831,43.047,10.508,"C",18,15.856,50,"Class1",66.084,127.525,36.747,30.623,"N"
55.021,13.359,90.475,"K",42,18.681,45,"Class3",16.523,82.21,65.38,60.201,"R"
86.295,85.826,47.164,"O",28,89.829,13,"Class2",48.923,66.343,70.52,63.673,"B"
4.937,33.882,11.217,"X",19,87.2,54,"Class1",76.799,51.967,32.808,28.178,"N"
75.982,53.887,14.728,"E",93,48.771,42,"Class4",23.868,52.063,93.559,30.874,"Q"
78.781,49.796,18.88,"G",91,52.53,47,"Class4",42.343,41.42,86.953,17.724,"Y"
54.624,41.225,57.36,"H",27,29.704,45,"Class3",12.882,63.021,63.806,57.456,"B"
11.74,44.882,13.736,"X",NA,80.426,35,"Class1",73.104,61.323,28.205,26.264,"N"
66.53,24.584,76.311,"H",17,23.31,53,"Class3",1.157,79.223,58.229,60.009,"E"
79.541,54.66,12.776,"U",91,48.531,50,"Class4",49.941,51.415,75.087,22.421,"Y"
79.711,50.28,7.605,"R",91,64.363,41,"Class4",51.336,38.675,30.911,15.221,"V"
85.624,53.888,39.101,"G",91,59.915,NA,"Class4",49.631,65.645,45.624,17.047,"V"
12.333,38.677,17.244,"C",20,38.241,55,"Class1",70.534,57.605,28.105,24.582,"K"
85.165,42.438,52.477,"V",71,46.001,14,"Class5",55.874,45.598,68.557,50.108,"H"
56.836,19.852,63.695,"O",23,43.378,11,"Class5",56.523,68.944,67.658,36.826,"Z"
81.275,49.803,37.251,"U",92,31.138,43,"Class4",69.226,67.141,20.496,30.774,"Q"
77.177,54.449,42.747,"U",91,44.532,50,"Class4",36.468,48.983,80.841,20.244,"T"
81.35,53.104,12.584,"U",91,38.19,44,"Class4",72.038,65.158,88.152,28.827,"V"
58.81,40.845,91.105,"Q",54,43.801,45,"Class3",5.54,74.265,73.103,60.08,"O"
65.265,42.937,66.66,"Q",50,20.397,NA,"Class3",7.581,61.501,81.546,64.352,"E"
60.568,61.25,53.929,"D",57,18.312,11,"Class5",56.668,70.113,62.535,53.96,"C"
86.262,52.603,41.628,"R",93,48.549,44,"Class4",28.585,39.56,87.917,27.469,"Y"
85.945,79.196,45.137,"T",31,88.197,11,"Class2",53.076,73.921,78.848,63.906,"A"
79.317,53.285,27.68,"E",93,36.078,52,"Class4",49.102,36.531,75.575,22.411,"Y"
23.048,50.542,18.22,"C",22,65.169,45,"Class1",72.224,2.61,33.521,29.951,"P"
59.808,84.375,46.41,"T",35,86.563,NA,"Class2",35.309,65.419,61.812,67.005,"V"
4.76,55.721,18.667,"V",20,51.358,29,"Class1",75.879,75.17,29.825,31.252,"N"
74.612,61.369,44.269,"A",36,62.855,19,"Class5",56.892,56.91,78.507,39.081,"G"
3.518,72.057,12.168,"V",24,63.613,30,"Class1",84.717,70.197,36.955,30.913,"N"
59.431,91.59,42.743,"V",24,88.694,11,"Class2",46.07,68.392,65.697,41.215,"B"
70.335,14.367,51.518,"A",27,94.72,4,"Class5",55.856,49.822,71.252,49.91,"Z"
64.123,32.242,62.07,"A",69,11.166,8,"Class5",55.502,67.168,71.273,41.89,"H"
58.677,53.687,59.333,"P",14,31.514,NA,"Class3",12.531,79.117,74.915,60.646,"E"
57.095,86.433,43.842,"S",32,90.889,12,"Class2",48.437,71.636,85.048,84.088,"W"
71.714,77.329,45.453,"O",27,91.448,7,"Class2",45.183,82.985,86.157,36.795,"B"
14.284,46.026,11.961,"J",26,37.344,62,"Class1",74.962,84.176,30.185,27.941,"P"
62.697,87.343,45.305,"R",34,89.247,14,"Class2",44.896,39.672,70.068,74.347,"V"
61.29,93.887,47.618,"V",26,89.689,8,"Class2",37.257,65.325,75.428,43.294,"W"
66.903,19.751,95.534,"Q",31,23.946,48,"Class3",9.03,68.696,80.843,51.957,"R"
54.214,28.592,59.05,"J",55,60.157,15,"Class5",55.052,86.594,67.046,57.51,"Z"
66.479,87.503,43.608,"V",36,87.037,14,"Class2",40.783,88.89,82.219,49.579,"W"
79.532,52.931,31.222,"Y",93,46.226,43,"Class4",43.33,25.499,55.01,34.224,"A"
59.558,30.412,51.927,"H",NA,21.876,50,"Class3",1.102,75.028,85.087,59.799,"D"
58.242,39.918,78.936,"C",6,28.307,47,"Class3",14.992,73.557,85.179,60.207,"B"
79.243,67.844,49.691,"J",65,34.796,6,"Class5",56.898,73.233,78.879,45.821,"C"
18.764,61.583,20.649,"V",18,45.1,54,"Class1",76.859,29.661,33.354,25.354,"K"
18.943,58.099,10.514,"J",25,102.759,33,"Class1",79.048,19.525,30.904,24.569,"P"
19.648,75.457,20.531,"X",22,53.829,39,"Class1",78.302,61.647,30.707,27.873,"N"
57.276,19.964,75.147,"P",NA,23.26,51,"Class3",18.282,69.959,89.527,64.672,"D"
74.754,48.203,8.946,"U",93,42.629,44,"Class4",43.076,65.89,77.15,19.882,"Y"
5.913,47.04,14.45,"C",26,30.84,56,"Class1",70.026,89.673,29.742,27.839,"P"
66.077,34.539,76.745,"H",52,31.58,47,"Class3",14.295,66.047,73.658,54.535,"E"
85.78,50.433,24.003,"R",92,61.687,49,"Class4",46.356,8.62,8.092,12.205,"Q"
60.861,89.74,43.021,"V",27,86.921,7,"Class2",62.47,58.464,75.716,37.887,"Q"
48.306,30.399,44.358,"V",50,99.431,18,"Class5",56.8,84.483,69.152,48.035,"Z"
59.475,33.606,70.385,"Q",6,43.477,52,"Class3",9.715,65.001,58.728,60.495,"E"
79.597,49.331,29.708,"E",NA,64.655,44,"Class4",27.552,37.026,19.673,24.538,"V"
75.816,51.674,20.514,"U",91,72.852,44,"Class4",23.065,27.776,30.328,27.871,"A"
61.012,41.465,85.475,"C",55,32.398,52,"Class3",7.673,66.384,77.237,57.547,"D"
74.164,12.241,59.156,"A",30,16.868,11,"Class5",56.331,67.021,64.444,54.229,"Z"
25.354,41.737,8.692,"X",14,24.36,62,"Class1",72.6,17.48,35.524,26.213,"N"
76.534,87.119,45.135,"O",37,85.858,11,"Class2",44.685,75.233,76.592,98.304,"B"
62.942,26.521,84.555,"K",11,21.735,50,"Class3",22.278,55.229,64.221,59.905,"D"
77.634,49.913,41.905,"Y",91,64.26,45,"Class4",41.412,28.204,25.205,25.084,"Y"
13.531,38.025,19.763,"J",22,50.51,64,"Class1",67.829,84.961,35.731,23.095,"I"
62.38,104.947,45.199,"O",27,85.933,12,"Class2",17.276,76.724,81.573,54.543,"A"
3.153,32.192,10.563,"J",24,79.756,NA,"Class1",65.281,39.924,36.735,28.064,"I"
75.455,47.373,21.146,"Y",92,58.397,41,"Class4",41.329,36.918,70.09,24.367,"T"
69.821,82.986,46.351,"V",30,85.347,NA,"Class2",55.124,109.459,80.3,48.236,"W"
83.405,54.929,27.911,"E",91,56.114,NA,"Class4",33.612,64.758,25.38,33.54,"A"
69.399,35.2,50.27,"K",17,28.497,45,"Class3",0.712,81.013,72.528,53.091,"R"
79.27,90.34,47.819,"R",25,89.433,8,"Class2",39.023,53.599,88.247,40.155,"B"
12.168,49.985,19.773,"C",14,67.964,53,"Class1",82.296,36.51,36.95,23.434,"K"
81.991,88.048,44.33,"T",36,84.455,11,"Class2",37.458,69.506,75.355,67.08,"B"
63.639,38.761,93.457,"K",10,28.935,46,"Class3",3.462,81.528,58.718,60.904,"O"
86.568,49.185,41.12,"U",92,51.176,42,"Class4",37.202,33.622,93.725,13.001,"Q"
9.408,33.015,16.435,"V",11,42.712,44,"Class1",75.787,59.2,28.727,30.454,"W"
70.379,20.664,56.52,"A",41,52.588,13,"Class5",56.507,70.544,61.567,45.16,"Z"
47.978,-8.25,52.085,"A",26,66.32,16,"Class5",56.175,64.114,60.27,54.134,"Z"
53.251,59.541,58.234,"O",19,35.26,10,"Class5",56.534,55.567,69.199,55.192,"C"
72.278,75.514,46.324,"O",30,85.403,14,"Class2",56.233,91.465,61.265,48.422,"A"
64.414,29.987,62.371,"K",32,26.364,50,"Class3",13.369,67.416,62.067,52.662,"O"
82.786,46.592,36.722,"E",92,51.366,45,"Class4",35.741,42.629,85.76,22.806,"V"
86.004,10.581,57.471,"O",18,11.577,16,"Class5",55.396,69.749,64.226,56.021,"Z"
79.886,52.819,33.036,"E",93,55.385,50,"Class4",34.248,34.916,52.672,29.257,"V"
8.836,68.738,18.299,"X",20,61.555,30,"Class1",76.262,26.459,34.449,28.916,"I"
21.79,26.173,16.466,"X",18,30.234,38,"Class1",79.467,16.6,31.412,30.682,"W"
65.469,83.389,43.182,"O",35,85.573,14,"Class2",36.069,73.444,88.789,68.499,"Q"
61.625,38.783,94.268,"Q",52,23.615,48,"Class3",5.629,50.572,75.677,58.785,"B"
68.577,28.384,48.782,"H",49,31.165,51,"Class3",-2.148,80.824,74.242,54.564,"B"
58.536,43.427,62.123,"K",14,27.048,53,"Class3",14.896,77.186,59.775,61.237,"B"
60.433,31.334,62.05,"P",40,26.584,45,"Class3",8.33,79.89,58.643,60.458,"O"
67.085,89.707,42.623,"R",27,87.38,10,"Class2",52.593,73.881,76.838,38.133,"B"
86.999,53.672,10.952,"U",92,48.656,41,"Class4",10.754,26.767,35.849,13.011,"V"
76.799,47.582,15.34,"Y",NA,30.564,45,"Class4",42.583,80.539,16.828,13.228,"T"
66.729,29.407,84.607,"Q",37,28.537,52,"Class3",14.083,73.441,66.568,63.629,"B"
51.027,33.192,62.546,"D",46,12.659,17,"Class5",55.583,91.696,69.231,46.117,"F"
66.985,34.528,61.579,"P",12,24.818,52,"Class3",11.602,79.469,86.773,57.747,"E"
60.273,19.429,57.476,"D",37,90.571,20,"Class5",56.454,87.049,75.925,37.08,"F"
55.768,9.503,60.532,"P",40,29.928,NA,"Class3",11.395,56.165,75.937,53.49,"O"
83.939,50.23,34.704,"E",91,65.152,50,"Class4",31.681,25.71,90.48,29.361,"Y"
9.008,55.072,14.986,"V",11,61.983,55,"Class1",70.77,7.38,28.477,27.004,"K"
81.58,47.744,20.339,"Y",91,33.71,52,"Class4",28.533,54.177,76.352,29.292,"T"
63.756,87.007,45.692,"O",34,93.152,12,"Class2",25.307,59.181,79.684,55.351,"W"
66.529,88.945,43.545,"R",31,85.087,7,"Class2",21.646,73.947,74.731,46.431,"V"
67.45,39.097,51.123,"O",17,107.168,2,"Class5",54.77,27.237,72.267,38.216,"H"
9.251,21.157,12.442,"J",13,67.553,41,"Class1",76.57,69.545,31.313,25.499,"K"
66.162,21.76,85.896,"H",5,31.152,46,"Class3",13.7,72.94,79.134,55.242,"D"
67.348,53.944,46.961,"A",68,67.121,2,"Class5",55.684,66.62,76.049,39.542,"G"
74.918,51.49,11.299,"G",92,44.788,43,"Class4",8.882,71.364,84.385,21.849,"T"
77.851,52.129,40.349,"U",92,42.671,51,"Class4",51.144,45.889,85.274,34.549,"V"
85.702,50.154,37.053,"U",93,47.646,45,"Class4",30.065,24.49,15.541,34.727,"A"
69.88,28.329,67.307,"Q",30,18.444,49,"Class3",17.617,56.776,85.443,61.386,"E"
23.119,63.166,19.451,"X",17,43.275,41,"Class1",77.999,35.602,35.473,29.434,"K"
14.308,24.866,17.797,"J",13,55.168,26,"Class1",70.492,34.162,28.085,25.659,"I"
19.557,36.449,17.147,"X",14,64.518,59,"Class1",77.618,68.667,31.699,25.122,"N"
58.814,26.353,58.747,"Q",46,35.542,51,"Class3",0.513,63.679,71.371,60.566,"D"
77.943,51.42,32.988,"Y",92,28.716,45,"Class4",50.636,30.168,43.208,34.706,"A"
78.78,25.69,61.5,"V",54,29.296,17,"Class5",55.33,86.592,69.948,50.892,"C"
3.138,42.74,10.422,"V",25,50.797,59,"Class1",75.815,25.604,34.211,31.386,"I"
73.847,47.231,14.706,"U",91,36.125,42,"Class4",26.48,49.913,35.804,15.809,"V"
81.489,50.982,17.873,"U",91,37.538,46,"Class4",-13.869,28.36,61.61,21.63,"Q"
59.982,29.728,48.081,"J",47,95.604,17,"Class5",57.374,65.297,62.122,38.679,"H"
10.978,40.163,10.017,"T",24,78.447,32,"Class1",76.107,10.831,36.697,29.24,"I"
12.383,45.521,19.183,"J",23,33.678,49,"Class1",87.824,55.033,31.447,25.467,"I"
81.609,84.789,47.773,"T",35,87.008,7,"Class2",56.757,79.433,66.972,71.996,"V"
5.233,49.964,18.929,"X",15,26.842,NA,"Class1",83.772,11.734,28.875,28.048,"P"
74.162,53.318,40.897,"G",92,43.681,41,"Class4",54.987,49.039,8.722,27.502,"T"
60.998,88.245,44.415,"S",35,88.921,12,"Class2",36.968,67.124,64.127,53.532,"A"
75.665,51.841,20.907,"Y",92,45.983,45,"Class4",17.046,21.91,45.699,33.014,"Q"
55.404,36.92,88.277,"K",15,31.007,50,"Class3",8.319,76.412,74.909,54.22,"E"
13.084,7.867,10.811,"T",21,80.025,53,"Class1",82.234,67.447,31.73,25.203,"K"
74.297,50.668,36.404,"U",91,49.217,45,"Class4",55.821,44.574,41.667,13.656,"V"
58.344,34.227,52.522,"H",8,26.277,52,"Class3",6.88,55.734,71.313,55.072,"D"
79.104,47.938,41.601,"U",92,51.728,44,"Class4",62.882,41.344,32.048,30.969,"A"
77.196,53.175,17.591,"U",92,46.82,51,"Class4",47.389,16.243,27.924,30.034,"Q"
61.909,14.271,57.197,"H",20,32.905,49,"Class3",16.826,61.639,69.878,51.537,"R"
12.338,68.153,17.999,"C",17,19.96,35,"Class1",74.327,55.422,33.237,24.99,"W"
55.34,87.913,43.327,"V",24,91.158,12,"Class2",74.851,54.306,62.741,66.399,"A"
83.043,97.946,42.715,"O",24,89.156,7,"Class2",38.701,74.071,82.515,83.443,"A"
77.76,51.658,42.771,"G",91,45.474,48,"Class4",29.919,34.997,25.762,34.692,"Q"
10.454,49.378,15.784,"X",15,102.279,38,"Class1",79.253,31.862,31.725,29.779,"P"
13.691,46.396,13.291,"X",26,36.046,43,"Class1",74.911,9.287,35.242,24.806,"I"
82.559,31.211,56.949,"A",NA,68.221,18,"Class5",55.669,54.219,73.76,47.938,"Z"
12.163,57.442,10.846,"C",24,18.852,38,"Class1",74.183,37.502,32.653,30.356,"N"
11.564,40.579,19.899,"T",14,23.723,33,"Class1",81.286,50.57,35.34,28.192,"K"
74.205,54.727,21.428,"U",93,31.88,49,"Class4",53.146,74.188,26.701,33.399,"Y"
15.82,60.941,19.693,"V",14,38.242,56,"Class1",78.254,1.95,32.983,26.517,"N"
72.216,39.205,49.593,"V",61,79.274,4,"Class5",55.06,77.946,69.339,51.391,"Z"
67.843,28.14,91.241,"H",14,25.525,45,"Class3",13.623,89.367,72.824,57.358,"D"
7.288,44.854,20.167,"T",25,75.658,31,"Class1",76.904,61.951,33.291,26.057,"W"
10.431,75.185,17.833,"J",23,128.86,51,"Class1",68.535,3.817,31.496,26.685,"N"
83.7,49.056,24.976,"Y",92,21.255,48,"Class4",63.895,52.154,7.979,18.605,"A"
77.975,48.572,20.441,"U",92,41.238,49,"Class4",18.329,37.131,63.593,33.723,"T"
63.075,35.468,87.364,"C",15,37.801,47,"Class3",10.36,58.599,79.952,63.545,"D"
56.453,27.592,60.023,"P",41,21.302,47,"Class3",15.775,73.104,81.076,59.029,"R"
21.868,41.666,20.5,"J",14,78.687,57,"Class1",80.722,80.527,27.281,23.339,"I"
54.854,41.887,76.667,"H",20,30.389,50,"Class3",5.197,79.352,77.768,53.019,"D"
78.7,91.006,42.806,"S",NA,85.563,NA,"Class2",63.192,85.348,64.166,82.281,"Q"
84.336,53.604,28.513,"G",91,76.089,50,"Class4",31.973,45.966,54.932,30.221,"Q"
60.486,37.016,53.804,"O",60,29.272,2,"Class5",55.643,71.538,75.582,55.446,"H"
5.564,42.818,9.957,"J",23,65.081,51,"Class1",84.075,68.072,31.464,26.175,"I"
74.94,49.446,32.551,"U",NA,55.209,46,"Class4",42.963,39.625,29.658,13.441,"A"
79.922,54.297,49.453,"J",42,45.366,12,"Class5",57.312,67.315,75.771,36.781,"G"
57.474,17.619,93.487,"K",15,20.467,49,"Class3",4.6,66.529,71.513,63.115,"D"
54.65,26.847,85.822,"C",8,21.689,48,"Class3",7.425,78.564,79.449,60.556,"B"
63.739,44.598,47.197,"D",24,100.628,11,"Class5",54.481,75.312,74.753,41.53,"F"
86.775,50.782,31.06,"G",91,60.012,43,"Class4",33.179,30.178,25.904,22.504,"A"
84.13,51.932,13.837,"Y",91,33.613,52,"Class4",27.694,40.811,47.302,27.04,"Q"
70.103,87.641,46.241,"O",33,87.311,10,"Class2",34.974,84.67,84.602,51.39,"Q"
80.201,53.908,42.848,"E",91,50.878,52,"Class4",45.187,39.654,60.853,18.747,"Q"
58.833,35.622,74.314,"P",11,35.338,53,"Class3",8.284,50.958,92.515,59.203,"D"
77.664,84.046,47.841,"O",32,91.272,14,"Class2",27.529,72.447,82.354,67.826,"V"
83.219,31.684,56.206,"O",NA,66.613,11,"Class5",55.637,77.365,68.371,48.393,"F"
52.798,24.391,46.462,"A",23,48.297,11,"Class5",55.966,67.635,66.112,41.983,"Z"
84.78,49.703,19.338,"Y",92,52.69,46,"Class4",36.235,16.648,75.791,24.295,"T"
21.852,3.913,15.07,"X",12,82.054,56,"Class1",82.477,56.772,31.358,24.653,"I"
8.258,43.22,15.786,"X",11,30.699,52,"Class1",81.86,57.866,27.856,26.553,"I"
81.287,59.713,60.49,"O",34,39.159,12,"Class5",55.739,55.784,73.525,45.596,"H"
78.83,50.081,31.021,"G",92,62.894,40,"Class4",37.175,17.082,52.071,20.874,"V"
64.221,37.412,79.622,"C",41,24.774,51,"Class3",10.292,70.78,62.805,51.52,"R"
56.02,-9.16,54.526,"J",67,69.17,2,"Class5",55.651,77.393,67.109,55.792,"H"
25.495,52.501,11.133,"X",NA,59.125,50,"Class1",79.616,28.655,33.247,24.782,"P"
76.454,49.904,13.442,"G",91,59.438,52,"Class4",6.383,48.256,58.328,24.955,"A"
86.488,49.371,23.567,"E",92,42.757,46,"Class4",18.617,28.816,14.653,12.198,"A"
82.437,18.273,48.519,"J",37,54.31,19,"Class5",55.692,64.427,75.139,39.422,"G"
83.153,78.79,59.612,"V",32,42.021,18,"Class5",55.695,67.567,72.827,52.384,"G"
69.19,35.514,57.672,"Q",30,37.906,53,"Class3",1.572,72.806,79.911,51.829,"D"
62.056,39.052,48.867,"Q",37,26.595,45,"Class3",0.792,62.099,78.535,63.008,"R"
12.004,59.185,9.839,"T",17,84.921,56,"Class1",72.874,22.572,33.828,31.341,"I"
59.533,40.033,59.025,"J",48,64.174,13,"Class5",55.889,69.313,63.354,48.141,"H"
70.359,28.296,59.71,"D",24,33.143,14,"Class5",56.849,34.525,61.681,48.888,"C"
60.545,33.078,60.126,"K",5,26.337,46,"Class3",10.783,57.076,77.781,59.067,"O"
6.991,79.962,11.26,"J",20,67.947,63,"Class1",77.144,24.738,28.301,23.344,"N"
79.47,53.12,19.922,"G",93,62.934,40,"Class4",29.368,33.407,15.361,35.387,"Y"
62.211,42.804,57.124,"P",38,28.712,52,"Class3",16.021,75.853,85.297,61.115,"R"
64.386,32.541,71.143,"H",34,18.12,47,"Class3",19.196,67.266,62.527,63.981,"R"
3.675,36.489,17.211,"V",12,65.66,58,"Class1",74.354,18.499,36.09,28.968,"N"
68.542,33.676,75.673,"K",53,27.488,52,"Class3",8.633,66.681,87.478,60.31,"D"
57.165,35.994,61.748,"Q",48,26.828,45,"Class3",15.357,62.716,73.365,64.144,"D"
76.313,35.623,54.835,"A",26,80.617,9,"Class5",56.848,83.297,75.107,57.942,"F"
13.316,27.579,19.816,"J",26,53.854,57,"Class1",81.975,71.759,29.817,28.848,"W"
71.547,91.153,42.841,"S",31,89.464,8,"Class2",45.724,65.327,66.623,85.663,"B"
84.112,50.561,7.02,"Y",93,36.476,44,"Class4",101.669,27.775,61.341,30.081,"V"
81.855,91.279,46.946,"T",34,89.138,7,"Class2",33.455,77.662,83.355,85.313,"A"
48.866,17.654,62.566,"V",46,19.309,18,"Class5",54.984,64.009,69.409,46.06,"H"
77.075,91.922,45.4,"S",28,90.35,13,"Class2",48.892,59.641,73.141,92.634,"V"
74.53,48.502,23.875,"Y",91,27.055,51,"Class4",70.446,49.446,75.155,26.1,"V"
61.115,93.342,46.792,"T",37,88.181,8,"Class2",25.653,82.859,79.955,37.68,"A"
86.256,45.506,11.763,"R",91,53.686,44,"Class4",38.767,67.4,41.104,29.366,"V"
65.372,51.314,73.734,"P",43,27.926,45,"Class3",12.647,66.62,62.048,59.706,"O"
64.028,18.379,96.188,"P",51,26.702,45,"Class3",-12.352,80.738,88.636,60.396,"E"
68.6,36.998,51.151,"P",13,24.466,NA,"Class3",9.9,90.059,66.024,54.552,"D"
61.794,85.162,47.639,"R",24,89.151,7,"Class2",29.53,66.687,87.079,44.398,"Q"
24.299,41.105,18.13,"C",18,74.955,32,"Class1",68.123,84.281,27.127,25.996,"N"
53.119,12.718,48.704,"O",66,73.036,19,"Class5",54.371,71.411,74.823,55.449,"H"
74.095,86.933,43.762,"T",NA,87.963,11,"Class2",36.509,82.013,83.634,48.492,"V"
55.218,40.837,55.487,"Q",7,31.924,52,"Class3",14.965,81.704,66.223,54.349,"R"
53.021,49.576,44.427,"O",27,19.572,17,"Class5",55.65,80.313,77.634,52.833,"G"
72.267,71.381,60.966,"O",53,10.592,11,"Class5",56.794,57.546,74.576,49.138,"G"
77.323,54.727,31.848,"U",93,47.318,46,"Class4",21.619,38.646,13.225,28.49,"Y"
64.322,38.878,62.84,"H",19,36.787,46,"Class3",8.02,81.107,66.721,54.97,"B"
77.341,34.277,57.594,"D",44,46.035,5,"Class5",56.518,69.321,61.298,47.329,"G"
70.094,87.92,46.16,"O",28,89.25,12,"Class2",32.701,72.178,68.957,44.14,"B"
73.421,47.116,40.03,"G",91,57.982,49,"Class4",30.681,44.709,16.397,30.585,"Y"
73.235,48.806,39.981,"E",91,57.415,48,"Class4",23.41,54.82,43.351,20.893,"Q"
59.151,93.043,46.113,"S",27,85.189,13,"Class2",31.807,59.797,63.71,62.79,"V"
76.036,90.048,44.436,"V",NA,88.371,7,"Class2",61.166,68.492,77.224,59.118,"A"
74.713,95.956,43.466,"R",32,84.716,10,"Class2",38.627,72.508,75.101,93.485,"W"
62.4,91.259,44.46,"S",24,89.189,8,"Class2",20.119,46.613,85.788,65.684,"V"
74.469,91.712,46.549,"V",25,89.929,13,"Class2",59.497,84.761,75.509,43.608,"B"
64.405,78.273,45.368,"V",31,88.717,7,"Class2",38.748,76.714,73.173,53.384,"A"
55.616,29.273,71.27,"H",6,32.703,47,"Class3",14.362,60.739,68.525,62.354,"O"
79.035,47.004,46.051,"A",18,30.141,5,"Class5",56.435,79.801,77.138,52.276,"H"
72.835,42.268,48.124,"A",44,51.573,NA,"Class5",55.931,87.105,68.453,41.298,"H"
63.976,27.833,53.157,"D",21,28.596,3,"Class5",55.767,45.78,59.804,36.748,"C"
87.058,89.456,43.155,"R",31,88.425,9,"Class2",54.083,63.992,87.058,38.278,"V"
12.594,60.614,9.361,"X",13,54.174,61,"Class1",73.088,31.554,32.211,24.413,"K"
83.851,49.061,23.276,"Y",91,42.844,47,"Class4",49.871,64.953,41.904,35.704,"Y"
9.452,36.838,10.558,"V",11,65.179,30,"Class1",79.941,38.631,36.974,25.956,"P"
84.991,51.716,10.429,"R",91,58.99,48,"Class4",43.882,53.792,24.082,13.602,"A"
11.778,51.453,19.781,"X",14,71.054,33,"Class1",70.438,45.953,30.355,23.223,"N"
73.222,82.261,45.927,"S",24,86.745,10,"Class2",47.112,81.878,77.931,89.269,"A"
83.826,49.654,41.831,"U",93,49.438,50,"Class4",6.302,60.737,41.107,35.392,"Q"
77.779,48.38,32.233,"G",91,64.682,40,"Class4",73.107,71.202,91.18,35.923,"Q"
86.899,17.281,60.144,"D",27,65.671,NA,"Class5",56.46,70.556,63.878,57.212,"F"
23.721,32.61,11.329,"V",26,47.462,58,"Class1",72.723,33.573,33.125,26.888,"W"
73.725,63.493,51.712,"D",45,49.04,8,"Class5",54.387,74.138,63.605,37.638,"C"
57.519,31.149,60.575,"D",39,-27.775,16,"Class5",55.489,78.832,74.203,38.667,"F"
15.458,31.948,12.852,"X",22,71.682,63,"Class1",80.02,59.958,28.096,27.604,"W"
54.004,23.517,75.539,"K",19,17.752,49,"Class3",6.093,67.92,61.63,60.841,"D"
57.327,33.075,95.533,"C",19,26.401,53,"Class3",20.115,66.346,88.407,63.429,"D"
65.953,89.651,46.914,"R",26,86.739,12,"Class2",40.783,81.842,78.715,38.666,"V"
69.566,90.038,42.454,"O",29,89.451,14,"Class2",49.355,56.864,89.652,65.252,"B"
76.71,51.622,13.108,"R",92,27.992,52,"Class4",41.467,41.887,54.756,17.462,"T"
57.551,65.489,56.204,"V",34,23.262,8,"Class5",56.8,57.226,65.098,55.65,"Z"
65.062,87.84,42.318,"O",28,89.549,13,"Class2",23.606,61.136,62.966,76.368,"W"
74.356,83.455,47.581,"O",32,88.094,11,"Class2",48.087,58.483,63.308,86.816,"W"
67.096,30.489,52.19,"Q",25,21.982,50,"Class3",9.048,60.563,87.162,54.949,"D"
12.1,60.769,9.384,"V",22,58.045,50,"Class1",76.962,11.37,30.38,27.783,"W"
48.698,36.766,50.596,"V",22,97.786,11,"Class5",55.388,46.706,64.393,46.349,"Z"
69.822,36.243,51.413,"H",27,24.806,49,"Class3",10.39,59.706,78.997,64.283,"E"
54.423,39.377,91.939,"Q",37,26.838,48,"Class3",0.798,72.842,80.868,56.473,"D"
64.72,57.284,60.753,"C",31,30.48,50,"Class3",8.166,77.768,86.77,57.955,"O"
8.956,38.781,13.856,"T",15,83.386,48,"Class1",80.975,55,31.251,30.167,"W"
