"APU1","TNS2","BNJ3","FKI4","NGO5","FMO6","UYZ7","NLU8","CDP9","DKG10","Output2"
"E",87.06,36.96,15.358,73.675,44.255,15,47.049,"I",22.361,"Class3"
"N",76.566,27.78,47.564,40.752,66.2,87,81.435,"Q",13.144,"Class2"
"J",12.48,23.04,22.986,23.097,95.902,29,69.033,"C",10.933,"Class4"
"I",17.95,45.297,22.757,55.348,85.692,28,80.75,"R",15.688,"Class4"
"A",73.583,84.376,65.392,32.931,74.591,79,24.865,"C",21.674,"Class2"
"G",87.559,32.612,58.293,43.436,59.347,90,45.102,"F",55.838,"Class1"
"A",84.708,61.695,55.457,29.034,69.811,76,26.448,"I",6.369,"Class2"
"G",92.698,30.037,62.258,45.158,59.59,58,38.192,"M",56.492,"Class1"
"J",21.127,28.422,23.28,24.041,83.685,40,72.452,"P",13.02,"Class4"
"G",85.792,32.417,45.302,44.439,58.115,53,43.999,"M",55.483,"Class1"
"Q",16.022,18.138,22.169,60.845,82.15,19,67.58,"P",13.898,"Class4"
"P",79.953,49.5,20.145,83.922,39.175,11,47.166,"R",38.831,"Class3"
"G",81.664,68.452,47.749,10.921,66.133,81,NA,"Q",21.075,"Class2"
"Q",21.432,37.901,23.946,70.818,92.681,20,78.856,"J",10.39,"Class4"
"H",54.728,30.733,67.865,13.856,68.087,87,60.611,"I",28.495,"Class2"
"C",49.073,50.729,66.653,20.135,73.185,89,50.322,"H",70.473,"Class2"
"I",20.271,37.405,22.464,80.591,78.016,26,79.316,"P",15.402,"Class4"
"E",78.342,55.928,27.045,71.519,25.247,14,47.573,"I",23.37,"Class3"
"H",95.591,32.881,50.572,49.398,59.356,79,39.937,"D",59.496,"Class1"
"Q",22.497,7.766,22.014,66.836,84.934,14,79.331,"J",16.787,"Class4"
"H",89.598,28.473,54.812,46.169,58.257,57,39.026,"D",63.99,"Class1"
"C",84.262,32.903,59.378,39.977,62.184,70,45.129,"P",64.409,"Class1"
"H",62.803,80.007,68.837,15.4,62.248,87,35.67,"H",22.938,"Class2"
"E",72.016,55.028,25.127,58.723,32.341,12,47.962,"Z",26.905,"Class3"
"Z",80.734,33.594,63.095,44.576,59.745,66,44.662,"D",55.828,"Class1"
"H",71.12,61.89,68.208,62.419,70.87,88,52.963,"C",60.863,"Class2"
"G",56.623,56.687,42.958,30.995,70.157,81,NA,"G",60.494,"Class2"
"A",60.738,48.081,65.884,34.939,71.861,93,22.35,"G",74.211,"Class2"
"A",75.836,17.468,55.595,33.706,66.639,94,NA,"I",14.72,"Class2"
"N",57.989,66.06,54.654,57.677,73.915,84,44.943,"I",25.972,"Class2"
"D",89.056,31.071,51.749,49.121,58.568,93,NA,"P",61.158,"Class1"
"D",93.913,31.78,51.435,46.414,59.226,51,NA,"D",64.839,"Class1"
"I",28.656,21.787,23.465,51.226,100.175,33,81.33,"C",16.111,"Class4"
"H",85.155,32.746,47.942,44.766,56.866,59,42.764,"P",57.648,"Class1"
"P",67.944,41.799,23.886,70.986,45.722,12,47.557,"I",13.179,"Class3"
"G",90.915,31.847,49.879,46.919,54.174,NA,39.847,"B",65.458,"Class1"
"G",74.177,62.078,43.936,26.193,66.026,92,16.341,"H",22.769,"Class2"
"H",63.336,64.601,52.685,68.051,62.532,90,61.156,"Q",66.558,"Class2"
"H",75.709,55.626,30.272,61.364,49.547,12,47.039,"R",35.434,"Class3"
"C",87.72,30.227,50.663,45.652,61.365,54,44.802,"P",59.681,"Class1"
"G",87.362,32.256,58.155,47.261,57.357,49,44.211,"D",63.444,"Class1"
"A",59.749,59.743,47.923,31.59,62.598,94,74.967,"G",75.305,"Class2"
"H",73.824,38.135,54.343,40.445,69.429,96,16.337,"H",56.85,"Class2"
"N",85.455,36.503,51.473,45.375,77.755,81,43.248,"C",32.089,"Class2"
"Z",93.042,33.153,48.061,44.95,57.543,64,50.96,"F",55.941,"Class1"
"P",65.711,47.46,24.898,70.333,33.711,10,47.84,"R",26.514,"Class3"
"H",88.026,33.671,51.51,44.326,53.255,68,45.995,"D",60.586,"Class1"
"E",62.533,76.558,31.598,76.805,33.216,11,47.036,"Z",10.789,"Class3"
"N",50.401,73.345,47.133,31.338,63.108,91,68.933,"I",24.469,"Class2"
"Q",23.898,17.283,23.892,43.672,78.948,19,66.414,"P",17.988,"Class4"
"Q",14.398,13.276,22.085,65.42,88.48,11,76.284,"R",14.671,"Class4"
"P",71.097,50.114,20.417,66.494,42.147,15,47.762,"R",46.193,"Class3"
"Q",12.855,22.063,22.245,60.906,88.327,14,72.027,"L",14.997,"Class4"
"Z",84.739,31.558,49.672,49.498,59.645,80,49.179,"F",60.738,"Class1"
"J",15.486,13.54,23.911,88.837,80.73,19,71.757,"C",13.282,"Class4"
"J",4.919,15.391,22.596,80.053,80.121,15,74.32,"P",17.676,"Class4"
"I",2.703,-9.789,22.788,36.301,85.47,20,79.862,"J",9.504,"Class4"
"H",88.845,30.235,50.833,45.426,53.771,91,40.906,"P",55.936,"Class1"
"I",12.494,17.856,23.391,59.894,88.904,16,77.356,"J",16.04,"Class4"
"Z",88.971,32.679,55.539,46.359,53.84,91,47.085,"B",58.396,"Class1"
"Z",87.067,31.518,55.802,47.604,58.218,55,50.932,"F",62.698,"Class1"
"Z",81.88,32.242,53.961,46.065,63.476,51,43.782,"P",65.189,"Class1"
"X",12.277,4.041,23.604,70.398,83.776,13,81.278,"R",13.727,"Class4"
"M",74.062,38.548,27.121,61.216,30.504,13,47.349,"Z",43.166,"Class3"
"P",81.219,59.243,23.18,66.04,41.968,NA,47.752,"H",32.751,"Class3"
"E",64.831,69.588,26.249,72.444,26.154,13,47.712,"R",30.406,"Class3"
"J",16.04,47.522,22.885,60.152,79.94,38,70.918,"P",11.882,"Class4"
"C",90.686,32.106,46.236,48.105,63.704,51,NA,"M",58.872,"Class1"
"H",71.125,39.154,50.214,63.134,77.505,92,47.457,"H",76.2,"Class2"
"G",69.615,64.258,55.934,45.74,72.47,95,NA,"G",82.827,"Class2"
"H",66.27,69.541,67.275,37.954,63.924,91,61.711,"I",19.558,"Class2"
"C",61.743,73.383,46.489,76.499,66.463,NA,78.374,"I",72.393,"Class2"
"H",91.797,32.251,47.81,43.92,57.123,60,51.52,"F",62.962,"Class1"
"H",64.834,48.44,61.52,7.444,69.46,97,78.662,"I",48.294,"Class2"
"H",82.979,30.392,53.237,47.456,62.831,49,50.657,"D",57.475,"Class1"
"N",75.065,49.843,68.46,44.798,64.254,92,87.569,"C",50.948,"Class2"
"R",76.267,41.63,24.077,54.878,50.26,11,47.638,"M",30.557,"Class3"
"M",66.803,50.794,29.953,56.388,38.339,13,47.205,"R",17.897,"Class3"
"A",59.711,77.402,59.992,76.353,67.972,86,85.305,"I",52.494,"Class2"
"Q",10.637,35.387,22.3,90.495,83.754,13,66.246,"L",15.763,"Class4"
"E",54.406,17.217,20.763,54.513,33.238,10,NA,"M",34.329,"Class3"
"P",62.615,37.83,21.015,60.235,26.457,10,47.643,"M",14.2,"Class3"
"J",23.13,8.014,22.573,66.381,91.331,38,70.847,"R",17.118,"Class4"
"G",57.095,24.055,47.553,33.752,65.368,90,46.88,"C",34.114,"Class2"
"Z",90.568,31.797,47.079,46.582,62.069,88,49.66,"D",62.481,"Class1"
"H",74.16,69.824,24.795,71.321,33.292,10,47.969,"H",31.378,"Class3"
"G",86.664,31.023,50.031,46.088,57.321,86,47.55,"M",66.367,"Class1"
"D",88.394,30.968,50.335,46.621,57.009,61,43.009,"B",64.15,"Class1"
"P",83.348,36.108,15.384,56.255,46.752,13,47.673,"M",35.983,"Class3"
"E",52.039,63.003,20.948,72.838,46.104,15,NA,"Z",15.014,"Class3"
"G",54.516,88.415,51.868,34.892,66.614,86,63.452,"I",83.622,"Class2"
"D",87.049,29.64,50.444,46.674,58.74,72,49.482,"M",62.461,"Class1"
"C",66.539,27.243,60.324,58.006,64.566,92,54.236,"G",17.063,"Class2"
"D",84.464,31.845,58.657,48.082,62.649,90,43.214,"D",58.482,"Class1"
"Z",89.56,31.731,56.412,46.569,58.099,61,50.512,"D",57.759,"Class1"
"H",86.832,31.285,60.686,46.729,56.208,81,38.356,"B",62.135,"Class1"
"C",81.026,93.025,67.544,15.843,68.104,90,64.253,"C",76.784,"Class2"
"G",89.507,75.668,55.43,21.267,66.963,97,83.072,"G",38.907,"Class2"
"G",54.05,41.124,61.75,71.175,69.227,85,55.229,"H",47.468,"Class2"
"D",86.956,32.457,46.994,43.838,56.563,54,40.841,"M",56.733,"Class1"
"G",61.669,52.391,54.963,41.115,75.627,75,60.577,"C",23.441,"Class2"
"E",90.029,44.313,21.144,55.379,27.615,11,47.458,"Z",31.901,"Class3"
"Z",95.116,31.689,50.469,46.829,56.651,67,47.682,"M",60.07,"Class1"
"C",81.349,60.18,54.12,61.714,70.099,93,NA,"I",7.924,"Class2"
"G",56.486,44.183,66.238,60.239,72.041,96,55.894,"G",60.23,"Class2"
"J",15.672,35.715,22.804,69.147,82.908,26,71.182,"R",12.672,"Class4"
"P",45.835,61.61,23.682,69.739,46.56,12,47.298,"R",18.428,"Class3"
"K",20.669,29.708,23.774,61.3,86.04,39,76.723,"C",13.578,"Class4"
"H",76.864,40.925,54.526,40.14,68.524,95,68.129,"H",85.74,"Class2"
"K",15.98,10.829,23.727,78.682,90.496,19,81.783,"P",16.003,"Class4"
"A",67.819,55.8,43.374,22.801,70.719,93,38.505,"Q",44.471,"Class2"
"X",13.913,8.007,23.984,59.255,79.416,34,76.078,"R",11.315,"Class4"
"H",85.852,29.322,60.787,39.866,57.418,60,41.029,"P",55.644,"Class1"
"P",68.793,33.933,21.515,60.134,37.404,12,47.522,"M",36.586,"Class3"
"D",89.689,31.423,53.858,45.335,55.918,79,52.392,"M",63.465,"Class1"
"X",24.892,35.984,22.256,92.52,75.741,31,76.689,"P",17.146,"Class4"
"X",8.532,35.815,22.793,46.627,80.655,37,68.209,"P",16.645,"Class4"
"C",71.313,65.793,66.349,21.895,63.049,92,35.804,"I",72.092,"Class2"
"D",85.417,30.476,63.777,43.79,55.096,90,50.856,"B",61.433,"Class1"
"J",22.166,26.595,22.39,56.06,90.714,29,71.096,"P",12.907,"Class4"
"H",77.987,74.408,59.489,63.799,65.088,77,40.556,"Q",15.035,"Class2"
"H",78.103,27.183,25.9,51.72,20.598,15,47.459,"Z",35.935,"Class3"
"Z",93.953,30.896,52.736,47.615,56.924,95,47.069,"P",58.366,"Class1"
"G",90.119,30.695,59.865,52.682,58.23,NA,45.984,"D",56.026,"Class1"
"G",87.049,29.598,58.671,48.723,60.01,90,47.534,"F",53.639,"Class1"
"I",14.528,13.982,22.164,106.721,78.96,26,69.432,"J",14.32,"Class4"
"K",12.862,29.602,23.261,55.506,92.507,20,67.824,"P",12.457,"Class4"
"D",89.389,32.041,53.79,41.606,57.428,58,45.93,"F",59.59,"Class1"
"N",62.486,45.761,52.287,19.264,65.129,92,89.14,"C",48.036,"Class2"
"A",64.044,46.33,55.482,24.574,74.017,79,64.009,"Q",66.585,"Class2"
"H",75.708,28.717,26.841,61.265,23.84,12,47.864,"M",48.239,"Class3"
"D",82.232,31.989,56.667,44.279,55.956,73,39.588,"M",54.435,"Class1"
"H",84.099,31.371,56.177,45.379,52.83,84,41.466,"D",57.446,"Class1"
"D",89.656,32.748,57.465,46.027,60.785,93,39.705,"P",60.427,"Class1"
"R",59.987,60.724,13.605,73.01,44.852,15,47.846,"I",46.517,"Class3"
"N",77.002,56.742,42.26,17.352,63.42,81,22.733,"H",74.527,"Class2"
"H",65.148,32.178,18.139,58.808,41.368,10,47.29,"M",12.432,"Class3"
"C",86.115,30.462,58.261,47.903,59.65,54,50.396,"M",61.265,"Class1"
"G",80.036,93.57,51.311,53.049,66.894,75,72.182,"G",34.948,"Class2"
"Z",82.786,32.819,57.109,42.749,55.613,50,42.718,"B",56.231,"Class1"
"X",27.535,6.376,23.991,77.827,83.407,15,72.044,"R",16.434,"Class4"
"I",22.006,33.418,23.101,59.386,87.368,31,78.923,"R",10.742,"Class4"
"I",11.377,23.948,22.235,79.224,83.867,38,79.384,"C",9.362,"Class4"
"H",80.259,62.543,26.146,70.096,46.5,13,47.791,"Z",31.565,"Class3"
"Q",14.887,63.792,22.834,73.481,86.322,10,79.28,"C",11.089,"Class4"
"K",5.062,0.675,23.514,74.376,90.845,30,66.931,"J",17.228,"Class4"
"H",67.811,22.208,25.941,54.825,13.044,10,47.372,"H",46.526,"Class3"
"X",13.119,30.449,22.661,68.916,90.904,8,72.992,"R",15.766,"Class4"
"Q",11.212,20.176,22.761,44.201,81.024,25,75.556,"J",13.853,"Class4"
"E",67.531,46.477,23.202,52.077,31.489,14,47.503,"M",24.364,"Class3"
"Z",89.608,33.62,51.981,48.9,58.035,65,42.975,"F",61.275,"Class1"
"R",69.23,51.263,23.469,72.725,24.929,15,47.655,"I",14.608,"Class3"
"E",68.527,38.913,22.068,52.593,30.299,15,47.831,"H",50.778,"Class3"
"H",92.52,75.09,60.737,61.637,72.702,86,17.978,"I",42.487,"Class2"
"H",57.482,41.914,21.012,65.067,17.123,10,47.24,"R",25.478,"Class3"
"C",91.514,30.136,59.131,47.9,57.235,59,50.228,"F",59.769,"Class1"
"I",11.824,36.952,22.333,49.992,81.448,18,80.432,"C",16.766,"Class4"
"E",60.672,56.261,19.992,43.234,28.115,NA,47.298,"R",38.357,"Class3"
"H",86.469,30.888,59.008,44.392,57.409,62,42.35,"D",62.671,"Class1"
"E",67.081,36.012,21.03,63.422,36.417,14,47.651,"I",34.144,"Class3"
"P",69.125,60.259,28.348,79.046,42.835,12,NA,"H",48.767,"Class3"
"A",90.654,64.516,68.312,38.142,61.882,83,30.238,"G",50.005,"Class2"
"K",17.122,2.469,23.928,14.418,78.493,28,75.061,"R",14.213,"Class4"
"A",79.571,83.326,58.456,75.478,66.632,78,54.275,"H",20.275,"Class2"
"E",66.098,23.256,21.77,53.511,43.793,10,47.304,"H",49.002,"Class3"
"M",65.063,33.232,25.568,57.448,11.945,11,47.539,"M",26.921,"Class3"
"G",82.253,66.289,66.456,57.413,71.315,85,16.208,"C",59.804,"Class2"
"K",21.927,8.368,23.807,76.228,90.725,43,69.603,"P",11.648,"Class4"
"Q",8.876,15.378,23.928,95.576,79.248,18,75.755,"C",14.242,"Class4"
"M",77.204,27.235,19.033,66.933,44.726,15,47.875,"H",10.083,"Class3"
"Z",87.759,31.23,50.782,46.069,62.489,61,46.453,"D",65.9,"Class1"
"G",94.394,30.137,53.315,46.921,62.666,59,NA,"D",65.333,"Class1"
"G",71.642,61.6,57.826,29.128,67.546,85,39.603,"I",58.466,"Class2"
"G",87.109,30.065,47.61,47.297,57.796,85,NA,"P",57.363,"Class1"
"X",14.333,-5.659,22.137,77.139,88.594,13,68.836,"J",15.757,"Class4"
"X",38.15,42.403,23.695,48.54,78.974,32,70.315,"P",12.919,"Class4"
"P",64.637,27.702,20.297,76.904,31.158,13,47.97,"R",51.48,"Class3"
"D",91.988,30.024,45.735,47.554,58.21,NA,41.962,"P",58.312,"Class1"
"H",89.299,31.2,55.948,48.31,59.023,48,40.877,"P",55.41,"Class1"
"G",86.256,29.957,50.113,46.631,60.263,NA,40.554,"F",61.69,"Class1"
"E",72.907,40.766,30.023,64.718,36.367,15,47.786,"H",47.442,"Class3"
"A",65.907,86.75,46.911,44.698,70.162,86,21.736,"I",76.48,"Class2"
"Z",86.86,31.41,53.002,48.448,55.505,82,52.527,"P",62.223,"Class1"
"D",87.252,31.16,54.531,48.004,61.394,87,49.01,"D",56.436,"Class1"
"N",55.592,49.538,53.298,20.224,71.782,84,31.562,"G",7.971,"Class2"
"H",76.346,49.894,54.755,15.419,64.801,80,20.435,"Q",59.555,"Class2"
"H",59.338,52.278,65.969,53.896,69.838,80,34.227,"G",23.501,"Class2"
"D",83.127,33.675,55.638,47.502,60.552,53,41.152,"M",58.563,"Class1"
"P",64.576,60.404,13.812,45.249,50.041,13,47.946,"R",23.906,"Class3"
"X",23.77,37.656,22.622,48.834,83.822,10,75.063,"L",12.033,"Class4"
"P",68.791,34.682,32.328,58.421,26.831,14,47.82,"M",16.38,"Class3"
"P",70.075,56.147,15.852,61.246,30.04,12,NA,"M",25.106,"Class3"
"H",76.732,51.699,66.473,-23.782,66.32,90,53.014,"Q",68.159,"Class2"
"C",42.705,88.87,53.31,45.92,65.366,85,41.902,"I",73.11,"Class2"
"K",12.325,9.254,22.038,102.197,87.562,37,79.179,"L",14.638,"Class4"
"G",91.648,30.866,61.88,46.778,61.201,67,43.416,"B",65.132,"Class1"
"K",15.146,4.665,23.575,24.962,93.903,11,76.759,"J",13.127,"Class4"
"G",88.605,31.27,54.406,46.931,56.226,NA,43.834,"M",64.033,"Class1"
"I",4.991,17.54,23.321,50.162,79.542,42,70.075,"P",11.838,"Class4"
"I",23.57,37.05,23.369,72.497,83.09,7,68.974,"L",9.486,"Class4"
"H",85.318,56.193,49.883,36.003,67.995,78,22.025,"C",33.063,"Class2"
"M",54.944,41.673,26.925,56.316,40.348,13,47.686,"H",35.968,"Class3"
"H",89.738,31.105,49.246,44.047,58.365,73,44.496,"B",62.149,"Class1"
"H",93.079,31.454,46.201,44.8,55.287,82,41.938,"P",59.982,"Class1"
"K",19.113,30.692,22.848,84.689,83.448,20,71.376,"L",15.569,"Class4"
"K",12.187,54.729,23.538,83.331,91.66,37,66.15,"C",14.278,"Class4"
"C",91.394,32.207,60.679,47.536,59.179,53,50.565,"M",66.762,"Class1"
"H",86.154,31.408,56.816,46.926,58.643,48,52.759,"M",66.779,"Class1"
"J",8.01,14.828,23.063,62.885,84.868,NA,73.976,"L",11.495,"Class4"
"E",61.872,48.194,32.13,62.83,13.499,11,47.596,"H",15.796,"Class3"
"H",86.487,30.854,60.181,46.843,56.633,74,39.523,"P",56.732,"Class1"
"Q",12.025,15.888,23.689,68.068,78.501,19,80.702,"J",12.873,"Class4"
"G",75.794,38.69,51.923,41.334,66.258,89,71.197,"C",48.665,"Class2"
"Q",12.275,21.694,23.37,77.849,85.976,41,71.794,"J",16.465,"Class4"
"Q",22.888,3.647,22.166,88.786,85.961,10,74.819,"C",15.704,"Class4"
"Q",7.298,11.402,22.394,50.392,78.114,29,77.432,"L",10.056,"Class4"
"I",21.582,20.649,23.001,19.177,87.15,31,78.613,"J",17.251,"Class4"
"H",65.971,85.892,64.917,43.344,68.345,85,87.805,"G",34.186,"Class2"
"J",30.623,24.353,22.123,95.522,88.742,43,74.578,"J",10.219,"Class4"
"H",88.025,31.039,46.05,43.124,56.174,70,51.719,"P",66.788,"Class1"
"H",85.511,30.606,49.027,46.886,57.124,70,49.238,"B",57.091,"Class1"
"Q",15.529,26.573,23.605,72.804,84.801,27,69.355,"P",14.304,"Class4"
"H",77.605,25.268,64.052,17.172,70.379,92,26.287,"I",64.133,"Class2"
"P",66.158,45.837,30.215,59.437,31.838,10,47.332,"Z",47.374,"Class3"
"E",53.631,58.997,28.96,68.375,27.367,NA,47.462,"H",28.908,"Class3"
"X",11.794,15.01,23.011,43.904,86.087,8,76.394,"P",11.025,"Class4"
"A",60.627,26.067,43.582,40.775,64.012,91,15.145,"Q",79.748,"Class2"
"H",85.388,29.368,45.759,45.726,56.061,86,46.813,"D",57.87,"Class1"
"X",7.123,9.176,23.67,39.728,91.865,32,68.825,"C",16.477,"Class4"
"P",68.597,27.312,18.939,62.893,40.498,11,47.274,"H",33.298,"Class3"
"D",86.532,32.726,60.092,48.706,60.178,51,50.103,"M",59.658,"Class1"
"R",50.873,34.621,19.512,75.25,34.914,NA,47.418,"H",15.349,"Class3"
"I",10.495,19.287,23.704,87.28,88.446,24,77.535,"C",10.711,"Class4"
"G",89.701,30.687,58.446,45.825,60.578,82,51.033,"P",63.389,"Class1"
"H",72.23,63.88,15.439,72.544,35.417,10,47.586,"H",24.966,"Class3"
"H",79.532,37.513,18.201,66.185,27.95,10,47.323,"M",42.474,"Class3"
"J",19.319,27.307,23.928,75.777,89.354,41,73.825,"R",13.874,"Class4"
"N",85.501,59.264,60.936,-0.811,67.997,NA,15.484,"C",70.757,"Class2"
"Q",16.845,16.877,22.79,45.602,74.62,38,77.931,"P",16.833,"Class4"
"J",18.728,38.743,23.409,76.758,87.172,32,75.718,"R",12.247,"Class4"
"H",84.967,33.252,50.635,50.774,58.18,64,45.432,"M",53.632,"Class1"
"Z",91.25,32.332,59.566,42.435,57.074,93,44.729,"D",58.727,"Class1"
"X",28.847,8.625,22.286,58.431,94.347,26,74.232,"C",13.193,"Class4"
"Z",89.361,32.409,62.743,44.742,59.243,86,41.624,"M",55.933,"Class1"
"H",87.202,48.955,45.068,81.949,67.379,94,44.489,"C",62.441,"Class2"
"K",11.462,28.417,22.984,44.847,90.494,25,81.232,"R",16.172,"Class4"
"I",13.832,23.37,23.451,84.309,81.075,40,72.987,"J",9.832,"Class4"
"C",90.864,29.89,49.742,45.117,55.227,79,44.706,"B",66.174,"Class1"
"Q",22.025,29.245,23.275,64.585,87.509,40,73.452,"L",15.628,"Class4"
"H",71.547,107.143,51.688,29.242,64.323,84,79.188,"I",61.458,"Class2"
"J",28.542,9.343,22.06,37.435,86.522,30,72.544,"P",15.243,"Class4"
"K",19.244,17.838,22.494,78.521,90.028,15,78.978,"L",11.893,"Class4"
"Z",89.729,32.052,60.775,47.828,51.034,63,45.973,"M",61.522,"Class1"
"P",80.414,58.487,15.51,77.993,45.134,14,47.926,"R",36.172,"Class3"
"I",6.093,30.292,23.133,77.022,86.858,20,76.286,"R",17.306,"Class4"
"Z",89.825,32.293,47.421,45.088,58.572,93,38.781,"F",58.458,"Class1"
"Q",35.506,32.952,22.724,46.782,89.034,35,74.31,"P",14.958,"Class4"
"Q",21.199,22.908,22.784,54.584,83.718,21,76.412,"R",16.279,"Class4"
"X",12.569,17.81,22.371,66.131,88.027,27,68.429,"J",16.475,"Class4"
"Z",88.584,32.421,45.393,49.546,60.946,52,45.864,"P",56.89,"Class1"
"E",81.589,64.943,13.877,62.929,39.623,15,47.866,"I",16.939,"Class3"
"R",68.06,36.798,16.503,67.475,39.239,12,47.239,"M",37.575,"Class3"
"Z",88.885,32.053,55.132,46.733,54.804,88,38.125,"P",63.803,"Class1"
"H",89.352,31.288,49.542,44.156,60.178,60,42.962,"D",61.589,"Class1"
"Z",88.421,31.968,53.452,47.056,62.989,62,44.742,"M",60.422,"Class1"
"J",7.84,20.765,23.457,58.665,85.873,33,66.589,"R",13.23,"Class4"
"A",67.734,53.028,54.808,68.099,68.042,93,24.217,"Q",62.304,"Class2"
"G",61.197,38.617,56.989,53.265,63.016,78,61.308,"G",61.534,"Class2"
"M",80.108,53.149,25.584,74.46,50.373,10,47.136,"H",20.905,"Class3"
"C",90.547,33.101,48.318,42.71,62.574,92,40.782,"M",58.677,"Class1"
"M",58.431,50.091,20.231,62.775,43.534,12,47.123,"I",29.208,"Class3"
"G",86.006,31.449,53.176,45.449,64.189,90,47.571,"B",55.491,"Class1"
"N",85.001,67.216,48.178,33.692,71.205,81,75.452,"C",65.885,"Class2"
"D",95.665,31.792,52.068,46.343,55.084,90,51.79,"F",53.844,"Class1"
"E",73.698,48.684,16.408,78.801,26.409,13,47.82,"I",29.308,"Class3"
"P",49.971,23.065,31.946,63.638,37.754,11,47.722,"H",41.347,"Class3"
"C",69.092,24.069,44.346,66.37,62.758,80,33.187,"G",56.286,"Class2"
"C",54.725,63.277,67.985,53.96,59.788,NA,42.61,"Q",77.573,"Class2"
"C",69.922,63.699,63.114,58.937,69.213,79,50.66,"Q",43.658,"Class2"
"A",84.423,74.459,65.534,13.139,63.399,91,26.413,"C",10.279,"Class2"
"C",88.775,31.519,55.041,48.518,54.297,59,49.698,"F",60.416,"Class1"
"H",75.973,83.688,46.742,50.414,64.004,81,NA,"Q",24.156,"Class2"
"H",89.443,29.815,56.557,45.037,59.707,60,46.759,"D",60.249,"Class1"
"A",48.411,106.973,66.179,57.228,69.394,94,17.511,"G",10.029,"Class2"
"A",90.239,56.881,56.67,44.061,72.684,95,NA,"C",66.088,"Class2"
"C",70.296,53.366,47.185,59.094,65.012,76,83.294,"G",77.847,"Class2"
"E",63.015,40.391,23.767,65.342,30.65,12,47.777,"M",39,"Class3"
"I",6.035,8.083,23.406,49.591,75.943,34,74.234,"J",9.609,"Class4"
"M",87.305,46.111,14.218,65.513,22.029,13,47.206,"M",10.738,"Class3"
"I",4.643,17.454,22.522,91.972,88.614,41,79.906,"R",14.487,"Class4"
"C",85.985,32.577,47.944,44.907,55.544,59,52.257,"F",60.882,"Class1"
"H",74.467,79.491,57.609,66.088,71.71,86,19.219,"I",26.809,"Class2"
"N",55.821,56.916,59.637,45.105,70.141,78,30.673,"Q",75.07,"Class2"
"E",65.977,59.501,21.422,78.142,27.218,10,47.096,"I",39.774,"Class3"
"C",86.904,53.636,50.545,37.203,67.844,83,25.942,"H",14.916,"Class2"
"G",89.406,30.11,46.576,45.48,59.336,54,44.433,"B",58.178,"Class1"
"M",70.633,41.513,19.162,78.693,44.45,14,47.797,"I",45.255,"Class3"
"I",16.863,8.382,22.499,96.096,91.692,16,77.368,"L",11.678,"Class4"
"R",54.771,30.175,18.408,56.681,23.879,12,47.027,"M",45.179,"Class3"
"H",88.801,65.004,43.664,22.484,64.662,90,24.706,"C",76.094,"Class2"
"Q",15.479,37.295,22.775,61.303,87.967,40,77.797,"J",9.937,"Class4"
"G",77.423,43.618,42.366,34.201,71.941,79,20.606,"I",28.897,"Class2"
"G",91.492,31.457,47.577,49.139,56.559,52,38.954,"F",60.964,"Class1"
"C",53.836,100.688,45.139,5.268,67.945,78,85.839,"C",82.746,"Class2"
"E",70.76,70.138,27.558,52.461,26.614,10,47.944,"H",18.769,"Class3"
"Q",14.549,28.691,23.068,57.879,87.1,25,68.296,"P",12.409,"Class4"
"E",76.449,76.855,19.984,57.944,35.36,10,47.653,"I",17.617,"Class3"
"P",50.128,34.493,15.481,65.831,45.159,10,47.212,"R",35.527,"Class3"
"D",95.762,32.125,49.24,46.6,55.338,92,46.697,"F",57.31,"Class1"
"E",65.283,70.519,16.003,62.201,42.389,12,47.329,"Z",38.499,"Class3"
"C",91.844,67.085,47.422,67.172,67.753,89,45.525,"I",22.967,"Class2"
"E",48.367,38.529,31.199,78.795,31.134,12,47.751,"M",18.586,"Class3"
"M",85.957,35.313,28.802,64.294,31.095,14,47.212,"M",25.825,"Class3"
"J",22.669,7.356,23.644,51.472,84.464,42,72.527,"C",10.134,"Class4"
"Q",13.828,10.546,22.708,57.491,98.967,NA,73.316,"R",17.256,"Class4"
"E",72.571,32.274,21.823,60.583,35.701,15,47.552,"I",27.485,"Class3"
"G",51.408,59.932,61.486,50.775,61.421,83,18.062,"C",63.671,"Class2"
"D",95.148,31.4,55.768,47.929,57.513,61,40.44,"P",56.671,"Class1"
"C",68.531,62.583,66.589,34.784,67.474,95,34.884,"H",71.275,"Class2"
"H",53.04,45.806,18.319,75.192,28.467,13,47.153,"M",21.434,"Class3"
"J",3.341,32.205,23.598,76.128,86.714,26,66.618,"R",9.231,"Class4"
"P",52.762,38.475,29.364,58.449,37.813,10,47.002,"I",30.544,"Class3"
"E",56.566,53.947,17.607,46.034,49.672,13,47.281,"I",49.656,"Class3"
"H",42.479,46.608,54.747,26.379,73.926,94,63.349,"G",4.342,"Class2"
"X",12.382,30.901,22.064,79.207,83.31,29,72.781,"R",16.577,"Class4"
"H",92.52,55.168,25.485,77.62,34.993,12,47.78,"H",46.917,"Class3"
"H",74.467,42.666,24.286,67.362,47.752,15,47.238,"M",50.556,"Class3"
"M",55.089,41.013,17.713,72.33,34.869,12,47.26,"H",12.646,"Class3"
"E",51.535,51.16,23.405,61.202,47.493,13,47.343,"H",36.042,"Class3"
"C",88.779,31.287,52.091,47.524,62.66,NA,39.129,"D",53.563,"Class1"
