"Output4","RWU1","CEF2","BXM3","PAT4","CYJ5","CAD6","MGW7","EXY8","ZGK9","EIF10","QHO11","WZM12"
"Class4","D",17.47,31.614,53.349,"N",59.048,60.377,41.659,92.649,46,80.641,47
"Class2","L",79.009,43.375,36.124,"Q",54.885,43.755,40.028,73.871,65,47.759,71
"Class2","B",64.304,63.243,35.595,"I",86.091,82.079,55.271,59.674,26,45.383,59
"Class4","R",17.611,53.931,81.846,"N",42.218,56.47,46.644,92.133,93,66.938,37
"Class4","S",18.427,31.556,63.914,"E",49.905,56.377,75.474,93.443,39,23.689,34
"Class4","V",34.263,25.014,90.948,"Q",64.762,64.836,97.398,93.39,51,42.148,45
"Class5","B",76.528,17.825,71.625,"C",30.087,16.931,55.242,48.992,48,28.195,31
"Class1","B",87.76,17.729,27.694,"Z",65.15,45.248,82.296,89.649,67,59.443,79
"Class4","D",3.174,43.341,65.346,"P",60.703,54.331,98.403,92.143,90,38.179,NA
"Class5","O",42.983,22.66,51.734,"C",59.795,47.174,52.315,45.202,63,34.917,25
"Class2","L",51.901,64.981,63.506,"R",58.34,19.962,61.351,55.287,81,49.152,40
"Class4","V",8.733,52.624,74.935,"N",52.335,53.272,5.839,90.775,95,41.391,45
"Class3","G",66.846,47.356,41.95,"I",18.001,21.461,58.886,10.475,68,30.553,59
"Class3","Z",63.262,33.961,56.665,"W",19.888,21.154,50.167,26.946,82,30.767,76
"Class5","B",74.062,18.018,66.852,"B",62.508,13.75,67.351,51.674,13,22.298,15
"Class1","B",74.888,27.535,30.113,"D",59.105,63.728,21.581,90.634,83,61.6,94
"Class4","V",22.602,84.667,57.382,"N",71.028,49.936,51.442,91.333,87,22.892,39
"Class3","Z",73.656,19.928,42.59,"R",26.858,21.748,48.596,31.165,52,30.369,62
"Class2","C",71.789,46.357,6.837,"Q",54.713,45.759,100.63,59.377,80,45.902,63
"Class5","B",46.643,24.163,62.199,"C",61.512,17.152,51.421,93.328,43,21.556,15
"Class2","C",68.053,57.144,63.64,"Q",84.526,22.191,74.806,67.73,77,52.606,73
"Class2","A",92.652,58.244,26.743,"I",57.423,19.876,16.362,56.058,56,48.15,47
"Class3","G",70.384,65.146,58.431,"F",21.04,28.625,47.417,17.839,49,30.334,38
"Class5","R",19.481,17.087,53.611,"L",40.653,27.175,35.796,69.213,43,19.996,14
"Class1","T",69.033,25.264,93.998,"Z",60.32,50.347,31.249,90.041,83,59.514,67
"Class2","A",22.058,30.628,67.213,"L",58.143,23.563,51.738,56.381,14,51.414,83
"Class2","Q",53.526,44.905,36.994,"V",55.987,37.165,69.299,59.201,73,49.076,83
"Class2","L",30.617,57.721,78.927,"R",84.287,35.621,70.612,56.435,96,51.123,28
"Class1","L",92.511,31.72,45.99,"S",61.106,34.466,80.884,89.844,58,38.44,85
"Class1","L",81.502,8.63,23.796,"E",61.607,64.313,85.913,90.999,59,46.227,92
"Class1","L",79.151,24.904,33.29,"Z",68.717,37.919,74.226,89.688,69,34.022,87
"Class2","C",41.571,64.702,81.522,"Q",73.843,57.283,27.875,69.559,46,48.741,72
"Class2","A",58.639,39.377,24.859,"R",95.142,60.817,91.628,59.755,30,51.179,63
"Class3","K",86.483,47.583,45.166,"R",23.506,30.888,45.786,26.456,83,30.94,NA
"Class5","G",20.236,25.397,65.464,"E",37.472,38.749,48.457,75.941,55,33.902,26
"Class4","V",12.092,27.955,66.815,"N",65.088,46.948,54.807,91.837,90,81.105,41
"Class3","G",78.38,50.424,15.774,"W",26.69,22.445,37.33,30.966,68,31.382,69
"Class3","Y",65.105,64.226,31.769,"U",24.988,26.327,59.552,20.109,66,30.242,49
"Class2","C",55.875,53.813,28.297,"L",74.067,52.977,101.215,70.49,75,48.317,40
"Class3","G",73.914,41.375,70.856,"U",24.094,32.682,43.013,24.448,73,31.954,63
"Class5","D",30.181,21.63,63.899,"E",52.929,22.326,50.753,84.919,18,19.378,20
"Class1","X",78.114,32.577,48.023,"V",63.397,56.039,39.964,90.402,73,35.273,65
"Class2","A",40.166,56.633,54.827,"R",83.183,45.386,44.67,72.987,34,51.146,54
"Class1","T",84.714,14.339,71.278,"D",61.957,36.463,45.093,89.966,73,64.015,66
"Class3","Y",55.074,56.43,48.516,"W",23.993,24.887,55.755,14.338,78,31.147,46
"Class5","B",38.796,29.508,65.056,"P",68.471,14.123,42.721,39.306,29,23.347,27
"Class1","T",90.32,25.332,35.437,"Z",67.58,52.538,54.983,89.715,79,46.845,96
"Class1","T",70.495,27.864,39.015,"D",62.984,42.966,62.284,89.55,68,54.404,78
"Class5","R",55.215,23.467,77.451,"E",35.48,38.765,41.196,50.299,65,16.568,22
"Class3","E",94.959,59.291,59.244,"F",25.062,30.462,62.536,4.801,71,31.247,71
"Class2","L",69.842,58.963,60.557,"V",81.741,37.043,32.858,66.048,24,49.948,61
"Class1","X",86.12,19.832,51.359,"Z",63.957,46.491,56.829,89.074,54,65.933,76
"Class4","V",2.709,49.826,98.639,"Q",56.767,47.672,70.111,90.555,72,63.936,34
"Class1","T",76.323,15.111,52.127,"S",69.761,28.453,65.97,90.428,55,60.128,76
"Class3","Z",79.699,45.978,43.62,"I",25.708,35.282,33.109,11.432,67,31.63,74
"Class3","Z",55.912,59.692,37.233,"W",22.925,21.214,49.375,12.2,61,30.984,47
"Class3","G",68.496,61.167,46.38,"I",22.585,29.038,49.609,19.327,80,30.662,52
"Class4","D",28.497,46.001,82.181,"W",54.496,51.406,50.822,90.65,95,62.188,37
"Class2","Q",94.59,50.548,56.046,"L",58.176,21.147,26.495,54.777,93,49.408,45
"Class3",NA,55.297,52.739,44.693,"R",20.063,30.808,45.331,5.655,45,30.275,86
"Class1","X",87.321,24.93,51.505,"D",68.144,46.581,37.829,90.239,56,35.94,90
"Class5","D",54.436,17.576,59.318,"B",50.958,18.946,35.494,58.415,42,33.781,21
"Class3","G",58.244,51.203,66.474,"F",24.488,32.806,50.484,26.08,78,31.508,53
"Class5","R",99.745,18.905,62.801,"C",31.624,17.072,45.023,50.651,33,20.265,19
"Class5","O",91.626,20.361,77.291,"B",45.858,42.691,19.76,69.307,44,18.314,29
"Class3","E",67.151,71.122,57.859,"U",20.481,27.948,44.616,6.374,58,30.794,54
"Class3","Y",66.134,38.143,60.647,"F",22.216,36.861,51.498,19.884,66,31.812,76
"Class3","Y",74.825,60.08,42.52,"U",21.441,34.379,37.564,13.072,44,31.087,83
"Class4","R",15.765,41.354,53.501,"P",53.724,51.8,74.282,92.051,79,56.149,41
"Class2","L",72.245,67.392,52.568,"L",90.205,83.256,80.896,69.533,61,51.014,46
"Class1","B",86.074,24.089,58.609,"V",68.224,57.092,19.776,90.598,71,50.46,81
"Class4","V",12.267,59.724,52.245,"P",56.95,47.343,49.86,93.36,71,69.807,NA
"Class3","E",62.72,24.219,27.269,"R",21.631,25.931,45.87,4.319,85,31.236,66
"Class4","V",14.962,92.705,80.302,"P",61.812,54.5,87.921,91.579,70,33.672,43
"Class2","L",56.775,62.222,39.968,"R",74.741,25.719,43.228,68.29,68,53.592,35
"Class2","L",75.647,51.532,72.994,"Q",73.805,79.166,36.436,59.365,78,45.654,40
"Class2",NA,23.912,50.741,70.72,"R",92.871,56.987,44.501,68.821,63,46.081,47
"Class3","Z",61.126,37.684,50.589,"F",25.596,20.914,45.641,13.375,63,31.64,77
"Class5",NA,27.884,18.445,56.959,"C",43.255,34.222,40.963,25.079,51,34.184,18
"Class1","L",88.262,22.783,40.321,"Z",62.407,57.641,67.981,89.035,62,55.085,95
"Class2","L",39.996,58.413,59.618,"I",64.831,19.404,45.074,63.801,19,46.467,26
"Class5","R",50.467,26.322,67.541,"C",44.449,46.272,56.555,89.765,56,31.924,31
"Class4","H",8.498,74.372,79.349,"P",48.241,48.077,58.907,90,52,19.214,40
"Class2","C",97.271,63.462,47.209,"V",80.458,70.346,27.977,66.71,18,50.617,38
"Class3","G",58.468,38.327,59.034,"W",26.168,20.804,48.296,33.845,58,30.678,43
"Class3","G",41.067,81.939,40.529,"W",19.067,20.23,63.793,32.553,58,31.274,66
"Class3","Y",46.269,44.293,55.604,"F",23.558,31.19,44.694,6.886,69,31.832,82
"Class3","G",59.612,85.142,58.795,"R",25.669,33.594,30.186,15.338,76,31.34,49
"Class4","S",6.97,48.07,67.723,"P",59.466,61.771,87.524,92.405,42,41.099,44
"Class4","V",9.255,39.488,71.912,"N",74.22,56.827,46.272,91.415,64,41.542,36
"Class4","R",11.533,77.173,71.224,"E",56.219,53.058,54.834,92.782,67,79.913,43
"Class2","L",35.71,58.615,50.152,"I",76.009,65.955,-7.701,57.119,36,50.632,66
"Class1","T",81.921,33.766,40.523,"S",66.545,46.844,47.284,90.436,55,30.106,81
"Class5","R",27.283,25.254,70.125,"P",55.258,17.663,39.711,93.021,12,22.594,12
"Class4","D",8.82,58.902,61.76,"E",72.908,56.137,32.493,93.112,79,28.21,37
"Class3","G",87.67,35.513,76.552,"U",23.08,24.751,54.792,19.008,51,30.469,63
"Class3","K",84.732,44.298,44.206,"U",21.644,34.333,46.242,9.088,77,31.775,50
"Class5",NA,80.62,22.084,46.131,"C",45.564,35.576,27.843,57.758,31,32.529,17
"Class3","Z",68.124,40.479,58.377,"F",22.636,33.794,46.939,8.088,57,31.661,86
"Class5","R",8.198,23.367,57.817,"E",53.295,42.304,47.752,66.76,59,23.38,24
"Class5","R",35.318,16.759,68.261,"L",38.796,14.14,36.135,93.716,39,28.061,18
"Class2","L",82.41,55.958,76.649,"R",73.69,23.792,40.14,73.5,64,51.608,58
"Class1","T",86.072,20.392,56.496,"S",61.976,28.138,75.062,89.343,75,54.699,61
"Class5","R",113.571,22.015,71.363,"B",57.27,26.92,59.754,36.826,58,14.91,16
"Class1","T",84.633,27.855,67.587,"S",61.801,62.476,72.167,90.343,61,27.301,60
"Class5","D",27.674,22.749,63.078,"C",64.654,36.476,35.384,74.607,28,30.554,24
"Class5","G",31.286,18.747,65.043,"C",52.638,40.717,37.674,33.185,21,33.653,23
"Class4","H",10.452,68.002,49.326,"P",49.297,56.7,78.24,91.375,73,43.562,NA
"Class5","R",87.54,25.444,56.426,"C",65.746,26.846,48.518,57.607,21,19.548,25
"Class5","R",19.241,21.233,67.223,"C",38.528,29.641,40.436,53.309,58,30.485,21
"Class1","L",93.42,22.11,63.71,"D",60.967,42.656,55.994,89.643,80,65.301,95
"Class1","Y",86.282,30.384,23.912,"V",64.778,47.548,61.078,89.827,81,68.745,60
"Class3","K",95.952,54.908,38.979,"R",20.617,36.396,56.162,33.958,50,30.301,53
"Class4","D",21.861,52.048,50.423,"P",66.402,47.688,72.669,91.151,64,19.706,35
"Class3","G",57.224,56.88,58.941,"I",24.979,33.73,53.104,17.671,73,31.746,88
"Class1","X",82.692,29.152,53.493,"E",61.228,54.048,64.188,89.228,78,30.541,74
"Class4","S",14.394,15.065,69.914,"N",61.984,60.151,58.897,92.145,65,78.486,39
"Class2",NA,72.044,55.798,54.239,"Q",68.934,44.698,70.229,60.109,94,51.951,76
"Class5","O",60.664,26.543,74.38,"P",38.948,16.335,33.227,85.129,40,28.059,30
"Class1","B",92.248,19.831,65.581,"E",66.179,65.622,78.038,89.954,64,47.281,94
"Class1","X",83.787,26.61,59.222,"V",63.052,49.228,100.645,90.245,66,49.821,68
"Class2","B",85.585,62.153,74.959,"R",78.149,73.362,16.737,64.887,23,51.317,35
"Class5","R",91.549,21.557,61.355,"E",29.623,27.555,48.309,26.226,34,19.634,30
"Class5","G",33.357,17.245,55.248,"C",50.895,16.142,35.506,55.76,34,16.487,17
"Class1",NA,89.227,11.942,35.496,"Z",63.883,58.682,69.002,89.402,82,61.675,61
"Class1","T",91.648,21.387,38.27,"Z",62.779,28.296,50.43,89.419,61,35.381,75
"Class3","G",52.861,64.46,27,"I",26.796,22.112,42.93,10.49,72,31.861,40
"Class4","V",10.289,44.485,76.643,"E",51.78,54.189,43.59,90.323,64,85.021,38
"Class5","O",65.905,22.512,70.265,"C",49.758,34.837,43.781,34.612,45,20.637,33
"Class4","R",0.603,80.976,62.928,"E",70.551,48.342,60.09,93.253,93,39.304,NA
"Class4","V",2.89,48.881,52.689,"W",66.724,48.395,56.355,91.509,39,37.342,35
"Class5","G",7.42,6.435,63.248,"B",68.051,20.643,67.779,34.404,50,23.37,22
"Class5","R",67.341,23.41,78.641,"C",56.059,24.499,38.458,18.307,29,22.074,21
"Class5","D",41.658,26.703,59.608,"B",33.495,44.76,57.368,63.841,35,33.759,31
"Class1","X",88.894,25.368,14.459,"S",60.464,63.824,87.301,89.741,83,48.161,75
"Class2","Q",32.188,51.555,55.689,"L",74.323,45.516,31.252,57.488,50,48.981,NA
"Class3","G",83.672,47.448,59.616,"F",21.321,21.773,59.505,13.749,58,31.341,72
"Class2","B",55.88,57.234,51.302,"L",72.923,52.443,68.461,68.7,19,47.51,84
"Class5","G",34.779,19.635,53.944,"P",65.739,40.02,21.406,48.265,56,32.194,NA
"Class2","C",57.61,59.758,31.194,"I",62.156,55.885,75.363,66.344,32,53.891,74
"Class4","S",9.13,54.507,60.508,"W",60.68,51.177,82.026,92.616,52,36.9,45
"Class2","C",61.44,48.949,54.75,"L",69.113,63.443,38.013,66.735,74,46.492,42
"Class5","R",55.107,19.201,69.637,"B",54.124,32.039,33.04,26.169,27,20.635,31
"Class2","A",68.504,53.058,63.124,"Q",70.33,19.944,69.801,71.333,28,48.287,31
"Class3","K",87.505,65.824,55.569,"R",21.193,36.387,46.153,16.844,80,30.262,62
"Class3","G",95.05,32.487,70.978,"U",27.532,28.35,51.915,28.991,78,31.382,NA
"Class4","S",18.156,65.479,71.098,"Q",64.257,50.356,107.104,91.305,86,57.474,34
"Class1","B",87.496,13.941,69.862,"V",69.053,44.599,52.14,89.512,76,34.203,79
"Class5","G",10.364,22.461,63.143,"P",37.204,16.036,54.463,49.762,55,31.176,33
"Class1","Y",81.242,26.705,35.998,"E",61.227,54.46,84.421,89.923,73,63.944,87
"Class5","O",65.61,22.164,66.994,"L",57.299,36.825,63.207,66.371,42,29.524,29
"Class5","D",98.868,23.981,47.902,"L",56.488,19.006,49.879,49.081,16,32.124,30
"Class2","L",40.579,47.591,47.994,"Q",73.678,40.846,68.112,58.899,36,49.84,84
"Class1","T",88.032,6.68,24.732,"D",64.475,63.276,75.114,90.064,77,60.453,63
"Class1","L",92.654,19.213,74.592,"E",66.635,32.607,107.724,90.578,56,67.751,79
"Class4","R",-3.966,67.838,80.825,"P",49.04,56.737,90.068,92.218,55,86.811,38
"Class1","T",83.504,-3.83,30.687,"D",69.073,33.934,49.783,90.015,73,45.751,79
"Class2","A",102.1,58.552,49.847,"R",97.924,67.344,31.952,62.611,80,46.537,49
"Class3","Z",72.663,48.882,52.018,"W",24.334,29.563,45.25,15.566,60,30.117,61
"Class4","V",14.658,11.517,70.595,"Q",72.396,53.739,69.193,90.346,70,47.329,48
"Class5","O",-20.481,20.068,58.245,"L",45.359,38.561,38.645,17.478,45,32.507,19
"Class1","T",89.941,23.352,30.705,"V",65.655,40.145,35.318,90.59,57,69.026,66
"Class2","C",99.153,66.44,61.302,"Q",86.464,54.028,48.546,60.765,25,50.563,26
"Class4","V",21.924,48.792,59.789,"Q",47.89,63.627,60.526,93.27,78,16.347,45
"Class2","C",44.196,73.029,47.945,"I",71.56,65.153,65.086,58.055,35,46.231,32
"Class5","B",56.186,20.037,61.853,"P",35.095,24.945,45.771,91.939,37,32.218,16
"Class1","T",96.519,21.343,48.58,"E",69.319,39.294,47.214,90.4,72,51.947,60
"Class3",NA,86.131,32.601,57.943,"U",27.581,20.618,46.094,23.038,52,30.918,60
"Class4",NA,14.508,31.467,45.198,"W",67.462,49.835,71.369,92.729,42,27.137,47
"Class4","R",22.34,53.831,60.782,"W",52.007,58.64,88.323,93.619,93,57.39,45
"Class4","S",3.775,76.198,57.411,"P",52.704,47.463,68.033,93.025,39,37.472,48
"Class5","B",51.599,11.029,64.577,"P",59.21,32.934,41.931,90.977,33,19.259,32
"Class4","R",11.909,19.275,57.94,"W",66.117,59.042,105.459,92.563,96,60.131,45
"Class1","X",85.616,29.14,24.099,"S",62.364,63.829,24.455,89.521,72,65.412,73
"Class5","O",94.097,21.433,71.87,"P",59.037,21.525,41.663,69.699,42,23.353,16
"Class5","G",40.218,19.931,76.431,"C",59.95,30.992,44.748,35.923,59,20.393,33
"Class4","V",19.582,42.327,51.603,"P",55.303,52.859,58.295,90.468,71,82.301,34
"Class2","C",44.873,64.395,59.469,"R",69.983,67.526,92.021,63.332,93,45.46,83
"Class2","B",86.26,63.318,24.416,"L",80.144,35.081,42.589,57.671,20,51.046,45
"Class1","B",84.392,28.406,60.793,"D",62.645,32.438,61.488,90.952,72,64.151,66
"Class2","B",53.989,47.888,52.905,"I",87.477,71.395,63.917,55.718,32,46.061,61
"Class1","B",75.657,21.437,48.386,"S",61.502,50.891,72.86,89.533,80,28.621,93
"Class3","E",52.851,49.046,42.618,"F",21.423,30.768,39.9,31.827,58,30.054,44
"Class1","Y",81.516,25.538,57.163,"Z",69.29,63.976,49.479,89.925,82,56.247,96
"Class2","Q",33.272,51.031,42.702,"R",96.516,71.481,57.925,72.63,64,49.761,84
"Class4","S",20.018,59.537,73.713,"Q",54.233,53.07,52.107,93.412,83,73.145,38
"Class5","G",42.98,15.853,61.467,"C",33.465,27.694,47.452,59.767,44,17.28,16
"Class4","S",18.201,46.701,63.599,"P",62.612,55.604,81.906,90.378,70,23.316,NA
"Class3","G",90.574,59.412,82.179,"F",21.338,25.175,56.124,29.673,86,30.455,81
"Class2","A",28.283,65.18,40.889,"R",84.237,64.394,45.585,55.014,28,52.383,46
"Class2","C",80.616,58.444,52.295,"Q",81.983,69.279,61.353,66.394,42,54.615,69
"Class1","B",80.362,25.295,37.404,"E",69.366,59.719,52.736,90.51,69,42.812,81
"Class4","D",24.2,53.44,56.282,"W",69.722,51.823,55.561,93.122,51,32.001,33
"Class5","R",-4.021,28.279,68.532,"E",40.283,46.971,53.952,73.03,65,34.342,NA
"Class5","R",48.047,20.714,67.485,"L",47.386,45.977,50.965,47.873,41,22.195,21
"Class1","X",84.935,21.218,50.9,"Z",66.443,56.469,65.32,89.354,76,55.807,80
"Class3","E",60.367,47.99,49.168,"U",20.67,28.498,55.675,30.824,49,31.07,66
"Class4","R",9.891,65.705,77.409,"E",72.672,46.877,84.261,93.382,90,48.293,48
"Class1","Y",81.688,24.354,46.763,"S",60.112,45.373,42.519,89.849,74,40.543,68
"Class3","G",73.606,46.518,76.213,"R",22.147,30.84,49.486,17.227,52,30.218,52
"Class2","A",64.953,47.347,61.93,"L",64.211,58.881,67.715,70.518,31,52.131,37
"Class1","Y",84.717,18.739,58.391,"V",68.941,51.469,16.516,90.142,61,46.355,59
"Class2","A",77.803,59.065,66.161,"Q",86.932,21.964,54.825,72.476,66,47.913,70
"Class5","G",75.888,24.54,70.808,"B",53.268,21.664,58.002,38.928,51,20.557,NA
"Class2","C",65.193,51.626,35.991,"V",88.72,22.884,8.054,61.33,74,46.924,59
"Class5","R",44.433,24.522,61.407,"L",31.651,26.803,47.148,75.849,50,18.392,31
"Class1","Y",81.296,27.616,60.79,"Z",63.871,46.881,51.764,89.695,58,65.931,59
"Class5","O",9.462,20.679,85.186,"B",30.645,47.52,34.461,81.778,6,23.707,33
"Class2","B",95.209,59.138,53.031,"L",92.74,19.399,35.606,63.254,46,49.644,24
"Class5","R",-0.261,20.297,66.481,"E",30.969,23.803,19.845,90.589,24,21.193,17
"Class5","O",45.26,24.087,68.836,"E",51.3,19.059,46.495,57.989,44,15.052,29
"Class2","L",65.886,59.14,15.926,"R",97.495,66.071,53.882,60.019,52,50.129,44
"Class1","B",81.111,23.049,66.378,"S",65.401,64.184,44.151,89.045,54,55.816,91
"Class3","Z",77.756,37.612,18.838,"W",20.779,26.205,42.483,16.823,66,31.37,81
"Class2","C",52.554,54.156,46.598,"Q",79.416,59.852,90.424,56.236,72,51.509,76
"Class2","Q",2.96,55.169,65.353,"L",60.343,25.988,60.308,55.934,70,51.696,46
"Class2","A",101.125,55.69,68.652,"V",81.33,67.709,48.545,57.605,90,54.566,85
"Class5","D",46.322,28.816,74.058,"E",65.56,24.627,40.151,25.066,34,25.079,15
"Class4","H",12.052,42.345,60.115,"P",42.287,56.727,39.403,92.073,57,80.453,48
"Class1","X",77.505,27.653,45.911,"V",67.94,35.04,49.521,90.228,78,51.162,69
"Class2","Q",61.088,64.183,94.329,"Q",86.042,63.543,46.719,57.638,68,48.105,66
"Class2","C",56.356,45.72,28.052,"L",64.281,79.85,55.247,70.048,53,52.8,33
"Class1","Y",86.851,16.052,53.922,"D",67.848,31.272,27.81,89.643,63,31.716,74
"Class1","X",79.677,22.393,65.436,"S",65.65,38.966,35.912,90.027,55,50.554,NA
"Class1","T",93.013,12.319,54.122,"V",64.903,40.73,12.782,89.142,80,33.581,84
"Class3","K",70.905,22.474,68.632,"F",21.897,20.295,39.981,33.371,85,31.418,72
"Class2","A",53.258,43.386,79.447,"I",91.974,23.052,72.646,55.703,85,46.948,NA
"Class2","A",76.618,59.977,60.576,"V",58.697,25.324,28.849,68.112,89,47.064,37
"Class4","H",19.498,59.099,83.512,"P",65.149,62.025,76.776,93.002,63,84.269,38
"Class3",NA,72.425,43.718,54.746,"R",26.928,36.731,37.134,10.426,47,30.985,43
"Class4","S",6.974,57.205,87.555,"E",66.878,47.167,77.117,90.761,49,74.297,48
"Class5","R",12.34,24.718,65.202,"P",63.194,17.298,45.877,24.368,4,23.708,32
"Class5","D",18.445,26.417,63.143,"B",34.011,21.474,32.621,67.394,3,21.347,11
"Class1","X",87.594,24.909,21.859,"V",65.759,46.55,52.766,90.72,73,60.342,68
"Class3",NA,55.57,37.875,66.026,"I",20.227,27.673,49.199,18.298,78,31.065,64
"Class2","A",63.658,52.942,72.196,"L",96.764,57.249,69.145,68.78,97,46.537,32
"Class1","L",90.132,20.764,55.206,"S",59.517,56.92,40.151,90.445,54,69.562,77
"Class5","R",34.024,25.012,57.644,"P",45.335,25.428,50.503,28.551,7,14.005,22
"Class4","R",15.474,46.124,84.381,"Q",47.622,46.982,59.142,92.972,57,74.438,48
"Class3","Y",45.52,40.035,53.004,"I",18.306,29.189,63.907,9.071,62,31.743,85
"Class2","Q",30.042,65.334,48.382,"L",84.522,36.211,56.651,55.783,58,49.095,87
"Class2","A",89.675,73.162,48.933,"V",89.173,36.277,43.062,55.635,74,47.183,43
"Class1","X",77.492,17.654,15.805,"S",59.73,69.414,90.861,90.776,66,29.569,67
"Class3","E",76.168,49.948,41.587,"U",25.675,30.377,53.412,7.312,83,31.492,61
"Class1","X",84.301,32.244,35.494,"E",69.076,36.548,112.634,89.557,74,60.523,62
"Class2","A",94.832,53.831,36.649,"I",95.632,73.055,35.479,62.682,20,53.109,44
"Class5","B",28.629,17.187,62.891,"C",54.51,42.509,35.767,28.508,13,24.076,17
"Class4","D",0.662,40.193,100.746,"W",74.283,49.384,37.265,90.6,40,47.676,40
"Class1","L",83.42,21.562,30.509,"Z",61.229,57.247,56.878,90.912,52,53.697,81
"Class1","L",82.477,33.123,45.256,"D",69.728,45.941,49.235,90.329,80,66.266,60
"Class1","L",90.741,23.941,48.644,"E",60.166,66.608,35.082,89.284,62,42.449,59
"Class2","A",9.398,70.284,53.426,"Q",65.352,36.947,45.686,65.502,23,46.246,37
"Class1","L",92.807,30.348,6.634,"V",69.73,29.916,54.468,89.18,68,63.896,96
"Class5","B",57.952,11.749,51.767,"P",46.948,42.041,38.76,44.244,28,36.896,NA
"Class2","A",56.688,67.59,16.793,"I",68.014,35.423,61.592,54.012,39,47.96,62
"Class3","E",74.988,55.85,41.58,"W",24.597,35.471,42.945,20.539,79,30.55,45
"Class3","Y",63.288,12.592,46.723,"F",20.629,35.126,50.434,33.118,50,31.017,82
"Class3","K",62.857,50.256,52.215,"R",25.344,33.81,43.926,11.833,53,31.933,78
"Class2","L",79.375,53.432,46.184,"Q",81.991,53.39,54.792,67.914,62,48.971,32
"Class5","R",87.756,25.69,54.078,"E",43.716,19.02,61.605,70.87,54,17.206,23
"Class5","B",49.709,19.274,80.77,"B",59.558,45.94,31.281,49.808,2,33.744,25
"Class3","E",55.878,47.561,48.963,"U",19.775,33.493,57.727,12.695,58,31.3,68
"Class4","H",5.665,48.985,77.87,"N",72.212,63.155,80.754,92.14,80,31.358,47
"Class1","B",85.65,23.416,72.377,"E",61.871,42.905,74.937,89.035,83,58.235,85
"Class1","X",72.784,37.398,69.762,"V",65.095,54.61,93.961,89.624,81,40.145,92
"Class2","Q",44.101,46.193,41.101,"R",88.352,70.101,53.046,58.194,17,46.817,55
"Class2","B",84.798,80.4,47.866,"V",79.42,37.528,44.357,67.55,24,53.364,41
"Class2","B",42.903,60.237,43.654,"R",76.735,40.15,42.039,61.151,20,49.559,38
"Class3","E",56.606,44.836,36.22,"I",28.091,20.492,35.407,13.899,65,30.571,58
"Class1","B",96.706,23.165,18.549,"S",67.663,30.984,35.14,90.103,71,47.71,83
"Class2",NA,76.625,65.399,76.083,"R",63.586,19.112,25.469,61.93,31,53.826,50
"Class2","A",43.978,68.742,47.967,"I",73.76,62.141,41.25,63.197,46,54.487,65
"Class3","Z",58.964,67.593,58.157,"F",21.765,24.298,46.652,26.957,85,30.429,52
"Class3","G",55.453,55.121,46.791,"R",28.088,27.24,41.236,23.617,84,31.364,44
"Class3","G",83.168,21.272,59.293,"W",28.679,22.679,37.026,12.91,87,31.602,54
"Class3","Z",68.838,66.143,60.75,"W",27.952,33.896,56.595,17.882,63,30.75,51
"Class3","G",63.175,48.889,44.435,"R",18.594,29.96,48.674,28.633,60,31.171,73
"Class4","S",8.022,27.858,56.337,"P",66.344,49.276,74.097,90.844,64,37.959,39
"Class4","H",25.498,55.055,64.554,"N",69.706,63.113,66.102,92.235,49,45.375,34
"Class2","L",64.561,39.735,41.796,"Q",91.041,61.619,30.224,58.882,42,46.748,32
"Class2","Q",43.021,47.675,107.578,"Q",60.868,61.461,37.645,68.426,79,48.449,66
"Class4","V",17.775,23.543,92.393,"N",74.697,46.573,66.792,92.073,89,57.104,37
"Class5","G",40.446,16.185,60.558,"E",54.566,44.2,57.784,39.451,29,17.333,21
"Class2","A",69.205,66.91,58.682,"Q",55.639,25.109,28.28,54.801,59,53.539,52
"Class5","O",53.184,15.854,69.743,"L",65.603,39.316,57.742,79.571,11,21.497,21
"Class3","Z",55.247,52.054,59.424,"F",20.624,29.324,63.408,6.9,56,30.262,66
"Class3","G",59.911,29.282,70.033,"W",21.657,34.703,42.221,29.014,46,31.471,45
"Class4","S",9.913,52.155,48.28,"P",48.533,48.442,77.379,91.88,46,46.28,34
"Class1","X",89.289,34.278,33.681,"E",62.111,39.417,84.736,89.216,82,28.012,85
"Class5","R",41.398,18.84,62.434,"C",36.752,41.424,38.815,69.763,18,25.672,31
"Class3","K",83.892,31.271,52.813,"I",25.132,27.469,35.621,4.992,41,31.645,55
"Class2","B",77.648,46.888,59.852,"R",78.297,36.08,67.847,63.95,83,53.067,65
"Class1","Y",94.4,13.118,36.728,"S",65.023,59.484,41.066,90.817,81,37.403,68
"Class5","O",55.995,17.186,58.337,"E",60.707,13.557,33.809,42.997,53,26.398,31
"Class2","Q",43.016,71.024,63.453,"V",58.728,81.718,64.223,58.151,94,52.624,84
"Class5","D",100.969,19.112,54.326,"C",56.927,43.265,47.304,87.824,63,26.209,12
"Class5","B",40.771,23.875,62.783,"L",42.673,47.646,38.28,35.74,25,26.811,31
"Class5","O",78.607,21.17,53.95,"L",58.469,15.137,25.547,93.847,3,31.41,20
"Class5","B",40.625,20.833,66.702,"C",62.633,36.358,28.505,21.105,5,24.006,13
"Class3","G",57.392,58.213,55.413,"U",27.84,23.557,37.804,27.039,56,30.392,74
