"Output18","TKD1","TPG2","YEU3","LKC4","GVD5","ASP6","ZXY7","RXK8","DBQ9"
"Class1",91,46.527,78.059,"Y",66.335,12.252,65.654,33.754,56.936
"Class3",84,34.734,86.356,"U",88.224,10.531,71.747,36.173,4.79
"Class1",87,47.038,24.53,"A",69.724,36.798,67.157,59.569,50.554
"Class3",86,45.79,36.696,"O",90.383,17.563,67.239,30.732,6.274
"Class1",86,46.511,72.517,"J",55.28,27.531,64.784,31.414,58.359
"Class3",78,70.907,85.955,"I",91.406,7.153,69.746,47.414,11.826
"Class2",60,32.959,71.945,"B",22.218,89.345,79.122,67.064,83.851
"Class3",85,60.405,88.57,"T",87.663,19.771,72.472,43.745,15.09
"Class2",60,36.237,72.855,"B",42.372,59.045,78.069,48.907,75.077
"Class2",57,39.104,72.668,"R",34.33,55.287,78.764,54.231,78.305
"Class1",90,46.637,29.534,"D",76.52,29.728,69.846,73.469,43.508
"Class3",64,64.687,37.276,"M",89.465,10.802,73.095,45.786,2.238
"Class1",90,46.687,82.693,"J",34.494,29.611,67.267,31.644,46.859
"Class3",61,35.994,81.179,"I",87.575,41.983,67.203,32.111,15.393
"Class3",68,48.608,49.548,"I",89.779,32.863,70.198,49.801,3.186
"Class3",63,16.113,63.09,"M",85.695,-7.298,70.069,40.281,10.424
"Class2",65,35.574,72.047,"N",21.023,69.587,77.489,55.83,76.566
"Class1",93,46.547,87.229,"J",73.481,33.975,68.498,47.273,54.537
"Class3",57,71.913,81.18,"M",86.179,26.243,NA,23.186,4.875
"Class3",88,95.323,40.694,"O",90.158,34.812,67.529,34.854,8.967
"Class2",55,36.16,73.251,"S",50.192,56.112,75.639,49.061,79.907
"Class1",89,46.807,10.646,"B",52.823,24.106,NA,13.039,35.681
"Class3",88,74.182,51.037,"T",87.892,30.185,71.466,49.08,7.355
"Class3",84,28.681,77.457,"T",91.399,51.045,73.384,43.458,11.838
"Class2",67,36.692,72.653,"R",29.158,37.411,78.267,35.313,82.824
"Class3",52,37.795,80.6,"M",86.622,33.167,70.319,26.845,5.347
"Class3",66,13.464,33.127,"T",86.615,42.177,NA,44.445,8.962
"Class2",59,35.809,73.43,"S",35.245,81.182,78.511,44.012,82.717
"Class1",96,46.401,85.611,"J",36.617,28.812,65.995,28.136,54.939
"Class3",60,95.712,31.498,"M",88.886,32.624,71.64,48.916,6.256
"Class1",95,46.554,61.184,"D",80.715,15.265,63.689,-0.84,42.15
"Class3",64,84.932,82.109,"I",88.776,45.481,71.061,31.358,13.181
"Class3",72,62.404,49.251,"T",87.112,19.628,69.997,37.582,13.849
"Class3",49,77.983,85.185,"O",89.966,16.664,71.95,25.251,8.264
"Class2",59,36.105,71.736,"U",41.33,90.47,78.533,44.662,78.547
"Class3",89,38.959,62.116,"M",91.427,31.966,67.709,42.473,6.244
"Class2",75,34.323,71.77,"B",22.134,76.426,76.71,38.64,80.484
"Class1",87,47.09,37.127,"Y",49.069,14.52,65.753,37.263,35.741
"Class1",89,46.754,50.789,"B",31.538,23.862,70.339,13.312,49.422
"Class1",85,46.006,70.023,"J",58.237,25.85,66.584,37.248,48.836
"Class2",53,34.647,71.192,"B",40.41,40.877,77.716,18.23,80.342
"Class3",64,32.632,76.622,"U",89.204,47.411,69.065,34.793,5.795
"Class3",54,-6.406,52.306,"U",87.396,24.924,69.113,55.572,11.476
"Class2",74,35.326,73.141,"S",18.608,49.868,75.397,17.983,75.597
"Class3",82,80.935,72.719,"M",87.985,26.451,70.631,48.557,3.098
"Class2",75,33.728,73.588,"N",54.531,63.916,76.372,60.754,79.843
"Class1",93,46.187,64.884,"B",40.677,20.105,69.47,68.347,54.132
"Class3",72,34.754,59.797,"U",90.581,19.207,69.192,47.259,14.929
"Class3",53,81.213,40.671,"O",87.365,NA,69.958,38.279,7.437
"Class1",90,46.696,87.213,"J",26.307,30.203,65.477,45.648,60.111
"Class2",57,38.678,72.976,"R",25.365,45.372,77.966,32.757,75.102
"Class3",56,65.477,52.472,"I",89.332,50.751,72.199,42.155,3.123
"Class1",92,46.94,21.306,"D",91.387,29.761,63.589,50.422,47.282
"Class3",49,49.85,40.032,"O",85.24,34.279,70.126,21.155,12.57
"Class2",51,33.014,73.372,"S",20.644,71.996,76.016,29.192,81.733
"Class2",72,35.81,73.245,"U",42.682,85.83,NA,14.661,78.328
"Class1",89,46.849,64.914,"B",70.819,19.478,64.458,36.924,35.041
"Class3",82,40.514,70.955,"O",86.804,26.042,74.724,26.428,11.694
"Class3",60,94.257,88.595,"O",87.531,22.182,67.921,48.883,14.114
"Class2",56,34.948,73.515,"S",40.59,78.896,77.796,25.326,78.162
"Class2",76,35.337,72.19,"U",35.111,59.99,77.219,32.606,78.451
"Class3",67,40.994,67.446,"M",91.778,25.233,69.792,52.969,12.957
"Class3",68,71.405,59.654,"T",85.355,42.096,71.871,34.721,15.836
"Class1",86,46.247,37.527,"Y",70.539,32.99,67.777,18.361,56.646
"Class2",62,37.991,72.827,"N",44.024,86.831,78.395,32.385,83.918
"Class3",51,65.184,67.014,"O",90.202,NA,68.997,33.117,6.539
"Class1",85,46.569,29.83,"D",76.69,20.656,70.4,67.432,41.426
"Class2",74,35.534,71.097,"U",22.168,89.449,77.595,-27.817,80.228
"Class3",74,40.3,51.392,"O",86.517,24.516,72.582,61.4,7.231
"Class2",73,33.872,72.615,"R",57.767,48.492,78.392,24.447,76.482
"Class3",59,75.194,46.846,"T",86.724,59.743,73.82,41.183,2.711
"Class2",57,36.872,71.522,"N",26.322,65.551,77.688,30.596,82.664
"Class1",87,46.61,18.292,"Y",71.924,21.951,68.527,41.508,37.074
"Class1",90,46.776,7.818,"B",57.214,NA,67.647,41.591,40.022
"Class3",72,27.818,75.206,"O",91.988,26.475,72.534,42.566,11.248
"Class2",65,36.294,71.806,"N",30.624,16.403,76.184,41.732,80.041
"Class2",60,31.41,72.531,"B",18.507,65.363,76.957,52.169,80.235
"Class2",76,38.618,73.135,"S",24.587,77.005,76.041,6.853,79.456
"Class2",58,35.472,71.647,"N",35.156,74.08,76.747,43.057,77.595
"Class3",57,56.601,37.219,"M",87.311,19.677,69.873,43.107,10.542
"Class2",54,33.876,71.644,"R",59.835,98.192,76.941,24.808,78.589
"Class2",55,34.287,73.403,"R",28.503,71.362,78.85,20.77,81.602
"Class1",88,46.182,82.812,"A",81.58,28.879,67.454,22.913,38.88
"Class1",86,46.528,33.724,"D",60.369,40.401,66.949,68.71,42.886
"Class3",61,106.427,49.613,"M",90.37,57.082,72.853,44.351,4.84
"Class3",62,53.366,38.061,"I",86,36.18,70.678,25.413,6.336
"Class1",92,46.28,75.172,"Y",38.836,32.444,67.146,21.971,39.103
"Class2",65,33.787,72.171,"R",56.66,88.276,77.017,36.653,78.885
"Class2",74,34.894,71.575,"S",48.785,97.905,NA,47.496,75.092
"Class2",60,37.897,72.488,"R",52.344,NA,78.603,54.975,79.289
"Class2",52,35.428,72.118,"N",31.601,59.079,77.05,29.995,83.045
"Class3",49,54.683,90.544,"M",85.746,43.545,72.223,35.246,10.115
"Class2",71,34.41,71.26,"B",55.956,27.542,77.735,33.925,75.959
"Class3",76,44.586,65.126,"M",88.083,32.745,72.728,36.002,6.544
"Class1",90,46.132,63.985,"J",87.844,25.932,65.214,54.327,53.866
"Class1",86,46.473,59.688,"J",29.59,16.357,64.585,101.875,51.547
"Class3",89,47.638,36.045,"T",86.401,39.245,70.806,33.581,10.158
"Class2",75,34.801,72.373,"U",49.002,40.322,77.072,54.255,81.697
"Class1",89,46.247,78.914,"B",88.894,33.499,68.305,28.214,45.181
"Class2",61,35.033,72.859,"S",51.965,68.185,79.221,48.838,78.258
"Class3",56,51.119,78.442,"O",87.887,14.364,73.63,36.447,5.716
"Class1",97,46.602,62.9,"Y",47.332,14.065,65.657,65.867,37.425
"Class3",55,55.83,57.833,"M",86.241,47.345,NA,41.605,8.026
"Class1",85,46.626,88.286,"A",31.861,29.707,64.048,36.749,48.501
"Class1",95,46.766,82.458,"B",50.607,44.099,67.959,57.691,55.878
"Class3",50,42.25,79.459,"T",85.021,42.548,75.951,29.827,2.352
"Class1",85,46.722,14.182,"J",32.14,20.954,69.387,45.506,44.911
"Class1",87,45.867,89.181,"J",59.004,22.075,69.409,46.837,58.31
"Class2",53,37.218,73.931,"U",26.972,88.785,77.788,22.422,77.916
"Class3",61,77.16,60.864,"M",87.016,19.946,69.29,31.168,7.203
"Class2",62,38.676,72.671,"B",24.038,NA,78.73,39.994,77.41
"Class1",94,46.666,24.667,"J",76.475,39.762,63.869,46.486,54.937
"Class2",72,36.101,73.366,"R",20.742,59.688,77.34,42.614,77.253
"Class2",71,36.249,71.666,"B",19.572,66.01,76.387,13.678,75.505
"Class1",87,46.741,70.543,"A",80.94,19.13,66.654,57.982,54.757
"Class1",90,46.153,67.191,"Y",70.996,34.872,65.433,11.75,54.183
"Class1",89,46.5,86.218,"Y",37.182,22.157,66.722,67.511,60.023
"Class3",59,67.019,56.22,"T",90.327,11.106,71.915,16.008,3.93
"Class3",55,63.283,49.123,"U",91.467,32.235,72.788,40.123,12.202
"Class1",87,46.496,44.345,"J",50.376,18.48,67.2,38.435,51.597
"Class1",90,46.389,78.625,"Y",31.011,20.825,65.558,44.929,59.648
"Class1",87,46.019,39.368,"D",24.287,19.53,67.846,25.085,56.564
"Class1",97,46.184,39.288,"B",39.032,16.389,66.798,1.406,45.787
"Class3",89,56.006,71.868,"T",89.876,19.864,70.596,28.919,7.906
"Class2",55,32.932,73.301,"U",48.78,45.795,76.509,29.183,81.54
"Class3",48,34.469,62.533,"U",88.287,23.546,73.173,53.787,9.507
"Class3",66,8.542,66.257,"T",91.509,35.756,71.271,54.216,8.879
"Class3",89,43.903,46.563,"O",89.804,29.924,71.866,28.36,2.837
"Class1",94,46.847,89.739,"J",90.575,18.725,62.235,40.276,52.134
"Class2",52,35.82,72.952,"S",27.516,87.39,78.969,23.164,76.042
"Class2",58,37.747,72.204,"N",39.501,72.619,77.231,36.761,75.31
"Class1",90,46.765,72.457,"D",40.522,40.775,67.222,52.18,35.192
"Class3",63,36.997,78.743,"U",85.403,55.205,69.755,36.187,11.591
"Class3",84,72.438,80.042,"M",88.649,39.379,NA,47.274,12.709
"Class2",53,39.711,71.934,"U",29.489,116.304,76.551,28.3,83.505
"Class3",88,43.491,57.535,"U",88.126,6.912,70.983,51.817,7.369
"Class2",54,34.678,73.457,"B",44.991,48.628,75.392,31,75.976
"Class1",88,45.888,55.696,"A",25.892,29.688,66.754,43.148,52.117
"Class3",58,23.721,38.971,"U",87.404,32.121,71.596,54.924,15.519
"Class1",93,46.802,8.037,"B",36.125,30.449,66.729,61.487,45.496
"Class1",92,46.459,37.978,"J",60.403,29.536,66.386,11.212,61.903
"Class2",54,37.64,72.558,"R",56.684,27.019,77.553,29.995,82.073
"Class2",64,38.405,72.145,"B",47.112,59.856,77.407,40.867,75.559
"Class2",61,35.822,72.868,"B",31.332,NA,76.799,56.064,75.448
"Class3",76,34.126,43.299,"M",90.655,-0.219,70.023,41.517,5.639
"Class3",83,66.15,62.268,"I",85.728,6.032,70.482,40.566,13.669
"Class2",72,35.135,72.085,"B",51.065,62.197,77.05,57.219,80.317
"Class1",96,46.262,75.393,"B",27.624,27.127,65.05,46.865,45.806
"Class1",86,46.743,38.606,"B",34.336,31.809,68.223,26.563,44.827
"Class3",64,31.586,75.789,"T",90.215,2.115,74.81,41.329,7.011
"Class1",85,47.043,26.975,"Y",51.7,34.855,66.318,46.004,58.006
"Class2",71,37.572,72.053,"N",50.766,53.173,76.573,62.795,80.492
"Class2",51,36.183,71.612,"S",55.673,38.209,77.582,62.909,82.1
"Class2",75,36.713,72.318,"B",32.331,59.756,75.148,22.74,82.469
"Class2",68,33.014,73.519,"N",32.154,77.373,75.805,55.989,82.294
"Class3",54,49.344,47.236,"M",90.637,13.051,69.536,39.596,2.713
"Class3",87,94.928,55.812,"I",85.029,31.218,70.713,27.314,15.132
"Class2",64,36.494,71.504,"U",53.393,60.013,77.257,27.989,82.304
"Class3",56,34.193,52.613,"M",89.439,42.965,77.013,38.293,8.234
"Class3",86,69.416,30.242,"O",85.106,31.958,71.793,34.011,13.965
"Class2",71,37.529,73.854,"U",53.765,60.174,78.025,58.684,83.396
"Class1",94,46.279,34.217,"A",55.522,13.828,68.747,14.291,60.003
"Class2",68,37.696,71.682,"N",44.565,71.774,77.218,56.358,83.632
"Class1",95,46.674,32.384,"D",91.5,21.642,62.626,52.808,44.334
"Class3",56,19.508,47.315,"I",89.188,38.855,70.274,43.975,11.188
"Class1",97,46.355,28.727,"Y",34.078,34.05,62.985,35.253,41.104
"Class1",85,46.469,47.33,"Y",60.035,42.196,66.318,60.992,48.285
"Class1",94,46.037,4.935,"A",47.347,NA,61.282,27.918,43.886
"Class3",63,30.613,39.301,"I",87.843,23.628,72.061,38.871,10.11
"Class3",68,20.511,67.543,"I",91.157,25.881,73.142,54.286,12.46
"Class3",87,73.515,36.804,"I",91.256,41.192,70.331,48.636,7.625
"Class1",97,46.578,54.684,"B",55.975,44.051,65.901,88.754,60.808
"Class1",97,46.943,88.004,"J",36.568,33.133,68.935,40.785,45.392
"Class1",86,46.074,79.875,"B",42.685,18.399,67.2,33.54,44.64
"Class3",91,35.583,39.265,"I",88.84,54.442,69.063,51.887,5.677
"Class2",56,37.247,71.992,"R",37.777,NA,77.242,40.337,79.955
"Class2",73,36.804,71.093,"S",37.908,70.596,77.904,54.139,80.138
"Class1",89,46.742,3.523,"A",85.148,13.974,68.483,35.728,42.521
"Class3",81,74.942,59.122,"M",86.217,20.658,70.537,42.025,2.024
"Class2",63,37.802,71.848,"N",33.502,83.318,76.19,39.033,82.32
"Class3",80,29.744,60.353,"U",87.867,23.421,NA,39.868,15.595
"Class1",87,46.738,15.961,"B",83.473,28.497,69.003,32.764,38.797
"Class2",63,38.887,71.077,"B",36.376,108.595,78.088,16.079,82.136
"Class1",91,46.431,41.979,"Y",67.398,16.896,66.845,68.018,36.685
"Class1",86,46.676,36.741,"D",31.882,38.549,64.606,68.343,46.624
"Class1",90,45.892,26.212,"Y",78.216,37.06,68.488,74.851,35.092
"Class3",79,61.539,62.167,"I",90.108,23.548,71.357,46.586,14.969
"Class1",97,46.416,64.739,"Y",72.818,28.549,65.096,73.723,51.452
"Class1",88,46.407,12.757,"D",35.026,25.488,64.317,37.64,59.477
"Class1",86,46.198,20.74,"D",83.424,27.736,63.984,37.519,59.925
"Class1",95,46.045,39.205,"B",39.79,25.847,65.496,60.309,46.088
"Class3",57,71.424,49.805,"I",85.339,32.975,73.165,27.799,10.791
"Class3",86,62.17,71.606,"U",86.49,37.406,73.004,41.305,8.466
"Class2",73,37.643,71.053,"S",26.081,39.432,78.537,71.088,80.169
"Class2",69,36.092,71.005,"S",51.167,61.431,79.084,56.975,81.488
"Class1",85,46.259,90.167,"Y",26.521,36.442,67.103,61.708,39.93
"Class2",63,37.785,72.073,"U",27.325,76.058,77.201,32.477,79.041
"Class2",58,35.051,71.542,"B",50.408,62.175,77.756,22.781,81.569
"Class3",54,48.775,57.169,"T",87.855,36.468,73.062,34.972,11.341
"Class2",74,33.11,71.213,"R",42.525,64.829,76.492,11.148,83.721
"Class3",78,57.699,69.911,"T",86.085,31.757,70.209,30.781,9.774
"Class1",93,46.799,47.098,"J",56.592,50.025,69.041,-0.57,58.512
"Class3",80,43.895,64.993,"I",85.729,10.526,68.821,39.255,2.465
"Class1",91,46.517,10.055,"J",42.681,34.848,64.519,30.419,37.177
"Class1",94,46.894,80.451,"A",25.6,29.797,64.377,49.63,59.276
"Class2",66,34.552,71.84,"B",26.853,57.468,78.603,86.199,76.646
"Class2",53,35.25,72.838,"U",48.511,83.722,77.402,28.678,83.001
"Class2",53,36.693,72.06,"R",52.258,57.933,NA,54.918,75.808
"Class1",95,46.312,90.848,"A",73.094,13.964,66.964,39.321,56.812
"Class3",78,48.113,65.954,"T",89.29,56.722,71.75,34.907,6.525
"Class2",73,36.459,73.437,"S",47.071,32.426,78.902,-15.436,80.443
"Class1",94,46.569,14.862,"B",52.819,15.487,65.337,30.415,35.102
"Class3",59,37.808,84.157,"U",86.325,-1.948,67.379,30.128,9.497
"Class3",64,25.565,71.95,"U",90.012,-3.001,69.606,25.355,13.207
"Class3",69,56.833,81.778,"I",90.577,7.792,72.604,42.118,2.637
"Class3",62,15.463,48.915,"U",91.109,NA,73.57,37.724,11.706
"Class3",69,6.106,86.078,"M",90.731,-0.427,69.704,60.812,12.073
"Class3",88,61.01,90.665,"T",86.527,54.745,72.93,30.86,15.513
"Class1",88,46.668,68.49,"Y",84.453,21.73,63.036,91.597,60.537
"Class1",87,46.646,3.785,"J",54.423,29.329,65.668,39.655,54.354
"Class2",71,35.399,72.342,"S",44.947,74.738,77.034,-5.005,82.227
"Class3",79,45.917,72.477,"U",85.537,24.335,69.625,36.841,9.448
"Class2",51,32.138,73.066,"S",41.099,46.958,78.375,22.491,75.707
"Class3",78,46.589,75.561,"I",89.661,24.123,69.285,29.085,9.098
"Class2",61,35.247,73.326,"B",38.324,75.983,75.666,30.194,81.91
"Class3",48,25.061,72.042,"T",90.722,NA,69.742,41.832,5.834
"Class2",64,36.54,71.868,"S",59.559,75.949,77.452,40.61,78.33
"Class1",94,46.408,80.685,"J",50.725,21.871,69.35,3.562,43.118
"Class2",67,38.397,73.566,"U",51.121,69.265,76.458,33.447,82.773
"Class2",66,37.31,72.677,"B",25.712,73.146,77.141,31.403,80.227
"Class3",60,88.759,80.344,"M",85.158,10.427,73.519,45.521,7.795
"Class2",64,33.117,73.933,"R",60.441,61.653,77,26.189,82.341
"Class2",57,35.379,72.115,"S",48.121,NA,78.081,40.36,79.018
"Class2",61,30.52,73.121,"B",58.422,51.264,76.44,65.977,76.127
"Class3",58,36.026,33.529,"T",85.681,29.064,76.057,20.512,12.308
"Class2",75,36.442,71.828,"N",43.625,43.893,76.837,65.258,80.464
"Class3",53,49.33,88.642,"T",88.434,11.344,NA,61.048,12.807
"Class3",83,83.534,48.002,"T",91.168,42.911,67.073,27.446,2.845
"Class1",97,46.359,13.383,"Y",51.403,25.222,65.298,17.473,58.005
"Class3",55,66.419,33.302,"O",89.647,30.682,75.114,51.861,11.489
"Class2",54,35.593,73.027,"U",43.053,70.042,76.701,50.437,78.615
"Class2",54,31.316,73.599,"U",59.996,56.547,78.276,45.195,78.768
"Class1",90,46.168,76.655,"J",77.799,9.559,65.739,46.039,50.681
"Class2",55,37.372,72.692,"R",26.899,82.253,76.713,29.228,78.15
"Class3",57,45.106,40.037,"T",90.147,18.967,NA,42.383,11.094
"Class3",88,80.32,40.706,"O",89.791,-2.863,69.708,32.788,15.283
"Class2",61,35.202,73.985,"B",46.907,70.579,77.621,20.683,79.478
"Class1",95,46.033,31.982,"J",81.646,11.568,68.001,15.895,52.137
"Class3",74,17.606,36.168,"T",86.338,43.737,NA,59.445,2.824
"Class3",72,50.896,75.439,"U",89.152,32.244,75.49,26.159,2.826
"Class3",77,90.19,74.586,"T",90.876,35.397,73.732,28.598,13.315
"Class1",91,46.252,10.635,"J",61.891,NA,67.691,27.876,54.118
"Class2",68,35.103,71.869,"B",35.618,45.447,77.241,20.516,83.769
"Class1",92,46.986,83.184,"J",89.159,13.644,69.681,5.739,40.607
"Class3",66,16.717,79.618,"I",86.483,36.934,74.403,44.689,8.085
"Class3",78,30.171,76.529,"T",91.908,1.396,69.169,46.8,9.141
"Class2",75,35.145,71.582,"S",49.862,64.657,78.032,56.298,79.896
"Class3",51,47.959,71.877,"O",89.758,24.763,73.449,48.27,6.145
"Class3",86,61.665,79.537,"M",89.809,0.578,76.517,47.116,2.141
"Class2",72,33.03,72.267,"S",36.976,66.693,78.544,49.116,83.459
"Class1",86,46.302,10.516,"D",73.903,33.989,67.179,54.818,43.926
"Class3",72,90.947,73.802,"M",85.252,-1.316,71.961,48.28,14.506
"Class3",73,10.004,70.034,"I",89.169,8.278,70.912,45.873,6.505
"Class2",56,34.055,71.122,"B",21.571,89.759,77.217,12.263,76.487
"Class2",64,36.149,73.37,"R",50.753,44.027,75.031,48.988,81.176
"Class3",72,83.165,57.373,"T",91.53,19.265,75.068,42.173,10.215
"Class1",86,46.554,45.691,"Y",81.923,24.508,66.889,22.389,61.014
"Class3",68,98.447,37.337,"I",86.526,38.735,69.392,55.602,2.47
"Class3",76,104.88,91.079,"U",91.981,43.676,70.457,40.626,5.181
"Class1",88,46.721,38.477,"D",34.666,36.477,66.668,-17.652,45.502
"Class2",68,32.433,71.681,"S",43.18,56.053,77.406,26.951,77.914
"Class3",88,30.088,63.68,"O",86.14,41.998,71.366,27.962,7.648
"Class1",95,46.474,46.652,"J",39.184,33.739,68.85,47.555,52.034
"Class3",56,79.597,71.186,"U",87.645,22.034,68.088,52.826,10.502
"Class2",53,38.859,72.308,"R",37.516,75.152,78.203,19.369,75.564
"Class1",85,46.845,55.447,"B",88.75,25.206,67.606,13.099,49.579
"Class1",97,46.09,87.836,"D",49.639,34.303,68.507,21.863,58.055
"Class3",86,22.421,64.604,"U",86.794,18.313,70.806,30.153,5.082
"Class1",87,46.678,34.604,"A",57.724,17.252,NA,34.924,42.192
"Class3",72,56.291,35.292,"O",91.729,30.571,72.879,40.437,6.179
"Class1",94,46.275,38.782,"D",59.427,34.181,63.78,2.801,40.457
"Class1",97,46.283,50.401,"D",80.355,26.995,65.703,52.96,39.563
"Class2",66,35.572,73.077,"S",46.13,64.3,79.347,49.035,75.637
"Class2",67,36.877,73.807,"R",33.862,94.049,77.409,18.721,79.585
"Class3",84,35.148,74.535,"M",89.786,32.928,72.762,26.328,12.22
"Class3",71,30.473,78.039,"O",86.422,4.223,71.029,38.752,9.024
"Class1",95,46.532,52.754,"A",26.666,NA,70.321,29.911,39.81
"Class3",81,108.642,69.114,"I",85.993,25.687,70.202,38.586,4.822
"Class1",91,46.435,52.369,"A",27.573,29.393,67.711,12.949,60.2
"Class2",63,33.704,73.223,"N",50.086,62.774,75.399,12.103,75.146
"Class3",70,59.107,30.424,"O",87.83,6.972,71.351,43.098,5.285
"Class1",97,46.957,67.622,"Y",42.974,28.992,66.457,18.855,39.16
"Class3",76,56.379,66.731,"I",91.301,35.12,72.225,37.067,6.119
"Class1",85,47.01,39.58,"Y",50.531,31.074,69.225,34.64,44.124
"Class1",87,46.894,55.884,"D",32.423,29.862,65.874,65.813,40.282
"Class1",91,46.736,28.889,"J",80.181,40.688,65.337,15.7,58.874
"Class1",94,45.981,17.944,"Y",86.757,21.853,66.062,41.895,56.476
"Class3",53,51.524,60.726,"I",89.852,28.114,76.04,37.04,13.07
"Class2",76,37.15,72.459,"S",18.684,94.805,77.546,59.052,81.454
"Class3",64,50.957,75.906,"T",86.277,23.506,67.307,48.155,8.513
"Class1",90,46.551,61.86,"Y",84.771,21.005,64.322,64.796,45.904
"Class2",51,36.833,72.805,"R",35.025,60.818,77.108,38.152,79.689
"Class3",76,-5.217,80.305,"O",87.623,14.923,NA,48.995,5.897
"Class1",97,46.526,72.159,"B",74.309,18.515,69.462,51.516,53.187
"Class2",58,36.442,72.451,"U",26.161,51.931,77.565,34.902,83.138
"Class3",88,69.952,30.258,"U",86.694,31.349,69.277,52.925,4.979
"Class2",60,36.656,72.316,"B",33.035,92.533,78.194,16.111,80.802
"Class3",79,32.81,83.999,"U",90.225,30.477,72.953,29.923,2.686
"Class3",68,60.107,36.248,"M",90.698,20.044,72.011,24.702,15.319
"Class3",53,60.833,85.208,"U",89.836,15.939,71.418,34.838,12.779
"Class1",95,46.691,71.218,"D",41.566,34.717,65.69,15.763,37.537
"Class3",81,55.491,36.054,"O",86.803,22.56,73.769,42.341,8.751
"Class2",73,33.416,71.989,"R",42.067,60.413,76.273,73.345,76.43
"Class1",97,46.14,31.789,"J",80.6,NA,67.896,41.121,37.888
"Class1",94,46.256,61.834,"J",34.52,42.98,65.867,76.516,47.541
"Class2",57,38.505,72.352,"S",26.732,71.28,NA,15.381,81.13
"Class3",87,53.564,68.233,"I",91.428,37.993,71.263,43.227,14.022
"Class1",90,46.299,87.441,"D",63.9,20.672,67.469,16.069,49.671
"Class1",85,46.718,30.417,"B",65.188,39.777,68.322,44.37,56.78
"Class1",93,46.384,89.042,"A",34.726,34.202,69.984,71.771,37.673
"Class2",70,35.968,71.273,"U",21.498,56.289,78.942,21.443,75.762
"Class2",68,37.482,72.457,"N",43.659,89.763,79.148,20.702,77.435
"Class3",56,53.758,60.381,"T",86.161,28.927,74.475,38.813,8.176
"Class3",62,54.244,72.554,"O",90.756,39.815,76.304,25.159,13.628
"Class2",56,32.491,72.126,"B",57.328,23.195,76.715,45.288,82.768
"Class1",88,46.837,7.497,"D",39.839,25.251,66.759,26.384,57.9
"Class1",86,46.251,54.207,"J",24.8,42.465,66.392,29.645,57.696
"Class3",57,14.198,44.35,"I",87.571,24.286,72.169,40.442,5.543
"Class2",66,35.783,71.584,"S",42.824,38.55,79.147,11.738,82.398
"Class2",69,40.93,73.357,"U",42.536,68.38,76.434,26.814,76.733
"Class2",75,36.22,73.975,"B",38.941,19.757,78.552,31.665,79.951
"Class3",52,34.615,58.133,"T",90.243,24.884,70.125,37.531,2.708
"Class3",85,35.33,52.693,"U",90.479,29.234,70.994,31.146,3.242
"Class1",96,46.504,81.575,"J",31.203,NA,67.796,20.468,38.011
"Class3",56,88.398,57.469,"U",91.57,6.175,70.512,46.18,14.92
"Class3",64,88.75,36.163,"O",87.614,29.436,NA,48.234,6.6
"Class3",73,69.8,54.476,"I",85.289,34.191,72.94,42.05,15.582
"Class1",97,46.355,27.041,"J",47.786,33.22,66.378,36.452,43.826
"Class3",74,73.142,87.782,"M",88.155,6.618,71.862,26.614,14.433
"Class3",79,72.247,60.615,"I",88.35,64.711,73.477,57.751,3.047
"Class3",72,61.743,55.517,"I",85.122,43.599,68.645,51.869,12.572
"Class1",94,47.054,14.259,"J",80.948,30.47,65.44,39.786,51.314
"Class3",70,100.559,78.305,"U",89.465,57.759,73.217,30.128,4.864
"Class3",85,61.251,32.568,"M",91.052,37.486,72.889,41.114,4.747
"Class3",82,73.681,56.687,"I",86.276,29.985,NA,43.365,6.822
"Class1",91,46.708,39.585,"D",64.87,NA,65.187,27.979,35.449
"Class1",92,46.62,42.534,"B",35.59,4.788,66.387,96.995,59.336
"Class3",56,58.994,78.094,"U",89.89,11.553,69.036,57.5,14.322
"Class2",61,34.625,72.717,"S",38.174,82.107,78.058,27.106,81.018
"Class2",66,34.43,71.464,"R",34.31,68.235,78.542,37.324,75.496
"Class3",79,54.407,71.641,"U",86.771,68.613,73.697,50.922,2.739
"Class1",86,46.492,16.673,"D",69.169,27.123,66.505,56.165,35.231
"Class1",86,46.602,65.599,"D",46.092,22.283,65.585,53.506,57.287
"Class2",75,39.954,71.437,"N",58.581,52.467,78.137,23.813,75.429
"Class1",89,46.141,84.277,"Y",74.307,19.701,65.133,-1.376,35.338
"Class1",96,46.734,81.132,"Y",66.349,30.891,65.689,69.17,52.506
"Class3",73,62.364,67.408,"M",86.18,17.446,69.829,43.847,8.625
"Class1",92,46.628,4.217,"A",78.725,41.392,66.199,28.246,58.688
"Class3",62,65.795,38.489,"O",87.902,4.97,74.94,47.08,7.239
"Class2",76,38.581,71.871,"R",42.197,NA,75.964,51.141,81.097
"Class1",87,46.27,41.576,"D",70.396,38.145,69.501,9.554,52.406
"Class1",90,46.473,62.042,"J",23.899,34.192,66.499,36.58,44.252
"Class2",76,34.716,73.692,"R",34.62,80.34,76.889,78.117,82.668
"Class2",53,38.206,72.011,"B",59.417,65.8,77.184,13.759,76.056
"Class1",96,46.88,42.651,"A",54.121,16.857,66.159,70.562,44.092
"Class1",97,46.81,64.776,"J",25.375,27.005,65.405,34.807,36.554
"Class2",66,37.516,73.791,"R",56.51,92.736,76.71,34.985,82.436
