"TMN1","IOT2","UCB3","GZI4","HSG5","QKS6","Output16","SEM7","YDE8","ZLU9"
33.006,53.939,69.071,67.512,88.237,"B","Class1",35.231,22,55.495
73.818,57.508,69.481,65.276,92.42,"A","Class1",6.162,67,60.91
63.807,59.11,65.29,33.146,25.441,"P","Class2",40.943,39,50.483
57.679,59.659,45.376,35.055,63.172,"Y","Class2",32.715,22,57.727
30.149,46.03,69.506,65.177,93.166,"O","Class1",38.825,18,60.083
26.527,NA,69.977,66.527,79.253,"O","Class1",18.956,24,55.822
53.873,59.857,70.335,33.533,43.714,"P","Class2",21.053,45,50.637
70.798,60.351,69.351,66.062,84.605,"W","Class1",22.25,49,57.526
27.643,NA,79.656,57.8,39.011,"A","Class3",63.406,36,37.153
27.746,50.367,69.265,70.184,NA,"W","Class1",3.323,63,56.331
51.365,33.003,54.185,46.677,35.896,"A","Class3",60.079,54,12.726
31.039,54.18,69.244,68.874,83.871,"W","Class1",8.199,44,60.155
36.685,NA,70.72,45.978,36.349,"I","Class3",36.697,54,18.485
77.158,58.473,75.68,35.132,NA,"W","Class2",10.822,21,56.283
42.926,44.702,69.018,67.127,89.072,"O","Class1",5.597,43,60.249
48.689,35.131,74.516,54.825,NA,"P","Class3",41.937,51,36.847
64.158,58.261,73.679,36.761,NA,"Y","Class2",38.715,67,54.049
48.186,32.393,61.671,45.785,35.146,"P","Class3",3.57,70,34.298
54.152,28.468,91.611,47.053,35.405,"I","Class3",82.808,57,14.321
76.871,61.419,70.992,36.387,60.118,"D","Class2",35.813,52,58.84
54.169,27.407,50.396,81.389,34.685,"P","Class3",52.628,35,21.802
57.079,36.869,48.888,34.206,NA,"A","Class3",79.521,46,29.565
53.861,54.307,42.065,69.835,36.482,"A","Class3",49.002,69,26.213
29.709,46.697,69.38,71.526,84.649,"O","Class1",24.684,28,56.23
60.365,52.891,69.379,65.893,94.871,"A","Class1",37.591,66,55.096
70.021,59.008,82.68,33.44,53.748,"M","Class2",46.621,62,51.197
55.609,59.559,58.231,36.282,59.868,"M","Class2",39.603,66,59.624
55.851,59.185,49.562,33.344,52.024,"M","Class2",36.073,37,58.141
61.251,49.322,69.775,71.032,87.696,"W","Class1",40.684,28,58.583
55.534,56.929,87.267,36.897,22.536,"W","Class2",30.548,46,55.214
47.366,32.601,69.57,59.771,33.646,"Q","Class3",44.735,63,31.528
65.519,58.56,87.51,35.835,5.784,"Y","Class2",8.272,47,52.6
-2.698,56.556,69.271,69.102,NA,"B","Class1",29.799,52,60.391
62.304,55.598,80.887,36.349,44.798,"D","Class2",55.195,57,54.373
-12.314,20.611,69.897,70.762,95.27,"O","Class1",34.62,68,55.057
7.409,NA,69.628,71.681,75.694,"W","Class1",25.892,16,61.609
38.905,61.274,69.635,69.368,83.364,"W","Class1",9.719,40,57.214
67.345,55.769,70.009,33.742,26.314,"D","Class2",33.763,36,54.585
48.569,34.763,72.191,56.237,37.341,"I","Class3",60.607,46,18.806
42.632,33.954,50.25,54.253,35.511,"I","Class3",31.8,70,40.406
56.507,NA,90.113,80.402,35.557,"Q","Class3",83.86,56,20.358
46.756,16.459,47.572,48.631,38.574,"X","Class3",48.807,88,40.905
34.149,31.156,69.298,70.994,86.508,"F","Class1",28.571,14,55.332
60.718,59.172,92.044,33.673,46.185,"Y","Class2",61.908,45,55.009
70.274,58.17,68.618,34.661,71.869,"Y","Class2",13.962,53,57.447
71.404,55.731,68.004,34.498,40.86,"M","Class2",32.958,27,51.277
35.011,NA,73.352,56.846,35.85,"Q","Class3",86.11,45,13.482
18.594,53.487,69.5,66.87,91.343,"F","Class1",26.096,55,57.768
64.121,60.057,67.032,33.892,48.624,"Y","Class2",19.591,60,58.346
71.809,45.346,69.024,68.479,81.417,"B","Class1",26.519,29,62.269
42.94,31.035,77.332,81.062,34.045,"Q","Class3",79.363,76,34.334
34.524,50.929,69.652,67.284,93.482,"A","Class1",34.478,38,60.387
53.721,61.531,47.901,35.472,53.141,"P","Class2",45.521,53,57.978
36.485,35.101,84.954,79.817,34.942,"P","Class3",76.079,75,16.815
86.259,59.326,80.484,35.622,69.584,"D","Class2",33.788,35,57.757
63.859,NA,90.263,34.311,2.788,"Y","Class2",40.115,52,58.424
53.597,59.929,39.127,33.883,5.946,"D","Class2",22.686,36,52.988
51.596,NA,65.329,48.926,35.874,"I","Class3",70.257,49,13.736
62.604,56.751,67.292,39.907,35.076,"I","Class3",90.704,40,19.247
41.477,29.859,43.234,77.022,35.568,"P","Class3",80.745,45,12.634
41.62,28.804,62.073,43.553,34.68,"P","Class3",57.283,43,28.02
51.892,44.182,91.958,55.02,NA,"A","Class3",45.95,59,26.734
52.034,38.016,68.083,46.61,34.711,"P","Class3",76.334,48,38.044
54.174,21.677,76.237,62.76,36.45,"X","Class3",61.256,62,39.81
65.811,NA,69.817,36.606,87.889,"M","Class2",40.542,27,56.607
46.007,55.847,76.093,66.97,36.051,"Q","Class3",80.728,78,19.222
57.109,57.407,65.078,35.939,58.25,"D","Class2",27.587,62,56.196
50.769,NA,86.342,65.296,36.55,"I","Class3",49.519,83,34.922
39.804,53.105,69.565,66.701,85.473,"W","Class1",17.923,38,54.349
57.644,34.671,61.176,65.28,36.236,"P","Class3",57.118,37,21.49
53.85,28.774,67.426,55.665,37.665,"A","Class3",77.094,35,33.048
49.881,NA,56.721,82.653,36.185,"I","Class3",56.952,39,17.938
70.349,42.117,69.764,65.698,97.174,"W","Class1",25.069,60,58.599
49.807,38.34,50.02,47.802,34.492,"A","Class3",48.223,70,26.716
46.516,48.021,69.577,68.137,99.302,"O","Class1",40.914,28,59.85
59,60.508,45.607,33.228,49.689,"M","Class2",37.021,30,56.305
36.355,64.515,69.896,65.01,86.255,"W","Class1",21.536,23,54.883
-6.446,43.537,69.658,65.393,91.385,"O","Class1",35.19,64,56.481
39.847,34.489,69.272,68.781,NA,"A","Class1",7.776,65,58.043
63.832,59.492,54.138,35.113,57.449,"M","Class2",31.603,21,53.709
43.396,61.111,46.355,35.964,6.481,"D","Class2",48.995,37,56.319
67.165,65.194,69.39,71.447,77.065,"F","Class1",33.525,48,55.861
33.44,40.144,69.504,71.123,90.895,"O","Class1",13.426,67,56.593
47.488,32.365,74.344,72.311,34.705,"I","Class3",56.337,37,26.897
60.2,59.464,66.837,36.534,62.579,"W","Class2",6.431,52,59.595
82.844,48.351,69.323,71.074,NA,"A","Class1",11.95,41,55.251
47.647,42.7,69.471,67.557,88.67,"W","Class1",25.148,30,60.883
61.441,57.097,86.227,33.413,10.661,"D","Class2",35.027,66,50.099
44.195,27.688,80.553,67.728,36.045,"Q","Class3",67.251,78,20.733
59.135,21.566,51.325,61.786,34.013,"Q","Class3",82.591,52,22.945
62.877,59.648,59.637,36.568,33.968,"M","Class2",30.51,35,50.6
49.649,47.564,78.259,75.32,34.029,"X","Class3",99.075,61,17.858
57.57,59.1,65.67,33.612,28.763,"Y","Class2",33.458,60,58.353
57.269,57.775,85.532,35.836,89.117,"M","Class2",47.422,28,51.817
66.581,NA,77.117,33.885,21.933,"P","Class2",42.476,21,50.497
49.666,41.103,68.768,76.274,35.935,"X","Class3",33.77,88,24.642
50.592,59.291,53.017,33.135,76.971,"M","Class2",37.433,25,54.859
54.83,58.056,57.573,35.994,46.129,"Y","Class2",24.532,63,56.715
51.636,58.815,64.3,33.099,56.742,"W","Class2",36.493,34,52.72
7.798,42.474,69.206,71.262,93.46,"B","Class1",39.902,61,62.153
72.165,59.053,44.829,33.589,58.186,"Y","Class2",47.134,27,55.81
42.226,39.656,71.01,66.202,34.312,"Q","Class3",65.156,81,25.399
97.301,51.038,69.876,69.531,89.141,"A","Class1",23.044,24,54.926
64.95,58.012,93.147,33.497,58.381,"Y","Class2",41.062,66,52.755
53.649,58.458,72.863,33.004,21.159,"M","Class2",32.527,51,53.087
33.761,44.275,69.363,67.82,94.262,"A","Class1",22.79,43,58.861
74.898,63.398,69.061,69.232,91.021,"B","Class1",33.88,16,62.252
52.272,NA,43.845,50.645,35.626,"X","Class3",87.975,37,25.112
76.773,60.344,90.266,36.621,29.247,"Y","Class2",37.234,20,53.252
42.195,36.35,47.465,81.009,34.513,"Q","Class3",99.477,49,39.929
-1.168,47.796,69.322,70.062,93.838,"F","Class1",0.876,38,62.647
41.338,47.182,57.829,51.065,34.252,"I","Class3",37.714,59,23.245
67.424,55.178,69.299,69.8,92.348,"F","Class1",24.557,55,58.439
59.064,55.535,41.797,35.35,68.982,"P","Class2",47.724,59,53.012
51.866,60.042,55.94,34.551,75.253,"Y","Class2",19.769,23,53.901
43.647,20.263,69.548,70.517,84.388,"O","Class1",13.268,41,60.815
67.769,58.516,80.347,33.539,14.488,"Y","Class2",36.679,41,50.685
45.105,32.622,44.208,59.558,35.779,"P","Class3",108.795,46,14.895
84.072,60.047,72.16,35.926,27.703,"D","Class2",46.524,60,52.563
15.896,45.192,69.599,66.07,104.308,"O","Class1",24.975,61,57.269
56.853,38.811,53.891,70.693,35.334,"P","Class3",58.761,41,13.905
65.125,NA,59.672,33.328,44.318,"P","Class2",33.923,25,57.922
45.901,32.556,69.843,72.393,35.794,"A","Class3",71.865,77,21.767
40.768,37.55,74.446,71.856,37.234,"Q","Class3",77.462,42,26.565
71.916,59.292,64.964,34.923,17.953,"M","Class2",46.141,66,54.894
6.961,57.227,69.423,70.579,86.434,"F","Class1",0.526,28,56.881
48.215,59.266,60.137,35.91,81.15,"M","Class2",60.145,36,52.717
66.128,59.477,41.897,34.641,60.338,"M","Class2",38.648,48,52.162
60.831,NA,80.457,50.597,37.629,"I","Class3",46.164,84,14.457
50.414,54.931,56.722,74.703,35.024,"P","Class3",55.952,59,40.751
53.848,34.759,87.659,39.377,35.78,"P","Class3",48.003,44,34.06
56.101,61.449,91.092,34.669,12.946,"D","Class2",53.593,61,50.089
52.768,38.184,55.418,83.887,33.537,"P","Class3",64.526,53,23.817
63.791,60.379,86.266,36.042,76.038,"M","Class2",38.871,43,52.572
55.725,51.299,69.617,66.449,82.596,"F","Class1",20.249,39,57.138
41.241,74.208,69.014,71.846,98.202,"B","Class1",40.446,43,60.328
7.824,58.41,69.798,65.207,84.191,"W","Class1",35.305,50,58.932
57.732,70.085,69.998,69.899,84.469,"O","Class1",19.791,60,54.756
-25.582,44.297,69.841,66.416,91.888,"W","Class1",32.178,44,56.78
55.183,59.204,41.466,33.809,93.039,"M","Class2",38.092,66,56.003
67.163,58.864,52.293,33.578,56.916,"Y","Class2",19.644,26,51.62
67.592,25.941,69.93,67.83,94.359,"A","Class1",49.304,17,60.371
56.813,60.219,60.248,34.88,73.155,"Y","Class2",34.255,50,53.549
44.38,55.676,77.046,53.542,36.02,"A","Class3",103.43,35,27.471
42.784,67.486,69.482,69.36,89.267,"W","Class1",35.571,49,56.663
73.83,59.377,52.036,35.738,53.974,"P","Class2",41.483,31,50.313
46.446,38.177,50.363,39.496,35.43,"P","Class3",72.733,52,37.545
40.581,27.715,71.703,67.157,36.016,"P","Class3",66.503,56,33.312
48.526,15.324,52.952,69.171,34.71,"I","Class3",35.234,66,18.098
53.309,25.538,71.06,72.249,36.601,"X","Class3",61.184,88,19.487
44.5,70.519,69.213,70.816,83.334,"A","Class1",54.701,49,57.23
66.88,58.809,58.361,36.522,15.843,"M","Class2",34.339,65,59.665
49.369,53.735,64.255,61.234,36.205,"Q","Class3",53.785,43,35.356
22.754,59.776,69.23,67.348,92.985,"A","Class1",26.236,18,59.05
54.176,59.916,63.751,33.8,56.096,"Y","Class2",22.248,38,54.114
40.079,29.099,66.668,63.545,33.584,"X","Class3",50.629,76,30.457
63.36,50.312,69.612,69.387,87.084,"W","Class1",44.78,36,62.543
74.461,60.899,50.942,33.352,25.448,"Y","Class2",22.749,30,58.952
42.885,42.447,46.967,51.174,34.297,"A","Class3",69.378,60,38.702
23.111,56.419,69.142,71.752,99.266,"F","Class1",23.92,36,54.224
-8.489,36.15,69.95,67.526,90.87,"B","Class1",20.577,11,62.116
13.986,44.962,69.552,66.318,90.512,"O","Class1",54.038,18,54.914
9.368,61.826,69.745,70.984,83.268,"F","Class1",21.285,57,58.307
16.056,62.743,69.331,65.879,90.201,"W","Class1",22.012,42,55.94
52.849,58.942,45.005,34.238,39.655,"W","Class2",46.352,51,52.229
54.237,57.932,61.34,35.56,43.099,"M","Class2",36.705,32,57.622
73.637,57.16,93.592,35.248,71.12,"Y","Class2",36.909,55,50.811
62.374,61.63,50.807,36.864,43.615,"W","Class2",47.245,68,58.995
39.316,56.566,69.139,65.324,94.235,"B","Class1",4.976,22,57.863
1.137,37.169,69.039,69.599,90.674,"B","Class1",27.708,26,59.348
87.237,56.114,66.573,35.285,44.946,"W","Class2",39.172,63,57.164
24.85,56.288,69.541,67.455,92.296,"F","Class1",40.673,68,55.463
45.589,35.469,58.656,73.811,36.851,"A","Class3",96.204,61,37.059
26.191,24.726,69.353,66.033,102.319,"O","Class1",8.309,57,58.236
50.588,55.578,69.85,65.444,90.648,"A","Class1",36.128,28,55.802
55.747,31.904,45.959,53.358,34.503,"I","Class3",75.79,75,36.26
34.847,25.945,69.088,65.959,91.799,"O","Class1",27.433,58,54.101
51.119,60.413,65.622,35.244,19.407,"D","Class2",38.385,54,58.282
74.674,58.887,76.057,35.297,92.22,"W","Class2",50.112,56,54.625
53.504,58.938,79.676,34.788,-4.896,"Y","Class2",27.059,44,57.588
40.15,NA,62.449,42.477,35.682,"Q","Class3",63.743,35,37.457
58.033,56.994,60.64,34.85,58.775,"M","Class2",33.158,47,55.8
51.404,49.424,76.754,61.211,35.709,"X","Class3",50.182,72,34.916
64.687,61.759,60.939,35.806,16.214,"D","Class2",41.941,45,56.296
46.584,29.12,44.364,39.896,32.914,"A","Class3",78.063,40,20.83
12.691,40.092,69.951,70.117,88.135,"A","Class1",43.511,27,56.251
42.911,47.146,53.614,48.406,35.148,"I","Class3",33.399,61,15.023
62.78,37.191,75.577,80.4,34.073,"Q","Class3",37.938,73,14.575
52.428,57.916,55.15,36.236,25.079,"P","Class2",48.743,27,52.192
74.243,57.638,91.354,35.076,74.733,"Y","Class2",31.551,45,54.148
54.654,69.502,69.265,70.695,83.457,"B","Class1",-12.035,52,62.82
-10.506,61.5,69.417,70.431,77.818,"B","Class1",33.511,56,60.069
67.314,58.504,91.804,33.733,60.388,"P","Class2",37.846,51,56.509
60.672,25.43,45.999,56.117,37.045,"A","Class3",40.883,64,26.05
56.383,45.927,69.255,68.38,95.492,"W","Class1",42.535,46,59.363
80.561,59.764,52.61,33.64,48.473,"D","Class2",39.484,25,53.676
59.043,31.642,82.075,39.981,36.848,"X","Class3",80.397,80,23.899
12.372,41.528,69.076,67.855,98.974,"W","Class1",55.32,22,60.425
31.766,65.01,69.252,67.467,90.048,"F","Class1",34.354,37,55.545
57.021,57.84,74.365,36.154,20.3,"D","Class2",40.166,27,55.381
69.379,58.924,49.303,33.766,60.404,"M","Class2",45.139,51,54.453
79.218,57.601,84.911,35.099,-5.26,"Y","Class2",30.229,49,51.417
-5.75,51.968,69.991,71.171,99.133,"F","Class1",17.83,32,60.088
47.99,40.756,63.125,46.023,35.156,"I","Class3",41.95,43,15.807
49.764,31.704,70.033,80.405,37.581,"A","Class3",57.986,40,21.994
69.042,55.514,61.562,34.611,67.439,"D","Class2",31.175,32,57.443
38.819,30.032,86.18,58.301,34.601,"I","Class3",63.939,51,20.573
38.758,45.609,80.495,81.133,36.144,"I","Class3",79.063,40,31.653
22.421,57.609,69.099,67.27,90.729,"B","Class1",-0.243,44,56.041
54.058,41.238,55.118,34.006,36.322,"P","Class3",28.094,80,12.816
52.1,59.683,69.793,68.224,84.218,"W","Class1",17.952,62,57.547
45.275,37.764,50.529,53.296,36.022,"P","Class3",83.618,36,36.032
51.129,32.717,77.576,74.352,36.57,"Q","Class3",59.023,74,35.397
44.742,78.917,69.859,67.212,87.445,"A","Class1",41.914,40,62.735
46.672,41.639,87.506,57.912,34.786,"A","Class3",53.711,88,16.802
36.615,34.976,43.746,73.256,34.641,"P","Class3",63.461,44,34.41
49.996,38.234,64.067,70.69,35.046,"A","Class3",37.455,84,29.098
64.476,61.21,46.422,34.311,30.351,"D","Class2",39.258,50,54.1
63.413,60.026,51.387,33.411,54.879,"Y","Class2",29.635,42,59.088
92.377,48.627,69.086,65.788,88,"A","Class1",19.913,61,60.764
43.03,35.355,83.095,36.398,33.97,"P","Class3",88.402,67,21.807
52.693,NA,54.259,51.077,NA,"Q","Class3",55.018,63,14.738
70.984,59.727,78.823,33.48,41.441,"W","Class2",63.674,67,57.841
88.236,59.299,45.559,35.976,27.79,"D","Class2",21.228,44,56.766
66.467,58.013,60.1,34.327,48.055,"Y","Class2",25.395,59,59.459
45.97,21.97,79.901,40.332,35.371,"X","Class3",49.551,87,12.887
46.989,48.106,69.432,71.448,86.104,"F","Class1",30.22,39,58.897
53.236,18.842,53.669,66.248,35.031,"P","Class3",39.359,67,13.524
71.842,34.649,69.705,71.877,88.689,"F","Class1",21.269,26,57.116
28.176,56.489,69.234,65.472,85.354,"A","Class1",58.101,34,61.211
60.91,57.971,63.91,33.287,45.017,"D","Class2",41.606,19,50.902
39.439,31.149,55.251,54.401,34.524,"Q","Class3",65.63,79,16.517
73.012,58.839,84.825,36.389,37.008,"W","Class2",36.748,61,51.074
55.937,54.816,51.775,71.007,36.111,"A","Class3",63.655,88,28.747
17.491,66.381,69.261,65.561,89.622,"B","Class1",8.022,53,55.959
44.105,64.288,69.921,67.64,87.928,"O","Class1",31.891,28,57.625
67.217,58.576,70.359,33.548,NA,"M","Class2",32.292,28,56.929
64.866,56.276,57.823,36.79,86.021,"M","Class2",40.85,25,55.593
19.401,58.356,69.783,68.429,86.694,"F","Class1",18.804,65,55.937
42.817,39.325,90.747,46.876,35.919,"X","Class3",38.153,84,17.214
35.07,49.301,69.89,71.701,95.831,"B","Class1",19.875,32,56.223
70.436,60.293,57.675,33.476,76.342,"P","Class2",44.163,66,51.541
40.641,47.977,45.02,68.017,33.321,"I","Class3",69.065,48,24.838
47.423,57.262,72.777,83.706,36.279,"X","Class3",34.229,48,39.151
35.144,30.695,56.115,57.419,35.792,"Q","Class3",44.595,59,33.386
67.898,33.718,69.412,66.199,85.879,"O","Class1",26.883,34,61.164
73.452,55.679,46.987,36.219,58.868,"W","Class2",29.923,33,50.477
50.108,61.237,78.801,33.352,-14.09,"P","Class2",24.288,54,58.735
43.624,35.484,53.122,52.681,NA,"Q","Class3",53.129,44,28.628
45.195,52.654,69.26,70.425,84.325,"A","Class1",33.311,45,56.563
32.19,52.203,69.388,68.847,91.714,"A","Class1",26.973,57,59.319
68.314,60.042,51.501,33.327,16.107,"D","Class2",25.346,52,56.828
8.258,66.814,69.773,70.56,84.877,"O","Class1",21.513,46,59.807
53.151,41.657,54.115,51.453,35.217,"A","Class3",40.321,50,32.89
35.186,81.802,69.706,67.333,87.06,"F","Class1",18.436,53,55.325
69.326,45.401,69.173,67.376,80.367,"O","Class1",21.252,24,61.191
5.277,67.845,69.483,71.563,89.028,"A","Class1",44.502,32,62.845
87.115,NA,89.545,34.526,32.785,"P","Class2",36.167,40,50.956
50.874,49.703,69.899,67.086,82.889,"O","Class1",29.55,11,54.426
37.429,35.691,44.527,46.466,35.482,"Q","Class3",47.187,66,14.56
55.743,52.345,69.091,68.038,83.743,"O","Class1",51.596,66,60.375
51.751,43.459,67.499,65.755,36.01,"A","Class3",94.907,73,23.883
33.819,45.052,69.859,68.876,95.367,"A","Class1",36.635,50,56.816
42.043,44.402,65.617,64.064,35.408,"A","Class3",76.734,71,32.647
63.201,NA,69.076,71.621,94.859,"F","Class1",25.186,55,54.93
65.769,58.184,47.982,36.359,36.682,"M","Class2",61.367,19,56.968
60.714,44.926,69.553,65.708,93.543,"F","Class1",51.783,58,57.6
65.592,60.135,73.506,33.498,48.649,"Y","Class2",20.187,40,50.653
60.078,58.742,45.954,35.148,58.255,"P","Class2",26.314,53,53.833
15.114,49.435,69.14,66.311,88.625,"B","Class1",12.418,52,57.557
36.119,NA,69.592,71.186,95.945,"A","Class1",-14.015,13,60.706
35.896,45.135,69.965,67.97,93.311,"F","Class1",42.787,20,57.676
45.672,19.021,74.112,77.897,34.89,"X","Class3",73.791,81,18.781
73.072,61.201,85.655,35.179,61.741,"Y","Class2",61.777,50,54.948
43.38,45.264,69.054,66.518,NA,"O","Class1",3.359,18,56.883
79.537,58.164,76.596,33.421,-2.04,"Y","Class2",24.404,48,57.891
50.411,44.215,91.228,58.504,35.789,"A","Class3",86.282,75,24.04
79.432,54.646,69.2,67.603,96.931,"W","Class1",25.782,22,58.547
51.074,44.838,82.576,80.733,35.413,"I","Class3",33.317,38,38.165
37.742,NA,69.421,69.61,84.175,"B","Class1",14.448,27,61.934
37.985,47.64,49.273,43.687,36.927,"A","Class3",20.935,36,25.325
31.702,40.962,45.942,71.488,34.423,"P","Class3",70.477,35,25.221
38.043,49.608,80.119,61.665,37.646,"P","Class3",63.144,45,19.087
37.912,79.618,69.766,67.132,81.978,"W","Class1",47.792,35,57.273
28.627,35.353,69.924,69.986,92.437,"W","Class1",31.277,22,54.649
50.594,57.565,65.736,36.93,70.899,"W","Class2",53.597,65,52.843
45.545,41.562,63.949,80.555,34.317,"I","Class3",96.393,36,17.06
49.756,38.639,56.603,68.866,34.517,"P","Class3",52.275,88,24.53
43.929,34.171,82.34,37.562,35.052,"I","Class3",72.157,56,29.55
82.317,30.581,69.145,66.142,88.995,"O","Class1",27.143,51,54.72
55.885,47.944,60.401,47.041,34.544,"Q","Class3",63.688,37,31.784
69.378,57.788,41.734,34.205,23.235,"D","Class2",51.821,46,56.986
41.155,42.979,43.655,74.883,36.241,"A","Class3",63.27,66,14.095
62.048,59.586,72.842,33.738,58.328,"W","Class2",38.38,33,55.317
48.759,44.332,43.91,65.652,35.123,"A","Class3",75.105,70,29.764
25.306,59.173,69.348,69.471,NA,"F","Class1",6.928,42,59.698
60.114,58.369,44.942,36.727,30.076,"D","Class2",44.571,57,55.427
63.476,62.235,69.193,67.957,90.339,"F","Class1",26.921,21,55.632
65.852,59.799,52.412,36.177,34.351,"D","Class2",18.63,34,57.349
46.081,58.733,69.078,68.799,90.969,"A","Class1",42.073,26,59.877
48.364,57.235,51.173,35.046,52.017,"Y","Class2",40.303,33,51.41
71.385,59.822,85.192,35.646,18.146,"P","Class2",40.038,66,57.849
46.882,37.981,58.094,69.825,36.314,"I","Class3",53.509,36,36.655
70.777,58.724,80.202,33.173,39.071,"W","Class2",28.232,32,51.645
54.477,30.691,58.775,75.472,32.97,"A","Class3",48.983,54,12.832
15.947,33.29,69.726,69.948,84.462,"O","Class1",38.537,68,54.41
67.32,60.586,51.167,33.154,16.168,"W","Class2",41.395,27,56.726
61.079,57.759,75.811,35.676,43.875,"P","Class2",38.972,18,54.802
17.497,55.199,69.657,65.377,90.894,"F","Class1",11.071,38,62.669
44.734,59.71,55.378,36.641,73.857,"D","Class2",32.876,21,51.938
22.703,27.176,69.818,67.953,87.479,"B","Class1",11.519,61,54.1
55.748,43.406,69.215,69.275,90.699,"W","Class1",29.891,20,62.03
67.657,57.846,42.801,34.745,30.573,"W","Class2",39.141,54,51.34
51.399,59.19,62.39,36.783,30.41,"M","Class2",39.97,33,57.02
56.416,37.423,43.675,42.418,NA,"P","Class3",59.102,88,39.23
43.459,43.916,84.379,37.695,35.126,"I","Class3",63.211,59,36.781
72.4,57.92,56.302,35.745,90.542,"M","Class2",49.636,39,52.267
45.631,57.823,81.71,55.36,35.331,"Q","Class3",73.29,49,36.764
47.607,48.532,89.905,43.523,35.081,"I","Class3",64.404,69,40.445
54.885,29.714,58.739,83.97,35.153,"I","Class3",40.922,78,22.838
70.117,59.955,81.445,34.472,60.892,"D","Class2",49.857,45,55.927
51.888,38.703,65.6,51.314,NA,"I","Class3",64.363,81,35.148
51.216,58.005,48.103,35.585,69.531,"P","Class2",38.143,23,51.826
42.157,20.471,82.832,63.168,36.557,"Q","Class3",70.621,86,30.099
64.742,60.098,56.823,35.4,44.83,"D","Class2",25.556,23,53.014
39.688,32.129,59.864,38.237,34.648,"P","Class3",38.903,43,23.022
53.439,57.915,90.301,34.729,9.58,"D","Class2",38.258,55,57.173
56.614,34.548,66.565,68.256,35.569,"I","Class3",76.35,52,27.234
48.261,24.268,68.814,59.92,33.428,"I","Class3",49.268,57,32.251
18.787,64.468,69.631,69.107,95.379,"B","Class1",49.38,31,56.109
64.898,59.126,47.394,35.635,56.443,"W","Class2",25.198,63,55.972
60.922,60.678,82.622,35.268,86.189,"W","Class2",40.201,27,59.466
50.746,36.517,49.962,36.088,36.992,"X","Class3",72.719,83,16.505
60.884,58.719,42.606,35.03,42.81,"D","Class2",52.3,59,59.457
50.97,59.569,48.502,33.203,27.998,"M","Class2",25.72,21,58.017
63.317,57.593,86.183,35.799,59.999,"M","Class2",19.196,67,59.265
78.362,59.329,58.018,35.876,30.194,"P","Class2",57.854,17,50.173
58.909,59.509,77.119,36.029,28.567,"D","Class2",25.592,30,50.239
70.429,55.435,69.109,68.952,90.283,"B","Class1",24.994,51,58.091
51.513,34.854,74.348,39.304,35.507,"X","Class3",54.745,55,31.67
-0.585,54.786,69.348,67.127,85.968,"A","Class1",9.248,19,58.603
19.727,45.185,69.697,69.222,94.435,"O","Class1",28.297,65,54.586
67.276,60.932,61.605,33.604,30.761,"W","Class2",41.493,45,58.851
61.228,61.479,69.838,70.752,81.455,"B","Class1",46.524,12,61.043
25.131,53.411,69.759,66.928,88.932,"W","Class1",0.206,68,56.514
59.534,46.95,60.325,79.683,NA,"P","Class3",83.441,87,35.323
46.961,29.866,72.623,64.12,36.196,"P","Class3",49.671,68,21.741
20.663,52.176,69.255,67.226,89.525,"F","Class1",55.526,46,61.277
77.403,59.651,89.506,34.077,-8.657,"D","Class2",26.799,53,57.484
54.68,38.556,63.218,83.865,36.571,"X","Class3",60.868,34,37.301
43.641,31.015,76.704,48.676,36.361,"I","Class3",80.502,39,25.75
57.695,59.503,87.966,33.367,66.285,"D","Class2",29.854,31,59.041
42.531,45.99,69.212,65.536,84.583,"O","Class1",6.69,45,61.319
62.627,37.99,74.996,62.633,34.9,"X","Class3",76.869,41,35.155
43.645,39.917,44.815,70.182,35.33,"P","Class3",77.76,42,15.574
53.776,40.915,58.264,66.473,36.093,"P","Class3",58.848,74,29.909
59.273,60.847,92.496,34.72,32.369,"D","Class2",39.951,26,52.144
75.166,60.343,62.616,36.873,34.718,"P","Class2",26.696,28,50.587
69.666,43.116,69.052,71.51,90.859,"A","Class1",23.923,61,58.91
50.3,23.717,76.144,47.269,35.255,"I","Class3",63.645,41,19.27
77.375,58.756,52.469,34.078,0.884,"P","Class2",44.209,31,50.973
33.57,40.663,69.846,65.311,86.037,"F","Class1",30.27,13,56.872
48.183,29.805,70.577,72.731,35.861,"X","Class3",94.448,48,41.76
50.924,59.492,69.919,65.981,88.039,"F","Class1",52.347,21,60.524
56.937,58.482,76.512,35.367,59.954,"P","Class2",35,46,55.224
56.925,NA,57.773,35.974,24.414,"Y","Class2",54.223,17,56.108
23.808,68.55,69.3,65.45,95.031,"F","Class1",43.024,34,59.128
-17.184,50.817,69.924,69.118,84.178,"O","Class1",42.916,43,59.31
67.165,57.066,52.249,36.978,21.295,"D","Class2",31.796,61,57.63
68.352,58.855,73.451,33.856,29.47,"D","Class2",41.525,25,55.549
15.747,52.68,69.262,67.231,93.175,"W","Class1",44.475,43,60.217
69.227,59.152,68.055,33.188,30.625,"D","Class2",26.948,53,50.438
61.39,25.852,56.149,40.796,36.187,"X","Class3",75.04,58,38.329
31.224,43.742,80.024,57.363,35.983,"X","Class3",59.594,73,41.751
49.006,23.742,60.474,68.604,36.007,"I","Class3",69.372,58,28.969
82.535,59.535,82.271,36.903,73.946,"D","Class2",38.333,24,58.922
