"UMN1","QLW2","MEG3","DAI4","Output15","TJK5","CAB6","VIU7","LHS8","FIE9","HQP10"
51.309,56.986,35.234,2.43,"Class5",82,80.863,"W",64.111,"P",21.939
51.518,51.978,35.43,2.329,"Class5",83,78.028,"W",69.918,"A",32.705
63.873,87.762,57.028,41.348,"Class4",28,52.477,"D",63.991,"P",94.807
51.719,57.959,85.053,1.79,"Class5",82,78.171,"L",76.019,"Z",65.334
63.593,94.555,5.284,4.659,"Class4",8,94.287,"Q",61.824,"Q",75.12
92.714,45.894,31.596,51.212,"Class3",12,41.963,"W",1.685,"X",19.876
64.635,94.48,47.03,6.872,"Class4",32,61.957,"J",93.392,"F",54.718
51.851,83.031,11.385,69.294,"Class2",83,72.447,"V",57.083,"W",18.775
50.765,69.922,50.138,3.395,"Class5",82,78.136,"W",66.906,"F",34.858
52.472,82.09,70.718,39.738,"Class1",12,74.482,"M",12.3,"X",0.741
52.995,86.41,14.28,30.945,"Class1",30,81.915,"P",21.91,"X",15.376
67.501,94.362,39.124,41.063,"Class4",25,58.755,"Y",55.854,"Q",76.977
62.749,78.83,58.136,67.667,"Class4",23,79.661,"Y",96.638,"F",41.74
53.214,46.898,43.924,20.84,"Class1",17,84.258,"M",13.761,"X",15.7
92.859,44.666,37.156,43.048,"Class3",10,47.497,"A",1.089,"V",28.753
45.971,74.102,22.922,62.428,"Class2",73,84.588,"Y",53.97,"A",12.925
49.77,25.779,44.845,40.27,"Class1",15,69.525,"A",15.22,"W",4.316
53.094,47.738,82.552,66.147,"Class1",18,87.901,"V",19.264,"W",8.444
53.034,74.763,92.676,47.899,"Class1",15,82.388,"U",26.099,"X",8.072
17.622,85.152,62.456,69.791,"Class2",97,65.768,"V",57.432,"W",60.936
64.924,73.265,15.81,82.41,"Class4",48,61.315,"J",45.974,"P",NA
50.7,76.234,65.995,69.119,"Class2",92,77.808,"L",57.442,"W",41.37
66.712,75.349,41.417,48.772,"Class4",18,68.594,"Y",63.012,"J",67.256
51.984,78.005,15.697,65.954,"Class2",87,70.296,"Y",57.216,"P",61.573
88.733,44.534,35.662,52.425,"Class3",12,37.005,"A",1.846,"S",28.876
89.792,44.544,52.963,30.675,"Class3",12,74.458,"Y",1.393,"B",27.306
64.942,89.178,51.583,62.162,"Class4",6,99.475,"J",83.338,"J",65.954
91.041,45.869,49.735,57.42,"Class3",11,75.606,"W",1.733,"B",26.238
20.498,72.03,68.575,69.674,"Class2",86,47.292,"H",51.528,"P",79.17
51.984,85.681,35.964,70.763,"Class2",90,66.445,"H",53.148,"S",42.606
68.113,86.3,52.081,81.72,"Class4",46,86.447,"J",65.274,"Q",0.949
62.495,87.133,53.374,74.22,"Class4",28,77.171,"D",88.146,"P",68.707
67.923,75.62,60.518,24.929,"Class4",41,77.497,"J",53.974,"U",16.38
92.109,45.374,45.399,43.146,"Class3",11,93.692,"F",1.456,"V",29.466
54.509,34.942,52.431,62.335,"Class1",12,77.187,"M",13.5,"W",7.097
51.193,71.756,38.428,1.864,"Class5",83,80.464,"L",61.161,"P",20.331
37.526,77.023,41.79,70.322,"Class2",60,63.708,"V",54.884,"V",31.578
62.743,77.026,30.983,28.169,"Class4",20,52.646,NA,63.29,"F",106.947
66.472,92.391,25.543,33.039,"Class4",35,73.587,"D",58.399,"Q",29.441
54.116,92.447,80.195,68.606,"Class1",14,73.394,NA,24.923,"B",9.282
43.411,82.777,14.637,65.878,"Class2",62,79.948,"A",58.012,"P",37.922
54.944,86.239,69.921,40.597,"Class1",10,101.482,"A",10.855,"X",2.805
56.238,74.528,61.156,47.938,"Class1",14,95.127,"P",14.85,"F",8.265
57.393,80.176,11.091,70.507,"Class2",59,58.972,"Y",52.296,"W",59.656
94.206,45.825,51.54,51.17,"Class3",11,72.554,"A",1.582,"V",30.516
50.413,76.878,31.113,2.219,"Class5",83,79.203,"J",90.051,"A",81.412
64.449,82.045,19.178,46.918,"Class4",48,65.241,"Q",99.068,"U",13.901
34.668,84.169,24.342,70.729,"Class2",94,60.665,"H",59.624,"P",78.373
54.029,66.348,37.906,23.024,"Class1",18,95.508,"A",17.272,"F",6.329
51.793,64.501,10.032,32.999,"Class1",17,59.986,"U",18.796,"C",4.926
51.425,75.126,29.709,0.764,"Class5",83,80.679,"L",80.983,"A",9.316
91.147,44.058,49.319,58.071,"Class3",12,17.48,"Y",1.782,"V",39.653
43.244,85.931,9.168,64.353,"Class2",52,78.505,"Y",56.117,"W",35.09
67.151,91.761,38.55,79.104,"Class4",16,47.52,"D",38.186,"Q",58.845
62.787,76.556,18.573,39.704,"Class4",33,70.594,"Y",93.113,"F",87.819
67.154,90.303,55.838,26.293,"Class4",19,73.712,"J",47.089,"P",37.417
14.614,88.436,31.98,71.912,"Class2",55,60.534,"L",56.326,"V",45.213
89.89,46.015,39.085,51.831,"Class3",10,56.699,"Y",1.283,"M",34.503
93.158,44.775,36.922,61.675,"Class3",12,76.342,"F",1.429,"B",34.242
57.125,61.276,64.055,33.264,"Class1",31,86.089,"V",25.143,"W",10.998
64.108,95.7,52.554,28.867,"Class4",45,73.963,"Q",41.2,"F",23.716
32.044,84.804,8.867,69.776,"Class2",85,73.124,"A",51.153,"W",85.495
63.701,92.573,32.029,58.689,"Class4",19,74.798,"P",70.012,"P",73.773
51.322,55.42,52.134,1.889,"Class5",82,84.857,"Q",83.562,"A",53.293
65.596,77.214,16.534,67.996,"Class2",74,84.555,"A",53.559,"S",17.567
50.554,68.483,53.963,1.937,"Class5",83,78.162,"W",84.039,"A",30.109
50.983,51.78,51.387,0.523,"Class5",82,76.716,"J",83.119,"I",44.967
50.926,71.681,65.103,1.826,"Class5",83,78.844,"P",76.502,"Z",37.871
60.825,84.49,15.8,36.463,"Class4",17,93.692,"P",45.125,"U",24.436
50.368,56.91,32.065,3.006,"Class5",82,79.65,"P",73.719,"F",59.714
92.486,44.737,50.5,62.513,"Class3",10,65.045,"W",1.452,"X",39.575
92.322,44.9,36.938,77.906,"Class3",10,36.969,"Y",1.203,"V",27.476
54.25,57.731,71.086,76.461,"Class1",16,69.668,"V",13.396,"B",9.91
22.945,74.562,61.373,71.464,"Class2",59,69.189,"L",51.61,"S",83.188
68.58,86.317,9,77.073,"Class4",35,44.84,"P",36.67,"J",26.198
65.582,89.525,18.867,38.694,"Class4",33,85.899,"J",38.03,"Q",87.655
52.463,66.522,63.743,1.534,"Class5",82,81.888,"P",90.642,"I",8.562
50.049,68.979,52.412,2.474,"Class5",82,79.751,"P",70.837,"Z",25.696
51.378,63.346,30.237,2.059,"Class5",82,81.203,"W",76.371,"F",63.741
92.472,45.667,45.832,52.115,"Class3",12,40.745,"Y",1.836,"X",25.081
51.813,70.347,84.438,1.863,"Class5",82,83.661,"J",64.816,"Z",50.056
22.793,81.066,8.347,75.538,"Class2",71,84.297,"Y",52.646,"A",49.529
52.138,45.859,89.482,74.87,"Class1",14,68.422,"U",23.055,"F",5.215
65.539,78.995,53.593,118.045,"Class4",42,85.903,"P",52.851,"U",66.683
31.764,84.558,12.439,67.313,"Class2",70,75.633,"Y",56.202,"W",60.167
50.994,55.852,86.352,35.071,"Class1",34,55.107,"V",10.896,"C",13.331
92.753,45.946,47.617,41.059,"Class3",11,62.696,"F",1.767,"M",26.806
56.266,75.637,45.292,66.908,"Class2",82,79.016,"L",51.566,"S",47.132
67.806,73.312,46.893,97.154,"Class4",29,82.789,"D",45.71,"Q",53.764
44.023,83.88,21.612,66.579,"Class2",73,83.871,"H",52.373,"W",58.95
34.48,79.604,43.348,70.749,"Class2",71,77.408,"V",56.046,"A",51.593
50.931,57.33,76.956,1.326,"Class5",82,80.314,"J",71.777,"F",58.944
50.044,56.157,85.878,1.914,"Class5",83,76.523,"Q",81.42,"Z",43.856
25.615,84.309,29.9,61.113,"Class2",67,56.311,"H",59.509,"S",52.64
90.791,44.542,50.017,60.645,"Class3",11,56.929,"W",1.006,"B",18.858
51.831,76.792,26.157,65.984,"Class2",55,78.492,"A",58.463,"W",46.329
51.015,48.105,47.945,33.731,"Class1",31,73.393,"U",23.054,"B",26.879
55.309,15.022,41.132,60.197,"Class1",25,67.172,"V",9.384,"C",8.776
56.047,81.842,14.394,40.524,"Class1",36,86.506,"M",10.704,"W",12.54
51.679,71.971,67.215,1.955,"Class5",83,80.68,"L",89.806,"P",37.221
53.123,55.838,9.999,58.481,"Class1",24,62.851,"A",10.437,"C",8.993
89.847,46.236,41.952,46.253,"Class3",10,69.824,"F",1.11,"S",35.831
30.139,83.427,36.31,68.12,"Class2",95,62.239,NA,52.007,"V",66.657
53.046,77.645,40.417,74.898,"Class2",52,63.45,"V",54.171,"A",69.825
91.154,46.988,46.773,52.775,"Class3",10,74.642,"A",1.212,"M",30.838
64.752,92.36,54.868,56.346,"Class4",15,83.144,"P",49.209,"Q",69.141
51.195,53.289,42.891,1.81,"Class5",82,77.18,"Q",77.108,"Z",NA
71.256,87.186,28.105,50.028,"Class4",42,83.926,"Y",71.262,"U",26.553
53.734,21.433,87.138,62.847,"Class1",15,86.271,"V",18.703,"F",6.865
49.655,51.053,40.9,2.019,"Class5",83,77.677,"J",86.548,"P",38.782
92.807,46.643,53.999,57.37,"Class3",10,34.964,"Y",1.663,"B",37.723
66.774,84.426,57.977,32.401,"Class4",42,64.681,"P",91.447,"Q",3.718
38.296,74.446,7.084,63.592,"Class2",63,51.908,"L",54.079,"W",47.552
65.039,80.351,29.964,44.227,"Class4",42,68.772,"Q",96.922,"F",102.907
92.712,44.053,52.583,47.03,"Class3",12,38.635,"F",1.211,"B",24.306
53.857,27.377,67.275,56.867,"Class1",25,65.182,"U",17.498,"C",10.106
50.516,54.641,33.845,1.794,"Class5",83,75.914,"J",61.629,"P",37.255
55.572,79.38,57.963,69.727,"Class2",62,80.935,"H",59.691,"A",72.286
50.538,53.795,80.352,1.065,"Class5",83,81.668,"J",83.012,"Z",49.834
51.707,58.282,41.962,1.524,"Class5",82,77.693,"Q",86.903,"Z",35.573
92.631,44.176,54.355,44.041,"Class3",10,52.187,"W",1.434,"S",26.899
66.747,86.648,44.797,66.893,"Class2",79,64.1,"V",57.583,"P",61.641
46.32,81.456,55.806,67.454,"Class2",71,72.272,"A",51.648,"V",90.418
52.513,19.907,72.388,21.962,"Class1",12,66.608,"U",12.084,"C",6.843
54.156,51.466,21.029,43.962,"Class1",26,66.048,NA,13.091,"C",14.969
69.863,75.033,4.184,34.389,"Class4",46,79.995,"Q",73.325,"J",26.63
51.903,88.763,62.564,65.756,"Class2",56,74.19,NA,55.09,"P",28.447
64.651,75.337,17.062,54.018,"Class4",10,91.882,"P",84.706,"U",111.408
61.51,77.653,47.186,27.022,"Class4",9,71.234,"Y",73.952,"P",63.165
42.071,72.295,29.781,64.78,"Class2",91,71.473,"H",58.584,"V",48.361
55.353,40.967,46.282,70.608,"Class1",21,43.033,"A",15.248,"F",4.982
50.534,61.026,29.397,1.264,"Class5",83,78.166,"Q",83.33,"I",36.102
64.543,85.035,31.05,48.99,"Class4",24,77.359,"Q",43.608,"Q",16.778
50.854,74.927,66.862,2.09,"Class5",83,77.664,"P",87.343,"A",47.135
53.417,13.264,57.076,14.171,"Class1",31,59.791,"V",10.18,"W",0.175
50.316,72.523,39.786,70.434,"Class2",71,55.329,"V",55.831,"P",26.395
78.542,77.193,47.699,74.167,"Class2",84,66.049,"H",51.322,"V",91.387
96.391,46.28,37.707,56.627,"Class3",11,63.625,"P",1.209,"X",NA
61.525,77.398,18.761,75.549,"Class4",14,79.156,"D",95.275,"U",36.341
53.002,70.615,73.448,37.178,"Class1",22,67.866,"P",12.072,"F",9.336
51.176,71.096,38.395,2.47,"Class5",83,77.994,"W",89.688,"I",18.593
53.481,64.583,70.556,81.373,"Class1",32,79.588,"M",15.61,"B",3.68
51.471,25.406,75.461,50.515,"Class1",13,55.309,"P",24.84,"F",15.957
93.137,44.393,41.417,50.609,"Class3",11,48.787,"A",1.809,"S",33.223
49.814,80.418,12.787,72.634,"Class2",84,66.373,"A",54.741,"A",22.592
59.481,34.204,38.85,28.273,"Class1",19,43.947,"P",17.798,"F",13.101
61.919,94.828,46.553,7.067,"Class4",14,55.25,"Q",92.494,"F",49.31
50.71,63.397,77.617,2.615,"Class5",82,78.982,"J",62.107,"A",68.546
93.723,45.444,58.132,60.54,"Class3",12,97.686,"F",1.441,"X",29.052
50.836,71.614,68.358,-0.381,"Class5",82,79.134,"P",77.573,"I",61.134
92.148,45.847,31.521,55.896,"Class3",12,50.087,"W",1.937,"X",33.664
53.167,61.941,85.022,57.807,"Class1",22,66.652,"V",13.021,"F",15.593
50.467,72.017,71.262,2.317,"Class5",82,80.792,"P",65.178,"P",52.377
90.467,45.561,39.939,63.376,"Class3",11,74.553,"Y",1.177,"S",26.468
53.147,81.099,42.183,67.559,"Class2",54,79.648,"L",56.213,"P",45.823
50.766,70.53,81.861,1.438,"Class5",83,82.681,"J",62.466,"F",56.922
54.145,50.389,20.399,70.593,"Class1",35,62.611,"M",20.582,"C",NA
51.394,77.261,45.082,61.893,"Class1",27,72.379,"P",12.511,"C",15.96
95.063,45.715,33.418,49.16,"Class3",10,76.013,"A",1.078,"V",25.722
50.792,12.533,29.941,72.6,"Class1",21,60.612,"P",13.073,"X",10.914
61.621,83.599,11.812,28.18,"Class4",25,80.317,"Y",58.357,"U",76.858
52.344,54.793,66.684,23.57,"Class1",11,81.77,"M",15.927,"X",NA
62.078,85.711,59.789,73.501,"Class2",92,72.66,"H",56.648,"V",51.561
50.268,61.925,38.935,2.196,"Class5",82,80.366,"P",77.997,"Z",65.457
34.383,76.827,11.584,67.935,"Class2",61,68.708,"V",59.246,"S",72.562
50.936,60.285,62.154,1.338,"Class5",82,79.356,"W",84.7,"P",53.58
50.091,54.849,45.768,1.005,"Class5",83,78.79,"J",63.678,"Z",NA
60.097,95.703,22.518,32.877,"Class4",6,67.784,"Y",63.436,"P",58.96
19.981,78.507,55.638,68.023,"Class2",96,89.247,"L",57.22,"W",29.049
48.354,74.024,23.874,71.67,"Class2",64,59.241,"L",58.254,"P",37.793
67.57,93.689,4.541,36.678,"Class4",28,89.457,"P",44.801,"F",38.217
93.097,44.473,34.21,50.327,"Class3",11,91.812,"W",1.824,"X",21.27
28.292,73.545,19.371,65.545,"Class2",56,68.45,"H",51.654,"P",82.791
66.533,78.614,16.518,82.738,"Class4",5,69.565,"J",83.486,"F",66.328
51.012,90.992,83.737,60.605,"Class1",11,75.466,"U",16.723,"C",0.495
51.853,69.023,70.783,2.453,"Class5",83,79.687,"W",62.23,"I",63.398
42.96,75.581,20.22,69.854,"Class2",93,95.565,"L",51.872,"P",93.128
50.747,69.589,43.58,1.336,"Class5",82,77.812,"J",86.542,"I",41.337
90.453,45.655,49.004,52.995,"Class3",12,22.002,"F",1.295,"B",31.524
63.705,83.346,7.272,62.563,"Class4",42,74.125,"Q",87.254,"J",73.568
54.25,57.827,53.602,86.911,"Class1",30,87.238,"A",25.554,"W",10.987
52.945,77.941,61.945,77.614,"Class2",58,67.506,"H",54.864,"P",53.96
56.543,65.828,32.594,70.4,"Class1",27,61.75,"P",19.901,"C",8.835
62.213,95.383,51.525,96.684,"Class4",19,82.24,"Y",79.833,"Q",37.867
88.993,45.408,41.318,35.479,"Class3",12,84.198,"A",1.004,"S",32.42
20.648,88.407,10.379,72.836,"Class2",76,68.476,"L",58.999,"V",80.922
92.884,46.703,54.097,57.761,"Class3",12,79.154,"A",1.522,"S",28.923
52.544,71.748,69.771,72.93,"Class1",8,73.043,"P",16.368,"B",16.489
65.164,90.642,19.266,18.029,"Class4",47,75.91,"D",79.496,"U",67.674
56.364,80.679,53.283,70.204,"Class2",93,68.127,"A",51.852,"A",44.312
41.951,80.36,57.651,67.238,"Class2",97,75.553,"A",55.962,"W",23.415
50.5,59.285,28.313,1.674,"Class5",82,79.986,"L",64.634,"P",35.057
92.26,44.589,34.499,35.722,"Class3",11,38.79,"Y",1.306,"V",32.067
75.259,82.344,53.296,64.924,"Class2",63,75.55,"L",51.646,"W",64.095
67.444,73.565,49.607,79.614,"Class4",6,102.25,"J",79.395,"F",52.706
50.823,55.764,60.905,1.691,"Class5",82,78.936,"L",82.885,"Z",NA
93.13,44.1,44.374,49.177,"Class3",12,96.891,"P",1.877,"V",27.587
53.923,49.328,88.649,90.032,"Class1",29,86.099,"M",26.963,"F",1.544
66.154,84.773,23.485,80.44,"Class4",13,73.473,"P",46.912,"J",63.843
66.423,95.987,6.497,71.253,"Class4",15,85.169,"J",68.754,"J",-13.184
53.047,40.234,9.172,33.441,"Class1",15,72.632,"P",20.734,"F",6.919
51.355,54.234,53.712,1.716,"Class5",83,82.117,"J",78.017,"A",46.975
50.468,72.646,82.878,1.377,"Class5",82,78.904,"P",61.159,"I",26.82
54.463,69.508,85.364,46.681,"Class1",24,76.591,"P",21.758,"C",21.134
93.398,45.914,38.807,44.224,"Class3",10,62.529,"A",1.873,"B",NA
56.751,40.546,39.157,56.303,"Class1",14,41.194,"V",22.831,"B",8.537
63.069,86.022,60.652,27.211,"Class4",6,84.48,"J",93.941,"F",20.244
66.508,85.341,30.925,55.245,"Class4",9,86.756,"D",81.512,"U",54.283
94.971,46.437,55.392,46.51,"Class3",10,64.813,"A",1.307,"B",33.027
65.537,88.534,32.439,65.505,"Class4",39,92.666,"Q",69.799,"Q",58.038
64.884,85.069,15.007,71.173,"Class4",13,63.91,"P",57.22,"J",-11.883
54.913,75.855,15.076,26.635,"Class1",30,66.935,NA,14.186,"X",9.093
90.123,45.031,37.374,47.371,"Class3",12,19.659,"P",1.084,"B",29.152
50.599,67.702,39.245,1.518,"Class5",82,80.732,"Q",77.279,"P",64.165
62.218,79.131,26.537,47.881,"Class4",36,68.163,"Q",75.434,"J",37.861
67.475,73.808,11.646,55.685,"Class4",5,87.818,"Y",64.875,"Q",62.439
52.615,75.035,52.153,59.376,"Class1",18,87.044,"M",10.416,"X",12.574
64.48,82.431,32.804,44.239,"Class4",47,58.633,"P",64.401,"P",47.588
50.029,60.393,36.732,2.338,"Class5",82,77.077,"P",78.032,"Z",56.007
55.188,60.473,11.337,60.153,"Class1",15,71.052,"V",25.554,"B",10.617
50.083,59.416,29.375,1.424,"Class5",82,80.709,"L",74.095,"A",37.127
40.517,79.875,14.431,70.545,"Class2",90,66.819,"L",53.167,"S",39.196
64.727,89.152,47.404,45.363,"Class4",31,83.792,"Y",45.013,"P",3.24
92.796,44.873,37.432,51.533,"Class3",12,31.668,"W",1.164,"S",32.552
90.238,46.827,54.592,64.051,"Class3",11,51.929,"A",1.007,"B",30.513
62.733,82.229,7.987,73.35,"Class4",29,59.944,"Q",85.266,"U",33.69
50.728,62.451,43.297,1.122,"Class5",82,79.339,"L",68.196,"I",57.138
93.923,45.726,47.791,62.308,"Class3",11,57.668,"A",1.88,"M",22.599
38.827,83.012,48.841,65.117,"Class2",87,75.471,"H",55.371,"S",72.057
90.21,44.452,52.668,42.586,"Class3",11,72.203,"F",1.719,"V",36.176
53.471,10.624,60.572,59.065,"Class1",23,94.787,"V",16.552,"C",15.519
53.447,27.539,49.435,57.025,"Class1",12,68.658,NA,20.753,"B",3.36
65.047,73.265,56.457,49.263,"Class4",14,60.73,"Q",38.767,"U",81.481
66.425,92.441,61.549,86.012,"Class4",37,64.735,"Q",67.175,"P",NA
66.965,77.578,5.118,75.528,"Class4",45,67.138,"Y",42.069,"J",83.846
62.036,82.527,47.167,69.45,"Class4",20,66.546,"P",77.723,"F",84.817
50.471,64.908,57.73,0.696,"Class5",83,78.354,"L",60.217,"F",41.217
62.053,73.437,62.774,43.832,"Class4",47,63.413,"D",76.795,"P",26.349
94.965,45.804,37.708,56.236,"Class3",10,73.8,"W",1.282,"M",29.187
49.55,72.439,16.475,64.795,"Class1",13,57.569,"P",14.267,"C",3.96
54.6,88.555,41.285,47.918,"Class1",24,78.468,"P",26.059,"C",7.085
53.029,79.096,60.669,66.71,"Class2",57,71.344,"L",57.329,"V",14.577
91.443,44.882,47.851,55.25,"Class3",10,20.241,"A",1.921,"X",15.027
93.932,46.091,33.032,55.288,"Class3",11,74.487,"P",1.228,"V",29.646
51.284,69.9,59.177,2.591,"Class5",82,77.133,"Q",90.668,"Z",56.207
94.846,45.819,46.367,52.015,"Class3",11,72.253,"F",1.834,"B",27.816
58.292,91.537,26.689,50.989,"Class4",14,69.343,"Q",84.778,"U",28.348
51.883,55.444,66.184,2.232,"Class5",82,77.447,"P",65.201,"F",27.684
62.678,82.316,5.871,22.812,"Class4",18,61.63,"Q",98.312,"U",61.533
57.066,24.681,80.219,60.948,"Class1",29,64.808,"P",23.465,"W",9.345
60.021,87.238,25.358,64.669,"Class2",79,60.492,"V",52.555,"A",60.315
50.686,66.351,84.846,2.558,"Class5",82,78.086,"Q",83.632,"Z",84.377
52.476,73.521,40.901,2.835,"Class5",83,77.186,"P",59.587,"I",42.204
51.756,63.01,43.22,1.229,"Class5",82,78.514,NA,68.235,"P",3.999
63.133,93.831,7.654,47.977,"Class4",31,72.377,"D",57.419,"F",59.817
47.091,74.073,38.686,65.004,"Class2",68,76.212,"H",56.208,"S",14.734
51.2,76.533,35.933,2.171,"Class5",82,82.216,"J",74.269,"I",40.674
65.098,94.214,54.275,47.502,"Class4",26,76.614,"D",63.667,"J",-1.936
50.77,56.116,49.709,1.411,"Class5",83,81.313,"J",80.281,"A",42.843
51.071,54.583,47.326,1.444,"Class5",83,77.883,"L",85.372,"A",51.237
94.279,45.247,30.994,58.652,"Class3",10,60.784,"Y",1.144,"X",21.022
53.243,87.318,56.41,65.579,"Class2",94,69.823,"A",57.438,"W",NA
65.209,88.174,62.684,68.648,"Class4",47,69.866,"P",42.995,"Q",106.81
64.697,87.446,17.976,67.436,"Class4",14,85.435,"Y",55.199,"P",100.285
50.095,76.496,66.158,1.67,"Class5",82,79.353,"L",68.001,"I",49.633
55.054,46.745,24.898,56.284,"Class1",7,65.114,"U",18.241,"F",4.436
50.128,57.851,57.551,1.852,"Class5",83,78.472,"P",59.721,"P",30.198
63.06,89.998,39.484,62.699,"Class4",29,59.746,"Q",44.546,"Q",97.875
33.95,84.643,64.887,75.295,"Class2",80,67.439,"Y",55.118,"W",24.064
52.138,79.015,23.994,72.215,"Class1",35,75.394,"U",9.865,"F",14.311
52.952,86.978,64.163,66.401,"Class2",57,64.289,"Y",53.344,"V",46.526
50.989,52.272,77.91,1.763,"Class5",82,77.122,"W",67.747,"F",53.825
65.496,79.262,25.063,21.191,"Class4",32,80.881,"D",49.067,"Q",NA
52.752,26.478,92.603,38.401,"Class1",16,72.479,"V",14.211,"C",12.419
92.122,46.653,34.329,38.62,"Class3",10,85.13,"P",1.979,"B",29.208
93.919,44.236,41.877,52.715,"Class3",10,82.204,"A",1.822,"B",22.256
52.507,77.441,26.534,67.642,"Class2",65,77.76,"A",56.262,"P",71.043
49.454,81.983,57.206,15.244,"Class1",19,80.845,"M",16.632,"C",8.865
48.127,77.015,68.664,68.785,"Class2",59,78.667,"V",55.141,"A",39.543
50.644,65.18,29.514,1.983,"Class5",82,76.653,"P",77.983,"Z",23.721
51.885,52.266,61.286,3.873,"Class5",83,78.524,"J",73.427,"A",39.591
52.654,23.72,96.04,45.673,"Class1",21,83.582,"U",21.225,"W",9.303
91.423,45.213,44.47,47.832,"Class3",10,42.253,"W",1.62,"M",26.262
91.926,46.445,55.974,50.283,"Class3",10,67.56,"F",1.662,"B",28.944
66.292,75.66,49.021,82.588,"Class4",14,64.399,"Y",74.707,"J",67.995
34.361,78.314,47.425,71.326,"Class2",84,81.487,"L",59.573,"P",48.557
44.547,73.564,35.965,73.205,"Class2",52,59.591,"Y",58.547,"W",36.905
90.1,46.782,47.703,45.271,"Class3",11,74.333,"Y",1.454,"V",45.794
50.351,56.137,70.954,2.766,"Class5",83,79.067,"Q",73.933,"Z",31.845
55.503,93.195,64.691,44.354,"Class1",13,57.193,"V",11.746,"B",4.638
51.117,73.016,30.116,2.645,"Class5",83,82.172,"Q",89.544,"F",34.052
49.926,10.396,87.951,31.371,"Class1",25,67.489,NA,17.33,"F",NA
63.692,83.613,48.173,66.071,"Class4",9,64.118,"Q",88.369,"P",18.691
92.33,45.226,49.796,44.687,"Class3",11,82.542,"A",1.374,"X",NA
52.586,69.514,52.574,1.36,"Class5",83,83.141,"J",69.705,"I",63.099
91.897,45.713,35.859,49.883,"Class3",11,49.889,"P",1.489,"B",25.788
50.919,59.367,67.056,1.982,"Class5",83,79.47,"Q",62.667,"P",47.568
50.956,56.428,38.718,2.617,"Class5",82,81.89,"L",81.603,"A",23.911
52.327,29.338,66.982,49.198,"Class1",33,101.416,"U",18.642,"B",8.11
42.726,75.052,35.915,67.279,"Class2",74,60.661,"H",53.806,"P",62.977
76.598,74.312,48.603,69.471,"Class2",70,79.763,NA,54.756,"P",55.113
50.92,71.787,41.082,1.932,"Class5",83,77.609,"J",86.518,"I",56.878
63.309,80.479,22.485,66.136,"Class4",44,94.583,"Y",84.567,"U",73.971
63.169,78.271,52.145,56.955,"Class4",43,76.277,"Q",70.446,"U",66.33
51.075,62.739,36.664,2.141,"Class5",82,79.648,"P",63.593,"P",72.279
63.535,74.328,61.615,65.249,"Class4",42,72.036,"P",88.859,"F",28.461
53.383,68.084,11.684,57.009,"Class1",16,72.245,"P",19.046,"W",6.898
61.9,93.436,45.967,67.585,"Class4",34,96.989,"D",96.644,"F",55.542
50.667,51.561,46.529,2.795,"Class5",83,77.792,"Q",75.413,"P",54.384
65.24,95.012,18.957,90.601,"Class4",32,74.228,"P",81.016,"U",51.664
63.338,81.887,62.355,31.857,"Class4",40,92.247,"P",66.666,"Q",79.381
53.608,38.079,21.956,35.851,"Class1",8,75.063,"V",13.587,"W",9.094
59.502,72.212,55.787,73,"Class2",82,51.068,"A",59.221,"V",72.898
88.793,44.597,47.888,45.551,"Class3",12,46.054,NA,1.19,"X",22.413
92.566,44.523,37.437,63.526,"Class3",11,48.396,"F",1.511,"X",32.392
50.899,76.529,65.765,2.458,"Class5",82,78.652,"P",84.459,"F",40.341
28.869,73.332,39.325,65.33,"Class2",82,87.74,"Y",55.318,"P",74.94
63.368,88.81,56.956,39.965,"Class4",8,75.293,"P",60.933,"P",60.661
47.129,83.658,66.223,62.546,"Class2",69,64.726,"Y",53.813,"A",58.427
51.121,53.954,34.796,1.164,"Class5",83,80.21,"P",84.868,"F",51.679
53.268,36.243,46.497,42.392,"Class1",30,95.743,"U",26.93,"X",15.689
44.924,81.135,22.401,68.996,"Class2",69,92.601,"Y",51.511,"A",27.439
65.156,89.893,15.075,42.659,"Class4",36,49.132,"Y",41.779,"P",12.211
51.884,72.05,71.786,1.344,"Class5",83,77.258,"L",62.768,"Z",34.522
65.742,88.967,56.881,57.395,"Class4",12,61.131,"Y",78.838,"Q",50.241
51.448,72.274,70.811,1.828,"Class5",83,77.159,"Q",80.304,"P",15.205
51.016,75.884,75.772,2.752,"Class5",83,81.274,"P",63.227,"F",55.833
53.799,69.342,63.647,61.755,"Class1",29,78.582,"V",25.899,"C",11.344
51.347,76.889,65.397,1.178,"Class5",82,83.137,"L",88.458,"P",38.162
91.175,46.848,40.892,51.945,"Class3",12,44.515,"W",1.392,"X",39.004
50.391,66.091,64.539,56.341,"Class1",11,76.242,"A",12.998,"F",13.151
54.301,41.831,62.662,19.2,"Class1",23,55.978,"V",18.219,"W",9.637
91.157,45.181,49.149,45.9,"Class3",11,32.289,"P",1.663,"X",27.019
61.153,80.609,15.716,77.399,"Class4",6,73.997,"J",87.05,"P",-1.724
50.052,29.222,88.522,43.525,"Class1",32,78.785,NA,23.506,"B",14.032
63.7,75.996,49.793,69.284,"Class4",13,82.023,"P",78.146,"J",-4.343
48.923,85.168,38.976,50.106,"Class1",20,78.445,"A",9.506,"B",11.212
