"TFB1","Output8","GTB2","OPN3","OFZ4","GOJ5","BHA6","GTQ7","VTN8","SAR9","RMY10"
"B","Class4",35,"T",65.931,51.662,54.104,48.54,41.964,29.993,89.431
"U","Class5",68,"F",50.25,29.171,9.574,45.491,74.406,10.696,67.064
"L","Class5",69,"X",31.494,27.461,6.478,73.959,72.632,8.712,44.66
"J","Class3",32,"K",65.801,11.191,56.577,49.257,80.399,95.227,23.685
"P","Class2",30,"I",85.962,31.803,49.505,36.822,43.054,41.832,48.754
"D","Class3",35,"E",55.593,10.187,33.253,91.857,91.395,80.55,41.323
"X","Class2",30,"D",81.013,57.544,62.069,15.226,38.971,26.06,50.439
"Z","Class5",70,"F",35.144,27.412,14.549,15.825,81.543,9.822,64.988
"H","Class1",28,"W",66.954,87.234,25.572,43.245,11.352,90.649,67.464
"N","Class4",64,"H",33.304,75.6,61.878,49.228,57.849,39.177,77.245
"J","Class3",31,"E",27.847,10.797,40.603,59.518,101.961,75.552,36.172
"U","Class5",71,"Y",49.298,30.069,6.352,28.102,73.923,13.553,64.426
"I","Class5",71,"H",62.723,28.654,11.188,48.772,77.374,11.489,55.816
"A","Class1",22,"K",56.106,95.864,29.997,45.044,14.748,92.55,60.108
"X","Class2",26,"J",49.901,5.492,63.116,38.528,32.124,13.774,56.59
"H","Class2",35,"K",50.389,30.191,57.338,14.799,41.989,35.24,80.347
"K","Class1",33,"W",60.061,91.224,26.059,61.988,12.784,92.634,66.25
"I","Class3",34,"Y",91.206,11.327,64.533,79.523,99.307,81.358,38.783
"Q","Class1",5,"M",65.499,87.42,27.071,45.246,12.712,91.907,61.946
"Q","Class1",7,"K",70.365,88.829,27.633,68.52,7.911,92.188,63.086
"P","Class3",34,"O",15.46,11.463,28.316,62.481,89.092,75.39,24.149
"C","Class1",5,"C",66.498,86.541,26.581,48.001,10.096,91.249,62.162
"X","Class2",37,"A",61.413,67.674,57.367,32.577,35.53,20.807,54.967
"L","Class5",72,"X",42.098,25.045,12.802,30.132,82.209,11.901,50.714
"I","Class3",35,"K",64.363,11.757,57.072,81.704,82.507,89.846,17.027
"P","Class3",30,"O",-5.761,10.222,41.152,73.897,81.31,82.812,35.913
"O","Class3",34,"I",10.762,10.487,84.377,86.897,89.279,88.409,24.666
"B","Class5",71,"H",48.426,26.153,17.739,66.899,65.762,14.409,29.303
"N","Class4",42,"H",50.41,20.196,47.683,46.543,52.17,NA,58.765
"A","Class1",28,"W",53.977,94.018,26.112,51.012,10.823,92.552,64.003
"P","Class3",32,"Y",-10.227,10.319,43.539,86.619,87.324,89.346,25.534
"P","Class3",32,"I",17.242,10.368,52.092,32.798,95.987,80.96,32.564
"B","Class5",69,"Y",48.22,24.896,18.01,29.061,82.027,10.667,45.999
"B","Class5",72,"Y",26.816,30.19,5.937,69.664,73.942,10.023,38.661
"Q","Class1",39,"M",66.815,93.811,28.572,50.696,7.481,92.025,61.654
"F","Class4",51,"H",79.318,39.275,79.383,50.878,41.855,48.125,56.956
"P","Class3",32,"O",17.772,11.046,56.707,72.467,89.36,NA,14.209
"Q","Class2",35,"K",74.708,7.465,55.56,16.886,40.56,29.63,94.316
"D","Class3",33,"O",44.859,11.717,41.257,48.628,80.789,82.372,12.349
"O","Class3",33,"E",-7.286,11.362,44.164,52.117,91.134,80.694,37.768
"P","Class2",37,"D",76.03,13.498,49.16,50.183,32.719,28.59,62.931
"H","Class1",6,"W",59.354,85.125,29.737,69.437,12.895,90.61,65.551
"F","Class4",41,"T",25.559,17.796,36.378,51.24,74.565,41.648,78.603
"I","Class5",72,"X",57.663,26.985,12.525,65.094,90.28,11.865,39.481
"C","Class1",11,"K",64.78,87.55,31.12,44.317,4.397,91.804,67.084
"E","Class2",38,"J",70.857,25.196,43.644,46.748,42.324,33.573,67.866
"I","Class5",68,"I",58.112,27.544,13.436,50.49,64.521,NA,63.159
"C","Class1",12,"W",54.94,85.343,25.615,60.791,-3.896,91.494,60.605
"L","Class5",68,"X",54.363,27.187,12.176,72.699,86.717,13.124,51.633
"I","Class3",34,"E",3.834,10.22,71.031,81.877,88.866,82.053,18.731
"M","Class4",45,"U",32.794,41.218,46.092,48.328,60.497,45.283,58.576
"C","Class1",22,"Q",57.014,84.347,27.204,69.253,12.246,91.185,65.931
"H","Class2",27,"A",81.633,27.585,51.067,50.509,42.039,36.928,80.768
"J","Class3",35,"K",56.115,11.198,NA,48.63,96.364,75.219,31.072
"X","Class2",34,"D",91.171,26.267,55.776,32.31,36.775,13.445,58.087
"X","Class2",35,"I",64.548,22.885,NA,22.334,39.549,NA,55.338
"M","Class4",64,"J",40.402,75.283,12.585,46.746,59.317,46.67,96.343
"O","Class3",32,"I",51.733,11.633,55.341,66.509,78.398,91.53,47.249
"J","Class3",32,"I",30.456,11.605,62.134,48.306,102.617,79.56,14.437
"B","Class5",70,"X",40.782,25.379,12.144,37.252,68.805,13.136,43.814
"A","Class1",20,"K",63.972,95.405,28.767,51.501,2.528,93.014,61.89
"T","Class4",36,"T",49.528,25.109,28.894,51.758,64.364,48.762,81.359
"T","Class4",51,"T",38.772,41.742,65.665,46.861,45.877,53.58,75.431
"U","Class5",71,"I",68.793,24.081,6.223,17.679,67.894,11.853,50.214
"T","Class4",36,"K",64.106,58.266,70.563,47.413,79.072,52.084,77.039
"A","Class1",13,"Q",67.383,96.437,25.528,59.809,10.029,90.715,64.893
"Q","Class1",22,"C",61.059,91.279,27.626,70.06,8.169,91.833,66.956
"B","Class5",69,"Y",45.874,26.688,15.373,27.166,72.748,13.951,63.205
"K","Class1",26,"W",64.893,84.282,27.476,45.843,2.508,91.149,65.653
"H","Class2",40,"K",72.989,26.483,53.47,56.542,31.713,17.922,74.187
"I","Class5",69,"X",38.562,30.676,11.252,61.177,79.265,10.39,39.25
"P","Class3",32,"O",39.526,10.883,53.99,82.558,94.481,76.687,17.317
"N","Class4",55,"K",54.585,21.248,52.166,45.052,57.08,39.21,52.609
"X","Class2",31,"A",71.73,2.847,59.323,16.423,41.092,11.85,57.821
"B","Class5",72,"X",44.469,28.598,8.914,71.936,80.131,9.376,62.114
"Q","Class1",6,"Q",60.686,93.571,27.727,47.156,9.313,92.829,60.475
"M","Class4",40,"T",49.773,17.174,69.423,48.317,51.135,47.497,55.441
"Q","Class1",4,"Q",60.354,95.754,29.212,57.139,9.802,93.47,61.116
"J","Class3",30,"K",24.132,10.7,59.201,38.597,93.804,83.38,11.115
"K","Class1",30,"Q",64.386,93.233,24.838,64.239,12.217,90.805,63.209
"A","Class1",38,"K",61.549,87.473,27.038,56.288,13.3,91.699,67.785
"B","Class4",38,"J",4.202,82.229,49.718,48.228,70.583,22.799,94.302
"C","Class1",7,"Q",63.482,84.347,23.002,43.445,11.602,90.602,65.998
"E","Class2",40,"A",75.456,45.71,66.811,37.82,43.23,4.679,72.644
"Q","Class1",37,"Q",60.183,84.813,30.123,71.78,9.269,89.616,61.369
"Q","Class2",35,"I",64.487,12.969,60.267,29.481,30.287,30.508,52.554
"M","Class4",58,"H",26.586,55.216,25.754,50.119,41.9,50.547,68.92
"E","Class2",26,"I",64.264,6.98,44.074,46.188,42.326,20.346,91.284
"J","Class3",30,"O",14.896,10.854,46.664,89.066,97.408,85.844,29.343
"C","Class1",39,"K",59.123,93.066,28.269,67.063,17.07,91.961,66.503
"M","Class4",62,"H",101.168,16.849,84.601,51.565,56.19,48.162,84.071
"L","Class5",71,"X",41.975,26.984,8.021,20.198,72.108,11.723,56.866
"U","Class5",72,"X",36.827,26.494,9.358,51.04,75.275,7.474,43.351
"X","Class2",28,"K",79.86,8.417,62.713,24.159,40.237,21.117,53.984
"Q","Class1",39,"W",62.445,85.286,28.529,51.955,5.808,91.309,63.141
"I","Class5",70,"I",59.096,26.935,7.353,63.032,69.267,11.522,41.639
"P","Class3",35,"I",36.188,10.898,42.241,59.745,83.718,81.263,18.621
"C","Class1",33,"C",60.054,85.347,29.504,43.437,6.558,91.612,60.989
"M","Class4",46,"H",33.589,69.073,59.331,47.57,42.127,NA,70.592
"J","Class3",34,"O",71.329,10.835,62.885,53.45,96.497,86.217,31.182
"E","Class2",26,"D",102.866,40.348,50.483,17.291,48.395,17.289,90.831
"Z","Class5",68,"I",65.642,27.38,9.902,45.244,60.643,11.665,57.36
"N","Class4",64,"U",33.397,23.44,5.81,51.288,73.65,50.329,61.984
"B","Class4",62,"T",38.965,66.632,58.227,49.008,64.758,47.246,63.754
"P","Class3",31,"I",39.434,11.202,60.272,50.854,90.241,87.096,40.392
"Q","Class2",33,"D",48.218,66.642,50.691,51.552,42.191,25.357,79.121
"D","Class3",35,"Y",8.231,10.344,71.662,48.012,80.168,80.089,35.2
"B","Class4",50,"H",26.819,46.87,59.675,48.788,47.802,43.228,73.562
"J","Class3",33,"E",24.429,10.119,70.904,47.384,93.448,82.213,29.783
"N","Class4",51,"T",25.947,86.842,27.509,51.844,50.919,41.614,92.766
"T","Class4",55,"T",48.699,18.891,85.524,47.4,60.955,40.01,70.918
"B","Class4",42,"H",16.187,8.194,60.692,51.73,53.513,38.705,80.321
"L","Class5",70,"H",63.573,30.335,11.969,30.038,65.796,NA,38.734
"I","Class3",34,"Y",42.04,10.219,56.41,46.854,85.299,81.13,26.026
"Z","Class5",70,"F",58.412,29.027,15.62,46.454,62.616,14.135,45.636
"B","Class5",68,"Y",31.004,30.718,24.225,42.232,83.143,8.576,36.162
"A","Class1",38,"W",63.948,94.758,25.329,71.974,4.666,92.676,63.906
"N","Class4",44,"H",73.308,32.652,58.715,45.776,47.328,40.55,58.953
"I","Class3",33,"E",47.741,11.371,46.52,88.567,94.2,89.643,32.614
"T","Class4",49,"J",23.259,65.023,78.411,49.697,73.138,48.056,67.406
"E","Class2",36,"J",58.099,26.332,50.019,37.892,36.099,NA,83.686
"D","Class3",34,"E",55.421,11.739,87.145,64.68,87.607,79.07,38.346
"P","Class3",30,"K",27.629,10.412,35.928,92.38,79.74,NA,21.988
"U","Class5",70,"X",36.568,29.583,14.433,15.936,69.213,9.989,48.912
"I","Class3",31,"O",99.239,10.244,53.374,54.03,78.142,80.149,28.594
"I","Class3",35,"O",19.281,10.218,69.267,85.533,90.861,76.504,33.085
"Q","Class2",31,"J",65.548,29.297,40.955,24.951,44.211,32.263,92.399
"L","Class5",69,"I",52.386,30.611,16.806,53.076,77.06,10.695,50.255
"P","Class3",34,"O",35,10.948,66.057,34.735,85.658,80.314,44.019
"H","Class1",29,"M",62.485,89.181,28.826,61.466,19.239,91.536,63.077
"Q","Class2",32,"J",81.35,42.474,44.461,22.508,41.441,28.419,45.696
"X","Class2",39,"I",49.327,42.78,59.295,52.573,47.882,NA,77.473
"B","Class4",60,"H",28.808,30.83,62.098,51.692,61.299,52.955,85.962
"D","Class3",31,"O",50.928,11.642,62.731,88.153,82.95,82.99,21.481
"Q","Class1",10,"K",69.007,87.31,29.033,56.781,9.129,NA,63.794
"C","Class1",23,"W",71.131,92.84,30.975,72.981,12.87,92.259,65.096
"F","Class4",32,"J",54.821,61.179,3.956,46.926,45.043,45.947,72.604
"C","Class1",15,"K",62.815,88.034,29.255,54.515,3.248,89.599,64.029
"T","Class4",39,"K",29.952,38.176,73.821,46.468,61.094,43.051,65.123
"I","Class3",32,"E",51.892,11.26,43.409,82.766,85.257,92.373,43.354
"M","Class4",46,"K",65.009,15.659,NA,48.041,66.29,44.622,62.909
"J","Class3",30,"O",34.468,10.824,47.104,53.426,101.057,72.345,21.672
"X","Class2",26,"K",60.741,55.955,53.068,44.049,32.494,21.199,54.609
"M","Class4",62,"J",61.232,17.848,21.355,46.053,65.327,55.47,96.625
"H","Class1",39,"M",58.583,87.475,28.504,49.303,12.444,92.279,67.451
"P","Class3",32,"K",26.029,11.033,57.763,32.03,85.412,74.159,20.776
"I","Class3",32,"I",10.245,11.774,56.87,47.285,90.23,72.105,15.683
"E","Class2",38,"I",66.749,24.472,41.122,16.392,40.023,24.303,47.152
"U","Class5",69,"I",37.506,24.277,15.231,65.081,73.688,10.782,30.802
"E","Class2",35,"D",59.611,64.921,49.815,25.521,44.47,4.558,69.805
"K","Class1",13,"M",56.116,86.217,28.591,71.206,9.534,91.141,67.095
"I","Class3",33,"E",29.199,11.485,60.72,84.324,84.926,87.275,24.56
"M","Class4",53,"U",49.697,23.039,28.045,48.806,48.511,48.486,83.463
"I","Class5",71,"F",24.398,24.501,9.936,43.611,70.498,10.699,57.995
"D","Class3",35,"Y",40.668,11.716,32.443,42.197,90.988,72.461,29.536
"Q","Class2",28,"J",78.22,37.716,45.717,14.011,47.526,16.938,72.555
"I","Class3",33,"K",93.075,10.303,32.506,59.522,84.012,85.759,36.907
"I","Class3",30,"O",-13.924,11.831,74.853,66.788,88.41,NA,33.735
"H","Class2",35,"J",80.702,37.604,61.807,26.999,28.936,25.735,58.26
"H","Class1",32,"M",61.849,93.011,28.983,69.243,8.419,91.702,61.05
"P","Class3",35,"I",72.46,10.444,40.545,59.415,81.341,84.15,12.117
"I","Class3",30,"O",13.838,11.133,57.603,82.517,93.514,81.46,32.798
"T","Class4",63,"U",6.499,48.75,NA,44.024,60.345,48.718,72.256
"E","Class2",39,"I",51.601,5.557,57.952,45.542,44.313,24.751,93.023
"Q","Class2",35,"K",72.455,6.313,47.722,19.885,28.896,27.41,42.95
"T","Class4",37,"T",22.245,36.103,24.065,47.567,49.899,33.54,75.928
"D","Class3",30,"Y",46.346,11.466,46.666,63.153,94.409,91.718,11.243
"J","Class3",30,"Y",48.407,10.807,39.918,61.047,90.348,73.523,47.417
"I","Class3",34,"K",54.388,10.978,62.654,64.791,89.782,80.404,28.806
"H","Class2",34,"J",83.272,32.926,50.036,49.18,49.247,41.214,68.433
"O","Class3",32,"I",29.837,10.465,77.049,84.787,90.826,85.935,18.6
"I","Class3",31,"K",66.078,11.158,47.609,64.644,90.542,86.772,27.314
"U","Class5",68,"H",12.927,25.551,11.605,47.541,58.382,11.205,43.221
"F","Class4",31,"U",71.12,34.675,72.292,44.717,67.563,32.732,63.82
"H","Class1",36,"C",58.881,89.206,29.949,56.449,6.235,93.57,60.764
"P","Class2",35,"I",66.777,40.309,55.96,47.78,39.425,8.429,83.338
"L","Class5",70,"F",54.279,24.489,13.482,12.913,80.696,10.876,37.198
"K","Class1",12,"Q",62.241,96.173,25.117,51.685,5.588,91.437,64.586
"H","Class2",27,"I",46.392,11.884,59.353,47.971,44.254,33.788,68.689
"U","Class5",69,"I",45.354,28.794,15.256,61.68,71.612,9.074,30.163
"A","Class1",4,"C",56.639,96.448,NA,64.467,8.223,90.022,61.548
"I","Class5",71,"F",49.541,25.713,NA,58.729,70.856,11.307,64.012
"T","Class4",57,"H",77.853,64.524,42.716,47.795,36.183,46.005,61.487
"K","Class1",32,"C",59.473,91.665,28.963,50.648,12.819,90.732,67.455
"O","Class3",34,"Y",59.34,11.57,34.97,64.507,87.693,77.89,24.668
"U","Class5",68,"H",39.954,28.121,11.019,73.534,72.598,14.434,44.662
"M","Class4",50,"J",60.305,54.261,100.095,50.427,55.773,42.226,59.758
"H","Class2",27,"K",89.203,41.704,46.697,25.175,43.912,39.9,60.183
"E","Class2",27,"I",47.937,22.202,55.142,21.69,35.911,11.35,70.208
"A","Class1",23,"W",67.477,89.426,29.608,51.229,10.676,92.359,63.713
"I","Class5",69,"I",36.415,25.331,NA,53.373,69.184,12.214,34.022
"I","Class3",35,"Y",27.765,10.663,46.166,54.839,89.85,78.061,42.332
"N","Class4",41,"K",33.14,56.288,19.978,46.968,78.082,41.241,71.426
"I","Class3",30,"E",33.056,11.131,67.52,60.133,73.359,84.158,25.256
"C","Class1",16,"M",65.062,93.002,28.134,66.221,15.156,91.223,60.5
"A","Class1",31,"M",50.085,89.496,30.648,51.012,10.539,91.001,61.371
"A","Class1",19,"C",57.899,89.974,30.139,66.723,6.789,91.749,61.867
"B","Class4",36,"H",57.051,23.389,50.466,47.806,57.364,42.332,86.481
"C","Class1",7,"Q",55.334,95.122,28.468,72.713,11.813,91.458,63.709
"C","Class1",3,"K",53.606,88.409,25.768,51.9,5.312,90.135,60.675
"I","Class3",31,"K",61.282,11.361,58.946,58.676,104.694,67.433,31.241
"J","Class3",33,"O",53.489,11.456,60.956,34.515,90.862,82.981,23.218
"K","Class1",5,"Q",61.367,96.434,28.592,47.785,6.485,93.374,67.02
"N","Class4",52,"J",31.083,46.409,66.798,50.219,68.787,34.688,66.67
"H","Class2",37,"I",77.744,15.453,51.589,35.119,29.204,31.425,59.043
"H","Class2",34,"D",55.013,70.39,45.228,57.221,39.6,29.007,46.163
"L","Class5",70,"X",69.275,27.46,4.113,70.716,77.586,11.593,31.469
"A","Class1",25,"W",59.356,86.811,26.639,48.44,16.67,91.2,63.954
"N","Class4",32,"K",67.257,67.81,23.762,49.251,62.151,40.28,77.619
"U","Class5",68,"H",24.131,25.535,9.806,31.503,72.731,10.038,68.765
"J","Class3",31,"O",22.452,10.142,40.929,69.244,88.068,91.402,38.487
"B","Class5",69,"Y",58.932,24.145,15.563,29.514,73.647,14.12,55.433
"K","Class1",15,"C",67.705,86.993,NA,57.635,3.057,92.813,60.539
"Q","Class1",25,"K",61.237,91.868,29.439,56.925,8.464,92.589,64.447
"U","Class5",69,"F",17.837,26.394,10.31,24.47,105.77,11.164,32.334
"D","Class3",31,"O",56.45,11.199,17.081,71.637,81.402,76.794,36.186
"T","Class4",36,"H",100.793,48.808,44.593,51.769,68.093,47.822,71.682
"F","Class4",56,"J",28.222,20.582,50.171,44.742,69.587,49.492,65.937
"F","Class4",35,"H",53.816,54.988,32.318,49.485,69.42,45.132,92.05
"P","Class3",30,"Y",25.515,10.065,72.767,78.431,88.338,86.76,29.414
"I","Class3",34,"I",21.084,11.837,54.215,63.976,77.908,NA,16.603
"D","Class3",32,"I",11.586,10.5,46.851,40.367,83.091,80.859,18.24
"Z","Class5",70,"I",46.232,27.904,13.597,68.859,72.337,10.277,61.02
"B","Class4",57,"J",39.473,86.692,36.327,46.517,67.927,51.804,63.806
"F","Class4",41,"H",63.329,43.823,55.654,49.944,75.433,45.091,81.32
"E","Class2",38,"A",82.015,4.957,56.332,30.048,41.432,31.52,43.278
"D","Class3",35,"O",20.711,11.665,60.742,68.826,77.374,NA,21.65
"Z","Class5",69,"X",38.46,29.961,18.665,31.059,70.547,9.594,38.601
"B","Class4",61,"J",81.719,8.853,72.747,50.699,60.421,45.491,87.319
"C","Class1",37,"K",63.741,87.262,29.556,59.735,11.622,90.978,67.8
"H","Class1",27,"Q",64.362,83.043,26.749,62.899,7.368,91.073,61.727
"Q","Class2",34,"K",57.525,10.282,49.773,41.673,48.153,32.507,88.374
"X","Class2",31,"J",61.248,51.513,48.76,48.979,35.633,27.443,60.778
"L","Class5",68,"I",21.192,28.842,NA,43.357,65.866,12.729,60.511
"M","Class4",53,"K",42.448,76.861,41.392,45.81,50.805,52.474,91.756
"H","Class2",29,"J",81.85,50.963,52.365,52.36,55.897,19.233,88.837
"Q","Class1",7,"Q",55.71,84.477,26.995,73.931,10.356,91.913,64.826
"B","Class5",69,"X",58.021,25.762,4.073,7.015,74.131,11.173,66.852
"B","Class4",52,"J",60.986,69.994,53.23,50.708,36.281,50.229,59.821
"T","Class4",60,"T",78.43,9.197,28.988,47.677,58.927,46.702,75.882
"O","Class3",33,"K",23.974,11.623,44.202,49.594,88.983,89.291,10.157
"H","Class2",37,"I",67.317,41.812,51.541,48.874,41.296,32.106,59.347
"A","Class1",28,"Q",56.927,89.465,29.343,73.039,9.408,92.245,62.103
"T","Class4",39,"H",8.573,67.398,64.039,50.781,53.73,40.088,81.117
"E","Class2",30,"K",61.919,44.492,47.282,25.13,42.922,NA,53.338
"I","Class3",32,"Y",13.354,10.223,51.475,72.145,81.393,82.374,43.221
"Q","Class1",38,"M",60.183,95.244,29.525,63.619,6.466,NA,61.183
"I","Class5",69,"F",71.199,28.597,NA,38.892,75.73,NA,35.237
"P","Class3",33,"I",35.338,11.478,65.18,48.737,106.918,79.137,35.141
"D","Class3",31,"Y",38.627,10.655,60.258,71.797,101.099,76.229,30.286
"Q","Class2",29,"J",70.442,7.605,53.807,28.389,43.228,34.234,92.798
"O","Class3",33,"O",-9.616,11.532,50.575,44.433,97.983,69.748,34.054
"E","Class2",40,"D",69.067,34.135,57.986,54.488,54.464,23.874,64.99
"T","Class4",41,"U",36.778,41.019,NA,45.759,39.66,47.332,80.898
"Q","Class2",26,"I",97.704,55.527,44.305,43.475,35.17,30.467,74.022
"T","Class4",54,"J",89.075,69.879,11.358,48.301,22.948,39.828,64.784
"B","Class4",30,"T",90.695,80.151,36.918,49.409,41.885,29.561,84.806
"L","Class5",68,"H",29.881,26.469,21.343,19.628,74.992,10.643,51.567
"C","Class1",16,"K",73.205,90.96,NA,49.216,9.45,91.486,67.6
"T","Class4",46,"T",48.582,70.087,40.69,48.586,70.13,44.098,92.794
"Q","Class2",38,"I",54.356,21.64,50.387,14.69,35.673,21.714,86.1
"K","Class1",35,"C",55.799,82.408,28.042,60.025,10.802,NA,61.915
"K","Class1",8,"Q",55.316,84.565,26.64,73.687,14.573,90.621,60.492
"D","Class3",34,"K",2.407,11.726,43.424,62.084,98.419,79.08,29.83
"N","Class4",48,"K",21.277,38.326,77.308,51.593,51.352,49.852,65.992
"P","Class3",32,"O",13.565,11.708,46.105,36.696,91.131,NA,24.606
"I","Class5",71,"H",51.577,25.621,10.888,12.203,88.579,11.239,30.474
"F","Class4",30,"U",71.938,37.12,75.188,49.296,65.498,39.445,92.176
"U","Class5",68,"F",16.426,29.676,14.827,73.279,60.884,12.101,34.48
"A","Class1",40,"W",55.317,88.105,27.455,59.819,12.683,91.398,61.697
"H","Class2",40,"K",78.838,61.857,57.378,24.385,47.038,29.453,60.939
"O","Class3",33,"E",71.821,10.615,62.945,57.802,80.208,NA,32.485
"P","Class3",34,"E",2.816,11.002,NA,35.383,85.251,78.943,31.872
"E","Class2",27,"K",60.962,40.851,58.946,28.527,37.429,36.822,94.77
"K","Class1",17,"K",67.823,83.624,26.793,55.561,8.168,93.246,60.994
"D","Class3",35,"Y",61.329,10.914,45.227,80.732,84.469,84.465,20.422
"A","Class1",23,"M",58.078,96.426,27.754,62.658,7.486,91.763,62.459
"N","Class4",30,"U",42.529,23.695,63.898,51.63,54.209,52.153,59.435
"Z","Class5",69,"H",24.81,25.619,9.347,23.579,87.099,13.536,47.903
"N","Class4",63,"K",86.091,74.98,24.797,48.781,46.915,51.668,90.12
"H","Class2",30,"A",87.806,31.716,56.806,38.971,41.985,28.125,87.886
"F","Class4",42,"U",22.545,26.238,60.911,48.656,45.775,35.469,72.889
"M","Class4",56,"U",72.863,9.187,44.606,48.668,48.895,42.973,61.553
"K","Class1",16,"K",59.919,93.593,26.219,43.323,12.778,NA,61.741
"L","Class5",70,"X",28.399,24.265,11.12,14.372,71.025,10.455,29.867
"P","Class2",29,"A",87.871,2.714,53.473,25.946,32.944,38.603,88.094
"F","Class4",49,"K",29.517,11.324,67.765,45.707,59.899,44.064,61.022
"M","Class4",39,"U",93.657,60.761,42.203,46.211,39.375,40.794,93.792
"C","Class1",18,"C",63.883,92.44,29.943,48.841,6.791,91.793,62.036
"A","Class1",37,"M",57.228,95.371,28.364,64.481,22.851,91.883,61.707
"I","Class3",34,"I",5.533,10.178,48.717,73.624,88.825,81.738,44.331
"H","Class2",27,"D",63.845,28.603,48.79,20.26,43.895,NA,60.612
"P","Class2",39,"K",68.039,7.53,35.831,37.472,42.748,28.581,86.133
"P","Class3",35,"Y",37.905,11.666,42.368,76.669,95.252,75.483,29.101
"Z","Class5",71,"Y",34.283,28.264,12.866,10.511,65.823,11.353,51.889
"F","Class4",62,"J",19.879,33.676,33.72,50.694,66.103,38.108,74.221
"I","Class5",68,"H",49.945,28.059,9.7,18.473,74.132,12.07,63.578
"B","Class5",72,"I",22.765,26.591,15.773,40.028,89.316,9.847,49.798
"U","Class5",72,"Y",45.397,29.205,18.07,54.879,64.443,13.912,35.942
"F","Class4",60,"J",50.714,51.427,64.955,50.764,66.821,38.088,96.058
"M","Class4",30,"J",46.033,41.652,80.947,49.273,49.567,NA,83.56
"I","Class5",70,"X",45.511,27.714,14.948,31.526,55.974,12.848,55.583
"U","Class5",68,"I",37.589,29.319,13.435,53.126,84.188,12.374,34.351
"C","Class1",8,"K",66.456,86.103,28.387,44.426,11.249,91.828,64.56
"K","Class1",10,"W",60.953,89.562,30.956,54.321,12.058,NA,62.577
"J","Class3",32,"I",38.032,11.608,68.473,36.333,86.073,75.251,33.494
"T","Class4",35,"T",67.357,83.959,43.979,46.714,51.503,50.161,96.882
"J","Class3",32,"K",42.918,11.734,53.059,45.297,100.47,76.151,14.542
"C","Class1",12,"C",60.095,92.362,27.822,67.358,9.614,92.478,66.659
"O","Class3",30,"K",75.738,11.077,50.216,59.429,88.869,NA,45.731
"K","Class1",37,"W",63.219,92.122,25.894,56.405,11.113,90.622,63.169
"M","Class4",40,"J",35.095,8.275,34.624,47.678,50.694,38.03,52.976
"P","Class2",37,"K",73.552,27.5,52.89,43.667,32.153,44.287,66.692
"Z","Class5",68,"Y",55.173,27.004,8.401,31.717,59.539,11.408,43.659
"C","Class1",31,"M",56.457,86.594,32.258,49.949,2.523,89.803,61.738
"X","Class2",26,"J",66.31,7.549,52.631,25.209,33.65,21.024,55.221
"A","Class1",30,"Q",58.974,84.227,27.471,62.261,12.491,90.677,67.144
"H","Class1",23,"M",61.272,95.213,26.377,47.142,17.954,91.469,67.323
"D","Class3",33,"K",10.879,10.681,49.222,53.847,85.266,89.761,21.265
"E","Class2",31,"J",80.083,38.576,53.744,52.933,44.279,44.245,94.969
"N","Class4",62,"T",61.643,53.858,52.748,44.115,45.536,NA,73.333
"Q","Class2",30,"J",76.207,64.415,57.459,35.783,33.593,27.507,79.218
"Q","Class2",34,"J",69.757,2.053,49.449,42.734,47.396,20.491,44.857
"P","Class3",30,"O",7.142,11.88,27.265,47.873,78.762,83.817,25.745
"Z","Class5",69,"F",34.393,26.305,14.169,14.388,84.619,14.159,63.565
"M","Class4",40,"K",36.619,28.775,44.754,45.042,49.433,46.042,67.752
"C","Class1",22,"C",67.435,91.268,25.172,67.822,12.777,93.527,63.532
"I","Class5",72,"F",69.09,24.094,3.67,10.795,76.777,9.173,41.322
"B","Class5",71,"H",30.146,25.681,4.11,15.111,68.709,9.255,29.733
"X","Class2",28,"D",62.318,25.724,58.128,27.217,43.713,25.243,66.386
"F","Class4",59,"K",53.181,20.648,73.454,48.478,60.116,42.899,78.457
"D","Class3",34,"K",35.251,10.891,74.339,76.315,87.295,88.931,34.758
"T","Class4",62,"K",67.737,49.563,47.23,51.72,57.326,46.182,78.761
"U","Class5",71,"X",35.181,29.406,7.313,57.669,51.838,12.56,38.179
"O","Class3",33,"E",38.116,11.745,42.368,31.911,100.768,91.831,17.36
"I","Class5",72,"H",45.994,30.326,6.393,53.642,73.782,9.81,56.015
"U","Class5",72,"Y",38.197,25.877,9.134,60.721,53.356,13.794,29.785
"L","Class5",72,"H",63.018,27.653,3.721,64.942,74.403,7.948,57.776
"D","Class3",32,"I",49.809,10.518,57.821,82.375,92.909,89.611,38.227
"T","Class4",41,"T",66.399,12.753,64.526,50.955,52.484,50.645,73.181
"O","Class3",31,"O",40.117,11.498,45.007,38.891,90.941,85.849,12.476
"Q","Class2",26,"D",70.174,48.649,58.65,51.547,44.495,30.761,65.771
"K","Class1",23,"K",58.749,87.211,30.429,69.502,14.505,92.136,64.488
"D","Class3",32,"Y",19.302,11.412,51.002,55.693,80.348,84.854,47.357
"L","Class5",70,"F",42.726,24.101,14.523,48.902,80.137,12.633,48.354
"B","Class4",48,"K",50.709,10.746,41.928,49.101,53.617,NA,96.756
"D","Class3",34,"K",34.935,11.177,15.226,67.109,90.203,79.692,40.253
