"Output10","CES1","DTC2","VDM3","KMC4","NVK5","TXO6","JMA7","RYZ8","ECP9","GJD10","MQI11","AQX12"
"Class4",73.603,"U","G",23.286,12.982,35.896,93.833,12,61.785,16.102,50.55,23
"Class3",61.49,"C","N",15.12,41.784,49.59,-0.194,53,79.195,46.79,52.577,68
"Class2",87.765,"J","Q",24.497,32.92,69.267,87.076,36,63.421,30.376,48.853,40
"Class4",70.552,"U","D",39.556,14.285,39.04,85.41,12,59.799,10.296,37.286,36
"Class4",77.308,"Q","G",38.866,16.525,43.397,83.225,20,66.837,21.821,41.181,37
"Class4",77.729,"Q","S",45.59,NA,43.373,85.735,11,66.726,47.494,40.46,59
"Class2",78.843,"I","A",7.15,19.635,25.662,87.839,37,57.668,61.57,54.032,34
"Class4",75.467,"U","G",46.055,11.094,36.568,86.267,12,77.514,16.985,47.696,73
"Class2",76.194,"A","C",30.616,36.971,22.129,87.111,51,54.184,57.345,43.462,21
"Class5",67.852,"N","I",27.674,30.442,63.525,50.747,10,45.283,57.759,39.76,65
"Class1",77.609,"T","C",32.905,44.514,74.939,62.819,54,38.213,68.634,47.905,90
"Class3",92.257,"R","J",14.646,40.856,46.694,67.626,63,82.548,41.846,45.906,72
"Class5",73.692,"O","Y",26.209,-15.165,83.311,46.537,12,81.116,53.098,27.6,72
"Class4",75.163,"V","Y",24.965,15.879,40.182,85.11,25,60.647,43.959,36.631,30
"Class3",56.949,"F","L",14.126,54.452,40.483,52.813,31,81.539,22.771,53.748,68
"Class2",76.437,"I","Q",4.297,26.576,59.873,87.403,39,61.139,67.873,53.926,39
"Class2",76.514,"J","Z",28.61,58.523,21.301,87.922,60,66.398,57.288,52.067,42
"Class1",92.853,"H","P",33.062,79.141,54.835,62.253,59,40.411,26.187,38.463,40
"Class1",88.383,"X","U",32.384,74.104,66.032,5.002,52,35.577,80.644,NA,65
"Class1",98.657,"H","X",32.708,102.231,63.132,75.376,57,36.615,58.57,43.186,99
"Class4",73.847,"U","G",22.26,14.453,42.896,89.87,12,52.912,40.923,41.993,23
"Class4",76.817,"L","Y",39.104,14.271,36.474,90.368,26,51.638,20.427,40.852,23
"Class5",61.359,"A","E",20.852,39.061,69.389,57.973,10,81.095,49.763,21.509,63
"Class3",94.048,"R","J",13.843,53.341,39.82,68.627,43,80.906,15.962,56.576,68
"Class5",65.019,"N","E",21.015,48.54,58.415,51.738,11,94.986,73.86,16.979,66
"Class4",75.248,"V","S",38.292,12.328,35.581,96.089,14,87.215,28.173,40.632,19
"Class2",77.984,"K","A",13.004,19.824,27.732,87.852,30,54.832,40.838,41.562,45
"Class1",76.667,"T","X",32.893,60.986,58.76,70.147,58,34.469,74.072,35.251,41
"Class3",61.124,"K","J",14.687,39.178,40.363,13.534,47,80.611,59.655,NA,69
"Class5",93.043,"N","Q",12.889,4.272,59.875,55.65,11,46.075,50.37,37.727,53
"Class2",82.078,"J","Z",15.41,11.322,33.95,87.464,91,52.868,61.767,36.673,39
"Class4",73.563,"Q","G",34.336,23.418,41.254,85.912,11,85.547,21.408,52.922,23
"Class1",89.086,"H","P",32.592,81.472,62.266,41.598,58,39.889,30.382,47.506,62
"Class1",89.195,"L","R",32.082,56.035,82.8,63.342,62,35.989,27.001,41.075,33
"Class2",79.715,"I","Q",9.101,39.18,28.292,87.605,53,65.376,60.735,38.651,29
"Class2",83.885,"Y","A",16.884,-12.071,62.908,87.63,75,67.697,42.956,54.029,15
"Class1",81.321,"L","P",33.232,65.975,70.624,66.457,65,39.946,51.154,40.119,72
"Class3",51.399,"K","L",14.787,50.083,47.084,28.245,20,79.327,28.343,52.084,68
"Class3",92.387,"K","I",14.042,38.861,52.009,1.118,63,82.173,24.847,52.153,68
"Class5",82.44,"O","I",23.777,40.316,68.289,59.717,10,66.054,69.669,62.907,79
"Class4",78.63,"K","D",36.771,13.33,40.58,83.092,13,62.212,22.952,46.104,81
"Class1",85.031,"L","C",32.098,76.674,67.147,24.927,64,38.492,29.313,39.552,33
"Class3",53.497,"K","L",16.443,43.917,55.232,63.324,43,83.324,22.889,54.503,69
"Class4",79.024,"V","G",33.102,6.517,40.663,83.866,10,66.507,34.323,36.535,53
"Class5",74.788,"N","Y",21.303,35.554,73.459,50.936,11,57.068,75.522,21.16,64
"Class4",77.051,"K","S",15.569,9.544,43.151,91.69,22,86.406,35.588,46.307,43
"Class4",71.363,"U","Y",30.517,14.755,37.78,87.268,1,73.242,28.244,48.486,30
"Class1",73.292,"P","P",32.744,75.968,80.885,124.858,52,36.7,78.776,NA,37
"Class5",81.115,"K","I",23.755,40.507,85.001,49.906,12,46.191,54.412,42.246,79
"Class2",78.114,"K","C",14.124,9.153,66.775,87.423,52,68.934,54.486,51.08,25
"Class1",92.724,"X","U",33.938,74.642,83.177,79.453,54,32.055,45.202,50.279,91
"Class4",69.977,"U","G",42.04,13.977,42.019,90.279,26,63.55,40.402,34.346,75
"Class3",61.17,"R","I",13.274,35.617,52.3,65.271,77,80.744,15.753,54.497,70
"Class5",74.848,"N","E",26.891,54.076,73.324,53.755,11,93.211,55.943,52.807,73
"Class2",80.868,"K","P",27.494,14.309,56.927,87.417,32,65.853,39.5,45.586,28
"Class4",72.074,"Q","S",17.662,14.159,37.805,94.923,0,88.772,7,47.747,23
"Class5",92.152,"N","E",19.065,57.965,69.292,51.355,12,50.148,51.044,36.58,60
"Class1",85.862,"X","X",32.356,68.41,77.117,107.924,61,38.694,66.985,48.407,98
"Class4",78.74,"U","G",18.001,22.502,36.138,88.712,25,49.091,40.258,36.19,24
"Class3",53.113,"P","I",15.318,66.297,52.675,5.12,64,82.954,26.789,45.085,70
"Class4",72.265,"U","C",22.349,6.31,37.356,77.066,26,79.734,6.298,43.297,43
"Class1",83.858,"L","C",34.366,67.54,54.195,81.341,59,39.244,39.742,42.671,38
"Class1",81.359,"T","R",32.823,66.876,56.418,54.968,58,32.545,27.612,55.623,75
"Class4",73.701,"L","Y",21.454,18.75,36.758,84.675,2,84.675,23.921,50.246,47
"Class3",67.151,"C","N",15.538,42.943,32.513,30.758,66,80.269,61.93,46.578,69
"Class1",76.589,"L","U",32.435,NA,59.031,27.173,66,32.854,52.253,53.436,74
"Class5",80.867,"S","I",19.758,40.208,70.131,46.507,10,74.014,76.148,34.997,64
"Class5",70.33,"O","E",14.691,37.77,79.227,61.372,11,93.209,51.144,22.83,60
"Class5",71.399,"O","I",18.659,10.038,63.877,48.359,10,93.809,50.333,NA,76
"Class3",51.372,"C","I",16.433,46.179,27.557,48.351,53,82.522,15.47,52.341,72
"Class1",94.086,"T","R",32.551,62.375,75.355,48.906,59,38.437,78.293,43.075,27
"Class1",95.186,"H","U",33.824,86.458,61.748,-0.263,59,32.611,65.052,43.498,81
"Class4",75.236,"U","S",43.822,9.931,43.529,86.863,12,57.056,46.478,36.66,17
"Class2",84.578,"I","A",28.758,14.846,68.785,87.716,87,54.66,24.801,41.285,23
"Class4",75.811,"K","G",11.164,NA,42.788,83.55,0,84.403,17.116,NA,77
"Class1",93.958,"T","P",32.251,47.286,57.255,42.789,60,37.359,43.876,52.003,68
"Class2",85.609,"Y","A",13.208,67.553,71.52,87.524,45,67.332,37.855,40.735,16
"Class3",85.175,"P","I",14.586,44.594,28.786,5.123,20,83.419,21.65,50.942,69
"Class3",53.448,"P","L",15.007,55.43,36.594,63.7,67,82.123,38.525,51.912,70
"Class4",78.222,"Q","S",24.552,25.526,43.58,88.02,19,59.368,49.416,41.85,76
"Class3",81.901,"K","J",14.439,38.12,30.54,42.602,80,82.456,22.181,51.969,68
"Class5",66.393,"S","E",21.824,23.361,73.102,56.654,11,64.358,67.316,25.707,69
"Class1",75.507,"L","R",32.213,72.023,73.271,3.17,66,32.795,73.821,50.166,58
"Class1",77.761,"H","U",33.35,47.604,55.854,2.392,56,33.838,51.864,43.812,65
"Class4",69.522,"L","D",17.082,19.721,38.774,89.117,9,82.272,9.959,43.031,78
"Class2",86.061,"K","A",34.539,23.534,20.004,87.167,66,59.677,26.55,37.969,40
"Class3",60.291,"P","J",13.262,40.326,36.335,18.451,77,81.921,31.909,48.184,73
"Class2",77.42,"J","Q",15.587,24.592,58.744,87.333,75,70.922,47.028,51.034,30
"Class1",90.192,"P","C",33.404,76.479,76.039,53.093,55,34.944,54.812,41.26,76
"Class2",86.062,"I","Q",6.555,30.949,58.001,87.629,51,70.978,51.72,48.498,45
"Class3",63.217,"P","C",16.522,39.857,31.706,43.245,63,81.843,20.645,47.037,69
"Class3",62.205,"C","L",13.503,42.745,51.345,93.804,24,82.954,36.146,56.609,68
"Class1",77.193,"X","R",34.07,61.663,57.856,38.357,61,35.782,75.537,42.65,62
"Class2",76.079,"Y","C",17.15,25.975,67.4,87.44,84,72.88,62.189,40.029,30
"Class1",99.542,"X","P",32.81,71.456,53.485,35.224,54,40.743,39.044,49.953,55
"Class3",72.748,"C","J",13.833,52.435,54.415,67.536,80,81.327,36.407,55.607,72
"Class2",78.631,"I","P",14.59,26.927,25.61,87.684,60,63.773,55.149,45.521,22
"Class3",63.423,"P","J",14.864,40.892,43.377,14.015,68,82.623,49.423,53.471,70
"Class2",88.967,"A","A",23.253,14.357,72.733,87.786,70,76.901,21.292,46.062,32
"Class5",85.621,"O","I",16.675,38.516,72.995,46.287,12,93.429,56.871,14.449,62
"Class5",65.936,"O","Q",31.949,22.419,73.547,51.562,12,98.939,66.91,37.593,59
"Class2",78.134,"J","A",25.304,24.41,49.099,87.521,34,57.241,49.696,59.123,21
"Class3",56.891,"C","C",12.653,55.523,39.045,52.772,66,80.163,13.112,54.723,73
"Class4",72.303,"K","D",18.499,14.963,43.041,88.432,7,61.754,50.779,35.486,74
"Class5",96.201,"S","E",17.541,0.214,63.304,53.003,11,81.171,57.865,27.153,79
"Class3",76.849,"P","J",14.532,51.509,45.658,10.426,43,79.875,25.223,48.143,73
"Class1",77.407,"L","X",32.593,50.633,56.036,54.119,59,36.331,60.281,35.336,78
"Class1",79.112,"H","R",33.289,102.177,53.97,50.338,64,35.775,44.897,38.2,57
"Class4",72.731,"L","C",48.735,18.676,36.528,86.909,8,63.916,47.782,43.629,32
"Class5",90.412,"O","Q",29.904,43.026,61.039,45.757,12,57.694,59.915,55.737,64
"Class4",71.39,"K","Y",53.81,15.252,35.521,80.173,18,72.586,23.863,38.621,40
"Class1",93.86,"T","X",31.668,77.222,75.723,64.975,55,33.762,49.578,52.947,85
"Class3",81.896,"P","I",16.121,52.323,45.705,46.777,35,82.932,33.814,55.851,70
"Class3",79.802,"K","L",13.764,36.286,45.021,41.819,34,82.65,61.283,51.814,69
"Class4",78.766,"U","Y",68.49,19.716,39.842,83.804,15,62.112,36.958,34.815,75
"Class4",69.134,"U","D",31.028,26.177,39.295,84.401,17,67.85,50.21,37.942,70
"Class4",77.574,"V","G",31.477,12.356,42.274,88.193,3,68.228,29.601,NA,42
"Class1",96.933,"H","C",33.179,NA,63.816,44.657,61,39.239,32.278,58.812,91
"Class2",88.67,"Y","P",23.476,NA,51.981,87.835,85,69.275,73.068,45.975,32
"Class5",58.448,"S","Y",22.553,42.817,71.506,53.893,12,52.391,55.495,36.219,68
"Class5",93.019,"S","I",9.738,14.15,83.466,53.856,11,86.896,57.776,42.543,64
"Class5",96.565,"A","D",26.354,25.018,83.601,45.412,10,76.391,54.502,37.132,72
"Class1",77.103,"L","C",33.736,79.844,70.085,51.188,57,35.749,80.436,42.987,94
"Class4",78.353,"Q","Y",22.626,22.963,36.919,82.33,24,60.173,11.592,43.835,18
"Class3",96.49,"K","L",15.692,59.976,43.58,22.289,43,80.683,16.39,49.606,71
"Class4",79.212,"K","Y",25.534,22.443,36.099,85.98,16,57.315,33.663,52.237,20
"Class1",98.42,"X","U",32.414,66.147,55.698,32.889,54,37.223,46.871,56.981,31
"Class4",79.252,"Q","D",28.092,14.519,43.77,90.694,19,76.345,34.621,42.084,51
"Class3",80.699,"C","I",14.01,NA,51.452,56.769,73,81.311,35.335,53.706,73
"Class5",84.708,"S","D",19.197,53.048,74.258,51.616,10,88.897,68.058,46.539,60
"Class2",79.843,"I","A",8.891,NA,50.972,87.063,64,64.19,62.384,39.572,31
"Class4",74.602,"V","S",35.276,13.269,43.687,90.734,2,85.797,40.143,41.56,39
"Class2",82.319,"K","Q",6.522,53.238,26.44,87.297,63,66.21,70.652,43.697,32
"Class5",77.745,"S","E",24.28,35.568,65.583,48.884,11,50.022,56.061,43.866,59
"Class5",89.652,"O","D",8.438,22.226,63.079,44.511,12,61.15,62.957,39.649,55
"Class5",95.161,"O","I",39.666,NA,57.238,55.292,10,59.355,62.743,38.195,63
"Class3",56.996,"F","L",14.129,53.016,57.068,-47.495,20,83.724,61.391,51.151,73
"Class2",85.169,"J","Q",26.61,55.613,61.179,87.899,83,73.766,56.906,40.439,38
"Class3",87.224,"C","N",14.613,50.116,37.987,45.313,50,82.297,48.5,47.86,70
"Class1",96.652,"X","X",33.898,72.391,75.715,34.284,56,36.425,52.294,40.942,70
"Class1",97.281,"X","P",34.647,70.861,86.437,83.856,55,37.136,53.889,34.436,67
"Class4",76.459,"U","G",23.96,25.71,35.833,90.817,26,57.194,37.787,38.166,78
"Class4",73.138,"L","S",21.388,12.625,42.353,87.384,18,66.574,32.37,39.346,42
"Class1",78.572,"H","R",33.534,88.97,62.57,70.241,65,38.968,42.09,39.212,82
"Class2",86.861,"J","C",19.352,28.269,44.389,87.464,91,52.019,44.885,47.765,19
"Class3",77.007,"F","N",13.961,NA,37.371,8.96,31,82.445,33.22,49.934,69
"Class2",77.922,"A","C",16.916,7.619,60.172,87.173,72,75.42,28.605,36.326,27
"Class1",72.129,"X","U",32.275,55.511,59.493,-18.898,58,37.443,23.014,35.219,59
"Class4",78.543,"U","C",30.911,3.113,40.672,83.377,22,82.606,34.462,42.953,73
"Class4",71.565,"V","C",28.902,21.872,40.496,86.2,4,63.315,42.973,33.176,42
"Class1",84.368,"L","P",33.436,82.563,70.313,16.314,55,37.684,33.791,46.227,67
"Class4",69.519,"Q","Y",37.66,20.454,35.289,76.263,26,55.594,19.8,44.381,40
"Class4",78.166,"Q","S",18.614,18.984,42.166,86.812,16,49.467,14.12,44.885,27
"Class3",63.49,"F","L",13.779,45.295,53.85,-16.833,35,82.938,42.372,59.488,68
"Class2",82.053,"Y","P",34.108,17.288,40.481,87.327,39,52.589,67.698,59.026,26
"Class2",75.949,"K","Q",13.31,19.495,65.827,87.235,49,60.857,47.254,43.037,20
"Class4",74.516,"V","Y",29.942,12.777,42.145,77.768,10,85.43,20.303,42.687,72
"Class5",75.58,"A","E",31.808,87.314,61.88,49.399,11,93.852,51.797,21.275,74
"Class3",86.273,"K","N",15.181,52.964,42.564,13.016,20,83.658,55.265,53.084,72
"Class4",69.51,"Q","C",34.128,3.944,42.466,83.636,13,89.153,44.614,51.408,12
"Class2",77.839,"J","C",15.185,14.403,68.262,87.225,78,77.906,52.262,54.836,22
"Class2",87.554,"K","A",10.069,27.679,34.63,86.889,82,52.74,32.677,51.854,19
"Class2",88.542,"A","Z",26.944,34.335,45.208,87.548,62,59.584,54.84,46.913,28
"Class2",87.59,"A","C",27.352,20.868,23.821,87.408,85,74.287,66.487,37.596,30
"Class2",78.063,"I","C",28.783,29.323,48.263,87.352,91,56.632,29.064,41.806,39
"Class3",83.339,"P","I",15.413,36.243,42.07,35.84,34,81.588,59.823,NA,72
"Class3",95.453,"F","C",14.759,56.487,33.465,54.106,79,79.501,39.639,52.052,69
"Class4",70.243,"L","G",49.101,19.392,40.932,85.244,23,83.885,13.724,46.087,53
"Class4",73.751,"U","G",43.555,17.336,39.547,83.947,25,52.306,37.017,40.271,26
"Class2",76.884,"Y","A",21.81,5.952,63.137,87.092,65,66.245,54.136,51.977,26
"Class4",78.215,"Q","Y",48.863,25.074,40.163,87.374,21,53.846,20.492,47.207,36
"Class1",84.572,"T","R",32.305,91.362,75.659,12.954,66,38.236,30.938,34.029,41
"Class5",86.166,"N","D",17.151,23.09,77.771,50.847,12,69.397,74.303,25.191,78
"Class2",86.048,"I","Q",34.562,40.735,24.138,87.306,51,77.963,37.885,61.009,21
"Class1",92.475,"H","P",31.262,63.738,64.451,86.217,57,40.674,68.565,51.784,33
"Class1",91.902,"T","P",33.082,66.717,57.738,97.891,58,40.711,35.464,38.433,57
"Class1",86.918,"T","U",33.712,75.753,60.239,49.129,57,33.357,24.2,53.245,69
"Class1",87.209,"X","P",33.108,57.136,83.655,32.092,52,40.503,33.242,38.739,70
"Class1",91.259,"H","X",33.348,45.041,62.609,105.68,60,39.196,33.399,43.99,69
"Class2",77.94,"K","Z",20.535,NA,58.886,87.283,35,54.484,66.96,58.252,38
"Class1",75.177,"X","C",33.61,63.407,54.388,12.778,67,32.04,70.955,44.308,95
"Class1",89.332,"P","R",32.975,81.471,81.406,21.334,54,38.001,76.056,47.519,65
"Class1",76.516,"T","C",32.61,64.171,62.094,101.757,58,35.078,78.593,60.091,64
"Class3",89.681,"C","N",13.628,43.486,30.687,15.896,29,80.991,52.305,53.77,73
"Class5",70.95,"A","Q",22.752,16.422,71.222,50.729,11,97.167,54.924,51.274,54
"Class5",57.071,"A","Y",27.754,47.799,62.517,47.642,11,65.079,70.384,21.552,57
"Class1",92.407,"L","R",31.842,60.034,57.122,23.717,57,32.718,39.16,33.688,63
"Class1",97.514,"H","P",33.589,52.674,59.033,30.843,58,32.786,60.396,42.55,66
"Class1",93.535,"P","X",33.194,49.949,78.222,105.862,55,37.465,65.303,42.984,32
"Class4",80.159,"V","C",26.853,11.285,43.071,82.312,18,73.005,19.276,41.846,61
"Class1",75.105,"H","R",34.048,68.053,58.369,29.731,60,39.927,73.843,47.761,85
"Class3",92.25,"R","C",13.145,42.099,27.155,69.426,78,82.326,36.086,54.286,69
"Class5",89.671,"S","E",14.737,43.324,57.407,58.025,10,50.873,76.979,24.339,69
"Class2",82.255,"A","C",7.746,66.563,13.606,87.296,75,57.819,21.658,63.266,37
"Class3",86.383,"R","L",14.378,46.87,43.978,27.072,80,79.709,48.733,47.35,70
"Class1",90.67,"H","R",33.5,57.777,64.607,20.11,63,34.295,32.739,49.758,42
"Class3",64.877,"P","I",14.781,53.58,28.069,33.676,51,79.251,47.43,52.927,69
"Class3",81.314,"K","L",13.063,58.623,28.864,37.656,23,83.501,47.39,55.655,68
"Class3",83.742,"R","N",14.696,58.422,39.249,68.318,42,82.852,37.227,51.927,69
"Class2",87.238,"Y","A",19.651,24.058,40.402,87.634,73,72.592,65.722,38.64,16
"Class3",62.121,"R","L",14.672,55.718,38.773,12.354,23,81.963,19.93,55.905,68
"Class5",74.666,"K","Y",8.823,12.435,78.226,54.773,10,47.531,61.728,49.178,79
"Class4",79.674,"V","C",43.237,16.408,37.526,95.973,9,57.939,38.725,49.482,62
"Class5",72.469,"A","Y",22.844,14.632,63.9,51.894,12,44.321,57.227,31.22,77
"Class2",79.047,"I","A",19.863,25.384,78.14,88.087,90,60.279,56.915,49.056,23
"Class4",74.863,"Q","D",41.173,11.226,36.917,76.11,6,53.9,20.603,39.091,67
"Class3",97.919,"C","I",13.733,45.008,47.04,43.014,60,83.348,58.464,57.41,72
"Class1",87.084,"H","R",32.373,41.085,62.04,53.505,53,34.591,41.089,39.918,49
"Class5",94.593,"O","E",17.423,73.685,59.605,52.729,10,96.535,61.033,34.036,67
"Class5",62.067,"K","Y",20.219,42.424,63.2,46.659,12,66.19,76.356,62.916,79
"Class5",62.631,"N","Q",24.59,56.688,78.996,53.693,12,56.8,53.414,NA,72
"Class3",53.119,"C","N",14.213,36.968,49.078,33.772,54,82.597,36.068,52.445,68
"Class5",60.752,"N","Y",23.041,57.055,76.02,52.313,12,75.41,52.644,34.029,56
"Class4",77.374,"Q","Y",22.473,11.482,36.281,84.361,23,50.082,16.213,44.627,79
"Class5",74.941,"N","D",19.87,28.993,58.796,44.751,10,68.721,60.03,37.262,73
"Class4",77.373,"V","G",14.775,NA,42.318,86.635,5,73.223,17.71,54.352,16
"Class2",74.157,"A","P",16.971,-9.531,28.802,87.657,36,52.055,69.691,53.604,28
"Class2",86.707,"A","P",10.834,27.886,36.747,87.273,85,74.597,39.259,52.552,18
"Class4",78.99,"L","D",14.766,9.373,39.933,88.239,24,66.733,29.675,45.056,56
"Class5",64.124,"O","Q",22.575,23.204,79.15,44.926,11,45.106,76.977,46.992,75
"Class5",87.923,"S","I",12.33,39.512,73.277,52.296,11,64.802,51.118,9.503,61
"Class2",82.655,"J","Q",11.017,1.894,22.07,86.982,90,53.19,30.465,45.913,26
"Class5",95.047,"N","E",24.173,42.812,61.655,49.055,11,79.754,72.215,41.374,75
"Class1",96.458,"L","C",32.991,67.341,58.613,69.812,59,36.156,74.803,43.709,78
"Class4",79.802,"L","D",15.881,14.537,39.217,86.638,9,64.653,40.918,40.447,37
"Class2",81.045,"I","A",7.199,-2.477,16.282,87.419,48,71.762,67.624,62.719,34
"Class4",76.185,"Q","S",43.31,10.491,36.124,90.12,0,85.767,41.584,NA,54
"Class3",84.308,"C","J",15.072,47.222,43.512,35.008,44,80.242,22.25,44.483,68
"Class5",88.379,"N","Q",27.266,41.929,66.209,59.836,10,97.14,68.397,24.07,79
"Class5",79.323,"N","I",20.774,23.567,58.908,45.677,12,64.947,54.211,NA,63
"Class4",69.951,"L","Y",26.55,23.255,39.123,96.505,14,79.028,50.976,41.861,24
"Class1",73.308,"H","R",32.968,59.506,57.916,68.275,60,34.794,28.277,36.469,76
"Class4",80.481,"V","C",36.707,19.046,41.162,89.526,3,49.41,31.422,44.687,55
"Class5",64.963,"S","E",14.627,11.408,68.616,54.234,10,51.219,71.141,13.426,70
"Class1",97.714,"H","C",32.561,75.762,56.86,34.9,55,32.301,29.918,44.334,94
"Class2",80.124,"K","Z",12.026,17.456,23.275,87.778,52,76.645,60.731,46.4,23
"Class2",74.715,"I","P",18.851,47.586,58.383,88.143,43,66.301,55.195,50.372,45
"Class5",76.9,"O","Q",20.385,48.787,77.024,54.239,11,53.695,54.259,65.964,54
"Class3",91.839,"P","L",14.065,NA,55.033,57.792,38,83.871,27.328,56.046,68
"Class4",73.757,"U","D",23.276,10.554,38.1,88.969,15,58.767,30.85,45.342,19
"Class2",79.128,"J","A",7.245,26.627,71.653,87.737,51,67.202,29.891,42.074,17
"Class2",86.003,"K","A",24.488,8.49,35.732,87.858,45,62.521,57.99,37.802,45
"Class5",70.73,"K","E",12.971,46.144,79.189,56.16,12,58.231,60.832,52.29,63
"Class1",79.277,"P","P",33.13,66.556,66.243,46.695,65,40.493,69.443,48.208,45
"Class1",86.943,"H","P",33.968,103.691,66.825,70.629,57,33.878,54.431,50.657,57
"Class3",67.228,"R","L",14.428,45.171,30.576,73.838,40,80.225,35.828,56.374,69
"Class1",87.079,"X","X",33.548,39.056,78.253,55.62,56,35.412,32.876,56.076,30
"Class2",75.455,"I","C",16.531,29.899,39.888,87.568,40,70.692,45.706,53.768,39
"Class5",58.474,"N","E",19.786,36.1,66.213,46.203,11,77.905,66.984,14.313,55
"Class3",93.974,"F","C",14.018,NA,34.957,69.313,75,81.046,48.958,54.601,70
"Class1",73.275,"X","X",32.333,70.113,63.84,9.149,66,36.213,26.327,48.247,52
"Class1",83.871,"L","C",33.556,54.193,74.611,88.331,58,38.515,71.644,41.656,29
"Class1",87.521,"T","X",32.948,69.362,81.372,72.797,53,34.943,78.335,50.556,74
"Class4",77.279,"V","S",38.586,9.513,36.573,89.572,20,56.802,27.408,42.55,62
"Class3",70.995,"C","J",14.126,59.141,57.33,76.423,21,79.845,23.044,51.442,70
"Class4",70.628,"K","Y",51.606,20,43.538,89.365,6,64.944,27.726,37.624,51
"Class1",92.333,"H","U",32.821,58.705,80.491,73.759,57,34.199,33.433,42.598,50
"Class2",78.057,"I","C",16.322,27.639,39.327,87.758,50,66.878,71.819,51.665,44
"Class1",87.624,"T","C",33.557,40.421,69.344,-35.506,52,33.917,52.242,NA,58
"Class3",52.872,"K","N",14.464,37.345,28.734,19.893,42,83.133,25.27,56.052,70
"Class1",86.776,"T","P",33.822,99.137,74.185,65.491,59,39.534,36.774,NA,69
"Class4",69.322,"L","D",10.715,13.834,39.179,92.606,3,68.236,12.708,44.593,34
"Class2",75.931,"I","Z",14.425,59.929,27.351,86.907,29,52.065,43.712,60.214,17
"Class4",80.442,"K","C",28.786,15.937,42.886,94.731,2,83.276,47.117,46.003,51
"Class5",65.307,"K","I",29.687,62.733,64.37,50.146,10,44.518,51.42,12.163,63
"Class3",85.618,"F","L",13.988,33.127,48.685,41.009,57,79.764,30.622,50.85,71
"Class5",66.099,"S","E",24.559,-3.557,74.985,48.524,10,61.029,61.632,55.749,55
"Class3",99.042,"K","J",13.729,36.732,52.346,14.268,31,82.324,54.544,58.951,69
"Class4",74.882,"U","G",27.04,19.045,43.09,85.335,4,85.948,21.373,42.748,56
"Class4",72.551,"L","S",35.187,11.65,42.651,86.869,26,84.682,36.401,40.12,48
"Class1",97.922,"L","P",32.021,45.294,74.657,49.953,54,38.167,33.316,NA,51
"Class1",97.53,"H","R",32.824,60.608,69.765,55.487,54,36.431,34.19,55.682,74
"Class5",78.778,"O","Y",17.952,33.839,62.992,52.445,11,81.033,57.539,53.642,55
"Class5",82.372,"A","Y",31.774,70.297,59.428,55.691,10,95.169,51.109,71.592,74
"Class5",87.984,"N","E",20.857,61.883,85.017,58.759,11,92.968,57.768,30.221,56
"Class5",90.219,"A","Y",26.898,50.724,59.386,51.877,10,92.269,64.632,35.4,59
"Class1",90.169,"L","C",32.804,88.312,83.734,63.933,59,36.775,38.53,39.992,54
"Class3",62.783,"F","J",14.742,48.703,56.569,15.621,22,83.934,48.213,56.35,69
"Class1",96.586,"L","P",32.787,47.924,80.808,42.27,65,38.452,23.763,51.476,25
"Class4",74.581,"U","D",16.993,21.168,41.841,83.909,3,58.692,29.104,44.194,18
"Class4",79.559,"K","S",31.422,6.935,40.449,85.977,2,59.038,27.833,40.223,19
"Class5",72.447,"A","E",16.833,63.047,74.955,59.839,10,95.176,53.529,28.129,70
"Class1",94.812,"T","P",34.338,76.214,66.956,91.384,65,33.088,54.512,54.257,39
"Class5",61.963,"A","I",26.198,-11.708,68.539,42.511,11,63.502,55.948,21.873,55
"Class3",68.904,"P","I",14.738,45.403,53.094,6.77,68,79.219,37.681,57.309,72
"Class4",76.101,"L","Y",50.156,7.933,42.939,85.449,11,68.658,6.858,38.726,79
"Class5",76.772,"O","I",22.237,5.876,70.05,53.49,11,66.749,49.752,61.414,75
"Class1",80.659,"H","P",33.444,61.62,64.978,40.223,67,34.663,74.57,43.919,75
"Class2",81.945,"K","Q",21.569,36.273,51.586,87.448,54,59.509,63.289,50.813,23
"Class4",70.688,"V","G",13.62,14.028,41.568,82.062,14,84.339,35.59,47.836,37
"Class3",72.293,"C","I",14.584,44.172,39.708,46.885,29,82.993,48.785,48.699,73
"Class3",97.695,"K","N",14.691,50.881,31.812,21.054,23,83.37,21.551,54.437,70
"Class1",73.677,"T","C",34.495,88.413,55.288,44.514,53,37.962,61.725,47.036,98
"Class5",93.095,"A","E",6.043,49.906,74.108,45.374,12,59.978,70.824,59.208,71
"Class4",77.363,"L","D",57.195,11.983,40.243,93.943,13,53.431,10.917,39.239,39
"Class4",74.318,"L","C",41.141,19.614,41.368,91.793,22,65.449,21.611,40.891,39
"Class3",66.058,"C","N",16.009,48.525,52.193,46.996,37,82.846,35.045,53.936,72
"Class3",85.878,"C","N",13.6,47.397,48.817,31.863,21,83.411,28.392,50.937,69
"Class1",82.107,"P","C",33.324,40.16,61.46,37.478,53,36.662,39.583,NA,51
"Class5",80.686,"O","Y",15.964,33.524,81.007,55.296,10,90.95,75.621,48.123,52
"Class4",74.311,"K","S",38.179,10.781,43.297,81.829,2,81.217,34.838,39.821,12
