"PML1","GYO2","CJW3","UXF4","JUR5","KPQ6","SHU7","UTG8","MSG9","Output7","PMO10"
47,49.981,"R",17.536,41.972,88.813,34.717,76.364,47.803,"Class1",73.346
47,58.687,"F",17.353,36.351,31.616,42.382,76.098,50.76,"Class1",54.352
47,77.272,"R",14.766,37.835,83.744,65.67,77.37,41.993,"Class1",63.297
6,87.993,"K",51.515,56.816,46.123,78.925,26.156,65.984,"Class2",49.904
48,59.664,"C",14.479,42.509,35.403,56.535,76.792,73.883,"Class1",17.153
47,113.941,"F",18.568,48.421,49.629,74.127,77.094,34.265,"Class1",62.353
48,111.278,"F",16.008,52,76.467,45.874,76.329,56.154,"Class1",64.848
47,46.145,"Z",18.211,51.236,47.057,56.517,76.58,NA,"Class1",41.783
48,NA,"F",16.197,48.104,50,18.763,76.357,68.297,"Class1",23.306
48,-11.654,"F",16.932,40.984,86.744,73.812,76.312,NA,"Class1",46.642
10,81.124,"K",64.03,55.491,64.121,81.127,52.9,50.575,"Class2",47.843
48,82.625,"O",15.971,34.854,69.544,75.016,76.378,49.881,"Class1",71.934
5,77.726,"L",76.363,55.359,38.731,86.412,22.288,54.559,"Class2",46.552
48,71.935,"Z",16.418,35.572,57.643,76.141,76.476,44.377,"Class1",20.134
47,56.051,"R",15.966,54.178,63.544,73.994,75.779,33.643,"Class1",28.887
13,89.321,"Y",40.092,57.342,38.202,68.928,53.109,41.312,"Class2",47.229
48,75.275,"F",16.13,45.083,52.676,54.492,75.885,52.18,"Class1",42.559
48,29.79,"R",16.655,58.668,64.33,59.652,76.26,36.575,"Class1",18.601
9,89.099,"L",-7.887,54.807,49.754,92.548,16.178,NA,"Class2",51.809
7,63.489,"U",92.068,56.264,36.728,63.61,-0.645,75.823,"Class2",55.223
47,55.402,"Z",18.066,37.057,72.704,46.727,76.586,41.741,"Class1",59.761
5,95.083,"K",82.807,56.116,51.755,77.789,7.33,43.242,"Class2",53.521
48,17.891,"R",16.47,43.614,93.422,64.195,76.507,73.996,"Class1",15.923
12,85.213,"L",59.307,54.234,69.197,80.614,56.644,53.522,"Class2",43.344
47,65.818,"O",16.812,48.024,48.949,9.716,76.491,53.352,"Class1",69.036
8,72.325,"U",62.664,53.98,66.245,80.854,29.36,37.031,"Class2",51.581
14,86.507,"K",54.916,52.298,50.458,55.631,33.508,33.153,"Class2",53.677
7,77.457,"U",25.24,57.885,36.745,58.482,54.832,63.921,"Class2",53.961
9,88.525,"L",30.896,55.036,52.263,64.372,73.211,NA,"Class2",48.934
9,88.298,"K",27,55.903,66.151,66.018,52.071,42.976,"Class2",44.137
6,98.145,"K",60.793,56.063,51.967,55.821,54.069,71.273,"Class2",44.311
48,4.796,"F",19.244,47.956,32.104,58.321,76.696,51.283,"Class1",9.297
47,23.685,"Z",18.454,52.905,48.903,74.435,76.662,32.708,"Class1",10.42
6,78.619,"U",62.39,56.021,40.918,69.182,3.26,54.941,"Class2",48.422
47,52.244,"Z",16.577,38.203,50.647,57.076,76.576,67.712,"Class1",56.516
48,53.772,"R",19.108,40.859,65.626,77.997,76.211,41.078,"Class1",48.778
48,55.625,"C",19.344,47.069,88.541,68.195,75.812,50.998,"Class1",39.025
10,106.352,"U",36.245,55.029,38.368,87.455,66.855,31.977,"Class2",51.289
48,36.69,"Z",16.582,42.142,36.829,51.797,76.284,42.746,"Class1",59.02
47,29.847,"O",16.749,49.823,85.113,7.033,76.188,52.099,"Class1",40.663
7,88.362,"K",51.724,56.643,37.627,62.725,70.076,40.917,"Class2",53.098
11,84.425,"L",17.686,56.849,52.246,85.956,72.855,41.293,"Class2",51.577
7,105.196,"L",23.624,55.247,39.749,59.932,13.396,75.35,"Class2",50.629
6,105.439,"L",103.728,55.865,44.393,58.624,50.498,52.716,"Class2",44.71
47,43.521,"O",16.248,45.524,35.187,57.715,76.609,58.236,"Class1",3.132
47,NA,"O",18.296,49.269,37.276,55.446,76.764,61.846,"Class1",27.805
48,44.746,"O",18.248,41.021,81.57,75.317,76.258,52.107,"Class1",19.114
47,60.012,"O",18.436,48.43,31.029,46.721,76.585,47.564,"Class1",50.955
8,103.234,"C",2.475,57.44,44.616,60.966,46.374,70.391,"Class2",51.93
48,NA,"C",17.968,47.745,52.016,71.817,76.377,60.275,"Class1",62.98
12,NA,"L",63.436,57.417,50.137,57.934,3.284,55.562,"Class2",50.734
48,82.914,"O",16.885,51.029,55.631,32.467,76.449,41.994,"Class1",18.288
48,40.686,"Z",16.821,36.112,32.658,67.905,76.905,48.157,"Class1",57.437
47,112.509,"F",18.499,53.433,69.359,74.811,76.787,42.385,"Class1",39.764
48,33.749,"C",16.378,43.421,71.764,55.564,76.608,37.646,"Class1",57.696
14,73.266,"Y",51.973,54.856,35.276,64.064,72.155,49.901,"Class2",50.328
11,87.046,"Y",71.217,57.01,71.666,73.37,55.244,31.362,"Class2",43.668
8,NA,"C",43.289,56.362,60.682,91.814,50.526,46.297,"Class2",49.445
47,28.25,"C",16.823,46.403,79.356,37.461,76.893,52.508,"Class1",49.398
48,36.836,"Z",16.381,48.028,84.853,14.65,76.609,50.252,"Class1",15.331
48,14.304,"R",15.805,41.778,70.021,76.745,76.224,36.559,"Class1",67.967
47,-13.356,"O",17.91,39.851,93.83,45.124,76.545,75.586,"Class1",55.671
48,51.877,"Z",20.262,34.46,87.046,50.593,76.866,46.857,"Class1",28.357
13,75.765,"U",87.316,54.072,35.056,65.986,33.905,68.62,"Class2",47.37
47,47.93,"R",18.752,47.929,53.373,43.544,76.931,54.445,"Class1",50.749
48,-9.679,"O",16.024,46.172,38.136,54.486,77.061,68.476,"Class1",37.833
5,85.565,"C",4.527,55.159,41.295,89.823,10.032,65.489,"Class2",48.757
48,34.659,"Z",17.503,44.81,88.172,62.58,76.87,65.809,"Class1",23.382
9,89.203,"K",29.954,57.35,34.716,78.973,52.127,69.176,"Class2",51.294
48,64.409,"F",17.274,56.679,31.151,72.605,76.988,56.291,"Class1",32.488
8,89.648,"C",86.587,56.887,61.706,70.051,80.926,67.696,"Class2",50.102
47,80.039,"O",15.413,50.806,83.8,77.952,76.164,49.485,"Class1",9.929
8,67.429,"U",42.279,58.15,69.805,76.94,37.32,34.312,"Class2",52.366
47,43.352,"F",15.875,40.535,69.56,2.872,76.202,58.2,"Class1",15.458
48,41.923,"Z",18.975,41.943,31.021,2.226,76.476,39.404,"Class1",65.099
10,92.843,"C",67.72,52.949,47.415,69.341,25.863,59.679,"Class2",51.62
12,104.289,"Y",10.683,58.21,47.156,68.899,54.252,55.414,"Class2",48.483
11,66.045,"U",28.791,56.666,60.18,73.915,36.941,73.391,"Class2",55.859
10,101.801,"K",78.552,55.3,44.871,89.51,40.885,50.313,"Class2",52.235
47,62.994,"R",16.651,45.929,76.584,73.946,76.159,71.199,"Class1",31.328
47,50.33,"F",18.676,41.905,76.508,56.112,76.782,71.253,"Class1",63.292
8,93.895,"C",54.6,55.192,57.427,79.325,48.536,NA,"Class2",45.926
13,81.479,"L",19.357,54.258,54.449,80.231,49.868,NA,"Class2",52.458
7,82.341,"U",50.113,55.335,41.766,64.992,35.323,57.844,"Class2",43.487
7,71.555,"U",27.679,56.492,67.084,87.219,66.402,66.657,"Class2",50.858
6,83.597,"C",93.014,53.668,47.095,59.24,36.692,53.988,"Class2",50.54
48,58.246,"O",18.788,50.142,39.871,73.518,77.056,52.309,"Class1",24.332
9,93.688,"K",40.362,57.007,42.695,82.605,69.327,64.499,"Class2",50.851
10,89.79,"U",28.049,57.308,49.524,53.603,32.449,74.262,"Class2",43.321
47,60.407,"Z",18.945,41.868,65.934,70.394,76.277,38.225,"Class1",73.525
48,75.497,"Z",17.31,47.477,77.896,81.609,76.764,48.397,"Class1",72.797
47,97.339,"O",16.183,50.74,87.466,66.566,76.244,47.596,"Class1",68.524
48,47.456,"O",18.589,38.982,80.168,43.746,76.589,61.399,"Class1",65.718
48,65.983,"C",18.341,53.083,64.207,44.566,76.746,67.746,"Class1",4.476
5,93.874,"K",38.294,57.982,49.756,56.121,63.183,53.693,"Class2",49.822
12,82.924,"C",46.359,53.703,71.815,83.466,25.677,57.482,"Class2",53.488
48,47.006,"F",19.159,40.017,58.814,43.137,76.533,32.59,"Class1",6.393
5,80.437,"C",30.479,58.204,50.907,72.18,32.124,41.551,"Class2",44.844
9,63.519,"C",101.771,57.296,61.765,73.051,70.47,37.131,"Class2",48.119
48,56.861,"R",16.686,52.016,43.157,27.758,76.692,35.758,"Class1",18.287
5,80.274,"L",81.431,56.326,42.395,68.135,45.078,70.821,"Class2",48.761
48,49.915,"C",20.059,57.882,82.627,2.961,76.502,77.76,"Class1",53.252
10,80.484,"L",50.492,57.511,64.349,53.262,86.188,35.739,"Class2",46.582
13,82.648,"K",64.249,57.304,56.009,80.143,41.729,77.85,"Class2",50.065
6,87.818,"U",121.528,57.478,48.841,89.011,32.47,NA,"Class2",43.33
48,98.791,"O",17.51,51.972,94.098,51.09,76.629,57.056,"Class1",70.775
48,30.118,"O",19.501,59.131,83.873,70.494,75.969,65.276,"Class1",33.086
47,53.655,"Z",17.186,51.011,34.652,21.589,77.244,42.641,"Class1",61.248
5,83.445,"Y",65.52,57.866,61.569,80.628,29.676,60.737,"Class2",47.834
47,47.531,"O",18.187,39.642,80.663,64.9,76.327,65.409,"Class1",62.168
13,99.009,"C",31.88,56.185,50.795,77.656,43.224,69.322,"Class2",53.51
8,80.318,"Y",104.863,56.746,49.615,66.437,24.703,72.163,"Class2",47.66
10,97.858,"C",46.429,56.299,63.284,72.135,69.543,37.82,"Class2",55.133
47,38.967,"Z",17.126,50.093,69.721,48.204,76.201,38.658,"Class1",41.552
47,42.339,"R",15.933,55.55,48.631,17.916,76.167,71.707,"Class1",21.44
48,39.528,"R",16.562,42.079,66.443,29.181,76.285,37.686,"Class1",36.026
11,86.625,"L",47.411,56.026,36.949,91.555,54.536,74.044,"Class2",45.266
9,64.645,"C",101.175,56.537,60.824,84.599,23.782,65.772,"Class2",53.282
13,78.977,"L",64.793,56.666,48.28,69.44,35.345,51.55,"Class2",53.608
48,NA,"F",16.195,35.483,63.39,7.517,77.096,57.869,"Class1",50.489
7,91.774,"U",86.231,54.548,36.553,82.858,8.313,60.167,"Class2",44.299
14,95.543,"L",40.235,58.081,61.937,73.759,57.273,59.632,"Class2",55.308
12,81.282,"Y",80.516,54.974,44.225,87.737,-3.444,50.356,"Class2",51.554
47,NA,"Z",15.862,50.104,89.862,6.684,76.208,44.728,"Class1",62.732
14,96.099,"K",34.281,55.814,66.659,85.486,49.125,79.615,"Class2",45.843
8,68.906,"Y",57.024,57.742,64.315,61.069,45.591,74.752,"Class2",43.785
48,61.837,"O",15.595,46.816,70.046,15.589,76.597,69.273,"Class1",15.026
11,79.027,"C",32.736,55.823,60.961,68.625,20.377,60.408,"Class2",49.122
8,69.933,"C",34.714,56.509,50.915,53.16,103.479,35.432,"Class2",46.156
7,81.023,"U",32.029,55.338,60.912,81.226,55.782,36.581,"Class2",46.001
48,66.407,"R",17.08,47.186,83.239,1.5,76.664,33.694,"Class1",28.227
47,18.232,"R",19.1,51.776,57.153,15.121,76.413,72.292,"Class1",35.418
48,84.845,"R",13.782,45.342,84.507,75.053,76.468,58.567,"Class1",39.88
8,70.187,"C",48.708,55.043,40.391,76.442,11.627,68.521,"Class2",47.93
6,85.098,"K",104.289,57.185,66.761,65.279,25.839,28.246,"Class2",51.504
9,76.597,"C",34.045,58.808,34.676,53.35,32.459,73.275,"Class2",48.44
5,80.098,"Y",38.357,56.378,51.163,75.391,36.755,41.742,"Class2",49.029
8,84.756,"U",60.989,56.29,42.258,78.889,77.91,31.603,"Class2",44.102
48,56.867,"C",18.943,42.867,64.445,44.77,76.603,72.465,"Class1",50.645
5,NA,"K",25.485,55.582,53.9,57.001,76.299,39.753,"Class2",44.065
47,70.105,"R",18.633,47.785,85.167,80.334,76.925,68.82,"Class1",53.707
47,36.699,"Z",17.573,41.477,92.732,43.592,76.856,39.909,"Class1",43.126
48,77.574,"C",16.083,31.034,71.837,63,76.725,47.978,"Class1",46.101
11,89.937,"U",90.58,56.803,52.478,56.46,38.051,74.353,"Class2",47.235
48,85.968,"F",17.273,44.659,79.269,81.174,76.807,44.397,"Class1",33.945
10,84.12,"Y",-5.569,53.604,69.46,59.186,64.489,69.747,"Class2",52.427
48,NA,"O",16.187,40.985,66.154,46.566,75.808,69.451,"Class1",17.025
5,80.702,"K",74.14,54.314,70.879,74.264,50.028,49.765,"Class2",51.103
10,101.832,"K",36.281,54.136,46.497,90.867,46.479,73.585,"Class2",44.84
6,99.908,"C",27.905,56.019,66.493,85.009,44.975,48.663,"Class2",46.616
48,65.107,"F",16.985,50.845,28.268,57.226,76.537,74.154,"Class1",57.749
48,NA,"F",16.655,42.783,71.369,64.874,76.729,67.108,"Class1",52.52
48,61.877,"C",15.095,48.155,69.597,30.938,76.544,40.097,"Class1",49.207
8,83.288,"K",110.588,56.422,48.404,62.499,69.914,67.991,"Class2",53.953
6,76.132,"C",64.946,57.312,43.746,56.032,79.501,33.124,"Class2",49.825
48,31.559,"C",17.492,47.649,33.997,38.179,76.13,69.371,"Class1",73.202
9,73.542,"U",94.485,55.014,65.942,92.991,40.329,76.381,"Class2",44.216
13,73.814,"K",7.033,57.294,47.791,65.786,57.414,30.506,"Class2",48.938
7,84.947,"C",52.239,56.472,66.872,57.764,76.745,48.278,"Class2",53.917
47,87.309,"R",16.273,50.895,75.952,39.061,75.956,47.616,"Class1",69.445
48,53.454,"R",19.576,42.933,37.634,31.679,76.483,65.306,"Class1",21.511
9,82.154,"K",102.389,54.786,52.446,79.5,39.434,33.46,"Class2",44.03
14,77.122,"Y",43.452,54.779,37.551,76.197,73.132,65.369,"Class2",49.506
47,42.899,"F",16.928,40.513,89.568,8.066,76.546,57.74,"Class1",47.976
47,41.885,"O",18.091,40.633,48.682,13.887,76.908,66.444,"Class1",13.852
12,96.596,"L",41.688,56.966,51.51,57.865,69.442,40.384,"Class2",51.078
10,88.214,"U",95.663,59.757,57.493,69.297,47.786,38.499,"Class2",48.101
48,60.509,"Z",18.793,30.461,48.386,48.468,76.783,61.867,"Class1",30.172
48,59.039,"F",18.636,39.555,32.138,51.328,76.808,70.546,"Class1",32.692
12,93.559,"K",65.167,57.498,41.02,63.436,14.103,71.375,"Class2",55.307
47,36.32,"Z",17.783,48.871,69.937,31.898,76.478,70.302,"Class1",58.122
48,-7.144,"R",17.627,43.175,91.829,69.233,76.332,47.558,"Class1",18.315
48,105.271,"O",16.962,59.393,69.941,30.354,76.534,61.736,"Class1",53.195
5,94.703,"K",48.756,54.71,59.131,80.466,40.089,52.719,"Class2",51.844
48,96.368,"Z",16.666,42.675,39.569,29.512,76.573,46.418,"Class1",43.905
6,82.15,"U",38.491,54.848,59.203,80.842,47.467,51.535,"Class2",49.844
47,3.409,"O",17.194,40.271,61.889,20.528,75.822,67.503,"Class1",10.788
13,86.918,"U",104.444,55.782,47.58,61.581,67.304,43.825,"Class2",44.02
11,84.68,"Y",61.459,57.009,60.128,71.872,88.367,71.008,"Class2",50.328
6,88.505,"K",60.144,55.76,64.38,64.21,56.43,29.052,"Class2",55.77
12,80.648,"U",61.056,57.538,54.24,88.621,31.997,31.77,"Class2",51.631
5,83.391,"L",50.623,58.062,41.305,73.541,68.756,69.348,"Class2",51.949
48,58.26,"O",17.207,41.814,61.661,22.312,76.142,35.148,"Class1",16.337
48,16.211,"C",17.964,48.599,61.863,45.638,76.653,54.868,"Class1",11.963
47,66.342,"Z",16.8,47.315,84.918,12.008,76.815,38.028,"Class1",11.461
47,32.827,"R",16.782,42.428,93.539,22.713,76.807,38.73,"Class1",19.431
7,92.302,"K",80.962,55.826,40.683,72.139,34.349,59.566,"Class2",51.05
8,93.311,"Y",34.641,55.736,63.508,67.3,41.638,NA,"Class2",51.185
47,39.057,"F",18.707,49.811,35.722,35.617,76.256,NA,"Class1",20.011
48,NA,"C",16.347,43.854,92.165,13.457,76.396,61.614,"Class1",29.509
7,72.681,"Y",43.96,59.306,55.86,59.892,33.126,75.884,"Class2",51.097
47,76.735,"C",16.066,44.341,70.516,18.065,76.551,73.353,"Class1",23.287
10,90.587,"Y",50.873,55.908,56.847,74.298,2.489,75.418,"Class2",45.208
10,89.653,"C",37.726,56.665,62.286,59.927,1.189,69.75,"Class2",46.155
6,NA,"L",59.47,57.517,50.642,62.003,57.578,62.267,"Class2",53.24
10,79.545,"U",45.692,54.537,45.412,54.147,52.707,72.03,"Class2",49.932
9,85.524,"U",11.92,55.454,50.456,79.311,59.809,77.894,"Class2",50.763
7,110.111,"K",90.488,55.946,61.432,88.238,29.059,36.831,"Class2",54.331
12,107.276,"Y",50.263,55.45,54.762,83.755,50.71,79.899,"Class2",44.756
7,87.764,"K",98.138,57.069,58.455,52.901,-2.491,76.208,"Class2",47.945
8,80.834,"U",16.398,53.527,59.524,52.896,41.977,42.456,"Class2",48.01
47,64.777,"F",18.025,34.848,32.035,12.781,76.155,47.22,"Class1",28.856
10,82.222,"Y",10.068,55.996,62.792,71.538,77.768,48.904,"Class2",50.923
6,63.482,"Y",26.485,57.762,56.952,61.634,48.83,32.241,"Class2",51.518
8,74.803,"L",68.288,55.469,35.864,68.595,61.608,75.426,"Class2",54.709
12,85.277,"K",32.113,53.627,61.225,77.055,50.587,NA,"Class2",51.472
14,92.028,"Y",2.616,56.909,34.215,87.875,80.64,68.492,"Class2",50.176
47,13.138,"C",16.156,31.616,53.785,72.308,76.303,NA,"Class1",30.103
48,40.213,"R",17.153,42.536,53.34,5.622,76.705,67.167,"Class1",59.385
47,47.362,"R",17.186,31.235,64.651,76.222,76.159,50.095,"Class1",28.633
10,97.768,"K",56.049,56.641,66.904,88.679,37.49,75.046,"Class2",50.127
48,66.249,"F",13.982,41.625,30.963,20.484,76.065,41.365,"Class1",11.265
47,36.777,"Z",14.473,48.135,56.105,5.454,76.679,59.087,"Class1",1.801
48,52.684,"C",16.189,44.432,70.065,64.466,76.58,34.056,"Class1",26.703
48,142.259,"C",14.799,48.268,60.93,27.609,76.272,76.043,"Class1",31.726
48,71.678,"C",18.578,44.476,83.112,65.454,76.812,38.501,"Class1",62.467
7,78.51,"C",5.85,54.949,44.106,54.784,75.658,60.729,"Class2",47.249
47,59.535,"R",18.754,61.659,88.444,77.4,75.939,43.543,"Class1",64.174
47,78.245,"O",15.862,53.318,57.952,74.37,76.591,55.287,"Class1",37.215
48,94.658,"Z",16.148,37.935,53.328,81.365,76.175,63.194,"Class1",52.03
12,80.168,"U",82.321,57.585,60.031,57.162,42.646,39.841,"Class2",48.271
11,87.739,"C",32.11,55.349,48.365,92.45,66.967,31.385,"Class2",47.556
5,86.473,"Y",75.01,54.668,39.665,82.546,28.884,67.428,"Class2",55.313
5,NA,"Y",46.684,56.211,40.665,91.717,59.027,40.852,"Class2",55.341
8,101.784,"K",43.062,54.766,42.119,82.496,78.472,31.785,"Class2",51.446
48,51.408,"F",17.305,46.759,81.693,6.553,75.96,37.971,"Class1",9.095
48,10.354,"O",18.611,48.902,84.155,67.896,76.21,61.67,"Class1",4.552
5,78.753,"Y",73.886,54.945,50.138,63.461,45.648,46.038,"Class2",48.283
8,84.825,"L",46.12,52.379,39.679,58.957,45.088,48.129,"Class2",43.303
6,82.252,"K",39.547,51.551,40.011,57.647,58.536,40.531,"Class2",44.791
10,85.804,"K",48.833,56.007,51.699,89.592,66.985,42.797,"Class2",45.396
48,45.619,"O",18.917,50.207,88.386,11.747,76.362,34.773,"Class1",6.138
9,76.65,"Y",34.668,56.375,34.01,76.716,41.742,64.919,"Class2",46.675
48,41.905,"R",15.189,46.27,34.021,19.248,76.933,46.215,"Class1",36.277
8,75.828,"C",73.73,55.658,40.136,81.114,67.167,53.279,"Class2",43.259
5,78.351,"K",86.117,56.992,56.158,64.926,9.997,NA,"Class2",46.675
13,79.001,"C",27.853,56.485,39.695,92.838,38.364,32.521,"Class2",44.648
10,79.267,"L",31.151,53.136,69.122,58.82,57.558,75.187,"Class2",48.191
6,82.87,"L",63.927,57.64,46.917,75.245,36.153,36.013,"Class2",53.599
5,NA,"K",72.123,57.415,54.123,69.504,60.411,75.639,"Class2",53.053
47,77.973,"R",15.634,42.432,49.607,31.43,76.201,64.038,"Class1",18.672
47,46.634,"R",15.782,46.912,63.272,15.331,77.011,53.341,"Class1",34.711
14,82.457,"C",49.629,57.315,66.71,75.639,33.13,59.481,"Class2",43.518
47,88.326,"R",13.963,34.398,73.497,58.355,76.646,43.229,"Class1",17.641
47,67.083,"F",16.394,46.652,33.971,20.369,76.434,38.11,"Class1",10.644
7,83.364,"Y",18.574,58.297,56.501,77.626,47.118,38.379,"Class2",49.509
7,98.912,"Y",118.318,54.884,49.019,57.091,69.89,35.681,"Class2",43.187
10,88.519,"L",58.153,56.406,48.199,67.147,19.137,74.573,"Class2",45.049
11,88.356,"C",102.969,55.427,57.22,53.246,12.255,77.969,"Class2",45.275
11,63.158,"U",54.419,56.379,51.87,72.624,61.755,59.785,"Class2",52.072
6,81.134,"Y",105.091,57.214,52.933,78.357,55.83,39.931,"Class2",53.645
7,65.504,"L",52.112,53.932,43.604,71.04,42.172,69.156,"Class2",49.536
10,76.994,"L",87.63,56.695,69.859,64.683,28.581,65.101,"Class2",47.398
47,101.885,"C",16.572,50.118,83.788,21.192,76.926,58.636,"Class1",5.646
13,76.009,"U",57.404,56.805,58.002,70.923,49.367,44.951,"Class2",46.947
12,84.694,"C",15.881,55.593,62.609,66.884,47.771,75.563,"Class2",50.839
47,52.526,"F",16.079,43.176,60.936,11.693,77.032,40.363,"Class1",70.207
5,87.844,"U",74.273,57.788,55.045,84.953,70.971,72.462,"Class2",47.353
48,63.948,"Z",13.618,48.348,91.026,21.778,76.393,72.908,"Class1",24.884
48,43.099,"C",17.471,50.354,89.245,17.519,76.809,77.946,"Class1",11.146
47,71.034,"R",14.97,36.432,65.948,37.255,76.285,32.864,"Class1",7.378
6,85.42,"Y",53.085,55.839,66.093,52.561,46.939,35.726,"Class2",44.926
48,96.002,"O",14.772,53.164,73.607,6.28,76.628,36.107,"Class1",60.809
48,62.044,"Z",18.029,48.126,54.845,2.077,76.297,66.351,"Class1",70.458
48,29.993,"F",16.686,58.77,70.891,42.618,75.678,66.992,"Class1",3.896
47,34.524,"O",18.882,47.906,28.651,14.288,76.166,68.442,"Class1",30.94
47,36.302,"F",16.566,58.012,57.475,38.427,76.624,45.318,"Class1",8.729
13,100.197,"C",81.151,54.857,68.733,70.084,12.359,73.062,"Class2",46.237
5,86.247,"L",63.221,56.374,62.324,58.213,79.194,73.888,"Class2",55.338
47,65.03,"F",18.001,39.495,91.517,31.423,76.184,49.018,"Class1",41.609
5,96.707,"C",72.118,57.313,68.303,57.074,70.332,30.588,"Class2",45.273
9,108.377,"U",59.982,56.823,41.714,87.277,43.927,NA,"Class2",47.984
5,77.681,"Y",64.141,55.208,59.731,83.527,33.493,66.556,"Class2",44.323
8,85.028,"K",45.786,56.067,51.536,67.916,45.883,67.071,"Class2",50.103
48,78.112,"Z",17.101,39.64,33.985,13.047,76.118,63.409,"Class1",5.491
9,78.131,"C",18.164,56.659,39.755,82.306,39.642,62.575,"Class2",51.822
48,48.658,"C",18.884,34.429,29.092,61.113,76.631,76.794,"Class1",16.894
48,49.829,"F",17.661,36.794,32.107,13.492,76.72,47.716,"Class1",5.399
14,89.659,"C",71.012,57.177,39.207,85.705,16.235,42.916,"Class2",47.107
14,NA,"Y",62.222,56.53,45.229,53.878,6.694,27.039,"Class2",43.697
11,102.342,"K",32.274,54.652,68.156,72.502,53.168,52.303,"Class2",51.139
48,14.039,"C",17.934,54.672,71.309,69.482,76.977,55.945,"Class1",53.199
47,38.249,"F",19.593,43.11,56.174,9.75,76.966,77.879,"Class1",71.437
47,69.015,"C",17.814,43.809,83.235,17.103,76.332,45.664,"Class1",47.371
12,91.709,"K",64.066,55.192,57.674,69.437,71.832,27.48,"Class2",44.824
47,46.894,"C",15.344,33.047,59.714,62.978,76.303,49.119,"Class1",41.468
8,89.449,"C",37.273,57.048,44.165,55.93,45.567,61.39,"Class2",43.235
47,69.371,"C",17.119,41.399,55.926,75.018,76.658,NA,"Class1",60.133
13,84.207,"C",70.075,57.757,38.941,65.496,72.285,60.71,"Class2",49.575
13,78.086,"Y",50.173,57.151,64.51,79.304,75.469,63.549,"Class2",46.15
48,37.649,"Z",18.71,45.54,50.879,11.778,76.329,37.713,"Class1",39.373
5,80.343,"U",10.933,56.506,52.474,63.305,36.406,74.916,"Class2",47.682
12,NA,"K",30.367,56.423,67.138,73.133,63.757,63.59,"Class2",50.31
47,12.696,"R",16.677,50.826,70.3,29.237,76.68,NA,"Class1",64.261
14,82.789,"K",59.866,55.506,55.88,85.214,50.514,27.969,"Class2",49.611
8,73.793,"U",65.166,58.373,66.516,67.954,75.44,39.363,"Class2",44.557
9,72.457,"L",41.033,57.056,63.364,67.705,71.298,45.016,"Class2",44.518
47,62.315,"Z",16.951,42.56,32.074,68.414,76.91,73.565,"Class1",5.727
47,63.744,"F",15.394,45.503,83.234,67.286,76.555,32.339,"Class1",4.686
9,74.609,"Y",86.953,58.232,62.8,83.965,71.637,47.352,"Class2",48.126
5,NA,"C",47.012,54.965,58.896,90.362,70.742,74.797,"Class2",53.425
7,93.579,"K",36.741,56.149,57.02,69.618,70.486,48.806,"Class2",54.209
48,66.159,"Z",16.013,50.102,62.79,8.853,76.345,32.838,"Class1",53.136
47,83.948,"F",17.923,53.557,46.949,2.773,76.333,77.216,"Class1",62.779
48,37.039,"R",16.511,39.089,36.831,64.253,75.916,NA,"Class1",59.894
48,55.52,"C",17.627,46.943,94.301,77.865,76.953,63.021,"Class1",73.79
47,8.982,"R",16.483,30.786,73.804,26.444,76.257,39.878,"Class1",18.327
13,84.342,"Y",27.189,54.337,64.519,84.185,51.795,76.519,"Class2",49.871
6,91.16,"K",21.632,56.673,34.267,77.833,50.538,33.828,"Class2",48.271
48,106.874,"F",15.53,48.292,43.311,2.182,75.93,39.008,"Class1",66.99
47,18.969,"F",14.706,54.365,65.555,47.595,76.378,70.651,"Class1",51.992
47,55.73,"O",15.984,51.217,91.877,41.112,76.117,36.098,"Class1",65.785
9,78.259,"C",23.368,56.204,48.731,84.037,48.548,69.358,"Class2",44.034
5,90.414,"U",51.282,57.814,41.692,58.994,46.67,62.302,"Class2",47.244
8,102.1,"C",36.943,55.694,39.68,82.229,43.477,31.182,"Class2",47.628
14,71.023,"K",38.095,56.811,65.026,81.02,3.345,28.916,"Class2",52.701
14,88.743,"K",35.67,55.069,70.994,88.734,1.851,NA,"Class2",48.925
11,87.78,"C",103.745,54.822,69.568,57.195,83.069,36.218,"Class2",46.695
47,25.601,"Z",17.269,50.881,40.766,2.73,76.572,72.135,"Class1",73.796
47,32.646,"F",16.95,41.324,37.448,79.199,76.091,49.862,"Class1",25.275
12,66.007,"C",110.461,56.279,50.553,82.37,30.263,61.603,"Class2",50.742
10,NA,"C",74.128,57.897,37.343,66.718,63.7,32.133,"Class2",53.846
8,71.507,"L",99.308,56.132,56.099,58.552,15.153,28.261,"Class2",50.887
47,68.068,"R",16.197,49.226,57.446,28.051,76.501,51.207,"Class1",35.161
48,70.75,"O",17.881,35.705,48.561,29.913,76.367,32.251,"Class1",46.841
12,71.818,"L",118.418,56.256,58.443,63.35,29.182,46.88,"Class2",47.36
48,13.428,"C",17.014,57.085,40.457,53.921,76.795,39.64,"Class1",34.708
48,55.533,"F",15.368,50.945,61.924,5.349,76.183,63.456,"Class1",20.371
47,91.986,"R",17.549,44.509,34.082,31.198,76.414,73.853,"Class1",48.834
48,NA,"R",18.415,36.004,90.736,25.038,77.09,47.962,"Class1",34.261
48,33.842,"R",16.504,43.344,51.981,10.894,76.656,60.049,"Class1",44.161
